mishnah_tref,yerushalmi_french_text
Mishnah Pesachim 6:1,"Voici les travaux qui, pour l’accomplissement du sacrifice pascal, l’emportent sur la solennité du Shabat (pour eux, l’on enfreint le repos prescrit): l’égorger, répandre le sang, nettoyer les intestins, brûler les graisses; mais il n’est pas permis, le samedi, de rôtir l’agneau, ou de rincer les entrailles. On ne doit pas non plus en ce jour l’apporter du dehors sur ses épaules, ou d’une grande distance (au delà des limites shabatiques), ou lui couper une verrue (travaux pouvant avoir lieu la veille); R. Eliézer permet de les accomplir en ce jour."
Mishnah Pesachim 6:2,"R. Eliézer dit: les objets énoncés auparavant (6, 1) doivent l’emporter a fortiori; puisque l’action d’égorger le sacrifice, qui est un travail capital, l’emporte pourtant sur la solennité du Shabat; il doit en être à plus forte raison de même pour les dites actions, qui sont seulement interdites en ce jour par prescription rabbinique. Par contre, dit R. Josué, on peut opposer les règles relatives aux jours de fête, où il est permis pur la consommation d’accomplir les actions graves d’égorger ou de cuire; et pourtant il est interdit d’accomplir les dites actions de mesure rabbinique (p. ex. d’apporter du dehors, parce qu’on peut le faire d’avance). -Quoi, Josué, lui répliqua R. Eliézer, tu établis un parallèle entre la consommation volontaire des jours de fête et une cérémonie religieuse (le sacrifice pascal; pour celui-ci, les sages suspendent leurs prescriptions ordinaires). R. aqiba opposa que la question d’aspersion (à l’égard de celui qui achève les jours de purification) doit être invoquée pour prouver le maintien des mesures rabbiniques, même vis-à-vis du sacrifice pascal: quoiqu’elle provoque l’accomplissement d’un acte religieux (en permettant à un tel homme d’accomplir la Pâques) et qu’une simple mesure rabbinique l’interdise, elle ne l’emporte pas sur la solennité du Shabat; il ne faut donc s’étonner si lesdites actions, quoique provoquant un acte religieux et constituant seulement un interdit rabbinique, ne l’emportent pas sur le Shabat. Dans le sens même de l’aspersion, répliqua R. Eliézer, je raisonne à l’opposé et je dis: puisque l’égorgement qui est un travail capital peut pourtant avoir lieu le samedi; il en sera à plus forte raison de même pour l’aspersion qui est un simple interdit rabbinique (et ne l’autorise en ce cas). C’est tout le contraire, dit R. aqiba: étant admis que l’aspersion, bien que ce soit un simple interdit rabbinique, ne l’emporte sur le Shabat, on pourrait en déduire l’interdit d’égorger en ce jour, qui est un travail capital. -Quoi aqiba, s’écria R. Eliézer, prétends-tu annuler les paroles mêmes de la Loi, disant: “vers le soir, en son temps”, aussi bien aux jours de semaine que le samedi? - Montre-moi donc, répondit R. aqiba, l’emploi du mot temps fixe pour lesdites actions (d’interdit rabbinique), comme on le trouve précisé pour l’égorgement (elles doivent donc avoir lieu d’avance). -En général, dit-il, tout travail qui pourra être accompli la veille du Shabat sera interdit en ce jour; l’égorgement, ne pouvant pas avoir lieu d’avance, est permis."
Mishnah Pesachim 6:3,"On offre le sacrifice de fête en même temps que l’agneau pascal (le 14), si c’est en un jour de semaine, à l’état de pureté, et que l’agneau offre peu à manger pour la compagnie. Mais, si c’est un samedi, ou s’il y a assez à manger (vu le petit nombre de compagnons), ou à l’état impur, on ne l’offrira pas."
Mishnah Pesachim 6:4,"Pour ce sacrifice, on pouvait prendre à volonté du menu bétail, ou du gros, moutons ou chèvres, mâles ou femelles, et en manger pendant 2 jours et une nuit."
Mishnah Pesachim 6:5,"Si l’on a égorgé l’agneau pascal le 14 Nissan se trouvant être un samedi, en dehors de sa destination propre, on est passible d’un sacrifice expiatoire (pour avoir enfreint involontairement le repos shabatique par un sacrifice sans valeur). Si l’on a égorgé en vue de la Pâques tout autre animal (du festin de paix), au cas où celui-ci ne peut pas servir au sacrifice pascal (si ce n’est pas un agneau d’un an, ou si c’est une femelle), on sera passible de la même pénalité; au cas contraire, R. Eliézer impose la même pénalité (en raison de l’erreur commise), mais R. Josué en dispense<sup>224</sup><i class=""footnote"">Cf. ci-dessus, (5, 2), fin.</i>. R. Eliézer justifie ainsi son opinion: puisque si l’on a changé la destination de l’agneau pascal, qu’il est permis d’égorger en vue de son but propre, on est passible d’une pénalité; à plus forte raison est-on coupable si l’on a modifié la destination des sacrifices ordinaires, qu’il est même interdit d’égorger ce jour là (au 14 Nissan, survenant un samedi), en vue de leur propre destination. R. Josué réplique: il est vrai qu’il y a culpabilité pour l’agneau pascal égorgé en dehors de son but, parce qu’alors on l’a égorgé en vue de sacrifices interdits ce jour là, tandis qu’au cas opposé, il s’agit de sacrifices ordinaires, dont le changement de but a eu en vue un objet permis en ce jour de Shabat (l’égorgement du sacrifice pascal). -J’invoque en faveur de mon avis, dit R. Eliézer, l’exemple des sacrifices publics (quotidiens du samedi, ou suppléments de ce jour); il est permis le samedi de les égorger pour leur destination habituelle, et pourtant l’on serait coupable si l’on égorgeait en ce jour tout autre sacrifice, même dans leur propre but. -Ceci ne prouve rien, répliqua R. Josué; pour les sacrifices publics, il y a une limite précise de temps et de nombre (de sorte que la confusion est presque impossible); tandis que pour l’agneau pascal, où l’on est entouré d’un grand nombre de victimes, une erreur est plutôt possible en vue d’un acte religieux (et l’on ne doit pas être coupable). R. Meir dit: on est même dispensé de la pénalité si, par erreur, on a égorgé (n’importe quel samedi) des sacrifices quelconques, en vue des offrandes obligatoires publiques."
Mishnah Pesachim 6:6,"Si le samedi l’on a égorgé l’agneau pascal pour ceux qui n’en mangent pas (malades ou vieillards), ou pour ceux qui n’ont pas été comptés au nombre des participants, ou pour des incirconcis (néophytes), ou des gens impurs, on sera coupable en raison de l’invalidité du sacrifice (en ce cas il est défendu d’enfreindre le Shabat). Mais s’il a été égorgé tant pour ceux qui en mangent que pour ceux qui n’en mangent pas, ou pour ceux qui sont des participants comme pour ceux qui n’y participent pas, ou à la fois pour les circoncis et les incirconcis, pour les gens purs et les impurs, on est dispensé de toute pénalité, le sacrifice est alors valable. Si après l’avoir égorgé on s’aperçoit que la bête a un défaut (qu’en cherchant bien on eût aperçu d’avance), le sacrifice est invalidé, et l’on est coupable; mais, si après l’égorgement, on lui découvre une lésion interne (impossible à prévoir), on est dispensé de toute pénalité (malgré l’invalidité du sacrifice). Si après l’égorgement l’on apprend que les maître en avaient retiré leurs mains (avaient renoncés à la possession au profit d’autrui), ou s’ils sont morts (un instant avant la cérémonie) ou s’ils sont subitement devenus impurs, on n’est pas coupable; car le sacrifice (quoique non valable) a été accompli avec la pensée qu’il servirait."
Mishnah Pesachim 7:1,"Pour rôtir l’agneau pascal, on l’embrochait dans une tige en bois de grenadier<sup>228</sup><i class=""footnote"">On choisissait ce bois, parce qu'il n'émet pas de liquide, dont la présence est sévèrement interdite.</i>, sur laquelle on l’enfonçait depuis la gueule jusqu’à l’anus; au milieu du corps vidé, on remettait les jarrets et les entrailles<sup>229</sup><i class=""footnote"">(Lv 12, 9).</i>, selon l’avis de R. Yossé le galiléen. En agissant ainsi, dit R. aqiba, on semblerait cuire les parties internes (ce qui est absolument interdit), et il faut les suspendre en dehors."
Mishnah Pesachim 7:2,"On ne doit rôtir l’agneau pascal ni sur une broche (en métal), ni sur le gril, escara. R. Cadoq raconte qu’il est arrivé à R. Gamliel de donner l’ordre à son serviteur Tobie de faire rôtir l’agneau pascal sur le gril. Si la chair a touché aux parois du four, il faut peler cette partie (elle n’est pas rôtie “au feu”); si une parcelle du jus est tombée sur les parois du four et qu’elle a rejailli sur la chair (qui se trouve rôtie en un point par la brûlure du jus, non par le feu direct), il faut en enlever le point touché (à l’épaisseur d’un doigt). Si une parcelle de jus est tombée sur de la farine bouillante (n’a pas été rôtie au feu direct), il faut enlever la partie de farine ainsi atteinte (et la rejeter, ou brûler)."
Mishnah Pesachim 7:3,"Si l’on a enduit l’agneau pascal avec de l’huile d’oblation, il pourra être consommé par une association de cohanim. Si la compagnie réunie pour manger cet agneau se compose de simples israélites, au cas où l’animal est encore vivant, il suffit de l’essuyer; s’il est rôti (et a absorbé cette huile), il faut enlever la croûte extérieure. S’il a été enduit avec de l’huile de seconde dîme, il ne sera pas permis de conditionner avec les membres de la réunion qu’ils paient le montant de leur part, car on ne vend plus de seconde dîme une fois qu’elle est à Jérusalem (il faut la consommer sur place)."
Mishnah Pesachim 7:4,"Cinq objets différents (des sacrifices publics) peuvent être offerts à l’état impur (le devoir de les offrir l’emporte sur l’impureté), sans qu’il soit permis toutefois d’en manger. Ce sont: la première gerbe d’Omer (Lv 23, 15), les deux pains du Temple (à Pentecôte) et le pain de proposition, les sacrifices de paix publics, les boucs offerts le jour de la Néoménie. Si l’agneau pascal a été offert par des gens la plupart impurs, il pourra être consommé, puisque le principe même de cette offre se rapporte à la consommation."
Mishnah Pesachim 7:5,"Si la chair de l’agneau pascal est devenue impure, bien que la graisse (interdite) reste pure, on ne versera plus le sang (ne pouvant pas manger l’agneau); au cas contraire, si la graisse est devenue impure (ne pouvant plus être brûlée sur l’autel), mais la chair reste pure, on versera le sang (en vue de la consommation permise). Il n’en est pas de même des autres consécrations: bien que la chair soit devenue impure, si la graisse est restée pure (et pourra être brûlée sur l’autel), on fera l’aspersion du sang."
Mishnah Pesachim 7:6,"Si l’assemblée est devenue impure, ou la majeure part, ou si les cohanim sont impurs et l’assemblée est pure, on offrira le sacrifice pascal malgré l’état d’impureté de l’assemblée (sans attendre à la seconde Pâques, au 14 Iyar, réservée aux impurs isolés). Si la minorité de l’assemblée est impure, les gens purs offriront le premier sacrifice; les autres attendront à la seconde Pâques (pour l’offrir à part)."
Mishnah Pesachim 7:7,"Si après l’aspersion du sang de l’agneau pascal on apprend qu’il est impur, le pardon de cette faute involontaire sera racheté par le grand prêtre muni du frontal (Ex 28, 38). Mais si le sacrificateur était impur, ce pardon ne lui est pas applicable<sup>256</sup><i class=""footnote"">Vu l'invalidité, il faudra offrir le sacrifice à la 2e Pâques.</i>, car il a été dit: en cas d’impureté (imprévue) pour le sacrifice de naziréat ou de Pâques, le frontal provoquera le pardon si le sang d’aspersion est devenu impur (et a été répandu en cet état sans le savoir); mais ce même pardon n’est pas applicable à l’impureté inhérente au sacrificateur. S’il survient une impureté du sol (de se trouver au-dessus d’une tombe sans avoir pu le prévoir), le porteur du frontal (le grand prêtre) causera le pardon."
Mishnah Pesachim 7:8,"Si l’agneau pascal est devenu entièrement impur ou en majeure partie, on le brûlera devant le sanctuaire avec le bois de l’autel. Si la moindre part est devenue impure, ainsi que le reliquat (après minuit), on le brûlera dans sa propre cour, ou sur son toit en se servant de son bois. Les avares le brûlent (en ce cas) devant le sanctuaire pour profiter du bois de l’autel (sans user le leur)."
Mishnah Pesachim 7:9,"Dès que l’agneau pascal a été emporté hors de Jérusalem, ou s’il est devenu impur, on le brûlera aussitôt (le même jour du 14 Nissan); mais si le maître est devenu impur, ou s’il est mort, il faut attendre pour brûler la victime, qu’elle ait changé d’aspect<sup>263</sup><i class=""footnote"">""Le texte mischnique du Talmud Babli ajoute: """" on le brûlera le 16 """".""</i>. R. Yohanan b. Broqa dit de la brûler aussi de suite, puisque cette chair n’a pas de consommateurs."
Mishnah Pesachim 7:10,"Les os, les nerfs et le reliquat doivent être brûlés le 16 Nissan; et si le 16 se trouve être un samedi, on les brûlera le lendemain 17, car cette combustion n’est pas assez grave pour l’emporter sur les solennités du samedi ou des jours de fête."
Mishnah Pesachim 7:11,"Toutes les parties susceptibles d’être mangées dans le bœuf (déjà durcies) peuvent aussi être consommées dans l’agneau le plus tendre, ainsi que les pointures de l’épaule et les tendons, ou cartilages. Celui qui brise un os d’un agneau pascal pur sera passible de la pénalité des 40 coups de lanière; mais on n’encourra pas cette peine si l’on en laisse, fut-il pur, ou si l’on brise un os de l’agneau devenu impur."
Mishnah Pesachim 7:12,"Si une partie du membre dépasse l’enceinte (qui lui est assignée), l’on coupe cette partie jusqu’au contact de l’os, puis on le pèle jusqu’à ce que l’on atteigne la jointure, d’où l’on coupe ce qui dépasse. Pour les saintetés autres que l’agneau pascal, dont il n’est pas défendu de briser les os, on le rompt par un coup de hache. Ce qui se trouve à partir du battant de la porte, vers l’intérieur, est considéré comme étant au-dessus; si c’est tourné vers l’extérieur, on considère cette partie comme externe. Enfin, ce qui est placé dans les meurtrières de l’enceinte de Jérusalem, ou sur l’épaisseur du mur, est considéré comme à l’intérieur."
Mishnah Pesachim 7:13,"Si deux compagnies mangent du même agneau dans une seule maison, les uns peuvent se tourner d’un côté pour manger, les autres de l’autre côté (n’étant pas tenus de se joindre), et le réchaud d’eau servant à couper le vin sera placé au milieu. Lorsque le servant se lève pour verser, il avalera ce qu’il a dans la bouche avant de se retourner pour servir un membre de l’autre compagnie; puis il pourra manger de celle-ci. De même, une fiancée timide (rougissant de manger dans l’assemblée) peut se tourner pour manger (sans crainte de constituer une série à part)."
Mishnah Pesachim 8:1,"Lorsqu’une femme habite la maison de son mari et que, lors de l’égorgement de l’agneau pascal, elle a été comprise dans le groupe de son mari et dans celui de son père, elle mangera de l’agneau égorgé par son mari. Si à la première fête qui a suivi son mariage elle est allée (selon l’usage) prendre part au repas de famille chez son père et que cependant, à Pâques, elle a été à la fois comprise dans le groupe du père et dans celui de son mari, elle mangera où elle voudra. Si un orphelin a été compris dans le groupe de chacun de ses deux tuteurs, il pourra manger où il veut. L’esclave de deux associés ne pourra manger chez aucun d’eux (le soir de Pâques); sans leur consentement mutuel enfin, celui qui est à moitié esclave et à moitié affranchi (n’étant libre qu’à l’égard de l’un des associés) ne pourra pas manger chez le maître dont il dépend (envers lequel il reste soumis)."
Mishnah Pesachim 8:2,"Si quelqu’un dit à son esclave d’aller égorger pour lui l’agneau pascal, soit chevreau, soit agneau, il le mangera; si l’esclave a égorgé les deux, le premier seul sera mangé (le second sera brûlé). S’il ne se souvient plus de l’ordre du maître, il devra égorger un chevreau et un agneau, en raisonnant ainsi: si le maître a désiré un chevreau, l’agneau sera pour moi; s’il a désiré un agneau, le chevreau sera pour moi. Si le maître a oublié son dire, il faudra brûler les deux offrandes (en raison du doute), sans être tenu toutefois de recommencer à la seconde Pâques."
Mishnah Pesachim 8:4,"Si quelqu’un pour la part qui lui revient s’adjoint d’autres personnes, il pourra prendre sa part et constituer un groupe isolé avec lequel il mangera, pendant que les autres mangeront de leur côté."
Mishnah Pesachim 8:5,"Pour un homme atteint de gonorrhée qui a eu deux écoulements (dont l’impureté dure 7 jours, sans entraîner de sacrifice), on pourra égorger l’agneau pascal avant la fin du 7e jour (au moment où il prendra le bain légal). S’il a eu trois atteintes, on ne pourra égorger la victime pour lui qu’au 8e jour (s’il coïncide avec la veille de Pâques). De même pour la femme dont l’état de pureté est douteux, et qui, un jour sur deux, reste sans tache, on pourra égorger la victime au second jour qu’elle compte comme point de départ de la pureté; si elle a été atteinte pendant deux jours, on peut sacrifier pour elle au 3e jour où elle est intacte; si elle voit des atteintes trois jours consécutifs (ce qui constitue l’état maladif réel), on n’égorgera la victime qu’au 8e jour de purification."
Mishnah Pesachim 8:6,"Pour l’homme en deuil (avant l’enterrement du mot), pour celui qui cherche un homme tombé sous un monceau de pierres (et dont on ne sait s’il est mort, ou vivant), pour celui qui a reçu la promesse d’être tiré de captivité à la fête, pour un malade ou un vieillard capable de manger au moins la valeur d’une olive, on pourra égorger l’agneau pascal. Toutefois, dans aucun de ces cas, on n’égorgera l’agneau pour cet individu seul, dont l’état précaire peut l’empêcher de manger, de crainte que le sacrifice pascal reste sans emploi et devienne impropre au culte. Aussi (en vertu de la validité lors de l’égorgement), s’il est arrivé un motif de défectuosité à l’un de ces hommes, ils sont dispensés de recommencer à la seconde Pâques, sauf celui qui cherchait un homme tombé sous un monceau et qu’il a trouvé mort, dont l’impureté l’avait atteint de suite (avant l’égorgement de la victime)."
Mishnah Pesachim 8:7,"On ne devra pas égorger l’agneau pascal pour une personne seule, dit R. Juda; mais R. Yossé le permet, et par contre (dit-il), même pour une compagnie de cent personnes incapables de manger la valeur minimum d’une olive, on ne pourra pas l’égorger. On ne formera pas de groupe (pour cette consommation) composé seulement de femmes, d’esclaves, d’enfants."
Mishnah Pesachim 8:8,"L’homme en deuil (le jour du décès de son parent) pourra prendre le bain légal, de façon à avoir la faculté de manger l’agneau pascal à la nuit; mais cette faculté ne s’étend pas à d’autres saintetés. Le jour où l’on reçoit la nouvelle du décès d’un parent, ou celui de la réunion d’ossements retrouvés d’ancêtres, on pourra prendre le bain l’égal et consommer l’agneau pascal le même soir. Quant au prosélyte converti la veille même de Pâques, d’après l’école de Shammaï, il peut prendre le bain légal en ce jour, puis manger le même soir de l’agneau pascal; d’après l’école de Hillel, la circoncision<sup>302</sup><i class=""footnote"">Littéralement: la séparation du prépuce.</i> équivaut à la séparation d’une tombe (comme elle exige des aspersions à intervalles séparés, cette consommation ne lui est pas encore permise)."
Mishnah Pesachim 9:1,"Si quelqu’un étant impur, ou à une grande distance de Jérusalem, n’a pas pu offrir le premier sacrifice pascal (au 14 Nissan), il offrira le second (au 14 Iyar). S’il a oublié le premier, ou s’il en a été empêché par violence, il devra aussi offrir la seconde. -S’il en est ainsi (que des cas de force majeure sont une cause d’ajournement), pourquoi le texte biblique parle-t-il seulement de “l’homme impur, ou se trouvant à une grande distance” (Nb 9, 10)? -C’est pour dire qu’à l’égard de ces deux derniers cas, s’il y a omission nouvelle, la pénalité du retranchement ne leur sera pas appliquée; tandis qu’elle le sera à ceux qui, de plein gré, l’auraient omis à la seconde Pâques, après en avoir détournés forcément à la première."
Mishnah Pesachim 9:2,"On appelle distance lointaine ce qui est au-delà de Modéin<sup>324</sup><i class=""footnote"">Sépulture de Mathathias Maccabée. Voir Neubauer, Géographie, p. 99.</i>, et à un égal rayon à partir de Jérusalem en tous sens. Tel est l’avis de R. aqiba. Selon R. Eliézer, on comptera depuis cette localité jusqu’au seuil du parvis sacré (non jusqu’à l’enceinte seulement). R. Yossé dit: il y a un point supérieur placé sur le terme biblique “lointain” (pour le souligner), afin d’indiquer qu’il ne s’agit pas en réalité d’une grande distance très éloignée, mais même au-delà du parvis du Temple (si l’on ne peut pas en approcher), c’est considéré comme lointain."
Mishnah Pesachim 9:3,"Quelle différence y a-t-il entre la première Pâques et la seconde? A la première, la présence du levain est interdite par les défenses de “ne pas le laisser voir”, “ni apparaître”, tandis qu’à la seconde on pourra avoir simultanément chez soi du pain et de l’azyme. A la première, il faut réciter le Hallel en mangeant le pain ""ne pas le laisser voir”. Toutefois, pour l’une et l’autre, il faut réciter le Hallel en sacrifiant l’agneau pascal, de même qu’aux deux cas, le rôti sera accompagné d’azyme et d’herbes amères;et, pour chacune, la solennité shabatique cède devant le devoir d’accomplir ce sacrifice."
Mishnah Pesachim 9:4,"L’agneau pascal offert à l’état impur (par une assemblée impure du contact d’un mort) ne pourra pas être consommé par des hommes ou des femmes atteints de gonorrhée, ou des femmes menstruées, ou en couches; si pourtant l’une de ces personnes l’a mangé, elle n’est pas passible de la peine du retranchement pour ce fait; selon R. Eliézer, elles échappent aussi à cette pénalité si elles ont pénétré au Temple, malgré l’interdit formel."
Mishnah Pesachim 9:5,"Voici quelle différence il y a entre la Pâques célébrée en Egypte et celle des autres générations: pour celle de l’Egypte, l’agneau a été acquis dès le 10 Nissan, accompagné forcément de l’aspersion du sang, à l’aide d’un bouquet d’hysope, sur le linteau et les deux poteaux des portes; on le mangerait à la hâte et pendant une seule nuit. Pour la Pâques des autres générations, la loi du levain est applicable pendant sept jours."
Mishnah Pesachim 9:6,"R. Josué dit: j’ai entendu dire par mes maîtres que tantôt l’échange de l’agneau pascal est offert après Pâques comme sacrifice pacifique (rémunératoire), tantôt il ne l’est pas, et je ne sais plus expliquer à quel cas ces règles s’appliquent. Je vais te le dire, répond R. aqiba: si l’agneau pascal, ayant été égaré, a été remplacé par un autre, et qu’avant la cérémonie de l’égorgement on retrouve le premier, celui qui a été écarté devra retourner au pacage et y rester jusqu’à la survenue d’un défaut, puis être vendu, pour qu’avec le montant on achète un autre animal servant de sacrifice pacifique. On agira de même avec l’autre animal, représentant l’équivalent (et avec le montant il sera acquis une victime pacifique). Si l’on retrouve le premier animal après que le second (qui le représente) a été égorgé pour la Pâques, celui-ci pourra être offert directement comme victime pacifique (rien n’en détourne), et il en sera de même pour l’échange qui eût été opéré avec ce premier animal (non écarté)."
Mishnah Pesachim 9:7,"Si l’on a destiné à la Pâques une femelle, ou un mâle âgé de deux ans (tous deux impropres à ce sacrifice), cette victime devra retourner au pacage, jusqu’à ce qu’il lui survienne un défaut, puis être vendue, puis le montant doit être versé à la caisse des dons au Temple. Si après avoir déterminé l’agneau pascal le maître meurt, son fils ne pourra pas offrir l’agneau après le père à titre pascal (n’ayant pas été admis à cet effet en principe), mais il pourra l’utiliser comme victime pacifique."
Mishnah Pesachim 9:8,"Lorsque l’agneau pascal se trouve mêlé à des sacrifices obligatoires (dont on ne peut plus le distinguer), toutes ces victimes devront retourner au pacage, jusqu’à ce qu’il leur arrive un défaut qui permet de les rendre; puis, en raison du doute, on devra vendre chacun de ces sacrifices pour le prix du plus beau d’entre eux, en payant de sa propre bourse la différence entre cette vente et le prix supérieur de l'achat. Si l’agneau pascal se trouve mêlé à des premiers-nés (destinés aux cohanim seuls), il pourra être consommé, selon R. Simon, par une compagnie exclusivement composée de cohanim.-<sup>342</sup><i class=""footnote"">La guemara sur ce se retrouve en (Maasser Sheni 3, 2), traduit t. 3, p. 220.</i>"
Mishnah Pesachim 9:9,"Lorsqu’une compagnie a perdu son agneau pascal et qu’elle dit à quelqu’un d’aller le lui chercher, puis de l’égorger pour elle, que cet envoyé a suivi cet ordre, l’a trouvé et l’a égorgé, pendant que de son côté la compagnie (ne l’espérant plus retrouver) a acquis un autre agneau qu’elle a égorgé, si l’agneau retrouvé par le messager a été égorgé en premier lieu, celui-ci pourra en manger et réunir autour de lui ladite compagnie<sup>343</sup><i class=""footnote"">Le second agneau, étant sans objet, sera brûlé.</i>; si le second agneau acheté a été égorgé avant l’autre, il sera consommé par la compagnie, et le premier (auquel la compagnie a renoncé) ne sera consommé que par le messager. Si l’on ignore lequel des deux a été égorgé le premier, ou s’ils l’ont été au même moment, l’envoyé seul pourra manger du premier qu’il a égorgé; les autres (qui y ont renoncé) ne peuvent pas en consommer, et le second achat (sans objet dans le doute) devra être brûlé, les dispensant toutefois de célébrer la seconde Pâques<sup>344</sup><i class=""footnote"">Ils ont, en tous cas, fait partie de l'un des groupes.</i>. Lorsqu’il a été convenu qu’en cas d’absence prolongée du messager, on égorgera un autre agneau pour lequel il sera compté, que cependant il finit par trouver le premier agneau et l’égorge, pendant que de leur côté les gens de la compagnie ont acquis une victime qu’ils ont égorgée, si cette dernière a été égorgée avant l’autre, ces gens la mangeront et pourront admettre le messager auprès d’eux (rejetant le premier agneau); si le sien (le premier agneau) a été égorgé en premier, chacun de son côté mangera celui qu’il a égorgé. En cas d’ignorance sur la priorité, ou de simultanéité, la compagnie peut manger le sien (le nouveau); mais lui (en raison du doute sur sa renonciation) ne peut pas en manger, et celui qu’il a égorgé (le premier) devra être brûlé, sans toutefois obliger cet envoyé à célébrer la seconde Pâques<sup>345</sup><i class=""footnote"">Même observation qu'à la note précédente.</i>. Lorsqu’il y a eu double convention, qu’en cas de retard chacun de son côté égorgera la victime en y comprenant l’autre, tous mangeront de celui qui aura été égorgé le premier (en raison de la réciprocité d’adjonction); en cas d’ignorance sur la priorité, les deux victimes devront être brûlées (le doute de l’abandon est reporté sur les deux). Si rien n’a été convenu (ni d’une part, ni de l’autre), nul n’est responsable envers l’autre (et chacun mangera de son côté la victime qu’il a égorgée)."
Mishnah Pesachim 9:10,"Si les agneaux de deux compagnies se trouvent mêlés, chacune d’elles attirera une victime de son côté; puis un membre de chaque compagnie quittera les siens, se rendant auprès de l’autre, et les gens, en le recevant, diront: si l’agneau pascal que nous avons retiré est bien le nôtre, renonce à ta part sur l’autre, et sois compté avec nous; si au contraire c’était le vôtre (si notre choix n’a pas réussi), nous déclarons renoncer au nôtre, demandant à être adjoints au tien. On procédera de même s’il y a eu mélange des cinq agneaux appartenant à des groupes composés chacun de dix personnes: chaque compagnie attirera à elle l’un des agneaux au hasard, puis les participants s’échangeront mutuellement entre les groupes, et ils adopteront les conventions réciproques de renonciation et d’adjonction qui viennent d’être énoncées."
Mishnah Pesachim 9:11,"Si les agneaux de deux personnes (A et B) sont mêlés (et il n’est plus possible de les distinguer l’un de l’autre), chacun en attire un de son côté et s’adjoint quelqu’un (C) de la place publique pour cette consommation; puis chacun des deux se rend chez l’autre, et A par exemple dira à C: si le présent agneau est juste le mien, renonce à la part qui te revenait sur l’agneau de B (qui t’avait invité) et sois adjoint à moi; si cet agneau est à toi B, je déclare renoncer au mien et je demande à être adjoint au tien<sup>347</sup><i class=""footnote"">Cette convention est possible, grâce à la présence d'un tiers, possesseur conditionnel (pour une part) de l'un ou l'autre.</i>."
Mishnah Pesachim 10:1,"La veille de Pâques, vers le soir, on ne devra rien manger jusqu’à la nuit. Même les pauvres en Israël devront s’accouder sur le lit pour prendre ce repas, en signe de liberté, et ils ne devront pas boire moins des 4 coupes de vin réglementaires, même ceux qui sont obligés de solliciter leur subsistance à la charité publique."
Mishnah Pesachim 10:2,"Lorsque la première coupe de vin est versée, selon Shammaï, on bénit d’abord la solennité du jour (en prononçant la sanctification de la fête), puis on dit la formule de bénédiction pour le vin; d’après l’école de Hillel, on bénit d’abord Dieu pour le vin, puis pour la fête –.<sup>353</sup><i class=""footnote"">La guemara sur ce est reproduite du (Berakhot 8, 1), traduit t. 1, pp. 138-9. Cf. (Yoma 7, 2).</i>"
Mishnah Pesachim 10:3,"On apporte ensuite devant l’assistance, des herbes et de la laitue, laissant les herbes tremper au milieu de la laitue, jusqu’à ce que l’on arrive au commencement du repas. Puis l’on apporte ensemble des azymes, de la laitue, de la sauce à tremper, bien que cette dernière sorte ne représente pas un précepte religieux; selon R. Eliézer b. Zadoq, celle-ci aussi représente une observance religieuse. Enfin, au Temple, on y joignait le corps même de l’agneau pascal."
Mishnah Pesachim 10:6,"Jusqu’à quel passage du Hallel le récitera-t-on? Selon Shammaï, jusqu’à: Il lui donne les joies de la maternité (Ps 113, 8): selon Hillel jusqu’au verset: il change le caillou en source vive (Ps 114, 9). L’on termine par la bénédiction de la délivrance, que R. Tarfon formule ainsi: “qui nous a délivrés de l’Egypte, nous et nos père, qui nous a fait la grâce de nous laisser vivre jusqu’à cette nuit”, sans terminer par une nouvelle forme de bénédiction divine. Selon R. aqiba, on ajoute: “Aussi ô Eternel, notre Dieu et Dieu de nos ancêtres, laisse-nous vivre jusqu’aux fêtes et aux autres solennités prochaines. Accorde-nous la joie de voir relever les murs de ta ville et ton culte rétabli dans ton Temple. Fais que nous y mangions des sacrifices pacifiques et l’agneau pascal, dont le sang aura été répandu sur tes autels pour te plaire. Nous te rendons grâce de notre affranchissement. Sois loué, Eternel, qui as délivré Israël”."
Mishnah Yoma 1:1,"Sept jours avant la solennité du grand pardon, le pontife s’isole de sa famille et se tient dans la cellule des assesseurs (paredri). On lui désigne d’avance un suppléant pour le cas où il lui arriverait un accident (obviant à la célébration du culte). Il faut même, dit R. Juda, lui assigner (dubitativement) une autre femme, de crainte que la sienne meure; or, il est dit (Lv 16, 6): afin d’obtenir grâce pour lui-même et pour sa maison, dernière expression applicable à la femme. -Non, disent les autres sages, si l’on voulait éprouver de telles craintes, cela n’aurait pas de fin."
Mishnah Yoma 1:2,"Pendant les sept jours préliminaires, le grand pontife (pour s’exercer au service) fait les aspersions de sang des sacrifices quotidiens, brûle l’encens à l’autel, nettoie les lampes, offre la tête et les pieds des victimes. Le reste de l’année, il peut à son gré accomplir un de ces services, car le grand pontife peut le premier prendre une part du culte public, de même qu’il a le droit de choisir la première part pour lui."
