mishnah_tref,talmud_tref,french_text,hebrew_text
Mishnah Kilayim 2:8,Jerusalem Talmud Kilayim 2:6:1,"A un champ de blé on ne doit pas adosser de la moutarde<sup>74</sup><i class=""footnote"">""A leur vue, on pourrait croire que le propriétaire 'a semé; car sans cela, si même c'eut été semé par le voisin, il ne l'eut pas laissé.""</i>, ou du safran sauvage (qui lui nuisent); mais on peut les semer à côté d’un champ de verdure (on voit bien la distinction). En général, on peut semer des espèces différentes si elles sont séparées par un champ en friche ou par un autre fraîchement labouré, ou si c’est auprès d’un mur de pierre, ou au bord d’un chemin privé, ou d’une haie haute de dix palmes, ou d’un fossé profond de dix palmes et large de quatre, ou d’un arbre dont les branches touchent la terre, ou enfin d’un rocher haut de dix palmes et large de quatre (ce sont des séparations nettes).",אין סומכי' לשדה תבואה חרדל וחריע. אבל סומכין לשדה ירקות חרדל וחריע. סומך לבור &lt;ולנוד&gt; [ולניר] ולגפא ולדרך ולגדר שהוא גבוה עשרה טפחי' ולחריץ שהוא עמוק עשרה ורחב ארבעה ולאילן שהוא מיסך על הארץ ולסלע שהוא גבוה עשרה ורחב ארבעה: 
Mishnah Kilayim 2:9,Jerusalem Talmud Kilayim 2:7:1,"Si quelqu’un peut diviser son champ en carrés contenant chacun une espèce différente, il peut, dans un champ pouvant fournir une récolte d’un saa<sup>78</sup><i class=""footnote"">Cela équivaut à un espace de 50 coudées carrées.</i>, établir 24 carrés, ayant chacun la contenance d’un quart de cab<sup>79</sup><i class=""footnote"">Soit dix coudées en largeur sur dix coudées et deux palmes et demi en longueur.</i>, et l’on y sème n’importe quelle espèce (leur disposition en carré les sépare). Si, dans un champ de blé, l’on a un ou deux carrés d’un quart de cab libres, l’on peut y semer de la moutarde; mais s’il y en a trois (rapprochés), on ne peut plus rien y semer, même de la moutarde, parce qu’alors cela ressemblerait à un champ de moutarde. Tel est l’avis de R. Meir (que chaque carré est un champ séparé). Selon les autres sages, c’est permis pour 9 plants (sur 25, en raison de leur disposition en damier), mais c’est interdit pour dix. R. Eliézer ben Jacob dit: l’étendue du champ fût-elle si grande que l’on pût y récolter un cour (mesure de 30 saa), l’on ne pourra y cultiver qu’un carré (de semences étrangères).",הרוצה לעשות שדהו קרחת מכל מין עושה עשרים וארבע קרחות לבית סאה מקרחת בית רובע וזורע בתוכה כל מין שירצה. היתה קרחת אחת או שתים זורען חרדל. שלש לא יזרעם חרדל מפני שהיא נראית כשדה חרדל דברי רבי מאיר. וחכמי' אומרי' תשע קרחות מותרות ועשר אסורות. רבי אליעזר בן יעקב אומר אפילו כל שדהו בית כור לא יעשה בתוכה חוץ מקרחה אחת:
Mishnah Kilayim 2:10-11,Jerusalem Talmud Kilayim 2:8:1,"Tout ce qui est enclos dans un champ de la grandeur d’un quart de cab de semence (servant de séparation) est compté dans cette mesure de surface (fût-ce même inapte à la culture). Ainsi l’on comprend dans cette mesure (avec ses conséquences légales) la place de terrain qu’occupe le cep de vigne, ou un tombeau, ou un roc. Entre une espèce de blé et une autre, il faut un intervalle d’un quart de cab<sup>82</sup><i class=""footnote"">Toutefois, l'élément étranger ne devra pas entourer le premier de toutes parts: il devra rester au moins un côté libre.</i>. Entre les diverses verdures, il suffit de 6 palmes; mais entre le blé et la verdure, il faut un espace d’un quart de cab<sup>83</sup><i class=""footnote"">Cela s'applique aux carrés. Mais si, dans un champ de blé, on veut semer un long sillon, il suffit de laisser en largeur un espace de 6 palmes.</i>. Selon R. Eliézer, pour de la verdure au milieu du blé, 6 palmes d’espace suffisent comme séparation.",כל שהוא בתוך בית רובע עולה במידת בית רובע. &lt;אכלת&gt; [אכילת] הגפן והקבר והסלע עולין במידת בית רובע. תבואה בתבואה בית רובע. ירק בירק ששה טפחים. תבואה בירק וירק בתבואה בית רובע. רבי אליעזר אומר ירק בתבואה ששה טפחים. תבואה נוטה על גבי תבואה וירק על גבי ירק תבואה על גבי ירק וירק על גבי תבואה הכל מותר חוץ מדלעת יוונית. ר' או' אף הקישו' ופול המצרי ורואה אני את דבריה' מדבריי:
Mishnah Kilayim 3:1,Jerusalem Talmud Kilayim 3:1:1,"Dans un carré de champ ayant six palmes de longueur sur six de largeur<sup>86</sup><i class=""footnote"">(Shabat 84b), (Pessahim 39b).</i>, on peut semer cinq espèces différentes, en les disposant comme il suit: quatre aux 4 coins du carré et une au milieu (de façon qu’aucune ne touche à l’autre). S’il est entouré d’une bordure (ou banc de limon) ayant un palme de hauteur, on peut y semer 13 espèces, savoir: trois sur chaque côté de la bordure (= 12) et une au milieu (total: 13). On ne devra pas planter une tête de rave à l’intérieur de cette limite, parce qu’elle remplirait l’intervalle. Selon R. Juda, on peut en planter 6 au milieu (soit 18 en tout, puisque d’après lui, il faut 3 espèces, au lieu de 2, pour former l’interdiction de Kilayim).",ערוגה שהיא ששה על ששה טפחים זורעין בתוכה חמשה זירעונין ארבעה בד' רוחות ערוגה ואחד באמצע. היה לה גבול גבוה טפח זורעין בתוכה &lt;ג'&gt; [שלשה] עשר שלשה על כל גובל וגובל ואחד באמצע. לא יטע ראש הלפת בתוך הגובל מפני שהוא ממליהו. רבי יהודה אומר ששה באמצע: 
Mishnah Kilayim 3:2,Jerusalem Talmud Kilayim 3:2:1,"Dans un carré de champ<sup>93</sup><i class=""footnote"">Tel qu'il est indiqué en 1.</i>, il est défendu de semer aucune plantation agraire (qui ne soit pas potagère); mais on peut y semer toute espèce de légumes verts (jardinage). On appelle espèces agraires: par exemple de la moutarde ou des pois ordinaires, ou des pois chiches; on appelle jardinage: par exemple des orobes (gros pois). Si un rebord ayant une hauteur d’un palme<sup>94</sup><i class=""footnote"">Et sur lequel, selon l'autorisation donnée précédemment, on peut semer 12 espèces différentes.</i> s’est un peu effondré, il conserve la valeur qu’il avait au commencement (et les espèces diverses qui y sont semées ne sont pas interdites). Dans un sillon (large de 6 palmes), ou canal desséché ayant une profondeur d’au moins un palme, on peut semer 3 espèces de semences de jardinage, une sur chaque côté et une au milieu (avec espace suffisant).",כל מין זרעים אין זורעין בערוגה וכל מין ירקות זורעין בערוגה. חרדל ואפונין השופין מין זרעונין. אפונין הגמלונין מין ירק. גובל שהיה גבוה טפח ונתמעט כשר. שהיה כשר מתחילתו. התלם ואמת המים שהן עמוקין טפח. זורעין לתוכן שלשה זירעונין אחד מיכן ואחד מיכן ואחד באמצע:
Mishnah Kilayim 3:3,Jerusalem Talmud Kilayim 3:3:1,"Si l’extrémité angulée d’une rangée de verdure<sup>96</sup><i class=""footnote"">(Shabat 85b).</i> pénètre dans un champ d’une autre verdure, cela ne fait rien (cela ne constitue pas un mélange défendu); parce que l’on voit que c’est la fin du champ. Si dans son champ déjà ensemencé d’une espèce de verdure, on veut planter encore un rang d’une autre espèce, on ne peut le faire, dit R. Ismaël, que lorsque le sillon de séparation traverse le champ d’un bout à l’autre. R. aqiba dit: il suffit qu’il ait 6 palmes de longueur et une largeur égale à la profondeur (6 palmes). Selon R. Juda, il suffit que la largeur équivaille à celle d’un pas<sup>97</sup><i class=""footnote"">Toutefois, une extrémité devra rester libre et la partie semée n'être entourée que de trois coudées.</i> (ce qui équivaut au palme).",היה ראש תור ירק ונכנס לתוך שדה ירק אחר מותר מפני שהוא נראה כסוף שדהו. היתה שדהו זרועה ירק והוא מבקש ליטע בתוכה שורה של ירק &lt;אחד&gt; [אחר]. רבי ישמעאל אומר עד שיהא התלם מפולש מראש השדה ועד ראשו. ור' עקיבה אומר אורך ששה טפחים ורוחב מלואו. רבי יודה אומר רוחב כמלוא רוחב הפרסה:
Mishnah Kilayim 3:4-5,Jerusalem Talmud Kilayim 3:4:1,"Il est permis de planter (au milieu d’un champ de blé) deux rangs de concombres<sup>100</sup><i class=""footnote"">C'est la cucumis sativa, selon Duschak, homiletische Beilage au n° 41 du Ben-Chanania de 1866, p. 131.</i>, puis 2 rangs de courges, puis 2 rangs de fèves égyptiennes<sup>101</sup><i class=""footnote"">Il est bien entendu qu'entre chaque sorte on laissera un sillon en friche.</i> (leur étendue leur donne le caractère d’un champ distinct); mais c’est interdit pour une seule rangée de concombres<sup>102</sup><i class=""footnote"">Y eût-il même un sillon de séparation entre chaque sorte.</i>, une de courges, et une de fèves égyptiennes (le peu de largeur de la rangée peut faire supposer une réunion de produits divers, par le mélange et le contact des feuilles). R. Eliezer permet d’établir l’ordre suivant: une rangée de concombres, une de courges, puis une de fèves, et enfin une seconde rangée de concombres (que l’on imagine former, avec la 1re, un champ de concombres, séparé au milieu, par les courges et les fèves); mais les autres sages le défendent<sup>103</sup><i class=""footnote"">Ils n'admettent pas l'hypothèse de R. Eliézer, en raison de la séparation.</i>.",הנוטע שתי שורות של קישואין שתי שורות של דילועין שתי שורות של פול המצרי מות'. שורה של קישואין שורה של דילועין שורה של פול המצרי אסור. שורה של קישואין [שורה] של דילועין שורה של פול המצרי ושורה של קישואין רבי ליעזר מתיר וחכמים אוסרין. נוטע אדם קישות ודלעת לתוך גומא אחת ובלבד שתהא זו נוטה לצד זו וזו נוטה לצד זו. ונוטע שער של זו לכאן ושל זו לכאן. שכן מה שאסרו חכמים לא גזרו אלא מפני מראית העין:
Mishnah Kilayim 3:6,Jerusalem Talmud Kilayim 3:5:1,"Si l’on a un champ planté d’oignons et que l’on désire y semer quelques rangées de courges, il faut au préalable, selon R. Ismaël, en arracher sur un espace de deux rangs (de quatre coudées chacun), ensuite l’on peut planter une rangée de courges au milieu; puis, on laisse en terre des oignons dans l’emplacement équivalent à 2 rangées; plus loin, on les arrache sur une étendue équivalent, et l’on y plante encore une rangée de courges (entre celle-ci et la 1re, il y a ainsi 12 coudées de séparation). Selon R. aqiba, on procède ainsi: on arrache 2 rangs, on en plante 2 autres (de courges); puis on laisse en terre les oignons sur la place de 2 rangs, plus loin on arrache encore 2 rangs et l’on en plante autant<sup>106</sup><i class=""footnote"">""Car alors, entre les rangs de courges, on n'exige une largeur de 8 coudées que pour les sillons contenant des oignons; mais entre 2 rangées de courges et deux d'oignons, un simple sillon suffit.""</i>. Les autres sages disent: s’il n’y a pas entre une rangée et l’autre douze coudées vides<sup>107</sup><i class=""footnote"">En raison de l'extension de leurs feuilles.</i>, il ne faut pas maintenir la semence qui se trouve au milieu d’elles.",היתה שדהו זרועה בצלים וביקש ליטע בתוכה שורות של דילועין רבי ישמעאל אומר עוקר שתי שורות ונוטע שור' אחת ומניח קמת בצלי' במקום שתי שורות ועוקר שתי שורות ונוטע שורה אחת. רבי עקיבה אומר עוקר שתי שורות ונוטע שתי שורות ומניח קמת בצלים במקום שתי שורו' ועוק' שתי שורות ונוטע שתי שורות. וחכמים אומרים אם אין בין שורה לחבירתה שתים עשרה [אמה] לא יקיים זרע של בנתיים:
Mishnah Kilayim 3:7,Jerusalem Talmud Kilayim 3:6:1,"La courge placée à côté de la verdure (jardinage) est considérée comme telle<sup>111</sup><i class=""footnote"">Il faut, en ce cas, laisser l'espace exigé pour ces espèces, soit 6 palmes.</i>. Si elle se trouve au milieu du blé, il faut lui laisser libre un emplacement pouvant fournir un quart de cab. Si le champ est ensemencé par du blé et que l’on veut y planter un rang de courges, on laisse au-devant de ces dernières un espace libre de 6 palmes<sup>112</sup><i class=""footnote"">Pour une rangée entière, plus visible, la séparation sera moindre.</i>; et si une de ces branches s’étend jusqu’à la séparation, on l’arrache de là (pour éviter le mélange). Selon R. Yossé, il faut avant de la cultiver laisser un espace de 4 coudées. Quoi, lui fut-il objecté, serait-ce plus grave que la culture de la vigne<sup>113</sup><i class=""footnote"">""Voir ci-après, (4, 5); elle n'exige que 6 palmes.""</i>? Certes, répondit-il, nous trouvons que c’est plus grave; car, avant de planter un seul cep de vigne, il ne faut laisser que 6 palmes<sup>114</sup><i class=""footnote"">Ci-après, (6, 1).</i>; pour une seule courge, il faut laisser l’espace d’un quart de cab (à cause de l’extension de ses feuilles<sup>115</sup><i class=""footnote"">Il ne faut donc pas s'étonner si, par la même raison, les prescriptions sont plus graves pour la courge plantée par rangée.</i>). R. Meir dit au nom de R. Ismaël: dès qu’il y a trois courges dans un champ de la contenance d’un saa, il n’est plus permis d’y implanter aucune autre semence. R. Yossé ben Hahotef d’Ephrath dit la même règle au nom de R. Ismaël, en l’étendant encore: dès qu’il y a trois courges dans un champ, eût-il la contenance d’un cour (30 saas), l’on ne peut plus rien y semer.",דלעת בירק ירק בתבואה נותנין לה בית רובע. היתה שדהו זרועה תבואה וביקש ליטע בתוכה שורה של דילועין נותנין לעבודתה ששה טפחים. ואם הגדילה יעקור מלפניה. רבי יוסי אומר נותנין לה לעבודתה ארבע אמות. אמרו לו התחמור זו מן הגפן. אמר להן מצינו שזו חמורה מן הגפן של גפן יחידת נותנין לה עבודתה ששה טפחים ולדלעת יחידית בית רובע. רבי מאיר אומר משום רבי ישמעאל כל שלשה דילועין לבית סאה לא יביא זרע לתוך בית סאה. רבי יוסי בן החוטף אפרתים משום רבי ישמעאל כל שלשה דילועין לבית כור לא יביא זרע לתוך בית כור:
Mishnah Kilayim 4:1-3,Jerusalem Talmud Kilayim 4:1:1,"Pour que l’on puisse semer dans une plate-bande<sup>118</sup><i class=""footnote"">Pour le mot karhat, voir (Lv 13, 45). Cf. (Eruvin 3b) et 93a.</i> de vigne, il faut, selon Shammaï, qu’elle ait une étendue de 24 coudées (assez large pour être isolée); selon Hillel, il suffit que ce soit un carré de 16 coudées. Quant à l’entourage de la vigne (destiné exclusivement à cette plantation), il doit avoir, selon Shammaï, 16 coudées, et selon Hillel, douze coudées. Qu’appelle-t-on bande de la vigne? Un espace nu au milieu d’elle. Si, donc (selon Hillel) elle ne comprend pas un espace de 16 coudées, l’on ne peut rien y semer; si, au contraire, elle a cette étendue, on laisse à côté des vignes la place pour les cultiver (quatre coudées dans tous les sens), et l’on sème dans le terrain restant.",קרחת הכרם בית שמאי אומרים עשרי' וארבע אמות. ובית הלל אומרים שש עשרה אמה. מחול הכרם בית שמאי אומרי' שש עשרה אמה ובית הלל אומרי' שתים עשרה אמה. ואי זו היא קרחת הכרם כרם שחרב מאמצעו אם אין שם שש עשרה אמה לא יביא זרע לשם. היו שם שש עשר' אמה נותנין לה עבודתה וזורע את המותר. ואי זהו מחול הכרם בין כרם לגדר. אם אין שם שתים עשרה אמה לא יביא זרע לשם. היו שם שתים עשרה אמה נותנין לה עבודת' וזורע את המותר. רבי יהודה אומ' אין זה אלא גדר הכרם ואי זהו מחול הכרם בין שני כרמים. ואי זהו גדר שהוא גבוה עשרה טפחים. וחריץ שהוא עמוק עשרה ורחב ארבעה:
Mishnah Kilayim 4:4,Jerusalem Talmud Kilayim 4:2:1,"Une clôture de joncs<sup>127</sup><i class=""footnote"">(Eruvin 16b).</i> sert de séparation s’il n’y a pas entre un jonc et l’autre espace de trois palmes, de quoi laisser passer un agneau<sup>128</sup><i class=""footnote"">Dans cette condition, on peut planter la vigne d'un côté, et semer n'importe quoi de l'autre côté.</i>. Si dans une haie il y a une brèche de dix coudées, on la considère comme une porte; si la brèche est encore plus grande, il n’est pas permis, vis-à-vis d’elle, de rien planter (par crainte d’une confusion); s’il y a plusieurs brèches plus petites<sup>129</sup><i class=""footnote"">N'ayant pas plus de dix coudées de long sur trois de large.</i>, il est permis de semer si la partie qui reste intacte dépasse celle qui est renversée; mais, au cas contraire, c’est interdit en face de la brèche.",מחיצת הקני' אם אין שם בין קנה לחבירו שלשה טפחי' כדי שיכנס הגדי הרי זו כמחיצה וגדר שנפרץ עד עשר אמות הרי הוא כפתח. יותר מיכן כנגד הפירצה אסור. נפרצו בו פרצות הרבה אם העומד מרובה על הפרוץ מותר ואם הפרוץ מרובה על העומד כנגד הפירצה אסור:
Mishnah Kilayim 4:5,Jerusalem Talmud Kilayim 4:3:1,"Si l’on plante une rangée de cinq ceps de vigne, elle est considérée comme vigne, selon Shammaï (pour les distances à observer), mais non, selon Hillel: il faut, selon lui, au moins 2 rangées pour constituer la vigne<sup>140</sup><i class=""footnote"">Hors de là, il suffit de laisser 6 palmes d'espace, comme pour un seul cep de vigne.</i>. C’est pourquoi, si dans une vigne<sup>141</sup><i class=""footnote"">(Eduyot 5, 2).</i> l’on ensemence quatre coudées, il faut, selon Shammaï, interdire à tout usage une rangée (Dt 22, 9); selon Hillel, 2 rangées.",הנוטע שורה של חמש גפנים בית שמאי אומרים כרם. ובית הלל אומרים אינו כרם עד שיהו שתי שורות. לפיכך הזורע ארבע אמות שבכרם בית שמאי אומרים קידש שורה אחת ובית הלל אומרים קידש שתי שורות:
Mishnah Kilayim 4:6,Jerusalem Talmud Kilayim 4:4:1,"Si l’on plante deux ceps de vigne en face de 2 autres, qu’un autre cep s’écarte de la rangée comme une espèce de queue<sup>142</sup><i class=""footnote"">En voici la disposition 2 au dessus et trois en dessous</i>, l’ensemble des cinq espèces constitue la vigne; s’il y a 2 ceps en face de 2 autres et un 5e au milieu d’eux<sup>143</sup><i class=""footnote"">C'est-à-dire, s'ils sont ainsi disposés. Voir Rashi, au Sôtâ, 43a.</i>, ou entre les 2 rangées, cela ne constitue pas une vigne; elle n’est considérée comme telle qu’au premier cas (quant à la disposition des cinq ceps).",הנוטע שתים כנגד שתים ואחת יוצא זנב הרי זה כרם. שתים כנגד שתים ואחת בינתיים או שתים כנגד שתים ואח' באמצע אינו כרם עד שיהו שתים כנגד שתים ואחת יוצא זנב:
Mishnah Kilayim 4:7,Jerusalem Talmud Kilayim 4:5:1,"Si l’on plante une rangée de 2 ceps sur son champ et s’il y a une autre rangée (de 3 ceps) chez le voisin, fussent-ils séparés par un chemin privé, ou par une grande route publique<sup>145</sup><i class=""footnote"">Ayant une largeur moindre que 8 coudées.</i>, et même par une haie n’ayant pas une hauteur de dix palmes, on les considère cependant comme jointes<sup>146</sup><i class=""footnote"">Ce sont 5 ceps formant une vigne et exigeant un écart de 4 coudées.</i> mais si cette haie est supérieure à dix palmes, on ne les considère pas comme jointes. Selon R. Juda, on les considère aussi comme jointes si, par en haut (par dessus la haie), les branches s’entrelacent.",הנוטע שורה אחת בתוך שלו ושורה אחת בתוך של חבירו ודרך היחיד ודרך הרבים באמצע וגדר שהוא נמוך מעשרה טפחים הרי אלו מצטרפין. גבוה מעשרה טפחים אינן מצטרפות. רבי יהודה אומר אם ערסן מלמעלה הרי אילו מצטרפות:
Mishnah Kilayim 4:8-9,Jerusalem Talmud Kilayim 4:6:1,"Si l’on plante 2 rangées de 2 ceps, on ne peut rien semer entre elles lorsqu’il n’y a pas entre elles un intervalle de 8 coudées<sup>148</sup><i class=""footnote"">On les considère alors comme une vigne.</i>; s’il y a 3 rangs il faut au moins, pour semer, un espace de 16 coudées<sup>149</sup><i class=""footnote"">Sans quoi, ce serait une vigne ordinaire, pourvue d'une plate-bande.</i>. R. Eliézer ben Jacob dit au nom de Hanania ben Hakhinaï: si même la rangée du milieu (sur 3) est détruite, l’on ne peut rien y semer à moins d’un espace de 16 coudées, bien que si la plantation avait été telle en principe<sup>150</sup><i class=""footnote"">Alors ce n'était pas encore une vigne, et il n'y avait pas la crainte de confusion.</i>, il eût suffit d’une séparation de 8 coudées.",הנוטע שתי שורות אם אין ביניהן שמונה אמות לא יביא זרע לשם. היו שלש אם אין בין שורה לחבירתה שש עשרה אמה לא יביא זרע לשם. רבי ליעזר [בן יעקב] אומר משום חנניה בן חכינאי אפילו חרבה האמצעית ואין בין שורה לחבירתה שש עשרה אמה לא יביא זרע לשם שאילו מתחילה נטען היה מותר בשמונה אמות. הנוטע את כרמו שש עשרה על שש עשרה אמה מותר להביא זרע לשם. אמר רבי יהודה מעשה בצלמין באחד שנטע את כרמו שש עשרה על שש עשרה אמה היה הופך סער שתי שורות לצד אחד וזורע את הניר ובשנה האחרת היה הופך את הסער למקום הזרע וזורע את הבור ובא מעשה לפני חכמים והתירו. ר' שמעון ורבי מאיר אומרי' אף הנוטע את כרמו על שמונה אמות מותר:
Mishnah Kilayim 5:1,Jerusalem Talmud Kilayim 5:1:1,"Si dans une vigne ravagée, il reste encore de quoi vendanger, sur un terrain d’une contenance d’un saa, dix ceps plantés régulièrement et en file<sup>158</sup><i class=""footnote"">N'ayant pas une largeur de 16 coudées et n'étant pas distants de moins de 4 coudées. Voir (4, 6).</i>, cela s’appelle une vigne pauvre (mais les lois s’appliquent à elle comme de coutume). Si une telle vigne est plantée sans ordre, mais qu’il y reste de quoi placer deux en face de trois (en damier), cela s’appelle encore une vigne; mais au cas contraire, ce ne sont que des ceps isolés. Selon R. Meir, c’est toujours une vigne, parce qu’elle en conserve encore l’aspect (et il faut maintenir les distances légales).",כרם שחרב אם יש בו ללקט עשר גפני' לבית סאה ונטועות כהילכתן הרי זה נקרא כרם. כרם דל שהו' נטוע ערבוביא אם יש בו לכוין שתים כנגד שלש הרי זה כרם ואם לאו אינו כרם. רבי מאיר אומר הואיל והוא נראה כתבנית כרמים הרי זה כרם:
Mishnah Kilayim 5:2,Jerusalem Talmud Kilayim 5:2:1,"Si dans une plantation de vigne, il y a moins de 4 coudées de séparation<sup>166</sup><i class=""footnote"">""En ce cas, il n'y a pas assez d'espace pour labourer. (Eruvin 3b); (Baba Batra 34b), 83b et 102.""</i>, ce n’est pas un vignoble, selon R. Simon (et l’on peut y semer, en s’écartant seulement de 6 palmes); mais selon les autres sages, c’est un vignoble, et l’on considère les rangées médiales comme si elles n’y étaient pas<sup>167</sup><i class=""footnote"">L'on suppose les rangées comme étant extérieures, s'il y a entre elles l'espace approprié légalement.</i>.",כרם שהוא נטוע על פחות מד' אמות רבי שמעון אומר אינו כרם וחכמים אומרים כרם ורואים את האמצעיות כילו אינן:
Mishnah Kilayim 5:3-4,Jerusalem Talmud Kilayim 5:3:1,"Si une vigne est traversée par un fossé profond de dix palmes et large de quatre, qui passe d’une extrémité de la vigne à l’autre, on peut, selon R. Eliézer ben Jacob, le considérer comme une séparation entre 2 vignes et même y semer<sup>170</sup><i class=""footnote"">Sa profondeur constitue un espace spécial.</i>; s’il ne la traverse pas dans toute sa longueur, on le considère comme un pressoir (et c’est interdit, d’après l’avis des autres sages à ce sujet). Car, dans un pressoir situé au milieu de la vigne qui ait une profondeur de 10 palmes et une largeur de 4, on peut semer selon R. Eliézer; mais les autres sages l’interdisent. Sur un observatoire placé au milieu de la vigne, haut de 10 palmes et large de 4, on peut semer d’autres substances; mais si les ceps l’atteignent et s’y entrelacent, c’est interdit (le mélange étant trop apparent).",חריץ שהוא עובר בכרם עמוק עשרה ורוחב ארבעה רבי ליעזר בן יעקב אומר אם היה מפלש מראש הכרם ועד סופו הרי זה נראה כבין שני כרמי' זורעין בתוכו ואם לאו הרי הוא כגת. הגת שבכרם עמוקה עשרה ורוחבה ארבעה זורעין בתוכה דברי רבי ליעזר וחכמים אוסרין. שומרה שבכרם גבוה עשרה ורחבה ארבעה זורעין בתוכה. ואם היה סער כותש אסור. גפן שהיא נטועה בגת או בנקע נותנין לה עבודתה וזורע את המותר. רבי יוסי אומר אם אין שם ארבע אמות לא יביא זרע לשם והבית שבכרם זורעין אותו:
Mishnah Kilayim 5:5,Jerusalem Talmud Kilayim 5:4:1,"Celui qui plante de la verdure (jardinage) au milieu de la vigne, ou laisse subsister une telle semence (qui est augmentée de 1/200e) rend 45 ceps de vigne sacrés<sup>172</sup><i class=""footnote"">C'est la mesure comprise dans un espace ayant 16 coudées de toutes parts.</i> (il est obligé de les brûler à cause du mélange). Quand cela a-t-il lieu? Lorsqu’ils sont plantés par rangée de 4 sur 4 en tous sens, ou de 5 sur 5. Mais si les rangées se composent de 6 ou 7, il suffit de consacrer (brûler) ce qui se trouve sur l’espace de 16 coudées dans chaque sens, en traçant un cercle de cette étendue autour du point sacré<sup>173</sup><i class=""footnote"">Pour ces calculs, V. Zuckermann, Monats. 1855, p. 1403. S'il y a un intervalle de 8 coudées entre les rangées, les ceps ne sont pas sacrés.</i>, mais non un carré (ce qui donnerait une étendue plus grande).",הנוטע ירק בכרם או המקיים הרי זה מקדש ארבעים וחמש גפנים. אימתי בזמן שהן נטועות על ארבע ארבע או על חמש חמש. היו נטועות על שש שש או על שבע שבע הרי זה מקדש שש עשרה אמה לכל רוח עגולות לא מרובעות:
Mishnah Kilayim 5:6,Jerusalem Talmud Kilayim 5:5:1,"Si, pendant le travail, on perçoit dans la vigne un élément de jardinage (à arracher) et que l’on dise: “en arrivant là, je l’arracherai”, il est permis de laisser jusque là; mais si l’on dit: “je le cueillerai en revenant une autre fois”, et que dans l’intervalle la plante grandirait<sup>174</sup><i class=""footnote"">Si la croissance d'une plante a lieu, par exemple, en cent heures, elle grandira de 1/200e en une demi-heure.</i> ne fût-ce que de 1/200e, il est interdit d’attendre.",הרואה ירק בכרם ואמר כשאגיע לו אלקטנו מותר כשאחזור אלקנטו אם הוסיף במאתים אסור:
Mishnah Kilayim 5:7,Jerusalem Talmud Kilayim 5:6:1,"Si, en traversant une vigne, on y laisse tomber des semences, ou si elles y ont pénétré avec le fumier, ou avec l’eau d’arrosage, ou si l’on ensemence un champ, et que le vent en pousse des grains derrière le semeur<sup>175</sup><i class=""footnote"">De sorte qu'il n'en a pas eu connaissance.</i> dans la vigne, cela ne fait rien (il n’est pas besoin de brûler tout, mais il faut arracher l’élément étranger qui germerait). Mais si, en cas de semailles, le vent a poussé des grains devant le semeur<sup>176</sup><i class=""footnote"">En ce cas, il l'a vu, et son mélange serait fait avec préméditation.</i>, il faut, selon R. aqiba, labourer la terre s’ils ont produit seulement des herbes et arracher le blé s’il y a déjà des épis<sup>177</sup><i class=""footnote"">Il est trop tard pour les brûler.</i>; enfin, si le blé est arrivé à maturité, il faut tout brûler.",היה עובר בכרם ונפלו ממנו זרעים או שיצאו עם הזבלים או עם המים. הזורע וסיערתו הרוח לאחריו מותר. סיערתו הרוח לפניו רבי עקיבה אומר אם עשבים יופך ואם אביב ינפץ. ואם הביאה דגן ידלק:
Mishnah Kilayim 5:8,Jerusalem Talmud Kilayim 5:7:1,"Si l’on conserve dans la vigne des chardons (servant de fourrage aux chameaux), il faut, selon R. Eliézer, brûler tout; mais selon les autres sages, cette interdiction n’est applicable que lorsqu’il est d’usage général de le conserver<sup>180</sup><i class=""footnote"">""(Shabat 144b); (Baba Batra 156b). Ce n'est qu'en Arabie que l'on a l'habitude d'employer les chardons à nourrir les chameaux.""</i>. L’iris<sup>181</sup><i class=""footnote"">""C'est le sens adopté par l'Aroukh. Cf. Mishna, (Ohalot 8, 1). Selon Bertinoro, c'est une verdure employée dans les sauces, Sisymbria. Selon Maïmonide, il faudrait traduire ce mot par menthe, lequel cependant a 2 correspondants en arabe, qui diffèrent entre eux. Les Arabes ont pour la mentha (gentilis) un mot arabe (Forsk., flora, LXVIII, 213); que Maïmonide le traduit d'un mot qui ne peut correspondre qu'à Iris, selon Reisk, ad Rhazis librum. Quant au mot kisoum, Maïmonide le traduit par le latin coriola (convolvulus, herba arborem ascensu suo comprehendens, pecul. Helxine, selon Dioscor., 4, 39).""</i>, l’hedera cisso"" (ou festuca), le lis royal, ou d’autres plantes de jardinage, ne forment pas de mélange interdit à la vigne. Le chanvre (cannabis) n’est pas défendu, selon R. Tarfon; il l’est, selon les autres sages. Les épines de l’espèce cynara hortensis sont interdites dans la vigne.",המקיים קוצים בכרם רבי ליעזר אומר קידש וחכמים אומרים לא קידש אלא דבר שכמוהו מקיימין. האירוס והקיסוס ושושנת המלך וכל מין זרעים כלאים בכרם. הקנבס רבי טרפון אומר אינו כלאים. וחכמים אומרי' כלאים. והקינרס כלאים בכרם:
