1:8, ""@45{$}(ה)@46 משל למלך. המשל הזה מובא בסנהדרין ל"ט רע"ב. ועיין בפירש"י שם. 
""8:18, ""@45{$}(יז)@46 אלא אמרה היונה לפני הקדוש ברוך הוא. סנהדרין ק"ח ע"ב. פדר"א פכ"ז. וברש"י עה"ת. ועיין ב"ר פל"ג רמז רמזה לו מוטב מר מזה ולא מתוק מתחת ידיך. 
""8:19, ""@45{$}(יח)@46 לפיכך. הם דברי רבינו מדנפשי'. 
""8:20, ""@45{$}(יט)@46 טרף לשון מזונות. בסנהדרין שם מאי משמע דהאי טרף לישנא דמזוני היא. הטריפני לחם חקי. וכן מובא ברש"י עה"ת בשם מדרש אגדה. 
""8:21, ""@45{$}(כ)@46 ר' לוי אמר מארץ ישראל הביאה. בב"ר פל"ג הוא מאמר ר' אבא בר כהנא. ובשם ר' לוי מובא מהר המשחא הביאה אותו. 
""8:22, ""@45{$}(כא)@46 שלא נשתפה במבול. עיין פדר"א פכ"ג חוץ מא"י שלא ירדה עליה גשמים. והובא לראי' הכתוב מיחזקאל. ועיין זבחים קי"ג ע"א וע"ב. ובתוס' שם ד"ה לא ירד מבול לא"י. ועיין ברמב"ן עה"ת. 
""8:23, ""@45{$}(כב)@46 ולא חיישינן לקבר התהום. בכ"י פלארענץ כתוב: וכן מפורש במס' זבחים אתמוהי קא מתמה בן אדם אמור לה את ארץ לא מטוהרה היא לא גושמה ביום זעם. ולא נפלו בתוכה פגרי דור המבול. ולא חיישינן לקבר התהום ע"כ. וזה נשמט בכ"י שלפנינו. והמאמר הוא בזבחים דף קי"ג ע"א ע"ש. 
""8:24, ""@45{$}(כג)@46 טרף לשון זכר אבל יונה לשון נקבה. וכן הביא רש"י עה"ת ע"ש שמביא ראיות שכל יונה שבמקרא לשון נקבה. 
""8:25, ""@45{$}(כד)@46 טרף שב אל העלה. עיין בבאור לנתה"ש: 
""8:26, ""@45{$}(כה)@46 ר' קיראי אמר. בב"ר הגי' רב ביבי אמר. 
""8:27, ""@45{$}(כו)@46 שני יודי"ן כו'. לא מצאתי במדרש. ועיין רש"י שכתב הוא לשון ויחל אלא שזה לשון ויפעל וזה לשון ויתפעל. ויחל וימתין. וייחל ויתמתן. 
""8:28, ""@45{$}(כז)@46 ד"א שבעת ימים. הוא בב"ר בשם ר' יוסי עיין לעיל הערה ט"ז. 
""8:29, ""@45{$}(כח)@46 כנגדן נתענה דניאל. כמ"ש בדניאל י' ב' בימים ההם אני דניאל הייתי מתאבל שלשה שבועים ימים. 
""8:30, ""@45{$}(כט)@46 י"ב חודש היה בתבה. ב"ר פל"ג. תנינן משפט דור המבול י"ב חודש. וכ"ה במשנה עדיות סוף פ"ב. ובסדר עולם רבה פ"ד. וילקוט נח רמז נ"ט. 
""8:31, ""@45{$}(ל)@46 זה נירחשון וכסליו. ב"ר שם. וכן מובא ביב"ע עה"ת. ורש"י עה"ת. 
""8:32, ""@45{$}(לא)@46 טבת ושבט. ב"ר שם. 
""8:33, ""@45{$}(לב)@46 זה סיון. ב"ר שם ורש"י עה"ת. 
""8:34, ""@45{$}(לג)@46 חסרו המים. ב"ר שם. 
""8:35, ""@45{$}(לד)@46 מכאן. ב"ר שם ומובא ברש"י עה"ת. 
""8:36, ""@45{$}(לה)@46 וכולם ל' יום חסרו. וכ"ה גם בכ"י פלארענץ. וצ"ל לששים יום חסרו עיין ב"ר שם. 
""8:37, ""@45{$}(לו)@46 זה אב. ב"ר שם. ומובא ברש"י עה"ת. 
""8:38, ""@45{$}(לז)@46 והוא עיקר. עיין ברש"י עה"ת. 
""8:39, ""@45{$}(לה)@46 מיכן שיום א' בשנה. סדר עולם רבה פ"ד ועי' ר"ה י' ע"ב. 
""8:40, ""@45{$}(לט)@46 זה מרחשון. הוספתי ע"פ כ"י פלארענץ. 
""8:41, ""@45{$}(מ)@46 אלו אחד עשר יום. ב"ר וסדר עולם רבה פ"ד. 
""8:42, ""@45{$}(מא)@46 ארשב"ג. ב"ר שם וסדר עולם רבה שם. 
""8:43, ""@45{$}(מב)@46 ברשות נכנס. ב"ר פל"ד. וילקוט רמז נ"ט. 
""8:44, ""@45{$}(מג)@46 יודע הקדוש ברוך הוא. עיין ב"ר פל"ד. 
""8:45, ""@45{$}(מד)@46 ולא עם אחד. ב"ר שם. 
""8:46, ""@45{$}(מה)@46 ר' שמואל בר רב יצחק. ב"ר פל"ד ותנחומא נח. ועיין ירושלמי תענית ספ"א. 
""8:47, ""@45{$}(מו)@46 הוציא כתיב. בב"ר פל"ד הוא בשם ר' יודן. ומובא ברש"י עה"ת. וכן בילקוט רמז נ"ט. היצא אמור להם שיצאו. הוציא אם אינם רוצים לצאת הוציאם אתה. 
""8:48, ""@45{$}(מז)@46 ושרצו בארץ ולא בתבה. ב"ר שם. 
""8:49, ""@45{$}(מה)@46 רומש מלא כולם תמימים. בב"ר פל"ד רומש מלא פרט לכלאים. ועיין במ"כ. והרד"ל רצה להפך הגי' רומש ולא פרט לסירוס והוא כמו שהביא רבינו. וגי' זו נכונה מאד. ועיין בסמוך. והתימה שהרב בעל מנחת שי לא הביא זה. 
""8:50, ""@45{$}(מט)@46 למשפחותיהם פרט לכלאים. הוא כמו שהביא הרד"ל וזה נכון כי ממשפחותיהם שפיר נוכל להוציא כלאים. ולפנינו הגי' למשפחותיהם פרט לסירוס. 
""8:51, ""@45{$}(ג)@46 ויבן נח הבין מדעתו. בב"ר פל"ד ושמ"ר פ"י. שו"ט מזמור א'. וילקוט רמז נ"ט *ויזבן* כתיב נתבונן ואמר מה טעם כו'. כי' אע"ג דקרינן היו"ד בתירי"ק דריש לי' כאלו הוא בקמ"ץ דיש אס למסורת והיכי דאיכא למדרש דרשינן. וכן על הכתוב ויבן ה' דרשו בב"ר פי"ח נותן בה בינה כאלו כתיב *ויבן*. 
""8:52, ""@45{$}(נא)@46 ר' אליעזר אומר. בב"ר פל"ד ר' אליעזר בן יעקב אומר. 
""8:53, ""@45{$}(נב)@46 מדרש. הוא בב"ר פל"ד. וילקוט רמז ס'. 
""8:54, ""@45{$}(נג)@46 וריחו של חנניא כו'. עיין מדרש חזית פ"ז פ' אמרתי אעלה בתמר וריח אפך כתפוחים. א"ר אלעזר מאחר שכתב וריח נור לא עדת בהון. ואת אמר וריח אפך כתפוחים. ולמה היה דומה ריחן. לריח שדה של תפוחים. 
""8:55, ""@45{$}(נד)@46 שעתידין כו'. זה ליתא במדרש. 
""8:56, ""@45{$}(נה)@46 מדרש אחר. הוא בב"ר פל"ד. 
""8:57, ""@45{$}(נו)@46 אלו צדיקין. בב"ר שם הצדיקים לבם ברשותם. 
""8:58, ""@45{$}(נז)@46 מיכן אמרו רז"ל לאו לאו שבועה. שבועות ל"ו ע"א וע"ש. ובגמרא שם לא נמצא זה על הכתוב לא אוסיף. רק ברש"י עה"ת ראיתי הביא וז"ל לא אוסיף לא אוסיף כפל הדבר לשבועה הוא שכתוב אשר נשבעתי מעבור מי נח ולא מצינו בה שבועה. אלא זו שכפל דבריו והיא שבועה. וכן דרשו חכמים במס' שבועות עכ"ל. ויפה העיר שם ידידי הרב החכם הגדול מהר"א בערלינר בזכור אברהם. בתלמוד מפיק הלמוד מפסוקי ולא יהיה עוד המים למבול. או מולא יכרת כל בשר. ועיין בדברי הרא"ש בפסקיו שביאר שם כפירש"י שמוכית מלא אוסיף. וכן נראה מפירוש הרד"ק. ועיין במהרש"א. 
""8:59, ""@45{$}(נח)@46 לא אוסיף לנח. ולא אוסיף לדורות. ב"ר שם. 
""8:60, ""@45{$}(נט)@46 עלובה עיסה. ב"ר פל"ד. קדושין ל' ע"ב. 
""8:61, ""@45{$}(ס)@46 וכן אמר לו אנטונינוס. ב"ר פל"ד. סנהדרין צ"א ע"ב. 
""8:62, ""@45{$}(סא)@46 משעה שננער לעולם. ב"ר שם. מנעריו כתיב. ר"ל מדכתיב חסר משמע משננער לצאת. 
""8:63, ""@45{$}(סב)@46 אין ברית כרותה. ב"ר פל"ד בשם ר' יודן. ומובא בילקוט רמז ס"א. 
""8:64, ""@45{$}(סג)@46 ר' מאיר ור' שמעון אומרים. וכ"ה בכ"י פלארענץ. בב"ר פל"ד רשב"ג אומר משום ר' מאיר. ובילקוט רמז ס"א ר' שמעון בן אלעזר משום ר' מאיר. וכן הביא הרד"ק בפירושו עה"ת. ובגמרא ב"מ ק"ו ע"ב הגי' ג"כ רשב"ג משום ר"מ. רק בגמרא שם וכן היה ר' שמעון בן מנסיא אומר כדבריו. ובב"ר הגי' וכן היה ר' דוסא אומר כדבריו. והנה בכל המקומות וכן בתוספתא תענית פ"ק דרש לכולהו בששה עתים של ב' ב' חדשים. אבל בפדר"א פ"ח דרש להני בד' תקופות של שלשה שלשה חדשים. ע"ש בהרד"ל אות י"ב. 
""8:65, ""@45{$}(סד)@46 מיכן ששבתו ארבעים יום של גשם. עיין ב"ר פל"ד ר' יהושע אומר לא ישבותו מכלל ששבתו ור"ל כל ימי המבול. וגם רש"י עה"ת כתב לא ישבותו מכלל ששבתו כל ימי המבול שלא שמשו המזלות ולא ניכר בין יום ובין לילה. 
""9:8, ""@45{$}(ה)@46 להביא החונק. ב"ק צ"א ע"ב. ב"ר פל"ד ילקוט שם. ועיין רש"י עה"ת. 
""9:28, ""@45{$}(כה)@46 נתחלל מקדושתו ונעשה חולין. ב"ר פל"ו. ילקוט רמז ס"א. ותנחומא נח. 
""9:34, ""@45{$}(לר)@46 א"ר יהודה אמר רב י"ג ווי"ן. כ"ה בגמרא םנהדרין ע' ע"א. אבל לא בשם ר' יהודה רק דרש עובר גלילאה. ובב"ר ומובא בילקוט רמז ס"א הגי' א"ר יוחנן י"ד ווי"ן כתיב בפ' היין וחושב גם ויאמר ארור כנען. אולם בגמ' שם לא חשיב הך וע"ש ברש"י ותוס' ובמהרש"א ח"א. ובכ"י פלארענץ הגי' אמר רב וחסרים המלות "א"ר יהודה". 
""9:57, ""@45{$}(נו)@46 ויקראו בספר תורת האלהים. במקרא שלפנינו כתוב בספר בתורת האלהים וגם בירושלמי מגלה פ"ד ה"א וב"ר פל"ו ובבלי מגלה ג' ע"א ונדרים ל"ז ע"ב כתוב בספר תורת האלהים. 
""9:58, ""@45{$}(נז)@46 אלו המסורות. כ"ה הגי' בירושלמי. ובב"ר וילקוט הגי' ושום שכל אלו הטעמים. ויבינו במקרא אלו ראשי הפסוקים. ובמגלה שם גרסינן איפכא ושום שכל אלו הפסוקים ויבינו במקרא אלו פסקי טעמים. ובמדרש שם רבנן דקיסרין אמרי מיכן למסורת. ובירושלמי שם הביאו וי"א אלו ראשי פסוקים: 
""10:13, ""@45{$}(יב)@46 הוא חזקיה המלך. כ"ה גם בכ"י פלארענץ. וכן מובא בב"ר וילקוט שם. אולם ליתא בקרא. ורשמתי דה"ב ל"ב ל'. וכוונתם על הכתוב והוא יחזקיהו סתם את מוצא מימי גיחון. וכ"ה במדרש שו"ט. ולדעת בעל מנות הלוי הכוונה על הכתוב הוא יחזקיהו אשר הסיר את במותיו (דה"ב ל"ב י"ב) ולדעת בעל יפ"ת והובא בעץ יוסף כוון הדורש על הכתוב שהבאתי והוא יחזקיהו סתם וגו'. ואע"פ שלא הודו לו. מ"מ הוא לטובה נתכוון ולכן תשבוהו לטובה. 
""11:8, ""@45{$}(ה)@46 פיהן הכשילם. עיין ב"ר עתידין אילן עממיא משתרפה מן גו עלמא עי' ע"כ. ודרש ונשרפה השי"ן בקמץ נהיה נשרפים ואבודים מן העולם. 
""11:12, ""@45{$}(יא)@46 הם אמרו. עי' מכילתא דשירה פ"ב. 
""11:13, ""@45{$}(יב)@46 ירידה היתה להם. בב"ר פל"ח וילקוט רמז ס"ב. אחת מעשרה ירידות. ועי' פדר"א פי"ב. וע"ע אדר"נ פל"ד וספרי בהעלותך סי' צ"ג. 
""11:14, ""@45{$}(יג)@46 אל"ף ועי"ן משמשין. כוונתו אל"ף תמורת עי"ן כי הם ממוצא אחד ומתחלפין וכאלו כתיב לרעות בעי"ן. מלשון שבירה ורציצה כמו תרועם בשבט ברזל (תהלים ב' ט') וכמו רעו עמים וחתו (ישעיה ח' ט'). וז"ש בסמוך שלישתו נפל וכו'. 
""11:15, ""@45{$}(יד)@46 א"ר אחא בר אבא. בב"ר פל"ח ותנחומא שם. ושם הגי' א"ר חייא בר אבא. ובסנהדרין ק"ט ע"א הוא בשם ר' יוחנן. ובכ"י פלארענץ א"ר חייא לבד. 
""11:16, ""@45{$}(טו)@46 מה הוצרך לומר. ב"ר פל"ח בשם ר' ברכיה. 
""11:17, ""@45{$}(טז)@46 שלא עמד על מצותו. עי' ב"ר פל"ח סיים מה אדה"ר כל הטובה שעשיתי עמו אמר האשה אשר נתתה עמדי וגו'. כך שנתים מדור המבול עד דור הפלגה ויהי כל העם שפה אתת. ועי' ברש"י עה"ת שכתב אלא בני אדה"ר שכפה את הטובה ואמר האשה וגו'. אף אלו כפו בטובה למרוד במי שהשפיעם טובה ומלטם מן המבול. 
""11:18, ""@45{$}(יז)@46 פתח להם בתשובה. ב"ר פל"ת ושם הגי' פתח להם הקדוש ברוך הוא פתת של תשובה. וכן נשנה בתנחומא נח ומכילתא בשירה פ"ה וע"ע ב"ר פכ"א ובמ"ר פי"ג. 
""11:19, ""@45{$}(יח)@46 וכמו בוז לא יבוזו לי. במקרא כתוב (שה"ש ח' א') גם לא יבוזו לי. ושם שם ח' כתוב בוז יבוזו לו. 
""11:20, ""@45{$}(יט)@46 לשון גדולה וממשלה בלשון רבים. בב"ר פל"ח זה אחד מן הדברים ששינו לתלמי המלך. וכתבו הבה ארדה ואבלה. 
""11:21, ""@45{$}(כ)@46 גוי אשר לא תדע לשונו. וכ"ה בכ"י פלארענץ. צ"ל אשר לא תשמע לשונו. ובסמוך לא תשמע מה ידבר צ"ל לא תדע מה ידבר. 
""11:22, ""@45{$}(כא)@46 אלה פסל. כי בכ"מ שכתוב אלה פוסל את הראשונים. ב"ר פי"ב ופ"ל ושמ"ר פ"א ופ"ל. ותנחומא שמות ומשפטים. 
""11:23, ""@45{$}(כב)@46 שני פעמים. עי' ב"ר פל"ח אראב"כ כל מי שנכפל שמו יש לו חלק בעוה"ז ובעוה"ב. 
""11:24, ""@45{$}(כג)@46 כמו נח נח. עי' ב"ר פ"ל נח נח אראב"כ כל מי שנכפל שמו כו'. 
""11:25, ""@45{$}(כד)@46 כי יפת קדמו. סנהדרין ס"ט ע"ב. 
""11:26, ""@45{$}(כה)@46 זו הוסיף. עי' הערה כ"א. 
""11:27, ""@45{$}(כו)@46 כי עשה תשובה וכה"א ואתה תבוא. בב"ר פ"ל ופל"ח ואתה תבוא אל אבותיך בשלום בשרו שיש לאביו חלק בעוה"ב. כי עשה תשובה בימיו. 
""11:28, ""@45{$}(כז)@46 שהיה אברהם משבר. עיין מעשה אברהם. (בית המדרש ח"ג צד קי"ח) ועי' ב"ר פל"ח. ופדר"א פכ"ו. ושו"ט מזמור קי"ח. ויב"ע בראשית י"א כ"ת ורש"י עה"ת. 
""11:29, ""@45{$}(כח)@46 שם המקום כמו באורים. הם דברי מנחם. וגם רש"י הביא זה בשמו. וכ"כ הראב"ע. 
""11:30, ""@45{$}(כט)@46 אמר רב יסכה זו שרה. וכ"ה בכ"י פלארענץ. צ"ל א"ר יצחק. מגלה י"ד ע"א. סנהדרין ס"ט ע"ב ומובא ברש"י עה"ת. ובילקוט רמז ס"ב. 
""11:31, ""@45{$}(ל)@46 כ"מ שנאמר אין לה. עיין ב"ר פל"ח וילקוט רמז ס"ב א"ר לוי וכו'. וכ"ה בפסיקתא פסקא עניה סוערה. והעירותי שם בהערה י"ז כי בכ"מ שנאמר אין לה אינה שלילה תמידית ומוחלטת לעולם. כ"א על זמן המסופר. אולם אם נאמר לא. היא מורה על שלילה תמידית. ובכ"מ שבא בכתוב אין לה הביא המדרש דרשת ר' לוי. כמו בב"ר פל"ח. ובאיכה רבתי על אין לה מנחם ובתל"ע סי' רס"ג כתב כי אין משמש לשלילה בשם ומלת לא בפעל ועי' סי' שנ"ה בהערה א' ובמ"ש סי' קל"ו יתחזקו דברינו: 
""12:6, ""@45{$}(ה)@46 ד"א לך מה כתיב למעלה מן הענין. ב"ר פל"ט. ילקוט לך רמז ס"ב. 
""12:7, ""@45{$}(ו)@46 בוא וראה כשנולד אברהם כו'. הם דברי המחבר שמפרש והולך כוונת המדרש. כי בב"ר שם נאמר רק אמר ר' יצחק אם לענין החשבון ועד עכשיו מתבקש לו עוד ששים וחמש שנים. ואח"כ סיים במדרש שם אלא בתחלה אתה דורש כו' כמו שהביא המחבר. וגם בפי' המיוחס לרש"י מפרש דברי המדרש ע"ש. אולם א' המגיהים הוסיף בתוך דברי רש"י "ונראה בעיני לפרש דבר זה שנית לפי שמפורש בערבוביא" ואח"כ כתב זה המוסיף וז"ל אם לענין החשבון צריך מתבקש לו לתרח ס"ה שנה שהרי כשנולד אברהם היה תרח בן שבעים שנה ותנינן בסד"ע אברהם בן ע' שנה היה כשנדבר עמו בין הבתרים וחזר לחרן ועשה שם עוד ה' שנים נמצא כשיצא מיציאה הראשונה לא היה תרח אלא ק"מ שנה ועד עכשיו מתבקש לו לתרח ס"ה שהרי חיה תרח ר"ה שנים. שמ"ש ואברהם בן ע"ה שנה בצאתו מחרן זה היה ביציאה שניה עכ"ל. ומובא כן ביפ"ת. ואולי המגיהים הוסיפו כן ברש"י כמו שמצאו ביפ"ת. 
""12:8, ""@45{$}(ז)@46 אלא בתחלה אתה דורש. ב"ר פל"ט ילקוט לך רמז ס"ב. ועי' ברכות י"ח ע"ב. 
""12:9, ""@45{$}(ח)@46 ר' יהודה אומר. ב"ר שם וילקוט שם. 
""12:10, ""@45{$}(ט)@46 תניא בסדר עולם. הוא בסדר עולם זוטא. 
""12:11, ""@45{$}(י)@46 מן עצה ההיא נפיק אשוראה. לפנינו בת"א מן ארעא ההיא נפק אתוראה. עי' בהמבאר בפ' הוא היה גבור ציד. 
""12:12, ""@45{$}(יא)@46 א"ר יוחנן. ב"ר פל"ט. ילקוט רמז ס"ב. 
""12:13, ""@45{$}(יב)@46 איפרכייה. המלה יונית @500 פי' מחוז (פראווינץ). 
""12:14, ""@45{$}(יג)@46 זו שכונתך. ב"ר וילקוט שם. 
""12:15, ""@45{$}(יד)@46 לא גילה לו. שם ורש"י עה"ת. 
""12:16, ""@45{$}(טו)@46 על אחד ההרים. מובא בב"ר שס. ור"ל לא גלה לו כדי להרבות שכר על כל דבור ודבור. 
""12:17, ""@45{$}(טז)@46 אלו ישראל כו'. ב"ר פל"ט. ילקוט רמז ס"ד. 
""12:18, ""@45{$}(יז)@46 ר' זכריה בריה דר' חייא בר אבא. בב"ר הגי' ר' לוי בר חייתא ור' אבא בריה דרבי חייא בר אבא. ובילקוט שם חסר שם האומר. ובכ"י פלארענץ ר' חייא בר אבא לבד. 
""12:19, ""@45{$}(יח)@46 שלש גדולות ואעשך כו'. זה ליתא בב"ר. והמ"כ הביאו בשם מדרש במ"ר פי"א. 
""12:20, ""@45{$}(יט)@46 כנגד שלשה אבות כו'. ב"ר וילקוט שם. 
""12:21, ""@45{$}(כ)@46 א"ר ברכיה. וכן בכ"י פלארענץ. ובב"ר פל"ט הוא בשם ר' חייא. ובילקוט רמז ס"ד בלי שם האומר. וכן מובא ברש"י עה"ת. 
""12:22, ""@45{$}(כא)@46 ד"א ואגדלה שמך. ב"ר וילקוט שם. 
""12:23, ""@45{$}(כב)@46 זו מוניטון שלו מטבע שלו. המלות "מטבע שלו" הן הוספת המחבר לפרש מוניטון. ובכ"י פלארענץ חסרים המלות "זו מוניטון שלו". ועי' לעיל קאפי' י' בהערה כ"ב וזו כוונת התנחומא מובא ברש"י עה"ת שאודיע טבעך בעולם. הכוונה מטבע שלך. ואין צורך לגרוס ברש"י טיבך. 
""12:24, ""@45{$}(כג)@46 זקן וזקנה מכאן. ב"ר פל"ט וילקוט רמז ס"ד. ועי' ב"ק צ"ז ע"ב איזה מטבע של אברהם אבינו. וע"ש בתוס' ד"ה מטבע והביאו שם דברי המדרש מב"ר. וע"ש ברש"י שכתב זקן וזקנה היינו אברהס ושרה. בתור ובתולה יצחק ורבקה. 
""12:25, ""@45{$}(כד)@46 שור מכאן וראם מכאן. כתב היפ"ת עפ"י מ"ש בספרי שור כחו קשה. אבל אין קרניו נאות. ראם קרניו נאות אבל אין כחו קשה. וניתן לו ליהושע כחו של שור וקרנים של ראם. ובמדרש ב"ר שם סיים. ע"ש בכור שורו הדר לו וקרני ראם קרניו. ויהושע בא מאפרים. 
""12:26, ""@45{$}(כה)@46 שק ואפר מכאן. כ"ה בב"ר שם. ומובא בילקוט שם. אולם באסתר רבה הגי' מרדכי מכאן ואסתר מכאן. 
""12:27, ""@45{$}(כו)@46 זה מגן אברהם. עי' ב"ר פל"ט. וילקוט רמז ס"ד בשם ר' יודן ועי' פסחים קי"ז ע"ב. 
""12:28, ""@45{$}(כו)@46 הגשמים בזכותך. ב"ר פל"ט. וילקוט רמז ס"ה. 
""12:29, ""@45{$}(כח)@46 כל משפחות האדמה ובזרעך. וכ"ה בכ"י פלארענץ. הדרש מוסב על ובזרעך. וכמו שסיים הוי אומר ובזרעך. אולם בקרא לא כתיב כלל מלת ובזרעך. וראיתי שגם בב"ר פל"ט מובא כן אמר הקדוש ברוך הוא לאברהם אבינו ונברכו בך כל משפחות האדמה ובזרעך. ובעל נזה"ק נדחק שצ"ל והתברכו בזרעך כל גויי הארץ. אולם על הפסוק שלפנינו כוון הדורש. וי"ל עוד כיון דמצינו ונברכו בך כל משפחות האדמה ובזרעך ביעקב (בראשית כ"ח י"ד) ובכח הדרש כל מה שנאמר לאברהם נאמר בישראל לקמן פסוק מ"ז והוא בב"ר פמ"ט לכן מביא את הכתוב הזה מיעקב על אברהם. 
""12:30, ""@45{$}(כט)@46 יעקב ברך את פרעה. ב"ר פל"ט. 
""12:31, ""@45{$}(ל)@46 דכתיב ותגד אסתר. בקרא כתיב ותאמר אסתר. 
""12:32, ""@45{$}(לא)@46 ועד היום הזה. הם דברי המחבר מדנפשיה. כי באמת פרצה האמונה זו לארך ימים גם בין העמים כמבואר בארוכה בספר צרור המור פ' בחוקותי על הפסוק ונתתי גשמיכם בעתם ומובא גם ביד אבי שלום פ' אמור כי בגלל תפלת ישראל על הגשמים קבלו אותם בארצם. 
""12:33, ""@45{$}(לב)@46 לוט טפל לו. ב"ר פל"ט. ילקוט רמז ס"ו. 
""12:34, ""@45{$}(לג)@46 זה היה בפעם שניה. עי' לעיל הערה ו' מה שהבאתי בשם רש"י ועי' בס"ע מובא בילקוט רמז ס"ו. 
""12:35, ""@45{$}(לד)@46 אלו הגרים. ב"ר פל"ט. ילקוט רמז ס"ו. ועי' ספרי ואתחנן סי' ל"ב ומדרש חזית פ' לריח שמניך. 
""12:36, ""@45{$}(לה)@46 א"ר חוניא. בב"ר שם וילקוט שם הגי' א"ר הונא. 
""12:37, ""@45{$}(לו)@46 כל מלה שצריכה למ"ד. יבמות י"ג ע"ב. ובהרבה מקומות בירושלמי ומדרשים. 
""12:38, ""@45{$}(לז)@46 נתבקש לו זכות בארץ. ב"ר פל"ט. וילקוט שם. 
""12:39, ""@45{$}(לח)@46 א"ר לוי. ב"ר פל"ט במאמר שלפניו בפסוק ויאמר ה' אל אברם לך לך. 
""12:40, ""@45{$}(לט)@46 לסולמה של צור. המ"כ הביא בשם רש"י צור היתה יושבת על הר גבוה והיו עולין לה במעלות לפיכך קורין אותה סולם. ועיין תבה"א צד ק"ד ע"ב שכתב וז"ל לדרום צור נמצאים סלעים גדולים נכנסים בים ונראים למרחקים ועליהם דרך מעבר מצער שבו עולים כמו בסולם. והוא סולמא דצור הנזכר (ערובין פ' ע"א ביצה כ"ה ע"ב) עכ"ל. 
""12:41, ""@45{$}(מ)@46 אהלה כתיב. ב"ר פל"ט. ילקוט רמז ס"ז. ומובא ברש"י עה"ת. ועיין ביפ"ת. וכפי מה שהובא במדרש ויט אהלו אהלה כתיב משמע שהקרי היא אהלו והכתיב אהלה. 
""12:42, ""@45{$}(מא)@46 א"ר אלעזר. סנהדרין מ"ד ע"ב. 
""12:43, ""@45{$}(מב)@46 דכתיב ויכו מהם אנשי עי. זה ליתא בגמרא שם. ובקרא כתוב אנשי העי בה"א.ובכ"י פלארענץ אנשים אנשי העי.
""12:44, ""@45{$}(מג)@46 א"ר אלעזר ב"ר פל"ט ילקוט רמז ס"ז.עי' ירושלמי ע"ז פ"ג ה"ת מכילתא משפטים פ"כ וע"ש במדות סופרים אות ב' ואות ג' .
""12:45, ""@45{$}(מד)@46 א"ר חנינא אהלה כתיב. כבר הביא למעלה בראש הכתוב. ובמדרש אינו מובא בשם ר' חנינא. ובכ"י פלארענץ ליתא. 
""12:46, ""@45{$}(מה)@46א"ר אלעזר ג' מזבחות. ב"ר פל"ט וילקוט רמז ם"ז. 
""12:47, ""@45{$}(מו)@46 ואחד לקניינה. פי' לזכות שיהיה לו קנין בארץ והוא אותו שבנה באלוני ממרא שבחברון כשאמר לו קום התהלך בארץ. וכן פי' היפ"ת. 
""12:48, ""@45{$}(מז)@46 א"ר אלעזר בן שמוע. ב"ר פל"ט. וילקוט שם. 
""12:49, ""@45{$}(מה)@46 התחיל לגייר.ב"ר שם. ובכ"י פלארענץ הגי' ויקרא בשם ה' אין קריאה אלא תפלה וכה"א ויקראו אל האלהים בחזקה (יונה ג' ח) ד"א התחיל לגייר גריס כו' .
""12:50, ""@45{$}(מט)@46 כי היה מכוון.ב"ר סוף פל"ט.וילקוט םוף רמז ס"ז. ובכ"י. פלארענץ כי היה מטייל והולך. 
""12:51, ""@45{$}(נ)@46 ומנין שבית המקדש. היא הוספת המחבר' ועי' רש"י עה"ת שכתב כל מסעיו הנגבה ללכת לדרומה של א"י והיא לצד ירושלים שהיא בחלקו של יהודה שנטלו בדרומה של ארץ ישראל להר המוריה שהיא נחלתו עכ"ל.
""12:52, ""@45{$}(נא)@46 שנאמר הטף אל דרום והנבא אל מקדשי.וכן בכ"י פלארענץ.בקרא והנבא אל יער השדה נגב. או צ"ל והטף אל מקדשים (יתזקאל שם ז') ור"ל כי והטף אל מקדשים הוא הנמשל של יער שדה נגב שאמר מקודם. ומזה ראיה שבית המקדש נקרא נגב. 
""12:53, ""@45{$}(נב)@46 זה שאמר דוד. ב"ר פ"מ. ילקוט רמז ס"ז. ודורש טרף לשון טירוף שפירוש נדנוד למחסור. 
""12:54, ""@45{$}(נג)@46 וזה אחד מעשרה מיני רעב. ב"ר פ"מ ופכ"ה עשרה רעבון באו לעולם. 
""12:55, ""@45{$}(נג)@46 מלמד שלא ירד להשתקע כו'. עיין ספרי כי תבוא סי' ש"א. 
""12:56, ""@45{$}(נד)@46 כל תיבה. יבמות י"ג ע"ב. 
""12:57, ""@45{$}(נה)@46 וכי כל השנים. כן הוספתי עפ"י כ"י פלארענץ וכ"ה בב"ר פ"מ ילקוט רמז ס"ז. ועי' רש"י עה"ת. 
""12:58, ""@45{$}(נו)@46 שכל זמן כו'. זה ליתא במדרש ב"ר ועי' ב"ב ט"ז ע"א אברהם אפי' בדידיה לא אסתכל כו'. 
""12:59, ""@45{$}(נז)@46 ר' עזריה בשם ר' יהודה ב"ר סימון. וכ"ה בכ"י פלארענץ. ובב"ר פ"מ ר' זעירא בשם ר' סימון. ובילקוט שם בלי שם האומר. 
""12:60, ""@45{$}(נח)@46 לפי שהיו המצריים שטופי זמה. תנחומא לך. 
""12:61, ""@45{$}(נט)@46 ר' פנחס בש"ר אבהו. ב"ר פ"מ. ושם הגי' בש"ר אבין. ובכ"י פלארענץ בשם ר' ראובן. ובילקוט רמז ס"ז בלי שם האומר. 
""12:62, ""@45{$}(ס)@46 ושרה היכן היתה. ב"ר פ"מ. ועי' תנחומא לך. ורש"י עה"ת. 
