Index Title,Keritot
Keritot 13b:4,"R. Aḥa aus Huçal halte ein Gelübde getan inbetreff seiner Frau$fn60, und als er diesbezüglich$fn61zu R. Aši kam, sprach dieser zu ihm: Jetzt gehe$fn62und komm morgen. Rabh bestellte nämlich keinen Dolmetsch an einem Festtage zum nächsten, wegen Trunkenheit$fn63. Jener sprach: Rabh sagte ja, die Halakha sei wie R. Elea͑zar, und der Mieister hat ja Wasser [in den Wein] getan!? Dieser erwiderte: Das ist kein Einwand; eines gilt von einem Viertellog und eines von mehr als einem Viertellog."
Keritot 13b:5,"Die Rabbanan lehrten:$fn64<i>Und zwischen dem Heiligen und dem Gemeinen zu trennen</i>, das sind Wertgelübde$fn65, Schätzgelübde, Gebanntes und Geheiligtes;$fn64<i>zwischen dem Unreinen und dem Reinen</i>, das sind [Entscheidungen über] Unreines und Reines;$fn66<i>und zu lehren</i>, das ist die Entscheidung;$fn66<i>all die Gesetze</i>, das sind die Auslegungen;$fn66<i>das Wort des Herrn</i>, das ist die Halakha$fn67; <i>durch Moše</i>, das ist der Talmud. Man könnte glauben, auch die Mišna, so heißt es <i>und zu lehren</i>$fn68. R. Jose b. R. Jehuda sagte: Man könnte glauben, auch der Talmud, so heißt es: <i>und zu lehren</i>$fn69. Die Lehre, ausgenommen sei die Entscheidung, das Kriechtier sei unrein und der Frosch sei rein$fn70, die auch Weintrunkene treffen dürfen, vertritt also die Ansicht des R. Jose b. R. Jehuda und nicht die der Rabbanan. – Du kannst auch sagen, die der Rabbanan, nur ist es hierbei anders, denn dies ist in der Kinderschule$fn71zu lernen. Rabh sagte: Die Halakha ist wie R. Jose b. R. Jehuda. – Rabh bestellte ja aber keinen Dolmetsch an einem Festtage zum nächsten, wegen Trunkenheit$fn72!? – Anders war es bei Rabh, der Entscheidungen zu treffen hatte. – Sollte er ihn doch bestellen, aber keine Entscheidungen treffen!? – Wo Rabh war, ging es nicht ohne Entscheidungen."
Keritot 13b:6,"<sup>iv</sup> <b>M</b><small>ANCHER ISST EINE</small> S<small>PEISE UND IST DIESERHALB VIER</small> S<small>ÜNDOPFER UND EIN</small> S<small>CHULDOPFER SCHULDIG: WENN EIN</small> U<small>NREINER VON</small> O<small>PFERN ÜBRIGGEBLIEBENEN</small> T<small>ALG AM</small> V<small>ERSÖHNUNGSTAGE GEGESSEN HAT</small>. R. M<small>EÍR SAGTE:</small> W<small>ENN ES AN EINEM</small> Š<small>ABBATH WAR UND ER IHN</small> [<small>IM</small> M<small>UNDE</small>] <small>HINAUSGEBRACHT HAT, IST ER</small> [<small>AUCH DIESERHALB</small>] <small>SCHULDIG</small>. S<small>IE ERWIDERTEN IHM:</small> D<small>IES GEHÖRT NICHT ZU DIESEM</small> R<small>UBRUM</small>$fn73."
Keritot 13b:7,"GEMARA. Demnach wäre R. Meír der Ansicht, éin Verbot erstrecke"
Keritot 14a:1,"sich auf Verbotenes$fn74? – Ist er auch nicht der Ansicht, daß ein Verbot sich auf Verbotenes erstrecke$fn75, so ist er immerhin der Ansicht, daß ein umfassendes Verbot$fn76und ein erweiterndes Verbot sich wohl erstrecke. Dem Reinen war vorher nur Talg verboten, nachdem er aber unrein geworden ist, ist ihm auch ein Stück [Fleisch]$fn77verboten; somit ist zum Talge noch ein weiteres Verbot hinzugekommen. Der Talg war vorher nur zum Essen verboten, nachdem man ihn aber geheiligt hat, ist er auch zur Nutznießung verboten; somit ist zum Talge noch ein weiteres Verbot hinzugekommen. Aber immerhin war er nur einem Gemeinen verboten, für Gott aber erlaubt; nachdem er aber Übriggebliebenes geworden ist, ist zum Verbote für einen Gemeinen noch das Verbot für Gott hinzugekommen. Kommt noch [das Verbot] wegen des Versöhnungstages hinzu, so ist zum Verbote des Heiligen$fn78noch ein Verbot für Profanes$fn78hinzugekommen. – Sollte er doch lehren: fünf Sündopfer, und zwar in dem Falle, wenn jemand Verwerfliches in Olivengröße gegessen hat!? – Er spricht von einem Vieh und nicht von zweien, während bei einem Vieh Übriggebliebenes und Verwerfliches nicht Vorkommen können$fn79. – Wieso nicht, es kann ja in dem Falle vorkommen, wenn man ein Glied von Verwerflichem auf den Altar gebracht hat, sodaß ihm die Verwerflichkeit entzogen$fn80wird; es ist dann Übriggebliebenes!? Dies nach U͑la, welcher sagte, wenn man einen verwerflichen Haufen$fn81auf den Altar gebracht hat, sei ihm die Verwerflichkeit genommen; er ist somit Übriggebliebenes. – Er spricht von einem Opfergliede und nicht von zwei Opfergliedern, während bei einem Opfergliede Übriggebliebenes und Verwerfliches nicht Vorkommen können. – Wieso nicht, es kann ja in dem Falle Vorkommen, wenn man ein Glied von Verwerflichem auf den Altar gebracht hat, und zwar die Hälfte auf den Altar gelegt und die Hälfte abseits vom Altar, sodaß nur dem Teile, der sich auf dem Altar befindet, die Verwerflichkeit entzogen ist und er Übriggebliebenes wird!? Dies nach U͑la, welcher sagte, wenn man einen verwerflichen Haufen auf den Altar gebracht hat, sei ihm die Verwerflichkeit genommen; er ist somit Übriggebliebenes. [Dieser erwiderte:] Nein, befindet sich der größere Teil auf dem Altar, so gilt es als auf dem Altar befindlich, und befindet sich der größere Teil abseits des Altars, so gilt es als abseits befindlich. – Demnach wäre ja hieraus die Frage des Rami b. Ḥama zu entscheiden, ob man sich bei den Opfergliedern nach der größeren Hälfte richte oder nicht!? – Vielmehr, er spricht vom Quantum einer Olive, von zwei Oliven spricht er nicht. – Etwa nicht, er lehrt es ja vom Versöhnungstage, wegen dessen man bei Dattelgröße schuldig ist, und die Dattel hat ja zwei Oliven!? R. Zera erwiderte: Wenn er eine Niere mit ihrem Talge$fn82gegessen hat. R. Papa erwiderte: Wenn er [das Quantum] mit einer Dattel$fn83ergänzt hat. R. Ada b. Aḥa lehrte tatsächlich: fünf Sündopfer, und erklärte es durch den Fall, wenn jemand eine Olive Verwerfliches gegessen hat, und man erwiderte dagegen nicht alt die Erwiderungen, die wir erwidert haben. – Sollte er doch$fn84lehren: sechs Sündopfer, und auf den Fall beziehen, wenn jemand dazu eine Olive Blut gegessen hat!? – Er spricht von einem Essen, von zwei Essen aber spricht er nicht; die Weisen haben nämlich festgestellt, daß der Schlund nicht mehr als zwei Oliven fasse."
Keritot 14a:2,"R. M<small>EÍR SAGTE</small> &amp;<small>C</small>. Sollte er doch lehren: hat er es hinausgebracht$fn85, so ist er schuldig, weshalb lehrt er: wenn es an einem Šabbath war!? Raphram erwiderte: Dies besagt, daß [das Gesetz] vom E͑rub und vom Hinausbringen nur für den Šabbath gilt, nicht aber gilt [das Gesetz] vom E͑rub und vom Hinausbringen für den Versöhnungstag$fn86. – Woher dies, vielleicht gilt [das Gesetz] vom E͑rub und vom Hinausbringen auch für den Versöhnungstag, und er meint es wie folgt: wenn es an einem Šabbath war und er es hinausgebracht hat, so ist er auch wegen des Šabbaths und des Versöhnungstages schuldig!? – Vielmehr, ist die Lehre Raphrams gelehrt worden, so wird sie sich auf folgende Lehre beziehen:$fn87<i>Und sende ihn</i>$fn88<i>durch einen bereitstehenden Mann. Mann</i>, auch ein Gemeiner ist zulässig; <i>bereitstehenden</i>, auch in Unreinheit, auch am Šabbath; <i>bereitstehenden</i>, der bestellt ist. Er lehrt: <i>bereitstehenden</i>, auch am Šabbath; hierzu sagte Raphram: Dies besagt, daß [das Gesetz] vom E͑rub und vom Hinausbringen nur für den Šabbath gilt, nicht aber gilt [das Gesetz] vom E͑rub und vom Hinausbringen für den Versöhnungstag. – Woher dies, vielleicht ist es beim [fortzuschickenden Sühne]bocke anders, weil am Versöhnungstage seine Tauglichmachung erfolgt$fn89. – Vielmehr ist das, was Raphram gesagt hat, sinnlos."
Keritot 14a:3,"<sup>v,1</sup><b>M</b><small>ANCHER VOLLZIEHT EINEN</small> B<small>EISCHLAF UND IST DIESERHALB SECHS</small> S<small>ÜNDOPFER SCHULDIG</small>, <small>UND ZWAR</small>: <small>WENN JEMAND SEINER</small> T<small>OCHTER</small>$fn90<small>BEIWOHNT</small>, <small>SO KANN ER SICH SCHULDIG MACHEN</small> [<small>WEGEN</small> I<small>NZESTES MIT</small>] <small>SEINER</small> T<small>OCHTER</small>, <small>SEINER</small> S<small>CHWESTER</small>, <small>DER</small> F<small>RAU SEINES</small> B<small>RUDERS</small>, <small>DER</small> F<small>RAU DES</small> B<small>RUDERS SEINES</small> V<small>ATERS</small>, <small>EINES</small> E<small>HEWEIBES UND EINER</small> M<small>ENSTRUIERENDEN</small>."
Keritot 14a:4,"GEMARA. R. Meír ist ja aber nicht der Ansicht, daß ein Verbot sich"
Keritot 14b:1,"auf Verbotenes erstrecke!? – Ist er auch nicht der Ansicht, daß ein Verbot sich auf Verbotenes erstrecke, so ist er immerhin der Ansicht, daß ein erweiterndes Verbot und ein umfassendes Verbot sich wohl erstrecke. Wenn jemand beispielsweise seiner Mutter beigewohnt und eine Tochter gezeugt hat, so liegen das Verbot einer Tochter und das Verbot einer Schwester vor; verheiratet sie sich mit seinem Bruder, so ist das Verbot, da es für seine Brüder erweitert worden$fn91ist, auch für ihn erweitert worden. Verheiratet sie sich darauf mit dem Bruder seines Vaters, so ist das Verbot, da es für die übrigen Brüder seines Vaters erweitert worden$fn91ist, auch für ihn erweitert worden. Ist sie dazu Ehefrau, so ist das Verbot, da es für alle Welt erweitert worden$fn92ist, auch für ihn erweitert worden. Ist sie dazu Menstruierende, so ist das Verbot, da es für ihren Ehemann erweitert worden$fn93ist, auch für ihn erweitert worden."
Keritot 14b:2,"<sup>v,2</sup><b>W</b><small>ENN JEMAND DER</small> T<small>OCHTER SEINER</small> T<small>OCHTER BEIWOHNT</small>, <small>SO KANN ER SICH SCHULDIG MACHEN</small> [<small>WEGEN</small> I<small>NZESTES MIT</small>] <small>DER</small> T<small>OCHTER SEINER</small> T<small>OCHTER</small>, <small>SEINER</small> S<small>CHWIEGERTOCHTER</small>$fn94, <small>DER</small> F<small>RAU SEINES</small> B<small>RUDERS</small>, <small>DER</small> F<small>RAU DES</small> B<small>RUDERS SEINES</small> V<small>ATERS</small>, <small>DER</small> S<small>CHWESTER SEINER</small> F<small>RAU</small>, <small>EINES</small> E<small>HEWEIBES UND EINER</small> M<small>ENSTRUIERENDEN</small>. R. J<small>OSE SAGT</small>, <small>HAT DER</small> A<small>LTE</small>$fn95 <small>DAS</small> V<small>ERBOT ÜBERTRETEN UND SIE GEHEIRATET</small>, <small>SEI ER SCHULDIG AUCH WEGEN EINER</small> F<small>RAU SEINES</small> V<small>ATERS</small>. D<small>ESGLEICHEN AUCH</small>, <small>WENN JEMAND DER</small> T<small>OCHTER SEINER</small> F<small>RAU ODER DER</small> T<small>OCHTER IHRER</small> T<small>OCHTER BEIWOHNT</small>."
Keritot 14b:3,"GEMARA. Er lehrt, daß er schuldig sei wegen der Frau seines Vaters; ist sie ihm denn erlaubt$fn96!? R. Joḥanan erwiderte: Wenn sie ihm zur Schwagerehe$fn101zugefallen ist. – Wieso heißt es demnach übertreten$fn102!? R. Ja͑qob erwiderte: Er hat das zweitgradige Inzestverbot$fn103der Schwiegertochter seines Sohnes übertreten. Wie gelehrt wird: Seine Schwiegertochter ist inzestuös, die Schwiegertochter seines Sohnes ist zweitgradig inzestuös; dies gilt auch von der Tochter seines Sohnes und von der Tochter seines Sohnessohnes, bis ans Ende aller Generationen. – Ist denn R. Jose der Ansicht, ein Verbot erstrecke sich auf Verbotenes, wir haben ja gelernt, wer eine Sünde begangen hat, die mit zwei Todesstrafen belegt ist, werde mit der schwereren$fn104gerichtet, und R. Jose sagt, er werde mit der zuerst platzgreifenden$fn105gerichtet!? Ferner wird gelehrt: Wie wird er nach R. Jose mit der zuerst platzgreifenden gerichtet? War sie zuerst seine Schwiegermutter$fn106und nachher Ehefrau, so wird er wegen einer Schwiegermutter gerichtet; war sie zuerst Ehefrau und nachher seine Schwiegermutter, so wird er wegen einer Ehefrau gerichtet. R. Abahu erwiderte: R. Jose pflichtet bei einem erweiternden Verbote bei. Ebenso sagte Rabin, als er kam, im Namen R. Joḥanans, R. Jose pflichte bei einem erweiternden Verbote bei. – Wieso ist es hierbei ein erweiterndes Verbot!? – Wenn der Alte noch einen Sohn hat; da das Verbot für seinen Sohn erweitert worden$fn107ist, so ist es auch für ihn erweitert worden."
Keritot 14b:4,"<sup>vi</sup><b>W</b><small>ENN JEMAND SEINER</small> S<small>CHWIEGERMUTTER BEIWOHNT</small>, <small>SO KANN ER SICH SCHULDIG MACHEN</small> [<small>WEGEN</small> I<small>NZESTES MIT</small>] <small>SEINER</small> S<small>CHWIEGERMUTTER</small>, <small>SEINER</small> S<small>CHWIEGERTOCHTER</small>, <small>DER</small> F<small>RAU SEINES</small> B<small>RUDERS</small>, <small>DER</small> F<small>RAU DES</small> B<small>RUDERS SEINES</small> V<small>ATERS</small>, <small>DER</small> S<small>CHWESTER SEINER</small> F<small>RAU</small>, <small>EINES</small> E<small>HEWEIBES UND EINER</small> M<small>ENSTRUIERENDEN</small>. D<small>ESGLEICHEN AUCH</small>, <small>WENN JEMAND DER</small> M<small>UTTER SEINES</small> S<small>CHWIEGERVATERS ODER DER</small> M<small>UTTER SEINER</small> S<small>CHWIEGERMUTTER BEIWOHNT</small>. R. J<small>OḤANAN B</small>. N<small>URI SAGT</small>, <small>WER SEINER</small> S<small>CHWIEGERMUTTER BEIWOHNT</small>, <small>SEI SCHULDIG WEGEN SEINER</small> S<small>CHWIEGERMUTTER</small>, <small>DER</small> M<small>UTTER SEINER</small> S<small>CHWIEGERMUTTER</small>$fn108<small>UND DER</small> M<small>UTTER SEINES</small> S<small>CHWIEGERVATERS</small>. S<small>IE SPRACHEN ZU IHM</small>: B<small>EI ALLEN DREIEN IST ES DAS GLEICHE</small> V<small>ERBOT</small>$fn109."
Keritot 14b:5,"GEMARA. R. Elea͑zar sagte im Namen des R. Hoša͑ja: R. Joḥanan b. Nuri und Symmachos lehren ein und dasselbe. R. Joḥanan b. Nuri lehrt das, was wir eben gesagt haben, was lehrt Symmachos? – Wir haben gelernt:"
Keritot 15a:1,"Hat jemand [die Kuh] und deren Tochterstochter$fn110und nachher die Tochter geschlachtet, so erhält er die vierzig Geißelhiebe; Symmachos sagte im Namen R. Meírs, er erhalte achtzig$fn111Geißelhiebe. Raba sprach: Vielleicht ist dem nicht so. R. Joḥanan b. Nuri ist dieser Ansicht nur hierbei, weil es verschiedene Benennungen sind, eine heißt Schwiegermutter, eine heißt Mutter der Schwiegermutter und eine heißt Mutter des Schwiegervaters, beim Vieh mit seinen Jungen aber, wobei beide Vieh und sein Junges heißen, sind die Benennungen nicht verschieden. R. Naḥman b. Jiçḥaq sprach: Vielleicht ist Symmachos dieser Ansicht nur da, beim Vieh und seinen Jungen, wo es verschiedene Körper sind, hierbei aber, wo es keine verschiedenen Körper sind, ist er derselben Ansicht wie R. Abahu im Namen des R. Joḥanan. R. Abahu sagte nämlich im Namen des R. Joḥanan:$fn112<i>Sie sind Blutsverwandtschaft, Unzucht ist dies</i>, die Schrift machte sie alle zu einer Unzucht."
Keritot 15a:2,"<sup>vii</sup><b>R.</b> A͑<small>QIBA SAGTE</small>: I<small>CH FRAGTE</small> R. G<small>AMLIÉL</small>, <small>UND</small> R. J<small>EHOŠUA͑ AUF DEM</small> F<small>LEISCHMARKTE ZU</small> E<small>MMAUS</small>, <small>WO SIE GEGANGEN WAREN</small>, <small>EIN</small> V<small>IEH FÜR DAS</small> H<small>OCHZEITSMAHL DES</small> S<small>OHNES</small> R. G<small>AMLIÉLS ZU KAUFEN</small>: W<small>IE IST ES</small>, <small>WENN JEMAND SEINER</small> S<small>CHWESTER</small>, <small>DER</small> S<small>CHWESTER SEINES</small> V<small>ATERS UND DER</small> S<small>CHWESTER SEINER</small> M<small>UTTER BEIGEWOHNT</small>$fn113<small>HAT</small>: <small>IST ER WEGEN ALLER ZUSAMMEN SCHULDIG</small>, <small>ODER IST ER WEGEN JEDER BESONDERS SCHULDIG</small>? S<small>IE ERWIDERTEN MIR</small>: W<small>IR HAREN DARÜBER NICHTS GEHÖRT</small>; <small>WIR HABEN ABER GEHÖRT</small>, <small>WER SEINEN FÜNF MENSTRUIERENDEN</small> F<small>RAUEN BEI EINEM</small> E<small>NTFALLEN BEIGEWOHNT HAT</small>, <small>SEI WEGEN JEDER BESONDERS SCHULDIG</small>, <small>UND ES SCHEINT UNS</small>, <small>DASS HIERVON</small> [<small>EIN</small> S<small>CHLUSS</small>] <small>VOM</small> L<small>EICHTEREN AUF DAS</small> S<small>CHWERERE</small>$fn114<small>ZU FOLGERN IST</small>."
Keritot 15a:3,"GEMARA. In welchem Falle: wollte man sagen, wie gelehrt wird, was war ihm da fraglich, es sind ja verschiedene Verbote und verschiedene Körper!? – Vielmehr, er meint es wie folgt: wenn jemand [seiner Schwester, die] die Schwester seines Vaters und die Schwester seiner Mutter$fn115 ist, beigewohnt hat; ist er wegen aller einmal schuldig, oder ist er wegen jeder besonders schuldig? Wie ist es nun: sagen wir, es sind verschiedene Verbote, oder aber, es sind keine verschiedenen Körper. Sie erwiderten ihm: Wir haben darüber nichts gehört; wir haben aber gehört, wer seinen fünf menstruierenden Frauen gleichzeitig beigewohnt hat, wobei es sich um das gleiche Verbot handelt, sei wegen jeder besonders wegen Beschlafung einer Menstruierenden schuldig, und es scheint uns, daß hiervon [ein Schluß] vom Leichteren auf das Schwerere zu folgern ist: wenn derjenige, der seinen fünf menstruierenden Frauen gleichzeitig beigewohnt hat, wobei es sich um das gleiche Verbot handelt, wegen jeder besonders schuldig ist, um wieviel mehr ist man wegen seiner Schwester, die die Schwester seines Vaters und die Schwester seiner Mutter ist, wobei es drei verschiedene Verbote sind, wegen jedes besonders schuldig. Es ist ja aber zu erwidern: wohl gilt dies von fünf Menstruierenden, die verschiedene Körper sind!? – Vielmehr, die Schrift sagt:$fn116<i>er hat die Scham seiner Schwester entblößt</i>, daß man nämlich schuldig ist wegen seiner Schwester, die die Schwester seines Vaters und die Schwester seiner Mutter ist. R. Ada b. Ahaba sagte: Dies kann vorkommen bei einem Frevler, dem Sohne eines Frevlers; wenn [sein Vater] seiner Mutter beigewohnt und von ihr zwei Töchter gezeugt, dann einer von ihnen beigewohnt und von ihr den Sohn gezeugt hat; wenn der Sohn der Schwester seiner Mutter beigewohnt hat, die seine Schwester und die Schwester seines Vaters ist. Er ist ein Frevler, Sohn eines Frevlers."
Keritot 15a:4,"Die Rabbanan lehrten: Wenn er ihr beigewohnt hat, wiederum beigewohnt hat und wiederum beigewohnt hat, so ist er wegen jeder [Beiwohnung] besonders schuldig – so R. Elie͑zer: die Weisen sagen, er sei nur einmal schuldig. Die Weisen pflichten jedoch R. Elie͑zer bei, daß, wenn er seinen fünf menstruierenden Frauen gleichzeitig beigewohnt hat, er wegen jeder besonders schuldig ist, weil er sie dazu veranlaßt$fn117hat. Raba sprach zu R. Naḥman: Berücksichtigen wir denn den Umstand, daß er es veranlaßt hat, es wird ja gelehrt: wenn er bei einem Entfallen und sie$fn118 bei fünfmaligem Entfallen, so ist er nur einmal schuldig, sie aber ist wegen jeder [Beiwohnung] besonders schuldig!? – Sage vielmehr, weil es verschiedene Körper sind."
Keritot 15a:5,"Sie fragten: Was sagt R. Elie͑zer zu dem Falle, wenn jemand [am Šabbath] gemäht und wiederum gemäht$fn119hat: ist da der Grund R. Elie͑zers, weil er es wiederholt getan hat, deshalb ist er wegen jedes Males besonders schuldig, und auch hierbei hat er es wiederholt getan, oder aber ist da der Grund R. Elie͑zers, weil man die Beschlafungen nicht mischen$fn120kann, deshalb sagt R. Elie͑zer, er sei wegen jeder besonders schuldig, wenn er aber bei einem Entfallen im Quantum einer Dörrfeige gemäht hat, dann wiederum im Quantum einer Dörrfeige gemäht hat, ist er, da er beide Dörrfeigen mischen$fn121kann, nur einmal schuldig. Wie ist es nun? Rabba erwiderte: Der Grund R. Elie͑zers ist da, weil er es wiederholt getan hat, und auch dieser hat es wiederholt getan. R. Joseph aber sagte: Der Grund R. Elie͑zers ist da, weil er sie nicht mischen kann, hierbei aber, wo er sie mischen kann, ist er nur einmal schuldig. Abajje wandte gegen Rabba ein: Nach R. Elie͑zer ist man ja besonders schuldig wegen einer abstammenden Arbeit$fn122mit einer Hauptarbeit, wenn aber zwei [gleiche] Hauptarbeiten gleichzeitig, ist man frei. Wieso ist man frei, wenn du sagst, der Grund R. Elie͑zers sei, weil er es wiederholt getan hat!? Mar, der Sohn Rabinas, erwiderte: Ich und R. Niḥumi b. Zekharje erklärten es. Hier handelt es sich um eine von einem Feigenbaume getragene Weinranke, die er mit einem Male abgeschnitten hat. Nach R. Elie͑zer ist er deshalb besonders schuldig, weil es verschiedene Verbote$fn123und verschiedene Körper sind. – Auf welche Weise kann es beim zweimaligen Mähen vorkommen, daß man frei$fn124ist? – Wenn man im Quantum zweier Dörrfeigen mit einem Male gemäht hat, wenn man aber im Quantum einer Dörrfeige gemäht und abermals im Quantum einer Dörrfeige gemäht hat, ist man [zweimal] schuldig."
Keritot 15a:6,"<sup>viii</sup><b>F</b><small>ERNER FRAGTE</small> R. A͑<small>QIBA</small>: W<small>IE VERHÄLT ES SICH MIT EINEM AN EINEM</small> T<small>IERE LOSE</small>$fn125<small>HÄNGENDEN</small> G<small>LIEDE</small>? S<small>IE ERWIDERTEN IHM</small>: W<small>IR HABEN DARÜBER NICHTS GEHÖRT</small>; <small>WIR HABEN ABER GEHÖRT</small>, <small>DASS EIN AN EINEM</small> M<small>ENSCHEN LOSE HÄNGENDES</small> G<small>LIED REIN SEI</small>. D<small>IE</small> G<small>RINDIGEN</small>$fn126<small>IN</small>"
Keritot 15b:1,"J<small>ERUŠALEM VERFUHREN NÄMLICH WIE FOLGT</small>. [D<small>ER</small> E<small>RKRANKTE</small>] <small>GING AM</small> V<small>ORABEND DES</small> P<small>ESAḤFESTES</small>$fn127<small>ZUM</small> A<small>RZTE</small>, <small>UND DIESER SCHNITT IHM</small> [<small>DAS</small> G<small>LIED</small>] <small>AB BIS AUF EINE</small> H<small>AARBREITE</small>, <small>DIE ER ZURÜCKLIESS</small>$fn128, <small>SODANN BEFESTIGTE ER ES AN EINEN</small> D<small>ORN UND JENER RISS SICH DAVON LOS</small>. S<small>O KONNTE DIESER SEIN</small> P<small>ESAḤOPFER HERRICHTEN UND DER</small> A<small>RZT SEIN</small> P<small>ESAḤOPFER HERRICHTEN</small>. U<small>ND UNS SCHEINT</small>, <small>DASS HIERVON</small> [<small>EIN</small> S<small>CHLUSS</small>] <small>VOM</small> S<small>CHWEREREN AUF DAS</small> L<small>EICHTERE ZU FOLGERN IST</small>$fn129."
Keritot 15b:2,"GEMARA. Dort haben wir gelernt: Wenn jemand vom Lauche [die Feuchtigkeit] abstreift oder mit seinem Gewande sein Haar ausdrückt, so ist die daran bleibende Flüssigkeit nicht befähigend$fn130und die herauskommende befähigend. Šemuél sagte: Der Lauch selber ist$fn131verunreinigungsfähig. – Aus welchem Grunde? – Er wird schon beim Abstreifen verunreinigungsfähig. – Wir haben ja aber gelernt, daß er$fn132am Vorabend des Pesaḥfestes zu ihm hinging &amp;c., und wenn du sagst, er werde schon beim Abstreifen befähigt, so sollte doch das lose hängende Glied beim Abtrennen vom Menschen den Menschen verunreinigen!? – Wie R. Joseph erklärt hat, wenn es mit aller Kraft abgeschüttelt wird, ebenso auch hierbei, wenn es mit aller Kraft abgetrennt$fn133wird. – Worauf bezieht sich das, was R. Joseph gesagt hat? – Auf folgendes: Wenn ein Flußbehafteter und ein Leichenunreiner sich unterwegs befinden und Regen über sie niederfällt, so ist, obgleich sie selber [das Wasser von ihren Kleidern] abstreifen, das von oben nach unten abfließende rein, weil es unbedeutend ist, solange es nicht ganz [aus den Kleidern] gekommen$fn134ist. – Wenn es ganz herausgekommen ist, ist es ja befähigend$fn135!? R. Joseph erwiderte: Wenn es mit aller Kraft abgeschüttelt wird$fn136."
Keritot 15b:3,"<sup>ix</sup><b>F</b><small>ERNER FRAGTE SIE</small> R. A͑<small>QIBA</small>: W<small>IE IST ES</small>, <small>WENN JEMAND AUSSERHALB</small>$fn137 <small>FÜNF</small> S<small>CHLACHTOPFER BEI EINEM</small> E<small>NTFALLEN GESCHLACHTET HAT</small>: <small>IST ER WEGEN EINES JEDEN BESONDERS SCHULDIG ODER EINMAL WEGEN ALLER</small>? S<small>IE ERWIDERTEN IHM</small>: W<small>IR HABEN DARÜBER NICHTS GEHÖRT</small>. H<small>IERAUF SPRACH</small> R. J<small>EHOŠUA͑</small>: I<small>CH HABE GEHÖRT</small>, <small>DASS</small>, <small>WENN JEMAND VON EINEM</small> S<small>CHLACHTOPFER AUS FÜNF</small> S<small>CHÜSSELN BEI EINEM</small> E<small>NTFALLEN GEGESSEN HAT</small>, <small>ER WEGEN JEDES BESONDERS WEGEN</small> V<small>ERUNTREUUNG SCHULDIG SEI</small>; <small>UND MIR SCHEINT ES</small>, <small>DASS HIERVON</small> [<small>EIN</small> S<small>CHLUSS</small>] <small>VOM</small> L<small>EICHTEREN AUF DAS</small> S<small>CHWERERE</small>$fn114<small>ZU FOLGERN IST</small>. R. Š<small>IMO͑N SPRACH</small>: N<small>ICHT DIES FRAGTE</small> R. A͑<small>QIBA</small>, <small>SONDERN WIE ES SEI</small>, <small>WENN JEMAND</small> Ü<small>BRIGGEBLIEBENES VON FÜNF</small> S<small>CHLACHTOPFERN BEI EINEM</small> E<small>NTFALLEN GEGESSEN HAT</small>; <small>IST ER EINMAL WEGEN ALLER SCHULDIG</small>, <small>ODER IST ER WEGEN JEDES BESONDERS SCHULDIG</small>? S<small>IE ERWIDERTEN IHM</small>: W<small>IR HABEN DARÜBER NICHTS GEHÖRT</small>. H<small>IERAUF SPRACH</small> R. J<small>EHOŠUA͑</small>: I<small>CH HABE GEHÖRT</small>, <small>DASS</small>, <small>WENN JEMAND VON EINEM</small> S<small>CHLACHTOPFER AUS FÜNF</small> S<small>CHÜSSELN BEI EINEM</small> E<small>NTFALLEN GEGESSEN HAT</small>, <small>ER WEGEN JEDES BESONDERS WEGEN</small> V<small>ERUNTREUUNG SCHULDIG SEI</small>; <small>UND MIR SCHEINT ES</small>, <small>DASS HIERVON</small> [<small>EIN</small> S<small>CHLUSS</small>] <small>VOM</small> L<small>EICHTEREN AUF DAS</small> S<small>CHWERERE</small>$fn114<small>ZU FOLGERN IST</small>. D<small>A SPRACH</small> R. A͑<small>QIBA ZU IHM</small>: I<small>ST ES EINE ÜBERLIEFERTE</small> H<small>ALAKHA</small>, <small>SO MÜSSEN WIR ES ANERKENNEN</small>, <small>WENN ABER EINE</small> S<small>CHLUSSFOLGERUNG</small>$fn138, <small>SO GIBT ES EINE</small> E<small>INWENDUNG</small>. J<small>ENER SPRACH</small>: S<small>O WENDE EIN</small>. D<small>IESER ERWIDERTE</small>: N<small>EIN</small>, <small>WENN DIES VON DER</small> V<small>ERUNTREUUNG GILT</small>, <small>WOBEI DERJENIGE</small>, <small>DER ANDEREN ZU ESSEN GIBT</small>, <small>DEM</small> E<small>SSENDEN GLEICHT</small>$fn139, <small>WOBEI DERJENIGE</small>, <small>DER ANDEREN ZUR</small> N<small>UTZNIESSUNG GIBT</small>, <small>DEM</small> N<small>UTZNIESSENDEN GLEICHT</small>, <small>UND WOBEI FERNER DIE</small> V<small>ERUNTREUUNGEN WÄHREND EINER LÄNGEREN</small> Z<small>EIT</small>$fn140<small>VEREINIGT WERDEN</small>, <small>SOLLTE DIES AUCH VOM</small> Ü<small>BRIGGEBLIEBENEN GELTEN</small>, <small>WOBEI KEINES DAVON DER</small> F<small>ALL IST</small>!?"
