Index Title,Nazir
Nazir 10b:2,<sup>iii</sup> <b>W</b><small>ENN MAN JEMANDEM EINEN</small> B<small>ECHER EINSGHENKT UND ER SPRICHT: ICH</small>
Nazir 11a:1,"<small>WILL INBEZUG AUF DIESEN</small> N<small>AZIR SEIN, SO IST ER</small> N<small>AZIR</small>$fn50. E<small>INST SCHENKTE MAN EINER</small> F<small>RAU, DIE TRUNKEN WAR, EINEN</small> B<small>ECHER EIN, UND SIE SPRACH: ICH WILL INBEZUG AUF DIESEN</small> N<small>EZIRA SEIN</small>. D<small>A ENTSCHIEDEN DIE</small> W<small>EISEN</small>: D<small>IESE WOLLTE DAMIT NUR SAGEN, ER GELTE FÜR SIE WIE EIN</small> O<small>PFER</small>$fn51."
Nazir 11a:2,"GEMARA. Ein Tatfall zur Widerlegung!? Zuerst heißt es, er sei Nazir, und hierauf lehrt er einen Fall von einer Frau, wonach nur dieser Wein verboten, anderer aber erlaubt ist. – [Die Mišna] ist lükkenhaft und muß wie folgt lauten: wenn man jemandem einen Becher einschenkt und er spricht: ich will inbezug auf diesen Nazir sein, so ist er Nazir; wenn er aber trunken ist und spricht: ich will inbezug auf diesen Nazir sein, so ist er nicht Nazir, denn es ist ebenso, als würde er gesagt haben: er gelte$fn52für mich wie ein Opfer. Wollte man einwenden: demnach sollte er es gesagt haben, [so ist zu erwidern:] er dachte, sie würden einen anderen holen und ihn quälen, daher gebrauchte er eine entscheidende$fn53Redewendung. Einst [schenkte man] einer Frau &amp;c."
Nazir 11a:3,"<sup>iv</sup> S<small>AGTE JEMAND</small>:] <small>ICH WILL</small> N<small>AZIR SEIN UNTER DER</small> B<small>EDINGUNG</small>, W<small>EIN TRINKEN UND SICH AN</small> T<small>OTEN VERUNREINIGEN ZU DÜRFEN, SO IST ER</small> N<small>AZIR, UND ALLES</small>$fn54<small>IST IHM VERBOTEN</small>. [S<small>AGTE ER</small>,] <small>ER HABE GEWUSST, DASS ES</small> N<small>AZIRÄER</small>$fn55<small>GEBE, JEDOCH NICHT, DASS DEM</small> N<small>AZIR DER</small> W<small>EIN VERBOTEN</small>$fn56<small>SEI, SO IST ER IHM DENNOCH VERBOTEN; NACH</small> R. Š<small>IMO͑N ABER ERLAUBT</small>$fn57. [S<small>AGTE ER</small>,] <small>ER HABE GEWUSST, DASS EINEM</small> N<small>AZIR DER</small> W<small>EIN VERBOTEN SEI, JEDOCH GEGLAUBT, DASS DIE</small> W<small>EISEN IHN IHM ERLAUBEN WÜRDEN, WEIL ER OHNE</small> W<small>EIN NICHT LEBEN KANN, ODER</small>$fn58, <small>WEIL ER</small> T<small>OTENGRÄBER IST, SO IST ES IHM ERLAUBT; NACH</small> R. Š<small>IMO͑N ABER VERBOTEN</small>."
Nazir 11a:4,"GEMARA. Sollte doch R. Šimo͑n auch gegen den Anfangsatz$fn59streiten!? R. Jehošua͑ b. Levi erwiderte: R. Šimo͑n streitet auch gegen den Anfangsatz, Rabina erwiderte: Gegen den Anfangsatz streitet R. Šimo͑n nicht, weil es ein Vorbehalt wider eine Bestimmung der Tora ist, und ein Vorbehalt wider eine Bestimmung der Tora ist ungültige$fn60. – Und R. Jehošua͑ b. Levi!? – Er kann dir erwidern: hierbei gleichen [die Worte] ‘unter der Bedingung’ [den Worten] ‘mit Ausnahme’$fn61. Übereinstimmend mit Rabina wird gelehrt: Sagte jemand: ich will Nazir sein unter der Bedingung, Wein trinken und sich an Toten verunreinigen zu dürfen, so ist er Nazir, und alles ist ihm verboten, weil dies ein Vorbehalt wider eine Bestimmung der Tora ist, und ein Vorbehalt wider eine Bestimmung der Tora ist ungültig."
Nazir 11a:5,"E<small>R HABE GEWUSST, DASS EINEM</small> N<small>AZIR DER</small> W<small>EIN VERBOTEN SEI</small>. Du sagst ja vorangehend: verboten, nach R. Šimo͑n aber erlaubt$fn62!? – Lies auch hier: verboten, nach R. Šimo͑n aber erlaubt. Wenn du willst, sage ich: man wende es tatsächlich nicht um. Im ersten Falle, wo das Gelübde"
Nazir 11b:1,"sich auf das eine$fn63erstreckt, ist es ihm nach den Rabbanan, welche sagen, er sei Nazir, auch wenn er sich nur einem entzogen hat, verboten, und nach R. Šimo͑n, welcher sagt, nur wenn er sich allem entzogen hat, erlaubt; im letzten Falle, wo er sich alles abgelobt hat und das Gelübde hinsichtlich des einen auflösen lassen$fn64will, ist es ihm nach den Rabbanan, welche sagen, er sei Nazir, auch wenn er sich nur einem entzogen hat, da er es sich hinsichtlich des einen auflösen läßt, erlaubt, nach R. Šimo͑n aber, welcher sagt, nur wenn er sich allem entzogen hat, ist, wenn er es hinsichtlich des einen auflösen läßt, [die Auflösung nur dann gültig,] wenn er es vollständig auflösen läßt. Daher lehrt er: nach R. Šimo͑n verboten. Wenn du aber willst, sage ich: sie streiten über das Zwangsgelübde$fn65. Sie führen denselben Streit wie Šemuél und R. Asi, denn wir haben gelernt: Vier Gelöbnisschwüre erklärten die Weisen als aufgelöst: Anspornungsgelübde$fn66, Übertreibungsgelübde$fn67, irrtümliche Gelübde und Zwangsgelübde. Hierzu sagte R. Jehuda: R. Asi sagte, diese vier Gelübde benötigen der Auflösung durch einen Gelehrten. Als ich dies Šemuél vortrug, sprach er zu mir: Der Autor lehrt, die Weisen erklärten sie als aufgelöst, und du sagst, sie benötigen der Auflösung durch einen Gelehrten!? Die Rabbanan sind der Ansicht Šemuéls und R. Šimo͑n der Ansicht R. Asis."
Nazir 11b:2,"<sup>v</sup> <b>W</b><small>ENN JEMAND SAGT</small>:] <small>ICH WILL</small> N<small>AZIR SEIN UND NEHME AUF MICH DIE</small> H<small>AARSCHUR</small>$fn68<small>FÜR EINEN</small> N<small>AZIR, UND EIN ANDERER DIES HÖRT UND SAGT: AUCH ICH, UND NEHME AUF MICH DIE</small> H<small>AARSCHUR FÜR EINEN</small> N<small>AZIR, SO KÖNNEN SIE, WENN SIE GESCHEIT SIND, SICH FÜR EINANDER SCHEREN, SONST ABER MÜSSEN SIE SICH FÜR ANDERE</small> N<small>AZIRÄER SCHEREN</small>."
Nazir 11b:3,"GEMARA. Sie fragten: Wie ist es, wenn ein anderer es hört und sagt: auch$fn69ich; bezieht sich das ‘auch ich’ auf das ganze [Gelöbnis] oder nur auf die Hälfte? Und bezieht es sich, wenn du entscheidest, es beziehe sich auf die Hälfte, auf den Anfang oder auf den Schluß? – Komm und höre: Auch ich, und nehme auf mich die Haarschur für einen Nazir, so können sie, wenn sie gescheit sind, sich für einander scheren. Da es nun heißt: auch ich, und ich nehme auf mich, so ist zu entnehmen, daß das ‘auch ich’ sich nur auf die Hälfte des [Gelöbnisses] beziehe. – Ich will dir sagen, allerdings bezieht es sich auf die Hälfte, aber auf den Anfang oder auf den Schluß? – Hieraus, da es heißt: und nehme auf mich die Haarschur, ist zu entnehmen, daß das ‘auch ich’ sich auf den Anfang beziehe. R. Hona, Sohn des R. Jehošua͑, sprach zu Raba: Woher, daß dem so ist? Tatsächlich, kann ich dir erwidern, bezieht sich das ‘auch ich’ auf das ganze [Gelöbnis], und [die Worte] ‘und nehme auf mich’ beziehen sich ebenfalls$fn70hierauf. Wie ist, wenn du nicht so erklären wolltest, der Schlußsatz zu verstehen: [Wenn jemand sagt:] ich nehme auf mich die Hälfte der Haarschur für einen Nazir, und ein anderer dies hört und sagt: auch ich, ich nehme auf mich die Hälfte der Haarschur für einen Nazir. Da sind es ja keine zwei$fn71Dinge!? Da ist also das ‘auf mich’ auf dieselbe Sache zu beziehen, ebenso ist es auch hierbei auf dieselbe Sache zu beziehen. Raba erwiderte ihm: Was soll dies; allerdings lehrt er es, wenn du sagst, im Anfangsatze sei es nötig$fn72und im Schlußsatze sei es nicht nötig, im Schlußsatze unnötig wegen des Anfangsatzes, wo es nötig ist, wozu aber lehrt er es, wenn du sagst, es sei im Anfangsatze unnötig und im Schlußsatze unnötig, unnötig im Anfangsatze und unnötig im Schlußsatze!?"
Nazir 11b:4,"R. Jiçḥaq b. Joseph sagte im Namen R. Joḥanans: Wenn jemand zu seinem Beauftragten gesagt hat, daß er gehe und für ihn irgend eine"
Nazir 12a:1,"Frau$fn73antraue, so sind ihm alle Frauen der Welt verboten, denn es gilt als feststehend, daß ein Beauftragter seinen Auftrag ausführe, und da er ihm nicht eine besondere genannt hat, so weiß er nicht, welche er für ihn angetraut$fn74hat. Reš Laqiš wandte gegen R. Joḥanan ein: Wenn von eínem nicht bezeichneten Taubenpaare$fn75eine in die Lüfte (der Welt) fortfliegt, unter Sündopfer kommt, die man verenden lassen$fn76muß, oder verendet, so hole man eine andere zur Ergänzung des Paares; hei einem bezeichneten Paare gibt es demnach kein Mittel$fn77 mehr. Wieso sind nun sonstige Taubenpaare tauglich, von jeder ist ja anzunehmen, es ist vielleicht jene$fn78!? Dieser erwiderte: Ich spreche von einer Frau, die sich nicht$fn79bewegt, und du sprichst von einem Verbote, wobei [die Sache] sich$fn80bewegt. Wolltest du erwidern, auch jene ist beweglich, denn er kann sie auf der Straße getroffen und angetraut haben, so kehrt jene auf ihren Platz zurück, aber kehrt etwa die Taube zurück!?"
Nazir 12a:2,"Raba sagte: R. Joḥanan pflichtet jedoch bei$fn81hinsichtlich einer Frau, die weder eine Tochter noch eine Tochterstochter noch eine Sohnestochter noch eine Mutter noch eine Großmutter noch eine Schwester hat. Und selbst wenn sie$fn82eine Schwester hat, die nachher geschieden worden$fn83ist, ist sie ihm erlaubt, denn zur Zeit, wo er ihn beauftragte, war sie verheiratet, und er beauftragte ihn nur mit einer Sache, die ihm dann erlaubt war, nicht aber mit einer Sache, die ihm dann nicht$fn84 erlaubt war, – Wir haben gelernt: Wenn jemand sagt: ich will Nazir sein und nehme auf mich die Haarschur für einen Nazir, und ein anderer dies hört und sagt: auch ich, und nehme auf mich die Haarschur für einen Nazir, so können sie, wenn sie gescheit sind, sich für einander scheren, sonst aber müssen sie sich für andere Naziräer scheren. Allerdings hat der andere den ersteren vor sich, der erstere aber hatte ja nicht den anderen$fn85vor sich!? Er meinte es vielmehr wie folgt: wenn ich"
Nazir 12b:1,"einen finde, der Nazir ist, so schere ich micli für ihn; ebenso ist dies hierbei zu verstehen: wenn du eine findest, die geschieden ist, so traue sie für mich an!? – Ich will dir sagen: man kann jemand mit einer Handlung beauftragen, die man selbst sofort ausführen kann, nicht aber kann man jemand mit einer Handlung beauftragen, die man selbst nicht sofort ausführen$fn86kann. – Etwa nicht, komm und höre: Man könnte glauben, daß, wenn jemand zum Pfleger$fn87gesagt hat: hebe alle Gelübde meiner Frau auf, die sie von jetzt ab bis ich von jenem Orte komme tut, und dieser sie aufgehoben hat, sie aufgehoben seien, so heißt es:$fn88<i>ihr Mann bestätige es und ihr Mann hebe es auf</i> – so R. Jošija. R. Jonathan sagt, wir finden überall, daß em Vertreter eines Menschen ihm selbst gleiche. Nur aus dem Grunde, weil der Allbarmherzige sagt: <i>ihr Mann bestätige es und ihr Mann hebe es auf</i>, sonst aber könnte der Pfleger sie aufheben. Vom [Ehemanne] selbst aber wird gelehrt: wenn jemand zu seiner Frau spricht: alle Gelübde, die du von jetzt ab bis ich von jenem Orte zurückkomme tust, sollen gültig sein, so sind seine Worte nichtig; wenn aber: sollen aufgehoben sein, so sind sie, wie R. Elie͑zer sagt, aufgehoben, und wie die Weisen sagen, nicht aufgehoben. Er$fn89glaubte, R. Jošija lehre es nach den Rabbanan, welche sagen, [der Ehemann] könne sie nicht aufheben, und wenn der Allbarmherzige nicht gesagt hätte: <i>ihr Mann bestätige es und ihr Mann hebe es auf</i>, könnte der Vormund sie wohl aufheben$fn90!? – Vielleicht nach R. Elie͑zer, welcher sagt, [der Ehemann] könne sie wohl aufheben. – Wozu braucht er demnach einen Pfleger, er kann sie ja selber aufheben$fn91!? – Er befürchtet, er könnte es aus Vergeßlichkeit, Ärger oder Zerstreutheit [unterlassen]."
Nazir 12b:2,"<sup>vi</sup> <b>W</b><small>ENN JEMAND SAGT: ICH NEHME AUF MICH DIE</small> H<small>ÄLFTE DER</small> H<small>AARSCHUR FÜR EINEN</small> N<small>AZIR, UND EIN ANDERER DIES HÖRT UND SAGT: AUCH ICH, ICH NEHME AUF MICH DIE</small> H<small>ÄLFTE DER</small> H<small>AARSCHUR FÜR EINEN</small> N<small>AZIR, SO HAT DER EINE DIE GANZE</small> H<small>AARSCHUR</small>$fn92<small>FÜR EINEN</small> N<small>AZIR ZU LEISTEN UND DER ANDERE DIE GANZE</small> H<small>AARSGHUR FÜR EINEN</small> N<small>AZIR ZU LEISTEN</small> – <small>SO</small> R. M<small>EÍR</small>. D<small>IE</small> W<small>EISEN SAGEN, DER EINE HAT DIE</small> H<small>ÄLFTE DER</small> H<small>AARSCHUR FÜR EINEN</small> N<small>AZIR ZU LEISTEN UND DER ANDERE HAT DIE</small> H<small>ÄLFTE DER</small> H<small>AARSCHUR FÜR EINEN</small> N<small>AZIR ZU LEISTEN</small>."
Nazir 12b:3,"GEMARA. Raba sagte: Alle stimmen überein, daß, wenn er gesagt hat, er nehme auf sich die Hälfte der Naziropfer, er nur die Hälfte der Naziropfer darzubringen habe, und wenn: die Opfer eines halben Nazirates, er die vollständigen Opfer darzubringen habe, denn es gibt kein Nazirat zur Hälfte, und sie streiten nur über die in der Mišna genannte Fassung. R. Meír ist der Ansicht, sobald er gesagt hat: ich nehme auf mich, sei er zu den vollständigen Naziratopfern verpflichtet worden, und wenn er später sagt: die Hälfte eines Nazirates, sei dies belanglos, die Rabbanan aber sind der Ansicht, dies sei ein Gelübde mit einer Tür$fn93."
Nazir 12b:4,"<sup>vii</sup> <b>W</b><small>ENN JEMAND GESAGT HAT</small>:] <small>ICH WILL</small> N<small>AZIR SEIN, WENN ICH EINEN</small> S<small>OHN BEKOMME, UND IHM EIN</small> S<small>OHN GEBOREN WIRD, SO IST ER</small> N<small>AZIR; WENN EINE</small> T<small>OCHTER, EIN</small> G<small>ESCHLECHTSLOSER ODER EIN</small> Z<small>WITTER, SO IST ER KEIN</small> N<small>AZIR</small>. W<small>ENN ER ABER GESAGT HAT: WENN ICH EIN</small> K<small>IND BEKOMME</small>$fn94, <small>SO IST ER</small> N<small>AZIR, AUCH WENN IHM EINE</small> T<small>OCHTER, EIN</small> G<small>ESCHLECHTSLOSER ODER EIN</small> Z<small>WITTER GEBOREN WIRD</small>. <sup>viii</sup> H<small>AT SEINE</small> F<small>RAU</small> [<small>VORZEITIG</small>] <small>ABORTIERT</small>,"
Nazir 13a:1,"<small>SO IST ER KEIN</small> N<small>AZIR</small>. R. Š<small>IMO͑N SAGT, ER MÜSSE SAGEN: WÄRE ES EIN LEBENSFÄHIGES</small> K<small>IND, SO BIN ICH PFLICHTGEMÄSS</small> N<small>AZIR, WENN ABER NICHT, SO BIN ICH FREIWILLIG</small>$fn95N<small>AZIR</small>. G<small>EBÄRT SIE WIEDERUM</small>$fn96, <small>SO IST ER</small> N<small>AZIR</small>. R. Š<small>IMO͑N SAGT, ER MÜSSE SAGEN: WÄRE DAS ERSTE</small> K<small>IND LEBENSFÄHIG, SO SEI DAS ERSTE</small> [N<small>AZIRAT</small>] <small>EIN PFLICHTGEMÄSSES UND DIESES EIN FREIWILLIGES, WENN ABER NICHT, SO SEI DAS ERSTE EIN FREIWILLIGES UND DIESES EIN PFLICHTGEMÄSSES</small>. <sup>ix</sup> [W<small>ENN JEMAND GESAGT HAT</small>:] <small>ICH WILL</small> N<small>AZIR SEIN</small>, <small>UND WIEDERUM</small> N<small>AZIR SEIN, WENN ICH EINEN</small> S<small>OHN BEKOMME, UND NACHDEM ER SEINES ZU ABSOLVIEREN BEGONTXEN HAT, IHM EIN</small> S<small>OHN GEBOREN WIRD, SO BEENDIGE ER SEINES</small>$fn97<small>UND ABSOLVIERE DANN DAS WEGEN SEINES</small> S<small>OHNES</small>. W<small>ENN</small> [<small>ER ABER GESAGT HAT</small>:] <small>ICH WILL, WENN ICH EINEN</small> S<small>OHN BEKOMME</small>, N<small>AZIR SEIN, UND AUSSERDEM</small> N<small>AZIR SEIN, UND NACHDEM ER SEINES ZU ABSOLVIEREN BEGONNEN HAT, IHM EIN</small> S<small>OHN GEBOREN WIRD, SO UNTERBRECHE ER SEINES, ABSOLVIERE DAS WEGEN SEINES</small> S<small>OHNES UND BEENDIGE DANN SEINES</small>."
Nazir 13a:2,"GEMARA. Wozu ist dies$fn98zu lehren nötig!? – Wegen des Schlußsatzes: wenn eine Tochter, ein Geschlechtsloser oder ein Zwitter, so ist er kein Nazir. – Selbstverständlich!? – Man könnte glauben, er habe verstanden: wenn ich Vater$fn99werde, so lehrt er uns, daß dem nicht so sei."
Nazir 13a:3,"W<small>ENN ER ABER GESAGT HAT: WENN ICH EIN</small> K<small>IND BEKOMME &amp;C</small>. Selbstverständlich!? – Man könnte glauben, ein Kind, das als solches unter den Menschen$fn100gilt, so lehrt er uns."
Nazir 13a:4,"H<small>AT SEINE</small> F<small>RAU ABORTIERT, SO IST ER KEIN</small> N<small>AZIR</small>. Wer lelirt dies? – Es ist R. Jehuda, [der Autor der Lehre] vom Haufen$fn101."
Nazir 13a:5,"R. Š<small>IMO͑N SAGT, ER MÜSSE SAGEN: WÄRE ES EIN LEBENSFÄHIGES</small> K<small>IND, SO BIN ICH PFLICHTGEMÄSS</small> N<small>AZIR, WENN ABER NICHT, SO BIN ICH FREIWILLIG</small> N<small>AZIR</small>. R. Abba fragte R. Hona: Wie ist es, [wenn jemand gesagt hat:] ich will Nazir sein, wenn ich einen Sohn bekomme, und seine Frau abortiert hat, und nachdem er ein Opfer abgesondert, sie wiederum$fn102geboren hat? – Nach wessen Ansicht: wenn nach R. Šimo͑n, so ist es ja nach ihm nicht fraglich, R. Šimo͑n sagt ja, ein Zweifel beim Nazirate sei erschwerend$fn103zu entscheiden!? Vielmehr, nach R. Jehuda, welcher sagt, ein Zweifel beim Nazirate sei erleichternd zu entscheiden; wie ist es nun, ist es heilig oder nicht? – In welcher Hinsicht$fn104? – Hinsichtlich der Schur und der Verwendung zur Arbeit$fn105. – Dies bleibt unentschieden."
Nazir 13a:6,"Ben Riḥumi fragte Abajje: Wie ist es, [wenn jemand gesagt hat:] ich will Nazir sein, wenn ich einen Solin bekomme, und ein anderer dies hört und spricht: auf mich; bezieht er dies auf seinen Ausspruch$fn106oder auf sich selbst$fn107? Und wie ist es, wenn du entscheidest, er beziehe dies auf sich selbst, wenn jemand gesagt hat: ich will Nazir sein, wenn ich einen Sohn bekomme, und ein anderer dies hört und spricht: ich ebenfalls; bezieht er dies auf sich selbst, oder meint er es wie folgt: mir wäre dies ebenso lieb wie dir? Und wie ist es ferner, wenn du entscheidest,"
Nazir 13b:1,"da es in seiner Gegenwart erfolgt ist, so war es ihm peinlich$fn108, wenn jemand gesagt hat: ich will Nazir sein, wenn jener einen Sohn bekommt, und ein anderer dies hört und spricht: ich ebenfalls; bezieht er dies, da es in seiner Abwesenheit erfolgt, auf sich selbst, oder meint er es wie folgt: dies wäre mir ebenso lieb wie dir. – Dies bleibt unentschieden."
Nazir 13b:2,"I<small>CH WILL</small> N<small>AZIR SEIN UND WIEDERUM</small> N<small>AZIR SEIN, WENN ICH EINEN</small> S<small>OHN BEKOMME &amp;C</small>. Raba fragte: Wie ist es, [wenn jemand gesagt hat:] ich will nach zwanzig Tagen Nazir$fn109sein, und hundert Tage von jetzt ab? Erstreckt sich [das Nazirat] auf diese$fn110nicht, da das hunderttägige in zwanzig [Tagen] nicht beendet$fn111ist, oder erstreckt es sich auf diese, da auch nachher die Dauer des Haarwuchses$fn112vorhanden ist? – Sollte er doch hinsichtlich eines kürzeren Nazirates$fn113gefragt haben!? – Er fragte hinsichtlich des einen mit Bezugnahme auf das andere. Wie ist es, falls"
Nazir 14a:1,"du entscheidest, daß bei einem kürzeren Nazirate, wobei$fn114nur zehn Tage zurückbleiben, diese nicht mitgerechnet$fn115werden, wenn es ein Nazirat von hundert Tagen ist: werden sie, da es achtzig Tage sind, hinzugerechnet$fn116oder nicht? Wie ist es ferner, wenn er gesagt hat: ich will Nazir sein nach zwanzig Tagen und lebenslänglicher Nazir von jetzt ab; erstreckt es sich auf diese$fn110oder nicht. Wie ist es ferner, falls du entscheidest, daß es sich auf diese erstrecke, da es$fn117aufgelöst werden$fn118kann, wenn er gesagt hat: ich will nach zwanzig Tagen Nazir wie Šimšon$fn119 sein, und gewöhnlicher Nazir von jetzt ab? Erstreckt es sich hierbei auf diese, da eine Auflösung nicht möglich ist, oder nicht? Wie ist es, wenn jemand gesagt hat: wie Mose am siebenten$fn120Adar? – Die erste Frage ist [aus folgendem] zu entscheiden: Sagte jemand: ich will Nazir sein nach zwanzig Tagen, und hundert Tage von jetzt ab, so absolviere er zwanzig Tage, dann dreißig, und dann achtzig, um das erste Nazirat zu beendigen."
Nazir 14a:2,"Hat er sich während des Nazirates wegen seines Sohnes$fn121verunreinigt, so sind, wie R. Joḥanan sagt, auch jene$fn122hinfällig, und wie Reš Laqiš sagt, nicht hinfällig. R. Joḥanan sagt, sie seien hinfällig, denn [beide Nazirate] sind zusammen ein langes Nazirat; Reš Laqiš sagt, sie seien nicht hinfällig, denn seines ist ein Nazirat für sich und das wegen seines Sohnes ist ein Nazirat für sich. Hat er sich während der Tage seines"
Nazir 14b:1,"Aussatzes$fn123verunreinigt$fn124, so sind [die früheren Tage], wie R. Joḥanan sagt, hinfällig, und wie Reš Laqiš sagt, nicht hinfällig. R. Joḥanan sagt, sie seien hinfällig, denn er befindet sich im Nazirate; Reš Laqiš sagt, sie seien nicht hinfällig, denn; der Aussatz ist [ein Zustand] für sich$fn125 und das Nazirat ist [ein Zustand] für sich. Und [beide Lehren] sind nötig. Würde nur die erste gelehrt worden sein, so könnte man glauben, R. Joḥanan sei nur hierbei der Ansicht, daß sie hinfällig seien, weil es dem Namen nach ein$fn126Nazirat ist, während er bei der anderen Reš Laqiš beipflichte, daß das Nazirat [ein Zustand] für sich und der Aussatz [ein Zustand] für sich sei. Und würde nur die andere gelehrt worden sein, so könnte man glauben, Reš Laqiš vertrete seine Ansicht nur bei dieser, während er bei jener R. Joḥanan beipflichtet. Daher sind beide nötig."
Nazir 14b:2,"Ist er an einem Tage des Haarwuchses$fn127unrein geworden, so sind [die früheren Tage], wie Rabh sagt, nicht hinfällig, denn auch nach R. Joḥanan, welcher sagt, sie seien$fn128hinfällig, gilt dies nur da, wo er sich im Nazirate befindet, während der Haarwuchs nur eine Ergänzung des Nazirates ist. Šemuél aber sagt, sie seien hinfällig, denn auch nach Reš Laqiš, welcher sagt, sie seien nicht hinfällig, gilt dies nur da, wo es zwei Nazirate$fn129sind, hierbei aber ist es ein Nazirat."
Nazir 14b:3,"R. Ḥisda sagte: Alle stimmen überein, daß, wenn beim Blut[sprengen] das Haar noch heilig$fn130war, es für ihn kein Mittel mehr$fn131gebe. – Nach wessen Ansicht: wenn nach R. Elie͑zer, welcher sagt, es$fn132sei vom Scheren abhängig, so erfolgt es ja innerhalb des Vollwerdens, und sie$fn133sollten hinfällig sein, und wenn nach den Rabbanan, so sind sie ja der Ansicht, es sei vom Scheren nicht$fn134abhängig!? – Tatsächlich nach den Rabbanan, und unter ‘kein Mittel’ ist zu verstehen, er habe kein Mittel zur Ausübung des Gebotes des Scherens$fn135."
Nazir 14b:4,"R. Jose b. R. Ḥanina sagte: Wenn ein Nazir die Tage absolviert hat, so erhält er Geißelhiebe wegen der Verunreinigung, nicht aber wegen des Scherens und nicht wegen des Wein[trinkens]$fn136. – Wegen der Verunreinigung erhält er wohl deshalb Geißelhiebe, weil die Schrift sagt: $fn137<i>alle Tage seiner Absonderung für den Herrn</i>, und dies vergleicht die Tage nach dem Vollwerden$fn138mit den Tagen vor dem Vollwerden, somit sollte er auch wegen des Scherens schuldig sein, denn der Allbarmherzige sagt:$fn139<i>alle Tage seines Absonderungsgelübdes soll kein Schermesser über sein Haupt gehen</i>, und dies vergleicht die Tage nach dem Vollwerden mit den Tagen vor dem Vollwerden!? Ferner:$fn140<i>alle Tage seiner Absonderung, von allem, was aus dem Weinstocke bereitet wird</i>, und dies vergleicht die Tage nach dem Vollwerden mit den Tagen vor dem Vollwerden!? – Anders ist es hierbei, denn der Allbarmherzige sagt:"
Nazir 15a:1,"$fn141<i>und er sein geweihtes Haupt verunreinigt</i>, wenn die Weihe noch an seinem Haupte$fn142haftet. Man wandte ein: Wenn ein Nazir die Tage absolviert hat, so ist ihm$fn143das Scheren, das Weintrinken und die Verunreinigung an Toten verboten; hat er sich geschoren, Wein getrunken oder sich an Toten verunreinigt, so erhält er die vierzig [Geißelhiebe]!? – Dies ist eine Widerlegung."
Nazir 15a:2,"<sup>x</sup> <b>S</b><small>AGTE JEMAND</small>:] <small>ICH WILL</small> N<small>AZIR SEIN, FALLS ICH EINEN</small> S<small>OHN BEKOMME, UND AUSSERDEM HUNDERT</small> T<small>AGE</small> N<small>AZIR SEIN, SO HAT ER, WENN IHM BIS ZUM SIEBZIGSTEN</small> [T<small>AGE</small>] <small>EIN</small> S<small>OHN GEBOREN WIRD, NICHTS</small>$fn144<small>VERLOREN; WENN ABER NACH SIEBZIG, SO SIND DIE SIEBZIG HINFÄLLIG, DA DAS</small> S<small>CHEREN VOR DREISSIG</small> T<small>AGEN NICHT ERFOLGEN DARF</small>$fn145."
Nazir 15a:3,"GEMARA. Rabh sagte: Der siebzigste Tag wird hin und her$fn146angerechnet. – Wir haban gelernt: So hat er, wenn ihm bis zum siebzigsten [Tage ein Sohn] geboren wird, nichts verloren. Wenn man nun sagen wollte, er werde hin und her angerechnet, so gewinnt er$fn147ja!? – Eigentlich braucht er [diesen Fall, wenn] bis zum siebzigsten, nicht zu lehren, da er aber im Schlußsatze lehrt, daß, wenn nach dem siebzigsten, die siebzig hinfällig seien, so lehrt er im Anfangsatze: [bis] zum siebzigsten. – Komm und höre den Schlußsatz: Wird ihm einer nach dem siebzigsten geboren, so sind die siebzig hinfällig$fn148!? –Unter ‘nach’ ist zu verstehen: nach dem folgenden$fn149Tage. – Wieso lehrt er, wenn demnach nichts hinfällig ist, falls unmittelbar nachher erfolgt, daß, wenn ihm bis zum siebzigsten [Tage ein Sohn] geboren wird, er nichts verloren habe, du sagst ja, auch wenn dies nach dem siebzigsten erfolgt, sei nichts hinfällig!? Vielmehr ist unter ‘nach’ unmittelbar nachher zu verstehen. Somit ist aus unserer Mišna [gegen] Rabh zu entnehmen. – Nach wem lehrte Rabh seine Lehre? – Nach$fn150Abba Šaúl, denn wir haben gelernt: Wenn jemand drei Tage vor dem Feste seinen Toten begräbt, so ist er der Pflicht der siebentägigen Trauer$fn151enthoben; wenn acht Tage vor dem Feste, so ist er der Pflicht der dreißigtägigen Trauer enthoben, und er darf sich am Vorabend des Festes das Haar scheren; hat er es am Vorabend des Festes unterlassen, so darf er es nach dem Feste nicht tun. Abba Šaúl sagt, wenn er es vor dem Feste unterlassen hat, dürfe er es"
