Index Title,Temurah
Temurah 9a:7,"Reš Laqiš sagte: R. Šimo͑n pflichtet bei, daß man umtauschen und wiederum umtauschen$fn195könne, denn wo sollte die Heiligkeit des ersten hingekommen$fn196sein? R. Johanan aber sagt, wie man nicht eines auf zwei umtauschen kann, ebenso kann man nicht umtauschen und wiederum umtauschen. Es gibt eine Lehre übereinstimmend mit R. Joḥanan, und es gibt eine Lehre übereinstimmend mit Reš Laqiš. Es gibt eine Lehre übereinstimmend mit R. Joḥanan: Wie man nicht eines auf zwei umtauschen kann, ebenso kann man nicht umtauschen und wiederum umtauschen. Es gibt eine Lehre übereinstimmend mit Reš Laqiš: Man könnte glauben, wie R. Šimo͑n sagt, man könne nicht eines auf zwei umtauschen, ebenso könne man nicht umtauschen und wiederum umtauschen, so heißt es: <i>so sei es und sein Eingetauschtes heilig</i>, auch hundert."
Temurah 9a:8,"R. Abin fragte: Wie ist es nach demjenigen, welcher sagt, man könne nicht umtauschen und wiederum umtauschen, wenn jemand sein Schuldopfer"
Temurah 9b:1,"zur Sühne abgesondert und es umgetauscht hat, und nachdem es einen Fehler bekommen und er es durch ein anderes ausgeweiht, Sühne durch ein anderes Schuldopfer$fn197erlangl hat, sodaß es zum Brandopfer geworden$fn198ist; kann er es$fn199umtauschen? Abajje sprach: Was ist ihm da fraglich: wenn hinsichtlich zweier Körper und einer Heiligkeit, so sollte er es [hinsichtlich eines Falles] ohne Sühne$fn200fragen, und wenn hinsichtlich zweier Heiligkeilen und eines Körpers, so sollte er es [hinsichtlich des Falles] ohne Fehlerhaftigkeit$fn201fragen. – Und R. Abin? – Er fragte eines und eventuell das andere: wenn du entscheidest, bei zwei Körpern und einer Heiligkeit nicht, weil es bei dieser Heiligkeit bereits einmal umgetauscht worden ist, wie ist es bei zwei Körpern und zwei Heiligkeiten? – Dies bleibt unentschieden."
Temurah 9b:2,"Eine andere Lesart. R. Abin fragte: Wie ist es nach R. Joḥanan, welcher sagt, man könne nicht umtauschen und wiederum umtauschen, wenn jemand ein Schuldopfer zur Sühne abgesondert und es umgetauscht hat, und nachdem es einen Fehler bekommen, es durch ein anderes ausgeweiht hat; kann er es abermals umtauschen? Und wie ist es, wenn er Sühne durch ein anderes Schuldopfer erlangt hat und dieses Brandopfer geworden ist; kann er es wiederum umtauschen? Abajje sprach: Was ist ihm da fraglich: wenn hinsichtlich einer anderen Heiligkeit beim selben Körper, so sollte er doch nicht fragen [hinsichtlich des Falles], wenn es fehlerhaft geworden und er es durch ein anderes ausgeweiht hat, und wenn hinsichtlich eines Körpers und derselben Heiligkeit, so sollte er doch nicht fragen [hinsichtlich des Falles], wenn er Sühne durch ein anderes Sündopfer erlangt hat? – Und R. Abin!? – Er fragte eines und eventuell das andere: kann er, wenn es fehlerhaft geworden und er es durch ein anderes ausgeweiht hat, es wiederum umtauschen; sagen wir, er könne nur das erste Schuldopfer nicht wiederum umtauschen, wohl aber kann er einen anderen Körper wiederum umtauschen, obgleich ihm dieselbe Heiligkeit anhaftet, oder aber kann er es nur bei derselben Heiligkeit nicht wiederum umtauschen? Und wie ist es, wenn du entscheidest, auch bei einem anderen Körper könne man nicht wiederum umtauschen, weil ihm dieselbe Heiligkeit anhaftet, wenn er Sühne erlangt hat durch ein anderes Schuldopfer, sodaß das erste Brandopfer geworden ist; kann er es wiederum umtauschen? Sagen wir, man könne nicht wiederum umtauschen, nur wenn es derselbe Körper und dieselbe Heiligkeit ist, wenn es aber derselbe Körper und eine andere Heiligkeit ist, könne man wiederum umtauschen, oder aber kann man, obgleich es eine andere Heiligkeit ist, nicht wiederum umtauschen, weil es derselbe Körper ist. – Dies bleibt unentschieden."
Temurah 9b:3,"R. Jehošua͑ b. Levi sagte: Beim Erstgeheiligten ist$fn202das Fünftel hinzuzufügen, beim Zweitgeheiligten$fn203ist das Fünftel nicht hinzuzufügen. R. Papa sagte: Folgendes ist der Grund des R. Jehošua͑ b. Levi. Die Schrift sagt:$fn204<i>und wenn der Heiligende sein Haus auslöst, so füge er ein Fünftel hinzu</i>; der Heiligende, nicht aber wer erfassen läßt$fn205."
Temurah 9b:4,"R. Abin fragte: Wie ist es, wenn jemand ein Schuldopfer zur Sühne abgesondert und es einen Fehler bekommen hat, und nachdem er das Fünftel hinzugefügt und es durch ein anderes ausgeweiht hat, Sühne durch ein anderes erlangt hat, sodaß dieses ein Brandopfer geworden ist; muß eir das Fünftel hinzufügen? Abajje sprach: Was ist ihm da fraglich: ist es ihm hinsichtlich zweier Körper und einer Heiligkeit fraglich, so sollte er doch [hinsichtlich des Falles] ohne Sühne fragen, und ist es ihm hinsichtlich zweier Körper und einer Heiligkeit fraglich, so sollte er doch [hinsichtlich des Falles] ohne Fehlerhaftigkeit fragen. – Und R. Abin!? – Er fragte eines und eventuell das andere: wenn du entscheidest, bei zwei Körpern und einer Heiligkeit nicht, weil bei dieser das Fünftel bereits einmal hinzugefügt worden ist, wie ist es bei zwei Körpern und zwei Heiligkeiten? – Dies bleibt unentschieden."
Temurah 9b:5,"Eine andere Lesart. R. Abin fragte: Wie ist es, wenn jemand ein Schuldopfer zur Sühne abgesondert und es einen Fehler bekommen hat, und nachdem er es durch ein anderes ausgeweiht und das Fünftel hinzugefügt hat, Sühne durch ein anderes erlangt hat, sodaß dieses ein Brandopfer geworden ist; muß er das Fünftel hinzufügen? Abajje sprach: Was ist ihm da fraglich: ist es ihm fraglich hinsichtlich einer anderen Heiligkeit beim selben Körper, so sollte er nicht fragen [hinsichtlich des Falles] der Fehlerhaftigkeit &amp;c.$fn206und er es durch ein anderes ausgeweiht hat. Muß er [das Fünftel] hinzufügen? Sagen wir, nur beim ersten Schuldopfer sei [das Fünftel] hinzuzufügen, bei einem anderen Körper aber"
Temurah 10a:1,"füge er es nicht hinzu, obgleich es dieselbe Heiligkeit ist, oder aber ist bei derselben Heiligkeit das Fünftel nicht$fn207hinzuzufügen? Und wenn du entscheidest, dies sei ein Körper, und da es dieselbe Heiligkeit ist, sei das Fünftel [nicht] hinzuzufügen, wie ist es, wenn er Sühne erlangt hat durch ein anderes und dieses Brandopfer geworden ist. Ist das Fünftel [nicht] hinzuzufügen nur beim selben Körper und bei derselben Heiligkeit, nicht aber bei einer anderen Heiligkeit, oder aber ist, da es derselbe Körper ist, das Fünftel hinzuzufügen? - Dies bleibt unentschieden."
Temurah 10a:2,"Rami b. Ḥama fragte: Muß der Heiligende das Fünftel hinzufügen oder muß der Sühneerlangende$fn208das Fünftel hinzufügen? Raba erwiderte: Die Schrift sagt:$fn209<i>wenn der Heiligende sein Haus auslöst</i>, der Heiligende und nicht der Sühneerlangende."
Temurah 10a:3,"Rami b. Ḥama fragte: Kann der Heiligende umtauschen oder kann der Sühneerlangende umtauschen? Raba erwiderte:Wenn dem so$fn210wäre, so könnte es vorkommen, daß eine Gemeinde und Gesellschafter umtauschen$fn211können, wenn sie nämlich einen Vertreter zur Heiligung bestellt haben. Ferner sagte R. Naḥman im Namen R. Honas: Es wird gelehrt: $fn212<i>Sein Opfer dem Herrn wegen seines Nazirates, abgesehen von dem, wozu sein Vermögen reicht</i>. Wird denn bei einem Nazir das Hinreichen seines Vermögens berücksichtigt? Dies ist vielmehr wie folgt zu verstehen: <i>sein Opfer für den Herrn wegen seines Nazirates</i>, wenn er seines abgesondert hat; <i>abgesehen von dem, wozu sein Vermögen reicht</i>, wenn andere für ihn abgesondert haben. In welcher Hinsicht: wollte man sagen, hinsichtlich der Sühne, so ist es ja selbstverständlich, daß es ihm Sühne schafft; doch wohl hinsichtlich des Umtauschcns, und er meint es wie folgt: auch wenn andere für ihn abgesondert haben, kann er es umtauschen. Hieraus ist somit zu entnehmen, daß man sich nach dem Sühneerlangenden richte. – Nein, tatsächlich hinsichtlich der Sühne$fn213, wenn du aber einwendest, dies ist ja ein Geschenk, das man ihm gegeben hat, [so ist zu erwidern:] würde der Allbarmherzige es nicht einbegriffen haben [durch die Worte:] <i>abgesehen von dem, wozu sein Vermögen reicht</i>, so könnte man glauben, es sei eine Verordnung der Schrift, daß er Sühne erlange, nur wenn sein Opfer sein eigenes ist, nicht aber, wenn von fremdem, so lehrt er uns. – Wie bleibt es damit? – Komm und höre: R. Abahu sagte im Namen R. Joḥanans: Der Heiligende füge das Fünftel hinzu und der Sühneerlangende kann umtauschen; und wenn jemand von seinem [Getreide] die Hebe für einen anderen absondert, so gehört der Dank$fn26ihm, denn die Schrift sagt:$fn214<i>all den Zehnten deines Ertrages &amp;c. und du sollst geben &amp;c</i>."
Temurah 10a:4,"<sup>iii</sup> <b>M</b><small>AN KANN NICHT UMTAUSCHEN UKGEBOUENE</small> [T<small>IERE</small>]$fn215<small>AUF</small> G<small>LIEDER, NICHT</small> G<small>LIEDER AUF UNGEBORENE, NICHT GANZE AUF UNGEBORENE UND</small> G<small>LIEDER, UND NICHT DIESE AUF GANZE</small>. R. J<small>OSE SAGT, MAN KÖNNE UMTAUSCHEN GANZE AUF</small> G<small>LIEDER, NICHT ABER DIESE AUF GANZE</small>. R. J<small>OSE SPRACH</small>: B<small>EIM</small> G<small>EHEILIGTEN IST JA, WENN JEMAND SAGT, DER</small> F<small>USS VON DIESEM</small> [V<small>IEH</small>] <small>SEI EIN</small> B<small>RANDOPFER, DAS GANZE EIN</small> B<small>RANDOPFER, EBENSO IST, WENN JEMAND SAGT, DER</small> F<small>USS VON DIESEM</small> [V<small>IEH</small>] <small>SEI ANSTELLE VON JENEM</small> [V<small>IEH</small>], <small>DAS GANZE GEGEN JENES EINGETAUSCHT</small>."
Temurah 10a:5,"GEMARA. Es wurde gelehrt: Bar Pada sagt, die Heiligkeit erfasse keine ungeborenen [Tiere], und R. Joḥanan sagt, die Heiligkeit erfasse ungeborene. R. Joḥanan vertritt hierbei seine Ansicht, denn R. Joḥanan sagle: Wenn jemand ein trächtiges [Vieh] als Sündopfer geheiligt hat und es geworfen hat, so kann er, wenn er will, durch dieses Sühne erlangen, und wenn er will, durch das Junge Sühne erlangen. Und beides ist nötig. Würde er nur das erstere gelehrt haben, so könnte man glauben, dies gelte nur da, wo er das Ungeborene selbst geheiligt hat,"
Temurah 10b:1,"hierbei aber, wo er die Mutter geheiligt hat, sei es durch die Mutter nicht heilig. Und würde er nur das letztere gelehrt haben, so könnte man glauben, nur da, wo er es geheiligt hat und alles, was darin, hierbei aber, wo er [das ungeborene] geheiligt hat, als es noch gar nicht draußen war, sei es nicht heilig. Daher ist beides nötig. Eine andero Lesart. Was lehrt er uns damit? – Daß es, wenn man es$fn216zurückläßt, zurückgelassen sei, und daß die Geburt nicht Glied der Mutter sei. – Wozu ist beides nötig? – Dies ist nötig. Würde nur jenes gelehrt worden sein, [so könnte man glauben,] weil die Mutter selbst geeignet ist, und da die Heiligkeit auf der Mutter ruht, ruhe sie auch auf der Geburt, nicht aber gelte dies hierbei, so lehrt er uns. Und würde er nur dies gelehrt haben, so könnte man glauben, weil er die Heiligkeit auf die Geburt bezogen hat, nicht aber gelle dies da. Daher ist beides nötig."
Temurah 10b:2,"R. Zera saß und trug diese Lehre vor, da wandte R. Jirmeja gegen R. Zera ein: Wie kann man bei der Erstgeburt eine List$fn217anwenden? Ist ein Erstgebärendes trächtig, so sage man: was im Leibe von diesem ist, sei ein Brandopfer; wirft es ein Männchen, so ist es ein Brandopfer. Somit kann das Ungeborene geheiligt werden!? Dieser erwiderte: Diese Lehre spricht von der Heiligkeit des Geldwertes. – Ist denn die Heiligkeit des Geldwertes so stark, es [der Heiligkeit] der Erstgeburt zu entheben? Dieser erwiderte: Allerdings, wir haben auch gelernt: Alle heiligen [Tiere], die einen bleibenden Fehler hatten vor ihrer Heiligung und ausgelöst worden sind, sind pflichtig für die Erstgeburt und die Priestergaben. Nur nachdem sie ausgelöst worden sind, sind sie pflichtig, aber bevor sie ausgelöst worden sind, sind sie frei. Die Heiligkeit des Geldwertes ist demnach so stark, [das Tier der Heiligkeit] der Erstgeburt zu entheben. Er wandte gegen ihn ein: Sagte jemand: was im Leibe von diesem ist, sei ein Brandopfer, so ist [das Vieh] zur Schur erlaubt und zur Arbeit verboten, wegen der Abmagerung der Geburt, die darin!? Dieser erwiderte: Auch hierbei handelt es sich um die Heiligkeit des Geldwertes. – Ist denn die Heiligkeit des Geldwertes so stark, es zur Arbeit verboten zu machen!? Dieser erwiderte: Allerdings, wir haben auch gelernt: Sie werden profan, um zur Schur und zur Arbeit verwendet werden zu dürfen. Nur nachdem sie ausgelöst worden sind, vor der Auslösung aber sind sie zur Arbeit verboten. Demnach macht die Heiligkeit des Geldwertes es zur Arbeit verboten. Er wandte gegen ihn ein: Man kann nicht umtauschen ungeborene [Tiere] auf Glieder und nicht Glieder auf ungeborene. Umtauschen nicht, heilig aber sind sie!? Dieser erwiderte: Dies gilt von Geburten von Opfertieren, die bereits heilig sind. – Demnach können Geburten von Opfertieren nur im Leibe ihrer Mütter nicht [umgetauscht] werden, wohl aber außen, dagegen wird ja aber gelehrt, das Junge könne nicht umgetauscht werden!? – Hier ist die Ansicht R. Jehudas vertreten, welcher sagt, das Junge könne umgetauscht werden. – Wieso können sie, wenn die Ansicht R. Jehudas, nur nicht umgetauscht werden, heilig aber sind sie wohl, R. Jehuda sagt$fn218ja, einzelne Glieder werden nicht heilig!? Dieser erwiderte: Hier wird von einem Gliede gesprochen, von dem das Leben$fn219abhängt. Er wandte gegen ihn ein: Man kann Glieder und ungeborene [Tiere] heiligen, aber nicht umtauschen!? – Dies gilt ebenfalls von den Jungen von Opfertieren. – Was heißt bei Jungen von Opfertieren"
Temurah 11a:1,"‘heiligen’, sie sind ja bereits heilig!? – Er meint es wie folgt: man kann Glieder heiligen$fn220und [auf ganze Tiere] umtauschen, nicht aber kann man [ganze] auf [Glieder] umtauschen. Geburten, die im Leibe ihrer Mütter geheiligt worden sind, kann man nicht umtauschen. – Nur Geburten von Opfern im Leibe ihrer Mütter können keinen Umtausch erwirken, außen aber wohl, und wir haben ja gelernt, Geburten können keinen Umtausch erwirken!? – Hier ist die Ansicht R. Jehudas vertreten. – Wieso können, wenn die R. Jehudas, Glieder geheiligt werden, R. Jehuda hält ja nichts von der Lehre, daß, wenn jemand sagt, der Fuß von diesem Vieh sei ein Brandopfer, das ganze ein Brandopfer sei!? Dieser erwiderte: Hier handelt es sich um eines, wodurch es totverletzt wird$fn221."
Temurah 11a:2,"Es wäre anzunehmen, daß hierüber Tannaím streiten. Wenn jemand ein Sündopfer schlachtet und darin eine lebende Vier[monats]geburt findet, so darf sie, wie Eines lehrt, nur von Männern der Priesterschaft, nur innerhalb der Vorhänge, und nur einen Tag$fn222gegessen werden, und wie ein Anderes lehrt, von jedem Menschen, an jedem Orte und unbeschränkte Zeit$fn223gegessen werden. Wahrscheinlich streiten darüber Tannaím: einer ist der Ansicht, die Heiligkeit erstrecke sich auf die Geburt, und einer ist der Ansicht, die Heiligkeit erstrecke sich nicht auf die Geburt. – Nein, diese Tannaím streiten über folgendes: einer ist der Ansicht, die Geburten der Opfertiere seien heilig, erst wenn sie da sind, und einer ist der Ansicht, die Geburten der Opfertiere seien heilig schon im Leibe ihrer Mütter. Wenn du aber willst, sage ich: es ist ein- und derselbe Autor; eine von diesen Lehren spricht von dem Falle, wenn jemand ein Vieh geheiligt hat und es nachher trächtig geworden ist, und eine von dem Falle, wenn er es trächtig geheiligt hat."
Temurah 11a:3,"Es wird gelehrt: R. Elie͑zer sagte: Der Mischling, das Totverletzte, die Seitengeburt, das Geschlechtslose und der Zwitter werden nicht heilig und machen nicht heilig. Hierzu sagte Šemuél: Sie werden nicht heilig, durch$fn224Umtausch, und sie machen nicht heilig, Umtausch zu erwirken. Ferner wird gelehrt: R. Meír sagte: Wie sollten sie, wenn sie nicht heilig werden, heilig machen? Dies kann vorkommen nur in dem Falle, wenn jemand ein Vieh geheiligt hat, und es nachher totverletzt wurde, wenn jemand eine Geburt geheiligt hat, und sie als Seitengeburt hervorgeholt wurde. Die Geburt ist also heilig!? – Ich will dir sagen, bei einer fehlerfreien im Leibe eines Fehlerfreien pflichtet auch Bar Pada bei, daß sie heilig ist, sie streiten nur über eine fehlerbehaftete im Leibe eines Fehlerbehafteten. Bar Pada ist der Ansicht, da die Mutter nicht körperlich heilig ist, ist auch diese nicht heilig, und R. Joḥanan ist der Ansicht, sie gelten als zwei Tiere, und die Mutter ist nicht heilig, die [Geburt] aber ist heilig."
Temurah 11a:4,"Eine andere Lesart. Mischling, Geschlechtsloses und Zwitter aber findest du nur bei den Geburten von Opfertieren$fn225, und zwar nach R. Jehuda, welcher sagt, die Geburt erwirke Umtausch; nur diese sind nicht körperlich heilig, andere Geburten aber sind heilig. Abajje erwiderte: Eine fehlerfreie im Leibe eines Fehlerfreien ist nach aller Ansicht körperlich heilig, sie streiten nur über eine im Leibe eines Fehlerbehafteten; Bar Pada ist der Ansicht, da die Mutter nicht körperlich heilig ist, sei auch von dieser nur der Geldwert heilig, und R. Joḥanan ist der Ansicht, die Geburt sei nicht Glied der Mutter, somit ist, wenn auch die Mutter nicht körperlich heilig ist, die Geburt körperlich heilig."
Temurah 11a:5,"R. J<small>OSE SAGTE</small>: B<small>EIM</small> G<small>EHEILIGTEN IST JA, WENN JEMAND SAGT, DER</small> F<small>USS</small>"
Temurah 11b:1,"<small>VON DIESEM</small> [V<small>IEH</small>] <small>SEI &amp;C</small>. Die Rabbanan lehrten: Man könnte glauben, wenn jemand sagt, der Fuß von diesem [Vieh] sei ein Brandopfer, sei das ganze ein Brandopfer, so heißt es:$fn226<i>alles, was er davon dem Herrn gibt</i>, <i>sei heilig</i>, davon dem Herrn, nicht aber das ganze dem Herrn. Man könnte glauben, es bleibe profan, so heißt es: <i>sei heilig</i>. Wie ist dies zu erklären? Es werde zu Brandopferzwecken verkauft, und der Erlös ist mit Ausnahme des betreffenden Gliedes profan – so R. Meír. R. Jehuda, R. Jose und$fn227R. Šimo͑n sagten: Woher, daß, wenn jemand sagt, der Fuß von diesem [Vieh] sei ein Brandopfer, das ganze ein Brandopfer ist? Es heißt: <i>alles, was er davon dem Herrn gibt</i>, und wenn es noch weiter heißt: <i>sei heilig</i>, so schließt dies das ganze ein."
Temurah 11b:2,"Der Meister sagte: Es werde zu Brandopferzwecken verkauft. Man bringt ja demnach ein Vieh dar, dem ein Glied$fn228fehlt!? Raba erwiderte: Wenn er gesagt hat: ich nehme auf mich [die Darbringung] eines Brandopfers, wie es lebt$fn229. R. Ḥisda sagte: R. Jehuda pflichtet bei hinsichtlich eines Gliedes, wodurch es totverletzt$fn230wird. Raba sagte: Wodurch es Aas$fn231wird. R. Šešeth sagte: Wodurch es [sofort] verendet. – Welchen Unterschied gibt es zwischen R. Ḥisda und Raba? – Eine Meinungsverschiedenheit besteht zwischen ihnen darüber, ob ein Totverletztes leben könne. R. Ḥisda ist der Ansicht desjenigen, welcher sagt, ein Totverletztes könne nicht leben, und Raba ist der Ansicht desjenigen, welcher sagt, ein Totverletztes könne leben. – Welchen Unterschied gibt es zwischen Raba und R. Šešeth: Eine Meinungsverschiedenheit besteht zwischen ihnen hinsichtlich der Lehre R. Elea͑zars, denn R. Elea͑zar sagte, wenn die Hüfte samt der Höhlung fehlt, sei es Aas. Raba ist der Ansicht R. Elea͑zars und R. Šešeth ist nicht der Ansicht R. Elea͑zars. Man wandte ein: Rabbi sagte: Die Worte R. Jehudas sind einleuchtend bei einem [Gliede], von dem das Leben nicht abhängt, und die Worte R. Joses bei einem [Gliede], von dem das Leben abhängt. Demnach streitet er gegen R. Jehuda. Erklärlich sind [die Worte], einleuchtend sind die Worte R. Jehudas bei einem [Gliede], von dem das Leben nicht abhängt, denn er streitet gegen R. Jose, wieso aber sind die Worte R. Joses einleuchtend bei einem [Gliede], von dem das Leben abhängt, streitet denn R. Jehuda gegen ihn!? Dies ist eine Widerlegung aller Ansichten$fn232. – Nein, [die Lehre] ist lückenhaft und muß wie folgt lauten: die Worte R. Joses leuchten R. Jehuda ein bei einem Gliede, von dem das Leben abhängt, denn auch R. Jehuda streitet gegen ihn nur über ein Glied, von dem das Leben nicht abhängt, bei einem Gliede aber, von dem das Leben abhängt, pflichtet er ihm bei."
Temurah 11b:3,"Raba fragte: Wie ist es bei einem Vogel: der Allbarmherzige spricht von einem Vieh, und dieser ist nicht Vieh, oder aber, der Allbarmherzige spricht von einem Opfer, und auch dieser ist ein Opfer? – Dies bleibt unentschieden."
Temurah 11b:4,"Raba fragte: Wie ist$fn233es, wenn jemand ein Glied als Geldwert geheiligt hat, ob die Heiligkeit sich auf den Körper ausdehnt: sagen wir, da es von der Heiligkeit des Geldwertes erfaßt wird, werde es auch von der Heiligkeit des Körpers$fn234erfaßt, und da er ein Glied geheiligt hat, habe er das ganze geheiligt, oder aber sagen wir nur einmal ‘da’, zweimal aber nicht$fn235? – Dies ist ja aus seiner eigenen Lehre zu entscheiden, denn Raba sagte, wenn jemand ein Männchen$fn236als Geldwert geheiligt hat, sei es körperlich heilig!? – Dies, wenn man das ganze geheiligt hat, hierbei aber, wenn man nur ein Glied geheiligt hat. Wie ist es? – Dies bleibt unentschieden."
Temurah 11b:5,"Man fragte Raba: Wie verhält es sich, wenn man ein Glied geheiligt hat, mit der Schur? – Dies ist aus folgender Lehre zu entscheiden:$fn237<i>Du sollst das Erstgeborene deiner Schafe nicht scheren</i>, du darfst aber scheren, was dir und fremden$fn238gehört. – Da$fn239wird es von der Heiligkeit überhaupt nicht erfaßt, hierbei aber ist es von der Heiligkeit erfaßt worden. Eine andere Lesart. Da$fn239liegt es nicht in seiner Hand, es zu heiligen, hier aber liegt es in seiner Hand, es zu heiligen."
Temurah 11b:6,"Abajje fragte Raba: Wie verhält es sich, wenn man die Haut geheiligt hat, mit der Arbeit$fn240. – Komm und höre: Wenn jemand sagt, was im Leibe von diesem [Vieh], sei ein Brandopfer, so ist es zur Schur erlaubt und zur Arbeit verboten, wegen der Abmagerung der Geburt, die in diesem. Dieser erwiderte: Das, was gelehrt wird, es sei zur Arbeit verboten, ist nur rabbanitisch. – Demnach sollte es auch zur Schur rabbanitisch verboten sein!? Dieser erwiderte: Bei der Arbeit, wodurch es abmagert, haben die Rabbanan es angeordnet, bei der Schur, wodurch es nicht abmagert, haben die Rabbanan es nicht angeordnet."
Temurah 11b:7,"Abajje fragte R. Joseph: Wie ist es, wenn [das Vieh] selbst Heilsopfer und die Geburt profan ist, und man es innerhalb$fn241geschlachtet hat? Heißt dies, nach demjenigen, welcher sagt, die Geburt von Opfertieren werde erst bei ihrem Vorhandensein$fn242heilig, Profanes im Tempelhofe"
Temurah 12a:1,oder nicht? Dieser erwiderte: Ist denn hierauf zu beziehen der Schriftvers:$fn243<i>huenn der Ort fern ist von dir &amp;c. schlachte</i>$fn244.
Temurah 12a:2,"Abajje fragte R. Joseph: Wie ist es, wenn [das Vieh] selbst profan und die Geburt Heilsopfer ist, und man außerhalb geschlachtet hat: ist man dieserhalb schuldig wegen des Schlachtens außerhalb oder nicht? Dieser erwiderte. Ist denn hierauf zu beziehen der Schriftvers:$fn245<i>und bringe sie dem Herrn</i>$fn246? Eine andere Lesart: Dieser erwiderte: Ist es für die Tür des Offenbarungszeltes geeignet, so ist man schuldig, wenn man es außerhalb [geschlachtet hat]$fn247."
Temurah 12a:3,"<sup>iv</sup> <b>D</b><small>AS</small> B<small>EMISCHTE</small>$fn248<small>BEWIRKT</small> B<small>EMISCHUNG</small>$fn249<small>NUR NACH</small> V<small>ERHÄLTNIS</small>$fn250, <small>DAS</small> G<small>ESÄUERTE</small>$fn251<small>BEWIRKT</small> S<small>ÄUERUNG NUR NACH</small> V<small>ERHÄLTNIS, UND GESCHÖPFTES</small> W<small>ASSER MACHT DAS</small> T<small>AUCHBAD</small>$fn252<small>UNTAUGLICH NUR NACH</small> V<small>ERHÄLTNIS</small>. <sup>v</sup> D<small>AS</small> E<small>NTSÜNDIGÜNGSWASSER</small>$fn253<small>WIRD SOLCHES ERST BEIM</small> H<small>INEINTUN DER</small> A<small>SCHE</small>. E<small>IN</small> G<small>RÄBERPFLUG MACHT</small> [<small>DIE</small> U<small>MGEBUNG</small>] <small>NICHT ZUM</small> G<small>RÄBERPFLUGE</small>. E<small>S GIBT KEINE</small> H<small>EBE NACH DER</small> H<small>EBE</small>$fn254. U<small>MGETAUSCHTES BEWIRKT KEINEN</small> U<small>MTAUSCH</small>. D<small>IE</small> G<small>EBURT</small>$fn255<small>BEWIRKT KEINEN</small> U<small>MTAUSCH</small>. R. J<small>EHUDA SAGT, DIE</small> G<small>EBURT BEWIRKE</small> U<small>MTAUSCH</small>. S<small>IE SPRACHEN ZU IHM</small>: N<small>UR</small> H<small>EILIGES BEWIRKT</small> U<small>MTAUSCH, DIE</small> G<small>EBURT ABER BEWIRKT KEINEN</small> U<small>MTAUSCH</small>."
Temurah 12a:4,"GEMARA. Wer ist der Autor? R. Ḥija b. Abba erwiderte im Namen R. Joḥanans: Nicht R. Elie͑zer, denn wir haben gelernt: Wenn eine Seá Hebe in weniger als hundert [Seá] Profanes gekommen ist und es bemischt hat, und vom Bemischten in andere [Früchte] gekommen ist, so bewirkt dieses, wie R. Elie͑zer sagt, Bemischung wie richtige Hebe, denn man sage, die Seá, die hineingekommen, sei die Seá, die herausgekommen ist. Die Weisen aber sagen, es bewirke Bemischung nur nach Verhältnis$fn256."
Temurah 12a:5,"D<small>AS</small> G<small>ESÄUERTE BEWIRKT</small> S<small>ÄUERUNG &amp;C</small>. R. [Ḥija b.] Abba sagte im Namen R. Joḥanans: Unsere Mišna vertritt nicht die Ansicht des R. Elie͑zer, denn wir haben gelernt: Wenn Sauerteig von Profanem und von Hebe, von denen weder der eine noch der andere zur Säuerung ausreicht, in den Teig gekommen sind und ihn zusammen gesäuert haben, so richte man sich, wie R. Elie͑zer sagt, nach dem letzteren. Die Weisen sagen, er sei, einerlei ob das Verbotene vorher oder nachher hineingekommen ist, nur dann verboten, wenn dieses soviel beträgt, um allein säuern zu können."
Temurah 12a:6,"G<small>ESCHÖPFTES</small> W<small>ASSER MACHT DAS</small> T<small>AUCHBAD UNTAUGLICH NUR &amp;C</small>. Wer ist der Autor? R. Ḥija b. Abba erwiderte im Namen R. Joḥanans: Es ist R. Elie͑zer b. Ja͑qob, denn wir haben gelernt: R. Elie͑zer b. Ja͑qob sagte: Wenn ein Tauchbad$fn257einundzwanzig Seá Regenwasser enthält$fn258, so darf man neunzehn Seá geschöpftes holen und es in das Tauchbad hineinleiten$fn259und es ist tauglich, denn das Geschöpfte bleibt rein$fn260bei Mehrheit$fn261und"
Temurah 12b:1,"Leitung$fn262. – Demnach$fn263sind die Rabbanan der Ansicht, auch nicht bei Mehrheit und Leitung, somit vertritt die Lehre, die Rabin, als er kam, im Namen R. Joḥanans sagte, [das Tauchbad] sei rein, wenn es ganz aus geschöpftem und hineingeleitetem [Wasser] besteht, weder die Ansicht der Rabbanan noch die Ansicht R. Elie͑zers!? Vielmehr, erwiderte Rabba, nach Verhältnis der Gefäße, und sie vertritt die Ansicht des Joseph b. Ḥoni. Es wird nämlich gelehrt: Wenn drei Log geschöpftes Wasser aus zwei oder drei Gefäßen in das Wasser$fn264gekommen ist, oder sogar aus vier oder fünf Gefäßen, so ist das Tauchbad untauglich. Joseph b. Ḥoni sagt, aus zwei oder drei Gefäßen mache es das Tauchbad untauglich; aus vier oder fünf Gefäßen$fn265mache es das Tauchbad nicht untauglich."
