Index Title,Nedarim
Nedarim 21b:3,"Einst kam jemand zu R. Hona, und als dieser ihn fragte, ob er noch mit dem Herzen dabei$fn12sei, sagte er: nein; da löste er es ihm auf."
Nedarim 21b:4,"Einst kam jemand zu Rabba b. R. Hona. Da fragte er ihn: Würdest du, wenn zehn Leute dich dann beruhigt$fn13hätten, gelobt haben? Dieser erwiderte: Nein. Da löste er es ihm auf."
Nedarim 21b:5,"Es wird gelehrt: R. Jehuda sagte: Man frage ihn, ob er noch mit dem Herzen dabei sei, und wenn er ‘nein’ sagt, löse man es ihm auf. R. Jišma͑él b. R. Jose sagte im Namen seines Vaters: Man frage ihn, ob er, wenn zehn Personen ihn dann beruhigt hätten, gelobt haben würde, und wenn er ‘nein’ sagt, löse man es ihm auf."
Nedarim 21b:6,"Einst kam jemand zu R. Asi, und dieser sprach zu ihm: Du bereuest es nun? Jener erwiderte: Ob nicht! Da löste er es ihm auf."
Nedarim 21b:7,"Einst kam jemand zu R. Elea͑zar, und dieser sprach zu ihm: Wolltest$fn14du geloben? Jener erwiderte: Hätte man mich nicht geärgert, würde ich nichts gewollt haben. Da sprach er zu ihm: Wie du [jetzt] willst."
Nedarim 21b:8,"Einst kam eine Frau, die ihrer Tochter den Genuß abgelobt hatte, zu R. Joḥanan. Dieser sprach zu ihr: Würdest du deiner Tochter den Genuß abgelobt haben, wenn du gewußt hättest, daß die Nachbarinnen"
Nedarim 22a:1,"über sie sagen würden: hätte ihre Mutter nicht an ihr zu unterlassende Dinge gesehen, so würde sie ihr nicht grundlos den Genuß abgelobt haben$fn15? Diese erwiderte: Nein. Da löste er es ihr auf."
Nedarim 22a:2,"Einst kam der Sohn der Tochter R. Jannaj des Greisen zu R. Jannaj dem Großen$fn16, und dieser sprach zu ihm: Würdest du gelobt haben, wenn du gewußt hättest, daß man dein Buch aufschlagen und deine Werke untersuchen$fn17wird? Jener erwiderte: Nein. Da löste er es ihm auf. R. Abba sagte: Hierauf deutet folgender Schriftvers:$fn18<i>nach Gelübden zu untersuchen</i>. Aber obgleich R. Jannaj diesem damit einen Ausweg geöffnet$fn19hat, tun wir dies nicht mit diesem$fn20und nicht mit jenem anderen. Rabba b. Bar Ḥana sagte nämlich im Namen R. Joḥanans: Mit folgendem [Schriftverse] öffnete R. Gamliél jenem Greis einen Ausweg:$fn21<i>Mancher stößt Worte wie Schwertstiche aus, aber die Zunge der Weisen ist Heilung</i>; wer Worte$fn22ausstößt, den sollte man mit einem Schwerte niederstechen. Die Zunge der Weisen aber ist Heilung$fn23."
Nedarim 22a:3,"Man öffne auch keinen Ausweg mit folgender Lehre: R. Nathan sagte: Wenn jemand gelobt, so ist es ebenso, als würde er eine Opferhöhe bauen, und wenn er es einlöst, so ist es ebenso, als würde er darauf ein Opfer darbringen. Mit dem Anfangsatze$fn24öffne man ihm, mit dem Schlußsatze$fn25öffne man ihm, wie Abajje sagt, wohl, und wie Raba sagt, nicht. So trug R. Kahane diese Lehre vor; R. Tabjomi trug sie wie folgt vor: Mit dem Schlußsatze öffne man ihm nicht, mit dem Anfangsatze öffne man ihm, wie Abajje sagt, wohl, und wie Raba sagt, nicht. Die Halakha ist, man öffne ihm weder mit dem Anfangsatze noch mit dem Schlußsatze. Man öffne ihm auch nicht mit der folgenden Lehre Šemuéls, denn Šemuél sagte: Auch wenn man [das Gelübde] einlöst, heiße man Frevler. R. Abahu sagte: Hierauf deutet folgender Schriftvers: $fn26<i>wenn du zu geloben vermeidest, so wird an dir keine Sünde sein</i>, und es ist aus [dem Ausdrucke] ‘vermeiden’ zu folgern: hier heißt es: <i>wenn du zu geloben vermeidest</i>, und dort$fn27heißt es: <i>da vermieden die Frevler zu toben</i>. R. Joseph sagte: Auch wir haben demgemäß gelernt: [Sagt jemand:] wie das Gelobte der Redlichen, so hat er nichts gesagt, [sagt er:] wie das Gelobte der Frevler, so ist dies ein Gelübde des Nazirates, des Opfers und des Eides$fn28."
Nedarim 22a:4,"R. Šemuél b. Naḥmani sagte im Namen R. Jonathans: Wer in Zorn gerät, über den haben alle [Strafarten] des Fegefeuers Gewalt, denn es heißt:$fn29<i>entferne Zorn von deinem Herzen und schaffe Unheil von deinem Leibe</i>, und unter <i>Unheil</i> ist das Fegefeuer zu verstehen, denn es heißt: $fn30<i>alles schuf der Herr zu seiner Bestimmung, auch den Frevler für den Tag des Unheils</i>. Und noch mehr, auch Unterleibschmerzen haben Gewalt über ihn, denn es heißt:$fn31<i>der Herr wird dir da ein zürnendes Herz geben, Hinschmachten der Augen und Seelenschmerz</i>, und Unterleibschmerzen sind es, die die Augen hinschmachten machen und der Seele Schmerz bereiten."
Nedarim 22a:5,"Als U͑la nach dem Jisraéllande hinaufzog, schlossen sich ihm zwei Ḥozäer an. Da schlachtete einer den anderen und fragte U͑la, ob er recht getan habe. Dieser erwiderte: Freilich, reiße ihm auch die Schlachtstelle$fn32auseinander. Als er später zu R. Joḥanan kam, sprach er zu ihm: Vielleicht habe ich, behüte und bewahre, die Hände der Sünder unterstützt!? Dieser erwiderte: Du hast [dadurch] dein Leben gerettet. Da wunderte sich R. Joḥanan: [der Schriftvers:] <i>der Herr wird dir ein zürnendes Herz geben</i>, gilt ja von Babylonien$fn33!? Jener erwiderte: In jener Stunde hatten wir den Jarden noch nicht überschritten$fn34."
Nedarim 22b:1,
Nedarim 22b:2,"Rabba b. R. Hona sagte: Wer in Zorn gerät, dem gilt auch die Göttlichkeit nichts, denn es heißt:$fn35<i>der Frevler in</i>$fn36<i>seines Zornes Hochmut, er ahndet nicht, es ist kein Gott, das sind all seine Gedanken</i>. R. Jirmeja aus Diphte sagte: Er vergißt auch sein Studium und nimmt an Torheit zu, denn es heißt:$fn37<i>denn Zorn ruht im Busen der Toren</i>; ferner heißt es: $fn38<i>der Tor legt Narrheit dar</i>. R. Naḥman b. Jiçḥaq sagte: Es ist sicher, daß seine Sünden mehr sind als seine Verdienste, denn es heißt:$fn39<i>ein Mann von Grimm ist an Missetaten reich</i>."
Nedarim 22b:3,"R. Ada b. R. Ḥanina sagte: Hätten die Jisraéliten nicht gesündigt, so würden ihnen nur die fünf Bücher der Tora verliehen worden sein und das Buch Jehošua͑, weil dieses die Wertschätzung des Jisraéllandes ist$fn40. – Weshalb? – $fn41<i>Denn bei viel Weisheit ist viel Gram</i>$fn42."
Nedarim 22b:4,"R. Asi sagte: Man komme seinem Wunsche$fn43nicht nach, wenn er beim Gott Jisraéls [gelobt hat], ausgenommen [das Gelübde:] Qonam sei mir der Genuß meiner Frau, die mir meinen Geldbeutel gestohlen hat, oder: die mein Kind geschlagen hat, und es sich herausstellt, daß sie ihn nicht gestohlen, daß sie es nicht geschlagen hat."
Nedarim 22b:5,"Einst kam [eine Frau] zu R. Asi, und er fragte sie, wobei sie gelobt habe. – Beim Gott Jisraéls. Da sprach er zu ihr: Hättest du bei Mohi gelobt, das nur eine Umschreibung ist, so würde ich dir deinen Wunsch erfüllt haben, da du aber nicht bei Mohi, sondern beim Gott Jisraéls gelobt hast, so kann ich dir deinen Wunsch nicht erfüllen."
Nedarim 22b:6,"Einst kam R. Kahana zu R. Joseph, und dieser sprach zu ihm: Möge der Meister etwas kosten. Jener erwiderte: Nein, beim Herrn des [Welt]alls, ich koste nichts. Da sprach er zu ihm: Nein, beim Herrn des [Welt]alls, du darfst nichts kosten. – Erklärlich ist es von R. Kahana, daß er sagte: nein, beim Herrn des [Welt]alls$fn44, wozu aber sagte R. Joseph: nein, beim Herrn des [Welt]alls? – Er sprach zu ihm wie folgt: Hast du nicht gesagt: beim Herrn des [Welt]alls? Du darfst daher nichts kosten. Raba sagte im Namen R. Naḥmans: Die Halakha ist, man öffne [einen Ausweg] zur Reue$fn45, und man komme seinem Wunsche nach auch beim [Gelübde:] beim Gott Jisraéls."
Nedarim 22b:7,"Raba lobte R. Seḥora vor R. Naḥman, daß er ein bedeutender Mann sei. Da sprach dieser zu ihm: Wenn du ihn triffst, bringe ihn zu mir. Jener hatte gerade ein Gelübde aufzulösen und kam deshalb zu R. Naḥman. Dieser fragte ihn: Hast du damit rechnend gelobt? Jener erwiderte: Jawohl. – Damit rechnend? – Jawohl. [Dies wiederholte sich] viele Male, bis R. Naḥman ärgerlich wurde und zu ihm sprach: Geh heim. Nachdem R. Seḥora fortgegangen war, fand er selber folgenden Ausweg: Rabbi sagte: Welches ist der rechte Weg, den der Mensch sich wähle? Der zur Ehre gereicht dem, der ihn einschlägt, und ihm Ehre bringt bei den Menschen. Damit rechnend, daß R. Naḥman dadurch$fn46ärgerlich sein könnte, habe ich nicht gelobt. Da löste er es sich selber$fn47auf."
Nedarim 22b:8,R. Šimo͑n b. Rabbi hatte ein Gelübde aufzulösen und kam zu den Rabbanan. Sie fragten ihn: Hast du damit rechnend gelobt? Er erwiderte: Jawohl. – Damit rechnend? – Jawohl. [Dies wiederholte sich] viele
Nedarim 23a:1,"Male und die Rabbanan quälten$fn48sich, von der Sonne nach dem Schatten und vom Schatten nach der Sonne [gehend]. Da sprach Boṭnith, Sohn des Abba Šaúl b. Boṭnith zu ihm: Hast du auch damit rechnend gelobt, daß die Rabbanan sich dadurch vom Schatten nach der Sonne und von der Sonne nach dem Schatten [gehend] abquälen könnten? Dieser erwiderte: Nein. Da lösten sie es ihm auf."
Nedarim 23a:2,"R. Jišma͑él b. R. Jose hatte ein Gelübde aufzulösen und kam zu den Rabbanan. Sie fragten ihn: Hast du damit rechnend gelobt? Er erwiderte ihnen: Jawohl. – Hast du damit rechnend gelobt? Er erwiderte ihnen: Jawohl. [Dies wiederholte sich] viele Male. Als nun ein Walker sah, daß die Rabbanan sich abquälten, schlug er ihn mit einem Walkerkorbe. Hierauf sprach er: Damit rechnend, daß ein Walker mich schlagen wird, habe ich nicht gelobt. Da löste er es sich selber$fn47auf. R. Aḥa aus Diphte sprach zu Rabina: Dies ist ja Unvermutetes, denn er konnte ja nicht daran denken, daß ihn ein Walker schlagen wird, und es wird gelehrt, man öffne ihm keinen Ausweg mit Unvermutetem!? Dieser erwiderte: Dies ist nicht Unvermutetes, denn Ruchlose, die die Rabbanan quälen, sind nicht selten."
Nedarim 23a:3,"Die Frau Abajjes hatte eine Tochter, die er an seinen Verwandten und sie an ihren Verwandten [verheiraten] wollte. Da sprach er zu ihr: Jeder Genuß von mir sei dir verboten, wenn du meinen Willen übertrittst, und sie an deinen Verwandten verheiratest. Sie aber übertrat seinen Willen und verheiratete sie an ihren Verwandten. Als er hierauf zu R. Joseph kam, sprach er zu ihm: Würdest du ihn ihr abgelobt haben, wenn du gewußt hättest, daß sie deinen Willen übertreten und sie an ihren Verwandten verheiraten wird? Er erwiderte: Nein. Da löste R. Joseph es ihm auf. – Ist es denn in einem solchen Falle erlaubt? – Allerdings, es wird auch gelehrt: Einst gelobte jemand seiner Frau die Festwallfahrt ab, sie aber übertrat seinen Willen und zog zur Festwallfahrt hinauf. Als er hierauf zu R. Jose kam, sprach er zu ihm: Würdest du es ihr abgelobt haben, wenn du gewußt hättest, daß sie deinen Willen übertreten und zur Festwallfahrt hinaufziehen wird? Er erwiderte: Nein. Da löste R. Jose es ihm auf."
Nedarim 23a:4,"<sup>i,2</sup><b>R.</b> E<small>LIE͑ZER B</small>. J<small>A͑QOB SAGT</small>, <small>AUCH</small>$fn49W<small>ENN JEMAND SEINEN</small> N<small>ÄCHSTEN MIT EINEM</small> G<small>ELÜBDE BELEGT</small>, <small>BEI IHM ZU ESSEN</small>, <small>SPRECHE ER</small>: <small>JEDES</small> G<small>ELÜBDE</small>, <small>DAS ICH TUN WERDE</small>, <small>SEI NICHTIG</small>; <small>NUR MUSS ER BEIM</small> G<small>ELOBEN DARAN DENKEN</small>."
Nedarim 23a:5,"GEMARA. Wenn er ihn sagen [hört]: jedes Gelübde, das ich tun werde, sei nichtig, so hört er ja nicht auf ihn und kommt nicht$fn50zu ihm!? – [Die Mišna] ist lückenhaft und muß wie folgt lauten: wenn"
Nedarim 23b:1,"jemand seinen Nächsten bei ihm zu essen nötigt und ihn mit einem Gelübde belegt, so ist dies ein Anspornungsgelübde. Und$fn51wenn jemand wünscht, daß seine Gelübde des ganzen Jahres nichtig seien, so spreche er am Beginne des Jahres: jedes Gelübde, daß ich tun werde, sei nichtig; nur muß er beim Geloben daran denken. – Wenn er daran denkt, hebt er ja seine Erklärung auf und bestätigt$fn52sein Gelübde!? Abajje erwiderte: Lies: nur darf er beim Geloben nicht daran denken. Raba erwiderte: Tatsächlich nach dem ursprünglichen Wortlaute, nur wird hier von dem Falle gesprochen, wenn er dies am Beginne des Jahres erklärt hat, und nun beim Geloben nicht weiß, worauf die Erklärung sich bezogen hat; wenn er beim Geloben daran$fn53denkt und sagt, er gelobe unter der früheren$fn54Erklärung, so ist sein Gelübde nichtig, wenn er nicht sagt, er gelobe unter der früheren Erklärung, so hebt er seine Erklärung auf und bestätigt sein Gelübde. R. Hona b. Ḥenana wollte dies$fn55bei der Vorlesung vortragen, da sprach Raba zu ihm: Der Tanna hat es verheimlicht, damit man mit Gelübden nicht leichtfertig umgehe, und du willst es in der Vorlesung vortragen!"
Nedarim 23b:2,"Sie fragten: Streiten die Rabbanan gegen R. Elie͑zer b. Ja͑qob oder nicht? Und ist, wenn du sagst, sie streiten, die Halakha wie er oder"
Nedarim 24a:1,"nicht? – Komm und höre: Wir haben gelernt: Sagt jemand zu seinem Nächsten: Qonam, daß ich von dir nichts genieße, wenn du [von mir] nicht ein Kor Weizen und zwei Faß Wein für deinen Sohn annimmst, so kann dieser das Gelübde ohne einen Gelehrten [zu befragen] auflösen, denn er kann zu ihm sagen: du hast dies nur zu meiner Ehrung gesagt, und dies$fn56ist meine Ehrung. Nur deshalb, weil er sagen kann, dies sei seine Ehrung, sonst aber wäre das Gelübde gültig. Nach wessen Ansicht: wenn nach R. Elie͑zer b. Ja͑qob, so ist dies ja ein Anspornungsgelübde$fn57, doch wohl nach den Rabbanan, und hieraus ist zu entnehmen, daß sie gegen ihn streiten. – Tatsächlich nach R. Elie͑zer b. Ja͑qob, denn R. Elie͑zer b. Ja͑qob pflichtet bei, daß dies ein Gelübde ist, weil er damit zu ihm sagen will: ich bin kein Hund, von dir zu genießen, ohne daß du von mir genießest. – Komm und höre: Sagt jemand zu seinem Nächsten: Qonam sei dir jeder Genuß von mir, wenn du nicht meinem Sohne ein Kor Weizen und zwei Faß Wein gibst, so darf er es$fn58, wie R. Meír sagt, nur dann, wenn er sie ihm gibt; die Weisen sagen, auch dieser könne sein Gelübde ohne einen Gelehrten [zu befragen] auflösen, denn er kann zu ihm sagen: ich betrachte es als erhalten$fn59. Nur deshalb, weil er sagen kann, er betrachte es als erhalten, sonst aber wäre das Gelübde gültig. Nach wessen Ansicht: wenn nach R. Elie͑zer b. Ja͑qob, so ist dies ja ein Anspornungsgelübde, doch wohl nach den Rabbanan, und sie streiten [gegen ihn]. – Nein, tatsächlich nach R. Elie͑zer b. Ja͑qob, denn R. Elie͑zer pflichtet bei, daß dies ein Gelübde ist, weil er damit zu ihm sagen will: ich bin kein König, dir einen Genuß zu gewähren, ohne daß du mir einen Genuß gewährest. Mar Qašiša, Sohn des R. Ḥisda, sprach zu Aši: Komm und höre: Ein Zwangsgelübde ist es, wenn sein Nächster ihn mit einem Gelübde belegt hat, bei ihm zu essen, und er oder sein Kind erkrankt ist oder ein Fluß ihn gehindert$fn60hat. Sonst aber ist das Gelübde gültig. Nach wessen Ansicht: wenn nach R. Elie͑zer b. Ja͑qob, so ist dies ja ein Anspornungsgelübde, doch wohl nach den Rabbanan, und sie streiten [gegen ihn]. – Tatsächlich nach R. Elie͑zer b. Ja͑qob, aber nicht wie du glaubst, wenn der Ladende den Geladenen mit einem Gelübde belegt hat, sondern der Geladene den Ladenden mit einem Gelübde belegt hat. Wenn er ihn nämlich gefragt hat, ob er ihn zur Mahlzeit laden wolle, und dieser es bejaht, und als er ihn mit einem Gelübde belegt, dieser es gelobt hat; wenn jener darauf erkrankt ist oder sein Sohn erkrankt ist oder ein Fluß ihn gehindert hat, so ist dies ein Zwangsgelübde. – Komm und höre: Noch mehr sagte R. Elie͑zer b. Ja͑qob: Wenn jemand zu seinem Nächsten sagt: Qonam, daß ich von dir nichts genieße, wenn du nicht mein Gast bist, mit mir warmes Brot ißt und mit mir einen Becher Warmes trinkst, und dieser dem widerspricht, so ist es ebenfalls ein Anspornungsgelübde. Die Weisen aber pflichten ihm nicht bei. [Die Worte:] die Weisen pflichten ihm nicht bei, beziehen"
Nedarim 24b:1,"sich wohl auch auf die vorangehenden [Lehren], somit ist hieraus zu entnehmen, daß die Rabbanan gegen ihn streiten. Schließe hieraus. – Wie bleibt es damit$fn61? – Komm und höre: R. Hona sagte, die Halakha sei wie R. Elie͑zer b. Ja͑qob, ebenso sagte R. Ada b. Ahaba, die Halakha sei wie R. Elie͑zer b. Ja͑qob."
Nedarim 24b:2,"<sup>ii,1</sup><b>E</b><small>IN</small> Ü<small>BERTREIBUNGSGELÜBDE IST ES</small>, <small>WENN JEMAND SAGT</small>: Q<small>ONAM</small>, <small>WENN ICH NICHT AUF DIESEM</small> W<small>EGE</small> [<small>EINE</small> M<small>ENGE</small>] <small>WIE DIE</small> A<small>USZÜGLER AUS</small> M<small>IÇRAJIM GESEHEN HABE</small>, <small>ODER</small>: <small>WENN ICH NICHT EINE</small> S<small>CHLANGE WIE EIN</small> Ö<small>LPRESSBALKEN GESEHEN HABE</small>."
Nedarim 24b:3,"GEMARA. Es wird gelehrt: Übertreibungsgelübde sind erlaubt, Übertreibungsschwüre sind verboten$fn62. Welche heißen Übertreibungsschwüre: wollte man sagen, wenn er sagt: ein Schwur, wenn ich nicht auf diesem Wege gesehen habe, so hat er ja nichts gesagt$fn63!? Abajje erwiderte: Wenn er sagt: ein Schwur, daß ich gesehen habe. Raba sprach zu ihm: Wozu braucht dies demnach$fn64gelehrt zu werden!? Ferner lehrt er ja von einem [Schwure] gleich einem Gelübde$fn65!? Vielmehr, erklärte Raba, wenn er sagt: alle Früchte der Welt mögen mir durch Schwur verboten werden, wenn ich nicht auf diesem Wege [eine Menge] wie die Auszügler aus Miçrajim gesehen habe. Rabina sprach zu R. Aši: Vielleicht sah dieser Mann einen Haufen Ameisen, die er mit den Auszüglern aus Miçrajim$fn66"
Nedarim 25a:1,"verglich, und beschwor somit Wahres!? Dieser erwiderte: Wer schwört, schwört in unserem Sinne, und wir denken dabei nicht an Ameisen. – Schwört man etwa nicht in seinem eigenen Sinne, es wird ja gelehrt: Wenn [das Gericht] einen schwören läßt, spricht man zu ihm: Wisse, daß wir dich nicht auf Grund eines Vorbehaltes in deinem Herzen schwören lassen, sondern in unserem Sinne und im Sinne des Gerichtes. Dies schließt wohl den Fall aus, wenn er an Spielmarken denkt und sie Geld$fn68nennt. Wenn er nun ‘in unserem Sinne’ sagt, so kann ja mancher in seinem eigenen Sinne schwören!? – Nein, dies schließt den vor Raba [sich ereigneten Fall] mit dem Rohrstabe$fn69aus. Einst kam jemand, der von seinem Nächsten Geld forderte, vor Raba, und er sprach zum Schuldner: Geh, bezahle es ihm. Dieser erwiderte: Ich habe es bereits bezahlt. Da sprach Raba zu ihm: So komm und schwöre, daß du es ihm bezahlt hast. Da ging er fort und tat das Geld in einen Rohrstab, und auf diesen gestützt kam er vor das Gericht. Alsdann sagte er zum Gläubiger, daß er ihm den Rohrstab halte, und nahm die Torarolle und schwor, daß er ihm alles zurückgezahlt, was er von ihm erhalten hatte. Als der Gläubiger darüber in Zorn geriet und den Rohrstab zerbrach, wurde das Geld auf die Erde geschüttet, und es stellte sich heraus, daß er die Wahrheit beschwor$fn70. – Aber kann man denn nicht in seinem eigenen Sinne schwören, es wird ja gelehrt: Ebenso finden wir bei unserem Meister Moše, der, als er Jisraél in A͑rboth Moab schwören$fn71ließ, zu ihnen sprach: Wisset, daß ich euch nicht in eurem Sinne schwören lasse, sondern in meinem Sinne und im Sinne Gottes, denn es heißt:$fn72<i>aber nicht euch allein</i>$fn73 <i>&amp;c</i>. Moše sprach wohl zu Jisraél wie folgt: vielleicht tut ihr etwas und sagt, ihr habt in eurem Sinne [geschworen]? Daher sagte er zu ihnen: in meinem Sinne. Dies schließt wohl die Möglichkeit aus, sie könnten Götzen mit dem Namen Gott$fn74belegt haben. Demnach kann man in seinem eigenen Sinne schwören!? – Nein, Götzen werden tatsächlich Gott genannt, denn es heißt:$fn75<i>und an allen Göttern von Miçrajim &amp;c</i>. – Er hätte sie doch sollen schwören lassen, die Gebote zu halten!? – Es könnten die Gebote des Königs verstanden werden. – Er hätte sie doch sollen schwören lassen, alle Gebote zu halten!? – Es könnte das Gebot der Çiçith verstanden werden, denn der Meister sagte, das Gebot der Çiçith wiege alle Gebote der Tora auf. – Er hätte sie doch sollen schwören lassen, die Tora zu halten!? – Es könnte eine Lehre$fn77 verstanden werden. – Er hätte sie doch sollen schwören lassen, die Lehren zu halten. – Es könnte verstanden werden: die Lehre vom Speisopfer, die Lehre vom Sündopfer und die Lehre vom Schuldopfer$fn78. – Er hätte sie doch sollen schwören lassen, die Lehren und die Gebote zu halten!? – Unter Lehre könnte man die Lehre über das Speisopfer und unter Gebote die Gebote des Königs verstehen. – Er hätte sie doch sollen schwören lassen, die ganze Tora zu halten!? – Unter ‘ganze Tora’ könnte man [die Unterlassung] des Götzendienstes verstehen, denn es wird gelehrt, der Götzendienst ist so streng, daß, wenn jemand ihn verleugnet, es ebenso sei, als würde er sich zur ganzen Tora bekennen. – Er hätte sie doch sollen schwören lassen, [das Verbot] des Götzendienstes und die ganze Tora zu halten!? Oder auch, die sechshundertdreizehn Gesetze$fn79zu halten!? – Vielmehr unser Meister Moše wählte eine einfachere Wendung$fn80."
Nedarim 25a:2,"W<small>ENN ICH NICHT EINE</small> S<small>CHLANGE WIE EIN</small> Ö<small>LPRESSBALKEN GESEHEN HABE</small>. Gibt es denn so etwas nicht, zur Zeit des Königs Sapor war ja eine Schlange, der man dreizehn Säcke$fn81Stroh vorwarf, die sie verschlang!? Šemuél erwiderte: Eine gerippte. – Alle Schlangen sind ja gerippt!? – Wir meinen eine, deren Rücken gerippt$fn82ist. – Sollte er doch lehren: eine gerippte!? – Er lehrt etwas nebenbei, daß nämlich ein Ölpreßbalken oben gerippt ist. – In welcher Hinsicht ist dies von Bedeutung? – Beim Kauf und Verkaufe, wenn jemand seinem Nächsten einen Ölpreßbalken verkauft, so ist [der Kauf] gültig, wenn er oben gerippt ist, sonst aber nicht."
Nedarim 25a:3,"<sup>ii,2</sup><b>I</b><small>RRTÜMLICHE</small> G<small>ELÜBDE SIND ES</small>, [<small>WENN JEMAND SAGT</small>:] <small>WENN ICH GEGESSEN</small>"
Nedarim 25b:1,"<small>HABE</small>, <small>WENN ICH GETRUNKEN HABE</small>, <small>UND SICH ERINNERT</small>, <small>DASS ER GEGESSEN ODER GETRUNKEN</small>$fn83<small>HAT</small>, <small>ODER</small> [<small>JEMAND SAGT</small>:] <small>OB ICH ESSEN WERDE</small>, <small>OB ICH TRINKEN WERDE</small>, <small>UND VERGESSENTLICH GEGESSEN ODER GETRUNKEN HAT</small>. [O<small>DER</small>] <small>JEMAND SAGT</small>: Q<small>ONAM SEI MIR DER</small> G<small>ENUSS MEINER</small> F<small>RAU</small>, <small>DIE MIR MEINEN</small> G<small>ELDBEUTEL GESTOHLEN HAT</small>, <small>DIE MEIN</small> K<small>IND GESCHLAGEN HAT</small>, <small>WORAUF SICH HERAUSSTELLT</small>, <small>DASS SIE ES NICHT GESCHLAGEN HAT</small>, <small>DASS SIE IHN NICHT GESTOHLEN HAT</small>. W<small>ENN JEMAND</small>, <small>DER</small> [F<small>REMDE SEINE</small>] F<small>EIGEN ESSEN SIEHT</small>, <small>SAGT</small>: <small>SIE SOLLEN FÜR EUCH WIE</small> O<small>PFER GELTEN</small>, <small>WORAUF SICH HERAUSSTELLT</small>, <small>DASS ES SEIN</small> V<small>ATER UND SEINE</small> B<small>RÜDER UND MIT IHNEN</small> F<small>REMDE WAREN</small>, <small>SO IST ES IHNEN</small>, <small>WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT</small>, <small>ERLAUBT UND DEN</small> F<small>REMDEN VERBOTEN</small>, <small>UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT</small>, <small>DIESEN UND JENEN ERLAUBT</small>."
Nedarim 25b:2,"GEMARA. Es wird gelehrt: Wie es bei irrtümlichen Gelübden erlaubt ist, ebenso ist es bei irrtümlichen Schwüren erlaubt. – Welche heißen irrtümliche Schwüre? – Wie [beim Falle von] R. Kahana und R. Aši. Der eine sagte: ein Schwur, daß Rabh so lehrte, und der andere sagte, ein Schwur, daß Rabh so lehrte; jeder schwor nach seiner Meinung richtig."
Nedarim 25b:3,"W<small>ENN JEMAND</small>, <small>DER</small> [F<small>REMDE</small>] &amp;<small>C</small>. <small>ESSEN SIEHT</small>. Dort haben wir gelernt: Man öffne einen Ausweg [durch den Hinweis auf] Festtage$fn84und Šabbathe. Anfangs sagten sie, an diesen Tagen sei es ihm erlaubt, an allen übrigen aber verboten, bis R. A͑qiba kam, und lehrte, ein Gelübde, das teilweise aufgelöst worden ist, sei vollständig aufgelöst."
Nedarim 25b:4,"Rabba sagte: Alle stimmen überein, daß, wenn er sagt: hätte ich gewußt, daß mein Vater unter euch$fn85ist, so würde ich gesagt haben: euch allen sei es verboten, außer meinem Vater, es allen verboten$fn86und seinem Vater erlaubt ist, sie streiten nur [über den Fall], wenn er sagt: hätte ich gewußt, daß mein Vater unter euch ist, so würde ich gesagt haben: diesem und diesem sei es verboten$fn87und meinem Vater sei es erlaubt."
Nedarim 26a:1,"Raba aber sagte: Alle stimmen überein, daß, wenn er sagt: hätte ich gewußt, daß mein Vater unter euch ist, so würde ich gesagt haben: diesem und diesem sei es verboten und meinem Vater erlaubt, es allen erlaubt ist, sie streiten nur über den Fall, wenn er sagt: hätte ich gewußt, daß mein Vater unter euch ist, so würde ich gesagt haben: euch allen sei es verboten, außer meinem Vater. Die Schule Šammajs ist der Ansicht R. Meírs, welcher sagt, der erste Satz sei$fn88maßgebend, und die Schule Hillels ist der Ansicht R. Joses, welcher sagt, erst der Schluß des Satzes$fn89 sei maßgebend. R. Papa wandte gegen Raba ein: In welchem Falle sagte R. A͑qiba, ein Gelübde, das teilweise aufgelöst worden ist, sei vollständig aufgelöst? [Sagte jemand:] Qonam, daß ich euch alle nichts von mir genießen lasse, so ist es, wenn es inbetreff des einen aufgelöst worden ist, für alle aufgelöst; [sagte er:] daß ich nichts genießen lasse diesen und jenen, so ist es, wenn es inbetreff des ersten aufgelöst worden ist, für alle aufgelöst, und wenn es inbetreff des letzten aufgelöst worden ist, dem letzten erlaubt und allen übrigen verboten. Allerdings kann Rabba$fn90den Anfangsatz auf den Fall beziehen, wenn er gesagt hat: diesen und jenen, und den Schlußsatz auf den Fall, wenn er gesagt hat: euch$fn91 alle, nach deiner Erklärung aber ist allerdings der Anfangsatz auf den Fall zu beziehen, wenn er gesagt hat: euch alle; wieso aber streiten die"
