Index Title,Zevachim
Zevachim 8b:1,"des Zeugniseides$fn289, wegen des Bekräftigungseides$fn290und wegen der Verunreinigung des Tempels und seiner Heiligtümer, bei denen$fn291dies nicht geschrieben ist? – Hinsichtlich des Sündopfers wegen des Götzendienstes ist dies vom Talg-Sündopfer zu folgern, das ebenso wie dieses die Ausrottungsstrafe [sühnt], und hinsichtlich der übrigen ist dies durch Analogie zu folgern."
Zevachim 8b:2,"Die Rabbanan lehrten: Das Pesaḥopfer zur richtigen Zeit$fn292ist auf seinen Namen tauglich, auf anderen Namen aber untauglich; an den übrigen Tagen des Jahres ist es auf seinen Namen untauglich, auf anderen Namen aber tauglich$fn293. Woher dies? Der Vater Šemuéls erwiderte: Die Schrift sagt :$fn294<i>wenn aber sein Opfer vom Kleinvieh ist, zur Schlachtung eines Heilsopfers für den Herrn;</i> was vom Kleinvieh kommt, soll als Schlachtung eines Heilsopfers$fn295gelten. – Vielleicht nur dann, wenn als Heilsopfer, sonst aber nicht$fn296!? R. Ila erwiderte im Namen R. Joḥanans: <i>Zur Schlachtung,</i> dies schließt jede Schlachtung ein. – Vielleicht aber, daß es als das gelte, auf dessen Namen es geschlachtet$fn297wird!? – Hieße es: zur Schlachtung und zum Heilsopfer, so wäre dem auch so, da es aber heißt: zur Schlachtung eines Heilsopfers, so heißt dies, als was es auch geschlachtet wird, gelte es als Heilsopfer. – Vielleicht aber: <i>zur Schlachtung</i>, generell, <i>Heilsopfer,</i> speziell, und wenn auf eine Generalisierung eine Spezialisierung folgt, so umfaßt die Generalisierung nur das Speziellgenannte, also nur dann, wenn als Heilsopfer, sonst aber nicht!? – [Das Wort] <i>für den Herrn</i> ist eine weitere Generalisierung. R. Ja͑qob aus Nehar Peqod wandte ein: Die zweite Generalisierung gleicht ja nicht der ersten; die erste Generalisierung umfaßt nur Schlachtopfer und nichts weiter, die zweite Generalisierung, <i>für den Herrn,</i> umfaßt aber alles, was dem Herrn dargebracht wird, auch Geflügel und Speisopfer!? – In der Schule R. Jišma͑éls wenden sie [die Regel] von der Generalisierung und Spezialisierung wie folgt an: wenn auf eine Generalisierung eine Spezialisierung und dann wieder eine Generalisier ung folgt, so richte man sich nur nach der Spezialisierung; wie das Speziellgenannte$fn298nicht auf seinen Namen dargebracht wird, und es$fn299ist tauglich, ebenso alles andere, was nicht auf seinen Namen dargebracht wird, es ist dann tauglich. – Vielleicht aber: wie das Speziellgenannte eine Sache ist, die als Gelobtes und als freiwillige Gabe dargebracht wird, ebenso alles andere, was als Gelobtes und als freiwillige Gabe dargebracht wird, also nur Brandopfer und Heilsopfer, nicht aber Sündopfer$fn300und Schuldopfer!? – Vielmehr [das Wort] <i>Schlachtung</i> ist einschließend$fn301. – Vielleicht gilt es als das,"
Zevachim 9a:1,"auf dessen Namen es geschlachtet worden ist!? R. Abin erwiderte: Man schiebe Opfer, die gegessen werden, zu Opfern, die gegessen werden, nicht aber schiebe man Opfer, die gegessen werden, zu Opfern, die nicht gegessen werden$fn302. – Werden etwa Sündopfer und Schuldopfer nicht gegessen!? – Vielmehr, man schiebe Opfer, die von jedem Menschen gegessen werden, zu Opfern, die von jedem Menschen gegessen werden, nicht aber schiebe man Opfer, die von jedem Menschen gegessen werden, zu Opfern, die nicht von jedem Menschen gegessen$fn303werden. R. Jose b. Abin erwiderte: Man schiebe minderheilige Opfer zu minderheiligen Opfern, nicht aber schiebe man minderheilige Opfer zu hochheiligen Opfern. R. Jiçḥaq b. R. Sabrin wandte ein: Vielleicht gilt es, wenn es als Zehnt geschlachtet worden ist, als Zehnt$fn304!? Dies ist insofern von Bedeutung, als nämlich dazu kein Gußopfer erforderlich ist, und daß wegen [Verkaufs und] Auslösens$fn305zu geißeln$fn306ist. – Die Schrift sagt:$fn307<i>das zehnte soll heilig sein,</i> nur dieses gilt als Zehnt, nicht aber gilt ein anderes als Zehnt. – Vielleicht gilt es, wenn es als Erstgeborenes geschlachtet worden ist, als Erstgeborenes$fn304!? Dies ist insofern von Bedeutung, als nämlich dazu kein Gußopfer erforderlich ist, oder auch, daß man es einem Priester gebe. – Auch hinsichtlich des Erstgeborenen wird dies$fn308vom Zehnten gefolgert, durch den bei beiden gebrauchten [Ausdruck] <i>vorübergehen</i>$fn309. – Vielleicht gilt es, wenn es als Umgetauschtes$fn310geschlachtet worden ist, als Umgetauschtes!? Dies ist insofern von Bedeutung, als dieserhalb zu geißeln$fn311ist. Mar-Zuṭra, Sohn des R. Naḥman, erwiderte: Die Schrift sagt: $fn312<i>so solí dieses und das Umgetauschte [heilig] sein,</i> dieses kann Umgetauschtes sein, nicht aber kann ein anderes Umgetauschtes sein. – Vielleicht gilt es, wenn es als Dankopfer geschlachtet worden ist, als Dankopfer!? Dies ist insofern von Bedeutung, als nämlich dazu die Brote$fn313erforderlich sind!? – Sollten denn, während zum Pesaḥopfer selbst die Brotenicht erforderlich sind, zum Zurückbleibenden desselben die Brote erforderlich sein!? – Demnach ist ja auch jetzt einzuwenden: sollte denn, während zum Pesaḥopfer selbst das Gußopfer nicht erforderlich ist, zum Zurückbleibenden desselben$fn314das Gußopfer erforderlich sein!? – Wir meinen es wie folgt: sollten denn, während zum Zurückbleibenden des Dankopfers$fn315selbst die Brote nicht erforderlich sind, zu dem, das nur als solches dargebracht wird, die Brote erforderlich sein!? Raba, Sohn des R. Hillel, wandte ein: Woher, daß jener Schriftvers$fn316vom Zurückbleibenden des Pesaḥopfers spricht, vielleicht spricht er vom Zurückbleibenden des Schuldopfers$fn317!? Raba erwiderte: Die Schrift sagt:$fn318<i>ist sein Opfer vom Kleinvieh, zur Schlachtung eines Heilsopfers,</i> das von jeder Art Kleinvieh$fn319dargebracht wird. R. Abin b. Ḥija, nach anderen R. Abin b. Kahana, wandte ein: Überall$fn320sagst du, [das Wort] <i>von</i> sei ausschließend, hier aber soll es einschließend$fn321sein!? R. Mani erwiderte: Hier ist das <i>von</i> ebenfalls ausschließend, denn als solches$fn322wird kein zweijähriges und kein weibliches Vieh dargebracht. R. Ḥana aus Bagdad wandte ein : Wieso kannst du sagen, jener Schriftvers$fn323spreche vom Zurückbleibenden des Pesaḥopfers, es heißt ja:$fn324<i>wenn ein Lamm, wenn eine Ziege,</i> somit spricht er ja nicht vom Zurückbleibenden des Pesaḥopfers$fn325!? – Dies$fn326ist wegen der folgenden Lehre nötig : <i>Lamm,</i> dies schließt das Pesaḥopfer hinsichtlich des Fettschwanzes$fn327ein; und da es heißt: <i>wenn ein Lamm,</i> so schließt dies auch das über ein Jahr alt gewordene$fn328Pesaḥ[lamm] und das neben dem Pesaḥopfer dargebrachte Heilsopfer ein hinsichtlich aller für das Heilsopfer geltenden Vorschriften, daß nämlich diese des Stützens, des Gußopfers und des Schwingens von Brust und Schenkel benötigen. Wenn es nun weiter heißt: <i>wenn ein Zicklein,</i> so ist das Thema unterbrochen; dies lehrt, daß der Fettschwanz des Zickleins nicht dargebracht werde. – Ist dies denn hieraus zu folgern, dies wird ja aus einer Lehre des Vaters Šemuéls gefolgert!? Der Vater Šemuéls sagte nämlich: <i>Ist sein Opfer vom Kleinvieh, zur Schlachtung eines Heilsopfers,</i> was vom Kleinvieh kommt, diene zur Schlachtung eines Heilsopfers$fn329!? – Dies ist ja auch aus einer Lehre R. Naḥmans im Namen des Rabba b. Abuha zu folgern!? R. Naḥman sagte nämlich im Namen des Rabba b. Abuha: Woher, daß das Zurückbleibende des Pesaḥopfers als Heilsopfer dargebracht wird? Es heißt:$fn330<i>du sollst das Pesaḥopfer für den Herrn, deinen Gott, schlachten, Schafe und Rinder,</i> und da das Pesaḥopfer nur von Lämmern und Ziegen dargebracht wird, so ist hieraus zu entnehmen, daß das Zurückbleibende des Pesaḥopfers$fn331als das zu verwenden$fn332ist, was von Schafen und Rindern dargebracht wird, nämlich als Heilsopfer. Vielmehr"
Zevachim 9b:1,"sind diesbezüglich drei Schriftverse vorhanden; einer wegen des Falls, wenn die Zeit$fn333und das Jahr$fn334vorüber sind, einer wegen des Falls, wenn die Zeit und nicht das Jahr vorüber ist, und einer wegen des Falls, wenn weder die Zeit noch das Jahr$fn335vor über ist. Und alle sind nötig. Würde der Allbarmherzige nur einen geschrieben haben, so könnte man glauben, nur wenn das Jahr und die Zeit vorüber sind, es also als Pesaḥopfer vollständig verdrängt worden ist, nicht aber, wenn nur die Zeit und nicht das Jahr, sodaß es für das zweite Pesaḥfest$fn336verwendbar ist. Und würde der Allbarmherzige nur zwei$fn337geschrieben haben, so könnte man glauben, weil sie von ihrem eigentlichen Zweck$fn338verdrängt worden sind, nicht aber, wenn weder die Zeit noch das Jahr vorüber ist, sodaß es noch als Pesaḥopfer verwendbar ist. Daher sind alle nötig."
Zevachim 9b:2,"Rabh sagte im Namen des Mabog : Hat man ein Sündopfer auf den Namen des Sündopfers Naḥšons$fn339geschlachtet, so ist es$fn340auglich, denn die Schrift sagt :$fn341<i>dies ist das Gesetz des Sündopfers,</i> ein Gesetz für alle Sündopfer. Raba saß und trug diese Lehre vor, da wandte R. Mešaršeja gegen Raba ein: R. Šimo͑n sagte: Alle Speisopfer sind, wenn der Haufe$fn342auf einen anderen Namen abgehoben worden ist, tauglich und der Eigentümer entledigt sich mit ihnen seiner Pflicht, weil Speisopfer nicht Schlachtopfern gleichen: wenn man ein Pfannopfer$fn343auf den Namen eines Tiegelopfers$fn343abhäuft, so beweist die Zubereitung, daß es ein Pfannopfer$fn344ist, wenn ein trockenes$fn345auf den Namen eines umgerührten, so beweist die Zubereitung, daß es ein trockenes ist; anders aber verhält es sich bei den Schlachtopfern: bei allen erfolgt das Schlachten gleichmäßig, bei allen erfolgt die [Blut]aufnahme gleichmäßig und bei allen erfolgt das Sprengen gleichmäßig. Also nur aus dem Grunde, weil die Zubereitung es beweist, nicht aber, wenn die Zubereitung es nicht beweisen würde; weshalb denn, man sollte doch sagen :$fn346<i>das ist das Gesetz des Speisopfers,</i> ein Gesetz für alle Speisopfer !? – Vielmehr, ist dies gelehrt worden, so wird es wie folgt lauten : Rabh sagte im Namen des Mabog : Hat man ein Sündopfer geschlachtet mit der Absicht, daß Naḥšon dadurch Sühne erlange, so ist es tauglich, weil es für Tote keine Sühne gibt$fn347. – Sollte er es doch von irgend einem Toten lehren!? – Folgendes lehrt er uns: nur wenn auf den Namen eines Toten, wenn aber auf den Namen eines Lebenden, [dessen Opfer] dem des Naḥšon gleicht, nämlich das Opfer eines Nazirs oder das Opfer eines Aussätzigen$fn348, so ist es untauglich. – Diese sind ja Brandopfer$fn349!? – Vielmehr, ist dies gelehrt worden, so wird es wie folgt lauten: Rabh sagte im Namen des Mabog: Hat man ein Sündopfer geschlachtet auf den Namen eines anderen, der ein Sündopfer gleich dem des Naḥšon darzubringen hat, so ist es tauglich, denn das Sündopfer des Naḥšon ist ein Brandopfer. Manche lesen: Rabh sagte im Namen des Mabog Hat man ein Sündopfer auf den Namen des Sündopfers Naḥšons geschlachtet, so ist es untauglich, denn das Sündopfer Naḥšons ist ein Brandopfer$fn350. – Sollte er doch sagen : als Sündopfer eines Nazirs oder als Sündopfer eines Aussätzigen!? – Er nennt das Ur-Sündopfer$fn351."
Zevachim 9b:3,"Rabh sagte: Hat man ein Talg-Sündopfer$fn352auf den Namen eines Blut-Sündopfers oder eines Götzendienst-Sündopfers geschlachtet, so ist es tauglich, wenn aber auf den Namen eines Nazir-Sündopfers oder eines Aussätzigen-Sündopfers, so ist es untauglich, denn diese sind Brandopfer. Raba fragte: Wie ist es, wenn man ein Talg-Sündopfer auf den Namen eines Sündopfers wegen Verunreinigung des Tempels und seiner Heiligtümer geschlachtet hat : sagen wir, das eine sühne gleich dem anderen die Ausrottungsstrafe, oder aber, dieses ist nicht so feststehend$fn353wie jenes? – [Dies bleibt unentschieden.]"
Zevachim 9b:4,"R. Aḥa, der Sohn Rabas, lehrte, daß es in all jenen Fällen untauglich sei, [denn es heißt:]$fn354<i>er soll es als Sündopfer schlachten,</i> als solches Sündopfer. R. Aši sprach zu R. Aḥa, dem Sohne Rabas: Wie lehrt ihr sie$fn355? Dieser erwiderte: Wir beziehen diese auf die Verwechselung des Eigentümers: Raba sagte: Hat man ein Talg-Sündopfer auf den Namen eines anderen, der ein Blut-Sündopfer oder ein Götzendienst-Sündopfer darzubringen hat, geschlachtet, so ist es untauglich, wenn aber auf den Namen eines anderen, der ein Nazir-Sündopfer oder ein Aussätzigen-Sündopfer darzubringen hat, so ist es tauglich. Und die Frage lautet wie folgt: Raba fragte: Wie ist es, wenn man ein Talg-Sündopfer auf den Namen eines anderen, der ein Sündopfer wegen Verunreinigung des Tempels und seiner Heiligtümer darzubringen hat, geschlachtet hat: sagen wir, das eine sühne gleich dem anderen die Ausrottungsstrafe, oder aber, dieses ist nicht so feststehend wie jenes? – Dies bleibt unentschieden."
Zevachim 9b:5,"Es wurde gelehrt : Hat man es auf den richtigen Namen geschlachtet [in der Absicht,] das Blut auf einen anderen Namen$fn356zu sprengen, so ist es, wie R. Joḥanan sagt, untauglich, und wie Reš Laqiš sagt, tauglich. R. Joḥanan sagt, es sei untauglich, weil man während der einen Verrichtung hinsichtlich einer anderen Verrichtung bestimmen kann, denn man folgere dies$fn357von der Bestimmung bei der Verwerflichmachung$fn358. Reš Laqiš sagt, es sei tauglich, weil man während der einen Verrichtung keine Bestimmung hinsichtlich einer anderen Verrichtung treffen kann, denn man folgere es nicht von der Bestimmung bei der Verwerflichmachung. Sie vertreten hierbei ihre Ansichten, denn es wird gelehrt: Wenn jemand ein"
Zevachim 10a:1,"Vieh$fn359schlachtet in der Absicht, das Blut für einen Götzen zu sprengen oder das Fett für einen Götzen auf zuräuchern, so ist es, wie R. Joḥanan sagt, verboten$fn360, weil man während der einen Verrichtung eine Bestimmung hinsichtlich einer anderen Verrichtung treffen$fn361kann, denn man folgere hinsichtlich der [Schlachtung] außerhalb$fn362von der [Schlachtung] innerhalb. Reš Laqiš aber sagt, es sei erlaubt$fn363, weil man während der einen Verrichtung keine Bestimmung hinsichtlich einer anderen Verrichtung treffen kann, denn man folgere nicht hinsichtlich der [Schlachtung] außerhalb von der [Schlachtung] innerhalb. Würde nur das eine$fn364gelehrt worden sein, so könnte man glauben, Reš Laqiš vertrete seine Ansicht nur hierbei$fn365, während er R. Joḥanan beipflichtet, daß von der [Schlachtung] innerhalb auf die [Schlachtung] innerhalb zu folgern$fn366sei. Und würde nur das andere gelehrt worden sein, so könnte man glauben, R. Joḥanan vertrete seine Ansicht nur hierbei, während er in jenem Fall Reš Laqiš beipflichte. Daher ist beides nötig."
Zevachim 10a:2,"Als R. Dimi kam, erzählte er, R. Jirmeja habe einen Einwand erhoben, als Stütze für R. Joḥanan, und R. Ila einen als Stütze für Reš Laqiš. R. Jirmeja als Stütze für R. Joḥanan: Wenn es, obgleich es tauglich ist, falls man beabsichtigt hat, es außerhalb der Frist$fn367zu schlachten, dennoch untauglich ist, wenn man es geschlachtet hat in der Absicht, das Blut außerhalb der Frist$fn368zu sprengen, um wieviel mehr sollte es, wo es untauglich ist, falls man beabsichtigt hat, es auf einen anderen Namen zu schlachten, untauglich sein, wenn man es geschlachtet hat in der Absicht, das Blut auf einen anderen Namen zu sprengen!? Raba b. Ahilaj wandte dagegen ein: Wohl$fn369außerhalb der Frist, weil darauf$fn370die Ausrottungsstrafe gesetzt ist!? Vielmehr, sagte Raba b. Ahilaj, lautet [der Einwand] wie folgt: wenn es, obgleich es tauglich ist, falls man beabsichtigt hat, es außerhalb des hierfür bestimmten Raumes$fn371zu schlachten, dennoch untauglich ist, wenn man es geschlachtet hat in der Absicht, das Blut außerhalb des Raumes zu sprengen, um wieviel mehr sollte es, wo es untauglich ist, falls man beabsichtigt hat, es auf einen anderen Namen zu schlachten, untauglich sein, wenn das Blut auf einen anderen Namen zu sprengen$fn372!? R. Aši wandte dagegen ein: Wohl$fn369außerhalb des Raumes, weil diese Bestimmung$fn373bei allen Schlachtopfern gilt, während die Bestimmung hinsichtlich eines anderen Namens nur beim Pesaḥopfer und beim Sündopfer gilt!? Vielmehr, sagte R. Aši, lautet [der Einwand] wie folgt: wenn es, obgleich es tauglich ist, falls man auf den Namen$fn374eines anderen schlachtet, dennoch untauglich ist, wenn das Blut auf den Namen eines anderen zu sprengen$fn372beabsichtigt, um wieviel mehr sollte es, wo es untauglich ist, falls man es auf einen anderen Namen$fn375zu schlachten beabsichtigt hat, untauglich sein, wenn das Blut auf einen anderen Namen zu sprengen. R. Ila als Stütze für Reš Laqiš: Sollte dies$fn376nicht vom Sprengen gelehrt worden sein, und man würde es von den beiden, vom Schlachten und der [Blut]aufnahme, gef olgert$fn377haben ; wenn der Allbarmherzige es dennoch geschrieben hat, so lehrt dies, daß man während der einen Verrichtung keine Bestimmung hinsichtlich der anderen treffen kann. R. Papa wandte ein: Vielleicht, daß man während der einen Verrichtung eine Bestimmung hinsichtlich der anderen treffen könne!? – Wenn dem so wäre, so sollte die Schrift darüber schweigen, und man würde es [durch die Schlußfolgerung] vom Leichteren auf das Schwerere des R. Aši$fn378gefolgert haben. – Und jener!? – Man könnte erwidern: wohl gilt dies von jenen, die in der Nordseite erfolgen müssen und bei den innerhalb herzurichtenden Sündopfern stattfinden$fn379. – Und der andere!? – Vorläufig befassen wir uns mit dem Heilsopfer$fn380."
Zevachim 10a:3,"Es wurde gelehrt: Ist es auf den richtigen Namen geschlachtet worden [in der Absicht,] das Blut auf einen anderen Namen zu sprengen, so ist es, wie R. Naḥman sagt, untauglich, und wie Rabba sagt, tauglich. Rabba aber trat zurück und bekannte sich zur Ansicht R. Naḥmans, wegen [der Schlußfolgerung] vom Leichteren auf das Schwerere des R. Aši."
Zevachim 10a:4,"R. E<small>LIE͑ZER SAGT, AUCH DAS</small> S<small>CHULDOPFER</small>. Es wird gelehrt : R. Elie͑zer sprach: Das Sündopfer wird wegen einer Sünde dargebracht und das Schuldopfer wird wegen einer Sünde dargebracht, wie nun das Sündopfer auf einen anderen Namen untauglich ist, ebenso ist auch das Schuldopfer auf einen anderen Namen untauglich. R. Jehošua͑ erwiderte ihm: Nein, dies gilt nur vom Sündopfer, dessen Blut oberhalb$fn381gesprengt wird. R. Elie͑zer entgegnete : Vom Pesaḥopfer ist [das Entgegengesetzte] zu beweisen: dessen Blut wird unterhalb gesprengt, und wenn man es auf einen anderen Namen geschlachtet hat, ist es untauglich. R. Jehošua͑ erwiderte: Wohl das Pesaḥopfer, weil dafür eine Zeit$fn382festgesetzt ist. R. Elie͑zer entgegnete: Vom Sündopfer ist [das Entgegengesetzte] zu beweisen. R. Jehošua͑ erwiderte: So beginne ich dasselbe$fn383wiederum! Da trat"
Zevachim 10b:1,"R. Elie͑zer zurück und deduzierte anders: vom Sündopfer heißt es beim Schlachten <i>es,</i> es ist nur dann tauglich, wenn dies auf den richtigen Namen erfolgt ist, nicht aber wenn auf einen anderen Namen; vom Pesaḥopfer heißt es beim Opfern <i>es,</i> es ist nur dann tauglich, wenn dies auf den richtigen Namen erfolgt ist, nicht aber, wenn auf einen anderen Namen; ebenso heißt es auch beim Schuldopfer <i>es,</i> es ist nur dann tauglich, wenn es auf den richtigen Namen hergerichtet worden ist, nicht aber, wenn auf einen anderen Namen. R. Jehošua͑ erwiderte: Vom Sündopfer heißt es <i>es</i> beim Schlachten, es ist nur dann tauglich, wenn dies auf den richtigen Namen erfolgt ist, nicht aber, wenn auf einen anderen Namen; vom Pesaḥopfer heißt es <i>es</i> beim Opfern, es ist nur dann tauglich, wenn dies auf den richtigen Namen erfolgt ist, nicht aber, wenn auf einen anderen Namen; beim Schuldopfer aber heißt es <i>es</i> erst nach der [Vorschrift von der] Aufräucherung der Opferteile, und dieses ist tauglich, auch wenn die Opferteile überhaupt nicht auf geräuchert worden$fn167sind!? R. Elie͑zer entgegnete: Es heißt:$fn384<i>gleich dem Sündopfer und dem Schuldopfer</i>, wie das Sündopfer auf einen anderen Namen untauglich ist, ebenso ist auch das Schuldopfer auf einen anderen Namen untauglich."
Zevachim 10b:2,"Der Meister sagte : R. Jehošua͑ erwiderte : So beginne ich dasselbe wiederum. Sollte er es doch wiederholt und durch Analogie$fn385deduziert haben!? – Man könnte entgegnen: das Gemeinsame bei ihnen$fn386ist, daß bei ihnen die Ausrottungsstrafe zu berücksichtigen ist$fn387."
Zevachim 10b:3,"«R. Jehošua͑ erwiderte ihm: Nein, dies gilt nur vom Sündopfer, dessen Blut oberhalb gesprengt wird.» Sollte er ihm erwidert haben: Nein, dies gilt nur vom Sündopfer, dessen Blut in das Allerinnerste$fn388gebracht wird!? – Wir sprechen von den außerhalb herzurichtenden Sündopfern$fn389. – Weil$fn390es untauglich ist, wenn das Blut in das Allerinnerste gebracht wird$fn391!? – R. Elie͑zer ist der Ansicht, dies gelte auch vom Schuldopfer. – Weil$fn390es die Ausrottungsstrafe sühnt!? – Vom Sündopfer wegen des Zeugeneides$fn392. – Weil$fn390es vier Sprengungen$fn393bedarf !? – Nach R. Jišma͑él, welcher sagt, bei jedem [Opfer]blut seien vier Sprengungen erforderlich. – Auf$fn390alle vier Ecken$fn394!? – Auch nach deiner Auffassung [ist ja einzuwenden:] es$fn395muß ja mit dem Finger, auf das Horn$fn396, auf die Kante erfolgen!? Vielmehr führt er nur eine von zwei oder drei Entgegnungen an."
Zevachim 10b:4,"Der Meister sagte : R. Jehošua͑ erwiderte : Nein, dies gilt nur &amp;c. Sollte R. Elie͑zer ihm doch erwidert haben, auch das Blut des Schuldopfers sei oberhalb$fn397zu sprengen!? Abajje erwiderte: Du kannst nicht sagen, das Blut des Schuldopfers sei oberhalb zu sprengen, denn es ist [durch einen Schluß] vom Schwereren auf das Leichtere vom Brandopfer zu folgern: wenn das Blut des Brandopfers, das vollständig [verbrannt wird], unterhalb gesprengt wird, um wieviel mehr gilt dies vom Schuldopfer, das nicht vollständig [verbrannt wird. Entgegnet man:] wohl gilt dies vom Brandopfer, weil es keine Sühne schafft, so ist vom Geflügel-Sündopfer$fn398[das Entgegengesetzte] zu beweisen. [Entgegnet man:] wohl gilt dies vom Geflügel-Sündopfer, weil es kein Schlachtopfer$fn399ist, so ist vom Brandopfer [das Entgegengesetzte] zu beweisen. Die Eigenheit des einen gleicht also nicht der Eigenheit des anderen und die Eigenheit des anderen gleicht nicht der Eigenheit des einen; das Gemeinsame bei ihnen ist, daß sie Hochheiliges sind, und ihr Blut wird unterhalb gesprengt, somit schließe man auch das Schuldopfer ein, es ist ebenfalls Hochheiliges, und sein Blut ist unterhalb zu sprengen. Raba aus Parziqa sprach zu R. Aši: Es ist ja zu entgegnen: das Gemeinsame bei ihnen ist, daß für sie keine Geldsumme festgesetzt ist, während für das Schuldopfer eine Geldsumme festgesetzt$fn400ist!? – Vielmehr, folgendes ist der Grund R. Elie͑zers: Die Schrift sagt:$fn401<i>der Priester, der es herrichtet;</i> das Blut von diesem$fn402ist oberhalb zu sprengen, nicht aber ist das Blut von einem anderen oberhalb zu sprengen. – Demnach ist ja auch hinsichtlich des Sündopfers auszulegen: nur dieses ist auf den richtigen Namen tauglich und auf einen anderen Namen untauglich, andere Opfer aber sind sowohl auf den richtigen Namen als auch auf einen anderen Namen tauglich!? Diesbezüglich ist das <i>es</i> nicht genau zu nehmen, denn es bleibt ja noch das Pesaḥopfer zurück$fn403. – Auch in jener Beziehung ist es ja nicht genau zu nehmen, denn es bleibt ja noch das Geflügel-Brandopfer$fn404zurück!? – Von Schlachtopfern aber bleibt nichts zurück. Wenn du aber willst, sage ich: hier ist die Ansicht des R. Elea͑zar b. R. Šimo͑n vertreten, welcher sagt, für das eine$fn405war ein Platz besonders und für das andere$fn405war ein Platz besonders bestimmt. Es wird nämlich gelehrt: Das unterhalb zu sprengende Blut wird unterhalb des roten Striches und das oberhalb zu sprengende oberhalb des roten Striches gesprengt. R. Elea͑zar b. R. Šimo͑n sagte : Dies gilt nur vom Geflügel-Brandopfer, das des Vieh-Sündopfers aber wird direkt auf das Horn$fn406gesprengt."
Zevachim 10b:5,"Dort haben wir gelernt: R. A͑qiba sagt, jedes Blut$fn407, das zum Sühnen in den Tempel gebracht worden ist, ist untauglich; die Weisen sagen, nur das des Sündopfers$fn408; R. Elie͑zer sagt, auch das des Schuldopfers, denn es heißt: <i>gleich dem Sündopfer und dem Schuldopfer.</i> Erklärlich ist die Ansicht R. Elie͑zers, die er auch begründet, was aber ist der Grund$fn409der Rabbanan? Raba erwiderte: Du kannst nicht sagen, daß das Schuldopfer, dessen Blut innerhalb gebracht worden ist, untauglich sei, denn es ist [ein Schluß] vom Schwereren auf das Leichtere vom Brandopfer zu folgern:"
