Index Title,Numbers
Numbers 8:2,"""Powiedz Ahronowi, a objaśnij mu: Gdy będziesz zapalał lampy, to ku przedniej stronie świecznika świecić powinno siedm lamp"". "
Numbers 8:3,"I uczynił tak Ahron; ku stronie przedniej świecznika zapalił lampy jego, jako rozkazał Wiekuisty Mojżeszowi. "
Numbers 8:4,"A oto robota świecznika: kuty on był ze złota, od słupca do kwiatów jego kuty był; podług wzoru, który pokazał Wiekuisty Mojżeszowi, zrobił on świecznik. "
Numbers 8:5,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 8:6,"""Oddzielisz Lewitów z pośród synów Israela, a oczyścisz ich. "
Numbers 8:7,"A tak postąpisz z nimi, by oczyścić ich: pokrop ich wodą oczyszczającą, i niech ogolą brzytwą całe ciało swoje, i niech wypiorą szaty swe, a trzymają się w czystości. "
Numbers 8:8,"I niechaj wezmą cielca młodego z ofiarą jego śniedną - mąki przedniej, zaczynionej oliwą; drugiego zaś cielca młodego weźmiesz sam - na ofiarę zagrzeszną. "
Numbers 8:9,"I przywiedziesz Lewitów przed przybytek zboru, a zgromadzisz cały zbór synów Israela; "
Numbers 8:10,"I przywiedziesz Lewitów przed oblicze Wiekuistego, i położą synowie Israela ręce swe na Lewitów; "
Numbers 8:11,"I spełni Ahron nad Lewitami przedstawienie przed Wiekuistym, od synów Israela, - aby zaczęli sprawować służbę Wiekuistego; "
Numbers 8:12,"Lewici zaś położą ręce swe na głowy cielców; poczém spełnisz jednym ofiarę zagrzeszną, a drugim całopalenie Wiekuistemu, dla oczyszczenia Lewitów; "
Numbers 8:13,"I postawisz Lewitów przed Ahronem i przed synami jego, a spełnisz nad nimi przedstawienie Wiekuistemu. "
Numbers 8:14,"I tak oddzielisz Lewitów z pośród synów Israela, a będą Moimi Lewici; "
Numbers 8:15,"A potem wejdą Lewici, aby służyli w przybytku zboru, gdy ich oczyścisz i spełnisz nad nimi przedstawienie; "
Numbers 8:16,"Albowiem oddani mi oni zupełnie z pośród synów Israela; miasto każdego rozwierającego łono, każdego pierworodnego z synów Israela, wziąłem ich sobie. "
Numbers 8:17,"Gdyż Mojém wszystko pierworodne z synów Israela, tak z ludzi jak z bydła; dnia, któregom poraził wszystkich pierworodnych w ziemi Micraim, poświęciłem ich Sobie. "
Numbers 8:18,Przyjąłem zaś Lewitów miasto wszystkich pierworodnych u synów Israela; 
Numbers 8:19,"I oddałem Lewitów jako przydanych Ahronowi i synom jego, z pośród synów Israela, aby pełnili służbę za synów Israela w przybytku zboru, i ochraniali synów Israela, - tak, aby nie spotkała synów Israela klęska, gdy przystępować będą synowie Israela do świątyni."" "
Numbers 8:20,"I postąpili tak Mojżesz i Ahron i cały zbór synów Israela z Lewitami; wedle wszystkiego, co przykazał Wiekuisty Mojżeszowi o Lewitach, tak postąpili z nimi synowie Israela. "
Numbers 8:21,"I oczyścili się Lewici, i wyprali szaty swe, i spełnił nad nimi Ahron przedstawienie przed Wiekuistym, i rozgrzeszył ich Ahron, aby uczynić ich czystymi. "
Numbers 8:22,"Poczem przystąpili Lewici do pełnienia służby swojej w przybytku zboru, przed Ahronem i przed synami jego; jako rozkazał Wiekuisty Mojżeszowi o Lewitach, tak postąpili z nimi. "
Numbers 8:23,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 8:24,"""Oto co do Lewitów: od dwudziestu pięciu lat i wyżej, przystąpi każdy, by trzymać kolej na służbie przy przybytku zboru. "
Numbers 8:25,"A od pięćdziesiątego roku wróci z kolejnej służby, i służyć więcej nie będzie. "
Numbers 8:26,"Może wtedy usługiwać braciom swoim przy przybytku zboru, w utrzymywaniu straży, lecz roboty wykonywać nie będzie; tak postąpisz z Lewitami co do urzędowania ich."" "
Numbers 9:1,"I oświadczył Wiekuisty Mojżeszowi na pustyni Synai, roku wtórego po wyjściu ich z ziemi Micraim, miesiąca pierwszego, i rzekł: "
Numbers 9:2,"""Niechaj spełnią synowie Israela ofiarę paschalną w oznaczonym czasie; "
Numbers 9:3,"Czternastego dnia miesiąca tego, ku wieczorowi, spełnicie ją w oznaczonym czasie; wedle wszystkich obrzędów i wedle wszystkich przepisów jej spełnicie ją"". "
Numbers 9:4,"Powiedział tedy Mojżesz synom Israela, aby spełnili ofiarę paschalną. "
Numbers 9:5,"I spełnili ofiarę paschalną pierwszego miesiąca, czternastego dnia miesiąca, ku wieczorowi, na pustyni Synai; zupełnie tak, jak rozkazał Wiekuisty Mojżeszowi, uczynili synowie Israela. "
Numbers 9:6,"Ale okazali się tacy, którzy się zanieczyścili byli przy zwłokach ludzkich - tak że nie mogli spełnić ofiary paschalnej dnia tego, - przystąpili tedy do Mojżesza i do Ahrona w tenże dzień, "
Numbers 9:7,"I rzekli ludzie ci do niego: ""Myśmy zanieczyszczeni przy zwłokach ludzkich; czemu mamy być upośledzeni, abyśmy nie przynieśli ofiary Wiekuistego w oznaczonym czasie, wpośród synów Israela?"" "
Numbers 9:8,"I odpowiedział im Mojżesz: ""Postójcie, a usłyszę, co rozkaże Wiekuisty względem was"". "
Numbers 9:9,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 9:10,"""Powiedz synom Israela, a objaśnij im: jeżeliby się ktokolwiek zanieczyścił przy umarłym, albo będąc na drodze dalekiej, z was albo potomków waszych, chciałby spełnić ofiarę paschalną Wiekuistemu: "
Numbers 9:11,"Miesiąca drugiego, czternastego dnia, ku wieczorowi niechaj spełnią ją; z przaśnikami i gorzkiemi zioły niechaj spożyją ją. "
Numbers 9:12,"Nie zostawią z niej do rana, a kości nie złamią w niej, według wszystkich obrzędów ofiary paschalnej niechaj spełnią ją. "
Numbers 9:13,"Kto wszakże czystym jest i w drodze się nie znajduje, a zaniedba spełnić ofiarę paschalną, wytrąconą będzie dusza ta z pośród ludu swego; ponieważ ofiary Wiekuistego nie przyniósł w oznaczonym czasie, grzech swój poniesie. "
Numbers 9:14,"A jeśli zamieszka u was cudzoziemiec, a zechce spełnić ofiarę paschalną Wiekuistemu; według obrzędu i wedle przepisu paschalnego niechaj spełni ją; ustawa jedna niechaj będzie dla was, tak dla cudzoziemca, jak i dla krajowca"". "
Numbers 9:15,W dzień tedy wystawienia przybytku okrył obłok przybytek nad namiotem świadectwa; a z wieczora bywało nad przybytkiem jakby widmo ognia aż do rana; 
Numbers 9:16,"Tak bywało ustawicznie, - obłok okrywał go, a widmo ognia nocą. "
Numbers 9:17,"A zaledwie wznosił się obłok z nad przybytku, śladem jego wyruszali synowie Israela; w miejscu zaś, gdzie stawał obłok, tam stawali obozem i synowie Israela. "
Numbers 9:18,"Wedle rozkazu Wiekuistego wyruszali synowie Israela, i wedle rozkazu téż Wiekuistego stawali obozem; przez cały czas pozostawania obłoku nad przybytkiem, stawali i oni obozem; "
Numbers 9:19,"A choć zostawał obłok nad przybytkiem przez dłuższy czas, to jednak przestrzegali synowie Israela straży Wiekuistego, a nie wyruszali. "
Numbers 9:20,"Zdarzało się, że zostawał obłok przez dni kilka nad przybytkiem: oni wszakże wedle rozkazu Wiekuistego stawali obozem, i wedle rozkazu Wiekuistego wyruszali. "
Numbers 9:21,"Zdarzało się téż, że zostawał obłok tylko od wieczora do rana, podnosił się zaś obłok nad ranem - a oni wyruszali; albo téż, że zostawszy przez dzień i noc się podnosił obłok, - to i oni wyruszali, "
Numbers 9:22,"A jeżeli dwa dni, albo miesiąc, albo rok - dopóki był obłok nad przybytkiem, zostawając nad nim, stawali i synowie Israela obozem, i nie wyruszali; a dopiero, gdy się wznosił, wyruszali. "
Numbers 9:23,"Wedle rozkazu Wiekuistego stawali obozem, i wedle rozkazu Wiekuistego wyruszali, straży Wiekuistego przestrzegając, wedle rozkazu Wiekuistego przez Mojżesza. "
Numbers 10:1,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 10:2,"""Przygotuj sobie dwie trąby srebrne, - kutej roboty przygotujesz je, a niechaj służą ci do zwoływania zboru, i do zwijania obozów; "
Numbers 10:3,"Gdy uderzą przeciągle w obie, podąży do ciebie wszystek zbór do wnijścia przybytku zboru; "
Numbers 10:4,"A jeżeliby w jednę tylko przeciągle uderzono, podążą do ciebie naczelnicy, wodzowie tysięcy Israela; "
Numbers 10:5,"A gdy uderzycie na trwogę, wyruszą obozy, obozujące ku wschodowi; "
Numbers 10:6,"A gdy uderzycie na trwogę po raz drugi, - wyruszą obozy obozujące ku południowi; na trwogę niech uderzą, gdy będą miały ruszyć w pochód. "
Numbers 10:7,"A gdy wypadnie zwołać zgromadzenie, uderzycie przeciągle w trąbę, lecz nie na trwogę. "
Numbers 10:8,"Synowie zaś Ahrona, kapłani, uderzać mają w trąby; a będzie to wam ustawą wieczną w pokoleniach waszych. "
Numbers 10:9,"A gdy wystąpicie do walki na ziemi waszej przeciw wrogowi, któryby wrogował wam, uderzcie na trwogę w trąby, a tém przypomnicie się przed Wiekuistym, Bogiem waszym, i ocaleni będziecie od nieprzyjaciół waszych. "
Numbers 10:10,"W dzień téż radości waszej, i w uroczystości wasze, i na nowiu miesięcy waszych - uderzać wam w trąby przeciągle przy całopaleniach waszych i przy ofiarach waszych opłatnych - a będzie to wam wspomnieniem przed Bogiem waszym: Jam Wiekuisty, Bóg wasz"". "
Numbers 10:11,"I stało się roku wtórego, miesiąca wtórego, dwudziestego tegoż miesiąca, że wzniósł się obłok z nad przybytku świadectwa. "
Numbers 10:12,I wyruszyli synowie Israela w pochody swoje z pustyni Synai; a stanął obłok na pustyni Paran. 
Numbers 10:13,"Wyruszyli wtedy po raz pierwszy, wedle rozkazu Wiekuistego przez Mojżesza. "
Numbers 10:14,"I ruszyła chorągiew obozu synów Jehudy pierwsza z zastępami swoimi; a nad zastępem jego - Nachszon, syn Amminadaba. "
Numbers 10:15,"A nad zastępem pokolenia synów Isachara - Nethaneel, syn Cuara. "
Numbers 10:16,"A nad zastępem pokolenia synów Zebuluna - Eliab, syn Chelona. "
Numbers 10:17,"A był rozłożonym przybytek, i wyruszyli synowie Gerszona i synowie Merarego, niosący przybytek. "
Numbers 10:18,"Poczém ruszyła chorągiew obozu Reubena z zastępami swoimi; a nad zastępem jego - Elicur, syn Szedeura; "
Numbers 10:19,"A nad zastępem pokolenia synów Szymeona - Szelumiel, syn Curyszaddaja. "
Numbers 10:20,"A nad zastępem pokolenia synów Gada - Eliasaf, syn Deuela. "
Numbers 10:21,"Zatém ruszyli Kehatydzi, niosący świątynię; ci zaś ustawiali przybytek aż do nadejścia ich. "
Numbers 10:22,"Następnie ruszyła chorągiew obozu synów Efraima z zastępami swojemi; a nad zastępem jego - Eliszama, syn Ammihuda. "
Numbers 10:23,"A nad zastępem pokolenia synów Menaszy - Gamliel, syn Pedacura. "
Numbers 10:24,"A nad zastępem pokolenia synów Binjamina - Abidan, syn Gideoni. "
Numbers 10:25,"Zatém ruszyła chorągiew obozu synów Dana, będąca w odwodzie wszystkich obozów z zastępami ich; a nad zastępem jego - Achiezer, syn Ammiszaddaja. "
Numbers 10:26,"A nad zastępem pokolenia synów Aszera - Pagiel, syn Ochrana. "
Numbers 10:27,"A nad zastępem pokolenia synów Naftali - Achira, syn Enana. "
Numbers 10:28,Oto pochód synów Israela wedle zastępów ich: i tak ciągnęli. 
Numbers 10:29,"I rzekł Mojżesz do Chobaba, syna Reuela, Midjanity, teścia Mojżesza: ""Wyruszamy do miejsca, o którém rzekł Wiekuisty: oddam je wam; pójdź z nami, a wyświadczym ci dobro, gdyż - dobro zapowiedział Wiekuisty Israelowi."" "
Numbers 10:30,"On wszakże odpowiedział mu: ""Nie pójdę; lecz do kraju mojego i do rodzinnego miejsca mojego wrócę"". "
Numbers 10:31,"I rzekł: ""Nie opuszczajże nas; bo wiedząc, gdziebyśmy obozować mogli na pustyni, będziesz okiem naszém; "
Numbers 10:32,"Jeżelibyś poszedł z nami, to z dobrego, które wyświadczy Wiekuisty nam, wyświadczym i tobie"". "
Numbers 10:33,"I wyruszyli od góry Wiekuistego na drogę trzech dni; a arka przymierza Wiekuistego ciągnęła przed nimi w drodze trzydniowej, aby upatrzeć im miejsce odpoczynku. "
Numbers 10:34,"Obłok zaś Wiekuistego był nad nimi we dnie, gdy wyruszyli z obozu. "
Numbers 10:35,"I bywało, gdy wyruszała arka, mawiał Mojżesz: ""Powstań Wiekuisty, a niech rozproszą się wrogi Twoje, a pierzchają nieprzyjaciele Twoi, przed obliczem Twojém!"" "
Numbers 10:36,"A gdy stawała mawiał: ""Wróć Wiekuisty, między krocie tysięcy Israela!"" "
Numbers 11:1,"Ale gdy począł lud utyskiwać niegodziwie w uszach Wiekuistego, usłyszał to Wiekuisty, i wspłonął gniew Jego, i zapalił się w pośród nich ogień Wiekuistego, i począł niszczyć na skraju obozu. "
Numbers 11:2,"I wołał lud do Mojżesza, i pomodlił się Mojżesz do Wiekuistego, - i zgasł ogień; "
Numbers 11:3,"I nadano miejscowości tej miano Tawera, ponieważ płonął w pośród nich ogień Wiekuistego. "
Numbers 11:4,"Pospólstwo zaś, które było między nimi, zaczęło pożądać pożądliwością, zaczęli téż znowu płakać i synowie Israela, mówiąc: ""Któż nakarmi nas mięsem? "
Numbers 11:5,"Wspominamy sobie rybę, którąśmy jadali w Micraim darmo, - arbuzy i dynie, i łuczek, i cebulę i czosnek; "
Numbers 11:6,"A teraz dusza nasza zawiędła: niema nic, tylko na tę mannę oczy nasze!"" "
Numbers 11:7,"Manna zaś jako ziarno koriandrowe była, a wejrzenie jej - niby wejrzenie perły. "
Numbers 11:8,"Rozchodził się lud, a zbierał ją, i mełł w żarnach, albo tłukł w stępie, a warzył w kotle, albo robił z niej pierogi; był zaś smak jej jako smak łakoci na oliwie. "
Numbers 11:9,"A gdy padała rosa na obóz w nocy, spadała téż manna z nią. "
Numbers 11:10,"I słyszał Mojżesz, jak lud płacze po domach swych, każdy u wejścia namiotu swego - i wspłonął gniew Wiekuistego wielce, a i w oczach Mojżesza było to złe; "
Numbers 11:11,"I rzekł Mojżesz do Wiekuistego: ""Czemużeś tak źle uczynił słudze Twemu? Czemużem nie znalazł łaski w oczach Twoich, żeś włożył brzemię całego ludu tego na mnie? "
Numbers 11:12,"Azalim ja począł ten cały lud, azalim ja go zrodził, że powiadasz do mnie: zanieś go na łonie twojém, - jako nosi piastun niemowlę, - do ziemi, którąś zaprzysiągł ojcom jego? "
Numbers 11:13,"Zkąd mi brać mięso, abym dał całemu temu ludowi? - Bo płaczą nademną, mówiąc: daj nam mięsa, abyśmy jedli! "
Numbers 11:14,"Nie mogę ja sam unieść całego ludu tego, bo za ciężkim on dla mnie. "
Numbers 11:15,"A jeżeli już tak postępujesz ze mną, raczej mnie zabij, jeżelim znalazł łaskę w oczach Twoich, abym nie widział nieszczęścia mojego!"" "
Numbers 11:16,"I rzekł Wiekuisty do Mojżesza: ""Zbierz mi siedmdziesięciu mężów ze starszyzny Israela, których znasz, że są starszymi ludu i nadzorcami jego; a przywiedź ich przed przybytek zboru, a niechaj staną tam przy tobie; "
Numbers 11:17,"A ja zstąpię i będę tam mówił z tobą, i oddzielę z ducha, który jest na tobie, i złożę na nich, aby ponieśli z tobą brzemię ludu, a nie dźwigał ty sam. "
Numbers 11:18,"Ludowi zaś powiedz: przygotujcie się na jutro, a będziecie jedli mięso; wszak płakaliście w uszy Wiekuistego, mówiąc: któż nakarmi nas mięsem, bo lepiej nam było w Micraim! - przeto da wam Wiekuisty mięsa, i będziecie jedli. "
Numbers 11:19,"Nie jeden dzień jeść będziecie, ani dwa dni, ani pięć dni, ani dziesięć dni, ani dwadzieścia dni, -  "
Numbers 11:20,"Lecz z miesiąc czasu, póki nie wyjdzie przez nozdrza wasze, a stanie się wam obmierzłém, przeto żeście wzgardzili Wiekuistym, który w pośród was, a płakali przed Nim, mówiąc: nacóżeśmy wyszli z Micraim?"" "
Numbers 11:21,"I rzekł Mojżesz: ""Sześćkroć sto tysięcy pieszych w ludzie, między którym przebywam, - a Ty powiadasz: dam im mięsa, że będą jadali cały miesiąc: "
Numbers 11:22,"Alboż się im owiec i wołów narżnie, aby im starczyło, alboż wszystkie ryby morza zbierze się dla nich, aby dostało im?"" "
Numbers 11:23,"I rzekł Wiekuisty do Mojżesza: ""Azali ręka Wiekuistego za krótka? Oto zobaczysz, czy spełni ci się słowo Moje, czy nie!"" "
Numbers 11:24,I wyszedł Mojżesz i opowiedział ludowi słowa Wiekuistego; zebranych zaś siedmdziesięciu mężów ze starszyzny ludu postawił koło przybytku. 
Numbers 11:25,"I zstąpił Wiekuisty w obłoku i mówił z nim, i oddzielił z ducha, który na nim i złożył na siedmdziesięciu mężach starszych; i stało się, że z zejściem na nich ducha prorokowali, a nie przestali. "
Numbers 11:26,"Pozostali zaś dwaj mężowie w obozie, imię jednego Eldad, a imię drugiego Medad; ale spoczął i na nich duch - należeli bowiem do zapisanych, choć nie byli wyszli do przybytku - i prorokowali w obozie; "
Numbers 11:27,"I przybiegł pacholik i opowiedział Mojżeszowi, i rzekł: ""Eldad i Medad prorokują w obozie!"" "
Numbers 11:28,"Tedy odezwał się Jehoszua, syn Nuna, sługa Mojżesza od młodości swojej, i rzekł: ""Panie mój, Mojżeszu, powstrzymaj ich!"" "
Numbers 11:29,"I odpowiedział mu Mojżesz: ""Czyż zazdrosnym jesteś o mnie? Bodajby cały lud Wiekuistego w proroków się zamienił, jeżeli złoży Wiekuisty ducha swego na nich!"" "
Numbers 11:30,"I wrócił Mojżesz do obozu, - on i starsi Israela. "
Numbers 11:31,"I zerwał się wiatr od Wiekuistego, i naniósł przepiórek od morza; i rzucił je na obóz, na dzień drogi z jednej, i na dzień drogi z drugiej strony, wokoło obozu, a na dwa łokcie nad ziemię; "
Numbers 11:32,"I zabrał się lud cały ów dzień, i całą noc, i cały dzień następny, by zbierać przepiórki; najostatniejszy zebrał dziesięć chomerów; i rozłożyli je sobie pokładami w około obozu. "
Numbers 11:33,"Mięso jeszcze było w zębach ich, jeszcze zżute nie zostało, gdy gniew Wiekuistego wspłonął na lud, i poraził Wiekuisty lud klęską bardzo wielką. "
Numbers 11:34,"I nadano miejscowości tej miano: Kibroth-Hataawa, gdyż tam pochowano ludzi pożądliwych. "
Numbers 11:35,"Z Kibroth-Hataawy ruszył lud do Chacerotu, - i zostawał w Chacerocie. "
Numbers 12:1,"I rozprawiała Mirjam wraz z Ahronem o Mojżeszu, z powodu żony Kuszytanki, którą pojął; gdyż żonę Kuszytankę był pojął. "
Numbers 12:2,"I rzekli: ""Alboż tylko z Mojżeszem mówił Wiekuisty? Wszak mówił On i z nami!"" I usłyszał to Wiekuisty. "
Numbers 12:3,"A Mojżesz, jako człowiek, był skromnym bardzo, bardziej niż który człowiek na ziemi. "
Numbers 12:4,"I rzekł Wiekuisty nagle do Mojżesza, i do Ahrona, i do Mirjam: ""Wyjdźcie wy troje do przybytku zboru!"" I wyszli we troje. "
Numbers 12:5,"I zstąpił Wiekuisty w słupie obłocznym, i stanął u wejścia przybytku, i zawołał: ""Ahron i Mirjam!"" - i wyszli oboje. "
Numbers 12:6,"I rzekł: ""Posłuchajcie słów Moich! Jeżeli kto u was - prorokiem Wiekuistego, Ja w widzeniu mu się objawiam, za pośrednictwem snu przemawiam do niego; "
Numbers 12:7,Nie tak sługa Mój Mojżesz: w całym domu Moim uwierzytelniony on. 
Numbers 12:8,"Z ust do ust przemawiam do niego; a jawnie i nie w zagadkach, a obraz Wiekuistego widzi: jakże nie obawialiście się rozprawiać o słudze Moim Mojżeszu?"" "
Numbers 12:9,"I wspłonął gniew Wiekuistego na nich, i odszedł. "
Numbers 12:10,"A zaledwie ustąpił obłok z nad przybytku, a oto pokryła się Mirjam trądem, jakby śniegiem. I zwrócił się Ahron ku Mirjam, a oto, trędowata! "
Numbers 12:11,"I rzekł Ahron do Mojżesza: ""Proszę, panie mój, nie chciej poczytywać nam za grzech, żeśmy się otumanili, - żeśmy zgrzeszyli! "
Numbers 12:12,"Niechajże nie będzie ona jak ów płód martwy, któremu przy wyjściu z łona matki już odgniła połowa ciała!"" "
Numbers 12:13,"I zawołał Mojżesz do Wiekuistego, i rzekł: ""O Boże, uzdrówże ją!"" "
Numbers 12:14,"I rzekł Wiekuisty do Mojżesza: ""Gdyby ojciec plunął jej w twarz, czyżby się nie rumieniła siedm dni? Zamkniętą niechaj będzie przez siedm dni po za obozem, a następnie niechaj wróci!"" "
Numbers 12:15,"I zamkniętą została Mirjam po za obozem przez siedm dni; lud zaś nie wyruszył, póki nie wróciła Mirjam. "
Numbers 12:16,"Poczém wyruszył lud z Chacerotu, i stanął obozem w puszczy Paran. "
Numbers 13:1,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Numbers 13:2,"""Wyszlij sobie mężów, aby wypatrzyli ziemię Kanaan, którą oddaję synom Israela, - po jednym mężu z każdego pokolenia ojców ich poszlecie; wszystkich z dostojniejszych między nimi."" "
Numbers 13:3,"I wysłał ich Mojżesz z puszczy Paran, według rozkazu Wiekuistego; a wszyscy oni - mężowie przedniejsi u synów Israela. "
Numbers 13:4,"A oto imiona ich: z pokolenia Reubena - Szammua, syn Zakkura. "
Numbers 13:5,"Z pokolenia Szymeona - Szafat, syn Chori'ego. "
Numbers 13:6,"Z pokolenia Jehudy - Kaleb, syn Jefunny. "
Numbers 13:7,"Z pokolenia Isachara - Igal, syn Josefa. "
Numbers 13:8,"Z pokolenia Efraima - Hoszea, syn Nuna. "
Numbers 13:9,"Z pokolenia Binjamina - Palty, syn Rafua. "
Numbers 13:10,"Z pokolenia Zebuluna - Gadiel, syn Sodi'ego. "
Numbers 13:11,"Z pokolenia Josefa, z pokolenia Menaszy - Gaddy, syn Susi'ego. "
Numbers 13:12,"Z pokolenia Dana - Ammiel, syn Gemallego. "
Numbers 13:13,"Z pokolenia Aszera - Sethur, syn Michaela. "
Numbers 13:14,"Z pokolenia Naftali - Nachby, syn Wafsi'ego. "
Numbers 13:15,"Z pokolenia Gada - Geuel, syn Machi'ego. "
Numbers 13:16,"Oto imiona mężów, których wysłał Mojżesz, aby rozpatrzyli ziemię. Nazwał zaś Mojżesz Hoszeę, syna Nuna: Jehoszua. "
Numbers 13:17,"Wysłał ich tedy Mojżesz, aby wypatrzyli ziemię Kanaan, i rzekł do nich: ""Wstąpcie po tej suchej wyniosłości, a wnijdźcie na górę; "
Numbers 13:18,"I obejrzcie ziemię, jaką ona, i lud, który mieszka na niej, czy silny on, czy słaby, czy nieliczny, czy wielki. "
Numbers 13:19,"I jaką ziemia, którą zamieszkuje, czy dobra, czy zła; jakie téż są miasta w których przebywa, czy w obozowiskach, czy w twierdzach? "
Numbers 13:20,"I co za gleba, czy żyzna ona, czy płonna; czy są na niej drzewa, czy nie? A bądźcie mężni, i weźcie ze sobą z owoców tej ziemi"". Czas zaś był wtedy - czas dojrzewania winogron. "
Numbers 13:21,"I poszli i wypatrzyli ziemię od pustyni Cyn, do Rechobu, idąc ku Chamath. "
Numbers 13:22,"I wstąpili po suchej wyniosłości i dotarli aż do Chebronu, gdzie byli Achiman, Szeszai i Talmai, potomkowie Enaka; Chebron zaś zbudowany był na siedm lat przed Coanem w Micraim; "
Numbers 13:23,"I doszli aż do doliny Eszkol i ucięli tam latorośl z jedném gronem jagód winnych, i nieśli ją na drążku we dwoje; niemniej z granatowych jabłek i z fig. "
Numbers 13:24,"Miejscowość tę nazwano doliną Eszkol, z powodu grona winnego, które byli ucięli tam synowie Israela. "
Numbers 13:25,"I wrócili po rozpatrzeniu ziemi, ku końcowi czterdziestu dni. "
Numbers 13:26,"I poszli i przybyli do Mojżesza, i do Ahrona, i do całego zboru synów Israela na puszczę Paran, do Kadeszu, i zdali sprawę im, i całemu zborowi, i pokazali im owoce ziemi. "
Numbers 13:27,"I opowiadali mu i rzekli: ""Przyszliśmy do ziemi, do którejś nas wysłał, i rzeczywiście płynie ona mlekiem i miodem, a oto owoce jej! "
Numbers 13:28,"Tylko, że silnym lud, zamieszkujący tę ziemię, miasta téż warowne są, wielkie bardzo; a i potomków Enaka widzieliśmy tam. "
Numbers 13:29,"Amalek zamieszkuje stronę ziemi południową; a Chyttejczyk, Jebusyta, i Emorejczyk mieszka po górach; Kanaanejczyk zaś mieszka nad morzem i nad brzegiem Jordanu."" "
Numbers 13:30,"I uspakajał Kaleb lud wzburzony na Mojżesza i rzekł: ""Wnijść wnijdziemy, a zdobędziem ją, bo podołać podołamy jej!"" "
Numbers 13:31,"Mężowie wszakże, którzy chodzili z nim rzekli: ""Nie możemy wnijść do ludu tego, gdyż silniejszym on od nas!"" "
Numbers 13:32,"I rozpuścili złą wieść o ziemi, którą wypatrzyli, między synami Israela, mówiąc: ""Ziemia, którąśmy przeszli dla wypatrzenia jej, ziemia to pożerająca mieszkańców swoich; a wszystek lud, któryśmy widzieli w niej, - ludzie to rośli. "
Numbers 13:33,"Tam téż widzieliśmy i olbrzymów, synów Enaka, z rodu olbrzymów, a byliśmy w oczach naszych jako szarańcza, i takimi téż byliśmy w oczach ich"". "
Numbers 14:1,Poruszył się tedy cały zbór i rozpłakali się na głos; i płakał lud nocy owej; 
Numbers 14:2,"I szemrali przeciw Mojżeszowi i przeciw Ahronowi wszyscy synowie Israela, i rzekł do nich cały zbór: ""Gdybyśmy téż pomarli byli w ziemi Micraim, albo na pustyni tej gdybyśmy pomarli! "
Numbers 14:3,"A po co Wiekuisty prowadzi nas do ziemi tej? - abyśmy padli od miecza? - aby żony nasze i dzieci nasze stały się łupem? Czyżby nie lepiej nam było wrócić do Micraim?"" "
Numbers 14:4,"I rzekli jeden do drugiego: ""Ustanówmy sobie wodza, i wróćmy do Micraim!"" "
Numbers 14:5,Tedy padł Mojżesz i Ahron na oblicze swoje wobec całego zgromadzenia - zboru synów Israela. 
Numbers 14:6,"A Jehoszua syn Nuna, i Kaleb, syn Jefunny, z wywiadowców ziemi, rozdarli szaty swoje, -  "
Numbers 14:7,"I rzekli do całego zboru synów Israela, mówiąc: ""Ziemia, którąśmy przeszli, aby wypatrzeć ją, dobra to ziemia, bardzo dobra. "
Numbers 14:8,"Jeżeli upodoba nas Sobie Wiekuisty, tedy zaprowadzi nas do tej ziemi, i odda ją nam, tę ziemię, płynącą mlekiem i miodem; "
Numbers 14:9,"Tylko Wiekuistemu nie bądźcie przekorni, a ludu owej ziemi nie bójcie się, bo strawą oni naszą; odstąpił cień ich od nich, a Wiekuisty z nami: nie obawiajcież się ich!"" "
Numbers 14:10,Ale zamierzył cały zbór ukamionować ich kamieniami: lecz Majestat Wiekuistego ukazał się w przybytku zboru przed wszystkimi synami Israela. 
Numbers 14:11,"I rzekł Wiekuisty do Mojżesza: ""Dopókiż jeszcze lżyć Mnie będzie lud ten? Dopókiż ufać mi nie będzie, wobec wszystkich znamion, którem spełnił w pośród niego? "
Numbers 14:12,"Porażę go morem i wyplenię go, a uczynię z ciebie naród większy i silniejszy od niego!"" "
Numbers 14:13,"Ale rzekł Mojżesz do Wiekuistego: ""Oto usłyszą Micrejczycy, z pośród których wywiodłeś mocą Twoją lud ten, -  "
Numbers 14:14,"A powiedzą to mieszkańcom ziemi tej, którzy już słyszeli, żeś Ty Wiekuisty wpośród ludu tego, żeś oko w oko się im ukazał, Ty Wiekuisty, że obłok Twój stoi nad nimi, i że w słupie obłocznym kroczysz przed nimi we dnie, a w słupie ognistym w nocy; -  "
Numbers 14:15,"Gdybyś tedy zgładził ten lud aż do jednego, - rzekłyby narody, które słyszały o sławie Twojej, mówiąc: "
Numbers 14:16,"Ponieważ nie mógł Wiekuisty wprowadzić ludu tego do ziemi, którą im zaprzysiągł, - przeto wytępił ich na pustyni! "
Numbers 14:17,"Niech się tedy wielką okaże siła Wiekuistego, jakeś wyrzekł w słowach: "
