Index Title,Leviticus
Leviticus 7:36,Co rozkazał Wiekuisty dawać im od dnia namaszczenia ich od synów Israela. Ustawa to wieczna w pokoleniach ich. 
Leviticus 7:37,"Oto przepis o całopaleniu, i o ofierze śniednej i zagrzesznej i pokutnej, i o ofierze wyświęcenia i o ofierze opłatnej, "
Leviticus 7:38,"Który polecił Wiekuisty Mojżeszowi u góry Synai, gdy rozkazał synom Israela na puszczy Synajskiej, aby przynosili ofiary swoje Wiekuistemu. "
Leviticus 8:1,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 8:2,"""Weź Ahrona i synów jego z nim, i szaty, i olej namaszczenia, i cielca ofiary zagrzesznej, i dwa barany i kosz przaśników. "
Leviticus 8:3,"A cały zbór zgromadź u wejścia do przybytku zboru"". "
Leviticus 8:4,"I uczynił Mojżesz, jako mu rozkazał Wiekuisty; i zgromadził się cały zbór u wejścia do przybytku zboru. "
Leviticus 8:5,"I rzekł Mojżesz do zboru: ""Oto co rozkazał Wiekuisty uczynić!"" "
Leviticus 8:6,I kazał przystąpić Mojżesz Ahronowi i synom jego i obmył ich wodą. 
Leviticus 8:7,"I włożył nań spodnią szatę, i opasał go pasem, i przyoblókł go w płaszcz, i włożył nań naramiennik, i przepasał go pasem naramiennika, i przytwierdził nim naramiennik na nim. "
Leviticus 8:8,"I włożył nań napierśnik, i złożył do napierśnika Urim i Thumim. "
Leviticus 8:9,"Włożył téż zawój na głowę jego, a do zawoju z przedniej strony jego przytwierdził diadem złoty, koronę świętą, jak przykazał Wiekuisty Mojżeszowi. "
Leviticus 8:10,"I wziął Mojżesz olej namaszczenia, i namaścił przybytek, i wszystko co w nim, i poświęcił to. "
Leviticus 8:11,"I pokropił nim ofiarnicę siedmkroć, i namaścił ofiarnicę i wszystkie przybory jej, i umywalnię i podnóże jej, aby je poświęcić. "
Leviticus 8:12,"I polał oleju namaszczenia na głowę Ahrona, i namaścił go, aby go poświęcić. "
Leviticus 8:13,"Kazał téż przystąpić Mojżesz synom Ahrona i przybrał ich w spodnie szaty, i opasał ich pasem, i okrył głowy ich mitrami, jak przykazał Wiekuisty Mojżeszowi. "
Leviticus 8:14,"I przywiódł cielca zagrzesznego, i położyli Ahron i synowie jego ręce swoje na głowę cielca zagrzesznego. "
Leviticus 8:15,"I zarznął go, i wziął Mojżesz nieco krwi i pomazał narożniki ofiarnicy w około palcem swoim, i oczyścił ofiarnicę, a pozostałą krew wylał u podstawy ofiarnicy, i poświęcił ją, aby rozgrzeszać na niej. "
Leviticus 8:16,"I wziął cały łój pokrywający trzewa, i przeponę nad wątrobą i obie nerki, i łój ich, i puścił z dymem na ofiarnicy; "
Leviticus 8:17,"A cielca, i skórę jego, i mięso jego, i nieczystość jego spalił w ogniu za obozem, jak rozkazał Wiekuisty Mojżeszowi. "
Leviticus 8:18,"I przywiódł barana na całopalenie, i położyli Ahron i synowie jego ręce swoje na głowę barana. "
Leviticus 8:19,"I zarznął go, i pokropił Mojżesz krwią jego ofiarnicę w około. "
Leviticus 8:20,"A barana porąbał w kawały, i puścił z dymem Mojżesz głowę, i kawały i tłuszcz. "
Leviticus 8:21,"A trzewa i golenie obmył wodą, i puścił z dymem Mojżesz całego barana na ofiarnicy: całopalenie to na woń przyjemną; ogniowa to ofiara Wiekuistemu, jak przykazał Wiekuisty Mojżeszowi. "
Leviticus 8:22,"Zatém przywiódł barana drugiego, barana wyświęcenia, i położyli Ahron i synowie jego ręce swoje na głowę barana. "
Leviticus 8:23,"I zarznął go, i wziął Mojżesz nieco krwi jego i włożył na chrząstkę prawego ucha Ahrona, i na wielki palec ręki jego prawej, i na wielki palec nogi jego prawej. "
Leviticus 8:24,"I kazał przystąpić synom Ahrona, i włożył Mojżesz nieco krwi na chrząstkę prawego ucha ich, i na wielki palec ręki ich prawej, i na wielki palec nogi ich prawej, i pokropił Mojżesz krwią ofiarnicę w około: "
Leviticus 8:25,"I wziął łój i ogon, i wszystek łój pokrywający trzewa, i przeponę wątroby, i obie nerki i łój ich, i łopatkę prawą; "
Leviticus 8:26,"A z kosza przaśników, który przed Wiekuistym, wziął kołacz przaśny jeden, i bochen chleba z oliwą jeden, i ołatek jeden, i położył na łoje i na łopatkę prawą; "
Leviticus 8:27,"I położył to wszystko na dłonie Ahrona, i na dłonie synów jego, i stawił to jako przedstawienie przed obliczem Wiekuistego; "
Leviticus 8:28,"I wziął to Mojżesz z rąk ich, i puścił z dymem na ofiarnicy przy całopaleniu; ofiara to wyświęcenia, na woń przyjemną, - ogniowa to ofiara Wiekuistemu. "
Leviticus 8:29,"Wziął téż Mojżesz mostek, i przedstawił go jako przedstawienie przed obliczem Wiekuistego: z barana wyświęcenia, Mojżesza był to udział, jak rozkazał Wiekuisty Mojżeszowi. "
Leviticus 8:30,"I wziął również Mojżesz oleju namaszczenia i nieco krwi, która była na ofiarnicy, i pokropił Ahrona i szaty jego, i synów jego, i szaty synów jego z nim; i tak poświęcił Ahrona i szaty jego, i synów jego, i szaty synów jego z nim. "
Leviticus 8:31,"I rzekł Mojżesz do Ahrona i do synów jego: ""Ugotujcie to mięso u wejścia do przybytku zboru, i tam je jedzcie z chlebem, który w koszu upełnomocnienia, jak mi przykazano i powiedziano: Ahron i synowie jego jeść je mają. "
Leviticus 8:32,"A coby pozostało z mięsa i z chleba, w ogniu spalicie. "
Leviticus 8:33,"A od wejścia przybytku zboru nie odejdziecie przez siedm dni, aż do dnia, którego wypełni się czas upełnomocnienia waszego; bo przez siedm dni upełnomocniane będą ręce wasze. "
Leviticus 8:34,"Jako się stało dnia dzisiejszego, tak przykazał Wiekuisty czynić i nadal, dla rozgrzeszenia waszego. "
Leviticus 8:35,"A u wejścia przybytku zboru zostawać będziecie dzień i noc, przez siedm dni, a będziecie przestrzegali służby Wiekuistego, abyście nie pomarli; bo tak mi rozkazano."" "
Leviticus 8:36,"I uczynili Ahron i synowie jego to wszystko, co rozkazał Wiekuisty przez Mojżesza. "
Leviticus 9:1,"I stało się dnia ósmego, wezwał Mojżesz Ahrona i synów jego i starszych Israela. "
Leviticus 9:2,"I rzekł do Ahrona: ""Weźmiesz sobie cielca młodego na ofiarę zagrzeszną, i barana na całopalenie, zdrowe, i przywiedziesz je przed oblicze Wiekuistego; "
Leviticus 9:3,"Synom zaś Israela powiedz tak: weźmiecie sobie kozła na ofiarę zagrzeszną, i cielca i jagnię, roczniaki zdrowe, na całopalenie. "
Leviticus 9:4,"Wołu téż i barana - na ofiary opłatne, dla ofiarowania przed obliczem Wiekuistego, i ofiarę śniedną zaczynioną oliwą; albowiem dziś Wiekuisty ukaże się wam."" "
Leviticus 9:5,I przynieśli co rozkazał Mojżesz przed przybytek zboru; i przystąpił cały zbór i stanął przed Wiekuistym. 
Leviticus 9:6,"I rzekł Mojżesz: ""To, co rozkazał Wiekuisty, uczyńcie a ukaże się wam Majestat Wiekuistego."" "
Leviticus 9:7,"Rzekł zaś Mojżesz do Ahrona: ""Przystąp do ofiarnicy i spełnij ofiarę twą zagrzeszną i całopalenie twoje, i dopełnij rozgrzeszenia za siebie i za lud; spełnij téż ofiarę od ludu i dopełnij rozgrzeszenia za nich, jak rozkazał Wiekuisty."" "
Leviticus 9:8,"I przystąpił Ahron do ofiarnicy, i zarznął cielca zagrzesznego za siebie; "
Leviticus 9:9,"I podali mu synowie Ahrona krew, i zamoczył palec swój we krwi, i pomazał narożniki ofiarnicy; krew zaś pozostałą wylał u podstawy ofiarnicy; "
Leviticus 9:10,"Łój zaś i nerki i przeponę wątroby z ofiary zagrzesznej puścił z dymem na ofiarnicy, jak rozkazał Wiekuisty Mojżeszowi. "
Leviticus 9:11,A mięso i skórę spalił w ogniu za obozem. 
Leviticus 9:12,"Zarznął téż całopalenie, i podali mu synowie Ahrona krew, i pokropił nią ofiarnicę w około; "
Leviticus 9:13,"I całopalenie podali mu w kawałach jego, wraz z głową, i puścił je z dymem na ofiarnicy. "
Leviticus 9:14,"I wymył trzewa i golenie, i puścił z dymem wraz z całopaleniem, na ofiarnicy. "
Leviticus 9:15,"Poczém przywiódł ofiarę od ludu, i wziął kozła zagrzesznego ludu, i zarznął go, i spełnił obrządek rozgrzeszenia, jak u pierwszego. "
Leviticus 9:16,I przyniósł całopalenie i spełnił je wedle przepisu. 
Leviticus 9:17,"Przyniósł téż ofiarę śniedną, i napełnił nią dłoń swoję i puścił z dymem na ofiarnicy, oprócz całopalenia porannego. "
Leviticus 9:18,"I zarznął wołu i barana na ofiarę okupną za lud; i podali mu synowie Ahrona krew, i pokropił nią ofiarnicę w około. "
Leviticus 9:19,"I łoje téż z wołu, i z barana ogon, i pokrywający łój, i nerki i przeponę wątroby. "
Leviticus 9:20,"I włożyli łoje na mostki, i puścił z dymem łoje na ofiarnicy. "
Leviticus 9:21,"A mostki i łopatkę prawą - stawił Ahron jako przedstawienie przed Wiekuistym, jako był rozkazał Mojżesz. "
Leviticus 9:22,"I podniósł Ahron ręce swoje do ludu i błogosławił im; i zstąpił, spełniwszy ofiarę zagrzeszną, i całopalenie i ofiarę okupną. "
Leviticus 9:23,"I wszedł Mojżesz i Ahron do przybytku zboru; i wyszli, i pobłogosławili lud. I ukazał się Majestat Wiekuistego całemu ludowi: "
Leviticus 9:24,I wyszedł ogień z przed Wiekuistego i pochłonął na ofiarnicy całopalenie i łoje; i widział to lud cały i wydali okrzyk i padli na oblicze swoje. 
Leviticus 10:1,"I wzięli synowie Ahrona - Nadab i Abihu, każdy kadzielnicę swoję, i włożyli w nie ognia, i położyli nań kadzidła, i tak przynieśli przed oblicze Wiekuistego ogień nieuświęcony, którego nie przykazał im. "
Leviticus 10:2,I wyszedł ogień z przed oblicza Wiekuistego i pochłonął ich; i pomarli przed obliczem Wiekuistego. 
Leviticus 10:3,"I rzekł Mojżesz do Ahrona: ""Oto co powiedział Wiekuisty, gdy rzekł: ""Przez blizkich Mi uświęconym będę, i w obliczu całego ludu sławionym!"" I zamilkł Ahron. "
Leviticus 10:4,"I wezwał Mojżesz Miszaela i Elcafana, synów Uzyela, stryja Ahrona, i rzekł do nich: ""Przystąpcie, a wynieście braci waszych ze świątyni, po za obóz."" "
Leviticus 10:5,"I przystąpili i wynieśli ich w spodnich szatach ich po za obóz, jak powiedział Mojżesz. "
Leviticus 10:6,"I rzekł Mojżesz do Ahrona, i do Elazara i Ithamara, synów jego: ""Głów waszych nie obnażajcie, a szat waszych nie rozdzierajcie, abyście nie pomarli, a Bóg nie rozgniewał się na zbór cały. Ale bracia wasi, wszystek dom Israela niech opłakuje ten pożar, który rozpalił Wiekuisty. "
Leviticus 10:7,"A za drzwi przybytku zboru nie wychodźcie, abyście nie pomarli; gdyż olej namaszczenia Wiekuistego na was."" I uczynili według słowa Mojżesza. "
Leviticus 10:8,"I oświadczył Wiekuisty Ahronowi, i rzekł: "
Leviticus 10:9,"""Wina, ani mocnego napoju nie będziesz pijał, ani ty, ani synowie twoi z tobą, gdy będziecie mieli wchodzić do przybytku zboru, abyście nie pomarli. Ustawa to wieczna w pokoleniach waszych. "
Leviticus 10:10,"Abyście rozróżniali między świętém, a powszedniém, i między nieczystém a czystém. "
Leviticus 10:11,"I abyście nauczali synów Israela wszystkich ustaw, które powiedział im Wiekuisty przez Mojżesza."" "
Leviticus 10:12,"I rzekł Mojżesz do Ahrona, i do Elazara i Ithamara, synów jego pozostałych: ""Weźcie ofiarę śniedną, pozostałą z ogniowych ofiar Wiekuistego, a jedzcie ją jako przaśniki przy ofiarnicy; bo świętém świętości ona. "
Leviticus 10:13,"Przeto jedzcie ją na miejscu świętém, bo to udział twój, i udział synów twoich z ogniowych ofiar Wiekuistego; bo mi tak rozkazano. "
Leviticus 10:14,"Mostek zaś przedstawienia i łopatkę podniesienia spożywać będziecie na miejscu czystém, ty, i synowie twoi i córki twoje z tobą; bo w udziale tobie i w udziale synom twoim dane zostały, z ofiar opłatnych synów Israela. "
Leviticus 10:15,"Łopatkę podniesienia i mostek przedstawienia przynosić będą wraz z ogniowemi ofiarami łojów, aby stawić przedstawienie przed obliczem Wiekuistego; i niechaj to będzie dla ciebie i dla synów twoich z tobą, udziałem Wiecznym, jak rozkazał Wiekuisty."" "
Leviticus 10:16,"A kozła zagrzesznego poszukiwał Mojżesz, a oto spalony został. I gniewał się na Elazara i na Ithamara, synów Ahrona pozostałych, i rzekł: "
Leviticus 10:17,"""Czemuście nie jedli ofiary zagrzesznej na miejscu świętém? Wszak to świętem świętości, a dano ją wam dla zniesienia winy zboru, aby rozgrzeszyć ich przed Wiekuistym. "
Leviticus 10:18,"Oto nie wniesiona krew jej do świątyni, do wnętrza; a mieliście jeść ją w świątyni, jak mi rozkazano!"" "
Leviticus 10:19,"I rzekł Ahron do Mojżesza: ""Oto dzisiaj przynieśli ofiarę swą zagrzeszną i całopalenie swoje przed oblicze Wiekuistego, a spotkało mnie to: gdybym był jadł dziś ofiarę zagrzeszną, czyżby się to podobało Wiekuistemu?"" "
Leviticus 10:20,"I usłyszał to Mojżesz, i spodobało się w oczach jego. "
Leviticus 11:1,"I oświadczył Wiekuisty Mojżeszowi i Ahronowi, i rzekł im: "
Leviticus 11:2,"""Powiedzcie synom Israela tak: Oto zwierzęta, które jeść możecie, ze wszystkiego bydła, znajdującego się na ziemi: "
Leviticus 11:3,"Wszelkie bydlę mające rozdwojone kopyta, i rozszczepiające kopyta przecięcie, przeżuwające żułek, z pomiędzy bydła, - takie jeść możecie. "
Leviticus 11:4,"Wszakże tych jadać nie będziecie z przeżuwających i mających rozdwojone kopyta: wielbłąda, ponieważ przeżuwa, ale rozdwojonych kopyt nie ma: nieczystym on dla was. "
Leviticus 11:5,"I góralka, ponieważ przeżuwa, ale rozdwojonych kopyt nie ma: nieczystym on dla was. "
Leviticus 11:6,"I zająca, ponieważ przeżuwa żułek, ale rozdwojonych kopyt nie ma: nieczystym on dla was. "
Leviticus 11:7,"I wieprza, ponieważ ma rozdwojone kopyta i rozszczepiające kopyta przecięcie, ale przeżuwać nie przeżuwa: nieczystym on dla was. "
Leviticus 11:8,"Mięsa ich nie jadajcie, a padliny ich się nie dotykajcie: nieczyste one dla was. "
Leviticus 11:9,"Oto co jeść możecie ze wszystkiego co w wodzie: wszystko co ma płetwy i łuski, w wodzie, w morzach albo rzekach, - to jeść możecie. "
Leviticus 11:10,"Wszystko zaś, co nie ma płetw i łuski, bądź w morzach, bądź w rzekach, ze wszystkiego, co się porusza w wodzie, i ze wszelkiej istoty żyjącej w wodzie, - obrzydliwością są dla was. "
Leviticus 11:11,"I obrzydliwością niechaj zostaną dla was; mięsa ich nie jadajcie, a padliną ich brzydźcie się! "
Leviticus 11:12,"Wszystko, co nie ma płetw i łuski, w wodzie, obrzydliwością jest dla was. "
Leviticus 11:13,"Temi zaś brzydzić się będziecie z ptactwa, nie będą jadane, bo obrzydliwe są: orłem i kondorem i sępem. "
Leviticus 11:14,I sokołem i krogulcem według rodzaju ich; 
Leviticus 11:15,Każdym krukiem według rodzaju jego; 
Leviticus 11:16,"I strusiem, i sową, i mewą i jastrzębiem, według rodzajów ich; "
Leviticus 11:17,I puhaczem i puszczykiem. 
Leviticus 11:18,I łyską i pelikanem i ścierwowcem. 
Leviticus 11:19,"I czaplą i bekasem według rodzaju ich, i dudkiem, i nietoperzem. "
Leviticus 11:20,"Wszelki rój skrzydlaty, chodzący na czworakach, obrzydliwością będzie dla was. "
Leviticus 11:21,"Wszakże to jadać możecie ze wszystkich rojów skrzydlatych, chodzących na czworakach, mające stawy powyżej nóg, dla skakania niemi po ziemi. "
Leviticus 11:22,"Te z nich jadać możecie: szarańczę według rodzaju jej, i solam według rodzaju jego, i chargol według rodzaju jego, i chagab według rodzaju jego. "
Leviticus 11:23,"Ale wszelki inny rój skrzydlaty, czworonożny, - obrzydliwością będzie dla was. "
Leviticus 11:24,"A oto temi pokalacie się, tak, że ktoby się dotknął zdechliny ich, nieczystym będzie do wieczora, -  "
Leviticus 11:25,"A ktoby uniósł co ze zdechliny ich, wypierze szaty swoje i nieczystym będzie do wieczora: "
Leviticus 11:26,"Wszelkie bydlę, które ma rozdwojone kopyta, ale rozszczepiającego przecięcia nie ma, a przeżuwać nie przeżuwa - nieczystém wam będzie; ktoby się dotknął padliny ich, nieczystym będzie. "
Leviticus 11:27,"A cokolwiek chodzi na łapach, z pomiędzy wszystkich zwierząt czworonożnych, - nieczyste są dla was; ktokolwiek by się dotknął padliny ich, nieczystym będzie do wieczora. "
Leviticus 11:28,"A ktoby uniósł padlinę ich, wypierze szaty swoje i nieczystym będzie do wieczora: nieczyste one dla was. "
Leviticus 11:29,"A oto co nieczystém dla was z pomiędzy pełzających, które pełzają po ziemi: kret i mysz i jaszczurka według rodzajów ich. "
Leviticus 11:30,"I jeż, i krzeczek, i salamandra, i ślimak i chameleon. "
Leviticus 11:31,"Te nieczyste wam będą ze wszystkich pełzających: ktoby się dotknął ich, gdy są martwe, nieczystym będzie do wieczora. "
Leviticus 11:32,"I wszystko, na co padnie którekolwiek martwe z nich, nieczystém będzie; wszelkie drewniane naczynie, albo szata, albo skóra, albo wór, wszelkie naczynie, którém się spełnia robota - do wody włożone będzie i nieczystém zostanie do wieczora, a następnie czystém jest. "
Leviticus 11:33,"Wszelkie zaś naczynie gliniane, gdyby które z nich wpadło w nie, to, co w niém się znajduje, nieczystém się stanie, a samo potłuczone będzie. "
Leviticus 11:34,"Wszelki pokarm, który się jada, na którym była woda, nieczysty będzie, i wszelki napój, który się pija w każdém takiém naczyniu, nieczystym będzie. "
Leviticus 11:35,"Wszystko, téż, na coby padło cokolwiek z padliny ich, nieczystém będzie: piec i ognisko rozbite zostaną; nieczyste są i nieczyste zostaną dla was. "
Leviticus 11:36,"Wszakże źródło i studnia, jako zbiór wody, czyste zostaną; ale kto dotknie się padliny ich nieczystym będzie. "
Leviticus 11:37,"A jeżeliby upadło cokolwiek z padliny ich na jakie nasienie siewu, który się wysiewa, czyste zostanie. "
Leviticus 11:38,"Gdyby jednak wylana była woda na nasienie, a upadło by co z padliny ich na nie, nieczyste będzie dla was. "
Leviticus 11:39,"A jeżeliby zdechło bydło używane przez was na pokarm, ktoby się dotknął padliny jego, nieczystym będzie do wieczora. "
Leviticus 11:40,"A ktoby jadł co z padliny jego, wypierze szaty swoje, i nieczystym będzie do wieczora; a ktoby poniósł padlinę jego, wypierze szaty swoje, i nieczystym będzie do wieczora. "
Leviticus 11:41,"Wszelki płaz, który się czołga po ziemi, obrzydliwością jest: nie będzie jadany. "
Leviticus 11:42,"Cokolwiek się czołga po brzuchu i wszystko, co pełza na czworakach, aż do wszystkich wielonożnych ze wszystkich płazów pełzających na ziemi, jadać ich nie będziecie, bo obrzydliwością są. "
Leviticus 11:43,"Nie splugawiajcie dusz waszych którymkolwiek płazem czołgającym się, i nie zanieczyszczajcie się niemi, byście nie byli nieczystymi przez nie. "
Leviticus 11:44,"Albowiem Ja Wiekuisty Bóg wasz: poświęcajcie się, a bądźcie świętymi, bom Ja święty, i nie zanieczyszczajcie dusz waszych żadnym płazem pełzającym na ziemi. "
Leviticus 11:45,"Albowiem Ja Wiekuisty, którym wywiódł was z ziemi Micraim, bym był wam Bogiem; i tak bądźcie świętymi, bom Ja święty."" "
Leviticus 11:46,"Oto nauka o bydle i ptactwie i wszelkiém jestestwie żyjącém, które się porusza w wodach, i o wszelkiém jestestwie pełzającém po ziemi. "
Leviticus 11:47,"Aby rozróżniać między czystém a nieczystém, i między zwierzęciem, które jadaném być może, a zwierzęciem, które jadaném być nie ma. "
Leviticus 12:1,"I oświadczył Wiekuisty Mojżeszowi, i rzekł: "
Leviticus 12:2,"""Powiesz synom Israela tak: niewiasta, któraby płód wydała i urodziła chłopca, nieczystą będzie przez siedm dni; jako w dni wydzielania słabości swej nieczystą będzie. "
Leviticus 12:3,A dnia ósmego obrzezane będzie ciało napletka jego. 
Leviticus 12:4,"Trzydzieści zaś i trzy dni zostawać winna dla krwi oczyszczenia; żadnej świętości się nie dotknie, a do świątyni nie wejdzie, póki nie spełnią się dni jej oczyszczenia. "
Leviticus 12:5,"A jeżeliby dziewczynkę urodziła, nieczystą będzie przez dwa tygodnie, jak przy wydzielaniu swojém, sześćdziesiąt zaś i sześć dni zostawać winna dla krwi oczyszczenia. "
Leviticus 12:6,"A gdy się spełnią dni oczyszczenia jej po synu albo po córce, przyniesie jagnię roczne na całopalenie i gołąbka albo synogarlicę na ""zagrzeszną"" do wnijścia przybytku zboru do kapłana. "
Leviticus 12:7,"I przyniesie on to przed oblicze Wiekuistego i rozgrzeszy ją, i będzie czysta z upływu krwi swojej. Oto przepis o rodzącej chłopca czy dziewczynkę. "
Leviticus 12:8,"A gdyby nie stało jej na jagnię, niechaj weźmie parę synogarlic, albo parę gołąbków, jednego na całopalenie, a drugiego na ""zagrzeszną,"" i rozgrzeszy ją kapłan i będzie czysta."" "
Leviticus 13:1,"I rzekł Wiekuisty do Mojżesza i do Ahrona, tak: "
Leviticus 13:2,"""Człowiek któremu by wystąpiła na skórze ciała jego nabrzmiałość, albo przyrzut, albo plama, a wyda się na skórze ciała jego jako zaraza trądu, przywiedziony będzie do Ahrona, kapłana, albo do którego z synów jego, kapłanów. "
Leviticus 13:3,"A gdy zobaczy kapłan zakażenie na skórze ciała, że włos na zakażeniu zbielał, a zakażenie z wejrzenia głębszém jest, niż skóra ciała jego: wtedy to zaraza trądu; i obejrzy go kapłan, i poczyta go za nieczystego. "
Leviticus 13:4,"A jeżeliby plama biała była na skórze ciała jego, ale nie głębsza z wejrzenia, niż skóra, a włos na niej nie zbielał; tedy zamknie kapłan zakażonego na siedm dni. "
Leviticus 13:5,"A obejrzy go kapłan dnia siódmego, a oto zakażenie pozostało w stanie swoim, a nie szerzyło się zakażenie po skórze; tedy zamknie go kapłan na drugie siedm dni. "
Leviticus 13:6,"I obejrzy go kapłan dnia siódmego powtórnie, a oto ściemniało zakażenie, a nie rozszerzyło się zakażenie po skórze; wtedy poczyta go kapłan za czystego: przyrzutem jest, i niechaj wypierze szaty swoje, a będzie czystym. "
Leviticus 13:7,"Ale jeżeliby się bardziej rozszerzał przyrzut po skórze, po ukazaniu się jego przed kapłanem dla oczyszczenia; wtedy ukaże się po raz drugi przed kapłanem. "
Leviticus 13:8,"I obejrzy kapłan, a oto rozszerzył się przyrzut po skórze; wtedy poczyta go kapłan za nieczystego: trądem jest. "
Leviticus 13:9,"Zaraza trądu, gdy będzie na człowieku, przywiedzion będzie do kapłana, "
Leviticus 13:10,"I obejrzy kapłan, a oto nabrzmiałość biała na skórze, a zamieniła ona włos na biały, albo wybujanie dzikiego mięsa w nabrzmiałości. "
Leviticus 13:11,"Trąd zastarzały jest na skórze ciała jego; i poczyta go za nieczystego kapłan, nie zamknie go, bo nieczystym jest. "
Leviticus 13:12,"A jeżeliby się rozwinął trąd na skórze, i okrył trąd całą skórę zakażonego, od głowy aż do nóg jego na całém polu widzenia oczu kapłana. "
Leviticus 13:13,"I zobaczy kapłan, a oto okrył trąd całe ciało jego, wtedy poczyta zakażenie za czyste: wszystko pobielało, czystym jest. "
Leviticus 13:14,"Dnia wszakże, w którym się ukaże na niém mięso dzikie, nieczystym będzie. "
Leviticus 13:15,"Gdy zobaczy kapłan mięso dzikie, poczyta go za nieczystego, dzikie mięso nieczystém jest: jest to trąd. "
Leviticus 13:16,"Wszakże jeżeliby znikło mięso dzikie a zamieniło się na białe, to niechaj przyjdzie do kapłana; "
Leviticus 13:17,"I obejrzy go kapłan, a oto zamieniło się zakażenie w białość; za czyste poczyta kapłan zakażenie; czystym on. "
Leviticus 13:18,"A na ciele, na skórze jego, gdyby powstał wrzód, a zagoił się, "
Leviticus 13:19,"A wystąpiłaby na miejscu tego wrzodu nabrzmiałość biała, albo plama biała zaczerwieniona; wtedy okazana będzie kapłanowi. "
Leviticus 13:20,"I zobaczy kapłan, a oto na wejrzenie głębszą jest niż skóra, a włos na niej zbielał; wtedy poczyta go kapłan za nieczystego: zarazą trądu jest, która na wrzodzie się rozwinęła. "
Leviticus 13:21,"A jeżeliby ją obejrzał kapłan, a oto nie ma na niej włosu białego, i głębszą téż nie jest, niż skóra, a przytem ściemniała; wtedy zamknie go kapłan na siedm dni. "
Leviticus 13:22,"A jeżeliby się szerzyła po skórze, poczyta go kapłan za nieczystego: jest to zaraza. "
Leviticus 13:23,"Jeżeliby zaś na swojém miejscu pozostawała owa plama, a nie szerzyła się: zapaleniem wrzodu jest, i poczyta go za czystego kapłan. "
Leviticus 13:24,"Również, jeżeliby na ciele, na skórze jego powstała oparzelizna od ognia, a zamieniłaby się wybujałość oparzelizny w plamę białą, zaczerwienioną, albo białą tylko, "
Leviticus 13:25,"I obejrzy ją kapłan, a oto zbielał włos na plamie, a na wejrzenie głębszą jest, niż skóra: trądem jest, który na sparzeliźnie się rozwinął. I poczyta go kapłan za nieczystego: jest to zaraza trądu. "
Leviticus 13:26,"A jeżeliby obejrzał ją kapłan, a oto niema na plamie włosu białego, i głębszą téż nie jest, niż skóra, a przytém ściemniała; wtedy zamknie go kapłan na siedm dni. "
Leviticus 13:27,"I obejrzy go kapłan dnia siódmego; jeżeliby się szerzyła po skórze, wtedy poczyta go kapłan za nieczystego: zarazą to trądu. "
Leviticus 13:28,"Jeżeliby zaś na swojém miejscu pozostawała owa plama, nie szerzyła się po skórze, a przytém ściemniała; nabrzmiałość z oparzelizny jest. I osądzi go kapłan za czystego, bo zapaleniem oparzelizny jest. "
Leviticus 13:29,"Jeżeli u mężczyzny albo u niewiasty okaże się zakażenie na głowie, albo na brodzie, "
Leviticus 13:30,"I obejrzy kapłan zakażenie, a oto na wejrzenie głębszém jest, niż skóra, a na niém włos pożółkły, cienki; wtedy poczyta go kapłan za nieczystego: strupem jest, trąd to głowy, albo brody. "
Leviticus 13:31,"Jeżeliby zaś zobaczył kapłan zakażenie strupa, a oto na wejrzenie nie głębszym jest, niż skóra, a niema na nim włosu czarnego; wtedy zamknie kapłan zarażonego strupem na siedm dni. "
Leviticus 13:32,"I obejrzy kapłan zakażenie dnia siódmego, a oto nie rozszerzył się strup, i niema na nim włosa pożółkłego, a na wejrzenie strup nie głębszym, niż skóra: "
Leviticus 13:33,"Da się wtedy ostrzydz, miejsca strupa wszakże nie ostrzyże; i zamknie kapłan zakażonego strupem na siedm dni drugie. "
Leviticus 13:34,"I obejrzy kapłan strup dnia siódmego, a oto nie rozszerzył się strup po skórze, a na wejrzenie nie głębszym jest, niż skóra: poczyta go za czystego kapłan, on zaś wypierze szaty swoje i będzie czystym. "
Leviticus 13:35,"A jeżeliby się począł szerzyć strup na skórze po oczyszczeniu się jego, "
Leviticus 13:36,"A zobaczy go kapłan, a oto szerzy się strup po skórze; niechaj wtedy kapłan nie szuka włosu pożółkłego: nieczystym jest. "
Leviticus 13:37,"Jeżeliby wszakże w stanie swoim pozostał strup, a włos czarny wyrósł na nim; to zagoił się strup, czystym jest i za czystego poczyta go kapłan. "
Leviticus 13:38,"A jeżeli u mężczyzny albo u niewiasty ukażą się na skórze ciała plamy, - plamy białe, "
Leviticus 13:39,"I obejrzy kapłan, a oto na skórze ciała ich plamy blade, białe; to jest to liszaj rozkwitły na skórze: czystym jest. "
Leviticus 13:40,"Człowiek téż, któremuby wypadały włosy z głowy, to pleszywy; czystym jest. "
Leviticus 13:41,"A jeżeliby po stronie twarzy wypadały włosy głowy jego, to łysy; czystym jest. "
Leviticus 13:42,"Wszakże gdyby na pleszywości, albo na łysinie ukazało się zakażenie białe, zaczerwienione; to trąd, który wystąpił na jego pleszywości, albo na jego łysinie, "
Leviticus 13:43,"I obejrzy go kapłan, a oto nabrzmiałość zakażenia biała, zaczerwieniona na pleszywości jego, albo na łysinie jego podobna do trądu na skórze ciała; "
