Index Title,II Kings
II Kings 6:12,"I odpowiedział jeden ze sług jego: Nie, panie mój i królu, lecz jest, tam prorok Elisza, będący w Izraelu, który powtarza królowi izraelskiemu słowa, które w komnacie twej sypialnej wypowiadasz. "
II Kings 6:13,"Rzekł tedy: Idźcie a zobaczcie gdzież on jest, abym posłał i ujął go. Gdy mu tedy doniesiono: Oto on w Dotanie, "
II Kings 6:14,Wyprawił tam konie i wozy wojenne i wojsko silne; ci nadciągnęli w nocy i otoczyli miasto. 
II Kings 6:15,"A gdy wstał sługa męża Bożego wczesnym rankiem i wyszedł, a oto wojsko otaczało miasto dokoła wraz z końmi i wozami wojennymi. I rzekł doń pachołek jego: Biada, panie mój! co poczniemy? "
II Kings 6:16,"On jednak odpowiedział: Nie bój się, bo więcej jest tych, którzy z nami, niż tych, którzy z nimi. "
II Kings 6:17,"I modlił się Elisza, i rzekł: O Wiekuisty, otwórz mu też oczy, aby przejrzał! Otworzył tedy Wiekuisty oczy pachołkowi i ujrzał, a oto góra pełna koni i wozów ognistych dokoła Eliszy. "
II Kings 6:18,"Gdy tedy nadciągnęli przeciw niemu, pomodlił się Elisza Wiekuistemu, i rzekł: Chciej porazić tych ludzi ślepotą! I poraził ich ślepotą wedle słowa Eliszy. "
II Kings 6:19,"Poczem rzekł do nich Elisza: Nie ta to droga właściwa i nie to miasto. Idźcie za mną, a zaprowadzę was do męża, którego poszukujecie. I zaprowadził ich do Samaryi. "
II Kings 6:20,"Gdy tedy przybyli do Samaryi, rzekł Elisza: O Wiekuisty, otwórz oczy tym, aby przejrzeli! I otworzył oczy ich, a oto ujrzeli się w pośrodku Samaryi. "
II Kings 6:21,"Gdy zaś ujrzał ich król izraelski, rzekł do Eliszy: Mamże że ich pozabijać, ojcze? "
II Kings 6:22,"I odpowiedział: Nie wolno ci ich zabijać. Czyżeś zwykł zabijać tych, których mieczem i łukiem swoim do niewoli zabrałeś? Postaw chleb i wodę przed nich, aby jedli i pili; poczem mogą odejść do pana swojego. "
II Kings 6:23,"Przygotował im tedy ucztę wielką, a gdy jedli i pili odprawił ich, i odeszli do pana swojego. Odtąd nie wtargnęły już najezdnicze oddziały aramejskie do kraju izraelskiego. "
II Kings 6:24,"I stało się następnie, że zgromadził Benhadad król aramejski, całą siłę swą wojenną i nadciągnął i oblegał Samaryę. "
II Kings 6:25,"Nastał tedy głód wielki w Samaryi, albowiem ścisnęli ją tak, że doszła cena głowy oślej do ośmdziesięciu srebrników, a ćwierć kabu mierzwy gołębiej do pięciu srebrników. "
II Kings 6:26,"Gdy tedy raz król izraelski po murze się przechadzał, zawołała doń jakaś kobieta, i rzekła: Dopomóż, panie mój i królu! "
II Kings 6:27,"I odpowiedział tedy: Jeżeli ci Wiekuisty nie dopomaga, skąd bym ja ci miał dopomódz? Izali z toku albo z tłoczni? "
II Kings 6:28,"Poczem zapytał się jej król: Cóż tobie? I odpowiedziała: Ta oto kobieta rzekła do mnie: Oddaj syna twego, abyśmy zjadły go dzisiaj; jutro zaś zjemy syna mojego! "
II Kings 6:29,"I tak uwarzyłyśmy mojego i zjadłyśmy go. Ale gdym dnia drugiego rzekła do niej: Oddaj syna twojego, abyśmy go zjadły! ukryła syna swojego. "
II Kings 6:30,"Gdy tedy usłyszał król słowa onej kobiety, rozdarł szaty swe, podczas gdy po murze się przechadzał; a wówczas zobaczył lud, że nosił włosiennicę pod niemi na ciele swojem. "
II Kings 6:31,"I rzekł: Niechaj Bóg ze mną postąpi jak chce, jeżeli ostoi się głowa Eliszy, syna Szafata, na nim dzisiaj. "
II Kings 6:32,"Podczas gdy Elisza w domu swoim siedział, a starsi siedzieli przed nim, wysłał ów człowieka przed sobą. Ale zanim poseł króla do niego przybył, rzekł do starszych: Czyście widzieli, że ten syn mordercy przysłał tu, aby mi głowę zdjęto. Zważcie tedy, gdy przyjdzie posłaniec zamknijcie drzwi, a naciskajcie drzwi przeciw niemu! Słychać wszak już odgłos kroków jego pana za nim. "
II Kings 6:33,"Gdy jeszcze tak mówił z nimi, a oto posłaniec zstąpił ku niemu. Król zaś rzekł: Oto jaka niedola od Wiekuistego! Na cóż mi jeszcze czekać na Wiekuistego. "
II Kings 7:1,"I rzekł Elisza: Posłuchajcie słowa Wiekuistego: Tak rzecze Wiekuisty: Jutro, o tej porze, oddadzą miarę mąki przedniej za szekla, a dwie miary jęczmienia za szekla, w bramie Samaryi. "
II Kings 7:2,"I odezwał się wódz, na którego ręku król się wspierał: Oto gdyby nawet Wiekuisty otworzył szluzy na niebie, czyżby co podobnego się stać mogło? On wszakże odpowiedział: Otóż zobaczysz to własnemi oczyma, ale z tego jeść nie będziesz. "
II Kings 7:3,"Czterech zaś ludzi trędowatych przebywało wtedy u wejścia bramy, i rzekli jeden do drugiego: Pocóż nam pozostać tu aż pomrzemy? "
II Kings 7:4,"Choćbyśmy powiedzieć mogli: wejdziemy do miasta, to wszak głód w mieście, a pomrzemy tam, a jeżeli pozostaniem tu, wszak również pomrzemy. A zatem zabierzmy się, a zbiegnijmy do obozu aramejskiego; jeżeli nas zostawią przy życiu będziemy żyli, a jeżeli nas zabiją, to i pomrzemy. "
II Kings 7:5,"I tak powstali o zmierzchu, aby dotrzeć do obozu aramejskiego; ale dotarli do krańca obozu aramejskiego, a oto nie było tam nikogo. "
II Kings 7:6,"Pan mianowicie dał słyszeć przed obozem Aramejczyków odgłos wozów i koni i zgiełk wojska wielkiego, tak iż rzekli jeden do drugiego: Patrz! oto najął przeciw nam król izraelski królów chitejskich i królów Egiptu, aby napadli na nas. "
II Kings 7:7,"I tak zerwali się i uciekli jeszcze o zmierzchu, porzuciwszy namioty i konie i osły swe, cały obóz jakim był, i uciekli by ocalić życie swoje. "
II Kings 7:8,"I tak przyszli owi trędowaci aż na kraniec obozu i weszli do namiotu jednego i pili, a nabrawszy ztamtąd i złota i szat, poszli i zakopali. Poczem wrócili i weszli do namiotu innego, i nabrali stamtąd i poszli i zakopali. "
II Kings 7:9,"Nareszcie rzekli jeden do drugiego: Niesłusznie czynimy! dzień ten jest dniem wieści radosnej, jeżeli przemilczym a zaczekamy aż zaświeci poranek, spotka nas kara. A zatem zabierzcie się, wnijdźmy i donieśmy to domowi królewskiemu. "
II Kings 7:10,"I tak poszli i zawołali wrotnych miasta, i opowiedzieli im w te słowa: Przyszliśmy do obozu aramejskiego, a oto nie było tam nikogo, żadnego głosu ludzkiego, tylko konie i osły były uwiązane, a namioty stały jeszcze tak jako przedtem były. "
II Kings 7:11,"Wezwano tedy innych wrotnych, a ci przynieśli tę wieść do wnętrza domu królewskiego. "
II Kings 7:12,"I wstał król w nocy, i rzekł do sług swoich: Powiem wam ja, co urządzili przeciw nam Aramejczycy; wiedzą oni żeśmy wygłodzeni, przeto wyszli z obozu, by się ukryć na polu, mówiąc: Gdy wyjdą z miasta pochwycim ich żywcem, a do miasta wtargniemy. "
II Kings 7:13,"I odezwał się jeden ze sług jego, i rzekł: Niechajby wzięto pięć z pozostałych koni, które pozostały w mieście - niechaj się dzieje z niemi co z całym tłumem izraelskim, który pozostał w niem, albo co z całym tłumem izraelskim, który już zginął, ale wyszlijmy a zobaczymy. "
II Kings 7:14,"Wzięto tedy dwa wozy z końmi, a król wysłał je do obozu aramejskiego, i rzekł: Idźcie, a rozejrzcie się. "
II Kings 7:15,"I szli za nimi aż do Jordanu, a oto cała droga pełna była szat i broni, które porzucali Aramejczycy w nagłej ucieczce swojej. I wrócili wysłańcy i donieśli to królowi. "
II Kings 7:16,"Wyszedł tedy lud i złupił obóz aramejski, i była miara przedniej mąki za szekla, a dwie miary jęczmiennej za szekla, według słowa Wiekuistego. "
II Kings 7:17,"Król zaś ustanowił owego wodza, na którego ręku się zazwyczaj wspierał, nadzorcą bramy, ale stratował go lud w bramie, tak że umarł, jako mu był przepowiedział mąż Boży, który o tem mówił, gdy zeszedł król do niego. "
II Kings 7:18,"Albowiem gdy zapewniał mąż Boży króla, mówiąc: Dwie miary jęczmienia za szekla, a miara przedniej mąki za szekla będzie jutro o tym czasie w bramie Samaryi, "
II Kings 7:19,"Odezwał się wtedy ów wódz do męża Bożego, i rzekł: Gdyby nawet Wiekuisty otworzył szluzy na niebie, czyżby co podobnego się stać mogło? On wszakże mu odpowiedział: Otóż zobaczysz to własnemi oczyma, ale z tego jeść nie będziesz. "
II Kings 7:20,"I stało mu się tak; stratował go bowiem lud tłocząc się w bramie, i umarł. "
II Kings 8:1,"Elisza zaś mówił był z kobietą, której syna wskrzesił, i rzekł: Wstań i wyrusz, ty wraz z całą rodziną twoją, a przebywaj gdziekolwiek będziesz mogła; albowiem przyzwie Wiekuisty siedmioletni głód na kraj, a poniekąd już on nastał. "
II Kings 8:2,Powstała tedy ona kobieta i uczyniła wedle słowa męża Bożego; wyruszyła wraz z rodziną swoją i przebywała w ziemi filistyńskiej przez siedm lat. 
II Kings 8:3,"I stało się po upływie siedmiu lat, że wróciła owa kobieta z ziemi filistyńskiej i wyszła, by skarżyć się królowi względem domu i pola swego. "
II Kings 8:4,"Król zaś rozmawiał właśnie z Giechazym, sługą męża Bożego, i rzekł: Opowiedz mi o owych czynach wielkich, których dokonał Elisza. "
II Kings 8:5,"Gdy tedy opowiadał królowi jak wskrzesił zmarłego, a oto przybyła właśnie owa kobieta, której syna wskrzesił, by skarżyć się królowi względem domu i pola swego. I rzekł Giechazy: Panie mój i królu! Oto ta kobieta i oto syn jej, którego wskrzesił Elisza. "
II Kings 8:6,"Poczem rozpytywał się król u kobiety, a ona mu opowiedziała. I przydał jej król dworzanina z poleceniem: Postaraj się zwrócić jej wszystko co do niej należy, wraz z całym plonem pola, od dnia w którym kraj opuściła aż dotąd. "
II Kings 8:7,"I przybył Elisza do Damaszku, gdy Benhadad, król aramejski, był chory. I zawiadomiono go, mówiąc: Przybył tu mąż Boży. "
II Kings 8:8,"Rzekł tedy król do Hazaela: Zabierz ze sobą podarki, a wyjdź na spotkanie męża Bożego i rozpytaj się przezeń Wiekuistego, mówiąc: Czy wyzdrowieję z tej choroby mojej? "
II Kings 8:9,"I poszedł Hazael na spotkanie jego i zabrał podarki ze sobą, mianowicie rozmaitego rodzaju kosztowności Damaszku, brzemię czterdziestu wielbłądów. Gdy tedy przybył stanął przed nim, i rzekł: Syn twój, Benhadad, król aramejski, posyła mnie do ciebie i pyta się: Czy wyzdrowieję z tej choroby mojej? "
II Kings 8:10,"I odpowiedział mu Elisza: Idź a oświadcz mu: Niewątpliwie wyzdrowiejesz! - jakkolwiek Wiekuisty mi ukazał, że umrzeć musi. "
II Kings 8:11,Przyczem utkwił wzrok na Hazelu i zatrzymał go na nim aż do uprzykrzenia. Poczem zapłakał mąż Boży. 
II Kings 8:12,"I zapytał się Hazael: Czemu płaczesz, panie? I odpowiedział: Ponieważ wiem ile złego przyczynisz synom Izraela. Warownie ich spalisz ogniem, a młodzież ich wymordujesz mieczem, a niemowlęta ich roztrącisz, a brzemienne ich porozpłatasz. "
II Kings 8:13,"I rzekł Hazael: Czemże sługa twój, ten pies, aby tak wielką, rzecz spełnił? I odpowiedział Elisza: Ukazał mi cię Wiekuisty jako króla nad Aramem. "
II Kings 8:14,"Poczem, odszedł od Eliszy, a gdy wrócił do pana swego, zapytał się go tenże: Co mówił ci Elisza? I odpowiedział: Mówił mi, że niewątpliwie wyzdrowiejesz! "
II Kings 8:15,"Nazajutrz jednak wziął makatę plecioną i zamoczył ją w wodzie i rozpostarł ją na obliczu jego, tak że umarł; Hazael zaś został królem miasto niego. "
II Kings 8:16,"Piątego roku Jorama, syna Ahaba, króla izraelskiego, gdy jeszcze Jozafat był królem judzkim, objął rządy Jehoram, syn Jozafata, króla judzkiego. "
II Kings 8:17,"Dwadzieścia dwa lata miał gdy rządy objął, a ośm lat panował w Jerozolimie. "
II Kings 8:18,"I postępował drogą królów izraelskich, jak czynili ci z domu Ahaba; pojął bowiem córkę Ahaba za żonę, czynił tedy co niegodziwem było w oczach Wiekuistego. "
II Kings 8:19,"Wiekuisty jednak nie chciał zniszczyć Judy ze względu na Dawida, sługę swojego, tak jako mu był przyrzekł, że zostawi iskierkę jemu i synom jego po wszystkie czasy. "
II Kings 8:20,Za dni jego odpadł Edom z pod władzy judzkiej i ustanowili króla nad sobą. 
II Kings 8:21,"I wyciągnął Joram wraz z wszystkimi wozami wojennymi do Cairu i wyruszył nocą i poraził Edomitów, którzy go byli okrążyli, jak i wodzów wozów wojennych, tak że rozpierzchnął się lud do namiotów swoich. "
II Kings 8:22,Niemniej odpadł Edom z pod władzy judzkiej aż po dzień dzisiejszy. Libna zbuntowała się również czasu onego. 
II Kings 8:23,"A co do innych spraw Jorama i wszystkiego czego dokonał, spisano to wszak w księgach dziejów królów judzkich. "
II Kings 8:24,"I spoczął Joram przy ojcach swoich i pochowany został przy ojcach swoich w mieście Dawida. I objął rządy syn jego, Achazja, miasto niego. "
II Kings 8:25,"Roku dwunastego Jorama, syna Ahaba, króla izraelskiego, objął rządy Achazja, syn Jehorama, króla judzkiego. "
II Kings 8:26,"Dwadzieścia i dwa lata miał Achazja gdy rządy objął, a rok jeden panował w Jerozolimie. Imię zaś matki jego Atalja, córka Omrego, króla izraelskiego. "
II Kings 8:27,"I postępował drogą domu Ahaba, i czynił co niegodziwem było w oczach Wiekuistego, jak ci z domu Ahaba, był bowiem spowinowacony z domem Ahaba. "
II Kings 8:28,"I wyruszył z Joramem, synem Ahaba, na wojnę przeciw Hazaelowi, królowi aramejskiemu, pod Ramot w Gileadzie, zranili jednak Aramejczycy Jorama. "
II Kings 8:29,"Wrócił tedy król Joram, aby leczyć się w Izreelu z różnych ran, które mu zadali Aramejczycy w Rama, gdy walczył z Hazaelem, królem aramejskim. Achazja zaś, syn Jehorama, król judzki, przybył odwiedzić Jorama, syna Ahaba, w Izreelu, ponieważ chory był. "
II Kings 9:1,"Prorok Elisza zaś zawołał jednego z wychowańców prorockich, i rzekł doń: Przepasz biodra twoje, a zabierz dzbanek ten olejku ze sobą, a udaj się do Ramot w Gileadzie. "
II Kings 9:2,"Gdy przybędziesz tam, obejrzysz się za Jehą, synem Jozafata, syna Nimszy, a wszedłszy doń, wywiedziesz go z pośród braci jego, a zaprowadzisz go do komnaty ustronnej. "
II Kings 9:3,"Poczem weźmiesz dzbanek olejku i wylejesz go na głowę jego, i powiesz: Tak rzecze Wiekuisty: Pomazałem cię na króla nad Izraelem! Następnie otworzysz drzwi i umkniesz niezwłocznie. "
II Kings 9:4,"Poszedł tedy ów młodzieniec, sługa proroka, do Ramot w Gileadzie. "
II Kings 9:5,"A gdy wszedł, a oto siedzieli tam właśnie wodzowie wojska; i rzekł: Mam pomówić z tobą, wodzu! A gdy Jehu zapytał: Z którym to z nas wszystkich? Odpowiedział: Z tobą, wodzu! "
II Kings 9:6,"Powstał tedy i wszedł do gmachu. On zaś rozlał olejek na głowę jego, i rzekł doń: Tak rzecze Wiekuisty, Bóg Izraela: Pomazałem cię na króla nad ludem Wiekuistego, nad Izraelem. "
II Kings 9:7,"I wytępisz dom Ahaba, pana twojego, abym pomścił się krwi sług moich proroków, i krwi wszystkich sług Wiekuistego, na Izebeli. "
II Kings 9:8,"I tak zginie cały dom Ahaba, bo wytępić chcę z rodu Ahaba aż do najmniejszego szczenięcia, zarówno zależnych jak wolnych w Izraelu. "
II Kings 9:9,"I uczynię dom Ahaba jako dom Jerobeama, syna Nebata, i jako dom Baeszy, syna Achij. "
II Kings 9:10,"Izebelę zaś poźrą psy na polu izreelskiem, a nikt jej nie pogrzebie! Poczem otworzył drzwi i umknął. "
II Kings 9:11,"Gdy tedy Jehu do sług pana swego wyszedł, zapytał go się któryś: A dobrze wszystko? Pocóż przybył ten szaleniec do ciebie? I odpowiedział: Znacie wszak tego człowieka i mrzonkę jego. "
II Kings 9:12,"Zawołali tedy: Nie prawda! Opowiedzże nam! I rzekł: Tak a tak powiedział mi, mówiąc: Tak rzecze Wiekuisty: Pomazałem cię na króla nad Izraelem! "
II Kings 9:13,"Zabrali tedy pośpiesznie każdy szatę swą i podłożyli je podeń na najwyższym stopniu, a zadąwszy w trąbę zawołali: Panuje Jehu! "
II Kings 9:14,"I tak sprzysięgnął się Jehu, syn Jozafata, syna Nimszy, przeciw Joramowi. Joram zaś trzymał wówczas wraz z całym Izraelem straż w Ramot w Gileadzie, przeciw Hazaelowi, królowi aramejskiemu. "
II Kings 9:15,"Następnie jednak wrócił król Joram, aby się leczyć w Izreelu na różne rany, które mu byli zadali Aramejczycy, gdy walczył z Hazaelem, królem aramejskim. Jehu zaś rzekł: Jeżeli to wolą waszą, nie dajcie nikomu zbiedz lub ujść z miasta, któryby mógł pójść i zawiadomić o tem w Izreelu. "
II Kings 9:16,"Poczem wsiadł Jehu do powozu i pojechał do Izreela, tam bowiem leżał Joram. Achazjasz zaś, król judzki, był tam zstąpił, by odwiedzić Jorama. "
II Kings 9:17,"Otóż stał strażnik na wieży w Izreelu; skoro tedy spostrzegł poczet Jehy, który nadciągał, zawołał: Widzę jakiś poczet ludzi! Rzekł tedy Joram: Weź konnego, a wyszlij im naprzeciw, aby się zapytał, czy w zamiarach pokojowych? "
II Kings 9:18,"Wyjechał tedy konny mu naprzeciw, i rzekł: Tak pyta się król: Czy w zamiarach pokojowych? Jehu zaś odparł: Co cię obchodzi pokój? Zawróć, a jedź za mną! I doniósł o tem strażnik, i rzekł: Dojechał wysłaniec do nich, ale nie wraca. "
II Kings 9:19,"Wysłał tedy drugiego konnego, który przybywszy do nich rzekł: Tak pyta się król: Czy w zamiarach pokojowych? Jehu zaś odparł: Co cię obchodzi pokój? Zawróć, a jedź za mną! "
II Kings 9:20,"Doniósł o tem znowu strażnik, i rzekł: Dojechał on do nich, ale nie wraca. Sposób zaś jazdy jego jakoby jazda Jehy, syna Nimszy, bo szalenie jedzie. "
II Kings 9:21,"I zawołał Joram: Zaprzęgać! A gdy zaprzężono mu powóz jego, wyjechał Joram, król izraelski, i Achazjasz, król judzki, każdy w powozie swoim; wyjechali zaś naprzeciw Jehy i spotkali się z nim na łanie Nabota, Izreelczyka. "
II Kings 9:22,"Gdy tedy spostrzegł Joram Jehę, zapytał się: Czy w zamiarach pokojowych, Jehu? On wszakże odpowiedział: Co za zamiary pokojowe, dopóki sprośności Izebeli, matki twojej, i niezliczone jej gusła trwają? "
II Kings 9:23,"Zwrócił tedy Joram, by umknąć, i zawołał do Achazjasza: Zdrada, Achazjaszu! "
II Kings 9:24,"Jehu zaś ujął ręką swoją łuk i trafił Jorama między łopatki jego, tak że przeszła mu strzała przez serce, a legł w powozie swoim. "
II Kings 9:25,"Rzekł tedy do wodza swego, Bidkara: Zabierz go, a rzuć na łan pola Izreelczyka, Nabota; pamiętaj bowiem, jakeśmy jechali obaj w szeregu za ojcem jego Ahabem, gdy wygłosił Wiekuisty tę groźbę przeciw niemu: "
II Kings 9:26,"Zaprawdę, za krew Nabota i za krew dzieci jego, którąm widział wczorajszej nocy, rzecze Wiekuisty, odpłacę ci na tym łanie, rzecze Wiekuisty! Teraz przeto zabierz go na ten łan, wedle słowa Wiekuistego. "
II Kings 9:27,"Widząc to Achazjasz, król judzki, począł uciekać w kierunku Bet-Hagan. Jehu jednak puścił się w pogoń za nim, i zawołał: I tego zabijcie w powozie! Stało się to na wzgórzu Gur, położonem przy Ibleam; poczem schronił się do Megiddo, i umarł tam. "
II Kings 9:28,"I przenieśli go słudzy jego do Jerozolimy i pochowali go w jego grobie przy ojcach jego, w mieście Dawida. "
II Kings 9:29,"Jedenastego zaś roku Jorama, syna Ahaba, objął rządy Achazjasz nad Judą. "
II Kings 9:30,"Przybył tedy Jehu do Izreelu. Skoro dowiedziała się o tem Izebela, natarła czernidłem brwi oczu swoich, ustroiła swą głowę i wyglądała z okna. "
II Kings 9:31,"Gdy zaś Jehu w bramę wjeżdżał, zawołała: Czy dobrze ci się wiedzie, Zymri, morderco swego pana? "
II Kings 9:32,"On wszakże, podniósłszy oblicze swe ku oknu, zawołał: Któż zemną, kto? Gdy tedy wyjrzeli ku niemu dwaj albo trzej dworzanie, "
II Kings 9:33,"Zawołał: Zrzućcie ją! I zrzucili ją, tak że ściana i konie krwią jej się obryzgały i stratowano ją. "
II Kings 9:34,"On zaś wszedł, jadł i pił, poczem rzekł: Obejrzcie się też za tą przeklętą i pochowajcie ją, gdyż córką królewską jest. "
II Kings 9:35,"Gdy jednak poszli, aby ją pochować, nie znaleźli z niej nic prócz czaszki, nóg i dłoni rąk. "
II Kings 9:36,"Wrócili tedy i opowiedzieli mu to, i rzekł: Tak spełniło się owo słowo Wiekuistego, które wyrzekł przez sługę swojego, Eljasza Tysbitę: Na łanie izreelskim poźrą psy ciało Izebeli. "
II Kings 9:37,"Niech będzie trup Izebeli jako mierzwa na roli na łanie izreelskim, tak aby nie można było powiedzieć: Oto ta jest Izebela. "
II Kings 10:1,"Miał zaś Ahab siedmdziesięciu synów w Samaryi. I napisał Jehu listy i posłał je do Samaryi, do naczelników Izreela, i do starszych, i do opiekunów u Ahaba, w tych słowach: "
II Kings 10:2,"... Gdy tedy list ten was dojdzie, którzy rozporządzacie synami pana waszego jako i wozami i końmi i warownemi miastami i orężem, "
II Kings 10:3,"Upatrzcie sobie z pośród synów pana waszego najlepszego i najdzielniejszego, ustanówcie go na tronie ojca jego, a walczcie za dom pana waszego! "
II Kings 10:4,"Oni jednak obawiali się bardzo, i rzekli: Oto dwaj królowie nie mogli ostać się przed nim, i jakże ostać się nam? "
II Kings 10:5,"Wysłali tedy zarządzający pałacem i zarządzający miastem i starsi i opiekunowie do Jehy jak następuje: Myśmy słudzy twoi, a spełnim wszystko co nam rozkażesz. My nie ogłosim nikogo królem; uczyń sam co za dobre uznasz. "
II Kings 10:6,"Napisał tedy po raz drugi list do nich tej treści: Jeśli zatem zemną jesteście, a głosu mojego słuchacie, zabierzcie głowy synów pana waszego, a przybądźcie do mnie jutro o tej porze do Izreelu. Synowie królewscy zaś, siedmdziesięciu mężów przebywali u możnych miasta, którzy ich wychowali. "
II Kings 10:7,"Skoro tedy nadszedł list do nich, wzięli synów królewskich i zarznęli ich, wszystkich siedmdziesięciu mężów, włożyli głowy ich do koszów i posłali je do niego do Izreelu. "
II Kings 10:8,"Gdy zaś przybył posłaniec i doniósł mu, mówiąc: Przynieśli głowy synów królewskich, rzekł: Ułóżcie je w dwóch stosach przed wejściem do bramy, aż do rana. "
II Kings 10:9,Zrana tedy wyszedł i wystąpił i rzekł do całego ludu: Wyście niewinni! Jam sprzysiągł się przeciw panu mojemu i zamordowałem go; ale któż wymordował tych wszystkich? 
II Kings 10:10,"Poznajcie tedy że nie spada nic na ziemię ze słowa Wiekuistego, które wyrzekł przeciw domowi Ahaba, albowiem spełnił Wiekuisty co wyrzekł przez sługę swojego Eljasza. "
II Kings 10:11,"Poczem wymordował Jehu wszystkich, którzy pozostali jeszcze z domu Ahaba w Izreelu, wraz z wszystkimi jego możnymi i poufnymi i kapłanami, tak że nie pozostawił mu szczątku. "
II Kings 10:12,"Następnie wyruszył i udał się do Samaryi. A gdy znajdował się w domu zbornym pasterzy na drodze, "
II Kings 10:13,"Napotkał Jehu braci Achazjasza, króla judzkiego, i zapytał się: Któż wy? I odpowiedzieli: Myśmy bracia Achazjasza, a zstąpiliśmy, aby odwiedzić synów królewskich i synów matki królewskiej. "
II Kings 10:14,"Rzekł tedy: Pojmajcie ich żywych! I pojmali ich żywych, i kazał ich zarznąć, mianowicie czterdziestu i dwóch tych mężów, przy cysternie zbornego domu, a nie zostawił nikogo z nich. "
II Kings 10:15,"A wyruszywszy ztamtąd spotkał Jehonadaba, syna Rechaba, przybywającego mu naprzeciw, i powitał go, i rzekł do niego: Jestże i serce twoje prawem względem mnie, jak serce moje względem ciebie? I odpowiedział Jehonadab: Tak jest, tak jest; podaj mi rękę. I podał mu rękę swą i zabrał go do siebie do powozu. "
II Kings 10:16,"Poczem rzekł do niego: Pójdź zemną, a zobacz żarliwość moją dla Wiekuistego; i tak wsadzono go do powozu jego. "
II Kings 10:17,"Gdy tedy przybył do Samaryi, pozabijał wszystkich pozostałych z rodu Ahaba w Samaryi, póki nie wytępił wszystkich, podług słowa Wiekuistego, które wyrzekł przez Eljasza. "
II Kings 10:18,"Poczem zebrał Jehu wszystek lud, i rzekł do nich: Ahab czcił Baala cokolwiek, ale Jehu uczci go wielce. "
II Kings 10:19,"Przeto teraz zwołajcie mi wszystkich proroków Baala, wszystkich jego czcicieli, i wszystkich jego kapłanów, niechaj nikogo nie zbraknie; albowiem wielką ucztę ofiarną wyprawię Baalowi. Ktobykolwiek się nie stawił, nie zostanie przy życiu. Jehu zaś czynił to podstępnie, aby zagubić czcicieli Baala. "
II Kings 10:20,Poczem rozkazał Jehu: Ogłoście uroczystość solenną dla Baala! I ogłosili. 
II Kings 10:21,"I rozesłał Jehu po całym Izraelu, i przybyli wszyscy czciciele Baala; nie pozostał żaden, któryby nie przybył. A gdy weszli do przybytku Baala, zapełnił się przybytek Baala od końca do końca. "
II Kings 10:22,Rzekł tedy do przełożonego nad szatnią: Wydaj ornaty dla wszystkich czcicieli Baala! I wydał im ornaty. 
II Kings 10:23,"A gdy wszedł Jehu i Jehonadab, syn Rechaba, do przybytku Baala, rzekł do czcicieli Baala: Poszukajcie pilnie, a zobaczcie czy niema tu którego ze sług Wiekuistego! Tylko czciciele Baala mogą tu być sami. "
II Kings 10:24,"Weszli tedy, aby sprawić rzeźne ofiary i całopalenia. Jehu zaś postawił był sobie na dworze ośmdziesięciu ludzi, i rzekł: Jeśliby uszedł którybądź z tych ludzi, których chcę wydać w ręce wasze, tedy odpowie życie każdego z was za życie jego! "
II Kings 10:25,"Gdy tedy ukończono sprawienie całopaleń, rzekł Jehu do drabantów i trzeciaków: Wnijdźcie i wymordujcie ich, niechaj nikt nie ujdzie! I tak wymordowali ich ostrzem miecza, i porzucili ich tam drabanci i trzeciaki, poczem poszli aż do miasta przybytku Baala. "
II Kings 10:26,I wydobyli posągi przybytku Baala i spalili je. 
II Kings 10:27,"Zburzyli też statuę Baala, i zburzyli przybytek Baala, i uczynili zeń ustępy aż po dzień dzisiejszy. "
II Kings 10:28,I tak zgładził Jehu Baala z pośród Izraela. 
II Kings 10:29,"Od grzechów jednak Jerobeama, syna Nebata, którymi uwiódł Izraela, od nich nie odstąpił Jehu, od cielców mianowicie złotych, które w Betel i które w Dan. "
II Kings 10:30,"I rzekł Wiekuisty do Jehy: Ponieważ dobrze spełniłeś to, co prawem w oczach moich, a postąpiłeś wedle zamysłów moich z domem Ahaba, zasiadać będą synowie twoi aż do czwartego pokolenia na tronie Izraela. "
II Kings 10:31,"Ale nie starał się Jehu postępować całem sercem wedle nauki Wiekuistego, Boga Izraela, nie odstępował od grzechów Jerobeama, którymi uwiódł był Izraela. "
II Kings 10:32,"Za onych to dni począł Wiekuisty odrywać ucząstki od Izraela, a zadawał im klęski Hazael na całem pograniczu izraelskiem, "
II Kings 10:33,"Od Jordanu ku wschodowi, mianowicie całą krainę Gileadzką, gadową, reubenową i manasową, od Aroeru nad rzeką Arnon - zarówno Gilead jak Baszan. "
II Kings 10:34,"A co do innych spraw Jehy i wszystkiego czego dokonał i wszystkich czynów jego dzielnych, spisano to wszak w księdze dziejów królów izraelskich. "
II Kings 10:35,"I spoczął Jehu przy ojcach swoich i pochowano go w Samaryi; i objął rządy syn jego, Jehoachaz, miasto niego. "
II Kings 10:36,"Dni zaś, których panował Jehu nad Izraelem, było dwadzieścia i ośm lat, w Samaryi. "
II Kings 11:1,"Gdy tedy dowiedziała się Atalja, matka Achazjasza, że umarł syn jej, zabrała się i wytępiła cały ród królewski. "
