Index Title,Ecclesiastes
Ecclesiastes 10:4,"Jeżeliby gniew władcy powstał przeciw tobie, nie opuszczaj stanowiska twojego; bo uległość przytłumia grzechy wielkie. "
Ecclesiastes 10:5,"Jest zło, którem widział pod słońcem jako błąd, który wyszedł od władcy. "
Ecclesiastes 10:6,"Że umieszczana bywa głupota na wyżynach wielkich, gdy możni nisko zasiadają. "
Ecclesiastes 10:7,"Widziałem sługi na rumakach, a panów chodzących pieszo jako sługi na ziemi. "
Ecclesiastes 10:8,"Kto dół kopie może weń wpaść; a kto burzy mur, tego może żmija ukąsić. "
Ecclesiastes 10:9,Kto kamienie wyłamuje może niemi się urazić; kto rozłupuje drwa może się niemi skaleczyć. 
Ecclesiastes 10:10,"Jeżeli stępiło się żelazo, a nie naostrzyłby ostrza jego, tedy musi siły natężyć; ale pożytek z naprawy pochodzi od mądrości. "
Ecclesiastes 10:11,"Jeżeli żmija kąsa ponieważ zaklętą nie była, tedy nie ma zaklinający pożytku. "
Ecclesiastes 10:12,Wdzięczne są słowa z ust mędrca; ale wargi głupca pochłaniają go. 
Ecclesiastes 10:13,"Początek mowy ust jego - głupota, a koniec jego słów - szał złowrogi. "
Ecclesiastes 10:14,"A głupi mnoży tylko słowa, gdy przecież nie wie człowiek co będzie, a co się stanie po nim - któż mu to powie? "
Ecclesiastes 10:15,"Trud głupców nuży ich, choć nie zna nawet żaden drogi, która do miasta prowadzi. "
Ecclesiastes 10:16,"Biada ci, ziemio, której królem chłopiec, a której książęta od rana ucztują! "
Ecclesiastes 10:17,"Szczęsnaś ziemio, której król z rodu szlachetnych, a której książęta w właściwym czasie jadają, aby się posilić, a nie w opilstwie. "
Ecclesiastes 10:18,"Przez gnuśność zapada się powała, a przez opieszałość kapie w dom. "
Ecclesiastes 10:19,"Dla zabawy wyprawiają uczty, a wino rozwesela życie, a pieniądz pozwala na wszystko. "
Ecclesiastes 10:20,"Nawet w myśli swojej nie złorzecz królowi, a w komnatach twych sypialnych nie złorzecz możnemu; bo ptactwo pod niebem może wieść roznieść, a co oskrzydlone słowo rozgłosić. "
Ecclesiastes 11:1,"Puszczaj chleb twój na powierzchnię wód, gdyż po upływie wielu dni znów go odnajdziesz. "
Ecclesiastes 11:2,Udzielaj cząstkę dla siedmiu a nawet dla ośmiu; bo niewiesz jaka niedola spadnie na ziemię. 
Ecclesiastes 11:3,"Gdy się chmury deszczem napełniają, spuszczają go wtedy na ziemię; a gdy pada drzewo na południu albo na północy - gdziekolwiek drzewo upadło tam zostanie. "
Ecclesiastes 11:4,"Kto dogląda wiatru, ten nie sieje, a kto przypatruje się chmurom, nie zbiera. "
Ecclesiastes 11:5,"Tak jak niewiesz jaką jest droga wiatru i jak zrastają się kości w żywocie brzemiennej, tak nie poznasz spraw Boga, który wszystko zdziałał. "
Ecclesiastes 11:6,"Zrana wysiewaj ziarno twoje, a ku wieczorowi nie opuszczaj ręki twojej; bo nie wiesz co się powiedzie, czy to, czy owo, albo czy będą oba zarówno dobre. "
Ecclesiastes 11:7,"Słodkiem zaprawdę jest światło, a przyjemnie oczom widzieć słońce. "
Ecclesiastes 11:8,"Ale choćby człowiek wiele lat przeżył, niechaj cieszy się w tych wszystkich, a pamięta na dni ciemności, że dużo ich będzie - wszystko co jeszcze przyjdzie jest marnością. "
Ecclesiastes 11:9,"Ciesz się, młodzieńcze, w młodości twojej, a bądź wesołej myśli w młodocianych dniach twoich, a chodź dokąd cię serce ciągnie i za widokiem oczu twoich, ale pamiętaj, że cię Bóg o to wszystko na sąd przywiedzie. "
Ecclesiastes 11:10,"A tak usuń zgryzotę z serca twego, a oddal cierpienie od ciała twojego; bo wiek dziecięcy i młodzieńczy marne są. "
Ecclesiastes 12:1,"Pamiętaj tedy o Stwórcy swoim w dniach młodzieńczych twoich, zanim nadejdą dni złowrogie, a zbliżą się lata, o których powiesz: nie mam upodobania w nich. "
Ecclesiastes 12:2,"Zanim jeszcze słońce się zaćmi i światło i księżyc i gwiazdy, a chmury po deszczu znów powrócą. "
Ecclesiastes 12:3,"W dzień gdy stróże domu dygocą, a mężowie dzielni się uginają; a młynarki próżnują, bo ich coraz mniej, a ściemniają się wyglądający z poza krat. "
Ecclesiastes 12:4,"I zawierają się drzwi ku ulicy, przy uciszającym się klekocie młyna, gdy się każdy zrywa na szczebiot ptaka, a wszystko co do śpiewu służy przytłumione jest. "
Ecclesiastes 12:5,"Gdy występuje obawa przed każdą wyżyną, a zjawiają się straszydła po drodze, a zakwita drzewo migdałowe, a ociężałą jest szarańcza, a żądza przemija. Bo idzie człowiek do wiecznego domu swojego, a krążą po ulicach żałobnicy. "
Ecclesiastes 12:6,"Zanim jeszcze sznur srebrny się zerwie, a złota czasza się stłucze, a wiadro nad zdrojem się rozsypie, a skruszy się koło nad studnią. "
Ecclesiastes 12:7,"A wróci proch do ziemi, zkąd powstał, a duch wróci do Boga, który go dał. "
Ecclesiastes 12:8,"O, marność nad marnościami! rzecze Kohelet, wszystko marność! "
Ecclesiastes 12:9,"Ponadto jednak, że był Kohelet mędrcem, nauczał jeszcze lud poznania, a rozważał i badał i układał przypowieści liczne. "
Ecclesiastes 12:10,"Starał się też Kohelet wynaleść orzeczenia wdzięczne, napisane z prostotą, słowa prawdziwe. "
Ecclesiastes 12:11,"Słowa mędrców podobne do ościeni i gwoździ wbitych - te, które od przedstawicieli zborów pochodzą - podane przez pasterza jednego. "
Ecclesiastes 12:12,"A dalej, synu mój, daj się ostrzedz! Tworzeniu ksiąg licznych niemasz końca, a badanie zbytnie utrudza ciało. "
Ecclesiastes 12:13,"Celem wszystkich słów, które tu słyszano jest: Boga się obawiaj, a przykazań jego przestrzegaj! bo na tem polega cały człowiek. "
Ecclesiastes 12:14,"Bo wszelki czyn przywiedzie Bóg na sąd, który przychodzi na wszystko co tajne, czy to dobre czy złe. "
