Index Title,Zechariah
Zechariah 12:2,"Oto obrócę Jerozolimę w czarę odurzenia dla wszystkich ludów okolicznych, a zmuszony będzie i Juda uczestniczyć przy oblężeniu Jerozolimy. "
Zechariah 12:3,"I stanie się dnia onego, że uczynię Jerozolimę kamieniem ciężkim dla wszystkich ludów: Każdy, który go dźwignie urazi się i skaleczy, a choćby się zgromadziły przeciw niej wszystkie narody ziemi. "
Zechariah 12:4,"Dnia onego, rzecze Wiekuisty, porażę każdego konia strętwieniem, a każdego jeźdźca jego szałem; ale nad domem Judy będę miał oczy otwarte, gdy wszystkie rumaki narodów ślepotą porażę. "
Zechariah 12:5,"Wtedy pomyślą sobie książęta judzcy w sercu swojem: podporą silną są mi mieszkańcy Jerozolimy gwoli Wiekuistemu zastępów, Bogu ich. "
Zechariah 12:6,"Dnia onego włożę książęta judzkie niby patelnię rozżarzoną między drwa, i niby pochodnię gorejącą między snopy, tak że chłonąć będą na prawo i na lewo wszystkie narody okoliczne, Jerozolima zaś zostanie nadal na miejscu swem w Jerozolimie. "
Zechariah 12:7,"Przedewszystkiem dźwignie Wiekuisty namioty Judy, aby się sława domu Dawida i sława mieszkańców Jerozolimy nad Judą nie wywyższała. "
Zechariah 12:8,"Dnia onego osłoni Wiekuisty mieszkańców Jerozolimy, a będzie najsłabszy wpośród nich dnia onego jako Dawid, a dom Dawida jako istota boska, jako anioł Wiekuistego przed nimi. "
Zechariah 12:9,"I stanie się w on dzień, że postaram się wytępić wszystkie narody, któreby przyciągnęły przeciw Jerozolimie. "
Zechariah 12:10,"Wyleję zaś na dom Dawida i na mieszkańców Jerozolimy ducha łaski i miłosierdzia i spoglądać będą ku Mnie przy każdym, którego (poganie) przebiją, i opłakiwać go będą jako się opłakuje jedynaka, i gorzko nad nim zawodzić jako się zawodzi nad pierworodnym. "
Zechariah 12:11,"Dnia onego wielką będzie żałoba w Jerozolimie, jako żałoba pod Hadadrymonem, na równinie Megiddo. "
Zechariah 12:12,"I biadać będzie ziemia, każdy pojedynczy ród oddzielnie: ród domu Dawida oddzielnie, a niewiasty jego oddzielnie; ród domu Natana oddzielnie, a niewiasty jego oddzielnie. "
Zechariah 12:13,"Ród domu Lewiego oddzielnie, a niewiasty jego oddzielnie; ród Szymeonidów oddzielnie, a niewiasty ich oddzielnie. "
Zechariah 12:14,"I tak wszystkie pozostałe rody, każdy pojedynczy ród oddzielnie, a niewiasty ich oddzielnie. "
Zechariah 13:1,W on dzień otworzy się domowi Dawida i mieszkańcom Jerozolimy źródło na rozgrzeszenie się i oczyszczenie. 
Zechariah 13:2,"I stanie się dnia onego, rzecze Wiekuisty, że wytępię imiona bałwanów z ziemi, a nie będą więcej wspominane; proroków też i ducha nieczystości zniosę z ziemi. "
Zechariah 13:3,"Gdyby śmiał wszakże ktokolwiek jeszcze prorokować, tedy powiedzą mu ojciec i matka jego - właśni jego rodzice: umrzesz, przeto żeś kłamstwo głosił w imieniu Wiekuistego! I tak przebiją go ojciec i matka jego, właśni jego rodzice, gdy prorokować zechce. "
Zechariah 13:4,"Dnia onego zawstydzą się owi prorocy, każdy za widzenie swoje, gdyby prorokować chcieli, a nie włożą więcej kosmatego płaszcza, aby zwodzić. "
Zechariah 13:5,"Lecz powie każdy: Nie jestem prorokiem! Człowiekiem uprawiającym rolę jestem, gdyż nabył mnie ktoś na niewolnika od pierwszej młodości mojej. "
Zechariah 13:6,A jeśli się go kto zapyta: Co znaczą te blizny na rękach twoich? Tedy odpowie: tak poraniono mnie niegdyś w domu przyjaciół moich. 
Zechariah 13:7,"Mieczu, rozbudź się przeciw pasterzowi Mojemu, i przeciw mężowi Mi tak bliskiemu! rzecze Wiekuisty zastępów. Poraź pasterza, aby rozproszyły się owce, i abym zwrócił ku upośledzonym rękę Moję. "
Zechariah 13:8,"I będzie w całym kraju, rzecze Wiekuisty, że dwie części w nim wyginą i wymrą, a tylko część trzecia w nim zostanie. "
Zechariah 13:9,"Ale i tę część trzecią wprowadzę w ogień, i przetopię ją, jak się przetapia srebro, i oczyszczę ją, jak się oczyszcza złoto. Ona to wzywać będzie imienia Mojego, a Ja ją wysłucham; powiem jej: ludem Moim ty, a ona powie: Wiekuisty Bogiem moim. "
Zechariah 14:1,"Oto nadejdzie dzień Wiekuistego, a rozdzielone będą łupy twoje wpośród ciebie. "
Zechariah 14:2,"Zgromadzę wtedy wszystkie ludy do walki przeciw Jerozolimie, i zdobyte będzie miasto, domy ograbione, a kobiety shańbione; połowa miasta pójdzie w niewolę, ostatek jednak ludu nie będzie z miasta wytępiony. "
Zechariah 14:3,"Bo wystąpi Wiekuisty, i będzie walczył przeciw ludom onym, jako zwykł walczyć w dzień spotkania. "
Zechariah 14:4,"I staną nogi Jego w on dzień na górze oliwnej, która przed Jerozolimą po stronie wschodniej, i rozpadnie się góra oliwna z pośrodka swego ku wschodowi i zachodowi na dolinę niezmiernie wielką, tak że usunie się jedna połowa góry ku północy, druga ku południowi. "
Zechariah 14:5,"Wy wszakże schronicie się do doliny gór Moich - albowiem dolina między górami sięgnie do Acel - będziecie zaś uciekali, jakoście uciekali przed trzęsieniem ziemi za dni Uzyi, króla Judy, gdy nadejdzie Wiekuisty, Bóg mój, a wszyscy święci z Tobą. "
Zechariah 14:6,"I stanie się dnia onego, że nie będzie więcej światła (mieszanego) z jasności i pomroki. "
Zechariah 14:7,"A będzie dzień jeden - Wiekuistemu wiadomy - ani dniem on ani nocą, wszakże ku wieczorowi się rozjaśni. "
Zechariah 14:8,"I stanie się dnia onego, że wypłyną żywe wody z Jerozolimy: połowa ich do morza wschodniego, a połowa ich do morza zachodniego, latem i zimą tak będzie. "
Zechariah 14:9,"I będzie wtedy Wiekuisty królem nad wszystką ziemią; w on dzień będzie Wiekuisty jedyny, i imię Jego jedyne. "
Zechariah 14:10,"Stanie się cały kraj podobny do doliny od Geba do Rimmonu na południu Jerozolimy. Ta zaś wzniesie się i pozostanie niewzruszenie na miejscu swojem od bramy Binjamina aż do miejsca bramy dawniejszej czyli do bramy narożnej, i od wieży Chananela aż do tłoczni królewskich. "
Zechariah 14:11,"I będą mieszkali w niej; zaklęcia nie będzie więcej, a Jerozolima osiądzie bezpiecznie. "
Zechariah 14:12,"Taka zaś będzie plaga, jaką uderzy Wiekuisty wszystkie ludy, które wyruszyły do walki przeciw Jerozolimie: Zaniknie ciało każdego, podczas gdy jeszcze na nogach swych stać będzie; zanikną mu oczy w jamach swoich, i zaniknie mu język w ustach. "
Zechariah 14:13,"Dnia onego padnie popłoch wielki od Wiekuistego, na nich, tak że uchwyci jeden rękę drugiego, a ręka jednego przeciw ręce drugiego się podniesie. "
Zechariah 14:14,"I Juda też walczyć będzie przeciw Jerozolimie; a wtedy zagarnięte będą bogactwa wszystkich ludów dokoła, złota, srebra i szat moc wielka. "
Zechariah 14:15,"Równa też spadnie plaga na konie, muły, wielbłądy i osły, w ogóle na wszelakie bydło znajdujące się w onych obozach wojennych - będzie to plaga do wymienionej podobna. "
Zechariah 14:16,"Ci jednak co pozostaną ze wszystkich onych narodów, które pociągnęły były przeciw Jerozolimie, wyruszą rok rocznie, by ukorzyć się królowi, Wiekuistemu zastępów, i aby obchodzić święto szałasów. "
Zechariah 14:17,"Ktoby zaś z rodów ziemi nie wyruszył do Jerozolimy, by ukorzyć się królowi, Wiekuistemu zastępów - na tego (ziemię) deszcz nie spadnie. "
Zechariah 14:18,"A jeżeli ród Micraimu nie wyruszy, a nie stawi się - czyż nie spadnie i na nich owa plaga, jaką uderzy Wiekuisty narody, które nie wyruszą, by obchodzić święto szałasów? "
Zechariah 14:19,"Taka otóż będzie kaźń Micraimu, i kaźń wszystkich narodów, któreby nie wyruszyły na obchód święta szałasów. "
Zechariah 14:20,Dnia onego będzie na dzwonkach koni napis: poświęcone Wiekuistemu! a będą kotły w domu Wiekuistego jako kropielnice przed ofiarnicą. 
Zechariah 14:21,"Każdy kocioł w Jerozolimie i w Judzie poświęcony będzie Wiekuistemu zastępów; i przyjdą wszyscy ofiarujący, aby je brać i w nich warzyć, a nie będzie więcej kramarza w domu Wiekuistego zastępów dnia onego. "
