Index Title,Hosea
Hosea 13:16,"Odpokutuje Szomron, bo powstało przeciw Bogu swojemu, od miecza legną, niemowlęta ich roztrącone będą, a brzemienne ich rozrzynane. "
Hosea 14:1,"Wróć Israelu do Boga twojego, boś upadł przez winy twoje! "
Hosea 14:2,"Zabierzcie ze sobą słowa (skruchy) i nawróćcie się do Wiekuistego; mówcie do Niego: wszelką winę odpuść, a przyjm poprawę naszę, chcemy spłacić za cielca ustami naszemi. "
Hosea 14:3,"Aszur nie będzie już pomocą naszą, na rumakach (jego) jeździć nie chcemy, ani nazywać nadal Bogiem naszym dzieło rąk naszych, gdyż u Ciebie tylko znajdzie zmiłowanie osierocony. "
Hosea 14:4,"Wtedy uleczę ich z przekory ich, umiłuję ich łaskawie, bo odwróci się gniew Mój od nich. "
Hosea 14:5,"Będę jako rosa dla Israela, zakwitnie jako lilia, a zapuści korzenie jako Liban. "
Hosea 14:6,"Rozwiną się odrośle jego, a będzie jako oliwnik blask jego, a woń jego jako Libanu. "
Hosea 14:7,"Wrócą, którzy niegdyś mieszkali pod cieniem jego, ożyją jako zboże, a zakwitną jako winograd i sława jego jako wina Libanu. "
Hosea 14:8,"Efraim powie: Cóż mi odtąd po bałwanach? Ja jeden wysłucham i wejrzę nań, Ja ci będę jako cyprys zielony, odemnie owoc twój się znajdzie. "
Hosea 14:9,"Kto mądry zrozumie to, kto roztropny pozna, że proste są drogi Wiekuistego; sprawiedliwi kroczą niemi, a tylko odstępcy upadają na nich. "
