Index Title,Deuteronomy
Deuteronomy 5:2,"Wiekuisty, Bóg nasz, zawarł z nami przymierze na Chorebie: "
Deuteronomy 5:3,"Nie z ojcami naszymi zawarł Wiekuisty to przymierze, - ale z nami, - z nami, którzyśmy tu wszyscy dziś przy życiu; "
Deuteronomy 5:4,"Twarzą w twarz przemawiał Wiekuisty z wami na górze, z pośród ognia, -  "
Deuteronomy 5:5,"Ja zaś stałem między Wiekuistym i między wami podówczas, abym obwieszczał wam słowo Wiekuistego, bo obawialiście się ognia, a nie wstąpiliście na górę, - i rzekł: "
Deuteronomy 5:6,"""Jam Wiekuisty, Bóg twój, którym cię wywiódł z ziemi Micraim, z domu niewoli! "
Deuteronomy 5:7,Nie będziesz miał bogów innych przed obliczem Mojém! 
Deuteronomy 5:8,"Nie uczynisz sobie rzeźby, żadnej podobizny tego, co na niebie wysoko, i co na ziemi nisko, albo co w wodzie poniżej ziemi! "
Deuteronomy 5:9,"Nie będziesz się im korzył, ani służył im, - gdyż Ja Wiekuisty, Bóg twój, Bóg żarliwy, pomny winy ojców na synach, do trzeciego i czwartego pokolenia nienawidzących Mnie, -  "
Deuteronomy 5:10,"A świadczący miłosierdzie tysiącznemu pokoleniu miłujących Mnie, i przestrzegających przykazań Moich! "
Deuteronomy 5:11,"Nie wzywaj imienia Wiekuistego Boga twojego do fałszu; gdyż nie przepuści Wiekuisty temu, który wzywa imienia jego do fałszu! "
Deuteronomy 5:12,"Przestrzegaj dnia Sobotniego, abyś go święcił, jako rozkazał ci Wiekuisty, Bóg twój! "
Deuteronomy 5:13,"Sześć dni pracuj, i wykonywaj wszelaką robotę twoję; "
Deuteronomy 5:14,"Ale dzień siódmy - Sabbat Wiekuistemu, Bogu twojemu, - nie czyń żadnej roboty, ani ty, ani syn twój, ani córka twoja, ani sługa twój, ani służebnica twoja, ani wół, ani osieł twój, ani żadne bydlę twoje, ani obcy, który w bramach twoich, aby wypoczął sługa twój, i służebnica twoja, jako i ty. "
Deuteronomy 5:15,"A pamiętaj, żeś niewolnikiem był w ziemi Micraim, i wywiódł cię Wiekuisty, Bóg twój, ztamtąd ręką przemożną, i ramieniem wyciągniętém, a przeto przykazał ci Wiekuisty, Bóg twój, obchodzić dzień Sobotni! "
Deuteronomy 5:16,"Czcij ojca twego, i matkę twoję, jako przykazał ci Wiekuisty, Bóg twój, aby się przedłużyły dni twoje, i aby ci dobrze było na ziemi, którą Wiekuisty, Bóg twój, oddaje tobie! "
Deuteronomy 5:17,Nie zabijaj; 
Deuteronomy 5:18,i nie łam małżeńskiej wiary; 
Deuteronomy 5:19,i nie kradnij; 
Deuteronomy 5:20,i nie dawaj przeciw bliźniemu twemu świadectwa fałszywego! 
Deuteronomy 5:21,"I nie pożądaj żony bliźniego twojego, ani pragnij domu bliźniego twego, pola jego, albo sługi jego, albo służebnicy jego, wołu albo osła jego, ani niczego, co do bliźniego twego należy!"" "
Deuteronomy 5:22,"Słowa te wyrzekł Wiekuisty do całego zgromadzenia waszego, na górze, z pośród ognia, obłoku i mgły, głosem doniosłym, nieprzerwanym, i spisał je na dwu tablicach kamiennych, i oddał je mnie; "
Deuteronomy 5:23,"A gdyście usłyszeli głos ten z pośród ciemności, a góra płonęła ogniem, - przystąpiliście do mnie, wszyscy naczelnicy pokoleń waszych, i starsi wasi, -  "
Deuteronomy 5:24,"I rzekliście: ""Oto ukazał nam Wiekuisty, Bóg nasz, chwałę Swoję, i wielkość Swoję; a i głos Jego słyszeliśmy z pośród ognia; dnia dzisiejszego widzieliśmy, że przemawia Bóg do człowieka - a on żywym zostaje; "
Deuteronomy 5:25,"A teraz, pocóż nam umierać? Wszak pożre nas ogień ten wielki; jeżeli dalej usłyszym głos Wiekuistego, Boga naszego, pomrzemy! "
Deuteronomy 5:26,"Albowiem gdzież którykolwiek śmiertelny, któryby słyszał głos Boga żywego, przemawiającego z pośród ognia, jako my, - a żywym pozostał? "
Deuteronomy 5:27,"Przystąpże ty, a wysłuchaj wszystko, co powié Wiekuisty, Bóg nasz, tobie, abyśmy to usłyszeli i spełnili!"" "
Deuteronomy 5:28,"I usłyszał Wiekuisty głos słów waszych, gdyście mówili ze mną, i rzekł Wiekuisty do mnie: ""Słyszałem głos słów ludu tego, które mówili do ciebie, - dobrém to wszystko, co powiedzieli! "
Deuteronomy 5:29,"Oby téż serce ich pozostało takiém, aby się obawiali Mnie, i przestrzegali wszystkich przykazań Moich po wszystkie dni, aby dobrze było im, i synom ich na wieki! "
Deuteronomy 5:30,"Idźże, a powiedz im: wróćcie do namiotów waszych! "
Deuteronomy 5:31,"Ty zaś zostań tu przy Mnie, a powiem ci wszystkie przykazania i ustawy i prawa, których ich nauczać będziesz, aby je spełniali na ziemi, którą oddaję im w posiadanie!"" "
Deuteronomy 5:32,"A przeto starajcie się postępować tak, jako rozkazał wam Wiekuisty, Bóg wasz; nie zbaczajcie ani na prawo, ani na lewo. "
Deuteronomy 5:33,"Całą drogą, którą wskazał wam Wiekuisty, Bóg wasz, postępujcie, abyście żyli i dobrze się wam wiodło, i żebyście przedłużyli dni wasze na ziemi, którą posiądziecie. "
Deuteronomy 6:1,"A oto przykazania, ustawy i prawa, których rozkazał Wiekuisty, Bóg wasz, nauczyć was, abyście je spełniali na ziemi, do której idziecie, by ją posiąść: "
Deuteronomy 6:2,"Żebyś się obawiał Wiekuistego, Boga twojego, przestrzegając wszystkich ustaw i przykazań Jego, które ci przykazuję, - ty i synowie twoi, i synowie synów twoich, po wszystkie dni życia twego, - i aby się przedłużyły dni twoje; "
Deuteronomy 6:3,"Abyś słuchał Israelu, a starał się to spełnić, aby ci dobrze było, i żebyście się rozmnożyli bardzo, - jako przyrzekł ci Wiekuisty, Bóg ojców twoich, - na ziemi, opływającej mlekiem i miodem. "
Deuteronomy 6:4,"Słuchaj, Israelu! Wiekuisty, Bóg nasz, Wiekuisty - jedyny! "
Deuteronomy 6:5,"A będziesz miłował Wiekuistego, Boga twojego, całém sercem twojém, i całą duszą twoją, i całą mocą twoją. "
Deuteronomy 6:6,"I niechaj będą słowa te, które ci przykazuję dzisiaj, na sercu twojém! "
Deuteronomy 6:7,"I wpajaj je dzieciom twoim, i rozmawiaj o nich, bawiąc w domu twoim, i idąc drogą, i kładąc się, i wstawając. "
Deuteronomy 6:8,"I nawiążesz je jako znak na rękę twoję, i niechaj będą przepaską między oczyma twojemi. "
Deuteronomy 6:9,"I napiszesz je na podwojach domu twego, i na bramach twoich! "
Deuteronomy 6:10,"A gdy wprowadzi cię Wiekuisty, Bóg twój, do ziemi, którą zaprzysiągł ojcom twoim, Abrahamowi, Ic'hakowi, i Jakóbowi, że ją da tobie, - miasta wielkie i piękne, których nie budowałeś; -  "
Deuteronomy 6:11,"I domy pełne dóbr wszelakich, których nie napełniałeś; - i studnie wyciosane, których nie wyciosałeś; winnice i oliwnice, których nie sadziłeś, - a będziesz pożywał, i nasycisz się, -  "
Deuteronomy 6:12,"Strzeżże się, abyś nie zapomniał Wiekuistego, który cię wywiódł z ziemi Micraim, z domu niewoli! "
Deuteronomy 6:13,"Wiekuistego, Boga twojego, obawiaj się, i Jemu służ, i na imię Jego przysięgaj! "
Deuteronomy 6:14,"Nie uganiajcie się za bogami cudzymi, z pośród bóstw ludów, które wokoło was! "
Deuteronomy 6:15,"Gdyż Bogiem żarliwym - Wiekuisty, Bóg twój, w pośród ciebie; aby nie wspłonął gniew Wiekuistego, Boga twojego, przeciw tobie, a nie wytępił cię z oblicza ziemi! "
Deuteronomy 6:16,"Nie doświadczajcie Wiekuistego, Boga waszego, jakeście doświadczali Go w Massa! "
Deuteronomy 6:17,"Ściśle przestrzegajcie przykazań Wiekuistego, Boga waszego, i świadectw jego, i ustaw Jego, które ci przykazał. "
Deuteronomy 6:18,"A czyń, co prawe i dobre w oczach Wiekuistego, aby ci się dobrze wiodło, i abyś poszedł i zdobył ową ziemię piękną, którą zaprzysiągł Wiekuisty ojcom twoim; "
Deuteronomy 6:19,"Aby wyrugował wszystkich wrogów twoich przed tobą, jako wyrzekł Wiekuisty. "
Deuteronomy 6:20,"Gdy zapyta cię syn twój w przyszłości, i powie: ""Cóż to za świadectwa, i ustawy i prawa, które przykazał wam Wiekuisty, Bóg nasz?"" "
Deuteronomy 6:21,"Odpowiesz wtedy synowi twemu: ""Niewolnikami byliśmy Faraona w Micraim, i wywiódł nas Wiekuisty z Micraim ręką przemożną; "
Deuteronomy 6:22,"I czynił Wiekuisty znamiona, i cuda wielkie i dotkliwe nad Micraim, nad Faraonem i nad całym domem jego w oczach naszych; "
Deuteronomy 6:23,"A nas wywiódł ztamtąd, aby zaprowadzić nas, i oddać nam ziemię, którą zaprzysiągł ojcom naszym. "
Deuteronomy 6:24,"I przykazał nam Wiekuisty spełniać wszystkie te ustawy, - obawiać się Wiekuistego, Boga naszego, aby nam dobrze było po wszystkie dni, aby nam życie zachować, jako i dziś. "
Deuteronomy 6:25,"I będzie to zasługą naszą, gdy będziemy się starali spełniać cały ten zakon przed Wiekuistym, Bogiem naszym, jako przykazał nam. "
Deuteronomy 7:1,"Gdy zaprowadzi cię Wiekuisty, Bóg twój, do ziemi, do której idziesz, abyś ją posiadł, i wyruguje narody liczne przed obliczem twojém: Chittejczyka, i Girgaszytę, i Emorejczyka, i Kanaanejczyka, i Peryzejczyka, i Chywitę, i Jebusytę, - siedm narodów większych i silniejszych od ciebie, -  "
Deuteronomy 7:2,"A wyda je Wiekuisty, Bóg twój, tobie, że porazisz je: podaj je wtedy zaklęciu; nie zawieraj z niemi przymierza, ani oszczędzaj ich, -  "
Deuteronomy 7:3,"I nie spowinowacaj się z niemi; córki twojej nie wydawaj za syna jego, i córki jego nie bierz dla syna twego; "
Deuteronomy 7:4,"Gdyżby odwiódł syna twego odemnie, a służyliby bogom cudzym, że wspłonąłby gniew Wiekuistego na was, a wytępiłby cię rychło; "
Deuteronomy 7:5,"Lecz tak postępujcie z nimi: ofiarnice ich zburzcie, a posągi ich pokruszcie, a gaje ich wyrąbcie, a bałwany ich popalcie ogniem. "
Deuteronomy 7:6,"Boś ty lud święty Wiekuistemu, Bogu twojemu; ciebie wybrał Wiekuisty, Bóg twój, abyś był ludem Jego wyłącznym, ze wszystkich ludów na powierzchni ziemi; "
Deuteronomy 7:7,"Nie przeto, żebyście liczniejsi byli, niż wszystkie ludy, polubił was Wiekuisty, i wybrał was, - wyście wszak najmniej liczni ze wszystkich ludów; "
Deuteronomy 7:8,"Lecz dla miłości Wiekuistego ku wam, i dla zachowania przysięgi, którą zaprzysiągł ojcom waszym, wywiódł was Wiekuisty ręką przemożną, i oswobodził cię z domu niewoli, z ręki Faraona, króla Micraim. "
Deuteronomy 7:9,"A tak wiedz, że Wiekuisty, Bóg twój, jedynie Bogiem jest, Bogiem rzetelnym, który zachowuje przymierze i łaskę miłującym Go i przestrzegającym przykazań Jego, - do tysiącznego pokolenia; "
Deuteronomy 7:10,"A odpłaca nienawidzącym Go - każdemu w obliczu jego, aby go zagubić; nie omieszka nienawidzącemu Go, w obliczu jego odpłaci mu. "
Deuteronomy 7:11,"I tak przestrzegaj zakonu, i ustaw, i praw, które przykazuję ci dzisiaj, abyś je spełniał. "
Deuteronomy 7:12,"I stanie się, za to, że słuchać będziecie praw tych strzegąc i spełniając je, - że ci wtedy dochowa Wiekuisty, Bóg twój, przymierza i łaski, które zaprzysiągł ojcom twoim; "
Deuteronomy 7:13,"I umiłuje cię, i pobłogosławi, i rozmnoży cię, i pobłogosławi owoc żywota twojego, i owoc ziemi twojej, zboże twoje i moszcz twój, i oliwę twoję, płód rogacizny twojej, i przychowek trzód twoich, na ziemi, którą zaprzysiągł ojcom twoim oddać tobie. "
Deuteronomy 7:14,"Błogosławionym będziesz nad wszystkie ludy; nie będzie u ciebie niepłodnego, ani niepłodnej, - nawet między bydłem twojém. "
Deuteronomy 7:15,"I oddali Wiekuisty od ciebie wszelką niemoc, i wszelkie choroby Micraimu dotkliwe, które znasz; nie dopuści ich na cię, lecz sprowadzi je na wszystkich nieprzyjaciół twoich; "
Deuteronomy 7:16,"I pochłoniesz wszystkie te ludy, które Wiekuisty, Bóg twój, poda tobie; nie użali się nad niemi oko twoje, abyś nie służył bogom ich: bo byłoby to zasadzką dla ciebie. "
Deuteronomy 7:17,"Gdybyś powiedział w sercu twojém: ""liczniejsze są narody te odemnie, - jakże zdołam je wypędzić?"" "
Deuteronomy 7:18,"Nie obawiaj się ich; - wspomnij na to, co uczynił Wiekuisty, Bóg twój, Faraonowi, i całemu Micraim; "
Deuteronomy 7:19,"Na owe doświadczenia wielkie, które widziały oczy twoje, i na znamiona i cuda, i rękę przemożną, i ramię podniesione, któremi cię wywiódł Wiekuisty, Bóg twój; - tak to uczyni Wiekuisty, Bóg twój, wszystkim ludom, których się obawiasz; "
Deuteronomy 7:20,"Szerszeni téż naszle Wiekuisty, Bóg twój, na nie, aż wyginą pozostali i ukryci przed obliczem twojém; "
Deuteronomy 7:21,"Nie lękaj się ich; gdyż Wiekuisty, Bóg twój, wpośród ciebie, Bóg wielki i groźny! "
Deuteronomy 7:22,"I wyruguje Wiekuisty, Bóg twój, narody te przed tobą powoli; nie wytępisz ich szybko, by nie namnożyły się przeciw tobie zwierzęta dzikie. "
Deuteronomy 7:23,"I wyda je Wiekuisty, Bóg twój, tobie, i przerazi je przerażeniem wielkiém, aż wytępione będą. "
Deuteronomy 7:24,"I wyda królów ich w ręce twoje, i zgładzisz imię ich z pod nieba; nie ostoi się nikt przed tobą, póki nie wytępisz ich. "
Deuteronomy 7:25,"Posągi bóstw ich popalisz ogniem; nie pożądaj srebra i złota na nich, by je zabierać sobie: abyś się nie usidlił w niém; ponieważ ohydą to dla Wiekuistego, Boga twojego; "
Deuteronomy 7:26,"A nie wnoś ohydy w dom twój, abyś nie uległ zaklęciu, jak ono: brzydzić się tém będziesz, a pogardzać niém, bo zaklęte to! "
Deuteronomy 8:1,"Wszystkie przykazania, które nakazuję wam dzisiaj, starajcie się spełniać, abyście żyli, i rozmnożyli się, i weszli i zdobyli ziemię, którą zaprzysiągł Wiekuisty ojcom waszym; "
Deuteronomy 8:2,"A pamiętaj na całą drogę, którą cię prowadził Wiekuisty, Bóg twój, oto już czterdzieści lat po pustyni, aby cię ukorzyć, aby cię doświadczyć i poznać, co w sercu twojém, - czy będziesz przestrzegał przykazań Jego, czy téż nie? "
Deuteronomy 8:3,"Przeto upokarzał cię, i morzył cię głodem, i karmił cię manną, którejś nie znał ani znali ojcowie twoi, - aby ci pokazać, iż nie samym chlebem żyje człowiek, ale i przez każde wyrzeczenie ust Wiekuistego, żyć może człowiek; "
Deuteronomy 8:4,"Odzież twoja nie zwiotszała na tobie, a noga twoja nie nabrzmiała - oto już czterdzieści lat. "
Deuteronomy 8:5,"I tak poznaj w sercu swojém, że jako naucza człowiek syna swego, tak Wiekuisty, Bóg twój, naucza ciebie! "
Deuteronomy 8:6,"Przestrzegaj tedy przykazań Wiekuistego, Boga twojego, abyś chodził drogami Jego, i obawiał się Go; "
Deuteronomy 8:7,"Albowiem Wiekuisty, Bóg twój, prowadzi cię do ziemi pięknej, do ziemi, gdzie potoki wód, źródła i tonie wypływają po dolinach i górach; "
Deuteronomy 8:8,"Do ziemi pszenicy, i jęczmienia, i winogradu, i fig, i granatowych drzew; do ziemi oliwników i miodu; "
Deuteronomy 8:9,"Do ziemi, w której bez skąpienia będziesz pożywał chléb, i gdzie na niczém zbywać ci nie będzie; do ziemi, której kamienie żelazem, a z której gór wydobywać będziesz miedź; "
Deuteronomy 8:10,"I będziesz jadł i nasycisz się; i będziesz błogosławił Wiekuistego, Boga twojego, za ziemię piękną, którą dał tobie. "
Deuteronomy 8:11,"Strzeż się, abyś nie zapomniał Wiekuistego, Boga twego, abyś nie zaniedbał przykazań, i praw, i ustaw Jego, które ci dzisiaj nakazuję! "
Deuteronomy 8:12,"By gdy jeść będziesz do syta, i domy piękne pobudujesz, a zamieszkasz w nich, -  "
Deuteronomy 8:13,"A rogacizny i trzód ci się namnoży, srebra téż i złota ci się namnoży, i wszystko co twoje się rozmnoży, -  "
Deuteronomy 8:14,"Nie wyniosło się serce twoje, abyś zapomniał Wiekuistego, Boga twojego, który cię wywiódł z ziemi Micraim, z domu niewoli, -  "
Deuteronomy 8:15,"Który cię przeprowadził przez tę pustynię wielką i straszną, gdzie żmije, węże jadowite, i niedźwiadki, i susza bezwodna, a wytoczył ci wodę ze skały krzemiennej; "
Deuteronomy 8:16,"Który karmił cię na pustyni manną, której nie znali ojcowie twoi, - aby cię ukorzyć i doświadczyć, aby ci dobrze uczynić w przyszłości twojej! -  "
Deuteronomy 8:17,Abyś nie rzekł w sercu swojém: siła moja i moc ręki mojej zdobyła mi te dobra; 
Deuteronomy 8:18,"Lecz pamiętaj na Wiekuistego, Boga twojego, - iż On to jest, który ci użycza siły ku nabywaniu dóbr, - aby stwierdzić przymierze Swoje, które zaprzysiągł ojcom twoim, jako dziś widzisz. "
Deuteronomy 8:19,"I będzie, gdy zapomnisz Wiekuistego, Boga twojego, a pójdziesz za bogami cudzymi, i będziesz im służył i korzył się im, - to ostrzegam was dzisiaj, że zginąć zginiecie! "
Deuteronomy 8:20,"Jako narody, które Wiekuisty gubi przed wami, tak zginiecie i wy za to, że nie posłuchacie głosu Wiekuistego Boga waszego. "
Deuteronomy 9:1,"Słuchaj Israelu! ty przeprawisz się dziś za Jarden, by pójść zawładnąć narodami większemi i silniejszemi od ciebie, miastami wielkiemi i warownemi aż pod niebo; "
Deuteronomy 9:2,"Ludem wielkim i rosłym, synami Enakitów, które znasz, i o którycheś słyszał: ""Kto ostoi się przed synami Enaka!"" "
Deuteronomy 9:3,"Wiedzże teraz, iż Wiekuisty, Bóg twój, Sam idzie przed tobą, jako ogień trawiący; On je wytępi, i On je zegnie przed tobą, że je wypędzisz, a zgładzisz szybko, jako ci przyrzekł Wiekuisty. "
Deuteronomy 9:4,"Nie mów wszakże w sercu swém, gdy je wyruguje Wiekuisty, Bóg twój, przed obliczem twojém, - powiadając: dla zasługi mojej przywiódł mnie Wiekuisty, abym posiadł tę ziemię, - a dla niegodziwości tych narodów Wiekuisty wypędza je przed obliczem twojém; -  "
Deuteronomy 9:5,"Nie dla zasługi twojej, ani dla prawości serca twego wchodzisz, by posiąść ich ziemię, - lecz dla niegodziwości narodów tych, Wiekuisty, Bóg twój, wypędza je przed obliczem twojém, i aby stwierdził słowo, które zaprzysiągł Wiekuisty ojcom twoim, Abrahamowi, Ic'hakowi, i Jakóbowi! "
Deuteronomy 9:6,"Wiedzże tedy, że nie dla zasługi twojej, Wiekuisty, Bóg twój, oddaje ci tę ziemię piękną, abyś ją posiadł, - boś ty lud twardego karku! "
Deuteronomy 9:7,"Pamiętaj, a nie zapominaj, jakoś jątrzył Wiekuistego, Boga twojego, na pustyni; od onego dnia, któregoś wyszedł z ziemi Micraim, aż do przyjścia waszego na to miejsce, przekorni byliście Wiekuistemu! "
Deuteronomy 9:8,"I przy Chorebie jątrzyliście Wiekuistego, i rozgniewał się Wiekuisty na was, tak, że chciał was wytępić. "
Deuteronomy 9:9,"Gdym wstąpił na górę, by wziąć tablice kamienne, tablice przymierza, które zawarł Wiekuisty z wami, i przebyłem na górze czterdzieści dni, i czterdzieści nocy, chleba nie jadłem, ani wody nie piłem; "
Deuteronomy 9:10,"Dał mi wtedy Wiekuisty dwie tablice kamienne, opisane palcem Bożym; a na nich wszystkie słowa, które wyrzekł Wiekuisty do was na górze z pośród ognia, w dzień zgromadzenia; "
Deuteronomy 9:11,"I stało się po upływie czterdziestu dni, i czterdziestu nocy, że dał mi Wiekuisty dwie tablice kamienne, tablice przymierza; "
Deuteronomy 9:12,"I rzekł Wiekuisty do mnie: powstań, znijdź ztąd czémprędzej, bo skaził się lud twój, któryś wywiódł z Micraim; zboczyli rychło z drogi, którąm wskazał im: zrobili sobie litego bałwana! "
Deuteronomy 9:13,"I oświadczył mi Wiekuisty, i rzekł: ""Widzę Ja ten lud, oto lud to twardego karku; "
Deuteronomy 9:14,"Odstąp odemnie, a wytępię ich, i zgładzę imię ich z pod nieba; a uczynię z ciebie naród możniejszy i liczniejszy od niego!"" "
Deuteronomy 9:15,"I zwróciłem się, i zstąpiłem z góry, - góra zaś płonęła ogniem, - a dwie tablice przymierza na obu rękach moich; "
Deuteronomy 9:16,"I spojrzałem, a oto - zgrzeszyliście Wiekuistemu, Bogu waszemu; uczyniliście sobie cielca litego, zboczyliście rychło z drogi, którą wskazał wam Wiekuisty! "
Deuteronomy 9:17,"Pochwyciwszy tedy owe dwie tablice, rzuciłem je z obu rąk moich, a rozbiłem je przed oczyma waszemi! "
Deuteronomy 9:18,"I upadłem przed obliczem Wiekuistego, jak przedtém, - czterdzieści dni i czterdzieści nocy, chleba nie jadłem, i wody nie piłem, - dla wszystkich grzechów waszych, któremiście zgrzeszyli, czyniąc zło w oczach Wiekuistego, jątrząc Go; "
Deuteronomy 9:19,"Gdyż obawiałem się gniewu i zapalczywości, któremi rozgniewał się był Wiekuisty na was, chcąc wytępić was, - i wysłuchał mnie Wiekuisty i tym razem; "
Deuteronomy 9:20,"Na Ahrona téż rozgniewał się Wiekuisty bardzo, chcąc go zagubić; i modliłem się téż za Ahronem onegoż czasu. "
Deuteronomy 9:21,"I grzeszne dzieło wasze, któreście uczynili, - cielca tego wziąłem, i spaliłem go ogniem, i rozbiłem go, krusząc dobrze, aż się stał miałkim jak proch, i wrzuciłem proch jego w potok spływający z góry; "
Deuteronomy 9:22,"I w Thabera, i w Massa, i w Kibroth-Hataawa, rozdrażnialiście Wiekuistego. "
Deuteronomy 9:23,"A gdy wysyłał was Wiekuisty z Kadesz-Barnea, mówiąc: ""Idźcie, a zdobądźcie ziemię, którą oddaję wam,"" - sprzeciwiliście się również słowu Wiekuistego, Boga waszego, i nie ufaliście Mu, aniście słuchali głosu Jego; "
Deuteronomy 9:24,"Przekorni byliście Wiekuistemu od dnia, którego was poznałem... "
Deuteronomy 9:25,"I tak przeleżałem przed obliczem Wiekuistego owe czterdzieści dni, i czterdzieści nocy, przez które przeleżałem, - gdyż wyrzekł Wiekuisty, że wytępi was; "
Deuteronomy 9:26,"I modliłem się do Wiekuistego, i rzekłem: Panie, Wiekuisty! Nie gub ludu Twego, i udziału Twego, któryś wyzwolił wielkością Twoją, któryś wywiódł, z Micraim ręką potężną; "
Deuteronomy 9:27,"Wspomnij na sługi Twoje, Abrahama, Ic'haka, i Jakóba! nie zważaj na upór ludu tego, na niegodziwość jego, i na grzeszność jego! "
Deuteronomy 9:28,"Aby nie rzekli mieszkańcy ziemi, z której wywiodłeś nas: ""Przeto, iż nie mógł Wiekuisty wprowadzić ich do ziemi, którą im przyrzekł, i dla nienawiści ku nim, wywiódł ich, aby ich zagubić na pustyni!"" "
Deuteronomy 9:29,"A oni wszak lud Twój, i udział Twój, któryś wywiódł w mocy Twojej wielkiej, i ramieniem Twojém podniesioném!"" "
Deuteronomy 10:1,"W owym to czasie rzekł Wiekuisty do mnie: ""Wyciosaj sobie dwie tablice kamienne, podobne do pierwszych, i wstąp do Mnie na górę, i sporządź sobie skrzynię drewnianą; "
Deuteronomy 10:2,"A napiszę na tablicach tych słowa, które znajdowały się na tablicach pierwszych, któreś rozbił, a włożysz je do skrzyni!"" "
Deuteronomy 10:3,"Sporządziłem tedy skrzynię z drzewa akacyowego, i wyciosałem dwie tablice kamienne, podobne do pierwszych, i wstąpiłem na górę, a dwie tablice w ręku moim: "
Deuteronomy 10:4,"I napisał On na tablicach, na podobieństwo pisma poprzedniego, owe dziesięć słów, które wyrzekł Wiekuisty do was na górze zpośród ognia, w dzień zgromadzenia, i dał je Wiekuisty mnie. "
Deuteronomy 10:5,"I zwróciłem się, i zstąpiłem z góry, i złożyłem tablice owe do skrzyni, którą sporządziłem, i zostały tam, jako mi rozkazał Wiekuisty... "
Deuteronomy 10:6,"Synowie zaś Israela wyruszyli wtedy ze studzien Bne-Jaakan ku Mosera; tam umarł Ahron, i tam pochowany został, i piastował kapłaństwo syn jego, Elazar, miasto niego. "
Deuteronomy 10:7,"Ztamtąd wyruszyli do Gudgod, a z Gudgod do Jotbatha, do ziemi obfitującej w potoki wód... "
Deuteronomy 10:8,"Wówczas to oddzielił Wiekuisty pokolenie Lewi, aby nosiło arkę przymierza Wiekuistego, aby stawało przed obliczem Wiekuistego, do usługi Jemu, i aby błogosławiło w imieniu Jego aż po dziś dzień. "
Deuteronomy 10:9,"Przeto nie dostało się Lewiemu części ani udziału przy braciach jego: Wiekuisty, - On udziałem jego, jako mu powiedział Wiekuisty, Bóg twój. "
Deuteronomy 10:10,"I tak zostawałem na górze, jako za dni poprzednich, czterdzieści dni i czterdzieści nocy; i wysłuchał mnie Wiekuisty i na ten raz: nie chciał Wiekuisty zagubić cię; "
Deuteronomy 10:11,"I rzekł Wiekuisty do mnie: ""Wstań, wyrusz w drogę przed ludem tym, - niechaj pójdą, a zdobędą ziemię, którąm zaprzysiągł ojcom ich, oddać im."" "
Deuteronomy 10:12,"A teraz, Israelu, czegoż Wiekuisty, Bóg twój, żąda od ciebie? Wszak tylko, abyś obawiał się Wiekuistego, Boga twojego, abyś postępował po wszystkich drogach Jego, abyś Go miłował, i służył Wiekuistemu, Bogu twojemu, całém sercem twojém, i całą duszą twoją! "
Deuteronomy 10:13,"Abyś przestrzegał przykazań Wiekuistego, i ustaw Jego, które przykazuję ci dzisiaj dla dobra twojego! "
Deuteronomy 10:14,"Oto, Wiekuistego, Boga twego, są niebiosa i niebiosa niebios, ziemia, i wszystko, co na niej; "
Deuteronomy 10:15,"Wszakże tylko ojców twoich upodobał Sobie Wiekuisty, że umiłował ich, i wybrał was, potomstwo ich po nich, ze wszystkich ludów, jako to dziś widzisz; "
Deuteronomy 10:16,"I tak obrzezajcie skorupę serca waszego, a karku waszego nie zatwardzajcie więcej, -  "
Deuteronomy 10:17,"Albowiem Wiekuisty, Bóg wasz, jest to Bóg bogów, i Pan panów, Bóg wielki, potężny, i wspaniały, który nie zważa na osoby, ani bierze datku; "
Deuteronomy 10:18,"Który wymierza sprawiedliwość sierocie i wdowie, a miłuje cudzoziemca, dając mu chléb i odzież; "
Deuteronomy 10:19,Miłujcież tedy i wy cudzoziemca; boście cudzoziemcami byli w ziemi Micraim; 
Deuteronomy 10:20,"Wiekuistego, Boga twojego, się obawiaj, Jemu będziesz służył, i do Niego lgnął, i w imię Jego przysięgał. "
Deuteronomy 10:21,"On chwałą twoją, i On Bogiem twoim, który spełnił na tobie owe wielkie i wspaniałe rzeczy, które widziały oczy twoje; "
Deuteronomy 10:22,"W siedmdziesiąt dusz zstąpili ojcowie twoi do Micraim, a teraz uczynił cię Wiekuisty, Bóg twój, jako gwiazdy nieba mnóstwem! "
Deuteronomy 11:1,"I tak miłuj Wiekuistego, Boga twojego, i przestrzegaj urządzeń Jego, i ustaw, i praw, i przykazań Jego, po wszystkie dni; "
Deuteronomy 11:2,"A poznajcie dzisiaj, - gdyż nie przemawiam do synów waszych, którzy nie poznali, i nie widzieli, - karcenie Wiekuistego, Boga waszego, wielkość Jego, rękę Jego przemożną, i ramię Jego podniesione, "
Deuteronomy 11:3,"I znamiona Jego, które spełnił wpośród Micraim nad Faraonem i całą ziemią jego; "
Deuteronomy 11:4,"I co uczynił wojsku Micrejskiemu, koniom, i wozom jego, na które rozlał wody morza Sitowego, gdy ścigali was, i zagubił je Wiekuisty, aż po dzień dzisiejszy; "
Deuteronomy 11:5,"I co uczynił dla was na pustyni, pókiście nie doszli do miejsca tego; "
Deuteronomy 11:6,"I co uczynił Dathanowi i Abiramowi, synom Eliaba, syna Reubena, gdy rozwarła ziemia paszczę swą, i pochłonęła ich, i namioty ich i wszelką istotę, która w ich śladach, wpośród całego Israela; "
