Index Title,Proverbs
Proverbs 10:10,"Kto okiem mruga sprawia strapienie, a kto głupich jest ust upada. "
Proverbs 10:11,"Zdrojem życia są usta sprawiedliwego, ale usta niegodziwych pokrywa krzywda. "
Proverbs 10:12,Nienawiść wznieca swary; wszystkie jednak przewinienia przysłania miłość. 
Proverbs 10:13,Na ustach rozsądnego przebywa mądrość; ale rózga przeznaczona dla grzbietu bezmyślnego. 
Proverbs 10:14,Mędrcy ukrywają swą mądrość; ale usta głupca to ruina blizka. 
Proverbs 10:15,Mienie możnego jest grodem jego warownym; ale postrachem biednych jest ubóstwo ich. 
Proverbs 10:16,"Dorobek sprawiedliwego idzie na życie, zysk niegodziwego na grzech. "
Proverbs 10:17,"Ścieżką ku życiu zdąża, kto napomnienia przestrzega; ale kto na przestrogi nie zważa błądzi. "
Proverbs 10:18,"Kto nienawiść tai ma usta kłamliwe, a kto oszczerstwa roznosi jest błaznem. "
Proverbs 10:19,Przy mnóstwie słów nie uniknie się błędu; ale kto usta swe powściąga jest rozważnym. 
Proverbs 10:20,"Język sprawiedliwych, srebro to wyborowe; rozum niegodziwych ma mało wartości. "
Proverbs 10:21,Usta sprawiedliwych żywią wielu; głupcy jednak wskutek bezmyślności swej giną. 
Proverbs 10:22,"Błogosławieństwo Wiekuistego, ono wzbogaca, a nie może trud własny nic w tem przysporzyć. "
Proverbs 10:23,"Niby zabawką dla głupca jest spełnienie sprosności, tak jak czynu mądrości dla męża roztropnego. "
Proverbs 10:24,Czego niegodziwy się obawia przypadnie nań; ale czego sprawiedliwi pragną użyczonem im będzie. 
Proverbs 10:25,"Jak burza przeciąga, tak znika niegodziwy; ale sprawiedliwy stoi na trwałym gruncie. "
Proverbs 10:26,"Czem ocet dla zębów a dym dla oczu, tem leniwy dla tych, co go posyłają. "
Proverbs 10:27,"Bojaźń Wiekuistego przymnaża dni, ale lata niegodziwych skrócone zostają. "
Proverbs 10:28,"Nadzieja sprawiedliwych uwieńczy się radością, ale otucha niegodziwych zaginie. "
Proverbs 10:29,"Twierdzą dla niewinnych jest zrządzenie Wiekuistego, ale trwogą dla złoczyńców. "
Proverbs 10:30,"Sprawiedliwy nie zachwieje się na zawsze, ale niegodziwi nie przetrwają w kraju. "
Proverbs 10:31,Usta sprawiedliwego krzewią mądrość; ale język przewrotny ulegnie zagładzie. 
Proverbs 10:32,Usta sprawiedliwego umieją się podobać; ale w ustach niegodziwych są tylko matactwa. 
Proverbs 11:1,"Waga fałszywa jest ohydą Wiekuistemu, ale ciężarki pełnoważne Jego upodobaniem. "
Proverbs 11:2,"Przychodzi pycha, nadchodzi i hańba, ale przy skromnych mądrość. "
Proverbs 11:3,"Prawych prowadzi ich uczciwość, ale chytrość zdrajców zmoże ich. "
Proverbs 11:4,"Nie pomaga bogactwo w dzień gniewu, ale sprawiedliwość ochrania od śmierci. "
Proverbs 11:5,"Sprawiedliwość uczciwego prostuje drogę jego, ale przez własną niegodziwość upadnie niegodziwiec. "
Proverbs 11:6,"Sprawiedliwość prawych zbawia ich, ale oplatani będą przeniewiercy przez chuć swą własną. "
Proverbs 11:7,"Ze śmiercią człowieka niegodziwego ginie jego nadzieja, a otucha silnych znika. "
Proverbs 11:8,"Sprawiedliwy bywa z biedy wybawiony, a dostaje się niegodziwiec na miejsce jego. "
Proverbs 11:9,"Ustami niszczy pochlebca bliźniego swego, ale przez przenikliwość wybawieni zostają sprawiedliwi. "
Proverbs 11:10,"Z szczęścia sprawiedliwych cieszy się miasto, ale przy upadku niegodziwych panuje radość. "
Proverbs 11:11,"Przez błogosławieństwo prawych podnosi się miasto, ale przez usta niegodziwych zburzone zostaje. "
Proverbs 11:12,"Pomiata bliźnim swoim bezmyślny, ale mąż roztropny milczy. "
Proverbs 11:13,"Kto jako oszczerca krąży, zdradza tajemnicę; ale kto statecznego jest ducha ukrywa sprawę. "
Proverbs 11:14,"Gdzie brak przewodnictwa upada lud; ale powodzenie jest tam, gdzie dość doradców. "
Proverbs 11:15,"Wiele złego ściąga na siebie, kto za innego ręczy; ale kto poręki nienawidzi jest bezpiecznym. "
Proverbs 11:16,"Niewiasta nadobna zyskuje cześć, tak jak łupieżcy zyskują bogactwo. "
Proverbs 11:17,Człowiek miłosierny świadczy dobrze sam sobie; ale okrutny dręczy własne swe ciało. 
Proverbs 11:18,"Niegodziwiec zdobywa zysk wątpliwy, ale kto sprawiedliwość wysiewa nagrodę prawdziwą. "
Proverbs 11:19,"Tak zmierza sprawiedliwość do życia, a ubiegający się za złem do własnej śmierci. "
Proverbs 11:20,"Ohydą Wiekuistemu są przewrotni sercem, ale upodobaniem Jego postępujący uczciwie. "
Proverbs 11:21,"Ręka na to! nie ujdzie bezkarnie zły, ale ród sprawiedliwych ocalonym będzie. "
Proverbs 11:22,Kolczyk złoty w ryju świni - tak kobieta piękna pozbawiona rozsądku. 
Proverbs 11:23,Pragnieniem sprawiedliwych jest tylko dobro; nadzieją niegodziwych - zaciekłość. 
Proverbs 11:24,"Niejeden rozdaje szczodrze, a zyskuje wciąż więcej; inny skąpi i w najniezbędniejszem - a ubożeje. "
Proverbs 11:25,"Dusza dobroczynna bywa rzeźwiona, a kto napawa zostaje i sam napojony. "
Proverbs 11:26,"Kto zatrzymuje zboże, tego lud przeklina, ale błogosławieństwo spływa na tego, który żywności dostarcza. "
Proverbs 11:27,"Kto ma staranie o dobrem, szuka tego co się podoba, a kto zamyśla o złem, na tego ono przyjdzie. "
Proverbs 11:28,"Kto na bogactwie swem polega, upadnie; ale sprawiedliwi jak liść się rozwiną. "
Proverbs 11:29,"Kto własny dom swój udręcza otrzyma wiatr w dziedzictwie, a głupi zostanie sługą tego, który mądrego jest serca. "
Proverbs 11:30,"Owoc sprawiedliwego jest drzewem życia, a zjednywa sobie dusze mędrzec. "
Proverbs 11:31,"Oto sprawiedliwemu na ziemi się odpłaca, o ileż bardziej niegodziwemu i grzesznikowi! "
Proverbs 12:1,"Kto napomnienie miłuje, miłuje wiedzę; kto jednak przygany nienawidzi jest bezmyślnym. "
Proverbs 12:2,Dobry zyskuje upodobanie u Wiekuistego; ale człowieka podstępnego potępia. 
Proverbs 12:3,Nie utwierdzi się człowiek niegodziwością; ale korzeń sprawiedliwych nie zachwieje się. 
Proverbs 12:4,Koroną męża swojego jest kobieta dzielna; ale jako zgnilizna w kościach jego - gnuśna. 
Proverbs 12:5,Zamysły sprawiedliwych wymierzone ku słuszności; knowania niegodziwych ku szalbierstwu. 
Proverbs 12:6,Mowy niegodziwych - to czyhanie na krew; ale usta sprawiedliwych ocalają ich. 
Proverbs 12:7,"Najmniejszy przewrót na złoczyńców, a niemasz ich, ale dom sprawiedliwych ostoi się. "
Proverbs 12:8,"W miarę rozumu swego bywa mąż chwalony, kto jednak przewrotnego jest serca popadnie w pogardę. "
Proverbs 12:9,"Lepiej temu, który się sam uniża, choć sługę posiada, niż temu, który się panoszy, choć mu chleba brak. "
Proverbs 12:10,"Dba o życie bydlęcia swego sprawiedliwy, ale srogie jest wnętrze niegodziwych. "
Proverbs 12:11,"Kto rolę swą uprawia nasyci się chlebem, ale bezmyślnym jest kto za marnościami się ugania. "
Proverbs 12:12,"Tęskni niegodziwy za połowem złych, ale korzeń sprawiedliwych wyda swój plon. "
Proverbs 12:13,"W uchybieniu ust jest sieć dla złoczyńcy, i tak unika biedy sprawiedliwy. "
Proverbs 12:14,"Z plonu swych ust nasyca się niejeden dobrem, a co ręce człowieka świadczyły, to oddane mu bywa. "
Proverbs 12:15,Droga głupiego wydaje mu się prawą; ale mądry słucha rady. 
Proverbs 12:16,Gniew głupca objawia się niezwłocznie; mądry jednak ukrywa zniewagę. 
Proverbs 12:17,"Kto rzetelnie mówi świadczy za słusznością, ale świadek fałszywy głosi matactwo. "
Proverbs 12:18,Niejeden prawi jakby mieczem kłół; ale mowa mędrców niesie ukojenie. 
Proverbs 12:19,"Mowa prawdy ostoi się na wieki, ale na chwilę tylko język kłamliwy. "
Proverbs 12:20,"Ułuda wiedzie serce tych, którzy zło knują, ale radość pewna tym, którzy pokój doradzają. "
Proverbs 12:21,"Żadne nieszczęście nie spotka sprawiedliwego, ale niegodziwi przesyceni są niedolą. "
Proverbs 12:22,"Ohydą Wiekuistemu są usta kłamliwe, ale którzy wiary dochowują dostępują upodobania Jego. "
Proverbs 12:23,"Człowiek rozumny tai wiedzę swoję, ale serce głupców wygłasza swą niedorzeczność. "
Proverbs 12:24,"Ręka skrzętnych panować będzie, ale opieszała stanie się hołdowniczą. "
Proverbs 12:25,"Troska w sercu człowieka je gnębi, ale słowo życzliwe pociesza je. "
Proverbs 12:26,"Więcej niż bliźni posiada sprawiedliwy, ale droga niegodziwych wywiedzie ich na tułactwo. "
Proverbs 12:27,"Nie ułowi sobie opieszałość zdobyczy, ale skarb cenny posiada człowiek pilny. "
Proverbs 12:28,"Na drodze sprawiedliwości jest życie, a kierunek jej ścieżki - nieśmiertelność. "
Proverbs 13:1,Syn mądry przyjmuje napomnienie ojcowskie; ale nie słucha łajania szyderca. 
Proverbs 13:2,"Niejeden spożywa dobro z plonu ust swoich, pragnieniem jednak przeniewierców jest grabież. "
Proverbs 13:3,"Kto ust swych strzeże zachowuje życie swoje; kto wargi swe rozwiera, temu grozi ruina. "
Proverbs 13:4,"Pragnie gorąco ale daremnie leniwy, dusza jednak czynnych nasycona będzie. "
Proverbs 13:5,"Nienawidzi sprawiedliwy słowa kłamliwego, ale niegodziwy szkaluje i hańbi. "
Proverbs 13:6,"Postępującego nieskazitelnie ochrania cnota, ale grzesznika oplątuje niegodziwość. "
Proverbs 13:7,"Jeden udaje bogatego, choć nic nie posiada, inny udaje biednego, choć znaczne ma mienie. "
Proverbs 13:8,"Okupem życia człowieka może być mienie jego, ale biedny nie słyszy groźby. "
Proverbs 13:9,"Światło sprawiedliwych świecić będzie wesoło, ale pochodnia niegodziwych zgaśnie. "
Proverbs 13:10,"Pycha wznieca tylko swary, ale u tych, którzy się naradzają jest mądrość. "
Proverbs 13:11,"Bogactwo pochodzące z wiatru się zmniejszy, ale kto na rękę zbiera je pomnoży. "
Proverbs 13:12,"Nadzieja przewlekająca się - boleść to serca, ale drzewem życia życzenie spełnione. "
Proverbs 13:13,"Kto słowo lekceważy, temu się to za winę policzy, ale kto przykazania szanuje będzie wynagrodzony. "
Proverbs 13:14,Źródłem życia jest nauka mędrca - pozwala unikać sideł śmierci. 
Proverbs 13:15,"Zdrowy rozsądek zapewnia życzliwość, ale droga zdrajców uporna. "
Proverbs 13:16,"Mądry czyni wszystko z rozwagą, głupi roztacza swą niedorzeczność. "
Proverbs 13:17,"Posłaniec niegodziwy wtrąca w nieszczęście, ale posłaniec wierny przynosi zbawienie. "
Proverbs 13:18,"Nędzy i hańby dostępuje, kto przestrogę odrzuca, ale kto na przyganę zważa jest czczony. "
Proverbs 13:19,"Pragnienie zaspokojone jest słodkiem dla duszy, ale stronienie od złego jest wstrętnem dla głupców. "
Proverbs 13:20,"Kto z mędrcami przestaje nabiera mądrości, ale kto z błaznami się kojarzy psuje się. "
Proverbs 13:21,"Grzeszników ściga ich złość, ale sprawiedliwych wynagradza ich dobroć. "
Proverbs 13:22,"Dobry przekazuje dziedzictwo wnukom, ale przechowane dla sprawiedliwych mienie grzesznego. "
Proverbs 13:23,"Nowina biednych daje żywności podostatkiem, ale przez nieprawość swoją zostaje niejeden porwany. "
Proverbs 13:24,"Nienawidzi syna swego, kto rózgę swą powściąga, ale karci go zawczasu kto go miłuje. "
Proverbs 13:25,"Sprawiedliwy jada tyle, aby się nasycił, żywot jednak niegodziwych cierpi niedostatek. "
Proverbs 14:1,"Mądrość kobiet buduje ich dom, ale burzy go głupota własnemi swemi rękoma. "
Proverbs 14:2,"W prostocie swej postępuje kto Wiekuistego się obawia, ale kto krzywemi chodzi drogami lekceważy Go. "
Proverbs 14:3,"Rózga pychy jest w ustach głupca, wargi jednak mędrców ochraniają ich. "
Proverbs 14:4,"Gdzie niema wołów tam żłób pusty, obfitość jednak plonów idzie z siły cielca. "
Proverbs 14:5,"Świadek wiarygodny nie kłamie, ale rozgłasza łgarstwa świadek fałszywy. "
Proverbs 14:6,Szuka szyderca mądrości ale daremnie; dla rozumnego jednak jest snadnem poznanie. 
Proverbs 14:7,"Trzymaj się zdala od człowieka głupiego, albowiem nie zauważysz tam nic z ust rozsądnych. "
Proverbs 14:8,"Mądrością roztropnego jest zrozumienie swej drogi, ale niedorzecznością głupców jest obłuda. "
Proverbs 14:9,"Wśród błaznów rozprawia występek, ale wśród prawych łagodność. "
Proverbs 14:10,"Tylko serce samo zna własną swą gorycz, i w radości też jego nie może brać obcy udziału. "
Proverbs 14:11,"Dom niegodziwych ulegnie zagładzie, ale namiot prawych zakwitnie. "
Proverbs 14:12,"Niejedna droga wydaje się człowiekowi prostą, do śmierci jednak wiedzie koniec jej. "
Proverbs 14:13,"Nawet w śmiechu może serce zaboleć, a końcem radości bywa zgryzota. "
Proverbs 14:14,"Z dróg swoich się nasyci, kto przewrotnego jest serca, a z czynów swoich człowiek zacny. "
Proverbs 14:15,"Prostoduszny wierzy każdemu słowu, roztropny jednak zastanawia się nad każdym swym krokiem. "
Proverbs 14:16,"Mądry obawia się a stroni od złego, głupi jednak unosi się i czuje się bezpiecznym. "
Proverbs 14:17,"Porywczy dopuszcza się niedorzeczności, ale człowiek podstępny jest znienawidzony. "
Proverbs 14:18,"Przyswajają sobie kpy głupotę, ale rozumni uwieńczają się wiedzą. "
Proverbs 14:19,"Muszą się źli przed dobrymi ukorzyć, a niegodziwi u bram sprawiedliwych. "
Proverbs 14:20,"Nawet u najbliższego swego bywa znienawidzony biedny, ale przyjaciół możnego jest wielu. "
Proverbs 14:21,"Kto bliźnim swym pomiata, grzeszy; ale szczęsny ten, który nad ubogimi się lituje. "
Proverbs 14:22,"Zaprawdę, tułać się przyjdzie tym, którzy zło knują, ale miłości i wierności doświadczą, którzy dobro zamyślają. "
Proverbs 14:23,"Za każdym trudem przyjdzie pożytek, ale puste słowa prowadzą tylko do niedostatku. "
Proverbs 14:24,"Koroną mądrych jest ich bogactwo, ale głupota błaznów pozostaje głupotą. "
Proverbs 14:25,"Zbawcą życia jest świadek prawdomówny, ale kto kłamstwa wygłasza szerzy szalbierstwo. "
Proverbs 14:26,"W bojaźni Wiekuistego leży otucha silna, jeszcze dzieciom takiego będzie obroną. "
Proverbs 14:27,"Bojaźń Wiekuistego jest źródłem życia, pozwala uniknąć sideł śmierci. "
Proverbs 14:28,"Na mnogości ludu opiera się wspaniałość króla, ale brak narodu jest ruiną księcia. "
Proverbs 14:29,"Pobłażliwy bogaty jest w zastanowienie, ale popędliwy podnosi wysoko błazeństwo. "
Proverbs 14:30,"Życiem dla ciała jest serce spokojne, ale zgnilizną w kościach namiętność. "
Proverbs 14:31,"Kto biednego uciemięża bluźni jego stwórcy; czci go zaś, kto nad ubogim się lituje. "
Proverbs 14:32,"Przez złość swą bywa strącony niegodziwy, ale ufa jeszcze i przy śmierci swej sprawiedliwy. "
Proverbs 14:33,"W sercu rozumnego spoczywa mądrość, ale z wnętrza głupców wydobywa się ona na jaw. "
Proverbs 14:34,"Sprawiedliwość wywyższa naród, ale hańbą ludów jest grzech. "
Proverbs 14:35,"Przychylność króla znajduje sługa roztropny, ale oburzenia jego doświadczy niezaradny. "
Proverbs 15:1,"Odpowiedź łagodna uśmierza zapalczywość, ale słowo obrażające podnieca gniew. "
Proverbs 15:2,"Język mędrców zdobi wiedzę, ale usta głupców tryskają niedorzecznością. "
Proverbs 15:3,"Na każdem miejscu są oczy Wiekuistego, spoglądają na złych i na dobrych. "
Proverbs 15:4,"Łagodność języka jest drzewem życia, ale przewrotność w nim zadaje rany duchowi. "
Proverbs 15:5,"Błazen gardzi napomnieniem ojca, kto jednak na przestrogę zważa nabierze rozumu. "
Proverbs 15:6,W domu sprawiedliwego jest zapasów dużo; w dorobku jednak niegodziwca jest zamieszanie. 
Proverbs 15:7,"Usta mędrców rozsiewają wiedzę, ale serce głupców nieprawdę. "
Proverbs 15:8,"Ofiara niegodziwych jest ohydą Wiekuistemu, ale modlitwa prawych upodobaniem Jego. "
Proverbs 15:9,"Ohydą Wiekuistemu jest droga niegodziwego, ale kto za cnotą się ugania tego miłuje. "
Proverbs 15:10,"Kaźń surowa spotyka tego, który prawdziwą ścieżkę opuszcza; kto napomnienia nienawidzi musi zginąć. "
Proverbs 15:11,"Grób i otchłań otwarte przed Wiekuistym, o ileż bardziej serca ludzkie. "
Proverbs 15:12,"Nie lubi szyderca, aby go napominano, u mędrców też nie bywa. "
Proverbs 15:13,"Serce wesołe wypogadza oblicze, ale w strapieniu serca i duch znękany. "
Proverbs 15:14,"Serce rozumnego szuka wiedzy, ale oblicza kpów karmią się błazeństwem. "
Proverbs 15:15,"Smutne są wszystkie dni biednego, ale kto dobrego jest usposobienia ma gody ustawiczne. "
Proverbs 15:16,"Lepszą odrobina w bojaźni Wiekuistego, niż skarb wielki a niepokój przy nim. "
Proverbs 15:17,"Lepszą porcja jarzyny a miłość do tego, aniżeli wół tuczony a nienawiść przytem. "
Proverbs 15:18,"Człowiek zapalczywy wszczyna swary, ale pobłażliwy uśmierza zwadę. "
Proverbs 15:19,"Droga opieszałego jest jako płot cierniowy, ale ścieżka prawych utorowana. "
Proverbs 15:20,"Syn mądry jest pociechą ojca, ale człek głupi lekceważy swą matkę. "
Proverbs 15:21,"Błazeństwo jest radością bezmyślnego, ale mąż rozważny idzie prostą drogą. "
Proverbs 15:22,"Spełzają na niczem zamysły, gdzie brak narady; ale gdzie radców dużo tam ostoją się. "
Proverbs 15:23,"Raduje się człowiek z odpowiedzi ust swoich, a jak pięknem jest słowo wyrzeczone w właściwym swym czasie! "
Proverbs 15:24,"Ścieżka życia prowadzi rozumnego w górę, aby uniknął przepaści w nizinie. "
Proverbs 15:25,"Dom pysznych zburzy Wiekuisty, ale granicę wdowy utwierdzi. "
Proverbs 15:26,"Ohydą Wiekuistemu są zamysły niecnego, ale słowami miłemi są mu słowa czystych. "
Proverbs 15:27,"W biedę wtrąca dom swój, kto nieprawych zysków chciwy, ale kto darów nienawidzi żyć będzie. "
Proverbs 15:28,"Serce sprawiedliwego rozważa co odpowiedzieć należy, ale usta niegodziwych wylewają niecności. "
Proverbs 15:29,Dalekim Wiekuisty od niegodziwych; ale modlitwę sprawiedliwych słyszy. 
Proverbs 15:30,"Jasne spojrzenie rozwesela serce, wieść pomyślna orzeźwia członki. "
Proverbs 15:31,"Ucho, które życiodajnego napomnienia słucha, wpośród mędrców przebywać będzie. "
Proverbs 15:32,Kto przestrogę porzuca lekceważy sam siebie; ale kto przygany słucha nabiera rozumu. 
Proverbs 15:33,Bojaźń Wiekuistego jest ćwiczeniem ku mądrości a wyprzedza sławę pokora. 
Proverbs 16:1,"Do człowieka należą zamierzenia serca, ale od Wiekuistego przychodzi wyrażenie języka. "
Proverbs 16:2,"Wszystkie drogi człowieka ukazują mu się czystemi ale jest to Wiekuisty, który umysły waży. "
Proverbs 16:3,"Porucz Wiekuistemu sprawy twoje, a utwierdzą się twe zamysły. "
Proverbs 16:4,"Wszystko zdziałał Wiekuisty dla właściwego celu swego, tak też i niegodziwca na dzień niedoli. "
Proverbs 16:5,Ohydą Wiekuistemu jest każdy wyniosłego serca; rękę na to! nie ujdzie on bezkarnie. 
Proverbs 16:6,"Przez miłość i prawdę zostaje wina odpuszczona, a przez bojaźń Wiekuistego unika się złego. "
Proverbs 16:7,"Gdy podobają się Wiekuistemu drogi człowieka, pojednywa z nim i wrogów jego. "
Proverbs 16:8,"Lepsza odrobina w sprawiedliwości, niż wielkie dochody w bezprawiu. "
Proverbs 16:9,"Serce człowieka rozważa drogę swoją, ale Wiekuisty kieruje krokiem jego. "
Proverbs 16:10,"Wyrocznia jest na wargach królewskich, przy wyrokowaniu niechaj nie chybią usta jego. "
Proverbs 16:11,Waga i szale sprawiedliwości pochodzą od Wiekuistego; Jego dziełem są wszystkie ciężarki w mieszku. 
Proverbs 16:12,"Ohydą powinno być dla królów spełnienie niegodziwości, albowiem przez sprawiedliwość utwierdza się tron. "
Proverbs 16:13,"Upodobaniem królów powinny być usta sprawiedliwe, powinni oni miłować tego, który szczerze przemawia. "
Proverbs 16:14,Oburzenie króla - wysłańcy to śmierci; ale mąż mądry uśmierza je. 
Proverbs 16:15,"W jasnem spojrzeniu króla jest życie, a przychylność jego jako chmura, spuszczająca deszcz wiosenny. "
Proverbs 16:16,"Nabywanie mądrości - o ileż to lepsze niż złoto, a nabywanie rozwagi, o ileż to wyśmienitsze niż srebro! "
Proverbs 16:17,Torem prawych jest wymijanie złego; zachowuje życie swoje kto drogi swej strzeże. 
Proverbs 16:18,"Przed upadkiem idzie pycha, a przed ruiną wyniosłość ducha. "
Proverbs 16:19,"Lepiej pokornym być z pokornymi, niż łupy dzielić z wyniosłymi. "
Proverbs 16:20,"Kto nad słowem się zastanawia znajdzie szczęście, a kto na Wiekuistym polega - błogo mu. "
Proverbs 16:21,"Kto posiada serce mądre, zyskuje miano rozumnego, ale tylko słodycz ust krzewi naukę. "
Proverbs 16:22,"Zdrojem życia jest rozum dla tego, który go posiada, ale karą głupców jest głupota. "
Proverbs 16:23,"Serce mędrca czyni usta jego rozumnemi, a mnoży naukę na wargach jego. "
Proverbs 16:24,"Patoką miodu są mowy wdzięczne, słodyczą dla duszy i pokrzepieniem dla kości. "
Proverbs 16:25,"Niejedna droga wydaje się człowiekowi prostą, do śmierci jednak wiedzie koniec jej. "
Proverbs 16:26,"Głód robotnika pracuje dlań, bo znaglają go własne usta jego. "
Proverbs 16:27,"Człowiek nikczemny kopie nieszczęście, a na gębie jego niby ogień pałający. "
Proverbs 16:28,"Człowiek przewrotny wznieca swary, a zausznik rozłącza przyjaciół zażyłych. "
Proverbs 16:29,"Człowiek okrutny uwodzi towarzysza własnego, a prowadzi go na drogę niedobrą. "
Proverbs 16:30,"Przymruża on oczy, aby oszustwo obmyśleć, gdy przygryzł wargi spełnił już niecność. "
Proverbs 16:31,Koroną wspaniałą jest włos siwy; na drodze cnoty zdobyć ją można. 
Proverbs 16:32,"Lepszy pobłażliwy niżeli bohater, a panujący nad duchem swoim, niżeli zdobywca miast. "
Proverbs 16:33,"Na łono rzucają los, ale od Wiekuistego zależy to wszystko, co ztąd wyniknie. "
Proverbs 17:1,"Lepszy kęs suchy a spokój przy nim, niż dom pełen mięsiwa przy swarach. "
Proverbs 17:2,"Sługa rozumny zapanuje nad synem gnuśnym, a w pośród braci weźmie udział w dziedzictwie. "
Proverbs 17:3,"Tygiel dla srebra, a retorta dla złota, ale serca próbuje Wiekuisty. "
Proverbs 17:4,Niecny zważa na usta nieprawe; kłamca przysłuchuje się mowie złowieszczej. 
Proverbs 17:5,"Kto ubogiemu urąga, bluźni jego Stwórcy; kto z nieszczęścia się cieszy, nie ujdzie bezkarnie. "
Proverbs 17:6,"Koroną starców są wnuki, a ozdobą dzieci ich rodzice. "
Proverbs 17:7,"Nie przystoi nikczemnemu mowa szczytna, o ileż mniej jeszcze zacnemu mowa kłamliwa. "
Proverbs 17:8,"Kamieniem wdzięcznym jest wziątek w oczach tego, który go odbiera, dokądkolwiek się kto nim zwróci znajdzie powodzenie. "
Proverbs 17:9,"Kto uchybienie osłania, szuka miłości; ale kto sprawę wznawia, rozłącza przyjaciół. "
Proverbs 17:10,"Głębiej wnika nagana u rozumnego, niżeli sto plag u kpa. "
Proverbs 17:11,"Nieszczęścia tylko szuka wichrzyciel, ale wysłannik okrutny wyprawiony będzie przeciw niemu. "
Proverbs 17:12,"Lepiej człowiekowi spotkać się z niedźwiedzicą, szczeniąt pozbawioną, niżeli z błaznem w głupocie jego. "
Proverbs 17:13,"Kto dobro złem odpłaca, z tegoż domu zło nie odstąpi. "
Proverbs 17:14,"Jakby rozpętał kto fale, gdy kłótnia się wszczyna, ale zanim wybuchnie zwada, zaniechaj jej. "
Proverbs 17:15,"Kto uniewinnia złoczyńcę, albo potępia sprawiedliwego - ohydą są Wiekuistemu obydwaj. "
Proverbs 17:16,Cóż po pieniądzach w ręku głupca? dla zakupienia mądrości? Na to nie staje mu rozumu! 
Proverbs 17:17,"Każdego czasu miłuje przyjaciel prawdziwy, a stawia się on jako brat w nieszczęściu. "
Proverbs 17:18,"Człowiekiem bezmyślnym ten, który poręcza, który rękojmię daje za drugiego. "
Proverbs 17:19,"Miłuje występek, kto miłuje kłótnię, a kto podwoje swe podnosi, szuka ruiny. "
Proverbs 17:20,"Serce przewrotne nie znajdzie szczęścia, a kto językiem swym chytrzy, popadnie w niedolę. "
Proverbs 17:21,"Kto kpa spłodził, spłodził go na własne swe utrapienie; nie będzie się cieszył ojciec nikczemnika. "
Proverbs 17:22,Serce rozradowane przyspiesza uzdrowienie; ale duch zgnębiony wysusza kości. 
Proverbs 17:23,"Z zanadrza bierze niegodziwy wziątek, aby ścieżki prawa skrzywił. "
Proverbs 17:24,"Rozumny ma mądrość przed sobą, ale oczy głupca są na krańcu ziemi. "
Proverbs 17:25,"Strapieniem dla ojca jest syn głupi, a gorzką troską dla rodzicielki swojej. "
Proverbs 17:26,"Już to grzywną niewinnego karać jest sprawą nie dobrą; bić szlachetnych, to urąga wszelkiej słuszności. "
Proverbs 17:27,"Kto w słowach swych powściągliwy, zna rozum, a kto zimną krew zachowuje jest człowiekiem roztropnym. "
Proverbs 17:28,"Może i głupi gdy milczy za mędrca uchodzić, gdy wobec rozumnego usta swe zamyka. "
Proverbs 18:1,"Własnej żądzy swej szuka uparty, na każdą myśl zbawienną się obrusza. "
Proverbs 18:2,"Nie pożąda głupiec rozsądku, a tylko tego, co mu objawia serce jego. "
Proverbs 18:3,"Dokądkolwiek niegodziwy przychodzi, przychodzi też pogarda, a wraz z hańbą sromota. "
Proverbs 18:4,"Jako wody głębokie są słowa z ust męża, potok to rozlewający się, zdrój mądrości. "
Proverbs 18:5,Uwzględnianie osoby niegodziwego jest równie niedobrem jak uchylanie prawa sprawiedliwego w sądzie. 
Proverbs 18:6,"Wargi głupca wszczynają kłótnię, a usta jego pobudzają do bijatyk. "
Proverbs 18:7,"Usta głupca powodują jego ruinę, a są wargi jego zasadzką na jego życie. "
Proverbs 18:8,"Słowa zausznika są jak łakocie, a wnikają do tajników wnętrza. "
Proverbs 18:9,"Opieszały w sprawach swoich, brat to marnotrawcy. "
Proverbs 18:10,"Basztą silną imię Wiekuistego, do niej chroni się sprawiedliwy a ocalony zostaje. "
Proverbs 18:11,"Mienie bogatego jest miastem jego warownem, i niby murem wysokim w wyobraźni jego. "
Proverbs 18:12,"Przed upadkiem wynosi się serce człowieka, chwałę jednak poprzedza pokora. "
Proverbs 18:13,"Kto odpowiada zanim wysłuchał, temu poczytuje się to za głupotę i za wstyd. "
Proverbs 18:14,"Duch człowieka podtrzymuje go w jego cierpieniu, ale jeżeli duch zgnębiony, któż go podźwignie? "
Proverbs 18:15,"Serce rozumnego przyswaja sobie wiedzę, a ucho mędrców dąży do poznania. "
Proverbs 18:16,"Dar człowieka otwiera mu dostęp, a przed oblicze wielkich go wiedzie. "
Proverbs 18:17,Słuszność miewa pierwszy w sporze swoim; przychodzi jednak drugi i bada go. 
Proverbs 18:18,"Sporom kładzie koniec los, i ustanawia rozejm między silnymi. "
Proverbs 18:19,"Brat zdradzony, odporniejszy niż gród warowny, a swary ich niby zawory zamku. "
Proverbs 18:20,Z owoców ust człowieka nasyca się żywot jego; plonem warg swoich się nasyca. 
Proverbs 18:21,"Śmierć i życie są w mocy języka, a kto się nim lubuje, karmi się jego owocem. "
Proverbs 18:22,Kto znalazł żonę dobrą znalazł szczęście i dostąpił łaski od Wiekuistego. 
Proverbs 18:23,"Błagalnie przemawia biedny, a zuchwale odpowiada bogaty. "
