Index Title,Isaiah
Isaiah 19:5,"I osiąkną wody morza, a rzeka się wysuszy i wyschnie. "
Isaiah 19:6,"I zacuchną strumienie, opadną i wyschną potoki Macoru, trzcina i sitowie powiędną. "
Isaiah 19:7,"Niwy nad rzeką, - nad brzegiem rzeki, - i wszystek wysiew nad rzeką oschnie, rozwieje się i zginie. "
Isaiah 19:8,"I smucić się będą rybacy, i utyskiwać wszyscy, co zarzucają do rzeki wędę, a rozciągający sieć po wodzie znędznieją. "
Isaiah 19:9,I zatrwożą się wyrabiający len rozczesany i tkacze przezroczystych tkanin. 
Isaiah 19:10,"I będą rękodzielnie jego rozbite, wszyscy najemnicy strapionéj duszy. "
Isaiah 19:11,"I jakby ogłupieni są książęta Coanu, najmędrsi doradzcy Faraona, rada ich bezmyślna. Jakże rzec wam do Faraona: potomkiem mędrców jestem, potomkiem królów starożytnych. "
Isaiah 19:12,"Gdzie, gdzież są mędrcy twoi? Niech cię téż powiadomią, jeżeli wiedzą, co postanowił Wiekuisty względem Micraimu. "
Isaiah 19:13,"Omamieni są książęta Coanu, obłąkani książęta Nofu, a zwodzą Micraim naczelnicy plemion jego. "
Isaiah 19:14,"Wiekuisty rozlał między nich ducha przewrotności, że zwodzą Micraim we wszystkich sprawach jego, jak się zatacza pijany w plwocinie swojej. "
Isaiah 19:15,"I nie będzie w Micraimie czynu, któryby spełniła głowa i kończyna, palmowa gałąź i sitowie. "
Isaiah 19:16,"Dnia onego będzie Micraim jako niewiasta, i będzie się trwożył i drżał przed podniesieniem ręki Wiekuistego zastępów, którą podniesie przeciw niemu. "
Isaiah 19:17,"I będzie ziemia Jehudy dla Micraimu postrachem; każdy któremu się wspomni o niej zadrży, dla postanowienia Wiekuistego zastępów, które postanowił o niém. "
Isaiah 19:18,"Dnia onego będzie pięć miast w ziemi Micraim mówiących językiem Kanaanu, a przysięgających na Wiekuistego zastępów; miastem słońca nazwaném będzie jedno. "
Isaiah 19:19,Dnia onego stanie ołtarz Wiekuistego w pośród ziemi Micraim i posąg na granicy jej Wiekuistemu poświęcony. 
Isaiah 19:20,"I będzie to na znak i na świadectwo Wiekuistemu na ziemi Micraim, tak że gdy wołać będą do Wiekuistego z powodu ciemiężców przyśle im wybawcę i obrońcę, aby ich ocalił. "
Isaiah 19:21,"I znany będzie Wiekuisty w Micraim, i poznają Micrejczycy Wiekuistego w dzień on i będą Go czcić ofiarami i darami, i ślubować objaty Wiekuistemu i spełniać je. "
Isaiah 19:22,"I tak uderzy Wiekuisty Micraim, uderzając i lecząc, a gdy się nawrócą do Wiekuistego, da się im ubłagać i uzdrowi ich. "
Isaiah 19:23,"Dnia onego będzie gościniec z Micraimu do Aszuru, i chodzić będzie Aszur do Micraim, a Micraim do Aszuru, i służyć będą Wiekuistemu Micraim i Aszur. "
Isaiah 19:24,"Dnia onego będzie Israel jako trzeci między Micraimem i Aszurem, błogosławieństwem w pośród ziemi. "
Isaiah 19:25,"Któremu błogosławił Wiekuisty zastępów: Błogosławionym niech będzie lud Mój Micraim, i dzieło rąk Moich Aszur, i dziedzictwo Moje Israel. "
Isaiah 20:1,"Roku, którego wkroczył Tartan do Aszdodu, gdy go wysłał Sargon, król Aszuru, i walczył przeciw Aszdodowi, i zdobył je. "
Isaiah 20:2,"Owego czasu rzekł Wiekuisty przez Jeszaję, syna Amoca, jak następuje: Idź a rozwiąż wór z bioder twoich, a obuwie twoje zzuj z nóg twoich. I uczynił tak, i chodził nieubrany i bosy. "
Isaiah 20:3,"I rzekł Wiekuisty: Jako chodził sługa mój Jeszajahu nieubrany i bosy, jako znak i wskazówka na rok trzeci dla Micraimu i Kuszu, "
Isaiah 20:4,"Tak wprowadzi król Aszuru brańców Micraimu i wychodźców Kuszu, młodzieńców i starców, nago i boso, i z obnażonym grzbietem na hańbę Micraimu. "
Isaiah 20:5,"I pohańbieni będą, i powstydzą się z powodu Kuszu, otuchy swojej, i Micraimu, chluby swojej. "
Isaiah 20:6,"I powiedzą mieszkańcy wybrzeża tego w on dzień: Oto taką otucha nasza, do którejśmy się uciekli o pomoc, aby się ocalić od króla Aszur, i jakże ujść nam? "
Isaiah 21:1,"Rzecz o pustyni nad morzem. Jako wichry południowe pędząc, z pustyni nadciąga, z ziemi strasznej. "
Isaiah 21:2,"Widzenie groźne objawioném mi zostało: Jeszcze zdrajca zdradza, a pustoszyciel pustoszy... Nadciągnij, Elamie, oblegaj, Madai! wszystkie jęki uciszę. "
Isaiah 21:3,"Przeto pełne są biodra moje dreszczu, bóle ogarnęły mnie jako bóle rodzącej; oszołomiony jestem, że nie słyszę, strwożony, że nie widzę. "
Isaiah 21:4,"Odurzone serce moje, strach przeraża mnie; wieczór rozkoszy mojej zamieniony mi w grozę. "
Isaiah 21:5,"Zastawiają stół, rozścielają kobierce, jedzą, piją: Powstańcie wodzowie, namaszczajcie tarcze! "
Isaiah 21:6,"Bo tak rzekł do mnie Pan: Idź, postaw stróża, cokolwiek ujrzy, niech oznajmi. "
Isaiah 21:7,"I ujrzał on jazdę, parami konnych, jeźdźców na osłach, jeźdźców na wielbłądach, i nasłuchiwał pilnie, z coraz większą bacznością. "
Isaiah 21:8,"I zawołał jako lew: Na straży Panie stoję ustawicznie we dnie, i na warcie mojej stawam po wszystkich nocach. "
Isaiah 21:9,"I oto nadciągają jezdni mężowie, parami konni. I odezwali się i zawołali: Runął, runął Babel, a wszystkie posągi bóstw jego powalił o ziemię! "
Isaiah 21:10,"Wymłócony mój, synu klepiska mojego! com słyszał od Wiekuistego zastępów, Pana w Israelu, oznajmiłem wam. "
Isaiah 21:11,"Rzecz o Dumie. Do mnie wołają z Seiru: Stróżu, co upłynęło nocy, stróżu, co upłynęło nocy? "
Isaiah 21:12,"Rzekł stróż: Nadchodzi poranek, ale i noc; jeżeli chcecie się dopytywać, pytajcie; z powrotem przyjdźcie. "
Isaiah 21:13,"Rzecz o Arabie. W zaroślach, na stepie, odbywacie noclegi karawany Dedańskie. "
Isaiah 21:14,"Naprzeciw spragnionemu przynieście wody, mieszkańcy ziemi Thema, którzy chlebem swoim podejmujecie wychodźców. "
Isaiah 21:15,"Bo przed mieczami uchodzą, - przed mieczem dobytym, i przed łukiem napiętym, i przed naciskiem wojny. "
Isaiah 21:16,"Bo tak rzekł Pan do mnie: Po roku, podobnym do lat najemnika, a zginie wszystka sława Kedaru. "
Isaiah 21:17,"A pozostały poczet łuków, bohaterskich synów Kedaru, małym będzie, bo Wiekuisty, Bóg Israela to wyrzekł. "
Isaiah 22:1,"Rzecz o dolinie widzenia. Cóż ci to, żeś wstąpiła wszystka na dachy? "
Isaiah 22:2,"Wrzawy pełne, miasto zgiełku, twierdzo wesoła! polegli twoi, nie są to polegli od miecza, ani zabici na wojnie. "
Isaiah 22:3,"Wszyscy wodzowie twoi pierzchnęli wraz, bez łuku powiązani zostali; wszyscy napotkani twoi ujęci społem, choć zdaleka uciekli. "
Isaiah 22:4,"Przeto powiadam: Odwróćcie się odemnie, abym gorzko zapłakał; nie usiłujcie mnie pocieszać po klęsce córy narodu mojego. "
Isaiah 22:5,"Bo dzień przyszedł popłochu i zgnębienia i zamieszania od Pana, Boga zastępów, w dolinie widzenia; burzą mury, i okrzyki wznoszą się ku wzgórzu. "
Isaiah 22:6,"I Elam téż niósł kołczan z wozami, ludźmi i końmi, a Kir odsłonił tarczę. "
Isaiah 22:7,"I były najpiękniejsze doliny twoje napełnione wozami, a konnica uszykowała się naprzeciw bramy. "
Isaiah 22:8,"A gdy odchylił zasłonę Jehudy, spoglądałeś w on dzień ku zbrojowni Bet Jaaru. "
Isaiah 22:9,"I na wyłomy grodu Dawida spoglądaliście, że ich wiele, i gromadziliście wody stawu dolnego. "
Isaiah 22:10,"I domy Jeruszalaimu liczyliście, i rozwalali domy te, aby wzmocnić mury. "
Isaiah 22:11,"I wodozbiór téż utworzyliście między murami dla wód stawu starego, - ale nie spoglądaliście ku Sprawcy tego, a na Tego, co to przygotował od dawna, wyście nie baczyli. "
Isaiah 22:12,"I wzywał Pan, Bóg zastępów, w dzień ów do płaczu i żałoby i do ogolenia i do przepasania się worem. "
Isaiah 22:13,"A tu radość i wesele, bicie wołów i zarzynanie owiec, zajadanie mięsa i popijanie wina: - Jeść nam i pić, boć jutro pomrzemy! "
Isaiah 22:14,"Przeto objawił się uszom moim Wiekuisty zastępów: Azali odpuszczoną wam będzie ta wina, aż pomrzecie, rzecze Pan, Bóg zastępów! "
Isaiah 22:15,"Tak rzecze Pan, Bóg zastępów: Pójdziesz i udasz się do wielkorządcy tego, do Szebny, co przełożonym jest domu: "
Isaiah 22:16,"Co ty tu masz albo kogo tu masz, żeś wykuł tu sobie grób? Ty, co wykuwasz na wysokości grób twój, co ciosasz w skale przybytek sobie. "
Isaiah 22:17,"Oto Wiekuisty rzuci cię rzutem, człowieku, i pochwyci, pochwyci cię. "
Isaiah 22:18,"Zwinie, zwinie cię w kłębek, i jako piłkę rzuci na ziemię przestronną; tam umrzesz, tam i rydwany sławy twojej - ty, hańbo domu pana twojego! "
Isaiah 22:19,"I strącę cię ze stanowiska twojego, i z urzędu twego złoży cię. "
Isaiah 22:20,"A dnia onego zawezwę sługę Mojego Eljakima, syna Chilkji. "
Isaiah 22:21,"I oblokę go w szatę twoję, i pasem twoim go przepaszę, a władzę twą złożę w rękę jego, i będzie ojcem mieszkańcom Jeruszalaimu i domowi Jehudy. "
Isaiah 22:22,"I złożę klucz domu Dawida na ramię jego, a gdy otworzy, nikt nie zamknie, a gdy zamknie, nikt nie otworzy. "
Isaiah 22:23,"I wbiję go niby gwóźdź w miejsce pewne, i będzie stolicą sławy dla domu ojca swojego. "
Isaiah 22:24,"I zawiśnie na nim wszystka świetność domu ojca jego, - odrośle i narośle, wszelkie naczynia drobne - od naczyń miedniczych, aż do różnych naczyń dzbankowatych. "
Isaiah 22:25,"Dnia onego, rzecze Wiekuisty zastępów, wyjętym będzie gwóźdź, wbity w miejsce pewne, i będzie odciętym i upadnie i zginie ciężar, co był na nim, gdyż Wiekuisty to wyrzekł. "
Isaiah 23:1,"Rzecz o Corze. Biadajcie okręty Tarszyszu! Że zburzonym z wewnątrz i z zewnątrz, już z ziemi Kittim oznajmiono im: "
Isaiah 23:2,"Zmilczcie mieszkańcy pobrzeża, które kupcy Cydonu, żeglarze morza, napełniali. "
Isaiah 23:3,"A było na wodach wielkich zboże Szychoru, - żniwo rzeki, - zbiorem jego; był on targowiskiem narodów. "
Isaiah 23:4,"Zawstydź się Cydonie, gdyż woła morze, twierdza morska, mówiąc: Nie miałam bólów, nie rodziłam, anim wychowała młodzieńców, anim wypiastowała dziewic. "
Isaiah 23:5,"Gdy dojdzie wieść do Micraim, zadrżą na wieść o Corze. "
Isaiah 23:6,Przeprawcie się do Tarszyszu; biadajcie mieszkańcy wybrzeża! 
Isaiah 23:7,"Czyliż ta to wasza wesoła? Od dni starożytnych początek jej, a wiodły ją jej stopy, by w dali przebywała. "
Isaiah 23:8,"Któż postanowił to o Corze, co korony rozdzielał, którego kupcy książętami byli, a kramarze dostojnikami na ziemi. "
Isaiah 23:9,"Wiekuisty zastępów to postanowił, aby poniżyć dumę okazałości wszelkiej, aby zelżyć wszystkich dostojnych na ziemi. "
Isaiah 23:10,"Przejdź po ziemi twojej jako rzeka, córo Tarszyszu, niemasz tu już pasa! "
Isaiah 23:11,"Rękę Swoję wyciągnął na morze, wstrząsnął królestwy: Wiekuisty rozporządził o Kanaanie, aby zburzone były twierdze jego. "
Isaiah 23:12,"I rzekł: Nie będziesz więcej się weseliła, shańbiona dziewico, córo Cydonu! Do Kittejczyków powstań i przejdź, - lecz i tam wytchnienia nie znajdziesz. "
Isaiah 23:13,"Oto ziemia Kasdejczyków, tego narodu co nie istniał, Aszur przeznaczył ją dla mieszkańców pustyń, - oni ustawiają tarany swoje, burzą zamki jej, obracają ją w zwaliska. "
Isaiah 23:14,"Biadajcie, okręty Tarsyszu, bo zburzona twierdza wasza. "
Isaiah 23:15,"I stanie się dnia onego, że zapomnianym będzie Cor przez siedmdziesiąt lat, jako przez czasy króla jednego. Po upływie siedmdziesięciu lat powiedzie się Corowi jak w owej piosnce o wszetecznicy: "
Isaiah 23:16,"""Zabierz lutnię, obchodź miasto, wszetecznico zapomniana! pięknie graj, długo śpiewaj, żeby sobie przypomniano ciebie"". "
Isaiah 23:17,"I będzie po upływie siedmdziesięciu lat, wspomni Wiekuisty na Cor, że wróci do myta swego, i będzie obcował ze wszystkiemi królestwy świata, na powierzchni ziemi. "
Isaiah 23:18,"Wszakże będzie przemysł i zysk jego poświęconym Wiekuistemu, nie będzie gromadzony i zamykany, ale i tym, co przebywają przed Wiekuistym, posłuży zarobek jego na pożywienie dostatnie i na strój okazały. "
Isaiah 24:1,"Oto Wiekuisty opróżni ziemię i spustoszy ją, i wywróci powierzchnię jej, i rozproszy mieszkańców jej. "
Isaiah 24:2,"I stanie się jako lud tak i kapłan, jako poddany tak pan jego, jako służebnica tak pani jej, jako nabywca tak sprzedawca, jako wierzyciel tak i dłużnik, jako pożyczający tak i ten, co pożyczkę daje. "
Isaiah 24:3,"Opróżnioną, opróżnioną będzie ziemia, i zrabowaną, zrabowaną; gdyż Wiekuisty wyrzekł to słowo. "
Isaiah 24:4,"Smuci się, obumiera ziemia, więdnie, obumiera świat - więdną najdostojniejsi ludu na ziemi. "
Isaiah 24:5,"Bo ziemia ta skażoną została pod mieszkańcami jej; bo przekroczyli nauki, odmienili ustawy, naruszyli przymierze wieczne. "
Isaiah 24:6,"Dla tego przekleństwo pochłania ziemię, i pokutują mieszkający na niej; dla tego poschnęli mieszkańcy ziemi, a pozostało ludzi mało. "
Isaiah 24:7,"Smuci się moszcz, obumiera winograd, wzdychają wszyscy wesołego serca. "
Isaiah 24:8,"Przycichło wesele przy bębnach, ustała wrzawa ochoczych, przycichło wesele przy cytrach. "
Isaiah 24:9,"Przy śpiewach nie popijają wina, gorzkim napój biesiadującym. "
Isaiah 24:10,"Zburzonym gród opustoszały, zawartym każdy dom, niedostępnym. "
Isaiah 24:11,"Ubolewanie o wino po ulicach, zamroczyła się wszelka radość, znikła uciecha kraju. "
Isaiah 24:12,"Pozostało w mieście spustoszenie, a w gruzy rozwalone są bramy. "
Isaiah 24:13,"Bo tak to przyjść musi wpośród ziemi, wpośród narodów: jak przy otrząsaniu oliwnika, jako bywa z pogronami, gdy się skończyło winobranie. "
Isaiah 24:14,"Oni zaś podnoszą głos swój i weselą się, wspaniałością Wiekuistego cieszą się z nad morza. "
Isaiah 24:15,"Przeto w krainach Wschodu uwielbiajcie Wiekuistego na wyspach morza imię Wiekuistego, Boga Israela. "
Isaiah 24:16,"Z krańca ziemi śpiewy słyszymy, ""cześć sprawiedliwym"", - ale ja wołam: zanikam, zanikam, biada mi! Zdrajcy zdradzają, a szatę zdrajców przybrali. "
Isaiah 24:17,Postrach i przepaść i zasadzka na was mieszkańcy ziemi! 
Isaiah 24:18,"Albowiem kto ucieknie przed odgłosem postrachu, wpadnie w przepaść, a kto wydostanie się z przepaści, pojmany będzie w zasadzkę, bo upusty wysokości się otworzyły i drżą posady ziemi. "
Isaiah 24:19,"Rozstąpiła, rozstąpiła się ziemia, rozsadziła, rozsadziła się ziemia, wstrzęsła, wstrzęsła się ziemia. "
Isaiah 24:20,"Chwiać chwieje się ziemia jak pijany, i porusza jako mata zawieszona, bo zaciężyła na niej wina jej, i padła i nie powstanie więcej. "
Isaiah 24:21,"I będzie w dzień ów nawiedzi Wiekuisty zastęp wysoki na wysokości, a władców ziemi na ziemi. "
Isaiah 24:22,"I zgromadzeni będą gromadą jako więźnie w więzieniu, i zamknięci w zamknięciu, i po długim dopiero czasie wspomnieni. "
Isaiah 24:23,"I zblednie księżyc, i zawstydzi się słońce, gdy zapanuje Wiekuisty zastępów na górze Cyon i w Jeruszalaim, a w obliczu starszych jego chwała. "
Isaiah 25:1,"Wiekuisty! Bogiem moim Ty, wielbić Cię będę, wysławiać imię Twoje, boś dokonał cudu; postanowienia odległe stały się prawdą, rzeczywistością. "
Isaiah 25:2,"Boś obrócił miasto w gruzy, gród warowny w zwaliska; zamki barbarzyńców nie stanowią już miasta, nigdy odbudowaném nie będzie. "
Isaiah 25:3,"Przeto sławią Cię narody harde, grody ludów srogich obawiają się Ciebie. "
Isaiah 25:4,"Bo stałeś się twierdzą ubogiemu, twierdzą biednemu w niedoli jego, ochroną przed nawałnicą, cieniem od upału; bo była zaciekłość okrutnych, jako nawałnica na ścianę. "
Isaiah 25:5,"Jako skwar na stepie wrzawę barbarzyńców przyciszyłeś, jako upał cieniem obłoku pieśń okrutnych przytłumiona. "
Isaiah 25:6,"I wyprawi Wiekuisty zastępów dla wszystkich ludów na tej górze ucztę z tłuszczów, ucztę z nalewek; z tłustości soczystych, z nalewek oczyszczonych. "
Isaiah 25:7,I zerwie na tej górze zasłonę zawisłą nad wszystkiemi ludami i oponę rozpostartą nad wszystkiemi narodami. 
Isaiah 25:8,"Zniweczy śmierć na zawsze, i zetrze Pan, Wiekuisty, łzę z każdego oblicza, i hańbę narodu Swego odejmie z całej ziemi, gdyż Wiekuisty to wyrzekł. "
Isaiah 25:9,"I powiedzą w dzień ów: Oto Bóg nasz, któremuśmy ufali, że dopomoże nam, oto Wiekuisty, któremuśmy ufali, cieszmy, radujmy się pomocą Jego! "
Isaiah 25:10,"Gdy spocznie ręka Wiekuistego na górze tej, rozdeptanym będzie Moab w siedzibie swojej, jak rozdeptaną bywa wiązka słomy w kałuży gnojowej. "
Isaiah 25:11,"I wyciągnie ręce swoje w niej, jak je wyciąga pływak ku pływaniu; ale zniży On pychę jego mimo rozmachów rąk jego. "
Isaiah 25:12,"A warowne i wysokie mury twoje pochyli, poniży, powali na ziemię, aż do prochu. "
Isaiah 26:1,Dnia onego śpiewaną będzie pieśń ta na ziemi Judzkiej: Potężne miasto mamy; wybawienie ustanawia niby mury i baszty. 
Isaiah 26:2,"Otwórzcie bramy, a niech wnijdzie lud sprawiedliwy, co dochował wiary. "
Isaiah 26:3,"Umysł jego niezachwiany był; zachowasz mu pokój, pokój trwały, bo na Tobie polega. "
Isaiah 26:4,"Ufajcie Wiekuistemu na wieki, bo w Jah Wiekuistym obrona wieczna. "
Isaiah 26:5,"Bo upokorzył mieszkańców wysokości, stolicę wyniosłą; poniżył ją, poniżył ku ziemi, pochylił do prochu. "
Isaiah 26:6,"Depce ją noga, nogi uciśnionych, stopy bezsilnych. "
Isaiah 26:7,"Ścieżka sprawiedliwych urównana; Ty, Prawy, drogę sprawiedliwych torujesz. "
Isaiah 26:8,"Bo téż na drodze sądów Twoich, Wiekuisty, czekaliśmy Ciebie; za imieniem i wspomnieniem Twojém tęskniła dusza. "
Isaiah 26:9,"Duszą moją tęskniłem za Tobą w nocy, a duchem w mém wnętrzu szukałem Cię z rana; bo gdy sądy Twoje na ziemi się objawiają, sprawiedliwości się uczą mieszkańcy świata. "
Isaiah 26:10,"Oszczędzonym będąc niegodziwy, nie nauczy się sprawiedliwości, w kraju prawości broi bezprawia i nie baczy na majestat Wiekuistego. "
Isaiah 26:11,"Wiekuisty! podniesioną była ręka Twoja, - nie widzieli tego. Niech tedy widzą ze wstydem rzewniwość Twoję, dla narodu, i rozjątrzenie, które wrogów Twych pochłania. "
Isaiah 26:12,"Wiekuisty, użyczysz nam pokoju; wszak i wszystkie sprawy nasze zdziałałeś dla nas. "
Isaiah 26:13,"Wiekuisty, Boże nasz! zawładnęli nami panowie, okrom Ciebie, a jedynie za pomocą Twoją wysławiamy Imię Twoje. "
Isaiah 26:14,"Zmarli, ci nie ożyją! cienie - nie powstaną! Boś nawiedził i wytępił ich, i zgładził wszelką pamięć o nich. "
Isaiah 26:15,"Rozmnożyłeś ten naród, Wiekuisty, rozmnożyłeś ten naród, wsławiłeś się daleko po wszystkich krańcach ziemi. "
Isaiah 26:16,"Wiekuisty! w niedoli wspominali Cię, wylewali ciche modły, gdy karciłeś ich. "
Isaiah 26:17,"Jako brzemienna, gdy się zbliża do porodu, jęczy, krzyczy w bólach swoich, - takeśmy byli przed obliczem Twojém, Wiekuisty. "
Isaiah 26:18,"Poczęliśmy, boleliśmy, lecz - jak gdybyśmy zrodzili wiatr; wybawienia nie sprowadziliśmy dla ziemi, a nie padli mieszkańcy świata. "
Isaiah 26:19,"Oby téż ożyli zmarli Twoi, polegli moi powstali! Rozbudźcie się, radujcie, spoczywający w prochu, bo jako rosa na ziołach będzie rosa Twoja, a ziemia zmarłych wyrzuci. "
Isaiah 26:20,"Idź, ludu mój, wnijdź do mieszkań twoich, a zamknij drzwi twe za sobą: skryj się na małą chwilę, aż przeminie gniew. "
Isaiah 26:21,"Gdyż oto Wiekuisty wystąpi z przybytku Swojego aby poszukiwać grzechu mieszkańców ziemi na nich, i odkryje ziemia krew swoję, a nie zakryje nadal zabitych swoich. "
Isaiah 27:1,"Dnia onego nawiedzi Wiekuisty mieczem swoim twardym, wielkim i potężnym lewiatana, węża chybkiego i lewiatana, węża zwiniętego, i zabije potwora w morzu. "
Isaiah 27:2,"Dnia onego, winnicą pieniącego się wina okrzyknijcie ją. "
Isaiah 27:3,"Ja, Wiekuisty, strzegę jej, co chwila zraszam ją; aby nikt jej nie nawiedził, dzień i noc pilnuję jej. "
Isaiah 27:4,Alboż gniewu nie mam? Któż wyprowadzi osty i ciernie do walki zemną? Wystąpiwszy przeciw nim spaliłbym je pospołu. 
Isaiah 27:5,"Chyba chwyconoby się potęgi Mojej, zawarto pokój zemną, pokój zawarto zemną. "
Isaiah 27:6,"W przyszłości zakorzeni się znowu Jakób, zakwitnie i rozpleni się Israel, i napełnią powierzchnię świata owocem. "
Isaiah 27:7,"Alboż go tak gromił, jako zgromił pogromcę jego, alboż legł on tak, jako legli polegli jego? "
Isaiah 27:8,"Dopiero gdy miara pełną była, wygnaniem go skarciłeś, - wtedy dopiero wypędził go wichrem Swoim gwałtownym w dzień burzliwy. "
Isaiah 27:9,"Przeto tém tylko zmazana będzie wina Jakóba, i będzie ten cały owoc usunięcia grzechu jego, że obróci wszystkie kamienie ołtarza w wapienie pokruszone, aby nie ostały się więcej gaje i posągi słońca. "
Isaiah 27:10,"Bo oto stanie się gród warowny osamotnionym, siedzibą porzuconą i opuszczoną jako pustynia. Paść się tam będą cielęta, i tam się wylegać, i niszczyć zarośla jego. "
Isaiah 27:11,"Gdy poschną gałązki jego będą odłamane, kobiety przyjdą i rozniecą niemi ogień. Bo nie jest to lud rozumny, przeto nie lituje się nad nim Twórca jego, a Mistrz jego nie przepuszcza mu. "
Isaiah 27:12,"I będzie dnia onego, strząśnie was Wiekuisty od prądu rzeki aż do potoku Egipskiego, a zbierani będziecie po jednemu, synowie Israela. "
Isaiah 27:13,"I stanie się téż dnia onego, że uderzą w surmę wielką, i powrócą zaginieni na ziemi Aszur, i rozproszeni po ziemi Micraim, i korzyć się będą Wiekuistemu na górze świętej w Jeruszalaim. "
Isaiah 28:1,"Biada koronie dumnej pijanych Efraima, i kwieciu zwiędłemu wspaniałego wieńca jego, które na szczycie doliny żyznej winem odurzonych! "
Isaiah 28:2,"Oto silnego i potężnego ma Pan; jako nawałnica gradu i burza niszcząca, jako powódź wód gwałtownych, wezbranych, strąci on ją na ziemię siłą. "
Isaiah 28:3,Nogami podeptana będzie korona dumna pijanych Efraima. 
Isaiah 28:4,"I będzie kwiecie więdnące wspaniałego wieńca jego, co na szczycie doliny żyznej, jako jagoda wczesna przed zbiorem, którą skoro kto obaczy, zaledwie w ręku trzymając ją pochłonie. "
Isaiah 28:5,Dnia onego będzie Wiekuisty zastępów koroną wspaniałą i wieńcem okazałym dla pozostałych narodu Swego. 
Isaiah 28:6,"I duchem sprawiedliwości dla zasiadających na sądzie, i dzielnością dla odpierających bój do bramy. "
Isaiah 28:7,"Wszakże i ci, od wina się zataczają, i od napoju się chwieją; kapłan i wieszcz zataczają się od napoju, odurzeni są od wina, chwieją się od napoju, potaczają przy jasnowidzeniu, potykają przy wyrokowaniu. "
Isaiah 28:8,"Bo wszystkie stoły pełne wymiotu plugawego, że niestawa miejsca. "
Isaiah 28:9,"""Kogoż uczyć chce wiedzy, komuż wykładać baśnie? Czyż odstawionym od mleka, odsadzonym od piersi? "
Isaiah 28:10,"Bo przykazanie za przykazaniem, przykazanie za przykazaniem, prawidło za prawidłem, prawidło za prawidłem, cokolwiek tu, cokolwiek ówdzie"". "
Isaiah 28:11,"Zaprawdę, przez usta zajękliwe i językiem obcym przemawiać będę do narodu tego! "
Isaiah 28:12,"On, który powiedział im: Oto miejsce odpoczynku, dajcie spocząć strudzonemu, a oto miejsce wytchnienia; ale nie chcieli słuchać. "
Isaiah 28:13,"I tak niechaj będzie im słowo Wiekuistego przykazanie za przykazaniem, przykazanie za przykazaniem, prawidło za prawidłem, prawidło za prawidłem, cokolwiek tu, cokolwiek ówdzie; aby poszli i przewrócili się wznak, i byli potłuczeni i usidleni i pojmani. "
Isaiah 28:14,"Przeto słuchajcie słowa Wiekuistego wy naśmiewcy, panujący nad tym ludem, co w Jeruszalaim. "
Isaiah 28:15,"Ponieważ mówicie: Zawarliśmy przymierze ze śmiercią, a z grobem uczyniliśmy umowę, bicz gwałtowny, gdy przeciągać będzie, nie dosięgnie nas, bośmy uczynili kłamstwo przytułkiem naszym a pod fałsz schroniliśmy się. "
Isaiah 28:16,"Przeto tak rzecze Pan Wiekuisty: Oto utwierdziłem w Cyonie kamień, kamień wypróbowany, węgielny, cenny, - podwalinę utwierdzoną; ufny niech się nie trwoży! "
Isaiah 28:17,"I uczynię prawo sznurem, a sprawiedliwość pionem, - i zmiecie grad przytułek kłamstwa, a schronienie - wody uniosą. "
Isaiah 28:18,"I zniesioném będzie przymierze wasze ze śmiercią, a umowa wasza z grobem nie ostoi się, bicz gwałtowny, gdy przeciągać będzie, staniecie się dlań celem zdruzgotania. "
Isaiah 28:19,"Ile razy przeciągnie, pochwyci was, a codzień przeciągać będzie - we dnie i w nocy - a będzie tylko trwogą wykład baśni. "
Isaiah 28:20,"Bo za krótkiém będzie łoże, aby się rozciągnąć, a za szczupłém przykrycie, choćby się skurczono. "
Isaiah 28:21,"Bo jak na górze Peracym powstanie Wiekuisty, jak w dolinie pod Gibeonem się poruszy, aby dokonał sprawy Swojej, niepospolitej sprawy Swojej, i aby spełnił dzieło Swoje, osobliwe dzieło Swoje. "
Isaiah 28:22,"A teraz nie naśmiewajcie się, aby się nie naprężyły więzy wasze; bo skończoném to i postanowioném, - jakem słyszał, - przez Pana, Boga zastępów, względem całej ziemi. "
Isaiah 28:23,"Podajcie ucho i słuchajcie głosu mojego, zważcie i słuchajcie mowy mojej. "
Isaiah 28:24,Czyż każdego dnia orze rolnik dla siewu? bróździ i bronuje glebę swoję? 
Isaiah 28:25,"Czyż urównawszy powierzchnię jej nie rozsiewa czarnuszki, a kminu nie roztrząsa, lub nie daje pszenicy zagonu, jęczmieniowi wyznaczonej płosy, a orkiszowi miejsca na krańcach jej? "
Isaiah 28:26,"A gdy uprawi ją podług prawidła, Bóg jego mu ją użyźni. "
Isaiah 28:27,"Zaprawdę, nie cierlicą młóci się czarnuszka, ani bywa koło wozowe po kminie taczaném, lecz cepem wybija się czarnuszka, a kmin kijem. "
Isaiah 28:28,"Chlebne ziarno się miele? ale się go wiecznie nie młóci; poskrzypi po niém kołem wozu swojego, ale go koniom swoim stratować nie daje. "
Isaiah 28:29,"Tak téż i to od Wiekuistego zastępów wyszło; dziwném postanowienie Jego, wielkiém wykonanie. "
Isaiah 29:1,"O Arielu, Arielu, grodzie w którym osiadł Dawid! Dodajcie jeszcze rok do roku, niechaj święta okrążą. "
Isaiah 29:2,"Wtedy ucisnę Ariel, że będzie jęk i skarga; ale pozostanie Mi jako Ariel. "
