Mishnah Location	Last Used Talmud Location	Mishnah Text

Yevamot 10:4	Yevamot 94b:2	מִי שֶׁהָלְכָה אִשְׁתּוֹ לִמְדִינַת הַיָּם, וּבָאוּ וְאָמְרוּ לוֹ, מֵתָה אִשְׁתְּךָ, וְנָשָׂא אֶת אֲחוֹתָהּ, וְאַחַר כָּךְ בָּאת אִשְׁתּוֹ, מֻתֶּרֶת לַחֲזֹר לוֹ. הוּא מֻתָּר בִּקְרוֹבוֹת שְׁנִיָּה, וּשְׁנִיָּה מֻתֶּרֶת בִּקְרוֹבָיו. וְאִם מֵתָה רִאשׁוֹנָה, מֻתָּר בַּשְּׁנִיָּה. אָמְרוּ לוֹ, מֵתָה אִשְׁתְּךָ, וְנָשָׂא אֶת אֲחוֹתָהּ, וְאַחַר כָּךְ אָמְרוּ לוֹ, קַיֶּמֶת הָיְתָה, וּמֵתָה, הַוָּלָד רִאשׁוֹן מַמְזֵר, וְהָאַחֲרוֹן אֵינוֹ מַמְזֵר. רַבִּי יוֹסֵי אוֹמֵר, כָּל שֶׁפּוֹסֵל עַל יְדֵי אֲחֵרִים, פּוֹסֵל עַל יְדֵי עַצְמוֹ. וְכָל שֶׁאֵין פּוֹסֵל עַל יְדֵי אֲחֵרִים, אֵינוֹ פוֹסֵל עַל יְדֵי עַצְמוֹ: 

Yevamot 10:7	Yevamot 96b:1	בֶּן תֵּשַׁע שָׁנִים וְיוֹם אֶחָד שֶׁבָּא עַל יְבִמְתּוֹ, וְאַחַר כָּךְ בָּא עָלֶיהָ אָחִיו שֶׁהוּא בֶן תֵּשַׁע שָׁנִים וְיוֹם אֶחָד, פָּסַל עַל יָדוֹ. רַבִּי שִׁמְעוֹן אוֹמֵר, לֹא פָסַל: 

Yevamot 10:8	Yevamot 96b:5	בֶּן תֵּשַׁע שָׁנִים וְיוֹם אֶחָד שֶׁבָּא עַל יְבִמְתּוֹ, וְאַחַר כָּךְ בָּא עַל צָרָתָהּ, פָּסַל עַל יְדֵי עַצְמוֹ. רַבִּי שִׁמְעוֹן אוֹמֵר, לֹא פָסָל. בֶּן תֵּשַׁע שָׁנִים וְיוֹם אֶחָד שֶׁבָּא עַל יְבִמְתּוֹ, וּמֵת, חוֹלֶצֶת וְלֹא מִתְיַבֶּמֶת. נָשָׂא אִשָּׁה וּמֵת, הֲרֵי זוֹ פְטוּרָה: 

Yevamot 12:1	Yevamot 101a:9	מִצְוַת חֲלִיצָה בִּשְׁלֹשָׁה דַיָּנִין, וַאֲפִלּוּ שְׁלָשְׁתָּן הֶדְיוֹטוֹת. חָלְצָה בְמִנְעָל, חֲלִיצָתָהּ כְּשֵׁרָה. בְּאַנְפִּילִין, חֲלִיצָתָהּ פְּסוּלָה. בְּסַנְדָּל שֶׁיֶּשׁ לוֹ עָקֵב, כָּשֵׁר. וְשֶׁאֵין לוֹ עָקֵב, פָּסוּל. מִן הָאַרְכֻּבָּה וּלְמַטָּה, חֲלִיצָתָהּ כְּשֵׁרָה. מִן הָאַרְכֻּבָּה וּלְמַעְלָה, חֲלִיצָתָהּ פְּסוּלָה: 

Yevamot 12:3	Yevamot 104a:16	חָלְצָה וְרָקְקָה, אֲבָל לֹא קָרְאָה, חֲלִיצָתָהּ כְּשֵׁרָה. קָרְאָה וְרָקְקָה, אֲבָל לֹא חָלְצָה, חֲלִיצָתָהּ פְּסוּלָה. חָלְצָה וְקָרְאָה, אֲבָל לֹא רָקְקָה, רַבִּי אֱלִיעֶזֶר אוֹמֵר, חֲלִיצָתָהּ פְּסוּלָה. רַבִּי עֲקִיבָא אוֹמֵר, חֲלִיצָתָהּ כְּשֵׁרָה. אָמַר רַבִּי אֱלִיעֶזֶר, כָּכָה יֵעָשֶׂה (דברים כה), כָּל דָּבָר שֶׁהוּא מַעֲשֶׂה, מְעַכֵּב. אָמַר לוֹ רַבִּי עֲקִיבָא, מִשָּׁם רְאָיָה, כָּכָה יֵעָשֶׂה לָאִישׁ, כָּל דָּבָר שֶׁהוּא מַעֲשֶׂה בָאִישׁ: 

Yevamot 12:4	Yevamot 104b:1	הַחֵרֵשׁ שֶׁנֶּחֱלַץ וְהַחֵרֶשֶׁת שֶׁחָלְצָה, וְהַחוֹלֶצֶת לַקָּטָן, חֲלִיצָתָהּ פְּסוּלָה. קְטַנָּה שֶׁחָלְצָה, תַּחֲלֹץ מִשֶּׁתַּגְדִּיל. וְאִם לֹא חָלְצָה, חֲלִיצָתָהּ פְּסוּלָה: 

Yevamot 12:5	Yevamot 104b:2	חָלְצָה בִשְׁנַיִם, אוֹ בִשְׁלֹשָׁה, וְנִמְצָא אֶחָד מֵהֶן קָרוֹב אוֹ פָסוּל, חֲלִיצָתָהּ פְּסוּלָה. רַבִּי שִׁמְעוֹן וְרַבִּי יוֹחָנָן הַסַּנְדְּלָר מַכְשִׁירִין. וּמַעֲשֶׂה בְאֶחָד שֶׁחָלַץ בֵּינוֹ לְבֵינָהּ בְּבֵית הָאֲסוּרִין, וּבָא מַעֲשֶׂה לִפְנֵי רַבִּי עֲקִיבָא וְהִכְשִׁיר: 

Yevamot 13:1	Yevamot 107a:4	בֵּית שַׁמַּאי אוֹמְרִים, אֵין מְמָאֲנִין אֶלָּא אֲרוּסוֹת. וּבֵית הִלֵּל אוֹמְרִים, אֲרוּסוֹת וּנְשׂוּאוֹת. בֵּית שַׁמַּאי אוֹמְרִים, בַּבַּעַל וְלֹא בַיָּבָם. וּבֵית הִלֵּל אוֹמְרִים, בַּבַּעַל וּבַיָּבָם. בֵּית שַׁמַּאי אוֹמְרִים, בְּפָנָיו. וּבֵית הִלֵּל אוֹמְרִים, בְּפָנָיו וְשֶׁלֹּא בְפָנָיו. בֵּית שַׁמַּאי אוֹמְרִים, בְּבֵית דִּין. וּבֵית הִלֵּל אוֹמְרִים, בְּבֵית דִּין וְשֶׁלֹּא בְבֵית דִּין. אָמְרוּ לָהֶן בֵּית הִלֵּל לְבֵית שַׁמַּאי, מְמָאֶנֶת וְהִיא קְטַנָּה, אֲפִלּוּ אַרְבָּעָה וַחֲמִשָּׁה פְעָמִים. אָמְרוּ לָהֶן בֵּית שַׁמַּאי, אֵין בְּנוֹת יִשְׂרָאֵל הֶפְקֵר, אֶלָּא מְמָאֶנֶת וּמַמְתֶּנֶת עַד שֶׁתַּגְדִּיל, וּתְמָאֵן וְתִנָּשֵׂא: 

Ketubot 2:7	Ketubot 23b:1	וְכֵן שְׁנֵי אֲנָשִׁים, זֶה אוֹמֵר כֹּהֵן אָנִי וְזֶה אוֹמֵר כֹּהֵן אָנִי, אֵינָן נֶאֱמָנִין. וּבִזְמַן שֶׁהֵן מְעִידִין זֶה אֶת זֶה, הֲרֵי אֵלּוּ נֶאֱמָנִין: 

Ketubot 2:8	Ketubot 23b:13	רַבִּי יְהוּדָה אוֹמֵר, אֵין מַעֲלִין לַכְּהֻנָּה עַל פִּי עֵד אֶחָד. אָמַר רַבִּי אֶלְעָזָר, אֵימָתַי, בִּמְקוֹם שֶׁיֵּשׁ עוֹרְרִין. אֲבָל בִּמְקוֹם שֶׁאֵין עוֹרְרִין, מַעֲלִין לַכְּהֻנָּה עַל פִּי עֵד אֶחָד. רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר מִשּׁוּם רַבִּי שִׁמְעוֹן בֶּן הַסְּגָן, מַעֲלִין לַכְּהֻנָּה עַל פִּי עֵד אֶחָד: 

Ketubot 4:10	Ketubot 52b:7	לֹא כָתַב לָהּ, בְּנִין דִּכְרִין דְּיֶהֱווֹן לִיכִי מִנַּאי אִנּוּן יִרְתוּן כְּסַף כְּתֻבְּתִיךְ יָתֵר עַל חוּלְקֵיהוֹן דְּעִם אֲחוּהוֹן, חַיָּב שֶׁהוּא תְנַאי בֵּית דִּין: 

Ketubot 4:11	Ketubot 52b:7	בְּנָן נֻקְבִין דְּיֶהֶוְיָן לִיכִי מִנַּאי, יֶהֶוְיָן יָתְבָן בְּבֵיתִי וּמִתְּזָנָן מִנִּכְסַי עַד דְּתִנַּסְּבָן לְגֻבְרִין, חַיָּב, שֶׁהוּא תְנַאי בֵּית דִּין: 

Ketubot 8:1	Ketubot 78a:3	הָאִשָּׁה שֶׁנָּפְלוּ לָהּ נְכָסִים עַד שֶׁלֹּא תִתְאָרֵס, מוֹדִים בֵּית שַׁמַּאי וּבֵית הִלֵּל שֶׁמּוֹכֶרֶת וְנוֹתֶנֶת וְקַיָּם. נָפְלוּ לָהּ מִשֶּׁנִּתְאָרְסָה, בֵּית שַׁמַּאי אוֹמְרִים, תִּמְכֹּר, וּבֵית הִלֵּל אוֹמְרִים, לֹא תִמְכֹּר. אֵלּוּ וָאֵלּוּ מוֹדִים, שֶׁאִם מָכְרָה וְנָתְנָה, קַיָּם. אָמַר רַבִּי יְהוּדָה, אָמְרוּ לִפְנֵי רַבָּן גַּמְלִיאֵל, הוֹאִיל וְזָכָה בָאִשָּׁה, לֹא יִזְכֶּה בַנְּכָסִים. אָמַר לָהֶם, עַל הַחֲדָשִׁים אָנוּ בוֹשִׁין, אֶלָּא שָׁאַתֶּם מְגַלְגְּלִין עָלֵינוּ אֶת הַיְשָׁנִים. נָפְלוּ לָהּ מִשֶּׁנִּשֵּׂאת, אֵלּוּ וָאֵלּוּ מוֹדִים שֶׁאִם מָכְרָה וְנָתְנָה שֶׁהַבַּעַל מוֹצִיא מִיַּד הַלָּקוֹחוֹת. עַד שֶׁלֹּא נִשֵּׂאת וְנִשֵּׂאת, רַבָּן גַּמְלִיאֵל אוֹמֵר, אִם מָכְרָה וְנָתְנָה, קַיָּם. אָמַר רַבִּי חֲנִינָא בֶּן עֲקִיבָא, אָמְרוּ לִפְנֵי רַבָּן גַּמְלִיאֵל, הוֹאִיל וְזָכָה בָאִשָּׁה, לֹא יִזְכֶּה בַנְּכָסִים. אָמַר לָהֶם, עַל הַחֲדָשִׁים אָנוּ בוֹשִׁין, אֶלָּא שֶׁאַתֶּם מְגַלְגְּלִים עָלֵינוּ אֶת הַיְשָׁנִים: 

Nedarim 2:1	Nedarim 14b:6	וְאֵלּוּ מֻתָּרִין. חֻלִּין שֶׁאֹכַל לָךְ, כִּבְשַׂר חֲזִיר, כַּעֲבוֹדָה זָרָה, כְּעוֹרוֹת לְבוּבִין, כִּנְבֵלוֹת, כִּטְרֵפוֹת, כִּשְׁקָצִים, כִּרְמָשִׂים, כְּחַלַּת אַהֲרֹן וְכִתְרוּמָתוֹ, מֻתָּר. הָאוֹמֵר לְאִשְׁתּוֹ, הֲרֵי אַתְּ עָלַי כְּאִמָּא, פּוֹתְחִין לוֹ פֶתַח מִמָּקוֹם אַחֵר, שֶׁלֹּא יָקֵל רֹאשׁוֹ לְכָךְ. קוֹנָם שֶׁאֵינִי יָשֵׁן, שֶׁאֵינִי מְדַבֵּר, שֶׁאֵינִי מְהַלֵּךְ, הָאוֹמֵר לְאִשְׁתּוֹ, קוֹנָם שֶׁאֵינִי מְשַׁמְּשֵׁךְ, הֲרֵי זֶה בְלֹא יַחֵל דְּבָרוֹ. שְׁבוּעָה שֶׁאֵינִי יָשֵׁן, שֶׁאֵינִי מְדַבֵּר, שֶׁאֵינִי מְהַלֵּךְ, אָסוּר: 

Nedarim 2:2	Nedarim 16a:11	קָרְבָּן לֹא אֹכַל לָךְ, קָרְבָּן שֶׁאֹכַל לָךְ, לֹא קָרְבָּן לֹא אֹכַל לָךְ, מֻתָּר. שְׁבוּעָה לֹא אֹכַל לָךְ, שְׁבוּעָה שֶׁאֹכַל לָךְ, לֹא שְׁבוּעָה לֹא אֹכַל לָךְ, אָסוּר. זֶה חֹמֶר בַּשְּׁבוּעוֹת מִבַּנְּדָרִים. וְחֹמֶר בַּנְּדָרִים מִבַּשְּׁבוּעוֹת, כֵּיצַד, אָמַר, קוֹנָם סֻכָּה שֶׁאֲנִי עוֹשֶׂה, לוּלָב שֶׁאֲנִי נוֹטֵל, תְּפִלִּין שֶׁאֲנִי מֵנִיחַ, בַּנְּדָרִים אָסוּר, בַּשְּׁבוּעוֹת מֻתָּר, שֶׁאֵין נִשְׁבָּעִין לַעֲבֹר עַל הַמִּצְוֹת: 

Nedarim 5:5	Nedarim 48a:2	וְאֵיזֶהוּ דָבָר שֶׁל עוֹלֵי בָבֶל, כְּגוֹן הַר הַבַּיִת וְהָעֲזָרוֹת וְהַבּוֹר שֶׁבְּאֶמְצַע הַדֶּרֶךְ. וְאֵיזֶהוּ דָבָר שֶׁל אוֹתָהּ הָעִיר, כְּגוֹן הָרְחָבָה וְהַמֶּרְחָץ, וּבֵית הַכְּנֶסֶת וְהַתֵּבָה וְהַסְּפָרִים. וְהַכּוֹתֵב חֶלְקוֹ לַנָּשִׂיא. רַבִּי יְהוּדָה אוֹמֵר, אֶחָד כּוֹתֵב לַנָּשִׂיא וְאֶחָד כּוֹתֵב לְהֶדְיוֹט. מַה בֵּין כּוֹתֵב לַנָּשִׂיא לְכוֹתֵב לְהֶדְיוֹט, שֶׁהַכּוֹתֵב לַנָּשִׂיא אֵינוֹ צָרִיךְ לְזַכּוֹת. וַחֲכָמִים אוֹמְרִים, אֶחָד זֶה וְאֶחָד זֶה צְרִיכִין לְזַכּוֹת. לֹא דִבְּרוּ בַנָּשִׂיא אֶלָּא בַהֹוֶה. רַבִּי יְהוּדָה אוֹמֵר, אֵין אַנְשֵׁי גָלִיל צְרִיכִין לִכְתֹּב, שֶׁכְּבָר כָּתְבוּ אֲבוֹתֵיהֶם עַל יְדֵיהֶם: 

Nedarim 6:1	Nedarim 49a:1	הַנּוֹדֵר מִן הַמְבֻשָּׁל, מֻתָּר בַּצָּלִי וּבַשָּׁלוּק. אָמַר קוֹנָם תַּבְשִׁיל שֶׁאֵינִי טוֹעֵם, אָסוּר בְּמַעֲשֵׂה קְדֵרָה רַךְ, וּמֻתָּר בְּעָבֶה וּמֻתָּר בְּבֵיצַת טְרָמִיטָא, וּבִדְלַעַת הָרְמוּצָה: 

Nedarim 6:2	Nedarim 51b:1	הַנּוֹדֵר מִמַּעֲשֵׂה קְדֵרָה, אֵינוֹ אָסוּר אֶלָּא מִמַּעֲשֵׂה רְתַחְתָּה. אָמַר, קוֹנָם הַיּוֹרֵד לַקְּדֵרָה שֶׁאֵינִי טוֹעֵם, אָסוּר בְּכָל הַמִּתְבַּשְּׁלִין בַּקְּדֵרָה: 

Nedarim 6:3	Nedarim 51b:4	מִן הַכָּבוּשׁ, אֵינוֹ אָסוּר אֶלָּא מִן הַכָּבוּשׁ שֶׁל יָרָק. כָּבוּשׁ שֶׁאֵינִי טוֹעֵם, אָסוּר בְּכָל הַכְּבוּשִׁים. מִן הַשָּׁלוּק, אֵינוֹ אָסוּר אֶלָּא מִן הַשָּׁלוּק שֶׁל בָּשָׂר. שָׁלוּק שֶׁאֵינִי טוֹעֵם, אָסוּר בְּכָל הַשְּׁלָקִים. מִן הַצָּלִי, אֵינוֹ אָסוּר אֶלָּא מִן הַצָּלִי שֶׁל בָּשָׂר, דִּבְרֵי רַבִּי יְהוּדָה. צָלִי שֶׁאֵינִי טוֹעֵם, אָסוּר בְּכָל הַצְּלוּיִים. מִן הַמָּלִיחַ, אֵינוֹ אָסוּר אֶלָּא מִן הַמָּלִיחַ שֶׁל דָּג. מָלִיחַ שֶׁאֵינִי טוֹעֵם, אָסוּר בְּכָל הַמְּלוּחִים: 

Nedarim 6:5	Nedarim 52a:2	הַנּוֹדֵר מִן הֶחָלָב, מֻתָּר בַּקּוּם. וְרַבִּי יוֹסֵי אוֹסֵר. מִן הַקּוּם, מֻתָּר בֶּחָלָב. אַבָּא שָׁאוּל אוֹמֵר, הַנּוֹדֵר מִן הַגְּבִינָה, אָסוּר בָּהּ בֵּין מְלוּחָה בֵּין טְפֵלָה: 

Nedarim 6:6	Nedarim 52b:5	הַנּוֹדֵר מִן הַבָּשָׂר, מֻתָּר בַּרֹטֶב וּבַקִּפָּה. וְרַבִּי יְהוּדָה אוֹסֵר. אָמַר רַבִּי יְהוּדָה, מַעֲשֶׂה וְאָסַר עָלַי רַבִּי טַרְפוֹן בֵּיצִים שֶׁנִּתְבַּשְּׁלוּ עִמּוֹ. אָמְרוּ לוֹ, וְכֵן הַדָּבָר, אֵימָתַי, בִּזְמַן שֶׁיֹּאמַר בָּשָׂר זֶה עָלָי, שֶׁהַנּוֹדֵר מִן הַדָּבָר וְנִתְעָרֵב בְּאַחֵר, אִם יֶשׁ בּוֹ בְנוֹתֵן טַעַם, אָסוּר: 

Nedarim 7:8	Nedarim 57a:3	שֶׁאַתְּ עוֹשָׂה אֵינִי אוֹכֵל עַד הַפֶּסַח, שֶׁאַתְּ עוֹשָׂה אֵינִי מִתְכַּסֶּה עַד הַפֶּסַח, עָשְׂתָה לִפְנֵי הַפֶּסַח, מֻתָּר לֶאֱכֹל וּלְהִתְכַּסּוֹת אַחַר הַפֶּסַח. שֶׁאַתְּ עוֹשָׂה עַד הַפֶּסַח אֵינִי אוֹכֵל, וְשֶׁאַתְּ עוֹשָׂה עַד הַפֶּסַח אֵינִי מִתְכַּסֶּה, עָשְׂתָה לִפְנֵי הַפֶּסַח, אָסוּר לֶאֱכֹל וּלְהִתְכַּסּוֹת אַחַר הַפָּסַח: 

Nedarim 9:4	Nedarim 65b:2	וְעוֹד אָמַר רַבִּי מֵאִיר פּוֹתְחִין לוֹ מִן הַכָּתוּב שֶׁבַּתּוֹרָה וְאוֹמְרִים לוֹ, אִלּוּ הָיִיתָ יוֹדֵעַ שֶׁאַתָּה עוֹבֵר עַל לֹא תִקֹּם וְעַל לֹא תִטֹּר (ויקרא יט), וְעַל לֹא תִשְׂנָא אֶת אָחִיךָ בִּלְבָבֶךָ (שם), וְאָהַבְתָּ לְרֵעֲךָ כָּמוֹךָ (שם), וְחֵי אָחִיךָ עִמָּךְ (שם כה), שֶׁמָּא יֵעָנִי וְאֵין אַתָּה יָכוֹל לְפַרְנְסוֹ. אָמַר, אִלּוּ הָיִיתִי יוֹדֵעַ שֶׁהוּא כֵן, לֹא הָיִיתִי נוֹדֵר, הֲרֵי זֶה מֻתָּר: 

Nedarim 11:1	Nedarim 79a:11	וְאֵלּוּ נְדָרִים שֶׁהוּא מֵפֵר, דְּבָרִים שֶׁיֵּשׁ בָּהֶם עִנּוּי נֶפֶשׁ, אִם אֶרְחָץ וְאִם לֹא אֶרְחָץ, אִם אֶתְקַשֵּׁט וְאִם לֹא אֶתְקַשֵּׁט. אָמַר רַבִּי יוֹסֵי, אֵין אֵלּוּ נִדְרֵי עִנּוּי נָפֶשׁ: 

Nedarim 11:2	Nedarim 79b:1	וְאֵלּוּ הֵם נִדְרֵי עִנּוּי נֶפֶשׁ. אָמְרָה, קוֹנָם פֵּרוֹת הָעוֹלָם עָלָי, הֲרֵי זֶה יָכוֹל לְהָפֵר. פֵּרוֹת מְדִינָה עָלָי, יָבִיא לָהּ מִמְּדִינָה אַחֶרֶת. פֵּרוֹת חֶנְוָנִי זֶה עָלָי, אֵינוֹ יָכוֹל לְהָפֵר. וְאִם לֹא הָיְתָה פַרְנָסָתוֹ אֶלָּא מִמֶּנּוּ, הֲרֵי זֶה יָפֵר, דִּבְרֵי רַבִּי יוֹסֵי: 

Nazir 3:3	Nazir 16a:6	מִי שֶׁאָמַר הֲרֵינִי נָזִיר, נִטְמָא יוֹם שְׁלשִׁים, סוֹתֵר אֶת הַכֹּל. רַבִּי אֱלִיעֶזֶר אוֹמֵר, אֵינוֹ סוֹתֵר אֶלָּא שִׁבְעָה. הֲרֵינִי נָזִיר שְׁלשִׁים יוֹם, נִטְמָא יוֹם שְׁלשִׁים, סוֹתֵר אֶת הַכֹּל: 

Nazir 3:4	Nazir 16a:7	הֲרֵינִי נָזִיר מֵאָה יוֹם, נִטְמָא יוֹם מֵאָה, סוֹתֵר אֶת הַכֹּל. רַבִּי אֱלִיעֶזֶר אוֹמֵר, אֵינוֹ סוֹתֵר אֶלָּא שְׁלשִׁים. נִטְמָא יוֹם מֵאָה וְאֶחָד, סוֹתֵר שְׁלשִׁים יוֹם. רַבִּי אֱלִיעֶזֶר אוֹמֵר, אֵינוֹ סוֹתֵר אֶלָּא שִׁבְעָה: 

Nazir 4:1	Nazir 20b:4	מִי שֶׁאָמַר הֲרֵינִי נָזִיר, וְשָׁמַע חֲבֵרוֹ וְאָמַר וָאָנִי, וָאָנִי, כֻּלָּם נְזִירִין. הֻתַּר הָרִאשׁוֹן, הֻתְּרוּ כֻלָּן. הֻתַּר הָאַחֲרוֹן, הָאַחֲרוֹן מֻתָּר וְכֻלָּם אֲסוּרִין. אָמַר הֲרֵינִי נָזִיר, וְשָׁמַע חֲבֵרוֹ וְאָמַר, פִּי כְפִיו וּשְׂעָרִי כִשְׂעָרוֹ, הֲרֵי זֶה נָזִיר. הֲרֵינִי נָזִיר, וְשָׁמְעָה אִשְׁתּוֹ וְאָמְרָה, וָאָנִי, מֵפֵר אֶת שֶׁלָּהּ, וְשֶׁלּוֹ קַיָּם. הֲרֵינִי נְזִירָה, וְשָׁמַע בַּעְלָהּ וְאָמַר, וָאָנִי, אֵינוֹ יָכוֹל לְהָפֵר: 

Nazir 4:3	Nazir 28b:8	הָאִשָּׁה שֶׁנָּדְרָה בְנָזִיר, וְהָיְתָה שׁוֹתָה בְיַיִן וּמִטַּמְּאָה לְמֵתִים, הֲרֵי זוֹ סוֹפֶגֶת אֶת הָאַרְבָּעִים. הֵפֵר לָהּ בַּעְלָהּ וְהִיא לֹא יָדְעָה שֶׁהֵפֵר לָהּ בַּעְלָהּ, וְהָיְתָה שׁוֹתָה בְיַיִן וּמִטַּמְּאָה לְמֵתִים, אֵינָהּ סוֹפֶגֶת אֶת הָאַרְבָּעִים. רַבִּי יְהוּדָה אוֹמֵר, אִם אֵינָהּ סוֹפֶגֶת אֶת הָאַרְבָּעִים, תִּסְפֹּג מַכַּת מַרְדּוּת: 

Nazir 4:4	Nazir 30a:5	הָאִשָּׁה שֶׁנָּדְרָה בְנָזִיר וְהִפְרִישָׁה אֶת בְּהֶמְתָּהּ וְאַחַר כָּךְ הֵפֵר לָהּ בַּעְלָהּ, אִם שֶׁלּוֹ הָיְתָה בְהֶמְתָּהּ, תֵּצֵא וְתִרְעֶה בָעֵדֶר. וְאִם שֶׁלָּהּ הָיְתָה בְהֶמְתָּהּ, הַחַטָּאת תָּמוּת, וְעוֹלָה תִּקְרַב עוֹלָה, וְהַשְּׁלָמִים יִקְרְבוּ שְׁלָמִים, וְנֶאֱכָלִין לְיוֹם אֶחָד, וְאֵינָן טְעוּנִין לָחֶם. הָיוּ לָהּ מָעוֹת סְתוּמִים, יִפְּלוּ לִנְדָבָה. מָעוֹת מְפֹרָשִׁים, דְּמֵי חַטָּאת, יֵלְכוּ לְיַם הַמֶּלַח, לֹא נֶהֱנִים וְלֹא מוֹעֲלִים בָּהֶן. דְּמֵי עוֹלָה, יָבִיאוּ עוֹלָה, וּמוֹעֲלִים בָּהֶן. דְּמֵי שְׁלָמִים, יָבִיאוּ שְׁלָמִים, וְנֶאֱכָלִין לְיוֹם אֶחָד, וְאֵינָן טְעוּנִין לָחֶם: 

Nazir 5:1	Nazir 30b:11	בֵּית שַׁמַּאי אוֹמְרִים, הֶקְדֵּשׁ טָעוּת הֶקְדֵּשׁ. וּבֵית הִלֵּל אוֹמְרִים, אֵינוֹ הֶקְדֵּשׁ. כֵּיצַד. אָמַר, שׁוֹר שָׁחוֹר שֶׁיֵּצֵא מִבֵּיתִי רִאשׁוֹן הֲרֵי הוּא הֶקְדֵּשׁ, וְיָצָא לָבָן, בֵּית שַׁמַּאי אוֹמְרִים הֶקְדֵּשׁ, וּבֵית הִלֵּל אוֹמְרִים אֵינוֹ הֶקְדֵּשׁ: 

Nazir 5:2	Nazir 31a:1	דִּינַר זָהָב שֶׁיַּעֲלֶה בְיָדִי רִאשׁוֹן הֲרֵי הוּא הֶקְדֵּשׁ, וְעָלָה שֶׁל כֶּסֶף, בֵּית שַׁמַּאי אוֹמְרִים הֶקְדֵּשׁ, וּבֵית הִלֵּל אוֹמְרִים אֵינוֹ הֶקְדֵּשׁ. חָבִית שֶׁל יַיִן שֶׁתַּעֲלֶה בְיָדִי רִאשׁוֹנָה הֲרֵי הִיא הֶקְדֵּשׁ, וְעָלְתָה שֶׁל שֶׁמֶן, בֵּית שַׁמַּאי אוֹמְרִים הֶקְדֵּשׁ, וּבֵית הִלֵּל אוֹמְרִים אֵינוֹ הֶקְדֵּשׁ: 

Nazir 5:3	Nazir 32a:1	מִי שֶׁנָּדַר בְּנָזִיר וְנִשְׁאַל לְחָכָם וַאֲסָרוֹ, מוֹנֶה מִשָּׁעָה שֶׁנָּדַר. נִשְׁאַל לְחָכָם וְהִתִּירוֹ, הָיְתָה לוֹ בְהֵמָה מֻפְרֶשֶׁת, תֵּצֵא וְתִרְעֶה בָעֵדֶר. אָמְרוּ בֵית הִלֵּל לְבֵית שַׁמַּאי, אִי אַתֶּם מוֹדִים בָּזֶה שֶׁהוּא הֶקְדֵּשׁ טָעוּת שֶׁתֵּצֵא וְתִרְעֶה בָעֵדֶר. אָמְרוּ לָהֶן בֵּית שַׁמַּאי, אִי אַתֶּם מוֹדִים בְּמִי שֶׁטָּעָה וְקָרָא לַתְּשִׁיעִי עֲשִׂירִי וְלָעֲשִׂירִי תְשִׁיעִי וְלָאַחַד עָשָׂר עֲשִׂירִי שֶׁהוּא מְקֻדָּשׁ. אָמְרוּ לָהֶם בֵּית הִלֵּל, לֹא הַשֵּׁבֶט קִדְּשׁוֹ. וּמָה אִלּוּ טָעָה וְהִנִּיחַ אֶת הַשֵּׁבֶט עַל שְׁמִינִי וְעַל שְׁנֵים עָשָׂר, שֶׁמָּא עָשָׂה כְלוּם. אֶלָּא כָּתוּב שֶׁקִּדֵּשׁ אֶת הָעֲשִׂירִי, הוּא קִדֵּשׁ אֶת הַתְּשִׁיעִי וְאֶת אַחַד עָשָׂר: 

Nazir 6:1	Nazir 34a:10	שְׁלשָׁה מִינִין אֲסוּרִין בַּנָּזִיר, הַטֻּמְאָה וְהַתִּגְלַחַת וְהַיּוֹצֵא מִן הַגָּפֶן. וְכָל הַיּוֹצֵא מִן הַגֶּפֶן מִצְטָרְפִין זֶה עִם זֶה. וְאֵינוֹ חַיָּב עַד שֶׁיֹּאכַל מִן הָעֲנָבִים כַּזָּיִת. מִשְׁנָה רִאשׁוֹנָה, עַד שֶׁיִּשְׁתֶּה רְבִיעִית יַיִן. רַבִּי עֲקִיבָא אוֹמֵר, אֲפִלּוּ שָׁרָה פִתּוֹ בְיַיִן וְיֶשׁ בָּהּ כְּדֵי לְצָרֵף כַּזַּיִת, חַיָּב: 

Nazir 6:2	Nazir 34b:1	וְחַיָּב עַל הַיַּיִן בִּפְנֵי עַצְמוֹ, וְעַל הָעֲנָבִים בִּפְנֵי עַצְמָן, וְעַל הַחַרְצַנִּים בִּפְנֵי עַצְמָן, וְעַל הַזַּגִּים בִּפְנֵי עַצְמָן. רַבִּי אֶלְעָזָר בֶּן עֲזַרְיָה אוֹמֵר, אֵינוֹ חַיָּב עַד שֶׁיֹּאכַל שְׁנֵי חַרְצַנִּים וְזַגָּן. אֵלּוּ הֵן חַרְצַנִּים וְאֵלּוּ הֵן זַגִּים, הַחַרְצַנִּים אֵלּוּ הַחִיצוֹנִים, הַזַּגִּים אֵלּוּ הַפְּנִימִים, דִּבְרֵי רַבִּי יְהוּדָה. רַבִּי יוֹסֵי אוֹמֵר, שֶׁלֹּא תִטְעֶה, כְּזוֹג שֶׁל בְּהֵמָה, הַחִיצוֹן זוֹג וְהַפְּנִימִי עִנְבָּל: 

