Rereading the Rabbis; A Woman's Voice.1,Abbreviations and Acronyms
"Rereading the Rabbis; A Woman's Voice, Sotah.21","First, note that this passage is about problems with men’s behavior, not women’s. Its main point is that a man should be neither too accepting nor too suspicious of his wife’s behavior: He who is finicky is derided (1, 2), as is he whose sexual pleasure is enhanced by his wife’s promiscuity (4). The proper way for a man to behave is to tolerate reasonable social contact between his wife and other men (3)."
"Rereading the Rabbis; A Woman's Voice, Sotah.22","That this passage originates in Sotah suggests that the husband can also be at fault, unlike the title of the tractate, which implies that the wife is always at fault. The husband’s fit of jealousy can be triggered from within, not just without. Here the rabbis critique themselves, namely men, and implicitly, given the context of this passage, the entire ordeal."
"Rereading the Rabbis; A Woman's Voice, Sotah.23","Second, what can we learn from this passage about social relations between men and women in the Talmudic period? In a sex-segregated society, as indicated in Pirkei [= Mishnah] Avot, just conversing with the opposite sex seems to have been an erotic activity. The warning “Do not talk excessively with women … lest it take time away from Torah … and lead you to Gehenna” (M Avot 1:5) does not imply that women are considered intellectually inferior but that men who have casual social relations with women are easily aroused, as the parallel statement in BT Nedarim 20a adds, “lest talking with women lead a man to adulterous behavior.” It is for this reason that a husband would suspect his wife of inappropriate behavior if she engaged in conversation with a man who was neither a neighbor nor a relative, for he knew that the man would have been aroused by the encounter. This passage also creates the impression that the force at greatest odds with the desire to study Torah was the desire for sex. We will return to this subject later."
"Rereading the Rabbis; A Woman's Voice, Sotah.24","As for marital relationships, this passage suggests that a husband can legally limit his wife’s social contacts and can even force her to stay at home. Such potential control is clear evidence of the patriarchal construction of Jewish marriage, as is his right to divorce her for any reason. But note that the very source that acknowledges the possibility of despotic control over a wife also denounces it."
"Rereading the Rabbis; A Woman's Voice, Sotah.25",<b>The Ordeal in Detail</b>
"Rereading the Rabbis; A Woman's Voice, Sotah.26","After reading the first several paragraphs of Mishnah Sotah and noting their essentially enlightened implications, we are rather disturbed to read what follows—a detailed description of a gruesome ordeal."
"Rereading the Rabbis; A Woman's Voice, Sotah.27","The first mention of the ordeal itself appears in 1:4–7. After a number of homilies intervene, the description of the ordeal continues at the beginning of the second chapter, and again, after a break, at the beginning of the third. The Mishnah adds many details to the core ritual presented in the Torah."
"Rereading the Rabbis; A Woman's Voice, Sotah.28","The harshness of these statements is appalling. They unquestionably reflect deep rabbinic contempt for a suspected adulteress. At the same time, the details of the ritual seem to have sexual overtones. Ripping off her clothes to partially expose her body is both strange and suggestive. It feeds the sexual fantasies of the bystanders, in particular the young priests (T Sotah 1:7). It is also reminiscent of the treatment of adulterous women by other cultures, who would strip them naked in public, a custom already documented in Hosea 2:5. The <i>mishnah</i> notes the logic of this practice: Since she broke the rules by showing her body to her paramour, she will now be forced to reveal herself to all, a kind of perverted measure for measure. The problem, of course, is that at this stage she is only accused, not yet proven guilty."
"Rereading the Rabbis; A Woman's Voice, Sotah.29","How does this description mesh with the sympathetic treatment of women in the opening <i>mishnah</i>s of the tractate? It seems to me that the ordeal represents an older strand of material, very callous and offensive to women, which was later framed by more reasonable statements that reflected a growing dissatisfaction with the ordeal. A fairly standard editorial principle in tannaitic literature is to bracket the earlier layer with a later one, rather than simply to present the sources in chronological order. The strategic advantage of this alternate scheme is that it forces one to read the older sources, which appear second, in light of the newer ones, which appear first. In this tractate, we read about the ordeal only <i>after</i> being informed that the circumstances for carrying it out could almost never arise."
"Rereading the Rabbis; A Woman's Voice, Sotah.30",<b>Merit and Its Protection</b>
"Rereading the Rabbis; A Woman's Voice, Sotah.31","After describing the immediate yellowing of the <i>sotah</i>’s face and bulging of her eyes upon drinking the potion, the <i>mishnah</i> (3:4) goes on to limit the cases in which these changes occur: Accumulated merit could protect her and defer the physical devastation for one, two, or even three years. Before assessing the considerable implications of this statement, I will examine the one that follows, surely one of the most memorable in the entire Talmud."
"Rereading the Rabbis; A Woman's Voice, Sotah.32","Ben Azzai presents the reason a man is obligated to teach his daughter Torah (and this has to mean Torah in the broad sense, with tannaitic commentary): Should she be warned by her husband not to talk to a particular man, then go and closet herself with him, and be dragged to the Temple and forced to drink the bitter waters, and should she be guilty as suspected, she should know that if she had amassed a record of good deeds, they would delay the harmful effects of the water. Stated succinctly: If she studies Torah, she will know that if she commits adultery, her punishment will be postponed because of the good deeds she has done in the past. It is hard to imagine a more absurd rationale for teaching women Torah!<sup>4</sup><i class=""footnote"">An alternative explanation is that if she is guilty as suspected and finds that the waters do not harm her, she will know that it is her good deeds that have postponed the waters’ taking effect, not their inherent inefficacy. But that, too, is a strange reason to teach women Torah.</i>"
"Rereading the Rabbis; A Woman's Voice, Sotah.33","I find it remarkable that Ben Azzai is concerned with the mental state of even those women who commit adultery, who, one might argue, deserve to fear for their future. But why is his attitude to them so different from the contemptuous one demonstrated by his colleagues? It is doubtful that he is more forgiving of adultery. More likely, his statement indicates his repudiation of the entire Sotah ritual. Not only does merit protect, as already stated, but a woman should be entrusted with this knowledge in advance in order to alleviate her fear of what Ben Azzai considers to be an excessively harsh ritual."
"Rereading the Rabbis; A Woman's Voice, Sotah.34","Interpreted in this way, Ben Azzai’s statement is yet another example of the rabbis’ ability to reflect and comment upon women’s unfair lot in life. He seems to say that this ritual is such a travesty of justice that the only way to rectify matters is to teach women Torah, so that they know that nothing will happen to them for a long time if they drink the water, even if guilty. He thus not only denies the potency of the water to punish sinners, as mentioned without attribution earlier in this passage, but also claims that women, for this immoral and profoundly demeaning way of treating them, must be compensated with Torah study, an activity at the other end of the continuum, one that evinces great respect for the student. That is not surprising coming from a man whose desire is only for the study of Torah, not for women (T Yevamot 8:4)."
"Rereading the Rabbis; A Woman's Voice, Sotah.35","The mishnaic passage continues with R. Eliezer’s dissenting opinion: One who teaches his daughter Torah is teaching her <i>tiflut</i>, lewdness. This is an almost equally absurd statement. One possible interpretation is that knowledge is dangerous: If a woman knows that the accumulation of good deeds can defer the punishment, she will be tempted to engage in forbidden sexual acts (as if ignorance of this fact were the only deterrent!). Another possible interpretation is that a woman’s inferior intellect will only allow her a limited understanding of Torah, which may then innocently, or even otherwise, lead her astray. Since this same rabbi is reported in the Yerushalmi <i>(ad locum)</i> to have said that it is better to burn the words of Torah than to hand them over to women—a deeply misogynistic sentiment—it is likely that his statement in the Mishnah is to be best understood as a condemnation of women’s intellectual capacities. R. Eliezer would thus be in direct conflict with Ben Azzai, who views women as competent. But why an inferior mind would misunderstand Torah in a way that leads to sexual impropriety is still not clear. R. Joshua, the next speaker in the Mishnah, provides an answer: Were a woman confronted with the choice of more frequent (marital) sex and a lower income or less frequent sex and a higher income, she would choose the former.<sup>5</sup><i class=""footnote"">Or, according to the version of the text quoted above, a woman likes sex a lot more than abstinence.</i> The context shows that R. Joshua means to say that women are incapable of applying themselves to the serious endeavor of Torah study because of their preoccupation with sex and their great sexual appetite.<sup>6</sup><i class=""footnote"">See Chapter 7 for further comments on this <i>mishnah</i>. See also Daniel Boyarin, <i>Carnal Israel</i> (Berkeley: University of California Press, 1993), 174–180.</i>"
"Rereading the Rabbis; A Woman's Voice, Sotah.36","It is quite astonishing that the only place in the Mishnah where the issue of educating women is raised directly is in this context of women’s inappropriate sexual behavior. I, therefore, think it possible that the Mishnah here hints, below the surface, that the reason a man should not teach a woman Torah, or that men and women may not study Torah together (and it is well known that the disciple circles were composed of men only), is not a woman’s intellectual insufficiency but rather a man’s sexual proclivities: When with women, he will find himself unable to observe the boundaries of acceptable social intercourse. What we see here, it seems, is the displacement of great and uncontrollable interest in sexual activity from men to women. It is not she who will be led astray by learning Torah, but he: In the course of teaching it to her he will find himself sexually distracted."
"Rereading the Rabbis; A Woman's Voice, Sotah.37","As we will see in Chapter 2, “Relations Between the Sexes,” the Mishnah assumes that men who spend time with women are likely to be aroused by them and may not be able to stop themselves from initiating some kind of sexual involvement (M Kiddushin 4:12). This would be even more likely were the setting deep intellectual exchange. As stated in BT Berakhot 24a, men are aroused by the sight of a woman, any exposed part of her body, and even the sound of a woman’s voice. This assessment supports what was stated above—that talking with women was considered an erotic activity. Note that the same kinds of statements are not made about women. They are portrayed as easily seduced, what the Talmud calls “light-minded” (BT Kiddushin 80b), but not as seducers. Therefore, men’s ideal conditions for Torah study are apart from women. Given all this, it is not surprising that men need to deny that women are intellectually capable."
"Rereading the Rabbis; A Woman's Voice, Sotah.38","Mishnah 5, an apparent continuation of the discussion of the ability of merit to protect, cites two more views. R. Simon (b. Yohai) proposes that merit does not protect—if it did, aspersions would be cast on all the innocent women who already submitted to the ordeal and suffered no adverse consequences. Rebbe (R. Judah the Prince) responds that merit does protect—a guilty woman can be distinguished from an innocent one by how she dies, even though she will have continued to live a long time unharmed. The guilty, ultimately, will die a <i>sotah</i>’s death, characterized by slow physical deterioration."
"Rereading the Rabbis; A Woman's Voice, Sotah.39","When the redactor of the Mishnah surveyed the views of these rabbis and others found in parallel passages in the Midrash Halakhah,<sup>7</sup><i class=""footnote""><i>Sifrei Bemidbar</i>, 8 (p. 15, Horovitz ed.).</i> he took a stand on several disputed matters: (1) merit does protect; (2) it protects for a long time, even three years, not just for three months, nine months, or one year, as suggested by the others. In this way the redactor rendered the ordeal of no use at all. What would a husband gain from having his wife drink the waters if they would not immediately prove her guilt or innocence? The point of the ritual, according to the Torah, was to calm his jealousy if she were innocent and punish her if she were guilty. The minute the notion of deferred punishment is introduced, the ordeal neither punishes her nor yields the information sought to pacify him."
"Rereading the Rabbis; A Woman's Voice, Sotah.40","In terms of the Mishnah’s structure, this section in its redacted form, upholds the outlook of the opening paragraphs of the tractate and goes one step further. Even in the unlikely event that all the conditions for administering the ordeal, set forth at the beginning of the tractate, were fulfilled, this section would destroy all reason to implement a test from which nothing would be learned."
"Rereading the Rabbis; A Woman's Voice, Sotah.41",<b>The Paramour</b>
"Rereading the Rabbis; A Woman's Voice, Sotah.42","Chapter 5 of Sotah opens with a statement about the paramour, whose potential existence, until now, has been largely ignored. The Mishnah considers that the superfluous appearance of the phrase “and they shall enter” implies that the waters will test not only the woman who is forced to drink them but also the paramour, wherever he is, by adversely affecting him in the same way as her. This symmetry suggests that the rabbis found it morally unacceptable for only one of two partners in crime to be punished. If she has sinned and is consequently harmed seriously by the waters, then he, too, who would never be charged, should and will, they assert, suffer a similar punishment. (According to. Maimonides [<i>Mishneh Torah</i>, Hilchot Sotah 3:17], he will die the same death that she dies, at the very same moment!)"
"Rereading the Rabbis; A Woman's Voice, Sotah.43","The Mishnah goes on to say that just as she is forbidden to her husband until she drinks the bitter waters and even afterwards if she is guilty, so too she is forbidden to the paramour. Should the opportunity arise for her to reconnect with the paramour, because of the death of the husband or divorce, or a delay in punishment for her, the rabbis feel that it would not be right for her to do so. If it were allowed, then this tractate would be teaching a woman how to jettison one man for another: Have an adulterous relationship with the man to whom she took a fancy, arouse her husband’s suspicion, bring it about that he divorce her, and then be free to continue the relationship with the paramour. In fact, the rabbis in M Nedarim 11:12 (and elsewhere) express their fear that women will do exactly that. Note the symmetry in this <i>mishnah:</i> The rabbis speak of two situations, one in which a woman and another in which a man (the husband of an adulteress) is treated unfairly in their eyes, even though the rules of the Torah are followed. Presenting these two situations together, and casting them in the same literary/midrashic form, suggests that the authors were finding fault with the water ordeal in toto, pointing out its pervasive absurdities, and not just tinkering with it to make it more fair."
"Rereading the Rabbis; A Woman's Voice, Sotah.44",<b>Abolishing the Ordeal</b>
"Rereading the Rabbis; A Woman's Voice, Sotah.45","The last powerful critique of the ordeal of the bitter waters appears in chapter 9. After discussing the rules of breaking the neck of a calf if a corpse is found near a city (<i>eglah arufah</i>, Deuteronomy 21:1–9), the Mishnah says:"
"Rereading the Rabbis; A Woman's Voice, Sotah.46","According to a midrash appearing in both Talmuds (BT Sotah 47b, PT Sotah 9:9; 24a), this <i>mishnah</i> is saying that once sexually immoral behavior becomes standard, the waters will no longer be able to test wives: The husbands of many of these women will be guilty of the same act themselves and therefore ineligible to invoke the test. The midrash derives the need for guiltless men from the concluding verse of the Sotah section (Numbers 5:31), which says that “the man shall be clear of guilt,” implying that only men who are themselves clear of guilt may test their wives. In other words, this ritual was discontinued because of its inherent unfairness: It punished women but not men who committed the very same crime, and who were, themselves, the ones who initiated the test for the women. But the Tosefta (14:2) interprets the <i>mishnah</i> differently. It says that when adultery became common and hence public knowledge, they (the authorities) could no longer administer the bitter waters because the test works only in a case in which there is a doubt and in so many of these cases the transgression was certain.<sup>8</sup><i class=""footnote"">Cf. Judith Wegner, <i>Chattel or Person?</i> (New York: Oxford University Press, 1988), 54.</i>"
"Rereading the Rabbis; A Woman's Voice, Sotah.47","These different approaches suggest that there are two interpretive stages: The older approach, represented by the Mishnah and the Tosefta, treats the abolition matter-of-factly. According to the <i>mishnah</i>, because there was a backlog of cases, a long line of angry husbands waiting to test their wives, the time-consuming ritual had to be abolished, just like the <i>eglah arufah</i> ritual. The <i>mishnah</i>’s verse from Hosea, supporting the notion that adultery had become rampant, singles out women as adulterers and says that, despite their sin, God would not punish them—an apt prooftext. Note that the verse describes men’s sin as seeking out prostitutes, not adultery. The Tosefta’s tradition, attributed to R. Yohanan b. Zaccai, a Tanna who lived at the end of the Temple period, gives a rationale that is an alternative to the <i>mishnah</i>’s backlog of cases, but still offers no moral critique of the ordeal. However, the later rabbis and also the redactors of the Bavli and Yerushalmi felt the need to explain the Mishnah’s abolition in a different way altogether, as a response to the hypocrisy of a ritual that permitted guilty but unpunished husbands to punish a guilty wife. As time passed, moral instincts seem to have prodded rabbis into explaining the abolition as a moral necessity."
"Rereading the Rabbis; A Woman's Voice, Sotah.48","Was this ritual ever carried out? Need one take this line of the Mishnah at face value? There is no obvious answer. Only one mention is made in rabbinic literature of the actual subjection of a woman to this ordeal (Mishnah Eduyot 5:6; PT Sotah 2:5; 18b). We read, however, in Mishnah Yoma 3:10, that Helene, the queen of Adiabene who converted to Judaism in the time of the Second Temple, made several generous donations to the Temple, among them a golden tablet on which were inscribed the verses of Sotah. The purpose of this tablet, presumably, was to make it easier for the <i>kohanim</i> to prepare the Sotah’s scroll. I find it ironic, and a bit too didactic, that a woman would make a gift to the Temple to be used to test women for sin.<sup>9</sup><i class=""footnote"">Cf. Ilan, <i>Jewish Women</i>, 137.</i>"
"Rereading the Rabbis; A Woman's Voice, Sotah.49",<b>Conclusions</b>
"Rereading the Rabbis; A Woman's Voice, Sotah.50","What has this holistic study of Mishnah Sotah yielded? To begin with, we saw that the tractate begins on a note that radically transforms Torah, requiring a husband to warn his wife about a particular man and then, only if she paid no attention to the warning and secluded herself with that man in front of witnesses, allowing him to subject her to the ordeal. Whereas the Torah prescribes the ordeal for instances in which there are no witnesses, the rabbis inject witnesses, thus ensuring that the administration of the waters will be permitted only in cases where the man’s jealousy is reasonably justified. So, the tractate opens with a rabbinic rendition of this institution that does not deviate as much from the rules of due process as one may at first think."
"Rereading the Rabbis; A Woman's Voice, Sotah.51","Then, in the course of reading through the tractate, we hear the message loud and clear: First, the rabbis are interested in limiting the implementation of this ordeal to the extent that they can; second, they believe that with divine intervention, the paramour, too, if there was one, will be punished exactly as she is; third, they believe that a history of good deeds on her part will postpone the implementation of the punishment; and, finally, because so many men were committing adultery with so many women, they abolish the ordeal of the bitter waters altogether."
"Rereading the Rabbis; A Woman's Voice, Sotah.52","This tractate, although it presents a detailed, gruesome description of the ritual, bordering, one might say, on the pornographic, at the same time suppresses this hostile and offensive core by the later addition of the elements mentioned above. When we read this tractate, we get the impression that overriding the disdain and even disgust the rabbis feel for a woman who may have been extramaritally involved is the even greater dislike they had for the ritual itself, probably because of its inherent injustice: An innocent woman could be humiliated, whereas a guilty man could be neither humiliated nor punished. On the surface, this tractate appears to endorse and develop the ritual of the bitter waters as set down by the Torah, but in reality, in all of its elaborate expansion, the rabbis eliminate this ancient ritual, paragraph by paragraph, until, almost anticlimactically, at the end of the volume, they supply a historical note, that the waters were, in fact, abolished by R. Yohanan b. Zaccai.<sup>10</sup><i class=""footnote"">A very brief version of this chapter appears in my article “An Assessment of Women’s Liberation in the Talmud,” in <i>Conservative Judaism</i> 26, no. 4 (Summer 1972).</i>"
"Rereading the Rabbis; A Woman's Voice, Sotah.53","All of this change notwithstanding, the image of marriage presented in this tractate and related rabbinic materials is one of a dominant husband and subordinate wife. As in other tractates, marriage is constructed here as a patriarchal institution: Men take women to be their wives, may dismiss them at will, and may deny them the compensation set forth in the <i>ketubah</i> if they have transgressed the rules of Jewish marriage, such as the requirement of fidelity. Although the rabbis do give a man these rights, they warn him time and again not to exercise absolute control over his wife."
"Rereading the Rabbis; A Woman's Voice, Sotah.54","It seems to me that the major achievement of the rabbis of the Talmud with regard to women, in this tractate and also in general, was significantly to improve their status in a variety of important areas. Since by the rabbis’ own account, the ordeal of the bitter waters was abolished in the last days of the Temple, and thus was completely inoperative for most of the rabbinic period, this entire tractate may be seen as a lengthy statement of rabbinic dissatisfaction with patriarchy as they knew it. Moreover, since the men in this tractate were not, in fact, yielding any new rights to women or making any concessions in their comments, which almost explicitly reject the ordeal, they probably intended to show that rabbis take action when they see unjust treatment of women. Such action does not mean that they granted women full equality with men, such as the ability to make demands of marital fidelity on a husband, but that, within a patriarchal framework, they took steps to reduce women’s legal disabilities."
"Rereading the Rabbis; A Woman's Voice, Sotah.55","Throughout this chapter we have read the Bible through the eyes of the rabbis, noting how they adapted a single biblical institution to their more progressive social outlook. It is noteworthy that a similar claim has been made by Bible scholars about the biblical institution of Sotah itself. As grossly unjust as Sotah may seem to the uninitiated reader of the Bible, when read in the context of Ancient Near Eastern literature, the ritual appears to have been reworked by the priestly legislators “in order to protect a suspected but unproved adulteress from the vengeance of an irate husband or community by mandating that God will decide her case.”<sup>11</sup><i class=""footnote""><i>The JPS Torah Commentary, Numbers</i>, 354.</i> Strange as it may sound, the point of the biblical reworking of the ordeal, according to Jacob Milgrom, is to improve women’s lives. Just as Milgrom has read Bible in its ancient setting—literary, legal, and social—so have I attempted to read Talmud. And it has yielded similar results: although Tractate Sotah seems sexist on the surface, a contextualized reading shows that the underlying intent of the rabbis is to erase the inequities of the ritual and thereby diminish, although not eradicate, its patriarchy."
"Rereading the Rabbis; A Woman's Voice, Sotah.56",<b>Notes</b>
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.1","T<small>HE PICTURE THAT EMERGES</small> from many Talmudic passages is that society in the rabbinic period was both sex-segregated and patriarchal. Was it permissible, in such a society, for men and women to engage in social and intellectual exchange of ideas? The answer is no."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.2","A close reading of the key texts on the subject of relations between the sexes will show that the reason for this ban was that men found themselves easily aroused in the presence of women and therefore did not trust themselves to be alone with them. It is hard to say whether such a low threshold of sexual arousal is the result of living in a society in which dealing with women was sufficiently rare that it heightened their sexual attraction for men, or whether just the opposite obtained: Because of men’s sexual nature, it was necessary for them to live their lives, not with women, but parallel to them."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.3","As much as we will try to understand what these texts have to say on the subject, we must recognize that the conditions of life in the rabbinic period were so different from those of today, the lack of privacy being just one example, that we cannot be sure that we are properly understanding the nature of men’s and women’s relationships. Even today, relationships between the sexes differ so greatly in the West and East that it is hard for someone in one culture to understand properly human relations in another."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.4","The theory proposed—that men recognized that their own sexual nature makes social interchange with women impossible—is at odds with much current thinking on gender relations in rabbinic culture. Jacob Neusner suggests that men view women as anomalous, dangerous, dirty, and polluting, and in possession of an unruly sexual potential that is lying there just below the surface.<sup>1</sup><i class=""footnote"">Jacob Neusner, <i>Method and Meaning in Ancient Judaism</i>, Brown Judaica Series, no. 10 (Missoula, Mont.: Scholars Press, 1979), 97.</i> Judith Wegner says that rabbis ascribe to women moral laxity.<sup>2</sup><i class=""footnote"">Wegner, <i>Chattel or Person?</i> (New York: Oxford University Press, 1988), 159–162.</i> David Biale writes that according to the rabbis, women are “incapable of willed sexual restraint.”<sup>3</sup><i class=""footnote"">David Biale, <i>Eros and the Jews</i> (New York: Basic Books, 1992), 57.</i> Leonie Archer claims that the rabbis consider women to be insatiable sexual aggressors.<sup>4</sup><i class=""footnote"">Leonie Archer, <i>Her Price Is Beyond Rubies: The Jewish Woman in Graeco-Roman Palestine</i>, Journal for the Study of the Old Testament Series, 60 (Sheffield: Sheffield Academic Press, 1990), 105.</i> Michael Satlow says that although men and women were both thought to be sexually desirous, only men were thought capable of controlling their desire.<sup>5</sup><i class=""footnote"">Michael Satlow, <i>Tasting the Dish: Rabbinic Rhetorics of Sexuality</i> (Atlanta, Ga.: Scholars Press, 1995), 158.</i> According to all of these authors, men, rather than accepting responsibility for their own sexual misbehavior, blame women for instigating it. These theories fit in with, or are the consequence of, these authors’ general sense that men viewed women as Other."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.5","I have no quarrel with the fact that men in ancient societies, and even today, view women as Other. But that does not necessarily imply that they impute evil or depravity to women. On the contrary, I find in the Talmudic sources three general principles or observations that recognize the complexity of sexuality: (1) as already noted, men are easily aroused sexually by being in the presence of women, looking at them, dressed or undressed, or even just thinking about them; (2) women, in general, do not actively try to entice men; (3) sexual attraction in and of itself is considered to be normal and natural but, because it demands resolution, can easily lead to violation of social and religious norms.<sup>6</sup><i class=""footnote"">It does seem to be the case, though, that over time, some rabbis began to display a negative attitude to the sexual urge, particularly in that it competed with the desire to study Torah. See further discussion.</i> I will try in the course of this chapter to show that these principles emerge when we read in entirety a rabbinic unit on sexual relations between men and women and compare the views of the Mishnah, Tosefta, Bavli, and Yerushalmi to each other. Only when these materials are examined out of context does it become possible to reach other conclusions. To their credit, the rabbis seem to be aware of some aspects of their own psychological makeup."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.6","The subject not addressed in these passages is what women feel about sex. Although women are central to this material in that they are the source of sexual tension for men, their own opinions are not recorded. Nor do men have much to say about women’s sexuality except to acknowledge that women, too, have a need for sexual satisfaction. The halakhic corollary is that since women are subordinate to their husbands and hence not free openly to seek satisfaction, the rabbis require men to meet their wives’ sexual needs."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.7","One other point to keep in mind as we read through this material is that just as the chapters in the Bible on forbidden sexual liaisons (Leviticus 18 and 20) place a man at the center and proceed to list the women with whom he may not enter into sexual contact, the Mishnah too, when discussing sexual matters, looks at the world with a man’s eyes. Similarly, just as laws affecting women in the Bible are, for the most part, a derivative of laws affecting men, so too in the Mishnah rules affecting women must be derived from those affecting men."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.8",<b>Men and Women Alone Together</b>
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.9","The key set of statements on the topic of relations between the sexes appears in chapter 4 of Tractate Kiddushin. After dealing with lineage and with appropriate and inappropriate marital unions, the Mishnah moves on to another topic altogether, relationships between men and women who are not married to each other."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.10","The first part of the <i>mishnah</i> states the well-known rule that men and women may not be alone together, but it distinguishes between prohibiting one man from being alone with several women and permitting one woman to be alone with several men. If we read this part of the <i>mishnah</i> independently of its context, at least two reasons for the distinction come to mind: Either men need to be protected from being seduced by women, or women need to be protected from being seduced by men. In order to find out which of these explanations is right, we need to read these rules in the context of those that follow."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.11","The second clause of the <i>mishnah</i>, about relations between family members, makes the assumption that a father is not aroused sexually by sleeping naked in the same bed as his young daughter, with their bodies touching, that a young boy is not aroused by sleeping together with his mother, nor, we may assume, is a mother aroused by her young son. That is, immature bodies do not bring about sexual arousal in others or experience it themselves. But once a man matures physically, he will experience involuntary sexual arousal if he is in close physical contact with either his mother or a physically mature daughter. Therefore, although they may still sleep in the same bed, they may not do so naked, but each wrapped in his or her own garment."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.12","This second part of the <i>mishnah</i> sheds light on the first. In this second case, the father, mother, son, or daughter is not intent on enticing anyone to engage in a sexual act. The <i>mishnah</i> is dealing with a situation, in this case a family bed, in which a man will, <i>without intending to</i>, find himself sexually aroused by sleeping in bodily contact with a naked woman, even his own mother or daughter. The <i>mishnah</i>’s law offers advice on how to avoid such arousal: Have each of them wrap themselves in his or her own blanket-like garment."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.13","It follows that the first part of the <i>mishnah</i>, men and women finding themselves alone with each other, is also describing a situation in which men are not actively trying to entice women, nor are women actively trying to entice men. Even so, men will find themselves aroused sexually simply by being secluded with women. To guard a man from interacting sexually with an unattended woman, a likely outcome of their being alone together, the <i>mishnah</i> recommends that he make sure another man or else his own wife is present. The juxtaposition of these two sections within one <i>mishnah</i> makes it very unlikely that in the first part women are actively trying to seduce men whereas in the second men are trying to contend with involuntary sexual arousal. Since, in addition, the second part of the <i>mishnah</i> uses the same key term as the first part—“to be alone with” [<span dir=""rtl"">להתיחד עם</span>]—they constitute one literary unit on the topic of seclusion, involuntary sexual arousal and its routine consequence, illicit sexual activity."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.14","Note that this <i>mishnah</i> is written with a man’s concerns in view. It is he who will find himself unable to resist sexual temptation when in the presence of an unattended woman or women. For the <i>mishnah</i>, sexual arousal in these circumstances is natural, uncomplicated, involuntary, and perceived of as bad only if it leads a man into sexual transgression. To prevent him from engaging in a sexual act when alone with a woman, the <i>mishnah</i> forbids a man from allowing himself to be found in such a situation.<sup>8</sup><i class=""footnote"">Since the Mishnah allows no seclusion of men with any women at all, even unmarried, it is concerned not just about the violation of Jewish law by men with married or consanguineous women but also about promiscuous behavior of men with unmarried women.</i>"
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.15","The reason that two men may be alone with one woman but two women may not be alone with one man has to do with a man’s controlling his instincts: In both cases a female presence excites a man, but in the first instance, the presence of someone else like himself will inhibit him from pursuing gratification, whereas in the second, in the presence of women only, he will not be embarrassed to carry out his sexual design. We will return to this subject later."
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.16",The next <i>mishnah</i> continues to deal with the subject of involuntary sexual arousal:
"Rereading the Rabbis; A Woman's Voice, Relations Between the Sexes.17","No reason is given for why an unmarried man may not teach young children. The simple explanation, raised and then immediately rejected by both Talmuds (BT Kiddushin 82a; PT Kiddushin 4:11; 66c), is that an unmarried man’s pent-up libido may lead him to molest the students sexually.<sup>10</sup><i class=""footnote"">T AZ 3:2 fears such sexual molestation if a gentile teacher is hired for a Jewish child. Kutheans are not suspected of such behavior (T AZ 3:1).</i> As close to the meaning of the words as this explanation is—exploitation of schoolchildren is a problem to this very day—it would force us to say, in parallel fashion, that a woman, unmarried or <i>even married</i>, is similarly suspect. Since no statistics support the notion that women are <i>more</i> frequent sexual offenders of children than men, that is not likely to be the view of women’s sexual nature that the rabbis are expressing in these texts."
