Index,Daf,Siman,Siman Ref,Wiki Snippet
660,Sanhedrin 50a,ד,Sanhedrin 50a:14,שריפה חמורה <ד> סייף חמור מחנק שכן ניתן
661,Sanhedrin 50b,א,Sanhedrin 50b:10,"כח המדיח ותניא מדיחי עיר הנדחת בסקילה ר""ש אומר בחנק מרגלא בפומיה דרבי יוחנן <א> נערה המאורסה בת כהן שזינתה"
662,Sanhedrin 50b,ב,Sanhedrin 50b:11,"בסקילה ר""ש אומר בשריפה זינתה מאביה בסקילה ר""ש אומר בשריפה מאי קמ""ל לרבנן <ב> נשואה יצאה לשריפה ולא ארוסה"
663,Sanhedrin 51a,א,Sanhedrin 51a:1, <א> אין לי אלא שניסת לכהן
664,Sanhedrin 51a,ב,Sanhedrin 51a:2,"ניסת ללוי ולישראל לעובד כוכבים לחלל לממזר ולנתין מניין ת""ל ובת איש כהן אע""פ שאינה כהנת היא בשריפה <ב> ואין בועלה בשריפה היא בשריפה"
665,Sanhedrin 51a,ג,Sanhedrin 51a:2,ואין בועלה בשריפה היא בשריפה <ג> ואין זוממיה בשריפה רבי אליעזר
666,Sanhedrin 51a,ד,Sanhedrin 51a:10,בת כהן <ד> אפילו בת ישראל נמי דאמר
667,Sanhedrin 51a,ה,Sanhedrin 51a:17,דקא מתחלא וקיימא מעיקרא דאמר מר ובת כהן כי תהיה לאיש זר <ה> כיון שנבעלה לפסול לה פסלה
668,Sanhedrin 51a,ו,Sanhedrin 51a:22,הפסולין משלמת קרן וחומש ומיתתה בחנק דברי ר' מאיר וחכמים אומרים <ו> זו וזו משלמות קרן ולא
669,Sanhedrin 51a,ז,Sanhedrin 51a:24,ואת חמיה מחמיה מאי איריא בת כהן אפילו בת ישראל נמי בתו בשריפה <ז> וכלתו בסקילה אלא את אביה
670,Sanhedrin 51b,א,Sanhedrin 51b:12,נשואה זוממיה ובועלה בכלל ועשיתם לו כאשר זמם וגו' בועלה מאי כאשר זמם איכא אלא <א> זוממיה בכלל מיתת בועלה משום
671,Sanhedrin 52a,א,Sanhedrin 52a:6,קומות ואיידי דקא בעי למיתנא מצות הנשרפין תנא נמי זו מצות הנסקלין: <א> מצות הנשרפין היו משקעין אותו
672,Sanhedrin 52b,א,Sanhedrin 52b:3,השופט אשר יהיה בימים ההם <א> בזמן שיש כהן יש משפט
673,Sanhedrin 52b,ב,Sanhedrin 52b:8,מפני שלא היה בית דין של אותה שעה בקי: <ב> מצות הנהרגין היו מתיזין את
674,Sanhedrin 52b,ג,Sanhedrin 52b:11,דתניא <ג> שורפין על המלכים ולא מדרכי
675,Sanhedrin 52b,ד,Sanhedrin 52b:21,כאן בקופיץ וממול עורף אמר רב נחמן אמר רבה בר אבוה אמר קרא ואהבת לרעך כמוך ברור לו מיתה יפה: <ד> מצות הנחנקין היו משקעין אותו
676,Sanhedrin 52b,ה,Sanhedrin 52b:22,תנו רבנן איש <ה> פרט לקטן אשר ינאף את
677,Sanhedrin 52b,ו,Sanhedrin 52b:22,אשת איש <ו> פרט לאשת קטן אשת רעהו
678,Sanhedrin 52b,ז,Sanhedrin 52b:22,פרט לאשת קטן אשת רעהו <ז> פרט לאשת אחרים מות יומת
679,Sanhedrin 52b,ח,Sanhedrin 52b:23,בחנק <ח> אתה אומר בחנק או אינו
680,Sanhedrin 52b,ט,Sanhedrin 52b:24,להקל עליה דברי רבי יאשיה רבי יונתן אומר לא מפני שהיא קלה אלא <ט> כל מיתה האמורה בתורה סתם
681,Sanhedrin 53a,א,Sanhedrin 53a:5,"כתיב בהו סקילה דגמרי מאוב וידעוני במאי גמרי במות יומתו גמרי או בדמיהם בם גמרי א""ל <א> בדמיהם דמיהם בם גמרי דאי"
682,Sanhedrin 53a,ב,Sanhedrin 53a:14,הנסקלין גופייהו קא קשיא ליה דאי במות יומת גמרי עד דגמרי מאוב וידעוני ליגמרו מאשת איש: <ב> אלו הן הנסקלין הבא על
683,Sanhedrin 53a,ג,Sanhedrin 53a:14,האם ועל אשת האב ועל הכלה ועל הזכור ועל הבהמה והאשה המביאה את הבהמה <ג> והמגדף והעובד עבודת כוכבים
684,Sanhedrin 53a,ד,Sanhedrin 53a:14,והמגדף והעובד עבודת כוכבים <ד> והנותן מזרעו למולך
685,Sanhedrin 53a,ה,Sanhedrin 53a:14,והנותן מזרעו למולך <ה> ובעל אוב וידעוני
686,Sanhedrin 53a,ו,Sanhedrin 53a:14,ובעל אוב וידעוני <ו> והמחלל את השבת
687,Sanhedrin 53a,ז,Sanhedrin 53a:14,והמחלל את השבת <ז> והמקלל אביו ואמו
688,Sanhedrin 53a,ח,Sanhedrin 53a:14,והמקלל אביו ואמו <ח> והבא על נערה המאורסה
689,Sanhedrin 53a,ט,Sanhedrin 53a:14,והבא על נערה המאורסה <ט> והמסית
690,Sanhedrin 53a,י,Sanhedrin 53a:14,והמסית <י> והמדיח
691,Sanhedrin 53a,כ,Sanhedrin 53a:14,והמדיח <כ> והמכשף
692,Sanhedrin 53a,ל,Sanhedrin 53a:14,והמכשף <ל> ובן סורר ומורה
693,Sanhedrin 53a,מ,Sanhedrin 53a:15,ובן סורר ומורה <מ> הבא על האם חייב עליה
694,Sanhedrin 53a,נ,Sanhedrin 53a:16,משום אם ומשום אשת אב רבי יהודה אומר אינו חייב אלא משום האם בלבד <נ> הבא על אשת אב חייב
695,Sanhedrin 53a,ס,Sanhedrin 53a:16,משום אשת אב ומשום אשת איש <ס> בין בחיי אביו בין לאחר
696,Sanhedrin 53a,ע,Sanhedrin 53a:17,מיתת אביו בין מן האירוסין בין מן הנישואין <ע> הבא על כלתו חייב עליה
697,Sanhedrin 53b,א,Sanhedrin 53b:1, <א> איסור מצוה שניות מדברי סופרים
698,Sanhedrin 54a,א,Sanhedrin 54a:14,סלקא דעתך נכרי ממש דינו מאי ניהו קטלא בתרי קטלי קטלת ליה תניא נמי הכי <א> הבא על אביו חייב שתים
699,Sanhedrin 54a,ב,Sanhedrin 54a:28,אמר אביי פתח הכתוב בכלתו וסיים באשת בנו לומר לך זו היא כלתו זו היא אשת בנו: <ב> הבא על הזכור ועל הבהמה
700,Sanhedrin 54a,ג,Sanhedrin 54a:29,"הכתוב תסקל ד""א שלא תהא בהמה עוברת בשוק ויאמרו זו היא שנסקל פלוני על ידה: זכר מנא לן דת""ר איש <ג> פרט לקטן אשר ישכב את"
701,Sanhedrin 54a,ד,Sanhedrin 54a:29,זכר <ד> בין גדול בין קטן משכבי
702,Sanhedrin 54a,ה,Sanhedrin 54a:29,אשה <ה> מגיד לך הכתוב ששני משכבות
703,Sanhedrin 54b,א,Sanhedrin 54b:4,לן דתנו רבנן <א> איש פרט לקטן אשר יתן
704,Sanhedrin 54b,ב,Sanhedrin 54b:4,שכבתו בבהמה <ב> בין גדולה בין קטנה מות
705,Sanhedrin 54b,ג,Sanhedrin 54b:6,אם אינו ענין לשוכב <ג> תניהו ענין לנשכב למדנו עונש
706,Sanhedrin 54b,ד,Sanhedrin 54b:11,"חייב שתים חדא מלא תשכב וחדא מלא יהיה קדש לדברי ר""ע <ד> אינו חייב אלא אחת לא"
707,Sanhedrin 54b,ה,Sanhedrin 54b:12,מלא תתן שכבתך וחדא מלא יהיה קדש לדברי רבי עקיבא <ה> אינו חייב אלא אחת שכבתך
708,Sanhedrin 54b,ו,Sanhedrin 54b:16,אמר רבי אבהו לדברי רבי עקיבא חייב שתים חדא מלא תשכב וחדא מלא תתן שכבתך לדברי רבי ישמעאל <ו> אינו חייב אלא אחת אידי
709,Sanhedrin 54b,ז,Sanhedrin 54b:20,מאי לא עשו בו קטן כגדול אמר רב <ז> לא עשו ביאת פחות מבן
710,Sanhedrin 54b,ח,Sanhedrin 54b:23,סבר כל דאיתיה בשוכב איתיה בנשכב וכל דליתיה בשוכב ליתיה בנשכב ושמואל סבר משכבי אשה כתיב תניא כוותיה דרב <ח> זכר בן תשע שנים ויום
711,Sanhedrin 55a,א,Sanhedrin 55a:6,"שלא כדרכה חייב א""ל רבינא לרבא המערה בזכור מהו <א> המערה בזכור משכבי אשה כתיב"
712,Sanhedrin 55a,ב,Sanhedrin 55a:7,להעראה דנדה <ב> תניהו ענין להעראה דבהמה מכדי
713,Sanhedrin 55a,ג,Sanhedrin 55a:11,משכחת לה כי משכחת לה במשמש מת למאן דאמר <ג> משמש מת בעריות פטור הכא
714,Sanhedrin 55a,ד,Sanhedrin 55a:12,פטור ולמאן דאמר חייב הכא מיחייב תרתי מיחייב אשוכב ומיחייב אנשכב בעו מיניה מרב ששת <ד> עובד כוכבים הבא על הבהמה
715,Sanhedrin 55b,א,Sanhedrin 55b:3,ישראל הבא על הבהמה בשוגג מהו <א> תקלה וקלון בעינן והכא קלון
716,Sanhedrin 55b,ב,Sanhedrin 55b:4,"איכא תקלה ליכא או דילמא קלון אע""פ שאין תקלה אמר רב יוסף תא שמע <ב> בת שלש שנים ויום אחד"
717,Sanhedrin 55b,ג,Sanhedrin 55b:4,מתקדשת בביאה <ג> ואם בא עליה יבם קנאה
718,Sanhedrin 55b,ד,Sanhedrin 55b:4,ואם בא עליה יבם קנאה <ד> וחייבין עליה משום אשת איש
719,Sanhedrin 55b,ה,Sanhedrin 55b:5,וחייבין עליה משום אשת איש <ה> ומטמאה את בועלה לטמא משכב
720,Sanhedrin 55b,ו,Sanhedrin 55b:5,תחתון כעליון <ו> ניסת לכהן אוכלת בתרומה בא
721,Sanhedrin 55b,ז,Sanhedrin 55b:6,עליה אחד מן הפסולים פסלה מן הכהונה <ז> ואם בא עליה אחד מכל
722,Sanhedrin 55b,ח,Sanhedrin 55b:9,"רבא ת""ש <ח> בן תשע שנים ויום אחד"
723,Sanhedrin 55b,ט,Sanhedrin 55b:9,הבא על יבמתו קנאה <ט> ואינו נותן גט עד שיגדיל
724,Sanhedrin 55b,י,Sanhedrin 55b:9,ואינו נותן גט עד שיגדיל <י> ומטמא כנדה לטמא משכב תחתון
725,Sanhedrin 55b,כ,Sanhedrin 55b:10,כעליון <כ> פוסל ואינו מאכיל
726,Sanhedrin 55b,ל,Sanhedrin 55b:10,פוסל ואינו מאכיל <ל> ופוסל את הבהמה מעל גבי
727,Sanhedrin 55b,מ,Sanhedrin 55b:10,"המזבח <מ> ונסקלת ע""י"
728,Sanhedrin 55b,נ,Sanhedrin 55b:10,"ונסקלת ע""י <נ> ואם בא על אחת מכל"
729,Sanhedrin 55b,ס,Sanhedrin 55b:15,הבהמה וכדבעו מיניה מרב ששת: <ס> המגדף אינו חייב עד שיפרש
730,Sanhedrin 56a,א,Sanhedrin 56a:1, <א> בכל יום דנין את העדים
731,Sanhedrin 56a,ב,Sanhedrin 56a:4,אומר אף אני כמוהו: <ב> תנא עד שיברך שם בשם
732,Sanhedrin 56a,ג,Sanhedrin 56a:6,אקב לא קבה אל <ג> ואזהרתיה מהכא אלהים לא תקלל
733,Sanhedrin 56a,ד,Sanhedrin 56a:14,"את המקלל ולא כתיב הוצא את הנוקב והמקלל שמע מינה חדא היא תנו רבנן איש מה ת""ל איש איש <ד> לרבות את העובדי כוכבים שמוזהרין"
734,Sanhedrin 56a,ה,Sanhedrin 56a:14,על ברכת השם כישראל <ה> ואינן נהרגין אלא בסייף שכל
735,Sanhedrin 56a,ו,Sanhedrin 56a:18,המיוחד בלבד מניין לרבות כל הכינויין תלמוד לומר איש כי יקלל אלהיו מכל מקום דברי רבי מאיר וחכמים אומרים <ו> על שם המיוחד במיתה ועל
736,Sanhedrin 56a,ז,Sanhedrin 56a:19,הכינויין באזהרה ופליגא דרבי מיישא דאמר רבי מיישא <ז> בן נח שבירך את השם
737,Sanhedrin 56a,ח,Sanhedrin 56a:24,עובד כוכבים לא בעינן שם בשם איש איש למה לי דיברה תורה כלשון בני אדם תנו רבנן <ח> שבע מצות נצטוו בני נח
738,Sanhedrin 56b,א,Sanhedrin 56b:3,כלאים <א> ואין אסורין אלא בהרבעת בהמה
739,Sanhedrin 56b,ב,Sanhedrin 56b:12,"ופלח לה אמר רבא ומי איכא למאן דאמר עכו""ם שעשאה ע""ז ולא השתחוה לה חייב והתניא <ב> בעכו""ם דברים שבית דין של"
740,Sanhedrin 56b,ג,Sanhedrin 56b:14,כדרכה בר קטלא הוא אלא <ג> למעוטי שלא כדרכה דינין בני
741,Sanhedrin 56b,ד,Sanhedrin 56b:20,לא נצרכה אלא <ד> להושיב בית דין בכל פלך
742,Sanhedrin 56b,ה,Sanhedrin 56b:20,עיר ועיר <ה> כך נצטוו בני נח להושיב
743,Sanhedrin 57a,א,Sanhedrin 57a:13,בר יצחק אזהרה שלהן זו היא מיתתן רב הונא ורב יהודה וכולהו תלמידי דרב אמרי <א> על שבע מצות בן נח
744,Sanhedrin 57a,ב,Sanhedrin 57a:14,וכן כיוצא בהן <ב> כותי בכותי וכותי בישראל אסור
745,Sanhedrin 57a,ג,Sanhedrin 57a:16,דאית ליה חיובא מיתנא קתני דקתני רישא <ג> על שפיכות דמים כותי בכותי
746,Sanhedrin 57a,ד,Sanhedrin 57a:16,וכותי בישראל <ד> חייב ישראל בכותי פטור התם
747,Sanhedrin 57a,ה,Sanhedrin 57a:17,היכי ליתני ליתני אסור ומותר והתניא <ה> כותי ורועי בהמה דקה לא
748,Sanhedrin 57a,ו,Sanhedrin 57a:19,אימת אי בשעת גמר מלאכה התירא הוא <ו> אי לאו בשעת גמר מלאכה
749,Sanhedrin 57a,ז,Sanhedrin 57a:20,גזל מעליא הוא אלא אמר רב פפא לא נצרכה <ז> אלא לפחות משוה פרוטה אי
750,Sanhedrin 57a,ח,Sanhedrin 57a:22,כיוצא בהן כיון דלאו בני מחילה נינהו גזל מעליא הוא אלא אמר רב אחא בריה דרב איקא לא נצרכה אלא <ח> לכובש שכר שכיר כותי בכותי
751,Sanhedrin 57a,ט,Sanhedrin 57a:23,"וכותי בישראל אסור ישראל בכותי מותר כיוצא ביפת תואר מאי היא כי אתא רב דימי א""ר אלעזר א""ר חנינא <ט> בן נח שייחד שפחה לעבדו"
752,Sanhedrin 57a,י,Sanhedrin 57a:24,דתניא רבי יונתן בן שאול אומר <י> רודף אחר חבירו להורגו ויכול
753,Sanhedrin 57b,א,Sanhedrin 57b:2,נהרג עליו אשכח ר' יעקב בר אחא דהוה כתיב בספר אגדתא דבי רב <א> בן נח נהרג בדיין א'
754,Sanhedrin 57b,ב,Sanhedrin 57b:2,ובעד אחד שלא בהתראה מפי איש ולא מפי אשה ואפילו קרוב משום רבי ישמעאל אמרו <ב> אף על העוברין מנהני מילי
755,Sanhedrin 57b,ג,Sanhedrin 57b:11,מה תלמוד לומר איש איש <ג> לרבות את הכותים שמוזהרין על
756,Sanhedrin 57b,ד,Sanhedrin 57b:17,איש בדינא דידהו דיינינן להו והתניא <ד> בא על נערה המאורסה נידון
757,Sanhedrin 57b,ה,Sanhedrin 57b:18,בסקילה על אשת איש נידון בחנק ואי בדינא דידהו סייף הוא אמר רב נחמן בר יצחק <ה> מאי אשת איש דקתני כגון
758,Sanhedrin 57b,ו,Sanhedrin 57b:19,שנכנסה לחופה ולא נבעלה דלדידהו לית להו דיינינן להו בדינא דידן דתני ר' חנינא <ו> בעולת בעל יש להן נכנסה
759,Sanhedrin 58a,א,Sanhedrin 58a:1,שהיתה הורתו שלא בקדושה ולידתו בקדושה <א> יש לו שאר האם ואין
760,Sanhedrin 58a,ב,Sanhedrin 58a:2,לו שאר האב הא כיצד <ב> נשא אחותו מן האם יוציא
761,Sanhedrin 58a,ג,Sanhedrin 58a:3,"ר""מ אומר יוציא וחכ""א <ג> יקיים שהיה ר""מ אומר כל"
762,Sanhedrin 58a,ד,Sanhedrin 58a:4,ערוה שהיא משום שאר אם יוציא משום שאר האב יקיים <ד> ומותר באשת אחיו ובאשת אחי
763,Sanhedrin 58a,ה,Sanhedrin 58a:4,אביו ושאר כל עריות מותרות לו <ה> לאתויי אשת אביו
764,Sanhedrin 58a,ו,Sanhedrin 58a:5,לאתויי אשת אביו <ו> נשא אשה ובתה כונס אחת
765,Sanhedrin 58a,ז,Sanhedrin 58a:5,ומוציא אחת ולכתחילה לא יכנוס מתה אשתו <ז> מותר בחמותו ואיכא דאמרי אסור
766,Sanhedrin 58a,ח,Sanhedrin 58a:7,"את אביו ואת אמו רבי אליעזר אומר אביו אחות אביו אמו אחות אמו ר""ע אומר <ח> אביו אשת אביו אמו אמו"
767,Sanhedrin 58a,ט,Sanhedrin 58a:8,ממש ודבק <ט> ולא בזכר באשתו
768,Sanhedrin 58a,י,Sanhedrin 58a:8,ולא בזכר באשתו <י> ולא באשת חבירו והיו לבשר
769,Sanhedrin 58a,כ,Sanhedrin 58a:8,אחד <כ> מי שנעשים בשר אחד יצאו
770,Sanhedrin 58a,ל,Sanhedrin 58a:12,נמי היינו באשתו ולא באשת חברו <ל> לאחר מיתה אמו אמו ממש
771,Sanhedrin 58a,מ,Sanhedrin 58a:13,היינו באשתו ולא באשת חברו <מ> אמו מאנוסתו במאי קא מיפלגי
772,Sanhedrin 58b,א,Sanhedrin 58b:9,"שישא קין את אחותו שנאמר כי אמרתי עולם חסד יבנה הא לאו הכי אסירא כיון דאשתרי אשתרי אמר רב הונא <א> כותי מותר בבתו וא""ת מפני"
773,Sanhedrin 58b,ב,Sanhedrin 58b:11,דעולם חסד יבנה אמר רב חסדא <ב> עבד מותר באמו ומותר בבתו
774,Sanhedrin 58b,ג,Sanhedrin 58b:12,יצא מכלל כותי ולכלל ישראל לא בא כי אתא רב דימי אמר ר' אלעזר אמר ר' חנינא <ג> בן נח שייחד שפחה לעבדו
775,Sanhedrin 58b,ד,Sanhedrin 58b:13,ובא עליה נהרג עליה מאימת אמר רב נחמן <ד> מדקראו לה רביתא דפלניא מאימת
776,Sanhedrin 58b,ה,Sanhedrin 58b:13,"התרתה אמר רב הונא <ה> משפרעה ראשה בשוק א""ר אלעזר"
777,Sanhedrin 58b,ו,Sanhedrin 58b:16,דישראל לא מיחייב וכותי מיחייב אלא אמר רבא <ו> בן נח שבא על אשת
778,Sanhedrin 58b,ז,Sanhedrin 58b:17,"חבירו שלא כדרכה פטור מאי טעמא באשתו ולא באשת חבירו ודבק ולא שלא כדרכה א""ר חנינא <ז> עובד כוכבים שהכה את ישראל"
779,Sanhedrin 58b,ח,Sanhedrin 58b:19,"כאילו סוטר לועו של שכינה שנאמר מוקש אדם ילע קודש: מגביה עבדו שבת סימן: אמר ריש לקיש <ח> המגביה ידו על חבירו אע""פ"
780,Sanhedrin 58b,ט,Sanhedrin 58b:25,"מאי דכתיב עובד אדמתו ישבע לחם אם עושה אדם עצמו כעבד לאדמה ישבע לחם ואם לאו לא ישבע לחם ואר""ל <ט> עובד כוכבים ששבת חייב מיתה"
781,Sanhedrin 58b,י,Sanhedrin 58b:25,שנא' ויום ולילה לא ישבותו ואמר מר אזהרה שלהן זו היא מיתתן אמר רבינא <י> אפי' שני בשבת וליחשבה גבי
782,Sanhedrin 59a,א,Sanhedrin 59a:2,והא דינין קום עשה הוא וקא חשיב קום עשה ושב אל תעשה נינהו ואמר ר' יוחנן <א> עובד כוכבים שעוסק בתורה חייב
783,Sanhedrin 59b,א,Sanhedrin 59b:9,כלל אי בעית אימא מילה <א> מעיקר' לאברהם הוא דקא מזהר
784,Sanhedrin 59b,ב,Sanhedrin 59b:10,לחייבו כי <ב> ביצחק יקרא לך זרע בני
785,Sanhedrin 59b,ג,Sanhedrin 59b:11,עשו לחייבו ביצחק <ג> ולא כל יצחק מתקיף לה
786,Sanhedrin 59b,ד,Sanhedrin 59b:12,הפר <ד> לרבות בני קטורה אמר רב
787,Sanhedrin 60a,א,Sanhedrin 60a:3,תרביע כלאים ושדך לא תזרע כלאים <א> מה בהמתך בהרבעה אף שדך
788,Sanhedrin 60a,ב,Sanhedrin 60a:7,בן קרחה כו': אמר רב אחא בר יעקב <ב> אינו חייב עד שיברך שם
789,Sanhedrin 60a,ג,Sanhedrin 60a:12,"יוסי תנן מהו דתימא עד דאיכא שם רבה ומילתא בעלמא הוא דנקט קמ""ל: נגמר הדין כו': <ג> עומדין מנלן א""ר יצחק בר"
790,Sanhedrin 60a,ד,Sanhedrin 60a:13,על אחת כמה וכמה <ד> קורעין מנלן דכתיב ויבא אליקים
791,Sanhedrin 60a,ה,Sanhedrin 60a:14,"בן חלקיהו [וגו'] ושבנא הסופר ויואח בן אסף המזכיר אל חזקיהו קרועי בגדים ויגידו לו את דברי רבשקה: <ה> לא מאחין: מנלן א""ר אבהו"
792,Sanhedrin 60a,ו,Sanhedrin 60a:16,"לעולם ת""ר <ו> אחד השומע ואחד שומע מפי"
793,Sanhedrin 60a,ז,Sanhedrin 60a:16,שומע חייב לקרוע <ז> והעדים אין חייבין לקרוע שכבר
794,Sanhedrin 60a,ח,Sanhedrin 60a:18,(את דברי רבשקה) ויקרע את בגדיו המלך חזקיהו קרע והם לא קרעו אמר רב יהודה אמר שמואל <ח> השומע אזכרה מפי העובד כוכבים
795,Sanhedrin 60a,ט,Sanhedrin 60a:21,מי גמירי <ט> אלא לאו בכינוי ושמע מינה
796,Sanhedrin 60a,י,Sanhedrin 60a:23,"בזמן הזה הוא דלא הא מעיקרא חייב שמע מינה: השני אומר אף אני כמוהו: אמר ר""ל שמע מינה <י> אף אני כמוהו כשר בדיני"
797,Sanhedrin 60b,א,Sanhedrin 60b:1,העובד עבודת כוכבים <א> אחד העובד ואחד המזבח ואחד
798,Sanhedrin 60b,ב,Sanhedrin 60b:1,המקטר ואחד המנסך ואחד המשתחוה ואחד <ב> המקבלו עליו לאלוה והאומר לו
799,Sanhedrin 60b,ג,Sanhedrin 60b:2,אלי אתה <ג> אבל המגפף והמנשק והמכבד והמרבץ
800,Sanhedrin 60b,ד,Sanhedrin 60b:2,והמרחץ והסך והמלביש והמנעיל עובר בלא תעשה <ד> הנודר בשמו והמקיים בשמו עובר
801,Sanhedrin 60b,ה,Sanhedrin 60b:3,בלא תעשה <ה> הפוער עצמו לבעל פעור זו
802,Sanhedrin 60b,ו,Sanhedrin 60b:5,היא עבודתה הזורק אבן למרקוליס זו היא עבודתה: מאי אחד העובד אמר רבי ירמיה <ו> הכי קאמר אחד העובד כדרכה
803,Sanhedrin 60b,ז,Sanhedrin 60b:6,ואחד המזבח ואחד המקטר ואחד המנסך ואחד המשתחוה ואפילו שלא כדרכה וליחשוב נמי זורק אמר אביי <ז> זורק היינו מנסך דכתיב בל
804,Sanhedrin 60b,ח,Sanhedrin 60b:10,"לשם המיוחד לפי שיצאה זביחה לידון בעבודות פנים מניין <ח> לרבות השתחואה ת""ל וילך ויעבוד"
805,Sanhedrin 60b,ט,Sanhedrin 60b:14,"אחר יכול שאני מרבה המגפף והמנשק והמנעיל ת""ל זובח זביחה בכלל היתה ולמה יצאה <ט> להקיש אליה ולומר לך מה"
806,Sanhedrin 60b,י,Sanhedrin 60b:16,יצאה זביחה לידון על הכלל כולו אמר מר הייתי אומר בזובח קדשים בחוץ הכתוב מדבר זובח קדשים בחוץ <י> כרת הוא סלקא דעתך אמינא
807,Sanhedrin 60b,כ,Sanhedrin 60b:19,ללמד על הכלל כולו וכי תימא זובח למה לי לגופיה <כ> דמחשבין מעבודה לעבודה דאיתמר השוחט
808,Sanhedrin 60b,ל,Sanhedrin 60b:20,בהמה לזרוק דמה לעבודת כוכבים ולהקטיר חלבה לעבודת כוכבים <ל> רבי יוחנן אמר
809,Sanhedrin 61a,א,Sanhedrin 61a:7,"למעוטי הפוער עצמו לזובחים מהשתחואה נפקא מה השתחואה דרך כיבוד אף כל דרך כיבוד אלא למעוטי <א> הפוער עצמו למרקוליס ס""ד אמינא"
810,Sanhedrin 61a,ב,Sanhedrin 61a:8,"הואיל ועבודתו בזיון הוא אף כל בזיון קמ""ל אלא הא דאמר רבי אליעזר <ב> מנין לזובח בהמה למרקוליס שהוא"
811,Sanhedrin 61a,ג,Sanhedrin 61a:14,בעבודה רב יוסף אמר תנאי שקלת מעלמא תנאי היא דתניא האומר בואו ועבדוני רבי מאיר מחייב <ג> ור' יהודה פוטר
812,Sanhedrin 61a,ד,Sanhedrin 61a:15,ור' יהודה פוטר <ד> היכא דפלחו כולי עלמא לא
813,Sanhedrin 61a,ה,Sanhedrin 61a:15,פליגי דכתיב לא תעשה לך פסל כי פליגי בדיבורא בעלמא רבי מאיר סבר דיבורא מילתא היא ורבי יהודה סבר <ה> דיבורא לאו מילתא היא הדר
814,Sanhedrin 61b,א,Sanhedrin 61b:3,רבים מימלכי ולא טעו בתריה אמר רב יוסף מנא אמינא לה דכתיב לא תאבה לו ולא תשמע אליו <א> הא אבה ושמע חייב איתיביה
815,Sanhedrin 61b,ב,Sanhedrin 61b:16,רבא אמר פטור אביי אמר חייב דהא פלחה רבא אמר <ב> פטור אי קבליה עליה באלוה
816,Sanhedrin 61b,ג,Sanhedrin 61b:22,ואמר אביי מנא אמינא לה דתניא כהן משיח בעבודת כוכבים רבי אומר בשגגת מעשה וחכמים אומרים <ג> בהעלם דבר
817,Sanhedrin 61b,ד,Sanhedrin 61b:23,בהעלם דבר <ד> ושוין שבשעירה כיחיד
818,Sanhedrin 61b,ה,Sanhedrin 61b:23,ושוין שבשעירה כיחיד <ה> ושוין שאין מביא אשם תלוי
819,Sanhedrin 62a,א,Sanhedrin 62a:4,היינו העלם דבר באומר מותר לגמרי העלם דבר <א> קיום מקצת וביטול מקצת תני
820,Sanhedrin 62a,ב,Sanhedrin 62a:15,אחת שמעון מאחת שם משמעון הנה אבות מהנה תולדות אחת שהיא הנה <ב> זדון שבת ושגגות מלאכות הנה
821,Sanhedrin 62a,ג,Sanhedrin 62a:15,שהיא אחת <ג> שגגת שבת וזדון מלאכות אבל
822,Sanhedrin 62a,ד,Sanhedrin 62a:19,מאחת מהנה אחת זביחה מאחת סימן אחד הנה אבות זיבוח קיטור ניסוך והשתחואה מהנה תולדות שבר מקל לפניה <ד> אחת שהיא הנה זדון עבודת
823,Sanhedrin 62a,ה,Sanhedrin 62a:19,כוכבים ושגגת עבודות הנה שהיא אחת <ה> שגגת עבודת כוכבים וזדון עבודות
824,Sanhedrin 62a,ו,Sanhedrin 62a:23,אלא לרבא דאמר פטור מאי איכא למימר <ו> אלא באומר מותר תפשוט דבעא
825,Sanhedrin 62a,ז,Sanhedrin 62a:24,מיניה רבא מרב נחמן העלם זה וזה בידו מהו תיפשוט <ז> דאינו חייב אלא אחת הא
826,Sanhedrin 62b,א,Sanhedrin 62b:12,בלא מתכוין דקסבר <א> רוק הוא ובולעו מה שאין
827,Sanhedrin 62b,ב,Sanhedrin 62b:12,כן בשבת דפטור <ב> שנתכוין להגביה את התלוש וחתך
828,Sanhedrin 62b,ג,Sanhedrin 62b:13,את המחובר פטור וכדרב נחמן אמר שמואל דאמר <ג> המתעסק בחלבים ובעריות חייב שכן
829,Sanhedrin 62b,ד,Sanhedrin 62b:13,נהנה <ד> המתעסק בשבת פטור מלאכת מחשבת
830,Sanhedrin 63a,א,Sanhedrin 63a:10,שאמר לו אלי אתה חייב למאי אי לקטלא מתניתין היא אלא לקרבן ואפילו לרבנן והתניא <א> אינו חייב אלא על דבר
831,Sanhedrin 63a,ב,Sanhedrin 63a:17,"אחרים אומרים אלמלא וי""ו שבהעלוך נתחייבו רשעיהם של ישראל כלייה אמר לו ר""ש בן יוחאי והלא <ב> כל המשתף שם שמים ודבר"
832,Sanhedrin 63a,ג,Sanhedrin 63a:19,הנודר בשמו והמקיים בשמו דלא לקי משום דהוה ליה לאו שאין בו מעשה הני נמי לאו שבכללות הוא <ג> ואין לוקין על לאו שבכללות
833,Sanhedrin 63a,ד,Sanhedrin 63a:20,דתניא <ד> מנין לאוכל מן הבהמה קודם
834,Sanhedrin 63a,ה,Sanhedrin 63a:21,שתצא נפשה שהוא בלא תעשה תלמוד לומר לא תאכלו על הדם דבר אחר <ה> לא תאכלו על הדם לא
