rashei_tevot,expanded,context_before,context_after
בבא,בבת אחת,ששפך עליה רביעית,הגה ונהגו
יא,ישימו אותו,משקה דהינו שאם,על משקים
יא,ידו אחת,הדין אם נטל,מהכלי ושפך
יא,יש אומרים,אינו מחבר לקרקע,שעלתה לו
יא,יש אומרים,הטבילם במי מקוה,שדינו כמעין
יא,ידו אחת,נטילה ולא טבילה,בנטילה וידו
יא,ידיו אינו,ידיו טהורות המטביל,צריך שתי
יא,ידיו אינו,להגביה ידיו המטביל,מברך על
יא,ידים אלא,מברך על טבילת,על נטילת
יא,ידים או,דמברכין על טבילת,על שטיפת
ויא,ויש אומרים,שעלתה לו נטילה,שלא עלתה
ויא,ויש אומרים,אומרים שדינו כמעין,שצריך מ'
ויא,וידו אחת,ידו אחת בנטילה,בטבילה ידיו
ויא,ויש אומרים,על נטילת ידים,דמברכין על
אצ,אינו צריך,טהורות המטביל ידיו,שתי פעמים
ויא,ויש אומרים,שעלתה לו נטילה,שלא עלתה
ויא,ויש אומרים,אומרים שדינו כמעין,שצריך מ'
ויא,וידו אחת,ידו אחת בנטילה,בטבילה ידיו
ויא,ויש אומרים,על נטילת ידים,דמברכין על
ויא,ויש אומרים,אלא במים בלבד;,שהיין כשר
ויא,ויש אומרים,שקובע ברכה לעצמו,דוקא יין
ויא,וזה ידו אחת,זה ידו אחת,ואחר
וכש,וכל שכן,ידים בשעת הדחק,דמתר לטל
אצ,אינו צריך;,לטל כאחד האחרון,ואפלו בזה
עג,על גב,זה או זה,זה ולטל
ואחכ,ואחר כך,וזה ידו אחת,חזר השני
והה,והוא הדין,את הידים הגה,אם משפילן
והה,והוא הדין,מים שניים הגה,אם היו
עמ,על מנת,שנטל בתחלה טופח,להטפיח הרי
ואחכ,ואחר כך,תחלה ראשי אצבעותיו,ישפילם דאז
ואחכ,ואחר כך,וכל דבר שחוצץ,שופך עליהם
ואחכ,ואחר כך,המים הם טמאים,שופך עליהם
ואחכ,ואחר כך,כדי להסיר הלכלוך,שופך רביעית
ואחכ,ואחר כך,כל אחת רביעית,ישפשפם שהשופך
ואחכ,ואחר כך,בנוטל ידו אחת,שפשפה בחברתה
ואחכ,ואחר כך,בראשו או בכתל,חזר ונגע
עי,על ידיו,אומרים דאם שופך,ג' פעמים
עי,עדין יש,נטילה לחצאין; ואם,על מקצת
עי,על ידו,מקצתן שפך מים,אחת ושפשפה
עי,על ידו,לפי שהמים ששפך,אחת נטמאו
עי,על ידו,הלכך השופך מהכלי,אחת ושפשף
עי,על ידי,שהרי זה טמאם,המים שעליהם
עי,על ידיו,כששופך מים ראשונים,צריך לזהר
עי,על ידו,לזהר שלא ישאיר,צרור או
עי,על ידו,רביעית מים כאחת,אינו צריך
אצ,אינו צריך,נוטל עד שם,להגביה ידיו
אצ,אינו צריך,מים טמאים כלל,להגביה ידיו;
אצ,אינו צריך,וכן המטביל ידיו,להגביה ידיו
אצ,אינו צריך,ידיו ג' פעמים,לזהר בכל
אצ,אינו צריך,שהשופך רביעית כאחד,מים שניים
אצ,אינו צריך,כל יד מרביעית,לכל זה
אצ,אינו צריך,כאחת על ידו,לזהר בכך
וכש,ואחר כך שופך,וכל דבר שחוצץ,עליהם
וכש,ואחר כך שופך,המים הם טמאים,עליהם
וכש,ואחר כך שופך,כדי להסיר הלכלוך,רביעית
וכש,ואחר כך שפשפה,בנוטל ידו אחת,בחברתה
וכש,וכל שכן,שתיהם כאחת הגה,לזהר שלא
עי,על ידי,במשקה או אוכל,כף המאכיל
נטי,נטילת ידים;,לאחרים אינו צריך,והאוכל צריך
אעפ,אף על פי,צריך נטילת ידים,שאחר
והה,והוא הדין,ואינו נוגע במאכל,לאוכל במגרפה
שאצ,שאינו צריך,יש אומרים,לזהר מלהפסיק
ויא,ויש אומרים,בין נטילה להמוציא,שצריך לזהר
אצ,אינו צריך,לאכל פת חרבה,להמתין הגה
אצ,אינו צריך,לבהמה וכיוצא באלו,לברך הגה
אצ,אין צריכים,באכילת הבוצע כי,כלם לאכל
אחכ,אחר כך,שאכל הבוצע אבל,לא הוי
ואחכ,ואחר כך,ונתכון להוציא השומעים,נגב ראובן
שהנב,שהכל נהיה בדברו,ברכת המוציא ברך,או
תח,תלמיד חכם,הכהן עם הארץ,קודם לו;
תח,תלמיד חכם,הכהן גם כן,אלא שהוא
בעהב,בעל הבית,ואם יש עמהם,הוא בוצע
אעפ,אף על פי,הוי שיחה הפסק,שעדין
אעפ,אף על פי,רוכבים ואמרו נאכל,שכל
אעפ,אף על פי,בשדה מפזרים ומפרדים,שאוכלים
אעפ,אף על פי,לקטנים יכול לברך,שאינו
אעפ,אף על פי,שרי לברך לאחרים,שאינו
אעפ,אף על פי,ואין לחוש לשני,שחשוב
אעפ,אף על פי,שיניחנה דבוק בה,שנראית
אעפ,אף על פי,שהוא ממין ז',שהכסמין
אעפ,אף על פי,רגילים לקבע עליו,שהוא
אעפ,אף על פי,עליו ברכת המזון,שלא
אעפ,אף על פי,אין קובעים עליו,שהוא
אעפ,אף על פי,יש בהם כזית,שאין
אעפ,אף על פי,אין בהם כזית,שנראה
אעפ,אף על פי,מפרר דק דק,שאין
בעהב,בעל הבית,דמצוה מטלת על,יבצע מן
אעפ,אף על פי,ואין לחוש לשני,שחשוב
אעפ,אף על פי,שיניחנה דבוק בה,שנראית
אעפ,אף על פי,שהוא ממין ז',שהכסמין
אעפ,אף על פי,רגילים לקבע עליו,שהוא
אעפ,אף על פי,עליו ברכת המזון,שלא
אעפ,אף על פי,אין קובעים עליו,שהוא
אעפ,אף על פי,יש בהם כזית,שאין
אעפ,אף על פי,אין בהם כזית,שנראה
אעפ,אף על פי,מפרר דק דק,שאין
וכז,וכל זה,משתיהן יחד הגה,כשרוצה לאכל
וכז,וכל זה,אחר תחלה הגה,לא מירי
וכז,וכל זה,שאר הפת תחלה,לא מירי
שאחכ,שאחר כך,הבאה בכיסנין חלוט,אפאו בתנור
בעהב,בעל הבית,בידו או ביד,ודוקא לשמש
והמ,והני מילי,ודאי צריך נטילה,לשתות אבל
והמ,והוא מאכל,כל אחד מהאוכלים,השמש; אבל
בלאה,בלאו הכי,שמא יאכל אבל,אין צריך
אצ,אין צריך,אבל בלאו הכי,נטילה לשתיה
בלאה,בלאו הכי,בו מים אבל,ליכא למיחש
בלאה,בלאו הכי,בו מים אבל,ליכא למיחש
אעפ,אף על פי,זה אוכל עמהם,שלא
עי,על ידי,זורקין אכלין הנמאסים,זריקה; אבל
אחכ,אחר כך;,והוא שיאכל הפת,והמדקדקים אוכלים
אחכ,אחר כך,והנשאר מן הפת,אוכלים אותו
ויא,ויש אומרים,ברכה ראשונה הגה,דמברך עליהם
כא,כוס אחד,אין לו אלא,מניחו עד
כא,כל אחד,כוסות מברך על,ואחד דהוי
כא,כל אחד,להיכן יגיע הכוס,צריך לברך
כא,כל אחד,יין שבתוך המזון,ואחד מברך
ויא,ויש אומרים,היין שבתוך המזון,שאין ברכת
ויא,ויש אומרים,היא ופת פוטרתם,לברך על
ויא,ויש אומרים,קנה לושט הגה,דאם אמר
ויא,ולא יאכלו אז,וישמעו ויכונו לברכה,ויענו
ויא,ויענו אמן,ולא יאכלו אז,אחד מברך
אעג,אף על גב,הטוב והמטיב הגה,שאין
ועל,ועין לעיל,וכל מיני פרות,סימן קס"ח
קסח,קס"ח סעיף ח',ועין לעיל סימן,אם
ועל,וקובעים עצמם לאכל,הפת ומסירים אותו,פרות
ואא,ואפלו אם,אם הם סמוכים,כשברך תחלה
ואא,והתפלל אפלו אם,שלא התפלל ועמד,אין
ואא,ואי אפשר,ולהתפלל שחיב להפסיק,לו לאכל
בעהב,בעל הבית,הדעת עד שיאמר,אם לא
על,עיין לקמן,שאומר שאינו צריך,סי' ק"ץ וסי'
ועכ,ועל כן,יסיח דעתו הגה,אין לוקחין
הה,הארץ הגה,מוזגו להודיע שבח,ויש אומרים
הה,החתימות הגה,ברכה וברכה ואפלו,ויקדים לסים
הה,היה הולך,שמברך בין אם,בביתו כשאכל
הה,הוא הדין,דוקא המברך אלא,כל המסבין
יא,יש אומרים,,ברוך משביע
ואחכ,ואחר כך,אומר רצה והחליצנו,יעלה ויבא
יוט,יום טוב,ויבא ולא של,וחלו של
יוט,יום טוב,ולא הזכיר של,אומר ברוך
יוט,יום טוב,והזמנים; ואם חל,בשבת אומר
רח,ראש חדש,ואינו חותם בשל,סעדה שלישית
כרח,כראש חדש,שלישית בשבת דינה,ג' שאכלו
והה,והוא הדין,בתר התחלת הסעדה;,לראש חדש
לרח,לראש חדש,הסעדה; והוא הדין,ופורים וחנכה
כא,כי אם,יאמר בה החי,בבית האבל;
ואחכ,ואחר כך,רע"א סעיף ט"ו,יטעמו האחרים;
וממ,ומכל מקום,יחד בגמר האכילה,אם יאכל
וממ,ומכל מקום,הוא שמש הגה,אפלו כל
כמ,כל מקום,ומכל מקום אפלו,שרשאין לחלק
כמ,כוכבים משום,עצמן בבית עובד,יראת העובד
עה,עם הארץ,ואין מזמנין עליו,גמור מזמנין
עה,עם האנשים,רשות אבל כשאוכלות,חיבות ויוצאות
אעפ,אף על פי,בזמון שלנו הגה,שאינן
אעפ,אף על פי,ומבינים מצטרפין לזמון,שאין
ויא,ויש אומרים,משלו וכו' הגה,שצריך להפסיק
תח,תלמיד חכם,כלום; אבל כהן,מצוה להקדימו
הול,הוה ליה,הוא חושש בגרונו,שמן עקר
הול,הוי ליה,לרפואה אלא לאכילה,אניגרון עקר
הול,הוה ליה,המים והבדילם מהצמוקים,יין ומברך
ויא,ויש אומרים,עליו כלל הגה,דעל חרובין
ויא,ויש אומרים,בורא פרי העץ;,לברך עליהם
בפהע,בורא פרי האדמה עד,הלבן לעולם מברך,
בפהע,בורא פרי העץ עד,חרובין אינו מברך,
בפהע,בורא פרי העץ; על,על אגוז מושקא"ט,
בפהע,בורא פרי האדמה על,קניל"ה ר"ל צימרינ"ד,
אעג,אף על גב,לאכל או לשתות,דהחיך
אעפ,אף על פי,על הירקות עצמן,שאין
ופהע,ופרי העץ,לפניו פרי האדמה,וברך על
אעפ,אף על פי,צריך לחזר ולברך,שהיה
אעפ,אף על פי,המים מברך ושותה,שהמים
בממ,בורא מיני מזונות;,שיסעד הלב מברך,ואם
בממ,בורא מיני מזונות;,בעלמא אינו מברך,וטוב
בממ,בורא מיני מזונות,לאכילה וללעסו מברך,ואחריו
בממ,בורא מיני מזונות,ובשלו בקדרה מברך,ועל
בממ,בורא מיני מזונות,בקדרה מברך תחלה,ואחריו
וכש,ולכך כתבו שנכון,ברכה מעין שלש,שלא
וכש,וכל שכן,נפשות על התפוחים;,אם אכל
והה,והתבשיל האחר הוא,ממנו בתבשיל אחר,הרב
והה,והוא הדין,כל אחת ואחת;,אם אכל
והה,והוא הדין,על הגפן יצא;,אם ברך
ויא,ויש אומרים,הראויה לאותו המין;,שאם לקח
אעפ,אף על פי,מקדים מין ז',שאינו
אעפ,אף על פי,זה שרוצה לאכל,שגם
ויא,ויש אומרים,ואפלו אינו חביב;,שגם בזה
ויא,ויש אומרים,מהם שירצה יקדים;,שבורא פרי
בממ,בורא מיני מזונות,המוציא קודמת לברכת,וכל
ואחכ,ואחר כך,עליו מברך עליו,מברך על
ויא,ויין אם,דברים חוץ מפת,היו האוכלים
ויא,ויין אחד,דבישיבה אפלו פת,מברך לכלם;
ויא,ויש אומרים,זמון לפרות הגה,דבכל הדברים
אעפ,אף על פי,אחת מכל הברכות,שלא
אעפ,אף על פי,מתחלתה ועד סופה,שאינו
ויא,ויש אומרים,בורא שמן ערב,שאינו מברך
ויא,ויש אומרים,נרגיס והוא חבצלת,שהוא ליריי"ו
ויא,ויש אומרים,מצוה מברך עליו;,שאינו מברך
ויא,ויש אומרים,ריח טוב בפת,דאין לברך
ויא,ויש אומרים,בורא שמן ערב,שאינו מברך
ויא,ויש אומרים,נרגיס והוא חבצלת,שהוא ליריי"ו
ויא,ויש אומרים,מצוה מברך עליו;,שאינו מברך
ויא,ויש אומרים,ריח טוב בפת,דאין לברך
אעפ,אף על פי,לבטלה מן המברך,שלא
ככ,כל כך,בגשמים ואינן נעצרין,ומה מברך
אעפ,אף על פי,הטובה הטוב והמטיב,שירא
אעפ,אף על פי,ברוך דין האמת,שיבא
אעפ,אף על פי,שטף על שדהו,שכשיעבר
גכ,גם כן,לו אחים מברך,שהחינו; ואם
ויא,ויש אומרים,בהם יברך הגה,דאפלו עני
באי,בארץ ישראל,א אם הוא,אומר ברוך
ויא,ויש אומרים,גדול מאד הגה,משלשים יום
מב,מעשה בראשית;,מלך העולם עושה,ועל הים
עי,על ימים,,ונהרות הרים
עי,על ידי,שלא נשתנה מהלכם,אדם ולא
אא,אי אפשר,אם,לו ללמד
השצ,השליח צבור,ויש אומרים שיתפלל,עם הקהל
למק,למנחה קטנה,קטנה אפלו סמוך,שרי ;
אעפ,אף על פי,ידיו כדי להתפלל,שאינו
אאכ,אלא אם כן,להתפלל תפלת רשות,מכיר
קש,קריאת שמע,יום יקרא עמהם,וברכותיה ויתפלל
קש,קריאת שמע,שעה סמוך לזמן,של ערבית
אעפ,אף על פי,יחזר ויתפלל בלילה,שהצבור
אעפ,אף על פי,לא התחיל לאכל,שנוטל
קש,קריאת שמע,ולא מדברים אחר,שעל מטתו
תח,תלמידי חכמים,לששה חדשים; ועונת,מליל שבת
עי,על ידי,הוא נעור ואפלו,הפסק מחצה
עג,על גבי,ואם פרש טלית,ארגז חשוב
אעפ,אף על פי,לשמש לאור הנר,שמאפיל
אעפ,אף על פי,עשרה לפני הנר,שהאור
ותח,ועונת תלמידי חכמים,אחת לששה חדשים;,מליל
ותח,ותלמיד חכם,בית אפל הגה,מאפיל בטליתו
בעהב,בעל הבית,יישן בטליתו של,שכבת הזרע
ואעפ,ואף על פי,לקבל שדה באריסות,שיודעים
ואעפ,ואף על פי,דינם כשדה הגה,שלא
יא,ישכיר אדם,לא,מרחץ שלו
יא,ישראל; אבל,מלאכה בשליחותו של,שדה מתר
יא,ישראל אומרים,שיודעים שהוא של,העכו"ם לקחה
יא,יש אומרים,והשכירו במקום האסור,ששכרו מתר
אי,אינו יהודי,מכס ומשכיר לו,לקבל מכס
והאי,והאינו יהודי,המלאכה וקוצץ דמים,עושה לעצמו
והאי,והאינו יהודי,לו מלאכה בשבת,עשאה בעל
והאי,והאינו יהודי,השבתות לאינו יהודי,יקח הרוח
בעש,בערב שבת,לו מתר אפלו,הגה וכן
בעש,בערב שבת,לעכו"ם בשבת ואפלו,אם הוא
עי,על ידי,העכו"ם מלאכה בשבת,שיתנה עם
עי,על ידי,ביד העכו"ם להוציא,שיזקף הדמים
עי,על ידי,מעכשו; ויש מתירים,שיזהיר את
אעפ,אף על פי,שיתן לו שכרו,שלא
אעפ,אף על פי,טרח; אבל בסתם,שיש
בעש,בערב שבת,ביד עכו"ם ואפלו,עם חשכה;
בעש,בערב שבת,במתא משלחן אפלו,והוא שיהא
בעש,בערב שבת,ילך; אם הוא,אסור דכשיוצא
בעש,בערב שבת,אפלו נתנה לו,מתר שהרי
בעש,בערב שבת,להפליג בספינה אפלו,אם הולך
בעש,בערב שבת,להפליג בהם אפלו,והוא שלא
בעש,בערב שבת,לו שירא אפלו,כיון דדבר
אחכ,אחר כך,שיצטרך הישראל לעשות,מלאכה בשבת
בעש,בערב שבת,להפליג בספינה אפלו,אם הולך
בעש,בערב שבת,להפליג בהם אפלו,והוא שלא
בעש,בערב שבת,לו שירא אפלו,כיון דדבר
מעש,מערב שבת,שקנה בה שביתה,מתר אחר
אחכ,אחר כך,עמו שישבת ואם,לא ישבת
אחכ,אחר כך,מתר לצאת ואם,יארע לו
והמ,והני מילי,בין שהולך לביתו;,כשהוא בישוב
בעש,בערב שבת,אין הולכים,יותר מג'
בעש,בערב שבת,גונא אסור לקבע,סעדה ומשתה
בעש,בכל ערב שבת,אנשי מעשה להתענות,אם
בעש,בערב שבת,קבל עליו להתענות,צריך להתענות
ויא,ויש אומרים,הצבור תפלתן הגה,דלא ישלים
בעש,בערב שבת,מתר להתחיל במלאכה,סמוך לחשכה
בעש,בערב שבת,לא קצץ אסור,ועין לעיל
בעש,בערב שבת,יש לתלות שנגמר,מתר בכל
בעש,בערב שבת,למשמש אדם בכליו,סמוך לחשכה
אעפ,אף על פי,שבת סמוך לחשכה,שאינו
אעפ,אף על פי,ולאסר כל שקצץ,שיעשה
אעפ,אף על פי,עבה על העין,שאסור
אעפ,אף על פי,זייגע"ר מערב שבת,שמשמיע
בעש,בערב שבת,מתר להתחיל במלאכה,סמוך לחשכה
בעש,בערב שבת,לא קצץ אסור,ועין לעיל
בעש,בערב שבת,יש לתלות שנגמר,מתר בכל
בעש,בערב שבת,למשמש אדם בכליו,סמוך לחשכה
אאכ,אלא אם כן,יום להשהותו עליה,נתבשל
אאכ,אלא אם כן,ואסור להשהותו עליה,גרף
אעפ,אף על פי,על הגרופה וקטומה,שמוסיף
וכש,וכל שכן,שהיד סולדת בו,שאסור לשהות
וכש,וכפח שהוא,או על גבו,מקום שפיתת
וכש,וכדרך שנתבאר,התירו אלא חזרה,ויש מתירין
ויא,ויש אומרים,ריש סי' רנ"ז,שכל שנתבשל
ויא,ויש אומרים,לד"ה אסור הגה,דאפלו אם
ויא,ויש אומרים,אפלו באותה כירה,דכל זה
ויא,ויש אומרים,לכלי עלמא אסור,דאם הוציא
ויא,ובכסתות יש אומרים,אסור להניחו בכרים,דכל
עג,על גבו,לשהות בתוכו או,וכפח שהוא
עג,על גבי,לו מתר להשהותו,כירה הגה
עג,על גבי,הגה או אפלו,תנור אפלו
עג,על גבי,של ברזל או,אבנים ואינה
עג,על גבי,בגחלים; אבל הטמנה,גחלים לד"ה
עג,על גבי,אם הקדרה עומדת,האש ממש
עג,על גבי,מן האש ונמצאו,האש בשבת
עג,על גבי,בידו ולא הניחה,קרקע הגה
עג,על גבה,להחזירה ; ודוקא,אבל לתוכה
עג,על גבי,משחשכה אפלו הניחו,קרקע מתר
עג,על גבי,כל כך ודוקא,כירה ממש
עג,על גבי,הקדרה שהתבשיל בתוכה,הקדרה ריקנית;
עג,על גבי,שלא ישים קדרתו,קרקע ושתהיה
עג,על גבי,אף אם נתנה,קרקע יש
עג,על גבי,תחת הבגדים הנתונים,המחם ודאי
עג,על גבי,הדין שאסור להניחו,כירה אפלו
עג,על גבי,בשבת אפלו הניחה,קרקע והוא
כז,כל זמן,גרוף וקטום הגה,שהיד סולדת
כז,כל זמן,גבי האש ממש,שהיא מגלה
כז,כל זמן,בשבת מתר להחזירה,שהיא רותחת
והה,והוא הדין,הוא גרוף וקטום;,לכפח אם
והה,והוא הדין,ודאי אסור הגה,שאסור להניחו
והה,והוא הדין,על גבי קרקע,לסמך לתנור
ויא,ויש אומרים,ריש סי' רנ"ז,שכל שנתבשל
ויא,ויש אומרים,לד"ה אסור הגה,דאפלו אם
ויא,ויש אומרים,אפלו באותה כירה,דכל זה
ויא,ויש אומרים,לכלי עלמא אסור,דאם הוציא
ויא,ובכסתות יש אומרים,אסור להניחו בכרים,דכל
יא,יחתה או,דליכא למיחש שמא,שהיה חי
יא,יש אומרים,להניחו בכרים ובכסתות,דכל שהוא
יא,ישראל אסור,אבל על ידי,בכהאי גונא
ככ,כל כך,אם הוא סמוך,שאם נצטנן
עג,על גבו,לשהות בתוכו או,וכפח שהוא
עג,על גבי,לו מתר להשהותו,כירה הגה
עג,על גבי,הגה או אפלו,תנור אפלו
עג,על גבי,של ברזל או,אבנים ואינה
עג,על גבי,בגחלים; אבל הטמנה,גחלים לד"ה
עג,על גבי,אם הקדרה עומדת,האש ממש
עג,על גבי,מן האש ונמצאו,האש בשבת
עג,על גבי,בידו ולא הניחה,קרקע הגה
עג,על גבה,להחזירה ; ודוקא,אבל לתוכה
עג,על גבי,משחשכה אפלו הניחו,קרקע מתר
עג,על גבי,כל כך ודוקא,כירה ממש
עג,על גבי,הקדרה שהתבשיל בתוכה,הקדרה ריקנית;
עג,על גבי,שלא ישים קדרתו,קרקע ושתהיה
עג,על גבי,אף אם נתנה,קרקע יש
עג,על גבי,תחת הבגדים הנתונים,המחם ודאי
עג,על גבי,הדין שאסור להניחו,כירה אפלו
עג,על גבי,בשבת אפלו הניחה,קרקע והוא
שהיסב,שהיד סולדת בו,סמוך לאש במקום,שרי
ככ,כל כך,בזה ואם החם,בתנור שהיד
אעפ,אף על פי,,שבשר
אעפ,אף על פי,שחלל הגוף שלם,שאין
אעפ,אף על פי,לתנם סביב הקדרה,שאי
אעפ,אף על פי,לאלתר ומפני כך,שלא
ועג,ועל גבי,בטיט הכל שרי;,האש שהוא
אעפ,אף על פי,,שבשר
אעפ,אף על פי,שחלל הגוף שלם,שאין
אעפ,אף על פי,לתנם סביב הקדרה,שאי
אעפ,אף על פי,לאלתר ומפני כך,שלא
יא,יש אומרים,ראשונה מתר הגה,דאם שכח
יא,יונה או,כסות ופרות וכנפי,שאר נוצות
יא,יש אומרים,של חרשין הגה,דמתר להטמין
עג,על גבי,שמתר להשהות קדרה,כירה שיש
בעש,בערב שבת;,ידיו ורגליו בחמין,ומצוה לחף
בעש,בערב שבת,הראש ולגלח הצפרנים,הגה ואם
בעש,בערב שבת;,ידיו ורגליו בחמין,ומצוה לחף
בעש,בערב שבת,הראש ולגלח הצפרנים,הגה ואם
עת,ערובי תחומין,הנרות ואין מערבין,וע"ל סי'
ביוט,ביום טוב,ואחד האשה גם,צריך לברך
יוט,יום טוב,להדליק נר של,ובי"ה בלא
מבעי,מבעוד יום,והתפלל של שבת,חל עליו
וכש,ואחד כנגד שמור,אחד כנגד זכור,הגה
וכש,וכדי שיהא,שמברך אחר ההדלקה,עובר לעשיתו
וכש,ולדידן כיון שהתחילו,הכל פורשין ממלאכתם,מזמור
וכש,וכל שכן,מאותה המלאכה בשבת,במוצאי שבת
במוש,במוצאי שבת,בשבת וכל שכן,מי שמאחר
וממ,ונמצא מתחיב משום,שמא יסתפק ממנו,מכבה
וממ,ומכל מקום,מאלו מדליקים בהם;,שמן זית
וממ,ומכל מקום,יונתן מהבהב) הגה,נהגו להדליק
מבעי,מבעוד יום,לתוכו מים אפלו,מפני שמקרב
ויא,ויש אומרים,להגביה השמן הגה,אפלו מתכון
ואעפ,ואף על פי,שכר על זה,שנתנו
ויא,ויש אומרים,בשחרית מוסף ומנחה,דבמוסף פוסק
ויא,ויש אומרים,בזו אינו חוזר,שאם החליף
משצ,משליח צבור,התפלל כלל ושמע,ברכה מעין
בעש,בערב שבת,טוב שחל להיות,ויש שאין
ואחכ,ואחר כך,בלא ברכת היין,מברך ברכת
ואחכ,ואחר כך,בורא פרי הגפן,ישתו הגה
ואחכ,ואחר כך,יקדש על הפת,יאכל אבל
ואחכ,ואחר כך,על כוס ראשון,אומר קדוש
ואחכ,ואחר כך,המוציא ואוכל מעט,מברך ברכת
ואחכ,ואחר כך,ואומר ויכלו מעמד,אומר בורא
ואחכ,ואחר כך,בורא פרי הגפן,קדוש הגה
אעפ,אף על פי,נשים חיבות בקדוש,שהוא
אעפ,אף על פי,ולשתות קדם שיקדשו,שאינם
אעפ,אף על פי,שבת בברכת המזון,שמברך
אעפ,אף על פי,מפלוגתת סברא ראשונה,שאסור
ואחכ,ואחר כך,בלא ברכת היין,מברך ברכת
ואחכ,ואחר כך,בורא פרי הגפן,ישתו הגה
ואחכ,ואחר כך,יקדש על הפת,יאכל אבל
ואחכ,ואחר כך,על כוס ראשון,אומר קדוש
ואחכ,ואחר כך,המוציא ואוכל מעט,מברך ברכת
ואחכ,ואחר כך,ואומר ויכלו מעמד,אומר בורא
ואחכ,ואחר כך,בורא פרי הגפן,קדוש הגה
ויא,ויש אומרים,אינו מברך המוציא,שאף כשמקדש
ויא,ויש אומרים,קדם קדוש הגה,דאינו מזכיר
ויא,ויש אומרים,הקדוש במקום סעדה,דאף בגמר
ויא,ויש אומרים,על הפת הגה,דלכתחלה יש
ויא,ויש אומרים,המבחר שיטעמו כלם,דכיון שבין
ויא,ויש אומרים,אינו מברך המוציא,שאף כשמקדש
ויא,ויש אומרים,קדם קדוש הגה,דאינו מזכיר
ויא,ויש אומרים,הקדוש במקום סעדה,דאף בגמר
ויא,ויש אומרים,על הפת הגה,דלכתחלה יש
ויא,ויש אומרים,המבחר שיטעמו כלם,דכיון שבין
ואצ,ואין צריך,בורא פרי הגפן,לחזר ולקדש
ואצ,ואינו צריך,בורא פרי הגפן,לחזר ולקדש
ואחכ,ואחר כך,מנת לאכל שם,נמלך לאכל
בלאה,בלאו הכי,שם מיד אבל,אפלו אכל
שאצ,שאינו צריך,הנר כוסות מפני,עיון הרבה
אעפ,אף על פי,הישראל צריך לצאת,שנהנה
אעפ,אף על פי,שהוא משתמש לאורה,שרב
אעפ,אף על פי,עמו והדליקו הנר,שגם
אעפ,אף על פי,כאותם שנוהגים התר,שאין
ועל,ועיין לקמן,על סברא זו,סי' ש"ז אם
אעפ,אף על פי,בו באותו שבת,שכבה
מבשת,מבשמחת תורה,במדינות אלו חוץ,שנהגו להרבות
אעפ,אף על פי,לקרות עולים הרבה,שקרא
אעפ,אף על פי,באדר וכן נוהגים,שיש
אצ,אינו צריך,הששי ואמר קדיש,לקרות עוד
בלאה,בלאו הכי,שקראו בתורה אבל,אסור לקרות
בסת,בספר תורה,שהתחיל הראשון כמו,הגה ושנים
רח,ראש חדש,א' חנכה או,או פורים
אחכ,אחר כך,שאין להתענות עד,ויש אומרים
סת,ספר תורה,ואלו הן הרואה,שנשרף או
סת,סיום תפלתו,אומר עננו אחר,בלא חתימה
סת,סי' תקע"ו,אחיהם ולהצילם וע"ל,נרדף מפני
בעש,בערב שבת,מים אינו רק,אם נמשכה
אצ,אינו צריך,אם עשאה יצא,לקדש בסעדה
אצ,אבל צריך,לקדש בסעדה שלישית,לבצע על
ויא,ויש אומרים,אותה קדם מנחה,דיותר טוב
ויא,ויש אומרים,שאר משקין דשרי,דאין אסור
ויא,ויש אומרים,של אביו ואמו,דאסור זה
ויא,ויש אומרים,צריך לעשותה בפת;,שיכול לעשותה
ויא,ויש אומרים,מחמשת מיני דגן;,שיכול לעשותה
ויא,ויש אומרים,אבל לא בפרות;,דאפלו בפרות
יוט,יום טוב,הבאה ולא בשל,אומרים צדקתך
יוט,יום טוב,נעם כגון שחל,בשבוע אין
במוש,במוצאי שבת,ולהזכיר אליהו הנביא,להתפלל שיבא
גכ,גם כן,שאגב הקדוש מבדילין,עליו ויש
אצ,אינו צריך,ואם אין לו,לחזר אחריהם
ואצ,ואינו צריך,אם יש לו,לחזר אחריו
במוש,במוצאי שבת,עובד כוכבים שהדליק,מישראל או
אצ,אין צריך,יום וחשכה לו,להפסיק אפלו
אצ,אינם צריכים,ולשתות קדם הבדלה,לחזר ולברך
אצ,אינו צריך,בדבר כשמפסיק להבדיל,לברך בורא
אצ,אין צריך,לברך עליו גם,לברך ברכה
אצ,אינו צריך,הוצאה מרשות לרשות,לזה ומזה
ויא,ויש אומרים,לו צריך להפסיק,דהני מלי
דהמ,דהני מלי,להפסיק ויש אומרים,בספק חשכה
ויא,ויש אומרים,כוס של הבדלה,שצריך כשהיה
ויא,ויש אומרים,סוף יום ג',שאינו מבדיל
ויא,ויש אומרים,צריך לברך עליו,דלא פטר
ויא,ויש אומרים,קדם שיעשו מלאכה,דכל זה
ויא,ויש אומרים,העקר כסברא ראשונה,לדלות מים
ויא,ויש אומרים,לו צריך להפסיק,דהני מלי
ויא,ויש אומרים,כוס של הבדלה,שצריך כשהיה
ויא,ויש אומרים,סוף יום ג',שאינו מבדיל
ויא,ויש אומרים,צריך לברך עליו,דלא פטר
ויא,ויש אומרים,קדם שיעשו מלאכה,דכל זה
ויא,ויש אומרים,העקר כסברא ראשונה,לדלות מים
אחכ,אחר כך,יום ולשתות ולקבל,התענית עליו
