Phrase,Freq,,Alternate #1,Alternate #2,Alternate #3,Alternate #4,Alternate #5,Alternate #6,Alternate #7,Alternate #8,Alternate #9,Alternate #10,Alternate #11,Alternate #12,Alternate #13,Alternate #14,Alternate #15,Alternate #16,Alternate #17,Alternate #18,Alternate #19,Alternate #20,Alternate #21,Alternate #22,Alternate #23,,,,,,,,,,,,,,,,,,,,,,,,
"לגב""ע",13,|,לגבות_עדות (327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי',5289,|,רבינו (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
והכהני',14,|,והכהנים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נלע""ד",5866,|,נראה_לעניות_דעתי (11),נראה_לפי_עניות_דעתי (29),נראה_לפי_עניית_דעתי (785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דרמב""ח",122,|,דרמי_בר_חמי (337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"עכ""ז",5356,|,עם_כל_זה (32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
התקופ',13,|,התקופה (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קושט',126,|,קושטא (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואחי',39,|,ואחיותיה (0),ואחיה (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הכוה""מ",21,|,הכותל_המערבי (0),הכונה_והמחשבה (448),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דר""ש",5048,|,דרב_ששת (42),דרבא_שהוא (395),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כדאמרי',5052,|,כדאמרינן (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והחז""א",20,|,והחזון_איש (893),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מהר""ר",5108,|,מורי_הרב_רבי (404),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מדעל""ג",13,|,מילתא_דעביד_לגלויי (0),מילתא_דעבידא_לגלויי (351),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טוענ',39,|,טוענים (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"קרה""ת",129,|,קריאת_התורה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"יצ""ו",5803,|,ישמרם_צורם (113),ישמרהו_צורו (116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חלק',40,|,חלקך (72),חלקה (99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ברה""ר",5066,|,ברשות_הרבים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דמש""ר",20,|,דמוציא_שם_רע (67),דמלך_משאר_שררות (512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"עכ""ד",7380,|,עד_כאן_דבריו (58),עד_כאן_דברי (423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דנ""נ",117,|,דנעשה_נבילה (1),דלא_נעשה_נבילה (5),דחתיכה_נעשית_נבילה (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפט',13,|,אפטרופוסות (115),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"עב""ש",30,|,עיין_בבית_שמואל (118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דמספק""ל",122,|,דמספקא_ליה (0),דמספקא_להו (2),דמספקא_לן (3),דספוקי_מספקא_ליה (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גרס',40,|,גרסת (5),גרסתן (118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עזרי',120,|,עזריה (0),עזריא (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דר""ל",4927,|,דרצה_לומר (61),דרצונו_לומר (206),דרצו_לומר (846),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הת""ש",125,|,התומים_שם (6),הרב_תוספת_שבת (15),התבואות_שור (29),הפתחי_תשובה_שם (88),הדרכי_תשובה (477),התפארת_שמואל (571),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מי""ש",20,|,מקרקע_ישראל (666),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"עט""ת",12,|,על_טהרת_תרומה (76),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דקא""ל",120,|,דקאמר_ליה (0),דקאמר_להו (3),דקא_אמר_ליה (17),דהוה_קאמר_ליה (94),דקאמר_לעולם (213),דקאמר_לרבנן (448),דקאמר_אליבא (610),דקאמר_לשמואל (736),דקאמר_לוה (979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ולש',20,|,ולשיטות (458),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מ""ע",4895,|,מצות_עשה (1),מצד_עשה (244),מצות_עצמו (392),מלאכה_עליו (498),משום_עוסק (598),מכשול_עבירה (693),משום_ענין (777),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מהאה""ט",21,|,מהלכות_אבות_הטומאה (108),מהלכות_אבות_הטומאות (635),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בכס""מ",124,|,בספר_כסף_משנה (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דא""צ",4815,|,דאין_צריך (0),דאינו_צריך (2),דאין_צריכים (22),דאין_צריכין (29),דמדינא_אין_צריך (45),דאין_אנו_צריכין (75),דאם_צריך (76),דבזה_אין_צריך (88),דמדאורייתא_אין_צריך (381),דזה_אין_צריך (536),דכאן_אין_צריך (568),דיעבד_אין_צריך (786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שחו""ח",20,|,שחוטי_חוץ (30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ועמ""ש",5843,|,ועיין_מה_שכתבתי (4),ועיין_מה_שכתב (18),ועיין_מה_שכתבנו (33),ועיין_מה_שאכתוב (175),ועיין_מה_שכתבו (533),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בהימנותי',38,|,בהימנותיה (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לראיית',6,|,לראייתה (650),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רביעי',120,|,רביעית (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בעז""א",9,|,בעזרת_אנשים (84),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הפר',119,|,הפרק (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
החתו',38,|,החתום (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נ""ה",4951,|,נה (185),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כתובי',120,|,כתובים (0),כתובין (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"א""ה",5712,|,אתמהה (372),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הק""ב",7,|,הקבוי (845),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נטל""ף",20,|,נותן_טעם_לפגם (0),נתן_טעם_לפגם (380),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ויוצא',9,|,ויוצאה (7),ויוצאת (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והו""ל",4758,|,והוי_ליה (4),והוה_ליה (6),והוה_להו (39),והוי_להו (75),והויא_ליה (106),והוו_להו (157),והילכך_הוה_ליה (256),ולא_הוי_ליה (318),והוה_לן (321),והוי_לה (332),ולא_הוה_ליה (602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בשאל',120,|,בשאלה (0),בשאלתך (17),בשאלתינו (29),בשאלתכם (344),בשאלות (555),בשאלתו (624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובבה""ג",41,|,ובבאר_הגולה (66),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דע""ז",4852,|,דעבודה_זרה (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"משיל""מ",6,|,מתוך_שאינו_יכול_להשבע_משלם (116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בעה""ב",4751,|,בעל_הבית (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ובתשוב',123,|,ובתשובות (0),ובתשובת (1),ובתשובה (3),ובתשובתי (614),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לי""ו",39,|,לעשרה_יום (715),לשלשים_יום (876),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לק""מ",5031,|,לא_קשה_מידי (0),לא_קשיא_מידי (2),לא_קשיא_מברייתא (926),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שצרי',117,|,שצריך (0),שצריכים (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והפר""ת",39,|,והפרי_תואר (32),והפרי_תאר (81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאכיל',120,|,לאכילה (0),לאכילת (44),לאכילתו (51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ביכ""נ",38,|,בית_כנסת (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הר""מ",4855,|,הרמבם (75),הרבינו_מאיר (270),הרב_מורינו (719),הריש_מתיבתא (887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ג""ם",124,|,גאם (1),גם_מלמעלה (562),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וג""נ",6,|,וגיעולי_נכרים (146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תי',4775,|,תירוץ (0),תירוצו (2),תירוצם (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ביא""מ",20,|,ביאת_מקדש (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בבעה""ב",119,|,בבעל_הבית (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שמינ',12,|,שמינה (72),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שרו""ר",21,|,שאין_רוח_רעה (2),שרוח_רעה (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הכ""מ",4918,|,הכסף_משנה (1),הרב_כסף_משנה (74),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"סת""מ",120,|,סתמא (324),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הבעי',117,|,הבעייא (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בשכי""מ",6,|,בסתם_שכיב_מרע (68),בשכירות_מטלטלים (761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איפש',117,|,איפשר (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כפי',4802,|,כפירוש (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דפ""ש",38,|,דפדיון_שבויים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הזקני',20,|,הזקנים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכ""מ",4857,|,וכן_מבואר (0),וכן_מוכח (4),וכן_משמע (5),וכן_מפורש (13),וכמבואר (18),ודלא_כמשמע (30),וכן_מתבאר (37),וכמפורש (51),וכך_מבואר (56),וכן_מורה (76),וכך_משמע (78),וכן_מדוקדק (107),וכן_משמעות (171),וכן_מצאתי (212),וכמובא (216),וכבר_כתבתי_מזה (261),וכן_מסיק (288),וכן_מדוייק (313),וכמשמעות (340),וכדמוכח_מדברי (431),וכן_מטין (599),וכן_מביא (630),וכבר_כתבנו_מזה (747),ודלא_כמו (786),,,,,,,,,,,,,,,,,,,,,,,
"מלאפו""ם",13,|,מלאפום (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ביור""ד",120,|,ביורה_דעה (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ונקה""כ",40,|,ונקודות_הכסף (226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דא""ל",4608,|,דאמר_ליה (0),דאמר_לו (1),דכי_אמר_ליה (5),דלא_אמר_ליה (8),דמצי_אמר_ליה (10),דאמרינן_ליה (15),דאמרו_ליה (17),דאמרי_ליה (20),דאומר_לו (26),דאי_אמר_ליה (29),דאומר_ליה (34),דאהדר_ליה (41),דאמר_לך (46),דקא_אמר_ליה (74),דאפילו_אמר_ליה (92),דאמר_להם (95),דלא_אמר_לה (111),דאיכא_למימר (133),דאמרה_לה (157),דהוא_אמר_לה (259),דאם_אמר_לה (264),דאם_אמר_ליה (269),דאמרה_לו (276),דאמרו_לה (283),דאי_אית_ליה (327),דאקני_ליה (340),דאודי_ליה (404),דאמר_לשמעיה (518),דאפילו_אמר_לו (564),דהשתא_אית_ליה (634),דאמרינן_להו (723),דאפיך_ליה (726),דאם_אמר_לאשה (821),דאמר_לימא (856),דאצטריך_למימר (864),דאיצטריך_ליה (880),דיכולה_אשה_לומר (887),דפרכינן_אלא (889),דקאמר_אלמא (928),דאדכר_ליה (938),דאותיב_ליה (952),דלעולם_אית_ליה (966),,,,,
"חות""ם",12,|,חותם_מלא (561),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בהרה""ג",21,|,בן_הרב_הגדול (15),בהרב_הגדול (656),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לחופ',38,|,לחופה (0),לחופתה (105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ה""ט",4676,|,ההוא_טעמא (108),הא_טעמא (620),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בפר""מ",21,|,בפרי_מגדים (235),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"תרמ""ג",137,|,תרמג (524),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ואת""ל",4688,|,ואם_תמצא_לומר (0),ואם_תמצי_לומר (1),ואף_אם_תמצא_לומר (107),ואם_תרצה_לומר (399),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למלכו',39,|,למלכות (0),למלכותו (49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דאע""גב",115,|,דאף_על_גב (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מנח""ם",12,|,מנחם_מאניס (468),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וקי""ל",4683,|,וקיימא_לן (1),ואנן_קיימא_לן (5),והא_קיימא_לן (55),וקימא_לן (72),והכי_קיימא_לן (169),וקים_לן (497),וכן_קיימא_לן (739),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכמש""כ",5002,|,וכמו_שכתב (11),וכמו_שכתבו (55),וכמו_שכתבתי (251),והיינו_כמו_שכתבו (335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הירושל',122,|,הירושלמי (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"פר""ק",12,|,פרק_קמא (67),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וטע""כ",9,|,וטעם_כעיקר (337),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לנדו',20,|,לנדות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מיימ',40,|,מיימוני (2),מיימונית (9),מיימוניות (12),מיימיני (36),מיימנית (48),מיימון (341),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ור""ש",4705,|,ורבי_שמעון (7),ורבן_שמעון (243),ורבינו_שמואל (268),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"תיק""ו",52,|,תיקו (0),תיקו_ותיקו (18),תיקו_וכיון (51),תיקו_וכתב (222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ואעפ""י",4906,|,ואף_על_פי (3),ולפיכך_אף_על_פי (109),ולכן_אף_על_פי (255),ומיהו_אף_על_פי (403),והנה_אף_על_פי (598),ו_אף_על_פי (669),ואמר_אף_על_פי (881),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הת""ת",119,|,התלמוד_תורה (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"רפו""ש",20,|,רפואה_שלמה (36),רפואה_שלימה (160),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מוח',39,|,מוחה (0),מוחלו (539),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בדרכ""ת",116,|,בדרכי_תשובה (0),בספר_דרכי_תשובה (81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובמש""ז",42,|,ובמשבצות_זהב (40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דע""י",4395,|,דעל_ידי (0),דעיקר (67),דעל_עיקר (91),דכל_עיקר (104),דהא_עיקר (204),דעידי (206),דכל_עיקור (668),דבלא_עידי (837),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קנ',38,|,קנה (0),קנאו (15),קנו (61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כר""א",4569,|,כרב_אחא (73),כרבי_אבהו (161),כרבנן_או (296),כן_רב_אשי (472),כרב_אויא (490),כרבינו_אפרים (814),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דדב""מ",122,|,דינא_דבר_מצרא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שנמ""ך",9,|,שלא_נמצא_כתוב (625),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לר""א",4448,|,לרבי_אליעזר (27),לרבי_אלעזר (43),לרב_אסי (81),לרב_אדא (142),לרבי_אבהו (363),לתירוץ_ראשון (445),לרבנן_אף (967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בתר""י",137,|,בתלמידי_רבינו_יונה (4),בדברי_תלמידי_רבינו_יונה (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כנו""נ",9,|,כדין_נשבע_ונוטל (578),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שוגגי',39,|,שוגגים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בתכלי',12,|,בתכלית (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בע""ז",4480,|,בעבודה_זרה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פוט',12,|,פוטר (0),פוטרת (47),פוטרה (230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דפ',4384,|,דפרק (0),דפטום (279),דפרדכת (962),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ואחרי',118,|,ואחרים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ח""ת",122,|,חקיקת (355),חדושי_תורה (380),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובב""ה",39,|,ובבעל_העיטור (157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בע""ש",4420,|,בערב_שבת (0),בכל_ערב_שבת (121),ביום_ערב_שבת (253),בביתו_על_שולחנו (494),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דסביר',116,|,דסבירא (0),דסבירי (1),דסבירה (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פתוחי',38,|,פתוחים (0),פתוחין (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לפיר',20,|,לפירוש (11),לפירושי (993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מכ""ש",4348,|,מכל_שכן (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דסו',119,|,דסובר (4),דסוברים (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ותשב""ר",9,|,ותינוקות_של_בית_רבן (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
האנוסי',20,|,האנוסים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דהמ""ע",12,|,דהא_מצות_עשה (340),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ממתני',4361,|,ממתניתין (0),ממתניתן (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והמנ""ח",41,|,והמנחת_חינוך (57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבלא""ה",4284,|,דבלאו_הכי (1),דהתם_בלאו_הכי (637),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ראשו',121,|,ראשון (0),ראשונה (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דמקב""ט",9,|,דלא_מקבלי_טומאה (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בק""ן",20,|,בקרבנות_נזיר (306),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
התמי',40,|,התמיה (3),התמיהה (31),התמיהות (305),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכ""ה",4988,|,וכן_הביא (91),וכן_הבין (100),וכן_הקשה (112),ובאמת_כן_הוא (115),וכן_הביאו (172),וכן_העתיקו (250),וכן_הסכים (286),וכך_הבין (293),וכן_הגיה (299),וכן_הכריח (301),וכך_הוא (411),וכך_היא (460),וכבר_השיגוהו (610),וכן_הסכימו (630),וכבר_הובא (637),וכן_הכריעו (657),וכבר_השיגו (686),וכן_הסכמת (697),וכבר_האריך (721),וכבר_השיג (754),וכבר_העליתי (773),ודלא_כהבנת (786),וכן_הבינו (806),ודלא_כהרב (839),וכן_הבאנו (920),,,,,,,,,,,,,,,,,,,,,,
ובירושל',128,|,ובירושלמי (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מסוכני',6,|,מסוכנין (132),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שקושי',9,|,שקושיות (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וע""י",4292,|,ועל_ידי (0),ורק_על_ידי (46),וכן_על_ידי (53),וגם_על_ידי (103),והיינו_על_ידי (120),ועידי (437),ונעשה_על_ידי (478),ולכן_עיקר (554),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
במע',117,|,במערכת (10),במערכות (718),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מצוה""ג",42,|,מצומת_הגידים (3),מצומות_הגידין (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קטלני',12,|,קטלניות (79),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בב""ק",4346,|,בבא_קמא (33),במסכת_בבא_קמא (36),בהדיא_בקידושין (765),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והראב""ע",156,|,והחכם_רבי_אברהם_בן_עזרא (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בסל""ח",9,|,בספר_לחם_חמודות (414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ר""נ",4343,|,רב_נחמן (4),רבי_נתן (80),רבי_נחמיה (387),רב_נטרונאי (527),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אחזקת',38,|,אחזקתא (0),אחזקתן (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כנפו',12,|,כנפותיו (1),כנפות (44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
צ',4383,|,צ (129),צה (160),צג (173),צט (203),צז (230),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שנתחייב',12,|,שנתחייב (86),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבתרו""מ",6,|,דדוקא_בתרומה (215),דבתרומה (403),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
