Ref,Headword,Location Name (Hebrew)
זבחים קיח ב,ובנוב,נוב
זבחים סא ב,שלנוב,נוב
סנהדרין קד א,נוב,נוב
סנהדרין קד א,מנוב,נוב
סנהדרין צה א,נוב,נוב
סנהדרין צה א,נוב,נוב
סנהדרין צה א,שלנוב,נוב
בבא קמא קיט א,נב,נוב
סוטה טז א,נוב,נוב
סוטה טז א,נוב,נוב
יבמות עט א,נוב,נוב
ראש השנה כב ב,דנוב,נוב
פסחים לט א,בנוב,נוב
תלמוד ירושלמי סנהדרין י ב,נוב,נוב
תלמוד ירושלמי סנהדרין א ה,מנוב,נוב
תלמוד ירושלמי סוטה ב ב,ונוב,נוב
תלמוד ירושלמי סוטה א ח,בנוב,נוב
תלמוד ירושלמי מגילה א יא,בנוב,נוב
תלמוד ירושלמי מגילה א יא,בנוב,נוב
תלמוד ירושלמי מגילה א יא,בנוב,נוב
תלמוד ירושלמי מגילה א יא,בנוב,נוב
תלמוד ירושלמי מגילה א יא,בנוב,נוב
תלמוד ירושלמי פסחים ב ה,בנוב,נוב
תלמוד ירושלמי דמאי ב א,ונוב,נוב
תלמוד ירושלמי פאה א א,בנוב,נוב
משנה זבחים יד ז,נב,נוב
תוספתא זבחים יג י,נב,נוב
תוספתא זבחים יג י,נב,נוב
תוספתא זבחים יג ט,נב,נוב
תוספתא זבחים יג ט,נב,נוב
תוספתא זבחים יג ו,נב,נוב
תוספתא זבחים יג ח,נב,נוב
תוספתא זבחים יג ה,נב,נוב
תוספתא יומא ב יב,נב,נוב
סדר עולם רבה,נב,נוב
סדר עולם רבה,נב,נוב
סדר עולם רבה,נב,נוב
סדר עולם רבה,נב,נוב
סדר עולם רבה,נב,נוב
סיפרא,נב,נוב
רות רבה,לנב,נוב
שיר השירים רבה ו ד,בנוב,נוב
איכה רבה ב יז,ונב,נוב
ויקרא רבה כו ז,נוב,נוב
ויקרא רבה כו ז,נוב,נוב
ויקרא רבה כו ב,נוב,נוב
ויקרא רבה כו ב,בנוב,נוב
ויקרא רבה כב ו,נוב,נוב
בראשית רבה נד ד,ונוב,נוב
בראשית רבה לז ו,"עמ' 348 [כ""י וטיקן 30]",קיסריה
חולין סו ב,בקיסרי,קיסריה
חולין לט ב,בקיסרי,קיסריה
סנהדרין סח א,קיסרי,קיסריה
מגילה ו א,קסרי,קיסריה
מגילה ו א,קסרי,קיסריה
מגילה ו א,קיסרי,קיסריה
מגילה ו א,קיסרי,קיסריה
יומא כח א,בקיסריון,קיסריה
יומא כח א,בקסרי,קיסריה
יומא כז א,בקסרי,קיסריה
תלמוד ירושלמי מכות א ה,בקיסרי,קיסריה
תלמוד ירושלמי קידושין א ד,כקיסרין,קיסריה
תלמוד ירושלמי גיטין ו ו,בקיסרין,קיסריה
תלמוד ירושלמי גיטין א א,כקיסרין,קיסריה
תלמוד ירושלמי גיטין א א,שלקיסרין,קיסריה
תלמוד ירושלמי גיטין א א,שלקיסרין,קיסריה
תלמוד ירושלמי כתובות ד יב,קיסרין,קיסריה
תלמוד ירושלמי כתובות ב ה,בקסרין,קיסריה
תלמוד ירושלמי כתובות יב ג,בקסרין,קיסריה
תלמוד ירושלמי יבמות ו ו,לקיסרין,קיסריה
תלמוד ירושלמי יבמות ב ט,בקיסרין,קיסריה
תלמוד ירושלמי חגיגה א ז,בקיסרין,קיסריה
תלמוד ירושלמי מגילה א יא,מקיסרין,קיסריה
תלמוד ירושלמי סוכה ב ד,בקיסרין,קיסריה
תלמוד ירושלמי פסחים ג ז,כבקיסרין,קיסריה
תלמוד ירושלמי חלה א ו,לקיסרין,קיסריה
תלמוד ירושלמי תרומות י ג,לקיסרין,קיסריה
תלמוד ירושלמי שביעית ו א,קיסרין,קיסריה
תלמוד ירושלמי דמאי ג ג,בקיסרין,קיסריה
תלמוד ירושלמי דמאי ג ג,בקיסרין,קיסריה
תלמוד ירושלמי דמאי ג ג,קיסרין,קיסריה
תלמוד ירושלמי דמאי ג ג,מקיסרין,קיסריה
תלמוד ירושלמי דמאי ב ה,בקיסרין,קיסריה
תלמוד ירושלמי דמאי ב א,קיסריון,קיסריה
תלמוד ירושלמי דמאי ב א,קיסריון,קיסריה
תלמוד ירושלמי דמאי ב א,קיסרין,קיסריה
תלמוד ירושלמי דמאי ב א,בקיסרין,קיסריה
תלמוד ירושלמי דמאי ב א,בקיסרין,קיסריה
משנה אהלות יח ט,קיסריון,קיסריה
משנה אהלות יח ט,קיסרין,קיסריה
תוספתא מכשירין ג י,קיסרין,קיסריה
תוספתא אהלות יח טז,קיסרין,קיסריה
תוספתא אהלות יח יג,קיסרין,קיסריה
תוספתא חולין ב יג,קיסרין,קיסריה
תוספתא סוכה ב ב,קיסרין,קיסריה
תוספתא סוכה א ט,קיסריון,קיסריה
תוספתא שביעית ז י,קיסרין,קיסריה
תוספתא שביעית ד יא,קיסרין,קיסריה
תוספתא שביעית ד יא,קיסריון,קיסריה
תוספתא דמאי ג יד,קיסרין,קיסריה
תוספתא דמאי א יא,קיסרין,קיסריה
קהלת רבה א ח,בקסרין,קיסריה
בראשית רבה ג ו,בקיסרין,קיסריה
איכה רבה ד כד,קיסרין,קיסריה
איכה רבה ג ו,בקיסרין,קיסריה
איכה רבה א לא,קיסרין,קיסריה
ויקרא רבה לא ט,דקיסרין,קיסריה
ויקרא רבה כב ד,דקיסרין,קיסריה
ויקרא רבה כב ד,דקיסרין,קיסריה
ויקרא רבה כ ד,דקיסרין,קיסריה
ויקרא רבה כ ד,שבקיסרין,קיסריה
ויקרא רבה טז א,דקיסרי,קיסריה
ויקרא רבה יג ה,בקיסרי,קיסריה
ויקרא רבה ו ה,דקיסרי,קיסריה
ויקרא רבה ו ב,בקיסרי,קיסריה
בראשית רבה סח ח,קיסרין,קיסריה
בראשית רבה נג ד,דקסרין,קיסריה
בראשית רבה לו ח,קיסרי,קיסריה
בראשית רבה כ י,דקסרין,קיסריה
בראשית רבה י ז,דקיסרין,קיסריה
בראשית רבה י ז,דקיסרין,קיסריה
מכות ט ב,לשכם,שכם
מכות ט ב,כמשכם,שכם
מכות ט ב,לשכם,שכם
מכות ט ב,ומשכם,שכם
מכות ט ב,שכם,שכם
סנהדרין קב א,בשכם,שכם
סנהדרין קב א,בשכם,שכם
סנהדרין קב א,בשכם,שכם
בבא קמא עט ב,שכם,שכם
סוטה לג ב,שכם,שכם
סוטה לג ב,שכם,שכם
סוטה לג ב,שכם,שכם
סוטה לג ב,שכם,שכם
סוטה לג ב,שכם,שכם
סוטה יג ב,לשכם,שכם
סוטה יג ב,משכם,שכם
תלמוד ירושלמי מכות ב ד,לשכם,שכם
תלמוד ירושלמי מכות ב ד,כמשכם,שכם
תלמוד ירושלמי מכות ב ד,לשכם,שכם
תלמוד ירושלמי מכות ב ד,שכם,שכם
תלמוד ירושלמי מכות ב ד,שכם,שכם
תלמוד ירושלמי מכות ב ד,שכם,שכם
תלמוד ירושלמי סוטה ז ה,שכם,שכם
תלמוד ירושלמי סוטה ז ה,שכם,שכם
תלמוד ירושלמי סוטה ז ה,שכם,שכם
תלמוד ירושלמי סוטה ז ה,שכם,שכם
משנה סוטה ז ה,שכם,שכם
משנה סוטה ז ה,שכם,שכם
משנה סוטה ז ה,שכם,שכם
תוספתא מכות ג ג,שכם,שכם
תוספתא מכות ג ג,שכם,שכם
תוספתא מכות ג ג,שכם,שכם
תוספתא מכות ג ב,שכם,שכם
תוספתא מכות ג ב,שכם,שכם
תוספתא סוטה ח ז,שכם,שכם
תוספתא מכות ג ב,שכם,שכם
סדר עולם רבה,שכם,שכם
איכה רבה א לא,ותנופילין,שכם
בראשית רבה צז ו,בשכם,שכם
בראשית רבה צז ו,שכם,שכם
בראשית רבה צז ו,שכם,שכם
בראשית רבה צז ו,השכם,שכם
בראשית רבה צז ו,בשכם,שכם
בראשית רבה צז ו,שכם,שכם
בראשית רבה צג ו,שלכם,שכם
בראשית רבה פ ב,בשכם,שכם
בראשית רבה פ ב,לשכם,שכם
בראשית רבה פ ב,לשכם,שכם
בראשית רבה פ י,בשכם,שכם
בראשית רבה פ י,שלשכם,שכם
נידה נח א,ברומי,רומא
מעילה יז ב,ברומי,רומא
מעילה יז א,ברומי,רומא
חולין פז ב,רומי,רומא
מנחות מד א,רומי,רומא
עבודה זרה נד ב,ברומי,רומא
עבודה זרה לט ב,רומי,רומא
עבודה זרה יח א,רומי,רומא
עבודה זרה יח א,רומי,רומא
עבודה זרה ח ב,רומי,רומא
עבודה זרה ב ב,רומי,רומא
עבודה זרה ח א,רומי,רומא
עבודה זרה ח ב,רומי,רומא
עבודה זרה ב ב,רומי,רומא
עבודה זרה ח א,רומי,רומא
מכות כד א,שלרומי,רומא
מכות יג א,שלרומי,רומא
סנהדרין צז ב,רומויי,רומא
סנהדרין לב ב,לרומי,רומא
סנהדרין כא ב,רומי,רומא
קידושין לא א,רומי,רומא
גיטין פ א,רומי,רומא
גיטין נח א,שברומי,רומא
גיטין נו ב,רומי,רומא
גיטין נו א,רומי,רומא
מגילה ו ב,שלרומי,רומא
תענית יח א,רומי,רומא
תענית יח ב,מרומי,רומא
ביצה יט א,רומי,רומא
סוכה כג א,רומי,רומא
סוכה כג א,רומי,רומא
יומא ה א,ברומי,רומא
ראש השנה כא א,רומי,רומא
ראש השנה כא א,רומי,רומא
ראש השנה כא א,רומי,רומא
ראש השנה יא א,רומי,רומא
פסחים קיח ב,שלרומי,רומא
ראש השנה יא א,רומי,רומא
ראש השנה י א,רומי,רומא
ראש השנה י א,רומי,רומא
פסחים קכ א,ברומי,רומא
פסחים נג ב,רומי,רומא
פסחים נג א,רומי,רומא
פסחים נג א,רומי,רומא
שבת קכז ב,רומי,רומא
שבת סג ב,ברומי,רומא
שבת נז ב,רומי,רומא
ברכות נח א,רומי,רומא
ברכות נו ב,רומי,רומא
ברכות יט א,רומי,רומא
ברכות יט א,רומי,רומא
תלמוד ירושלמי הוריות ג ז,לרומי,רומא
תלמוד ירושלמי עבודה זרה ג א,שברומי,רומא
תלמוד ירושלמי עבודה זרה א ג,ברומי,רומא
תלמוד ירושלמי עבודה זרה א ג,ברומי,רומא
תלמוד ירושלמי עבודה זרה א ג,שברומי,רומא
תלמוד ירושלמי עבודה זרה א ג,רומי,רומא
תלמוד ירושלמי עבודה זרה א ג,רומי,רומא
תלמוד ירושלמי בבא קמא ד א,ברומי,רומא
תלמוד ירושלמי גיטין ב ז,ברומי,רומא
תלמוד ירושלמי מועד קטן ג א,רומי,רומא
תלמוד ירושלמי מועד קטן ג א,רומי,רומא
תלמוד ירושלמי תענית א א,שברומי,רומא
תלמוד ירושלמי תענית א א,שברומי,רומא
תלמוד ירושלמי תענית א א,דומי,רומא
תלמוד ירושלמי ביצה ב ז,רומי,רומא
תלמוד ירושלמי ביצה ב ז,רומי,רומא
תלמוד ירושלמי יומא ה ג,ברומי,רומא
תלמוד ירושלמי יומא ד א,ברומי,רומא
תלמוד ירושלמי פסחים ז א,רומי,רומא
תלמוד ירושלמי פסחים ז א,רומי,רומא
תלמוד ירושלמי שביעית י ד,ברומי,רומא
תלמוד ירושלמי דמאי ב א,מרומי,רומא
תלמוד ירושלמי פאה א א,ברומי,רומא
תלמוד ירושלמי פאה א א,ברומי,רומא
משנה עבודה זרה ד ז,רומי,רומא
תוספתא מקוואות ד ז,רומי,רומא
תוספתא הוריות ב ה,רומי,רומא
תוספתא עבודה זרה ז ז,רומי,רומא
תוספתא ביצה ב טו,רומי,רומא
תוספתא ביצה ב טו,רומי,רומא
תוספתא ביצה ב יב,רומי,רומא
תוספתא יומא ב טז,רומי,רומא
סיפרא,רומי,רומא
שיר השירים רבה ה יד,ברומי,רומא
שיר השירים רבה א ו,ברומי,רומא
שיר השירים רבה א ו,רומי,רומא
קהלת רבה יב ז,רומי,רומא
קהלת רבה יב ז,רומי,רומא
קהלת רבה יב ז,רומי,רומא
קהלת רבה יב ז,רומי,רומא
קהלת רבה יב ז,רומי,רומא
קהלת רבה יא א,לרומי,רומא
קהלת רבה י יא,ברומי,רומא
קהלת רבה י יא,ברומי,רומא
קהלת רבה ה ז,שברומי,רומא
קהלת רבה ה ח,ברומי,רומא
קהלת רבה ה ח,רומי,רומא
קהלת רבה ה ח,לרומי,רומא
קהלת רבה ג יז,מרומי,רומא
איכה רבה ד כד,רומי,רומא
איכה רבה ה יח,רומי,רומא
איכה רבה ד ד,שברומי,רומא
איכה רבה ד י,ברומי,רומא
איכה רבה א מה,רומי,רומא
איכה רבה ה יח,רומי,רומא
איכה רבה ב יא,רומי,רומא
ויקרא רבה כז א,לרומי,רומא
ויקרא רבה כו ב,ברומי,רומא
ויקרא רבה כב ג,לרומי,רומא
ויקרא רבה כב ג,רומי,רומא
ויקרא רבה ו ו,שלרומי,רומא
בראשית רבה צח יט,ברומי,רומא
בראשית רבה פג ד,ברומי,רומא
בראשית רבה עח ה,לרומי,רומא
בראשית רבה סז ח,דרומי,רומא
בראשית רבה סא ז,ברומי,רומא
בראשית רבה לג א,לרומי,רומא
בראשית רבה כ ד,ברומי,רומא
בראשית רבה כב ו,ברומי,רומא
בראשית רבה יג ט,לרומי,רומא
בראשית רבה י ז,ברומי,רומא
בראשית רבה י ז,לרומי,רומא
בראשית רבה יא ד,ברומי,רומא
בראשית רבה יא ד,רומי,רומא
בראשית רבה י ט,ברומי,רומא
בראשית רבה י ז,לרומי,רומא
עירובין נב ב,בארומא,רומא
עירובין נב ב,ברומי,רומא
תלמוד ירושלמי עירובין ד ט,מרומה,רומא
תוספתא עירובין ג יז,רומה,רומא
נידה נז א,התרמוד,תדמור
נידה נז א,מתרמוד,תדמור
יבמות טז ב,מתדמור,תדמור
תלמוד ירושלמי קידושין ד א,תדמור,תדמור
תלמוד ירושלמי קידושין ד א,תדמור,תדמור
תלמוד ירושלמי יבמות א ד,תדמור,תדמור
תלמוד ירושלמי יבמות א ד,תדמור,תדמור
תלמוד ירושלמי יבמות א ד,תדמור,תדמור
תלמוד ירושלמי תענית ד ו,שלתדמור,תדמור
קהלת רבה ב כה,לתדמור,תדמור
איכה רבה ב ד,תרמוד,תדמור
בראשית רבה נו יא,תדמור,תדמור
בראשית רבה נו יא,שלתדמור,תדמור
בכורות מ א,בשושן,שושן
מנחות צח א,שושן,שושן
מנחות צח א,בששן,שושן
מגילה יב א,שבשושן,שושן
מגילה ז א,בשושן,שושן
מגילה ב ב,שושן,שושן
מגילה ב ב,שושן,שושן
מגילה ב ב,שושן,שושן
פסחים פו א,בשושן,שושן
תלמוד ירושלמי מגילה א א,בשושן,שושן
תלמוד ירושלמי מגילה א א,משושן,שושן
תלמוד ירושלמי מגילה א א,שושן,שושן
משנה כלים יז ט,שושן,שושן
משנה מידות א ג,שושן,שושן
תוספתא מגילה א א,שושן,שושן
סדר עולם רבה,שושן,שושן
שיר השירים רבה ז ח,שושן,שושן
בראשית רבה צב ח,בשושן,שושן
בראשית רבה פד כ,בשושן,שושן
בראשית רבה סז ד,בשושן,שושן
נידה כא א,טברי',טבריה
נידה כא א,טבריא,טבריה
ערכין לב א,לטבריא,טבריה
ערכין ל ב,טבריא,טבריה
בכורות נו א,טבריא,טבריה
חולין קו א,טבריא,טבריה
חולין ח א,טבירי',טבריה
עבודה זרה נח א,טבריה,טבריה
סנהדרין קח א,טבריה,טבריה
סנהדרין לא ב,בטבריה,טבריה
סנהדרין לא ב,בטבריה,טבריה
סנהדרין לא ב,בטבריה,טבריה
סנהדרין לא ב,בטבריה,טבריה
בבא בתרא עה א,טבריה,טבריה
בבא בתרא עד ב,טבריה,טבריה
בבא בתרא טו א,בטבריה,טבריה
בבא מציעא כד ב,טבריה,טבריה
בבא קמא פא ב,טבריה,טבריה
בבא קמא פא ב,טבריא,טבריה
בבא קמא פא א,טבריה,טבריה
גיטין עז ב,בטבריא,טבריה
קידושין כ ב,טברי',טבריה
גיטין עז ב,בטבריא,טבריה
סוטה מה ב,טבריא,טבריה
סוטה י ב,טבריה,טבריה
סוטה י ב,טבריה,טבריה
נזיר נא ב,טבריא,טבריה
יבמות צז א,טבריה,טבריה
מועד קטן יח ב,שלטבריה,טבריה
מועד קטן יד א,טבריה,טבריה
מגילה ו א,טבריה,טבריה
מגילה ה ב,טבריה,טבריה
מגילה ו א,טבריה,טבריה
מגילה ו א,טבריה,טבריה
מגילה ו א,טבריה,טבריה
מגילה ו א,טבריה,טבריה
מגילה ה ב,לטבריה,טבריה
תענית יג א,טבריה,טבריה
ביצה לא ב,לטבריה,טבריה
ביצה לא ב,וטבריה,טבריה
יומא כז א,בטבריה,טבריה
יומא כז א,בטבריה,טבריה
יומא כ ב,שלטבריה,טבריה
פסחים מא א,טבריה,טבריה
פסחים מא א,טבריה,טבריה
פסחים מא א,טבריה,טבריה
פסחים מו א,לטבריה,טבריה
פסחים מא א,טבריה,טבריה
פסחים ט ב,טבריה,טבריה
עירובין פח א,טבריא,טבריה
עירובין פח א,טבריא,טבריה
עירובין פח א,טבריא,טבריה
עירובין פז א,טבריא,טבריה
עירובין כט א,טבריא,טבריה
שבת קמז א,טבריה,טבריה
שבת קט ב,טבריה,טבריה
שבת קט א,טבריא,טבריה
שבת קד ב,בטבריא,טבריה
שבת מ א,טבריה,טבריה
שבת מ ב,טבריה,טבריה
שבת לט ב,טבריה,טבריה
שבת קמה ב,טברי',טבריה
שבת לט ב,טבריה,טבריה
שבת מ א,טברי',טבריה
שבת קמז א,טבריה,טבריה
שבת קט א,טבריה,טבריה
שבת מ א,טבריה,טבריה
שבת לט א,טבריה,טבריה
שבת קיח ב,טבריא,טבריה
שבת לט א,טבריה,טבריה
שבת לט ב,טבריא,טבריה
שבת לט ב,טבריה,טבריה
שבת מ ב,טבריה,טבריה
שבת לט א,טבריה,טבריה
שבת מ א,טבריא,טבריה
ברכות נג ב,בטבריה,טבריה
ברכות נג א,בטבריה,טבריה
תלמוד ירושלמי הוריות ג ח,מטיבריה,טבריה
תלמוד ירושלמי סנהדרין ג א,בטיבריא,טבריה
תלמוד ירושלמי סנהדרין ה א,מטיבריא,טבריה
תלמוד ירושלמי סנהדרין ג א,בטיבריא,טבריה
תלמוד ירושלמי סנהדרין ג א,בטיבריא,טבריה
תלמוד ירושלמי בבא בתרא ה ג,טבריה,טבריה
תלמוד ירושלמי בבא מציעא ז א,כטיבריא,טבריה
תלמוד ירושלמי בבא מציעא ז א,בטיבריא,טבריה
תלמוד ירושלמי בבא מציעא ז א,טבריא,טבריה
תלמוד ירושלמי בבא מציעא ז א,טיבריא,טבריה
תלמוד ירושלמי בבא מציעא ז א,שלטיבריא,טבריה
תלמוד ירושלמי בבא מציעא ה ז,שלטיבריא,טבריה
תלמוד ירושלמי בבא מציעא ה ז,לטיבריא,טבריה
תלמוד ירושלמי סוטה א ח,מטיבריה,טבריה
תלמוד ירושלמי נדרים ו א,עטבריה,טבריה
תלמוד ירושלמי חגיגה א ז,לטיבריא,טבריה
תלמוד ירושלמי מועד קטן ב ה,טיבריה,טבריה
תלמוד ירושלמי מועד קטן ב ה,טיבריה,טבריה
תלמוד ירושלמי מגילה א יא,מטבריא,טבריה
תלמוד ירושלמי מגילה א א,לטיבריא,טבריה
תלמוד ירושלמי תענית ד ו,טיבריא,טבריה
תלמוד ירושלמי ראש השנה ב ב,טיבריה,טבריה
תלמוד ירושלמי סוכה א יא,טיבריא,טבריה
תלמוד ירושלמי שקלים ו ג,שלטיבריא,טבריה
נידה נב ב,בצידן,צידון
בכורות כד ב,וצידן,צידון
חולין מט ב,בצידן,צידון
עבודה זרה מ א,לצידן,צידון
עבודה זרה יג א,לצידן,צידון
סנהדרין לא א,וצידון,צידון
סנהדרין לא ב,וצידון,צידון
סנהדרין לא א,וצידון,צידון
בבא בתרא קעד א,וצידן,צידון
בבא מציעא לח ב,וצידן,צידון
בבא קמא סט א,וצידן,צידון
גיטין עה א,וציידן,צידון
גיטין לח א,וציידן,צידון
גיטין עד ב,בציידן,צידון
גיטין מה ב,בציידן,צידון
גיטין מו ב,בציידן,צידון
כתובות עז א,וצדיין,צידון
כתובות ז ב,בציידן,צידון
פסחים נד ב,וצידן,צידון
עירובין מז ב,לצידן,צידון
שבת מו ב,בצידן,צידון
שבת כא ב,בצידן,צידון
שבת יט א,לצידן,צידון
תלמוד ירושלמי עבודה זרה ב ב,בצידן,צידון
תלמוד ירושלמי עבודה זרה א ט,שבצידן,צידון
תלמוד ירושלמי בבא בתרא י ז,וציידן,צידון
תלמוד ירושלמי גיטין ד ו,בצידן,צידון
תלמוד ירושלמי נזיר ז א,לציידן,צידון
תלמוד ירושלמי סוכה ה א,מצידון,צידון
תלמוד ירושלמי שקלים ו ג,לציידן,צידון
בכורות נה א,בציפורי,ציפורי
חולין כה ב,בציפורי,ציפורי
הוריות יב ב,מצפורי,ציפורי
עבודה זרה סז א,בצפורי,ציפורי
עבודה זרה יז א,צפורי,ציפורי
סנהדרין לב ב,לציפורי,ציפורי
סנהדרין לא ב,בצפורי,ציפורי
סנהדרין יט א,בצפורי,ציפורי
סנהדרין יט א,בצפורי,ציפורי
סנהדרין יט א,בצפורי,ציפורי
בבא בתרא קעא א,בציפורי,ציפורי
בבא בתרא קה א,בצפורי,ציפורי
בבא בתרא עז א,צפורי,ציפורי
בבא בתרא עז א,כצפורי,ציפורי
בבא מציעא קב ב,בציפורי,ציפורי
בבא מציעא כד ב,לציפורי,ציפורי
בבא קמא ק ב,צפורי,ציפורי
גיטין עז ב,בציפורי,ציפורי
גיטין עז ב,בציפורי,ציפורי
גיטין ו ב,לציפורי,ציפורי
סוטה י ב,צפורי,ציפורי
סוטה י ב,ציפורי,ציפורי
כתובות קיא ב,ציפורי,ציפורי
כתובות קט א,לציפורי,ציפורי
כתובות קז ב,לציפורי,ציפורי
כתובות קג ב,בציפורי,ציפורי
כתובות סז ב,מציפורי,ציפורי
כתובות טו ב,ציפורי,ציפורי
כתובות טו א,ציפורי,ציפורי
כתובות טו א,ציפורי,ציפורי
יבמות סד ב,בציפורי,ציפורי
מועד קטן יד א,צפורי,ציפורי
מועד קטן כא א,בציפורי,ציפורי
מגילה י א,מצפורי,ציפורי
מגילה ו א,צפורי,ציפורי
מגילה ו א,צפורי,ציפורי
מגילה ו א,צפורי,ציפורי
מגילה ו א,צפורי,ציפורי
מגילה ו א,צפורי,ציפורי
מגילה ה ב,שלצפורי,ציפורי
תענית יז א,בצפורי,ציפורי
ביצה לא ב,מציפורי,ציפורי
ביצה לא ב,לציפורי,ציפורי
ביצה כז א,בציפורי,ציפורי
יומא כז א,בצפורי,ציפורי
יומא כז א,בצפורי,ציפורי
יומא טז ב,בצפורי,ציפורי
ראש השנה יג ב,מציפורי,ציפורי
ראש השנה יא א,ציפורי,ציפורי
עירובין פו ב,בציפורי,ציפורי
עירובין פד א,ציפורי,ציפורי
עירובין פד א,ציפורי,ציפורי
עירובין נד ב,ציפורי,ציפורי
עירובין נד ב,ציפורי,ציפורי
עירובין כח ב,בצפורי,ציפורי
עירובין פז א,בצפורי,ציפורי
עירובין פד א,בצפורי,ציפורי
עירובין כח ב,בצפורי,ציפורי
שבת קמה ב,לציפורי,ציפורי
שבת קיח ב,בציפורי,ציפורי
שבת קד ב,בציפורי,ציפורי
שבת לח ב,לציפרי,ציפורי
שבת קכא ב,לציפורי,ציפורי
שבת לג ב,לציפורי,ציפורי
ברכות נג ב,בצפורי,ציפורי
ברכות נג א,בצפורי,ציפורי
תלמוד ירושלמי עבודה זרה ה ב,ציפורין,ציפורי
תלמוד ירושלמי הוריות ג ד,בציפרים,ציפורי
תלמוד ירושלמי עבודה זרה ב ג,בציפורין,ציפורי
תלמוד ירושלמי מכות א ה,בציפורי,ציפורי
תלמוד ירושלמי סנהדרין ה א,לציפורי,ציפורי
תלמוד ירושלמי סנהדרין ג א,בציפורי,ציפורי
תלמוד ירושלמי סנהדרין ג א,בציפורי,ציפורי
תלמוד ירושלמי סנהדרין ב א,בציפרין,ציפורי
תלמוד ירושלמי בבא מציעא ה ז,שלציפורין,ציפורי
תלמוד ירושלמי גיטין א ב,ציפורין,ציפורי
תלמוד ירושלמי גיטין א ב,לציפורין,ציפורי
תלמוד ירושלמי גיטין א ב,לציפורין,ציפורי
תלמוד ירושלמי כתובות ז י,מציפורין,ציפורי
תלמוד ירושלמי נדרים ד ז,שלציפורין,ציפורי
תלמוד ירושלמי כתובות יג א,בציפורי,ציפורי
תלמוד ירושלמי כתובות יב ג,בציפורין,ציפורי
תלמוד ירושלמי כתובות א י,שבציפורין,ציפורי
תלמוד ירושלמי כתובות א י,מציפורין,ציפורי
תלמוד ירושלמי כתובות א י,שלציפורין,ציפורי
תלמוד ירושלמי כתובות א י,מציפורין,ציפורי
תלמוד ירושלמי כתובות א י,שבציפורין,ציפורי
תלמוד ירושלמי כתובות א י,ציפורין,ציפורי
תלמוד ירושלמי כתובות א י,מציפורין,ציפורי
תלמוד ירושלמי כתובות א י,שלציפורין,ציפורי
תלמוד ירושלמי מועד קטן ב ה,ציפורין,ציפורי
תלמוד ירושלמי מועד קטן ב ה,ציפורין,ציפורי
תלמוד ירושלמי מגילה א יא,מציפורין,ציפורי
תלמוד ירושלמי מגילה א ט,מציפורין,ציפורי
תלמוד ירושלמי תענית ד ו,לציפורי,ציפורי
תלמוד ירושלמי תענית ד ו,ציפורים,ציפורי
תלמוד ירושלמי תענית ד ו,לציפורין,ציפורי
תלמוד ירושלמי יומא ח ז,שלציפורין,ציפורי
תלמוד ירושלמי סוכה א ט,לציפורין,ציפורי
תלמוד ירושלמי יומא ו ג,בציפורין,ציפורי
תלמוד ירושלמי יומא א א,מציפורין,ציפורי
תלמוד ירושלמי פסחים ד ב,מציפורין,ציפורי
תלמוד ירושלמי פסחים ד ב,מציפורין,ציפורי
תלמוד ירושלמי פסחים ד א,צפורין,ציפורי
תלמוד ירושלמי פסחים ד א,ציפורי,ציפורי
תלמוד ירושלמי עירובין ח ח,לציפורי,ציפורי
תלמוד ירושלמי עירובין ה א,לציפו',ציפורי
תלמוד ירושלמי עירובין ה א,לציפורין,ציפורי
תלמוד ירושלמי שבת טז ו,שלציפורין,ציפורי
תלמוד ירושלמי שבת יג א,בציפרין,ציפורי
תלמוד ירושלמי שבת יב ד,בציפרין,ציפורי
תלמוד ירושלמי חלה ד ג,בציפורין,ציפורי
תלמוד ירושלמי מעשר שני ה א,בציפורין,ציפורי
תלמוד ירושלמי מעשר שני ה ב,ציפרי,ציפורי
תלמוד ירושלמי שביעית י ה,בציפורי,ציפורי
תלמוד ירושלמי תרומות ח ד,בציפורי,ציפורי
תלמוד ירושלמי שביעית ה א,בציפורין,ציפורי
תלמוד ירושלמי דמאי ה ט,בציפורין,ציפורי
תלמוד ירושלמי דמאי ה ט,בציפורין,ציפורי
תלמוד ירושלמי דמאי א א,שבציפרין,ציפורי
תלמוד ירושלמי פאה ז ד,בציפורין,ציפורי
תלמוד ירושלמי ברכות ט ה,מציפורין,ציפורי
תלמוד ירושלמי ברכות ח ו,בציפורין,ציפורי
תלמוד ירושלמי ברכות ח ו,בציפורין,ציפורי
תלמוד ירושלמי ברכות ד ז,בציפורין,ציפורי
תלמוד ירושלמי ברכות ד ז,שלציפורין,ציפורי
תלמוד ירושלמי ברכות ד ז,בציפורין,ציפורי
תלמוד ירושלמי ברכות ד ז,שלציפורין,ציפורי
תלמוד ירושלמי ברכות ג ב,בציפורין,ציפורי
משנה ערכין ט ו,צפורי,ציפורי
משנה בבא בתרא ו ז,צפורי,ציפורי
משנה בבא מציעא ח ח,צפורי,ציפורי
משנה קידושין ד ה,צפורי,ציפורי
משנה יומא ו ג,צפורי,ציפורי
תוספתא מכשירין ג ה,צפורי,ציפורי
תוספתא כלים מציעא ז ב,צפורי,ציפורי
תוספתא כלים בתרא ב ב,צפורי,ציפורי
תוספתא מעילה ב ט,צפורי,ציפורי
