													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Malbim on II Samuel	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.	פירוש פופולרי על תנ"ך של ר' מאיר לייבוש בן יחיאל מיכל ויסר (מלבי"ם). בפירושו לחומש הוא מביא את מדרשי ההלכה ודן בהם בהשוואה לפשט הפסוקים תוך דיוקים בדקדוק המקרא. המלבי"ם נודע בדרך ייחודית בפירושו למקרא, ולשיטתו אין שום חזרה וכפילות בפסוקים ('מילים נרדפות' כפי שכונה על ידי מפרשים אחרים), אלא כל מילה מייצגת מושג או רעיון אחר.	1859	15		1874	Warsaw	Achronim	Malbim on 2Sam,Malbim on Second Samuel,Malbim on Shmuel Bet,Malbim on Shmuel II,Malbim on Samuel II,Malbim on 2 Sam,Malbim on II Shmuel,Malbim on II Sam.,Malbim on II Sam,Malbim on 2Sam.,Malbim on 2 Samuel,Malbim on II Shemuel,Malbim Literary Commantary on 2Sam,Malbim Literary Commantary on Second Samuel,Malbim Literary Commantary on Shmuel Bet,Malbim Literary Commantary on Shmuel II,Malbim Literary Commantary on Samuel II,Malbim Literary Commantary on 2 Sam,Malbim Literary Commantary on II Shmuel,Malbim Literary Commantary on II Sam.,Malbim Literary Commantary on II Sam,Malbim Literary Commantary on 2Sam.,Malbim Literary Commantary on 2 Samuel,Malbim Literary Commantary on II Shemuel,Malbim Literary Commantary on II Samuel	מלבי"ם על שמואל ב	מלבי"ם על ש״ב,מלבי"ם על ש"ב,מלבי"ם על שמואל ב׳,מלבי"ם על שמואל ב'	Commentary,Tanach,Prophets,II Samuel
Malbim on Isaiah	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.	פירוש פופולרי על תנ"ך של ר' מאיר לייבוש בן יחיאל מיכל ויסר (מלבי"ם). בפירושו לחומש הוא מביא את מדרשי ההלכה ודן בהם בהשוואה לפשט הפסוקים תוך דיוקים בדקדוק המקרא. המלבי"ם נודע בדרך ייחודית בפירושו למקרא, ולשיטתו אין שום חזרה וכפילות בפסוקים ('מילים נרדפות' כפי שכונה על ידי מפרשים אחרים), אלא כל מילה מייצגת מושג או רעיון אחר.	1859	15		1874	Warsaw	Achronim	Malbim on Isa.,Malbim on Yishayahu,Malbim on Isa,Malbim Literary Commantary on Isa.,Malbim Literary Commantary on Yishayahu,Malbim Literary Commantary on Isa,Malbim Literary Commantary on Isaiah	מלבי"ם על ישעיהו	מלבי"ם על ישעיה	Commentary,Tanach,Prophets,Isaiah
Malbim on Jeremiah	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.	פירוש פופולרי על תנ"ך של ר' מאיר לייבוש בן יחיאל מיכל ויסר (מלבי"ם). בפירושו לחומש הוא מביא את מדרשי ההלכה ודן בהם בהשוואה לפשט הפסוקים תוך דיוקים בדקדוק המקרא. המלבי"ם נודע בדרך ייחודית בפירושו למקרא, ולשיטתו אין שום חזרה וכפילות בפסוקים ('מילים נרדפות' כפי שכונה על ידי מפרשים אחרים), אלא כל מילה מייצגת מושג או רעיון אחר.	1859	15		1874	Warsaw	Achronim	Malbim on Yirmiyahu,Malbim on Jer,Malbim on Jer.,Malbim Literary Commantary on Yirmiyahu,Malbim Literary Commantary on Jer,Malbim Literary Commantary on Jer.,Malbim Literary Commantary on Jeremiah	מלבי"ם על ירמיהו	מלבי"ם על ירמיה	Commentary,Tanach,Prophets,Jeremiah
Malbim on Psalms	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.	פירוש פופולרי על תנ"ך של ר' מאיר לייבוש בן יחיאל מיכל ויסר (מלבי"ם). בפירושו לחומש הוא מביא את מדרשי ההלכה ודן בהם בהשוואה לפשט הפסוקים תוך דיוקים בדקדוק המקרא. המלבי"ם נודע בדרך ייחודית בפירושו למקרא, ולשיטתו אין שום חזרה וכפילות בפסוקים ('מילים נרדפות' כפי שכונה על ידי מפרשים אחרים), אלא כל מילה מייצגת מושג או רעיון אחר.	1859	15		1874	Warsaw	Achronim	Malbim on Ps,Malbim on Ps.,Malbim on Psa,Malbim on Tehilim,Malbim on Psa.,Malbim on Psalm,Malbim on Tehillim,Malbim Literary Commantary on Ps,Malbim Literary Commantary on Ps.,Malbim Literary Commantary on Psa,Malbim Literary Commantary on Tehilim,Malbim Literary Commantary on Psa.,Malbim Literary Commantary on Psalm,Malbim Literary Commantary on Tehillim,Malbim Literary Commantary on Psalms	מלבי"ם על תהילים	מלבי"ם על תהלים	Commentary,Tanach,Writings,Psalms
Malbim on Zechariah	Malbim	Written by Rabbi Meir Leibush ben Yehiel Michel Wisser (Malbim), a trademark of the his commentary is his belief that there are no synonyms or repetition in the Tanakh. Each word represents a different idea or concept. Another important facet is his interest in connecting the written word to its rabbinic interpretation.	פירוש פופולרי על תנ"ך של ר' מאיר לייבוש בן יחיאל מיכל ויסר (מלבי"ם). בפירושו לחומש הוא מביא את מדרשי ההלכה ודן בהם בהשוואה לפשט הפסוקים תוך דיוקים בדקדוק המקרא. המלבי"ם נודע בדרך ייחודית בפירושו למקרא, ולשיטתו אין שום חזרה וכפילות בפסוקים ('מילים נרדפות' כפי שכונה על ידי מפרשים אחרים), אלא כל מילה מייצגת מושג או רעיון אחר.	1859	15		1874	Warsaw	Achronim	Malbim on Zech.,Malbim on Zech,Malbim on Zachariah,Malbim on Zekharia,Malbim on Zekharya,Malbim Literary Commantary on Zech.,Malbim Literary Commantary on Zech,Malbim Literary Commantary on Zachariah,Malbim Literary Commantary on Zekharia,Malbim Literary Commantary on Zekharya,Malbim Literary Commantary on Zechariah	מלבי"ם על זכריה		Commentary,Tanach,Prophets,Zechariah
Metzudat David on Amos	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	פירוש פופולרי על תנ"ך של ר' מאיר לייבוש בן יחיאל מיכל ויסר (מלבי"ם). בפירושו לחומש הוא מביא את מדרשי ההלכה ודן בהם בהשוואה לפשט הפסוקים תוך דיוקים בדקדוק המקרא. המלבי"ם נודע בדרך ייחודית בפירושו למקרא, ולשיטתו אין שום חזרה וכפילות בפסוקים ('מילים נרדפות' כפי שכונה על ידי מפרשים אחרים), אלא כל מילה מייצגת מושג או רעיון אחר.	1760	20		1780-1782	Livorno, Italy	Achronim		מצודת דוד על עמוס		Commentary,Tanach,Prophets,Amos
Metzudat David on Daniel	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Dan.,Metzudat David on Dan	מצודת דוד על דניאל		Commentary,Tanach,Writings,Daniel
Metzudat David on Ecclesiastes	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Eccles.,Metzudat David on Ecc,Metzudat David on Kohelet,Metzudat David on Ecc.	מצודת דוד על קהלת		Commentary,Tanach,Writings,Ecclesiastes
Metzudat David on Ezekiel	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Ezek,Metzudat David on Ezek.,Metzudat David on Yehezkel,Metzudat David on Yechezkel	מצודת דוד על יחזקאל		Commentary,Tanach,Prophets,Ezekiel
Metzudat David on Ezra	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Ezr.,Metzudat David on Ezr	מצודת דוד על עזרא		Commentary,Tanach,Writings,Ezra
Metzudat David on Habakkuk	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Hab.,Metzudat David on Hab,Metzudat David on Havakkuk,Metzudat David on Habakuk	מצודת דוד על חבקוק		Commentary,Tanach,Prophets,Habakkuk
Metzudat David on Haggai	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Chaggai,Metzudat David on Hag,Metzudat David on Hag.	מצודת דוד על חגי		Commentary,Tanach,Prophets,Haggai
Metzudat David on Hosea	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Hos.,Metzudat David on Hos,Metzudat David on Hoshea	מצודת דוד על הושע		Commentary,Tanach,Prophets,Hosea
Metzudat David on I Chronicles	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on 1 Chronicles,Metzudat David on 1Ch.,Metzudat David on 1 Chron,Metzudat David on 1 Chr,Metzudat David on Chronicles I,Metzudat David on I Chr,Metzudat David on 1 Chron.,Metzudat David on I Chr.,Metzudat David on I Divrei HaYamim,Metzudat David on Divrei HaYamim I,Metzudat David on Divrei HaYamim Aleph,Metzudat David on First Chronicles,Metzudat David on 1Ch,Metzudat David on I Divrei Ha-yamim,Metzudat David on I Divrei Ha-Yamim	מצודת דוד על דברי הימים א	מצודת דוד על דברי הימים א׳,מצודת דוד על דברי בימים א'	Commentary,Tanach,Writings,I Chronicles
Metzudat David on I Kings	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1770	Berlin	Achronim	Metzudat David on I Melachim,Metzudat David on Melachim Aleph,Metzudat David on Kings I,Metzudat David on Melachim I,Metzudat David on 1 Kings,Metzudat David on First Kings,Metzudat David on I Melakhim	מצודת דוד על מלכים א	מצודת דוד על מ״א,מצודת דוד על מ"א,מצודת דוד על מלכים א׳,מצודת דוד על מלכים א'	Commentary,Tanach,Prophets,I Kings
Metzudat David on I Samuel	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1770	Berlin	Achronim	Metzudat David on I Sam.,Metzudat David on 1Sam.,Metzudat David on First Samuel,Metzudat David on Shmuel Aleph,Metzudat David on 1Sam,Metzudat David on I Shmuel,Metzudat David on Samuel I,Metzudat David on Shmuel I,Metzudat David on 1 Samuel,Metzudat David on I Sam,Metzudat David on I Shemuel	מצודת דוד על שמואל א	מצודת דוד על ש״א,מצודת דוד על ש"א,מצודת דוד על שמואל א׳,מצודת דוד על שמואל א'	Commentary,Tanach,Prophets,I Samuel
Metzudat David on II Chronicles	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1770	Berlin	Achronim	Metzudat David on 2 Chronicles,Metzudat David on II Divrei HaYamim,Metzudat David on Second Chronicles,Metzudat David on 2 Chron,Metzudat David on 2 Chron.,Metzudat David on 2Ch.,Metzudat David on II Chr.,Metzudat David on Chronicles II,Metzudat David on 2Ch,Metzudat David on II Chr,Metzudat David on 2 Chr,Metzudat David on Divrei HaYamim II,Metzudat David on Divrei HaYamim Bet,Metzudat David on II Divrei Ha-yamim,Metzudat David on II Divrei Ha-Yamim	מצודת דוד על דברי הימים ב	מצודת דוד על דברי הימים ב׳,מצודת דוד על דברי הימים ב'	Commentary,Tanach,Writings,II Chronicles
Metzudat David on II Kings	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1770	Berlin	Achronim	Metzudat David on Melachim Bet,Metzudat David on Melachim II,Metzudat David on Second Kings,Metzudat David on 2 Kings,Metzudat David on II Melachim,Metzudat David on Kings II,Metzudat David on II Melakhim	מצודת דוד על מלכים ב	מצודת דוד על מ"ב,מצודת דוד על מ״ב,מצודת דוד על מלכים ב׳,מצודת דוד על מלכים ב'	Commentary,Tanach,Prophets,II Kings
Metzudat David on II Samuel	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1770	Berlin	Achronim	Metzudat David on 2Sam,Metzudat David on Second Samuel,Metzudat David on Shmuel Bet,Metzudat David on Shmuel II,Metzudat David on Samuel II,Metzudat David on 2 Sam,Metzudat David on II Shmuel,Metzudat David on II Sam.,Metzudat David on II Sam,Metzudat David on 2Sam.,Metzudat David on 2 Samuel,Metzudat David on II Shemuel	מצודת דוד על שמואל ב	מצודת דוד על ש״ב,מצודת דוד על ש"ב,מצודת דוד על שמואל ב׳,מצודת דוד על שמואל ב'	Commentary,Tanach,Prophets,II Samuel
Metzudat David on Isaiah	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1770	Berlin	Achronim	Metzudat David on Isa.,Metzudat David on Yishayahu,Metzudat David on Isa	מצודת דוד על ישעיהו	מצודת דוד על ישעיה	Commentary,Tanach,Prophets,Isaiah
Metzudat David on Jeremiah	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1770	Berlin	Achronim	Metzudat David on Yirmiyahu,Metzudat David on Jer,Metzudat David on Jer.	מצודת דוד על ירמיהו	מצודת דוד על ירמיה	Commentary,Tanach,Prophets,Jeremiah
Metzudat David on Job	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20	Jaworów, Poland	1753-1754	Zolkiev	Achronim	Metzudat David on Iyov	מצודת דוד על איוב		Commentary,Tanach,Writings,Job
Metzudat David on Joel	David Altschuler	Commentary on the Prophets and Writings (Nach) written by Rabbi David Altschuler in the 18th century. It is primarily based on the commentary of Radak, but also draws on other sources. After Rabbi David Altschuler’s death, his works were completed by his son, Rabbi Hillel Altschuler, who instituted the division of the commentary into two parts. Known collectively as "Metzudot", Metzudat Tzion explains unfamiliar and difficult words found in the text, while Metzudat David delves into the meaning of the text. 	ביאור בדרך הפשט על כל הנ"ך (מלבד המגילות רות, איכה ואסתר), המבוסס בעיקרו על פירושו של הרד"ק ועוד ראשונים. המחבר, ר' דוד אלטשולר, כתב את ספרו כפירוש אחד, אך כשהשלימו בנו, יחיאל הלל, לאחר מותו, חילקו לשני חלקים – "מצודת דוד" המבאר את ענייני הפסוקים ופשטם, ו"מצודת ציון" המיועד לפרש מילים וביטויים קשים בתנ"ך.	1760	20		1780-1782	Livorno, Italy	Achronim	Metzudat David on Yoel	מצודת דוד על יואל		Commentary,Tanach,Prophets,Joel
