Rashi Matches,Data
Rashi on Deuteronomy 1:16:3,"3235@דברים א,טז@שמע@אודנ""ט@odant@בשמעכם@א' לעיל מס' 3209. בכתב-יד אחד קוראים: אואנ""ט oant ובשניים אויינג""ט (צ""ל אוינ""ט oiant), צורות מאוחרות יותר.$"
Rashi on Deuteronomy 4:24:1,"3236@דברים ד,כד@קנא@אינפרינדר""א@enprendre@לכעוס@ר' לעיל מס' 3217. בכמה כתבי-יד יש גרסאות שונות מאותו גזרון: אינפרינייר""א enpreniere (""כעסן""), אינפרינמינ""ט enprenment (""כעס, חרון-אף"").$"
Rashi on Deuteronomy 9:21:1,"3237@דברים ט,כא@טחון@מולנ""ט@molant@בטחנו@ר' לעיל מס' 3209.$"
Rashi on Deuteronomy 13:6:1,"3238@דברים יג,ו@סרה@דישטולוד""א@destolude@מעוותת@רש""י מביא מלה צרפתית, שהיא בינוני במשמעות של שם פעולה (""דברים מעוותים, עיוות"").$"
Rashi on Deuteronomy 13:7:1,"3239@דברים יג,ז@יסיתך@אמיטר""א@ametra@ישֹיא, יפתה@יש גרסאות בוי""ו ונו""ן: אמונטר""א amontra (""ידריך, יצביע"").$"
Rashi on Deuteronomy 13:7:4,"3240@דברים יג,ז@מחקה@אפיקייד""א@afichiede@דבוקה@$"
Rashi on Deuteronomy 14:5:1,"3241@דברים יד,ה@אקו@אישטיינבו""ק@esteinboc@אקו, יעל-סלע@$"
Rashi on Deuteronomy 14:6:2,"3242@דברים יד,ו@פרסה@פלנט""א@plante@כף רגל@$"
Rashi on Deuteronomy 14:16:1,"3243@דברים יד,טז@תנשמת@קלב""א שורי""ץ@chalve soriz@עטלף@$"
Rashi on Deuteronomy 14:18:1,"3244@דברים יד,יח@דוכיפת@הירופ""א@herupe@דוכיפת@ר' לעיל מס' 3196.$"
Rashi on Deuteronomy 18:3:3,"3245@דברים יח,ג@זרע@אישפלדו""ן@espaldon@עצם השכם@$"
Rashi on Deuteronomy 27:1:1,"3246@דברים כז,א@שמר@גרדנ""ט@gardant@בשמרכם@ר' לעיל מס' 3209.$"
Rashi on Deuteronomy 28:22:2,"3247@דברים כח,כב@קדחת@מלויי""ד@malweid@מחושים (כלומר קדחת)@זו (מלוי""ד) הגרסה של כתב-יד אחד. עוד אחד נותן מלא""ן (קר""י: מלנ""ט malant, פצע). רוב כתבי-היד גורסים מלו""י (צ""ל מלו""י malwei), צורה מאוחרת של malweid, וכדומה.$"
Rashi on Deuteronomy 28:22:4,"3248@דברים כח,כב@חרחר@אישרדימינ""ט@esardement@התחממות, התייבשות@$"
Rashi on Deuteronomy 28:22:7,"3249@דברים כח,כב@שדפון@השל""א@hasle@חום@$"
Rashi on Deuteronomy 28:22:8,"3250@דברים כח,כב@ירקון@קר""ו@cro@כרכום@הכוונה היא כפי הנראה למין צהבת, שבעקבותיה מתכרכמות פני החולה.$"
Rashi on Deuteronomy 28:28:1,"3251@דברים כח,כח@תמהון@אישטורדישו""ן@estordison@עילפון, הלם, מבוכה@$"
Rashi on Deuteronomy 28:37:1,"3252@דברים כח,לז@שמה@אישטורדישו""ן@estordizon@עילפון, הלם, מבוכה@$"
Rashi on Deuteronomy 28:49:2,"3253@דברים כח,מט@תשמע@אינטינדר""א@entendre@להבין@$"
Rashi on Deuteronomy 28:68:4,"3254@דברים כח,סח@והתמכרתם@אי פורוינדרי""ץ@e porwendrez wos@וו""ש ותמכרו את עצמכם@מסתבר, שרש""י רואה בקידומת por סימן השווה להחלטיות המעשה.$"
Rashi on Deuteronomy 29:18:2,"3255@דברים כט,יח@והתברך@בינדיר""א שי""י@bendira sei@יברך את עצמו@$"
Rashi on Deuteronomy 29:19:2,"3256@דברים כט,יט@(קנאתו)[קנאה]@אינפרינמני""ט@enprenment@חרון-אף@$"
Rashi on Deuteronomy 32:2:6,"3257@דברים לב,ב@דא@אירבידי""ץ@erbediz@מעשב, מכלול העשבים@$"
Rashi on Deuteronomy 32:5:5,"3258@דברים לב,ה@פתלתל@אינטורטיליי""ץ@entortiliez@מפותלים, מסובכים@צורת הרבים בשל המשמעות הקיבוצית של המלה ""דור"", או שיש לפנינו יחסת-נושא.$"
Rashi on Deuteronomy 32:14:12,"3259@דברים לב,יד@חמר@וינו""ש@winos@ייני@ר' להלן מס' 4120.$"
Rashi on Deuteronomy 32:20:4,"3260@דברים לב,כ@אמן@נורטור""א@norture@חינוך@$"
Rashi on Deuteronomy 32:30:2,"3261@דברים לב,ל@הסגירם@דיליברי""ר@delivrer@למסור, להסגיר@$"
Rashi on Deuteronomy 32:36:5,"3262@דברים לב,לו@עצור ועזוב@מיינטיננ""ט@meintenant@שולט@$"
Rashi on Deuteronomy 32:36:5,"3263@דברים לב,לו@עצור@מיינטינו""ד@meintenud@נשלט@$"
Rashi on Deuteronomy 32:36:5,"3264@דברים לב,לו@עזוב@אינפורציי""ד@enforcied@מחוזק@בכתבי-יד, לפני שני הלעזים הנ""ל, יש פירוש כללי לביטוי ""עצור ועזוב"" באמצעות לעז, שאפשר לקרוא אותו, לפי הגרסאות השונות, מיינטיננ""ט meintenant או מיינטינידו""ר meintenedor (""שולט, מושל"").$"
Rashi on Deuteronomy 32:41:1,"3265@דברים לב,מא@ברק@פלנדו""ר@plandur@ברק, זוהר@כפי הנראה מילת-שעטנז, שמקורה מ – flanbre, flame (""להבה"") ומ – splendur, (""התנוצצות"").$"
Rashi on Deuteronomy 32:41:3,"3266@דברים לב,מא@משפט@יושטיצ""א@justice@ענישה@$"
Rashi on Deuteronomy 33:3:6,"3267@דברים לג,ג@מדברתיך@טי""ש פורפרלידורי""ש@tes porparledures@דיבוריך (עם עצמך)@רש""י רוצה כאן להסביר את צורת ההתפעל שביסוד המלה ""מדברות"" (עם דגש חזק בדל""ת כמו ""מדבר"", במדבר ז,פט): ה' מדבר עם עצמו והנביא שומע, כי אין זה לפי כבודו לדבר אל אדם, והקידומת por” מזוהה אצל רש""י עם ההתפעל.$"
Rashi on Deuteronomy 33:25:2,"3267א@דברי לג,כה@דה""מ וכימיך דבאך@אישקורונ""ט@escoront@ינהרו, ישפעו@סבירה גם הקריאה אישקורנ""ט escorant (""נוהר, שופע""). רש""י רואה ב""דבא"" גזרון קרוב ל""זוב"" ומפרש, שאוצרות על הארצות יזובו לארץ-ישראל.$"
Rashi on Joshua 8:6:1,"3268@יהושע ח,ו@התיקנו@אישפודרי""ר@esfudrer@להוציא מהנרתיק@בפירושו הראשון רש""י גוזר את ""התיקנו"" מלשון ""תיק"": להוציא את אנשי העיר מעירם, המהווה את ה""עטיפה"" השומרת עליהם, והוא מרכיב, כפי הנראה, את הפועל esfudrer, מהמלה fudrer (""הדן"" [החרב], בצרפתית של היום fourreau) עם הקידומת es” (לטינית ex”) המצביעה על הוצאה.$"
Rashi on Joshua 8:18:1,"3269@יהושע ח,יח@כידון@אישפיי""ד@espied@רומח@ר' אה""ל מס' 572 ומס' 1546. בניגוד לדעת ברנדין אין כאן המלה ""חרב"" (espede), אלא מלה, שהיא ביסודה של השם epieu (רומח, כידון) בצרפתית של היום.$"
Rashi on Joshua 9:5:1,"3270@יהושע ט,ה@נקדים@ארשי""ץ@arsez@שרופים, צלויים@רש""י גוזר ""נקדים"" מלשון ""יקד"" (""לבעור, להישרף""): הגבעונים הביאו אתם צנימים במקום לחם. בשני כתבי-יד קוראים טושט""ש tosts (השווה באנגלית toasts).$"
Rashi on Joshua 11:2:2,"3271@יהושע יא,ב@נפות@קונטרידי""ש@contredes@חבלי ארץ@$"
Rashi on Joshua 13:2:1,"3272@יהושע יג,ב@גלילות@מרקי""ש@marches@אזורי גבול@$"
Rashi on Joshua 15:7:4,"3273@יהושע טו,ז@רגל@פולו""ן@folon@כובס (הדורך את הבד כדי לאשפרו)@$"
Rashi on Joshua 15:19:2,"3274@יהושע טו,יט@נגב@שיק""א@sechae@יבֵשָׁה@חסר בכתבי-היד. אולי נכנס לעז זה בטעות, מתוך בלבול עם התרגום הארמי של הפסוק, הגורס ""אתר בית שקיא דמיא"", אף כי פירוש ""שקיא"" דווקא רטוב.$"
Rashi on Joshua 15:47:1,"3275@יהושע טו,מז@גבול@אישלי""ש@isles@איים@דברי רש""י: ""נסין [איים ביוונית] שבים שקוראים אישלי""ש.$"
Rashi on Joshua 17:15:1,"3276@יהושע יז,טו@ובראת@אישרטי""ר@esarter@לבָרֵא (להכשיר קרקע בעקירת הקוצים והסלעים)@בדפוסים הפועל מופיע פעם שנייה בצורה המוטית אישרטיר""ש esarteras (""תבָרֵא""). כתבי-היד המצויים חוזרים על הצורה הקודמת.$"
Rashi on Joshua 19:12:1,"3277@יהושע יט,יב@כסלת@פלנק""ש@flancs@כסלים (השרירים הפנימיים של הירך סמוך לכליה)@רש""י מראה, שבעברית, כמו בצרפתית, אפשר להשתמש במלה ""כסל"" (flanc) לא רק לחלק מן הגוף, אלא גם לתיאור שטח הררי: ""לא בגובהו ולא בשיפולו אלא בשיפועו"".$"
Rashi on Judges 1:26:1,"3278@שופטים א,כו@לוז@קולדר""א@coldre@עץ אלסר@ר' לעיל מס' 3031.$"
Rashi on Judges 3:15:1,"3279@שופטים ג,טו@אטר@ריטריי""ט@retreit@מכווץ@$"
Rashi on Judges 3:16:1,"3280@שופטים ג,טז@גמד@דומיאלנ""א@dumialne@חצי-אמה@ברנדין מפנה לגלוסר למבר – ברנדין, וזה מביא במקום שתי גרסאות קרובות ללעז הזה, וטוען, שהן גרמנית (בלי הסבר במפתח!, אבל יש מפרשים daumenlang ""באורך האגודל""). אך נראה לי, שיש כאן dumi, צורה חליפה של demi (""חצי"") והמידה alne (""אמה"").$"
Rashi on Judges 3:16:1,"3281@שופטים ג,טז@גמד@ושקורט""א@waskorte@קצרה למדאי@ר' אה""ל מס' 1211.$"
Rashi on Judges 3:22:1,"3282@שופטים ג,כב@נצב@הל""ט@halt@ידית@$"
Rashi on Judges 3:22:2,"3283@שופטים ג,כב@להב@ברנ""ט@brant@להב@בדפוסים יש לעז נוסף לאותה מלה: למ""א lame."
Rashi on Judges 3:26:1,"3284@שופטים ג,כו@נמלט@אישמוציי""ר@esmucier@להיחבא, להינצל@בכמב כתבי-יד קוראים אישקמוציי""ר eschamucier באותה משמעות.$"
Rashi on Judges 3:26:3,"3285@שופטים ג,כו@(שעירתה)[שעירה]@ברוצ""א@broce@סבך יער@$"
Rashi on Judges 3:31:1,"3286@שופטים ג,לא@מלמד@אגוילו""ן@aguilon@מַלמד, דרבן@$"
Rashi on Judges 4:11:1,"3287@שופטים ד,יא@צעננים@מריש""ק@maresc@בִיצה, מקווה מים רדודים@$"
Rashi on Judges 4:18:1,"3288@שופטים ד,יח@שמיכה@קו""ט@cot@שמלה@ר' אה""ל מס' 189.$"
Rashi on Judges 4:21:1,"3289@שופטים ד,כא@יתד@קיביל""א@chevile@יתד@$"
Rashi on Judges 4:21:2,"3290@שופטים ד,כא@מקבת@מרטי""ל@martel@פטיש@$"
Rashi on Judges 4:22:1,"3291@שופטים ד,כב@ברקתו@אי""ן ל""א טינפל""א@en la tenple@בצדע@בכתבי-יד קוראים רק טינפל""א. בדפוסים יש ניל""ה טימפי""ה (nela tempia), שהוא גרסה איטלקית. אולם, נראה לי, שרש""י היה חייב לתרגם את מילת-החיבור, כדי להסביר את הביטוי המקוצר ""והיתד ברקתו"". כי, לולא כן, למה לא נתן את הלעז בפסוק הקודם (""ותתקע את היתד ברקתו"")?$"
Rashi on Judges 5:11:2,"3292@שופטים ה,יא@מחצצים@קיילו״ש@cheilos@אבני צור@לא נמצא בכתבי־היד. בדפוסים קוראים קזל""ש (בגרמנית קיז""ל kiesel, ""חלמיש""), ודאי תיקון מאוחר. רש""י מסביר, שהשואבים מים היו מפחדים מהחצץ, שהרעיש בהתגלגלו בדרכם.$"
Rashi on Judges 6:2:1,"3293@שופטים ו,ב@מנהרות@ווידי""ש@wuides@ריקות (?)@הפענוח של ברנדין (וודוי""ש wodwes) אינו נראה לי כלל. אמנם יש להניח, שלפנינו לא המלה wuides עצמה, אלא מלה הנגזרת ממנה, במשמעות של ""מנהרות"", מעברים בתוך הסלעים, שחופרים אותם על-יד כך, ""שמרוקנים את פנימיותו"" של הצור.$"
Rashi on Judges 6:2:1,"3294@שופטים ו,ב@מנרות@לוישיט""ש@luisets@חדרים תת-קרקעיים (?)@רש""י מתכוון להסביר את מוצאה של המשמעות ""מנהרות"" במובן ""מעברים בתוך הסלעים"", בכך, שיש צורך להשאיר חור בתקרת החפירה כדי שיהיה בה אור. המלה לא ידועה ממקום אחר, אבל כפי הנראה הייתה קיימת מלה כזאת במובן האמור. במילונים מוצאים luisel במשמעות ""קבר, ארון מתים"", ויכול להיות שמדובר בגזירה דומה. בדפוסים לוישירני""ש luisernes (""לפידים"").$"
Rashi on Judges 6:2:2,"3295@שופטים ו,ב@מערות@קרוט""ש@crots@חורים, מערות@מלטינית crypta, בצרפתית של היום grotte. בימי-הביניים היו קיימות שתי הצורות crot וגם crote.$"
Rashi on Judges 6:2:3,"3296@שופטים ו,ב@מצדות@פליישי""ץ@pleisiz@גדר בנויה מעצים מסורגים@$"
Rashi on Judges 7:2:1,"3297@שופטים ז,ב@יתפאר@ונטי""ר@wanter@להתגאות@$"
Rashi on Judges 8:7:1,"3298@שופטים ח,ז@ברקנים@רונצי""ש@ronces@קוצים@$"
Rashi on Judges 8:21:1,"3299@שופטים ח,כא@שהרנים@לוני""ש@lunes@ירחים@רש""י מוסיף ""של זהב"", כדי שיהיה ברור, שמדובר בתכשיטים בצורת ירח (""שהר"").$"
Rashi on Judges 9:14:1,"3300@שופטים ט,יד@אטד@איגלינטיי""ר@eglentier@עץ ורד-הבר@הדפוסים, בהתאם לאחד מכתבי-היד, נותנים צורה, שיש לקרוא אותה אישפינ""א espine (""קוץ"").$"
Rashi on Judges 9:23:1,"3301@שופטים ט,כג@רוח רעה@מלטלינ""ט@maltalent@רוגז@כך באחד מכתבי-יד. יתר כתבי-היד גורסים טלינ""ט talent, שמשמעותו בדרך-כלל ""רצון, חשק"", אבל אולי היה גם בשימוש כקיצור של maltalent.$"
Rashi on Judges 9:46:1,"3302@שופטים ט,מו@צריח@פליישיי""ד@pleisied@רחבה גדורה בסורגי עצים@ברוב כתבי-היד קוראים י""ש בסוף המלה, אבל סביר להניח, שבדורות האחרונים של יהודים דוברי צרפתית לא הבינו את הדל""ת הסופית, שנאלמה בכל השפה. ר' אה""ל מס' 909.$"
Rashi on Judges 9:46:2,"3303@שופטים ט,מו@צריח@ווידי""ד@wuided@חפור@ר' לעיל מס' 3292. רש""י מתכוון כפי הנראה למין ביצורים ""בקרקע"", ויש להניח, שיש כאן שם עצם (הגרסאות וודו""ו, וודו""י, וודוו""י) הקשור עם הגזרון הזה. הפתרון דוניו""ן donjon (""מגדל ראשי"") אינו מתקבל על הדעת גם מפני חוסר נוני""ן וגם בגלל ההסבר של רש""י ""שעושין בקרקע"". ברנדין פענח במלה הנגזרת מהשורש של wolte (""קמרון""), אבל קשה לתאם את זה.$"
Rashi on Judges 16:13:1,"3304@שופטים טז,יג@מחלפות@פלוציי""ש@flocies@תלתלים@$"
Rashi on Judges 16:13:2,"3305@שופטים טז,יג@מסכת@אינשובל""א@ensoble@כובד הנול@ר' אה""ל מס' 401.$"
Rashi on Judges 16:13:2,"3306@שופטים טז,יג@מסכת@אורטויר""א@ortoire@מנור-אורגים@שני כתבי-יד גורסים אורדי""ר ordir (""להשתות""). היחס בין שני הלעזים של הפסוק אינו ברור, אך יש לשער, שרש""י רואה ב""כובד"" חלק של המנור, שהוא המתקן בכללו.$"
Rashi on Judges 16:26:1,"3307@שופטים טז,כו@(והמישני)[מוש]@טשטי""ר@taster@למשש@גרסת הדפוסים משובשת.$"
Rashi on Judges 16:29:1,"3308@שופטים טז,כט@וילפת@אינברציי""ר@enbracier@לחבוק@גרסת הדפוסים משובשת.$"
Rashi on Judges 17:5:2,"3309@שופטים יז,ה@וימלא את יד@מיינוישטי""ר@meinwestir@להסמיך, למנות@רש""י מצא בצרפתית מלה המקבילה בדיוק לביטוי העברי, כי משמעו בעיקרו ""להלביש את היד"". אולם שני כתבי-יד נותנים סתם ריוישטי""ר rewestir באותו מובן.$"
Rashi on Judges 17:5:2,"3310@שופטים יז,ה@וימלא את יד@ריוישטי""ר@rewestir@להלביש, למנות@בלעז השני שבפירושו הגרסה ריוישטי""ר כמעט בכל כתבי-היד אולי רש""י מבחין בין מינוי המעניק שררה meinwestir ובין מינוי לתפקיד אחר rewestir.$["
Rashi on Judges 17:10:3,"3311@שופטים יז,י@ערך בגדים@אפריילימינ""ט@apareilment@מערכת-בגדים@$"
Rashi on Judges 18:21:2,"3312@שופטים יח,כא@כבודה@פישנטומ""א@pesantume@משאות כבדים@$"
Rashi on Judges 19:21:1,"3313@שופטים יט,כא@ויבל@אפודרי""ר@afodrer@להביא מספוא@בשני כתבי-יד קוראים אפרובינדי""ר aprovender או כדומה, באותו מובן.$"
Rashi on Judges 20:5:1,"3314@שופטים כ,ה@דמו@אדישמירינ""ט@adesmerent@חישבו, התכוונו@אחד מכתבי-היד גורס קוריד""ט, קרי: קוידירינ""ט cuiderent באותו מובן.$"
Rashi on I Samuel 1:28:2,"3315@שמואל א' א,כח@שאול@אינפרונטי""ץ@enpruntez@מושאל@הסיומת z היא בדרך כלל של ריבוי, אך יכולה גם להיות של יחסת-הנושא.$"
Rashi on I Samuel 2:10:2,"3316@שמואל א' ב,י@ידין@יושטישיי""ר@justisier@לשפוט@$"
Rashi on I Samuel 3:11:2,"3317@שמואל א' ג,יא@תצלינה@טינטיני""ר@tinitiner@לצלצל@$"
Rashi on I Samuel 3:12:2,"3318@שמואל א' ג,יב@החל וכלה@קומינצנ""ט א""י אישפלייאנ""ט@comencant espleiant@מתחיל וגומר@$"
Rashi on I Samuel 4:19:3,"3319@שמואל א' ד,יט@(צריה)[צירים]@קרדוני""ל@chardonel@צירים (של דלת)@רש""י מפרש כפשוטו: ""נשתנו מכדרכן… צירי דלתי בטנה"". צורת לעז זו נראית לי עדיפה על chardeneil, chardenel (ר' באה""ל 2348).$"
Rashi on I Samuel 4:21:3,"3320@שמואל א' ד,כא@אל הלקח@איטוייר""ש לישטריפרי""ש@etweirs lestre pris@בהתאם להילקח@etweirs קשור כפי הנראה לפועל estovoir, estaveir, שמקורו לא ידוע ומשמעותו ""להיות צריך, להיות תלוי"". הצורה שלפנינו היא אולי תואר-הפועל (המשמש אף כמילת-חיבור), ולכן ה – s הסופית. לפחות שני כתבי-יד גורסים אינויר""ש enwers (""כלפי"") באותו מובן.$"
Rashi on I Samuel 6:8:1,"3321@שמואל א' ו,ח@ארגז@אישקרי""ן@escrin@קופסה (בעיקר לתכשיטים)@$"
Rashi on I Samuel 9:5:4,"3322@שמואל א', ט,ה@ודאג@א""י דוביטיר""א@e dubitera@ויחשוש@הלעז חסר בכתבי-היד. בדפוסים קוראים איטוביטאר""ה ותיקנתי לפי הממצא המילוני והדקדוקי.$"
Rashi on I Samuel 9:17:1,"3323@שנטאח א' ט,יז@יעצר@דישטיני""ר@destinir@להחזיק בכוח@מארבעה כתבי-היד רק אחד גורס כנ""ל. שניים גורסים קיפטיני""ר או כדומה cheftenir, כלומר להתנהג כמו מצביא cheftain (בצרפתית של היום: capitaine).$"
Rashi on I Samuel 10:2:3,"3324@שמואל א' י,ב@ודאג@דימינטי""ר@dementer@לחרוד, להצטער@בדפוסים יש גרסה, שצריך לקרוא אותה כפי הנראה דובטי""ר dobter או דוביטי""ר dubiter (ר' לעיל מס' 3322).$"
Rashi on I Samuel 13:6:1,"3325@שמואל א' יג,ו@חוחים@אישפיניי""ד@espineid@שדה חוחים@$"
Rashi on I Samuel 13:6:2,"3326@שמואל א יג,ו@צרחים@פליישי""ץ@pleisiz@גדר בנויה מעצים מסורגים@$"
Rashi on I Samuel 13:20:2,"3327@שמואל א' יג,כ@(מַחֲרַשׁתּוֹ)[מחרשה]@שו""ק@soc@כנף המחרשה@$"
Rashi on I Samuel 13:20:3,"3328@שמואל א' יג,כ@(אתו)[את]@קולטר""א@coltre@קנקן מחרשה (היתד הפולחת את הקרקע)@$"
Rashi on I Samuel 13:20:4,"3329@שמואל א' יג,כ@(קרדמו)[קרדם]@בישגוד""א@besagude@כלי בעל שני ראשים חדים@אחד מכתבי-העד גורס בישגו""ד besagud, צורת הזכר של המלה, שהיא בעצם תואר השם.$"
Rashi on I Samuel 13:20:5,"3330@שמואל א' יג,כ@(מַחֲרֵשָׁתוֹ)][מחרשה]@פושויר@fosoir@מכוש@$"
Rashi on I Samuel 13:21:1,"3331@שמואל א' יג,כא@פצירה@לימ""א@lime@פצירה@$"
Rashi on I Samuel 13:21:1,"3332@שמואל א' יג,כא@קלשון@פורק""א@forche@קלשון@$"
Rashi on I Samuel 13:23:1,"3333@שמואל א' יג,כג@מצב@צינבי""ל@cenbel@גדוד בעל משימה מיוחדת (מה שקוראים היום קומנדו)@$"
Rashi on I Samuel 14:1:1,"3334@שמואל א' יג,כג@שמואל א' יד,א@דה""מ הלז@צי""ל@cel@ההוא@$"
Rashi on I Samuel 14:1:1,"3335@שמואל א' יד,א@הלז@ציש""ט@cest@הזה@רש""י מדגיש ש""הלז"" מתייחס למה שמראים באצבע (cest), בניגוד לדבר יותר מרוחק (cel). בדפוסים הוחלפה השיטה!$"
Rashi on I Samuel 14:14:2,"3336@שמואל א' יד,יד@מענה@ריי""א@reie@פס, חריץ, תלם@$"
Rashi on I Samuel 14:16:1,"3337@שמואל א' יד,טז@צפים@בדיטי""ש@badetes@משקיפים@המלה לא ידועה במילונים. היא נגזרת מהפועל bader ""להביט"" והצורה שבחרתי היא השערה בלבד לפי הממצא בכתבי-היד, להוציא אחד הגורס גרדיאנ""ש gardians (""שומרים""). יש עוד גרסה אחרת, שצריך לקרוא אותה אולי אישקרגייטי""ש eschargeites (""יחידות צופים""). מכאן בצרפתית של היום echauguette (""צריח תצפית"").<br>בפרק זה, בפסוק כז, קוראים בדפוסים, אחרי הפירוש של ""יערת הדבש"", שהם קני-סוכר: ""ובלשון ישמעאל קורין לאותו דבש סוקר""א בלעז"", וזה כמובן sucre, אך נאמר בפירוש ""ובלשון ישמעאל"". לא מדובר כאן אפוא במלה צרפתית. הכתיב בסמ""ך זר לשיטת התעתיק של רש""י למלים צרפתיות.$"
Rashi on I Samuel 17:6:1,"3338@שמואל א' יז,ו@(מצחת)[מצחה]@נש""ל@nasal@חלק של הכובע המגן על האף@רש""י אומר: ""כמין יד ברזל [!] היוצאת מן הכובע כנגד החוטם… והיתה מגעת לו עד רגליו"". מסתבר יותר פירושו של רד""ק המסביר ""טס של נחשת תלוי על רגליו לכסותן. והוא שם מושאל מן מצח"", כלומר בדומה לחלק שעל המצח.$"
Rashi on I Samuel 17:7:1,"3339@שמואל א' יז,ז@מנור ארגים@אינשובל""א@ensoble@כובד הנול@$"
Rashi on I Samuel 17:18:4,"3340@שמואל א' יז,יח@ערב@גרנטי""ש@garantis@הַבטַח@בפסוק המובא מתהלים (קיט, קכב) המשורר מבקש מהקב""ה, שיבטיח את שלומו. כאן ישי מבקש מדוד לוודא את שלום אחיו ולהרגיעו מדאגותיו. הצורה של הלעז מתאימה לציווי, והיא מתאימה אפוא יותר לפסוק של תהלים.$"
Rashi on I Samuel 18:27:1,"3341@שמואל א' יח,כז@וימלאום@פרישינטי""ר@presenter@להמציא@רש""י אינו מוסיף דבר על הלעז. כפי הנראה כוונתו, שהביא דוד לשאול את מלוא מבוקשו.$"
Rashi on I Samuel 19:3:1,"3342@שמואל א' יט,ג@ליד@אי""ן שי""ש אישי""ש@en ses aises@בהישג ידו@ר' לעיל מס' 3206.$"
Rashi on I Samuel 19:13:3,"3343@שמואל א' יט,יג@כביר@פלוצי""ל@flocel@אדרת שער@$"
Rashi on I Samuel 20:29:2,"3344@שמואל א' כ,כט@אמלטה@אישמוציי""ר@esmucier@להינצל, להיחבא (אולי גם להינצל בהיחבא)@זו גרסת שני כתבי-יד. שלושת כתבי-היד האחרים גורסים אישקמוציי""ר eschamucier, אחד מהם אפילו אשקמוצרא""י (קרי: אישקמוציירי""י eschamucierei בעתיד), באותו מובן.$"
Rashi on I Samuel 25:18:1,"3345@שמואל א' כה,יח@עשויות@פרצידי""ש@farcides@ממולאות@רש""י מוסיף: ""ממולאות בשר דק וביצים"". אפשר אולי גם לתקן ולקרוא: פשטיד""א pastede (""פשטידה""), ר' אה""ל מס' 681.$"
Rashi on I Samuel 26:19:1,"3346@שמואל א' כו,יט@שומה@אמיטימינ""ש@ametment@עלילה@ר' לעיל מס' 3239.$"
Rashi on I Samuel 26:20:1,"3347@שמואל א' כו,כ@קרא@פירדרי""ץ@perdriz@קורא (עוף)@חסר בכתבי-היד.$"
Rashi on II Samuel 5:24:2,"3348@שמואל ב' ה,כד@תחרץ@גלפי""ר@glapir@לצרוח@$"
Rashi on II Samuel 6:14:2,"3349@שמואל ב' ו,יד@אפוד@פורציינ""ט@porceint@חגורה@$"
Rashi on II Samuel 8:1:2,"3350@שמואל ב' ח,א@מתג@אגוילו""ן@aguilon@מַלמד, דרבן@$"
Rashi on II Samuel 12:31:3,"3351@שמואל ב' יב,לא@(ובחרצי)[חריצים]@לימ""א@lime@פצירה@$"
Rashi on II Samuel 14:13:3,"3352@שמואל ב' יד,יג@ומדבר@א""י ק""י נו""ן פרול""ט@e ke non parolt@ושלא ידבר@רש""י מסביר את השימוש בקידומת ""מ-"" כבקשה שלילית (""שומר שבת מחללו""). הצורה parolt היא ""מגמתית"" (subjonctif) מלטינית parabolet.$"
Rashi on II Samuel 14:30:2,"3353@שמואל ב' יד,ל@אל ידי@אי""ן מי""ש אישי""ש@en mes aises@בהישג ידי@$"
Rashi on II Samuel 19:25:2,"3354@שמואל ב' יט,כה@(שפמו)[שפם]@גירנו""ן@gernon@שפם@$"
Rashi on II Samuel 21:16:1,"3355@שנטאח ב' כאףאז@(קינו)[קין]@ארישטוי""ל@arestuel@גולה (שבניצב חנית או חרב, כדי שלא ישתמט כלי-הזין מהיד)@$"
Rashi on II Samuel 21:16:1,"3356@שמואל ב' כא,טז@קולסות@הילמי""ש@helmes@קדסדות@$"
Rashi on II Samuel 21:19:3,"3357@שמואל ב' כא,יט@מנור ארגים@אינשובל""א@ensoble@כובד הנול@$"
Rashi on II Samuel 22:2:1,"3358@שמואל ב' כב,ב@(מצדתי)[מצודה]@פליישי""ץ@pleisiz@גדר בנויה מעצים מסורגים@$"
Rashi on II Samuel 22:3:1,"3359@שמואל ב' כב,ג@(צורי)[צור]@אבריאימינ""ט@abriement@מחסה@$"
Rashi on II Samuel 22:46:1,"3360@שמואל ב' כב,מו@יבלו@פליישטר""א@fleistre@לנבול@$"
Rashi on II Samuel 23:6:1,"3361@שמואל ב' כג,ו@קוץ@קרדו""ן@chardon@קרדה (=קוץ)@ר' אה""ל מס' 110.$"
Rashi on I Kings 1:40:1,"3362@מלכים א' א,מ@חללים@קלימיל""ש@chalemels@חלילים (כלי נגינה)@כך בכל כתבי-היד (בשינויי כתיב), אך בדפוסים קוראים לםאוטי""[ש] flautes, שם אחר לכלי-נגינה מאותו סוג.$"
Rashi on I Kings 5:23:1,"3363@מלכים א' ה,כג@דברות@ולו""ס@wlos@רפסודות (בגרמנית)@""בלשון אשכנז"".$"
Rashi on I Kings 5:23:3,"3364@מלכים א' ב,כג@דברות@רי""ץ@rez@רפסודות@רבים של red.$"
Rashi on I Kings 5:23:1,"3365@מלכים א' ה,כג@ונפצתים@דיפיציי""ר@depecier@לפרק לחלקיו@$"
Rashi on I Kings 6:5:1,"3366@מלכים א' ו,ה@יציע@אפינטי""ץ@apentiz@יציע@ר' אה""ל מס' 1597.$"
