French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"דלובקאות/פלדישטו""ל",Shabbat 79a,,Rashi on Shabbat 79a:10:3,"308 שבת עט. <b>דלובקאות</b><br>פלדישטו""ל faldestol <b>כיסא מתקפל</b><br><small>$
</small>","(79a:10:3) בקורטבלא - מבשלו ברותחין ומתקשה לישב עליו ולכסות דלובקאות שקורין פושדטוויי""ל ומטות ולעשותו שולחן:"
"צידעא/טינפל""א",Shabbat 80b,Rashi on Shabbat 80b:4:1,,"309 שבת פ: <b>צידעא</b><br>טינפל""א tanple <b>צדע, רקה</b><br><small>$
</small>","(80b:4:1) כלכול צידעא - טינפל""א וסדין אותה להשכיב השיער:"
"(ביצת הסיד…) ביצים/מטונ""ש",Shabbat 80b,,,"310 שבת פ: <b>(ביצת הסיד…) ביצים</b><br>מטונ""ש matons <b>גושים</b><br><small>$
</small>"
"אדמה/ארזיל""א",Shabbat 80b,Rashi on Shabbat 80b:6:1,,"311 שבת פ: <b>אדמה</b><br>ארזיל""א arzile [arzille] <b>חומר, טין</b><br><small>ר' בלונדהיים ב' (ע' 117-116) ומילונו של לוי (מס' 107).$
</small>","(80b:6:1) מתני' אדמה - ארזילי""י:"
"כף סיד/טרואיל""ה",Shabbat 80b,Rashi on Shabbat 80b:6:5,,"312 שבת פ: <b>כף סיד</b><br>טרואיל""ה truele <b>כף של סיידים</b><br><small>$
</small>","(80b:6:5) על מלא כף סיד - בגמרא מפרש כף של סיידין טרואי""ל בלע""ז:"
"תרווד/קוליי""ר",Shabbat 81a,Rashi on Shabbat 81a:1:1,,"313 שבת פא. <b>תרווד</b><br>קוליי""ר culier <b>כף (של סכו""ם)</b><br><small>$
</small>",(81a:1:1) מתני' תרווד - כף קולייר:
"חף/שירידור""א",Shabbat 81a,,Rashi on Shabbat 81a:1:2,"314 שבת פא. <b>חף</b><br>שירידור""א seredure [serredure] <b>מנעול</b><br><small>חסר בדפוסים.$
</small>","(81a:1:2) חף - קס""ד דפותחת של חף עצמה ושיעורה נפיש מתרווד:"
"כרכר/רייו""ל",Shabbat 81a,,Rashi on Shabbat 81a:1:3,"315 שבת פא. <b>כרכר</b><br>רייו""ל reiol [raiol] <b>כרכר</b><br><small>ראה לעיל מס' 287. המלה חסרה בדפוסי התלמוד.$
</small>",(81a:1:3) כרכר - עץ יש לאורגין וראשו חד:
"מקורזלות/ביקודי""ש",Shabbat 81a,,Rashi on Shabbat 81a:6:1,"316 שבת פא. <b>מקורזלות</b><br>ביקודי""ש becudes <b>חדות, בעלות שפה חדה</b><br><small>בדפוסים קוראים ""ביקועו"" הנראית כמלה עברית.$
</small>",(81a:6:1) מקורזלות - ביקועו' שיהיו ראויות לקינוח:
"פאייס/גלישט""א",Shabbat 81a,Rashi on Shabbat 81a:7:1,,"317 שבת פא. <b>פאייס</b><br>גלישט""א gleste <b>גוש אדמה</b><br><small>גרסת כל כתבי-היד, שהמלה מצויה בהם, היא כדלעיל, דבר הנראה מוזר, כי, לפי העדויות ולפי גזרונה, צריכה המלה להיכתב glete. יש כאן ללא כל ספק ""קונטמינציה"", מעין השפעת-גומלין, עם שם נרדף ל-glete, הוא bleste בלישט""א, ר' להלן מס' 1216,1708,1740.$
</small>","(81a:7:1) אבל לא הפאייס - כמו שקל פיסת רגב (סנהדרין דף סד.) שקורין גלישט""א דהואיל ומיפרכה לא חזי לקינוח ואסורה לטלטל:"
"תחתוניות/פיגי""ש",Shabbat 81a,Rashi on Shabbat 81a:8:1,,"318 שבת פא. <b>תחתוניות</b><br>פיגי""ש figes [figues] <b>תאנים (טחורים בצורת תאנים)</b><br><small>אולי יש לקרוא פיג""ש figs. ר' מילונו של לוי (מס' 460).$
</small>","(81a:8:1) תחתוניות - פיג""ש:"
"לולבי גפנים/וידילי""ש",Shabbat 81a,Rashi on Shabbat 81a:8:2,,"319 שבת פא. <b>לולבי גפנים</b><br>וידילי""ש wedilies [vedilles] <b>קנוקנות</b><br><small>ראה להלן מס' 627.$
</small>","(81a:8:2) לולבי גפנים - אותן פיצולין הגדלין בגפן וקורין וודיל""ש:"
"מפספס/קרפי""ר",Shabbat 81b,Rashi on Shabbat 81b:5:2,,"320 שבת פא: <b>מפספס</b><br>קרפי""ר charpir <b>להפריד (שערות סבוכות), להתיר את הסבך</b><br><small>ראה לעיל מס' 130.$
</small>",(81b:5:2) ומפספס - קרפיר:
"ליטרח/פרימבר""א",Shabbat 82a,Rashi on Shabbat 82a:2:3,,"321 שבת פב. <b>ליטרח</b><br>פרימבר""א prembre <b>ללחוץ, להתאמץ</b><br><small>$
</small>","(82a:2:3) ולא ליטרח טפי - דיימבר""א בלע""ז:"
"גיגית/קוב""א",Shabbat 88a,Rashi on Shabbat 88a:5:2,,"322 שבת פח. <b>גיגית</b><br>קוב""א cuve <b>גיגית, מיכל גדול ועגול</b><br><small>$
</small>",(88a:5:2) גיגית - קובא שמטילין בה שכר:
"סטיס/קרו""ג",Shabbat 89b,Rashi on Shabbat 89b:7:4,,"323 שבת פט: <b>סטיס</b><br>קרו""ג crog <b>כרכום (קורטם?)</b><br><small>קשה להבין, למה רש""י מתרגם כאן ולהלן מס' 2425 crog, או (מס' 622, 1447) cro, שהוא אותו דבר, כאשר בשני מקרים קודמים, שבהם הופיע ""סטיס"" (מס' 279 ומס' 304) הוא תרגם wesde. במקום אחד (מס' 1008-1007) יש שתי גרסאות, crog מצד אחד ו-gesde (=wesde) מצד שני. שני הצמחים שונים בלי ספק; מקרו""ג מפיקים צבע צהוב-כתום ומוישד""א צבע כחול.$
</small>","(89b:7:4) סטיס - קרו""ג"":"
"פואה/ורנצ""א",Shabbat 89b,Rashi on Shabbat 89b:7:5,,"324 שבת פט: <b>פואה</b><br>ורנצ""א warance <b>פואה</b><br><small>ראה לעיל מס' 280 ומס' 305.$
</small>","(89b:7:5) פואה - וורנצ""א:"
"נתר/ניטר""א",Shabbat 89b,Rashi on Shabbat 89b:7:7,,"325 שבת פט: <b>נתר</b><br>ניטר""א nitre <b>נתר (חנקת האשלגן)</b><br><small>$
</small>","(89b:7:7) נתר - מין אדמה שקורין ניטר""א:"
"חלבצין/לייטרו""ן",Shabbat 90a,,Rashi on Shabbat 90a:4:2,"326 שבת צ. <b>חלבצין</b><br>לייטרו""ן leitron [laiteron] <b>נץ-חלב (חסת-ארנבת?)</b><br><small>$
</small>","(90a:4:2) החלביצין - לטרו""ן:"
"תורניתא/פי""ן",Shabbat 90a,,Rashi on Shabbat 90a:4:5,"327 שבת צ. <b>תורניתא</b><br>פי""ן pin <b>אורן</b><br><small>רש""י טוען כאן, שאין לפרש תורניתא אורן!$
</small>","(90a:4:5) שיש לו עיקר - שנשרש בארץ ולפי דעתי תורניסא דגרסינן במס' ע""ז דבר שאין לו שורש הוא כמו זה ולא כמו שמפרשין אותו פיונ""א:"
"שלוף דוץ/טראפנ""א (?)",Shabbat 90a,,Rashi on Shabbat 90a:5:1,"328 שבת צ. <b>שלוף דוץ</b><br>טראפנ""א (?)  (?)…(?)tere p [ ] terepine <b>שרף-אלה (?),אדמת…(?)</b><br><small>מצוי רק בכתב-יד אחד. בלונדהיים אינו מפענח את המלה, ומסתפק בהגדרה לפי הדה""מ: ""חומר (צמח?, דומם?) המשמש לכביסה, לניקיון"". ניסיון הפענוח שלי הוא השערה בלבד.$
</small>",(90a:5:1) שלוף דוץ - לא איתפרש אבל כך שמו:
"רמצא דפרזלא/פוריידו""ר",Shabbat 90a,Rashi on Shabbat 90a:5:2,,"329 שבת צ. <b>רמצא דפרזלא</b><br>פוריידו""ר forjedor <b>מקדח</b><br><small>ר' להלן מס' 2448, שם רש""י מפרש אותו ביטוי במלה croein (אנקול). ר' מילונו של לוי (מס' 470).$
</small>",(90a:5:2) ברמצא דפרזלא - פוריידורא של ברזל:
"מוחטין/מוקיי""ר",Shabbat 90a,Rashi on Shabbat 90a:9:5,,"330 שבת צ. <b>מוחטין</b><br>מוקיי""ר mochier <b>למחוט (נר)</b><br><small>היום המלה הצרפתית שגורה במשמעות של קינוח האף (בממחטה). ור' מילונו של לוי (מס' 578).$
</small>","(90a:9:5) שמוחטין בו פתילות - ומנקבין ראשיהן לעדויי חושכן מוקיי""ר:"
"נישבין/לצי""ש",Shabbat 90b,Rashi on Shabbat 90b:3:5,,"331 שבת צ: <b>נישבין</b><br>לצי""ש laces <b>חבלים, לולאות (מלכודת)</b><br><small>$
</small>","(90b:3:5) לנישבין - לצוד עופות ובלע""ז ליצ""ש:"
"חלמה/שולדידור""א",Shabbat 91b,,Rashi on Shabbat 91b:11:2,"332 שבת צא: <b>חלמה</b><br>שולדידור""א soldedure <b>תפר</b><br><small>מלה במלה: ריתוך, ר' מילונו של לוי (מס' 734).$
</small>",(91b:11:2) הא איכא מקום חלמה - מקום התפירה שיכול לקרוע ולהוציא. חלמה שולדורא כמו בהעור והרוטב (חולין קכג.) שאני עור דחלים:
"שנצין/אישטירלי""ש",Shabbat 92a,,"Rashi on Shabbat 92a:1:4,
Rashi on Shabbat 92a:1:5,
Rashi on Shabbat 92a:1:3","333 שבת צב. <b>שנצין</b><br>אישטירלי""ש esterles <b>שנצים, שרוכים</b><br><small>$
</small>","(92a:1:4) מפיק ליה עד פומיה ושקיל - וכיון דמצי למשקלינהו קני ולענין שבת לא מיחייב עד דמפיק להו לשנצין דעל ידו הוא אגוד לרה""י שהרי לא יצאו: ,
(92a:1:5) ומכרכי עילויה - שאין יכול להוציאו בלא שנצין:,
(92a:1:3) ופרכינן וכיון דאיכא שנצין - רצועות שקורין אשטולד""ץ:"
"(מרפקו)[מרפק]/אישיל""א",Shabbat 92a,Rashi on Shabbat 92a:5:2,,"334 שבת צב. <b>(מרפקו)[מרפק]</b><br>אישיל""א aisele [aissele] <b>בית-שחי</b><br><small>ראה להלן מס' 2414.$
</small>","(92a:5:2) מרפקו - איישיל""א:"
"מלגז/פורק""א",Shabbat 92b,Rashi on Shabbat 92b:12:3,,"335 שבת צב: <b>מלגז</b><br>פורק""א forche <b>קלשון</b><br><small>$
</small>","(92b:12:3) מלגז - פורק""א בת ג' שיניים ומהפכין בה תבואה בגורן והוא מעמר דהוא אב מלאכה:"
"פונדאות/ברידי""ש",Shabbat 93a,Rashi on Shabbat 93a:7:3,,"336 שבת צג. <b>פונדאות</b><br>ברידי""ש brides <b>ארנקים הנסגרים בקשרי חוטים</b><br><small>$
</small>","(93a:7:3) פונדאות - כמין חריטין כיסים ארוכים ונותנין בהן מעות ובלעז בריד""ש וראויין לשמש שכיבה עם מלאכתן שיושב עליהם והם מלאות מעות ופותח פיהם ונוטל ואין צריך לומר לו עמוד ונעשה מלאכתנו:"
"סרק/טיפינו""ן",Shabbat 95a,Rashi on Shabbat 95a:1:3,,"337 שבת צה. <b>סרק</b><br>טיפינו""ן tifinon <b>אודם (לפרכוס הפנים)</b><br><small>ראה לעיל מס' 260.$
</small>","(95a:1:3) סרק - צבע אדום הוא הבא בקנים שקורין טיפוניי""ן:"
"דה""מ המחבץ (""כלי גמי ונותן הקפוי בתוכו ומי החלב…נוטפין"")/יונקיירי""ש",Shabbat 95a,,,"338 שבת צה. <b>דה""מ המחבץ (""כלי גמי ונותן הקפוי בתוכו ומי החלב…נוטפין"")</b><br>יונקיירי""ש jonchieres <b>כלי של קנים לייצור גבינה</b><br><small>מצוי בדפוס סונצינו, אבל לא בכתבי היד.$
</small>"
"בוכיאר/נביט""א",Shabbat 96b,,"Rashi on Shabbat 96b:11:3,
Rashi on Shabbat 96b:11:1","339 שבת צו: <b>בוכיאר</b><br>נביט""א naveta <b>בוכיאר (""סירה"" לאריגה)</b><br><small>נמצא רק בכתב-יד אחד, שיש בו השפעות איטלקיות או פרובנסאליות, וקבע בלונדהיים, שאין זו המלה הצרפתית navete, המתועדת רק מאז המאה הי""ג.$
</small>","(96b:11:3) בניסכא בתרא - בחוט האחרון של קנה שהקנה נשמט מהחוט והבוכיאר נופל:,
(96b:11:1) בוכיאר - כלי שקנה של ערב נתון בו שזורקין בין שני דופני היריעה:"
"מלקט ורהיטני/פליינ""א",Shabbat 97a,,Rashi on Shabbat 97a:17:3,"340 שבת צז. <b>מלקט ורהיטני</b><br>פליינ""א pleine [plaine] <b>מקצועה</b><br><small>ראה לעיל מס' 181.$
</small>","(97a:17:3) לפי שאי אפשר - להחליק רה""ר מגבשושית כאילו נלקטו במלקט ורהיטני פלי""ינה (מקצועה) בלע""ז והן בשני גווני כלים של עץ וברזל חד נעוץ בתוכו ובהן משוה פני רוחב הקרש ומחליקה הלכך גבשושיות נמי רה""ר:"
"אטבי/גלואו""ן",Shabbat 98b,Rashi on Shabbat 98b:1:1,,"341 שבת צח: <b>אטבי</b><br>גלואו""ן gloon <b>חתיכת-עץ כפופה בקצֶהָ</b><br><small>$
</small>","(98b:1:1) אמר שמואל ביתדות - לא היו מקורות מלמטה אלא יתדות היו וריוח ביניהן כעין אותן שלנו העשויות להביא עצים. ולי נראה פי' דאטבי כמו אטבא דספרי האמור במנחות (ד' לב.) והוא גלואו""ן בלע""ז שמבקע מקל אחד בראשו ונושך בו דפי הקונטרס והכי קאמר רב כהנא באטבי לא היה נותן ריוח בין כל סדרא וסדרא כדקאמרת דמתוך שהסדר גבוה ג' קרשים כל אחד רחבו אמה וחצי ומושבו קצר שהוא אמה של עובי ותו לא הרי הן נופלות זו על זו אלא מושיב שתי שורות של שלש שנים זו אצל זו כמין אטבי ששתי צלעות האטבא סמוכות זו לזו כן מושיב לראש העגלה האחת ומחזיקות זו את זו ונמצא מקום מושב הסדר ב' אמות וכן עושה לראש השני ואמת הריוח באמצע ופרכינן היכא מנח להו לקרשים אגבה דעגלה והא עגלה גופה מקורה הואי ותינח צידיהן וביניהן כו' כדפרי' וללשון רבותי אין לשון הגירסא נראה כפירושן ולמה הוזכרו אותן טבעות כאן לשלחופינהו לקרשים שבשני סדרים הפנימית שלא יהו טבעותיהן מכוונין זו כנגד זו:"
"רקק/גרביל""א",Shabbat 100b,Rashi on Shabbat 100b:2:2,,"342 שבת ק: <b>רקק</b><br>גרביל""א gravele <b>חול, חצץ (שנתערבו בהם מים)</b><br><small>$
</small>","(100b:2:2) רקק - גרביל""א:"
"ביצאתה/קויי""ט",Shabbat 101a,Rashi on Shabbat 101a:2:1,,"343 שבת קא. <b>ביצאתה</b><br>קויי""ט cojet <b>סירונת (סירה קטנה)</b><br><small>ר' להלן המס' 1642 ובמס2 2030 צורה יותר חדישה, eoehet (1642 אינו מרש""י, אלא מנכדו הרשב""ם, שהשלים את הפירוש על מסכת בבא בתרא, אחרי פטירת סבו). ור' מילונו של לוי (מס' 786), הגורס cafete (קפיט""א).$
</small>","(101a:2:1) ביצאתא - ספינות קטנות וקצרות מלמטה עד כחודו של סכין שקורין קוייט""י:"
"סרבל/מנטי""ל",Shabbat 101b,Rashi on Shabbat 101b:6:1,,"344 שבת קא: <b>סרבל</b><br>מנטי""ל mantel <b>גלימה</b><br><small>$
</small>","(101b:6:1) בחוט הסרבל - שקושרין בו את בית הצואר שקורין מונטי""ל:"
פטיש/פיק,Shabbat 102b,Rashi on Shabbat 102b:1:3,,"345 שבת קב: <b>פטיש</b><br>פיק pic <b>מעדר</b><br><small>$
</small>","(102b:1:3) המכה בפטיש - גם הוא באבות מלאכות והוא בלעז פי""ק (מעדר) שמפוצץ בו את האבן מן הסלע לאחר שחצב את האבן סביב ומבדיל מן ההר קצת הוא מכה בפטיש מכה גדולה והיא מתפרקת ונופלת וזהו גמר מלאכה של חוצבי אבן וכל הגומר בשבת מלאכה תולדת מכה בפטיש היא:"
"סדן/אינקלומ""א",Shabbat 102b,Rashi on Shabbat 102b:1:9,,"346 שבת קב: <b>סדן</b><br>אינקלומ""א enclume <b>סדן</b><br><small>$
</small>","(102b:1:9) על הסדן - בלע""ז אינקלימ""א:"
"קורנס/מרטי""ל",Shabbat 102b,Rashi on Shabbat 102b:1:10,,"347 שבת קב: <b>קורנס</b><br>מרטי""ל martel <b>פטיש</b><br><small>$
</small>","(102b:1:10) קורנס - מרטי""ל:"
"חלודה/רדויל""א",Shabbat 102b,,Rashi on Shabbat 102b:2:1,"348 שבת קב: <b>חלודה</b><br>רדויל""א redoile [redoille] <b>חלודה</b><br><small>ראה לעיל מס' 200.$
</small>","(102b:2:1) גמ' דמשתכי - מעלין חלודה המחטין רואי""ל:"
"פטפוטי/טריפיי""ד",Shabbat 102b,Rashi on Shabbat 102b:2:2,,"349 שבת קב: <b>פטפוטי</b><br>טריפיי""ד trepied <b>חצובה (בעלת שלוש רגליים)</b><br><small>$
</small>","(102b:2:2) פטפוטי - רגלי כירה כמין כלי ברזל שקורין טרפיי""ד מעמידין הכירה של חרס:"
"שופתא/קוי""ן",Shabbat 102b,Rashi on Shabbat 102b:2:2,"Rashi on Shabbat 102b:8:1,
Rashi on Shabbat 102b:6:5","350 שבת קב: <b>שופתא</b><br>קוי""ן coin <b>טריז</b><br><small>$
</small>","(102b:2:2) פטפוטי - רגלי כירה כמין כלי ברזל שקורין טרפיי""ד מעמידין הכירה של חרס:"
"מרא/פושיו""ר",Shabbat 102b,Rashi on Shabbat 102b:6:7,,"351 שבת קב: <b>מרא</b><br>פושיו""ר fosoir [fossoir] <b>מכוש</b><br><small>ראה לעיל מס' 70.$
</small>","(102b:6:7) מרא - בלע""ז פושי""ר:"
"עולשין/קרישפיל""א",Shabbat 103a,Rashi on Shabbat 103a:6:1,,"352 שבת קג. <b>עולשין</b><br>קרישפיל""א crespele [crespele] <b>עולש</b><br><small>לא מצאנו את המלה במילונים; עם זאת ברור, שמדובר בירק ""מסולסל “ (ר' לעיל מס' 84 ולהלן מס' 1206), וסביר מאוד, שהוא מה שאנו קוראים היום עולש (כך במילונו של לוי, מס' 258). בלונדהיים מתרגם ""מין צמח"". יש להניח, שהמלה מוטעמת על ההברה הראשונה.$
</small>","(103a:6:1) עולשין - עשב שקורין קרישפ""ל:"
"דה""מ כיון דאיתא/לטי""ן",Shabbat 103b,Rashi on Shabbat 103b:6:3,,"353 שבת קג: <b>דה""מ כיון דאיתא</b><br>לטי""ן latin <b>לטינית</b><br><small>$
</small>","(103b:6:3) כיון דאיתא בגלטורי - קמיעות וכתבים של מכשפות ושל שמות קורין בלשון לטי""ן של מינין קלוטרוס ורגילין סופרין לכתוב בהן תיבות של שתי אותיות ואינם תיבות במקום אחר:"
"גלטורי/קלטירי""ש",Shabbat 103b,,Rashi on Shabbat 103b:6:3,"354 שבת קג: <b>גלטורי</b><br>קלטירי""ש calateres <b>סימנים (של כישוף)</b><br><small>כפי הנראה זו המלה characteres, שנשאלה מהיוונית ללטינית, ועד היום משמשת בהרבה שפות אירופה בשני מובנים: (א)סימני כתב, אותיות, (ב) סימני זיהוי, דהיינו אופי, אין לראות קושי בכך, שהנוסח ברש""י משובש לגבי הלטינית הנכונה כהגייתה; הרי הוא אומר בעצמו ""בלטינית של גויים (בדפוסים: מינין)"", כלומר בלשון המדוברת של המשכילים, שכידוע לא הייתה טהורה ביותר בימי הביניים. ובפרט שרש""י רוצה להסביר, ש-calateres ו""גלטורי"" ממוצא אחד הן.$
</small>","(103b:6:3) כיון דאיתא בגלטורי - קמיעות וכתבים של מכשפות ושל שמות קורין בלשון לטי""ן של מינין קלוטרוס ורגילין סופרין לכתוב בהן תיבות של שתי אותיות ואינם תיבות במקום אחר:"
"סמא/אורפימינ""ט",Shabbat 104b,Rashi on Shabbat 104b:3:1,,"355 שבת קד: <b>סמא</b><br>אורפימינ""ט orpiment <b>צבע צהוב (העשוי מזרניך גפרי)</b><br><small>המלה הצרפתית, לפי הרכבה, פירושה ""צבע זהב"". ר' להלן מס' 2220.$
</small>","(104b:3:1) גמ' סמא - אורפימינ""ט:"
"סקרתא/מיני""א",Shabbat 104b,Rashi on Shabbat 104b:3:2,,"356 שבת קד: <b>סקרתא</b><br>מיני""א minie <b>צבע אדום (עשוי מתחמוצת העופרת)</b><br><small>ראה להלן מס' 1259.$
</small>","(104b:3:2) סקרתא - אימני""א צבע אדום שצובעין בה תריסין:"
"קומא/גומ""א",Shabbat 104b,Rashi on Shabbat 104b:3:3,,"357 שבת קד: <b>קומא</b><br>גומ""א gome <b>שרף (של אילן)</b><br><small>המלה הארמית והמלה הצרפתית הן מאותו גזרון, שמוצאו כפי הנראה ממצרים העתיקה.$
</small>",(104b:3:3) קומא - גומא שרף אילן:
"חרתא/אדרימינ""ט",Shabbat 104b,Rashi on Shabbat 104b:3:4,,"358 שבת קד: <b>חרתא</b><br>אדרימינ""ט adrement <b>צבע שחור (העשוי מנחושת גפרתית)</b><br><small>הסבר מפורט על המלה ומשמעותה מצוי אצל בלונדהיים ב' (ע' 59-54). ועיין גם בתוספות כאן דה""מ ""שיחור"" ובעיקר בגיטין יט. דה""מ ""קנקנתום"".$
</small>","(104b:3:4) חרתא דאושכפי - ארמינ""ט:"
"עפצים/גלי""ש",Shabbat 104b,Rashi on Shabbat 104b:4:3,,"359 שבת קד: <b>עפצים</b><br>גלי""ש gales <b>עפצים (גידולים טפיליים בעלה האלון)</b><br><small>$
</small>","(104b:4:3) אפצא - מי עפצים גל""ש:"
"שיחור/אדרימינ""ט",Shabbat 104b,Rashi on Shabbat 104b:4:6,,"360 שבת קד: <b>שיחור</b><br>אדרימינ""ט adrement <b>צבע שחור</b><br><small>ראה לעיל מס' 358.$
</small>","(104b:4:6) שיחור - אדרמינ""ט:"
"נירה/ליצ""א",Shabbat 105a,Rashi on Shabbat 105a:9:4,,"361 שבת קה. <b>נירה</b><br>ליצ""א lice <b>ניר</b><br><small>ראה לעיל מס' 272.$
</small>","(105a:9:4) בתי נירין - שנתן ב' חוטין של שתי בנירה שקורין ליצי""ש:"
"אימרא/לישט""א",Shabbat 105a,"Rashi on Shabbat 105a:13:3,
Rashi on Shabbat 105a:13:1,
Rashi on Shabbat 105a:13:2","Rashi on Shabbat 105a:12:2,
Rashi on Shabbat 105a:3:1","362 שבת קה. <b>אימרא</b><br>לישט""א liste [lista] <b>שפה, אמרה</b><br><small>המלה, המופיעה בכתב-יד אחד בלבד, ואינה נמצאת בדפוסים, אינה מרש""י, ובלונדהיים משער, שאינה צרפתית, אלא איטלקית או פרובנסאלית (lista).$
</small>","(105a:13:3) מצוביתא - ביריעת גרדין האורגין ברגל הוא וקורין לימיי""ש והיא במקום הקנה העולה ויורד ביריעת אריגת נשים שקורין פריש""א:,
(105a:13:1) תרתי בבתי נירא וחדא בנירא - ב' פעמי' מרכיב לחוט של שתי בבת נירא דהיינו שקורין ליצ""א:,
(105a:13:2) ואחת בנירא - ופעם שלישית מרכיבו על חוט הנירא שקורין ליצ""א המורכב על הקנה:"
"בית נירא/פייצ""א",Shabbat 105a,Rashi on Shabbat 105a:13:1,,"363 שבת קה. <b>בית נירא</b><br>פייצ""א piece <b>גדָד (קצה חוט השתי, הנקשר לכובד עליון של הנול)</b><br><small>בדפוסי התלמוד רשום כאן בטעות, המסתברת מדמיון המלים בכתיבתן, ליצ""א lice (ר' לעיל מס' 361 ולהלן מס' 364) במקום פיצ""א=פייצא. לוי במילונו (מס' 786 ור' גם מס' 631) מחזק את הגרסה lice. הוא מביא, לפי תוספות ר' שמשון משנץ, גם את הגרסה פיינ""א peine (בצרפתית של היום: penne) במשמעות קרובה, וכך אפשר לראות בגרסה פיצ""א, פייצ""א בלבול של ליצ""א עם פיינ""א.$
</small>","(105a:13:1) תרתי בבתי נירא וחדא בנירא - ב' פעמי' מרכיב לחוט של שתי בבת נירא דהיינו שקורין ליצ""א:"
"נירא/ליצ""א",Shabbat 105a,"Rashi on Shabbat 105a:13:1,
Rashi on Shabbat 105a:13:2",,"364 שבת קה. <b>נירא</b><br>ליצ""א lice <b>ניר</b><br><small>ראה לעיל מס' 272.$
</small>","(105a:13:1) תרתי בבתי נירא וחדא בנירא - ב' פעמי' מרכיב לחוט של שתי בבת נירא דהיינו שקורין ליצ""א:,
(105a:13:2) ואחת בנירא - ופעם שלישית מרכיבו על חוט הנירא שקורין ליצ""א המורכב על הקנה:"
"מצוביתא/ליאיי""ש",Shabbat 105a,Rashi on Shabbat 105a:9:4,Rashi on Shabbat 105a:13:3,"365 שבת קה. <b>מצוביתא</b><br>ליאיי""ש דוושה (במתקן הטוויה של הגברים) <b>lieis [ ]</b><br><small>המלה אינה מופיעה בכתבי-היד, אלא רק במהדורת סונצינו (לימיי""ש), ומכאן שאינה מאת רש""י. בלונדהיים השאיר את המלה בסימן שאלה, אך ייתכן שמדובר ב-liais (לפי שיטת הכתיב שלי: lieis), שבלונדהיים מזכיר אותה דווקא בניירות ההכנה שלו לגבי מס' 366 שלנו, והוא מוט להפעלת מתקן האריגה, וכפי הנראה גם מתקן הטוויה.$
</small>","(105a:9:4) בתי נירין - שנתן ב' חוטין של שתי בנירה שקורין ליצי""ש:"
"דה""מ מצוביתא/פריש""א",Shabbat 105a,Rashi on Shabbat 105a:13:3,,"366 שבת קה. <b>דה""מ מצוביתא</b><br>פריש""א דוושה (במתקן הטוויה של הנשים) <b>prese [presse]</b><br><small>המלה אינה מופיעה בכתבי-היד, אלא רק במהדורת בומברג, ומכאן שאינה מאת רש""י.$
</small>","(105a:13:3) מצוביתא - ביריעת גרדין האורגין ברגל הוא וקורין לימיי""ש והיא במקום הקנה העולה ויורד ביריעת אריגת נשים שקורין פריש""א:"
"מגדל/מישטיי""ר",Shabbat 106a,Rashi on Shabbat 106a:7:1,,"367 שבת קו. <b>מגדל</b><br>מישטיי""ר mestier <b>מזנון לשמירת אוכל</b><br><small>$
</small>","(106a:7:1) מתני' הצד צפור - עד שהכניסו למגדל משטיי""ר בלע""ז חייב דזו היא צידתו אבל אם הכניסו לבית אינו ניצוד בכך שיוצא לו דרך חלונות:"
"מורסא/קויטור""א",Shabbat 107a,Rashi on Shabbat 107a:3:1,,"368 שבת קז. <b>מורסא</b><br>קויטור""א cuiture <b>כוויה (פצע מזוהם)</b><br><small>$
</small>","(107a:3:1) המפיס - מבקע מורסא קויטור""א:"
"טפויין/שיירונ""ש",Shabbat 107b,,Rashi on Shabbat 107b:7:1,"369 שבת קז: <b>טפויין</b><br>שיירונ""ש seirons <b>חרקים זעירים ביותר (אקריות הגבינה?)</b><br><small>מאז מהדורת סונצינו נהפכה המלה הלועזית מתוך טעות למלה העברית ""שירוץ"" מחמת העניין.$
</small>",(107b:7:1) הטפויין - שירוץ הטפויין וביצי כינים מתניתא היא ולא ידענא היכא תניא:
"כשותא/הומלו""ן",Shabbat 107b,Rashi on Shabbat 107b:12:3,,"370 שבת קז: <b>כשותא</b><br>הומלו""ן homlon <b>כּשׁוּת (צמח, שממנו מכינים את הבירה)</b><br><small>ר' מילונו של לוי (מס' 511).$
</small>",(107b:12:3) כשותא - הומלון וגדל מתוך ההיזמי מריח הקרקע שההיזמי יונק ממנו:
"פטריות/בוליי""ץ",Shabbat 108a,,Rashi on Shabbat 108a:1:1,"371 שבת קח. <b>פטריות</b><br>בוליי""ץ boleiz <b>פטריות</b><br><small>ר' בלונדהיים ב' (ע' 130-129).$
</small>","(108a:1:1) פיטרא - פטריות בולי""ן:"
"כנפי הגוף/פלומי""ש",Shabbat 108a,,Rashi on Shabbat 108a:3:1,"372 שבת קח. <b>כנפי הגוף</b><br>פלומי""ש plumes <b>נוצות (הגדולות)</b><br><small>להבדיל מהפלומה (מאותו גזרון!), הנוצות הקטנות המכסות את כל הגוף.$
</small>","(108a:3:1) בכנפיו - בעולת העוף משתעי שישסענו בעוד כנפיו בו ומקטים כנפיו כל כנפי הגוף בלו""ש בלע""ז נוצה הוא הדקה שהיא בבשר כמין צמר שאין לה שרשים קשים:"
