French Word (en),French Word (he),Tanakh Ref,Rashi Matches
perdriz,"פירדרי""ץ",I Samuel 26:20,['Rashi on I Samuel 26:20:1']
glapir,"גלפי""ר",II Samuel 5:24,['Rashi on II Samuel 5:24:2']
porceint,"פורציינ""ט",II Samuel 6:14,['Rashi on II Samuel 6:14:2']
aguilon,"אגוילו""ן",II Samuel 8:1,['Rashi on II Samuel 8:1:2']
lime,"לימ""א",II Samuel 12:31,['Rashi on II Samuel 12:31:1']
e ke non parolt,"א""י ק""י נו""ן פרול""ט",II Samuel 14:13,[]
en mes aises,"אי""ן מי""ש אישי""ש",II Samuel 14:30,[]
gernon,"גירנו""ן",II Samuel 19:25,['Rashi on II Samuel 19:25:2']
arestuel,"ארישטוי""ל",II Samuel 21:16,['Rashi on II Samuel 21:16:1']
helmes,"הילמי""ש",II Samuel 21:16,['Rashi on II Samuel 21:16:1']
ensoble,"אינשובל""א",II Samuel 21:19,['Rashi on II Samuel 21:19:3']
pleisiz,"פליישי""ץ",II Samuel 22:2,['Rashi on II Samuel 22:2:1']
abriement,"אבריאימינ""ט",II Samuel 22:3,[]
fleistre,"פליישטר""א",II Samuel 22:46,[]
chardon,"קרדו""ן",II Samuel 23:6,['Rashi on II Samuel 23:6:1']
chalemels,"קלימיל""ש",I Kings 1:40,[]
wlos,"ולו""ס",I Kings 5:23,[]
depecier,"דיפיציי""ר",I Kings 5:23,['Rashi on I Kings 5:23:3']
rez,"רי""ץ",I Kings 2:23,[]
apentiz,"אפינטי""ץ",I Kings 6:5,['Rashi on I Kings 6:5:1']
,"דלוט""א",I Kings 6:7,['Rashi on I Kings 6:7:2']
wendelstein,"וינדילשטיי""ן",I Kings 6:8,['Rashi on I Kings 6:8:3']
wiz,"וי""ץ",I Kings 6:8,[]
celed,"צילי""ד",I Kings 6:9,['Rashi on I Kings 6:9:2']
hemle,"הימל""י",I Kings 6:9,[]
lemoisels,"לימוישיל""ש",I Kings 6:18,['Rashi on I Kings 6:18:1']
pomels,"פומיל""ש",I Kings 7:16,['Rashi on I Kings 7:16:1']
tresjeted,"טרישייטי""ד",I Kings 7:16,['Rashi on I Kings 7:16:2']
coife,"קויפ""א",I Kings 7:17,['Rashi on I Kings 7:17:1']
soldedure,"שולדידור""א",I Kings 7:24,[]
aisil,"אישי""ל",I Kings 7:28,['Rashi on I Kings 7:28:2']
soldure,"שולדור""א",I Kings 7:29,['Rashi on I Kings 7:29:5']
aisil,"אישי""ל",I Kings 7:32,[]
reis,"ריי""ש",I Kings 7:33,"['Rashi on I Kings 7:33:5', 'Rashi on I Kings 7:33:3']"
soldure,"שולדור""א",I Kings 7:36,['Rashi on I Kings 7:36:3']
wadil,"ודי""ל",I Kings 7:40,[]
sibler,"שיבלי""ר",I Kings 9:8,[]
coral,"קור""ל",I Kings 10:11,[]
garantie,"גרנטיא""ה",I Kings 10:15,['Rashi on I Kings 10:15:3']
Afrikie,"אפריקי""א",I Kings 10:22,[]
eglentier,"איגלינטיי""ר",I Kings 12:11,['Rashi on I Kings 12:11:1']
controver,"קונטרובי""ר",I Kings 12:33,['Rashi on I Kings 12:33:2']
boteile,"בוטייל""א",I Kings 17:12,['Rashi on I Kings 17:12:3']
fosed,"פושי""ד",I Kings 18:32,[]
jeneivre,"יינייבר""א",I Kings 19:4,['Rashi on I Kings 19:4:1']
achaleir,"אקליי""ר",I Kings 22:3,[]
gradil,"גרדי""ל",II Kings 1:2,[]
aledoir,"אלידוי""ר",II Kings 1:2,[]
lates,"לטי""ש",II Kings 1:2,[]
prodne,"פרודנ""א",II Kings 1:2,[]
wiz,"וי""ץ",II Kings 1:2,[]
wendelstein,"וינדילשטיי""ן",II Kings 1:2,[]
cueilir,"קויילי""ר",II Kings 2:8,[]
semanciee,"שימנצייא""ה",II Kings 3:19,[]
marche,"מרק""א",II Kings 3:21,['Rashi on II Kings 3:21:1']
oruge,"אורוג""א",II Kings 4:39,['Rashi on II Kings 4:39:1']
boleiz,"בוליי""ץ",II Kings 4:39,['Rashi on II Kings 4:39:3']
soheidement,"שוהיידימינ""ט",II Kings 5:3,['Rashi on II Kings 5:3:2']
salud,"שלו""ד",II Kings 5:15,['Rashi on II Kings 5:15:1']
arpent,"ארפינ""ט",II Kings 5:19,['Rashi on II Kings 5:19:1']
brides,"ברידי""ש",II Kings 5:23,[]
cran,"קר""ן",II Kings 9:13,[]
moncels,"מונציל""ש",II Kings 10:8,['Rashi on II Kings 10:8:1']
barned,"ברני""ד",II Kings 11:4,['Rashi on II Kings 11:4:1']
aisances,"אישנצי""ש",II Kings 11:16,['Rashi on II Kings 11:16:1']
contrarios,"קונטריו""ש",II Kings 14:26,['Rashi on II Kings 14:26:1']
fosed,"פושי""ד",II Kings 18:17,[]
gajer,"גיי""ר",II Kings 18:23,['Rashi on II Kings 18:23:2']
aprover,"אפרובי""ר",II Kings 19:4,['Rashi on II Kings 19:4:1']
estormir,"אישטורמי""ר",II Kings 19:27,['Rashi on II Kings 19:27:2']
oriloje,"אורילוי""ר",II Kings 20:9,['Rashi on II Kings 20:9:1']
tintiner,"טינטיני""ר",II Kings 21:12,['Rashi on II Kings 21:12:1']
coife,"קויפ""א",II Kings 25:17,[]
pesant,"פישנ""ט",Isaiah 1:4,['Rashi on Isaiah 1:4:2']
pesantume,"פישנטומ""א",Isaiah 1:4,['Rashi on Isaiah 1:4:2']
demaciede,"דימצייד""א",Isaiah 1:6,['Rashi on Isaiah 1:6:5']
demaciede,"דימצייד""א",Isaiah 1:6,['Rashi on Isaiah 1:6:5']
moiste,"מוישט""א",Isaiah 1:6,['Rashi on Isaiah 1:6:5']
savon,"שבו""ן",Isaiah 1:25,['Rashi on Isaiah 1:25:1']
estein,"אישטיי""ן",Isaiah 1:25,['Rashi on Isaiah 1:25:2']
olme,"אולמ""א",Isaiah 1:29,['Rashi on Isaiah 1:29:1']
flatisant,"פלטישנ""ט",Isaiah 1:30,['Rashi on Isaiah 1:30:1']
estencele,"אישטינציל""א",Isaiah 1:31,['Rashi on Isaiah 1:31:2']
coltres,"קולטרי""ש",Isaiah 2:4,['Rashi on Isaiah 2:4:1']
sarpes,"שרפי""ש",Isaiah 2:4,['Rashi on Isaiah 2:4:2']
debatement,"דיבטימינ""ט",Isaiah 2:6,['Rashi on Isaiah 2:6:3']
talpes,"טלפי""ש",Isaiah 2:20,['Rashi on Isaiah 2:20:1']
chalve soriz,"קלב""א שורי""ץ",Isaiah 2:20,['Rashi on Isaiah 2:20:2']
feilance,"פיילנצ""א",Isaiah 3:6,['Rashi on Isaiah 3:6:3']
mostnices,"מושטניצי""ש",Isaiah 3:19,[]
orfreis,"אורפריי""ש",Isaiah 3:20,[]
nosches,"נושקי""ש",Isaiah 3:20,['Rashi on Isaiah 3:20:4']
miredoirs,"מירידויר""ש",Isaiah 3:23,[]
molekin,"מוליקי""ן",Isaiah 3:23,['Rashi on Isaiah 3:23:3']
fermeilz,"פירמייל""ץ",Isaiah 3:23,[]
batediz,"בטידי""ץ",Isaiah 3:24,['Rashi on Isaiah 3:24:3']
talent,"טלינ""ט",Isaiah 4:4,['Rashi on Isaiah 4:4:4']
descombrement,"דישקומברימינ""ט",Isaiah 4:4,['Rashi on Isaiah 4:4:5']
lanbruises,"לנברוישי""ש",Isaiah 5:4,[]
arpent,"ארפינ""ט",Isaiah 5:10,['Rashi on Isaiah 5:10:2']
chalemel,"קלימי""ל",Isaiah 5:12,[]
justice,"יושטיצ""א",Isaiah 5:16,['Rashi on Isaiah 5:16:1']
perche,"פירק""א",Isaiah 5:26,['Rashi on Isaiah 5:26:1']
sibler,"שיבלי""ר",Isaiah 5:26,['Rashi on Isaiah 5:26:2']
esmucier,"אישמוציי""ר",Isaiah 5:29,['Rashi on Isaiah 5:29:2']
יהיה נבחן (=ייבחן),"איר""ט אישגרדי""ד",Isaiah 5:30,['Rashi on Isaiah 5:30:3']
engreisant,"אינגריישנ""ט",Isaiah 6:10,['Rashi on Isaiah 6:10:1']
posad,"פוש""ד",Isaiah 7:2,[]
fosed,"פושי""ד",Isaiah 7:3,['Rashi on Isaiah 7:3:2']
tisons,"טישונ""ש",Isaiah 7:4,['Rashi on Isaiah 7:4:2']
broces,"ברוצי""ש",Isaiah 7:19,['Rashi on Isaiah 7:19:3']
fosoir,"פושוי""ר",Isaiah 7:25,['Rashi on Isaiah 7:25:2']
arc wolud,"אר""ק וולו""ד",Isaiah 9:13,[]
cuider,"קוידי""ר",Isaiah 10:7,[]
ניפוח גדולה,"קריישמינ""ט ד""י גרנדיצ""א",Isaiah 10:12,['Rashi on Isaiah 10:12:2']
wantance,"ונטנצ""א",Isaiah 10:12,[]
plusors,"פלושור""ש",Isaiah 10:13,['Rashi on Isaiah 10:13:3']
doledoire,"דולידויר""א",Isaiah 10:15,[]
sere,"שיר""א",Isaiah 10:15,['Rashi on Isaiah 10:15:1']
esbranjier,"אישברניי""ר",Isaiah 10:34,[]
וימלא אותו רוח (או: ריח),"אי""ד אינושמיר""א לו""י",Isaiah 11:3,[]
crot,"קרו""ט",Isaiah 11:8,['Rashi on Isaiah 11:8:2']
perche,"פירק""א",Isaiah 11:12,['Rashi on Isaiah 11:12:1']
acoilid,"אקוילי""ד",Isaiah 13:15,['Rashi on Isaiah 13:15:2']
martrins,"מרטרינ""ש",Isaiah 13:21,['Rashi on Isaiah 13:21:1']
aboater,"אבואטי""ר",Isaiah 14:16,['Rashi on Isaiah 14:16:1']
porpanser,"פורפנשי""ר",Isaiah 14:16,['Rashi on Isaiah 14:16:2']
hericon,"היריצו""ן",Isaiah 14:23,['Rashi on Isaiah 14:23:1']
escover,"אישקובי""ר",Isaiah 14:23,['Rashi on Isaiah 14:23:2']
dereisnemen,"דיריישנימינ""ט",Isaiah 16:3,[]
chardons,"קרדונ""ש",Isaiah 17:13,['Rashi on Isaiah 17:13:3']
sarpes,"שרפי""ש",Isaiah 18:5,['Rashi on Isaiah 18:5:4']
ceps,"ציפו""ש",Isaiah 18:5,['Rashi on Isaiah 18:5:5']
Aim,"אי""ם",Isaiah 19:8,[]
escluse,"אישקלוש""א",Isaiah 19:10,['Rashi on Isaiah 19:10:1']
wantance,"ונטנצ""א",Isaiah 20:5,[]
sospirdiz,"שושפירדי""ץ",Isaiah 21:2,[]
cuivre,"קויבר""א",Isaiah 22:6,['Rashi on Isaiah 22:6:1']
pelote,"פילוט""א",Isaiah 22:18,['Rashi on Isaiah 22:18:2']
berfred,"בירפרי""ד",Isaiah 23:13,[]
aveirement,"אביירימינ""ט",Isaiah 25:1,['Rashi on Isaiah 25:1:2']
contrepeis,"קונטריפיי""ש",Isaiah 26:7,['Rashi on Isaiah 26:7:2']
winos,"וינו""ש",Isaiah 27:2,[]
asomeil,"אשומיי""ל",Isaiah 28:15,['Rashi on Isaiah 28:15:2']
justice,"יושטיצ""א",Isaiah 28:17,['Rashi on Isaiah 28:17:3']
estendeilier,"אישטינדייליי""ר",Isaiah 28:20,['Rashi on Isaiah 28:20:2']
laborer,"לבורי""ר",Isaiah 28:21,['Rashi on Isaiah 28:21:3']
cenbel,"צינבי""ל",Isaiah 29:7,['Rashi on Isaiah 29:7:2']
abrier,"אבריאי""ר",Isaiah 30:2,['Rashi on Isaiah 30:2:3']
destorber,"דישטורבי""ר",Isaiah 30:2,[]
haldrobe,"חלדרוב""א",Isaiah 30:6,['Rashi on Isaiah 30:6:4']
espuisier,"אישפוישיי""ר",Isaiah 30:14,[]
mast,"מש""ט",Isaiah 30:17,['Rashi on Isaiah 30:17:3']
pele,"פיל""א",Isaiah 30:24,['Rashi on Isaiah 30:24:4']
wan,"ו""ן",Isaiah 30:24,['Rashi on Isaiah 30:24:5']
waner,"וני""ר",Isaiah 30:28,['Rashi on Isaiah 30:28:2']
frein,"פריי""ן",Isaiah 30:28,[]
posement,"פושימינ""ט",Isaiah 30:30,['Rashi on Isaiah 30:30:1']
esmucier,"אישמוציי""ר",Isaiah 31:5,['Rashi on Isaiah 31:5:2']
"הוכחה, טענה","דיריישנימינ""ט",Isaiah 32:7,[]
jutement,"יויימינ""ט",Isaiah 32:7,[]
justice,"יושטיצ""א",Isaiah 32:7,['Rashi on Isaiah 32:7:1']
escot,"אישקו""ט",Isaiah 33:15,['Rashi on Isaiah 33:15:2']
combes,"קומבי""ש",Isaiah 33:20,[]
cuete,"צואיט""ה",Isaiah 34:11,['Rashi on Isaiah 34:11:1']
orties,"אורטיא""ש",Isaiah 34:13,['Rashi on Isaiah 34:13:1']
martrins,"מרטרינ""ש",Isaiah 34:14,['Rashi on Isaiah 34:14:1']
clocier,"קלוציי""ר",Isaiah 34:15,['Rashi on Isaiah 34:15:5']
wolltoirs,"וולטויר""ש",Isaiah 34:15,['Rashi on Isaiah 34:15:6']
fosed,"פושי""ד",Isaiah 36:2,['Rashi on Isaiah 36:2:1']
chemin,"קימי""ן",Isaiah 36:2,[]
gajer,"גיי""ר",Isaiah 36:8,['Rashi on Isaiah 36:8:1']
entendons,"אינטינדונ""ש",Isaiah 36:11,[]
tabahie,"טבחי""א",Isaiah 36:12,['Rashi on Isaiah 36:12:3']
salud,"שלו""ד",Isaiah 36:16,['Rashi on Isaiah 36:16:2']
esprovement,"אישפרובימינ""ט",Isaiah 37:3,['Rashi on Isaiah 37:3:1']
esprover,"אישפרובי""ר",Isaiah 37:4,['Rashi on Isaiah 37:4:1']
donant,"דוננ""ט",Isaiah 37:19,['Rashi on Isaiah 37:19:1']
estoble,"אישטובל""א",Isaiah 37:27,['Rashi on Isaiah 37:27:2']
pedriere,"פידרייר""א",Isaiah 37:33,['Rashi on Isaiah 37:33:3']
garantie,"גרנטיא""ה",Isaiah 38:14,['Rashi on Isaiah 38:14:3']
ensenier,"אינשיניי""ר",Isaiah 38:19,[]
chanpanie,"קנפני""א",Isaiah 40:4,['Rashi on Isaiah 40:4:4']
amolas,"אמול""ד",Isaiah 40:12,[]
limonede,"לימוניד""א",Isaiah 40:15,['Rashi on Isaiah 40:15:2']
compas,"קומפ""ש",Isaiah 40:22,['Rashi on Isaiah 40:22:1']
teile,"טייל""א",Isaiah 40:22,['Rashi on Isaiah 40:22:3']
enracinant,"אינרציננ""ט",Isaiah 40:24,['Rashi on Isaiah 40:24:3']
soldedure,"שולדידור""א",Isaiah 41:7,[]
werminiers,"וירמינייר""ש",Isaiah 41:14,[]
lime,"לימ""א",Isaiah 41:15,['Rashi on Isaiah 41:15:1']
troil,"טרוי""ל",Isaiah 41:15,[]
Wenize,"ויניז""א",Isaiah 42:10,[]
charbon,"קרבו""ן",Isaiah 44:12,['Rashi on Isaiah 44:12:3']
martel,"מרטי""ל",Isaiah 44:12,['Rashi on Isaiah 44:12:4']
soledoire,"דולידויר""א",Isaiah 44:13,[]
compas,"קומפ""ש",Isaiah 44:13,['Rashi on Isaiah 44:13:4']
plancon,"פלנצו""ן",Isaiah 44:14,['Rashi on Isaiah 44:14:4']
porwantront,"פורונטרונ""ט",Isaiah 45:25,[]
acropid sei…conchiad sei,"אקרופי""ד שי""י… קונקיא""ד שי""י",Isaiah 46:1,[]
fleiel,"פליי""ל",Isaiah 46:6,['Rashi on Isaiah 46:6:2']
enweisiede,"אינוישייד""א",Isaiah 47:10,['Rashi on Isaiah 47:10:1']
cler,"קלי""ר",Isaiah 49:2,['Rashi on Isaiah 49:2:3']
cuivre,"קויבר""א",Isaiah 49:2,[]
solete,"שוליט""א",Isaiah 49:21,[]
perche,"פירק""א",Isaiah 49:22,['Rashi on Isaiah 49:22:2']
aisele,"אישיל""א",Isaiah 49:22,['Rashi on Isaiah 49:22:3']
justice,"יושטיצ""א",Isaiah 51:5,['Rashi on Isaiah 51:5:1']
froncir,"פרונצי""ר",Isaiah 51:15,['Rashi on Isaiah 51:15:1']
entomisment,"אינטומישמינ""ט",Isaiah 51:17,['Rashi on Isaiah 51:17:3']
agoter,"אגוטי""ר",Isaiah 51:17,['Rashi on Isaiah 51:17:4']
pasmer,"פשמי""ר",Isaiah 51:20,['Rashi on Isaiah 51:20:1']
crosler,"קרושלי""ר",Isaiah 51:23,['Rashi on Isaiah 51:23:1']
escodre,"אישקודר""א",Isaiah 52:2,['Rashi on Isaiah 52:2:1']
conjongles,"קוניונגלי""ש",Isaiah 52:2,[]
esprier,"אישפריאי""ר",Isaiah 53:6,['Rashi on Isaiah 53:6:2']
sorparlez,"שורפרלי""ץ",Isaiah 53:7,['Rashi on Isaiah 53:7:2']
amende,"אמינד""א",Isaiah 53:10,[]
cheviles,"קיבילי""ש",Isaiah 54:2,[]
charboncle,"קרבונקל""א",Isaiah 54:12,['Rashi on Isaiah 54:12:3']
engres talent,"אינגרי""ש טלינ""ט",Isaiah 56:11,[]
aise,"איש""א",Isaiah 57:8,['Rashi on Isaiah 57:8:6']
feilanz,"פיילנ""ץ",Isaiah 57:11,[]
aim,"אי""ם",Isaiah 58:5,['Rashi on Isaiah 58:5:1']
בקעו (מקליפתם),"אישקלוטרינ""ט",Isaiah 59:5,['Rashi on Isaiah 59:5:2']
ireinie,"אירייני""א",Isaiah 59:5,['Rashi on Isaiah 59:5:3']
ortoires,"אורטוירי""ש",Isaiah 59:5,['Rashi on Isaiah 59:5:3']
cover,"קובי""ר",Isaiah 59:5,['Rashi on Isaiah 59:5:4']
enprenment,"אינפרינמינ""ט",Isaiah 59:17,['Rashi on Isaiah 59:17:1']
בפיוסי,"אי""ן מו""ן אפיימינ""ט",Isaiah 60:10,[]
tresoverts,"טרישאובירט""ש",Isaiah 60:11,['Rashi on Isaiah 60:11:1']
porwanter,"פורונטי""ר",Isaiah 60:21,['Rashi on Isaiah 60:21:1']
batez lochmin,"בטי""ץ לוקמי""ן",Isaiah 62:10,['Rashi on Isaiah 62:10:3']
espedrez,"אישפידרי""ץ",Isaiah 62:10,['Rashi on Isaiah 62:10:4']
perche,"פירק""א",Isaiah 62:10,[]
chanpanie,"קנפני""א",Isaiah 63:14,['Rashi on Isaiah 63:14:1']
fleistre,"פליישטר""א",Isaiah 64:5,[]
esmucier,"אישמוציי""ר",Isaiah 66:7,['Rashi on Isaiah 66:7:2']
sucier,"שוציי""ר",Isaiah 66:11,['Rashi on Isaiah 66:11:2']
esmovement,"אישמובימינ""ט",Isaiah 66:11,['Rashi on Isaiah 66:11:4']
 esbaneier(אולי esbanier),"אישביניי""ר",Isaiah 66:12,['Rashi on Isaiah 66:12:3']
dereisnier,"דיריישניי""ר",Isaiah 66:16,[]
treper,"טריפי""ר",Isaiah 66:20,['Rashi on Isaiah 66:20:2']
conpleint,"קונפליינ""ט",Jeremiah 1:6,['Rashi on Jeremiah 1:6:1']
amendlier,"אמינדליי""ר",Jeremiah 1:11,[]
boilant,"בוילנ""ט",Jeremiah 1:13,['Rashi on Jeremiah 1:13:1']
e ses ondes,"א""י שי""ש אונדי""ש",Jeremiah 1:13,[]
noces,"נוצי""ש",Jeremiah 2:2,['Rashi on Jeremiah 2:2:1']
planure,"פלנור""א",Jeremiah 2:6,['Rashi on Jeremiah 2:6:2']
enfosiede,"אינפושייד""א",Jeremiah 2:6,[]
degaste,"דיגשט""א",Jeremiah 2:6,[]
isles,"אישלי""ש",Jeremiah 2:10,['Rashi on Jeremiah 2:10:2']
tendront,"טינדרונ""ט",Jeremiah 2:13,['Rashi on Jeremiah 2:13:3']
tendront,"טינדרונ""ט",Jeremiah 2:19,[]
destoltors,"דישטולטור""ש",Jeremiah 2:21,['Rashi on Jeremiah 2:21:2']
savon,"שבו""ן",Jeremiah 2:22,[]
tache,"טק""א",Jeremiah 2:22,[]
selvatico,"שלוטיק""ו",Jeremiah 2:24,[]
culein,"קוליי""ן",Jeremiah 2:24,['Rashi on Jeremiah 2:24:1']
son dagronement,"שו""ן דגרונימינ""ט",Jeremiah 2:24,['Rashi on Jeremiah 2:24:5']
sa contrede,"ש""א קונטריד""א",Jeremiah 2:24,[]
nonchaleir,"נונקליי""ר",Jeremiah 2:25,['Rashi on Jeremiah 2:25:1']
desersimes,"דישאירשימי""ש",Jeremiah 2:31,[]
tardiwe,"טרדיו""א",Jeremiah 3:3,['Rashi on Jeremiah 3:3:1']
enweisiede,"אינויישייד""א",Jeremiah 3:6,[]
enweisiez,אינויישייץ,Jeremiah 3:14,[]
porwanter,"פורונטי""ר",Jeremiah 4:2,['Rashi on Jeremiah 4:2:3']
chardons,"קרדונ""ש",Jeremiah 4:3,['Rashi on Jeremiah 4:3:2']
espeises,"אישפיישי""ש",Jeremiah 4:7,['Rashi on Jeremiah 4:7:2']
atenter,"אטינטי""ר",Jeremiah 4:10,['Rashi on Jeremiah 4:10:1']
avaner,"אהבני""ר",Jeremiah 4:11,[]
talent,"טלינ""ט",Jeremiah 4:12,[]
e com torbeilon,"א""י קו""ם טורביילו""ן",Jeremiah 4:13,[]
antenas,"אנטינא""ש",Jeremiah 4:19,['Rashi on Jeremiah 4:19:2']
conpleint,"קונפליינ""ט",Jeremiah 4:31,['Rashi on Jeremiah 4:31:2']
esjodement,"אישיודימינ""ט",Jeremiah 5:8,[]
ces ceps,"שי""ש ציפ""ש",Jeremiah 5:10,[]
piedje,"פיידי""א",Jeremiah 5:26,[]
cenbel,"צינבי""ל",Jeremiah 5:26,['Rashi on Jeremiah 5:26:2']
franc,"פרנ""ק",Jeremiah 5:27,['Rashi on Jeremiah 5:27:1']
enboerent,"אינבואירינ""ט",Jeremiah 5:28,[]
reverchdors,"ריבירקדור""ש",Jeremiah 6:9,[]
paniers,"פנייר""ש",Jeremiah 6:9,['Rashi on Jeremiah 6:9:3']
a sofrir,"אשופרי""ר",Jeremiah 6:11,['Rashi on Jeremiah 6:11:2']
badetes,"בדיטי""ש",Jeremiah 6:17,[]
esarsit,"אישרשי""ט",Jeremiah 6:29,[]
pordetracier,"פורדיטרציי""ר",Jeremiah 6:29,[]
corse,"קורש""א",Jeremiah 8:6,[]
esfredez,"אישפרידי""ץ",Jeremiah 8:6,['Rashi on Jeremiah 8:6:3']
cegoine,"ציגוני""א",Jeremiah 8:7,['Rashi on Jeremiah 8:7:1']
grue,"גרוא""ה",Jeremiah 8:7,['Rashi on Jeremiah 8:7:4']
arondele,"ארונדיל""א",Jeremiah 8:7,['Rashi on Jeremiah 8:7:4']
fleistrit,"פליישטרי""ט",Jeremiah 8:13,[]
mes esteinemenz,"מי""ש אישטיינימינ""ץ",Jeremiah 8:18,[]
enplastre,"אינפלשטר""א",Jeremiah 8:22,['Rashi on Jeremiah 8:22:2']
arbaleste,"ארבלישט""א",Jeremiah 9:2,['Rashi on Jeremiah 9:2:1']
treit,"טריי""ט",Jeremiah 9:7,['Rashi on Jeremiah 9:7:1']
tranchant,"טרנק""ט",Jeremiah 9:7,[]
entelient,"אינטיליינ""ט",Jeremiah 9:23,[]
doledoire,"דולידויר""א",Jeremiah 10:3,['Rashi on Jeremiah 10:3:2']
cloes,"קלוי""ש",Jeremiah 10:4,['Rashi on Jeremiah 10:4:1']
martel,מרטיל,Jeremiah 10:4,[]
tendit,"טינדי""ט",Jeremiah 10:12,['Rashi on Jeremiah 10:12:1']
plandurs,"פלנדור""ש",Jeremiah 10:13,['Rashi on Jeremiah 10:13:3']
e sofrirei lui,"א""י שופרירי""י לו""י",Jeremiah 10:19,[]
justice,"יושטיצ""א",Jeremiah 10:24,['Rashi on Jeremiah 10:24:2']
deworerent,"דיוורירינ""ט",Jeremiah 10:25,[]
destache los,"דישטק""א לו""ש",Jeremiah 12:3,[]
pioniers,"פיונייר""ש",Jeremiah 12:5,[]
aatir,"אאטי""ר",Jeremiah 12:5,[]
chanpanie,"קנפני""א",Jeremiah 12:10,['Rashi on Jeremiah 12:10:3']
acoper,"אצופי""ר",Jeremiah 13:16,['Rashi on Jeremiah 13:16:1']
wostre chevez,"וושטר""א קיבי""ץ",Jeremiah 13:18,[]
gerdonemenz,"גירדונימינ""ץ",Jeremiah 13:19,[]
tes orles,"טי""ש אורלי""ש",Jeremiah 13:22,['Rashi on Jeremiah 13:22:1']
traces,"טרצי""ש",Jeremiah 13:22,['Rashi on Jeremiah 13:22:3']
mor,"מו""ר",Jeremiah 13:23,[]
liepart,"ליאפר""ט",Jeremiah 13:23,['Rashi on Jeremiah 13:23:2']
tajes,"טיי""ש",Jeremiah 13:23,[]
boviers,"בובייר""ש",Jeremiah 14:4,['Rashi on Jeremiah 14:4:1']
riviers,"ריבייר""ש",Jeremiah 14:6,['Rashi on Jeremiah 14:6:1']
recredanz,"ריקרידנ""ץ",Jeremiah 14:9,[]
de porpanser,"ד""י פורפנשי""ר",Jeremiah 15:6,[]
wan,"ו""ן",Jeremiah 15:7,['Rashi on Jeremiah 15:7:1']
feilanz,"פיילנ""ץ",Jeremiah 15:18,[]
atolis,"אטולי""ש",Jeremiah 16:5,['Rashi on Jeremiah 16:5:4']
mon wantement,"מו""ן ונטימינ""ט",Jeremiah 16:19,[]
montaniers,"מונטנייר""ש",Jeremiah 17:3,[]
dehastede,"דיגשטיד""א",Jeremiah 17:6,[]
famine,"פמינ""א",Jeremiah 17:8,[]
clocier,"קלוציי""ר",Jeremiah 17:11,[]
wantance,"וונטנצ""א",Jeremiah 17:14,['Rashi on Jeremiah 17:14:2']
forme,"פורמ""א",Jeremiah 18:3,[]
ai reprochied,"א""י ריפרוקיי""ד",Jeremiah 18:8,[]
froids,"פרויד""ש",Jeremiah 18:14,[]
coranz,"קורנ""ץ",Jeremiah 18:14,[]
tintiner,"טינטיני""ר",Jeremiah 19:3,['Rashi on Jeremiah 19:3:1']
arwolud,"ארוולו""ד",Jeremiah 20:2,['Rashi on Jeremiah 20:2:1']
fui enjeint,"פוא""י איניינ""ט",Jeremiah 20:14,['Rashi on Jeremiah 20:14:1']
aliniant en sinople,"אליניאנ""ט אי""ן שינופל""א",Jeremiah 22:14,[]
enmeiloler,"אינמיילולי""ר",Jeremiah 22:28,[]
trenblent,"טרינבלינ""ט",Jeremiah 23:9,[]
corse,"קורש""א",Jeremiah 23:10,['Rashi on Jeremiah 23:10:3']
pic,"פי""ק",Jeremiah 23:29,['Rashi on Jeremiah 23:29:2']
estordison,"אישטורדישו""ן",Jeremiah 23:32,['Rashi on Jeremiah 23:32:1']
li meitre e li portier,"ל""י מייטר""א א""י ל""י פורטיי""ר",Jeremiah 24:1,[]
garantie,"גרנטיא""ה",Jeremiah 25:20,['Rashi on Jeremiah 25:20:1']
woltrer,"וולטרי""ר",Jeremiah 25:34,['Rashi on Jeremiah 25:34:2']
conjongles,"קוניונגלי""ש",Jeremiah 27:2,[]
face,"פצ""א",Jeremiah 28:6,['Rashi on Jeremiah 28:6:1']
destrawer,"דישטרוי""ר",Jeremiah 29:18,['Rashi on Jeremiah 29:18:1']
cep,"צי""ף",Jeremiah 29:26,[]
enfres,"אינפר""ש",Jeremiah 30:12,['Rashi on Jeremiah 30:12:1']
fermalie aatine,"פירמלי""א אאטינ""א",Jeremiah 30:21,[]
conpleint,"קונפליינ""ט",Jeremiah 31:17,[]
fud aguilonez,"פו""ד אגוילוני""ץ",Jeremiah 31:17,[]
apercui ge,"אפירצו""י ג""א",Jeremiah 31:18,[]
asbaniement,"אישבניימינ""ט",Jeremiah 31:19,[]
a esclarier,"אאישקלריי""ר",Jeremiah 31:34,[]
chanpanie,"קנפני""א",Jeremiah 31:39,[]
aprenant,"אפריננ""ט",Jeremiah 32:33,['Rashi on Jeremiah 32:33:1']
salud,"שלו""ד",Jeremiah 33:6,[]
tresorier,"טרישוריי""ר",Jeremiah 35:4,['Rashi on Jeremiah 35:4:2']
alaschianz,"אלשקיאנ""ץ",Jeremiah 38:4,[]
aiseles,"אישילי""ש",Jeremiah 38:12,[]
e gaberont,"א""י גבירונ""ט",Jeremiah 38:19,['Rashi on Jeremiah 38:19:3']
e fosez,"א""י פושי""ץ",Jeremiah 39:10,[]
buies,"בויאי""ש",Jeremiah 40:1,[]
