Index Title,Job
Job 5:25,וְֽ֭יָדַעְתָּ כִּֽי־רַ֣ב זַרְעֶ֑ךָ וְ֝צֶאֱצָאֶ֗יךָ כְּעֵ֣שֶׂב הָאָֽרֶץ׃
Job 5:26,תָּב֣וֹא בְכֶ֣לַח אֱלֵי־קָ֑בֶר כַּעֲל֖וֹת גָּדִ֣ישׁ בְּעִתּֽוֹ׃
Job 5:27,הִנֵּה־זֹ֭את חֲקַרְנ֥וּהָ כֶּֽן־הִ֑יא שְׁ֝מָעֶ֗נָּה וְאַתָּ֥ה דַֽע־לָֽךְ׃&nbsp;<span>{פ}</span><br>
Job 6:1,וַיַּ֥עַן אִיּ֗וֹב וַיֹּאמַֽר׃
Job 6:2,"ל֗וּ שָׁק֣וֹל יִשָּׁקֵ֣ל כַּעְשִׂ֑י <span class=""mam-kq""><span class=""mam-kq-k"">(והיתי)</span> <span class=""mam-kq-q"">[וְ֝הַוָּתִ֗י]</span></span> בְּֽמֹאזְנַ֥יִם יִשְׂאוּ־יָֽחַד׃"
Job 6:3,כִּֽי־עַתָּ֗ה מֵח֣וֹל יַמִּ֣ים יִכְבָּ֑ד עַל־כֵּ֝֗ן דְּבָרַ֥י לָֽעוּ׃
Job 6:4,כִּ֤י חִצֵּ֪י שַׁדַּ֡י עִמָּדִ֗י אֲשֶׁ֣ר חֲ֭מָתָם שֹׁתָ֣ה רוּחִ֑י בִּעוּתֵ֖י אֱל֣וֹהַּ יַעַרְכֽוּנִי׃
Job 6:5,הֲיִֽנְהַק־פֶּ֥רֶא עֲלֵי־דֶ֑שֶׁא אִ֥ם יִגְעֶה־שּׁ֝֗וֹר עַל־בְּלִילֽוֹ׃
Job 6:6,הֲיֵאָכֵ֣ל תָּ֭פֵל מִבְּלִי־מֶ֑לַח אִם־יֶשׁ־טַ֝֗עַם בְּרִ֣יר חַלָּמֽוּת׃
Job 6:7,מֵאֲנָ֣ה לִנְגּ֣וֹעַ נַפְשִׁ֑י הֵ֝֗מָּה כִּדְוֵ֥י לַחְמִֽי׃
Job 6:8,מִֽי־יִ֭תֵּן תָּב֣וֹא שֶׁאֱלָתִ֑י וְ֝תִקְוָתִ֗י יִתֵּ֥ן אֱלֽוֹהַּ׃
Job 6:9,וְיֹאֵ֣ל אֱ֭לוֹהַּ וִידַכְּאֵ֑נִי יַתֵּ֥ר יָ֝ד֗וֹ וִיבַצְּעֵֽנִי׃
Job 6:10,וּ֥תְהִי־ע֨וֹד&thinsp;<b>׀</b> נֶ֘חָ֤מָתִ֗י וַאֲסַלְּדָ֣ה בְ֭חִילָה לֹ֣א יַחְמ֑וֹל כִּי־לֹ֥א כִ֝חַ֗דְתִּי אִמְרֵ֥י קָדֽוֹשׁ׃
Job 6:11,מַה־כֹּחִ֥י כִֽי־אֲיַחֵ֑ל וּמַה־קִּ֝צִּ֗י כִּֽי־אַאֲרִ֥יךְ נַפְשִֽׁי׃
Job 6:12,אִם־כֹּ֣חַ אֲבָנִ֣ים כֹּחִ֑י אִֽם־בְּשָׂרִ֥י נָחֽוּשׁ׃
Job 6:13,הַאִ֬ם אֵ֣ין עֶזְרָתִ֣י בִ֑י וְ֝תֻשִׁיָּ֗ה נִדְּחָ֥ה מִמֶּֽנִּי׃
Job 6:14,לַמָּ֣ס מֵרֵעֵ֣הוּ חָ֑סֶד וְיִרְאַ֖ת שַׁדַּ֣י יַעֲזֽוֹב׃
Job 6:15,אַ֭חַי בָּגְד֣וּ כְמוֹ־נָ֑חַל כַּאֲפִ֖יק נְחָלִ֣ים יַעֲבֹֽרוּ׃
Job 6:16,הַקֹּדְרִ֥ים מִנִּי־קָ֑רַח עָ֝לֵ֗ימוֹ יִתְעַלֶּם־שָֽׁלֶג׃
Job 6:17,בְּעֵ֣ת יְזֹרְב֣וּ נִצְמָ֑תוּ בְּ֝חֻמּ֗וֹ נִדְעֲכ֥וּ מִמְּקוֹמָֽם׃
Job 6:18,יִ֭לָּ֣פְתוּ אׇרְח֣וֹת דַּרְכָּ֑ם יַעֲל֖וּ בַתֹּ֣הוּ וְיֹאבֵֽדוּ׃
Job 6:19,הִ֭בִּיטוּ אׇרְח֣וֹת תֵּמָ֑א הֲלִיכֹ֥ת שְׁ֝בָ֗א קִוּוּ־לָֽמוֹ׃
Job 6:20,בֹּ֥שׁוּ כִּֽי־בָטָ֑ח בָּ֥אוּ עָ֝דֶ֗יהָ וַיֶּחְפָּֽרוּ׃
Job 6:21,כִּֽי־עַ֭תָּה הֱיִ֣יתֶם לֹ֑א תִּֽרְא֥וּ חֲ֝תַ֗ת וַתִּירָֽאוּ׃
Job 6:22,הֲֽכִי־אָ֭מַרְתִּי הָ֣בוּ לִ֑י וּ֝מִכֹּחֲכֶ֗ם שִׁחֲד֥וּ בַעֲדִֽי׃
Job 6:23,וּמַלְּט֥וּנִי מִיַּד־צָ֑ר וּמִיַּ֖ד עָרִיצִ֣ים תִּפְדּֽוּנִי׃
Job 6:24,ה֭וֹרוּנִי וַאֲנִ֣י אַחֲרִ֑ישׁ וּמַה־שָּׁ֝גִ֗יתִי הָבִ֥ינוּ לִֽי׃
Job 6:25,מַה־נִּמְרְצ֥וּ אִמְרֵי־יֹ֑שֶׁר וּמַה־יּוֹכִ֖יחַ הוֹכֵ֣חַ מִכֶּֽם׃
Job 6:26,הַלְהוֹכַ֣ח מִלִּ֣ים תַּחְשֹׁ֑בוּ וּ֝לְר֗וּחַ אִמְרֵ֥י נֹאָֽשׁ׃
Job 6:27,אַף־עַל־יָת֥וֹם תַּפִּ֑ילוּ וְ֝תִכְר֗וּ עַֽל־רֵיעֲכֶֽם׃
Job 6:28,וְ֭עַתָּה הוֹאִ֣ילוּ פְנוּ־בִ֑י וְעַל־פְּ֝נֵיכֶ֗ם אִם־אֲכַזֵּֽב׃
Job 6:29,"שֽׁוּבוּ־נָ֭א אַל־תְּהִ֣י עַוְלָ֑ה <span class=""mam-kq""><span class=""mam-kq-k"">(ושבי)</span> <span class=""mam-kq-q"">[וְשֻׁ֥בוּ]</span></span> ע֝֗וֹד צִדְקִי־בָֽהּ׃"
Job 6:30,הֲיֵשׁ־בִּלְשׁוֹנִ֥י עַוְלָ֑ה אִם־חִ֝כִּ֗י לֹא־יָבִ֥ין הַוּֽוֹת׃
Job 7:1,"הֲלֹֽא־צָבָ֣א לֶֽאֱנ֣וֹשׁ <span class=""mam-kq""><span class=""mam-kq-k"">(על)</span> <span class=""mam-kq-q"">[עֲלֵי־]</span></span>אָ֑רֶץ וְכִימֵ֖י שָׂכִ֣יר יָמָֽיו׃"
Job 7:2,כְּעֶ֥בֶד יִשְׁאַף־צֵ֑ל וּ֝כְשָׂכִ֗יר יְקַוֶּ֥ה פׇעֳלֽוֹ׃
Job 7:3,כֵּ֤ן הׇנְחַ֣לְתִּי לִ֭י יַרְחֵי־שָׁ֑וְא וְלֵיל֥וֹת עָ֝מָ֗ל מִנּוּ־לִֽי׃
Job 7:4,אִם־שָׁכַ֗בְתִּי וְאָמַ֗רְתִּי מָתַ֣י אָ֭קוּם וּמִדַּד־עָ֑רֶב וְשָׂבַ֖עְתִּי נְדֻדִ֣ים עֲדֵי־נָֽשֶׁף׃
Job 7:5,"לָ֘בַ֤שׁ בְּשָׂרִ֣י רִ֭מָּה <span class=""mam-kq""><span class=""mam-kq-k"">(ו<small>ג</small>יש)</span> <span class=""mam-kq-q"">[וְג֣וּשׁ]</span></span> עָפָ֑ר עוֹרִ֥י רָ֝גַ֗ע וַיִּמָּאֵֽס׃"
Job 7:6,יָמַ֣י קַ֭לּוּ מִנִּי־אָ֑רֶג וַ֝יִּכְל֗וּ בְּאֶ֣פֶס תִּקְוָֽה׃
Job 7:7,זְ֭כֹר כִּי־ר֣וּחַ חַיָּ֑י לֹֽא־תָשׁ֥וּב עֵ֝ינִ֗י לִרְא֥וֹת טֽוֹב׃
Job 7:8,לֹא־תְ֭שׁוּרֵנִי עֵ֣ין רֹ֑אִי עֵינֶ֖יךָ בִּ֣י וְאֵינֶֽנִּי׃
Job 7:9,כָּלָ֣ה עָ֭נָן וַיֵּלַ֑ךְ כֵּ֥ן יוֹרֵ֥ד שְׁ֝א֗וֹל לֹ֣א יַעֲלֶֽה׃
Job 7:10,לֹא־יָשׁ֣וּב ע֣וֹד לְבֵית֑וֹ וְלֹא־יַכִּירֶ֖נּוּ ע֣וֹד מְקֹמֽוֹ׃
Job 7:11,"גַּם־אֲנִי֮ לֹ֤א אֶחֱשׇׂ֫ךְ<span class=""mam-implicit-maqaf"">־</span>פִּ֥י אֲֽ֭דַבְּרָה בְּצַ֣ר רוּחִ֑י אָ֝שִׂ֗יחָה בְּמַ֣ר נַפְשִֽׁי׃"
Job 7:12,הֲֽיָם־אָ֭נִי אִם־תַּנִּ֑ין כִּֽי־תָשִׂ֖ים עָלַ֣י מִשְׁמָֽר׃
Job 7:13,כִּֽי־אָ֭מַרְתִּי תְּנַחֲמֵ֣נִי עַרְשִׂ֑י יִשָּׂ֥א בְ֝שִׂיחִ֗י מִשְׁכָּבִֽי׃
Job 7:14,וְחִתַּתַּ֥נִי בַחֲלֹמ֑וֹת וּֽמֵחֶזְיֹנ֥וֹת תְּבַעֲתַֽנִּי׃
Job 7:15,וַתִּבְחַ֣ר מַחֲנָ֣ק נַפְשִׁ֑י מָ֝֗וֶת מֵעַצְמוֹתָֽי׃
Job 7:16,מָ֭אַסְתִּי לֹא־לְעֹלָ֣ם אֶחְיֶ֑ה חֲדַ֥ל מִ֝מֶּ֗נִּי כִּי־הֶ֥בֶל יָמָֽי׃
Job 7:17,מָֽה־אֱ֭נוֹשׁ כִּ֣י תְגַדְּלֶ֑נּוּ וְכִֽי־תָשִׁ֖ית אֵלָ֣יו לִבֶּֽךָ׃
Job 7:18,וַתִּפְקְדֶ֥נּוּ לִבְקָרִ֑ים לִ֝רְגָעִ֗ים תִּבְחָנֶֽנּוּ׃
Job 7:19,כַּ֭מָּה לֹא־תִשְׁעֶ֣ה מִמֶּ֑נִּי לֹֽא־תַ֝רְפֵּ֗נִי עַד־בִּלְעִ֥י רֻקִּֽי׃
Job 7:20,חָטָ֡אתִי מָ֤ה אֶפְעַ֨ל&thinsp;<b>׀</b> לָךְ֮ נֹצֵ֢ר הָ֫אָדָ֥ם לָ֤מָה שַׂמְתַּ֣נִי לְמִפְגָּ֣ע לָ֑ךְ וָאֶהְיֶ֖ה עָלַ֣י לְמַשָּֽׂא׃
Job 7:21,וּמֶ֤ה&thinsp;<b>׀</b> לֹֽא־תִשָּׂ֣א פִשְׁעִי֮ וְתַעֲבִ֢יר אֶת־עֲוֺ֫נִ֥י כִּֽי־עַ֭תָּה לֶעָפָ֣ר אֶשְׁכָּ֑ב וְשִׁ֖חַרְתַּ֣נִי וְאֵינֶֽנִּי׃&nbsp;<span>{פ}</span><br>
Job 8:1,וַ֭יַּעַן בִּלְדַּ֥ד הַשּׁוּחִ֗י וַיֹּאמַֽר׃
Job 8:2,עַד־אָ֥ן תְּמַלֶּל־אֵ֑לֶּה וְר֥וּחַ כַּ֝בִּ֗יר אִמְרֵי־פִֽיךָ׃
Job 8:3,הַ֭אֵל יְעַוֵּ֣ת מִשְׁפָּ֑ט וְאִם־שַׁ֝דַּ֗י יְעַוֵּת־צֶֽדֶק׃
Job 8:4,אִם־בָּנֶ֥יךָ חָֽטְאוּ־ל֑וֹ וַֽ֝יְשַׁלְּחֵ֗ם בְּיַד־פִּשְׁעָֽם׃
Job 8:5,אִם־אַ֭תָּה תְּשַׁחֵ֣ר אֶל־אֵ֑ל וְאֶל־שַׁ֝דַּ֗י תִּתְחַנָּֽן׃
Job 8:6,אִם־זַ֥ךְ וְיָשָׁ֗ר אָ֥֫תָּה כִּֽי־עַ֭תָּה יָעִ֣יר עָלֶ֑יךָ וְ֝שִׁלַּ֗ם נְוַ֣ת צִדְקֶֽךָ׃
Job 8:7,וְהָיָ֣ה רֵאשִׁיתְךָ֣ מִצְעָ֑ר וְ֝אַחֲרִֽיתְךָ֗ יִשְׂגֶּ֥ה מְאֹֽד׃
Job 8:8,כִּֽי־שְׁאַל־נָ֭א לְדֹ֣ר רִישׁ֑וֹן וְ֝כוֹנֵ֗ן לְחֵ֣קֶר אֲבוֹתָֽם׃
Job 8:9,כִּֽי־תְמ֣וֹל אֲ֭נַחְנוּ וְלֹ֣א נֵדָ֑ע כִּ֤י צֵ֖ל יָמֵ֣ינוּ עֲלֵי־אָֽרֶץ׃
Job 8:10,הֲלֹא־הֵ֣ם י֭וֹרוּךָ יֹ֣אמְרוּ לָ֑ךְ וּ֝מִלִּבָּ֗ם יוֹצִ֥אוּ מִלִּֽים׃
Job 8:11,הֲיִֽגְאֶה־גֹּ֭מֶא בְּלֹ֣א בִצָּ֑ה יִשְׂגֶּה־אָ֥חוּ בְלִי־מָֽיִם׃
Job 8:12,עֹדֶ֣נּוּ בְ֭אִבּוֹ לֹ֣א יִקָּטֵ֑ף וְלִפְנֵ֖י כׇל־חָצִ֣יר יִיבָֽשׁ׃
Job 8:13,כֵּ֗ן אׇ֭רְחוֹת כׇּל־שֹׁ֣כְחֵי אֵ֑ל וְתִקְוַ֖ת חָנֵ֣ף תֹּאבֵֽד׃
Job 8:14,אֲשֶׁר־יָק֥וֹט כִּסְל֑וֹ וּבֵ֥ית עַ֝כָּבִ֗ישׁ מִבְטַחֽוֹ׃
Job 8:15,יִשָּׁעֵ֣ן עַל־בֵּ֭יתוֹ וְלֹ֣א יַעֲמֹ֑ד יַחֲזִ֥יק בּ֝֗וֹ וְלֹ֣א יָקֽוּם׃
Job 8:16,רָטֹ֣ב ה֭וּא לִפְנֵי־שָׁ֑מֶשׁ וְעַ֥ל גַּ֝נָּת֗וֹ יֹנַקְתּ֥וֹ תֵצֵֽא׃
Job 8:17,עַל־גַּ֭ל שׇׁרָשָׁ֣יו יְסֻבָּ֑כוּ בֵּ֖ית אֲבָנִ֣ים יֶחֱזֶֽה׃
Job 8:18,אִם־יְבַלְּעֶ֥נּוּ מִמְּקֹמ֑וֹ וְכִ֥חֶשׁ בּ֝֗וֹ לֹ֣א רְאִיתִֽיךָ׃
Job 8:19,הֶן־ה֭וּא מְשׂ֣וֹשׂ דַּרְכּ֑וֹ וּ֝מֵעָפָ֗ר אַחֵ֥ר יִצְמָֽחוּ׃
Job 8:20,הֶן־אֵ֭ל לֹ֣א יִמְאַס־תָּ֑ם וְלֹֽא־יַ֝חֲזִ֗יק בְּיַד־מְרֵעִֽים׃
Job 8:21,עַד־יְמַלֵּ֣ה שְׂח֣וֹק פִּ֑יךָ וּשְׂפָתֶ֥יךָ תְרוּעָֽה׃
Job 8:22,שֹׂנְאֶ֥יךָ יִלְבְּשׁוּ־בֹ֑שֶׁת וְאֹ֖הֶל רְשָׁעִ֣ים אֵינֶֽנּוּ׃&nbsp;<span>{פ}</span><br>
Job 9:1,וַיַּ֥עַן אִיּ֗וֹב וַיֹּאמַֽר׃
Job 9:2,אׇ֭מְנָם יָדַ֣עְתִּי כִי־כֵ֑ן וּמַה־יִּצְדַּ֖ק אֱנ֣וֹשׁ עִם־אֵֽל׃
Job 9:3,אִם־יַ֭חְפֹּץ לָרִ֣יב עִמּ֑וֹ לֹֽא־יַ֝עֲנֶ֗נּוּ אַחַ֥ת מִנִּי־אָֽלֶף׃
Job 9:4,חֲכַ֣ם לֵ֭בָב וְאַמִּ֣יץ כֹּ֑חַ מִֽי־הִקְשָׁ֥ה אֵ֝לָ֗יו וַיִּשְׁלָֽם׃
Job 9:5,הַמַּעְתִּ֣יק הָ֭רִים וְלֹ֣א יָדָ֑עוּ אֲשֶׁ֖ר הֲפָכָ֣ם בְּאַפּֽוֹ׃
Job 9:6,הַמַּרְגִּ֣יז אֶ֭רֶץ מִמְּקוֹמָ֑הּ וְ֝עַמּוּדֶ֗יהָ יִתְפַּלָּצֽוּן׃
Job 9:7,הָאֹמֵ֣ר לַ֭חֶרֶס וְלֹ֣א יִזְרָ֑ח וּבְעַ֖ד כּוֹכָבִ֣ים יַחְתֹּֽם׃
Job 9:8,נֹטֶ֣ה שָׁמַ֣יִם לְבַדּ֑וֹ וְ֝דוֹרֵ֗ךְ עַל־בׇּ֥מֳתֵי יָֽם׃
Job 9:9,עֹֽשֶׂה־עָ֭שׁ כְּסִ֥יל וְכִימָ֗ה וְחַדְרֵ֥י תֵמָֽן׃
Job 9:10,עֹשֶׂ֣ה גְ֭דֹלוֹת עַד־אֵ֣ין חֵ֑קֶר וְנִפְלָא֗וֹת עַד־אֵ֥ין מִסְפָּֽר׃
Job 9:11,הֵ֤ן יַעֲבֹ֣ר עָ֭לַי וְלֹ֣א אֶרְאֶ֑ה וְ֝יַחֲלֹ֗ף וְֽלֹא־אָבִ֥ין לֽוֹ׃
Job 9:12,הֵ֣ן יַ֭חְתֹּף מִ֣י יְשִׁיבֶ֑נּוּ מִי־יֹאמַ֥ר אֵ֝לָ֗יו מַֽה־תַּעֲשֶֽׂה׃
Job 9:13,אֱ֭לוֹהַּ לֹא־יָשִׁ֣יב אַפּ֑וֹ תַּחְתָּ֥ו שָׁ֝חֲח֗וּ עֹ֣זְרֵי רָֽהַב׃
Job 9:14,אַ֭ף כִּֽי־אָנֹכִ֣י אֶעֱנֶ֑נּוּ אֶבְחֲרָ֖ה דְבָרַ֣י עִמּֽוֹ׃
Job 9:15,אֲשֶׁ֣ר אִם־צָ֭דַקְתִּי לֹ֣א אֶעֱנֶ֑ה לִ֝מְשֹׁפְטִ֗י אֶתְחַנָּֽן׃
Job 9:16,אִם־קָרָ֥אתִי וַֽיַּעֲנֵ֑נִי לֹֽא־אַ֝אֲמִ֗ין כִּֽי־יַאֲזִ֥ין קוֹלִֽי׃
Job 9:17,אֲשֶׁר־בִּשְׂעָרָ֥ה יְשׁוּפֵ֑נִי וְהִרְבָּ֖ה פְצָעַ֣י חִנָּֽם׃
Job 9:18,לֹֽא־יִ֭תְּנֵנִי הָשֵׁ֣ב רוּחִ֑י כִּ֥י יַ֝שְׂבִּעַ֗נִי מַמְּרֹרִֽים׃
Job 9:19,אִם־לְכֹ֣חַ אַמִּ֣יץ הִנֵּ֑ה וְאִם־לְ֝מִשְׁפָּ֗ט מִ֣י יוֹעִידֵֽנִי׃
Job 9:20,אִם־אֶ֭צְדָּק פִּ֣י יַרְשִׁיעֵ֑נִי תׇּֽם־אָ֝֗נִי וַֽיַּעְקְשֵֽׁנִי׃
Job 9:21,תׇּֽם־אָ֭נִי לֹֽא־אֵדַ֥ע נַפְשִׁ֗י אֶמְאַ֥ס חַיָּֽי׃
Job 9:22,אַחַ֗ת הִ֥֫יא עַל־כֵּ֥ן אָמַ֑רְתִּי תָּ֥ם וְ֝רָשָׁ֗ע ה֣וּא מְכַלֶּֽה׃
Job 9:23,אִם־שׁ֭וֹט יָמִ֣ית פִּתְאֹ֑ם לְמַסַּ֖ת נְקִיִּ֣ם יִלְעָֽג׃
Job 9:24,אֶ֤רֶץ&thinsp;<b>׀</b> נִתְּנָ֬ה בְֽיַד־רָשָׁ֗ע פְּנֵֽי־שֹׁפְטֶ֥יהָ יְכַסֶּ֑ה אִם־לֹ֖א אֵפ֣וֹא מִי־הֽוּא׃
Job 9:25,וְיָמַ֣י קַ֭לּוּ מִנִּי־רָ֑ץ בָּ֝רְח֗וּ לֹא־רָא֥וּ טוֹבָֽה׃
Job 9:26,חָ֭לְפוּ עִם־אֳנִיּ֣וֹת אֵבֶ֑ה כְּ֝נֶ֗שֶׁר יָט֥וּשׂ עֲלֵי־אֹֽכֶל׃
Job 9:27,אִם־אׇ֭מְרִי אֶשְׁכְּחָ֣ה שִׂיחִ֑י אֶעֶזְבָ֖ה פָנַ֣י וְאַבְלִֽיגָה׃
Job 9:28,יָגֹ֥רְתִּי כׇל־עַצְּבֹתָ֑י יָ֝דַ֗עְתִּי כִּי־לֹ֥א תְנַקֵּֽנִי׃
Job 9:29,אָנֹכִ֥י אֶרְשָׁ֑ע לָמָּה־זֶּ֝֗ה הֶ֣בֶל אִיגָֽע׃
Job 9:30,"אִם־הִתְרָחַ֥צְתִּי <span class=""mam-kq""><span class=""mam-kq-k"">(במו)</span> <span class=""mam-kq-q"">[בְמֵי־]</span></span>שָׁ֑לֶג וַ֝הֲזִכּ֗וֹתִי בְּבֹ֣ר כַּפָּֽי׃"
Job 9:31,אָ֭ז בַּשַּׁ֣חַת תִּטְבְּלֵ֑נִי וְ֝תִעֲב֗וּנִי שַׂלְמוֹתָֽי׃
Job 9:32,כִּֽי־לֹא־אִ֣ישׁ כָּמ֣וֹנִי אֶעֱנֶ֑נּוּ נָב֥וֹא יַ֝חְדָּ֗ו בַּמִּשְׁפָּֽט׃
Job 9:33,לֹ֣א יֵשׁ־בֵּינֵ֣ינוּ מוֹכִ֑יחַ יָשֵׁ֖ת יָד֣וֹ עַל־שְׁנֵֽינוּ׃
Job 9:34,יָסֵ֣ר מֵעָלַ֣י שִׁבְ<big>ט֑</big>וֹ וְ֝אֵמָת֗וֹ אַֽל־תְּבַעֲתַֽנִּי׃
Job 9:35,אֲֽ֭דַבְּרָה וְלֹ֣א אִירָאֶ֑נּוּ כִּ֥י לֹא־כֵ֥ן אָ֝נֹכִ֗י עִמָּדִֽי׃
Job 10:1,נָֽקְטָ֥ה נַפְשִׁ֗י בְּחַ֫יָּ֥י אֶעֶזְבָ֣ה עָלַ֣י שִׂיחִ֑י אֲ֝דַבְּרָ֗ה בְּמַ֣ר נַפְשִֽׁי׃
Job 10:2,אֹמַ֣ר אֶל־אֱ֭לוֹהַּ אַל־תַּרְשִׁיעֵ֑נִי ה֝וֹדִיעֵ֗נִי עַ֣ל מַה־תְּרִיבֵֽנִי׃
Job 10:3,הֲט֤וֹב לְךָ֨&thinsp;<b>׀</b> כִּֽי־תַעֲשֹׁ֗ק כִּֽי־תִ֭מְאַס יְגִ֣יעַ כַּפֶּ֑יךָ וְעַל־עֲצַ֖ת רְשָׁעִ֣ים הוֹפָֽעְתָּ׃
Job 10:4,הַעֵינֵ֣י בָשָׂ֣ר לָ֑ךְ אִם־כִּרְא֖וֹת אֱנ֣וֹשׁ תִּרְאֶֽה׃
Job 10:5,הֲכִימֵ֣י אֱנ֣וֹשׁ יָמֶ֑יךָ אִם־שְׁ֝נוֹתֶ֗יךָ כִּ֣ימֵי גָֽבֶר׃
Job 10:6,כִּֽי־תְבַקֵּ֥שׁ לַעֲוֺנִ֑י וּֽלְחַטָּאתִ֥י תִדְרֽוֹשׁ׃
Job 10:7,עַֽל־דַּ֭עְתְּךָ כִּי־לֹ֣א אֶרְשָׁ֑ע וְאֵ֖ין מִיָּדְךָ֣ מַצִּֽיל׃
Job 10:8,יָדֶ֣יךָ עִ֭צְּבוּנִי וַֽיַּעֲשׂ֑וּנִי יַ֥חַד סָ֝בִ֗יב וַֽתְּבַלְּעֵֽנִי׃
Job 10:9,זְכׇר־נָ֭א כִּֽי־כַחֹ֣מֶר עֲשִׂיתָ֑נִי וְֽאֶל־עָפָ֥ר תְּשִׁיבֵֽנִי׃
Job 10:10,הֲלֹ֣א כֶ֭חָלָב תַּתִּיכֵ֑נִי וְ֝כַגְּבִנָּ֗ה תַּקְפִּיאֵֽנִי׃
Job 10:11,ע֣וֹר וּ֭בָשָׂר תַּלְבִּישֵׁ֑נִי וּֽבַעֲצָמ֥וֹת וְ֝גִידִ֗ים תְּשֹׂכְכֵֽנִי׃
Job 10:12,חַיִּ֣ים וָ֭חֶסֶד עָשִׂ֣יתָ עִמָּדִ֑י וּ֝פְקֻדָּתְךָ֗ שָֽׁמְרָ֥ה רוּחִֽי׃
Job 10:13,וְ֭אֵלֶּה צָפַ֣נְתָּ בִלְבָבֶ֑ךָ יָ֝דַ֗עְתִּי כִּי־זֹ֥את עִמָּֽךְ׃
Job 10:14,אִם־חָטָ֥אתִי וּשְׁמַרְתָּ֑נִי וּ֝מֵעֲוֺנִ֗י לֹ֣א תְנַקֵּֽנִי׃
Job 10:15,אִם־רָשַׁ֡עְתִּי אַלְלַ֬י לִ֗י וְ֭צָדַקְתִּי לֹא־אֶשָּׂ֣א רֹאשִׁ֑י שְׂבַ֥ע קָ֝ל֗וֹן וּרְאֵ֥ה עׇנְיִֽי׃
Job 10:16,וְ֭יִגְאֶה כַּשַּׁ֣חַל תְּצוּדֵ֑נִי וְ֝תָשֹׁ֗ב תִּתְפַּלָּא־בִֽי׃
Job 10:17,תְּחַדֵּ֬שׁ עֵדֶ֨יךָ&thinsp;<b>׀</b> נֶגְדִּ֗י וְתֶ֣רֶב כַּ֭עַשְׂךָ עִמָּדִ֑י חֲלִיפ֖וֹת וְצָבָ֣א עִמִּֽי׃
Job 10:18,וְלָ֣מָּה מֵ֭רֶחֶם הֹצֵאתָ֑נִי אֶ֝גְוַ֗ע וְעַ֣יִן לֹֽא־תִרְאֵֽנִי׃
Job 10:19,כַּאֲשֶׁ֣ר לֹא־הָיִ֣יתִי אֶהְיֶ֑ה מִ֝בֶּ֗טֶן לַקֶּ֥בֶר אוּבָֽל׃
Job 10:20,"הֲלֹֽא־מְעַ֣ט יָמַ֣י <span class=""mam-kq""><span class=""mam-kq-k"">(יחדל)</span> <span class=""mam-kq-q"">[וַחֲדָ֑ל]</span></span> <span class=""mam-kq""><span class=""mam-kq-k"">(ישית)</span> <span class=""mam-kq-q"">[וְשִׁ֥ית]</span></span> מִ֝מֶּ֗נִּי וְאַבְלִ֥יגָה מְּעָֽט׃"
Job 10:21,בְּטֶ֣רֶם אֵ֭לֵךְ וְלֹ֣א אָשׁ֑וּב אֶל־אֶ֖רֶץ חֹ֣שֶׁךְ וְצַלְמָֽוֶת׃
Job 10:22,אֶ֤רֶץ עֵפָ֨תָה&thinsp;<b>׀</b> כְּמ֥וֹ אֹ֗פֶל צַ֭לְמָוֶת וְלֹ֥א סְדָרִ֗ים וַתֹּ֥פַע כְּמוֹ־אֹֽפֶל׃&nbsp;<span>{פ}</span><br>
Job 11:1,וַ֭יַּעַן צֹפַ֥ר הַֽנַּעֲמָתִ֗י וַיֹּאמַֽר׃
Job 11:2,הֲרֹ֣ב דְּ֭בָרִים לֹ֣א יֵעָנֶ֑ה וְאִם־אִ֖ישׁ שְׂפָתַ֣יִם יִצְדָּֽק׃
Job 11:3,בַּ֭דֶּיךָ מְתִ֣ים יַחֲרִ֑ישׁוּ וַ֝תִּלְעַ֗ג וְאֵ֣ין מַכְלִֽם׃
Job 11:4,וַ֭תֹּאמֶר זַ֣ךְ לִקְחִ֑י וּ֝בַ֗ר הָיִ֥יתִי בְעֵינֶֽיךָ׃
Job 11:5,וְֽאוּלָ֗ם מִֽי־יִתֵּ֣ן אֱל֣וֹהַּ דַּבֵּ֑ר וְיִפְתַּ֖ח שְׂפָתָ֣יו עִמָּֽךְ׃
Job 11:6,וְיַגֶּד־לְךָ֨&thinsp;<b>׀</b> תַּ֥עֲלֻמ֣וֹת חׇכְמָה֮ כִּֽי־כִפְלַ֢יִם לְֽת֫וּשִׁיָּ֥ה וְדַ֡ע כִּֽי־יַשֶּׁ֥ה לְךָ֥ אֱ֝ל֗וֹהַּ מֵעֲוֺנֶֽךָ׃
Job 11:7,הַחֵ֣קֶר אֱל֣וֹהַּ תִּמְצָ֑א אִ֤ם עַד־תַּכְלִ֖ית שַׁדַּ֣י תִּמְצָֽא׃
Job 11:8,גׇּבְהֵ֣י שָׁ֭מַיִם מַה־תִּפְעָ֑ל עֲמֻקָּ֥ה מִ֝שְּׁא֗וֹל מַה־תֵּדָֽע׃
Job 11:9,אֲרֻכָּ֣ה מֵאֶ֣רֶץ מִדָּ֑הּ וּ֝רְחָבָ֗ה מִנִּי־יָֽם׃
Job 11:10,אִם־יַחֲלֹ֥ף וְיַסְגִּ֑יר וְ֝יַקְהִ֗יל וּמִ֣י יְשִׁיבֶֽנּוּ׃
