entry,suspected string
"<entry id=""E06799""><head-word>זְרַע</head-word><pos>פ״י,</pos><senses>
<sense>
<number>1) </number><definition>
 שם זרע באדמה</definition><notes> 
to sow | 
<italic>
säen
</italic>
 ר״ה ט״ז ע״א׃ ליזרע חרפא.
 
</notes></sense><sense>
<number>2) </number><definition>
 נטע‎</definition><notes> to plant | 
<italic>
pflanzen
</italic>
 ירוש׳ פאה פ״ז כ׳ ע״ב׃ הוה זרע דיקלא.
</notes></sense></senses>
<binyan><binyan-name>אִזְדְּרַע אתפ׳,</binyan-name><senses><sense><definition>נזרע</definition><notes> 
to be sown | 
<italic>
gesät werden
</italic>
 תרג׳ דב׳ כ״ט כ״ב (לא תזרע)׃ לא תזדרע.</notes></sense></senses></binyan>
</entry>

",אִזְדְּרַע
"<entry id=""E06805""><head-word>זְרַק</head-word><senses><sense><definition>עי׳ <bold>
<xref rid=""E06804"">
זֵרֵק.</xref>
</bold>
 
ב״ר פנ״ג׃ זרוק חוטרא לאוירא ועל עיקרא הוא קאים.</definition></sense></senses>
<binyan><binyan-name>אִזְדְּרֵיק אתפ׳,</binyan-name><senses><sense><definition>עי׳ <bold>
<xref>
נִזְרַק (זָרַק).</xref>--&gt;
</bold>
 
פס׳ ע״ח ע״ב׃ אשתקד כ׳ איזדרק דם.</definition></sense></senses></binyan>
</entry>

",אִזְדְּרֵיק
"<entry id=""E06812""><head-word>חַבֵּב</head-word><binyan><binyan-name>פַעל,</binyan-name><senses><sense><definition>כנ״ל. תרג׳ מש׳ ד׳ ח׳׃ חבביה; שב׳ ק״ל ע״א׃ משום חבובי מצוה.</definition></sense></senses></binyan>
<binyan><binyan-name>אתְחַבֵּב אתפ׳,</binyan-name><senses><sense><definition> 

 דבק לאהבה</definition><notes>
 
to be greatly attached to… | 
<italic>
an jem. hängen
</italic>
 
תרג׳ ש״א י״ח א׳ 
(נקשרה בנפש דוד): אתחביבא בנפשא דדויד.</notes></sense></senses></binyan>
</entry>

",אתְחַבֵּב
"<entry id=""E06824""><head-word>חִבֵּט</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>זרק בכח</definition><notes>
 
to force down | 
<italic>
hinwerfen
</italic>
 
כת׳ ל״ט ע״א: חיבטה על גבי שיראין.
</notes></sense></senses></binyan>
<binyan><binyan-name>נִתְחַבֵּט נתפ׳,</binyan-name>

 
<senses>
<sense>
<number>1) </number><definition>
 השתטח</definition><notes> 
to prostrate one’s self 
<italic>
| sich niederwerfen
</italic>
 
ב״ר פצ״א: שהיה מתחבט לפני רגליו של כל אחר ואחד.
 
</notes></sense><sense>
<number>2) </number><definition>
 התחנן‎</definition><notes> 
to supplicate | 
<italic>
flehen
</italic>
 
ב״ר פ״ע: דבר שנתחבט עליו אותו זקן.
</notes></sense></senses></binyan>
</entry>
",נִתְחַבֵּט
"<entry id=""E06831""><head-word>חֲבִיבָא</head-word><pos>ז׳,</pos><senses><sense><definition>דוד</definition><notes>
 
uncle | 
<italic>
Oheim
</italic>
 ב״ב מ״א ע״ב: הוה יתיבנא קמיה דחביבי
<bold>
.
</bold>
 
חֲבִיבָא,
 
<bold>
חֲבִיבַאי, חֲבִיבָה
</bold>
 שמות אמוראים
 
names of Amoraim | 
<italic>
Namen von Amoräern
</italic>
 
ב״ק ע״ב ע״א: א״ל רב חביבאי מחוזאה לרב אשי (עיר׳ כ״ז ע״א: רב חביבא);

ירוש׳

מגי׳ פ״א ע׳ ע״ב: ר׳ חביבה.</notes></sense></senses>
</entry>

","חֲבִיבָא,"
"<entry id=""E06844""><head-word>חָבַל</head-word><binyan><binyan-name>נפ׳,</binyan-name>
<senses><sense><definition>·

 –
 הכה, פצע 
to wound | 
<italic>
verwunden
</italic>
 
שבועות
 פ״ה מ״ה׃ חבלת בי ועשית בי חבורה. 
<bold>
נֶחְבַּל
</bold>
</definition> </sense>
<sense>
<number>1) </number><definition>
 הוכה, נפצע</definition><notes> 
to be injured 
<italic>
| verletzt werden
</italic>
 
שבוע׳
 פ״ז מ״א׃ והנגזל והנחבל.
 
</notes></sense><sense>
<number>2) </number><definition>


ניטל למשכון</definition><notes> 
to be seized as a pledge | 
<italic>
gepfändet werden
</italic>
 ילק׳ שמ׳ שנ״א׃ שניתן ליחבל ביום.
</notes></sense></senses></binyan>
<binyan><binyan-name>הִתְחַבֵּל התפ׳,</binyan-name><senses><sense><definition>נתקלקל</definition><notes> 
to be spoiled | 
<italic>
verderben
</italic>
 מכי׳ בשלח ד׳ א׳׃ נותן דבר המחבל לתוך דבר המתחבל.</notes></sense></senses></binyan>
</entry>

",נֶחְבַּל
"<entry id=""E06851""><head-word>חָבַם</head-word><pos>פ״י,</pos><senses><sense><definition>מעך וכתת</definition><notes> 
to crush | 
<italic>
zerdrücken
</italic>
 
ב״מ
 פ׳ ע״ב׃ 
בשחבסו לאלתר (לגי׳ הערוך).</notes></sense></senses>
<binyan><binyan-name>נֶחְבַּס נפ׳,</binyan-name><senses><sense><definition>נתמעך</definition><notes> 
to be crushed | 
<italic>
zerdrückt werden
</italic>
 חול׳ מ״ב ע״ב׃ גולגולת שנחבסה.</notes></sense></senses></binyan>
</entry>

",נֶחְבַּס
"<entry id=""E06864""><head-word>חָבַשׁ</head-word><senses><sense><definition>· – שם בבית האסורים</definition><notes> 
to imprison |
<italic>
 verhaften
</italic>
 
בר׳
 ס״א ע״ב׃ עד שתפסוהו לר״ע וחבשוהו בבית האסורים.
 
2) זרע טין צמח אחד סמוך למין אחר 
to plant one species too near another species | 
<italic>
zwei
</italic>
 
<italic>
Pflanzengattungen zu nahe aneinander pflanzen
</italic>
 
ירוש׳
 כלא׳ פ״ב כ״ח ע״ב׃ אפילו חבושות אפילו סמוכות.
 
3) 
אסר 
to forbid
<italic>
 | verbieten
</italic>
 
ירוש׳
 כלא׳ פ״ב כ״ח ע״א׃ אין אדם חובש דבר שאינו שלו.</notes></sense></senses>
<binyan><binyan-name>נֶחְבַּשׁ</binyan-name> <senses><sense><definition>
 נפ׳, 
1) הושם בבית האסורים 
to be imprisoned | 
<italic>
verhaftet werden
</italic>
 
דב״ר
 פ״ט׃ שנחבשה בבית האסורין.
 
2)

נאסר 
to be forbidden | 
<italic>
verboten werden
</italic>
 
ירוש׳
 כלא׳ פ״ג כ״ח ע״ד׃ שלא יחבש אלא בשמונה.</definition></sense></senses></binyan>
<binyan><binyan-name>הֶחְבִּישׁ</binyan-name> <senses><sense><definition>הפ׳, גרם איסור 
to be the cause of prohibition
<italic>
 | Verbot verursachen
</italic>
 
שם׃
 שלא יחביש וכו׳.</definition></sense></senses></binyan>
<binyan><binyan-name>הִתְחַבֵּשׁ התפ׳,</binyan-name><senses><sense><definition>עי׳ <bold>
<xref>--&gt;
נֶחְבַּשׁ</xref>
</bold>
 
1. שבת קנ״ב ע״ב׃ והם יתחבשו בבית האסורים.</definition></sense></senses></binyan>
</entry>

",נֶחְבַּשׁ
"<entry id=""E06873""><head-word>חגי׳</head-word><senses><sense><definition>חגיגה. 
<bold>
חַגַּי
</bold>
 שם אמורא</definition><notes> 
names of Amoraim | 
<italic>
Name von Amoräern
</italic>
 
ב״ק מ״ב ע״א׃ רב חגי מדרומא.</notes></sense></senses>
</entry>

",חַגַּי
"<entry id=""E06880""><head-word>חִגֵּר</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>קשר</definition><notes> 
to tie | 
<italic>
binden
</italic>
 בל׳ פי״ד מ״ד׃ והמחגר.</notes></sense></senses></binyan>
<binyan><binyan-name>הֶחְגִּיר הפ׳,</binyan-name>
<senses>
<sense>
<number>1) </number><definition>
 היה צולע</definition><notes> 
to be lame | 
<italic>
hinken
</italic>
 זבים פ״ג מ״א׃ ישבו על הנסר על הספסל וכו׳ בזמן שהן מחגירין.
 
</notes></sense><sense>
<number>2) </number><definition>
 כנ״ל. ירוש׳ פס׳ פ״ז ל״ד ע״ב׃ כדי שתהא היד מחגרת.
</definition></sense></senses></binyan>
<binyan><binyan-name>נִתְחַגֵּר נתפ׳,</binyan-name><senses><sense><definition>נעשה צולע</definition><notes> 
to be lame | 
<italic>
lahm werden
</italic>
 תום׳ עד׳ א׳ י״ד׃ נתחגרו.</notes></sense></senses></binyan>
</entry>

",הֶחְגִּיר
"<entry id=""E06890""><head-word>חָדַד ·– חִדֵּד</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>השחיז</definition><notes> 
to sharpen | 
<italic>
schärfen
</italic>
 תענ׳ ז׳ ע״א׃ ברזל זה אחד מחדד את חבירו.</notes></sense></senses></binyan>
<binyan><binyan-name>הִתְחַדֵּד התפ׳,</binyan-name><senses><sense><definition>הושחז</definition><notes> 
to be whetted | 
<italic>
gewetzt werden
</italic>
 ב״ר פס״ט׃ אין סכין מתחדדת אלא בירך של חבירתה.</notes></sense></senses></binyan>
</entry>

",הִתְחַדֵּד
"<entry id=""E06915""><head-word>חַדֵּת</head-word><binyan><binyan-name>פַעל,</binyan-name><senses><sense><definition>חידש</definition><notes> 
to innovate | 
<italic>
neu schaffen
</italic>
 כת׳ מ״ה ע״א׃ חדת רחמנא.</notes></sense></senses></binyan>
<binyan><binyan-name>אִתְחַדֵּת אתפ׳,</binyan-name><senses><sense><definition>התחדש</definition><notes> 
to be renewed | 
<italic>
sich erneuern
</italic>
 תרג׳ דב׳ ל״ב א׳׃ סופיהון לאתחדתא לעלמא.</notes></sense></senses></binyan>
</entry>

",אִתְחַדֵּת
"<entry id=""E06923""><head-word>חִיֵּב</head-word><binyan><binyan-name>פיעל,</binyan-name>

  
<senses>
<sense>
<number>1) </number><definition>
 הוציא דין לחובה, האשים</definition><notes> 
to declare guilty | 
<italic>
schuldig erklären
</italic>
 סנה׳ ל״ג ע״א׃ חייב את הזכאי.
 
</notes></sense><sense>
<number>2) </number><definition>
 הטיל חובה</definition><notes> 
to oblige | 
<italic>
verpflichten
</italic>
 דמאי פ״ב מיד׃ הנחתומים לא חייבו אותן חכמים להפריש וכו׳.
</notes></sense></senses></binyan>
<binyan><binyan-name>הִתְחַיֵּב התפ׳,</binyan-name>

  
<senses>
<sense>
<number>1) </number><definition>
 נידון לחובה</definition><notes> 
to be sentenced | 
<italic>
verurteilt werden
</italic>
 כת׳ ל׳ ע״ב׃ מי שנתחייב סקילה.
 
</notes></sense><sense>
<number>2) </number><definition>
 היה אחראי בדבר</definition><notes> 
to be responsible | 
<italic>
verantwortlich sein
</italic>
 אבות פ״ג מ״ד׃ הרי זה מתחייב בנפשו.
</notes></sense></senses></binyan>
</entry>

",הִתְחַיֵּב
"<entry id=""E06970""><head-word>חַייֵל</head-word><binyan><binyan-name>פַעל,</binyan-name><senses><sense><definition>המתיק</definition><notes> 
to sweeten | 
<italic>
versüßen
</italic>
 ב״מ ס׳ ע״א׃ דילמא טפי ומחייליה.</notes></sense></senses></binyan>
<binyan><binyan-name>אָחֵיל אפ׳,</binyan-name><senses><sense><definition>מחל</definition><notes> 
to forgive | 
<italic>
verzeihen
</italic>
 בר׳ י״ב ע״א׃ אחילו מן שמיא.</notes></sense></senses></binyan>
</entry>

",אָחֵיל
"<entry id=""E06996""><head-word>חוּם</head-word><pos>פ״ע</pos><senses><sense><definition>היה חם</definition><notes> 
to be warm | 
<italic>
warm sein
</italic>
 חול׳ ח׳ ע״ב׃ קא חיימא.</notes></sense></senses>
<binyan><binyan-name>אָחֵים אפ׳,</binyan-name><senses><sense><definition>החם</definition><notes> 
to warm | 
<italic>
warm machen
</italic>
 מו״ק י״ב ע״ב׃ מיא דאחים וכו׳.</notes></sense></senses></binyan>
</entry>

",אָחֵים
"<entry id=""E07041""><head-word>חָוַר· –</head-word><binyan><binyan-name>פיעל,</binyan-name><binyan-form>חִוֵּר</binyan-form><senses><sense><definition>בירר וליבן</definition><notes> 
to make clear, to make evident | 
<italic>
klar machen, aufklären
</italic>
 ב״ר פצ״ה׃ שהוא מחוור להם טעיותיהם.</notes></sense></senses></binyan>
<binyan><binyan-name>הִתְחַוֵּר התפ׳,</binyan-name><senses><sense><definition>נתברר ונתלבן</definition><notes> 
to be made clear | 
<italic>
geklärt sein
</italic>
 ירוש׳ כת׳ פ״ד כ״ה ע״ג׃ עד שיתחוורו הדברים כשמלה.</notes></sense></senses></binyan>
</entry>

",הִתְחַוֵּר
"<entry id=""E07044""><head-word>חַוֵּר</head-word><binyan><binyan-name>אפ׳,</binyan-name>

 <pos>פעל,</pos> 
<senses>
<sense>
<number>1) </number><definition>
 ליבן</definition><notes> 
to whiten | 
<italic>
weiß machen
</italic>
 ב״מ ס׳ ע״ב׃ חווריה לרישיה.
 
</notes></sense><sense>
<number>2) </number><definition>
 בירר‎</definition><notes> to make evident | 
<italic>
klar machen
</italic>
 ב״ר פכ״ז׃ אית לן קרייא אוחרן דמחוור יתיר מן דין.
 
אַחְוֵר אפ׳, כנ״ל 
1. ב״ק פ״ה ע״ב׃ אחווריה לבישריה.
</notes></sense></senses></binyan>
</entry>

",אַחְוֵר
"<entry id=""E07084""><head-word>חַזֵּי</head-word><binyan><binyan-name>פַעל,</binyan-name><binyan-name>אפ׳,</binyan-name><senses><sense><definition>אַחֲזֵי  הראה</definition><notes> 
to show | 
<italic>
zeigen
</italic>
 ב״מ ס״ז ע״א׃ חזיתן איילונית; ביצה כ״ו ע״ב׃ אחזייה לחכם.</notes></sense></senses></binyan>
<binyan><binyan-name>אִתְחֲזֵי, אִחֲזֵי אתפ׳,</binyan-name>

  
<senses>
<sense>
<number>1) </number><definition>
 נראה</definition><notes> 
to appear | 
<italic>
aussehen
</italic>
 בר׳ י״ז ע״ב׃ מיחזי כיוהרא.
 
</notes></sense><sense>
<number>2) </number><definition>
 היה ראוי‎</definition><notes> to become fit | 
<italic>
geeignet werden
</italic>
 ביכ׳ כ״ו ע״ב׃ אחזו בין השמשות.
 
</notes></sense><sense>
<number>3) </number><definition>
 הָראה‎</definition><notes> to be shown | 
<italic>
gezeigt werden
</italic>
 שם׃ אתחזי לחכם.
</notes></sense></senses></binyan>
</entry>

","אִתְחֲזֵי,"
"<entry id=""E07103""><head-word>חָזַק· –</head-word><binyan><binyan-name>הפ׳,</binyan-name><binyan-form>הֶחֱזִיק</binyan-form><senses><sense><definition>עשה חזקה, לקח לרשותו</definition><notes> 
to take possession | 
<italic>
Besitz ergreifen
</italic>
 ב״ב פ״ג מ״ג׃ והמחזיק בנכסי הגר.</notes></sense></senses></binyan>
<binyan><binyan-name>הֶחֱזִיק טוֹבָה</binyan-name> <senses><sense><definition>הרגיש רגש תודה</definition><notes> 
to be thankful | 
<italic>
dankbar sein
</italic>
 כת׳ ס״ח ע״א׃ בואו ונחזיק טובה לרמאין שאילמלא הן היינו חוטאים בכל יום.</notes></sense></senses></binyan>
<binyan><binyan-name>הוּחֲזַק</binyan-name> <senses><sense><definition>הָפ׳, נחשב</definition><notes> 
to be presumed, to be known for | 
<italic>
für etwas gehalten werden
</italic>
 שבוע׳ ל״ד ע״ב׃ הוחזק כפרן.</notes></sense></senses></binyan>
</entry>

",הֶחֱזִיק
"<entry id=""E07110""><head-word>חִזֵּר</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>כנ״ל 
4. מעש׳ פ״ב מ״ג׃ הרוכלין המחזרין בעיירות.</definition></sense></senses></binyan>
<binyan><binyan-name>הֶחֱזִיר הפ׳,</binyan-name>

  
<senses>
<sense>
<number>1) </number><definition>
 השיב</definition><notes> 
to return | 
<italic>
zurückgeben
</italic>
 שבי׳ פ״י מ״ט׃ המחזיר חוב בשביעית רוח חכמים נוחה הימנו.
 
</notes></sense><sense>
<number>2) </number><definition>
 עי׳ <bold>
<xref rid=""E07109"">
חָזַר</xref>
</bold>
 
3. גיט׳ פ״ו מ״ג׃ אם רצה להחזיר לא יחזיר.‎
 
</definition></sense><sense>
<number>3) </number><definition>
 עי׳ <bold>
<xref rid=""E07109"">
חָזַר</xref>
</bold>
 
4. תוס׳ פאה ב׳ י״ח׃ שהיו מחזירין בין הגרנות.‎
</definition></sense></senses></binyan>
<binyan><binyan-name>הֶחֱזִיר אֶת פָּנָיו</binyan-name> <senses><sense><definition>הפך, הסב את פניו</definition><notes> 
to turn round | 
<italic>
sich umwenden
</italic>
 מו״ק כ״ג ע״ב׃ אין לו דבר לעשות מחיצה מחזיר פניו ואוכל.</notes></sense></senses></binyan>
</entry>

",הֶחֱזִיר
"<entry id=""E07129""><head-word>חָטַב</head-word><senses><sense><definition>· – חטף</definition><notes> 
to seize violently | 
<italic>
entreißen
</italic>
 איכ״ר א׳ א׳׃ ועמד וחטבו ממנה.</notes></sense></senses>
<binyan><binyan-name>הֶחֱטִיב הפ׳,</binyan-name><senses><sense><definition>העביר בקולמוס</definition><notes> 
to erase | 
<italic>
ausradieren
</italic>
 מס׳ ספר תורה ירוש׳ ה׳ א׳׃ מחטיב ומוחק את הראשון ומקיים את האחרון.
</notes></sense></senses></binyan>
</entry>
",הֶחֱטִיב
"<entry id=""E07140""><head-word>חִטְחֵט, חָטַט</head-word><binyan><binyan-name>פיעל,</binyan-name><pos>פ״י,</pos><senses><sense><definition><bold>
חִטֵּט
</bold>
  חפר ונקר</definition><notes> 
to dig, to hollow out | 
<italic>
ausgraben, aushöhlen
</italic>
 ירוש׳ ערלה פ״ה ס״ג ע״א׃ שק מצוי לחטחט אחריו; סוכה פ״א מ״ח׃ החוטט בגדיש לעשות בו סוכה אינה סוכה; חול׳ פ״ז מ״ד׃ גיד הנשה מחטט אחריו וכו׳.</notes></sense></senses></binyan>
<binyan><binyan-name>נֶחֱטַט נפ׳,</binyan-name><senses><sense><definition>היה מנוקר</definition><notes> 
to be picked out | 
<italic>
ausgestochen werden
</italic>
 קיד׳ כ״ד ע״ב׃ נחטטה עינה.</notes></sense></senses></binyan>
<binyan><binyan-name>נִתְחַטֵּט נתפ׳,</binyan-name><senses><sense><definition>נחפר</definition><notes> 
to be exhumed | 
<italic>
ausgegraben werden
</italic>
 יב׳ ס״ג ע״ב׃ בעוון חיים מתים מתחטטים.</notes></sense></senses></binyan>
<binyan><binyan-name>הִתְחוֹטֵט התפ׳,</binyan-name><senses><sense><definition>התחבב</definition><notes> 
to be beloved | 
<italic>
lieblich sein
</italic>
 מגי׳ י״ב ע״א׃ אבנים שמתחוטטות על בעליהן.</notes></sense></senses></binyan>
</entry>

",נֶחֱטַט
"<entry id=""E07230""><head-word>חַיֵּל</head-word><senses><sense><definition>פעל, אימץ וחיזק</definition><notes> 
to strengthen | 
<italic>
stärken
</italic>
 תרג׳ תה׳ פ׳ י״ח (אמצת לך)׃ דחיילתא לך.</notes></sense></senses>
<binyan><binyan-name>אִתְחַיֵּל אתפ׳,</binyan-name>

  
<senses>
<sense>
<number>1) </number><definition>
 נתחזק</definition><notes> 
to be strengthened | 
<italic>
gestärkt werden
</italic>
 שם כ׳ ט׳ (ונתעודד)׃ אתחיילנא.
 
</notes></sense><sense>
<number>2) </number><definition>
 התגודד‎</definition><notes> to gather together | 
<italic>
sich zusammenscharen
</italic>
 תרג׳ במ׳ ל״א ז׳ (ויצבאו)׃ ואתחילו.
</notes></sense></senses></binyan>
</entry>

",אִתְחַיֵּל
"<entry id=""E07341""><head-word>חִכֵּךְ</head-word><binyan><binyan-name>פיעל,</binyan-name><senses><sense><definition>כעכע</definition><notes> 
to clear the throat | 
<italic>
sich räuspern
</italic>
 ב״ר פס״ז׃ התחיל מחכך בגרונו וכו׳ והוציא דם מפיו.</notes></sense></senses></binyan>
<binyan><binyan-name>הִתְחַכֵּךְ התפ׳,</binyan-name><senses><sense><definition>התגרד</definition><notes> 
to scratch one’s self | 
<italic>
sich kratzen
</italic>
 ב״ק פ״ד מ״ו׃ שור שהיה מתחכך בכותל ונפל על האדם.</notes></sense></senses></binyan>
</entry>

",הִתְחַכֵּךְ
"<entry id=""E07348""><head-word>חָכַר, חֲכַר</head-word><pos>פ״י,</pos><senses><sense><definition>שכר שדה בפירות וכדומה</definition><notes> 
to take in rent | 
<italic>
pachten
</italic>
 תוס׳ דמ׳ ריש פ״ו׃ מה בין שוכר לחוכר השוכר במעות והחוכר בפירות; ב״מ ס״ה ע״א׃ והדר חכרה מיניה. ועי׳ חָכִיר.</notes></sense></senses>
<binyan><binyan-name>הֶחְכִּיר הפ׳,</binyan-name><senses><sense><definition>נתן בחכירה</definition><notes> 
to give in rent | 
<italic>
verpachten
</italic>
 ב״מ ק״ד ע״א׃ אמר ליח מחכיר לחוכר.</notes></sense></senses></binyan>
</entry>

",הֶחְכִּיר
"<entry id=""E07357""><head-word>חָלַב</head-word><pos>פעו״י,</pos><senses>
<sense>
<number>1) </number><definition>
 הוציא חלב מן הדד</definition><notes> 
to milk | 
<italic>
melken
</italic>
 שבת קמ״ב ע״ב׃ חולב אדם עז לתוך הקדרה וכו׳.
 
</notes></sense><sense>
<number>2) </number><definition>
 נתן חלב</definition><notes> 
to secrete milk | 
<italic>
Milch geben
</italic>
 בכורות ב׳ ע״ב׃ ורוב בהמות אין חולבות אלא אם כן יולדות.
</notes></sense></senses>
<binyan><binyan-name>נֶחֱלַב נפ׳,</binyan-name><senses><sense><definition>כנ״ל 
2. שבת פ״ה מ״ב׃ עזים יוצאות צרורות ליבש אלא לא ליחלב.</definition></sense></senses></binyan>
</entry>

",נֶחֱלַב
"<entry id=""E07394""><head-word>חִלְחֵל</head-word><pos>פעו״י,</pos><senses>
<sense>
<number>1) </number><definition>
 חדר ונכנס</definition><notes> 
to penetrate | 
<italic>
eindringen
</italic>
 ספרי נשא י״ב׃ לסם יבש הניתן על בשר חי ואין מזיקו כשהוא מוצא מכה מתחיל לחלחל.
 
</notes></sense><sense>
<number>2) </number><definition>
 שטף</definition><notes> 
to rinse | 
<italic>
spülen
</italic>
 מכש׳ פ״ג מ״ו׃ אם פקק את הצנור או אם חלחל לתוכן.
</notes></sense></senses>
<binyan><binyan-name>הִתְחַלְחֵל התפ׳</binyan-name>
<pos>· –</pos>
<senses>
<sense>
<number>1) </number><definition>
 התנענע</definition><notes> 
to be shaken | 
<italic>
hin und hergeschüttelt werden
</italic>
 מקו׳ פ״ד מ״ג׃ היו צרורות מתחלחלים בתוכו.
 
</notes></sense><sense>
<number>2) </number><definition>
 עי׳ <bold>
<xref rid=""E07394"">
חִלְחֵל</xref>
</bold>
 
1. כמ״ר פ״ט׃ ובאו בה המים מלמד שהם מתחלחלים בכל אבריה.
 
</definition></sense><sense>
<number>3) </number><definition>
 נתרועע</definition><notes> 
to fall to pieces | 
<italic>
zerfallen
</italic>
 ירוש׳ ב״ק פ״א ב׳ ע״ב׃ האש נוגע מצד אחד ונתחלחל כולו.
</notes></sense></senses></binyan>
</entry>

",הִתְחַלְחֵל
"<entry id=""E07396""><head-word>חָלַט</head-word><senses><sense><definition>· – מרס או שטף ברותחין</definition><notes> 
to stir or to rinse in hot water | 
<italic>
in heißen Wasser einrühren oder spülen
</italic>
 טהר׳ פ״י מ״ח׃ חולטן בחמין.</notes></sense></senses>
<binyan><binyan-name>נֶחְלַט נפ׳,</binyan-name><senses><sense><definition>נשפכו עליו רותחין</definition><notes> 
to be stirred in hot water | 
<italic>
in heißem Wasser eingerührt werden
</italic>
 ירוש׳ חלה פ״א נ״ח ע״א׃ הנותן חמין לתוך קמח וכו׳ נחלטה כל צורכה.</notes></sense></senses></binyan>
<binyan><binyan-name>הֶחֱלִיט הפ׳,</binyan-name><senses><sense><definition>גזר לחלוטין</definition><notes> 
to adjudicate | 
<italic>
endgültig entscheiden
</italic>
 ירוש׳ כת׳ פ״י ל״ג ע״ד׃ אי זה מהן שירצו ב״ד להחליט מחליטין.
</notes></sense></senses></binyan>
</entry>
",נֶחְלַט
"<entry id=""E07400""><head-word>חַלֵּט</head-word>

 <pos>פעל,</pos> 
<senses>
<sense>
<number>1) </number><definition>
 כנ״ל 
2. פס׳ ע״ד ע״ב׃ חלא דחליט ביה.
 
</definition></sense><sense>
<number>2) </number><definition>
 מכר לצמיתות</definition><notes> 
to alienate | 
<italic>
veräußern
</italic>
 ירוש׳ פסח׳ פ״ד ל״א ע״ב׃ ולא יחלטון בניהון.
</notes></sense></senses>
<binyan><binyan-name>אַחְלַט אפ׳,</binyan-name><senses><sense><definition>עי׳ <bold>
<xref>
הֶחֱלִיט</xref>--&gt;
</bold>
. תרג׳ ויק׳ י״ג י״א׃ ויחלטיניה כהנא.</definition></sense></senses></binyan>
<binyan><binyan-name>אִתְחַלַּט, אִיחֲלַט אתפ׳,</binyan-name>

  
<senses>
<sense>
<number>1) </number><definition>
 נמכר לצמיתות</definition><notes> 
to be sold irredeemably | 
<italic>
unwiederbringlich verkauft werden
</italic>
 ערכ׳ ל״ב ע״ב׃ וירושלים מי מיחלט בה.
 
</notes></sense><sense>
<number>2) </number><definition>
 התערב</definition><notes> 
to mingle | 
<italic>
sich vermischen
</italic>
 תרג׳ מש׳ כ״ד כ״א (עם שונים אל תתערב)׃ ועם שטיי לא תתחלט.
</notes></sense></senses></binyan>
</entry>

",אַחְלַט
"<entry id=""E07407""><head-word>חַלֵּי</head-word><binyan><binyan-name>פַעל,</binyan-name><senses><sense><definition>הנעים</definition><notes> 
to sweeten | 
<italic>
schmackhaft, süß machen
</italic>
 ע״ז ל״ט ל״א׃ מחליא ליה שמנוניתא.</notes></sense></senses></binyan>
<binyan><binyan-name>אִתְחֲלִי אתפ׳,</binyan-name><senses><sense><definition>נעשה מתוק</definition><notes> 
to become sweet | 
<italic>
süß werden
</italic>
 תרג׳ ירוש׳ שמ׳ ט״ו כ״ה (וימתקו המים)׃ ואתחלון מיא.</notes></sense></senses></binyan>
</entry>

",אִתְחֲלִי
"<entry id=""E07433""><head-word>חִלֵּל</head-word><binyan><binyan-name>פיעל</binyan-name><senses><sense><definition><bold>
· –
</bold>
 החליף, פדה</definition><notes> 
to redeem | 
<italic>
auslösen, ablösen
</italic>
 מע״ש פ״א מ״ב׃ אין מחללין מעשר שני על אסימון.</notes></sense></senses></binyan>
<binyan><binyan-name>נִתְחַלֵּל נתפ׳,</binyan-name>

  
<senses>
<sense>
<number>1) </number><definition>
 נתבזה</definition><notes> 
to be degraded | 
<italic>
entweiht werden
</italic>
 אבות פ״א מי״א׃ נמצא שם שמים מתחלל.
 
</notes></sense><sense>
<number>2) </number><definition>
 נפסל מכהונה</definition><notes> 
to lose the priestly status | 
<italic>
die Priesterwürde einbüßen
</italic>
 סוטה פ״ג מ״ז׃ כהנת מתחללת ואין כהן מתחלל.
 
</notes></sense><sense>
<number>3) </number><definition>
 הופר והופרע</definition><notes> 
to be transgressed | 
<italic>
übertreten werden
</italic>
 פסיק׳ דר״כ ותאמר ציון׃ נתחללה אותה שבועה וכו׳.
 
</notes></sense><sense>
<number>4) </number><definition>
 נפדה ונתחלף</definition><notes> 
to be redeemed | 
<italic>
ausgelöst werden
</italic>
 ב״מ נ״ד ע״א׃ הקדש אינו מתחלל על הקרקע.
</notes></sense></senses></binyan>
</entry>

",נִתְחַלֵּל
