Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 9a:14	Raba sprach zu den Einwohnern von Maḥoza: Ich bitte euch, veranlaßt einander zur Tat, damit ihr Frieden im Reiche habt. Ferner sagte R. Elea͑zar: Als der Tempel bestand, entrichtete ein Mensch$fn304seinen Šeqel und erlangte Sühne; jetzt aber, wo der Tempel nicht mehr besteht: übt man Wohltätigkeit, so ist es recht, wenn aber nicht, so kommen die weltlichen Völker und nehmen mit Gewalt. Aber immerhin wird ihnen$fn305auch dies als Wohltätigkeit angerechnet, denn es heißt:$fn306<i>und deine Bedränger – Wohltätigkeit</i>.
Bava Batra 9a:15	Raba sagte: Folgendes sagte mir ein Jüngling, 
Bava Batra 9b:1	der den Anstand seiner Mutter verwirrte$fn307, im Namen R. Elea͑zars: Es heißt:$fn308<i>er legte Wohltätigkeit an wie einen Panzer</i>; dies besagt folgendes: wie bei einem Panzer die einzelnen Schuppen zusammen zu einem großen Panzer vereinigt werden, ebenso werden bei der Wohltätigkeit die einzelnen Peruṭas zu einem großen Betrage vereinigt. R. Ḥanina entnimmt dies aus folgendem:$fn309<i>und wie ein besudeltes Gewand sind all unsere Wohltaten</i>; wie bei einem Gewande die einzelnen Härchen zusammen zu einem großen Gewande vereinigt werden, ebenso werden bei der Wohltätigkeit die einzelnen Peruṭas zu einem großen Betrage vereinigt.
Bava Batra 9b:2	Weshalb heißt er ein Jüngling, der den Anstand seiner Mutter verwirrte? – Einst fragte R. Aḥadboj b. Ami den R. Šešeth, woher es zu entnehmen sei, daß ein Aussätziger während seiner Zähltage$fn310einen Menschen verunreinige. Dieser erwiderte: Wenn er seine Kleider unrein$fn311 macht, so macht er auch Menschen unrein. 
Bava Batra 9b:3	Jener entgegnete: Vielleicht ist es bei anhaftenden Dingen$fn312anders? So erfolgt auch beim Aase$fn313 durch das Schütteln eine Verunreinigung der Kleider, nicht aber eine Verunreinigung eines Menschen$fn314. 
Bava Batra 9b:4	Dieser erwiderte: Daß ein Kriechtier einen Menschen unrein$fn315macht, ist ja wahrscheinlich nur aus dem Umstande zu entnehmen, daß es die Kleider unrein$fn316macht. Jener entgegnete: Von einem Kriechtiere heißt es ausdrücklich:$fn317<i>oder wer irgend ein Kriechtier berührt hat</i>. – Aber daß der Samen$fn318einen Menschen unrein macht, ist ja wahrscheinlich zu entnehmen aus dem Umstande, daß er die Kleider unrein macht. Jener entgegnete: Auch vom Samen heißt es ausdrücklich:$fn319<i>oder ein Mann</i>, und dies schließt den Berührenden ein. 
Bava Batra 9b:5	Dies entgegnete er ihm spottend$fn320. Da wurde R. Šešeth verlegen. Hierauf wurde R. Aḥadboj b. Ami stumm und vergaß sein ganzes Studium. Da kam seine Mutter zu ihm und weinte und schrie; er aber beachtete sie nicht. Da sprach sie zu ihm: Sieh doch diese Brüste, aus welchen du gesogen$fn321hast! Hierauf bat er für ihn um Erbarmen, und er genas.
Bava Batra 9b:6	Da wir nun dabei sind: woher ist dies$fn322zu entnehmen? – Wie gelehrt wird: R. Šimo͑n b. Joḥaj sagte: [Nach Ablauf der] Zähltage ist ihm das Waschen der Kleider vorgeschrieben, und [nach Ablauf der] absoluten [Unreinheit] ist ihm das Waschen der Kleider vorgeschrieben; wie er nun während dieser Menschen verunreinigt, ebenso verunreinigt er Menschen auch während jener.
Bava Batra 9b:7	R. Elea͑zar sagte: Wer heimlich Wohltätigkeit übt, ist größer als unser Meister Moše. Von unserem Meister Moše heißt es:$fn323<i>mir war bange vor dem Zorne und dem Grimme</i>, und von dem, der heimlich Wohltätigkeit übt, heißt es:$fn324<i>heimliche Gabe bezwingt den Zorn und ein Geschenk im Stillen heftigen Grimm</i>. Er streitet somit gegen R. Jiçḥaq, denn R. Jiçḥaq sagte: Er bezwingt nur den Zorn, nicht aber den Grimm, denn es heißt: <i>ein Geschenk im Stillen heftigen Grimm</i>, obgleich er ein Geschenk im Stillen [gegeben hat], so gibt es dennoch heftigen Grimm. Manche sagen, R. Jiçḥaq sagte: Ein Richter, der Geschenke annimmt, bringt heftigen Grimm über die Welt.
Bava Batra 9b:8	Ferner sagte R. Jiçḥaq: Wer einem Armen eine Peruṭa gibt, wird mit sechs Segnungen bedacht, und wer ihn mit Worten tröstet, wird mit elf Segnungen bedacht. Wer einem Armen eine Peruṭa gibt, wird mit sechs Segnungen bedacht, denn es heißt: <i>daß du brichst &amp;c. und irrende Elende ins Haus bringst &amp;c. wenn du einen Nackten siehst &amp;c</i>$fn325. 
Bava Batra 9b:9	Wer ihn mit Worten tröstet, wird mit elf Segnungen bedacht, denn es heißt:$fn326<i>Spendest deine Seele dem Hungrigen</i>$fn327<i>und labst das gebeugte Gemüt, so wird dein Licht in der Finsternis aufstrahlen und deine Dunkelheit wird wie die Mittagshelle werden; und der Herr wird dich beständig leiten und in der Dürre deine Seele sättigen &amp;c. Und aufgebaut werden durch dich die Trümmer der Vorzeit, und die Grundmauern vergangener Geschlechter wirst du wieder aufrichten &amp;c</i>.
Bava Batra 9b:10	Ferner sagte R. Jiçḥaq: Es heißt:$fn328<i>wer Wohltätigkeit und Milde nachjagt, findet Leben, Wohltätigkeit und Ehre</i>. Sollte er etwa, weil er Wohltätigkeit nachjagt. Wohltätigkeit$fn329finden? Dies besagt vielmehr, daß, wenn jemand nach Wohltätigkeit jagt, der Heilige, gepriesen sei er, ihm Geld zukommen läßt, um damit Wohltätigkeit zu üben. 
Bava Batra 9b:11	R. Naḥman b. Jiçḥaq sagte: Der Heilige, gepriesen sei er, läßt ihn würdige Menschen finden, an ihnen Wohltätigkeit zn üben, damit er dieserhalb Belohnung erhalte. Dies schließt das aus, was Rabba vorgetragen hat, denn Rabba trug vor: Es heißt:$fn330<i>sie sollen vor dir straucheln, zur Zeit deines Zornes handle wider sie</i>. Jirmeja sprach vor dem Heiligen, gepriesen sei er: Herr der Welt, selbst zur Zeit, wenn sie ihren bösen Trieb beugen und deinethalben Wohltätigkeit üben wollen, laß sie durch unwürdige Leute straucheln, damit sie dieserhalb keine Belohnung erhalten.
Bava Batra 9b:12	R. Jehošua͑ b. Levi sagte: Wer Wohltätigkeit zu üben pflegt, dem sind weise, reiche und gelehrte$fn331Kinder beschieden. Weise, denn es heißt: 
Bava Batra 10a:1	<i>er fìndet Leben</i>; reiche, denn es heißt: <i>Wohltätigkeit</i>; gelehrte, denn es heißt: <i>und Ehre</i>. Hier heißt es <i>Ehre</i>, und dort heißt es:$fn332<i>Ehre werden die Weisen erben</i>.
Bava Batra 10a:2	Es wird gelehrt: R. Meír sagte: Wenn ein Ankläger den Einwand erheben und zu dir sagen sollte: wenn euer Gott die Armen liebt, weshalb ernährt er sie nicht? so antworte ihm: damit wir dadurch$fn333von dem Höllengerichte errettet werden. Diese Frage richtete auch der ruchlose Tyrannos Rufus an R. A͑qiba: Wenn euer Gott die Armen liebt, weshalb ernährt er sie nicht? Dieser erwiderte ihm: Damit wir dadurch vom Gerichte des Fegefeuers errettet werden. 
Bava Batra 10a:3	Jener entgegnete: Im Gegenteil, dies macht euch des Gerichtes des Fegefeuers schuldig. Ich will dir ein Gleichnis sagen, womit dies zu vergleichen ist. Ein König aus Fleisch und Blut zürnt seinem Knecht, sperrt ihn ins Gefängnis und befiehlt, daß man ihm weder Speise noch Trank verabreiche, jemand aber geht und verabreicht ihm Speise und Trank. Wenn nun der König dies erfährt, gerät er etwa nicht über ihn in Zorn!? Und auch ihr werdet Knechte genannt, denn es heißt:$fn334<i>denn meine Knechte sind die Jisraéliten</i>. 
Bava Batra 10a:4	Da erwiderte ihm R. A͑qiba: Auch ich will dir ein Gleichnis sagen, womit dies zu vergleichen ist. Ein König aus Fleisch und Blut zürnt seinem Sohne, sperrt ihn ins Gefängnis und befiehlt, daß man ihm weder Speise noch Trank verabreiche, jemand aber geht und verabreicht ihm Speise und Trank. Wenn der König dies erfährt, übersendet er ihm etwa nicht ein Geschenk? Und auch wir werden Kinder genannt, denn es heißt:$fn335<i>ihr seid Kinder des Herrn, eures Gottes</i>. 
Bava Batra 10a:5	Jener entgegnete ihm: Ihr werdet Kinder genannt und ihr werdet Knechte genannt; tut ihr den Willen Gottes, so werdet ihr Kinder genannt, tut ihr nicht den Willen Gottes, so werdet ihr Knechte genannt; jetzt aber tut ihr nicht den Willen Gottes. Dieser erwiderte: es heißt:$fn336<i>daß du dem Hungrigen dein Brot brichst, und irrende Elende ins Haus bringst</i>; jetzt gehen [die Worte:] <i>und irrende Elende ins Haus bringst</i>, in Erfüllung$fn337, und dennoch heißt es: <i>daß du dem Armen dein Brot brichst</i>.
Bava Batra 10a:6	R. Jehuda b. Šallum trug vor: Wie die Nahrung des Menschen am Neujahrstage festgesetzt wird, so werden auch die Ausgahen$fn338des Menschen am Neujahrstage festgesetzt; ist es ihm beschieden, dann: <i>daß du dem Armen dein Brot brichst</i>, ist es ihm nicht beschieden, dann: <i>und irrende Elende ins Haus bringst</i>. 
Bava Batra 10a:7	So sah einst R. Joḥanan b. Zakkaj im Traume, daß seinen Schwestersöhnen siebenhundert Denare fehlen$fn339 werden; da nötigte er sie und nahm es von ihnen für wohltätige Zwecke ab; siebzehn Denare aber blieben bei ihnen zurück. Als der Vorabend des Versöhnungstages$fn340heranreichte, sandte der Kaiser und ließ es ihnen wegnehmen$fn341. 
Bava Batra 10a:8	Da sprach R. Joḥanan b. Zakkaj zu ihnen: Fürchtet euch$fn342 nicht, siebzehn Denare waren bei euch zurückgeblieben, und diese wurden euch abgenommen. Sie fragten ihn: Woher weißt du dies? Er erwiderte ihnen: Ich habe darüber ein Traumgesicht gehabt. Sie sprachen zu ihm: Weshalb hast du es uns nicht gesagt$fn343? Er erwiderte ihnen: Ich wollte, daß ihr gute Werke um ihrer selbst willen ausübet.
Bava Batra 10a:9	Einst stieg R. Papa auf eine Leiter; da glitt er mit einem Fuße aus und fiel fast herunter. Da sprach er: Fast könnte mein Feind$fn344so bestraft werden, wie Šabbathschänder und Götzenanbeter$fn345. Hierauf sprach Ḥija b. Rabh aus Diphte zu R. Papa: Vielleicht ist dir ein Armer zur Hand gekommen und hast du ihm keine Nahrung verabreicht? 
Bava Batra 10a:10	Es wird nämlich gelehrt: R. Jehošua͑ b. Qorḥa sagte: Wenn jemand seine Augen von der Wohltätigkeit abwendet, so ist es ebenso, als würde er Götzendienst getrieben haben. Hierbei$fn346heißt es: <i>hüte dich, daß nicht in deinem Herzen ein nichtswürdiger Gedanke aufsteige</i>, und dort$fn347 heißt es: <i>es sind nichtswürdige Leute aufgetreten</i>; wie dort Götzendienst zu verstehen ist, ebenso ist auch hierbei Götzendienst zu verstehen.
Bava Batra 10a:11	Es wurde gelehrt: R. Elea͑zar b. R. Jose sagte: All die Wohltätigkeiten und Liebeswerke, die die Jisraéliten auf dieser Welt üben, sind große Friedens[vermittler] und bedeutende Fürsprecher zwischen den Jisraéliten und ihrem Vater im Himmel, denn es heißt:$fn348<i>so spricht der Herr: Tritt nicht in das Haus des Jammers ein, und gehe nicht, um die Totenklage zu halten, und bezeuge ihnen kein Beileid, denn ich habe meinen Frieden von diesem Volke genommen &amp;c. die Liebe und das Erbarmen</i>; die Liebe, das sind die Liebeswerke, das Erbarmen, das ist die Wohltätigkeit.
Bava Batra 10a:12	Es wird gelehrt: R. Jehuda sagte: Groß ist die Wohltätigkeit, denn sie beschleunigt die Erlösung, wie es heißt:$fn349<i>so spricht der Herr: Wahret das Recht und übt Wohltätigkeit, denn mein Heil ist nahe daran, herbeizukommen, und meine Gerechtigkeit, sich zu offenbaren</i>. Derselbe sagte ferner: Zehn starke$fn350Dinge sind in der Welt erschaffen worden: ein Berg ist stark, das Eisen aber zerschneidet ihn; das Eisen ist stark, das Feuer aber erweicht es; das Feuer ist stark, das Wasser aber lischt es; das Wasser ist stark, die Wolken aber tragen es; die Wolken sind stark, der Wind aber zerstreut sie; der Wind ist stark, der Körper aber trägt$fn351ihn; der Körper ist stark, die Angst aber bricht ihn; die Angst ist stark, der Wein aber verscheucht sie; der Wein ist stark, der Schlaf aber vertreibt ihn. Der Tod$fn352aber ist stärker als sie alle, und dennoch heißt es:$fn353<i>Wohltätigkeit errettet vom Tode</i>.
Bava Batra 10a:13	R. Dostaj b. Jannaj trug vor: Komm und sieh, wie die Art eines [Menschen aus] Fleisch und Blut anders ist als die Art des Heiligen, gepriesen sei er. Wenn jemand einem König ein bedeutendes Geschenk überbringt, so ist es zweifelhaft, ob er es von ihm annimmt oder er es von ihm nicht annimmt, und es ist zweifelhaft, ob er das Gesicht des Königs zu sehen bekommt oder er das Gesicht des Königs nicht zu sehen bekommt. Anders aber der Heilige, gepriesen sei er; wenn jemand einem Armen eine Peruṭa gibt, so ist es ihm beschieden, das Gesicht der Göttlichkeit zu empfangen, denn es heißt:$fn354<i>ich aber werde durch Wohltätigkeit dein Gesicht schauen, werde mich beim Erwachen an deiner Gestalt sättigen</i>.
Bava Batra 10a:14	R. Elea͑zar pflegte vorher einem Armen eine Peruṭa zu geben und nachher das Gebet zu verrichten, denn er sagte, es heißt: <i>ich werde durch Wohltätigkeit dein Gesicht schauen, werde mich beim Erwachen an deiner Gestalt sättigen</i>. – Was heißt: <i>werde mich beim Erwachen an deiner Gestalt sättigen</i>? R. Naḥman b. Jiçḥaq erwiderte: Dies bezieht sich auf die Schriftgelehrten, die auf dieser Welt den Schlaf von ihren Augen$fn355 verscheuchen; der Heilige, gepriesen sei er, wird sie aber in der zukünftigen Welt mit dem Glanze der Göttlichkeit sättigen.
Bava Batra 10a:15	R. Joḥanan sagte: Es heißt:$fn356<i>wer sich des Geringen erbarmt, leiht dem Herrn</i>. Wenn dies nicht ein geschriebener Schriftvers wäre, könnte man es gar nicht sagen; – als ob dies denkbar wäre – der Schuldner ist ein Knecht des Gläubigers.
Bava Batra 10a:16	R. Ḥija b. Abba sagte im Namen R. Joḥanans: Es heißt:$fn357<i>es nützt kein Vermögen am Tage des Zornes, aber Wohltätigkeit errettet vom Tode</i>, und ferner heißt es:$fn358<i>es helfen keine ungerechten Schätze, aber Wohltätigkeit errettet vom Tode</i>. Wozu dies zweimal von der Wohltätigkeit? Eine, die ihn von einem unnatürlichen Tode errettet, und eine, die ihn vom Gerichte des Fegefeuers errettet. – Welche ist es, die ihn vom Gerichte des Fegefeuers errettet? Von der es heißt:$fn359<i>ein Tag des Zornes ist dieser Tag</i>$fn360. – Und welche ist es, die ihn von einem unnatürlichen Tode errettet? 
Bava Batra 10b:1	Wenn der Gebende nicht weiß, wem er gibt, und der Nehmende nicht weiß, von wem er es erhält. Wenn der Gebende nicht weiß, wem er es gibt, dies schließt das Verfahren Mar U͑qabas$fn361aus; wenn der Nehmende nicht weiß, von wem er es erhält, dies schließt das Verfahren R. Abbas$fn362aus. – Wie mache man es nun? – Man gebe es in die Armenkasse. 
Bava Batra 10b:2	Man wandte ein: R. Elie͑zer sagte: Was tue man, um Kinder zu erhalten? Man verstreue sein Geld unter die Armen; R. Jehošua͑ sagt, man erfreue seine Frau mit einer gottgefälligen Sache. R. Elie͑zer b. Ja͑qob sagte: Man tue seine Peruṭa nur dann in die Armenkasse, wenn ein Mann wie R. Ḥanina b. Teradjon sie verwaltet!? – Wir sprechen eben von dem Falle, wenn ein Mann wie R. Ḥanina b. Teradjon sie verwaltet.
Bava Batra 10b:3	R. Abahu sagte: Moše sprach vor dem Heiligen, gepriesen sei er: Herr der Welt, wodurch soll das Horn$fn363Jisraéls hoch erhoben werden? Er erwiderte: Durch das Erheben$fn364.
Bava Batra 10b:4	Ferner sagte R. Abahu: Man fragte Šelomo, den Sohn Davids, wie weit die Kraft der Wohltätigkeit reiche. Da erwiderte er ihnen: Geht und seht, was mein Vater David darüber sagt:$fn365<i>er hat ausgestreut, den Armen gegeben, seine Wohltätigkeit besteht für immer; sein Horn wird hoch erhoben sein mit Ehren</i>. R. Abba sagte: Hieraus:$fn366<i>er wird auf Höhen wohnen, Felsfesten sind seine Burg; sein Brot wird ihm gereicht, sein Wasser ist zuverlässig</i>. Er wird deshalb auf Höhen wohnen, und Felsfesten deshalb seine Burg, weil er sein Brot gereicht hat und sein Wasser zuverlässig war.
Bava Batra 10b:5	Ferner sagte R. Abahu: Man fragte Šelomo, wer der zukünftigen Welt teilhaftig sei, und er erwiderte ihnen:$fn367<i>Wer seines Alters</i>$fn368<i>wegen Ehre hat</i>. So erkrankte einst Joseph, Sohn des R. Jehošua͑, und verfiel in eine Lethargie. Darauf fragte ihn sein Vater, was er gesehen habe, und dieser erwiderte: Ich habe dine verkehrte Welt gesehen; die oberen unten und die unteren oben. Jener entgegnete: Du hast eine lautere Welt gesehen. Wie hast du uns$fn369gesehen? – Wie wir hier geachtet sind, so sind wir dort geachtet. 
Bava Batra 10b:6	Ferner hörte ich da sagen: Heil dem, der hier mit seinem Studium in der Hand ankommt. Und ferner hörte ich da sagen: Niemand vermag in die Friedigung der Hingerichteten der Regierung zu gelangen. – Wer sind es, wollte man sagen, R. A͑qiba$fn370und seine Genossen, so ist dies ja selbstverständlich, [sie haben ja auch andere Verdienste] außer Hingerichtete der Regierung zu sein!? – Vielmehr, es sind die Märtyrer$fn371von Lud.
Bava Batra 10b:7	Es wird gelehrt: R. Joḥanan b. Zakkaj sprach zu seinen Schülern: Meine Kinder, was bedeutet der Schriftvers:$fn372<i>Wohltätigkeit erhöht ein Volk, und die Liebe der Nationen ist Sünde</i>? Da ergriff R. Elea͑zar das Wort und sprach: <i>Wohltätigkeit erhöht ein Volk</i>, das sind die Jisraéliten, denn es heißt:$fn373<i>und wer gleicht deinem Volke Jisraél, es ist ein einziges Volk auf Erden. Und die Liebe der Nationen ist Sünde</i>, alle Wohltätigkeiten und Liebeswerke, die die weltlichen Völker üben, gereicht ihnen zur Sünde, denn sie tun dies nur deshalb, um dadurch Größe zu erlangen, wie es heißt:$fn374<i>damit sie dem Gott des Himmels Wohlgerüche darbringen, und für das Leben des Königs und seiner Söhne beten</i>. – 
Bava Batra 10b:8	Ist denn, wenn jemand so verfährt, dies keine richtige Wohltätigkeit, es wird ja gelehrt, wenn jemand sagt, er gebe diesen Sela͑ als Almosenspende, damit seine Kinder leben bleiben, oder damit er der zukünftigen Welt teilhaftig werde, sei er ein wahrhaft Frommer!? – Das ist kein Widerspruch; eines gilt von Jisraéliten und eines gilt von den weltlichen Völkern. 
Bava Batra 10b:9	Hierauf ergriff R. Jehošua͑ das Wort und sprach: <i>Wohltätigkeit erhöht ein Volk</i>, das sind die Jisraéliten, denn es heißt: <i>wer gleicht deinem Volke Jisraél, es ist ein einziges Volk auf Erden. Und die Liebe der Nationen ist Sünde</i>, alle Wohltätigkeiten und Liebeswerke, die die weltlichen Völker üben, gereicht ihnen zur Sünde, denn sie tun dies nur deshalb, damit ihre Regierung von Dauer sei, wie es heißt:$fn375<i>darum, o König, lap dir meinen Rat gefallen, und mache deine Sünden gut durch Wohltätigkeit und deine Missetaten durch Barmherzigkeit gegen die Armen; vielleicht wird dein Frieden von Dauer sein</i>. Hierauf folgt:$fn376<i>dies alles erfüllte sich am Könige Nebukhadneçar</i>; ferner:$fn377<i>nach Verlauf von zwölf Monaten &amp;c</i>. 
Bava Batra 10b:10	Hierauf ergriff R. Gamliél das Wort und sprach: <i>Wohltätigkeit erhöht ein Volk</i>, das sind die Jisraéliten, denn es heißt: <i>wer gleicht deinem Volke Jisraél &amp;c. es ist ein einziges Volk auf Erden. Und die Liebe der Nationen ist Sünde</i>, alle Wohltätigkeiten und Liebeswerke, die die weltlichen Völker üben, gereicht ihnen zur Sünde, denn sie tun es nur deshalb, um damit zu prahlen. Wer aber prahlt, verfällt dem Fegefeuer, denn es heißt:$fn378<i>der Übermütige und Prahlende heißt ein Spötter, er handelt mit frechem Zorne</i>; und unter Zorn ist das Fegefeuer zu verstehen, denn es heißt:$fn379<i>ein Tag des Zornes ist jener Tag</i>. 
Bava Batra 10b:11	R. Gamliél sagte: Wir brauchen immer noch des Modäers, denn R. Elea͑zar aus Modai͑m sagte: <i>Wohltätigkeit erhöht ein Volk</i>, das sind die Jisraéliten, denn es heißt: <i>Wer gleicht deinem, Volke Jisraél, es ist ein einziges Volk. Und die Liebe der Nationen ist Sünde</i>, alle Wohltätigkeiten und Liebeswerke, die die weltlichen Völker üben, gereicht ihnen zur Sünde, denn sie tun es nur deshalb, um uns zu beschimpfen, denn es heißt:$fn380<i>der Herr hat herbeigeführt und getan, wie er angedroht hatte; denn ihr habt gesündigt wider den Herrn und auf seinen Befehl nicht gehorcht: und so geschah euch diese Sache</i>. 
Bava Batra 10b:12	Alsdann ergriff R. Neḥunja b. Haqana das Wort und sprach: <i>Wohltätigkeit erhöht ein Volk und die Liebe</i>, die Jisraéliten; <i>der Nationen ist Sünde</i>$fn381. Hierauf sprach R. Joḥanan b. Zakkaj zu seinen Schülern: Die Worte des R. Neḥunja b. Haqana sind einleuchtender als meine und eure Worte, weil er Wohltätigkeit und Liebe den Jisraéliten und Sünde den Völkern zuteilt. – Demnach$fn382sagte er es ebenfalls; wo dies? – Es wird gelehrt: R. Joḥanan b. Zakkaj sagte: Wie das Sündopfer den Jisraéliten Sühne verschafft, ebenso verschafft die Wohltätigkeit Sühne den weltlichen Völkern$fn383.
Bava Batra 10b:13	Einst sandte Iphra Hormez, die Mutter des Königs Sapor, vierhundert Denar$fn384an R. Ami; dieser aber nahm sie nicht an. Hierauf sandte sie sie an Raba, und dieser nahm sie an. Als R. Ami dies hörte, zürnte er, indem er sprach: Hält er nichts von:$fn385<i>wenn ihre Schnittlinge trocken sind, werden sie abgebrochen, Frauen kommen und pflücken</i>$fn386<i>sie</i>$fn387? – Und Raba!? – Des Friedens wegen mit der Regierung. 
Bava Batra 10b:14	Und auch R. Ami sollte sie des Friedens wegen mit der Regierung an Arme der weltlichen Völker verteilen. Ebenso verteilte sie auch Raba an Arme der weltliehen Völker; R. Ami aber war dies nicht berichtet worden, 
Bava Batra 11a:1	und darum zürnte er.
Bava Batra 11a:2	Es wird gelehrt: Man erzählt von Binjamin dem Gerechten, der über die Armenkasse gesetzt war, daß einmal in den Jahren der Hungersnot eine Frau zu ihm kam und zu ihm sprach: Meister, gib mir Nahrung. Er erwiderte ihr: Beim Kult, in der Armenkasse ist nichts da. Sie sprach zu ihm: Meister, wenn du mir keine Nahrung gibst, so stirbt eine Frau mit ihren sieben Kindern. Da stand er auf und gab ihr Nahrung von seinem. Nach Verlauf von Tagen erkrankte er und war dem Tode nahe. Da sprachen die Dienstengel vor dem Heiligen, gepriesen sei er: Herr der Welt, du sagtest, wenn jemand eine Seele von Jisraél erhält, sei es ebenso, als erhielte er die ganze Welt, nun aber soll Binjamin der Gerechte, der eine Frau mit ihren sieben Kindern am Leben erhalten hat, nach wenigen Jahren sterben!? Hierauf zerriß man sofort seinen Gerichtsbeschluß. Es wird gelehrt: Man fügte ihm noch zweiundzwanzig Jahre zu seinen Lebensjahren hinzu.
Bava Batra 11a:3	Die Rabbanan lehrten: Einst verschwendete$fn388der König Monobaz all seine Schätze und die Schätze seiner Vorfahren. Da taten sich seine Brüder und seine Familienangehörigen zusammen und sprachen zu ihm: Deine Vorfahren haben [Schätze] aufbewahrt und zu denen ihrer Väter gefügt, und du verschwendest sie! Er erwiderte ihnen: Meine Vorfahren haben sie hienieden aufbewahrt, ich aber habe sie droben aufbewahrt. Wie es heißt:$fn389<i>Wahrheit sproßt aus der Erde hervor, und Wohltätigkeit schaut vom Himmel hernieder</i>. Meine Vorfahren haben aufbewahrt an einem Orte, wo die Hand Gewalt hat, ich aber habe aufbewahrt an einem Orte, wo die Hand keine Gewalt hat, wie es heißt:$fn390<i>Wohltätigkeit und Recht ist die Grundfeste deines Thrones</i>. 
Bava Batra 11a:4	Meine Vorfahren haben aufbewahrt eine Sache, die keine Früchte trägt, ich aber habe aufbewahrt eine Sache, die Früchte trägt, wie es heißt:$fn391<i>sprechet zum Gerechten, daß es ihm gut gehen wird, denn die Frucht ihrer Werke werden sie essen</i>. Meine Vorfahren haben Geldschälze gesammelt, ich aber habe Seelenschätze gesammelt, wie es heißt:$fn392<i>die Fracht des Gerechten ist ein Lebensbaum, und Seelen gewinnt der Weise</i>. Meine Vorfahren haben für andere aufbewahrt, ich aber habe für mich selber aufbewahrt, wie es heißt:$fn393<i>dir wird es zur Wohltätigkeit sein</i>. Meine Vorfahren haben für diese Welt aufbewahrt, ich aber habe für die zukünftige Welt aufbewahrt, wie es heißt:$fn394<i>deine Wohltätigkeit wird vor dir hergehen, die Herrlichkeit des Herrn deinen Zug beschließen</i>.
Bava Batra 11a:5	H<small>AT MAN DA EIN</small> W<small>OHNHAUS GEKAUFT</small>, <small>SO GLEICHT MAN SOFORT DEN ÜBRIGEN</small> B<small>ÜRGERN DER</small> S<small>TADT</small>. Die Mišna vertritt also nicht die Ansicht des R. Šimo͑n b. Gamliél, denn es wird gelehrt: R. Šimo͑n b. Gamliél sagt, wenn man da irgend ein Stück Land gekauft hat, gleiche man den übrigen Bürgern der Stadt. – 
Bava Batra 11a:6	Es wird ja aber gelehrt: R. Šimo͑n b. Gamliél sagt, wenn man da ein zum Bau eines Wohnhauses geeignetes Stück Land gekauft hat, gleiche man den übrigen Bürgern der Stadt!? – Zwei Tannaím streiten über die Ansicht des R. Šimo͑n b. Gamliél.
Bava Batra 11a:7	<sup>vi</sup><b>M</b><small>AN BRAUCHT EINEN</small> H<small>OF NUR DANN ZU TEILEN</small>, <small>WENN VIER</small> E<small>LLEN</small>$fn395<small>FÜR DEN EINEN UND VIER</small> E<small>LLEN FÜR DEN ANDEREN VERBLEIBEN</small>; <small>EIN</small> F<small>ELD NUR DANN</small>, <small>WENN NEUN</small> K<small>AB</small>$fn396<small>FÜR DEN EINEN UND NEUN</small> K<small>AB FÜR DEN ANDEREN VERBLEIBEN</small>. R. J<small>EHUDA SAGT</small>, <small>WENN NEUN HALBE</small> K<small>AB FÜR DEN EINEN UND NEUN HALBE</small> K<small>AB FÜR DEN ANDEREN VERBLEIBEN</small>. E<small>INEN</small> G<small>ARTEN NUR DANN</small>, <small>WENN EIN HALBER</small> K<small>AB</small>$fn396<small>FÜR DEN EINEN UND EIN HALBER</small> K<small>AB FÜR DEN ANDEREN VERBLEIBT</small>. R. A͑<small>QIBA SAGT</small>, <small>EIN</small> V<small>IERTEL</small> [K<small>AB</small>]. 
Bava Batra 11a:8	E<small>INEN</small> S<small>AAL</small>$fn397, <small>EINE</small> V<small>ORRATSKAMMER</small>$fn398, <small>EINEN</small> T<small>AUBENSCHLAG</small>, <small>EIN</small> G<small>EWAND</small>, <small>EIN</small> B<small>ADEHAUS</small>, <small>ODER EINE</small> Ö<small>LPRESSE NUR DANN</small>, <small>WENN SOWOHL FÜR DEN EINEN ALS AUCH FÜR DEN ANDEREN HINREICHEND ZURÜCKBLEIBT</small>. D<small>IE</small> R<small>EGEL HIERBEI IST</small>: <small>WENN NACH DER</small> T<small>EILUNG DER</small> N<small>AME BEIBEHALTEN WIRD</small>, <small>SO TEILEN SIE</small>, <small>WENN ABER NICHT</small>, <small>SO BRAUCHEN SIE NICHT ZU TEILEN</small>. 
