Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 11a:12	Nach dem sie im Nisan geboren wurden, sind sie auch im Nisan gestorben, und nach dem sie im Tišri geboren wurden, sind sie auch im Tišri gestorben. Es heißt nämlich:$fn177<i>und er sprach zu ihnen: Hundertundzwanzig Jahre bin ich heute</i>; es brauchte ja nicht <i>heute</i> zu heißen, und wenn es dennoch <i>heute</i> heißt, so besagt dies: heute wurden meine Tage und Jahre vollzählig. Dies lehrt dich, daß der Heilige, gepriesen sei er, dasitzt und die Jahre der Frommen auf den Tag und auf den Monat vollzählig werden läßt, wie es heißt :$fn178<i>die Zahl deiner Tage mache ich voll</i>.
Rosh Hashanah 11a:13	«Am Pesaḥ wurde Jiçḥaq geboren.» Woher dies? – Es heißt:$fn179<i>am nächsten Feste komme ich wieder</i>; wann war dies: wenn am Pesaḥ, und er es ihr zum Wochenfeste verhieß, wie konnte sie nach fünfzig Tagen gebären, und wenn es am Wochenfeste war, und er es ihr zum Tišri verhieß, wie konnte sie nach fünf Monaten gebären!? Vielmehr war es am Hüttenfeste, und er verhieß es ihr zum Nisan. – 
Rosh Hashanah 11a:14	Wenn auch, wie konnte sie nach sechs Monaten gebären!? – Es wird gelehrt, jenes Jahr war ein Schaltjahr$fn180. – Wenn aber der Meister die Unreinheitstage$fn181abzieht, sind es ja weniger!? 
Rosh Hashanah 11a:15	Mar Zuṭra erwiderte: Auch nach demjenigen, der sagt, die mit neun Monaten Gebärende gebärt nicht bei unvollständigen, gebärt die mit sieben Monaten Gebärende auch bei unvollständigen, denn es heißt:$fn182<i>und es geschah nach den Kreisungen von Tagen</i>; Kreisungen$fn183sind mindestens zwei und Tagen sind mindestens zwei.
Rosh Hashanah 11a:16	«Am Neujahrsfeste wurden Sara, Raḥel und Ḥanna bedacht.» Woher dies? R. Elea͑zar erwiderte: Dies ist durch [das Wort] <i>denken</i> und durch [das Wort] <i>erinnern</i> zu folgern. [Durch das Wort <i>erinnern</i>], denn bei Raḥel heißt es:$fn184<i>und Gott erinnerte sich der Raḥel</i>, und bei Ḥanna heißt es ebenfalls:$fn185<i>und der Herr erinnerte sich ihrer</i>, und man folgere es durch [das Wort] <i>erinnern</i>, das auch beim Neujahrsfeste gebraucht wird, denn es heißt:$fn186<i>ein Ruhetag, mit erinnerndem Lärmblasen</i>. 
Rosh Hashanah 11a:17	Durch [das Wort] <i>denken</i>, denn bei Hanna heißt es:$fn187<i>denn der Herr gedachte der Ḥanna</i>, und bei Sara heißt es ebenfalls:$fn188<i>und der Herr gedachte der Sara</i>.
Rosh Hashanah 11a:18	«Am Neujahrsfeste verließ Joseph das Gefängnis.» Es heißt:$fn189<i>stoβt am Neumond in die Posaune, am Verborgenen auf den Tag unseres Festes, denn es ist eine Festsetzung für Jisraél &amp;c. 
Rosh Hashanah 11b:1	Er hat es als Zeugnis</i> <i>in Jehoseph festgesetzt, als er auszog &amp;c</i>.
Rosh Hashanah 11b:2	«Am Neujahrsfeste hörte der Frondienst unserer Väter in Miçrajim auf.» Hierbei heißt es:$fn190<i>ich will euch erlösen von dem Frondienste, den ihr Miçrajim leistet</i>, und [beim Neujahrsfeste] heißt es:$fn191<i>ich habe seine Schulter vom Frondienste befreit</i>. 
Rosh Hashanah 11b:3	«Im Nisan wurden sie erlöst.» Wie bereits gesagt. «Im Tišri werden sie dereinst erlöst werden.» Dies ist durch [das Wort] <i>Posaune</i> zu folgern. Da heißt es: <i>stoßt am Neumond in die Posaune</i>, und hierbei heißt es:$fn192<i>an diesem Tage wird in eine große Posaune gestoßen werden</i>. 
Rosh Hashanah 11b:4	«R. Jehošua͑ sagte &amp;c. Im Nisan wurden sie erlöst und im Nisan werden sie dereinst erlöst werden.» Woher dies? – Die Schrift sagt:$fn193<i>eine Verwahrungsnacht</i>, eine Nacht, die seit den sechs Schöpfungstagen verwahrt ist. – 
Rosh Hashanah 11b:5	Und jener!? – Eine Nacht, die vor Dämonen verwahrt ist.
Rosh Hashanah 11b:6	Sie vertreten hierbei ihre Ansichten, denn es wird gelehrt :$fn194<i>Im sechshundertsten Lebensjahre Noaḥs, im zweiten Monate, am siebzehnten Tage des Monats</i>. R. Jehušua͑ sagte: Dieser Tag war der siebzehnte Ijar, ein Tag, an dem der Kima$fn195am Tage untergeht und die Wasserquellen abnehmen. Da aber [die Leute] ihre Handlungen [zum Bösen] geändert hatten, änderte der Heilige, gepriesen sei er, ihretwegen auch das Schöpfungswerk: er ließ den Kima am Tage aufgehen, nahm von diesem zwei Sterne fort und brachte die Sintflut über die Welt. 
Rosh Hashanah 11b:7	R. Elie͑zer sagte: Dieser Tag war der siebzehnte Marḥešvan, ein Tag, an dem der Kima am Tage aufgeht und die Wasserquellen zunehmen.
Rosh Hashanah 12a:1	Da jene aber ihre Handlungen [zum Bösen] geändert hatten, änderte der Heilige, gepriesen sei er, ihretwegen auch das Schöpfungswerk: als der Kima am Tage aufstieg, nahm er von diesem zwei Sterne fort und brachte die Sintflut über die Welt. – 
Rosh Hashanah 12a:2	Richtig ist es nach Jehošua͑, daß es <i>im zweiten</i> heißt, wieso aber heißt es nach R. Elie͑zer im zweiten!? – Im zweiten des Gerichtsmonats$fn196. –
Rosh Hashanah 12a:3	Allerdings wurde nach R. Jehošua͑ [das Schöpfungswerk] geändert, wieso aber wurde es nach R. Elie͑zer geändert!? – 
Rosh Hashanah 12a:4	Nach einer Lehre R. Ḥisdas, denn R. Ḥisda sagte: Mit Heißem sündigten sie und mit Heißem wurden sie bestraft. Mit Heißem sündigten sie, mit der Unzucht, mit Heißem wurden sie bestraft, denn hier$fn197heißt es: <i>das Wasser ward still</i>, und dort$fn198heißt es: <i>und die Zornglut des Königs wurde gestillt</i>.
Rosh Hashanah 12a:5	Die Rabbanan lehrten: Die Weisen Jisraélsrechnen hinsichtlich der Sintflut nach R. Elie͑zer und hinsichtlich der Jahreswende$fn199nach R. Jehošua͑, die Weisen der weltlichen Völker rechnen auch hinsichtlich der Sintflut wie R. Jehošua͑.
Rosh Hashanah 12a:6	U<small>ND</small> K<small>RÄUTER. ES</small> wurde gelehrt: Der Kräuter, der Zehnte und der Gelübde. – Unter ‘Kräuter’ ist ja der Zehnt von den Kräutern zu verstehen, somit ist es ja dasselbe wie ‘Zehnte’!? – 
Rosh Hashanah 12a:7	Er lehrt vom rabbanitischen Zehnten$fn200und vom Zehnten der Tora. – 
Rosh Hashanah 12a:8	Sollte er doch den der Tora zuerst nennen!? – Da ihm dieses$fn201lieb ist, nennt er es zuerst. – Und unser Tanna!? – Er lehrt es vom rabbanitischen, während es von dem der Tora selbstverständlich ist. – 
Rosh Hashanah 12a:9	Sollte er ‘Zehnt’ [in der Einzahl] lehren!? – Sowohl der Viehzehnt als auch der Getreidezehnt. – Sollte er doch ‘Kraut‘ [in der Einzahl] lehren!?–Es gibt zwei Arten Kraut, wie wir gelernt halben: Kräuter, die gebündelt werden, [sind zehntpflichtig], sobald sie gebündelt werden, die nicht gebündelt werden, sobald man sie in ein Gefäß gefüllt hat.
Rosh Hashanah 12a:10	Die Rabbanan lehrten: Hat man am Vorabend des Neujahrsfestes Kräuter vor Sonnenuntergang, dann wiederum
Rosh Hashanah 12b:1	nach Sonnenuntergang gesammelt, so darf man die Hebe und den Zehnten nicht von einem für das andere absondern, weil man die Hebe und den Zehnten weder vom Neuen für das Alte noch vom Alten für das Neue abheben darf. Erfolgt dies an der Wende des zweiten zum dritten$fn202Jahre, so sind von denen des zweiten Jahres der erste Zehnt und der zweite Zehnt, und von denen des dritten Jahres der erste Zehnt und der Armenzehnt [zu entrichten]. –
Rosh Hashanah 12b:2	Woher dies$fn203? R. Jehošua͑ b.Levi erwiderte:$fn204<i>Wenn du beendet hast im dritten Jahre, dem Zehntjahre, den ganzen Zehnten von deinem ganzen Ertrage zu entrichten</i>; ein Jahr, in dem nur ein Zehnt zu entrichten ist, nämlich der erste Zehnt und dazu der Armenzehnt, während der zweite Zehnt ausfällt. –
Rosh Hashanah 12b:3	Vielleicht ist dem nicht so: auch der erste Zehnt fällt fort!? – Es heißt:$fn205<i>den Leviten aber sollst du sagen und sie anweisen: wenn ihr von den Kindern Jisraél den Zehnten in Empfang nehmet, den ich euch von jenen zum Erbbesitze überwiesen habe</i>; die Schrift vergleicht ihn mit einem Erbbesitze: wie dieser keine Unterbrechung erleidet, ebenso erleidet auch der erste Zehnt keine Unterbrechung. 
Rosh Hashanah 12b:4	Ein Anderes lehrt: <i>Wenn du beendet hast &amp;c.:</i> ein Jahr, in dem nur ein Zehnt zu entrichten ist, nämlich der erste Zehnt und dazu der Armenzehnt, während der zweite Zehnt ausfällt. Man könnte glauben, auch der erste Zehnt falle aus, so heißt es:$fn206<i>damit der Levite komme</i>; sobald er kommt, gib ihm – so R. Jehuda. 
Rosh Hashanah 12b:5	R. Elie͑zer b. Ja͑qob sagte: Dies ist gar nicht nötig; es heißt ja: <i>den Leviten aber sollst du sagen und sie anweisen: wenn ihr von den Kindern Jisraél den Zehnten in Empfang nehmet, den ich euch von jenen zum Erbbesitze überwiesen habe</i>; die Schrift vergleicht ihn mit einem Erbbesitze: wie dieser keine Unterbrechung erleidet, ebenso erleidet auch der erste Zehnt keine Unterbrechung.
Rosh Hashanah 12b:6	«Und der Gelübde &amp;c.» Die Rabbanan lehrten: Wer sich den Genuß von seinem Nächsten auf ein Jahr abgelobt hat, zähle zwölf Monate vom betreffenden Tage bis zum selben Tage [des nächsten Jahres]; sagte er: dieses Jahr, so ist, selbst wenn dies am neunundzwanzigsten Elul erfolgt ist, am ersten Tišri das Jahr abgelaufen.
Rosh Hashanah 12b:7	Dies sogar nach demjenigen, welcher sagt, ein Tag des Jahres gelte nicht als Jahr, denn dieser wollte sich ja nur eine Enthaltsamkeit auferlegen, und er hat sich ja enthalten. – 
Rosh Hashanah 12b:8	Vielleicht ist es der Nisan!? – Bei Gelübden richte man sich nach dem volkstümlichen Sprachgebrauche.
Rosh Hashanah 12b:9	Dort haben wir gelernt: Bockshornklee [ist zehntpflichtig], sobald er auswächst, Getreide und Oliven, sobald sie ein Drittel [des Wachstums] erreicht haben. – 
Rosh Hashanah 12b:10	Was heißt ‘auswächst’? – Zur Aussaat ausgewachsen. – 
Rosh Hashanah 12b:11	«Getreide und Oliven, sobald sie ein Drittel [des Wachstums] erreicht haben.» Woher dies? R. Asi erwiderte im Namen R. Joḥanans, und manche meinen, im Namen R. Joses des Galiläers: Die Schrift sagt:$fn207<i>nach Ablauf von sieben Jahren, im Erlaßjahre, am Hüttenfeste</i>; wieso Erlaßjahr, am Hüttenfeste$fn208ist es ja das achte Jahr!? 
Rosh Hashanah 12b:12	Dies besagt vielmehr, daß jedes Getreide, das im Siebentjahre vor dem Neujahrsfeste ein Drittel [des Wachstums] erreicht hat, im achten Jahre als Siebentjahrsfrucht zu behandeln ist. 
Rosh Hashanah 12b:13	R. Zera sprach zu R. Asi: 
Rosh Hashanah 13a:1	Vielleicht, wenn es noch gar nicht [gewachsen] ist, und der Allbarmherzige sagt, daß es bis zum Hüttenfeste zum Erlaßjahre gehört!? –
Rosh Hashanah 13a:2	Dies ist nicht anzunehmen; es heißt ja:$fn209<i>das Fest der Ernte beim Ausgange des Jahres</i>; was heißt ‘Fest der Ernte’: 
Rosh Hashanah 13a:3	wollte man sagen, das Fest, das um die Zeit der Ernte, so heißt es ja bereits:$fn209<i>wenn du einsammelst</i>; wahrscheinlich ist unter ‘Fest der Ernte’ das Mähen zu verstehen. Den Rabbanan ist es bekannt, daß das Getreide, das am Hüttenfest gemäht wird, am Neujahrsfeste ein Drittel [des Wachstums] erreicht hat, und er nennt es Ausgang des Jahres.
Rosh Hashanah 13a:4	R. Jirmeja sprach zu R. Zera : Wissen die Rabbanan so genau zwischen einem Drittel und weniger als einem Drittel zu unterscheiden!? Dieser erwiderte: Habe ich dir etwa nicht gesagt, daß du an den Festsetzungen nicht rütteln sollst!? So ist es bei allen Normen der Weisen:
Rosh Hashanah 13a:5	in vierzig Sea͑ [Wasser] kann man [rituell] untertauchen, in vierzig Sea͑ weniger eines Qurṭub$fn210kann man nicht untertauchen; in Eigröße sind Speisen verunreinigungsfähig, in Eigröße weniger eines Sesamkörnchens sind sie nicht verunreinigungsfähig; in der Größe von drei zu drei [Handbreiten] ist eine Sache durch Auftreten$fn211verunreinigungsfähig, 
Rosh Hashanah 13a:6	von drei zu drei weniger eines Haares ist sie durch Auftreten nicht verunreinigungsfähig. 
Rosh Hashanah 13a:7	Später sprach R. Jirmeja: Was ich sagte, ist überhaupt nichts; die Genossen fragten R. Kahana, woher die Jisraéliten, als sie in das Land einzogen, ihre Schwingegarbe darbrachten, wollte man sagen, [vom Getreide] eines Nichtjuden, so sagt ja der Allbarmherzige: $fn212<i>eure Ernte</i>, nicht aber die Ernte eines Nichtjuden!? – 
Rosh Hashanah 13a:8	Woher aber, daß sie sie darbrachten, vielleicht brachten sie sie überhaupt nicht dar!? – Dies ist nicht wahrscheinlich, denn es heißt:$fn213<i>und sie aßen vom Ertrage des Landes am auf den Pesaḥ folgenden Tage</i>; sie aßen also erst am auf den Pesaḥ folgenden Tage und nicht vorher, weil sie zuerst die Schwingegarbe darbrachten und nachher aßen. – 
Rosh Hashanah 13a:9	[Sie fragten] also, woher jene sie darbrachten, und dieser erwiderte ihnen, von dem, was im Besitze eines Nichtjuden kein Drittel [des Wachstums] erreicht hatte. 
Rosh Hashanah 13a:10	Vielleicht hatte es erreicht, ohne daß man es feststellen konnte!? Vielmehr war es ihnen bekannt, ebenso ist es auch hierbei bekannt. –
Rosh Hashanah 13a:11	Vielleicht von dem, was noch nichts erreicht hätte, während sie bei dem, was schon ein Viertel [des Wachstums] erreicht hat, zwischen einem Drittel und weniger als einem Drittel nicht zu unterscheiden vermochten!? – 
Rosh Hashanah 13a:12	Dies ist nicht anzunehmen; es heißt:$fn214<i>das Volk kam am zehnten des ersten Monats aus dem Jarden herauf</i>, und wenn du sagen wolltest, es hatte noch garnichts erreicht, so konnte es ja in fünf Tagen nicht reifen. – Wieso konnte es in fünf Tagen reifen,
Rosh Hashanah 13a:13	auch wenn es ein Viertel oder ein Sechstel [des Wachstums] erreicht hat!? Vielmehr mußt du sagen, [das Jisraélland] heiße ein Rehland$fn215, (ebenso auch hierbei, [das Jisraélland] heißt ein Rehland.) 
Rosh Hashanah 13a:14	R. Ḥanina wandte ein: Wieso kannst du sagen, unter ‘Ernte’ sei das Mähen zu verstehen, es heißt ja:$fn216<i>wenn du von deiner Tenne und deiner Kelter erntest</i>, und der Meister sagte, die Schrift spreche vom Abfall der Tenne und der Kelter!? 
Rosh Hashanah 13a:15	R. Zera sprach: Bis jetzt hatten wir es, und nun kam R. Ḥanina und warf eine Keule hinein. – Woher wissen wir es nun? – 
Rosh Hashanah 13a:16	Wie gelehrt wird: R. Jonathan b. Joseph sagte:$fn217<i>Und es wird den Ertrag aller drei Jahre bringen</i>; 
Rosh Hashanah 13b:1	man lese nicht <i>drei</i> sondern <i>Drittel</i>. – 
Rosh Hashanah 13b:2	Dieser [Vers] ist ja an sich nötig$fn218!? – Diesbezüglich gibt es einen anderen Vers :$fn219<i>und wenn ihr im achten Jahre säet, werdet ihr vom Ertrage alter [Getreide] essen, bis zum neunten Jahre</i>.
Rosh Hashanah 13b:3	Dort haben wir gelernt: Reis, Hirse, Mohn und Sesam, die vor dem Neujahrsfeste gewurzelt haben, werden als vorjährige Früchte verzehntet und sind im Siebentjahre erlaubt; wenn aber nicht, so sind sie im Siebentjahre verboten und werden als diesjährige Früchte verzehntet. 
Rosh Hashanah 13b:4	Rabba sprach: Die Rabbanan sagten ja, daß man sich bei der Baumfrucht nach dem Knospen richte, bei Getreide und Oliven danach, ob sie ein Drittel [des Wachstums] erreicht haben, und beim Kraute nach dem Pflücken; welchen [Pflanzen] haben die Rabbanan jene gleichgestellt? 
Rosh Hashanah 13b:5	Später sprach Rabba: Da sie nach und nach gesammelt werden, so richten sich die Rabbanan bei ihnen nach dem Wurzeln.
Rosh Hashanah 13b:6	Abaiie sprach zu ihm: Man kann ja alles aufschobern, sodann entrichtet man die Hebe vom Diesjährigen$fn220für Diesjähriges und vom Vorjährigen für Vorjähriges!?
Rosh Hashanah 13b:7	Es wird ja auch gelehrt: R. Jose b.Kipper sagte im Namen des R. Šimo͑n Šezori: Wenn man ägyptische Bohnen zur Aussaat gesät, und ein Teil vor und einen Teil nach dem Neujahrsfeste gewurzelt hat, so darf man nicht die Hebe und den Zehnten von diesem für jenen und von jenem für diesen absondern, weil man die Hebe und den Zehnten nicht von Diesjährigem für Vorjähriges und nicht von Vorjährigem für Diesjähriges absondern darf. 
Rosh Hashanah 13b:8	Was mache man? Man schobere alles auf, sodann entrichtet man die Hebe und den Zehnten von Diesjährigem für Diesjähriges und von Vorjährigem für Vorjähriges. 
Rosh Hashanah 13b:9	Jener erwiderte: Du berufst dich auf R. Šimo͑n Šezori!? R. Šimo͑n Šezori ist der Ansicht, es gebe eine Vermengung, 
Rosh Hashanah 13b:10	und die Rabbanan sind der Ansicht, es gebe keine Vermengung. 
Rosh Hashanah 13b:11	R. Jiçhaq b. Naḥmani sagte im Namen Šemuéls: Die Halakha ist wie R. Jose b.Kipper, wie er im Namen des R. Šimo͑n Šezori sagte. R. Zera wandte ein : Kann Šemuél dies denn gesagt haben, er sagte ja, sonst gebe es$fn221keine Vermengung, ausgenommen Wein und Öl!? – 
Rosh Hashanah 13b:12	Ihm war das entgangen, was Šemuél gesagt hat, daß man sich stets nach dem Fertigwerden$fn222der Frucht richte.
Rosh Hashanah 14a:1	Und [alle drei Lehren Šemuéls] sind nötig. Würde er nur gelehrt haben, die Halakha sei wie R. Šimo͑n Šezori, so könnte man glauben, er sei der Ansicht, es gebe eine Vermengung, so lehrt er uns, daß es sonst keine Vermengung gebe. 
Rosh Hashanah 14a:2	Würde er uns gelehrt haben, es gebe sonst keine Vermengung, so könnte man glauben, er sei der Ansicht der Rabbanan, so lehrt er uns, die Halakha sei wie R. Šimo͑n Šezori. 
Rosh Hashanah 14a:3	Würde er nur diese beiden gelehrt haben, so könnte man glauben, Šemuél widerspreche sich selbst, so lehrt er uns, daß man sich stets nach dem Fertigwerden der Frucht richte. 
Rosh Hashanah 14a:4	Und würde er nur gelehrt haben, man richte sich stets nach dem Fertigwerden der Frucht, so könnte man glauben, auch bei Getreide und Oliven, so lehrt er uns, die Halakha sei bei diesem Streite wie R. Šimo͑n Šezori. – 
Rosh Hashanah 14a:5	Sollte er doch nur zwei gelehrt haben, wozu lehrt er, sonst gebe es keine Vermengung!? – Er lehrt uns, daß es beim Weine und beim Öl eine Vermengung gebe.
Rosh Hashanah 14a:6	Es wird gelehrt: R. Jose der Galiläer sagte:$fn216<i>Wenn du von deiner Tenne und deiner Kelter erntest</i>; wie [Früchte der] Kelter und der Tenne sich dadurch auszeichnen, daß sie durch die Bewässerung des Vorjahres gewachsen sind und [nach dem Neujahrsfeste] als vorjährige Früchte zu verzehnten sind, ebenso ist auch alles andere, was durch die vorjährige Bewässerung gewachsen ist, als vorjährige Frucht zu verzehnten, ausgenommen ist also das Kraut, das durch diesjährige Bewässerung wächst, und es ist daher als diesjährige Frucht zu verzehnten. 
Rosh Hashanah 14a:7	R. A͑qiba sagte: <i>Wenn du von deiner Tenne und deiner Kelter erntest</i>; wie [Früchte der] Tenne und der Kelter sich dadurch auszeichnen, daß sie durch die reichhaltigere [Regen-]Bewässerung wachsen und [nach dem Neujahrsfeste] als vorjährige Frucht zu verzehnten sind, ebenso ist auch alles andere, was durch die reichhaltigere [Regen-]Bewässerung wächst, als vorjährige Frucht zu verzehnten; ausgenommen ist also das Kraut, das durch jede Bewässerung wächst, und es ist daher als diesjährige Frucht zu verzehnten. – 
Rosh Hashanah 14a:8	Welchen Unterschied gibt es zwischen ihnen? R. Abahu erwiderte: Einen Unterschied gibt es zwischen ihnen bei Schalotten und ägyptischen Bohnen. Wir haben nämlich gelernt: Schalotten und ägyptische Bohnen sind, wenn man sie dreißig Tage vor dem Neujahrsfeste nicht bewässert hat, als vorjährige Früchte zu verzehnten und im Siebentjahre erlaubt, sonst aber sind sie im Siebentjahre verboten und als diesjährige Früchte zu verzehnten.
Rosh Hashanah 14a:9	A<small>M ERSTEN</small> Š<small>EBAṬ IST</small> J<small>AHRESANFANG DER</small> B<small>ÄUME</small>. Aus welchem Grunde? R. Elea͑zar erwiderte im Namen R. Oša͑jas: Weil dann die Regenperiode vorüber ist, während der größere Teil der Jahreszeit noch bevorsteht. – 
Rosh Hashanah 14a:10	Wie meint er es? – Er meint es wie folgt: obgleich der größere Teil der Jahreszeit noch bevorsteht, denn die Regenperiode ist vorüber.
Rosh Hashanah 14a:11	Die Rabbanan lehrten: Einst pflückte R. A͑qiba am ersten Šebaṭ Etrogfrüchte und entrichtete von diesen beide$fn223Zehnte; 
Rosh Hashanah 14b:1	einen nach der Ansicht der Schule Šammajs und einen nach der Ansicht der Schule Hillels. 
Rosh Hashanah 14b:2	R. Jose b.Jehuda sagte, er habe hierbei nicht die Ansichten der Schule Šammajs und der Schule Hillels berücksichtigt, sondern die des R. Gamliél und des R. Elie͑zer. 
Rosh Hashanah 14b:3	Wir haben nämlich gelernt: Der Etrog gleicht in dreifacher Hinsicht dem Baume und in einer Hinsicht dem Kraute; er gleicht in dreifacher Hinsicht dem Baume: hinsichtlich des Ungeweihten, der Vierjahrsfrucht und des Siebentjahres; in einer Hinsicht dem Kraute, indem er beim Pflücken zu verzehnten ist – so R. Gamliél;
Rosh Hashanah 14b:4	R. Elie͑zer sagt, der Etrog gleiche in jeder Hinsicht dem Baume. – 
Rosh Hashanah 14b:5	Darf man denn nach den Erschwerungen zweier Ansichten verfahren, es wird ja gelehrt: Die Halakha ist stets nach der Schule Hillels zu entscheiden, jedoch ist es jedem überlassen, entweder nach der Schule Šammajs oder nach der Schule Hillels zu verfahren. Wer nach den Erleichterungen der Schule Šammajs und nach den Erleichterungen der Schule Hillels [verfährt], ist ein Übeltäter, wer nach den Erschwerungen der Schule Šammajs und nach den Erschwerungen der Schule Hillels, über den spricht die Schrift:$fn224<i>der Tor wandelt im Finstern</i>. Vielmehr, entweder nach der Schule Šammajs in ihren Erleichterungen und ihren Erschwerungen, oder nach der Schule Hillels in ihren Erleichterungen und ihren Erschwerungen!? – 
Rosh Hashanah 14b:6	R. A͑qiba war darüber selbst im Unklaren; er wußte nämlich nicht, ob es$fn225nach der Schule Hillels der erste Šebaṭ oder der fünfzehnte Šebaṭ ist. – 
Rosh Hashanah 14b:7	«R. Jose b.Jehuda sagte, er habe hierbei nicht die Ansichten der Schule Šammajs und der Schule Hillels berücksichtigt, sondern die des R. Gamliél und des R. Elie͑zer.» Am ersten Šebaṭ, also nach der Schule Šammajs!? 
Rosh Hashanah 14b:8	R. Ḥanina, nach anderen R. Ḥananja, erwiderte: Hier handelt es sich um einen Etrog, dessen Früchte schon vor dem vorjährigen fünfzehnten Šebaṭ Knospen hatten; gesetzlich war bereits vorher so zu verfahren, nur geschah das Ereignis erst dann. 
Rosh Hashanah 14b:9	Rabina erwiderte: Verdopple es$fn226und lehre wie folgt: dies war nicht am ersten Šebaṭ, sondern am fünfzehnten, und er berücksichtigte nicht die Ansichten der Schule Šammajs und der Schule Hillels, sondern die des R. Gamliél und des R. Elie͑zer. 
Rosh Hashanah 14b:10	Rabba b. Ḥona sprach: Da nun R. Gamliél sagt, bei der Verzehntung des Etrog richte man sich nach dem Pflücken, wie beim Kraute, so ist dessen Jahresanfang der Tišri.
Rosh Hashanah 14b:11	Man wandte ein: R. Šimo͑n b.Elie͑zer sagte: Hat man am Vorabend des fünfzehnten Šebaṭ Etrogfrüchte vor Sonnenuntergang gepflückt, dann wiederum nach Sonnenuntergang, so darf man nicht die Hebe und den Zehnten von diesen für jene und von jenen für diese absondern, weil man die Hebe und den Zehnten nicht vom Diesjährigen für das Vorjährige und nicht vom Vorjährigen für das Diesjährige entrichten darf. Erfolgt es an der Wende des dritten zum vierten$fn227Jahre, so ist von [den Früchten] des dritten Jahres der erste Zehnt und der Armenzehnt und von [den Früchten] des vierten Jahres der erste Zehnt und der zweite Zehnt zu entrichten. 
Rosh Hashanah 15a:1	Derjenige, der sich nach dem Pflücken richtet, ist ja R. Gamliél, und er lehrt, der Šebaṭ [sei Jahresanfang]!? –
Rosh Hashanah 15a:2	Vielmehr, ist dies gelehrt worden, so wird es wie folgt lauten: Rabba b. Hona sagte : Obgleich R. Gamliél sagt, [bei der Verzehntung] des Etrog richte man sich nach dem Pflücken, so ist deren Jahresanfang dennoch der Šebaṭ. – 
Rosh Hashanah 15a:3	Weshalb lehrt er dort$fn227von der Wende des zweiten zum dritten, hier aber von der Wende des dritten zum vierten Jahre? – 
Rosh Hashanah 15a:4	Er lehrt uns etwas nebenbei, daß nämlich dem Etrog das Betasten schade, und da im Siebentjahre alle Welt [die Bäume] betastet, so trägt er Früchte erst nach drei Jahren.
Rosh Hashanah 15a:5	R. Joḥanan fragte R. Jannaj: Wann ist der Jahresanfang für den Etrog? Dieser erwiderte: Im Sebaṭ. – Im Monate Šebaṭ oder im Šebaṭ des Jahreskreises$fn228? Dieser erwiderte: Im [Mond]monate. 
Rosh Hashanah 15a:6	Raba fragte R. Naḥman, und wie manche sagen, R. Joḥanan den R. Jannaj: Wie ist es in einem Schaltjahre$fn229? Dieser erwiderte: Man richte sich nach den meisten Jahren$fn230.
Rosh Hashanah 15a:7	Rabba sagte: Der aus dem sechsten Jahre in das Siebentjahr hineinragende Etrog ist zehntfrei und unterliegt nicht der Fortschaffung$fn231; der aus dem Siebentjahre in das achte Jahr hineinragende ist zehntfrei, jedoch unterliegt er der Fortschaffung. 
Rosh Hashanah 15a:8	Abajje sprach zu ihm: Allerdings ist der Schlußsatz erschwerend, weshalb aber unterliegt er im Anfangssatz nicht der Fortschaffung:
Rosh Hashanah 15a:9	weil man sich bei diesen nach dem Knospen richtet, somit sollte er auch zehntpflichtig$fn232sein!? 
Rosh Hashanah 15a:10	R. Hamnuna aber sagte: Der aus dem sechsten Jahre in das Siebentjahr hineinragende Etrog gehört immer zum sechsten Jahre, und der aus dem Siebentjahre in das achte Jahr hineinragende gehört immer zum Siebentjahre. 
Rosh Hashanah 15a:11	Man wandte ein: R. Šimo͑n b.Jehuda sagte im Namen R. Šimo͑ns: Der aus dem sechsten Jahre in das Siebentjahr hineinragende Etrog ist zehntfrei und unterliegt nicht der Fortschaffung, denn nur das, was beim Wachsen pflichtig war und beim Pflücken pflichtig war, ist zehntpflichtig; der aus dem Siebentjahre in das achte Jahr hineinragende ist zehntfrei und unterliegt nicht der Fortschaffung, denn nur das, was im Siebentjahre gewachsen ist und im Siebentjahre gepflückt worden ist, unterliegt der Fortschaffung. 
Rosh Hashanah 15a:12	Der Anfangssatz widerspricht also R. Hamnuna, und der Schlußsatz widerspricht sowohl Rabba als auch R. Hamnuna!? –
Rosh Hashanah 15a:13	[Hierüber streiten] Tannaím, denn es wird gelehrt: R. Jose sagte: Eutolmios bekundet im Namen von fünf Ältesten, daß man sich bei der Verzehntung des Etrog nach dem Pflücken richte; unsere Meister aber stimmten in U͑ša ab und beschlossen, nach dem Pflücken, sowohl hinsichtlich der Verzehntung als auch hinsichtlich des Siebentjahres.
Rosh Hashanah 15a:14	– Wer spricht hier vom Siebentjahre!? – 
