Index Title,Yalkut Shimoni on Nach
Yalkut Shimoni on Nach 979:46,"תן חלק לשבעה. רבי אליעזר ורבי יהושע, רבי אליעזר אומר הן חלק לשבעה אלו ז' ימי השבת, וגם לשמונה אלו שמונת ימי המילה, רבי יהושע אומר תן חלק לשבעה אלו שבעת ימי הפסח, וגם לשמונה אלו שמונת ימי החג."
Yalkut Shimoni on Nach 979:47,"דבר אחר תן חלק לשבעה אלו שבעת ימי החג. וגם לשמונה הזהר אף בקדושת יום השמיני, רבי יודן בר סימון בשם רבי מאיר אומר אם נתת חלק לשבעת ימי הנדה אתה זוכה לבן ואתה מולו לשמונה, וכן הוא אומר וטמאה שבעת ימים כימי נדת דותה, מה כתיב אחריו וביום השמיני ימול, ר' נחמיה אומר תן חלק לשבעה זה דור שמל משה לשבעה, וגם לשמונה זה דור שמל יהושע לשמונה. רבי סימון פתר קירא במלואים תן חלק לשבעה כי שבעת ימים ימלא את ידכם, וגם לשמונה ויהי ביום השמיני:"
Yalkut Shimoni on Nach 979:48,"בבקר זרע את זרעך ולערב אל תנח ידך. תניא רבי יהושע אומר נשא אשה בילדותו ישא אשה בזקנותו היו לו בנים בילדותו יהיו לו בנים בזקנותו, שנאמר בבקר זרע את זרעך ולערב אל תנח ידך, רבי עקיבא אומר למד תורה בילדותו ילמוד תורה בזקנותו שנאמר בבקר זרע את זרעך, היו לו תלמידים בילדותו יהיו לו תלמידים בזקנותו. כי אינך יודע אי זה יכשר הזה או זה ואם שניהם כאחד טובים, אמרו י""ב אלף זוגות תלמידים היו לו לר' עקיבא מגבת ועד אנטיפרס וכלום מתו בפרק אחד מפני שלא נהגו כבוד זה בזה, והיה העולם שמם, עד שבא רבי עקיבא אצל רבותינו שבדרום ושנאה להם, ר' מאיר ורבי יהודה ורבי יוסי ורבי שמעון ור' אלעזר בן שמוע הן והן העמידו את השעה, תנא כלם מתו בין פסח לעצרת, א""ר חייא בר אבא ואי תימא רב אידי בר אבין כלם מתו במיתה רעה, אמר רב נחמן בר יצחק מאי היא זו אסכרה. רבי דוסתאי ב""ר ינאי אומר בכרת. אם אחרת וזרעת ברביעה ראשונה אל תשב לך ברביעה שניה שמא יבא ברד לעולם ויתקיימו האחרונות, אם אחרת וזרעת ברביעה שניה אל תשב לך ברביעה שלישית שמא יבא שדפון לעולם וישתדפו הראשונות ויתקיימו האחרונות כי אינך יודע אי זה יכשר:"
Yalkut Shimoni on Nach 979:49,"מעשה בחסיד אחד שנתן דינר לעני בערב ראש השנה בשני בצורת, (והלך ולן בביתו) והקניטתו אשתו, והלך ולן בבית הקברות ושמע שתי רוחות מספרות זו עם זו אמרה אחת לחברתה חברתי בואי ונשוט בעולם ונדע מה פורענות באה לעולם, אמרה לה איני יכולה מפני שאני קבורה במחצלת של קנים, אלא לכי את ומה שאתה שומעת בואי ואמרי לי, הלכה ושטה ובאת ואמרה לה חברתה מה שמעת מאחורי הפרגוד, אמרה לה שמעתי שאומרים כל הזורע ברביעה ראשונה ברד מלקה אותו, הלך וזרע ברביעה שניה, של כל העולם כלו לקה ושלו לא לקה, לשנה האחרת הלך ולן בבית הקברות ושמע שתי רוחות מספרות וכו' (כדלעיל) עד שמעתי שהזורע ברביעה שניה שדפון מלקה אותו, הלך וזרע ברביעה ראשונה, של כל העולם כלו נשדף ושלו לא נשדף, אמרה לו אשתו מפני מה אשתקד של כל העולם כלו לקה ושלך לא לקה, ועכשיו של כל העולם כלו נשדף ושלך לא נשדף, סח לה כל המאורע, אמרו לא היו ימים מועטים עד שנפלה מריבה בין אשתו של החסיד ובין אמה של זו, אמרה לה בואי ואראך בתך שבורה במחצלת של קנים, לשנה אחרת הלך ולן בבית הקברות ושמע אותן שתי רוחות שמספרות זו עם זו בואי ונשוט בעולם ונדע מה פורענות עתיד לבא לעולם, א""ל דייך דברים שביני לבינך נשמעו בין החיים. נתת פרוטה לעני שחרית ובא עני אחד ועמד לפניך ערבית אם יש בידך ליתן לו תן לו, ואם לאו פטרהו מיד, ואל תאמר איני נותן כבר נתתי שחרית לאחר כי אינך יודע אי זה יכשר אי זה הגון ובן אבות. אם למדת תורה בעשרך אל תשב [בטל] בשעת עניות, לפי שטוב לאדם שיעשה מעט בדוחק ממאה פעמים ברוחה:"
Yalkut Shimoni on Nach 979:50,"שמח בחור בילדותך. אמר רב הונא עד כאן דברי יצר הרע, מכאן ואילך דברי יצר הטוב, ריש לקיש אמר עד כאן לדברי תורה מכאן ואילך למעשים טובים. א""ר שמואל בר יצחק בקשו חכמים לגנוז ספר קהלת שמצאו בו דברים שמטים לצד מינות, אמרו וכי כך שלמה צריך לומר שמח בחור בילדותך וגו', משה אמר ולא תתורו אחרי לבבכם ואחרי עיניכם, ושלמה אמר והלך בדרכי לבך הותרה הרצועה לית דין ולית דיין, כיון שאמר ודע כי על כל אלה יביאך האלקים במשפט אמרו יפה אמר שלמה:"
Yalkut Shimoni on Nach 979:51,"ודע כי על כל האלה. רבי חייא רבה ור' שמעון בן חלפתא, רבי חייא אמר ללסטים שברח מפני הקוסטינר אמר ליה המעט בריצה שלא תתיגע בחזרה, רבי שמעון בן חלפתא אומר לאחד ששט על המים אמרו ליה המעט בהליכה שלא תתיגע בחזרה, א""ר יאשיה לאחד שגנב את המכס וכיון דאיתצד אמר ליה אייתא מוכסא. אמר להון הן, אמרו לו מה את סבר דאנן בעיין דהדא זימנא, אנן בעיין דכל זימניא דהוה יליף גנוב מוכסא. ודע כי על כל אלה, אמר רבי לוי לעוף שהוא נתון בכלוב ובא חברו ועמד על גביו אמר לו אשריך מה מזונותיך מצויים לך, אמר במזונותי אתה מסתכל ובמצודה אי אתה מסתכל. ודע כי על כל אלה, משל לבן בליעל שנכנס לחנות אמר אייתי צמידא וחמר טוב וקופר שמן, היה יושב ואוכל ולא היה לו מה לשלם, בקש לצאת התחילו שוברין את שניו:"
Yalkut Shimoni on Nach 979:52,"והסר כעסך מלבך והעבר רעה מבשרך. אמר רבי שמואל בר נחמני א""ר יותנן כל הכועס כל מיני גהינום שולטים בו, ואין רעה אלא גיהנם שנאמר וגם רשע ליום רעה, ולא עוד אלא שתחתוניות שולטות בו שנאמר ונתן ה' לך שם לב רגז וכליון עינים ודאבון נפש, אי זהו דבר שמכלה את העינים ומדאיב את הנפש הוי אומר זה תחתוניות:"
Yalkut Shimoni on Nach 979:53,"אמר רב צורבא דרבנן דרתח אורייתא מרתחא ליה שנאמר הלא כה דברי כאש, אמר רב אשי כל תלמיד חכם שאינו קשה כברזל אינו תלמיד חכם שנאמר וכפטיש יפוצץ סלע, אמר רבינא מיבעי לאינש נפשיה בניחותא דכתיב והסר כעסך מלבך וגו':"
Yalkut Shimoni on Nach 979:54,"כי הילדות והשחרות הבל, אמר רבי יצחק דברים שאדם עושה בילדותו משחרין פניו לעת זקנותו:"
Yalkut Shimoni on Nach 979:55,"וזכור את בוראיך. תנן עקביא בן מהללאל אומר הסתכל בשלשה דברים ואין אתה בא לידי עבירה, דע מאין באת, ומה למעלה ממך, ולאן אתה הולך, א""ר אבא בר כהנא בשם רבי פסי ורבי יהושע דסיכנין בשם רבי לוי שלשתם דרש רבי עקיבא מתוך תיבה אחת בוראיך, בארך, בורך, בוראך. בארך זה ליחה סרוחה. בורך זה רמה ותולעה. בוראך זה מלך מלכי המלכים הקב""ה. בימי בחורותיך. תני רבי שמעון בן אלעזר [עושה צדקה] עד שאתה מוצא ומצוי לך. עד אשר לא יבאו ימי הרעה אלו ימי הזקנה. והגיעו שנים אשר תאמר אין לי בהם חפץ אלו ימי המשיח שאין בהם לא זכות ולא חובה. עד אשר לא תחשך השמש זה הפדחת. והאור זה החטם. והירח זה הנשמה. והכוכבים אלו הלסתות. ושבו העבים אחר הגשם זה מאור עיניו של אדם, אמר שמואל האי דמעתא עד ארבעין שנין הדרא. ביום שיזועו שומרי הבית אלו הכסלים והצלעות. והתעותו אנשי החיל אלו השוקים. ובטלו הטוחנות כי מעטו אלו השנים וההמסס. וחשכו הרואות בארובות אלו העינים, אמר ליה קיסר לרבי יהושע בן חנניה אמאי לא אתית לבי אבידן, אמר ליה טור תלג סחרנוהי גלידין כלב חי לא נבחין טחנוהי לא טחנין, בי רב אמרי עד דלא אבידנא בחישנא. אמר ליה רבי לרבי שמעון בן חלפתא מפני מה לא הקבלנו פנים כדרך שהקבילו אבותי לאבותיך, אמר ליה סלעים נעשו גבוהים, רחוקים נעשו קרובים, קרובים נעשו רחוקים, שתים נעשים שלש, משים שלום בבית בטל. תניא ר' יוסי בן קיסמא אומר טבא תרתי מתלת, ווי לחדא דאזלא ולא אתיא, מאי חיא אמר רב חסדא ינקותא, כי אתא רב דימי אמר ינקותא כלילא דורדא, סיבותא כלילא דחילפי. עד אמר לא ירחק חבל הכסף זה חוט השדרה. ותרץ גולת הזהב זו האמה. ותשבר כד על המבוע זה כרס. ונרוץ הגלגל אל הכור זה פרש שנאמר וזריתי פרש על פניכם. וסגרו דלתים בשוק אלו נקביו של אדם. בשפל קול הטחנה, קורקבן שאינו טוחן, ויקום לקול הצפור שאפילו צפור דרור מגערתו משנתו, כד שמע צפרין מצייצין אמר בלביה ליסטיא אינון. וישחו כל בנות השיר. שרים ושרות דומות עליה כשיחה. גם מגבוה ייראו שאפילו גבשושיות דומות כהרי הררים. והתחתים בדרך אית תמן מחתין ואית תמן מסקין, בשעה שמתהלך בדרך נעשו לו תווהין תווהין. וינאץ השקד זה הקבליבוסת. ויסתכל החגב אלו העגבות. ותפר האביונה זו חמדה."
Yalkut Shimoni on Nach 979:56,"דבר אחר ויסתכל החגב זו לוז של שדרה. אדרינוס שחיק עצמות שאל לרבי יהושע בן חנניה אמר ליה מהיכן הקב""ה מכין את האדם לעתיד לבא, אמר ליה מלוז של שדרה, אמר ליה מן הן אנת מודיע לי, אייתיה קימוי נתנו במים ולא נמחה, בריחים ולא נמחה, באש ולא נשרף, נתנו על הסדן והכה עליו נחלק הסדן ונבקע הפטיש והלוז לא חסר:"
Yalkut Shimoni on Nach 979:57,"כי הולך האדם אל בית עולמו. מלמד שכל צדיק וצדיק עושין לו מדור לפי כבודו, משל למלך בשר ודם שנכנס הוא ועבדיו למדינה כשהם נכנסים נכנסים בשער אחד, כשהם לנים נותנים לכל אחד מדור לפי כבודו:"
Yalkut Shimoni on Nach 979:58,"והרוח תשוב אל האלהים אשר נתנה. תנה לו כמו שנתנה לך, משל למה הדבר דומה למלך בשר ודם שחלק בגדי מלכות לעבדיו פקחין שבהם קפלוס ופניחום בקופסא, טפשין שבהם הלכו ועשו בהם מלאכה, לימים בקש המלך את בגדיו פקחים החזירום לו מגוהצים, טפשים החזירום לו מלוכלכים, שמח המלך לקראת פקחין וכעס לקראת טפשין, על פקחין אמר כלי ינתנו לאוצרותיהם וילכו לבתיהם לשלום, ועל טפשין אמר כלי ינתנו לכובס והם יחבשו בבית האסורין, אף הקב""ה על גופן של צדיקים הוא אומר יבא שלום ינוחו על משכבותם, ועל נשמתם הוא אומר והיתה נפש אדוני צרורה בצרור החיים (בשמואל ברמז קל""ד). וסבבו בשוק הסופדים, בני גלילא אמרו עשה דברים לפני מטתך, בני יהודה אומרים עשה דברים אחר מטתך, ולא פליגי מר כי אתריה ומר כי אתריה:"
Yalkut Shimoni on Nach 979:59,"וישוב העפר על הארץ כשהיה, רבי חלקיה ורבי פנחס בשם ר' סימון אימתי תשוב הרוח אל האלהים כששב העפר כשהיה. ואת נפש אויבך יקלענה בתוך כף הקלע, רבי שמואל בר נחמני מתני לה בשם רבי אבדימי דמן חיפה לכהן חבר שמסר לכהן עם הארץ כבר תרומה, ואמר לו ראה שאני טהור וביתי טהור וככר שנתתי לך טהורה אם אתה נותנה לי כדרך שנתתיה לך מוטב ואם לאו הריני זורקה לפניך:"
Yalkut Shimoni on Nach 979:60,"וישוב העפר אל הארץ, א""ר אבהו כל הנאמר בפני המת יודע עד שיסתום הגולל, פליגי בה רבי חייא ורבי שמעון פן פזי חד אמר עד שיסתום הגולל, וחד אמר עד שיתעכל הבשל, מאן דאמר עד שיתעכל דכתיב אך בשרו עליו יכאב וגו'. ומאן דאמר עד שיסתום הגולל דכתיב וישוב העפר על הארץ. הנהו קפולאי דהוו קפלי בארעא דרב נחמן בר יצחק, נחר בהון רב אחא בר יאשיה, אמרו ליה לרב נחמן נחר בן גברא, אתא אמר ליה מנו מר, אמר ליה אנא אחי בר יאשיה, אמר ליה ולאו אמר רב מרי עתידי צדיקי דהוו עפרא, אמר ליה ומנו מרי (אמר ליה) לא ידענא ליה, אמר ליה והא קרא כתיב וישוב העפר על הארץ, אמר ליה דאקרייך קהלת לא אקרייך משלי דכתיב ורקב עצמות קנאה, מי שיש לו קנאה בלבו עצמותיו מרקיבין ושאין לו קנאה בלבו אין עצמותיו מרקיבין, חזייה דאית ביה מששא, אמר ליה ליקום מר לגו ביתא, אמר ליה גלית אדעתך דאפילו נביאי לא איקרי לך דכתיב וידעתם כי אני ה' בפתחי את קברותיכם, אמר ליה והא כתיב כי עפר אתה ואל עפר תשוב, אמר ליה ההוא שעה אחת קודם תחית המתים:"
Yalkut Shimoni on Nach 979:61,"דבר אחר וזכור את בוראיך בימי בחורותיך. רבי יהושע דסיכנין בשם רבי לוי זכרו את בוראכם עד שבחורותיכם קיימת, עד שברית כהונה קיימת שכתוב ובחור אותו מכל שבטי ישראל לכהן לי, עד שברית לויה קיימת שכתוב בו כי בו בחר ה' אלהיך מכל שבטיך, עד שברית מלכות קיימת שכתוב בו ויבחר בדוד עבדו, עד שברית ירושלים קיימת שכתוב בו העיר אשר בחרתי בה, עד שברית בית המקדש קיימת הכתיב ועתה בחרתי והקדשתי את הבית הזה, עד שאתה קיים דכתיב ובך בחר ה' אלהיך, עד אשר לא יבאו ימי הרעה ימי הגולה, והגיעו שנים אשר תאמר אין לי בהם חפץ לא טובה ולא רעה, עד אשר לא תחשך השמש זו מלכות בית דוד שנאמר בו וכסאו כשמש נגדי. והאור זו התורה שכתוב בה כי נר מצוה ותורה אור. והירח אלו סנהדרין, דתניא סנהדרין היתה כחצי גורן עגולה. והכוכבים אלו הרבנים דכתיב ומצדיקי הרבים ככוכבים. ושבו העבים אחר הגשם, אתה מוצא כל נבואות הקשות והרעות שהתנבא עליהם ירמיה לא באו עליהם אלא לאחר חרבן הבית. ביום שיזועו שומרי הבית אלו משמרות כהונה ולויה. והתעותו אני החיל אלו הכהנים. אמר ר' אבא בר כהנא כ""ב אלף לויים הניף אהרן ביום אחד שנאמר והניף אהרן את הלוים, א""ר חנינא המוראה הזה דבר קל הוא והיה זורקה על הכבש שלשים ושתים אמות באחורי ידיו. ובטלו הטוחנות אלו משניות גדולות כגון משנתו של רבי חייא ומשנתו של בר קפרא. כי מעטו זה התלמוד שהוא בלול בהם. וחשכו הרואות בארובות, אתה מוצא בשעה שגלו ישראל בין עובדי אלילים לא היה אחד מהם יכול לסבור תלמודו, וסגרו דלתים אלו דלתי נחושתן בן אלנתן שהיו פתוחים לרוחה. בשפל קול הטחנה על ידי שלא נתעסקו בדברי תורה, א""ר שמואל בר נחמני נמשלו ישראל כטוחנות הריחים, מה הרחים הזו אינה בטלה לא ביום ולא בלילה, כן ישראל לא יבטלו מן התורה לא ביום ולא בלילה שנאמר והגית בו יומם ולילה. ויקום לקול הצפור זה נבוכדנאצר, א""ר לוי י""ח שנה היתה בת קול יוצאת ואומרת בפלטין של נבוכדנאצר עבדא בישא זיל ואחריב ביתא דמרך דבני מרך לא שמעין ליה. וישחו כל בנות השיר שעלה ובטל את השיר מן בית המקדש. גם מגבוה ייראו, מגבהו של עולם מתירא אמר לא בעי אלא מצמצמא יתיה כד עבד לסביה. והתחתים בדרך, ר' אבא בר כהנא ורבי לוי""ד אמר חתיתא של דרך נפלה עליו, ורבי לוי אמר [התחיל מתווה תוואים שנאמר כי עמד מלך בבל על אם הדרך וגו']. וינאץ השקד זה נבואתו של ירמיה מקל שקד אני רואה, א""ר אלעזר מה סימנו של שקד משעה שהוא מציץ עד שגומר פירותיו אחד ועשרים יום, כך משבעה עשר בתמוז עד תשעה באב אחד ועשרים יום. ויסתכל החגב זה צלמו של נבוכדנצר, א""ר יוחנן אשכחית כל דרומיה שתין כו' (כתוב ברמז שמ""ו). ותפר האביונה חזרו. וסבבו בשוק הסופדים זה גלותו של יכניה שהיו מכוסים שחורים מבפנים ומלובשים לבנים מבחוץ. עד אשר לא ירתק חבל הכסף זה שלשלת של יוחסין. ותרוץ גולת הזהב אלו דברי תורה הנחמדים מזהב ומפז. ותשבר כד על המבוע, תרי אמוראי, חד אמר כדו של ברוך על מבועו של ירמיהו, וחד אמר כדו של ירמיהו על מבועו של ברוך מפיו יקרא אלי, ונרוץ הגלגל אל הבור זה בבל שהוא זוטו של עולם. וישוב העפר על הארץ כשהיה, מבבל היו ולבבל חזרו. והרוח תשוב אל האלהים אשר נתנה זה רוח הקדש כיון שנסתלקה רוח הקדש גלו:"
Yalkut Shimoni on Nach 979:62,"ויותר שהיה קהלת חכם עוד למד דעת את העם. דרש רבא למד דעת את העם דאגמרה בסימני טעמין ואסברה במאי דדמי ליה. ואזן וחקר, אמר עולא אמר רבי אלעזר בתחלה היתה תורה דומה לכפיפה שאין לה אזנים, עד שבא שלמה ועשה לה אזנים, אמר רב יהודה אמר שמואל בשעה שתקן שלמה עירובין ונטילת ידים יצאה בת קול ואמרה לו בני אם חכם לבך ישמח לבי גם אני:"
Yalkut Shimoni on Nach 979:63,"בקש קהלת למצוא דברי חפץ, בקש קהלת לעמוד על עסקי פרה אמר לו כתוב יושר דברי אמת, כבר כתבתי לך על ספרו של יושר הלא היא כתובה על ספר הישר, עשה בישרות עשה באמונה גזרה גזרתי חקה חקקתי אין לך להרהר אחריה זאת חקת התורה."
Yalkut Shimoni on Nach 979:64,"דבר אחר בקש קהלת לעמוד על מתן שכרן של מצות, הדא הוא דכתיב כי חסד חפצתי, אמר לו הקב""ה וכתוב יושר דברי אמת האל הנאמן שומר הברית והחסד. ד""א בקש שלמה לעמוד הקץ כמד""א אם תעירו ואם תעוררו את האהבה עד שתחפץ, וכתוב יושר כי יום נקם בלבי (ברמז תרמ""ב):"
Yalkut Shimoni on Nach 979:65,"דבר אחר בקש קהלת להיות כמשה רבינו שכתוב בו ותחסרהו מעט מאלהים, רב ושמואל, חד אמר חמשים שערי בינה נבראו בעולם וכולם נתנו למשה בהר סיני חסר אחד שנאמר ותחסרהו מעט מאלהים, יצאה בת קול ואמרה לו וכתוב יושר דברי אמת ולא קם נביא עוד בישראל כמשה, וחד אמר בנביאים לא קם אבל במלכים קם, אלא מה אני מקיים בקש קהלת למצוא דברי חפץ, בקש קהלת לדון דינים שבלב בלא עדים ובלא התראה, יצאת בת קול ואמרה לו וכתוב יושר על פי שנים עדים או שלשה עדים:"
Yalkut Shimoni on Nach 979:66,"דברי חכמים כדרבונות, המשנה קרא אותו מרדע ומקרא קרא אותו דרבן ומלמד דכתיב במלמד הבקר, ולהציב הדרבן, אמר רבי נתן מרדע שמורה דעה לפרה, דרבנן שמורה בינה לפרה, מלמד שמלמד הפרה לחרוש, כך הם דברי תורה מלמדים דעה לבני אדם. ד""א כדרבונות, א""ר ברכיה כדור בנות, ככדור מינקתא שהם (מלקטים) [מקלעין] בה מיד ליד, כך משה קבל תורה מסיני ומסרה ליהושע וכו':"
Yalkut Shimoni on Nach 979:67,"וכמשמרות קבועים לא נאמר אלא נטועים מפני שהמסמר יש לו [שושנה] שהוא נוח לשלוף לכך נאמר כמשמרות נטועים. (שדימו) [שרשיו] של אילן הנטועים קשים לעקור אבל אין לו כח ככחו של ברזל, והמסמר של ברזל יש לו כח. נתן לדברי תורה כחן של ברזל וכמטעי שרשיו של אילן."
Yalkut Shimoni on Nach 979:68,"דבר אחר כשם ששרשי אילן נשרשים בכל מקום אף דברי תורה נכנסים ונשרשים בכל הגוף, אימתי הן נטועים כמסמרות בזמן שבעלי תורה נכנסין לתלמוד והם נאספין לשמוע."
Yalkut Shimoni on Nach 979:69,"דבר אחר בזמן שבעליהם נאספים מהם. כל זמן שרבו קיים הוא מפליג, כל זמן שאני נצרך הרי רבי לפני ואני שואלו, מת רבו הרי יגע ביום ובלילה לקים תלמודו יודע הוא שאין לו למי ישאל:"
Yalkut Shimoni on Nach 979:70,"ויותר מהמה בני הזהר, יותר מדברי תורה הוי זהיר בדברי סופרים למה שאלו באת לכתוב דבריהם לא היה קץ לסופרים. עשות ספרים הרבה אין קץ, מהו ויותר מהמה בני הזהר שלא תקרא בספרים חיצונים יותר מהמה, משמרות נטועים כשם שמשמרות כהונה כ""ד כך כ""ד ספרים."
Yalkut Shimoni on Nach 979:71,"דבר אחר דברי חכמים כדרבונות, למה נמשלו דברי תורה לדרבן, לומר לך מה הדרבן הזה מכוין את הפרה לתלמיה [להוציא] חיים לעולם אף דברי תורה מכוונת את לב לומדיה מדרכי מיתה לדרכי חיים, אי מה דרבן זה מיטלטל אף דברי תורה מיטלטלין, תלמוד לומר וכמשמרות נטועים, אי מה מסמר זה חסר ולא יתר אף דברי תורה מחסרין ולא מיתרין, תלמוד לומר נטועים מה נטיעה פרה ורבה אף דברי תורה פרים ורבים. בעלי אסופות אלו תלמידי חכמים שיושבים אסופות אסופות ועוסקים בתורה הללו מטמאים והללו מטהרים הללו אוסרים והללו מתירים, הללו פוסלים והללו מכשירים, שמא יאמר אדם הואיל והללו מטמאים והללו מטהרין היאך אני לומד תורה, תלמוד לומר כלם נתנו מרועה אחד (לא) כלם אל אחד נתנם וכלם פרנס אחד אמרן מפי אדון כל המעשים ברוך הוא, שנאמר וידבר אלהים את כל הדברים האלה, אף אתה עשה אזנך כאפרכסת. וכמשמרות כתיב אם קבעת אותו כמשמר הם משמרין אותך. השומע מפי חכם כשומע מפי סנהדרין שנאמר בעלי אסופות וכתיב אספה לי שבעים איש, והשומע מפי סנהדרין כשומע מפי משה שנאמר נתנו מרועה אחד."
Yalkut Shimoni on Nach 979:72,"דבר אחר מרועה אחד מפי הקב""ה שנאמר רועה ישראל האזינה:"
Yalkut Shimoni on Nach 979:73,"ויותר מהמה בני הזהר, הזהר מדברי סופרים יותר מדברי תורה, שדברי תורה יש בהם עשה ולא תעשה ודברי סופרים כל העובר עליהם חייב מיתה, ושמא תאמר הואיל ויש בהם ממש מפני מה לא נכתבו, עשות ספרים אין קץ ולהג הרבה יגיעת בשר, מתקיף לה רבא מי כתיב לעג להג כתיב, אלא כל ההוגה בהם טועם טעם בשר:"
Yalkut Shimoni on Nach 979:74,"סוף דבר הכל נשמע, אמר רבי חלבו כל אדם שיש לו יראת שמים סוף דבריו נשמעים שנאמר סוף דבר הכל נשמע וגו'. מאי כל האדם, א""ר אליעזר אמר הקב""ה כל העולם כלו לא נברא אלא בשביל זה, א""ר אבא בר כהנא שקול זה כנגד כל העולם כלו, שמעון בן זומא אומר כל העולם כלו לא נברא אלא לצוות לזה:"
Yalkut Shimoni on Nach 979:75,"[סוף דבר הכל נשמע סוף דבורו של אדם הכל משמיעין את מעשיו, כשר היה פלוני זה, ירא שמים היה פלוני זה. אתון ושאלון לשלמה סופיה דכולא מה, אמר להון סוף דבר. אמר ר' לוי למה קורין אותו דבר דדביר טבין עם בישין, ולמה קורין אותו גוביי דגבי דינא דאינשא ודברייתא, שבשעה שאדם נפטר מן העולם הקב""ה אומר למלאכי השרת ראו מה הבריות אומרות עליו כשר היה ירא שמים היה פלוני זה, מיד מטתו פורחת באויר]:"
Yalkut Shimoni on Nach 979:76,"כי את כל מעשה האלהים יביא במשפט. רבי יוחנן כי הוה מטי להאי קרא בכי עבד שרבו שוקל לו שגגות כזדונות תקנה שלו. מאי על כל נעלם, אמר רב זה ההורג כינה בפני חברו ונמאס, ושמואל אמר זה הרק בפני חברו ונמאס, מאי אם טוב ואם רע, אמרי דבי ר' ינאי זה הנותן צדקה לעני בפרהסיא, וכי הא דרבי ינאי חזא לההוא גברא דהוה קא יהיב זוזא לעניא בפרהסיא אמר מוטב דלא יהבת ליה מדיהבת ליה וכספתיה. דבי רבי שילא אמרי זה הנותן צדקה לאשה בסתר וקא מייתי לה לידי חשדא, ורב אמר זה המשגר בשר לאשתו שאינו מחותך בערב שבתות, ושמואל אמר זה הממציא מעות לעני בשעת דחקו:"
Yalkut Shimoni on Nach 979:77,"כד דמך ר' לוי בר סיסי, עאל אבא בר אבוה דשמואל ואפטר עלוי סוף דבר הכל נשמע וגו', למה היה ר' לוי בר סיסי דומה, למלך שהיה לו כרם והיו בו מאה גפנים והיו עושות הכרם כלו, כך היה ר' לוי חביב להקב""ה ככל האדם, הדא הוא דכתיב כי זה כל האדם:"
Yalkut Shimoni on Nach 979:78,תם ונשלם:
Yalkut Shimoni on Nach 995:1,"איכה ישבה בדד. רבי פנחס פתח ואם עד אלה לא תשמעו לי, רבי אליעזר ורבי יהושע, ר' אליעזר אומר אין הקב""ה מביא פורענות על ישראל עד שהוא מעיד תחלה וכו' (כדאיתא באיכא רבתי). כה אמר ה' התבוננו וקראו למקננות וגו', רבי יוחנן וריש לקיש, רבי יוחנן אמר משל למלך שהיו לו שני בנים, כעס על האחד נטל המקל וחבטו והגלהו ואמר אוי לזה מאיזו שלוה נגלה, כעס על השני נטל את המקל וחבטו והגלהו אמר אנא הוא דתרבותי בישא, כן גלו עשרת השבטים אמר הקב""ה עליהם אוי להם כי נדדו ממני, כיון שגלו יהודה ובנימין כביכול אמר הקב""ה אוי לי על שכרי. ריש לקיש אמר משל למלך שהיו לו שני בנים כעס על הראשון נטל המקל וחבטו ופרפר ומת, התחיל מקונן עליו. כעס על השני ונטל המקל וחבטו ופרפר ומת, אמר מעתה אין בי כח לקונן קראו למקוננות, כך גלו עשרת השבטים התחיל מקונן עליהם שמעו את הדבר הזה אשר אנכי נושא עיכם קינה בית ישראל, כיון שגלו יהודה ובנימין אמר הקב""ה מעתה אין בי כח לקונן כביכול אלא התבוננו וקראו למקוננות גו' עינינו דידי ודידהון, עפעפינו דידי ודידהון, א""ר אלעזר משל למלך שכעס על בנו ומסרו ביד עבדו והיה מזדעזע מהן עד שכפת ידו של בנו לאחוריו, כך הקב""ה אמר לנבוכדנאצר עלה על ירושלים והיה מתירא עד שכפת יד מיכאל לאחוריו שנאמר כי מאסו את תורת ה' צבאות ואת אמרת קדוש ישראל נאצו, כי מאסו את תורת ה' צבאות זו תורה, כי מאסו את תורת ה' צבאות זו תורה שבכתב, ואת אמרת קדוש ישראל נאצו זו תורה שבעל פה:"
