Index Title,Rashi on Numbers
Rashi on Numbers 10:25:1,"<b>The gatherer for all the camps.</b> Talmud Yerushalmi [teaches]: Because the tribe of Don was heavily populated, they traveled last. If anyone lost property, it would return it to them. There is an opinion that °they traveled in the shape of a box, derived from, “Just as they camped, so they traveled.” °Another opinion is that they traveled in the shape of a beam, derived from “The gatherer for all the camps.” "
Rashi on Numbers 10:28:1,"<b>These are the journeys.</b> °This is the order of their journeys. 
"
Rashi on Numbers 10:28:2,"<b>They journeyed.</b> °On that day, they journeyed. "
Rashi on Numbers 10:29:1,"<b>Chovav.</b> °This was Yisro, as it is said, “Of the children of Chovav, the father-in-law of Moshe.” Then why does the Torah say, “They came to their father, Reuel”? This teaches that children call their grandfather “father.” He had many names. “Yisro” [lit. “additional”] because he added a chapter to the Torah; “Chovav” [lit. “one who cherishes”] because he cherished the Torah, etc . . . "
Rashi on Numbers 10:29:2,"<b>We are journeying to the place.</b> Immediately. °Within three days, we enter the [holy] land. Because at this first journey, they traveled with the intention of entering Eretz Yisroel, but they sinned with the complainers. But why did Moshe include himself with them? Because the decree was not yet issued against him, °and he thought he would enter. "
Rashi on Numbers 10:30:1,"<b>To my land and to my birthplace.</b> °Whether for the sake of my properties, or for the sake of my family. "
Rashi on Numbers 10:31:1,"<b>Please do not forsake.</b> נָא is a term indicating nothing but request, °so that they will not say Yisro did not convert out of devotion. He thought that proselytes receive a portion of the land [but] now that he saw that they do not receive a portion, he left them and went on his way. "
Rashi on Numbers 10:31:2,"<b>For, because you know of our encampment in the desert.</b> For it is appropriate for you to do this, because you know of our encampment in the desert, and you saw the miracles and mightiness done for us. "
Rashi on Numbers 10:31:3,"<b>For, because you know.</b> Like עַל אֲשֶׁר יָדַעְתָּ, “because” you know, as in כִּי עַל כֵּן, for, “because” I did not give her to my son Shelah, כִּי עַל כֵּן, for, “because” you passed by, כִּי עַל כֵּן, for, “because” they came, כִּי עַל כֵּן, for, “because” I saw your face. "
Rashi on Numbers 10:31:4,"<b>You will be our eyes.</b> °Past tense, as Targum [Onkelos] renders. Another interpretation: °Future tense. [Should] anything [be] concealed from our eyes, you shall enlighten our eyes. Another interpretation: You shall be as precious to us as the pupils of our eyes, as it is said, “You shall love the proselyte.” "
Rashi on Numbers 10:32:1,"<b>It shall be that the very good (lit. that good).</b> What good did they bestow upon him? They said: “When the Israelites divided the land there was °a fertile area of Yericho, five hundred <i>amos</i> by five hundred <i>amos,</i> which they left undivided.” They said: “The one in whose portion the Temple would be built would take it.” In the interim, they gave it to the children of Yisro, to Yonadav, the son of Rechav, as it is said, “The sons of Keini, Moshe’s father-in-law, went up from the city of the dates, etc . . .” 
"
Rashi on Numbers 10:33:1,"<b>A journey of three days.</b> Three days’ traveling distance, °they traveled in one day, because the Holy One, Blessed is He, wanted to bring them into the land immediately. "
Rashi on Numbers 10:33:2,"<b>The Ark of the Covenant of Adonoy traveled in front of them a journey of three days.</b> This was the Ark which °went with them to war, in which the broken Tablets were placed. It preceded them by three days’ travel to prepare a camping place for them. "
Rashi on Numbers 10:34:1,"<b>The Cloud of Adonoy was above them.</b> °Seven Clouds are recorded during their journeys; Four on four sides, one above, one below, and one preceding them, to lower the highlands, raise the lowlands, and to kill snakes and scorpions. "
Rashi on Numbers 10:34:2,<b>From the camp.</b> From their camping place.
Rashi on Numbers 10:35:1,"<b>Whenever the Ark departed.</b> Scripture placed symbols before and after this [chapter] to teach °that this is not its place. Why, then, was it written here? In order to intervene °between one punishment and the next . . . etc., as stated in “all the sacred scriptures.” "
Rashi on Numbers 10:35:2,"<b>Rise, Adonoy.</b> Because He (Adonoy) preceded them by three days’ travel, Moshe would say, ‘Rise and wait for us, do not go further away.’ Midrash Tanchuma, Vayakhel. "
Rashi on Numbers 10:35:3,<b>May Your enemies disperse.</b> °Those gathered together.
Rashi on Numbers 10:35:4,<b>Those who hate You flee.</b> These are the pursuers.
Rashi on Numbers 10:35:5,"<b>Those who hate You.</b> °These are the haters of Yisroel, since all those who hate Yisroel hate the One who spoke, and the world came into being, as it is said, “those who hate You have raised [their] heads” — who are they? — “Against Your people they counsel cunningly.” "
Rashi on Numbers 10:36:1,"<b>Come to rest, Adonoy.</b> Menachem interprets this as a term meaning rest. Similarly, “with rest and calm you will be saved.” "
Rashi on Numbers 10:36:2,<b>[Among] the myriads and thousands of Israel.</b> This informs us that the Divine Presence does not rest among the Israelites when there are fewer than °twenty-two thousand.
Rashi on Numbers 11:1:1,"<b>The people were like complainers.</b> °”The people” refers only to the wicked. Similarly, it says, “what shall I do for this people,” and it says, “this evil people.” But when they are °righteous, they are called “My people,” as it says, “send out My people,” “My people, what have I done to you” "
Rashi on Numbers 11:1:2,"<b>Like complainers.</b> מִתְאֹנְנִים is strictly a term referring to a pretext. They seek a pretext in order to turn away from [following] after the Omnipresent. Similarly, it says about Shimshon, “for he seeks a pretext.” "
Rashi on Numbers 11:1:3,"<b>Wicked in the ears of Adonoy.</b> A complaint which is wicked in the ears of God, for they intended it to reach His ears and anger Him. They said, “Woe to us, °how we have toiled on this journey. Three days [have passed] that we have not rested from the fatigue of travel.” "
Rashi on Numbers 11:1:4,"<b>And His anger flared.</b> I meant for your benefit, so that you would enter the land immediately. "
Rashi on Numbers 11:1:5,"<b>The outcasts of the camp.</b> Those among them who were outcasts, of low status, they were the great mixture. R’ Shimon ben Menasya says, °the distinguished among them, and the great ones. "
Rashi on Numbers 11:2:1,"<b>The people cried out to Moshe.</b> This is °compared to a mortal king who was angry with his son. The son went to his father’s intimate friend, and said to him, ‘Go, ask [for forgiveness] for me from father.’ "
Rashi on Numbers 11:2:2,"<b>And the fire subsided.</b> It subsided °into its place, for if it had turned to any one direction, it would have gathered itself and proceeded in that entire direction. "
Rashi on Numbers 11:4:1,<b>The collection [of nationalities].</b> These were [members of] the “great mixture” which gathered with them when they left Egypt.
Rashi on Numbers 11:4:2,"<b>And [Bnei Yisroel] turned.</b> Bnei Yisroel, also, °and wept with them. "
Rashi on Numbers 11:4:3,"<b>Who will feed us meat?</b> Did they not have meat? Did it not say previously, “A great mixture also went up with them, with sheep and cattle, etc.”? Perhaps you will say they ate them, but does it not say, when they came into the land, “Much cattle belonged to the sons of Reuven, etc.” Evidently, they sought a pretext. "
Rashi on Numbers 11:5:1,"<b>Which we ate in Egypt freely.</b> Perhaps you will say that the Egyptians °gave them fish freely. But did it not already say, “straw will not be given to you”? If they did not give them straw freely, would they have given them fish freely? Then what is meant by “freely”? °Free of <i>mitzvos.</i> "
Rashi on Numbers 11:5:2,"<b>The cucumbers.</b> R’ Shimon said: Why was the manna transformed into everything but these? Because they are harmful to nursing mothers. We tell a woman: “Do not eat garlic or onion for the baby’s sake.” This is compared to a king, etc., as stated by Sifri. "
Rashi on Numbers 11:5:3,<b>The cucumbers.</b> They are “<i>cocombres</i>” in Old French.
Rashi on Numbers 11:5:4,<b>Melons.</b> “<i>Borekes</i>” [in Old French].
Rashi on Numbers 11:5:5,"<b>The leeks.</b> Leeks, “<i>porels</i>” [in Old French]. (Targum [Onkelos] renders “the leeks, etc.”) "
Rashi on Numbers 11:6:1,"<b>The manna before our eyes.</b> Manna in the morning, manna in the evening. "
Rashi on Numbers 11:7:1,"<b>The manna is like coriander seed.</b> The one who said this [verse] did not say the other. The Israelites said, ‘Nothing but the manna before our eyes.’ while the Holy One, Blessed is He, inscribed in the Torah, “But the manna was like coriander seed, etc.,” as if to say, ‘Look, those who walk the earth at the subject of My children’s complaint — the manna was precious for such and such a reason’. "
Rashi on Numbers 11:7:2,<b>Like coriander seed.</b> °Round like coriander. “<i>Aliendre</i>” seed in Old French.
Rashi on Numbers 11:7:3,"<b>Crystal</b> The name of a precious stone, “<i>cristal</i>” [in Old French]. "
Rashi on Numbers 11:8:1,"<b>Strolled about.</b> שִׁיוּט is interpreted strictly as strolling, “<i>esbaneier</i>” [in Old French], without exertion. "
Rashi on Numbers 11:8:2,"<b>They ground [it] with a millstone, etc.</b> It never descended into the millstone, or the pot, or the mortar; °rather, its taste changed to ground, crushed, or cooked [foods]. "
Rashi on Numbers 11:8:3,"<b> בַּפָּרוּר .</b> Pot. 
"
Rashi on Numbers 11:8:4,"<b> לְשַׁד הַשָׁמֶן .</b> The moisture of oil. This is how Donash explained it. Similar to this, “ לְשַׁדִּי was overturned by the heat of summer.” °The “<i>lamed</i>” is part of the root, “My moisture was overturned by the heat of summer.” The Rabbis, however, explain it as a term meaning שָׁדַיִם, “breasts.” But שָׁדַיִם have no relation to oil. One cannot say that לְשַׁד הַשָׁמֶן is translated like וַיִשְׁמַן יְשׁוּרוּן, “The righteous were fattened,” for, if so, the “ מ “ would be vocalized with a minor “<i>kametz</i>” (“<i>tzeirei</i>”) and the emphasis below, under the “ מ .” Now that the “ מ “ is vocalized with a minor “<i>patach</i>” (“<i>segol</i>”) and the emphasis is below the “ ש,” it is translated as “oil.” The “ ש “ is vocalized with a major “<i>kametz</i>” (<i>”kametz”</i>), but not with a minor “<i>patach</i>” (<i>”segol”</i>), because it closes the passge. Another interpretation: לְשַׁד is an acronym, [spelling] לִ'ישׁ, שֶׁ'מֶן, דְּ'בַשׁ, °kneaded, oil, honey. [It was] like a loaf kneaded with oil and coated with honey. Onkelos’ translation, rendered “kneaded with oil,” °leans toward Donash’s interpretation, since a loaf kneaded with oil contains the moisture of oil. "
Rashi on Numbers 11:10:1,"<b>Weep according to their families.</b> Every family gathered together and wept, to publicize their complaints openly. The Rabbis remark that לְמִשְׁפְּחוֹתָיו means “concerning family matters” — concerning °the intimate relations forbidden to them. "
Rashi on Numbers 11:12:1,"<b>That You say [lit. will say].</b> °That You say to me, ‘carry it in your lap.’ Where did He say this to him? “Go, lead the people.” And it says, “He commanded them (Moshe and Aharon) to [lead] Bnei Yisroel” [even] on condition °that they stone you and insult you. "
Rashi on Numbers 11:12:2,"<b>To the land which You swore to their forefathers.</b> You tell me °to carry them in my lap. 
"
Rashi on Numbers 11:15:1,"<b>If this is the way You treat me.</b> Moshe’s strength weakened °like a female’s when the Holy One, Blessed is He, showed him the punishment He would visit upon them for this. He said before Him: ‘If so, kill me first.’ "
Rashi on Numbers 11:15:2,"<b>So that I will not see my evil.</b> It should have written “their evil,” but Scripture euphemizes. This is °one of the “scribes’ adjustments” to the Torah, for the sake of euphemistic language adjustment. "
Rashi on Numbers 11:16:1,"<b>Gather for Me.</b> Here is °the reply to your complaint when you said, “I am unable, alone . . .” But where were the original elders? Had they not sat with them even in Egypt, as it says: “Go, gather the elders of Israel”? Evidently, they died at the fire of “Tav’erah.” They deserved this at Sinai, as it is written, “they gazed at God.” Because they acted frivolously, °like someone munching his loaf while speaking before the king. And this is [the meaning of] “They ate and drank.” But the Holy One, Blessed is He, did not want to cause grief during the giving of the Torah, so he punished them here. "
Rashi on Numbers 11:16:2,"<b>Whom you know to be, etc.</b> Those whom you recognize, as they were appointed °officers over them in Egypt for the body breaking labor. They took pity on them, and were beaten for their sake, as it says, “The Israelite officers were beaten.” Let them be appointed now, in their greatness, just as they suffered when they were oppressed. "
Rashi on Numbers 11:16:3,<b>You shall take them.</b> Take them verbally. “How fortunate you are to have been appointed as leaders over the Omnipresent’s children.”
Rashi on Numbers 11:16:4,"<b>And they shall stand there with you.</b> So that the Israelites will see, and treat them as great men, reverently, saying: ‘How precious are those who entered with Moshe to hear the word from the mouth of the Holy One, Blessed is He.’ "
Rashi on Numbers 11:17:1,<b>I will descend.</b> This is °one of the ten descents inscribed in the Torah.
Rashi on Numbers 11:17:2,<b>And I will speak with you.</b> But not with them.
Rashi on Numbers 11:17:3,"<b>I will make greater.</b> As Targum [Onkelos] renders, וַאֲרַבֵּי, °”I will make greater,” like, “But to the great men of Bnei Yisroel.” "
Rashi on Numbers 11:17:4,"<b>And place it on them.</b> To what was Moshe compared at that time? To a lamp set in a candelabra. Everyone lights from it, but none of its own brightness is diminished. "
Rashi on Numbers 11:17:5,"<b>They will bear, along with you.</b> Stipulate with them, on condition that they accept upon themselves the toil of my children, as they are troublesome and recalcitrant. "
Rashi on Numbers 11:17:6,"<b>So that you need not bear it alone.</b> Here is the reply to your statement, “I am unable, alone . . .” "
Rashi on Numbers 11:18:1,"<b>Prepare yourselves.</b> °Prepare yourselves for punishment. Similarly, it says, “Prepare them for the day of killing.” 
"
Rashi on Numbers 11:20:1,"<b>For a month of days.</b> °This was with the [comparatively] virtuous ones, who fell ill in their beds and afterwards expired. But with the wicked ones it says, “the meat was still between their teeth.” This is how it is taught by Sifri. Mechilta, however, teaches the reverse. The wicked ones ate and suffered for thirty days, but with the decent ones — the meat was still between their teeth. "
Rashi on Numbers 11:20:2,"<b>Until it comes out of your nostrils.</b> As Targum [Onkelos] translates, °”you are disgusted by it.” It will seem to you as if you gorged on it until it is expelled through the nose. "
Rashi on Numbers 11:20:3,"<b>It will be repulsive to you.</b> You will cast it away °more readily than you welcomed. In R’ Moshe Hadarshan’s commentary I saw that, in a certain language, the sword is called “<i>zara</i>.” "
Rashi on Numbers 11:20:4,"<b>Adonoy Who is among you.</b> If I had not planted My Presence among you, °you would not have had the arrogance to enter into all these affairs. "
Rashi on Numbers 11:21:1,"<b>Six hundred thousand on foot.</b> He was not concerned with counting in detail the remaining three thousand. R’ Moshe Hadarshan explains that only °those who went out of Egypt, wept. "
Rashi on Numbers 11:22:1,"<b>Will sheep and cattle be slaughtered.</b> This is one of four instances expounded upon by R’ Akiva, which R’ Shimon did not expound as he did. R’ Akiva said, “Six hundred thousand on foot, etc. and You say ‘I will give them meat to eat for a month of days’? Will sheep and cattle . . . ?” Everything according to the straightforward interpretation, who will satisfy them? This is similar to what is said, “And he has sufficient means for its redemption.” °Now which is worse, this, or, “listen, here, rebels!”? Yet, since he did not say it publicly, Scripture spared him and did not punish him; but the one during the dispute was public — Scripture, therefore, did not spare him. R’ Shimon said, Heaven forbid! Such a thought never occurred to that righteous man. Someone of whom it is written, “In all My houshold he is [most] faithful” would say, ‘The Omnipresent cannot satisfy us’? Rather, this is what he said: Six hundred thousand on foot, etc., and You said, ‘I will give them meat for a month,’ and then you will kill a nation as great as this? Will sheep and cattle be slaughered for them so that they should be killed, and this meal will [thus] satisfy them forever? Does this bring you praise, telling a donkey, ‘Eat a ton of barley and then we will chop your head off’? The Holy One, Blessed is He, answered him: But if I do not give it to them, they will say My power [lit. hand] is limited. Is it favorable, in your eyes, that God’s power be limited in their eyes? Let them, and a hundred like them, perish, but My power cannot seem limited to them even for a moment. "
Rashi on Numbers 11:23:1,"<b>Now you will see if My words will occur.</b> Raban Gamliel, son of R’ Yehudah Hanasi said: (Moshe said:) “It is impossible to maintain one’s position °in [such] a dispute. Since they only seek a pretext, You cannot satisfy them, in the end they will judge You critically. If You give them beef, they will say ‘we wanted mutton,’ if You give them mutton, they will say ‘we wanted beef, we wanted wild game or fowl, we wanted fish or locusts.’ He (God) said to him: ‘If so, they will say My power is limited.’ He (Moshe) said before Him: ‘Here, I will go and appease them.’ He (God) said: ‘Now you will see if My word occurs — they will not listen to you.’ Moshe went to appease them. He said to them: ‘Is God’s power limited? Behold, He struck the rock and water flowed, etc., then He can also provide bread.’ They said: °‘This is a compromise — He does not have the power to fulfill our request.”’ This is what is meant when it says, “Moshe went out and spoke to the people.” When they didn’t listen to him — “He gathered seventy men, etc.” "
Rashi on Numbers 11:25:1,"<b>And did not cease.</b> They did not prophesy, except for that day alone — this is clearly stated by Sifri. But Onkelos renders “and did not cease” — prophesy did not cease from them. "
Rashi on Numbers 11:26:1,"<b>Two people remained.</b> Of those chosen. They said, ‘We are not worthy of such greatness.’ "
Rashi on Numbers 11:26:2,"<b>They were among those inscribed.</b> Among those chosen for the Sanhedrin. They were all inscribed specifically by names, and by drawing lots. Since the appropriate amount for twelve tribes was six for each tribe, except for two tribes, each of whom received only five, Moshe said: No tribe will listen to me to subtract one elder from its tribe. What did he do? He took seventy two notes, wrote “elder” on seventy °and left two blank. He then chose six from each tribe, totaling seventy two. He told them, ‘Take your notes from the container.’ Whoever chose “elder” was sanctified; to those who chose the empty ones, he said, “The Omnipresent does not want you.” "
Rashi on Numbers 11:27:1,"<b>The youth ran.</b> °Some say this was Gershom, the son of Moshe. "
Rashi on Numbers 11:28:1,"<b>Destroy them.</b> Burden them with communal responsibility, °and they will destroy themselves. Another interpretation: Detain them °in prison, because they prophesied that Moshe would die and Yehoshua would bring the Israelites into the land. "
Rashi on Numbers 11:29:1,<b>Are you vengeful for me?</b> Are you my avenger? Do you take my vengeance for me? 
Rashi on Numbers 11:29:2,"לִי meaning the same as בִּשְׁבִילִי, “for my sake.” קִנְאָה always denotes a person who takes something to heart, whether to avenge or to assist. “<i>enprenment</i>” in Old French, °one who grasps the bulk of the burden. "
Rashi on Numbers 11:30:1,<b>Moshe entered</b> °From the entrance to the Tent of Meeting.
Rashi on Numbers 11:30:2,<b>Into the camp.</b> °Everyone entered his [own] tent.
Rashi on Numbers 11:30:3,"<b>Entered.</b> The connotation is to enter a house, as in, “Bring it into your house.” The source for this general connotation is, “He gathers, but does not know who will bring it in.” This teaches that he did not visit punishment upon them until each of the righteous had entered his tent. "
Rashi on Numbers 11:31:1,"<b>And He caused to fly.</b> Caused to fly. Similarly, “for it flies by quickly,” Also, “they flew by and passed through.” "
Rashi on Numbers 11:31:2,"<b>And spread them.</b> It spread, as in, “Behold, they are spread over the face of all the land,” “I will spread you into the wilderness.” "
Rashi on Numbers 11:31:3,"<b>About two amos.</b> They flew to a height which °corresponded with a person’s heart, so that it would not be tedious to gather them, °neither to rise nor to bend. 
"
Rashi on Numbers 11:32:1,<b>He who gathered the least.</b> The one who gathered least of all — the lazy and the lame — gathered ten heaps.
Rashi on Numbers 11:32:2,<b>They spread them.</b> They spread them into numerous piles.
Rashi on Numbers 11:33:1,"<b>Before it was finished.</b> As Targum [Onkelos] renders, עַד לָא פְסַק, °(before it was finished). Another interpretation: There was no opportunity to cut it with his teeth, when he expired. "
Rashi on Numbers 12:1:1,"<b>[Miriam] spoke.</b> דִּבּוּר always connotes harshness, as it says, “The man who rules the land spoke harshly with us.” But אֲמִירָה always connotes pleading, as it says, “He said, please, my brothers, do not be wicked,” “He said, please hear my words.” נָא always connotes a request. "
Rashi on Numbers 12:1:2,"<b>Miriam and Aharon spoke.</b> She opened the discussion first, so Scripture gives her precedence. °How did Miriam know that Moshe separated from his wife? R’ Noson says: Miriam was at Tziporah’s side when Moshe was told that Eldad and Meidad were prophesying in the camp. When Tziporah heard, she said, ‘Woe to their wives if they become attached to prophecy, because they will separate from their wives the way my husband separated from me.’ Miriam knew from there, and she told Aharon. Now if Miriam, who did not intend to slander him, was punished this way, certainly someone who relates slander about his fellow. "
Rashi on Numbers 12:1:3,"<b>The Cushite woman.</b> This teaches that everyone agreed to her beauty, °just as everyone agrees to the blackness of the Cushite. "
Rashi on Numbers 12:1:4,"<b>Cushite.</b> [כּוּשִׁית is] numerically equivalent to יְפַת מַרְאֶה, (“beautiful in appearance.”) "
Rashi on Numbers 12:1:5,<b>Concerning the woman.</b> °Concerning her divorce.
Rashi on Numbers 12:1:6,"<b>For, he married a Cushite woman.</b> What does the Torah teach? You find a woman beautiful in appearance but not beautiful in deed; in deed, but not in appearance. But this one was beautiful in everything. "
Rashi on Numbers 12:1:7,"<b>The Cushite woman.</b> Because of her beauty, she was called “Cushite,” like a man who calls his attractive son “Cushite” to ward off the power of the evil eye over him. "
Rashi on Numbers 12:1:8,"<b>For, he married a Cushite woman.</b> And now divorced her. "
Rashi on Numbers 12:2:1,<b>Is it only.</b> °With him alone that God spoke.
Rashi on Numbers 12:2:2,<b>Did He not also [speak] with us.</b> Yet we did not abstain from marital relations.
Rashi on Numbers 12:3:1,<b>Humble.</b> Bent low and forbearing.
Rashi on Numbers 12:4:1,"<b>Suddenly.</b> He revealed Himself to them °suddenly, when they were ritually unclean because of marital relations, and they cried, °”Water! Water!” To inform them that Moshe acted properly in separating from his wife, since the Divine Presence revealed Itself to him constantly, with no designated time for the Word. "
Rashi on Numbers 12:4:2,"<b>Come out, all three of you.</b> This teaches that all three were summoned with a single word, which is impossible for the mouth to say and the ear to hear. 
"
Rashi on Numbers 12:5:1,"<b>In a pillar of cloud.</b> °He went alone, unlike the custom of mortals. When a mortal king goes to war, he goes out with a large retinue, when he goes in peace, he goes with only a few. But the custom of the Holy One, Blessed is He, is to go to war alone, as it is said, “[God is] a warrior,” and goes in peace with a large retinue, as is said, “God rides with twenty two thousand angels.” "
Rashi on Numbers 12:5:2,<b>He called [to] Aharon and Miriam.</b> °So that they would be drawn away and leave the courtyard towards the Word.
Rashi on Numbers 12:5:3,"<b>Both of them went out.</b> Why did He draw them away and separate them from Moshe? Because we recite some of a person’s qualities in his presence, and all of them when he is not present. We find this about Noach. When he was not present it is said, “A righteous man, flawless,” but in his presence it is said, “For I have seen that you are righteous before Me.” Another interpretation: So that he should not hear Aharon’s rebuke. "
Rashi on Numbers 12:6:1,<b>Please listen to my words.</b> ° נָא is interpreted strictly as a request.
Rashi on Numbers 12:6:2,<b>If there will be your prophet.</b> If °you will have prophets.
Rashi on Numbers 12:6:3,"<b>[I,] Adonoy will make Myself known to him in a vision.</b> °The Divine Presence of My Name will not be revealed to him in the illuminated reflection, but in a dream and vision. 
"
Rashi on Numbers 12:8:1,"<b>Mouth to mouth.</b> °I told him to separate from his wife. Where did I tell him? At Sinai, “Go tell them ‘Return to your tents,’ but you remain with Me here.” "
Rashi on Numbers 12:8:2,"<b>In a vision, and not in riddles.</b> “In a vision” — this is the vision of the word, for I explain My word to him in the clearest form, I do not conceal it in riddles the way it was said to Yechezkel, “Present a riddle, etc.” Perhaps [this refers to] the vision of the Divine Presence? The Torah teaches, “you cannot see My Presence.” "
Rashi on Numbers 12:8:3,"<b>He gazes at the likeness of Adonoy.</b> This is the vision of the back, according to what is said, “But you may see what is behind Me.” 
"
Rashi on Numbers 12:8:4,"<b>About My servant, about Moshe.</b> It does not say, ‘about My servant Moshe,’ but ‘about My servant, about Moshe’ — about My servant, even if he were not Moshe, about Moshe, even if he were not My servant, It would have been appropriate for you to have been in awe of him. Certainly since he is My servant, and the king’s servant is [as] the king. You should have said, ‘The king does not love him gratuitously.’ And if you say that °I am not aware of his actions, then this (statement) is worse than the first! "
Rashi on Numbers 12:9:1,"<b>Adonoy’s anger flared against them and He left.</b> After He informed them of their reprehensible behavior, He decreed excommunication against them. Certainly a mortal, then, should not be angry with his fellow until he informs him of his reprehensible behavior. "
Rashi on Numbers 12:10:1,"<b>The cloud departed.</b> Afterward, “Behold, Miriam was leprous, like snow.” This is compared to a king who said to a pedagogue, ‘Punish my son, but do not punish him until I leave, as I pity him.’ "
Rashi on Numbers 12:11:1,"<b>We have foolishly done.</b> As Targum [Onkelos] translates, from the word אֱוִיל, “fool.” "
Rashi on Numbers 12:12:1,"<b>Please, let her not be,</b> this our sister. "
Rashi on Numbers 12:12:2,"<b>Like the dead.</b> Since the leper is considered dead. °Just as the dead cause ritual defilement when entering [a room], so does the leper cause ritual defilement when entering. "
Rashi on Numbers 12:12:3,"<b>That, since he came from his mother’s womb.</b> “<i>Our</i> mother” should have been said, but Scripture euphemises. Similarly, “half his flesh” — “half <i>our</i> flesh” should have been said, but Scripture euphemises. That, since she came from our mother’s womb, [what] she [suffers] is ours, as if half our flesh were eaten away. This is similar to what is said, “for he is our brother, our flesh.” The simple interpretation also appears the same. °It is unconscionable for a brother to allow his sister to remain as if dead. "
Rashi on Numbers 12:12:4,"<b>That, since he came.</b> Since he [also] came from the mother’s womb of this one who has the power to help but does not, then half his own flesh is eaten away, as his brother, is his flesh. Another interpretation [of] “Please, let her not be like the dead.” If you do not heal her through prayer, °who will confine her, and who will purify her? I can not possibly examine her, as I am related, and a relative cannot examine the symptoms of leprosy. And there is no other <i>kohein</i> in the world. This is [what is meant by] “that, since he came from his mother’s womb.” "
Rashi on Numbers 12:13:1,"<b>Please, God, please heal her.</b> Scripture comes to teach proper behavior — that one who requests something from his fellow must say two or three words of supplication, then, afterward, make his requests. "
Rashi on Numbers 12:13:2,"<b>Saying.</b> What does the Torah teach? He (Moshe) said to Him, °‘Answer me, [as to] whether or not You will cure her’ — until He did answer, “If her father were to spit, etc.” R’ Elazar son of Azariah said, in four places, Moshe asked the Holy One, Blessed is He, that He answer him [as to] whether or not He would grant his requests. Similarly, “Moshe spoke before God, saying, etc.” What does the Torah teach by writing “saying”? ‘Answer me [as to] whether or not You will redeem them’ — until He did answer him, “Now you will see, etc.” Similarly, “Moshe spoke to God, saying, ‘let God, the God of the spirit of all flesh, appoint’.” He answered: “Take for you.” Similarly, “I pleaded with God at that time, saying.” He answered him, “Enough, for you.” "
Rashi on Numbers 12:13:3,"<b>Please heal her.</b> Why did not Moshe pray at length? So that the Israelites should not say, “His sister is suffering, and he stands and prolongs his prayer.” (Another interpretation: So that the Israelites should not say, For his sister he prays at length, but for us he does not pray at length). "
Rashi on Numbers 12:14:1,"<b>If (lit. “and”) her father were to spit in her face.</b> °If her father were to display, to her, an angry face, would she not be humiliated for seven days? °Certainly, then, in the case of the Divine Presence, [she should be humiliated] for fourteen days. However, it is sufficient that the derivative equal the source of its derivation. Therefore, even with My rebuke, let her be confined for seven days. "
Rashi on Numbers 12:14:2,"<b>And after that, she may join again.</b> I say that all אֲסִיפוֹת mentioned regarding lepers are related to his expulsion from the camp. When he is cured, he is brought into the camp. Thus, אֲסִיפָה is written concerning him, meaning bringing in. 
"
Rashi on Numbers 12:15:1,"<b>The people did not depart.</b> This honor was accorded her by the Omnipresent for °the one hour she remained with Moshe when he was cast into the river, as it is said, “his sister stood from afar, etc. 
"
Rashi on Numbers 12:15:2,
Rashi on Numbers 13:2:1,"<b>Send, for yourself.</b> °Why is the chapter of the spies adjacent to the chapter of Miriam? Because she was punished over the matter of her slanderous conversation about her brother, and those wicked men saw, but did not accept reproof. "
Rashi on Numbers 13:2:2,"<b>Send, for yourself.</b> °According to your opinion I do not command you. If you wish, send. Because the Israelites came and said, ‘let us send men before us,’ as it is said, “all of you approached me, etc.” °Moshe conferred with the <i>Shechinah.</i> He (Hashem) said, ‘I told them that it is good, as it is said, “I will bring you up from the suffering of Egypt, etc.” By their lives! I’ll give them °an opportunity for error with the report of the spies, so that they will not inherit it. "
Rashi on Numbers 13:3:1,"<b>By the word of Adonoy.</b> °With His permission — He did not stop him. 
"
Rashi on Numbers 13:3:2,<b>All of them [were] men of distinction.</b> אֲנָשִׁים in Scripture always °refers to distinction. °At that time they were righteous.
Rashi on Numbers 13:16:1,"<b>Moshe called Hosheiah, etc.</b> He prayed for him, °‘may Hashem save you from [joining] the counsel of the spies.” 
"
Rashi on Numbers 13:17:1,"<b>Go up this [way], to the south.</b> °This was the worst of Eretz Yisroel. This is the method of merchants, first they display the worst, and then they display the best. "
Rashi on Numbers 13:18:1,"<b>What the land is.</b> °Some countries nurture strong men, some countries nurture °weaklings, some °grow large populations, some diminish the populace. "
Rashi on Numbers 13:18:2,"<b>Are they strong or weak.</b> °He gave them a sign. If they live in open cities, they are strong, since they are confident of their strength. But if they live in fortified cities, they are weak. "
Rashi on Numbers 13:19:1,"<b>Are they open.</b> Targum [Onkelos] translates, הַבְּפַצְחִין (“whether in open cities”), cities that are exposed and open, for lack of a wall. "
Rashi on Numbers 13:19:2,"<b>Is it good.</b> With excellent, prolific wells and deep water shelves. 
"
Rashi on Numbers 13:20:1,"<b>Does it have trees.</b> Whether there is, among them, °a righteous man to protect them with his merit. "
Rashi on Numbers 13:20:2,<b>The first ripening of the grapes.</b> Days when the grapes were °first ripening.
