Index Title,Rashi on Leviticus
Rashi on Leviticus 7:12:3,<b>מרבכת.</b> לחם °חלוט ברותחין כל צרכו:
Rashi on Leviticus 7:13:1,"<b>יקריב קרבנו על זבח.</b> מגיד °שאין הלחם קדוש קדושת הגוף <small>(שם עח:)</small> ליפסל ביוצא וטבול יום, ומלצאת לחולין בפדיון עד שישחט הזבח: "
Rashi on Leviticus 7:14:1,"<b>אחד מכל קרבן.</b> °לחם אחד מכל מין ומין יטול לתרומה לכהן העובד עבודתו והשאר נאכל לבעלים <small>(מנחות עז:)</small>, ובשרה לבעלים חוץ מחזה ושוק שבה, כמו שמפורש למטה תנופת חזה ושוק בשלמים <small>(פסוק לד)</small>, והתודה קרויה שלמים <small>(זבחים ד.)</small>: "
Rashi on Leviticus 7:15:1,"<b>ובשר זבח תודת שלמיו.</b> יש כאן רבויין הרבה, לרבות חטאת ואשם, ואיל נזיר, °וחגיגת י""ד, שיהיו נאכלין ליום ולילה <small>(זבחים לו. — ת""כ פרק יב, א)</small>: "
Rashi on Leviticus 7:15:2,<b>ביום קרבנו יאכל.</b> וכזמן בשרה °זמן לחמה:
Rashi on Leviticus 7:15:3,"<b>לא יניח ממנו עד בוקר.</b> אבל אוכל הוא כל הלילה, אם כן למה אמרו °עד חצות, כדי להרחיק אדם מן העבירה <small>(ברכות ב.)</small>: "
Rashi on Leviticus 7:16:1,"<b>ואם נדר או נדבה.</b> שלא הביאה על °הודאה של נס, אינה טעונה לחם ונאכלת לב' ימים, כמו שמפורש בענין: "
Rashi on Leviticus 7:16:2,"<b>וממחרת והנותר ממנו.</b> בראשון, °יאכל. (ס""א והנותר ממנו יאכל) וי""ו זו יתירה היא, ויש כמוה הרבה במקרא, כגון וְאֵלֶּה בְנֵי צִבְעוֹן וְאַיָּה וַעֲנָה <small>(בראשית לו, כד)</small> תֵּת וְקֹדֶשׁ וְצָבָא מִרְמָס <small>(דניאל ח, יג)</small>: "
Rashi on Leviticus 7:16:3,
Rashi on Leviticus 7:18:1,"<b>ואם האכל יאכל וגו'.</b> °במחשב בשחיטה לאכלו בשלישי הכתוב מדבר יכול אם אכל ממנו בשלישי °יפסל למפרע, תלמוד לומר המקריב אותו לא יחשב, בשעת הקרבה הוא נפסל, ואינו נפסל בשלישי <small>(ת""כ פרשתא ח, א)</small>. וכן פירושו בשעת הקרבתו °לא תעלה זאת במחשבה, °ואם חשב פיגול יהיה: "
Rashi on Leviticus 7:18:2,"<b>והנפש האכלת ממנו.</b> אפילו °בתוך הזמן, עונה תשא: 
"
Rashi on Leviticus 7:19:1,<b>והבשר.</b> של קדש °שלמים אשר יגע בכל טמא לא יאכל:
Rashi on Leviticus 7:19:2,"<b>והבשר.</b> לרבות °אבר שיצא מקצתו, שהפנימי מותר: "
Rashi on Leviticus 7:19:3,"<b>כל טהור יאכל בשר.</b> מה תלמוד לומר לפי שנאמר וְדַם זְבָחֶיךָ יִשָּׁפֵךְ וְהַבָּשָׂר תֹּאכֵל <small>(דברים יב, כז)</small>, יכול לא יאכלו שלמים אלא הבעלים, °לכך נאמר כל טהור יאכל בשר: "
Rashi on Leviticus 7:19:4,"<b>(והבשר כל טהור יאכל בשר.</b> כלומר כל מה שאסרתי לך בחטאת ואשם שאם יצאו חוץ לקלעים אסורה, כמו שכתוב בחצר אהל מועד יאכלוה, בבשר זה אני אומר לך כל טהור יאכל בשר, אפילו בכל העיר): 
"
Rashi on Leviticus 7:20:1,"<b>וטמאתו עליו.</b> °בטומאת הגוף הכתוב מדבר <small>(זבחים מג:)</small>, אבל טהור שאכל את הטמא, אינו ענוש כרת, אלא אזהרה, והבשר אשר יגע בכל טמא וגו'. ואזהרת טמא שאכל את הטהור °אינה מפורשת בתורה, אלא חכמים °למדוה בגזירה שוה <small>(ת""כ יד, ג. — מכות יד:)</small>. °ג' כריתות אמורות באוכלי קדשים בטומאת הגוף, ודרשוה רבותינו בשבועות <small>(ז.)</small>, אחת לכלל, ואחת לפרט, °ואחת ללמד על קרבן עולה ויורד שלא נאמר אלא על טומאת מקדש וקדשיו: "
Rashi on Leviticus 7:24:1,"<b>יעשה לכל מלאכה.</b> בא ולימד על °החלב שאינו מטמא טומאת נבלות <small>(פסחים כג. — ת""כ פרשתא י, ח)</small>: "
Rashi on Leviticus 7:24:2,"<b>ואכל לא תאכלהו.</b> אמרה תורה יבוא איסור נבילה וטרפה °ויחול על איסור חלב, שאם אכלו יתחייב אף על לאו של נבילה, ולא תאמר אין איסור חל על איסור <small>(חולין לז.)</small>: "
Rashi on Leviticus 7:24:3,
Rashi on Leviticus 7:26:1,<b>לעוף ולבהמה.</b> °פרט לדם דגים וחגבים:
Rashi on Leviticus 7:26:2,"<b>בכל מושבותיכם.</b> לפי שהיא חובת הגוף ואינה חובת קרקע °נוהגת בכל מושבות, ובמסכת קדושין בפ""א <small>(לז:)</small> מפרש למה הוצרך לומר: "
Rashi on Leviticus 7:30:1,"<b>ידיו תביאינה וגו'.</b> שתהא יד הבעלים מלמעלה והחלב והחזות נתונין בה, °ויד כהן מלמטה ומניפן <small>(מנחות סא:)</small>: "
Rashi on Leviticus 7:30:2,"<b>את אשי ה'.</b> ומה הן האשים, את החלב על החזה: "
Rashi on Leviticus 7:30:3,"<b>יביאנו.</b> כשמביאו מבית המטבחים נותן החלב על החזה, וכשנותנו ליד הכהן המניף נמצא החזה למעלה והחלב למטה, וזהו האמור במקום אחר שֹׁוק הַתְּרוּמָה וַחֲזֵה הַתְּנוּפָה עַל אִשֵּׁי הַחֲלָבִים יָבִיאוּ לְהָנִיף וגו' <small>(ויקרא י, טו)</small>, ולאחר התנופה נותנו לכהן המקטיר, ונמצא החזה למטה, וזהו שנאמר וַיָּשִׂימוּ אֶת הַחֲלָבִים עַל הֶחָזֹות וַיַּקְטֵר הַחֲלָבִים הַמִּזְבֵּחָה <small>(שם ט, כ)</small>, למדנו °שג' כהנים זקוקין לה, כך מפורש במנחות <small>(דף סב:)</small>: "
Rashi on Leviticus 7:30:4,"<b>את החלב על החזה יביאנו.</b> ואת החזה למה מביא, להניף אותו הוא מביאו, ולא שיהא הוא מן האשים, לפי שנאמר את אשי ה' °את החלב על החזה, יכול שיהא אף החזה לאשים, לכך נאמר את החזה להניף וגו': "
Rashi on Leviticus 7:30:5,
Rashi on Leviticus 7:31:1,"<b>והקטיר הכהן את החלב.</b> ואחר כך והיה החזה לאהרן למדנו שאין הבשר נאכל בעוד שהאימורים למטה מן המזבח <small>(ת""כ פרק טז, ד)</small>: "
Rashi on Leviticus 7:31:2,
Rashi on Leviticus 7:32:1,<b>שוק.</b> מן הפרק של ארכובה הנמכרת עם הראש עד הפרק האמצעי שהוא סובך של ירך <small>(חולין קלד:)</small>:
Rashi on Leviticus 7:33:1,"<b>המקריב את דם וגו'.</b> מי שהוא ראוי לזריקתו ולהקטיר חלביו, יצא טמא בשעת זריקת דמים °או בשעת הקטר חלבים שאינו חולק בבשר: "
Rashi on Leviticus 7:34:1,"<b>התנופה התרומה.</b> °מוליך ומביא מעלה ומוריד <small>(סוכה לז:)</small>: 
 "
Rashi on Leviticus 7:37:1,"<b>ולמלואים.</b> °ליום חינוך הכהונה: 
"
Rashi on Leviticus 8:2:1,"<b>קח את אהרן.</b> פרשה זו נאמרה שבעת ימים קודם הקמת המשכן, °שאין מוקדם ומאוחר בתורה: "
Rashi on Leviticus 8:2:2,<b>קח את אהרן.</b> קחנו °בדברים ומשכהו:
Rashi on Leviticus 8:2:3,"<b>ואת פר החטאת וגו'.</b> אלו האמורים בענין צוואת המלואים בואתה תצוה <small>(שמות כט)</small> ועכשיו ביום ראשון למלואים חזר וזרזו בשעת מעשה: 
"
Rashi on Leviticus 8:3:1,<b>הקהל אל פתח אהל מועד.</b> זה אחד מן המקומות שהחזיק מועט את המרובה:
Rashi on Leviticus 8:5:1,"<b>זה הדבר.</b> °דברים שתראו שאני עושה לפניכם °צוני הקב""ה לעשות, ואל תאמרו לכבודי ולכבוד אחי אני עושה. כל הענין הזה בפרשת המלואים פירשתי בואתה תצוה <small>(שם)</small>: "
Rashi on Leviticus 8:8:1,<b>את האורים.</b> כתב של שם המפורש:
Rashi on Leviticus 8:9:1,<b>וישם על המצנפת.</b> פתילי תכלת הקבועים בציץ נתן °על המצנפת נמצא הציץ תלוי במצנפת:
Rashi on Leviticus 8:11:1,<b>ויז ממנו על המזבח.</b> °לא ידעתי היכן נצטוה בהזאות הללו:
Rashi on Leviticus 8:12:1,"<b>ויצק. וימשח.</b> בתחלה יוצק על ראשו, ואח""כ נותן בין ריסי עיניו, ומושך באצבעו מזה לזה <small>(כריתות ה:)</small>: "
Rashi on Leviticus 8:13:1,<b>ויחבש.</b> לשון קשירה:
Rashi on Leviticus 8:15:1,<b>ויחטא את המזבח.</b> חִטְּאוֹ °וְטִהֲרוֹ מִזָּרוּת ליכנס לקדושה:
Rashi on Leviticus 8:15:2,<b>ויקדשהו.</b> °בעבודה זו:
Rashi on Leviticus 8:15:3,"<b>לכפר עליו.</b> °מעתה כל הכפרות: 
"
Rashi on Leviticus 8:16:1,"<b>ואת יתרת הכבד.</b> °לבד הכבד, שהיה נוטל מעט מן הכבד עמה: 
"
Rashi on Leviticus 8:22:1,<b>איל המלאים.</b> איל השלמים שמלואים לשון שלמים °שממלאים ומשלימים את הכהנים בכהונתם:
Rashi on Leviticus 8:26:1,"<b>וחלת לחם שמן.</b> היא רבוכה, שהיה °מרבה בה שמן כנגד החלות והרקיקין, כך מפורש במנחות <small>(עח.)</small>: "
Rashi on Leviticus 8:28:1,"<b>ויקטר המזבחה.</b> °משה שמש כל שבעת ימי המלואים בחלוק לבן <small>(עבודה זרה לד.)</small>: 
"
Rashi on Leviticus 8:28:2,"<b>על העולה.</b> °אחר העולה ולא מצינו שוק של שלמים קרב בכל מקום חוץ מזה: 
"
Rashi on Leviticus 8:34:1,"<b>צוה ה' לעשות.</b> °כל שבעת הימים ורז""ל דרשו <small>(יומא ב:)</small> לעשות, זה מעשה פרה, לכפר זה מעשה יום הכפורים, וללמד שכהן גדול טעון °פרישה קודם יום הכפורים שבעת ימים, וכן הכהן השורף את הפרה: 
"
Rashi on Leviticus 8:34:2,
Rashi on Leviticus 8:34:3,
Rashi on Leviticus 8:35:1,"<b>ולא תמותו.</b> °הא אם לא תעשו כן, רי אתם חייבים °מיתה: "
Rashi on Leviticus 8:36:1,"<b>ויעש אהרן ובניו.</b> להגיד שבחן °שלא הטו ימין ושמאל: 
"
Rashi on Leviticus 8:36:2,
Rashi on Leviticus 9:1:1,"<b>ויהי ביום השמיני.</b> °שמיני למלואים, הוא ר""ח ניסן, שהוקם המשכן °בו ביום, °ונטל י' עטרות השנויות בסדר עולם <small>(פרק ז)</small>: "
Rashi on Leviticus 9:1:2,"<b>ולזקני ישראל.</b> להשמיעם שעל פי הדבור אהרן °נכנס ומשמש בכהונה גדולה, ולא יאמרו מאליו נכנס: 
"
Rashi on Leviticus 9:2:1,"<b>קח לך עגל.</b> להודיע שמכפר לו הקב""ה ע""י עגל זה °על מעשה העגל שעשה: 
"
Rashi on Leviticus 9:4:1,"<b>כי היום ה' נראה אליכם.</b> °להשרות שכינתו במעשה ידיכם, לכך קרבנות הללו באין חובה ליום זה: "
Rashi on Leviticus 9:7:1,"<b>קרב אל המזבח.</b> °שהיה אהרן בוש וירא לגשת, אמר לו משה למה אתה בוש, לכך נבחרת <small>(ת""כ פרשתא א, ח)</small>: "
Rashi on Leviticus 9:7:2,"<b>את חטאתך.</b> עגל בן בקר: 
"
Rashi on Leviticus 9:7:3,<b>ואת עולתך.</b> איל:
Rashi on Leviticus 9:7:4,"<b>קרבן העם.</b> °שעיר עזים ועגל וכבש. °כל מקום שנאמר עגל בן שנה הוא, ומכאן אתה למד: "
Rashi on Leviticus 9:11:1,"<b>ואת הבשר ואת העור וגו'.</b> לא מצינו חטאת חיצונה נשרפת אלא זו, ושל מלואים, °וכולן על פי הדבור: "
Rashi on Leviticus 9:12:1,<b>וימציאו.</b> לשון הושטה והזמנה:
Rashi on Leviticus 9:15:1,<b>ויחטאהו.</b> עשהו כמשפט חטאת:
Rashi on Leviticus 9:15:2,<b>כראשון.</b> °כעגל שלו:
Rashi on Leviticus 9:16:1,"<b>ויעשה כמשפט.</b> המפורש °בעולת נדבה בויקרא <small>(ביצה כ.)</small>: 
"
Rashi on Leviticus 9:17:1,<b>וימלא כפו.</b> היא °קמיצה:
Rashi on Leviticus 9:17:2,"<b>מלבד עלת הבקר.</b> כל אלה עשה °אחר עולת התמיד: 
"
Rashi on Leviticus 9:19:1,<b>והמכסה.</b> חלב °המכסה את הקרב:
Rashi on Leviticus 9:20:1,"<b>וישימו את החלבים על החזות.</b> לאחר התנופה נתנן כהן המניף °לכהן אחר להקטירם, נמצאו העליונים למטה <small>(מנחות סב.)</small>: 
"
Rashi on Leviticus 9:22:1,"<b>ויברכם.</b> ברכת כהנים, °יברכך, יאר, ישא: "
Rashi on Leviticus 9:22:2,"<b>וירד.</b> °מעל המזבח: 
"
Rashi on Leviticus 9:23:1,"<b>ויבא משה ואהרן וגו'.</b> למה נכנסו, מצאתי בפרשת מלואים בברייתא הנוספת על תורת כהנים שלנו, למה נכנס משה עם אהרן, °ללמדו על מעשה הקטרת, או לא נכנס אלא לדבר אחר, הריני דן ירידה וביאה טעונות ברכה, מה ירידה מעין עבודה, אף ביאה מעין עבודה, הא למדת למה נכנס משה עם אהרן למדו על מעשה הקטרת. דבר אחר כיון שראה אהרן שקרבו כל הקרבנות ונעשו כל המעשים, ולא ירדה שכינה לישראל, היה מצטער ואומר, יודע אני שכעס הקב""ה עלי, ובשבילי לא ירדה שכינה לישראל, אמר לו למשה משה אחי כך עשית לי שנכנסתי ונתביישתי, מיד נכנס משה עמו ובקשו רחמים וירדה שכינה לישראל: 
"
Rashi on Leviticus 9:23:2,"<b>ויצאו ויברכו את העם.</b> אמרו וִיהִי נֹעַם ה' אֱלֹהֵינוּ עָלֵינוּ <small>(תהלים צ, יז)</small>, °יהי רצון שתשרה שכינה במעשה ידיכם. לפי שכל ז' ימי המלואים שהעמידו משה למשכן ושמש בו, ופרקו בכל יום, לא שרתה בו שכינה, והיו ישראל נכלמים ואומרים למשה, משה רבינו כל הטורח שטרחנו שתשרה שכינה בינינו ונדע שנתכפר לנו עון העגל, לכך אמר להם זה הדבר אשר צוה ה' תעשו וירא אליכם כבוד ה', אהרן אחי כדאי וחשוב ממני, שעל ידי קרבנותיו ועבודתו תשרה שכינה בכם, ותדעו שהמקום בחר בו: "
Rashi on Leviticus 9:24:1,<b>וירנו.</b> כתרגומו:
Rashi on Leviticus 10:2:1,"<b>ותצא אש.</b> רבי אליעזר אומר לא מתו בני אהרן °אלא על ידי שהורו הלכה בפני משה רבן, רבי ישמעאל אומר °שתויי יין נכנסו למקדש. תדע שאחר מיתתן הזהיר הנותרים שלא יכנסו שתויי יין למקדש, משל למלך שהיה לו בן בית וכו', כדאיתא בויקרא רבה <small>(יב, א)</small>: 
"
Rashi on Leviticus 10:3:1,"<b>הוא אשר דבר וגו'.</b> היכן דבר, וְנֹעַדְתִּי שָׁמָּה לִבְנֵי יִשְׂרָאֵל וְנִקְדָּשׁ בִּכְבֹדִי <small>(שמות כט, מג)</small>, אל תקרי בכבודי אלא במכובדי <small>(זבחים קטו:)</small>. אמר משה לאהרן, אהרן אחי, יודע הייתי שיתקדש הבית במיודעיו של מקום, והייתי סבור או בי או בך, עכשיו רואה אני °שהם גדולים ממני וממך <small>(ת""כ פרשתא א, כג. — ויקרא רבה יב, ב)</small>: 
"
Rashi on Leviticus 10:3:2,"<b>וידום אהרן.</b> °קבל שכר על שתיקתו, ומה שכר קבל, שנתייחד עמו הדבור, שנאמרה °לו לבדו פרשת שתויי יין <small>(ת""כ שם לו. — ויק""ר שם)</small>. "
Rashi on Leviticus 10:3:3,<b>בקרובי.</b> בבחירי:
Rashi on Leviticus 10:3:4,"<b>ועל פני כל העם אכבד.</b> כשהקב""ה עושה דין בצדיקים מתיירא, °ומתעלה, ומתקלס, אם כן באלו, כל שכן ברשעים, וכן הוא אומר נוֹרָא אֱלֹהִים מִמִּקְדָּשֶׁיךָ <small>(תהלים סח, לו)</small>, אל תקרי ממקדשיך אלא ממקודשיך: "
Rashi on Leviticus 10:4:1,"<b>דד אהרן.</b> °עוזיאל אחי עמרם היה, שנאמר וּבְנֵי קְהָת וגו' <small>(שמות ו, יח)</small>: "
Rashi on Leviticus 10:4:2,"<b>שאו את אחיכם וגו'.</b> כאדם האומר לחבירו, העבר את המת מלפני הכלה, °שלא לערבב את השמחה: 
"
Rashi on Leviticus 10:5:1,"<b>בכתנתם.</b> °של מתים, מלמד, שלא נשרפו בגדיהם, אלא נשמתם, כמין שני חוטין של אש נכנסו לתוך חוטמיהם <small>(סנהדרין נב. שם כג)</small>: "
Rashi on Leviticus 10:6:1,"<b>אל תפרעו.</b> °אל תגדלו שער, °מכאן שֶׁאָבֵל אסור בתספורת <small>(מועד קטן יד:)</small>, אבל אתם אל תערבבו שמחתו של מקום: 
"
Rashi on Leviticus 10:6:2,"<b>ולא תמותו.</b> °הא אם תעשו כן, מותו: "
Rashi on Leviticus 10:6:3,"<b>ואחיכם כל בית ישראל.</b> מכאן, שצרתן של תלמידי חכמים °מוטלת על הכל להתאבל בה: 
"
Rashi on Leviticus 10:9:1,<b>יין ושכר.</b> יין °דרך שכרותו:
Rashi on Leviticus 10:9:2,"<b>בבאכם אל אהל מועד.</b> אין לי אלא בבואם להיכל, בגשתם למזבח מנין, נאמר כאן ביאת אהל מועד, ונאמר בקידוש ידים ורגלים ביאת אהל מועד <small>(שמות ל, כ)</small>, מה להלן עשה גישת מזבח כביאת אהל מועד, אף כאן עשה גישת מזבח כביאת אהל מועד <small>(ת""כ פרשתא א, ד)</small>: "
Rashi on Leviticus 10:10:1,"<b>ולהבדיל.</b> כדי שתבדילו °בין עבודה קדושה למחוללת, הא למדת שאם עבד עבודתו פסולה <small>(שם ח. זבחים יז:)</small>: "
Rashi on Leviticus 10:11:1,"<b>ולהורת.</b> למד, שאסור שיכור בהוראה <small>(ת""כ)</small>, °יכול יהא חייב מיתה, תלמוד לומר אתה ובניך אִתָּךְ ולא תמותו, °כהנים בעבודתם מיתה, ואין חכמים בהוראתם במיתה: 
"
Rashi on Leviticus 10:12:1,"<b>הנותרים.</b> מן המיתה, מלמד שאף עליהם קנסה מיתה °על עון העגל, הוא שנאמר וּבְאַהֲרֹן הִתְאַנַּף ה' מְאֹד לְהַשְׁמִידוֹ <small>(דברים ט, כ)</small>, ואין השמדה אלא כִּלּוּי בנים, שנאמר וָאַשְׁמִיד פִּרְיוֹ מִמַּעַל <small>(עמוס ב, ט)</small>, ותפלתו של משה בטלה מחצה, שנאמר °וָאֶתְפַּלֵּל גַּם בְּעַד אַהֲרֹן בָּעֵת הַהִוא <small>(דברים שם)</small>: "
Rashi on Leviticus 10:12:2,"<b>קחו את המנחה.</b> אף על פי שאתם אוננין, °וקדשים אסורים לאונן <small>(זבחים קא:)</small>: "
Rashi on Leviticus 10:12:3,"<b>את המנחה.</b> זו °מנחת שמיני ומנחת נחשון: 
"
Rashi on Leviticus 10:12:4,"<b>ואכלוה מצות.</b> °מה תלמוד לומר, לפי שהיא מנחת צבור ומנחת שעה, ואין כיוצא בה לדורות, הוצרך לפרש בה דין שאר מנחות: "
Rashi on Leviticus 10:13:1,"<b>וחק בניך.</b> אין לְבָנוֹת חק בקדשים: 
"
Rashi on Leviticus 10:13:2,"<b>כי כן צויתי. </b>באנינות יאכלוה <small>(ת""כ פרק א, ח — זבחים קא.)</small>: "
Rashi on Leviticus 10:14:1,<b>ואת חזה התנופה.</b> °של שלמי צבור:
Rashi on Leviticus 10:14:2,"<b>תאכלו במקום טהור.</b> וכי את הראשונים אכלו במקום טמא, אלא הראשונים שהם קדשי קדשים, הוזקק אכילתם במקום קדוש, אבל אלו אין צריכים תוך הקלעים, אבל צריכים הם להאכל °תוך מחנה ישראל, שהוא טהור מליכנס שם מצורעים, מכאן שקדשים קלים נאכלין בכל העיר <small>(שם נה.)</small>: "
Rashi on Leviticus 10:14:3,"<b>אתה ובניך ובנותיך.</b> אתה ובניך בחלק, אבל בנותיך לא בחלק, אלא אם תתנו להם מתנות רשאות הן לאכול בחזה ושוק, או אינו אלא אף הבנות בחלק, תלמוד לומר כי חקך וחק בניך נתנו, חק לבנים, ואין חק לבנות <small>(ת""כ שם י)</small>: "
Rashi on Leviticus 10:15:1,<b>שוק התרומה וחזה התנופה.</b> לשון אשר הונף ואשר הורם. תנופה מוליך ומביא תרומה מעלה ומוריד. ולמה חלקן הכתוב תרומה בשוק ותנופה בחזה. לא ידענו. ששניהם בהרמה והנפה:
Rashi on Leviticus 10:15:2,"<b>על אשי החלבים.</b> מכאן שהחלבים למטה בשעת תנופה, וישוב המקראות שלא יכחישו זה את זה כבר פרשתי שלשתן בצו את אהרן <small>(לעיל ז, ל)</small>: "
Rashi on Leviticus 10:16:1,"<b>שעיר החטאת.</b> שעיר °מוספי ראש חודש. ושלשה שעירי חטאות קרבו בו ביום שעיר עזים, ושעיר נחשון, ושעיר ראש חודש, ומכולן לא נשרף אלא זה, ונחלקו בדבר חכמי ישראל, <small>(בת""כ פרק ב, ח־י)</small> יש אומרים מפני טומאה שנגעה בו נשרף, ויש אומרים מפני אנינות נשרף, לפי שהוא קדשי דורות, אבל בקדשי שעה סמכו על משה שאמר להם במנחה ואכלוה מצות: "
Rashi on Leviticus 10:16:2,"<b>דרוש דרש.</b> שתי דרישות הללו, °מפני מה נשרף זה, ומפני מה נאכלו אלו, כך הוא בתורת כהנים <small>(פרק ב, ב)</small> "
Rashi on Leviticus 10:16:3,<b>על אלעזר ועל איתמר.</b> בשביל כבודו של אהרן °הפך פניו כנגד הבנים וכעס:
Rashi on Leviticus 10:16:4,<b>לאמר.</b> אמר להם °השיבוני על דברי:
Rashi on Leviticus 10:17:1,"<b>מדוע לא אכלתם את החטאת במקום הקדש.</b> °וכי חוץ לקדש אכלוה, והלא שרפוה, ומהו אומר במקום הקדש, אלא אמר להם שמא חוץ לקלעים יצאה ונפסלה: 
"
Rashi on Leviticus 10:17:2,"<b>כי קדש קדשים הוא.</b> ונפסלת ביוצא, והם אמרו לו לאו, אמר להם הואיל ובמקום הקדש היתה, מדוע לא אכלתם אותה: "
Rashi on Leviticus 10:17:3,<b>ואותה נתן לכם לשאת וגו'.</b> שהכהנים אוכלים ובעליהם מתכפרים:
Rashi on Leviticus 10:17:4,"<b>לשאת את עון העדה.</b> מכאן למדנו ששעיר ראש חודש היה, שהוא מכפר על עון טומאת מקדש וקדשיו, שחטאת שמיני וחטאת נחשון °לא לכפרה באו: "
Rashi on Leviticus 10:18:1,"<b>הן לא הובא וגו'.</b> שאילו הובא היה לכם לשרפה, כמו שנאמר וְכָל חַטָּאת אֲשֶׁר יוּבָא מִדָּמָהּ וגו' <small>(ויקרא ו, כג)</small>: "
Rashi on Leviticus 10:18:2,<b>אכול תאכלו אתה.</b> °היה לכם לאכלה אף על פי שאתם אוננים:
Rashi on Leviticus 10:18:3,<b>כאשר צויתי.</b> לכם °במנחה:
Rashi on Leviticus 10:19:1,"<b>וידבר אהרן.</b> °אין לשון דבור אלא לשון עז, שנאמר וַיְדַבֵּר הָעָם וגו' <small>(במדבר כא, ה)</small>. אפשר משה קצף על אלעזר ועל איתמר, ואהרן מדבר, הא ידעת שלא היתה אלא מדרך כבוד, אמרו, אינו בדין שיהא אבינו יושב ואנו מדברים לפניו, ואינו בדין שיהא תלמיד משיב את רבו, יכול מפני שלא היה באלעזר להשיב, תלמוד לומר וַיֹּאמֶר אֶלְעָזָר הַכֹּהֵן אֶל אַנְשֵׁי הַצָּבָא וגו' <small>(שם לא, כא)</small>, הרי כשרצה דבר לפני משה ולפני הנשיאים, זו מצאתי בספרי של פנים שני: "
Rashi on Leviticus 10:19:2,"<b>הן היום הקריבו.</b> מהו אומר, °אלא אמר להם משה שמא זרקתם דמה אוננים, שהאונן שעבד חלל, אמר לו אהרן, וכי הם הקריבו שהם הדיוטות, אני הקרבתי, שאני כהן גדול, ומקריב אונן <small>(זבחים קא.)</small>: "
Rashi on Leviticus 10:19:3,"<b>ותקראנה אותי כאלה.</b> אפילו לא היו המתים בָּנַי, אלא שאר קרובים שאני חייב להיות אונן עליהם כאלו, כגון כל האמורים בפרשת כהנים שהכהן מטמא להם: "
Rashi on Leviticus 10:19:4,"<b>ואכלתי חטאת.</b> °ואם אכלתי, הייטב וגו': "
Rashi on Leviticus 10:19:5,"<b>היום.</b> אבל אנינות לילה °מותר, שאין אונן אלא יום קבורה <small>(שם ק:)</small>: "
Rashi on Leviticus 10:19:6,"<b>הייטב בעיני ה'.</b> אם שמעת בקדשי שעה, אין לך להקל בקדשי דורות: "
Rashi on Leviticus 10:20:1,"<b>וייטב בעיניו.</b> °הודה ולא בוש לומר לא שמעתי <small>(ת""כ פרק ב, יב)</small>: "
Rashi on Leviticus 11:1:1,"<b>אל משה ואל אהרן.</b> למשה אמר, °שיאמר לאהרן: "
Rashi on Leviticus 11:1:2,"<b>לאמר אליהם.</b> אמר שיאמר לאלעזר ולאיתמר, או אינו אלא לאמר לישראל, כשהוא אומר דברו אל בני ישראל, הרי דבור אמור לישראל, הא מה אני מקיים לאמר אליהם, לבניו, לאלעזר ולאיתמר: "
Rashi on Leviticus 11:1:3,
Rashi on Leviticus 11:2:1,"<b>דברו אל בני ישראל.</b> את כולם השוה להיות שלוחים בדבור זה, לפי שהושוו בִּדְמִימָה וקבלו עליהם גזירת המקום מאהבה: "
Rashi on Leviticus 11:2:2,"<b>זאת החיה.</b> °לשון חיים, לפי שישראל דבוקים במקום וראויין להיות חיים, לפיכך הבדילם מן הטומאה וגזר עליהם מצות, ולאומות העולם לא אסר כלום. משל לרופא שנכנס לבקר את החולה וכו', כדאיתא במדרש רבי תנחומא <small>(פ""ו, ויקרא רבה יג, ב)</small>: "
Rashi on Leviticus 11:2:3,"<b>זאת החיה.</b> מלמד שהיה משה °אוחז בחיה ומראה אותה לישראל זאת תאכלו וזאת לא תאכלו. את זה תאכלו וגו'. אף בשרצי המים אחז מכל מין ומין והראה להם, וכן בעוף ואת אלה תשקצו מן העוף, וכן בשרצים וזה לכם הטמא: "
Rashi on Leviticus 11:2:4,<b>זאת החיה מכל הבהמה.</b> °מלמד שהבהמה בכלל חיה <small>(חולין עא.)</small>:
Rashi on Leviticus 11:3:1,<b>מפרסת.</b> כתרגומו °סְדִיקָא:
Rashi on Leviticus 11:3:2,"<b>פרסה.</b> פלאנט""ה בלע""ז: "
Rashi on Leviticus 11:3:3,"<b>ושסעת שסע.</b> שמובדלת מלמעלה ומלמטה בשתי צפרנין, כתרגומו וּמַטִּלְפָא טִלְפִין, שיש שפרסותיו סדוקות מלמעלה ואינן שסועות ומובדלות לגמרי שמלמטה מחוברות: "
Rashi on Leviticus 11:3:4,<b>מעלת גרה.</b> מעלה ומקיאה האוכל ממעיה ומחזרת אותו לתוך פיה לכתשו ולטחנו הדק:
Rashi on Leviticus 11:3:5,"<b>גרה.</b> כך שמו, ויתכן להיותו מגזרת מַּיִם הַנִּגָּרִים <small>(שמואל־ב יד, יד)</small>, שהוא נגרר אחר הפה, ותרגומו פִּשְׁרָא, שע""י הגרה האוכל נפשר ונמוח: "
Rashi on Leviticus 11:3:6,"<b>בבהמה.</b> תיבה זו °יתירה היא לדרשה, להתיר את השליל הנמצא במעי אמו: "
Rashi on Leviticus 11:3:7,"<b>אתה תאכלו.</b> ולא בהמה טמאה, והלא באזהרה היא, אלא לעבור עליה °בעשה ולא תעשה <small>(זבחים לד.)</small>: 
"
