Index Title,Rashi on Deuteronomy
Rashi on Deuteronomy 4:34:5,"<b>ובמלחמה.</b> בים, שנאמר כִּי ה' נִלְחָם לָהֶם <small>(שם יד, כה)</small>: "
Rashi on Deuteronomy 4:35:1,"<b>הראת.</b> °כתרגומו אִתְחֲזֵיתָא, כשנתן הקב""ה את התורה פתח להם שבעה רקיעים, וכשם שקרע את העליונים, כך קרע את התחתונים וראו שהוא יחידי, לכך נאמר אתה הראת לדעת: "
Rashi on Deuteronomy 4:37:1,<b>ותחת כי אהב. °</b>כל זה תחת אשר אהב:
Rashi on Deuteronomy 4:37:2,"<b>ויוצאך בפניו.</b> °כאדם המנהיג בנו לפניו, שנאמר וַיִּסַּע מַלְאַךְ הָאֱלֹהִים הַהֹלֵךְ וגו' וַיֵּלֶךְ מֵאַחֲרֵיהֶם <small>(שם יד, יט)</small>, דבר אחר ויוציאך בפניו, בפני אבותיו, כמו שנאמר נֶגֶד אֲבוֹתָם עָשָׂה פֶלֶא <small>(תהלים עח, יב)</small>, °ואל תתמה על שהזכירם בלשון יחיד, שהרי כתבם בלשון יחיד, ויבחר בזרעו אחריו: 
"
Rashi on Deuteronomy 4:38:1,"<b>ממך מפניך.</b> סרסהו ודרשהו, להוריש מפניך, גוים גדולים ועצומים ממך: "
Rashi on Deuteronomy 4:38:2,"<b>כיום הזה.</b> כאשר אתה רואה היום: 
"
Rashi on Deuteronomy 4:41:1,"<b>אז יבדיל.</b> °נתן לב להיות חרד לַדָּבָר שיבדילם, ואף על פי שאינן קולטות עד שיבדלו אותן שבארץ כנען, אמר משה, מצוה שאפשר לקיימה, אקיימנה <small>(מכות י.)</small>: "
Rashi on Deuteronomy 4:41:2,<b>בעבר הירדן מזרחה שמש.</b> °באותו עבר שבמזרחו של ירדן:
Rashi on Deuteronomy 4:41:3,"<b>מזרחה שמש.</b> לפי שהוא דבוק °נקודה רי""ש בחטף, מזרח של שמש, מקום זריחת השמש: 
"
Rashi on Deuteronomy 4:44:1,<b>וזאת התורה.</b> זו שהוא עתיד לסדר אחר פרשה זו:
Rashi on Deuteronomy 4:45:1,"<b>אלה העדות וגו' אשר דבר.</b> °הם הם אשר דבר בצאתם ממצרים, חזר ושנאה להם בערבות מואב: 
"
Rashi on Deuteronomy 4:47:1,"<b>אשר בעבר הירדן.</b> שהוא במזרח, שהעבר השני היה במערב: 
"
Rashi on Deuteronomy 5:3:1,"<b>לא את אבותינו.</b> °בלבד כרת ה' וגו', כי אתנו: "
Rashi on Deuteronomy 5:4:1,"<b>פנים בפנים.</b> אמר רבי ברכיה, כך אמר משה, אל תאמרו אני מטעה אתכם על לא דבר, כדרך שהסרסור עושה בין המוכר ללוקח, °הרי המוכר עצמו מדבר עמכם: 
"
Rashi on Deuteronomy 5:5:1,<b>לאמר.</b> °מוסב על דבר ה' עמכם בהר מתוך האש לאמר אנכי ה' וגו' ואנכי עומד בין ה' וביניכם:
Rashi on Deuteronomy 5:7:1,"<b>על פני.</b> °בכל מקום אשר אני שם, וזהו כל העולם. דבר אחר, כל זמן שאני קיים. עשרת הדברות כבר פרשתים: 
"
Rashi on Deuteronomy 5:12:1,"<b>שמור.</b> ובראשונות הוא אומר זכור, שניהם בדבור אחד °ובתיבה אחת נאמרו, ובשמיעה אחת נשמעו <small>(מכילתא בחדש פ""ז)</small>: 
"
Rashi on Deuteronomy 5:12:2,<b>כאשר צוך. </b>°קודם מתן תורה במרה <small>(שבת פז:)</small>:
Rashi on Deuteronomy 5:15:1,"<b>וזכרת כי עבד היית וגו'.</b> °על מנת כן פדאך, שתהיה לו עבד ותשמור מצותיו: "
Rashi on Deuteronomy 5:16:1,"<b>כאשר צוך.</b> אף על כיבוד אב ואם נצטוו במרה <small>(סנהדרין נו:)</small>, שנאמר שָׁם שָׂם לוֹ חֹק וּמִשְׁפָּט <small>(שמות טו, כה)</small>: "
Rashi on Deuteronomy 5:17:1,<b>ולא תנאף.</b> °אין לשון ניאוף אלא באשת איש:
Rashi on Deuteronomy 5:18:1,"<b>ולא תתאוה.</b> לא תֵירוֹג, °אף הוא לשון חמדה, כמו נֶחְמָד לְמַרְאֶה <small>(בראשית ב, ט)</small>, דמתרגמינן דִּמְרַגֵּג לְמֶחֱזֵי:"
Rashi on Deuteronomy 5:19:1,"<b>ולא יסף.</b> מתרגמינן ולא פסק, [לפי שמדת בשר ודם אינו יכול לדבר כל דבריו בנשימה אחת, וצריך להפסיק, ומדת הקב""ה אינו כן, לא היה פוסק, ומשלא היה פוסק לא היה מוסיף, °כי קולו חזק וקיים לעולם. דבר אחר ולא יסף, ולא הוסיף °לְהֵרָאוֹת באותו פומבי: 
"
Rashi on Deuteronomy 5:24:1,"<b>ואת תדבר אלינו.</b> °הִתַּשְׁתֶּם את כחי כנקבה, °שנצטערתי עליכם ורפיתם את ידי, כי ראיתי שאינכם חרדים להתקרב אליו מאהבה, וכי לא היה יפה לכם ללמוד מפי הגבורה, ולא ללמוד ממני: "
Rashi on Deuteronomy 6:4:1,"<b>ה' אלהינו ה' אחד.</b> °ה' שהוא אלהינו עתה, ולא אלהי האומות עובדי אלילים, הוא עתיד להיות ה' אחד, שנאמר כִּי אָז אֶהְפֹּךְ אֶל עַמִּים שָׂפָה בְרוּרָה לִקְרֹא כֻלָּם בְּשֵׁם ה' <small>(צפניה ג, ט)</small>, ונאמר בַּיּוֹם הַהוּא יִהְיֶה ה' אֶחָד וּשְׁמוֹ אֶחָד <small>(זכריה יד, ט)</small>: "
Rashi on Deuteronomy 6:4:2,
Rashi on Deuteronomy 6:4:3,
Rashi on Deuteronomy 6:4:4,
Rashi on Deuteronomy 6:4:5,
Rashi on Deuteronomy 6:5:1,"<b>ואהבת. °</b>עֲשֵׂה דבריו מאהבה, אינו דומה עושה מאהבה לעושה מיראה, העושה אצל רבו מיראה, כשהוא מטריח עליו, מניחו והולך לו <small>(ספרי לב)</small>: "
Rashi on Deuteronomy 6:5:2,"<b>בכל לבבך. °</b>בשני יצריך. °דבר אחר בכל לבבך, שלא יהיה לבך חלוק על המקום <small>(ספרי שם)</small>: "
Rashi on Deuteronomy 6:5:3,<b>ובכל נפשך.</b> אפילו הוא נוטל את נפשך:
Rashi on Deuteronomy 6:5:4,"<b>ובכל מאודך.</b> בכל ממונך, °יש לך אדם שממונו חביב עליו מגופו, לכך נאמר ובכל מאדך <small>(ברכות סא:)</small>. °דבר אחר ובכל מאדך, בכל מדה ומדה שמודד לך, בין במדה טובה בין במדת פורענות, וכן בדוד הוא אומר, כּוֹס יְשׁוּעוֹת אֶשָּׂא וגו' <small>(תהלים קטז, יג)</small> צָרָה וְיָגוֹן אֶמְצָא וגו' <small>(שם ג)</small>: "
Rashi on Deuteronomy 6:6:1,"<b>והיו הדברים. °</b>ומהו האהבה, והיו הדברים האלה, שמתוך כך אתה מכיר בהקב""ה ומדבק בדרכיו <small>(ספרי לג)</small>: "
Rashi on Deuteronomy 6:6:2,"<b>אשר אנכי מצוך היום. </b>לא יהיו בעיניך כִּדְיוֹטְגְּמָא ישנה °שאין אדם סוֹפְנָה, °אלא כחדשה שהכל רצין לקראתה <small>(ספרי שם)</small>. דְּיוֹטְגְּמָא מצות המלך הבאה במכתב: "
Rashi on Deuteronomy 6:7:1,"<b>ושננתם. °</b>לשון חדוד הוא, שיהיו מחודדים בפיך, שאם ישאלך אדם דבר, לא תהא צריך לגמגם בו, אלא אמור לו מיד <small>(ספרי לד. — קידושין ל.)</small>: "
Rashi on Deuteronomy 6:7:2,"<b>לבניך.</b> °אלו התלמידים, מצינו בכל מקום שהתלמידים קרוים בנים, שנאמר בָּנִים אַתֶּם לַה' אֱלֹהֵיכֶם <small>(לקמן יד, א)</small>, ואומר בְנֵי הַנְּבִיאִים אֲשֶׁר בֵּית אֵל <small>(מלכים־ב ב, יג)</small>, וכן בחזקיהו שלמד תורה לכל ישראל וקראם בנים, שנאמר בָּנַי עַתָּה אַל תִּשָּׁלוּ <small>(דברי הימים־ב כט, יא)</small>, וכשם שהתלמידים קרוים בנים, שנאמר בנים אתם לה' אלהיכם, כך הרב קרוי אב, שנאמר אָבִי אָבִי רֶכֶב יִשְׂרָאֵל וגו' <small>(מלכים־ב ב, יב)</small>: 
"
Rashi on Deuteronomy 6:7:3,"<b>ודברת בם. </b>°שלא יהא עיקר דבורך אלא בם, עֲשֵׂם עיקר ואל תַּעֲשֵׂם טפל <small>(ספרי לד)</small>: "
Rashi on Deuteronomy 6:7:4,"<b>ובשכבך. </b>יכול אפילו שכב בחצי היום, תלמוד לומר ובקומך, יכול אפילו עמד בחצי הלילה, °תלמוד לומר בשבתך בביתך ובלכתך בדרך, דרך ארץ דברה תורה <small>(ספרי שם)</small>, זמן שכיבה וזמן קימה: 
"
Rashi on Deuteronomy 6:8:1,<b>וקשרתם לאות על ידך.</b> אלו תפילין שבזרוע:
Rashi on Deuteronomy 6:8:2,"<b>והיו לטטפת בין עיניך.</b> אלו תפילין שבראש, °ועל שם מנין פרשיותיהם נקראו טטפת, °טט בכתפי שתים, °פת באפריקי שתים <small>(סנהדרין ד:)</small>: "
Rashi on Deuteronomy 6:9:1,"<b>מזזות ביתך.</b> מזזת כתיב, °שאין צריך אלא אחת: "
Rashi on Deuteronomy 6:9:2,"<b>ובשעריך. </b>לרבות שערי חצרות ושערי מדינות ושערי עיירות <small>(יומא יא.)</small>: 
"
Rashi on Deuteronomy 6:11:1,"<b>חצובים.</b> לפי שהיו מקום טרשין וסלעים, נופל בו לשון חציבה: "
Rashi on Deuteronomy 6:12:1,"<b>מבית עבדים.</b> כתרגומו מבית עבדותא, °ממקום שהייתם שם עבדים: "
Rashi on Deuteronomy 6:13:1,"<b>ובשמו תשבע.</b> °אם יש בך כל המדות הללו, שאתה ירא את שמו ועובד אותו, אז בשמו תשבע, שמתוך שאתה ירא את שמו תהא זהיר בשבועתך, ואם לאו לא תשבע: "
Rashi on Deuteronomy 6:14:1,"<b>מאלהי העמים אשר סביבותיכם.</b> והוא הדין לרחוקים, אלא לפי שאתה רואה את סביבותיך תועים אחריהם, הוצרך להזהיר עליהם ביותר: "
Rashi on Deuteronomy 6:16:1,"<b>במסה.</b> כשיצאו ממצרים שנסוהו במים, שנאמר הֲיֵשׁ ה' בְּקִרְבֵּנוּ <small>(שמות יז, ז)</small>: "
Rashi on Deuteronomy 6:18:1,<b>הישר והטוב.</b> זו פשרה לפנים משורת הדין:
Rashi on Deuteronomy 6:19:1,"<b>כאשר דבר.</b> והיכן דבר, וְהַמֹּתִי אֶת כָּל הָעָם וגו' <small>(שמות כג, כז)</small>: 
"
Rashi on Deuteronomy 6:20:1,<b>כי ישאלך בנך מחר.</b> יש מחר שהוא אחר זמן:
Rashi on Deuteronomy 7:1:1,"<b>ונשל.</b> לשון השלכה והתזה, וכן וְנָשַׁל הַבַּרְזֶל <small>(לקמן יט, ה)</small>: 
"
Rashi on Deuteronomy 7:2:1,"<b>ולא תחנם.</b> °לא תתן להם חן, אסור לו לאדם לומר כמה נאה כותי זה. דבר אחר, לא תתן להם חנייה בארץ <small>(עבודה זרה כ.)</small>:"
Rashi on Deuteronomy 7:4:1,"<b>כי יסיר את בנך מאחרי. </b>בנו של כותי כשישא את בתך, יסיר את בנך אשר תלד לו בתך מאחרי, למדנו שבן בתך °הבא מן הכותי קרוי בנך, אבל בן בנך הבא מן הכותית, אינו קרוי בנך אלא בנה, שהרי לא נאמר על בתו, לא תקח כי תסיר את בנך מאחרי, אלא כי יסיר את בנך וגו' <small>(קידושין סח:)</small>: 
"
Rashi on Deuteronomy 7:5:1,<b>מזבחתיהם.</b> של בנין:
Rashi on Deuteronomy 7:5:2,<b>ומצבותם.</b> אבן אחת:
Rashi on Deuteronomy 7:5:3,<b>ואשיריהם.</b> אילנות שעובדין אותן <small>(עבודה זרה מח.)</small>:
Rashi on Deuteronomy 7:5:4,<b>ופסיליהם.</b> צלמים:
Rashi on Deuteronomy 7:7:1,"<b>לא מרבכם.</b> כפשוטו. ומדרשו, לפי שאין אתם מגדילים עצמכם כשאני משפיע לכם טובה, לפיכך חשקתי בכם <small>(חולין פט.)</small>: "
Rashi on Deuteronomy 7:7:2,"<b>כי אתם המעט.</b> הממעטין עצמכם, כגון אברהם שאמר וְאָנֹכִי עָפָר וָאֵפֶר <small>(בראשית יח, כז)</small>, וכגון משה ואהרן שאמרו וְנַחְנוּ מָה <small>(שמות טז, ז)</small>, לא כנבוכדנצר שאמר אֶדַּמֶּה לְעֶלְיוֹן <small>(ישעיה יד, יד)</small>, וסנחריב שאמר מִי בְּכָל אֱלֹהֵי הָאֲרָצוֹת <small>(שם לו, כ)</small>, וחירם שאמר אָנִי מוֹשַׁב אֱלֹהִים יָשַׁבְתִּי <small>(יחזקאל כח, ב)</small>: "
Rashi on Deuteronomy 7:7:3,<b>כי אתם המעט.</b> הרי כי משמש בלשון דהא:
Rashi on Deuteronomy 7:8:1,"<b>כי מאהבת ה'.</b> הרי כי משמש בלשון אלא, לא מרובכם חשק ה' בכם אלא מאהבת ה' אתכם: "
Rashi on Deuteronomy 7:8:2,"<b>ומשמרו את השבועה.</b> °מחמת שמרו את השבועה: 
"
Rashi on Deuteronomy 7:9:1,"<b>לאלף דור.</b> °ולהלן הוא אומר לַאֲלָפִים <small>(לעיל ה, י)</small>, כאן שהוא סמוך אצל לשומרי מצותיו העושין מיראה, הוא אומר לאלף, ולהלן שהוא סמוך אצל לאוהביו העושין מאהבה, ששכרם יותר גדול, הוא אומר לאלפים <small>(סוטה לא.)</small>: "
Rashi on Deuteronomy 7:9:2,<b>לאוהביו.</b> אלו העושין מאהבה:
Rashi on Deuteronomy 7:9:3,<b>ולשומרי מצותיו.</b> אלו העושין מיראה:
Rashi on Deuteronomy 7:10:1,"<b>ומשלם לשנאיו אל פניו.</b> °בחייו משלם לו גמולו הטוב, כדי להאבידו מן העולם הבא: "
Rashi on Deuteronomy 7:11:1,"<b>היום לעשותם.</b> °ולמחר לעולם הבא ליטול שכרם: 
"
Rashi on Deuteronomy 7:11:2,
Rashi on Deuteronomy 7:12:1,<b>והיה עקב תשמעון.</b> °אם המצות הקלות שאדם דש בעקביו תשמעון:
Rashi on Deuteronomy 7:12:2,"<b>ושמר ה' וגו'.</b> °ישמור לך הבטחתו: 
"
Rashi on Deuteronomy 7:13:1,"<b>שגר אלפיך.</b> ולדי בקרך, °שהנקבה משגרת ממעיה: "
Rashi on Deuteronomy 7:13:2,"<b>ועשתרות צאנך.</b> מנחם פירש °אַבִּירֵי בָשָׁן <small>(תהלים כב, יג)</small>, מבחר הצאן, כמו °עַשְׁתְּרֹת קַרְנַיִם <small>(בראשית יד, ה)</small> לשון חוזק, ואונקלוס תרגם וְעֶדְרֵי עָנָךְ °ורבותינו אמרו <small>(חולין פד:)</small> למה נקרא שמם עשתרות, שמעשרות את בעליהן: 
"
Rashi on Deuteronomy 7:14:1,<b>עקר. </b>שאינו מוליד:
Rashi on Deuteronomy 7:17:1,"<b>כי תאמר בלבבך.</b> על כרחך לשון דלמא הוא, שמא תאמר בלבבך, מפני שהם רבים לא אוכל להורישם, אל תאמר כן, לא תירא מהם, °ולא יתכן לפרשו באחת משאר לשונות של כי, שיפול עליו שוב לא תירא מהם: "
Rashi on Deuteronomy 7:19:1,<b>המסות.</b> נסיונות:
Rashi on Deuteronomy 7:19:2,"<b>והאותות.</b> כגון וַיְהִי לְנָחָשׁ <small>(שמות ד, ג)</small>, וְהָיוּ לְדָם בַּיַּבָּשֶׁת <small>(שם ט)</small>: "
Rashi on Deuteronomy 7:19:3,<b>והמפותים.</b> המכות המופלאות:
Rashi on Deuteronomy 7:19:4,<b>והיד החזקה.</b> °זה הַדֶּבֶר:
Rashi on Deuteronomy 7:19:5,"<b>והזרוע הנטויה.</b> °זו החרב של מכת בכורות:
"
Rashi on Deuteronomy 7:20:1,"<b>הצרעה. </b>מין שרץ העוף, שהיתה זורקת בהם מרה ומסרסתן וּמְסַמְּאָה את עיניהם, בכל מקום שהיו נסתרים שם <small>(סוטה לו.)</small>: "
Rashi on Deuteronomy 7:22:1,"<b>פן תרבה עליך חית השדה.</b> °והלא אם עושין רצונו של מקום אין מתיראין מן החיה, שנאמר וְחַיַּת הַשָּׂדֶה הָשְׁלְמָה לָךְ <small>(איוב ה, כג)</small>, אלא גלוי היה לפניו שעתידין לחטוא: "
Rashi on Deuteronomy 7:23:1,"<b>והמם.</b> נקוד קמ""ץ כולו, לפי שאין מ""ם אחרונה מן היסוד, והרי הוא כמו והם אותם, אבל וְהָמַם גִּלְגַּל עֶגְלָתוֹ <small>(ישעיה כח, כח)</small>, כולו יסוד, לפיכך חציו קמ""ץ וחציו פת""ח, כשאר פעל של שלש אותיות: "
Rashi on Deuteronomy 8:1:1,"<b>כל המצוה.</b> °כפשוטו. °ומדרש אגדה <small>(תנחומא עקב ו)</small>, אם התחלת במצוה גמור אותה, שאינה נקראת המצוה אלא על שם הגומרה, שנאמר וְאֶת עַצְמוֹת יוֹסֵף אֲשֶׁר הֶעֱלוּ בְנֵי יִשְׂרָאֵל מִמִּצְרַיִם קָבְרוּ בִשְׁכֶם <small>(יהושע כד, לב)</small>, והלא משה לבדו נתעסק בהם להעלותם, אלא לפי שלא הספיק לגומרה וגמרוה ישראל, נקראת על שמם: 
"
Rashi on Deuteronomy 8:2:1,"<b>התשמור מצותיו.</b> °שלא תנסהו ולא תהרהר אחריו: 
"
Rashi on Deuteronomy 8:4:1,"<b>שמלתך לא בלתה.</b> ענני כבוד היו שפין בכסותם ומגהצים אותם כמין כלים מגוהצים, ואף קטניהם °כמו שהיו גדלים היה גדל לבושן עמהם, כלבוש הזה של חומט שגדל עמו: "
Rashi on Deuteronomy 8:4:2,"<b>לא בצקה.</b> לא נפחה כבצק, °כדרך הולכי יחף שרגליהם נפוחות: "
Rashi on Deuteronomy 8:8:1,"<b>זית שמן.</b> °זיתים העושים שמן: 
"
Rashi on Deuteronomy 9:1:1,"<b>גדולים ועצומים ממך.</b> °אתה עצום, והם עצומים ממך: 
"
Rashi on Deuteronomy 9:4:1,"<b>אל תאמר בלבבך.</b> °צדקתי ורשעת הגוים גרמו: 
"
Rashi on Deuteronomy 9:5:1,<b>לא בצדקתך וגו' אתה בא לרשת וגו' כי ברשעת הגוים.</b> הרי כי משמש בלשון אלא:
Rashi on Deuteronomy 9:9:1,<b>ואשב בהר.</b> °אין ישיבה אלא לשון עכבה <small>(מגילה כא.)</small>:
Rashi on Deuteronomy 9:10:1,"<b>לוחת.</b> לחת כתיב, ששתיהן שוות: "
Rashi on Deuteronomy 9:18:1,"<b>ואתנפל לפני ה' כראשונה ארבעים יום.</b> °שנאמר וְעַתָּה אֶעֱלֶה אֶל ה' אוּלַי אֲכַפְּרָה <small>(שמות לב, ל)</small>, באותה עלייה נתעכבתי ארבעים יום, נמצאו כָּלִים בכ""ט באב, °שהוא עלה בשמונה עשר בתמוז, °בו ביום נתרצה הקדוש ברוך הוא לישראל ואמר לו למשה פְּסָל לְךָ שְׁנֵי לֻחֹת <small>(שם לד, א)</small>, עשה עוד מ' יום, נמצאו כָּלִים ביום הכפורים, בו ביום נתרצה הקב""ה לישראל בשמחה °ואמר לו למשה סָלַחְתִּי כִּדְבָרֶךָ <small>(במדבר יד, כ)</small>, לכך הוקבע למחילה ולסליחה, °ומנין שנתרצה ברצון שלם, שנאמר בארבעים של לוחות אחרונות וְאָנֹכִי עָמַדְתִּי בָהָר כַּיָּמִים הָרִאשֹׁנִים <small>(לקמן י, י)</small>, מה הראשונים ברצון אף אחרונים ברצון, אמור מעתה, אמצעיים היו בכעס: "
Rashi on Deuteronomy 9:20:1,<b>ובאהרן התאנף ה'.</b> °לפי ששמע לכם:
Rashi on Deuteronomy 9:20:2,"<b>להשמידו.</b> °זה כִּלּוּי בנים, וכן הוא אומר וָאַשְׁמִיד פִּרְיוֹ מִמַּעַל <small>(עמוס ב, ט)</small>: "
Rashi on Deuteronomy 9:20:3,"<b>ואתפלל גם בעד אהרן.</b> °והועילה תפלתי לכפר מחצה, °ומתו שנים ונשארו השנים: "
Rashi on Deuteronomy 9:21:1,"<b>טחון.</b> לשון הווה, כמו הָלוֹךְ <small>(בראשית יב, ט)</small> וְכָלוֹת <small>(דברים כח, לב)</small>. מולאנ""ט בלע""ז: 
"
Rashi on Deuteronomy 9:25:1,"<b>ואתנפל וגו'.</b> אלו הן עצמם האמורים למעלה, וכפלן כאן, לפי שכתוב כאן סדר תפלתו, שנאמר ה' אלהים אל תשחת עמך וגו': 
"
Rashi on Deuteronomy 10:1:1,"<b>בעת ההיא.</b> לסוף מ' יום נתרצה לי, ואמר לי פסל לך ואח""כ ועשית ארון, ואני עשיתי ארון תחלה, שכשאבא והלוחות בידי היכן אתנם, ולא זה הוא הארון שעשה בצלאל, שהרי משכן לא נתעסקו בו עד לאחר יום הכפורים, כי ברדתו מן ההר צוה להם על מלאכת המשכן, °ובצלאל עשה משכן תחלה ואחר כך ארון וכלים, נמצא זה ארון אחר היה, וזהו שהיה יוצא עמהם למלחמה, ואותו שעשה בצלאל לא יצא למלחמה אלא בימי עלי, ונענשו עליו וְנִשִׁבָּה: "
Rashi on Deuteronomy 10:6:1,"<b>ובני ישראל נסעו מבארות בני יעקן מוסרה.</b> מה ענין זה לכאן, ועוד וכי מבארות בני יעקן נסעו למוסרה, והלא ממוסרות באו לבני יעקן, שנאמר וַיִּסְעוּ מִמֹּסֵרוֹת וגו' <small>(במדבר לג, לא)</small>, ועוד שם מת אהרן, והלא בהר ההר מת, צא וחשוב °ותמצא שמונה מסעות ממוסרות להר ההר, אלא אף זו מן התוכחה, ועוד עשיתם זאת, כשמת אהרן בהר ההר לסוף ארבעים שנה ונסתלקו ענני כבוד, יָרֵאתֶם לכם ממלחמת מלך ערד, וּנְתַתֶּם ראש לחזור למצרים, וחזרתם לאחוריכם שמונה מסעות עד בני יעקן ומשם למוסרה, שם נלחמו לכם בני לוי והרגו מכם ואתם מהם, עד שהחזירו אתכם בדרך חזרתכם, ומשם חזרתם הגדגדה הוא חר הגדגד: "
Rashi on Deuteronomy 10:7:1,"<b>ומן הגדגדה וגו'.</b> ובמוסרה עֲשִׂיתֶם אֵבֶל כבד על מיתתו של אהרן שגרמה לכם זאת, ונדמה לכם כאילו מת שם, וסמך משה תוכחה זו לשבירת הלוחות, לומר שקשה מיתתן של צדיקים לפני הקב""ה כיום שנשתברו בו הלוחות, ולהודיעך שהוקשה לו מה שאמרו נתנה ראש לפרוש ממנו, כיום שעשו בו את העגל: "
Rashi on Deuteronomy 10:8:1,<b>בעת ההוא הבדיל ה' וגו'.</b> מוסב לענין הראשון:
Rashi on Deuteronomy 10:8:2,"<b>בעת ההוא.</b> בשנה הראשונה לצאתכם ממצרים, וטעיתם בעגל, °ובני לוי לא טעו הבדילם המקום מכם. וסמך מקרא זה לחזרת בני יעקן לומר שאף בזה לא טעו בה בני לוי, אלא עמדו באמונתם: "
Rashi on Deuteronomy 10:8:3,<b>לשאת את ארון.</b> °הלוים:
Rashi on Deuteronomy 10:8:4,"<b>לעמוד לפני ה' לשרתו ולברך בשמו.</b> הכהנים, והוא נשיאת כפים: "
Rashi on Deuteronomy 10:9:1,<b>על כן לא היה ללוי חלק.</b> °לפי שהובדלו לעבודת מזבח ואינן פנויין לחרוש ולזרוע:
Rashi on Deuteronomy 10:9:2,<b>ה' הוא נחלתו.</b> °נוטל פרס מזומן מבית המלך:
Rashi on Deuteronomy 10:10:1,"<b>ואנכי עמדתי בהר.</b> לקבל הלוחות האחרונות, ולפי שלא פירש למעלה כמה עמד בהר בעליה אחרונה זו, חזר והתחיל בה: "
Rashi on Deuteronomy 10:10:2,"<b>כימים הראשונים.</b> °של לוחות הראשונות, מה הם ברצון אף אלו ברצון, אבל האמצעיים שעמדתי שם להתפלל עליכם, היו בכעס: "
Rashi on Deuteronomy 10:11:1,"<b>ויאמר ה' אלי וגו'.</b> °אע""פ שסרתם מאחריו וטעיתם בעגל, אמר לי לֵךְ נְחֵה אֶת הָעָם וגו' <small>(שמות לב, לד)</small>: "
Rashi on Deuteronomy 10:12:1,"<b>ועתה ישראל.</b> אע""פ שעשיתם כל זאת, עודנו רחמיו וחבתו עליכם, ומכל מה שחטאתם לפניו אינו שואל מכם כי אם ליראה וגו': "
Rashi on Deuteronomy 10:12:2,"<b>כי אם ליראה וגו'.</b> רבותינו דרשו מכאן, °הכל בידי שמים חוץ מיראת שמים <small>(ברכות לג:)</small>: "
Rashi on Deuteronomy 10:13:1,"<b>לשמור את מצות ה'.</b> °ואף היא לא לחנם, אלא לטוב לך שתקבלו שכר: "
Rashi on Deuteronomy 10:14:1,"<b>הן לה' אלהיך. </b>°הכל, ואעפ""כ רק באבותיך חשק ה' מן הכל: "
Rashi on Deuteronomy 10:15:1,"<b>בכם. </b>°כמו שאתם (רואים אתכם) חשוקים מכל העמים היום הזה: 
"
Rashi on Deuteronomy 10:15:2,
Rashi on Deuteronomy 10:16:1,<b>ערלת לבבכם.</b> °אוטם לבבכם וכיסויו:
Rashi on Deuteronomy 10:17:1,<b>ואדוני האדונים.</b> °לא יוכל שום אדון להציל אתכם מידו:
Rashi on Deuteronomy 10:17:2,<b>לא ישא פנים.</b> °אם תפרקו עולו:
Rashi on Deuteronomy 10:17:3,"<b>ולא יקח שחד.</b> לפייסו בממון: 
"
Rashi on Deuteronomy 10:18:1,"<b>עשה משפט יתום ואלמנה.</b> °הרי גבורה, אצל גבורתו אתה מוצא ענותנותו <small>(מגילה לא.)</small>: "
Rashi on Deuteronomy 10:18:2,"<b>ואוהב גר לתת לו לחם ושמלה.</b> °ודבר חשוב הוא זה, שכל עצמו של יעקב אבינו על זה התפלל, וְנָתַן לִי לֶחֶם לֶאֱכֹל וּבֶגֶד לִלְבּשׁ <small>(בראשית כח, כ)</small>: 
"
Rashi on Deuteronomy 10:19:1,<b>כי גרים הייתם.</b> °מום שבך אל תאמר לחברך:
Rashi on Deuteronomy 10:20:1,"<b>את ה' אלהיך תירא.</b> ותעבוד לו ותדבק בו, °ולאחר שיהיו בך כל המדות הללו, אז בשמו תשבע: "
Rashi on Deuteronomy 11:2:1,<b>וידעתם היום.</b> °תנו לב לדעת ולהבין ולקבל תוכחתי:
Rashi on Deuteronomy 11:2:2,"<b>כי לא את בניכם.</b> °אני מדבר עכשיו, שיוכלו לומר אנו לא ידענו ולא ראינו בכל זה: "
Rashi on Deuteronomy 11:6:1,"<b>בקרב כל ישראל.</b> כל מקום שהיה אחד מהם בורח, הארץ נבקעת מתחתיו ובולעתו, אלו דברי רבי יהודה, אמר לו רבי נחמיה, והלא כבר נאמר וַתִּפְתַּח הָאָרֶץ אֶת פִּיהָ <small>(במדבר טז, לב)</small>, ולא פיותיה, אמר לו ומה אני מקיים בקרב כל ישראל, אמר לו °שנעשית הארץ מדרון כמשפך, וכל מקום שהיה אחד מהם, היה מתגלגל ובא עד מקום הבקיעה: "
Rashi on Deuteronomy 11:6:2,"<b>ואת כל היקום אשר ברגליהם.</b> זה ממונו של אדם, שמעמידו על רגליו <small>(פסחים קיט.)</small>: 
"
Rashi on Deuteronomy 11:7:1,"<b>כי עיניכם הרואות.</b> מוסב על המקרא האמור למעלה, °כי לא את בניכם אשר לא ידעו וגו', כי אם עמכם, אשר עיניכם הרואות וגו':
"
