Ref,,Text,,edit footnote,Footnotes
Leviticus 8 15,,decontaminating,decontaminated,,"and it was slaughtered.<br> Moshe took the blood<br> and put it on the horns of the altar, all around, with his finger, and [thus] decontaminated the altar;<br> while the blood he poured out at the foundation of the altar.<br> So he made-it-holy, for effecting-purgation upon it."
Leviticus 12 2,,being-apart,discharge ,,"Speak to the Children of Israel, saying:<br> A woman—when she produces-seed<sup>•</sup><i class='footnote'><b>produces-seed:</b> According to ancient belief, women “produce-seed” which is fertilized by the male “seed.”</i> and bears a male,<br> she remains-<i>tamei</i> for seven days;<br> like the days of her infirmity of discharge she shall remain-<i>tamei;</i>"
Leviticus 13 47,,cloth etc,a cloth,,"Now a cloth:<br> when there is on it an affliction of <i>tzaraat,</i><br> on a cloth of wool or a cloth of linen,"
Leviticus 14 5,,slay,slaughter,,"Then the priest is to command that they slaughter the one bird<br> in an earthen vessel, [held] above living water,"
Leviticus 14 7,,send-out,send out,,"Then he is to sprinkle [it] over the one-to-be-purified of <i>tzaraat</i> seven times, and declare-him-pure,<br> and is to send out the live bird into the open field."
Leviticus 16 29,,seventh New-Moon,seventh month,,"And it shall be for you a law for the ages:<br> in the seventh month, on the tenth of the month,<br> you are to afflict your<sup>•</sup><i class='footnote'><b>afflict your selves:</b> Virtually all commentators (and Jewish tradition) interpret this as a reference to fasting.</i> selves;<br> any-kind of work you are not to do—<br> [both] the native and the sojourner that sojourns in your midst."
Leviticus 17 4,,bloodguilt,blood is to be reckoned,,"and to the entrance of the Tent of Appointment does not bring it,<br> to bring it near as a near-offering to <small>YHWH</small> before the Dwelling of <small>YHWH</small>:<br> blood is to be reckoned to that man, blood has he shed;<br> that man is to be cut off from amid his kinspeople—<sup>•</sup><i class='footnote'><b>cut off from amid his kinspeople:</b> Schwartz (1987) understands this as premature death (dying before one’s normally allotted time); Frymer-Kensky (1983) as dying without heirs. Greenstein, on the other hand, shows that it indicates execution, not by human beings, but by some kind of divine agency—perhaps as punishment “for transgressions that escape human detection” (personal communication).</i>"
Leviticus 18 6,,kin,blood-relation,,"Any-man, any-man—to any blood-relation of one’s [own] flesh you are not to come-near, exposing their<sup>•</sup><i class='footnote'><b>exposing their “nakedness”:</b> To have sexual contact with them; “nakedness” is probably a euphemism for “genitals.”</i> “nakedness”!<br> I am <small>YHWH</small>!"
Leviticus 19 31,,favorable-spirits,all-knowing ones,,"Do not turn-your-faces to ghosts, of all-knowing ones do not inquire, to become <i>tamei</i> through them;<br> I am <small>YHWH</small> your God!"
Leviticus 25 10,,holding,holding,,"You are to hallow the year, the fiftieth year,<br> and proclaim freedom throughout the land and to all its inhabitants;<br><sup>•</sup><i class='footnote'><b>proclaiming freedom … inhabitants:</b> These words were used on the Liberty Bell in Philadelphia, in the form: “Proclaim liberty….”</i> it shall be Homebringing<sup>•</sup><i class='footnote'><b>Homebringing:</b> So B-R and cognates in Akkadian and Ugaritic. Most interpreters understand the word <i>yovel</i> as “ram,” and by extension its horn, but the root seems to indicate “bringing in” of the sheep through horn blowing (cf. Josh. 6:5 for the full term “horn of homebringing”). It usually appears in English as “Jubilee,” a transcription of the Hebrew word. The Septuagint and several medieval commentators interpret it as “release,” which would make it parallel to the meaning of <i>shemitta</i> in Deut. 15.</i> for you:<br> you are to return, each-man to his holding,<br> each-man to his clan you are to return."
Leviticus 25 22,Leviticus 25 23,sold in-harness,,,"you may sow the eighth year[’s yield], but you must eat of the old produce until the ninth year;<br> until its produce comes in, you must eat what-is-old."
Leviticus 25 23,Leviticus 25 24,redemption,,,"But the land is not to be sold in-harness, for the land is mine&mdash;<br> for you are sojourners and resident-settlers with me;"
Leviticus 25 24,Leviticus 25 25,redeemer,,,"throughout all the land of your holdings, you are to allow for redemption of the land."
Leviticus 25 30,,be-established,be established,,"If it is not redeemed before a whole year of it has been fulfilled,<br> the house that is in the town that has a wall shall be established, in-harness, for him who purchases it, throughout his generations;<br> it is not to go-free in the Homebringing-Year."
Leviticus 25 46,,over him,dominate him,,"You may keep-them-as-an-inheritance for your children after you,<br> for [them to] possess as holdings;<br> for the ages you may make them serve you.<br> But among your brothers, the Children of Israel, each one toward his brother,<br> you are not to dominate him with crushing-labor!"
Leviticus 26 30,,idol-clods,Illicit-Things,,"I will wipe out your sanctuaries and and cut down your cult-stands,<br><sup>•</sup><i class='footnote'><b>high-places … cult-stands:</b> Pagan shrines.</i> I will place your corpses atop the corpses of your Illicit-Things<br> and I will repel you."
Numbers 1 16,,exalted-leaders,exalted-leaders,,"These are the [ones] called-by the community,<br><sup>•</sup><i class='footnote'><b>called-by the community:</b> The “elect.”</i> the exalted-leaders of the tribes of their fathers;<br> heads of the divisions<sup>•</sup><i class='footnote'><b>divisions:</b> Heb. <i>elef</i> may have that alternative meaning (mentioned above) here.</i> of Israel are they."
Numbers 1 46,,603550,six hundred thousand and three thousand and five hundred and fifty,,"thus they were, all those accounted for: <br> six hundred thousand and three thousand and five hundred and fifty."
Numbers 1 51,,put-to-death,put to death,,"When the Dwelling moves on, the Levites are to take it down,<br> and when the Dwelling is encamped, the Levites are to set it up;<br> the outsider who comes near is to be put to death!"
Numbers 3 6,,have-it-stand,have it stand,,"Bring near the tribe of Levi,<br> and have it stand [regularly] in the presence of Aharon the priest,<br> that they may attend upon<sup>•</sup><i class='footnote'><b>attend upon:</b> Or “assist,” “minister to,” “serve.”</i> him."
Numbers 3 6,,Bring-near,Bring near,,""""""
Numbers 3 26,,serving-tasks,serving tasks,,"the hangings of the courtyard,<br> the screen of the entrance to the courtyard which is about the Dwelling<br> and about the altar, all around,<br> and its cords—including all their serving tasks."
Numbers 5 14,,jealousy,zealous-rage,,"and a rush<sup>•</sup><i class='footnote'><b>rush:</b> Others, “fit.”</i> of zealous-rage comes over him,<br> and he feels rage toward his wife, she having made-herself-<i>tamei;</i><br> or rush of zealous-rage comes over him"
Numbers 5 21,,oath curse,oath-curse,,"then the priest is to have the woman swear the oath-curse,<br> and the priest is to say to the woman:<br> May <small>YHWH</small> make you a curse and a cause-for-oath amid your kinspeople,<br> when <small>YHWH</small> makes your thigh fall and your belly swell;"
Numbers 5 21,,belly flood,belly swell,,""""""
Numbers 6 11,,sacrifice,make one,,"The priest is to make one as a <i>hattat</i>/decontamination-offering, and one as an offering-up;<br> he is to effect-purgation for one,<br> in that one became-contaminated<sup>•</sup><i class='footnote'><b>became-contaminated:</b> Alternatively (or simultaneously), “incurred-sin.”</i> by the [dead] person.<br> One is to make one’s head holy [again] on that day,"
Numbers 10 31,,you shall be for us as eyes,you shall be as eyes for us,,"He said:<br> Pray do not leave us, <br> for after all, you know our [best place to] encamp in the wilderness,<br> you shall be as eyes for us!"
Numbers 11 16,,stationing,station them,,"Then <small>YHWH</small> spoke to Moshe:<br> Gather to me seventy<sup>•</sup><i class='footnote'><b>seventy:</b> An inclusive number, indicating completeness or perfection.</i> men of the elders of Israel,<br> of whom you know that they are elders of the people and its officers;<br> and take them to the Tent of Appointment<br> and station them there with you."
Numbers 11 26,,Meidad,Medad,,"Now two men remained in the camp:<br> the name of the one was Eldad,<br> the name of the second, Medad,<br> and the spirit rested upon them <br> —they were among those recorded,<br> but they had not gone out to the Tent—<br> and they ranted-like-prophets in the camp."
Numbers 11 32,,homers,<i>homers</i>,,"The people arose all that day and all night, and all the morrow day<br> and gathered the quail;<br> the least gathered ten <i>homers.</i><br> They spread them, spread them out,<sup>•</sup><i class='footnote'><b>spread them out:</b> In order to dry them. One ancient version has Heb. <i>sh-h-t</i>, “slew” (them) for <i>sh-t-h</i>, which appears in standard texts.</i> all around the camp."
Numbers 14 13,,hear (about it),hear,,"But Moshe said to <small>YHWH</small>:<br> When they hear, the Egyptians,<br> that you brought up this people with your power from its midst,"
Numbers 15 3,,and sacrifice a fire-offering,make a fire-offering,,"and make a fire-offering to <small>YHWH</small>:<br> an offering-up or a sacrifice,<br> to make a vow-offering, or in free-will, or at your appointed-times,<br> to make a soothing savor<sup>•</sup><i class='footnote'><b>a soothing savor:</b> A description attached to many sacrifices; cf. Lev. 1:9.</i> for <small>YHWH</small>,<br> from the herd or from the flock,"
Numbers 15 22,,err/not doing,"err, not doing",,"Now if you should err,<br> not doing any of these commandments<br><sup>•</sup><i class='footnote'><b>these commandments:</b> Some, such as Milgrom, take this to refer to the two previous sections in the chapter; however, the wording, especially in v.23, is quite broad, and may constitute a new “teaching” about observance of the law (although not a law in and of itself) (Toeg, quoted in Fishbane 1988).</i> about which <small>YHWH</small> spoke to Moshe,"
Numbers 15 31,,his iniquity is on him,their iniquity is on them,,"for the word of <small>YHWH</small> they have despised, and his commandment they have violated;<br> cut off, cut off shall that person be—<br> their iniquity is on them!"
Numbers 16 3,,the entirety of them,the entirety-of-them,,"They assembled against Moshe and against Aharon<br> and said<sup>•</sup><i class='footnote'><b>They assembled … and said:</b> Strangely, Korah himself is never portrayed in the text as uttering a single word on his own—an interesting model for a rebel.</i> to them:<br> Too much is yours!<br> For the entire community, the entirety-of-them, are holy,<br> and in their midst is <small>YHWH</small>!<br> Why then do you exalt yourselves<sup>•</sup><i class='footnote'><b>exalt yourselves:</b> Or “act-as-leaders.”</i> over the assembly of <small>YHWH</small>?"
Numbers 16 6,,(fire-)pans,fire-pans,,"This, do:<br> take yourselves fire-pans,<br> Korah and his entire community,"
Numbers 17 2,,become-holy,become holy,,"Speak to El’azar son of Aharon the priest,<br> that he may set aside the pans from the burned-remains,<br> and the fire-coals, scatter yonder,<br> for they have become holy;"
Numbers 17 14,,14700,fourteen thousand and seven hundred,,"Now those that died in the plague were fourteen thousand and seven hundred,<br> aside from those that died in the matter of Korah."
Numbers 18 2,,to be-joined,to be joined,,"And also your brothers, the stock of Levi, the tribe of your father, bring near with you;<br> they are to be joined to you and are to act-as-attendants for you,<br> you and your sons along with you<br> in front of the Tent of the Testimony."
Numbers 19 16,,a grave,a burial-place,,"And anyone who touches, on the [open] field,<br> one slain by the sword or a dead-body,<br> or human bones or a burial-place,<br> shall be <i>tamei</i> for seven days."
Numbers 21 27,,parable-makers,bards,"Or ""parable-makers.”","Therefore the bards say:<br> Come to Heshbon! Be built up; <br> be established, Sihon’s town!"
Numbers 22 24,,there,,[DELETE],"But <small>YHWH’S</small> messenger stood in the furrow of the vineyards,<br> a fence on this-side and a fence on this-side."
Numbers 22 29,,been capricious with,dealt-wantonly,,"Bil’am said:<br> Because you have dealt-wantonly with me!<br> If a sword had been in my hand,<br> by now I would have killed you!"
Numbers 22 31,,brow,nostrils,"Or ""brow.”","Then <small>YHWH</small> uncovered Bil’am’s eyes<br> and he saw <small>YHWH’S</small> messenger stationed in the way,<br> his sword drawn in his hand;<br> he did homage and bowed low, to his nostrils."
Numbers 23 3,,by-himself,by himself,,"Bil’am said to Balak:<br> Station yourself beside your offering-up, and I will go:<br> perhaps <small>YHWH</small> will encounter<sup>•</sup><i class='footnote'><b>perhaps … encounter:</b> Note the chance aspect of Bil’am’s contact with God.</i> me in an encounter,<br> the word of whatever he lets me see, I will report to you.<br> So he went off by himself."
Numbers 24 4,,bowed,fallen,,"utters the hearer of Godly sayings<br> who envisages a vision of Shaddai,<br><sup>•</sup><i class='footnote'><b>Shaddai:</b> A name for God (or gods) found mainly in Genesis and Job.</i> fallen, but with eyes uncovered:"
Numbers 24 9,,damned,cursed,,"They crouch, they lie down like a lion,<br> like the king-of-beasts: who will [dare] rouse him?<br> Those who bless you—-blessed,<br> those who curse you—cursed!"
Numbers 27 1,,came-near,came near,,"There came near the daughters of Tzelofhad<br> son of Heyfer son of Gil’ad son of Makhir son of Menashe,<br> of the clan of Menashe son of Yosef;<br> and these are the names of his daughters:<br> Mahla,<sup>•</sup><i class='footnote'><b>Mahla</b> etc.: Several of these names are the names of known towns.</i> No’a, Hogla, Milka and Tirtza."
Numbers 31 16,,turning away from,breaking-faith with,,"Here, they were [the cause] for the Children of Israel following the word of Bil’am,<br> of breaking-faith with <small>YHWH</small>, in the matter of Pe’or,<br> so that a plague came against the community of <small>YHWH</small>!"
Numbers 33 52,,high-places,sanctuaries ,"Or ""high-places.” Pagan cultic Dead Sea. sites situated on the tops of hills.","you are to dispossess all the settled-folk of the land from before you.<br> You are to destroy all their figured-objects,<br> all their molten<sup>•</sup><i class='footnote'><b>molten:</b> That is, cast in metal, like the infamous Golden Calf in Ex. 32.</i> images you are to destroy,<br> all their sanctuaries you are to wipe out,"
Numbers 33 55,,assault,harrass,spines ... sides ... harrass: Heb. tzeninim .. . tziddeikhem ... tzararu.,"But if you do not dispossess the settled-folk of the land from before you,<br> those who are left of them shall be<br> as barbs in your eyes, and as spines in your sides;<br> they will harrass you on the land that you are settling in,"
Numbers 36 7,,each-one,each one,,"The inheritance of the Children of Israel is not to go round from tribe to tribe;<br> indeed, each one to the inheritance of his father’s tribe is to cleave, [among] the Children of Israel."
Deuteronomy 1 2,,Kadesh Barne’a,Kadesh-Barne’a,,"eleven days [it is] from Horev,<sup>•</sup><i class='footnote'><b>Horev:</b> Another biblical name for Mount Sinai.</i> by the route of Mount Se’ir, [going] by Kadesh-Barne’a."
Deuteronomy 1 7,,Hill-Country,Highlands,,"Face about, march on<br> and come to the Amorite highlands and to all its dwellers<br> in the Plains,<sup>•</sup><i class='footnote'><b>the Plains:</b> The Jordan Valley.</i> the Highlands and the Lowlands,<sup>•</sup><i class='footnote'><b>Lowlands:</b> The area west of the hill-country and east of the coastal plain.</i> the Negev/Parched-Land<sup>•</sup><i class='footnote'><b>Negev:</b> The southern region (south of Beersheba).</i> and the shore of the Sea,<br> the land of the Canaanite and the<sup>•</sup><i class='footnote'><b>the Lebanon:</b> Usually including the definite article in the Bible, as here, this is approximately the region of modern Lebanon, a mountain range extending about 100 miles north of the land of Israel.</i> Lebanon,<br> as far as the Great River, the river Euphrates."
Deuteronomy 1 25,,they said / Good,they said: Good,,They took in their hand some of the fruit of the land and brought [it] down to us<br> and returned us word; they said:<br> Good is the land that <small>YHWH</small> our God is giving us!
Deuteronomy 3 18,,those of caliber,all valiant ones,,"And I commanded you at that time, saying:<br> <small>YHWH</small> your God has given you this land to possess;<br> [you] specially-drafted<sup>•</sup><i class='footnote'><b>specially-drafted:</b> Or “hand-picked.” JPS, “shock troops.”</i> [men] are to cross over before their brothers, the Children of Israel, all valiant ones."
Deuteronomy 8 2,,the route,the whole route,,"You are to bear-in-mind the whole route that <small>YHWH</small> had you go<br> these forty years in the wilderness,<br> in order to afflict you, by testing you,<br> to know what was in your heart, whether you would keep his commandments, or not."
Deuteronomy 8 3,,at YHWH’s order,,[DELETE],"So he afflicted you and made you hungry,<br> and had you eat the <i>mahn</i><br><sup>•</sup><i class='footnote'><b><i>mahn:</i></b> Trad. “manna,” a vegetable substance that according to Ex. 16:14–15 sustained the Israelites in the wilderness.</i> which you had not known and which your fathers had not known,<br> in order to make you know<br> that not by bread alone<sup>•</sup><i class='footnote'><b>not by bread alone</b> etc.: Trad. “Man does not live by bread alone.”</i> do humans stay alive,<br> but rather by all that issues from <small>YHWH’S</small> mouth do humans stay alive."
Deuteronomy 16 16,,males,male-folk,,"[At] three points in the year<br> are all your male-folk to be seen<br> at the presence of <small>YHWH</small> your God<br> in the place that he chooses:<br> on the Festival of <i>Matzot,</i><br> on the Festival of Weeks,<br> and on the Festival of Huts,<br> and no one is to be seen at the presence of <small>YHWH</small> empty-handed;"
Deuteronomy 20 9,,count by head,by head,,"And it shall be,<br> when the officials finish speaking to the people,<br> the commanders of the armed-forces are to count the fighting-people by head."
Deuteronomy 23 7,,well-being,peace,,"You are not to seek their peace or their good, all your days, for the ages!"
Deuteronomy 25 18,,beaten-down-ones,beaten-down ones,,"how he encountered you on the way<br> and attacked-your-tail—all the beaten-down ones at your rear—<br> while you [were] weary and faint,<br> and [thus] he did not stand-in-awe of God."
Deuteronomy 26 18,,to be-careful,to be careful,,"And <small>YHWH</small> has declared you today, to be for him a specially-treasured people,<br> as he promised you,<br> to be careful [regarding] all his commandments,"
Deuteronomy 27 24,,strikes down,striking down,,Cursed be<br> one striking down his neighbor in secret!<br> And all the people are to say: Amen!
Deuteronomy 28 63,,in doing-good,by doing good,,"And it shall be:<br> as <small>YHWH</small> once delighted in you<br> by doing good for you and by making-you-many,<br> thus will <small>YHWH</small> delight in you<br> by causing you to perish and by wiping you out,<br> and you shall be pulled up<sup>•</sup><i class='footnote'><b>pulled up:</b> An idiom for “deport,” as in Akkadian (Weinfeld 1972a).</i> from the land that you are entering to possess."
Deuteronomy 29 16,,idol-clods,Illicit Things,,"you saw their Detestable Things and their Illicit Things,<br> of wood and stone, of silver and of gold, that were with them—"
Deuteronomy 32 26,,in pieces,in-pieces,,"I would have said: I will cleave-them-in-pieces,<br> I will make their memory cease from mortals,"
Deuteronomy 32 31,Deuteronomy 32 32,Amora,,,"For not like their rock is our Rock,<br> though our enemies<sup>•</sup><i class='footnote'><b>though our enemies</b> …: Heb. difficult.</i> [so] assess it;<br> indeed, from the vine of Sedom is their vine,"
