Chapter,Segment.,English,Hebrew
4,34,"Now, there are times when the influence of the Serpent’s Brow becomes the more dominant. Some individual draws his wisdom from the Serpent’s Brow, the root of determinism, and demonstrates through his wisdom that everything is due to natural causality, God forbid. Occasionally, the Serpent’s Brow, the root of determinism, enters [the mind of] the holy sage. This wisdom of the Serpent’s Brow begins to engage him in the analysis of one deep issue after another, until he enters into a particularly subtle analysis such that it threatens to blemish the root of Divine Will, God forbid, and introduce heresy there, God forbid, as if there is no Divine Will at all, God forbid.","וְלִפְעָמִים מִתְגַּבֵּר בְּחִינַת מֵצַח הַנָּחָשׁ בְּפֹעַל, דְּהַיְנוּ עַל־יְדֵי אִישׁ פְּרָטִי, שֶׁיּוֹנֵק חָכְמָתוֹ מִמֵּצַח הַנָּחָשׁ, שֶׁהוּא שֹׁרֶשׁ חָכְמַת הַטֶּבַע, וְהוּא מַרְאֶה בְּחָכְמָתוֹ, שֶׁהַכֹּל עַל פִּי הַטֶּבַע, חַס וְשָׁלוֹם. וְיֵשׁ שֶׁנִּכְנָס בְּחִינַת מֵצַח הַנָּחָשׁ, שֹׁרֶשׁ חָכְמַת הַטֶּבַע, בְּתוֹךְ הֶחָכָם שֶׁבִּקְדֻשָּׁה, וְחָכְמָה זוֹ שֶׁל מֵצַח הַנָּחָשׁ מַתְחֶלֶת לִכָּנֵס עִמּוֹ מֵעִיּוּן לְעִיּוּן, עַד שֶׁנִּכְנָס בְּעִיּוּן דַּק מְאֹד, עַד שֶׁרוֹצֶה לְהַטִּיל פְּגָם, חַס וְשָׁלוֹם, בְּשֹׁרֶשׁ הָרָצוֹן וְלִכְפֹּר שָׁם, חַס וְשָׁלוֹם, כְּאִלּוּ אֵין רָצוֹן כְּלָל, חַס וְשָׁלוֹם: "
4,35,"<b>8.</b> And know! the Serpent’s Brow is nourished by the generation’s elders, when those of the generation with length-of-days lack wholeness. This [lack] sustains the Serpent’s Brow, because “an elder is one who has acquired wisdom” (Kiddushin 32b). The older a person gets, with each additional day of his life that passes he must ensure that he gains additional light of holiness and <i>daat</i> (unitive knowledge and awareness of God). This is as our Sages, of blessed memory, taught: Elderly Torah sages—the older they get, the more settled their mind becomes (Kinnim 3:6). With each passing day we have to increase our holiness and <i>daat,</i> as it is written “and the Lord called the light ‘Day’” (Genesis 1:5)—that each day has to radiate more.","<b>ח</b> וְדַע, שֶׁזֶּה הַמֵּצַח הַנָּחָשׁ יְנִיקָתוֹ מִזִּקְנֵי הַדּוֹר, מִמַּאֲרִיכֵי יָמִים שֶׁבַּדּוֹר, כְּשֶׁאֵין בָּהֶם שְׁלֵמוּת, מִזֶּה יוֹנֵק מֵצַח הַנָּחָשׁ הַנַּ""ל, כִּי זָקֵן – זֶה קָנָה חָכְמָה (קדושין לב:), וְצָרִיךְ הָאָדָם, כָּל מַה שֶּׁמַּזְקִין, כָּל מַה שֶּׁנִּתּוֹסֵף וּבָא לוֹ יוֹם מִימֵי חַיָּיו, לְהוֹסִיף בְּכָל יוֹם וָיוֹם שֶׁבָּא אַחַר כָּךְ תּוֹסְפוֹת אוֹר קְדֻשָּׁה וָדַעַת, וּכְמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (קינים פ""ג): זִקְנֵי תַּלְמִידֵי חֲכָמִים, כָּל זְמַן שֶׁמַּזְקִינִין, דַּעְתָּן מִתְיַשֶּׁבֶת עֲלֵיהֶן; כִּי צְרִיכִין בְּכָל יוֹם וָיוֹם שֶׁבָּא אַחַר כָּךְ לְהוֹסִיף בּוֹ קְדֻשָּׁה וָדַעַת, כְּמוֹ שֶׁכָּתוּב (בראשית א): וַיִּקְרָא אֱלֹקִים לָאוֹר יוֹם – שֶׁכָּל יוֹם צָרִיךְ שֶׁיָּאִיר בְּיוֹתֵר כַּנַּ""ל. "
4,36,"But when the generation’s elders, those with length-of-days, spoil their days by not gaining additional light of holiness and <i>daat</i> each day, this sustains the Serpent’s Brow, the &lt;root of&gt; determinism. {This is because the Serpent’s Brow/determinism feeds off the fallen days of the elders whose minds are not becoming more settled.} Determinism, the denial of Divine Will, grows more influential, God forbid, due to the fallen <i>daat</i> and days of unworthy elders, those with length-of-days, as discussed above.","אֲבָל כְּשֶׁהַזְּקֵנִים, הַמַּאֲרִיכֵי יָמִים שֶׁבַּדּוֹר, פּוֹגְמִים אֶת יְמֵיהֶם וְאֵין מוֹסִיפִין אוֹר קְדֻשָּׁה וָדַעַת בְּכָל יוֹם וָיוֹם, מִזֶּה יוֹנֵק מֵצַח הַנָּחָשׁ, חָכְמַת הַטֶּבַע הַנַּ""ל, (כִּי מִנְּפִילַת הַיָּמִים שֶׁל הַזְּקֵנִים, אֲשֶׁר אֵין דַּעְתָּם מִתְיַשֶּׁבֶת כַּנַּ""ל, מִפְּגַם הַדַּעַת הַזֶּה שֶׁל אֵלּוּ הַזְּקֵנִים יוֹנֵק מֵצַח הַנָּחָשׁ, שֶׁהוּא חָכְמַת הַטֶּבַע) וּמִתְגַּבֵּר, חַס וְשָׁלוֹם, דַּעַת חָכְמַת הַטֶּבַע, שֶׁכּוֹפְרִים בָּרָצוֹן עַל־יְדֵי נְפִילַת הַדַּעַת וְהַיָּמִים, שֶׁנּוֹפְלִים מֵהַזְּקֵנִים הַמַּאֲרִיכֵי יָמִים שֶׁאֵינָם כָּרָאוּי כַּנַּ""ל. "
4,37,"And this is the meaning of “short-lived and sated with vexation” (Job 14:1)—i.e., the previous two concepts. “Short-lived” alludes to the unworthy elders who do not gain additional holiness and <i>daat</i> each day, which is the essence of old age and length-of-days. Thus when the elders spoil their days without extending them through holiness and <i>daat,</i> that is “short-lived.” From this the Serpent’s Brow, the antithesis of the Brow of Divine Will, draws sustenance. This is “sated with vexation”—the antithesis of <i>Ratzon</i>.","וְזֶהוּ בְּחִינַת (איוב יד): קְצַר יָמִים, שְׂבַע רֹגֶז; הַיְנוּ שְׁתֵּי הַבְּחִינוֹת הַנַּ""ל. קְצַר יָמִים זֶה בְּחִינַת הַזְּקֵנִים שֶׁאֵינָם כָּרָאוּי, שֶׁאֵין מוֹסִיפִין קְדֻשָּׁה וָדַעַת בְּכָל יוֹם, שֶׁזֶּהוּ עִקָּר הַזִּקְנָה וְהָאֲרִיכוּת יָמִים כַּנַּ""ל, וּכְשֶׁהַזְּקֵנִים פּוֹגְמִים אֶת יְמֵיהֶם וְאֵין מַאֲרִיכִין אֶת יְמֵיהֶם בִּקְדֻשָּׁה וָדַעַת כַּנַּ""ל, זֶה בְּחִינַת קְצַר יָמִים, וּמִזֶּה יוֹנֵק מֵצַח הַנָּחָשׁ, שֶׁהוּא הֶפֶךְ מֵצַח הָרָצוֹן, וְזֶהוּ: שְׂבַע רֹגֶז – הֶפֶךְ הָרָצוֹן כַּנַּ""ל. "
4,38,"However, when the elders are worthy, as in “an elder is one who has acquired wisdom,” the revelation of Divine Will increases. This is as in “the elder and the man of esteem” (Isaiah 9:14)—through the holy elder, <i>Ratzon,</i> which is esteem, grows more influential. Esteem signifies <i>Ratzon</i> (Divine Favor), as in Elisha’s remark to Yehoram: “Were it not for the presence of Yehoshafat…whom I esteem, I would not look at you or notice you!” (2 Kings 3:14). Elisha did not want to show Yehoram any favor. It was only his esteem for Yehoshafat that caused him to be favorably inclined toward [Yehoram]. It follows therefore that esteem signifies <i>Ratzon,</i> as in “an elder and a man of esteem.”","אֲבָל כְּשֶׁהַזְּקֵנִים כָּרָאוּי, בְּחִינַת: זָקֵן – זֶה קָנָה חָכְמָה וְכוּ' כַּנַּ""ל, עַל־יְדֵי־זֶה מִתְגַּבֵּר הִתְגַּלּוּת הָרָצוֹן, בִּבְחִינַת (ישעיה ט): זָקֵן וּנְשׂוּא פָנִים – שֶׁעַל יְדֵי זָקֵן שֶׁבִּקְדֻשָּׁה מִתְגַּבֵּר הָרָצוֹן, שֶׁהוּא בְּחִינַת נְשׂוּא פָנִים, כִּי נְשִׂיאַת פָּנִים הוּא בְּחִינַת רָצוֹן, כְּמוֹ שֶׁאָמַר אֱלִישָׁע לִיהוֹרָם (מלכים ב ד): לוּלֵי פְּנֵי יְהוֹשָׁפָט אֲנִי נֹשֵׂא אִם אַבִּיט אֵלֶיךָ וְאִם אֶרְאֶךָּ – שֶׁאֱלִישָׁע לֹא הָיָה לוֹ שׁוּם רָצוֹן לִיהוֹרָם, רַק עַל־יְדֵי נְשִׂיאַת פָּנִים שֶׁל יְהוֹשָׁפָט, עַל־יְדֵי־זֶה נִתְרַצָּה אֵלָיו. נִמְצָא שֶׁנְּשִׂיאוּת פָּנִים הוּא בְּחִינַת רָצוֹן, וְזֶה בְּחִינַת זָקֵן וּנְשׂוּא פָנִים, כַּנַּ""ל: "
4,39,"<b>9.</b> Charity is beneficial in this regard. Giving charity rectifies and reverses the harm caused by the fallen days and <i>daat</i> of elders, those with length-of-days who are unworthy. The Serpent’s Brow feeds off this [lack of wholeness]. This is as in “Cast your bread upon the waters, for after many days you will find it” (Ecclesiastes 11:1)—the power of charity is found “after many days,” namely, with those who have length-of-days. Giving charity reverses and rectifies the blemish they engender.","<b>ט</b> וּצְדָקָה מוֹעִיל לָזֶה, שֶׁעַל יְדֵי הַצְּדָקָה מְתַקְּנִין וּמַעֲלִין פְּגַם נְפִילַת הַיָּמִים וְהַדַּעַת שֶׁל הַזְּקֵנִים מַאֲרִיכֵי יָמִים, שֶׁאֵינָם כָּרָאוּי, שֶׁמִּזֶּה יְנִיקַת מֵצַח הַנָּחָשׁ כַּנַּ""ל, בִּבְחִינַת (קהלת יא): שַׁלַּח לַחְמְךָ עַל פְּנֵי הַמָּיִם, כִּי בְרֹב הַיָּמִים תִּמְצָאֶנּוּ – שֶׁכֹּחַ הַצְּדָקָה מוֹצְאִין בְּרֹב הַיָּמִים, דְּהַיְנוּ בְּמַאֲרִיכֵי יָמִים, כִּי עַל־יְדֵי הַצְּדָקָה מַעֲלִין וּמְתַקְּנִין הַפְּגָם שֶׁלָּהֶם כַּנַּ""ל. "
4,40,"This is the meaning of “Cast your bread upon the waters”—i.e., give charity. The verse guarantees that the money you lose by giving liberally to charity, you will regain and find “after many days”—in those with length-of-days. This is because giving charity reverses the blemish of the fallen <i>daat</i> of those with length-of-days, from which the Serpent’s Brow feeds. We remove all sustenance and vitality from the Serpent’s Brow/determinism, and so the Brow of Divine Will grows stronger.","וְזֶהוּ: שַׁלַּח לַחְמְךָ עַל פְּנֵי הַמָּיִם, הַיְנוּ שֶׁתִּתֵּן צְדָקָה, וְהַכָּתוּב מַבְטִיחֲךָ, שֶׁהַהֶפְסֵד שֶׁאַתָּה מַפְסִיד מָמוֹנְךָ שֶׁפִּזַּרְתָּ לִצְדָקָה תַּרְוִיחַ וְתִמְצָאֶנּוּ בְּרֹב הַיָּמִים, בְּמַאֲרִיכֵי יָמִים כַּנַּ""ל, כִּי עַל־יְדֵי הַצְּדָקָה מַעֲלִין פְּגַם נְפִילַת הַדַּעַת שֶׁל הַמַּאֲרִיכֵי יָּמִים, שֶׁמִּזֶּה הוּא יְנִיקַת מֵצַח הַנָּחָשׁ כַּנַּ""ל, וּמוֹצִיאִין כָּל הַיְנִיקָה וְהַחִיּוּת שֶׁל מֵצַח הַנָּחָשׁ, חָכְמַת הַטֶּבַע, וּמִתְגַּבֵּר בְּחִינַת מֵצַח הָרָצוֹן. "
4,41,"As discussed above, the essential devotion of charity is “And I have commanded the ravens [to feed you],” i.e., the initial need to break cruelty and transform it into compassion. From this itself Divine Will grows more influential, for from the very forest itself comes the ax (Sanhedrin 39b). By overcoming one’s instinctive heartlessness and turning it into compassion, vexation is turned into favor.","כִּי עִקָּר עֲבוֹדַת הַצְּדָקָה הִיא בִּבְחִינַת: וְאֶת הָעֹרְבִים צִוִּיתִי וְכוּ' כַּנַּ""ל, דְּהַיְנוּ מַה שֶׁצְּרִיכִים בַּהַתְחָלָה לְשַׁבֵּר הָאַכְזָרִיּוּת לְהָפְכוֹ לְרַחֲמָנוּת, וּמִזֶּה בְּעַצְמוֹ מִתְגַּבֵּר בְּחִינַת הָרָצוֹן, כִּי מִנֵהּ וּבֵהּ אַבָּא לֵיזִיל בֵּהּ נַרְגָּא (סנהדרין ל""ט), מֵאַחַר שֶׁמִּתְגַּבֵּר וּמְהַפֵּךְ אַכְזָרִיּוּת שֶׁבְּטִבְעוֹ לְרַחֲמָנוּת, עַל־יְדֵי־זֶה נִתְהַפֵּךְ הָרֹגֶז לְרָצוֹן. "
4,42,"And then, once the Serpent’s Brow is overcome and the Brow of Divine Will is revealed, the sound of the wild animals &lt;is quieted&gt; and the festival’s proclamation, the revelation of Divine Will, is heard, as discussed above. The revelation of Divine Will then leads to the fear of Heaven, as discussed above. Fear of Heaven makes it possible to receive lovingkindness, as discussed above. And when lovingkindness descends, we will not have to engage in any labor or work. “Foreigners will stand and pasture your flocks… And you will be called ‘priests of God’” will then be fulfilled, as discussed above. All this is achieved by giving charity. It follows, that the benefit of giving charity is very great.","וַאֲזַי כְּשֶׁנִּכְנָע מֵצַח הַנָּחָשׁ וְנִתְגַּלֶּה בְּחִינַת מֵצַח הָרָצוֹן, אֲזַי נִכְנָעִים וְנוֹפְלִים קוֹל הַחַיּוֹת רָעוֹת, וְנִשְׁמַע קוֹל הַקְּרִיאָה שֶׁל יוֹם טוֹב, שֶׁהוּא הִתְגַּלּוּת הָרָצוֹן כַּנַּ""ל. וַאֲזַי כְּשֶׁנִּתְגַּלֶּה הָרָצוֹן, נַעֲשֶׂה יִרְאָה כַּנַּ""ל. וְעַל־יְדֵי הַיִּרְאָה יְכוֹלִין לְקַבֵּל הַחֶסֶד כַּנַּ""ל. וּכְשֶׁשּׁוֹפֵעַ הַחֶסֶד, אֲזַי אֵין צְרִיכִין לַעֲשׂוֹת שׁוּם עֵסֶק וּמְלָאכָה כַּנַּ""ל, כִּי אֲזַי נִתְקַיֵּם: וְעָמְדוּ זָרִים וְרָעוּ צֹאנְכֶם וְכוּ' וְאַתֶּם כֹּהֲנֵי ה' תִּקָּרֵאוּ וְכוּ', כַּנַּ""ל. וְכָל זֶה נַעֲשֶׂה עַל־יְדֵי הַצְּדָקָה כַּנַּ""ל. נִמְצָא שֶׁתּוֹעֶלֶת הַצְּדָקָה גָּדוֹל מְאֹד: "
4,43,"<b>10.</b> And this is why, when Yaakov wanted to gain Esav’s favor, he said: “accept this offering from my hand; for I have seen your face as one might see the face of a Divine being, and you were favorably inclined toward me” (Genesis 33:10).","<b>י</b> וְעַל־כֵּן כְּשֶׁרָצָה יַעֲקֹב לַעֲשׂוֹת רָצוֹן בְּעֵשָׂו, אָמַר: וְלָקַחְתָּ מִנְחָתִי מִיָּדִי, כִּי עַל־כֵּן רָאִיתִי פָנֶיךָ כִּרְאֹת פְּנֵי אֱלֹהִים וַתִּרְצֵנִי (בראשית לג). "
4,44,"Even what we give to non-Jews is considered charity, as &lt;it is written (Isaiah 60:17) &gt;: “and [God will make] your taskmasters charity” (Bava Basra 9a). And giving charity creates favor. Thus [Yaakov] said to him, “then accept this offering from my hand”—i.e., charity, as in “presenters of an offering of charity” (Malachi 3:3).","כִּי גַּם מַה שֶּׁנּוֹתְנִין לָעַכּוּ""ם, הוּא גַּם־כֵּן בְּחִינַת צְדָקָה, כְּמוֹ שֶׁאָמְרוּ רַבּוֹתֵינוּ זִכְרוֹנָם לִבְרָכָה (ב""ב ט): וְנוֹגְשַׂיִךְ צְדָקָה, וְעַל־יְדֵי צְדָקָה נַעֲשֶׂה רָצוֹן כַּנַּ""ל. וְזֶהוּ שֶׁאָמַר לוֹ: וְלָקַחְתָּ מִנְחָתִי מִיָּדִי, הַיְנוּ צְדָקָה, בְּחִינַת (מלאכי ג): מַגִּישֵׁי מִנְחָה בִּצְדָקָה. "
4,45,"“For I have seen your face as one might see the face of a Divine being”—i.e., like seeing the face of God, as in “three times each year, all your males shall thus appear before the face of God” (Deuteronomy 16:16). This refers to the festivals, through which <i>Ratzon</i> is revealed {primarily by means of charity}. Similarly, [Yaakov] would gain his <i>ratzon</i> through charity, this being: “you were favorably inclined toward me.”{This is because the offering and the gift which he gave to Esav was literally considered charity, as in “your taskmasters charity,” it follows that Divine Will on high, which is revealed through charity, is revealed. And from there <i>Ratzon</i> devolves below and also creates favor in Esav.}","כִּי עַל־כֵּן רָאִיתִי פָנֶיךָ כִּרְאוֹת פְּנֵי אֱלֹקִים, הַיְנוּ כְּמוֹ רְאוֹת פְּנֵי אֱלֹקִים, שֶׁהוּא בְּחִינַת (דברים ט""ז): שָׁלוֹשׁ פְּעָמִים בַּשָּׁנָה יֵרָאֶה כָל זְכוּרְךָ אֶת פְּנֵי ה', דְּהַיְנוּ יָמִים טוֹבִים, שֶׁעַל יָדָם נִתְגַּלֶּה הָרָצוֹן, (וְעִקָּר הִתְגַּלּוּת הָרָצוֹן עַל־יְדֵי יָמִים טוֹבִים הוּא עַל־יְדֵי הַצְּדָקָה כַּנַּ""ל), כְּמוֹ־כֵן יִהְיֶה נַעֲשֶׂה אֶצְלוֹ רָצוֹן עַל־יְדֵי הַצְּדָקָה, וְזֶהוּ: וַתִּרְצֵנִי, כַּנַּ""ל. (כִּי מֵאַחַר שֶׁהַמִּנְחָה וְהַצְּדָקָה שֶׁנָּתַן לְעֵשָׂו הִיא בְּחִינַת צְדָקָה מַמָּשׁ, בְּחִינַת: וְנוֹגְשַׂיִךְ צְדָקָה, נִמְצָא שֶׁעַל־יְדֵי־זֶה נִתְגַּלֶּה הָרָצוֹן הָעֶלְיוֹן, שֶׁהוּא נִתְגַּלֶּה עַל־יְדֵי צְדָקָה כַּנַּ""ל, וּמִשָּׁם מִשְׁתַּלְשֵׁל הָרָצוֹן לְמַטָּה וְנַעֲשָׂה רָצוֹן גַּם בְּעֵשָׂו): "
4,46,<b>11A.</b> This relates as well to the battle between David and Goliath (1 Samuel 17).,"<b>יא</b> וְזֶה בְּחִינַת מִלְחֶמֶת דָּוִד וְגָלְיַת (שמואל א י""ז), "
4,47,"Goliath wanted to use his wisdom to demonstrate that everything transpires according to the laws of nature. He drew sustenance from <i>Metzach haNachash ,</i> as in “a <i>mitzchat nechoshet</i> on his legs,” so that he attributed all causes to the inevitability of nature, which corresponds to the Serpent’s Brow, as discussed above. Thus, “he has defied the <i>maARKhot</i> (battalions) of the Living God” (ibid. v.26). [Goliath] wanted to demonstrate that everything takes place according to the <i>maAReKhet</i> (alignment of) the heavens, as dictated by the laws of nature, God forbid.","כִּי גָּלְיַת הָיָה רוֹצֶה לְהַרְאוֹת בְּחָכְמָתוֹ, שֶׁהַכֹּל עַל פִּי הַטֶּבַע, כִּי הָיָה יוֹנֵק מִמֵּצַח הַנָּחָשׁ, בִּבְחִינַת: וּמִצְחַת נְחֹשֶׁת עַל רַגְלָיו, שֶׁתָּלָה כָּל הַסִּבּוֹת בְּחִיּוּב הַטֶּבַע, שֶׁהוּא בְּחִינַת מֵצַח הַנָּחָשׁ כַּנַּ""ל. וְעַל כֵּן חֵרֵף מַעַרְכוֹת אֱלֹקִים חַיִּים (שם), כִּי הָיָה רוֹצֶה לְהַרְאוֹת, שֶׁהַכֹּל עַל־יְדֵי מַעֲרֶכֶת הַשָּׁמַיִם, כְּפִי חִיּוּב הַטֶּבַע, חַס וְשָׁלוֹם: "
4,48,"But David was a man of valor and stood up to him, saying that he had once had an incident like this: <b>{“David said to Saul, ‘ Your servant was a shepherd for his father’s flocks, and when the lion and the bear came and carried away a sheep from <i>ha’eider</i> (the flock), I went after it, and struck it, and rescued [the sheep] from its mouth. Then it attacked me, and I grabbed it by the <i>zakan</i> (beard) and struck it down and killed it. Your servant has slain both lion and bear; and that uncircumcised Philistine shall be like one of them, for he has defied the battalions of the Living God! …[David] took out a stone and slung it. It struck the Philistine in the forehead. The stone sank into his brow, and he fell face down upon the ground”</b> (1 Samuel 17:34-36, 49) <b>.}</b>","וְדָוִד הָיָה אִישׁ חַיִל, וְעָמַד כְּנֶגְדּוֹ וְאָמַר, שֶׁכְּבָר הָיָה לוֹ מַעֲשֶׂה כָּזוֹ: "
4,49,"<b>and when the lion and the bear came—</b> This refers to the wild animals that claw and tear apart their prey. These are the deterministic scientists, as discussed above.","וּבָא הָאֲרִי וְהַדּוֹב – דְּהַיְנוּ חַיּוֹת רָעוֹת הַנַּ""ל הַדּוֹרְסִים וְטוֹרְפִים, שֶׁהֵם חַכְמֵי הַטֶּבַע כַּנַּ""ל. "
4,50,"<b>and carried it away from <i>ha’ eider</i>—</b> That is, from the absolute <i>he’eder</i> (nothingness); he carried away and removed it from the absolute nothingness. In other words, he denied that, following the absolute nothingness, God created everything through His Will, [claiming] instead that everything takes place according to the dictates of nature, God forbid.","וְנָשָׂא זֶה מֵהָעֵדֶר – הַיְנוּ מֵהֶעְדֵר הַגָּמוּר, שֶׁנָּשָׂא וְסִלֵּק זֹאת מֵהֶעְדֵּר הַגָּמוּר, דְּהַיְנוּ שֶׁכָּפַר בָּזֶה, שֶׁהַשֵּׁם יִתְבָּרַךְ בָּרָא הַכֹּל בִּרְצוֹנוֹ אַחַר הֶעְדֵּר הַגָּמוּר, רַק שֶׁהַכֹּל עַל פִּי חִיּוּב הַטֶּבַע, חַס וְשָׁלוֹם. "
4,51,"<b>I went after it, and st ruck it—</b> I would overpower him; I overcame and humbled him.",וְיָצָאתִי אַחֲרָיו וְהִכִּתִיו – הַיְנוּ שֶׁהָיִיתִי מִתְגַּבֵּר עָלָיו וְהִכְנַעְתִּי וְהִשְׁפַּלְתִּי אוֹתוֹ. 
4,52,"<b>Then it attacked me—</b> Afterwards, he again came against me.",וַיָּקָם עָלַי – הַיְנוּ שֶׁאַחַר כָּךְ הִתְגַּבֵּר עוֹד כְּנֶגְדִּי. 
4,53,"<b>and I grabbed it by the <i>zakan</i>—</b> That is, I understood that all his strength and sustenance stems from the Serpent’s Brow, which feeds off the unworthy <i>ZiKNei</i> (elders of) the generation, as discussed above. This is why “I would grab it by the <i>ZaKaN</i>”—I grabbed hold of and seized the source of his sustenance, the elders of the generation.","וְהֶחֱזַקְתִּי בִּזְקָנוֹ – הַיְנוּ שֶׁהֵבַנְתִּי, שֶׁכָּל כֹּחוֹ וִינִיקָתוֹ עַל־יְדֵי מֵצַח הַנָּחָשׁ, שֶׁיּוֹנֵק מִזִּקְנֵי הַדּוֹר שֶׁאֵינָם כָּרָאוּי כַּנַּ""ל, וְעַל כֵּן הֶחֱזַקְתִּי בִּזְקָנוֹ, שֶׁהֶחֱזַקְתִּי וְתָפַסְתִּי שָׁם בְּשֹׁרֶשׁ יְנִיקָתוֹ בְּזִקְנֵי הַדּוֹר. "
4,54,"<b>and st ruck it down and killed it—</b> I defeated and humbled the deterministic scientists/wild animals by grabbing hold of their <i>zakan,</i> the source of their sustenance. ","וְהִכִּתִיו וַהֲמִיתִּיו – שֶׁהִכְנַעְתִּי וְהִשְׁפַּלְתִּי אֶת חַכְמֵי הַטֶּבַע, חַיּוֹת רָעוֹת, עַל־יְדֵי שֶׁהֶחֱזַקְתִּי בִּזְקָנוֹ, בְּשֹׁרֶשׁ יְנִיקָתָם כַּנַּ""ל. "
4,55,"Therefore, <b>and that Philistine shall be like one of them—</b> For he, too, is exactly like this. All his strength is from <i>Metzach haNachash,</i> as in “<i>mitzchat nechoshet…</i>.” He is therefore like them, and so I am able to defeat and &lt;humble him&gt;. ","וְעַל כֵּן: וְהָיָה הַפְּלִשְׁתִּי כְּאֶחָד מֵהֶם – כִּי הוּא גַּם כֵּן בְּחִינָה זוֹ מַמָּשׁ, שֶׁכָּל כֹּחוֹ מִמֵּצַח הַנָּחָשׁ, בְּחִינַת: וּמִצְחַת נְחֹשֶׁת וְכוּ' כַּנַּ""ל, וְעַל כֵּן גַּם הוּא כְּמוֹתָם, וְאוּכַל לְהַכְנִיעוֹ וּלְהַפִּילוֹ. "
4,56,"This is as it is written: <b>the st one sunk into his brow—</b> This alludes to the Serpent’s Brow, which he &lt;humbled&gt; by means of &lt; <i>Ratzon,</i> &gt; as in “a perfect stone is His <i>ratzon</i>” (Proverbs 11:1)—i.e., &lt;the root of <i>ratzon,</i> the Brow of Divine Will&gt;.","וְזֶה שֶׁכָּתוּב (שם): וַתִּטְבַּע הָאֶבֶן בְּמִצְחוֹ – הַיְנוּ בְּמֵצַח הַנָּחָשׁ, שֶׁהִכְנִיעוֹ עַל־יְדֵי בְּחִינַת (משלי יא): אֶבֶן שְׁלֵמָה רְצוֹנוֹ, בְּחִינַת רָצוֹן כַּנַּ""ל. "
4,57,"And this is what Yishai warned David as he headed for there: “and redeem their <i>ARuBah</i> (pledges)” (1 Samuel 17:18). This alludes to the <i>OReV</i> (raven), charity. The essential devotion of charity &lt;is&gt; to be like the raven, as in “And I have commanded the ravens….” By giving charity he takes away the vitality of the Serpent’s Brow, which feeds off the elders of the generation.","וְזֶה בְּחִינַת שֶׁהִזְהִיר יִשַׁי אֶת דָּוִד בְּלֶכְתּוֹ לְשָׁם: וְאֶת עֲרֻבָּתָם תִּקָּח. זֶה בְּחִינַת עוֹרֵב, בְּחִינַת צְדָקָה. כִּי עִקָּר עֲבוֹדַת הַצְּדָקָה – בִּבְחִינַת עוֹרֵב, בְּחִינַת: וְאֶת הָעֹרְבִים צִוִּיתִי וְכוּ' כַּנַּ""ל, כִּי עַל־יְדֵי הַצְּדָקָה הוּא מוֹצִיא הַחִיּוּת שֶׁל מֵצַח הַנָּחָשׁ, שֶׁיּוֹנֵק מִזִּקְנֵי הַדּוֹר כַּנַּ""ל: "
4,58,"And know! even after a person has successfully defeated and refuted the ideologies of the deterministic scientists and has humbled them, if the revelation of Divine Will is not powerful and firm—if any doubt remains about Divine Will such that it is not decisively clear that everything is governed solely by &lt;God’s&gt; Divine Will—then even though the determinism has been defeated, nonetheless, since Divine Will is not yet [sufficiently] influential, there is the possibility, God forbid, that the Serpent’s Brow/determinism will reawaken and return to its original strength. This, too, requires the power of charity, because charity is always beneficial and always counters the Serpent’s Brow.","וְדַע, שֶׁאֲפִלּוּ כְּשֶׁמַּכְנִיעִין וְסוֹתְרִין דֵּעוֹת חַכְמֵי הַטֶּבַע וּמַשְׁפִּילִין אוֹתָם, אַף־עַל־פִּי־כֵן אִם אֵין הִתְגַּלּוּת הָרָצוֹן חָזָק וְתַקִּיף, דְּהַיְנוּ שֶׁעֲדַיִן יֵשׁ סָפֵק בָּרָצוֹן, שֶׁאֵינוֹ מְבֹרָר בְּבֵרוּר חָזָק שֶׁמִּתְנַהֵג רַק עַל פִּי הָרָצוֹן, אַף־עַל־פִּי שֶׁחָכְמַת הַטֶּבַע נִכְנַעַת, אַף־עַל־פִּי־כֵן מֵאַחַר שֶׁהָרָצוֹן אֵינוֹ חָזָק, עֲדַיִן יֵשׁ יְכֹלֶת, חַס וְשָׁלוֹם, לְמֵצַח הַנָּחָשׁ, חָכְמַת הַטֶּבַע, שֶׁיַּחֲזֹר וְיִתְעוֹרֵר וְיִתְגַּבֵּר כְּבַתְּחִלָּה, וְגַם עַל זֶה צְרִיכִין כֹּחַ הַצְּדָקָה, כִּי הַצְּדָקָה מוֹעֶלֶת תָּמִיד וְעוֹמֶדֶת תָּמִיד כְּנֶגֶד מֵצַח הַנָּחָשׁ כַּנַּ""ל: "
