Index Title,Rashash on Pesachim
Rashash on Pesachim 17a:7,"<b>והב""א </b>כתב דבתוס' (ב""ק כה ב) בד""ה וקמייתי משמע דכל שאין לו טהרה במקוה א""נ אה""ט אף לאוכלין אני אינני רואה שם משמעות כלל דאפ""ת דמפץ נעשה אה""ט עכ""פ לענין אוכלין אפ""ה א""א להעמיס זאת בכוונת הגמרא במאי דקאמר וקמייתי כו' דא""כ מאי קאמר תו ואהני דיו לאפוקי טומאת ז' דהא בין מפץ בזב שהוא מדרס ובין פכין קטנים במת נעשין ג""כ אה""ט לאוכלין לשיטה זו (ולהוא""ל כו' שכתבו צ""ל דזה פסיקא להו דכ""ח אנאה""ט והדיו הוא כהפכין היפך פירש""י) אולם ק""ל ע""ד שם במאי דפסיקא להו דמפץ א""נ אה""ט משום דאין לו טהרה במקוה וכ""כ שם בד""ה ומה דהלא שם בפ' ר""ע אמרינן דמפץ שאני דאיכא במינו דילט""ב ולכן מיטמא במדרס הזב ומשמע שם דאפי' לטמא אדם ובגדים. וכן כופת שאור שיחדה לישיבה אמרינן (בחולין קכט) דמטמאה טומאה חמורה ואע""ג שאל""ט במקוה והוא ג""כ מטעם דיש במינה כמ""ש התוס' בפר""ע שם ד""ה לאפוקי והיותר תמוה דשם גופה כתבו ג""כ בד""ה מה דמפץ א""נ אה""ט וצע""ג:"
Rashash on Pesachim 17a:8,"<b>בא""ד ומפרש ר""ת כו'. </b>ע""ד פירושו הנלע""ד דרבינא חדש שיטת הרמב""ם והר""י מסימפונט בתוס' (נזיר נד ב) דחרב ה""ה כחלל ל""ד כלי מתכות אלא ה""ה שאר כלים ובגדים וטמא נפש לדידיה נמי הוה כדס""ד מעיקרא ונכון בעז""ה. שוב ראיתי שגם עינו של הצל""ח ראה מעין זה באות צ""ב:"
Rashash on Pesachim 17b:1,"<b>גמרא ואי הלכתא היא מ""ל בכלים מ""ל בקרקע. </b>לכאורה עדיפא הל""ל דלקרקע למאי נצרך הלכתא אפילו בחולין טהור מקרא דמקוה מים יהיה טהור וכפירש""י. ואולי דא""ל דקרא לא מטהר אלא מקוה דמ' סאה הראוי לטבילת אדם. אך יקשה דטבילת מחטין וצינורות במקוה דרביעית יטמא המקוה מהם כאשר נגעו בה בתחלת התחיבה ושוב לא תטהרם (עי' זבחים צג):"
Rashash on Pesachim 17b:2,"<b>[והתנן כל הכלים שיש להן אחוריים כו'. </b>צ""ל והתניא כי במשנה ר""פ כ""ה הגי' יש כו'. וגם דר""י במד""א כו' לא הוזכרו שם וע""ש בר""ש] :"
Rashash on Pesachim 17b:3,"<b>רש""י ד""ה מי גמרינן מינה. והיכי מייתא ר' אלעזר. </b>כצ""ל בל""י:"
Rashash on Pesachim 17b:4,"<b>[רש""י ד""ה כר""מ. דאמר לא מטמאי אפילו כו'. </b>כצ""ל] :"
Rashash on Pesachim 17b:5,"<b>תוס' ד""ה נטמא. דר""מ פליג בהני דוקא. </b>כצ""ל:"
Rashash on Pesachim 18a:1,"<b>תוס' ד""ה הא. משום דנפסלו בהסה""ד. </b>ק""ל הא תנן התם מ""ח מי חטאת שנפסלו מטמאין אה""ט לתרומה כו' ובר""ש פ""ח מ""ב כתב להדיא דכשנפסלו בהסה""ד מטמאין כלים. וצ""ל ע""כ דהכא גרע טפי שבטלו ממ""ח לגמרי. ולכן גם מש""כ בדבור שאח""ז אע""ג כו' דכה""ע פוסלין מ""ח אין משם קושיא כלל דפסול לחוד אינו מוציאן מלטמא. וי""ל דס""ל כמ""ש הרע""ב שם בפ""ט מ""ח דפסולין א""מ אלא מדרבנן והכא דמילתא דל""ש לא גזרו:"
Rashash on Pesachim 18a:2,"<b>תוס' ד""ה בטלו. אע""ג כו' דכה""ע פוסלין מ""ח. </b>תימה מדוע לא הביאו מרישא דהך מתניתין שתת מהן בהמה כו' פסולין וע""ש בר""ש:"
Rashash on Pesachim 18a:3,"<b>בא""ד דהתם מיירי קודם קידוש. </b>והרע""ב כתב שם ברה""פ אהא דקתני צלוחית כו' דהיינו שנותנין בה המים המקודשין. וע""ז הא קאי גם הך דשתת מהן בהמה וכה""ע פוסלין. אבל האי כללא שכתב הרע""ב שם דצלוחית היא שנותנין לתוכה מים המקודשים לא ס""ל לרש""י (בחולין ט ב) ע""ש:"
Rashash on Pesachim 18a:4,"<b>בא""ד ובתוספתא מפרש כו'. </b>היא בפ' בתרא דמקואות וכ""ה בספרי:"
Rashash on Pesachim 18a:5,"<b>גמ' ולאו ק""ו הוא ומה כלי כו' א""מ כלי משקין הבאין מחמת כלי א""ד כו'. </b>ק""ל הא א""ל פרה ופרים והמשלח אה""ש ונבלת עוף הטהור יוכיחו שהן עצמן א""מ בגדים כו' כדאיתא בפרה פ""ח מ""ג וד' וע""ש עוד בר""ש פי' הערוך [וכה""ג דחי הש""ס ק""ו כזה בנדה נה] :"
Rashash on Pesachim 18a:6,"<b>רש""י ד""ה לימד על ככר שני. ואני שמעתי כו' וע""י הדחק נאמר. </b>עיין לקמן (יט) בדבריו בסד""ה א""ל ותראה מה דחקם:"
Rashash on Pesachim 18a:7,"<b>רש""י ד""ה ואי ס""ד. דהא כתיב לעיל מהאי קרא טמא הוא. </b>תימה דהאי כתיב מאוחר בסוה""פ:"
Rashash on Pesachim 19a:1,"<b>גמרא אר""ע זכינו כו'. </b>פירש""י דחוק. ולעד""נ דר""ל שלא זכינו ללמוד מעדותו דבר חידוש זולת ד""ז שאין טומאת ידים במקדש דהבשר פשיטא דטמא וכן הסכין דטהור וכדמסקינן טעמייהו:"
Rashash on Pesachim 19a:2,"<b>רש""י ד""ה פסל את כולן. דאי משום דנגעי אהדדי כו'. </b>אלו הוה ס""ל כמ""ש התוס' לעיל (יד ב) ד""ה ואילו לא הוה צריך לזה:"
Rashash on Pesachim 19b:1,"<b>רש""י ד""ה על ספק הרוקין. או של נדה הן ורוקן אה""ט כו'. </b>כצ""ל:"
Rashash on Pesachim 19b:2,"<b>רש""י ד""ה דרך עליה טהורין. שהטבילן. </b>לכאורה מ""מ הע""ש בעי וי""ל דתלינן שנאבדו זה ימים רבים כמו לעיל (ז) בהר הבית לעולם חולין ע""ש בפירש""י. אך ק""ק מהא דלקמן (ע) מסכין שנמצא בי""ד ועמש""כ שם:"
Rashash on Pesachim 19b:3,"<b>רש""י ד""ה ופרכינן וד""ה ומינה. </b>צ""ל בד""א:"
Rashash on Pesachim 19b:4,"<b>תוס' ד""ה ונימא. וזה א""נ לו דלר""ע יהיה דכן מלטמא כלים. </b>ר""ל דזה א""נ להש""ס לומר דר""ע אית לי' עדותו של יוסי ביו""ע דמשקי ב""מ דכן רק דמפרש לי' דכן מלטמא כלים ובזה הוה א""ש דל""א זכינו שא""ט כלים במקדש דזה כבר שמענו מעדות יוביו""ע [ועוד דמשם שמענו דאפילו יצאו אח""כ חוץ למקדש אינן מטמאין אה""כ כדתניא לעיל דכשנטמאו בפנים אפילו הוציאן לחוץ טהורין] משום דלשון דכן משמע לגמרי או אפי' מליטמא או לכה""פ מלטמא אף אוכלין וכרב ושמואל לעיל והמהרש""א לא הבין כן:"
Rashash on Pesachim 20a:1,"<b>רש""י ד""ה האי בשר. נאכל בכל העיר ולכ""א כו'. </b>ולכ""א כדי נסבה דאפי' חו""ש הנאכלים לכהנים נמי הואיל דנאכלים בכל העיר ובכל מאכל:"
Rashash on Pesachim 20a:2,"<b>רש""י ד""ה שרץ מטמא. וקסבר יטמא הכלי מן המשקה כו' ודריש בי' נמי כו' יטמא כו' דחוזר כלי זה כו'. </b>תימה דא""כ מפורש בקרא רביעי כלי משקה כלי אוכל ומה זה דקאמר לקמן בד""ה הני דרביעי לא משכחת ליה בקרא וכן בד""ה אדרבה דרביעי לא כתיב ולעיל (טז) ד""ה לכל טמא פי' דדריש יטמא יטמא ומדסמכי' לכלי משמע יטמא אה""כ ע""ש וכן נכון:"
Rashash on Pesachim 20b:1,"<b>[גמ' שותין מלוג מסלע כו'. </b>נל""פ דמיירי בעשיר וקאמר אף שהיין ביוקר כ""כ שהלוג נמכר בסלע (ובשכר האמצעי תנן בפי""ג דמנחות מ""ח כבש יביא הוא ונסכיו בסלע ונסכיו לבד הם ג' לוגין יין). יוכל לקנות ולא יקרא רעבתן או סובא או מבזבז יותר מדאי. ולזילוף אף בשתים רשאי לקנות. או דמיירי ביין אלפא ומובחר מאד אשר מפני טובו נמכר בשער הגבוה כל כך] :"
Rashash on Pesachim 20b:2,"<b>תד""ה ראוי. ואע""ג דת""ט בשריפה כו'. </b>ולעד""נ דפי' זילוף דכאן הוא כמו שנוהגין עתה ללבן לבנה באור ומזלפין עליה יין דהוי כמו שריפה:"
Rashash on Pesachim 21a:1,"<b>[רש""י בס""פ כדתנן כלי שנטמא אחוריו כו'. </b>כצ""ל. כי היא משנה בפכ""ה דכלים משנה ו'] :"
Rashash on Pesachim 21b:1,"<b>גמרא ריב""ב אומר כותח כו' אסור למכור ל' יום קודם לפסח. </b>הן בשבת הגי' ר""י סתמא וכ""ה ברש""י ותוספות כאן ובר""ן בפ""ק (ב ב) ד""ה ומיהו ונ""ל דהוא הנכון ואזיל לטעמי' דאין ביעור חמץ אלא שריפה וכפירוש רש""י לעיל (יב ב) דשלא שע""ב היינו בתחלת שש וכל שש וה""ה ל""י קודם וכדמוכח מדבריו לקמן (כז ב) ד""ה שאם לא מצא עצים וכהטור בסי' תמ""ה. ולפ""ז כש""כ דלא מהני ביטול לדידי' בתוך ל""י ומיושב קושיית הש""א בסי' ע""ז בהא דא""ל לא מצא עצים לשרפו יהא יושב ובטל והקשה והלא יוכל לבטל וא""ת לפ""ז איך שרי לאכול ולהאכיל חמץ ל""י קודם הלא מבערו שלא ע""י שריפה י""ל דחום הטבעי אשר בבע""ח המעכל המזון הוי כשריפה זכר לדבר לקמן (לב) אף בזו י""ל בה היתר הסקה כו' מריצה לפני כלבו כו' וראיה לדבר דאמרינן (בשבת כה) כשם כו' כך מצוה לשרוף אה""ת שנטמאת ופרש""י דדמיא לקדש ולקמן (מו) במשנת כיצד מפרישין חלה בטומאה ביו""ט פרש""י דאי לאו משום יו""ט הוי שרי להאכילה לכלבים. וכן פי' (בביצה כז ב) במשנה וזה דלא כתוס' שם והר""ן בפ' מפנין. אולם לפ""ז יהיה סתירה למש""כ (בשבת סו) דלר""י חמץ בשריפת עצים דוקא ובדרך רחוק קצת י""ל דאדם נקרא עץ כדכתיב כי האדם עץ השדה בניחותא כפי' הראב""ע שם וה""ה בהמה חיה ועוף:"
Rashash on Pesachim 21b:2,"<b>והנה </b>לפירש""י דר""י כב""ש צ""ל דס""ל דמעולם ל""נ ב""ה בד""ז וניחא נמי הא דקשה לר""י דאמר תולין כל חמש מב""ה דאמרי כ""ש שמותר לאכול מותר למכור:"
Rashash on Pesachim 21b:3,"<b>גמ' לא יאכל חמץ לא יהא בו היתר אכילה. </b>עיין פירש""י. ולעד""נ דלא יאכל משמע אף לכלבים. ומפרש דהוא מטעם הנאה וה""ה לכל הנאות וכה""ג דריש ר""ש במנחות (קא ב) מכל האוכל אשר יאכל שאתה יכול להאכילו לאחרים וממעט מזה אה""נ ואף למאי דכ' התוס' שם בד""ה אוכל ע""ש איכא למימר דיאכל תרווייהו משמע. אך לכאורה לפמש""כ התוס' (בשבת כו) ד""ה אין מדליקין ע""ש ה""נ אימא דלא אסרה תורה אלא הנאה של כילוי דומיא דאכילה וכן לפמש""כ (בב""ק נג ב) בד""ה לענין כלים דלא ילפינן שאר הנאות לאיסור מאכילת כלבים לר""א ע""ש ה""נ לא ניליף ושאר הנאות מנלן. אך זה י""ל דחזקי' ס""ל כרבא וכר""י שהביאו התוס' שם דלא מחלקי. אמנם בלא""ה קשה לדבריהם מהא דיליף לקמן מאותו דאי אתה משליך לכלב כאשב""ת שאר הנאות ג""כ וכבר הרגישו בעצמם לקמן (כט ב) ד""ה ר""א. ועמש""כ (בבכורות יב ב) פי' אחר נכון בס""ד:"
Rashash on Pesachim 21b:4,"<b>מש""כ </b>הב""א כאן ליישב דעת הב""י מקושיית הט""ז באו""ח סי' שמ""ג בהא דאמרינן (בזבחים יג) דל""פ צד כרת לא""כ דשם אמרי' לב""ע וחכמים פליגי עליה וא""כ ע""כ ס""ל דפרכינן צד כרת וה""ל כוותייהו. ועוד הא אמרינן שם ואב""א דלכ""ע פרכינן צ""כ:"
Rashash on Pesachim 21b:5,"<b>תוס' ד""ה חרכו. דומיא דפת שעיפשה בפ""ק. </b>כוונתם להא דאיתא (שם טו ב) ועי' בר""ן והמציין לדף ז' טעה:"
Rashash on Pesachim 21b:6,"<b>[תוס' ד""ה כ""מ. לימא דאיכא בינייהו הא כו'. </b>השעה""מ בריש הלכות חמץ הקשה דהא לפמש""כ התוס' לקמן (כח ב) בד""ה וחד י""ל דגם לחזקיה חייב כרת על הנאה וכתב די""ל בדוחק דכרת מלאו לא ילפינן ע""ש ולי גמרא ערוכה בכריתות (ד) ורבנן לאו מלאו ילפינן לאו מכרת לא ילפינן ע""ש ופשוט דה""ה איפכא] :"
Rashash on Pesachim 22a:1,"<b>גמרא ור""מ אותו כו'. וא""א משליך לכלב חשנ""ב.</b> מה שתמה בגה""ש כבר קדמהו הצל""ח לקמן (כג ב) בד""ה רא""ס אותו כו' ויישב בתרי אנפי:"
Rashash on Pesachim 22a:2,"<b>גמ' מידי רוב מים כתיב. </b>כה""ג (בר""ה ז) ובכריתות (כה ב):"
Rashash on Pesachim 22a:3,"<b>רש""י ד""ה ור""מ. ומשום דאין מפורש כו'. </b>נראה מזה דלא ס""ל תירוץ ר""י שבתוס' לעיל ד""ה כל מקום ובגה""ש הקשה דנילף מקרא דל""ת כ""ת כו' לכאורה לפי המבואר (בחולין קטו) דלא ילפינן מעשה שבת מל""ת כ""ת משום דגלי רחמנא היא קדש וא""מ קדש וחורש בשו""ח וחוסם פי פרה כו' ילפינן להתירא ק""ו משבת ע""ש ובתוד""ה חורש בסופו. ולכן חשנ""ב נמי אף שנאסרו באכילה מ""מ מק""ו דשבת מוכח דלא קאי על כה""ג ובשעה""מ פ""ה מהל' מ""א תירץ דדבר שלא נאסר אלא מכלל לאו הבא מכלל עשה לא נכלל בל""ת כל תועבה:"
Rashash on Pesachim 22a:4,"<b>תוס' ד""ה אותו. כדאמר כל שבקדש פסול כו'. </b>הוא לקמן (כד):"
Rashash on Pesachim 22b:1,"<b>[גמ' ממשמע שנאמר סקול יסקל השור איני יודע שהוא נבלה ונבלה אסורה באכילה כו'. </b>ק""ל נימא דסד""א דסקילתו זו הוא שחיטתו וכמו דאמרינן ביומא (ריש דף סד) דחייתו לצוק זו היא שחיטתו. ומה""ט עגלה ערופה מטהרה עריפתה מידי נבלה כמש""כ התוס' שם. וכן גבי שעיר המשתלח למ""ד שם (סז) דמותר בהנאה קשה דלישתרי נמי באכילה מה""ט דאמרן. וכן קשה גבי מליקה למה לא נאמר דאף לזר לא תאסר משום נבלה כמו שמטהרה מידי טומאה וכדאמר בר קפרא ביבמות (סוף דף לב). ודע דהקשה לי חכם אחד דלפי דמסיק דלא יאכל אתא לשחטו לאחר שנגמר דינו א""כ מנ""ל דנסקל כדינו אסור בהנאה דנימא הואיל דנסקל כמצותו אין לך דבר שנעשית מצותו ומועלין בו (והתוס' בשלהי תמורה (לג ב) כתבו גם בשאר איסורין דכיון שנעשית מצותו הלך איסוריה). והשבתיו דאף דדרשינן ליה להיכא דשחטו מ""מ לא עקרינן ליה מפשטיה דקאי על נסקל ממש. ובכתובות (לד) הבאתי הרבה דוגמאות לזה בס""ד ע""ש. אכן ק""ל דלקמן (כו) לא מצא הש""ס רק ב' דברים שאסורין לאחר שנעשו מצותן ופריך למ""ד ב' כתובין הבאין כאחד מלמדין מאי איכא למימר הלא מצינו עוד שלישי והוא שור הנסקל וה""ל ג' כתובים הבאים כאחד דלכ""ע אין מלמדין כדאיתא בקדושין (לה) ועיין תוי""ש יומא (ס) ד""ה משום דמחלקי בין קדשים לשאר איסורים אבל התוס' בתמורה שהבאתי מוכיח דלא מחלקי בזה] :"
Rashash on Pesachim 22b:2,"<b>רש""י ד""ה ואיזה זה. ולבסוף מקלח ואחר כך משחיר כו'. </b>ע""ש בכריתות ובפירושו שאינו כן. וכבר הושג מהתוס' בכה""ג בפירושו (בחולין לו):"
Rashash on Pesachim 23a:1,"<b>[גמ' ור""י ונטעתם משמע בין לרבים כו' ולכם בין יחיד כו'. </b>צריך לתת לב על השנוי דברישא מזכי[ר] רבים קודם ובסיפא להיפך ועמש""כ בשבת (קנה) ובפירוש הרמב""ם בפ""א דערלה מ""ב הגירסא ברישא ג""כ יחיד קודם] :"
Rashash on Pesachim 23a:2,"<b>תוס' ד""ה מערבין. ול""פ הכא אליבא דמ""ד כו'. </b>אבל מ""מ מוכח מדוכתי אחריני דלכ""ע מותרין בהנאה תרומה מדתנן תנור שהסיקו בכמון ש""ת כו' הפת מותרת וכמ""ש רש""י והתוס' (בע""ז סו ב) נזיר לקמן (מד ב) בברייתא ומה נזיר כו' ואין איסורו אה""נ:"
Rashash on Pesachim 23a:3,"<b>תוס' ד""ה נזרו. על נזרו מגלח וא""מ ע""נ אביו. </b>דרשה זו מצאתיה בספרי בפסוק קרבנו לה' על נזרו ולא קרבן אחר על נזרו וכפי' הז""ר. אולם טובא נזרו כתיבי בפרשה ולמאי אתיין:"
Rashash on Pesachim 23a:4,"<b>גה""ש </b>הקשה לר""י ולר""מ דס""ל דבכל ענין מגלח ע""נ אביו א""כ כו' ע""ש. ואנכי תמה דהא גם אינהו ל""א אלא במעות סתומים אבל מפורשין או בהמות לא כדמוכח שם (כז ב כח) ובתוס' שם. ואם כן נזרו למעוטי הני קאתי. וא""ת קרא ל""ל כיון דהלכה לא הוה אלא במעות סתומין. זה יקשה גם לר' יוסי וע""כ צ""ל דהלכה סתם נאמרה דמגלח וקרא דנזרו ממעט דא""מ וצריך לפשר ביניהם למר כדא""ל ולמר כדא""ל:"
Rashash on Pesachim 23a:5,"<b>תוס' ד""ה שאני התם. </b>עי' רש""א בשם רש""ל למחוק ריהג""א. וכוונתם מבוארת דהוא בברייתא דתמה ע""ע וכן הבין הצל""ח ותימה על הפ""י שהשיא כוונתם על אידך ברייתא דחלב נבלה:"
Rashash on Pesachim 23b:1,"<b>גמרא אלא גיד נימא דאסור. </b>קושיית הגה""ש בכאן נ""ל ליישב בג' פנים. א' דע""כ לא חלקו התוס' בין חלב לגיד אלא למ""ד דנוהג בשליל (ע""ש ותבין) ופרכת הגמרא הכא למ""ד דא""נ. ב' י""ל דפה אזיל הש""ס לל""ק (בחולין עה) לריו""ח דאפי' בהטילה נפל חלבו כחלב בהמה. ג' דא""ת דקרא איירי בהפילה אם כן נוכל לומר ג""כ בהפילה נפל שעדיין לא נתקשרו אבריו בגידין ע""ש בר""פ המקשה:"
Rashash on Pesachim 23b:2,"<b>גמ' יתיב כו' מנין לכל איסורין כו' ומאי ניהו חמץ בפסח ושה""נ. </b>לכאורה מזה סתירה קצת למש""כ בהגהותי למ""ר (בראשית פע""ה אות ה) בשם התוס' דאין לשון כל נופל על פחות משלשה:"
Rashash on Pesachim 23b:3,"<b>רש""י ד""ה במאי פליגי. דאין לך איסורים בדבר כו' להתיר הנאה אלא כו'. </b>כ""נ דצ""ל:"
Rashash on Pesachim 23b:4,"<b>רש""י ד""ה חולין בעזרה </b>(בסופו). ואותו לר""מ כו'. כצ""ל:"
Rashash on Pesachim 23b:5,"<b>רש""י ד""ה קא סבר. האי תנא. </b>ל""י מדוע קרי ליה תנא הכא:"
Rashash on Pesachim 24a:1,"<b>רש""י ד""ה כל שבקדש פסול. לרבות כו' פסולי קק""ד. </b>ל""י מאי דחקו לפרש קק""ד דוקא בפשוטו משמע דכל דאיקרי קדש ואפי' קק""ל נמי וכ""מ במעילה וברמב""ם פי""ח מהל' פהמ""ק ה""י:"
Rashash on Pesachim 24b:1,"<b>רש""י ד""ה שפיר. אלא כדרך אכילתן. </b>ובדר""ז איתא הלשון שלא כדרך הנאתן. ונ""ל דמפרש החילוק דבין לישני דריו""ח הוא בזה דלל""ק לא פטר אלא דומיא דאכל חלב חי דמשמע דדרך לאכלו בטיגון והוא אכלו חי והרי שינה בדרך אכילתו. אבל בהניח חלב של שה""נ ע""ג מכתו לא שינה מכדרכו בהנאה זו. אלא שעומד להנאות אחרות. ולכן לל""ק חייב בזה ולל""ב פטור. לזאת לפי ס""ד דר""ז דהא דפטור על מי פירות של ערלה מפני שעומדין לאכילה ואע""ג דבשתיה שתאן כדרכן הוה שפיר סייעתא לל""ב דאין לוקין אלא דרך הנאתן. אבל אם היה תני דבאכלן מבושלין דפטור הרי אכלן שלא כדרך אכילתן לא הוה סייעתא רק לל""ק להכי דייק רש""י לומר כדרך אכילתן. בינה זאת. ועמל""מ בפ""ה מהל' יסה""ת שהאריך בביאור גמרא זו:"
Rashash on Pesachim 24b:2,"<b>רש""י ד""ה כה""כ. דמשמע לא תהנה כו'. ופן לאו הוא. </b>אינני מבין דכל פן שבתורה מובנו שלא תעשה הדבר הבא אחריו כמו פן תעלה עולותיך בכ""מ אשר תראה ביאורו שלא תעלה פן תעזוב את הלוי שלא תעזוב וכן כולם. וא""כ גם פן תקדש פירושו שלא תקדש ויהיה המכוון בו שלא תזרענו כלאים שלא יבא לידי קידוש ויהיה לפ""ז אזהרה שניה על זריעת כלאים בכרם. ובמכות לא חשיב זריעת כלאים בכרם אלא ללאו אחד (במשנה דיש חורש תלם אחד). ואולי דרשינן ליה באא""ע לזורע תנהו ענין לנהנה ולא מוקמינן בלאוי יתירי כדלעיל:"
Rashash on Pesachim 24b:3,"<b>תוס' ד""ה אלא </b>(בסופו). מיהו תימה כו'. עי' (ברכות לט) בתוד""ה מיא דסילקא וברא""ש שם ובמש""כ בעז""ה בסוף ערלה ויתיישב התימה:"
Rashash on Pesachim 24b:4,"<b>תוס' ד""ה אמרת וכו'. וגלי לן ק""ו כו' ולא מנבלה. </b>הגרי""פ הגיה מטרפה לחנם דפשוט דנקטי לישנא דהש""ס לקמן וע""ש בפרש""י וכן בתחלת דבריהם נקטו ב""פ נבלה ולא הגיה שם:"
Rashash on Pesachim 24b:5,"<b>תוס' ד""ה הכל מודים. </b>עיין מל""מ בפ""ה מהל' יסוה""ת שהאריך הרבה בדבריהם:"
Rashash on Pesachim 25a:1,"<b>רש""י ד""ה מנבלה. ל""ד קאמר כו'. </b>כה""ג כתבו התוס' (בחולין כ סע""א"
Rashash on Pesachim 25a:2,"<b>בא""ד וי""מ כו' ואין נ""ל כו'. </b>לע""ד תמוה דממ""נ אי דבריו אליבא דריו""ח שם הא ס""ל דמדאורייתא אפי' באכילה מותר ואין בהם אלא מצות פרוש בלבד וקרא אסמכתא בעלמא ואי לר""ל שם אליבא דר""מ מטמא נמי ע""ש כל הסוגיא:"
Rashash on Pesachim 25a:3,"<b>רש""י ד""ה המעביר. פחות כ""ש מותר דיש בו כו'. </b>הלשון תמוה דבפחות כ""ש ממש עדיין אין בו מאתים של היתר. ונ""ל לסרס התיבות וכצ""ל פחות כ""ש דיש בו (ר""ל באופן שיש בו) כו' מותר. ולשונו בחולין וכגון שיש כו' מותר. ודע דלר' יהושע בתרומות (פ""ד מ""ז) באמת מותר בפחות כ""ש ממש וכמו שפי' הר""ש והרע""ב בפ""ב דערלה מ""ג ועמש""כ שם. אלא דהוא ז""ל רוצה לפרש אליבא דר""א בתרומות שם דהל' כוותיה:"
Rashash on Pesachim 25a:4,"<b>תוס' ד""ה מה לערלה. והענף עצמו א""נ אלא כו'. </b>ל""ד דהעץ אינו נאסר אלא דר""ל הפרי שבענף:"
Rashash on Pesachim 25a:5,"<b>תוס' ד""ה חוץ. סמא אסקיה. </b>כצ""ל בלא ו':"
Rashash on Pesachim 25b:1,"<b>תוס' ד""ה אף </b>(בסופו). דלמ""ל ל""ע מעשה כיון שתוקעין אותו דאין קישוי אלא לדעת. כצ""ל:"
Rashash on Pesachim 25b:2,"<b>תוס' ד""ה לא. </b>מש""כ המהרש""א וה""ה דהמ""ל כו' ואביי אמר ע""כ ל""א ר""י כו'. ל""י מהיכא פסיקא ליה דילמא ל""ק ס""ל דלכ""ע בין לאביי בין לרבא לר""י אסור וכסוגיא דכתובות. גם מש""כ בא""ד דהמ""ל דההיא סוגיא כל""ק דהכא צריך להוסיף ע""ד וכרבא לפמש""כ בעצמו:"
Rashash on Pesachim 26a:1,"<b>גמרא דתניא אר""ש ב""פ אריב""ל כו'. </b>נראה דט""ס הוא וצ""ל דאמר רשב""פ כו' כדלעיל ובכריתות:"
Rashash on Pesachim 26a:2,"<b>גמ' דכתיב ושמו כו'. שלא יהנה. </b>נ""ל דדריש ושמו בשי""ן ימנית ומלשון שם וכמו דדרשינן והניחם שם מלמד שטעונין גניזה וכן בעגלה ערופה דרשינן משם שם תהא קבורתה. (וביומא נד) א""ל הכא כתיב שם ור""ל דמשמעו לעולם:"
Rashash on Pesachim 26a:3,"<b>רש""י ד""ה וריח. יש בו ממש כו' במריח בה בביתו. </b>הא דלא מוקי לה בקודם שתעלה תמרתו הוא משום דלאביי דוקא לאותן העומדים בחוץ:"
Rashash on Pesachim 26a:4,"<b>רש""י ד""ה תה""ד. נוטל מלא מחתה. </b>וכן לשונו ביפה""ת ר""פ צו ושיגרא דלישנא דקרא בר""פ אחרי גבי גחלים דיוה""כ נקיט. אבל תה""ד אמרינן (ביומא כד) דסגי בקומץ ולא מצאנו שתהא מצותה אפי' לכתחלה במלא המחתה:"
Rashash on Pesachim 26a:5,"<b>רש""י ד""ה הכניסה לרבקה. שקושרין ד' פרות ביחד. </b>הוא ממשנה רפ""ב דעירובין בדברי ר""י אבל בדברי ר""מ איתא שם ג' ג' בקר:"
Rashash on Pesachim 27a:1,"<b>רש""י ד""ה הני קערות. שצרפן בעצי אשרה. </b>ל""י למאי דייק לומר אשרה דאפרן אסור כדלקמן כיון דאליבא דרבי קיימינן דס""ל יש שבח עצים דערלה ודכה""כ נמי. וכן לקמן בד""ה קדרה סתם וכתב בעצי איסור:"
Rashash on Pesachim 27b:1,"<b>גמרא ושמו שלא יפזר. </b>מפיה""מ להרמב""ם בסוף תמורה ובחבורו ספ""ב מה' תומ""ס נראה שהיה גורס שלא יתפזר. וכן העתיקו התוס' (ביומא נט ב) ד""ה והרי. ובזה אתיא לנכון הלמוד שטעונין גניזה ועמש""כ לעיל (כו):"
Rashash on Pesachim 27b:2,"<b>גמ' לא מצא עצים כו'. </b>עמש""כ (בשבת סו) בס""ד:"
Rashash on Pesachim 27b:3,"<b>רש""י ד""ה שאם לא מצא. לצאת בשיירא או העושה את ביתו אוצר בתוך ל' כו'. </b>כצ""ל. והש""א בתשו' ע""ז העתיקו כמ""ש לפנינו אך בלא מלת או:"
Rashash on Pesachim 27b:4,"<b>רש""י ד""ה ודנו דין אחר. אלא גז""ש. </b>ל""ד שאינו אלא במה מצינו (ועי' ביצה יב ב) במשנה ובפירש""י:"
Rashash on Pesachim 28a:1,"<b>במשנה שנא' לא יראה לך שאור. </b>ברי""ף ורא""ש הגי' חמץ ועי' לקמן (כט) ויליף שאור דאכילה משאור דראיה ובפירש""י ובמשנה שבירושלמי ל""ג אלא ל""י לך לחוד:"
Rashash on Pesachim 28b:1,"<b>רש""י ד""ה לקובעו חובה. האי ז""י תאכל עליו מצות כו'. </b>כצ""ל וכדפי' בסוה""ע:"
Rashash on Pesachim 28b:2,"<b>תוס' ד""ה ר""ש. וי""ל דגזרינן שמא יאכלנו. </b>ק""ק א""כ לר""ש הל""ל תולין כל שש ויאכיל לבהמתו דהוי כמו גזירה לגזירה:"
