Hebrew,English
שיכתוב המלך ס"ת שני לעצמו,<English Translation Here>
שלא ינחל שבט לוי בארץ ישראל,<English Translation Here>
שלא יקח שבט לוי חלק בביזה,<English Translation Here>
לתת זרוע ולחיים וקיבה לכהן,<English Translation Here>
להפריש תרומה גדולה לכהן,<English Translation Here>
לתת לכהן ראשית הגז,<English Translation Here>
שתהיינה המשמרות שוות ברגלים,<English Translation Here>
שלא לקסום,<English Translation Here>
שלא לכשף,<English Translation Here>
שלא לחבר חבר,<English Translation Here>
שלא לשאול בבעל אוב,<English Translation Here>
שלא לשאול בידעוני,<English Translation Here>
שלא לדרוש אל המתים,<English Translation Here>
לשמוע אל הנבי' אמת,<English Translation Here>
שלא להתנבא בשקר,<English Translation Here>
שלא להתנבא בשם ע"ז,<English Translation Here>
שלא לגור מהריגת נביא השקר,<English Translation Here>
להפריש ערי מקלט,<English Translation Here>
שלא לחוס על הרוצח וחובל,<English Translation Here>
שלא להשיג גבול,<English Translation Here>
שלא יקום דבר העדות בעד אחד,<English Translation Here>
לעשות לעד זומם כאשר זמם,<English Translation Here>
שלא לערוץ ולפחד במלחמה,<English Translation Here>
למשוח כהן למלחמה,<English Translation Here>
לשלוח שלום לערים שצרים עליהן,<English Translation Here>
שלא להחיות נשמה מז' עממין,<English Translation Here>
שלא להשחית אילני מאכל,<English Translation Here>
לערוף את העגלה בנחל,<English Translation Here>
שלא לעבוד ולזרוע באותו קרקע,<English Translation Here>
לדון יפת תואר ככתוב בתורה,<English Translation Here>
שלא למכור יפת תואר,<English Translation Here>
שלא להעבידה אחר שבעלה,<English Translation Here>
לתלות המחוייב לתלות,<English Translation Here>
שלא להלין התלוי,<English Translation Here>
לקברו בו ביום וכן כל המתים,<English Translation Here>
להשיב אבידה לישראל,<English Translation Here>
שלא להעלים עיניו ממנה,<English Translation Here>
שלא להניח בהמת חבירו נופלת תחת משאה,<English Translation Here>
לטעון המשא שנפל עם חבירו,<English Translation Here>
שלא תלבש אשה עדי איש,<English Translation Here>
שלא ילבש איש מלבושי אשה,<English Translation Here>
שלא ליקח אם על בנים,<English Translation Here>
לשלוח האם אם לקחה על הבנים,<English Translation Here>
לעשות מעקה לגגו,<English Translation Here>
שלא להניח מכשול,<English Translation Here>
שלא לזרוע כלאים בכרם,<English Translation Here>
שלא לאכול כלאי הכרם,<English Translation Here>
שלא לעשות מלאכה בב' מיני בהמות,<English Translation Here>
שלא ללבוש שעטנז,<English Translation Here>
לישא אשה בכתובה וקדושין,<English Translation Here>
שתשב אשת מוציא שם רע תחתיו,<English Translation Here>
שלא יגרשנה כל ימיו,<English Translation Here>
לסקול המחויב בב"ד,<English Translation Here>
שלא לענוש האנוס בחטא,<English Translation Here>
שישא האונס אנוסתו,<English Translation Here>
שלא יגרשנה כל ימיו,<English Translation Here>
שלא ישא סריס בת ישראל,<English Translation Here>
שלא ישא ממזר בת ישראל,<English Translation Here>
שלא יבוא עמוני ומואבי בקהל ה',<English Translation Here>
שלא לדרוש שלומם במלחמה,<English Translation Here>
שלא להרחיק אדומי דור שלישי מלבא בקהל,<English Translation Here>
שלא להרחיק מצרי דור שלישי,<English Translation Here>
שלא יכנס טמא להר הבית,<English Translation Here>
להתקין מקום להפנות בו,<English Translation Here>
להתקין יתד לחפור בו כנ"ל,<English Translation Here>
שלא להסגיר עבד שברח אל אדוניו,<English Translation Here>
שלא להונות עבד הנצל אלינו,<English Translation Here>
שלא לבעול אשה בלא כתובה וקדושין,<English Translation Here>
שלא להקריב אתנן זונה ומחיר כלב,<English Translation Here>
שלא יתן הלוה ריבית לישראל,<English Translation Here>
להלוות לנכרי ברבית,<English Translation Here>
שלא לאחר נדריו יותר משלשה רגלים,<English Translation Here>
לקיים מוצא שפתיו כמו שנדר,<English Translation Here>
להניח השכיר לאכול מהמחובר שעושים בו,<English Translation Here>
שלא ליקח הפועל בידו יותר על אכילתו,<English Translation Here>
שלא יאכל הפועל בשעת מלאכה,<English Translation Here>
לגרש בגט,<English Translation Here>
שלא יחזיר גרושתו משנשאת,<English Translation Here>
שלא יצא החתן מביתו כל השנה אפי' לצרכי צבור,<English Translation Here>
שישמח החתן עם אשתו שנה אחת,<English Translation Here>
שלא ימשכן בחובו כלים שעושים בהם אוכל נפש,<English Translation Here>
שלא לתלוש סימני צרעת,<English Translation Here>
שלא למשכן בעל חוב בזרוע,<English Translation Here>
שלא למנוע המשכון מבעליו העני,<English Translation Here>
להחזיר המשכון לבעלים בעת שצריך לו,<English Translation Here>
לתת שכר שכיר ביומו,<English Translation Here>
שלא יעיד קרוב זה אל זה,<English Translation Here>
שלא להטות משפט גר ויתום,<English Translation Here>
שלא למשכן בגד אלמנה,<English Translation Here>
להניח לעניים השכחה,<English Translation Here>
שלא ישוב לקחת השכחה,<English Translation Here>
להלקות לרשע,<English Translation Here>
שלא להוסיף להכותו,<English Translation Here>
שלא לחסום בהמה בשעת מלאכתה,<English Translation Here>
שלא תינשא היבמה לאחר עד שתחלץ,<English Translation Here>
מצות יבום,<English Translation Here>
מצות חליצה,<English Translation Here>
להציל הנרדף בנפשו של רודף,<English Translation Here>
שלא לחוס על הרודף,<English Translation Here>
שלא להשהות משקלות ומדות חסרות,<English Translation Here>
לזכור מה שעשה לנו עמלק,<English Translation Here>
למחות זרעו מן העולם,<English Translation Here>
שלא לשכוח מה שעשה לנו,<English Translation Here>
לקרות על הבכורים ככתוב,<English Translation Here>
להתודות וידוי מעשר,<English Translation Here>
שלא לאכול מעשר שני באנינות,<English Translation Here>
שלא לאכלו בטומאה,<English Translation Here>
שלא להוציא דמיו אלא באכילה ושתיה,<English Translation Here>
ללכת ולהדמות בדרכי השם יתברך,<English Translation Here>
להקהיל כל ישראל בחג הסוכות,<English Translation Here>
לכתוב כל אחד ספר תורה לעצמו,<English Translation Here>
