Lekach Tov,Perek+Pasuk
"@55פס'. @11וראה הכהן את הנגע. @22 @45(כ)@46 שיהא נותן עיניו בו בשעה שהוא רואה את הבשר עמו כאחת כדי להבחין בין לובן הנגע ללובן הבשר. ושער. מיעוט שתי שערות. בנגע. להביא את שבתוך הנגע ושוכב חוצה לו ולהוציא את שחוצה לו ושוכב בתוכו שהכל הולך אחר (הגזע) [הנגע] לפיכך נאמר ושער בנגע הפך לבן. מכאן אמרו אם בהרת קדמה לשער לבן טמא ואם שער לבן קדם לבהרת טהור ספק טמא. ר' יהושע אומר כהה. פירוש מאי כהה טהור. ד""א ושער בנגע הפך לבן @45(כא)@46 שאם עיקרו של שער מלבין ועקרו משחיר. לבן. כל שהוא לבן ולא אדום ולא ירוק ולא צהור. ומראה הנגע עמוק אין מראה שער לבן עמוק מעור בשרו שעורו שחור לגבי הנגע כמראה חמה העמוקה מן הצל. @45(כב)@46 ומראה הנייר עמוק מן הדיו. וראה. שיראהו כולו כאחת. שאם היה בראש חוטמו שופעות אילך ואילך אינו טמא מכאן אמרו עשרים וארבעה אברים באדם אינן מטמאין במחיה ראשי אצבעות ידים ורגלים וראשי אזנים וראש החוטם וראש הגויה וראשי דדים שבאשה לפי שהם חדים ואינו נראה כולו. וטמא אותו. @45(כג)@46 על פי הכהן:",13:3
@55פס'. @11ואם בהרת לבנה היא. @22מלמד שאין למעלה הימנה בנגעים ולבנוניתה כשלג שנא' (במדבר יב) והנה מרים מצורעת כשלג. ואם תאמר הא כתיב שאת לבנה. (בבא) [הכא] כתיב בהרת לבנה היא ואין כמוה. הפתוך כשלג ביין המזוג. הפתוך שבסיד כדם המזוג בחלב שאינו לבן כל כך. ושערה. כולה ולא מקצתה. לא הפך לבן והסגיר. הא אם יש בה שער שחור אינו ממעטה. והסגיר הכהן את הנגע @45(כד)@46 שבעת ימים. תחלה:,13:4
@55פס'. @11וראהו הכהן ביום השביעי. @22ביום ולא בלילה שאין רואין את הנגעים אלא ביום. ואין רואים את הנגעים לא ביום המעונן ולא בין הערבים מפני שכהה נראית עזה. ולא בצהרים מפני שעזה נראית כהה וכל שכן בלילה דכתיב ביום השביעי. אימתי רואין אותן בשלשה שעות בארבעה בחמשה בשבע בשמנה בתשעה. כהן הסומא באחת מעיניו או שכהה מאור עיניו אינו רואה את הנגעים. מה יום שיהא מאורו לא הרבה ולא מעט אף מראה עיני הכהן שלא נתמעט אורו רואה. והנה הנגע עמד בעיניו. שאם העז והכהה או כהה והעז. לא פשה הנגע בעור. שאם פשה וכנס כאלו לא פשה. והסגירו הכהן שבעת ימים. שיום שביעי עולה לו מן המנין בין מלפניו בין מלאחריו:,13:5
"@55פס'. @11וראה הכהן אותו ביום השביעי שנית. @22כהן שהוא רואהו בראשונה רואהו בשניה. ואם מת רואהו כהן אחר. והנה כהה. שאם העז וכהה כאלו לא העז. לא פשה הנגע. שאם כנס ופשה כאלו לא כנס. הנגע. שאם פשה וכנס כאלו לא פשה. אם נאמרו בשבוע ראשון למה נאמר בשבוע שני אלא בבגדים העומד בראשון מסגיר ובשני שורף. ובאדם העומד בראשון מסגיר ובשני פוטר @45(כה)@46 צריך לומר בשבוע הראשון ובשבוע השני. וטיהרו הכהן מספחת היא. אע""פ שנשתנו מראיה. וכבס בגדיו וטהר. מלטמא משכב ומושב ומלטמא בביאה. וטהר. מן הפריעה ומן הפרימה. ומן התגלחת ומן הצפרים:",13:6
"@55פס'. @11ואם פשה תפשה המספחת בעור אחרי הראוהו אל הכהן לטהרתו ונראה שנית אל הכהן. @22 @45(כו)@46 יכול יהא (הפשחן) [הפשיון] מטמא בתחלתה ת""ל אחרי הראוהו אל הכהן. יכול אם ראהו כהן שהוא פושה והולך יזקק לו ת""ל לטהרתו הא אינו נזקק לו אלא משעה שהוא רואה אותו @45(כז)@46 בראשונה רואהו בשניה ואם מת רואהו כהן אחר:",13:7
@55פס'. @11וראה הכהן והנה פשתה המספחת. @22הרי זה בא ללמד על הפשיון (כח) שאם נשתנו מראיו יהא טמא. וטמאו הכהן צרעת היא. לימד על הפשיון שלא יטמא אלא בד' מראות:,13:8
"@55פס'. @11נגע צרעת כי תהיה באדם והובא אל הכהן. @22בא ללמד על השאת. שנאמר וראה הכהן והנה שאת לבנה. למדנו לשאת שהיא מטמא במחיה, ד""א נגע צרעת לפי שאמר למעלה ואם בהרת לבנה היא בעור בשרו בא ללמד על השאת @45(כט)@46 שבא בכולו. כי תהיה. מן הדבור ואילך להביא. [באדם. לרבות] @45(ל)@46 את הבא בכולו:",13:9
"@55פס'. @11וראה הכהן והנה שאת לבנה. @22שתהא המחיה מטמאתו לפי שאמרו רבותינו ז""ל שהנגעים באין על חטא. ולפי שנראה לו נגע ולא חזר בו מתוסף לו נגע אחר ומנין שהכהן נזקק לו לראותו ת""ל וראה הכהן והנה שאת לבנה. והיא הפכה שהפכתו כולה כיצד בהרת כחצי גריס ובה שתי שערות. נולדה בהרת בחצי גריס ובה שערה אחת הרי היא להסגיר. ומחית בשר חי בשאת. (יכלכל) [יכול כל] שהוא. ת""ל שער לבן, ומחית בשר חי. מה שער לבן מקום שתי שערות אף במחיה מקום שתי שערות:",13:10
"@55פס'. @11@45(לא)@46 צרעת נושנת היא. @22[אינה] צריכה דבר אחר לסעדה. אם כן למה נאמר שער לבן ומחית מלמד שלא תהא טמאה עד שיהא בה כדי לקבל שער לבן ומחיה. יכול שער לבן מצד זה ת""ל בשאת שתהא מבוצרת בשאת. נמצאו מקום שתי שערות מימינה מקום שתי שערות משמאלה וכן למעלה הימנה וכן למטה הימנה מרובעת שלשים ושתים שערה נמצא גופה של בהרת @??[א]@?? כגרים זה*. פירוש לפי שד' פעמים ד' לצדדי המחיה וד' פעמים ד' לצדדי השאת הכל ל""ב והם מקום גריס פול מקום ל""ב שערות מחזיק פול. וממנו למדנו לכל הנגעים להיות שיעורן כגריס. וטמאו הכהן לא יסגירנו. @45(לב)@46 למדנו שאין מסגירין את המוחלט. כי טמא הוא. למדנו לכל הנקרא טמא אינו זוקק לו:",13:11
"@55פס'. @11ואם פרוח תפרח. @22 @45(לג)@46 אפילו פורחת וחוזרת ופורחת מעט מעט. הצרעת. לרבות כל מיני הצרעת שאם פרחה בכולו טהור. את כל עור הנגע. עור שראוי לקבל נגע כגריס יכול תוך ראשו ותוך רגליו ת""ל מראשו ועד רגליו. מראשו. להוציא תוך ראשו. ועד רגליו. להוציא תוך רגליו. לכל מראה עיני הכהן. פרט לבית הסתרים:",13:12
@55פס'. @11וראה הכהן והנה כסתה הצרעת. @22בא ללמדינו @45(לד)@46 על כל מיני צרעת שם פרחה בכולו טהור. את כל בשרו. שלא ישאר בבשרו אפי' כחצי עדשה שאם חזר הראש והזקן ונקרחו השחין והמכוה והקרח ונעשו צרבת טמא שנא' את כל בשרו עד שתפרח בכולו שנא' כלו הפך לבן טהור הוא לרבות מחיה בין בתחלה בין בסוף:,13:13
@55פס'. @11וביום הראות בו בשר חי יטמא. @22הרי זה בא ללמד על ראשי אברים שנתגלו שיהו טמאים יכול כל שהן נאמר כאן בשר חי @45(לה)@46 ונאמר להלן בשר חי. מה להלן בעדשה אף כאן בעדשה דברי רבי יוסי רבי מאיר אומר גזירת מלך היא אפי' בכל שהוא. וביום. מלמד שנותנין לו שני ימים לביתו ולכסותו שני ימים וששה והוא הרי ז' ימים כדתנן במסכת נגעים חתן שנראה בו נגע נותנין לו שבעת ימי המשתה לו ולביתו ולכסותו וכן ברגל נותנין לו כל ימי הרגל דאתי בקל וחומר מפנוי את הבית בטרם יבא הכהן אם לדבר הרשות כן לדבר מצוה לא כל שכן. הראות בו בשר חי יטמא. בשר חי החוזר טמא @45(לו)@46 אין הבוהק החוזר טמא:,13:14
@55פס'. @11וראה הכהן את הבשר החי וטמאו הבשר החי טמא הוא. @22לרבות אחר פריחת החלט @45(לז)@46 שער לבן בתחלה וכו' ברייתא. צרעת הוא טמא הוא. הבא בכולו לבן שחזרו בו בראשי אברים בין מתוך החלט בין מתוך הסגר:,13:15
@55פס'. @11או כי ישוב הבשר החי וגו'. @22הרי זה בא ללמד על ראשי אברים שנתגלו וחזרו ונתכסו שיהו טהורין. או כי. לרבות אפי' פעמים ושלש. ונהפך ללבן. אפילו למראה בוהק:,13:16
@55פס'. @11וראה הכהן והנה נהפך הנגע ללבן וגו'. וטמא הכהן אותו. @22ללמד אחר חזירת פריחת החלט שהוא טהור וכו'. ברייתא. ובשר כי יהיה בו בעורו שחין ונרפא. למדה פרשה זו שאם שם את לבו כבשר וחזר בתשובה שהוא נרפא. שחין ונרפא. @45(לח)@46 לא שעשה צלקת אלא נרפא ולא נרפא שקרם כקליפת השום:,13:17
@55פס'. @11והיה במקום השחין שאת. @22 @45(לט)@46 שיקרום השחין לשאת לא שתקרום השאת לשחין. שחין שחין. לרבות כל מיני שחין בין שלקה בעין ובאבן בגפת במי טבריה וכל שאינן מחמת האש. או בהרת לבנה אדמדמת. מלמד שהיא מטמאה בפתוך שיכול השאת @45(מ)@46 תטמא חלקה והבהרת תטמא בפתוך:,13:19
@55פס'. @11וראה הכהן והנה מראה שפל מן העור. @22שכהה מן העור. ושערה הפך לבן נגע צרעת היא בשחין פרחה. אבל לא בעור הבשר:,13:20
@55פס'. @11ואם יראנה הכהן. @22כולה כאחת. ואין בה. @45(מא)@46 ולא בחוט היוצא ממנה. והסגירו הכהן שבעת ימים. תנן התם במסכת נגעים עור הבשר. מטמא בשני שבועות בשלשה סימנין. בשער לבן ובמחיה ובפשיון וכו'. ותנן השחין והמכוה. מטמאין בשבוע אחד בשני סימנין בשער לבן ובפשיון:,13:21
@55פס'. @11ואם פשה תפשה בעור. @22החליטו בשער לבן. הלך שער לבן וחזר שער לבן וכן במחיה ובפשיון בתחלה בסוף שבוע ראשון בסוף שבוע שני לאחר הפטור הרי הוא כמות שהיה עד שהחליטו בפשיון. הלך הפשיון וחזר הפשיון שנאמר ואם פשה תפשה. וטמא אותו. הודאי מטמא ואינו מטמא את הספק. כיצד שנים שבאו אצל הכהן בזה בהרת כגריס ובזה בהרת כסלע. בסוף בשבוע בזה כסלע ובזה כסלע ואין ידוע באיזה מהם פשה טהור:,13:22
@55פס'. @11ואם תחתיה תעמוד הבהרת. @22אינה פושה לא בעור הבשר ולא בעור המכוה. צרבת השחין היא. מקומה צרוב שיהא מקומה ניכר. וטיהרו הכהן. את הודאי הוא מטהר ולא את הספק כיצד וכו'. @45(מב)@46 כענין של מעלה:,13:23
"@55פס'. @11או בשר כי יהיה בעורו מכות אש. @22מלמד שאין השחין והמכוה מצטרפין זה עם זה. מכות אש. אין לי אלא שנכוה באש בגחלת ברמץ בסיד רותח בגפסוס רותח מנין ת""ל מכות אש. מכוה ריבה. והיתה מחית המכוה וגו'. מלמד שהוא מטמא בפתוך, ומנין לרבות שאר המראות ת""ל או לבנה. וראה אותה הכהן. במראה שלם. והנה נהפך שער לבן בבהרת כענין של מעלה וכו' קרא:",13:24
@55פס'. @11ואם יראנה הכהן. @22כולה כאחת. והנה אין בבהרת שער לבן. זהו שאמרו רבותינו לרבות את החוט שיש בו רוחב שתי שערות. במסכת נגעים בפרק רביעי בהרת כגריס וחוט יוצא ממנה אם יש רוחב שתי שערות זוקקה לשער לבן ולפשיון. ושפלה איננה מן העור. והיא זו היא שאמרו לרבות את השוה לגבוה:,13:26
"@55פס'. @11וראהו הכהן ביום השביעי אם פשה תפשה בעור. @22אין לי אלא פשיון מטמא אלא בסוף שבוע ומנין לרבות אף לאחר הפטור ת""ל ופשה. ואם פשה יפשה החליטו בשער לבן הלך שער לבן וחזר שער לבן וכן בפשיון. וטמא הכהן אותו נגע צרעת היא. מה ת""ל צרעת צרעת ליתן האמור בשחין במכוה ואת המכוה בשחין:",13:27
"@55פס'. @11ואיש. @22אין לי אלא איש אשה מנין לרבות טומטום ואנדרוגינוס ת""ל איש או אשה כי יהיה בו נגע @45(מג)@46 להביא את שניתק נתק בתוך נתק. בראש או בזקן. מלמד שאין הראש והזקן מצטרפין זה עם זה:",13:29
@55פס'. @11וראה הכהן את הנגע והנה מראהו עמוק מן העור. @22 @45(מד)@46 אין לי עמוק אלא דבר שהוא בידי שמים. ובו. להביא את שבתוכו וסובב חוצה לו ושער מועט. שער. שתי שערות. צהוב. לא ירוק ולא אדום ולא שחור. דק. לקוי קצר. @45(מה)@46 וטמא אותו הכהן נתק הוא. אינו מטמא מקום הבהרת:,13:30
"@55פס'. @11וכי יראה הכהן את נגע הנתק. @22א""ר שמעון מה ת""ל נגע נתק הקיש נגע לנתק מה נגע שער לבן שבו אינו מטמא אלא הפוך אף נתק שער צהוב שבו לא יטמא אלא הפוך. ד""א הקיש נגע לנתק מה נגע כגריס אף נתק כגריס. ושער. מיעוט שער שתי שערות. ד""א ושער לרבות את הירוק והאדום. ואם כן למה נאמר שחור השחור מציל והצהוב אינו מציל. אין בו. עד שיהא מבוצר בו. מכאן אמרו שני נתקים זה בצד זה ושיטה של שער מפסקת ביניהם נפסק ממקום אחד טמא ומשני מקומות טהור. כמה יהא בפריצת מקום שתי שערות. והסגיר הכהן את נגע הנתק שבעת ימים. תחלה:",13:31
@55פס'. @11וראה הכהן את הנגע ביום השביעי. @22ביום ולא בלילה. והנה לא פשה הנתק ולא היה בו שער צהוב. הא אם קדם הנתק טמא:,13:32
"@55פס'. @11והתגלח. @22גימ""ל גדול @45(מו)@46 והתגלח בכל אדם והתגלח בכל דבר. והתגלח אע""פ שהוא נזיר. מהו ואת הנתק לא יגלח. לימד שלא תהא תגלחת הנזיר דוחה לתגלחת הנתק בזמן שהוא ספק. ד""א ואת הנתק לא יגלח סמוך לנתק לא יגלח הא כיצד מגלח חוצה לו ומניח שתי שערות סמוך לו כדי שיהא ניכר אם פשה. ואת הנתק לא יגלה. מלמד על תולש סימני טהרה מתוך הנתק שהוא עובר בלא תעשה:",13:33
@55פס'. @11וראה הכהן את הנתק ביום השביעי והנה לא פשה הנתק. וכבס בגדיו וטהר. @22וטהר מלטמא משכב ומושב ומלטמא בביאה. וכבס בגדיו. כל מקום שזוקק לכיבוס זקוק לטבילה:,13:34
@55פס'. @11ואם פשה יפשה הנתק בעור אחרי טהרתו. @22לאחר הפטור:,13:35
@55פס'. @11וראהו הכהן והנה פשה הנתק לא יבקר הכהן לשער הצהוב. @22שטימא שלא בפשיון. @45(מז)@46 ולפשיון שטימא בשער הצהוב:,13:36
"@55פס'. @11ואם בעיניו כענין שראהו בתחלה. ושער. מיעוט שער שתי שערות שהן מתערבות זו בזו ונימה אחת מתערה. וכן אמרו רבותינו ז""ל במסכת נדה שתי שערות האמורות בפרה אדומה @45(מח)@46 וכן שבבן וכן בנגעים. ושער שחור צמח בו. אע""פ מבוצר. נרפא הנתק. הלל אומר לא שינתק נתק בתוך נתק. טהור הוא. יכול יפטר ילך לו ת""ל וטיהרו הכהן, או טיהרו הכהן על דבר זה עלה הלל מבבל ועל כיוצא בו אמר שלמה (משלי ב) אם תבקשנה ככסף וכמטמונים תחפשנה:",13:37
@55פס'. @11ואיש או אשה. @22לרבות טומטום ואנדרוגינוס:,13:38
"@55פס'. @11וראה הכהן בוהק הוא טהור הוא. @22יכול ולא יטמא משום אום @45(מט)@46 פירוש עיקר אבל יטמא משום פשיון ת""ל בעור טהור הוא:",13:39
"@55פס'. @11ואיש כי ימרט ראשו קרח הוא טהור הוא. @22 @45(נ)@46 ואין הזקן מעכבו שאם היה בו נתק כגריס ונתק ראשו טהור. יכול יהא הזקן מעכבו כשם שעור הבשר אם יש בו דבר אחר מפסיק מעכבין זה את זה כך הראש והזקן מעכבין זה את זה @45(נא)@46 ת""ל ראשו ראשו (ראשו) טהור הוא ואין הזקן מעכבו. אחד האיש ואחד האשה בדין הוא. או @45(נב)@46 לפי שזכר אשה למעלה לא הוצרך לומר למטה:",13:40
@55פס'. @11ואם מפאת פניו. @22כלפי הפנים. ימרט ראשו. אפי' מחמת החולי. גבח הוא. תרגומו גלוש @45(נג)@46 ולהלן הוא אומר שגלשו שנראו שקרקעית הראש נראית כלפי הפנים קרחת בתוך הראש:,13:41
"@55פס'. @11וכי יהיה בקרחת או בגבחת. @22כשם שקרחת בידי שמים טהור אף גבחת בידי שמים טהור. תנו רבנן אי זה היא קרחת ואי זה היא גבחת. מקדקד שופע לאחוריו זו היא קרחת מקדקד שופע לפניו היא גבחת. דבר אחר וכי יהיה בקרחת או בגבחת. מלמד שאין הקרחת והגבחת מצטרפות זו עם זו מנין שאין מפישות זו לזו ת""ל צרעת הראש או הזקן הוא. נגע לבן אדמדם. מלמד שהוא טמא בפתוך. צרעת. מלמד שהיא מטמא במחיה. פורחת. מלמד שהיא מטמאה בפשיון:",13:42
@55פס'. @11וראה אותה הכהן והנה שאת לבנה אדמדמת. @22למדנו לשאת שמטמא בפתוך. כמראה צרעת עור בשר. @45(נד)@46 הרי זו בזו מה זו מטמא חלקה שלא פתוך בה:,13:43
"@55פס'. @11@22אין לי אלא איש אשה מנין ת""ל צרוע בין איש בין אשה ובין קטן אם כן למה נאמר איש לענין של מטה האיש פורע (ופוגם) [ופורם] ואין האשה פורעת (ופוגמת) [ופורמת]. טמא הוא. זה טומאתו על פי כהן @45(נה)@46 ולא שאר הטמאות תהא טומאתן על פי כהן. טמא יטמאנו הכהן. עד שנראה טומאה לכהן. בראשו נגעו. אף אני מביא את הנתקין שבראשן נגען, טמא יטמאנו. הרי זה מרובה שאר טמאות נגעים שיהו על פי כהן:",13:44
"@55פס'. @11והצרוע אשר בו הנגע. @22אע""פ שהוא כהן גדול. בגדיו יהיו פרומים וראשו יהיה פרוע. פרומים קרועים. וראשו יהיה פרוע לגדל שער דברי רבי אליעזר רבי עקיבא אומר נאמר הויה בראש ונאמר הויה בבגדים מה בגדים חוץ מגופו @45(נו)@46 אף בראש חוץ מגופו. ועל שפם יעטה. חופה את ראשו כאבל. מכאן אמרו כל עטיפה שאינה כעטיפת ישמעאלים אינה עטיפה. וטמא טמא יקרא. מכאן אמרו מי שאירע בו דבר צריך להודיע לרבים ורבים מבקשים עליו רחמים. וטמא טמא. אפילו הזב והזבה שאינה יכולה ליטהר היתה מכרזת להודיע לרבים:",13:45
@55פס'. @11כל ימי אשר הנגע בו. @22לרבות שאם קצץ בהרתו במתכוין שהוא טמא. יטמא טמא הוא. שאם קצץ בהרתו אין לו טהרה עד שתפרח בכולו. בדד ישב. לבדד ישב. בדד ישב ולא שני טמאין יחד. מחוץ למחנה מושבו. חוץ לג' מחנות. מכאן אמרו הטמא יושב תחת האילן והטהור עומד טמא. הטהור יושב תחת האילן והטמא עומד טהור ואם ישב טמא וכן באבן המנוגעת:,13:46
"@55פס'. @11והבגד. @22סמך פרשת בגדים לשילוח טמא מכאן אמר רבי יוסי הגלילי מחוץ למחנה מושבו והבגד לימד על הבגדים שהן צריכין שילוח חוץ לשלש מחנות. והבגד. יכול השירים והסיריקון והכלך וצמר הגפן וצמר גמלים וצמר ארנבים ונוצה של עזים ת""ל בבגד צמר או בבגד פשתים:",13:47
"@55פס'. @11או בשתי או בערב. @22יכול שתי וערב שלנפה ולכברה ת""ל לפשתים ולצמר. @45(נז)@46 לא של שער. @45(נח)@46 יכול יהו מטמאין מיד ת""ל בגד מה בגד משתגמר מלאכתו. איזה היא גמר מלאכת השתי משישרה והערב מיד. ובאונין של פשתן משיתלבנו דברי רבי יהודה. יכול יהו מטמאין בכל שהן ת""ל בגד מה בגד משיארג בו ג' על ג' שתי וערב @45(נט)@46 אפילו כולה ערב. או בעור. להוציא עורות הים דומיא דבגד מה בגד מן הגדל בארץ אף כל מן הגדל בארץ. או בכל מלאכת עור. @45(ס)@46 לרבות עורות אהלים:",13:48
"@55פס'. @11@45(סא)@46 והיה הנגע ירקרק. @22יכול כל מראה אדום ת""ל אדמדם אדום שבאדומים. ירקרק או אדמדם. מלמד שאינן מטמאין בפתוך. יכול כשם שאינן מטמאין בפתוך @45(סב)@46 לא יצטרפו זה עם זה ת""ל והיה. ומנין לרבות בגד שיש בו שלשה על שלשה טפחים שלש על שלש אצבעות לעשיר ולעני ת""ל נגע צרעת היא והראה אל הכהן. לרבות את כולן:",13:49
"@55פס'. @11וראה הכהן את הנגע והסגיר את הנגע שבעת ימים. @22תחלה בשביעי יכול בין ביום בין בלילה @45(סג)@46 ת""ל ימים:",13:50
"@55פס'. @11וראה את הנגע ביום השביעי כי פשה. @22זה פשיון הסמוך כל שהוא ומנין לרבות את הרחוק @45(סד)@46 ת""ל בבגד. יכול כל שהוא נאמר כאן נגע ונאמר להלן נגע מה להלן כגריס אף כאן כגריס. צרעת ממארת הנגע. יתן בו מארה ואל תהיה בו: פס'. ושרף את הבגד או את השתי או את הערב בצמר. @22 @45(סה)@46 יכול יביא גיזי צמר ואניני פשתן וישרפם עמה ת""ל היא. היא באש תשרף. אינה צריכה דבר אחר לישרף עמה:",13:51
"@55פס'. @11ואם יראה הכהן והנה לא פשה הנגע. @22הנגע הזכור למעלה. וצוה הכהן. הצווי בכהן והכיבוס בכל אדם. וכבסו את אשר בו הנגע יכול כל הבגד כולו טעון כיבוס ת""ל הנגע הא כיצד יכבס מן הבגד עמו. והסגירו שבעת ימים שנית. מלמד שיום שביעי עולה לו מן המנין בין מלפניו בין מלאחריו:",13:53
@55פס'. @11וראה הכהן אחרי הוכבס את הנגע והנה לא הפך הנגע את עינו. @22 @45(סז)@46 הא אם הפך ולא פשה טמא. באש תשרף. אין לו טהרה בכיבוס. פחתת היא. שהיא בכל מראיה שוקעים. לשון (ישעיה כד) הנס מקול הפחד יפול אל הפחת לשון שקיעה. בקרחתו אלו השחקים. בגבחתו אלו החדשים. מיכן אמרו (סגי) [סגוס] שנראה בו נגע ר' אליעזר בן יעקב אומר עד שיראה באריג ובמוכין. והמתרגם אומר בשחיקותיה או בחדתותיה לפי שהבגד הישן נקרחה צמרתו והחדש יש לו צמרת ואינו דומה לקרחת ולגבחת האדם לפי שאותו תלוי בפאת פנים וזה בצמרת:,13:55
"@55פס'. @11ואם ראה הכהן והנה כהה. @22 @45(סח)@46 כהה למראה שני ולא למראה שלישי. וקרע. יכול קרע קטן כדי לקיים בו מצות קריעה ת""ל אותו. אי אותו @45(סט)@46 יכול ישפצנו וינחנו במקומו ת""ל מן הבגד ינתקנו מן הבגד וישרפנו באש:",13:56
@55פס'. @11ואם תראה עוד בבגד. @22 @45(ע)@46 אין עוד אלא מקומו מלמד שהוא טולה עליו מטלית. פורחת היא. @45(עא)@46 במראה ושלא במראה:,13:56
"@55פס'. @11והבגד או השתי או הערב. @22יכול יקיים בו מצות כיבוס בלבד ת""ל וסר מהם הנגע יכול מצד זה לצד זה בלבד ת""ל מהם עד שיעקר מכולה. וכבס שנית וטהר השניה לטהרו והראשונה להסיר את נגעו:",13:56
@55פס'. @11זאת תורת נגע צרעת בגד הצמר וגו'. @22מקישן לבגד מה בגד מטמא בביאה אף כולן מטמאין בביאה. לטהרו או לטמאו. בארץ ובחוצה לארץ. לטהרו או לטמאו. כשם שמצוה לטהרו כך מצוה לטמאו. מיכן אני למד לכל איסור והיתר שבתורה שכשם שזה מצוה כך זה מצוה ובלבד שתהא הוראה כהוגן. לטהרו או לטמאו. @45(עב)@46 לפי שכתוב למעלה וכבס שנית וטהר. אמר תחלה לטהרו להסמיך טהרה לטהרה:,13:59
@99פרשת זאת תהיה,14:2
"@11כתוב טעמו וראו כי טוב יי אשרי הגבר יחסה בו. מה כתוב למעלה דרשתי את יי וענני ומכל מגורותי הצילני. חונה מלאך יי סביב ליראיו ויחלצם@22 (תהלים ל""ד)",14:2
