number,name,text
54,"
ר' הרץ נפתלי הומברג (הכורם), גליציה (1749-1841)
","
מראשי תנועת ההשכלה היהודית באירופה, איש חינוך, ממקורביו של משה מנדלסון (בנעוריו למד תלמוד אצל ר' יחזקאל לנדא, בעל ה""נודע ביהודה""). לקח חלק בפרוייקט ה""ביאור""- (פירושו של מנדלסון לתורה), 
כתב את הספרים ""אמרי שפר"" ו""בני ציון"", בעניני מוסר ודרך ארץ תוך הדגשת המחוייבות והנאמנות למדינה (אוסטריה). שימש כצנזור על ספרי היהודים מטעם השלטונות האוסטריים (במסגרת תפקידו המליץ לצנזר חלקים מן התלמוד, לסגור ישיבות ולהגביל את השימוש בשפה העברית). בזקנותו כתב פירוש מלא משלו לתורה בשם ""הכורם"".
 
""הכורם"" לספר לדברים
עוד על אודותיו באתר JewishEncyclopedia
 
ליקט וכתב: יוחאי עופרן
"
55,"
ר' דוד צבי הופמן (רד""צ הופמן), הונגריה- גרמניה (1843-1921)
","

ממנהיגי הזרם הניאו-אורתודוכסי בגרמניה בשלהי המאה ה-19, עמד בראש בית המדרש לרבנים בברלין, כתב חיבורים בהלכה, בפרשנות-המקרא ובחקר-התלמוד. 
 
להרחבה: ראו את הערך על אודותיו בויקיפדיה ואת הקישורים שבסופו.
             וכן מאמר על דרכו הפרשנית מאת הרב יובל שרלו, באתר דעת.
"
56,"
ר' יצחק יעקב הורביץ (באר יצחק), גליציה (המאה -19)
","
נצר לשושלת רבנים מפוארת, שימש כאב בית הדין בקהילות צ'שנוב ו-יערסלוב.
ספרו ""באר יצחק"" על פירוש רש""י הובא לדפוס בשנת תרל""ב, שנים אחדות לאחר מותו, ע""י נכדו ר' זאב מאשיל.
"
57,"
ר' ישעיה הלוי הורביץ (של""ה), פראג-טבריה (1558-1630)
","

מרבני אשכנז בראשית המאה ה-17, ישב על כס הרבנות בקהילות רבות ברחבי מזרח-אירופה. כונה השל""ה, ולעתים אף ""השל""ה הקדוש"", על-שם ספרו הגדול ""שני לוחות הברית"".
השל""ה הינו נצר לשושלת רבנים שמוצאה מספרד, בנעוריו למד אצל אביו ובבגרותו למד בישיבתם של המרה""ם מלובלין והמהרש""ל. בערוב ימיו עלה לארץ-ישראל - תחילה קבע מושבו בירושלים ושימש רב לקהילת האשכנזים שבעיר, מאוחר יותר נדד לצפת ואח""כ לטבריה - בה נפטר.
חיבורו שני לוחות הברית הינו ספר הנהגות אשר מציג בערבוביה כללי מוסר, הלכות פסוקות וענייני אמונה והשקפה.
 
עוד על אודותיו באנציקלופדיה היהודית של דעת.
"
58,"
חיים הזז, אוקראינה-ירושלים (1898 - 1973)
","

איש הגות, סופר ומחזאי עברי, חתן פרס ישראל לספרות עברית (1953), ממיסדי האקדמיה ללשון עברית, כיהן כנשיא אגודת הסופרים העבריים.
נולד באוקראינה ובביתו קיבל חינוך יהודי-דתי. בהיותו בן 16 עבר לערים הגדולות (חרקוב, קייב, מוסקבה) כדי להרחיב את אופקיו בלימודי חול. בהיותו בן 23 שימש מורה לעברית עבור פעילים ציונים לפני צאתם לארץ-ישראל.
קרוב לעשור התגורר בפריס, שם כתב את יצירותיו הראשונות (נתפרסמו ב""התקופה"").
ב-1931 עלה לארץ, וקבע מושבו בירושלים. גם אשתו שלחה ידה בכתיבה ונתפרסמה כמשוררת (יוכבד בת-מרים). בשנת תש""ח, שכלו את בנם, נחום זוזיק, בקרבות להגנת ירושלים.
 
להרחבה ראו:
ויקיפדיה, 
"
59,"
ר' וולף (בנימין זאב) היידנהיים (רוו""ה), גרמניה (1832-1757)
","

יהודי-גרמני שהתמסר לחקר המקרא והלשון העברית. נודע כדקדקן וכמומחה בכל הנוגע לטעמי המקרא (התנ""ך הפופולארי בהוצאת הרב קורן נסמך במידה רבה על גרסאותיו), וכבקי גדול בפיוטים.
בשנת תקנ""ט הקים בית דפוס בעיירה רדלהיים שבפאתי פרנקפורט ובו הוציא לאור ספרי תנ""ך, סידורי תפילה, מחזורים וספרי פיוטים, שאת חלקם ערך בעצמו. בגלל צווי הגבלה על הדפסת ספרים, לא עלה בידו להדפיס בבית הדפוס שלו את כל החומרים שהיו ברשותו, וביניהם גם ספרים מפרי עטו. לימים, לאחר למעלה ממאה שנות פעילות הוחרב בית הדפוס הזה ע""י הנאצים.
רוו""ה התנגד להדפסת התנ""ך ע""פ החלוקה לפרקים ""שאיננה בשום דפוס קדמון גם לא במקראות כתבי יד"" וראה בה ""הכנסת החול בקודש"".
פירושו למקרא ""הבנת המקרא"" הוא ביאור לדברי הפרשנים הקדומים, ובעיקר לרש""י. בספר זה הוא מנסח מספר כללים פרשניים שלדעתו הנחו את רש""י בפירושו (למשל, הוא מציג בו את טענתו שאם רש""י מביא את דברי חז""ל כפירוש יחידי לפסוק, הוא עושה זאת בגלל שדברים אלו מבוססים על פשוטו של מקרא או על טעמי המקרא או על שניהם יחד).
ברדלהיים, שכיום הינה חלק מפרנקפורט, ישנו רחוב בשם ""וולף היידנהיים"" וברחוב זה שוכן בית הקברות היהודי שבו רוו""ה קבור.
 
בין יתר ספריו: 
 ""תורת הא-להים"", ""הגדה לליל שימורים"", ""משפטי הטעמים"" (על טעמי המקרא).
 
 
ראו עוד על אודותיו באתר JewishEncyclopedia
"
60,"
ר' אליעזר הלוי היילפרין (ביאורי מוהרא""ל), פינסק (המאה ה-19)
","
מחבר ביאורי מוהרא""ל על פירוש רש""י ועל קושיות הרא""ם (בצירוף הערות על מפרשים נוספים).
כתב גם את ""משנת ר' אליעזר"" על פירוש הרמב""ן.
 
(הערה: הספר שו""ת וחידושי המוהרא""ל נתחבר ע""י אדם אחר, ר' אליעזר ליפמן קנביל)
 

כתיבה: יוחאי עופרן
"
61,"
ר' אפרים בן שמשון (רבנו אפרים),  
","
פרשן המקרא. 
פירושו היה מצוי בכתב-יד כ-700 שנה עד שהובא לדפוס.
 
"
62,"
רבנו אשר בן יחיאל (רא""ש), אשכנז וספרד (1250-1327)
","
מגדולי פרשני התלמוד והפוסקים, נחשב לאחד משלשת עמודי ההוראה שעל-פי פסיקתם עוצבה ההלכה היהודית.
 
ראו עוד על אודותיו בויקיפדיה.
"
63,"
פרופ' יוסף היינמן, ירושלים 
","
פרופ' באוניברסיטה העברית, הרבה לעסוק בחקר תולדות התפילה.
 
לקריאה במאמריו באתר דעת.
"
64,"
ר' שמשון רפאל הירש (רש""ר הירש), גרמניה (1808-1888)
","

מהבולטים שבמנהיגי היהדות באירופה במאה ה-19 ומחשובי פרשני המקרא בעת החדשה.
מייסד אסכולת ""תורה עם דרך ארץ"".
 
 
בין ספריו:  
- פירוש לתורה (במקור בגרמנית) - חורב (על טעמי המצוות)- אגרות צפון (על אמונה) - המצוות כסמלים 
              
עוד על אודותיו ומאמרים על השקפתו באנציקלופדיה 'דעת' ובויקיפדיה.
 
 
 
"
65,"
ר' חיים הירשנזון (נמוקי רש""י), צפת-ניו-ג'רזי (1857-1935)
","

נולד בצפת 1856, הוריו מראשוני חיבת ציון (עלו לארץ מפינסק בשנת 1847).
בהיותו בן 8 עברה משפחתו לירושלים והפכה לאחת המשפחות הבולטות בתרומתן לישוב היהודי בירושלים. הוא עצמו הפך שותף פעיל במפעלו של אליעזר בן-יהודה להחדרת הלשון העברית כשפת היהודים. הוא ייסד כתב-עת לחקר היהדות שעסק בעיקר בבעיות אקטואליות, ולימד יהדות בבית הספר ""למל"".
לאחר שהוטל עליו חרם על ידי החרדים היגר לארה""ב ובשנת 1903 השתקע בניו-ג'רזי, שם כתב את מרבית ספריו - אשר מוקדשים, רובם ככולם, לשאלת התאמת התורה והחיים במדינה היהודית העתידה לקום.
לקריאת ספרו: נימוקי רש""י - חלק א'
                  נימוקי רש""י - חלק ב'
                  נימוקי רש""י - חלק ג'
"
66,"
ר' מאיר שמחה הכהן מדוינסק (משך-חכמה), ליטא (1843-1926)
","

מגדולי רבני מזרח אירופה בתקופה שקדמה השואה.מחבר ""אור שמח"" על משנה תורה לרמב""ם. אחרי פטירתו פורסמו חידושיו לתורה בספר ""משך חוכמה"" (""משך"" הם ראשי התיבות של שמו), וחידושיו על התלמוד.
 
ראו עוד על אודותיו בויקיפדיה,וכן מאמרו של הרב ח.ר. רבינוביץ באתר דעת.
"
67,"
ר' דוד הלוי סגל (דברי דוד), אוקראינה-פולין (1586-1667)
","
מגדולי בעלי ההלכה האשכנזים במאה ה-17. מחבר הט""ז (טורי זהב) על כל חלקי השולחן ערוך.
נשא לאישה את בתו של פוסק חשוב אחר, ר' יואל סירקיש, מחבר ה""בית חדש"" (הב""ח).
כתב פירוש על רש""י בשם ""דברי דוד"".
 
עוד על אודותיו
 
כתיבה: יוחאי עופרן
"
68,"
ר' יום טוב ליפמן הלר (תוספות יו""ט), פולין (1579-1654)
","
מגדולי פרשני המשנה.
החל את דרכו בעולם התורה אצל המהר""ל מפראג ובמקביל רכש השכלה במתימטיקה ובאסטרונומיה. מלבד זאת עסק גם בפילוסופיה, בקבלה ובדקדוק. כבר בהיותו בן 18 נתמנה לדיין בבית דינו של המהר""ל, כעבור 30 שנה עבר לניקלשבורג שם שימש כרב הקהילה, ולאחר תקופה קצרה הפך לאב""ד בוינה.
בתקופתו חלו הגבלות על כתיבת ספרים העוסקים בתלמוד ובעקבות הלשנות שונות נאלץ לא פעם לנדוד ממקום למקום, הוא אף נאסר ונגזר עליו עונש מוות על עיסוקו זה, ורק בזכות תחנונים והשתדלות גבירים הוא זכה לחנינה.
ב-1631 הגיע לפולין וגם בה המשיך לנדוד (לובלין, בריסק, נמירוב ולודמיר), אך לבסוף (1643) קבע מושבו בקרקוב והפך לראש הישיבה המקומית.
בין ספריו:
""תוספות יום טוב"" - פירושו המפורסם למשנה, על בסיס פירושו של ר' עובדיה מברטנורא.
""מעדני יום טוב"" ו""דברי חמודות"" - שני פירושים, האחד מבאר את פירוש הרא""ש לתלמוד והשני מקשה על דבריו (ומתרץ). 
""צורת הבית"" - על בנין בית המקדש השלישי.
""אוצרות יום טוב"" - הגיגים ופירושים שונים.
""מגילת איבה"" - אוטביוגרפיה.
 
"
69,"
ר' שמחה ראובן אדלמן לבית אייגש (התירוש), וילנה-ורשה (1821-1892)
","
בלשן ופרשן יליד וילנה. מחבר פירוש ""התירוש"" על מדרש רבה.כונה גם השר בן חיל העדלמי (ראשי תיבות של שמו: שמחה ראובן בן חיים יהודה ליב עדלמן).
רכש את השכלתו התורנית בישיבת וולוז'ין. בהיותו בן 45 נפטרה אשתו והוא החל בנדודיו (בין היתר התגורר בערים טלז, ברסט, קובנה וורשה - בה נפטר).
מלבד פירושו המפורסם למדרש רבה, כתב גם את ""מאמר דורש רשומות"" - ספר ביקורת על ספרו של ר' אייזק הירש וייס ""דור דור ודורשיו"" שמטרתו ""להוכיח אכזב מקור ראיותיו ולבטל תוצאות החלטותיו"".

הערותיו וחידושיו על הפסיקתא ועל הש""ס, אותם כתב בשולי גיליונות הספרים, הועתקו מתוך הספרים ע""י בנו - ר' מרדכי יצחק, וקובצו תחת השם ""העקוב למישור"", הקונטרס נדפס בספרו של הבן ""מערת עדלם"", (בן נוסף שלו, ר' חנוך העניך, חיבר את ""ספר המרחשת""). 
לאחר מותו הוציא בנו גם את הספר ""חכם ושר"" בו ליקט והרחיב על אודות ""פרשת ספריו, שיריו ומאמריו"" של אביו.
 
חיבורים נוספים:

""השושנים"" - פרשנות דקדוקית, פיוטים, ופירוש על שיר השירים.""המסלות"" - כולל חיבור על פסוקי התנ""ך הנזכרים בתלמוד, פרשנות לספר תהלים, ביאור קטעים קשים מתוך ההגדה של פסח.""טובים השניים"" - שני ספרים הכרוכים יחדיו: ""היין השרוני"" ו""העשיר והעני"".
וגם מאמרים אחדים שנתפרסמו ב""הכרמל"" וב""הכרם"".

 
עוד על אודותיו באתר JewishEncyclopedia
"
70,"
ר' שמואל הצרפתי (נמוקי שמואל), פאס 
","
נצר למשפחת רבנים המתייחסת לרש""י, ספרו ""נימוקי שמואל"" ביאורים על פירושי רש""י והרמב""ן וכן הגנה על פירושיהם מפני השגותיו של הרא""ם. 
 
- קראו עליו ועל משפחתו בכתב-העת של יהדות מרוקו.
- לקריאת ספרו - ""נמוקי שמואל"" - באתר HebrewBooks
"
71,"
בנימין זאב הרצל, וינה (1860–1904)
","

חוזה המדינה
 
 
 
 
"
72,"
ר' אברהם יהושע השל, פולין- ארה""ב (1907-1972)
","

מהוגי-הדעות המרכזיים במאה העשרים.
נצר למשפחה חסידית-רבנית, אשר רכש השכלה תורנית בישיבות במזרח אירופה. בבגרותו הגיע לברלין שם למד בחברת אנשי שם כחנוך אלבק, ליאו בק ויוליוס גוטמן. עם עליית הנאצים לשלטון ברח לאנגליה ומשם לארצות הברית, שם הפך לאחד ממנהיגי היהדות הליברלית, והיה פעיל למען זכויות האזרח.
בספריו (""אלוהים מבקש את האדם"", ""תורה מן השמיים"", ""השבת"", ""הנביאים"") עסק בעיקר במעמדו של האדם לפני אלוהיו.
 
עוד על אודותיו בויקיפדיה
 
כתיבה: יוחאי עופרן
"
73,"
ר' נפתלי הרץ וייזל (רנה""ו), המבורג-קופנהגן-ברלין (1725-1805)
","

משותפיו של משה מנדלסון למפעל ""הביאור"" - במסגרתו חיבר את הפירוש לספר ויקרא והוסיף שיר בשבחו של מנדלסון (נדפס בהקדמה לספר שמות).
התפרסם במיוחד בזכות ספרו ""דברי שלום ואמת"" בו קרא לחולל שינוי כללי בסדרי ובתכני הלימוד בחינוך היהודי באירופה. ספר זה עורר עליו את קצפם של רבים מרבני התקופה וביניהם ""הנודע ביהודה"", ר' יחזקאל לנדא, בשל הרוח ה""משכילית"" המנשבת ממנו.
 
עוד על אודותיו בויקיפדיה וב-JewishEncyclopedia
"
74,"
פרופ' מאיר וייס  (המקרא כדמותו), ישראל (1908-1998)
","
חוקר מקרא ישראלי, חתן פרס ישראל למדעי היהדות (תש""ן).
לימד מקרא באוניברסיטה העברית ופרסם מחקרים רבים הבוחנים, בעיקר, את הבטיו הספרותיים של התנ""ך.
 
בין ספריו:
הסיפור על ראשיתו של איוב; מקראות ככוונתם: לקט מאמרים; ספר עמוס;אמונות ודעות במזמורי תהילים; מלאכת הסיפור במקרא;המקרא כדמותו - שיטת מחקר והסתכלות במקרא על-פי עיקרי מדע-הספרות החדש;
 
להרחבה על אודותיו ראו ויקיפדיה.
"
75,"
פרופ' יוסף ולק, ברסלאו-ישראל (1914-2005)
","
מורה ומחנך וחוקר החינוך היהודי בתקופת השואה.
למד והתחנך ברוח 'תורה עם דרך ארץ'. בבגרותו הושפע מהשקפתו של עקיבא ארנסט סימון. והצהיר שישתדל ללכת לאורו של ר' ישראל סלנטר, מייסד תנועת המוסר.
ב-1936 עלה לארץ וכאן שימש כמחנך - כמנהל בית ספר - וכמפקח. מאוחר יותר עמד גם בראש סמינרים להכשרת מורים (""תלפיות"", ו""אפרתה""). 
לאחר השואה נסע לבלגיה כדי לנהל שם בית חינוך יהודי ליתומים ניצולי שואה.
עם תום מלחמת ששת הימים נמנה ולק עם מיסדי תנועת ""עוז ושלום"".

כתב מאמרים רבים בנושאי חינוך והוראה, וכן חקר את נושא החינוך היהודי בשואה.
 
להרחבה ראו: ""לדמותו של מחנך"" - מאמר מאת נכדו הרב אליעזר מלמד. 

"
76,"
פרופ' מרדכי זר-כבוד, ישראל (1901-1977)
","
חוקר מקרא, נטל חלק בכתיבת הפירוש ""דעת מקרא"" (כתב את הפירוש לספרים: חגי, זכריה, מלאכי, משלי, קהלת, עזרא, נחמיה).
"
77,"
רבנו חננאל בן חושיאל (רבנו חננאל), קירואן (965-1055)
","
מראשוני פרשני התלמוד.
 
ראו על אודותיו בויקיפדיה.
"
78,"
ר' חזקיה  בן מנוח (חזקוני), צרפת (1250~1310)
","
פרשן המקרא, קרא לחיבורו בשם ""חזקוני"" כדי שהוא יעיד על מחברו (""חזקיה"") וכדי שקוראיו יזכרו אותו ויחזקוהו.
את פירושו כתב בהתבסס על כעשרים מהפרשנים שקדמו לו.
 
קראו על אודותיו ועל פירושו בויקיפדיה.
"
79,"
ר' משה חפץ (מלאכת מחשבת), איטליה (1663-1711)
","
מחבר ספר ""מלאכת מחשבת"" על התורה, ריז""ש כינהו ""הפילוסוף"".
הספר נדפס בונציה בשנת ת""ע, ובו כלולים גם דברי תורתו של בנו ר' גרשום שנספה במגפה בשנת ת""ס (1699), בהיותו בן שבע-עשרה בלבד. גרשום עסק בשירה וספרו ""יד חרוזים: מפתח חרוזים עבריים"" - נדפס גם כן ע""י אביו בצירוף הקדמה ובצירוף שיר על תרי""ג מצוות לפי מנין הרמב""ם.
 
[ישנם עוד לפחות שני חכמים ששמם משה חפץ:
האחד (נפטר ב-1447) כיהן כאב""ד בעיר מסינה שבאיטליה ונבחר ע""י שבע-עשרה מקהילות סיציליה להשתדל אצל המלך אלפונסו כדי למנוע גזרות שנגזרו על היהודים. המלך נענה לבקשתו, הגזירות בוטלו והוא נתמנה לנגיד וליועץ ורופא בחצר המלך.
והשני ר' משה חפץ מטשאווס, בעל קונטרס ""הנהגות אדם"", מגדולי מתנגדיו של הגרש""ז מלאדי, תשובותיו בהלכה נדפסו בספרים ""מקור ברוך"" ו""יד אהרן""]. 
"
80,"
ר' יוסף (השני) טוב-עלם (צפנת פענח), ספרד-ירושלים (1335)
","
נכדו של ר' יוסף טוב עלם הראשון???
נולד בספרד (כנראה בטולדו), ובבגרותו עלה לירושלים. בדרכו לארץ הקודש עצר במצרים והתגורר בה תקופת מה. משהגיע לארץ נאלץ לנדוד לדמשק שם פגש בר' אברהם בן הרמב""ם, שזיהה את בקיאותו האדירה בכתבי ר' אברהם אבן-עזרא ודירבן אותו לכתוב ספר ביאורים לדברי הראב""ע. בסופו של דבר חזר ר' יוסף לירושלים ובה כתב את ספרו צפנת פענח על פירוש הראב""ע לתורה. 
הספר, שנחשב לחשוב מבין ספרי הפירושים על ראב""ע, פותר את חידותיו של ראב""ע ומגלה למה התכוון ברמזיו. ר""י טוב-עלם היה הראשון שזיהה את שונותו של הפירוש לספר שמות, שמובדל באורכו ובסגנונו מן הפירושים ליתר הספרים, והיה הראשון שהסתפק האם אכן פירוש זה (לספר שמות) נכתב במלואו ע""י אב""ע.
בשנת תק""ד (1344) חיבר ספר נוסף בשם ""ספר תיקון שערים"" אשר עוסק ב""חשבון תקופות ומולדות"".
"
81,"
ר' יהודה  הלוי (ריה""ל), ספרד (1075-1141)
","
פילוסוף, רופא, משורר, מגדולי ההוגים היהודים בימי הביניים.
 
קראו על אודותיו בויקיפדיה.
"
82,"
ר' יום טוב בן אברהם אשבילי (ריטב""א), ספרד (1250-1330)
","
פוסק ופרשן התלמוד, תלמידם של הרשב""א והרא""ה.
הכינוי ""אל-אשבילי"" הוא, ככל הנראה, עדות לכך שמוצאו מהעיר סביליה.
 
עוד על אודותיו באנציקלופדיה דעת.
 
"
83,"
פרופ' דוד ילין , ירושלים (1864-1941)
","

מורה, בלשן ופרופ' לספרות, ממייסדי ועד הלשון העברית (לימים: האקדמיה ללשון העברית) והסתדרות המורים, כיהן כנשיא אספת הנבחרים וראש הוועד הלאומי.
את השכלתו רכש בביה""ס כי""ח ובישיבת עץ-חיים.
בשנת 1890 נמנה עם מייסדי ועד הלשון העברית ומאוחר יותר אף עמד בראשו (במקומו של אליעזר בן יהודה). לצידו של ילין שמשו כחברי הועד גם הרב חיים הירשנזון, הרב יעקב מאיר (לימים הראשון לציון), הרב יחיאל מיכל פינס (חמיו של ילין), זאב יעבץ, ואברהם משה לונץ. 
בשיאה של ""מלחמת השפות"" (1914), פרש מבית המדרש למורים בגלל התעקשות מנהלי המוסד שהלימודים בו יתנהלו בגרמנית, והקים מוסד חלופי-מתחרה: ""בית מדרש עברי למורים"", (כיום נקרא המקום ""מכללת דוד ילין).
ספריו של ילין עוסקים בספרות ימי הביניים, בחקר הלשון ובהיסטוריה.
 
ליקט וכתב: יוחאי עופרן
"
84,"
יוסף בן-מתתיהו (יוספוס פלביוס), הגליל וירושלים (38- 100)
","
מנהיג יהודי בתקופת המרד הגדול שהפך להיסטוריון בשרות הרומאים.
ספריו מהוים עדות היסטורית חשובה למצב השורר בארץ ישראל בימי בית שני.
 
להרחבה על אודותיו ראו ויקיפדיה.
"
85,"
ר' יעקב בן אשר (בעל הטורים), אשכנז-ספרד (1270-1340)
","
מגדולי הפוסקים, בנו ותלמידו של רבנו אשר בן יחיאל (הרא""ש). חיבורו הגדול ""ארבעה טורים"", הינו ספר יסוד בהלכה היהודית לדורותיה ובגינו דבק בו הכינוי ""בעל הטורים"".
בחיבורו לתורה הוא מנסה להצביע על קשר בין מופעים של שונים של שורשים מסויימים לאורך המקרא, ועושה זאת תוך דרשנות ופלפול. מלבד זאת הוא מציג בו דרשות גימטריאליות שונות.
"
86,"
ר' יששכר בער יעקובסון, ישראל (1972-1891)
","
פרשן המקרא. 
מאמריו וספריו עוסקים בעיקר בפרשנות התורה וההפטרות ובתולדות התפתחותן של התפילות.
"
87,"
ר' יצחק אלפסי (רי""ף), קירואן וספרד (1013-1103)
","
מראשוני פרשני התלמוד ומחשובי הפוסקים. מקובל לראות בו את המבשר על סופה של תקופת הגאונים.
נולד באלג'יר (כנראה בעיר קלעת חמאד) ובבגרותו עבר לקירואן (תוניס) ולמד אצל רבנו חננאל (בן חושיאל) ואצל רב נסים גאון. בהיותו בן 75 נאלץ להגר לספרד עקב רדיפת השלטונות אחריו.
בספרד מונה לראש-ישיבה בלוסנה והעמיד אחריו דור של גדולי תורה כגון הר""י מיגאש וריה""ל.
""ספר ההלכות"" שכתב הינו אבן יסוד בתולדות ההלכה בהיותו סיכום ותמצות של כל הלכות הנזכרות בתלמוד.בנוסף לכך, יש בידינו כמה מאות מן התשובות ההלכתיות שכתב.
 
"
88,"
פרופ' אברהם כהנא (פירוש מדעי), אוקראינה - ארץ-ישראל (1874-1946)
","
חוקר ספרות ומחשבה עברית, נתפרסם במיוחד בזכות מהדורתו המקיפה והמבוארת לספרים החיצוניים (אשר זיכתה אותו בפרס ביאליק, תרצ""ג), אך מלבדה עסק בתחומים רבים, דוגמת: בלשנות, היסטוריה יהודית ותולדות המחשבה (חסידות וחכמת ישראל).
כהנא לא נמנע גם מעיסוק בחקר המקרא - ובשנת תרס""ד החל בכתיבת ""פירוש מדעי"". את הפירוש לבראשית, שמות וויקרא כתב בעצמו, אך לשם השלמת הסדרה כולה נעזר במלומדים נוספים.
 
כתיבה: יוחאי עופרן
"
89,"
ר' מנחם מנדל כשר  (תורה שלמה), פולין-ישראל (1895-1983)
","
יוצרו של המפעל האדיר ""תורה שלמה"", אשר הינו ליקוט וסידור של כל דרשות חז""ל והמדרשים לפי סדר הפסוקים אליהם הם מתייחסים, בתוספת ביאורים ופרשנויות.
מלבד זאת, הרב כשר כתב מאמרים וספרים רבים שתרמו תרומה גדולה להבנה וללימוד הספרות הרבנית לדורותיה.
בשנת 1953 הוענק לו פרס ישראל על ספרות תורנית. 
"
90,"
ר' שמואל חיים לולי (שחבד""ל), גוריציה, איטליה (1788-1843)
","
משורר יהודי, נמנה בין המשכילים אשר פרסמו רשימותיהם בכתב העת המשכילי ""בכורי העתים"" (שראה אור בווינה בשנים 1820-1831).
היה חברם הקרוב של ר' יצחק שמואל רג'יו ושל שמואל דוד לוצאטו, האחרון גם היה בן-דודו והוא אשר העניק לו את הכינוי שחבד""ל (שמואל חיים בן דוד לולי) - אולי כדי להבדילו מבן-דוד אחר: שמואל חיים בן שמואל לולי.
אוסף שיריו ואגרותיו ""דבר שמואל"" התפרסם בשנת 1895.
"
91,"
ר' יהודה לויא מפראג (מהר""ל), פראג (1512~1609 )
","

פוסק, פרשן התלמוד והמקרא, ובעיני רבים אחד מגדולי הוגי הדעות היהודים. 
 
למידע על אודותיו ראו ויקיפדיה.
"
92,"
ר' שלמה אפרים לונטשיץ (כלי-יקר), פולין פראג (1550-1619)
","
בצעירותו למד מפי המהרש""ל, אחר כך עבר ללבוב ומשנת שס""ד (1604) כיהן כרבה של פראג וכראש הישיבה שם.
הצטיין במיוחד כדרשן והיה סוחף את לבבות השומעים בדרשותיו וחיבוריו הרבים שרובם עוסקים בענייני מוסר. היה רגיש לשאלות החברתיות והמעמדיות והתמקד במיוחד בתיקון ההנהגה הציבורית.
חיבורו המפורסם ביותר הוא פירושו לתורה ה""כלי יקר"".
מרבית חיבוריו הם ספרי דרשות על התורה ובנושאי מוסר, ביניהם:
""עוללות אפרים"", ""עיר גיבורים"", ""אורח לחיים"", ""שפתי דעת"", ""עמודי שש"", ""רבבות אפרים"". 
"
93,"
הרב שאול לוסטיג, גרמניה-ישראל (המאה ה-20)
","
רב חרדי יוצא גרמניה.
נמנה עם מייסדי ""הנוער האגודתי"" - ארגון של ""צעירי אגודת ישראל"" ו""עזרא"" שקידם את רעיון העליה לארץ-ישראל ואירגן הכשרה לקראת עליה לא""י לציבור החרדי.
תרגם לעברית כתבים של הרש""ר הירש (""חורב"").
על שמו תיכון חרדי בבני ברק ומוסד ללימוד גבוהים בירושלים. 
"
94,"
ר' שמואל דוד לוצאטו (שד""ל), איטליה (1800-1865)
","

מחכמי איטליה במאה ה-19, פרשן המקרא, בלשן ומשורר. 
כבר מנעוריו נודע כתלמיד חכם שקנה לו ידע רב בשפות האירופיות השונות. 
בהיותו בן 22 פרסם פירוש באיטלקית לסידור התפילה.
 
בין ספריו:
""המשתדל"" פירוש לתורה,""אוהב גר"" על תרגום אונקלוס,""בית האוצר"",""כינור נעים"" (ספר שירים),""יסודי התורה"", ""ספר הויכוח על חכמת הקבלה, קדמות הזוהר, הנקודות והטעמים"",""ספר אגרות"".
כמו כן הוציא לאור שירים גנוזים של ר' יהודה הלוי (""בתולת בת יהודה""), ומחזור תפילות כמנהג קהילת רומא.
 
קישורים:
פירוש ""המשתדל"" לספר דברים - ב-Google Book Searchשירים מפרי עטו - באתר ""דעת"".שד""ל כפרשן - נתן נהוראיר' שמואל דוד לוצאטו - מאת יחיאל צבי מושקביץ
 
להרחבה על אודותיו ראו JewishEncyclopedia
"
95,"
ר' דוד לוריא (רד""ל),  (1792-1855)
","
מרבני ליטא, מחבר פירושים לתלמודים ולמדרשים.
גדל במשפחה אמידה שהעמידה מספר רבנים חשובים וזכה לחינוך תורני נרחב. בבגרותו קנה לו מעמד כאחד ממנהיגי הקהילות ובמסגרת עיסוקו נפגש עם סר משה מונטפיורי.
במהלך חייו הקצרים כתב ספרים רבים, ביניהם פירוש לתלמוד (שמודפס במהדורות וילנא), ספר שו""ת, פירושים למדרשים ('פסיקתא דרב כהנא', 'פרקי דר' אליעזר', 'מדרש רבה' ועוד) וכן חיבור שנוי במחלוקת על קדמותו של ספר הזהר.
עוד על אודותיו
"
96,"
פרופ' ר' שאול ליברמן, רוסיה-ירושלים -ניויורק (1898-1983)
","
מגדולי חוקרי התלמוד וספרות התורה שבעל פה. היה חבר האקדמיה הלאומית הישראלית למדעים. בשנת תשל""א הוענק לו פרס ישראל למדעי היהדות.
 
למידע על אודותיו ראו ויקיפדיה.
"
97,"
ר' שמואל לניאדו (בעל הכלים), צפת-ארם צובא (המאה ה-16)
","
מראשי הקהילה היהודית בסוריה. מחבר ""כלי חמדה"" - פירוש על התורה המשלב מדברי הפרשנים שקדמו לו.
כונה ""בעל הכלים"" משום שכל ספריו נקראו בשמות כגון: ""כלי חמדה"", ""כלי פז"", ""כלי גולה"" וכד' (חלק מחיבוריו עדיין לא נדפסו).יצא מארץ-ישראל בעצת ר' יוסף קארו כדי להנהיג את קהילת ארם-צובא. 
"
