Chapter Name,Topic Name,Topic Name (sans nikud),English description,Aspaklaria Topic,Aspaklaria type,Is a Type of,Notes,#N/A
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,שִׁעְבּוּד יָוָן וּמַרְשִׁיעֵי בְּרִית,שעבוד יון ומרשיעי ברית,,גלות יון,span of time,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,אֵם הַבָּנִים,אם הבנים,,חנה ושבעת בניה,group of people,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,בֵּית חַשְׁמוֹנָאִים,בית חשמונאים,,חשמונאים,group of people,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,בִּנְיַן הוֹרְדוֹס,בנין הורדוס,,הסטוריה בית שני בנין,span of time,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,הָעֲבוֹדָה בְּבֵית הַמִּקְדָּשׁ,העבודה בבית המקדש,,הסטוריה בית שני,span of time,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,נִסִּים בְּבֵית הַמִּקְדָּשׁ,נסים בבית המקדש,,הסטוריה בית שני,span of time,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,כּוֹהֲנִים זְרִיזִים,כוהנים זריזים,,בית המקדש בית שני,structure,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,קָרְבַּן פֶּסַח,קרבן פסח,,קרבן פסח,halachic role,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,הָעֹמֶר,העמר,,קרבן עומר,halachic role,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,הֲבָאַת בִּכּוּרִים,הבאת בכורים,,בכורים,halachic role,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,עֲבוֹדַת יוֹם הַכִּפּוּרִים,עבודת יום הכפורים,,יום כפורים עבודה,halachic process,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,נְטִילַת לוּלָב,נטילת לולב,,לולב,halachic role,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,נִסּוּךְ הַמַּיִם,נסוך המים,,קרבן נסוך המים,halachic role,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,שִׂמְחַת בֵּית הַשְּאׁוּבָה (הַשּׁוֹאֵבָה),שמחת בית השאובה (השואבה),,שמחת בית השואבה,halachic process,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,פָּרָשַׁת הַמֶּלֶךְ,פרשת המלך,,הקהל,process,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,שְׁמִינִי עֲצֶרֶת וּמוֹצָאֵי הֶחָג,שמיני עצרת ומוצאי החג,,שמיני עצרת,pilgrimage festival,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,עֲלִיָּה לְרֶגֶל,עליה לרגל,,עליה לרגל,halachic process,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,עֲלִיָּה בִּשְׁעַת הַגְּזֵרָה,עליה בשעת הגזרה,,,#N/A,biblical historical event,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,חָכְמָתָם שֶׁל בְּנֵי יְרוּשָׁלַיִם,חכמתם של בני ירושלים,,ירושלים,geographic site,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,קֹדֶם הַחֻרְבָּן,קדם החרבן,,הסטוריה בית שני,span of time,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,עַל מָה חָרְבָה הָאָרֶץ?,על מה חרבה הארץ?,,הסטוריה בית שני חטא,span of time,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,רִשְׁעַת אַדְרְיָנוֹס,רשעת אדרינוס,,אדרינוס,person,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,בְּנֵי צִיּוֹן הַיְּקָרִים,בני ציון היקרים,,הסטוריה בית שני,span of time,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,הַקָּדוֹשׁ בָּרוּךְ הוּא מִתְאַבֵּל,הקדוש ברוך הוא מתאבל,,בית המקדש חורבן,biblical historical event,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,מְנַחֵם,מנחם,,משיח,role,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,אֲבֵלֵי צִיּוֹן,אבלי ציון,,ירושלים אבלות,halachic process,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,מִיּוֹם שֶׁחָרַב בֵּית הַמִּקְדָּשׁ,מיום שחרב בית המקדש,,בית המקדש חורבן,biblical historical event,,,
חֻרְבַּן בַּיִת שֵׁנִי וְהָאָרֶץ,תַּנְחוּמִים,תנחומים,,גאולה,process,,,
מַעשֲׂיֵ חכֲמִָים,רַבִּי שִׁמְעוֹן בֶּן שָׁטַח,רבי שמעון בן שטח,,שמעון בן שטח,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,חוֹנִי הַמְּעַגֵּל וְזַרְעוֹ,חוני המעגל וזרעו,,חוני המעגל,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,הִלֵּל הַזָּקֵן,הלל הזקן,,הלל,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,עֲקַבְיָא בֶּן מַהֲלַלְאֵל,עקביא בן מהללאל,,עקביא בן מהללאל,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַבָּן גַּמְלִיאֵל הַזָּקֵן,רבן גמליאל הזקן,,רבן גמליאל,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' צָדוֹק וּבְנוֹ רַ' אֶלְעָזָר,ר' צדוק ובנו ר' אלעזר,,ר צדוק,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,בֵּית שַׁמַּאי וּבֵית הִלֵּל,בית שמאי ובית הלל,,בית שמאי ובית הלל,group of people,,,
מַעשֲׂיֵ חכֲמִָים,יוֹנָתָן בֶּן עֻזִּיאֵל,יונתן בן עזיאל,,יונתן בן עוזיאל,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,שְׁמוּאֵל הַקָּטָן,שמואל הקטן,,שמואל הקטן,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַבָּן יוֹחָנָן בֶּן זַכַּאי,רבן יוחנן בן זכאי,,רבן יוחנן בן זכאי,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' דּוֹסָא בֶּן הָרְכִּינַס,ר' דוסא בן הרכינס,,רבי דוסא בן הרכינס,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַבִּי חֲנִינָא בֶּן דּוֹסָא,רבי חנינא בן דוסא,,רבי חנינא בן דוסא,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַבָּן גַּמְלִיאֵל (הַשֵּׁנִי),רבן גמליאל (השני),,רבן גמליאל,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' אֱלִיעֶזֶר (הַגָּדוֹל) בֶּן הוּרְקָנוֹס,ר' אליעזר (הגדול) בן הורקנוס,,רבי אליעזר,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' יְהוֹשֻׁעַ בֶּן חֲנַנְיָה,ר' יהושע בן חנניה,,,#N/A,mishnaic person,,
מַעשֲׂיֵ חכֲמִָים,נַחוּם אִישׁ גַּם זוֹ (גִּמְזוֹ),נחום איש גם זו (גמזו),,נחום איש גם זו,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' טַרְפוֹן,ר' טרפון,,רבי טרפון,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' עֲקִיבָא,ר' עקיבא,,רבי עקיבא,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,עֲשָׂרָה הֲרוּגֵי מַלְכוּת,עשרה הרוגי מלכות,,עשרה הרוגי מלכות,group of people,,,
מַעשֲׂיֵ חכֲמִָים,"רַ' מֵאִיר, אֱלִישַׁע בֶּן אֲבוּיָה (אַחֵר), בְּרוּרְיָה","ר' מאיר, אלישע בן אבויה (אחר), ברוריה",,,#N/A,specific person relationship,,
מַעשֲׂיֵ חכֲמִָים,רַ' שִׁמְעוֹן בֶּן יוֹחַאי וּבְנוֹ רַ' אֶלְעָזָר,ר' שמעון בן יוחאי ובנו ר' אלעזר,,רבי שמעון בן יוחאי,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' יוֹסֵי בֶּן חֲלַפְתָּא וּבְנוֹ רַ' יִשְׁמָעֵאל,ר' יוסי בן חלפתא ובנו ר' ישמעאל,,,#N/A,group of people,,
מַעשֲׂיֵ חכֲמִָים,רַ' יְהוּדָה בַּר אֶלְעַי,ר' יהודה בר אלעי,,ר יהודה,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' אֶלְעָזָר בֶּן שַׁמּוּעַ וּבְנוֹ רַ' שִׁמְעוֹן,ר' אלעזר בן שמוע ובנו ר' שמעון,,,#N/A,group of people,,
מַעשֲׂיֵ חכֲמִָים,רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל,רבן שמעון בן גמליאל,,רבן שמעון בן גמליאל,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' פִּינְחָס בֶּן יָאִיר,ר' פינחס בן יאיר,,רבי פנחס בן יאיר,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,"רַ' יְהוּדָה הַנָּשִׂיא (רַבִּי, רַבֵּנוּ הַקָּדוֹשׁ), רַ' חִיָּא הַגָּדוֹל וּבָנָיו","ר' יהודה הנשיא (רבי, רבנו הקדוש), ר' חיא הגדול ובניו",,,#N/A,specific person relationship,,
מַעשֲׂיֵ חכֲמִָים,בַּר קַפָּרָא,בר קפרא,,בר קפרא,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' שִׁמְעוֹן בֶּן חֲלַפְתָּא,ר' שמעון בן חלפתא,,רבי שמעון בן חלפתא,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' חֲנִינָא בַּר חַמָּא,ר' חנינא בר חמא,,רבי חנינא בר חמא,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' אוֹשַׁעְיָא הַגָּדוֹל בֶּן רַ' חַמָּא,ר' אושעיא הגדול בן ר' חמא,,ר אושעיא בריבי,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' יְהוֹשֻׁעַ בֶּן לֵוִי,ר' יהושע בן לוי,,רבי יהושע בן לוי,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' יוֹחָנָן (בֶּן הַנַּפָּח) וְרַ' שִׁמְעוֹן בֶּן לָקִישׁ (רֵישׁ לָקִישׁ),ר' יוחנן (בן הנפח) ור' שמעון בן לקיש (ריש לקיש),,,#N/A,specific person relationship,,
מַעשֲׂיֵ חכֲמִָים,רַ' יְהוּדָה נְשִׂיאָה (רַ' יוּדָן נְשִׂיָּא),ר' יהודה נשיאה (ר' יודן נשיא),,רבי יהודה נשיאה,mishnaic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' אֶלְעָזָר בֶּן פְּדָת,ר' אלעזר בן פדת,,רבי אלעזר בן פדת,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' אַבָּהוּ,ר' אבהו,,,#N/A,talmudic person,,
מַעשֲׂיֵ חכֲמִָים,רַ' זֵירָא (זְעֵירָא),ר' זירא (זעירא),,רבי זירא,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב (רַ' אַבָּא בַּר אַיְבוּ),רב (ר' אבא בר איבו),,רב,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,שְׁמוּאֵל,שמואל,,שמואל,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב יְהוּדָה (בַּר יְחֶזְקֵאל),רב יהודה (בר יחזקאל),,רב יהודה,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַ' יִרְמְיָה,ר' ירמיה,,רבי ירמיה,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב הוּנָא,רב הונא,,רב הונא,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב חִסְדָּא,רב חסדא,,רב חסדא,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב שֵׁשֶׁת,רב ששת,,רב ששת,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב נַחֲמָן (בַּר יַעֲקֹב),רב נחמן (בר יעקב),,רב נחמן,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַבָּה (בַּר נַחֲמָנִי),רבה (בר נחמני),,רבה,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב יוֹסֵף,רב יוסף,,רב יוסף,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,אַבַּיֵּי (בַּר כַּיְלִיל?),אביי (בר כיליל?),,אביי,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רָבָא (בַּר יוֹסֵף בַּר חַמָּא),רבא (בר יוסף בר חמא),,רבא,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב פַּפָּא,רב פפא,,רב פפא,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,רַב אָשֵׁי,רב אשי,,רב אשי,talmudic person,,,
מַעשֲׂיֵ חכֲמִָים,נָשִׂיא וְרֹאשׁ גּוֹלָה,נשיא וראש גולה,,,#N/A,specific person relationship,,
מַעשֲׂיֵ חכֲמִָים,שִׁבְחָם שֶׁל חֲכָמִים,שבחם של חכמים,,,#N/A,character trait,,
מַעשֲׂיֵ חכֲמִָים,רִאשׁוֹנִים וְאַחֲרוֹנִים,ראשונים ואחרונים,,,#N/A,group of people,,
מַעשֲׂיֵ חכֲמִָים,חַכְמֵי אֶרֶץ יִשְׂרָאֵל וְחַכְמֵי בָּבֶל,חכמי ארץ ישראל וחכמי בבל,,,#N/A,group of people,,
מַעשֲׂיֵ חכֲמִָים,חַכְמֵי בֵּית הַמִּדְרָשׁ בִּכְנִיסָתָם וִיצִיאָתָם,חכמי בית המדרש בכניסתם ויציאתם,,,#N/A,theological process,,
מַעשֲׂיֵ חכֲמִָים,מִיתָתָם וְהֶסְפֵּדָם שֶׁל חֲכָמִים,מיתתם והספדם של חכמים,,,#N/A,character trait,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,חִבָּתָם שֶׁל יִשְׂרָאֵל,חבתם של ישראל,,ישראל וה,theology,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,בֵּין יִשְׂרָאֵל לָעַמִּים,בין ישראל לעמים,,ישראל ועמים,relationship,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,טִיבָם שֶׁל יִשְׂרָאֵל,טיבם של ישראל,,ישראל השגחה,theology,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,יִשְׂרָאֵל וְיִסּוּרִים,ישראל ויסורים,,ישראל עונש,theological process,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,סִימָנֵיהֶם שֶׁל יִשְׂרָאֵל,סימניהם של ישראל,,ישראל מדות וטבע,character trait,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,פּוֹשְׁעֵי יִשְׂרָאֵל,פושעי ישראל,,פושעי ישראל,group of people,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,יִשְׂרָאֵל אֲגֻדָּה אַחַת,ישראל אגדה אחת,,ישראל אחדות,quality,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,שׂוֹנְאֵיהֶם וְאוֹהֲבֵיהֶם שֶׁל יִשְׂרָאֵל,שונאיהם ואוהביהם של ישראל,,ישראל ועמים,relationship,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,אֵין מַזָּל לְיִשְׂרָאֵל,אין מזל לישראל,,ישראל מזל,theology,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,יִשְׂרָאֵל קַיָּמִים לְעוֹלָם,ישראל קימים לעולם,,ישראל לעתיד לבא,theology,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,טָהֳרַת הַמִּשְׁפָּחוֹת בְּיִשְׂרָאֵל,טהרת המשפחות בישראל,,ישראל,nation/ethnicity,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,גֵּרִים בְּיִשְׂרָאֵל,גרים בישראל,,גר,halachic role,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,גֵּרֵי אֲרָיוֹת (כּוּתִים),גרי אריות (כותים),,כותים,nation/ethnicity,,,
יִשְׂרָאֵל וְאֻמּוֹת הָעוֹלָם,אֻמּוֹת הָעוֹלָם,אמות העולם,,אומות העולם,group of people,,,
ארֶֶץ ישִׂרְָאלֵ,הָאָרֶץ וְיִשְׂרָאֵל,הארץ וישראל,,ישראל וארץ ישראל,theology,,,
ארֶֶץ ישִׂרְָאלֵ,הָאָרֶץ וְיִשּׁוּבָהּ,הארץ וישובה,,ארץ ישראל ישוב,halachic process,,,
ארֶֶץ ישִׂרְָאלֵ,חִבַּת הָאָרֶץ,חבת הארץ,,ארץ ישראל,geographic site,,,
ארֶֶץ ישִׂרְָאלֵ,קְדֻשַּׁת הָאָרֶץ,קדשת הארץ,,ארץ ישראל קדושה ברכה השגחה מעלה,theology,,,
ארֶֶץ ישִׂרְָאלֵ,תּוֹרַת הָאָרֶץ,תורת הארץ,,ארץ ישראל,geographic site,,,
ארֶֶץ ישִׂרְָאלֵ,עֶרְכָּהּ שֶׁל הָאָרֶץ,ערכה של הארץ,,ארץ ישראל,geographic site,,,
ארֶֶץ ישִׂרְָאלֵ,אֶרֶץ זָבַת חָלָב וּדְבַשׁ,ארץ זבת חלב ודבש,,ארץ ישראל,geographic site,,,
ארֶֶץ ישִׂרְָאלֵ,יְרוּשָׁלַיִם,ירושלים,,ירושלים,geographic site,,,
לָשׁוֹן,לְשׁוֹן הַקֹּדֶשׁ,לשון הקדש,,לשון הקודש,language,,,
לָשׁוֹן,לְשׁוֹן הַקֹּדֶשׁ וּשְׁאַר לְשׁוֹנוֹת,לשון הקדש ושאר לשונות,,לשון הקודש,language,,,
לָשׁוֹן,דִּקְדּוּק בַּלָּשׁוֹן,דקדוק בלשון,,דקדוק,process,,,
גָּלוּת,קְשִׁי הַגָּלוּת וְשִׁעְבּוּד מַלְכֻיּוֹת,קשי הגלות ושעבוד מלכיות,,ישראל גלות,span of time,,,
גָּלוּת,יִשְׂרָאֵל לְחֶרְפָּה בַּגּוֹיִים,ישראל לחרפה בגויים,,ישראל גלות,span of time,,,
גָּלוּת,הַקָּדוֹשׁ בָּרוּךְ הוּא שֻׁתָּף בְּצַעֲרָם שֶׁל יִשְׂרָאֵל,הקדוש ברוך הוא שתף בצערם של ישראל,,ישראל וה,theology,,,
גָּלוּת,שׁוֹמֵר יִשְׂרָאֵל,שומר ישראל,,ישראל השגחה,theology,,,
גָּלוּת,"“שֹׁמֵר, מַה מִּלַּיְלָה?""","“שמר, מה מלילה?""",,גאולה,process,,,
גְּאֻלָּה וִימוֹת הַמָּשִׁיחַ,גִּנְזֵי צָרוֹת וְגִנְזֵי יְשׁוּעוֹת,גנזי צרות וגנזי ישועות,,גאולה,process,,,
גְּאֻלָּה וִימוֹת הַמָּשִׁיחַ,זְכוּת אָבוֹת,זכות אבות,,אבות זכות,theology,,,
גְּאֻלָּה וִימוֹת הַמָּשִׁיחַ,הַקֵּץ,הקץ,,גאולה זמן,moment in time,,,
גְּאֻלָּה וִימוֹת הַמָּשִׁיחַ,עִקְבוֹת הַמָּשִׁיחַ,עקבות המשיח,,משיח חבלי,theology,,,
גְּאֻלָּה וִימוֹת הַמָּשִׁיחַ,גְּאֻלָּה וְקִבּוּץ גָּלֻיּוֹת,גאלה וקבוץ גליות,,גאולה,process,,,
גְּאֻלָּה וִימוֹת הַמָּשִׁיחַ,יוֹם חֹשֶךְ וְאוֹר,יום חשך ואור,,משיח ימות,span of time,,,
גְּאֻלָּה וִימוֹת הַמָּשִׁיחַ,מָשִׁיחַ,משיח,,משיח,role,,,
לֶעָתִיד לָבוֹא,הַטּוֹבָה הָעֲתִידָה,הטובה העתידה,,לעתיד לבא,theological process,,,
לֶעָתִיד לָבוֹא,תְּחִיַּת הַמֵּתִים,תחית המתים,,תחיית המתים,theological tenet,,,
תּוֹרָה,שִׁבְחָהּ שֶׁל תּוֹרָה וְתַלְמוּד תּוֹרָה,שבחה של תורה ותלמוד תורה,,תורה,biblical source,,,
תּוֹרָה,בַּמֶּה הַתּוֹרָה נִקְנֵית וּבְמִי מִתְקַיֶּמֶת,במה התורה נקנית ובמי מתקימת,,תורה,biblical source,,,
תּוֹרָה,תּוֹרָה לִשְׁמָהּ,תורה לשמה,,,#N/A,theological process,,
תּוֹרָה,מְלַמְּדֵי תּוֹרָה וְדַרְכֵי לִמּוּד,מלמדי תורה ודרכי למוד,,,#N/A,theological process,,
תּוֹרָה,לוֹמְדֵי תּוֹרָה וְדַרְכֵי תַּלְמוּד,לומדי תורה ודרכי תלמוד,,,#N/A,theological process,,
תּוֹרָה,"רַב וְחָבֵר, שִׁמּוּשָׁהּ שֶׁל תּוֹרָה","רב וחבר, שמושה של תורה",,שמוש חכמים,halachic process,,,
תּוֹרָה,כְּבוֹד הַתּוֹרָה וְלוֹמְדֶיהָ,כבוד התורה ולומדיה,,כבוד זקן ורב,halachic process,,,
תּוֹרָה,תַּלְמִיד חָכָם וְעַם הָאָרֶץ,תלמיד חכם ועם הארץ,,תלמיד חכם,quality,,,
תּוֹרָה,תּוֹרָה שֶׁבְּעַל פֶּה,תורה שבעל פה,,תורה שבכתב ושבעל פה,source,,,
תּוֹרָה,כִּתְבֵי הַקֹּדֶשׁ וּשְׁאַר סְפָרִים,כתבי הקדש ושאר ספרים,,כתבי הקדש,biblical source,,,
תּוֹרָה,לְשׁוֹן תּוֹרָה וְתַרְגּוּם,לשון תורה ותרגום,,לשון הפסוק,quality,,,
תּוֹרָה,תַּלְמוּד וּמַעֲשֶׂה,תלמוד ומעשה,,מצוה מעשה,halachic process,,,
תּוֹרָה,מִצְווֹת הַתּוֹרָה,מצוות התורה,,מצוה,generically dependent continuant,,,
תּוֹרָה,סְיָג לַתּוֹרָה,סיג לתורה,,תקנות,meta halacha,,,
תּוֹרָה,סִתְרֵי תּוֹרָה,סתרי תורה,,קבלה,process,,,
"חָכְמָה, נְבוּאָה וְשִׁירָה",חָכְמָה,חכמה,,חכמה,knowledge,,,
"חָכְמָה, נְבוּאָה וְשִׁירָה",נְבוּאָה וְרוּחַ הַקֹּדֶשׁ,נבואה ורוח הקדש,,נבואה,theological process,,,
"חָכְמָה, נְבוּאָה וְשִׁירָה",שִׁירָה,שירה,,שיר,artistic process,,,
"שַׁבָּת, יָמִים טוֹבִים וְצוֹמוֹת",שַׁבָּת,שבת,,שבת,holiday,,,
"שַׁבָּת, יָמִים טוֹבִים וְצוֹמוֹת",קִדּוּשׁ הַחֹדֶשׁ וְעִבּוּר הַשָּׁנָה,קדוש החדש ועבור השנה,,קדוש החודש,halachic process,,,
"שַׁבָּת, יָמִים טוֹבִים וְצוֹמוֹת",רֹאשׁ הַשָּׁנָה וְיוֹם הַכִּפּוּרִים,ראש השנה ויום הכפורים,,,#N/A,holiday,,
"שַׁבָּת, יָמִים טוֹבִים וְצוֹמוֹת",רְגָלִים,רגלים,,עליה לרגל,halachic process,,,
"שַׁבָּת, יָמִים טוֹבִים וְצוֹמוֹת",חֲנֻכָּה וּפוּרִים,חנכה ופורים,,,#N/A,holiday,,
"שַׁבָּת, יָמִים טוֹבִים וְצוֹמוֹת",מְגִלַּת תַּעֲנִית,מגלת תענית,,מגלת תענית,source,,,
"שַׁבָּת, יָמִים טוֹבִים וְצוֹמוֹת",צוֹמוֹת,צומות,,צום,day,,,
הַקָּדוֹשׁ בָּרוּךְ הוּא וּבֵין אָדָם לַמָּקוֹם,הַקָּדוֹשׁ בָּרוּךְ הוּא,הקדוש ברוך הוא,,אלקים מציאותו,theological tenet,,,
הַקָּדוֹשׁ בָּרוּךְ הוּא וּבֵין אָדָם לַמָּקוֹם,פָּמַלְיָא שֶׁל מַעְלָה,פמליא של מעלה,,,#N/A,spiritual entity,,
הַקָּדוֹשׁ בָּרוּךְ הוּא וּבֵין אָדָם לַמָּקוֹם,עֲבוֹדָה זָרָה,עבודה זרה,,עבודה זרה,halachic process,,,
הַקָּדוֹשׁ בָּרוּךְ הוּא וּבֵין אָדָם לַמָּקוֹם,מִינִים,מינים,,מין מינות,role,,,
הַקָּדוֹשׁ בָּרוּךְ הוּא וּבֵין אָדָם לַמָּקוֹם,בֵּין אָדָם לַמָּקוֹם,בין אדם למקום,,מצוה בין אדם למקום בין אדם לחברו,meta halacha,,,
הַקָּדוֹשׁ בָּרוּךְ הוּא וּבֵין אָדָם לַמָּקוֹם,תְּפִלָּה,תפלה,,תפלה,theological process,,,
הַקָּדוֹשׁ בָּרוּךְ הוּא וּבֵין אָדָם לַמָּקוֹם,בְּרָכוֹת,ברכות,,ברכות,halachic process,,,
טוֹב וְרַע,יֵצֶר טוֹב וְיֵצֶר רַע,יצר טוב ויצר רע,,יצר רצון,spiritual entity,,,
טוֹב וְרַע,מִצְוָה וַעֲבֵרָה,מצוה ועברה,,מצוה עשה ולא תעשה,meta halacha,,,
טוֹב וְרַע,צַדִּיק וְרָשָׁע,צדיק ורשע,,,#N/A,quality,,
טוֹב וְרַע,תְּשׁוּבָה,תשובה,,תשובה,halachic process,,,
טוֹב וְרַע,שָׂכָר וָעֹנֶשׁ,שכר וענש,,שכר ברכה,theological tenet,,,
טוֹב וְרַע,הָעוֹלָם הַבָּא,העולם הבא,,עולם הבא,theology,,,
טוֹב וְרַע,גַּן עֵדֶן וְגֵיהִנּוֹם,גן עדן וגיהנום,,גן עדן,spiritual site,,,
אָדָם וּצְרָכָיו,"אָדָם בְּלֵדָתוֹ, בְּזִקְנָתוֹ וּבְמִיתָתוֹ","אדם בלדתו, בזקנתו ובמיתתו",,אדם חייו,lifecycle process,,,
אָדָם וּצְרָכָיו,נִשְׁמָתוֹ שֶׁל אָדָם,נשמתו של אדם,,אדם נשמה,spiritual entity,,,
אָדָם וּצְרָכָיו,הֲנָאַת הָאָדָם,הנאת האדם,,הנאה,process,,,
אָדָם וּצְרָכָיו,אֲכִילָה וּשְׁתִיָּה,אכילה ושתיה,,אכילה,process,,,
אָדָם וּצְרָכָיו,דֶּרֶךְ אֶרֶץ בִּסְעוּדָה,דרך ארץ בסעודה,,דרך ארץ,halachic process,,,
אָדָם וּצְרָכָיו,בְּגָדָיו שֶׁל אָדָם,בגדיו של אדם,,בגד לבוש,inanimate object,,,
אָדָם וּצְרָכָיו,רְחִיצָה וְסִיכָה,רחיצה וסיכה,,רחיצה,process,,,
אָדָם וּצְרָכָיו,רְפוּאַת הַגּוּף,רפואת הגוף,,רפואה,process,,,
אָדָם וּצְרָכָיו,שְׁמִירַת הַגּוּף,שמירת הגוף,,בריאות,quality,,,
