Topic,English description,Is a Type Of,Is a Type Of 2,Has Edge,To Topic (Original),To Topic (Actual),English description,Is a Type Of
משה,,biblical person,,opposed,פרעה,פרעה,,biblical person
מזרים,constellation/stars,inanimate object,,similar to,מזל,מזל,constellation/destiny,object
משכן נדבת,mishkan donation,biblical historical event,,has participant,דור המדבר,דור המדבר,generation of desert,group of people
משכן נדבת,mishkan donation,biblical historical event,,specifically dependent on,משכן כללי מעשה,משכן,mishkan,structure
משכן נדבת,mishkan donation,biblical historical event,,participates in,משכן כללי מעשה,משכן מעשה,mishkan design and creation,biblical historical event
מרק,scouring,process,,synonymous with,מריקה,מריקה,scouring,process
מתושלח,,biblical person,,member of,דורות הראשונים,דורות ראשונים,previous generations,group of people
מתושלח,,biblical person,,grandparent of,נח,נח,,biblical person
מיכיהו,,biblical person,,was opposed by,אחאב,אחאב,,biblical person
מקנה,"possessions, esp. livestock",group of animals,,has member,בעלי חיים,בעלי חיים,animals,living creature
מקנה,"possessions, esp. livestock",group of animals,,is category of,כבש,כבש בעל חיים,sheep,animal
מקנה,"possessions, esp. livestock",group of animals,,is category of,עז,עז,goat,animal
מקנה,"possessions, esp. livestock",group of animals,,is category of,צאן,צאן,sheep,group of animals
מאן,refuse,process,,dissimilar to,אבה,אבה חשק,a type of desire,emotion
מאן,refuse,process,,related to,יבום,יבום,yibum,halachic process
מאן,refuse,process,,synonymous with,מיאון,,#N/A,#N/A
מאן,refuse,process,,dissimilar to,רצה,רצה רצון,want/will,emotion
מושב ליצים,group of cynics,group of people,,participates in,ליצנות,ליצנות,nonsense/mockery,process
מצחק,play/be frivolous/laugh,process,,similar to,שחוק,שחוק,joke/laughter,process
מצחק,play/be frivolous/laugh,process,,synonymous with,צחק,צחוק,joke/laughter,process
מנה חלק,portion,fiat object part,,similar to,חלק,חלק,portion,fiat object part
מנה חלק,portion,fiat object part,,similar to,כוס,כוס,cup,inanimate object
מקום,place/space,quality,,has specific dependence,אלקים מקום,אלקים מקום,HaShem and space,theological tenet
מקום,place/space,quality,,is category of,ארץ,ארץ,land/earth,geographic feature
מקום,place/space,quality,,is category of,ארץ ישראל,ארץ ישראל,land of Israel,geographic site
מקום,place/space,quality,,related to,בריאה,בריאה,Creation,theological process
מקום,place/space,quality,,related to,טבע,טבע,nature,quality
מקום,place/space,quality,,physically contained in,מציאות,מציאות,existence/reality,theology
מלח אניה,sailor,role,,related to,אניה,אניה,boat/ship,inanimate object
מלח אניה,sailor,role,,similar to,רב החובל,,#N/A,#N/A
משה תפלה במרגלים,Moshe prayer re spies,biblical historical event,theological process,preceded by,דור המדבר מרגלים,דור המדבר מרגלים,generation of desert and spies,biblical historical event
מים,water,inanimate object,,is category of,גשם,גשם,rain,weather
מים,water,inanimate object,,participates in,דור המדבר באר,דור המדבר באר,generation of desert and the well,biblical historical event
מים,water,inanimate object,,physically contained in,ים,ים מים,sea/ocean,geographic feature
מים,water,inanimate object,,is category of,מטר,מטר,rain,weather
מים,water,inanimate object,,participates in,סוטה,סוטה,accused woman,halachic role
מים,water,inanimate object,,participates in,פרה אדומה,פרה אדומה,the red heifer,halachic quality
מים,water,inanimate object,,participates in,קרבן נסך,קרבן נסך,libation of korban,halachic process
מצה,unleavened bread,halachic role,food,dissimilar to,חמץ,חמץ,leavened bread,inanimate object
מצה,unleavened bread,halachic role,food,participates in,פסח,פסח,pesach,pilgrimage festival
מצה,unleavened bread,halachic role,food,participates in,קרבן פסח,קרבן פסח,passover korban,halachic role
מופלא של בית דין,distinguished member of beis din,role,,member of,בית דין,בית דין,court,halachic role
מופלא של בית דין,distinguished member of beis din,role,,member of,סנהדרין,סנהדרין,,group of people
מדות,traits,quality,,is category of,אדם מדות,אדם מדות,character traits of man,disposition
מדות,traits,quality,,is category of,אלקים מדות,אלקים תאר,descriptors and HaShem,divine role
מדות,traits,quality,,related to,תורה,תורה מדות שהתורה נדרשת,hermeneutical rules,meta halacha
מולך,type of idolatry,theurgy,,is a,עבודה זרה,עבודה זרה,idolatry,halachic process
מטר,rain,weather,,similar to,גשם,גשם,rain,weather
מרור,maror,food,halachic role,related to,מצה,מצה,unleavened bread,halachic role
מרור,maror,food,halachic role,participates in,פסח,פסח,pesach,pilgrimage festival
מרור,maror,food,halachic role,participates in,קרבן פסח,קרבן פסח,passover korban,halachic role
מקוה,collection of water/mikveh,halachic role,structure,related to,בור,בור,pit,geographic feature
מקוה,collection of water/mikveh,halachic role,structure,participates in,טבילה,טבילה,immersing,halachic process
מקוה,collection of water/mikveh,halachic role,structure,participates in,טהרה,טהור טהרה,purity,quality
מקוה,collection of water/mikveh,halachic role,structure,similar to,מעין,מעין,spring (of water),geographic feature
משה אותות,Moshe and the signs,biblical historical event,,participates in,יציאת מצרים,יציאת מצרים,the exodus ,biblical historical event
משה אותות,Moshe and the signs,biblical historical event,,related to,משה נבואה,משה נבואה,Moshe's prophecy,theological process
משה אותות,Moshe and the signs,biblical historical event,,related to,נביא,נביא,prophet,role
מסירה,handing over,process,,has participant,מוסר,מוסר רשע,informer,role
מסירה,handing over,process,,related to,קנין,קנין,transaction/ownership,halachic process
משה ומלאכים,Moshe and angels,theology,,related to,משה תורה,משה תורה,Moshe and Torah,theological tenet
משכן פקודי,mishkan orders,biblical historical event,,related to,משכן נדבת,משכן נדבת,mishkan donation,biblical historical event
מגור,fear,emotion,,similar to,אימה,אימה,fear,emotion
מגור,fear,emotion,,similar to,פחד,פחד,fear,emotion
מגור,fear,emotion,,similar to,ירא,ירא יראה,fear/awe,emotion
מלאכה,work,process,,is a,אדם מעשה,אדם מעשה,action of man,process
מלאכה,work,process,,similar to,אומנות,אומנות,craft,process
מלאכה,work,process,,is a,מעשה,מעשה,act,process
מלאכה,work,process,,similar to,עבודה,עבודה פעולה,working,process
מלאכה,work,process,,similar to,פרנסה,פרנסה,work/earning a living,process
מרירי,,spiritual entity,,has specific dependence,קטב מרירי,קטב מרירי,plague/demonic attack,process
מרירי,,spiritual entity,,is a,שדים,שד,demon/harmful spirit,spiritual entity
מאדים,planet mars,inanimate object,,is a,מזל,מזל,constellation/destiny,object
מקלל אביו ואמו,one who curses parent,halachic process,,specifically dependent on,אב,אב,father,role
מקלל אביו ואמו,one who curses parent,halachic process,,specifically dependent on,אם,אם הורים,mother,role
מקלל אביו ואמו,one who curses parent,halachic process,,related to,כבוד אב ואם,כבוד אב ואם,respect for parents,halachic process
מקלל אביו ואמו,one who curses parent,halachic process,,specifically dependent on,מקלל,מקלל,curse,process
מקלל אביו ואמו,one who curses parent,halachic process,,specifically dependent on,קללה,קללה,curse,process
מורשה,heritage,knowledge,,similar to,ירושה,ירושה,inheritance,halachic process
מדה כנגד מדה,measure for measure,theology,,related to,חטא פעולה,חטא פעולה,effect of sin,theology
מדה כנגד מדה,measure for measure,theology,,related to,עונש,עונש,punishment,process
מעון,dwelling,structure,,related to,שמים,שמים,sky/heavens/cosmos,geographic site
מספר,quantity/numbers,quality,,similar to,מנה מנין,מנה מנין,count,process
מספר,quantity/numbers,quality,,related to,ספור,ספור ספר,telling/talking,process
מיאוס,disgust,emotion,,participates in,אדם טבע חברו,אדם טבע ומדות,character traits of man,quality
מיאוס,disgust,emotion,,participates in,אדם טבע חברו,אדם וחברו,treatment of others,meta halacha
מיאוס,disgust,emotion,,related to,דרך ארץ,דרך ארץ,ettiquette/social norms,halachic process
מגילת אסתר,,biblical source,,has participant,אחשורוש,אחשורוש,,biblical person
מגילת אסתר,,biblical source,,has participant,אסתר,אסתר,,biblical person
מגילת אסתר,,biblical source,,has participant,ושתי,ושתי,,biblical person
מגילת אסתר,,biblical source,,has participant,מרדכי,מרדכי,,biblical person
מגילת אסתר,,biblical source,,participates in,פורים,פורים,purim,rabbinic holiday
מרה דור המדבר,,biblical historical event,geographic site,synonymous with,דור המדבר מרה,דור המדבר מרה,generation of desert at Marah,biblical historical event
משה בסיני,Moshe at Sinai,biblical historical event,,similar to,משה תורה,משה תורה,Moshe and Torah,theological tenet
משה בסיני,Moshe at Sinai,biblical historical event,,similar to,מתן תורה,מתן תורה,giving of the Torah,biblical historical event
מטה,staff,inanimate object,,has specific dependence,משה מטה,משה מטה,Moshe staff,biblical historical event
משיח חבלי,birthpangs of messiah,theology,,precedes,גאולה,גאולה,redemption,process
משיח חבלי,birthpangs of messiah,theology,,temporally contains,גוג ומגוג,גוג ומגוג,,group of people
משיח חבלי,birthpangs of messiah,theology,,related to,לעתיד לבא,לעתיד לבא,future to come,theological process
משיח חבלי,birthpangs of messiah,theology,,precedes,משיח ימות,משיח ימות,messianic era,span of time
מנוח,,biblical person,,parent of,שמשון,שמשון,,biblical person
מנה בחר,appoint,process,,similar to,בחר,בחר,choose,process
מנה בחר,appoint,process,,similar to,הפקד,פקד,redeem/attend to/count/be absent/entrust,process
מנה בחר,appoint,process,,similar to,שררה,שררה,authority,role
מיתה בידי שמים,death from heaven,theological process,,similar to,כרת,כרת,divine punishment of severance,theological process
מיתה בידי שמים,death from heaven,theological process,,specifically dependent on,מיתה,מיתה,death,lifecycle process
מיתה בידי שמים,death from heaven,theological process,,is a,עונש,עונש,punishment,process
מריבה,fight/debate,process,,similar to,ריב,ריב,fight/debate,process
מחיצה,wall/divider,structure,,is category of,כותל,כותל,wall,structure
ממשלה,sovereignty,site,,has participant,מלך,מלך מלכות,king,role
ממשלה,sovereignty,site,,similar to,שררה,שררה,authority,role
מלקוש,late rain,weather,,is a,גשם,גשם,rain,weather
מלקוש,late rain,weather,,dissimilar to,יורה,יורה,first rains,weather
מלקוש,late rain,weather,,is a,מטר,מטר,rain,weather
משה חטא,Moshe sin,biblical historical event,,is category of,משה מי מריבה,משה מי מריבה,Moshe at waters of contention,biblical historical event
מחטיא,cause to sin,process,,related to,חטא,חטא,sin,process
מדוע,why,word,,similar to,למה,למה,why,word
מגד,nice fruit/delight,food,,similar to,מגדנות,מגדנות,luxuries,group of inanimate objects
מתכת,metal,inanimate object,,is category of,ברזל,ברזל,iron,material quality
מתכת,metal,inanimate object,,is category of,זהב,זהב,gold,inanimate object
מתכת,metal,inanimate object,,is category of,כסף,כסף,money/silver,inanimate object
מתכת,metal,inanimate object,,is category of,נחושת,,#N/A,#N/A
מתכת,metal,inanimate object,,is category of,נחושת,עופרת,lead (metal),inanimate object
מספר אחד,number 1,number,,related to,אחד,אחד,one,quality
מספר אחד,number 1,number,,related to,אחדות,אחדות,oneness,quality
מספר אחד,number 1,number,,related to,אלקים יחוד,אלקים יחוד,Oneness of HaShem,theological tenet
מספר אחד,number 1,number,,related to,ישראל אחדות,ישראל אחדות,unity of Jewish people,quality
מלקות,lashes,halachic process,,related to,מיתת בית דין,מיתת בית דין,capital punishment,halachic process
מלקות,lashes,halachic process,,is a,עונש,עונש,punishment,process
מגוש,magus/sorcerer,role,,participates in,כשוף,כשוף,sorcery,halachic process
מגלת רות,,biblical source,,related to,דוד,דוד,,biblical person
מגלת רות,,biblical source,,related to,רות,רות,,biblical person
מגלת רות,,biblical source,,participates in,שבועות,שבועות,,pilgrimage festival
משכן מסע,mishkan travel,halachic process,,participates in,דור המדבר מסע,דור המדבר מסע,generation of desert and traveling,biblical historical event
משכן מסע,mishkan travel,halachic process,,related to,לוים עבודה,לוים עבודה,levite service,halachic process
מוריה,,geographic site,,synonymous with,הר המוריה,הר המוריה,,geographic site
משה והלוחות,Moshe and tablets,biblical historical event,,related to,דור המדבר חטא,דור המדבר חטא,generation of desert and sin,theology
משה והלוחות,Moshe and tablets,biblical historical event,,specifically dependent on,לוחות,לוחות,the tablets,inanimate object
משה והלוחות,Moshe and tablets,biblical historical event,,related to,משה מתן תורה,משה תורה,Moshe and Torah,theological tenet
מעונן,magician,role,,participates in,כשוף,כשוף,sorcery,halachic process
מסע,journey,process,,has specific dependence,דור המדבר מסע,דור המדבר מסע,generation of desert and traveling,biblical historical event
מסע,journey,process,,synonymous with,נסע,נסע,travel,process
מקל,stick,inanimate object,,similar to,מטה,מטה,staff,inanimate object
מקל,stick,inanimate object,,similar to,שבט,,#N/A,#N/A
משכן,mishkan,structure,,similar to,אהל מועד,אוהל מועד,"""Tent of Meeting""",structure
משכן,mishkan,structure,,similar to,בית המקדש,בית המקדש,,structure
מוציא שם רע,slander,halachic process,,similar to,לשון הרע,לשון הרע,negative speech,halachic process
מוציא שם רע,slander,halachic process,,similar to,רכילות,,#N/A,#N/A
מומר,apostate,role,,similar to,אפיקורוס,אפיקורוס,type of heretic,role
מומר,apostate,role,,similar to,כופר,כפירה,heresy/denial,theological process
מומר,apostate,role,,similar to,מינות,מין מינות,heresy,role
מומר,apostate,role,,similar to,רשע,רשע,evil person,quality
מעשה,act,process,,has specific dependence,אדם מעשה,אדם מעשה,action of man,process
מעשה,act,process,,has specific dependence,מצוה מעשה,מצוה מעשה,act of a mitzvah,halachic process
מעשה,act,process,,participates in,עבודת ה',עבודת ה,serving HaShem,theological process
מאורות,light-giving celestial bodies,group of inanimate objects,,physically contains,אור,אור,light,inanimate object
מאורות,light-giving celestial bodies,group of inanimate objects,,participates in,בריאה מאורות,בריאה מאורות,creation of luminaries,theological process
מאורות,light-giving celestial bodies,group of inanimate objects,,is category of,ירח,ירח,month,span of time
מאורות,light-giving celestial bodies,group of inanimate objects,,is category of,כוכבים,כוכב,celestial object,inanimate object
מאורות,light-giving celestial bodies,group of inanimate objects,,is category of,שמש,שמש מאורות,the sun,inanimate object
מינקת,nurse,role,,participates in,הנקה,הנקה,nurse,lifecycle process
מינקת,nurse,role,,participates in,ינק,ינק,nurse,lifecycle process
מצרים רעב,famine in egypt,biblical historical event,,related to,יוסף ומצרים,יוסף ומצרים,Yosef in Egypt,biblical historical event
מצרים רעב,famine in egypt,biblical historical event,,has participant,פרעה,פרעה,,biblical person
מצרים רעב,famine in egypt,biblical historical event,,specifically dependent on,רעב,רעב,hunger/famine,process
מדע,worldly knowledge,knowledge,,is a,אדם ידיעה,אדם ידיעה,knowledge of man,knowledge
מדע,worldly knowledge,knowledge,,similar to,חכמה,חכמה,wisdom,knowledge
מדע,worldly knowledge,knowledge,,similar to,ידיעה,ידיעה,knowledge,disposition
מדע,worldly knowledge,knowledge,,related to,יון חכמת,יון חכמת לשון,Greek code,language
מדע,worldly knowledge,knowledge,,related to,פילוסופיה,פילוסוף פילוסופיה,philosopher,role
מדע,worldly knowledge,knowledge,,participates in,תורה ומדע,תורה ודרך ארץ,Torah and world/life,theology
מצרים,,nation/ethnicity,,participates in,גלות מצרים,גלות מצרים,egyptian exile,span of time
מצרים,,nation/ethnicity,,related to,יוסף,יוסף,,biblical person
מצרים,,nation/ethnicity,,participates in,יציאת מצרים,יציאת מצרים,the exodus ,biblical historical event
מצרים,,nation/ethnicity,,participates in,עשר מכות,עשר מכות,ten plagues,biblical historical event
מצרים,,nation/ethnicity,,has member,פרעה,פרעה,,biblical person
מצרים,,nation/ethnicity,,participates in,קריעת ים סוף,קריעת ים סוף,splitting of yam suf,biblical historical event
מרוז,,geographic site,,related to,דבורה,,#N/A,#N/A
מרוז,,geographic site,,related to,הסטוריה שופטים,הסטוריה שופטים,history of shoftim,span of time
מרוז,,geographic site,,related to,סיסרא,סיסרא,,biblical person
מחצית השקל,half-shekel,halachic process,,participates in,ישראל מנין,דור המדבר מנין,generation of desert and census,biblical historical event
מחצית השקל,half-shekel,halachic process,,related to,קרבן,קרבן,korban/offering,halachic role
מחצית השקל,half-shekel,halachic process,,specifically dependent on,שקל,שקל,type of coin/weight,inanimate object
מעל מעילה,benefitting from sanctified property,halachic process,,has halachic application,הקדש,הקדש,dedication to Beis HaMikdash,halachic process
מעל מעילה,benefitting from sanctified property,halachic process,,has halachic application,קדשים,קרבן,korban/offering,halachic role
מעל מעילה,benefitting from sanctified property,halachic process,,has halachic application,קרבן מעילה,מעילה,benefitting from sanctified property,halachic process
מול,facing,preposition,,similar to,נגד,נגד,against/facing/corresponding to,quality
מתנות עניים,gifts to poor,halachic role,,is category of,לקט,לקט,produce for poor to gather,halachic role
מתנות עניים,gifts to poor,halachic role,,is category of,מעשר עני,מעשר עני,tithe for poor,halachic role
מתנות עניים,gifts to poor,halachic role,,is category of,פאה,פאה מתנות עניים,corner of field for poor,halachic role
מתנות עניים,gifts to poor,halachic role,,is category of,שכחה,שכחה,forgotten sheaves,halachic role
מתנות עניים,gifts to poor,halachic role,,is category of,צדקה,צדקה,charity/giving,halachic process
מפיבושת,,biblical person,,related to,דוד,דוד,,biblical person
מפיבושת,,biblical person,,grandchild of,שאול,שאול מלך,,biblical person
מרחץ,bath,structure,,similar to,מקוה,מקוה,collection of water/mikveh,halachic role
מרחץ,bath,structure,,participates in,רחיצה,רחיצה,washing,process
מצבה,monolith,inanimate object,,related to,כלי מקדש מזבח,כלי מקדש מזבח,the altar,inanimate object
מצבה,monolith,inanimate object,,participates in,עבודה זרה,עבודה זרה,idolatry,halachic process
מצבה,monolith,inanimate object,,participates in,קבר,קבר,grave,structure
משה וקרח,Moshe and Korach,biblical historical event,,specifically dependent on,קרח,קרח,,biblical person
משה תורה,Moshe and Torah,theological tenet,specific person relationship,related to,משה לוחות,משה והלוחות,Moshe and tablets,biblical historical event
משה תורה,Moshe and Torah,theological tenet,specific person relationship,related to,מתן תורה,מתן תורה,giving of the Torah,biblical historical event
משה תורה,Moshe and Torah,theological tenet,specific person relationship,related to,תורה,תורה,the Torah,biblical source
מחסה,protection/shelter,quality,,similar to,מבטח,מבטח,trust/security,quality
מחסה,protection/shelter,quality,,similar to,מעוז,,#N/A,#N/A
מחסה,protection/shelter,quality,,similar to,מפלט,,#N/A,#N/A
מוצאות,circumstances,process,,similar to,קורות,קורות,events/happenings,process
מעשר,tithe,halachic role,,is category of,מעשר עני,מעשר עני,tithe for poor,halachic role
מעשר,tithe,halachic role,,is category of,מעשר שני,מעשר שני,second tithe,halachic role
מעשר,tithe,halachic role,,is category of,מעשר שני,מעשר בהמה,animal tithe,halachic role
מעשר,tithe,halachic role,,related to,מתנות כהונה,מתנות כהונה,kohen gifts,halachic role
מעשר,tithe,halachic role,,related to,מתנות עניים,מתנות עניים,gifts to poor,halachic role
מעשר,tithe,halachic role,,related to,קדשים,,#N/A,#N/A
מעשר,tithe,halachic role,,similar to,תרומה,תרומה,terumah-tithe,halachic role
מלבין פנים,embarass,phrase,,participates in,אדם חברו,אדם וחברו,treatment of others,meta halacha
מלבין פנים,embarass,phrase,,similar to,אונאה,אונאה,abuse/oppression,halachic process
מלבין פנים,embarass,phrase,,related to,תוכחה,תוכחה,rebuke,process
מחוספס,spread thinly,material quality,,related to,דור המדבר מן,דור המדבר מן,generation of desert and Man,biblical historical event
מחוספס,spread thinly,material quality,,related to,מן,מן דור המדבר,manna of desert,food
מלשין,to give over to authorities,process,,similar to,לשון הרע,לשון הרע,negative speech,halachic process
מלשין,to give over to authorities,process,,similar to,מוסר,מוסר רשע,informer,role
מלשין,to give over to authorities,process,,similar to,מוציא דבה,דבה,talk/tell,process
מלשין,to give over to authorities,process,,similar to,מוציא שם רע,מוציא שם רע,slander,halachic process
מלשין,to give over to authorities,process,,similar to,רכילות,,#N/A,#N/A
משה סיחון ועוג,Moshe vs. sichon and og,specific biblical person relationship,,similar to,דור המדבר סיחון ועוג,דור המדבר סיחון ועוג,generation of desert and Sichon/Og,biblical historical event
משה סיחון ועוג,Moshe vs. sichon and og,specific biblical person relationship,,specifically dependent on,משה כללי וארץ ישראל,משה,,biblical person
משה סיחון ועוג,Moshe vs. sichon and og,specific biblical person relationship,,participates in,משה כללי וארץ ישראל,משה וארץ ישראל,Moshe and land of Israel,biblical historical event
משה סיחון ועוג,Moshe vs. sichon and og,specific biblical person relationship,,specifically dependent on,סיחון,סיחון,,biblical person
משה סיחון ועוג,Moshe vs. sichon and og,specific biblical person relationship,,specifically dependent on,עוג,עוג,,biblical person
משגל,physical intimacy,process,,similar to,ביאה,ביאה,relations,process
מרתא בת בייתוס,,mishnaic person,,synonymous with,מרים בת בייתוס,מרים בת בייתוס,,mishnaic person
מזרח,east,quality,,related to,מערב,מערב,west,quality
מזרח,east,quality,,similar to,קדם,קדם,east/front,relationship
מזרח,east,quality,,is a,רוחות,רוחות,directions,quality
משה כהונה,Moshe's priesthood,biblical historical event,,related to,אהרן,אהרן,,biblical person
משה כהונה,Moshe's priesthood,biblical historical event,,specifically dependent on,כהונה,כהונה,quality of being a kohen,quality
משה כהונה,Moshe's priesthood,biblical historical event,,related to,כהן גדול,כהן גדול,,halachic role
משה כהונה,Moshe's priesthood,biblical historical event,,related to,משה ואהרן,משה ואהרן,Moshe and Aharon,specific biblical person relationship
מדה מדד,measurement,material quality,,has specific dependence,אדם טבע ומדות,אדם טבע ומדות,character traits of man,quality
מדה מדד,measurement,material quality,,has specific dependence,אלקים מדת הדין מדת הרחמים,אלקים מדות מדת הדין מדת הרחמים,judgement and mercy of HaShem,divine role
מדה מדד,measurement,material quality,,participates in,מסחר,מסחר,business,process
מדה מדד,measurement,material quality,,participates in,עונש,עונש,punishment,process
מדה מדד,measurement,material quality,,similar to,שיעורים,שיעורין,measurements,material quality
מנחה קרבן תפלה,source of mincha as tefillah,theology,,related to,קרבן מנחה,קרבן מנחה,minchah korban,halachic role
מנחה קרבן תפלה,source of mincha as tefillah,theology,,related to,תפלה,תפלה,prayer,theological process
מתתיהו,,mishnaic person,,member of,חשמונאים,חשמונאים,hasmoneans,group of people
משה ובניו,Moshe and his children,group of people,,has member,אליעזר,אליעזר,,biblical person
משה ובניו,Moshe and his children,group of people,,has member,גרשם,גרשם,,biblical person
משה ובניו,Moshe and his children,group of people,,participates in,משה מילה וצפורה,משה מילה,Moshe bris milah,biblical historical event
משה ובניו,Moshe and his children,group of people,,related to,משה מילה וצפורה,משה וצפורה,Moshe and Tzipporah,specific biblical person relationship
מורא,awe,emotion,,similar to,יראה,ירא יראה,fear/awe,emotion
מורא,awe,emotion,,similar to,פחד,פחד,fear,emotion
מקצוע,specialty/profession,role,,similar to,אומנות,אומנות,craft,process
מקצוע,specialty/profession,role,,similar to,פרנסה,פרנסה,work/earning a living,process
מכות,lashes,process,,similar to,מלקות,מלקות,lashes,halachic process
מסכה,metal/forged,quality,,similar to,אליל,אליל,idol,inanimate object
מסכה,metal/forged,quality,,participates in,עבודה זרה,עבודה זרה,idolatry,halachic process
מקרא,written torah,biblical source,,participates in,למוד,למוד,learning,process
מקרא,written torah,biblical source,,similar to,תורה,תורה,the Torah,biblical source
מזון,food,food,,related to,אדם הראשון אכילה,אדם הראשון אכילה,food for Adam,theology
מזון,food,food,,participates in,אכילה,אכילה,eating,process
מזון,food,food,,participates in,דור המדבר מן,דור המדבר מן,generation of desert and Man,biblical historical event
מזון,food,food,,similar to,לחם,לחם,bread,inanimate object
מזון,food,food,,related to,פרנסה,פרנסה,work/earning a living,process
מר,bitter,material quality,,related to,חושים,חושים אדם,senses,fiat object part
מר,bitter,material quality,,related to,מרור,מרור,maror,food
מדינה,country,geographic site,,similar to,ארץ,ארץ,land/earth,geographic feature
מדינה,country,geographic site,,similar to,גוי,גוי,nation,group of people
מדינה,country,geographic site,,similar to,לאום,לאום לאומיות,nation,group of people
מדינה,country,geographic site,,related to,מלכות,מלך מלכות,king,role
מדינה,country,geographic site,,similar to,עם,עם אומה,nation,group of people
מדינה,country,geographic site,,similar to,צבור,צבור,community/collective,group of people
משה וחטא העגל,Moshe and golden calf,biblical historical event,,precedes,משה תפלה בעגל,משה תפלה בעגל,Moshe prayer re calf,biblical historical event
מעמד ומושב,standing and sitting for mourners,halachic process,,participates in,אבלות,אבלות,mourning,halachic process
משה תוכחה,Moshe rebuke,biblical historical event,,related to,דור המדבר תלונה,דור המדבר תלונה וריב,generation of desert belligerence,biblical historical event
משה תוכחה,Moshe rebuke,biblical historical event,,related to,משה וישראל,משה וישראל,Moshe and Israel,specific biblical person relationship
משה תוכחה,Moshe rebuke,biblical historical event,,specifically dependent on,תוכחה,תוכחה,rebuke,process
משנה תורה,,source,,physically contained in,תורה,תורה,the Torah,biblical source
מחלון וכליון,,group of people,,related to,בועז,בועז,,biblical person
מחלון וכליון,,group of people,,child in law of,נעמי רות,נעמי,,biblical person
מחלון וכליון,,group of people,,related to,נעמי רות,רות,,biblical person
ממלכה,kingdom,site,,similar to,מלך מלכות,מלך מלכות,king,role
מלוה,loan,halachic process,,similar to,חוב,,#N/A,#N/A
מלוה,loan,halachic process,,related to,תשלומין,תשלומין,payment,process
מתנות כהונה חזה ושוק,kohen gifts: breast and thigh,halachic role,,is a,מתנות כהונה כללי,מתנות כהונה,kohen gifts,halachic role
מתנות כהונה חזה ושוק,kohen gifts: breast and thigh,halachic role,,related to,קרבן אכילה,קרבן אכילה,eating korban,halachic process
מחול,circle dance,artistic process,,is a,רקוד,רקד רקידה,dance,artistic process
מחול,circle dance,artistic process,,causes,שמחה,שמחה,happiness,emotion
מעמדות,divisions of population for prayer/presence in Beis HaMikdash,group of people,,participates in,קרבן הקרבה,קרבן הקרבה,sacrificial order,halachic process
מופלא סמוך לאיש,close to becoming an adult,lifecycle process,,related to,נדר,נדר,oath,halachic process
מקח וממכר,buying and selling,process,,is a,מסחר,מסחר,business,process
מעלה בחוץ,sacrificing outside Beis HaMikdash,halachic process,,similar to,קרבן שחוטי חוץ,קרבן שחוטי חוץ,korban slaughtered outside temple,halachic role
מוסר רשע,informer,role,,similar to,מין,מין מינות,heresy,role
מוסר רשע,informer,role,,similar to,רשע,רשע,evil person,quality
משחית,[force of] destruction,spiritual entity,,similar to,מלאך המות,מלאך המות,angel of death,spiritual entity
משחית,[force of] destruction,spiritual entity,,similar to,"סט""א",,#N/A,#N/A
משחית,[force of] destruction,spiritual entity,,similar to,שדים,שד,demon/harmful spirit,spiritual entity
משחית,[force of] destruction,spiritual entity,,related to,שחת,שחת שחת,pit/waste/trap,process
משחית,[force of] destruction,spiritual entity,,similar to,שטן,שטן,,spiritual entity
משקל,weight,material quality,,related to,מאזנים,מאזנים,scales (to weigh),inanimate object
משקל,weight,material quality,,is a,מדה,מדה מדד,measurement,material quality
משקל,weight,material quality,,related to,שקל,שקל,type of coin/weight,inanimate object
מרמה,cleverness,quality,,similar to,כזב,כזב,deceit,quality
מרמה,cleverness,quality,,similar to,ערמה,ערמה,cleverness,character trait
מרמה,cleverness,quality,,similar to,שקר,שקר,falsehood,quality
מעלה גרה,animal that regurgitates cud,material quality,,related to,בעלי חיים,בעלי חיים,animals,living creature
מעלה גרה,animal that regurgitates cud,material quality,,related to,מאכלות אסורות,מאכלות אסורות,forbidden foods,halachic quality
מוץ,straw,inanimate object,,physically contained in,תבואה,תבואה,grain/produce,group of plants
מוץ,straw,inanimate object,,similar to,תבן,תבן,straw,inanimate object
מצוה,commandment,generically dependent continuant,,participates in,אדם מעשה,אדם מעשה,action of man,process
מצוה,commandment,generically dependent continuant,,participates in,עבודת ה',עבודת ה,serving HaShem,theological process
מצוה,commandment,generically dependent continuant,,physically contained in,תורה,תורה,the Torah,biblical source
מלכת השמים,star/subject of idolatry,halachic process,,is a,עבודה זרה,עבודה זרה,idolatry,halachic process
מלאך שירה וקדושה,song and kedushah of angels,process,,related to,אדם מלאך,אדם ומלאך,man and angel,relationship
מלאך שירה וקדושה,song and kedushah of angels,process,,has participant,מלאך כללי,מלאך,angel/messenger,spiritual entity
מלאך שירה וקדושה,song and kedushah of angels,process,,related to,תפלה,תפלה,prayer,theological process
משיח בן יוסף,messiah from yosef,role,,participates in,גאולה,גאולה,redemption,process
משיח בן יוסף,messiah from yosef,role,,opposed,גוג ומגוג,גוג ומגוג,,group of people
משיח בן יוסף,messiah from yosef,role,,is a,משיח,משיח,messiah/annointed,role
מילה,bris milah,halachic process,,related to,אברהם ברית,אברהם ברית,covenant of Avraham,covenant
