category,tag,parent,hebrew tag,count,is a type of,is category,not synonym,aspaklaria topic,aspkalaria english,aspaklaria type,
Holidays,Simchat Torah,,שמחת תורה,42,,,,שמחת תורה,simchas torah,rabbinic holiday,
Philosophy,Particularism,,פרטיקולריות,42,philosophy,,,,#N/A,#N/A,
Bible,Eliyahu,,אליהו,41,,,,אליהו,,biblical person,
Holidays,Shemini Atzeret,,שמיני עצרת,41,,,,שמיני עצרת,shemini atzeres,pilgrimage festival,
Ritual Objects,Tefillin,Tefilla,תפילין,41,,,,תפילין,tefillin,halachic role of inanimate object,
Torah Portions,Parashat Acharei Mot,Parshat Acheri Mot,אחרי מות,41,source,,,,#N/A,#N/A,
Philosophy,Compassion,,חמלה,40,,,,חמל חמלה,sympathize,process,
Prayer,Berakhot,Blessings,ברכות,40,,,,ברכות,halachic blessing,halachic process,
Science,Time,,זמן,40,,,,זמן,time,span of time,
Society,Gender in Kabbalah,,מגדר בקבלה,40,,,,,#N/A,#N/A,
Texts,Bereshit,Parashat Bereishit,בראשית,40,source,,,,#N/A,#N/A,
Texts,Deuteronomy,Sefer Devarim,ספר דברים,40,source,,,,#N/A,#N/A,
Texts,Gemara,,תלמוד,40,,,,תלמוד,talmud,source,
Torah Portions,Parashat Chukat,,חקת,40,source,,,,#N/A,#N/A,
Law,Damages,,נזיקין,39,,,,נזיקין,damages,halachic process,
Law,Death Penalty,,עונש מוות,39,,,,מיתת בית דין,capital punishment,halachic process,
Religion,Bar Mitzvah,,בר מצווה,39,,,,בר מצוה,,halachic role of person,
Society,Environmental Justice,,צדק סביבתי,39,ethic,,,,#N/A,#N/A,
Society,Government,,ממשלה,39,,,,ממשלה,sovereignty,site,
Society,Kavod,,,39,,,,כבוד,respect/honor,process,
Society,Rape,,אונס,39,,,,אונס,coercion,meta halacha,
Texts,Gittin,,גיטין,39,source,,,,#N/A,#N/A,
Torah Portions,Mishpatim,Parshat Mishpatim,משפטים,39,source,,,,#N/A,#N/A,
Bible,Spies,,מרגלים,38,,,,מרגלים,spies,role of person,
Education,Student Work,,,38,process,,,,#N/A,#N/A,
Geography,Geula,,גאולה,38,,,,גאולה,redemption,process,
Religion,Bat Kol,,בת קול,38,,,,בת קול,Divine voice/echo,spiritual entity,
Science,Plants & Trees,,,38,,,,צמח,plant/growth,living creature,
Society,Honoring Parents,,כיבוד הורים,38,,,,כבוד אב ואם,respect for parents,halachic process,
Texts,Megillah,,מגילה,38,source,,,,#N/A,#N/A,
Texts,Vayikra,,ויקרא,38,source,,,,#N/A,#N/A,
Torah Portions,Lech Lecha,Parashat Lech Lecha,לך לך,38,source,,,,#N/A,#N/A,
Torah Portions,Parashat Shelach,,שלח,38,source,,,,#N/A,#N/A,
Bible,Ezekiel,,יחזקאל,37,,,,יחזקאל,,biblical person,
Bible,Hannah,,חנה,37,,,,חנה,,biblical person,
Bible,Jeremiah,,ירמיהו,37,,,,ירמיה,,biblical person,
Bible,Lot,,לוט,37,,,,לוט,,biblical person,
Society,Ger,,,37,,,,גר,foreigner/convert,halachic role of person,
Society,Gossip,,רכילות,37,halachic process,,,,#N/A,#N/A,
Torah Portions,Parashat Korach,,קרח,37,source,,,,#N/A,#N/A,
Torah Portions,Vayeshev,Parashat Vayeshev,וישב,37,source,,,,#N/A,#N/A,
Authors,Akiva,,עקיבא,36,,,,רבי עקיבא,,mishnaic person,
Education,High School,,בית ספר תיכון,36,,,,,#N/A,#N/A,
Education,Study,,לימוד,36,,,,למוד,learning,process,
History,Holocaust,,שואה,36,historical event,,,,#N/A,#N/A,
Philosophy,Life,,חיים,36,,,,אדם חייו,life of man,lifecycle process,
Philosophy,Values,,ערכים,36,philosophy,,,,#N/A,#N/A,
Prayer,Tashlich,,תשליך,36,,,,תשליך,tashlich,halachic process,
Society,Oppression,,עושק,36,,,,עשק,take advantage of,process,
Society,Social Action,,פעולה חברתית,36,process,,,,#N/A,#N/A,
Texts,Bamidbar,Parshat Bamidbar,במדבר,36,source,,,,#N/A,#N/A,
Arts,Judaism and Art,,יהדות ואמנות,35,philosophy,,,,#N/A,#N/A,
Bible,Pinchas,,פנחס,35,,,,פנחס,,biblical person,
Education,NCSY JOLT,,,35,,,,,#N/A,#N/A,
Food,Kosher,Kashrut,כשרות,35,,,,מאכלות אסורות,forbidden foods,halachic quality,
Philosophy,Fear,,פחד,35,,,,פחד,fear,emotion,
Philosophy,Morality,,מוסריות,35,philosophy,,,,#N/A,#N/A,
Religion,B'tzelem Elohim,,בצלם,35,,,,אדם צלם אלקים,man representing the Divine,theology,
Ritual Objects,Fire,,אש,35,,,,אש,fire,inanimate object,
Ritual Objects,Horn,,,35,,,,קרן,horn/principal amount,object,
Ritual Objects,Ram,,,35,,,,איל,ram,mammal,
Ritual Objects,Ram's Horn,,,35,,,,שופר שופרות,shofar/trumpet,inanimate object,
Education,Chevruta,,חברותא,34,halachic process,,,,#N/A,#N/A,
Law,Vows,,נדרים,34,,,,נדר,oath,halachic process,
Religion,Theodicy,,תאודיציה,34,,,,צדיק ורע לו,bad things happening to righteous people,theology,
Bible,Bible,,"תנ""ך",33,,,,מקרא,written torah,biblical source,
Bible,Job,,ספר איוב,33,,,,איוב,,biblical person,
Law,Niddah,,נידה,33,,,,נדה זבה,nidah/zavah,halachic role of person,
Law,United States Law,,החוק האמריקאי,33,law,,,,#N/A,#N/A,
Philosophy,Dreams,,חלומות,33,,,,חלום,dream,knowledge,
Philosophy,Tzedek,,צדק,33,,,,צדק,justice,halachic process,
Religion,Image of God,,צלם אלוקים,33,,,,אדם צלם אלקים,man representing the Divine,theology,
Religion,Judaism,,יהדות,33,,,,יהדות,Judaism,theology,
Religion,Shmirat Ha-Guf,,שמירת הגוף,33,,,,בריאות,health,quality,
Religion,Spirituality,,רוחניות,33,,,,רוחניות,spirituality,theology,
Society,Change,,שינוי,33,,,,שינוי,change/difference,process,
Society,Parenting,,הורות,33,,,,חנוך אב ובן,chinuch,process,
Society,Pluralism,,פלורליזם,33,philosophy,,,,#N/A,#N/A,
Society,Unity,,אחדות,33,,,,אחדות,oneness,quality,
Torah Portions,Nitzavim,Parashat Nitzavim,נצבים,33,source,,,,#N/A,#N/A,
Bible,Balak,,בלק,32,,,,בלק,,biblical person,
Bible,Matan Torah,,מתן תורה,32,,,,מתן תורה,giving of the Torah,biblical historical event,
Law,Brit,,ברית,32,,,,ברית,covenant,process,
Medicine,Medicine,,תרופה,32,,,,רפואה,medicine/medical treatment,process,
Torah Portions,Parashat Vayikra,,ויקרא,32,source,,,,#N/A,#N/A,
Calendar,Nisan,,ניסן,31,,,,ניסן,month of nisan,month,
Education,Bnei Akiva,,בני עקיבא,31,,,,,#N/A,#N/A,
Folklore,Magic,,קסם,31,,,,כשוף,sorcery,halachic process,
Geography,Babel,,בבל,31,,,,בבל,,nation/ethnicity,
Holidays,Rosh Hashana,Rosh Hashanah,ראש השנה,31,holiday,,,,#N/A,#N/A,
Holidays,Yamim Noraim,High Holidays,ימים נוראים,31,holiday,,,,#N/A,#N/A,
Philosophy,Honor,,כבוד,31,,,,כבוד,respect/honor,process,
Philosophy,Hope,,תקוה,31,,,,תקוה,hope,emotion,
Philosophy,Jewish Wisdom,,,31,philosophy,,,,#N/A,#N/A,
Philosophy,Nazir,,נזיר,31,,,,נזיר,nazirite,halachic role of person,
Prayer,Havdalah,,הבדלה,31,,,,הבדלה,havdallah,halachic process,
Society,Action,,פעולה,31,,,,פעל פעולה,do/make,process,
Society,Democracy,,דמוקרטיה,31,philosophy,,,,#N/A,#N/A,
Society,Gentile,,גוי,31,,,,נכרי,foreigner (non-Jew),quality,
Society,Inheritance,,ירושה,31,,,,ירושה,inheritance,halachic process,
Society,Voting,,הצבעה,31,process,,,,#N/A,#N/A,
Torah Portions,Parashat Bechukotai,,בחוקתי,31,source,,,,#N/A,#N/A,
Torah Portions,Parashat Devarim,,דברים,31,source,,,,#N/A,#N/A,
Authors,Rabban Gamliel,,רבן גמליאל,30,,,,רבן גמליאל,,mishnaic person,
Bible,Leah,,לאה,30,,,,לאה,,biblical person,
Education,Lippman Kanfer Foundation for Living Torah,,,30,,,,,#N/A,#N/A,
Holidays,Chanukah,Chanukah,חנוכה,30,,,,חנכה,chanukah,rabbinic holiday,
Philosophy,Consent,,הסכמה,30,process,,,,#N/A,#N/A,
Philosophy,Jewish Sensibilities,,,30,ethic,,,,#N/A,#N/A,
Philosophy,Purpose,,כוונה,30,,,,אדם תפקיד ושלמות,purpose of man,disposition,
Philosophy,Sensibilities,,,30,ethic,,,,#N/A,#N/A,
Science,Dark,,אפל,30,,,,חושך,darkness,quality,
Science,Science,,מדע,30,science,yes,,,#N/A,#N/A,
Society,Gun Control,,חוקי נשק,30,law,,,,#N/A,#N/A,
Society,Identity,,זהות,30,,,,אנוכיות,I-ness,quality,
Society,Media,,כלי תקשורת,30,generically dependent continuant,,,,#N/A,#N/A,
Society,Non-Jews,,גוים,30,,,,נכרי,foreigner (non-Jew),quality,
Texts,Mishlei,,,30,,,,משלי,,biblical source,
Torah Portions,Vayishlach,Parashat Vayishlach,וישלח,30,source,,,,#N/A,#N/A,
Authors,Mindfulness,,שימת לב,29,theological process,,,,#N/A,#N/A,
Authors,Nachman,,נחמן,29,modern person,,,,#N/A,#N/A,
Law,Lashon Hara,,לשון הרע,29,,,,לשון הרע,negative speech,halachic process,
Philosophy,Tzedaka,Tzedakah,צדקה,29,,,,צדקה,charity/giving,halachic process,
Religion,Demons,,שדים,29,,,,שד,demon/harmful spirit,spiritual entity,
Religion,Resurrection,,תחיית המתים,29,,,,תחיית המתים,resurrection,theological tenet,
Ritual Objects,Challah,,חלה,29,,,,חלה מתנות כהונה,portion from dough given to kohanim,halachic role of inanimate object,
Ritual Objects,Lulav,,לולב,29,,,,לולב,,halachic role of inanimate object,
Science,Sustainability,,קיימות,29,ethic,,,,#N/A,#N/A,
Texts,Bereishit,Parashat Bereishit,בראשית,29,source,,,,#N/A,#N/A,
Texts,Pirke Avot,Pirkei Avot,פרקי אבות,29,source,,,,#N/A,#N/A,
Bible,Yosef,Joseph,יוסף,28,,,,יוסף,,biblical person,
Holidays,Tu B'shvat,Tu BiShvat,"ט""ו בשבט",28,,,,חמשה עשר בשבט,15th of Shvat,day,
Holidays,Purim,Purim,פורים,28,,,,פורים,purim,rabbinic holiday,
Society,Jewish LGBT,,"להט""ב יהודי",28,theology,,,,#N/A,#N/A,
Society,Weddings,Wedding,חתונה,28,,,,נשואין,marriage,halachic process,
Texts,Aggadah,,אגדה,28,,,,אגדה,"midrash, homily",source,
Texts,Hasidus,Chassidut,חסידות,28,source,,,,#N/A,#N/A,
Torah Portions,Ki Tisa,Parashat Ki Tissa,כי תשא,28,source,,,,#N/A,#N/A,
Torah Portions,Vayechi,Parashat Vayechi,ויחי,28,source,,,,#N/A,#N/A,
Bible,Sodom,,סדום,27,,,,סדום,,geographic site,
Food,Vegetarianism,,צמחונות,27,philosophy,,,,#N/A,#N/A,
Holidays,Chanukkah,Chanukah,חנוכה,27,,,,חנכה,chanukah,rabbinic holiday,
Philosophy,Tikkun,,תיקון,27,,,,תקון,improving/fixing,process,
Religion,Introduction to Judaism,,מבוא ליהדות,27,theology,,,,#N/A,#N/A,
Religion,Reincarnation,,גלגול נשמות,27,,,,גלגול,reincarnation,theology,
Society,Gender in Judaism,,מגדר ביהדות,27,theology,,,,#N/A,#N/A,
Society,Peah,,פאה,27,,,,פאה מתנות עניים,corner of field for poor,halachic role of inanimate object,
Society,Rebuke,,נזיפה,27,,,,נזיפה,scolding,process,
Society,Ushpizin,,אושפיזין,27,theology,,,,#N/A,#N/A,
Torah Portions,Parashat Bamidbar,Parshat Bamidbar,במדבר,27,source,,,,#N/A,#N/A,
Torah Portions,Parashat Behar,,בהר,27,source,,,,#N/A,#N/A,
Torah Portions,Parsha,,פרשה,27,,,,פרשה,textual portion/parashah,biblical source,
Torah Portions,Shoftim,Parashat Shoftim,שופטים,27,source,,,,#N/A,#N/A,
Torah Portions,Toldot,Parashat Toldot,תולדות,27,source,,,,#N/A,#N/A,
Bible,Dina,,,26,,,,דינה,,biblical person,
Education,Students,,סטודנטים,26,,,,תלמיד,student,occupation,
Food,Farming,,,26,,,,חקלאות,agriculture,science,
Holidays,Rabbinic Holiday,,,26,holiday,,,,#N/A,#N/A,
Holidays,Tu Bishvat,Tu BiShvat,"ט""ו בשבט",26,,,,חמשה עשר בשבט,15th of Shvat,day,
Law,Parapet,,מעקה,26,,,,מעקה,safety fence on roof,structure,
Philosophy,Thanks,,תודה,26,,,,תודה,thanksgiving,process,
Prayer,Al Hanisim,,על הניסים,26,source,,,,#N/A,#N/A,
Prayer,Blessing,,ברכה,26,,,,ברכות,halachic blessing,halachic process,
Religion,Bat Mitzvah,,,26,halachic role of person,,,,#N/A,#N/A,
Religion,Reward,,פרס,26,,,,פרס שכר,reward,role,
Ritual Objects,Four Cups,,ארבעה כוסות,26,,,,ארבע כוסות,the 4 cups,halachic role of inanimate object,
Ritual Objects,Tzitzit,,ציצית,26,,,,ציצית,tzitzit,halachic role of inanimate object,
Science,Animal Rights,,זכויות בעלי חיים,26,freedom,,,,#N/A,#N/A,
Science,Eco,,אקו,26,ethic,,,,#N/A,#N/A,
Society,Captives,,שבויים,26,role of person,,yes,פדיון שבויים,redeeming captives,halachic process,
Society,Divorce,,גירושין,26,,,,גרושין,divorce,halachic process,
Society,Election,,בחירה,26,process,,,,#N/A,#N/A,
Society,Human Rights,,זכויות אדם,26,,,,צדק,justice,halachic process,
Texts,Mishnayos,Mishnah,משנה,26,,,,משנה,,source,
Authors,Famous Rashi,,,25,source,,,,#N/A,#N/A,
Authors,Vered Hollander-Goldfarb,,ורד הולנדר - גולדפרב,25,modern person,,,,#N/A,#N/A,
Bible,Judah,,יהודה,25,,,,יהודה,,biblical person,
Bible,Proverbs,,משלי,25,,,,משלי,,biblical source,
Bible,Solomon,,שלמה,25,,,,שלמה,,biblical person,
Holidays,Mishloach Manot,,משלוח מנות,25,,,,משלח מנות,gifts on Purim,halachic role of inanimate object,
Prayer,Kiddush,,קידוש,25,,,,קדוש,kiddush,halachic process,
Science,Moon,,ירח,25,,,,ירח לבנה,moon,inanimate object,
Society,Consumerism & Wealth,,,25,philosophy,,,,#N/A,#N/A,
Society,Lies,,שקרים,25,,,,שקר,falsehood,quality,
Society,Race,,גזע,25,material quality,,,,#N/A,#N/A,
Society,Racism,,גזענות,25,ethic,,,,#N/A,#N/A,
Society,Second Amendment,,התיקון השני,25,law,,,,#N/A,#N/A,
Society,Social Media,,מדיה חברתית,25,generically dependent continuant,,,,#N/A,#N/A,
Texts,Megilat Esther,Esther,מגילת אסתר,25,,,,אסתר,,biblical person,
Torah Portions,Bo,Parashat Bo,בא,25,source,,,,#N/A,#N/A,
Torah Portions,Parashat Ma'asei,,מסעי,25,source,,,,#N/A,#N/A,
Torah Portions,Parashat Metzora,,מצורע,25,source,,,,#N/A,#N/A,
Arts,Songs,Song,שיר,24,,,,שיר,song/poetry,artistic process,
Education,Example,,דוגמא,24,quality,,,,#N/A,#N/A,
Folklore,Superstition,,אמונה טפלה,24,,,,דרכי האמורי,Emorite ways/arbitrary non-Jewish practices,halachic process,
Food,Planting,,שתילה,24,,,,נטע נטיעה,planting,process,
Food,Tamar,,תמר,24,,,,תמר יהודה,Tamar,biblical person,
Philosophy,Anger,,כעס,24,,,,כעס,anger,emotion,
Religion,Book of Life,,ספר החיים,24,theology,,,,#N/A,#N/A,
Ritual Objects,Parah Adumah,,פרה אדומה,24,,,,פרה אדומה,the red heifer,halachic quality,
Society,Affluence,,,24,,,,עשיר,wealthy person,quality,
Society,Global Day,,יום גלובלי,24,day,,,,#N/A,#N/A,
Society,Immigrants,,עולים,24,role of person,,,,#N/A,#N/A,
Society,Lesbian,,לסביות,24,disposition,,,,#N/A,#N/A,
Society,Protest,,מחאה,24,,,,מחאה,protest,process,
Society,Simcha,,שמחה,24,,,,שמחה,happiness,emotion,
Texts,Rabbinics,,רבנים,24,,,,,#N/A,#N/A,
Torah Portions,Re'eh,Parashat Re'eh,ראה,24,source,,,,#N/A,#N/A,
Bible,Hagar,,הגר,23,,,,הגר,,biblical person,
History,Maccabees,,מכבים,23,,,,יהודה המכבי,,mishnaic person,
Holidays,Yom Yerushalayim,,,23,holiday,,,,#N/A,#N/A,
Holidays,Passover,Passover,פסח,23,,,,פסח,pesach,pilgrimage festival,
Holidays,Shavuot,Shavuot,שבועות,23,,,,שבועות,,pilgrimage festival,
Literature,Narrative,,נרטיב,23,process,,,,#N/A,#N/A,
Philosophy,Creativity,,יצירתיות,23,character trait,,,,#N/A,#N/A,
Philosophy,Tikkun Haolam,Tikkun Olam,תיקון עולם,23,,,,תקון העולם,for the collective good,meta halacha,
Religion,Brachot,Blessings,ברכות,23,,,,ברכות,halachic blessing,halachic process,
Religion,Eschatology,,חזון אחרית הימים,23,,,,אחרית הימים,the days of mashiach,theological tenet,
Society,Housing,,,23,generically dependent continuant,,,,#N/A,#N/A,
Society,Politics,,פוליטיקה,23,generically dependent continuant,,,,#N/A,#N/A,
Society,Wedding,,חתונה,23,,,,נשואין,marriage,halachic process,
Texts,Megilat Esther,Esther,מגילת אסתר,23,source,,,,#N/A,#N/A,
Torah Portions,Parsha Questions (Lamdut),Parsha Questions,שאלות פרשה (למידות),23,,,,,#N/A,#N/A,
Torah Portions,Pekudei,Parashat Pekudei,פקודי,23,source,,,,#N/A,#N/A,
Torah Portions,Vaera,Parashat Vaera,וארא,23,source,,,,#N/A,#N/A,
Bible,Naaseh Ve'nishma,,נעשה ונשמע,22,,,,נעשה ונשמע,"""we will do and listen/learn""",phrase,
Bible,שאלות בפרשה בלמדות,Scholarly Questions on the Parsha,,22,,,,,#N/A,#N/A,
Education,Family Education,,חינוך למשפחה,22,process,,,,#N/A,#N/A,
Education,Talmud Torah,,לימוד תורה,22,halachic process,,,,#N/A,#N/A,
Education,Teaching Torah,,לימוד תורה,22,halachic process,,,,#N/A,#N/A,
Food,Bread,,לחם,22,,,,לחם,bread,inanimate object,
Food,Dairy,,חלבי,22,,,,חלב,milk,food,
History,Exile,,גלות,22,,,,גלות,exile,process,
History,Yavnehsages,,,22,,,,יבנה,,geographic site,
Holidays,Lag B'Omer,,"ל""ג בעומר",22,,,,לג בעומר,,rabbinic holiday,
Law,Eye for an Eye,,עין תחת עין,22,,,,עין תחת עין,an eye for an eye,phrase,
Philosophy,Hypocrisy,,צביעות,22,,,,צבוע רשע,imposter,character trait,
Religion,Christianity,,נצרות,22,,,,נצרות,christianity,theology,
Religion,End of Days,,אחרית הימים,22,,,,אחרית הימים,the days of mashiach,theological tenet,
Ritual Objects,Oil,,שמן,22,,,,שמן,oil,inanimate object,
Science,Gardening,,גננות,22,process,,,,#N/A,#N/A,
Society,Elections,,בחירות,22,process,,,,#N/A,#N/A,
Society,Equality,,שוויון,22,ethic,,,,#N/A,#N/A,
Society,Gifts,,מתנות,22,,,,מתנה,gift,inanimate object,
Society,Labor,,עבודה,22,,,,עבודה פעולה,working,process,
Society,Peoplehood,,לאומיות,22,,,,אומה,nation,group of people,
Society,Weapons,,כלי נשק,22,,,,כלי זיין,weapon,inanimate object,
Torah Portions,Parashat Ki Teitze,Parashat Ki Teitzei,כי תצא,22,source,,,,#N/A,#N/A,
Bible,Ezra,,עזרא,21,,,,עזרא,,biblical person,
Bible,Vashti,,ושתי,21,,,,ושתי,,biblical person,
Bible,Esther,Esther,אסתר,21,,,,אסתר,,biblical person,
Education,Final Project,,פרויקט גמר,21,,,,,#N/A,#N/A,
Education,Jewish Education,,חינוך יהודי,21,,,,חנוך אב ובן,chinuch,process,
Education,Torat Chovevei,,תורת חובבי,21,,,,,#N/A,#N/A,
Education,YCT,,,21,,,,,#N/A,#N/A,
History,Destruction,,הרס,21,,,,הרס,destroy,process,
Law,Jewish Law,,ההלכה היהודית,21,,,,הלכה,,law,
Law,Lost Property,,אבידה,21,,,,אבדה,lost object,role,
Law,Sanhedrin,,,21,,,,סנהדרין,,group of people,
Literature,Translation,,תרגום,21,,,,תרגום,translation,process,
Philosophy,Dream,,חלום,21,,,,חלום,dream,knowledge,
Philosophy,Hitbodedut,,,21,,,,התבודדות,solitude/meditation,process,
Philosophy,Humanity,,אנושיות,21,,,,אדם,man,material quality,
Philosophy,Loss,,הפסד,21,,,,הפסד,loss,process,
Philosophy,Mercy,,רחמים,21,,,,רחמים,mercy/empathy,emotion,
Religion,Conservative,,שמרני,21,halachic role of person,,,,#N/A,#N/A,
Religion,Avodah Zara,Avodah Zara,עבודה זרה,21,,,,עבודה זרה,idolatry,halachic process,
Society,Activism,,פעלתנות,21,ethic,,,,#N/A,#N/A,
Society,Converts,,,21,,,,גר,foreigner/convert,halachic role of person,
Society,Intermarriage,,נשואי תערובת,21,,,,התבוללות,assimilation,process,
Society,Refugee,Refugees,פליטים,21,role of person,,,,#N/A,#N/A,
Society,Trump,,טראמפ,21,modern person,,,,#N/A,#N/A,
Society,Wealth,,עושר,21,,,,עושר,wealth,quality,
Texts,Yerushalmi,,ירושלמי,21,source,,,,#N/A,#N/A,
Torah Portions,Beshalach,Parashat Beshalach,בשלח,21,source,,,,#N/A,#N/A,
Torah Portions,Parashat Ha'azinu,,האזינו,21,source,,,,#N/A,#N/A,
Authors,Rabbis,Rabbi,רבנים,20,,,,רב רבי,rabbinic title,halachic role,
Authors,Rava,,רבא,20,,,,רבא,,talmudic person,
Authors,Rava,Rava,רבא,20,,,,רבא,,talmudic person,
Bible,Boaz,,בועז,20,,,,בועז,,biblical person,
Bible,Numbers,,במדבר,20,source,,,,#N/A,#N/A,
Bible,Rut,Ruth,רות,20,,,,רות,,biblical person,
Education,Class Activity,,פעילות כיתתית,20,,,,,#N/A,#N/A,
Education,Pedagogy,,פדגוגיה,20,process,,,,#N/A,#N/A,
Education,TalmudLive,,,20,,,,,#N/A,#N/A,
Folklore,Sorcery,,כישוף,20,,,,כשוף,sorcery,halachic process,
Holidays,Drinking on Purim,,משתה בפורים,20,halachic process,,,,#N/A,#N/A,
Holidays,Hannukah,Chanukah,חנוכה,20,,,,חנכה,chanukah,rabbinic holiday,
Holidays,Tisha B'Av,,תשעה באב,20,,,,תשעה באב,,fast day,
Holidays,Ad d'Lo Yada,Ad d'Lo Yada,עד דלא ידע,20,phrase,,,,#N/A,#N/A,
Law,Personal Injury Law,,הלכות חובל,20,law,,,,#N/A,#N/A,
Philosophy,Coercion,,כפיה,20,,,,כפיה,coercion,process,
Philosophy,Dignity,,כבוד,20,,,,כבוד,respect/honor,process,
Philosophy,Modesty,,צניעות,20,,,,צניעות,modesty/privacy,character trait,
Prayer,Kaddish,,קדיש,20,,,,קדיש,kaddish,source,
Prayer,Kedushah,,קדושה,20,,,,תפלה קדושה קדיש,kedushah and kaddish,source,
Prayer,Kevah,,"""קבע""",20,quality,,,,#N/A,#N/A,
Prayer,Tefillah,Tefilla,תפילה,20,,,,תפלה,prayer,theological process,
Religion,Mitzvah,Mitzvot,מצוה,20,,,,מצוה,commandment,generically dependent continuant,
Religion,World to Come,Olam Haba,עולם הבא,20,,,,עולם הבא,the world or era to come,theology,
Society,Human Dignity,,כבוד אנושי,20,,,,כבוד הבריות,"respect for living things, esp. humans",halachic process,
Texts,Chassidus,Chassidut,חסידות,20,source,,,,#N/A,#N/A,
Torah Portions,Chayei Sarah,Parashat Chayei Sarah,חיי שרה,20,source,,,,#N/A,#N/A,
Authors,Dr. Joshua Kulp,,"ד""ר יהושע קולפ",19,modern person,,,,#N/A,#N/A,
Authors,Hillel Shammai,Hillel and Shammai,הלל ושמאי,19,specific person relationship,,,,#N/A,#N/A,
Authors,Hillel vs Shammai,Hillel and Shammai,הלל ושמאי,19,specific person relationship,,,,#N/A,#N/A,
Bible,Tower of Babel,,מגדל בבל,19,,,,מגדל בבל,tower of babel,biblical historical event,
Geography,Place,,מקום,19,,,,מקום,place/space,quality,
Holidays,Shabbos,Shabbat,שבת,19,,,,שבת,,holiday,
Philosophy,Argument,,טענה,19,realizable entity,,,,#N/A,#N/A,
Philosophy,Evil,,רוע,19,,,,אלקים ורע,HaShem and evil,theological tenet,
Philosophy,Remember,,לזכור,19,,,,זכר זכירה,remembering,process,
Religion,Holiness Codes,,גדרי הקדושה,19,,,,קדושה קדש,holiness,quality,
Religion,Korban Pesach,,קרבן פסח,19,,,,קרבן פסח,passover korban,halachic role of inanimate object,
Ritual Objects,Geniza,Geniza,גניזה,19,halachic process,,,,#N/A,#N/A,
Society,Homelessness,,חסר בית,19,quality,,,,#N/A,#N/A,
Society,King,,מלך,19,,,,מלך מלכות,king,occupation,
Society,Kingship,,מלכות,19,,,,מלך מלכות,king,occupation,
Society,Nation,,אומה,19,,,,אומה,nation,group of people,
Society,Pittsburgh,,פיטסבורג,19,geographic site,,,,#N/A,#N/A,
Society,Poor,,עני,19,,,,עני,poor person,quality,
Society,Sanctity of Human Life,,,19,,,,פקוח נפש,life-threatening circumstance,halachic process,
Texts,Chumash,,,19,,,,תורה,the Torah,biblical source,
Texts,Halakha,Halakhah,הלכה,19,halacha,yes,,הלכה,,law,
Torah Portions,Chukat,Parashat Chukat,חקת,19,source,,,,#N/A,#N/A,
Torah Portions,Parashat Vayelech,,וילך,19,source,,,,#N/A,#N/A,
Torah Portions,Shmini,Parashat Shemini,שמיני,19,source,,,,#N/A,#N/A,
Authors,Alan Lew,,אלן לו,18,modern person,,,,#N/A,#N/A,
Authors,Rabbi Jonathan Sacks,,הרב יונתן סאקס,18,,,,,#N/A,#N/A,
Authors,Shimon Bar Yochai,,שמעון בר יוחאי,18,,,,רבי שמעון בן יוחאי,,mishnaic person,
Bible,Bamidbar Wilderness Therapy,,,18,,,,,#N/A,#N/A,
Bible,King David,,דוד המלך,18,,,,דוד,,biblical person,
Bible,Samuel,,שמואל,18,,,,שמואל הנביא,,biblical person,
Bible,Mordechai,Mordechai,מרדכי,18,,,,מרדכי,,biblical person,
Bible,Matan Torah,Matan Torah,מתן תורה,18,,,,מתן תורה,giving of the Torah,biblical historical event,
Education,Tutorial,,הדרכה,18,,,,,#N/A,#N/A,
Food,Seudat Purim,,סעודת פורים,18,halachic process,,,,#N/A,#N/A,
Geography,Yavneh,,יבנה,18,,,,יבנה,,geographic site,
Holidays,Chanuka,Chanukah,חנוכה,18,,,,חנכה,chanukah,rabbinic holiday,
Holidays,Etrog,,אתרוג,18,,,,אתרוג,,plant,
Holidays,Matanot Levyonim,,מתנות לאביונים,18,halachic process,,,,#N/A,#N/A,
Holidays,Rosh HaShanah,Rosh Hashanah,ראש השנה,18,holiday,,,,#N/A,#N/A,
Israel,Am Yisrael,,עם ישראל,18,,,,ישראל,,nation/ethnicity,
Literature,Cairo Geniza,Geniza,גניזה,18,source,,,,#N/A,#N/A,
Philosophy,Shame,,בושה,18,,,,בושה בושת,embarassment,emotion,
Prayer,Prayer,Prayer,תפילה,18,,,,תפלה,prayer,theological process,
Religion,Cardinal Sins,,חטאים יסודיים,18,,,,יהרג ואל יעבר,mitzvos that require giving life over transgression,halachic process,
Religion,Synagogue,,בית כנסת,18,,,,בית כנסת,synagogue,structure,
Ritual Objects,Tabernacle,,משכן,18,,,,משכן,mishkan,structure,
Science,Desert,,מדבר,18,,,,מדבר,desert,geographic feature,
Society,Assimilation,,התבוללות,18,,,,התבוללות,assimilation,process,
Society,Diaspora,,תפוצות,18,,,,גלות ישראל,the state of Israel in exile,theology,
Society,Gay,,הומואים,18,disposition,,,,#N/A,#N/A,
Society,Refuge,,מקלט,18,process,,,,#N/A,#N/A,
Society,Giyur,Conversion,גיור,18,,,,גר,foreigner/convert,halachic role of person,
Texts,Bava Kamma,,,18,source,,,,#N/A,#N/A,
Texts,Mishneh Torah,,משנה תורה,18,source,,,,#N/A,#N/A,
