date,heb title,eng title,ref
8/19/2023,ב אלול,2 Elul,"Tanya, Part IV; Iggeret HaKodesh 10:5"
8/20/2023,ג אלול,3 Elul,"Tanya, Part IV; Iggeret HaKodesh 10:8"
8/21/2023,ד אלול,4 Elul,"Tanya, Part IV; Iggeret HaKodesh 10:9"
8/22/2023,ה אלול,5 Elul,"Tanya, Part IV; Iggeret HaKodesh 10:13"
8/23/2023,ו אלול,6 Elul,"Tanya, Part IV; Iggeret HaKodesh 11:1"
8/24/2023,ז אלול,7 Elul,"Tanya, Part IV; Iggeret HaKodesh 11:4"
8/25/2023,ח אלול,8 Elul,"Tanya, Part IV; Iggeret HaKodesh 12:1"
8/26/2023,ט אלול,9 Elul,"Tanya, Part IV; Iggeret HaKodesh 12:6"
8/27/2023,י אלול,10 Elul,"Tanya, Part IV; Iggeret HaKodesh 12:13"
8/28/2023,יא אלול,11 Elul,"Tanya, Part IV; Iggeret HaKodesh 12:16"
8/29/2023,יב אלול,12 Elul,"Tanya, Part IV; Iggeret HaKodesh 13:1"
8/30/2023,יג אלול,13 Elul,"Tanya, Part IV; Iggeret HaKodesh 13:6"
8/31/2023,יד אלול,14 Elul,"Tanya, Part IV; Iggeret HaKodesh 13:10"
9/1/2023,טו אלול,15 Elul,"Tanya, Part IV; Iggeret HaKodesh 14:1"
9/2/2023,טז אלול,16 Elul,"Tanya, Part IV; Iggeret HaKodesh 14:8"
9/3/2023,יז אלול,17 Elul,"Tanya, Part IV; Iggeret HaKodesh 15:1"
9/4/2023,יח אלול,18 Elul,"Tanya, Part IV; Iggeret HaKodesh 15:4"
9/5/2023,יט אלול,19 Elul,"Tanya, Part IV; Iggeret HaKodesh 15:9"
9/6/2023,כ אלול,20 Elul,"Tanya, Part IV; Iggeret HaKodesh 15:21"
9/7/2023,כא אלול,21 Elul,"Tanya, Part IV; Iggeret HaKodesh 15:30"
9/8/2023,כב אלול,22 Elul,"Tanya, Part IV; Iggeret HaKodesh 16:1"
9/9/2023,כג אלול,23 Elul,"Tanya, Part IV; Iggeret HaKodesh 16:5"
9/10/2023,כד אלול,24 Elul,"Tanya, Part IV; Iggeret HaKodesh 17:1"
9/11/2023,כה אלול,25 Elul,"Tanya, Part IV; Iggeret HaKodesh 17:7"
9/12/2023,כו אלול,26 Elul,"Tanya, Part IV; Iggeret HaKodesh 17:10"
9/13/2023,כז אלול,27 Elul,"Tanya, Part IV; Iggeret HaKodesh 18:1"
9/14/2023,כח אלול,28 Elul,"Tanya, Part IV; Iggeret HaKodesh 18:5"
9/15/2023,כט אלול,29 Elul,"Tanya, Part IV; Iggeret HaKodesh 19:1"
9/16/2023,א תשרי,1 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 19:4"
9/17/2023,ב תשרי,2 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 19:11"
9/18/2023,ג תשרי,3 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 19:16"
9/19/2023,ד תשרי,4 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:1"
9/20/2023,ה תשרי,5 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:5"
9/21/2023,ו תשרי,6 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:7"
9/22/2023,ז תשרי,7 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:8"
9/23/2023,ח תשרי,8 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:13"
9/24/2023,ט תשרי,9 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:17"
9/25/2023,י תשרי,10 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:20"
9/26/2023,יא תשרי,11 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:25"
9/27/2023,יב תשרי,12 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 20:34"
9/28/2023,יג תשרי,13 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 21:1"
9/29/2023,יד תשרי,14 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 21:5"
9/30/2023,טו תשרי,15 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 22:1"
10/1/2023,טז תשרי,16 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 22:5"
10/2/2023,יז תשרי,17 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 22:10"
10/3/2023,יח תשרי,18 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 22:13"
10/4/2023,יט תשרי,19 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 22:17"
10/5/2023,כ תשרי,20 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 23:1"
10/6/2023,כא תשרי,21 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 23:4"
10/7/2023,כב תשרי,22 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 23:8"
10/8/2023,כג תשרי,23 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 23:10"
10/9/2023,כד תשרי,24 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 24:1"
10/10/2023,כה תשרי,25 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 25:1"
10/11/2023,כו תשרי,26 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 25:6"
10/12/2023,כז תשרי,27 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 25:11"
10/13/2023,כח תשרי,28 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 25:17"
10/14/2023,כט תשרי,29 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 25:23"
10/15/2023,ל תשרי,30 Tishrei,"Tanya, Part IV; Iggeret HaKodesh 25:26"
10/16/2023,א חשון,1 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 25:27"
10/17/2023,ב חשון,2 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 25:30"
10/18/2023,ג חשון,3 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 25:36"
10/19/2023,ד חשון,4 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:1"
10/20/2023,ה חשון,5 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:11"
10/21/2023,ו חשון,6 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:15"
10/22/2023,ז חשון,7 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:20"
10/23/2023,ח חשון,8 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:22"
10/24/2023,ט חשון,9 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:25"
10/25/2023,י חשון,10 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:26"
10/26/2023,יא חשון,11 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 26:30"
10/27/2023,יב חשון,12 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:2"
10/28/2023,יג חשון,13 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:6"
10/29/2023,יד חשון,14 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:8"
10/30/2023,טו חשון,15 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:13"
10/31/2023,טז חשון,16 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 27:17"
11/1/2023,יז חשון,17 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 28:1"
11/2/2023,יח חשון,18 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 28:6"
11/3/2023,יט חשון,19 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:1"
11/4/2023,כ חשון,20 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:9"
11/5/2023,כא חשון,21 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:14"
11/6/2023,כב חשון,22 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:19"
11/7/2023,כג חשון,23 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 29:22"
11/8/2023,כד חשון,24 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 30:1"
11/9/2023,כה חשון,25 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 31:1"
11/10/2023,כו חשון,26 Cheshvan,"Tanya, Part IV; Iggeret HaKodesh 32:1"
11/11/2023,כז חשון,27 Cheshvan,"Tanya, Part V; Kuntres Acharon 1:1"
11/12/2023,כח חשון,28 Cheshvan,"Tanya, Part V; Kuntres Acharon 2:1"
11/13/2023,כט חשון,29 Cheshvan,"Tanya, Part V; Kuntres Acharon 3:1"
11/14/2023,א כסלו,1 Kislev,"Tanya, Part V; Kuntres Acharon 3:4"
11/15/2023,ב כסלו,2 Kislev,"Tanya, Part V; Kuntres Acharon 4:1"
11/16/2023,ג כסלו,3 Kislev,"Tanya, Part V; Kuntres Acharon 4:10"
11/17/2023,ד כסלו,4 Kislev,"Tanya, Part V; Kuntres Acharon 4:14"
11/18/2023,ה כסלו,5 Kislev,"Tanya, Part V; Kuntres Acharon 4:18"
11/19/2023,ו כסלו,6 Kislev,"Tanya, Part V; Kuntres Acharon 4:25"
11/20/2023,ז כסלו,7 Kislev,"Tanya, Part V; Kuntres Acharon 4:28"
11/21/2023,ח כסלו,8 Kislev,"Tanya, Part V; Kuntres Acharon 4:35"
11/22/2023,ט כסלו,9 Kislev,"Tanya, Part V; Kuntres Acharon 4:40"
11/23/2023,י כסלו,10 Kislev,"Tanya, Part V; Kuntres Acharon 4:44"
11/24/2023,יא כסלו,11 Kislev,"Tanya, Part V; Kuntres Acharon 4:50"
11/25/2023,יב כסלו,12 Kislev,"Tanya, Part V; Kuntres Acharon 4:54"
11/26/2023,יג כסלו,13 Kislev,"Tanya, Part V; Kuntres Acharon 5:1"
11/27/2023,יד כסלו,14 Kislev,"Tanya, Part V; Kuntres Acharon 6:1"
11/28/2023,טו כסלו,15 Kislev,"Tanya, Part V; Kuntres Acharon 6:8"
11/29/2023,טז כסלו,16 Kislev,"Tanya, Part V; Kuntres Acharon 7:1"
11/30/2023,יז כסלו,17 Kislev,"Tanya, Part V; Kuntres Acharon 8:1"
12/1/2023,יח כסלו,18 Kislev,"Tanya, Part V; Kuntres Acharon 9:1"
12/2/2023,יט כסלו,19 Kislev,"Tanya, Part I; Likkutei Amarim, Title Page 1"
12/3/2023,כ כסלו,20 Kislev,"Tanya, Part I; Likkutei Amarim, Approbation 3:1"
12/4/2023,כא כסלו,21 Kislev,"Tanya, Part I; Likkutei Amarim, Compiler's Foreword 1"
12/5/2023,כב כסלו,22 Kislev,"Tanya, Part I; Likkutei Amarim, Compiler's Foreword 9"
12/6/2023,כג כסלו,23 Kislev,"Tanya, Part I; Likkutei Amarim, Compiler's Foreword 13"
12/7/2023,כד כסלו,24 Kislev,"Tanya, Part I; Likkutei Amarim 1:1"
12/8/2023,כה כסלו,25 Kislev,"Tanya, Part I; Likkutei Amarim 1:13"
12/9/2023,כו כסלו,26 Kislev,"Tanya, Part I; Likkutei Amarim 2:1"
12/10/2023,כז כסלו,27 Kislev,"Tanya, Part I; Likkutei Amarim 3:1"
12/11/2023,כח כסלו,28 Kislev,"Tanya, Part I; Likkutei Amarim 3:8"
12/12/2023,כט כסלו,29 Kislev,"Tanya, Part I; Likkutei Amarim 4:1"
12/13/2023,א טבת,1 Tevet,"Tanya, Part I; Likkutei Amarim 4:5"
12/14/2023,ב טבת,2 Tevet,"Tanya, Part I; Likkutei Amarim 4:9"
12/15/2023,ג טבת,3 Tevet,"Tanya, Part I; Likkutei Amarim 4:12"
12/16/2023,ד טבת,4 Tevet,"Tanya, Part I; Likkutei Amarim 5:1"
12/17/2023,ה טבת,5 Tevet,"Tanya, Part I; Likkutei Amarim 6:1"
12/18/2023,ו טבת,6 Tevet,"Tanya, Part I; Likkutei Amarim 6:4"
12/19/2023,ז טבת,7 Tevet,"Tanya, Part I; Likkutei Amarim 6:8"
12/20/2023,ח טבת,8 Tevet,"Tanya, Part I; Likkutei Amarim 7:1"
12/21/2023,ט טבת,9 Tevet,"Tanya, Part I; Likkutei Amarim 7:6"
12/22/2023,י טבת,10 Tevet,"Tanya, Part I; Likkutei Amarim 7:12"
12/23/2023,יא טבת,11 Tevet,"Tanya, Part I; Likkutei Amarim 8:1"
12/24/2023,יב טבת,12 Tevet,"Tanya, Part I; Likkutei Amarim 9:1"
12/25/2023,יג טבת,13 Tevet,"Tanya, Part I; Likkutei Amarim 9:5"
12/26/2023,יד טבת,14 Tevet,"Tanya, Part I; Likkutei Amarim 9:6"
12/27/2023,טו טבת,15 Tevet,"Tanya, Part I; Likkutei Amarim 10:1"
12/28/2023,טז טבת,16 Tevet,"Tanya, Part I; Likkutei Amarim 10:3"
12/29/2023,יז טבת,17 Tevet,"Tanya, Part I; Likkutei Amarim 10:7"
12/30/2023,יח טבת,18 Tevet,"Tanya, Part I; Likkutei Amarim 11:1"
12/31/2023,יט טבת,19 Tevet,"Tanya, Part I; Likkutei Amarim 12:1"
1/1/2024,כ טבת,20 Tevet,"Tanya, Part I; Likkutei Amarim 12:3"
1/2/2024,כא טבת,21 Tevet,"Tanya, Part I; Likkutei Amarim 12:5"
1/3/2024,כב טבת,22 Tevet,"Tanya, Part I; Likkutei Amarim 12:7"
1/4/2024,כג טבת,23 Tevet,"Tanya, Part I; Likkutei Amarim 12:10"
1/5/2024,כד טבת,24 Tevet,"Tanya, Part I; Likkutei Amarim 13:1"
1/6/2024,כה טבת,25 Tevet,"Tanya, Part I; Likkutei Amarim 13:5"
1/7/2024,כו טבת,26 Tevet,"Tanya, Part I; Likkutei Amarim 14:1"
1/8/2024,כז טבת,27 Tevet,"Tanya, Part I; Likkutei Amarim 14:2"
1/9/2024,כח טבת,28 Tevet,"Tanya, Part I; Likkutei Amarim 14:4"
1/10/2024,כט טבת,29 Tevet,"Tanya, Part I; Likkutei Amarim 15:1"
1/11/2024,א שבט,1 Shevat,"Tanya, Part I; Likkutei Amarim 15:4"
1/12/2024,ב שבט,2 Shevat,"Tanya, Part I; Likkutei Amarim 15:9"
1/13/2024,ג שבט,3 Shevat,"Tanya, Part I; Likkutei Amarim 16:1"
1/14/2024,ד שבט,4 Shevat,"Tanya, Part I; Likkutei Amarim 17:1"
1/15/2024,ה שבט,5 Shevat,"Tanya, Part I; Likkutei Amarim 17:4"
1/16/2024,ו שבט,6 Shevat,"Tanya, Part I; Likkutei Amarim 17:7"
1/17/2024,ז שבט,7 Shevat,"Tanya, Part I; Likkutei Amarim 18:1"
1/18/2024,ח שבט,8 Shevat,"Tanya, Part I; Likkutei Amarim 18:4"
1/19/2024,ט שבט,9 Shevat,"Tanya, Part I; Likkutei Amarim 18:9"
1/20/2024,י שבט,10 Shevat,"Tanya, Part I; Likkutei Amarim 19:1"
1/21/2024,יא שבט,11 Shevat,"Tanya, Part I; Likkutei Amarim 20:1"
1/22/2024,יב שבט,12 Shevat,"Tanya, Part I; Likkutei Amarim 20:4"
1/23/2024,יג שבט,13 Shevat,"Tanya, Part I; Likkutei Amarim 20:6"
1/24/2024,יד שבט,14 Shevat,"Tanya, Part I; Likkutei Amarim 21:1"
1/25/2024,טו שבט,15 Shevat,"Tanya, Part I; Likkutei Amarim 21:5"
1/26/2024,טז שבט,16 Shevat,"Tanya, Part I; Likkutei Amarim 21:7"
1/27/2024,יז שבט,17 Shevat,"Tanya, Part I; Likkutei Amarim 22:1"
1/28/2024,יח שבט,18 Shevat,"Tanya, Part I; Likkutei Amarim 23:1"
1/29/2024,יט שבט,19 Shevat,"Tanya, Part I; Likkutei Amarim 23:4"
1/30/2024,כ שבט,20 Shevat,"Tanya, Part I; Likkutei Amarim 23:5"
1/31/2024,כא שבט,21 Shevat,"Tanya, Part I; Likkutei Amarim 23:8"
2/1/2024,כב שבט,22 Shevat,"Tanya, Part I; Likkutei Amarim 23:10"
2/2/2024,כג שבט,23 Shevat,"Tanya, Part I; Likkutei Amarim 23:13"
2/3/2024,כד שבט,24 Shevat,"Tanya, Part I; Likkutei Amarim 24:1"
2/4/2024,כה שבט,25 Shevat,"Tanya, Part I; Likkutei Amarim 25:1"
2/5/2024,כו שבט,26 Shevat,"Tanya, Part I; Likkutei Amarim 25:4"
2/6/2024,כז שבט,27 Shevat,"Tanya, Part I; Likkutei Amarim 25:6"
2/7/2024,כח שבט,28 Shevat,"Tanya, Part I; Likkutei Amarim 25:7"
2/8/2024,כט שבט,29 Shevat,"Tanya, Part I; Likkutei Amarim 25:10"
2/9/2024,ל שבט,30 Shevat,"Tanya, Part I; Likkutei Amarim 25:15"
2/10/2024,א אדר-א,1 Adar I,"Tanya, Part I; Likkutei Amarim 26:1"
2/11/2024,ב אדר-א,2 Adar I,"Tanya, Part I; Likkutei Amarim 27:1"
2/12/2024,ג אדר-א,3 Adar I,"Tanya, Part I; Likkutei Amarim 27:3"
2/13/2024,ד אדר-א,4 Adar I,"Tanya, Part I; Likkutei Amarim 27:4"
2/14/2024,ה אדר-א,5 Adar I,"Tanya, Part I; Likkutei Amarim 27:8"
2/15/2024,ו אדר-א,6 Adar I,"Tanya, Part I; Likkutei Amarim 27:11"
2/16/2024,ז אדר-א,7 Adar I,"Tanya, Part I; Likkutei Amarim 27:12"
2/17/2024,ח אדר-א,8 Adar I,"Tanya, Part I; Likkutei Amarim 28:1"
2/18/2024,ט אדר-א,9 Adar I,"Tanya, Part I; Likkutei Amarim 29:1"
2/19/2024,י אדר-א,10 Adar I,"Tanya, Part I; Likkutei Amarim 29:5"
2/20/2024,יא אדר-א,11 Adar I,"Tanya, Part I; Likkutei Amarim 29:8"
2/21/2024,יב אדר-א,12 Adar I,"Tanya, Part I; Likkutei Amarim 29:9"
2/22/2024,יג אדר-א,13 Adar I,"Tanya, Part I; Likkutei Amarim 29:12"
2/23/2024,יד אדר-א,14 Adar I,"Tanya, Part I; Likkutei Amarim 29:15"
2/24/2024,טו אדר-א,15 Adar I,"Tanya, Part I; Likkutei Amarim 29:17"
2/25/2024,טז אדר-א,16 Adar I,"Tanya, Part I; Likkutei Amarim 30:1"
2/26/2024,יז אדר-א,17 Adar I,"Tanya, Part I; Likkutei Amarim 30:4"
2/27/2024,יח אדר-א,18 Adar I,"Tanya, Part I; Likkutei Amarim 30:6"
2/28/2024,יט אדר-א,19 Adar I,"Tanya, Part I; Likkutei Amarim 30:8"
2/29/2024,כ אדר-א,20 Adar I,"Tanya, Part I; Likkutei Amarim 30:14"
3/1/2024,כא אדר-א,21 Adar I,"Tanya, Part I; Likkutei Amarim 30:17"
3/2/2024,כב אדר-א,22 Adar I,"Tanya, Part I; Likkutei Amarim 31:1"
3/3/2024,כג אדר-א,23 Adar I,"Tanya, Part I; Likkutei Amarim 32:1"
3/4/2024,כד אדר-א,24 Adar I,"Tanya, Part I; Likkutei Amarim 32:2"
3/5/2024,כה אדר-א,25 Adar I,"Tanya, Part I; Likkutei Amarim 32:3"
3/6/2024,כו אדר-א,26 Adar I,"Tanya, Part I; Likkutei Amarim 32:4"
3/7/2024,כז אדר-א,27 Adar I,"Tanya, Part I; Likkutei Amarim 32:5"
3/8/2024,כח אדר-א,28 Adar I,"Tanya, Part I; Likkutei Amarim 32:6"
3/9/2024,כט אדר-א,29 Adar I,"Tanya, Part I; Likkutei Amarim 33:1"
3/10/2024,ל אדר-א,30 Adar I,"Tanya, Part I; Likkutei Amarim 34:1"
3/11/2024,א אדר-ב,1 Adar II,"Tanya, Part I; Likkutei Amarim 34:4"
3/12/2024,ב אדר-ב,2 Adar II,"Tanya, Part I; Likkutei Amarim 34:6"
3/13/2024,ג אדר-ב,3 Adar II,"Tanya, Part I; Likkutei Amarim 34:8"
3/14/2024,ד אדר-ב,4 Adar II,"Tanya, Part I; Likkutei Amarim 35:1"
3/15/2024,ה אדר-ב,5 Adar II,"Tanya, Part I; Likkutei Amarim 35:3"
3/16/2024,ו אדר-ב,6 Adar II,"Tanya, Part I; Likkutei Amarim 35:4"
3/17/2024,ז אדר-ב,7 Adar II,"Tanya, Part I; Likkutei Amarim 36:1"
3/18/2024,ח אדר-ב,8 Adar II,"Tanya, Part I; Likkutei Amarim 36:5"
3/19/2024,ט אדר-ב,9 Adar II,"Tanya, Part I; Likkutei Amarim 36:6"
3/20/2024,י אדר-ב,10 Adar II,"Tanya, Part I; Likkutei Amarim 36:9"
3/21/2024,יא אדר-ב,11 Adar II,"Tanya, Part I; Likkutei Amarim 36:11"
3/22/2024,יב אדר-ב,12 Adar II,"Tanya, Part I; Likkutei Amarim 37:1"
3/23/2024,יג אדר-ב,13 Adar II,"Tanya, Part I; Likkutei Amarim 37:4"
3/24/2024,יד אדר-ב,14 Adar II,"Tanya, Part I; Likkutei Amarim 37:9"
3/25/2024,טו אדר-ב,15 Adar II,"Tanya, Part I; Likkutei Amarim 37:10"
3/26/2024,טז אדר-ב,16 Adar II,"Tanya, Part I; Likkutei Amarim 37:12"
3/27/2024,יז אדר-ב,17 Adar II,"Tanya, Part I; Likkutei Amarim 37:14"
3/28/2024,יח אדר-ב,18 Adar II,"Tanya, Part I; Likkutei Amarim 37:15"
3/29/2024,יט אדר-ב,19 Adar II,"Tanya, Part I; Likkutei Amarim 37:17"
3/30/2024,כ אדר-ב,20 Adar II,"Tanya, Part I; Likkutei Amarim 37:19"
3/31/2024,כא אדר-ב,21 Adar II,"Tanya, Part I; Likkutei Amarim 38:1"
4/1/2024,כב אדר-ב,22 Adar II,"Tanya, Part I; Likkutei Amarim 38:3"
4/2/2024,כג אדר-ב,23 Adar II,"Tanya, Part I; Likkutei Amarim 38:4"
4/3/2024,כד אדר-ב,24 Adar II,"Tanya, Part I; Likkutei Amarim 38:6"
4/4/2024,כה אדר-ב,25 Adar II,"Tanya, Part I; Likkutei Amarim 38:10"
4/5/2024,כו אדר-ב,26 Adar II,"Tanya, Part I; Likkutei Amarim 38:14"
4/6/2024,כז אדר-ב,27 Adar II,"Tanya, Part I; Likkutei Amarim 39:1"
4/7/2024,כח אדר-ב,28 Adar II,"Tanya, Part I; Likkutei Amarim 39:10"
4/8/2024,כט אדר-ב,29 Adar II,"Tanya, Part I; Likkutei Amarim 39:11"
4/9/2024,א ניסן,1 Nissan,"Tanya, Part I; Likkutei Amarim 39:14"
4/10/2024,ב ניסן,2 Nissan,"Tanya, Part I; Likkutei Amarim 39:15"
4/11/2024,ג ניסן,3 Nissan,"Tanya, Part I; Likkutei Amarim 39:17"
4/12/2024,ד ניסן,4 Nissan,"Tanya, Part I; Likkutei Amarim 39:19"
4/13/2024,ה ניסן,5 Nissan,"Tanya, Part I; Likkutei Amarim 40:1"
4/14/2024,ו ניסן,6 Nissan,"Tanya, Part I; Likkutei Amarim 40:9"
4/15/2024,ז ניסן,7 Nissan,"Tanya, Part I; Likkutei Amarim 40:10"
4/16/2024,ח ניסן,8 Nissan,"Tanya, Part I; Likkutei Amarim 40:12"
4/17/2024,ט ניסן,9 Nissan,"Tanya, Part I; Likkutei Amarim 40:14"
4/18/2024,י ניסן,10 Nissan,"Tanya, Part I; Likkutei Amarim 41:1"
4/19/2024,יא ניסן,11 Nissan,"Tanya, Part I; Likkutei Amarim 41:3"
4/20/2024,יב ניסן,12 Nissan,"Tanya, Part I; Likkutei Amarim 41:5"
4/21/2024,יג ניסן,13 Nissan,"Tanya, Part I; Likkutei Amarim 41:7"
4/22/2024,יד ניסן,14 Nissan,"Tanya, Part I; Likkutei Amarim 41:9"
4/23/2024,טו ניסן,15 Nissan,"Tanya, Part I; Likkutei Amarim 41:11"
4/24/2024,טז ניסן,16 Nissan,"Tanya, Part I; Likkutei Amarim 41:16"
4/25/2024,יז ניסן,17 Nissan,"Tanya, Part I; Likkutei Amarim 41:25"
4/26/2024,יח ניסן,18 Nissan,"Tanya, Part I; Likkutei Amarim 41:27"
4/27/2024,יט ניסן,19 Nissan,"Tanya, Part I; Likkutei Amarim 42:1"
4/28/2024,כ ניסן,20 Nissan,"Tanya, Part I; Likkutei Amarim 42:5"
4/29/2024,כא ניסן,21 Nissan,"Tanya, Part I; Likkutei Amarim 42:6"
4/30/2024,כב ניסן,22 Nissan,"Tanya, Part I; Likkutei Amarim 42:10"
5/1/2024,כג ניסן,23 Nissan,"Tanya, Part I; Likkutei Amarim 42:14"
5/2/2024,כד ניסן,24 Nissan,"Tanya, Part I; Likkutei Amarim 42:16"
5/3/2024,כה ניסן,25 Nissan,"Tanya, Part I; Likkutei Amarim 42:20"
5/4/2024,כו ניסן,26 Nissan,"Tanya, Part I; Likkutei Amarim 43:1"
5/5/2024,כז ניסן,27 Nissan,"Tanya, Part I; Likkutei Amarim 43:9"
5/6/2024,כח ניסן,28 Nissan,"Tanya, Part I; Likkutei Amarim 44:1"
5/7/2024,כט ניסן,29 Nissan,"Tanya, Part I; Likkutei Amarim 44:6"
5/8/2024,ל ניסן,30 Nissan,"Tanya, Part I; Likkutei Amarim 44:9"
5/9/2024,א אייר,1 Iyar,"Tanya, Part I; Likkutei Amarim 44:13"
5/10/2024,ב אייר,2 Iyar,"Tanya, Part I; Likkutei Amarim 44:17"
5/11/2024,ג אייר,3 Iyar,"Tanya, Part I; Likkutei Amarim 45:1"
5/12/2024,ד אייר,4 Iyar,"Tanya, Part I; Likkutei Amarim 46:1"
5/13/2024,ה אייר,5 Iyar,"Tanya, Part I; Likkutei Amarim 46:3"
5/14/2024,ו אייר,6 Iyar,"Tanya, Part I; Likkutei Amarim 46:4"
5/15/2024,ז אייר,7 Iyar,"Tanya, Part I; Likkutei Amarim 46:5"
5/16/2024,ח אייר,8 Iyar,"Tanya, Part I; Likkutei Amarim 46:7"
5/17/2024,ט אייר,9 Iyar,"Tanya, Part I; Likkutei Amarim 46:11"
5/18/2024,י אייר,10 Iyar,"Tanya, Part I; Likkutei Amarim 47:1"
5/19/2024,יא אייר,11 Iyar,"Tanya, Part I; Likkutei Amarim 48:1"
5/20/2024,יב אייר,12 Iyar,"Tanya, Part I; Likkutei Amarim 48:3"
5/21/2024,יג אייר,13 Iyar,"Tanya, Part I; Likkutei Amarim 48:4"
5/22/2024,יד אייר,14 Iyar,"Tanya, Part I; Likkutei Amarim 48:7"
5/23/2024,טו אייר,15 Iyar,"Tanya, Part I; Likkutei Amarim 48:9"
5/24/2024,טז אייר,16 Iyar,"Tanya, Part I; Likkutei Amarim 48:11"
5/25/2024,יז אייר,17 Iyar,"Tanya, Part I; Likkutei Amarim 49:1"
5/26/2024,יח אייר,18 Iyar,"Tanya, Part I; Likkutei Amarim 49:8"
5/27/2024,יט אייר,19 Iyar,"Tanya, Part I; Likkutei Amarim 49:10"
5/28/2024,כ אייר,20 Iyar,"Tanya, Part I; Likkutei Amarim 49:12"
5/29/2024,כא אייר,21 Iyar,"Tanya, Part I; Likkutei Amarim 49:13"
5/30/2024,כב אייר,22 Iyar,"Tanya, Part I; Likkutei Amarim 50:1"
5/31/2024,כג אייר,23 Iyar,"Tanya, Part I; Likkutei Amarim 50:6"
6/1/2024,כד אייר,24 Iyar,"Tanya, Part I; Likkutei Amarim 51:1"
6/2/2024,כה אייר,25 Iyar,"Tanya, Part I; Likkutei Amarim 51:5"
6/3/2024,כו אייר,26 Iyar,"Tanya, Part I; Likkutei Amarim 51:7"
6/4/2024,כז אייר,27 Iyar,"Tanya, Part I; Likkutei Amarim 51:9"
6/5/2024,כח אייר,28 Iyar,"Tanya, Part I; Likkutei Amarim 52:1"
6/6/2024,כט אייר,29 Iyar,"Tanya, Part I; Likkutei Amarim 52:5"
6/7/2024,א סיון,1 Sivan,"Tanya, Part I; Likkutei Amarim 52:6"
6/8/2024,ב סיון,2 Sivan,"Tanya, Part I; Likkutei Amarim 52:7"
6/9/2024,ג סיון,3 Sivan,"Tanya, Part I; Likkutei Amarim 53:1"
6/10/2024,ד סיון,4 Sivan,"Tanya, Part I; Likkutei Amarim 53:3"
6/11/2024,ה סיון,5 Sivan,"Tanya, Part I; Likkutei Amarim 53:6"
