Index Title,Penei Yehoshua on Makkot
Penei Yehoshua on Makkot 6a:2,"בתוספות בד""ה אר""י במה דברים אמורים בדיני נפשות. פי' הקונטרס כו' וקשה לפירושו כו' דהא כתיב משפט אחד יהיה לכם ועוד דבדיני ממונות נמי כתיב על פי שנים או על פי שלשה כו' עכ""ל. לכאורה שתי הקושיות הללו סותרות זו את זו דכיון דבכל הנך היקישי דמתניתין ילפינן נמי לדיני ממונות ממשפט אחד יהיה לכם א""כ אמאי איצטריך אידך היקישא בדיני ממונות אלא ע""כ דאיכא למימר דאתא לדרשא אחרינא א""כ השתא נמי לא מקשו מידי כיון דבקושיא ראשונה לא פסיקא להו משום הך סברא שכתבו בר""פ אחד דיני ממונות שהבאתי בסמוך וכמ""ש מהרש""א א""כ השתא נמי לא מקשו מידי בקושיא שנייה דאיכא למימר דר' יוסי מפיק ליה לדרשא אחריתא. ולענ""ד בפשיטות מצינן למימר דאידך קרא דעל פי שנים עדים או ג' דאיירי בממון לפירוש התוספות מש""ה לגופא איצטריך והיינו כפירוש רב סעדיה גאון שהבאתי לעיל דשנים היינו בעדות ממש ושלשה היינו לענין קבלת עדות דהא בדיני ממונות לכו""ע הוי קבלת עדות בשלשה ולא שייך השגת הרמב""ן שהבאתי לעיל בלשון משנתינו או שנאמר דהא דכתיב שנים או שלשה היינו כי הא דאמר ר' זביד בפ' יש נוחלין גבי שלשה שנכנסו לבקר אם רצו נעשין עדים וסגי בשנים מהם כגון שראו ביום וזימנין דבעינן שלשה כגון שראו בלילה שאז נעשים דיינים כן נראה לי בכוונת רש""י אליבא דר' יוסי ודו""ק:"
Penei Yehoshua on Makkot 6a:3,"בא""ד לכך פירש ר""י דבדיני נפשות שייך שפיר כו' אבל בדיני ממונות כו' השני אינו בטל לגמרי דחייב לו שבועה. נראה דדוקא אליבא דר' יוסי כתבו התוס' כן ומהאי טעמא לא משמע ליה האי היקישא לענין דיני ממונות כיון דבשנים נמי לא פסיקא מילתא דעדות השני בטל לגמרי לענין שבועה משא""כ לקושטא דמלתא דקי""ל כרבי לעולם דבשנים נמי בטל לגמרי עדות השני ותו לא מחייבינן שבועה על פיו וכדמשמע להדיא מלשון הרא""ש והש""ע בשם תשובת הרי""ף דדוקא היכא שלא ידע האחד בקורבתו של שני מחייבו שבועה וממילא משמע דהיכא שידע בקורבתו בטל לגמרי וליכא חיוב שבועה מיהו מסתימת לשון התוספות נראה יותר דאפילו אליבא דרבי נמי משמע להו הך סברא דעד אחד לעולם מחייב שבועה ולא שייך בהך היקישא כלל דלענין חיוב שבועה בעדות כל דהו סגיא ולא כמשמעות הש""ע ולדינא צ""ע ודו""ק:"
Penei Yehoshua on Makkot 6a:4,"בד""ה אמר רבא והוא שהעידו כו'. משמע דקאי אף לענין קרוב או פסול וקשה דהא משמע בסמוך כו' אלא בראיית מעשה גמרה עדותן כו' דקאמר הרוג יציל לכך נראה דלא קאי כו' עד סוף הדיבור. וכדברי התוס' משמע ג""כ בלשון הרי""ף והרא""ש ז""ל שהרי הביאו האי מימרא דרבא קודם שהביאו משנה זו דקרוב או פסול בפלוגתא דר' יוסי ורבי אליבא דר""ע ואפילו לפירוש ר""י דבסמוך דלמסקנא דרבא לא תליא בראיית מעשה לחוד אף לענין קרוב או פסול אלא בהגדה נגמר עדותן אפ""ה מודה דהאי מימרא דרבא דקאמר והוא שהעידו תוך כדי דיבור לא קאי אהך בבא דקרוב או פסול כמו שמבואר מלשונו בסמוך בד""ה שמואל אמר וכמו שהאריכו התוספות בזה בפ""ק דסנהדרין (דף ט' ע""א) בד""ה בזמן שהתרו בהן ע""ש. מיהו הא דפשיטא להו להתוס' הך סברא דלענין קרוב או פסול בראיה לחוד תליא מילתא מהאי דמקשה בסמוך אלא מעתה הרוג יציל אכתי יש לתמוה טובא על סברת המקשה גופא מנ""ל הך מילתא דהא ודאי פשטא דקרא וכולה לישנא דמתניתין בהאי היקישא דשנים או שלשה ודאי לענין הגדה איירי כדכתיב על פי שנים עדים וענין הזמה דאיירי מתני' פשיטא דתליא בהגדה אלא דמ""מ מקשה הש""ס בסמוך שפיר ודייק לה מלישנא דרבי גופא דקאמר מה יעשו שני אחים שראו כאחד ואי ס""ד דבהגדה תליא מלתא מאי קאמר מה יעשו כמ""ש בתוס' בסמוך בד""ה שמואל אמר ולא ניחא ליה להמקשה לפרש דמה יעשו כמו שמפרש ר""י שנראה לו דוחק כך נראה לי לפרש שיטת התוס' וכל סייעתם בזה שפסקו להדיא דבראיה לחוד תליא מילתא ואין לתמוה בכך בהא דנקרא עד בשביל ראיה לחוד דה""נ אשכחן בקרא דכתיב והוא עד או ראה או ידע אם לא יגיד אלמא דאע""פ שלא הגיד קראו רחמנא עד כיון שראה או ידע ועמ""ש עוד בזה בסמוך ליישב שיטת החולקים וסוברים דבהגדה תליא מלתא וכדמשמע נמי לכאורה מלשון רש""י שהביאו התוספות כאן דהא דקאמר רבא והוא שהעידו תוך כדי דיבור אכולהו בבי דמתניתין קאי ודו""ק:"
Penei Yehoshua on Makkot 6a:5,"בגמרא פיסקא ר""ע אומר לא בא השלישי כו' ומה שנים כו' אמר ליה רב פפא לאביי אלא מעתה הרוג יציל. ופירש""י דלרבי יוסי פריך דאמר אף בלא התראה. וכוונתו מבואר דמשמע דפשיטא ליה דלרבי דבעי התראה לא שייך הך קושי דהרוג יציל ולא ידענא מאי פשיטותא דהא לקושטא דמלתא אמר רבא לקמן ע""ב דמתרה שאמרו אפילו מפי עצמו ופירש""י שההרוג עצמו התרה בו ואדרבא פשטא דלישנא דגמרא משמע דלכו""ע פריך אהיקישא דר""ע גופא שעדיין לא הזכיר מפלוגתא דר' יוסי ורבי בהך פיסקא עד פיסקא שנייה ואפשר דלא ניחא ליה לרש""י לפרש דעיקר הקושיא דהרוג יציל היינו היכא שהתרה בו דהיא גופא מנ""ל להמקשה דלמא אה""נ דבכה""ג מציל ומאי דוחקיה נמי לאוקמי בשהרגו מאחוריו דמשמע דהיכא דלא הרגו מאחוריו אה""נ דמציל אלא דע""כ דהמקשה סובר בפשיטות דבראיה לחוד תליא מילתא. אלא שכבר כתבתי שיש לתמוה בדבר כיון דלישנא דקרא ומכולהו בבי דמתניתין בהך היקישא משמע דלענין הגדה איירי ואי משום דקאמר רבי מה יעשו אכתי ארבי גופא תיקשי אמאי פסיקא ליה הך סברא דקשיא ליה מה יעשו דילמא בהגדה תליא מילתא ומכ""ש דקשה לפירוש ר""י דלמאי דמסיק רבא דבמקיימי דבר הכתוב מדבר לקושטא דמילתא לא תליא בראיה לחוד אלא בהגדה ואמאי איצטריך רבא לאתויי האי קרא דיקום דבר מהאי קרא גופא דעל פי שנים או שלשה עדים יומת המת הו""ל לאסוקי הכי דעל פי משמע דבהגדה תליא מלתא ועוד דא""כ דבראיה תליא מילתא עקרת כל חייבי מיתות בעריות ושברוצח וכיוצא בהן. והנראה לענ""ד בזה לפי שיטת רש""י ור""י וסייעתם דודאי סברת המקשה דממילתא דרבי דייק לה דבראיה תליא מילתא ולרבי אפשר דפשיטא ליה הך סברא מלישנא דהאי קרא גופא דיומת המת דכתיב ביה על פי שנים עדים או שלשה עדים ואי סלקא דעתך דבהגדה תליא מילתא הו""ל למיכתב או על פי שלשה עדים כדכתיב באידך קרא דיקום דבר אלא ע""כ דבראיה תליא מילתא דעדין לא העיד השלישי כלל ואפ""ה מצטרף לבטל העדות אם נמצא קרוב או פסול וא""כ לפי""ז בהך מילתא גופא פליגי ר' יוסי ורבי לענין ראיה לחוד דע""י הגדה ר' יוסי נמי מודה דאפילו בדיני ממונות הדין כן והיינו מהך היקישא דכתיב על פי שנים או על פי שלשה עדים יקום דבר והיינו אפילו בממון ורבי סובר דאפילו בממון בראיה לחוד סגי דלא משמע ליה לחלק כלל בין דיני ממונות לדיני נפשות מהיקישא דמשפט אחד יהיה לכם וכדפרישית. נמצא לפי זה שפיר מקשה הש""ס אעיקר מילתא דר""ע דבדיני נפשות גופא היכי משכחת לה דבראיה לחוד סגיא לבטל העדות דא""כ הרוג והורג יצילו וא""כ עקרת כל דיני נפשות שבתורה ולא משמע ליה להמקשה לחלק בין העדים לבעל דבר בעצמו כיון שאין שום טעם לדבר שיצטרף העדות ע""י ראיה לחוד אלא מגזירת הכתוב דמהדרינן אזכותיה ואנן אשכחן בהאי קרא בכל חטא אשר יחטא על פי שנים עדים או שלשה עדים יקום דבר דכתיב בתריה כי יקום עד חמס באיש ועמדו שני האנשים אשר להם הריב לפני ה' ומפרשינן בגמרא ובכמה דוכתי דועמדו שני האנשים היינו בעדים הכתוב מדבר ואשר להם הריב בבעלי דינים והשוה הכתוב בעלי דינים לעדים בהאי עניינא כל זה סברת המקשה להוכיח מזה דלא תליא בראיה אלא בהגדה דוקא דמר""י אליבא דר""ע שמעינן נמי לרבי אליבא דר""ע ועל זה משני הש""ס שפיר דבמקיימי דבר הכתוב מדבר והיינו בעדים ולא בבעלי דינים לפירש""י ולפירוש ר""י ממילא שמעינן נמי דלאו בראיה תליא מילתא אלא בהגדה כן נראה לי לפרש לפי שיטת הפוסקים והמפרשים לכל חד כדאית ליה. אלא דלולי דבריהם היה נראה לי לפרש בפשיטות דלעולם לכו""ע ראיה לחוד לאו מילתא היא כדמשמע פשטא דקרא ומתניתין והא דמקשה הרוג יציל היינו כדפרישית דלמאי דק""ל כרבא דאמר לקמן מתרה שאמרו אפילו מפי עצמו ומסתמא אורחא דמילתא הכי הוא שהנרצח והנרבע מתרין בו כשרואין שיש עדים בדבר א""כ יציל שהרי ההתראה ודאי בכלל עדות הוא דכל עדות בלא התראה לאו מילתא היא וכיון שההתראה בכלל עדות הוא בדין הוא שתציל והא דמקשינן נמי ההורג והרובע יצילו שפיר נמי מצי איירי שבאו לב""ד והודו לדברי העדים וכיון דקי""ל שהודאת בעל דין כמאה עדים דמי בדין הוא שיציל א""כ לפי""ז לא משכחת להו ברוצח ורובע שיהרגו אלא א""כ בשכפרו לכתחלה בב""ד דא""כ שוב אינן חוזרין ומגידין ואין נחשבין לעדים שיצילו וממעשים בבל יום מקשה דלא לישתמיט בשום דוכתא לאשמעינן שיצילו כה""ג ועוד דא""כ לעולם יעשו כן. והשתא אתי שפיר נמי דאפשר דמשכחת לה נמי הך מלתא בהגדה ממש כגון שההרוג בא לב""ד בחייו כשאמדוהו למיתה וא""כ יציל ואע""ג דבחו""מ (סוף סי' ל""ג) הביא הב""י וד""מ דהנרצח כשר להעיד על הרוצח אם אינו טריפה היינו לפי המסקנא דהכא דבמקיימי דבר הכתוב מדבר מש""ה אינו מציל משא""כ מעיקרא דלא אסיק אדעתיה הך מילתא מקשה שפיר כך היה נראה לי לולי שהקדמונים והאחרונים לא פירשו כן ואולי מקום הניחו לי בזה ודוק היטב:"
Penei Yehoshua on Makkot 6a:6,סליק פרק ראשון
Penei Yehoshua on Makkot 6a:7,
Penei Yehoshua on Makkot 6a:8,
Penei Yehoshua on Makkot 6a:9,
Penei Yehoshua on Makkot 6a:10,
Penei Yehoshua on Makkot 6a:11,
Penei Yehoshua on Makkot 6b:1,
Penei Yehoshua on Makkot 6b:2,
Penei Yehoshua on Makkot 6b:3,
Penei Yehoshua on Makkot 6b:4,
Penei Yehoshua on Makkot 6b:5,
Penei Yehoshua on Makkot 6b:6,
Penei Yehoshua on Makkot 6b:7,
Penei Yehoshua on Makkot 6b:8,
Penei Yehoshua on Makkot 6b:9,
Penei Yehoshua on Makkot 7a:1,אלו הן הגולין פרק שני
Penei Yehoshua on Makkot 7a:2,"במשנה אלו הן הגולין ההורג נפש בשגגה היה מעגל במעגילה כו' עד סוף המשנה. ולכאורה משמע בלשון המשנה הא דקתני בבבא דרישא ההורג נפש בשגגה מילתא באפיה נפשיה היא דדוקא ההורג נפש בשגגה הוא דגולה משא""כ במזיד וזה לא יתכן דאכתי מאי קמ""ל דזיל קרי בי רב הוא דאין גולין אלא בשוגג דהא טובא בשגגה כתיבי בפ' מסעי ובפ' ואתחנן ובפ' שופטים נמי טובא כתיבי בבלי דעת ודרשינן בסמוך פרט למתכוין וממילא דכ""ש במזיד ובמתכוין ממש. וליכא למימר דמשום הכי קתני בשגגה למעוטי לאומר מותר דאינו גולה משום דקרוב למזיד הוא כדאמרינן בשמעתין הא ודאי ליתא דהא אומר מותר נמי שייך בהו לשון בשגגה כמו שכתבו התוס' בסמוך דבחטאת חלב ובכל חטאת נמי כתיב בשגגה אפ""ה אומר מותר נמי חייב (וכמו שאבאר בסמוך) אלא הא דממעטינן לאומר מותר מגלות משום דכתיבי שגגה יתירא וא""כ לפי""ז אכתי אין לשון המשנה מדוקדק אדרבה בלשון בשגגה אפילו באומר מותר במשמע וא""כ הו""ל למיתני בהדיא בסיפא דמתניתין דאומר מותר אינו גולה ומהאי טעמא גופא ליכא למימר דהא דקתני בשגגה היינו למעוטי אונס גמור כדאיתא בשילהי כיצד הרגל דאמר רבא היתה אבן מונחת בחיקו ולא הכיר בה ונפלה והרגה דפטור מגלות וכה""ג גופא בשאר אונס גמור כהנך דמייתי התוס' התם בשילהי כיצד הרגל ובפ' הנשרפין (דף ע""ז ע""ב) משום דהתוס' גופייהו כתבו שם הא דממעטינן אונס גמור מגלות היינו משום דטובא בשגגה כתיבי ומייתי נמי הך ראיה דחטאת חלב דחייב אפילו באונס גמור דאין לך אונס יותר מתינוק שנשבה וא""כ הדרא קושיא לדוכתא. והנראה לענ""ד בזה דאפ""ה איצטריך למיתני במתני' בשגגה למעוטי מזיד ולא אתרו ביה או אפילו אתרו ביה נמי איצטריך משום דלכאורה מפשטא דקרא משמע איפכא דלבתר דכתיב בפרשת מסעי גבי ערי מקלט ונס שמה רוצח מכה נפש בשגגה כתיב נמי והיו לכם הערים למקלט מגואל ולא ימות הרוצח עד עמדו לפני העדה למשפט וא""כ יש במשמע דבתרתי איירי קרא דערי מקלט קולטות לגמרי במכה נפש בשגגה שאין גואל הדם רשאי להורגו ואם הרגו נהרג עליו ומהני נמי ערי מקלט לענין מזיד דנהי דבב""ד בר קטלא הוא היינו שהב""ד שולחין שם לערי המקלט ומביאין את הרוצח לעירן ודנין אותו ע""פ עדים ואם התרו אותו דנין אותו במיתת ב""ד ואם לא התרו ביה אפשר דחוזר וגולה לערי המקלט כדמעיקרא כך היה נראה לכאורה בפשטא דקרא ולקושטא דמילתא לא הוי הכי כדמסקינן בסמוך בגמרא אפילו במזיד ולא אתרו ביה אינו גולה והיינו שאין ערי המקלט קולטות לענין גואל הדם לא מיבעיא שאם הרגו דאין נהרג עליו אלא דאפילו לכתחלה מותר לגואל הדם להורגו וכמו שכתב הרמב""ם ז""ל בהלכות רוצח וכמו שאבאר לקמן אי""ה ואף למאי דמשמע לקמן (דף י' ע""ב) מברייתא דרבי יוסי ב""ר יהודה דקאמר בתחלה אחד שוגג ואחד מזיד מקדימין לערי מקלט ופירש""י דתחלת משפטן של רוצחים ועיקרן זהו אחד שוגג ואחד מזיד כו' ויליף טעמא מקרא וכמו שאבאר שם א""כ משמע דבמזיד גמור נמי שייך דין גלות מן התורה קודם שעומד למשפט לענין שאסור לגואל הדם להורגו אפ""ה אתי שפיר לישנא דמתני' דקתני אלו הן הגולין ההורג נפש בשגגה כיון דעיקר גלות דאיירי ביה קרא היינו דוקא בשוגג שערי המקלט קלטו לענין שאם הרגו גואל הדם נהרג עליו. משא""כ בהך גלות דמזיד נהי דלר' יוסי ב""ר יהודה מצוה על הב""ד להגלותו היינו דרך עצה טובה כדי שבקל ינצל מגואל הדם משא""כ לענין קליטה דאיירי ביה קרא היינו שדרך חיוב ממש בר גלות הוא ואם הרגו גואל הדם נהרג עליו לא שייך אלא בשוגג ולא במזיד דבמזיד לכו""ע אין נהרג עליו כמבואר להדיא בלשון הרמב""ם ז""ל והוא פשוט א""כ לפי""ז אדרבה אתי שפיר טפי לישנא דמתניתין דקתני אלו הן הגולין ההורג נפש בשגגה דבהאי הוא דאיכא לפלוגי בין דרך ירידה לדרך עלייה משא""כ בהך גלות שאינו אלא עצה טובה ודאי לא שייך לחלק בין דרך ירידה לדרך עלייה כיון דאפילו במזיד גמור שייך הך עצה טובה כן נראה לי נכון ודו""ק:"
Penei Yehoshua on Makkot 7b:1,"בגמרא מנא הני מילי אמר שמואל דאמר קרא ויפל עליו וימות עד שיפול עליו דרך נפילה. והרמב""ם ז""ל בחיבורו בהלכות רוצח נתן טעם בזה דדרך ירידה כיון שדרך דבר הכבד ליפול למטה וכיון שלא נזהר היטב בזה הוי קרוב לפשיעה מש""ה גולה משא""כ בדרך עלייה שהוא כמו פלא והוי קרוב לאונס מש""ה פטור ובעל תוי""ט הביא לשון הרמב""ם וקלסיה ולכאורה לא ידענא למה הוצרך ליתן טעם לזה כיון דשמואל יליף לה מקראי דויפל ואטו אנן טעמא דקרא ניקום ונדרוש. ויש ליישב דאי לאו שיש טעם בדבר לא הוי מצינן למילף מהך ילפותא דויפל היינו דוקא דרך ירידה אבל דרך עלייה אינו גולה דהא מצינן למימר נמי איפכא דקרא לרבותא כתיב דאע""ג דדרך ירידה הוה קרוב לפשיעה וסד""א דלא סגי ליה בגלות קמ""ל דאפ""ה חייב ומכ""ש בדרך עליה שאינו אלא שוגג גרידא פשיטא דחייב דלפוטרו בלא כלום אי אפשר לכך הוצרך הרמב""ם לפרש טעם הדבר דאדרבה מסברא אית לן לאוקמי קרא דויפל בדדמי דדוקא בדרך ירידה אבל בדרך עלייה שהוא כמו פלא וממש מהיפך להיפך מש""ה פטור בלא כלום. ובלא""ה נמי נראה שתלה הרמב""ם ז""ל דבר זה לחלק בין ירידה לעליה משום זה הטעם דדריש טעמא דקרא משום דלא ניחא ליה לומר דגזירת הכתוב הוא בענין כזה בדברים שהן בין אדם לחבירו ולא שייך לפוטרו בלא כלום אלא דע""כ דמהאי טעמא הוא אלא דאי אפשר לומר כן דהא לכאורה מהא דמרבינן בזה הכלל ירידה שהיא צורך עליה וכן כה""ג בהך ברייתא דקצב משמע דלא שייך בהו הך טעמא של הרמב""ם ז""ל אלא ע""כ דעיקר ילפותא היינו מקרא דויפל אפ""ה הוצרך הרמב""ם לכתוב טעם זה כדפרישית דניחא ליה לאוקמי קרא בדדמי וכיון דפשטא דקרא דכתיב ואם בפתע בלא איבה הדפו או השליך עליו כל כלי בלא צדיה וגו' ויפל עליו וימות ובכה""ג פשיטא ליה להרמב""ם שהוא כמו אונס מש""ה ליכא למימר דלרבותא כתבו אלא דלעולם דוקא דרך נפילה בעינן ואפשר נמי דהאי ויפל עליו מיותר לגמרי להך דרשא כן נראה לי:"
Penei Yehoshua on Makkot 7b:2,"שם ת""ר בשגגה פרט למזיד כו' מזיד פשיטא בר קטלא הוא. והקשו בתוס' תימה אימא במזיד ולא התרו בו ותירצו דאפ""ה פשיטא משום דמבלי דעת נפקא או מדכתיב והוא לא שונא לו. ולכאורה אין תירוצים הללו מספיקים דמלשון הגמרא לא משמע כן דלפירושם שם הו""ל למימר הא מהכא נפקא הא מבלי דעת נפקא או מוהוא לא שונא משא""כ הך לישנא דקאמר מזיד פשיטא בר קטלא הוא משמע דלא איצטריך קרא כלל דמסברא פשיטא לן הכי. ולולי תירוצם היה נראה לי דודאי אפילו מסברא אית לן למימר דאפילו במזיד ולא אתרו ביה נמי פשיטא דלא שייך ליה עיקר גלות שיגלה לעיר המקלט ויהיה גואל הדם נהרג עליו דהא ודאי ליתא כיון דבר קטלא הוא שהרי ניתן להצילו בנפשו מהיקישא דנערה מאורסה אם כן מהיכא תיתי נאמר שיהא גואל הדם נהרג עליו וכמ""ש הרמב""ם ז""ל ועוד דלכאורה נראה דבמזיד ולא אתרו ביה נהי שהב""ד אינן יכולין לעונשו מיתה אפ""ה חייב מיהא כרת או מיתה בידי שמים והא דלא חשיב ליה בריש כריתות בהדי ל""ו כריתות היינו משום דלא חשיב ליה אלא הנך דשייך בהו קרבן בשגגתם משא""כ ברוצח שלא ניתן שגגתו לכפרת קרבן כדאמרינן בפ' אלו נערות ובדוכתי טובא כן נראה לי:"
Penei Yehoshua on Makkot 7b:3,סליק פרק שני
Penei Yehoshua on Makkot 13a:1,אלו הן הלוקין פרק שלישי
Penei Yehoshua on Makkot 13a:2,"במשנה ואלו הן הלוקין. כן הגירסא בספרים שלפנינו ואלו הן הלוקין בוא""ו אבל בתוי""ט כתב דאית דגרסי אלו בלא וי""ו ולענ""ד נראה דמאן דתני אלו לא משתבש ומאן דתנא ואלו לא משתבש דמ""ד אלו היינו משום דמן הראוי היה לשנות הך משנה בתחלת המסכתא דהא תנא מסנהדרין סליק דקתני התם אלו הנסקלין וכן כל הארבע מיתות המסורים לב""ד מש""ה שייך למיתני בתר הכי בתחלת מסכת מכות אלו הן הלוקין אלא משום דמסקינן לעיל בריש פ""ק הא דקתני כיצד עדים נעשו זוממין היינו נמי משום דתנא מסנהדרין סליק דקתני התם כל הזוממין מקדימין לאותה מיתה מש""ה פתח בכיצד העדים לאשמעינן דיש עדים זוממין שאין עושין בהם דין הזמה וכו' מש""ה קתני נמי בפ""ב אלו הן הגולין משום דבמתניתין דריש פירקין קתני מעידין אנו באיש פלוני שחייב גלות מש""ה קתני אלו הן הגולין עד סוף הפרק וא""כ לפי""ז שפיר שייך למיתני אלו הן הלוקין לפי שהתנא חוזר לסדר הראשון למיתני ענין מלקות בתר דקתני התם אלו הן ארבע מיתות אבל מאן דגרס ואלו נראה היינו נמי משום דבמשנה שניה דפ""ק דקתני מעידין אנו באיש פלוני שחייב מלקות מש""ה שייך שפיר למיתני ואלו הן הלוקין כן נראה לי וק""ל:"
Penei Yehoshua on Makkot 13a:3,"שם ואלו הן הלוקין הבא על אחותו וכו' עד סוף המשנה. פירש""י ותוס' דאלו לאו דוקא דתנא ושייר טובא אלא דרש""י מסיק דרובן דתני בהך מתניתין יש בהן חידוש ובתוס' כתבו שאין צריך לדחוק ולמצוא בהם חידוש העולה מיהא מדבריהם בעיקר פשטא דמילתא דתנא אלו למעוטי חייבי מיתות ממלקות ולמעוטי נמי חייבי לאוין שאין בהם מעשה דאין לוקין אלא דלכאורה לפי""ז הו""ל לאקדומי חייבי לאוין מקמי חייבי כריתות דהא עיקר מלקות מלאו דחסימה ילפינן כדאמרינן בשמעתין ובכמה דוכתי אבל לפירש""י אתי שפיר דאדרבה כל מילתא דאית ביה חידוש תנא ברישא כדאמרינן נמי בכמה דוכתי מידי דאתי מדרשא חביבא ליה והכא נמי חייבי כריתות יש בהן חידוש יותר דאע""ג דלא דמי ללאו דחסימה אפ""ה לוקין משום דאתיא מדרשא כמו שאבאר בשמעתין. ועוד נראה לי דהא דפתח התנא תחילה בחייבי כריתות דעריות היינו משום דאית בהו חידוש טובא דהא בכל הנך עריות שייך בהו חיוב ממון קנס ובושת ופגם ואפ""ה שייך בהו חיוב מלקות תדע דהא בריש פרק אלו נערות קתני התם הבא על אחותו וכו' ומקשינן התם בגמרא ורמינהו ואלו הן הלוקין הבא על אחותו כו' ושקיל וטרי הש""ס טובא בכמה אוקימתות ע""ש אלא דר""י דהילכתא כוותיה משני התם בתר הך רומיא דמתניתין כאן כשהתרו בו וכאן שלא התרו בו והיינו משום דקסבר ר""י כל היכא דאיכא ממון ומלקות מילקא לקי ממונא לא משלם ולאפוקי מדעולא דאמר איפכא וכן כתב הרמב""ם ז""ל בהלכות נערה וא""כ אין לך חידוש יותר מזה ובאמת דאליבא דעולא נמי שמעינן שפיר חידוש מכל הנך חייבי כריתות דעריות דלוקין אלא שאין להאריך וכ""ש לאוקימתא דרבה דאמר לוקין ומשלמין והיינו חידושם. והא דאיצטריך נמי למיתני אחות אשתו ואשת אחיו משום דאית בהו חידוש טפי דאפילו הבא עליהן שלא כדרך אישות נמי לוקה לאפוקי דלא נימא דכיון דכתיב בהו כי יקח הו""א דוקא דרך לקוחין אסרה תורה כדדייק הש""ס בריש פרק נושאין על אנוסה קמ""ל מתניתין דהכא אפילו בא עליה שלא כדרך אישות נמי לוקה והיינו כדמסיק הש""ס התם בפ' נושאין והאוכל חמץ בפסח נמי איצטריך למיתני דוקא באוכל הוא דלוקה אבל בלאו דבל יראה ובל ימצא אין לוקין משום דהוי לאו שאין בו מעשה ובאוכל ועושה מלאכה ביום הכיפורים נמי איצטריך לאשמעינן דוקא באכילה ושתיה דהיינו אכילה לוקה אבל בסיכה ורחיצה אע""ג דהוי כשתיה אפ""ה אינו לוקה כן נראה לי:"
Penei Yehoshua on Makkot 13b:1,"בגמרא מ""ט דר' ישמעאל כתיב אם לא תשמור לעשות את כל דברי התורה וכו' א""ה לאו שאין בו מעשה נמי. וקשיא לי ואכתי מאי קושיא דלמא אין ה""נ דלר""י דיליף עיקר מלקות אפילו בחייבי מיתות משום דכתיב את כל דברי התורה א""כ מהאי טעמא גופא שפיר מצי ר""י למיסבר דעל לאו שאין בו מעשה נמי לוקה דהא משמע בפ""ק דמכות ובכמה דוכתי דפלוגתא דתנאי הוא מיהו מהאי דמכות אין קושיא כ""כ דהא למאן דמתני הא דעולא אדרבי יהודה דנותר מסקינן התם דר""י יליף לה מעדים זוממין וממוציא שם רע וצד חמור לא פריך ע""ש. א""כ לפי""ז שפיר מצינן למימר דעולא לטעמיה התם ברפ""ק דמכות דעיקר מלקות בעדים זוממין איירי קרא דארבעים יכנו ומש""ה לא שייך האי פירכא דמה להצד השוה שבהן שכן קנס דאדרבה לפי""ז ליכא שום ילפותא למלקות בשאר חייבי לאוין משא""כ הכא בשמעתין דאמרינן דר' ישמעאל יליף עיקר מלקות דחייבי כריתות ומיתות ב""ד מקרא דאם לא תשמור ולא מעדים זוממין א""כ מקשה שפיר אי הכי לאו שאין בו מעשה נמי דהשתא ס""ד דאי אפשר שיסבור שום תנא דלאו שאין בו מעשה בדבר שאינו קנס ילקה ומכ""ש דאתי שפיר טפי לפי מה שכתבתי ברפ""ק דשבועות דהא דפוטר ר' ישמעאל בשבועה דלשעבר מעולה ויורד היינו משום דסבר לאו שאין בו מעשה אין לוקין ע""ש בחידושינו. ובזה יש ליישב הך גירסא שהביאו רש""י ותוס' שם דאיכא מאן דגריס התם אי הכי קשיא הך דאלו הן הלוקין:"
