Mei HaShiloach.1.1,(Book of Genesis)<br/>
"Mei HaShiloach, Introduction.23","One time he said to his <i>hasidim</i>, “You are to know that whoever travels to me, at the time that he is with me he forgets his home completely. This is a sign that he has some connection to me. And one who is with me and remembers his home, he has no connection to me. You are all to know that I see each one of you in particular. I see even that which you do in you innermost chambers, and in secret in your homes.”"
"Mei HaShiloach, Introduction.24","It was his custom before the morning <i>shacharit</i> prayer to recite verses from <i>Parshat Ha’azinu</i> (<i>Devarim</i>, Ch. 32). Those who knew of this would also follow this custom."
"Mei HaShiloach, Introduction.25","As is known, when dressing one always dresses first the right side, and then the left. Once it happened that he put on his left shoe first. For this he fasted and did not speak the entire day."
"Mei HaShiloach, Introduction.26","It was his custom after taking a hot bath in honor of the Shabbos or a festival for his <i>shammash</i> to pour pure olive oil on his head. Our master and teacher <i>z’l</i> the “Beit Yaakov” (his son), also followed this custom after him."
"Mei HaShiloach, Introduction.27","One time, on the eve of the holy Shabbos (Friday afternoon) while walking home from the bathhouse of the town of Isbitza down the main street, he saw a small child sitting by the window of a house. When he passed by the window he heard the child say, “the wicked stray from the womb” (Tehillim, 58:4), for he (the child) noticed some impunity in him. May the blessed God give us and all of Israel children God has blessed."
"Mei HaShiloach, Introduction.28","At the time of the plague, Heaven protect us, he commanded to say constantly the verse (Tehillim, 94:22), “Hashem shall be my stronghold, God shall be the rock of my refuge,” for in this verse are contained all forces of success and protection."
"Mei HaShiloach, Introduction.29","Once it happened that a woman on the verge of giving birth entered alone into a barn, and disappeared. They searched for her but could not find her. After a great search, towards evening, they found her lying cast down by a river. When they asked her how she had gotten there, she said that they had forced her from the barn and taken her to the river. There they placed her in the water, and as she was about to expire from drowning, an elder appeared and said to them, “let her go, have mercy on her, she has yet to live.” Just after the elder had said this, her assailants removed her from the river and placed her on the bank, soaked through. (When the search party found her), they took her to her house and put her in her bed. Then on the second day, at exactly the time when they had taken her from the barn to the river, she girded her strength and ran from her bed, saying that she had to get to the river. With all her strength she fought with the men who did not let her run away, and it continued in this way each day until she was nearly completely insane with harrowing phantasms. They went and told my grandfather <i>z’l</i> about the situation. He told them to write a kosher <i>mezuzah</i> and to hang it around her neck. So they did, and she returned to her senses, with evil no longer terrifying her, God forbid."
"Mei HaShiloach, Introduction.30","The Rebbe <i>z’l</i> once advised the use of a <i>segula</i><sup>9</sup><i class=""footnote"">A <i>segula</i> is a ritual or action reputed to influence a certain good effect, yet with no obvious connection to the good effected. For example, smelling the wick of the <i>havdalla</i> candle after the <i>havdalla</i> ceremony is supposed to save one from anger, or a woman biting off the end of the <i>etrog</i> (citron) with the stem (<i>pitom</i>) after Succot is a <i>segula</i> for her to become pregnant, and there are countless others that are supposed to influence health and success.</i> for one sick with jaundice to place a living dove on the stomach of the man. The dove took the sickness inside her and the man was healed."
"Mei HaShiloach, Introduction.31",He would never eat meat that was slaughtered and cooked in the same day. Rather he requested that it be cooked the day after it was slaughtered. There is a source for this both in the wisdom of the kabbalah and in ways of good health.
"Mei HaShiloach, Introduction.32","He once said during an extended study of the tractate <i>Eruvin</i> in the Gemara, that it is a good <i>segula</i> to study each Shabbos eve a certain selection from this tractate (<i>Eruvin</i>, 21a), Rav Chisda said, Rav Mari bar Mar explained, ‘why is it written (Tehillim, 119), “for every purpose I have seen and end, Your commandments are exceedingly broad’ ” until, we find that the whole cosmos is one in three thousand two hundredths of the span of the Torah.”"
"Mei HaShiloach, Introduction.33","One time, during the week of the Torah reading <i>Tetsave</i>, as he was sitting by his table on the holy Shabbos, he gave a certain man a flask of wine and said, “it is written in this week’s <i>Parsha</i> (<i>Shemot</i>, 28:13), ‘and you shall make settings of gold.’ <i>Zalst haben felleh kastlich mit gold</i>.—May you have crates filled with gold!’ ” Some days later, it happened that this man won the lottery, and became immensely wealthy."
"Mei HaShiloach, Introduction.34","Once a group of <i>Kleizmorim</i> (musicians) came to the Rebbe. They complained that a certain Baron had planned a great feast with music, and had invited them. Already expecting their wages from the Baron, they prepared themselves to play at the feast, when they heard that a group of Gentile musicians had approached the Baron, and winning his favor, the Baron had canceled the Jewish musicians. This caused them great damage and shame, for these were <i>Kleizmorim</i> of a high level who pleased all that heard them. When he heard this, his compassion for them was aroused, and he rested his head on his arm for some moments. When he arose, all who stood before him saw that tears were streaming down his face. He said to them, “do not fear. You will yet play for the Baron, and he will even ask your forgiveness.” Thus it was, that at the time of the feast when the Gentile musicians began to play, the Baron heard all kinds of mistakes in their playing, as he had an understanding of music. They also did not please the guests. He immediately fired them and sent for the <i>Kleizmorim</i>, appeasing them and giving them a great salary. The Baron and all of the guests were thoroughly enraptured in their music. It was then that they saw that the words of the Rebbe were the words of the living God."
"Mei HaShiloach, Introduction.35","It once happened that a certain hasid who was close to him fell from his position into poverty, Heaven protect us, until he did not even have the means to support his family. He then traveled to my grandfather <i>z’l</i> and poured before him his bitter predicament. He pleaded for the Rebbe to help him and the children in his care. The Rebbe advised him to travel to Lublin, and there he would find salvation. The man immediately took his advice, traveling to Lublin with only a few pennies in his pocket. There he milled about the streets and markets, but found no sign of assistance. About two weeks after he had come to Lublin, he was in the street, and he saw a Polish army officer walking toward him. When the officer saw him, he asked him, “are you the one whose name is (such and such)?” “Yes, sir,” answered the hasid. “Then come to my house tonight. I have something for you.” He then gave the hasid a card with his name and address written on it, and went on his way. The hasid asked around about the identity of this officer, and someone told him that he was the captain of a new regiment that had recently come to this area, but before that he was in the town of (such and such). Upon hearing the name of the town, the hasid remembered that he had a brother in that very same town whose name and family name was that which the officer had mentioned when he saw that the hasid was related to him. That night, when the hasid went to the officer’s house, he saw many men knocking on his door. The officer refused them all entry, save the hasid, whon he took into his storeroom. There he gave him enough food and provisions for an entire regiment, as if he was his own brother. He also gave him money. When he left the house, the crowd saw him with all the boxes of supplies, and before he left he had sold them all he had. The man became rich and lived well the rest of his life."
"Mei HaShiloach, Introduction.36","Once during the week of <i>Parshat Shlach</i>, he explained why the incident of sending the spies is immediately followed by the commandment of the wine libations and the <i>challot</i> (showbreads) in the temple. In his pure language, that it is the way of the world and men that if someone is weak, suffering, or anguished you give him a glass of wine and food to give him strength. This is as it is written (Mishlei, 31), “give wine to the bitter of spirit.” So, too, after the mission of the spies, when all of Israel became depressed, and mourned greatly over the decree that they would not enter the land of Israel. So therefore they were given the <i>mitzvot</i> of the libations and <i>challa</i>. <i>“A trink branfin mit far bissen</i>—a drink of liquor with a little snack.”"
"Mei HaShiloach, Introduction.37","Once during <i>Parshat Vayigash</i>, he said the <i>notakarion</i><sup>10</sup><i class=""footnote""><i>Notakarion</i> is the system in which a word is an abbreviation of the first or last letters of a phrase or verse. Thus one can make esoteric connections otherwise hidden. For example, “Shabbat,” is an abbreviation of the last letters of the verse <i>erets zavaT chalaV u’devaSH</i>, “a land flowing with milk and honey.”</i> of “<i>Vayigash</i> (meaning ‘and he {Yehuda} came close to {to Yosef}’)” (from <i>Bereshit</i>, 44:18) was <i>Vint Yudilech givent shreit</i>—“the Jews cried a terrible cry.” The Rebbe <i>z’l</i> himself passed away in the week of <i>Parshat Vayigash</i>. So did my uncle (the Isbitzer’s grandson) the Rav Gershon Chenoch Hainich <i>z’l</i> pass away during <i>Parshat Vayigash</i>. Once, the holy Rav and disciple of the Isbitser, our teacher Reb Tsadok haCohen <i>z’l</i>, wrote in his book, <i>Pri</i>, that he himself once heard the Rebbe <i>z’l</i> say that crying was hinted at in the word “<i>Vayigash</i>—and he came close,” and that there was a great and deep matter in this."
"Mei HaShiloach, Introduction.38","Once during <i>Parshat Vayikra</i> he said, “When I learned the verses (<i>Vayikra</i>, 2:5-6) ‘And if your sacrifice is a meal offering baked in a pan, it shall be of fine unleavened flour mixed with oil. You shall crumble it into pieces, and pour onto it oil—it is a meal offering,’ then I felt the smell of life.” I counted the number of words in these two verses, and they came to eighteen, the numerical equivalent of <i>chai</i>, “alive.” I then counted the number of letters in these two verses, and I arrived at sixty-eight, the numerical equivalent of <i>chaiim</i>, “life.”"
"Mei HaShiloach, Introduction.39","[My uncle, the holy Rav, Reb Moshe Chaim Sokachevski <i>z’l</i> of Chelm, showed me another verse in this vein. It is (<i>Devarim</i>, 23:6), “and Hashem your God did not desire to listen to Bilaam, so for you Hashem your God turned his curse into a blessing, for Hashem your God loves you.” In this verse there are also eighteen words and sixty-eight letters equivalent to <i>chaiim</i>—“life.”]"
"Mei HaShiloach, Introduction.40","Once on Rosh Hashanah before the sounding of the Shofar he instructed all of the <i>hasidim</i> who were in the house of study to recite from the blessing directly before the morning <i>Shema</i> the words, “With eternal love have you loved us, Hashem our God,” until just before the end of the blessing, “and to unify You with love, and to love Your name,” three times. He said that he saw a great spirit of accusation descending upon Israel in the coming year, and therefore they were to pray with special fervor and return to God’s ways from the depths of their hearts. He himself recited this with tears. And indeed, that year the harsh decrees were renewed against Israel, may Heaven protect us."
"Mei HaShiloach, Introduction.41","His disciple the holy Rav, the genius Reb Tsadok haCohen <i>z’l</i>, took upon himself as a custom, and each year before the sounding of the Shofar, he commanded the congregation to recite “with an eternal love” three times."
"Mei HaShiloach, Introduction.42","In his days, a certain famous astrologer made a great tumult by saying that in a few more months a comet would destroy the world. Many believed him and feared his words. When this was told to the Rebbe <i>z’l</i>, he said that these were pure lies, for it is written (Amos, 3:7), “Hashem E-lohim will not do anything that he does not reveal to his servants the prophets.” He said, “How could a thing like this be true in the world and Hashem did not reveal it to me? Therefore it is all lies, and you shall not believe it.”"
"Mei HaShiloach, Introduction.43","He passed away with a good name in the year 5614, on the seventh day of the month of Tevet. His final resting place was in the town of Isbitza, and he left behind him the blessing of words of Torah in his holy book, the <i>Mei HaShiloach</i>, in two volumes. There are also many more of his words in writing and passed on from mouth to ear between men of standing. May God bring us life and His merit protect us. Amen. Let it be His will."
"Mei HaShiloach, Introduction.44","Love of Israel was fixed permanently in his heart, to such a great extent that he warned against bringing accusations, God forbid, even against sinners. These are his words in the <i>Mei HaShiloach</i>:"
"Mei HaShiloach, Introduction.45","<i>“And you shall not wrong one another, and you shall fear your God ….”</i> (Vayikra, 25:17)."
"Mei HaShiloach, Introduction.46","This verse is also directed to great souls of precious value, when they see someone doing something against the will of the blessed God, and want to accuse against him, punishing him. On this the Holy One, blessed be He, “do not wrong,” and similarly did David haMelech say (Tehillim, 50:20–21, following R. Hirsch’s translation), “You sit and speak against your brother, you slander your own mother’s son. You have done these things; and I stood by in silence, so you thought I was the same as you. Therefore I will reprove you, and set them in order before your eyes.” “You sit and speak against your brother, you slander your own mother’s son” means that he does so even though he is obliged to love his neighbor, as is commanded of him (<i>Vayikra</i>, 19:18), “you shall love your neighbor as yourself.” Man must ask in his prayers for compassion toward his fellow man, but still, he wants to bring accusations against him."
"Mei HaShiloach, Introduction.47","Therefore the Blessed God says, “you have done these things, and I stood by in silence.” If the blessed God sees fit to clarify matters, then even the actions of the <i>Tsaddikim</i> will not be meritorious in His eyes, for in the presence of the blessed God who can justify himself, and who can say, “I have refined my heart”? And still, the blessed God is silent, not revealing the shame of any man even if he shall sin. You thought that I was the same as you,” for he who brings accusations against his fellow man considers himself and his actions as refined as the will of the blessed God. He believes wholeheartedly that it is the will of the blessed God that he should accuse the man who sins. To this grave error the blessed God says, “Therefore I will reprove you, and set them in order before your eyes.”"
"Mei HaShiloach, Introduction.48","This means that the blessed God will show truth to the face of he who points to the guilt of his neighbor and says that it is God’s will that he do so. God reproves him by showing that the will of the blessed God is only to conceal all the sins of Israel. Thus is it written (<i>Micha</i>, 7:19), “and cast all their sins to the depths of the sea.” Thus He will conceal them greatly so they will not be revealed and never more seen. So how could one say that the blessed God wants us to expose the guilt of our neighbors, expanding upon their sins? Even though the blessed God commanded man to reprove his neighbor and to try to distance him from all evil as much as is possible, this is only possible in a place where he knows he can help him by bringing him to the good, or through prayer that will arouse compassion upon him to return him to the path of ethical behavior. However, if he cannot remove him from his errors, then he must judge him meritoriously, and not accuse him. Thus one cannot judge his neighbor as guilty, for perhaps his neighbor’s <i>yetser hara</i> (inclination to evil) is greater than his own. Or, perhaps what he sees as an error or sin is actually permitted to his neighbor, for there are many things that are forbidden to one but permitted to another."
"Mei HaShiloach, Introduction.49","On the same subject, also in <i>Parshat Behar</i>, it says the following: “A man who sells his house in a walled city,” etc. (<i>Vayikra</i>, 25:29)"
"Mei HaShiloach, Introduction.50","The passage dealing with houses in walled cities teaches that man knows that all the matters of the Yovel are in order to make it clear that there is a time for everything. Even if a man sinned against the blessed God, He will not be angry with him forever. This passage teaches that such a situation only arises when a man sins in affairs between him and the Omnipresent. Although this arouses the attribute of stern judgment where he must sell from his portion or be sold as a servant, it shall not be so forever, for he will go out in the Yovel, and a man shall return to his portion. However, a man may arouse the attribute of stern judgment from a sin between man and his fellow man, with the main example of this being if a man sins by shaming his fellow man publicly with his words. This is what the verse meant when it said, “if a man shall sell his house in a walled city,” for the tongue is called “a house in a walled city,” as it says (<i>Arachin</i>, 15b), “I have given you two walls [the lips].” By means of this a man could, God forbid, sell and lose all his merits, and his fellow man could buy them. On this Shlomo haMelech said (Mishlei, 25:28), “He who cannot control his own spirit is like a city with its walls broken down.”<sup>11</sup><i class=""footnote"">It needs to be noted that the word <i>ruach</i>, “spirit,” can also mean breath, and hence one who refrains from using his breath and voice to shame another. Keep this in mind whenever the phrase “controls his spirit” is used.</i> The advice given for this is to reconcile with his fellow man within a year, and on this it says, “for a full year he shall have the right of redemption.” “And if it not be redeemed within the space of a full year, then the house that is in the walled city shall be established forever to him that bought it throughout the generations,” meaning that if he does not reconcile with his fellow man, then his merits will permanently remain with his fellow. This is the explanation of the difference between how the verse is spelled in the Torah scroll and how it is read. “The house that is in the walled city” or “the house that has a wall” is written in Hebrew, “<i>asher lo homa</i>.” <i>Lo</i> is written in Hebrew <i>Lamed Aleph</i>, which would mean “does not have a wall.” However, we read it as if it were written as <i>Lamed Vav</i>, “which has a wall.” The meaning is that a man who has no control over his spirit is called “without a wall,” and the one who controls his spirit is called one “with a wall.” Thus it is that all the merits of one who cannot control his spirit will remain in the possession of the one who could control his spirit and remained silent."
"Mei HaShiloach, Parshat Bereshit.1","<i>“In the beginning God created ….”</i> (Bereshit, 1:1)"
"Mei HaShiloach, Parshat Bereshit.2","“Created” means strengthening. In the beginning, He strengthened and reinforced the foundations so that they could receive the creation. This is as a king, when he builds his treasure house, he first strengthens the foundations and the walls so they can receive what he places inside it, and the heavens and the earth are the foundations of the universe. They are hinted in man in the brain and the heart. At a time when man wants to proceed according to the will of the blessed God, in order to be a complete facet of creation, then he must invigorate and strengthen these two foundations. In other words, he must deliver over to the blessed God the intellect and thought in the head, and the desires of the heart, and then crown God, may He be blessed, over them, so that they only act according to the will of the blessed God. This is as in the saying of Rabbi Israel, the holy Baal Shem Tov, “where a man’s thoughts are, that is where he is in his entirety.” This is the meaning of the verse in Mishlei (Mishlei, 24:26), “My son, give me your heart,” and then the continuation of the verse follows of itself, that then, “you [your eyes] will want to observe My ways.” This means that when you deliver over your heart to the blessed God, then you will make the service of the blessed God your main occupation, and all the matters of this world will be secondary. This can be understood by means of a parable. A rich man has a wise and wonderful son, whom he betroths to a woman fitting for his honor. At the time when he prepares the wedding banquet and tastes of the food that he prepared, at that moment he remembers the joy of his son, and the taste of the food becomes secondary. Understand this."
"Mei HaShiloach, Parshat Bereshit.3","<i>“And God said, ‘Let there be light,’ and there was light.”</i> (Bereshit, 1:3)"
"Mei HaShiloach, Parshat Bereshit.4","It is said in the Midrash (<i>Bereshit</i> Rabba, 1:1), “Rabbi Ushaya Rabba opened, (Mishlei, 8:30) ‘And I was as one brought up with him, and I delighted in him each day.’ Ammon, or ‘brought up,’ means like a tutor.<sup>1</sup><i class=""footnote"">See Esther 2:7, “and he brought [<i>omman</i>] up Hadassa, that is, Esther.”</i> ‘Ammon,’ he was well covered. ‘Ammon,’ he was hidden [or well cared for]. There are those who say, ‘Ammon,’ the name of the capital (in Egypt, Alexandria was once called ‘Ammon’).<sup>2</sup><i class=""footnote"">This has another translation. <i>Ammon</i> means famous.</i> Another interpretation: ‘Ammon’ is an artisan.” These five interpretations of <i>Ammon</i> are the same as we find in man, for he goes through five states of being and levels from the beginning of his existence until he comes into his final form of completeness."
"Mei HaShiloach, Parshat Bereshit.5","At first, at the time of conception by the father and mother, he is completely hidden, and not recognizable to any part of creation. The second state of being is once he has been formed in his mother’s womb, then he begins to engender some form of recognition as a separate entity. The third state of being occurs once he is born, and his status as a separate entity is complete, and all can see that he a unique part of creation. The fourth state happens when he is weaned from his mother’s breast and begins to act on his own. The fifth level of being begins when he marries a wife and then begins to create new beings, to be built as an everlasting structure, and toward this end was he created. And thus it is, that these five states of being are found in the creation of the world, which come forth from nothing and the completely hidden to the revealed and substantive."
"Mei HaShiloach, Parshat Bereshit.6","At first it (the creation) was called “brought up in secret,” for it was included in God’s essence, may He be blessed, and there was no recognition of it emanating from Him, may He be blessed, and this was the first state of being. When the creation emanated from the blessed God, and began to move more toward the revealed, then it was in the second state of being, called “brought up well covered.” This is the secret of the embryonic state, which is well covered. Afterward, it went further into the revealed, called “brought up as by a tutor.” These three states of being are the first three hidden <i>sefirot: Keter</i> (crown), <i>Chochma</i> (wisdom), and <i>Binah</i> (understanding).<sup>3</sup><i class=""footnote"">These aspects are hidden, just as the intellectual faculties are hidden in the head, and thought is hidden from external recognition.</i> The Midrash explains these three <i>sefirot</i> from below to above. First, “raised as by a tutor” is <i>Binah</i>, and then “raised well covered” is <i>Chochma</i>, and then “raised in secret” is <i>Keter</i>, which because it is so greatly concealed is called “in secret.”"
"Mei HaShiloach, Parshat Bereshit.7","Afterward it revealed itself more, called “ammon the capital” (as the capital is something thoroughly revealed), meaning that the creation began to grow, and this is the secret of being weaned from the mother’s breast. Afterward, “ammon is an artisan,” meaning that the creation emerged into the completely revealed, and (as an artisan) began by itself to bring new beings into the world according to the will of the blessed God. This is why at a wedding we pronounce the blessing “who formed man in His image,” and not at the time of birth. Even though man is born, he is not yet completely perfected; yet rather when he begins to try to make new beings, and this is when he marries a wife."
"Mei HaShiloach, Parshat Bereshit.8","And this is the meaning of “and the world was <i>tohu u’vohu</i>, chaos and void,” meaning that from the time of conception until the time that the embryo is recognized is called <i>tohu</i>, chaos or unformed. Then from the time it is recognized it is called <i>bohu</i>, void, meaning that we can see that something is there, yet we do not know what it is. The nine months of pregnancy are called “and darkness on the face of the abyss,” because at that time there is an expectation and hope to know the end from this, so therefore it is called “abyss.”<sup>4</sup><i class=""footnote"">Meaning something deep and unrecognizable that we desire to know in clarity.</i> “And the spirit of God hovered” is the time when the woman is giving birth, for at that time both the mother and the baby are closer to death than life, as is said in the Midrash and Gemara (<i>Vayikra Rabba</i>, 27:7). “And God said, let there be light,” meaning when the salvation is completely finished. Here in these verses, “let there be light” is mentioned five times, corresponding to the five states of being mentioned. The last one is “and God called the light day,” meaning that with this God completed all the intentions He had with which to create the world."
"Mei HaShiloach, Parshat Bereshit.9","<i>“And God said, let us make a man ….”</i> (Bereshit, 1:26)"
"Mei HaShiloach, Parshat Bereshit.10","This means that from the beginning God created all the creation, and afterward, the creation understood and recognized that it was lacking, for it had no one to connect its vitality to the blessed God. By means of man, all the facets of this world may be connected to the blessed God, for man raises everything up, as is known. The inanimate enters its power into the vegetation, and the vegetation into the animal, and the animal into the speaking (mankind). Then man, since he serves God with his strength, elevates all the powers he received from this world, even from the inanimate. Then when the creation realized how it was lacking, it effected an awakening from below for the creation of man. “God said let us make a man,” in other words (“let us,” for God is addressing all the created beings), the blessed God said to the entire creation that each one should give of its power and join in the creation of man, so that man would then have a portion in all of them. Then if man should need anything they would all stand to help him, for in his evil he could do them harm, as in the generation of the flood, but in his good he could also benefit them."
"Mei HaShiloach, Parshat Bereshit.11","<i>“And thus the heavens and the earth were completed and all their host.”</i> (Bereshit, 2:1)"
"Mei HaShiloach, Parshat Bereshit.12","The holy Rav of Pshiske, Reb Simcha Bunem, may the mention of the <i>Tsaddik</i> be for a blessing in the world to come (the author’s teacher), said that we have no instance in all of the Torah and Scripture where the creation of the earth is called “host.”<sup>5</sup><i class=""footnote"">Or army, <i>tsvah</i> in Hebrew.</i> Yet from the time that the people Israel came into the world, the earth was also made into the name “host.” This is the explanation. A host is a multitude that is united under one who unifies them, such as under a king who rules over all of them together. So in the heavens it is conceivable to use the term “host,” for there His sovereignty and oneness is recognized over the host of Heaven. It is clear that He rules over them and unifies them. Therefore each time it says, “the host of heavens.” Yet in this world, where the idolaters deny the providence of the Holy One, blessed be He, it is inconceivable to use the term “host,” regarding them, rather, “descendent,” (<i>tse’etsaim</i> in Hebrew). Take for instance (Yesahya 42:5), “He has spread forth the earth and all which came out of it [<i>tse’etsaeha</i>],” where “what came out of it” signifies spreading out. Yet when Israel came to the world and recognized that the blessed God rules over all, publicly proclaiming God’s name, then even in this world the land was also called “host.”"
"Mei HaShiloach, Parshat Bereshit.13","<i>“And thus the heavens and the earth were completed and all their host.”</i> (Bereshit, 2:1)"
"Mei HaShiloach, Parshat Bereshit.14","It is written in the Gemara (<i>Shabbat</i>, 119b), “all who say the verse, ‘thus the heavens and the earth were completed,’ are made a partner with the Holy One, blessed be He, in the act of creation.” The matter is, that the main point of the creation of the world was so that Israel could recognize His blessed sovereignty and oneness. In this way Avraham Avinu began to use this new kind of consciousness to call in the name of God, the Lord of the land (not just of the heavens), and each soul in Israel yearns for this. Were it not for this the heavens and the earth would not be able to endure, as we find in the Gemara (<i>Shabbat</i>, 88b), “It would be well for Israel to receive the Torah, for if not this place will be your graves.”<sup>6</sup><i class=""footnote"">Another example from the same page of Gemara could also be used here, which Rashi quotes on the previous verse. With <i>Yom HaShishi</i>, the sixth day, the Torah adds the letter <i>Hei</i>, whose numerical equivalent is five, to the word <i>shishi</i>, sixth, at the completion of the work of creation. This was to say that He stipulated with all that He had created thus far that they would remain in existence only on the condition that Israel would receive the five books of the Torah.</i> Whoever recognizes the blessed God’s sovereignty in the world has completed the creation, for here speech is like action. And whoever recognizes the day of Shabbat, and crowns the blessed God over all that He has effected in the six days of creation, even though he is a mere finite and frail mortal compared to the blessed God, nonetheless that man is judged, and the two angels who accompany him, that is, the <i>yetser hara</i> and the <i>yetser tov</i> (the inclination to evil and the inclination to good), place their hands on his head and say to him, “your transgression is removed and your sin is atoned for.”"
"Mei HaShiloach, Parshat Bereshit.15","<i>“And God caused to sprout from the land every tree pleasant to the sight and good to eat, and the tree of life in the midst of the garden, and the tree of the knowledge of good and evil.”</i> (Bereshit, 2:9)"
"Mei HaShiloach, Parshat Bereshit.16","Hinted at in this verse are four trees. “Pleasant to the sight” corresponds to the <i>tsaddik</i> who occupies himself with <i>mitzvot</i> and good deeds, which are like a beautiful garment for him and also in the view of his fellow man, like giving charity and guarding the covenant (guarding himself from lust). In the <i>Pirkei Avot</i><sup>7</sup><i class=""footnote""><i>Pirke Avot</i>, 2:1. What is the proper way in which man should choose for himself? A way that brings honor to the one who goes in it, and honor from his fellow man.</i> this is called <i>tiferet l’osei’ha</i>, or “good [also bringing splendor, bringing honor] for the one who acts in this way,” as is explained in its place. The tree that is “good to eat” means one whose outside appearance is not so beautiful, since he has no great need of strengthening himself in <i>mitzvot</i> and good deeds as he is very good in his essence. This is called (ibid.) <i>tiferet lo min ha’adam</i>, or “appreciated<sup>8</sup><i class=""footnote"">Or honored, or seen as splendorous.</i> by his fellow man,” meaning that within him and in the form of his person he is good and beautiful. “The tree of knowledge” means one who is in a state of constant uncertainty as to the nature of the will of the blessed God, corresponding to all the <i>eebayot</i>, the “if you want [then say],” in the Gemara (either proposing alternate solutions or raising legal problems). “The tree of life” is true <i>tshuvah</i> (return to the way of the Torah), which heals that which came before."
"Mei HaShiloach, Parshat Bereshit.17","Corresponding to these four trees are the four rivers that irrigate them. The river Pishon waters the tree that is good to eat, for <i>pishon</i> denotes greatness and expansion (<i>PISHon—hitPASHtut</i> or expansion), for whoever is great in his roots may allow himself to expand as much as he wants, for all he does will be the will of the blessed God. This is the river that “circles the whole land of Havilla where there is gold.” The river Gihon waters the tree that is pleasant to the sight, for “Gihon” signifies modesty, as in <i>holech al gichon</i>, or “moving on the belly,” that its movements are not recognized; in other words, a <i>tsaddik</i> on the surface. This river circles the land of Cush, and he is one who is not yet complete in the depths of his heart and needs to strengthen himself in <i>mitzvot</i> and good deeds in order to expunge the refuse from his soul."
"Mei HaShiloach, Parshat Bereshit.18","The third river is Hidekkel, and it waters the tree of knowledge of good and evil. The Midrash states (<i>Bereshit</i> Rabba 16:7), “Hidekkel is <i>Had</i> [sharp] and <i>Kal</i> [light],” as one on a narrow bridge who wavers from side to side about to fall, (as mentioned above) like the “if you want”s in the Gemara. It flows “from the east of Ashur,” corresponding to the strengths, for “Ashur” denotes strength,<sup>9</sup><i class=""footnote"">“And the exiles shall come back from the land of Ashur,” the strength it takes to return from a state of confusion.</i> since he remains uncertain whether or not to do, and we have established that “all who are in doubt are to follow the stricture.” The river Prat (Euphrates) waters the tree of life, as it says in the Gemara (<i>Bechorot</i>, 55b), “Prat came first [that it was the first river, which then branched out into the other three].” In this way it corresponds to masters of <i>tshuva</i> (return to Torah), and <i>tshuva</i> heals all that came before, namely that which is lacking in us from the day of our birth. So this was the first river to come out of Eden as mentioned in <i>Bechorot</i>, meaning <i>tshuva</i> that reaches the initial source."
"Mei HaShiloach, Parshat Bereshit.19","<i>“And the gold of that land is good ….””</i> (Bereshit, 2:12)"
"Mei HaShiloach, Parshat Bereshit.20","Gold signifies reproof.<sup>10</sup><i class=""footnote"">As it is written (Mishlei, 25:12), “Gold earrings and ornaments of fine gold are a wise reprover.” On this it says that the gold of that land is good, as it is written (Malachi, 3:12), “and you shall be the land of your desires,” and this connects the land to the aspect of the <i>Tsaddik</i>. <i>Tashlum Mei Hashiloach</i>. [Note: The footnotes marked “Tashlum” are the explanatory notes from the author’s grandson, Mordechai Yosef of Lublin. All footnotes marked “<i>Giliyon</i>” are the emendations of his brother, Gershon Chenoch of Radzon.]</i> “And there is the bedellium [crystal] and the onyx stone,” means that in the land of Israel there is the place of the Holy Temple where there is the true fear of God, hinted at by bedellium. The onyx stone hints at the true love of God, as it is written (Tehillim, 5:8), “and I, in Your great kindness, will come to Your house and prostrate myself toward Your holy chamber in the fear of You [<i>b’yirateiCha</i>].” The last letter, “<i>caf</i>,” in <i>b’yirateicha</i> teaches of the true fear of God. Thus we have in the Mishna <i>Middot</i> (3:7), “the height of the entrance to the [<i>ulam</i>] vestibule in the Holy Temple was 40 [<i>mem</i>] cubits, and its width was 20 [<i>caf</i>] cubits, and it had five ceiling beams, progressively a cubit longer on each side until the last one was 30 cubits.”"
"Mei HaShiloach, Parshat Bereshit.21","We find in the height and width of the vestibule and in the extension of the ceiling beams the letters of <i>melech</i> or “king.” Its height was 40 (<i>mem</i>), its width 20 (<i>caf</i>), the first beam was 20 (<i>caf</i>), and the last 30 (<i>lamed</i>). This teaches that from there went forth the true fear of God, as the measurement of the beams hint at the letters of bedellium (<i>b’daloach</i> in Hebrew). Each one extended a cubit more than the previous one on either side, the first totaling two (<i>bet</i>), the second totaling four (<i>dalet</i>), the third totaling six (<i>vav</i>) and the fourth totaling eight (<i>het</i>). The last one was thirty (<i>lamed</i>) cubits long (all together spelling <i>b’daloach</i>). The onyx (<i>shoham</i>) stone hints at the love of God, for it is the stone that corresponds to Yosef, who is the <i>sefirah</i> of Yesod (foundation), which is filled with Divine effusion (as it receives and collects all the Divine energies from the eight <i>sefirot</i> above it)."
