Date,DoW,He Date,Ref
9/7/2017,Thu,16 Elul 5777,OC 219:3-5
9/8/2017,Fri,17 Elul 5777,OC 219:6-8
9/9/2017,Shab,18 Elul 5777,OC 219:9 - 220:2
9/10/2017,Sun,19 Elul 5777,OC 221:1 - 222:1
9/11/2017,Mon,20 Elul 5777,OC 222:2-4
9/12/2017,Tue,21 Elul 5777,OC 223:1-3
9/13/2017,Wed,22 Elul 5777,OC 223:4-6
9/14/2017,Thu,23 Elul 5777,OC 224:1-3
9/15/2017,Fri,24 Elul 5777,OC 224:4-6
9/16/2017,Shab,25 Elul 5777,OC 224:7-9
9/17/2017,Sun,26 Elul 5777,OC 224:10-12
9/18/2017,Mon,27 Elul 5777,OC 224:13 - 225:2
9/19/2017,Tue,28 Elul 5777,OC 225:3-5
9/20/2017,Wed,29 Elul 5777,OC 225:6-8
9/21/2017,Thu,1 Tishrei 5778,OC 225:9 - 226:1
9/22/2017,Fri,2 Tishrei 5778,OC 227:1-3
9/23/2017,Shab,3 Tishrei 5778,OC 228:1-3
9/24/2017,Sun,4 Tishrei 5778,OC 229:1 - 230:1
9/25/2017,Mon,5 Tishrei 5778,OC 230:2-4
9/26/2017,Tue,6 Tishrei 5778,OC 230:5 - 232:1
9/27/2017,Wed,7 Tishrei 5778,OC 232:2 - 233:1
9/28/2017,Thu,8 Tishrei 5778,OC 233:2 - 234:2
9/29/2017,Fri,9 Tishrei 5778,OC 235:1-3
9/30/2017,Shab,10 Tishrei 5778,OC 235:4 - 236:2
10/1/2017,Sun,11 Tishrei 5778,OC 236:3 - 237:1
10/2/2017,Mon,12 Tishrei 5778,OC 238:1 - 239:1
10/3/2017,Tue,13 Tishrei 5778,OC 239:2 - 240:2
10/4/2017,Wed,14 Tishrei 5778,OC 240:3-5
10/5/2017,Thu,15 Tishrei 5778,OC 240:6-8
10/6/2017,Fri,16 Tishrei 5778,OC 240:9-11
10/7/2017,Shab,17 Tishrei 5778,OC 240:12-14
10/8/2017,Sun,18 Tishrei 5778,OC 240:15-17
10/9/2017,Mon,19 Tishrei 5778,OC 241:1 - 243:1
10/10/2017,Tue,20 Tishrei 5778,OC 243:2 - 244:2
10/11/2017,Wed,21 Tishrei 5778,OC 244:3-5
10/12/2017,Thu,22 Tishrei 5778,OC 244:6 - 245:2
10/13/2017,Fri,23 Tishrei 5778,OC 245:3-5
10/14/2017,Shab,24 Tishrei 5778,OC 245:6 - 246:2
10/15/2017,Sun,25 Tishrei 5778,OC 246:3-5
10/16/2017,Mon,26 Tishrei 5778,OC 247:1-3
10/17/2017,Tue,27 Tishrei 5778,OC 247:4-6
10/18/2017,Wed,28 Tishrei 5778,OC 248:1-3
10/19/2017,Thu,29 Tishrei 5778,OC 248:4 - 249:2
10/20/2017,Fri,30 Tishrei 5778,OC 249:3 - 250:1
10/21/2017,Shab,1 Cheshvan 5778,OC 250:2 - 251:2
10/22/2017,Sun,2 Cheshvan 5778,OC 252:1-3
10/23/2017,Mon,3 Cheshvan 5778,OC 252:4-6
10/24/2017,Tue,4 Cheshvan 5778,OC 252:7 - 253:2
10/25/2017,Wed,5 Cheshvan 5778,OC 253:3-5
10/26/2017,Thu,6 Cheshvan 5778,OC 254:1-3
10/27/2017,Fri,7 Cheshvan 5778,OC 254:4-6
10/28/2017,Shab,8 Cheshvan 5778,OC 254:7-9
10/29/2017,Sun,9 Cheshvan 5778,OC 255:1-3
10/30/2017,Mon,10 Cheshvan 5778,OC 256:1 - 257:2
10/31/2017,Tue,11 Cheshvan 5778,OC 257:3-5
11/1/2017,Wed,12 Cheshvan 5778,OC 257:6-8
11/2/2017,Thu,13 Cheshvan 5778,OC 258:1 - 259:2
11/3/2017,Fri,14 Cheshvan 5778,OC 259:3-5
11/4/2017,Shab,15 Cheshvan 5778,OC 259:6 - 260:1
11/5/2017,Sun,16 Cheshvan 5778,OC 260:2 - 261:2
11/6/2017,Mon,17 Cheshvan 5778,OC 261:3 - 262:1
11/7/2017,Tue,18 Cheshvan 5778,OC 262:2 - 263:1
11/8/2017,Wed,19 Cheshvan 5778,OC 263:2-4
11/9/2017,Thu,20 Cheshvan 5778,OC 263:5-7
11/10/2017,Fri,21 Cheshvan 5778,OC 263:8-10
11/11/2017,Shab,22 Cheshvan 5778,OC 263:11-13
11/12/2017,Sun,23 Cheshvan 5778,OC 263:14-16
11/13/2017,Mon,24 Cheshvan 5778,OC 263:17 - 264:2
11/14/2017,Tue,25 Cheshvan 5778,OC 264:3-5
11/15/2017,Wed,26 Cheshvan 5778,OC 264:6-8
11/16/2017,Thu,27 Cheshvan 5778,OC 264:9 - 265:1
11/17/2017,Fri,28 Cheshvan 5778,OC 265:2-4
11/18/2017,Shab,29 Cheshvan 5778,OC 266:1-3
11/19/2017,Sun,1 Kislev 5778,OC 266:4-6
11/20/2017,Mon,2 Kislev 5778,OC 266:7-9
11/21/2017,Tue,3 Kislev 5778,OC 266:10-12
11/22/2017,Wed,4 Kislev 5778,OC 266:13 - 267:2
11/23/2017,Thu,5 Kislev 5778,OC 267:3 - 268:2
11/24/2017,Fri,6 Kislev 5778,OC 268:3-5
11/25/2017,Shab,7 Kislev 5778,OC 268:6-8
11/26/2017,Sun,8 Kislev 5778,OC 268:9-11
11/27/2017,Mon,9 Kislev 5778,OC 268:12 - 269:1
11/28/2017,Tue,10 Kislev 5778,OC 270:1 - 271:1
11/29/2017,Wed,11 Kislev 5778,OC 271:2-4
11/30/2017,Thu,12 Kislev 5778,OC 271:5-7
12/1/2017,Fri,13 Kislev 5778,OC 271:8-10
12/2/2017,Shab,14 Kislev 5778,OC 271:11-13
12/3/2017,Sun,15 Kislev 5778,OC 271:14-16
12/4/2017,Mon,16 Kislev 5778,OC 271:17 - 272:2
12/5/2017,Tue,17 Kislev 5778,OC 272:3-5
12/6/2017,Wed,18 Kislev 5778,OC 272:6-8
12/7/2017,Thu,19 Kislev 5778,OC 272:9 - 273:1
12/8/2017,Fri,20 Kislev 5778,OC 273:2-4
12/9/2017,Shab,21 Kislev 5778,OC 273:5-7
12/10/2017,Sun,22 Kislev 5778,OC 274:1-3
12/11/2017,Mon,23 Kislev 5778,OC 274:4 - 275:2
12/12/2017,Tue,24 Kislev 5778,OC 275:3-5
12/13/2017,Wed,25 Kislev 5778,OC 275:6-8
12/14/2017,Thu,26 Kislev 5778,OC 275:9-11
12/15/2017,Fri,27 Kislev 5778,OC 275:12 - 276:2
12/16/2017,Shab,28 Kislev 5778,OC 276:3-5
12/17/2017,Sun,29 Kislev 5778,OC 277:1-3
12/18/2017,Mon,30 Kislev 5778,OC 277:4 - 278:1
12/19/2017,Tue,1 Teves 5778,OC 279:1-3
12/20/2017,Wed,2 Teves 5778,OC 279:4-6
12/21/2017,Thu,3 Teves 5778,OC 279:7 - 280:2
12/22/2017,Fri,4 Teves 5778,OC 281:1 - 282:2
12/23/2017,Shab,5 Teves 5778,OC 282:3-5
12/24/2017,Sun,6 Teves 5778,OC 282:6 - 283:1
12/25/2017,Mon,7 Teves 5778,OC 284:1-3
12/26/2017,Tue,8 Teves 5778,OC 284:4-6
12/27/2017,Wed,9 Teves 5778,OC 284:7 - 285:2
12/28/2017,Thu,10 Teves 5778,OC 285:3-5
12/29/2017,Fri,11 Teves 5778,OC 285:6 - 286:1
12/30/2017,Shab,12 Teves 5778,OC 286:2-4
12/31/2017,Sun,13 Teves 5778,OC 286:5 - 288:1
1/1/2018,Mon,14 Teves 5778,OC 288:2-4
1/2/2018,Tue,15 Teves 5778,OC 288:5-7
1/3/2018,Wed,16 Teves 5778,OC 288:8-10
1/4/2018,Thu,17 Teves 5778,OC 289:1 - 290:1
1/5/2018,Fri,18 Teves 5778,OC 290:2 - 291:2
1/6/2018,Shab,19 Teves 5778,OC 291:3-5
1/7/2018,Sun,20 Teves 5778,OC 291:6 - 292:2
1/8/2018,Mon,21 Teves 5778,OC 293:1-3
1/9/2018,Tue,22 Teves 5778,OC 294:1-3
1/10/2018,Wed,23 Teves 5778,OC 294:4 - 295:1
1/11/2018,Thu,24 Teves 5778,OC 296:1-3
1/12/2018,Fri,25 Teves 5778,OC 296:4-6
1/13/2018,Shab,26 Teves 5778,OC 296:7 - 297:1
1/14/2018,Sun,27 Teves 5778,OC 297:2-4
1/15/2018,Mon,28 Teves 5778,OC 297:5 - 298:2
1/16/2018,Tue,29 Teves 5778,OC 298:3-5
1/17/2018,Wed,1 Shevat 5778,OC 298:6-8
1/18/2018,Thu,2 Shevat 5778,OC 298:9-11
1/19/2018,Fri,3 Shevat 5778,OC 298:12-14
1/20/2018,Shab,4 Shevat 5778,OC 298:15 - 299:2
1/21/2018,Sun,5 Shevat 5778,OC 299:3-5
1/22/2018,Mon,6 Shevat 5778,OC 299:6-8
1/23/2018,Tue,7 Shevat 5778,OC 299:9 - 300:1
1/24/2018,Wed,8 Shevat 5778,OC 301:1-3
1/25/2018,Thu,9 Shevat 5778,OC 301:4-6
1/26/2018,Fri,10 Shevat 5778,OC 301:7-9
1/27/2018,Shab,11 Shevat 5778,OC 301:10-12
1/28/2018,Sun,12 Shevat 5778,OC 301:13-15
1/29/2018,Mon,13 Shevat 5778,OC 301:16-18
1/30/2018,Tue,14 Shevat 5778,OC 301:19-21
1/31/2018,Wed,15 Shevat 5778,OC 301:22-24
2/1/2018,Thu,16 Shevat 5778,OC 301:25-27
2/2/2018,Fri,17 Shevat 5778,OC 301:28-30
2/3/2018,Shab,18 Shevat 5778,OC 301:31-33
2/4/2018,Sun,19 Shevat 5778,OC 301:34-36
2/5/2018,Mon,20 Shevat 5778,OC 301:37-39
2/6/2018,Tue,21 Shevat 5778,OC 301:40-42
2/7/2018,Wed,22 Shevat 5778,OC 301:43-45
2/8/2018,Thu,23 Shevat 5778,OC 301:46-48
2/9/2018,Fri,24 Shevat 5778,OC 301:49-51
2/10/2018,Shab,25 Shevat 5778,OC 302:1-3
2/11/2018,Sun,26 Shevat 5778,OC 302:4-6
2/12/2018,Mon,27 Shevat 5778,OC 302:7-9
2/13/2018,Tue,28 Shevat 5778,OC 302:10-12
2/14/2018,Wed,29 Shevat 5778,OC 302:13 - 303:2
2/15/2018,Thu,30 Shevat 5778,OC 303:3-5
2/16/2018,Fri,1 Adar 5778,OC 303:6-8
2/17/2018,Shab,2 Adar 5778,OC 303:9-11
2/18/2018,Sun,3 Adar 5778,OC 303:12-14
2/19/2018,Mon,4 Adar 5778,OC 303:15-17
2/20/2018,Tue,5 Adar 5778,OC 303:18-20
2/21/2018,Wed,6 Adar 5778,OC 303:21-23
2/22/2018,Thu,7 Adar 5778,OC 303:24-26
2/23/2018,Fri,8 Adar 5778,OC 303:27 - 304:2
2/24/2018,Shab,9 Adar 5778,OC 304:3 - 305:2
2/25/2018,Sun,10 Adar 5778,OC 305:3-5
2/26/2018,Mon,11 Adar 5778,OC 305:6-8
2/27/2018,Tue,12 Adar 5778,OC 305:9-11
2/28/2018,Wed,13 Adar 5778,OC 305:12-14
3/1/2018,Thu,14 Adar 5778,OC 305:15-17
3/2/2018,Fri,15 Adar 5778,OC 305:18-20
3/3/2018,Shab,16 Adar 5778,OC 305:21-23
3/4/2018,Sun,17 Adar 5778,OC 306:1-3
3/5/2018,Mon,18 Adar 5778,OC 306:4-6
3/6/2018,Tue,19 Adar 5778,OC 306:7-9
3/7/2018,Wed,20 Adar 5778,OC 306:10-12
3/8/2018,Thu,21 Adar 5778,OC 306:13 - 307:1
3/9/2018,Fri,22 Adar 5778,OC 307:2-4
3/10/2018,Shab,23 Adar 5778,OC 307:5-7
3/11/2018,Sun,24 Adar 5778,OC 307:8-10
3/12/2018,Mon,25 Adar 5778,OC 307:11-13
3/13/2018,Tue,26 Adar 5778,OC 307:14-16
3/14/2018,Wed,27 Adar 5778,OC 307:17-19
3/15/2018,Thu,28 Adar 5778,OC 307:20-22
3/16/2018,Fri,29 Adar 5778,OC 308:1-3
3/17/2018,Shab,1 Nisan 5778,OC 308:4-6
3/18/2018,Sun,2 Nisan 5778,OC 308:7-9
3/19/2018,Mon,3 Nisan 5778,OC 308:10-12
3/20/2018,Tue,4 Nisan 5778,OC 308:13-15
3/21/2018,Wed,5 Nisan 5778,OC 308:16-18
3/22/2018,Thu,6 Nisan 5778,OC 308:19-21
3/23/2018,Fri,7 Nisan 5778,OC 308:22-24
3/24/2018,Shab,8 Nisan 5778,OC 308:25-27
3/25/2018,Sun,9 Nisan 5778,OC 308:28-30
3/26/2018,Mon,10 Nisan 5778,OC 308:31-33
3/27/2018,Tue,11 Nisan 5778,OC 308:34-36
3/28/2018,Wed,12 Nisan 5778,OC 308:37-39
3/29/2018,Thu,13 Nisan 5778,OC 308:40-42
3/30/2018,Fri,14 Nisan 5778,OC 308:43-45
3/31/2018,Shab,15 Nisan 5778,OC 308:46-48
4/1/2018,Sun,16 Nisan 5778,OC 308:49-51
4/2/2018,Mon,17 Nisan 5778,OC 308:52 - 309:2
4/3/2018,Tue,18 Nisan 5778,OC 309:3-5
4/4/2018,Wed,19 Nisan 5778,OC 310:1-3
4/5/2018,Thu,20 Nisan 5778,OC 310:4-6
4/6/2018,Fri,21 Nisan 5778,OC 310:7-9
4/7/2018,Shab,22 Nisan 5778,OC 311:1-3
4/8/2018,Sun,23 Nisan 5778,OC 311:4-6
4/9/2018,Mon,24 Nisan 5778,OC 311:7-9
4/10/2018,Tue,25 Nisan 5778,OC 312:1-3
4/11/2018,Wed,26 Nisan 5778,OC 312:4-6
4/12/2018,Thu,27 Nisan 5778,OC 312:7-9
4/13/2018,Fri,28 Nisan 5778,OC 312:10 - 313:2
4/14/2018,Shab,29 Nisan 5778,OC 313:3-5
4/15/2018,Sun,30 Nisan 5778,OC 313:6-8
4/16/2018,Mon,1 Iyar 5778,OC 313:9 - 314:1
4/17/2018,Tue,2 Iyar 5778,OC 314:2-4
4/18/2018,Wed,3 Iyar 5778,OC 314:5-7
4/19/2018,Thu,4 Iyar 5778,OC 314:8-10
4/20/2018,Fri,5 Iyar 5778,OC 314:11 - 315:1
4/21/2018,Shab,6 Iyar 5778,OC 315:2-4
4/22/2018,Sun,7 Iyar 5778,OC 315:5-7
4/23/2018,Mon,8 Iyar 5778,OC 315:8-10
4/24/2018,Tue,9 Iyar 5778,OC 315:11-13
4/25/2018,Wed,10 Iyar 5778,OC 316:1-3
4/26/2018,Thu,11 Iyar 5778,OC 316:4-6
4/27/2018,Fri,12 Iyar 5778,OC 316:7-9
4/28/2018,Shab,13 Iyar 5778,OC 316:10-12
4/29/2018,Sun,14 Iyar 5778,OC 317:1-3
4/30/2018,Mon,15 Iyar 5778,OC 317:4-6
5/1/2018,Tue,16 Iyar 5778,OC 317:7 - 318:2
5/2/2018,Wed,17 Iyar 5778,OC 318:3-5
5/3/2018,Thu,18 Iyar 5778,OC 318:6-8
5/4/2018,Fri,19 Iyar 5778,OC 318:9-11
5/5/2018,Shab,20 Iyar 5778,OC 318:12-14
5/6/2018,Sun,21 Iyar 5778,OC 318:15-17
5/7/2018,Mon,22 Iyar 5778,OC 318:18 - 319:1
5/8/2018,Tue,23 Iyar 5778,OC 319:2-4
5/9/2018,Wed,24 Iyar 5778,OC 319:5-7
5/10/2018,Thu,25 Iyar 5778,OC 319:8-10
5/11/2018,Fri,26 Iyar 5778,OC 319:11-13
5/12/2018,Shab,27 Iyar 5778,OC 319:14-16
5/13/2018,Sun,28 Iyar 5778,OC 319:17 - 320:2
5/14/2018,Mon,29 Iyar 5778,OC 320:3-5
5/15/2018,Tue,1 Sivan 5778,OC 320:6-8
5/16/2018,Wed,2 Sivan 5778,OC 320:9-11
5/17/2018,Thu,3 Sivan 5778,OC 320:12-14
5/18/2018,Fri,4 Sivan 5778,OC 320:15-17
5/19/2018,Shab,5 Sivan 5778,OC 320:18-20
5/20/2018,Sun,6 Sivan 5778,OC 321:1-3
5/21/2018,Mon,7 Sivan 5778,OC 321:4-6
5/22/2018,Tue,8 Sivan 5778,OC 321:7-9
5/23/2018,Wed,9 Sivan 5778,OC 321:10-12
5/24/2018,Thu,10 Sivan 5778,OC 321:13-15
5/25/2018,Fri,11 Sivan 5778,OC 321:16-18
5/26/2018,Shab,12 Sivan 5778,OC 321:19 - 322:2
5/27/2018,Sun,13 Sivan 5778,OC 322:3-5
5/28/2018,Mon,14 Sivan 5778,OC 322:6 - 323:2
5/29/2018,Tue,15 Sivan 5778,OC 323:3-5
5/30/2018,Wed,16 Sivan 5778,OC 323:6-8
5/31/2018,Thu,17 Sivan 5778,OC 323:9 - 324:1
6/1/2018,Fri,18 Sivan 5778,OC 324:2-4
6/2/2018,Shab,19 Sivan 5778,OC 324:5-7
6/3/2018,Sun,20 Sivan 5778,OC 324:8-10
6/4/2018,Mon,21 Sivan 5778,OC 324:11-13
6/5/2018,Tue,22 Sivan 5778,OC 324:14 - 325:1
6/6/2018,Wed,23 Sivan 5778,OC 325:2-4
6/7/2018,Thu,24 Sivan 5778,OC 325:5-7
6/8/2018,Fri,25 Sivan 5778,OC 325:8-10
6/9/2018,Shab,26 Sivan 5778,OC 325:11-13
6/10/2018,Sun,27 Sivan 5778,OC 325:14-16
6/11/2018,Mon,28 Sivan 5778,OC 326:1-3
6/12/2018,Tue,29 Sivan 5778,OC 326:4-6
6/13/2018,Wed,30 Sivan 5778,OC 326:7-9
6/14/2018,Thu,1 Tamuz 5778,OC 326:10-12
6/15/2018,Fri,2 Tamuz 5778,OC 326:13 - 327:2
6/16/2018,Shab,3 Tamuz 5778,OC 327:3 - 328:1
6/17/2018,Sun,4 Tamuz 5778,OC 328:2-4
6/18/2018,Mon,5 Tamuz 5778,OC 328:5-7
6/19/2018,Tue,6 Tamuz 5778,OC 328:8-10
6/20/2018,Wed,7 Tamuz 5778,OC 328:11-13
6/21/2018,Thu,8 Tamuz 5778,OC 328:14-16
6/22/2018,Fri,9 Tamuz 5778,OC 328:17-19
6/23/2018,Shab,10 Tamuz 5778,OC 328:20-22
6/24/2018,Sun,11 Tamuz 5778,OC 328:23-25
6/25/2018,Mon,12 Tamuz 5778,OC 328:26-28
6/26/2018,Tue,13 Tamuz 5778,OC 328:29-31
6/27/2018,Wed,14 Tamuz 5778,OC 328:32-34
6/28/2018,Thu,15 Tamuz 5778,OC 328:35-37
6/29/2018,Fri,16 Tamuz 5778,OC 328:38-40
6/30/2018,Shab,17 Tamuz 5778,OC 328:41-43
7/1/2018,Sun,18 Tamuz 5778,OC 328:44-46
7/2/2018,Mon,19 Tamuz 5778,OC 328:47-49
7/3/2018,Tue,20 Tamuz 5778,OC 329:1-3
7/4/2018,Wed,21 Tamuz 5778,OC 329:4-6
7/5/2018,Thu,22 Tamuz 5778,OC 329:7-9
7/6/2018,Fri,23 Tamuz 5778,OC 330:1-3
7/7/2018,Shab,24 Tamuz 5778,OC 330:4-6
7/8/2018,Sun,25 Tamuz 5778,OC 330:7-9
7/9/2018,Mon,26 Tamuz 5778,OC 330:10 - 331:1
7/10/2018,Tue,27 Tamuz 5778,OC 331:2-4
7/11/2018,Wed,28 Tamuz 5778,OC 331:5-7
7/12/2018,Thu,29 Tamuz 5778,OC 331:8-10
7/13/2018,Fri,1 Av 5778,OC 332:1-3
7/14/2018,Shab,2 Av 5778,OC 332:4 - 333:2
7/15/2018,Sun,3 Av 5778,OC 333:3 - 334:2
7/16/2018,Mon,4 Av 5778,OC 334:3-5
7/17/2018,Tue,5 Av 5778,OC 334:6-8
7/18/2018,Wed,6 Av 5778,OC 334:9-11
7/19/2018,Thu,7 Av 5778,OC 334:12-14
7/20/2018,Fri,8 Av 5778,OC 334:15-17
7/21/2018,Shab,9 Av 5778,OC 334:18-20
7/22/2018,Sun,10 Av 5778,OC 334:21-23
7/23/2018,Mon,11 Av 5778,OC 334:24-26
7/24/2018,Tue,12 Av 5778,OC 334:27 - 335:2
7/25/2018,Wed,13 Av 5778,OC 335:3-5
7/26/2018,Thu,14 Av 5778,OC 336:1-3
7/27/2018,Fri,15 Av 5778,OC 336:4-6
7/28/2018,Shab,16 Av 5778,OC 336:7-9
7/29/2018,Sun,17 Av 5778,OC 336:10-12
7/30/2018,Mon,18 Av 5778,OC 336:13 - 337:2
7/31/2018,Tue,19 Av 5778,OC 337:3 - 338:1
8/1/2018,Wed,20 Av 5778,OC 338:2-4
8/2/2018,Thu,21 Av 5778,OC 338:5-7
8/3/2018,Fri,22 Av 5778,OC 338:8 - 339:2
8/4/2018,Shab,23 Av 5778,OC 339:3-5
8/5/2018,Sun,24 Av 5778,OC 339:6 - 340:1
8/6/2018,Mon,25 Av 5778,OC 340:2-4
8/7/2018,Tue,26 Av 5778,OC 340:5-7
8/8/2018,Wed,27 Av 5778,OC 340:8-10
8/9/2018,Thu,28 Av 5778,OC 340:11-13
8/10/2018,Fri,29 Av 5778,OC 340:14 - 341:2
8/11/2018,Shab,30 Av 5778,OC 341:3 - 343:1
8/12/2018,Sun,1 Elul 5778,OC 344:1 - 345:1
8/13/2018,Mon,2 Elul 5778,OC 345:2-4
8/14/2018,Tue,3 Elul 5778,OC 345:5-7
8/15/2018,Wed,4 Elul 5778,OC 345:8-10
8/16/2018,Thu,5 Elul 5778,OC 345:11-13
8/17/2018,Fri,6 Elul 5778,OC 345:14-16
8/18/2018,Shab,7 Elul 5778,OC 345:17-19
8/19/2018,Sun,8 Elul 5778,OC 346:1-3
8/20/2018,Mon,9 Elul 5778,OC 347:1 - 349:1
8/21/2018,Tue,10 Elul 5778,OC 349:2-4
8/22/2018,Wed,11 Elul 5778,OC 349:5 - 350:2
8/23/2018,Thu,12 Elul 5778,OC 350:3 - 352:1
8/24/2018,Fri,13 Elul 5778,OC 352:2 - 353:2
8/25/2018,Shab,14 Elul 5778,OC 353:3 - 354:2
8/26/2018,Sun,15 Elul 5778,OC 355:1-3
8/27/2018,Mon,16 Elul 5778,OC 355:4 - 356:1
8/28/2018,Tue,17 Elul 5778,OC 356:2 - 357:2
8/29/2018,Wed,18 Elul 5778,OC 357:3 - 358:2
8/30/2018,Thu,19 Elul 5778,OC 358:3-5
8/31/2018,Fri,20 Elul 5778,OC 358:6-8
9/1/2018,Shab,21 Elul 5778,OC 358:9-11
9/2/2018,Sun,22 Elul 5778,OC 358:12-14
9/3/2018,Mon,23 Elul 5778,OC 359:1 - 360:2
9/4/2018,Tue,24 Elul 5778,OC 360:3 - 361:2
9/5/2018,Wed,25 Elul 5778,OC 362:1-3
9/6/2018,Thu,26 Elul 5778,OC 362:4-6
9/7/2018,Fri,27 Elul 5778,OC 362:7-9
9/8/2018,Shab,28 Elul 5778,OC 362:10-12
9/9/2018,Sun,29 Elul 5778,OC 363:1-3
9/10/2018,Mon,1 Tishrei 5779,OC 363:4-6
9/11/2018,Tue,2 Tishrei 5779,OC 363:7-9
9/12/2018,Wed,3 Tishrei 5779,OC 363:10-12
9/13/2018,Thu,4 Tishrei 5779,OC 363:13-15
9/14/2018,Fri,5 Tishrei 5779,OC 363:16-18
9/15/2018,Shab,6 Tishrei 5779,OC 363:19-21
9/16/2018,Sun,7 Tishrei 5779,OC 363:22-24
9/17/2018,Mon,8 Tishrei 5779,OC 363:25-27
9/18/2018,Tue,9 Tishrei 5779,OC 363:28-30
9/19/2018,Wed,10 Tishrei 5779,OC 363:31-33
9/20/2018,Thu,11 Tishrei 5779,OC 363:34-36
9/21/2018,Fri,12 Tishrei 5779,OC 364:1-3
9/22/2018,Shab,13 Tishrei 5779,OC 364:4 - 365:1
9/23/2018,Sun,14 Tishrei 5779,OC 365:2-4
9/24/2018,Mon,15 Tishrei 5779,OC 365:5-7
9/25/2018,Tue,16 Tishrei 5779,OC 365:8 - 366:2
9/26/2018,Wed,17 Tishrei 5779,OC 366:3-5
9/27/2018,Thu,18 Tishrei 5779,OC 366:6-8
9/28/2018,Fri,19 Tishrei 5779,OC 366:9-11
9/29/2018,Shab,20 Tishrei 5779,OC 366:12-14
9/30/2018,Sun,21 Tishrei 5779,OC 366:15 - 368:1
10/1/2018,Mon,22 Tishrei 5779,OC 368:2-4
10/2/2018,Tue,23 Tishrei 5779,OC 368:5 - 370:1
10/3/2018,Wed,24 Tishrei 5779,OC 370:2-4
10/4/2018,Thu,25 Tishrei 5779,OC 370:5-7
10/5/2018,Fri,26 Tishrei 5779,OC 370:8 - 371:2
10/6/2018,Shab,27 Tishrei 5779,OC 371:3-5
10/7/2018,Sun,28 Tishrei 5779,OC 371:6 - 372:2
10/8/2018,Mon,29 Tishrei 5779,OC 372:3-5
10/9/2018,Tue,30 Tishrei 5779,OC 372:6-8
10/10/2018,Wed,1 Cheshvan 5779,OC 372:9-11
10/11/2018,Thu,2 Cheshvan 5779,OC 372:12-14
10/12/2018,Fri,3 Cheshvan 5779,OC 372:15-17
10/13/2018,Shab,4 Cheshvan 5779,OC 372:18 - 373:1
10/14/2018,Sun,5 Cheshvan 5779,OC 374:1-3
10/15/2018,Mon,6 Cheshvan 5779,OC 374:4 - 375:2
10/16/2018,Tue,7 Cheshvan 5779,OC 375:3 - 376:1
10/17/2018,Wed,8 Cheshvan 5779,OC 376:2-4
10/18/2018,Thu,9 Cheshvan 5779,OC 377:1 - 378:2
10/19/2018,Fri,10 Cheshvan 5779,OC 378:3-5
10/20/2018,Shab,11 Cheshvan 5779,OC 379:1 - 380:1
10/21/2018,Sun,12 Cheshvan 5779,OC 380:2-4
10/22/2018,Mon,13 Cheshvan 5779,OC 381:1-3
10/23/2018,Tue,14 Cheshvan 5779,OC 381:4-6
10/24/2018,Wed,15 Cheshvan 5779,OC 381:7 - 382:2
10/25/2018,Thu,16 Cheshvan 5779,OC 382:3-5
10/26/2018,Fri,17 Cheshvan 5779,OC 382:6-8
10/27/2018,Shab,18 Cheshvan 5779,OC 382:9-11
10/28/2018,Sun,19 Cheshvan 5779,OC 382:12-14
10/29/2018,Mon,20 Cheshvan 5779,OC 382:15-17
10/30/2018,Tue,21 Cheshvan 5779,OC 382:18-20
10/31/2018,Wed,22 Cheshvan 5779,OC 383:1 - 384:2
11/1/2018,Thu,23 Cheshvan 5779,OC 385:1-3
11/2/2018,Fri,24 Cheshvan 5779,OC 385:4 - 386:2
11/3/2018,Shab,25 Cheshvan 5779,OC 386:3-5
11/4/2018,Sun,26 Cheshvan 5779,OC 386:6-8
11/5/2018,Mon,27 Cheshvan 5779,OC 386:9 - 388:1
11/6/2018,Tue,28 Cheshvan 5779,OC 389:1 - 390:2
11/7/2018,Wed,29 Cheshvan 5779,OC 391:1 - 392:1
11/8/2018,Thu,30 Cheshvan 5779,OC 392:2-4
11/9/2018,Fri,1 Kislev 5779,OC 392:5-7
11/10/2018,Shab,2 Kislev 5779,OC 392:8 - 393:2
11/11/2018,Sun,3 Kislev 5779,OC 393:3 - 394:2
11/12/2018,Mon,4 Kislev 5779,OC 394:3 - 396:1
11/13/2018,Tue,5 Kislev 5779,OC 396:2 - 397:2
11/14/2018,Wed,6 Kislev 5779,OC 397:3-5
11/15/2018,Thu,7 Kislev 5779,OC 397:6-8
11/16/2018,Fri,8 Kislev 5779,OC 397:9-11
11/17/2018,Shab,9 Kislev 5779,OC 397:12-14
11/18/2018,Sun,10 Kislev 5779,OC 397:15-17
11/19/2018,Mon,11 Kislev 5779,OC 397:18 - 398:2
11/20/2018,Tue,12 Kislev 5779,OC 398:3-5
11/21/2018,Wed,13 Kislev 5779,OC 398:6-8
11/22/2018,Thu,14 Kislev 5779,OC 398:9-11
11/23/2018,Fri,15 Kislev 5779,OC 399:1-3
11/24/2018,Shab,16 Kislev 5779,OC 399:4-6
11/25/2018,Sun,17 Kislev 5779,OC 399:7-9
11/26/2018,Mon,18 Kislev 5779,OC 399:10 - 400:1
11/27/2018,Tue,19 Kislev 5779,OC 401:1 - 403:1
11/28/2018,Wed,20 Kislev 5779,OC 404:1 - 405:2
11/29/2018,Thu,21 Kislev 5779,OC 405:3-5
