Week #,Secular Date,Day Of Week,Hebrew Date,Daf,Parsha
415,02/10/2013,Su,שבט 30 5773,פסחים צג,תרומה
416,02/17/2013,Su,אדר 7 5773,פסחים צד,תצוה
417,02/24/2013,Su,אדר 14 5773,פסחים צה,כי תשא
418,03/03/2013,Su,אדר 21 5773,פסחים צו,ויקהל-פקודי
419,03/10/2013,Su,אדר 28 5773,פסחים צז,ויקרא
420,03/17/2013,Su,ניסן 6 5773,פסחים צח,צו
421,03/24/2013,Su,ניסן 13 5773,פסחים צט,"חוה""מ פסח"
422,03/31/2013,Su,ניסן 20 5773,פסחים ק,שמיני
423,04/07/2013,Su,ניסן 27 5773,פסחים קא,תזריע-מצורע
424,04/14/2013,Su,אייר 4 5773,פסחים קב,אחרי מות-קדשים
425,04/21/2013,Su,אייר 11 5773,פסחים קג,אמור
426,04/28/2013,Su,אייר 18 5773,פסחים קד,בהר-בחקתי
427,05/05/2013,Su,אייר 25 5773,פסחים קה,במדבר
428,05/12/2013,Su,סיון 3 5773,פסחים קו,נשא
429,05/19/2013,Su,סיון 10 5773,פסחים קז,בהעלתך
430,05/26/2013,Su,סיון 17 5773,פסחים קח,שלח לך
431,06/02/2013,Su,סיון 24 5773,פסחים קט,קרח
432,06/09/2013,Su,תמוז 1 5773,פסחים קי,חקת
433,06/16/2013,Su,תמוז 8 5773,פסחים קיא,בלק
434,06/23/2013,Su,תמוז 15 5773,פסחים קיב,פינחס
435,06/30/2013,Su,תמוז 22 5773,פסחים קיג,מטות-מסעי
436,07/07/2013,Su,תמוז 29 5773,פסחים קיד,דברים
437,07/14/2013,Su,אב 7 5773,פסחים קטו,ואתחנן
438,07/21/2013,Su,אב 14 5773,פסחים קטז,עקב
439,07/28/2013,Su,אב 21 5773,פסחים קיז,ראה
440,08/04/2013,Su,אב 28 5773,פסחים קיח,שופטים
441,08/11/2013,Su,אלול 5 5773,פסחים קיט,כי תצא
442,08/18/2013,Su,אלול 12 5773,פסחים קכ,כי תבוא
443,08/25/2013,Su,אלול 19 5773,פסחים קכא,נצבים-וילך
444,09/01/2013,Su,אלול 26 5773,Shekalim 2,האזינו
445,09/08/2013,Su,תשרי 4 5774,Shekalim 3,יום כיפור
446,09/15/2013,Su,תשרי 11 5774,Shekalim 4,"חוה""מ סוכות"
447,09/22/2013,Su,תשרי 18 5774,Shekalim 5,בראשית
448,09/29/2013,Su,תשרי 25 5774,Shekalim 6,נח
449,10/06/2013,Su,חשון 2 5774,Shekalim 7,לך לך
450,10/13/2013,Su,חשון 9 5774,Shekalim 8,וירא
451,10/20/2013,Su,חשון 16 5774,Shekalim 9,חיי שרה
452,10/27/2013,Su,חשון 23 5774,Shekalim 10,תולדת
453,11/03/2013,Su,חשון 30 5774,Shekalim 11,ויצא
454,11/10/2013,Su,כסלו 7 5774,Shekalim 12,וישלח
455,11/17/2013,Su,כסלו 14 5774,Shekalim 13,וישב
456,11/24/2013,Su,כסלו 21 5774,Shekalim 14,מקץ
457,12/01/2013,Su,כסלו 28 5774,Shekalim 15,ויגש
458,12/08/2013,Su,טבת 5 5774,Shekalim 16,ויחי
459,12/15/2013,Su,טבת 12 5774,Shekalim 17,שמות
460,12/22/2013,Su,טבת 19 5774,Shekalim 18,וארא
461,12/29/2013,Su,טבת 26 5774,Shekalim 19,בא
462,01/05/2014,Su,שבט 4 5774,Shekalim 20,בשלח
463,01/12/2014,Su,שבט 11 5774,Shekalim 21,יתרו
464,01/19/2014,Su,שבט 18 5774,Shekalim 22,משפטים
465,01/26/2014,Su,שבט 25 5774,יומא ב,תרומה
466,02/02/2014,Su,אדר א 2 5774,יומא ג,תצוה
467,02/09/2014,Su,אדר א 9 5774,יומא ד,כי תשא
468,02/16/2014,Su,אדר א 16 5774,יומא ה,ויקהל
469,02/23/2014,Su,אדר א 23 5774,יומא ו,פקודי
470,03/02/2014,Su,אדר א 30 5774,יומא ז,ויקרא
471,03/09/2014,Su,אדר ב 7 5774,יומא ח,צו
472,03/16/2014,Su,אדר ב 14 5774,יומא ט,שמיני
473,03/23/2014,Su,אדר ב 21 5774,יומא י,תזריע
474,03/30/2014,Su,אדר ב 28 5774,יומא יא,מצורע
475,04/06/2014,Su,ניסן 6 5774,יומא יב,אחרי מות
476,04/13/2014,Su,ניסן 13 5774,יומא יג,"חוה""מ פסח"
477,04/20/2014,Su,ניסן 20 5774,יומא יד,קדשים
478,04/27/2014,Su,ניסן 27 5774,יומא טו,אמור
479,05/04/2014,Su,אייר 4 5774,יומא טז,בהר
480,05/11/2014,Su,אייר 11 5774,יומא יז,בחקתי
481,05/18/2014,Su,אייר 18 5774,יומא יח,במדבר
482,05/25/2014,Su,אייר 25 5774,יומא יט,נשא
483,06/01/2014,Su,סיון 3 5774,יומא כ,בהעלתך
484,06/08/2014,Su,סיון 10 5774,יומא כא,שלח לך
485,06/15/2014,Su,סיון 17 5774,יומא כב,קרח
486,06/22/2014,Su,סיון 24 5774,יומא כג,חקת
487,06/29/2014,Su,תמוז 1 5774,יומא כד,בלק
488,07/06/2014,Su,תמוז 8 5774,יומא כה,פינחס
489,07/13/2014,Su,תמוז 15 5774,יומא כו,מטות
490,07/20/2014,Su,תמוז 22 5774,יומא כז,מסעי
491,07/27/2014,Su,תמוז 29 5774,יומא כח,דברים
492,08/03/2014,Su,אב 7 5774,יומא כט,ואתחנן
493,08/10/2014,Su,אב 14 5774,יומא ל,עקב
494,08/17/2014,Su,אב 21 5774,יומא לא,ראה
495,08/24/2014,Su,אב 28 5774,יומא לב,שופטים
496,08/31/2014,Su,אלול 5 5774,יומא לג,כי תצא
497,09/07/2014,Su,אלול 12 5774,יומא לד,כי תבוא
498,09/14/2014,Su,אלול 19 5774,יומא לה,נצבים-וילך
499,09/21/2014,Su,אלול 26 5774,יומא לו,האזינו
500,09/28/2014,Su,תשרי 4 5775,יומא לז,יום כיפור
501,10/05/2014,Su,תשרי 11 5775,יומא לח,"חוה""מ סוכות"
502,10/12/2014,Su,תשרי 18 5775,יומא לט,בראשית
503,10/19/2014,Su,תשרי 25 5775,יומא מ,נח
504,10/26/2014,Su,חשון 2 5775,יומא מא,לך לך
505,11/02/2014,Su,חשון 9 5775,יומא מב,וירא
506,11/09/2014,Su,חשון 16 5775,יומא מג,חיי שרה
507,11/16/2014,Su,חשון 23 5775,יומא מד,תולדת
508,11/23/2014,Su,כסלו 1 5775,יומא מה,ויצא
509,11/30/2014,Su,כסלו 8 5775,יומא מו,וישלח
510,12/07/2014,Su,כסלו 15 5775,יומא מז,וישב
511,12/14/2014,Su,כסלו 22 5775,יומא מח,מקץ
512,12/21/2014,Su,כסלו 29 5775,יומא מט,ויגש
513,12/28/2014,Su,טבת 6 5775,יומא נ,ויחי
514,01/04/2015,Su,טבת 13 5775,יומא נא,שמות
515,01/11/2015,Su,טבת 20 5775,יומא נב,וארא
516,01/18/2015,Su,טבת 27 5775,יומא נג,בא
517,01/25/2015,Su,שבט 5 5775,יומא נד,בשלח
518,02/01/2015,Su,שבט 12 5775,יומא נה,יתרו
519,02/08/2015,Su,שבט 19 5775,יומא נו,משפטים
520,02/15/2015,Su,שבט 26 5775,יומא נז,תרומה
521,02/22/2015,Su,אדר 3 5775,יומא נח,תצוה
522,03/01/2015,Su,אדר 10 5775,יומא נט,כי תשא
523,03/08/2015,Su,אדר 17 5775,יומא ס,ויקהל-פקודי
524,03/15/2015,Su,אדר 24 5775,יומא סא,ויקרא
525,03/22/2015,Su,ניסן 2 5775,יומא סב,צו
526,03/29/2015,Su,ניסן 9 5775,יומא סג,פסח
527,04/05/2015,Su,ניסן 16 5775,יומא סד,פסח
528,04/12/2015,Su,ניסן 23 5775,יומא סה,שמיני
529,04/19/2015,Su,ניסן 30 5775,יומא סו,תזריע-מצורע
530,04/26/2015,Su,אייר 7 5775,יומא סז,אחרי מות-קדשים
531,05/03/2015,Su,אייר 14 5775,יומא סח,אמור
532,05/10/2015,Su,אייר 21 5775,יומא סט,בהר-בחקתי
533,05/17/2015,Su,אייר 28 5775,יומא ע,במדבר
534,05/24/2015,Su,סיון 6 5775,יומא עא,נשא
535,05/31/2015,Su,סיון 13 5775,יומא עב,בהעלתך
536,06/07/2015,Su,סיון 20 5775,יומא עג,שלח לך
537,06/14/2015,Su,סיון 27 5775,יומא עד,קרח
538,06/21/2015,Su,תמוז 4 5775,יומא עה,חקת
539,06/28/2015,Su,תמוז 11 5775,יומא עו,בלק
540,07/05/2015,Su,תמוז 18 5775,יומא עז,פינחס
541,07/12/2015,Su,תמוז 25 5775,יומא עח,מטות-מסעי
542,07/19/2015,Su,אב 3 5775,יומא עט,דברים
543,07/26/2015,Su,אב 10 5775,יומא פ,ואתחנן
544,08/02/2015,Su,אב 17 5775,יומא פא,עקב
545,08/09/2015,Su,אב 24 5775,יומא פב,ראה
546,08/16/2015,Su,אלול 1 5775,יומא פג,שופטים
547,08/23/2015,Su,אלול 8 5775,יומא פד,כי תצא
548,08/30/2015,Su,אלול 15 5775,יומא פה,כי תבוא
549,09/06/2015,Su,אלול 22 5775,יומא פו,נצבים
550,09/13/2015,Su,אלול 29 5775,יומא פז,וילך
551,09/20/2015,Su,תשרי 7 5776,יומא פח,האזינו
552,09/27/2015,Su,תשרי 14 5776,סוכה ב,"חוה""מ סוכות"
553,10/04/2015,Su,תשרי 21 5776,סוכה ג,בראשית
554,10/11/2015,Su,תשרי 28 5776,סוכה ד,נח
555,10/18/2015,Su,חשון 5 5776,סוכה ה,לך לך
556,10/25/2015,Su,חשון 12 5776,סוכה ו,וירא
557,11/01/2015,Su,חשון 19 5776,סוכה ז,חיי שרה
558,11/08/2015,Su,חשון 26 5776,סוכה ח,תולדת
559,11/15/2015,Su,כסלו 3 5776,סוכה ט,ויצא
560,11/22/2015,Su,כסלו 10 5776,סוכה י,וישלח
561,11/29/2015,Su,כסלו 17 5776,סוכה יא,וישב
562,12/06/2015,Su,כסלו 24 5776,סוכה יב,מקץ
563,12/13/2015,Su,טבת 1 5776,סוכה יג,ויגש
564,12/20/2015,Su,טבת 8 5776,סוכה יד,ויחי
565,12/27/2015,Su,טבת 15 5776,סוכה טו,שמות
566,01/03/2016,Su,טבת 22 5776,סוכה טז,וארא
567,01/10/2016,Su,טבת 29 5776,סוכה יז,בא
568,01/17/2016,Su,שבט 7 5776,סוכה יח,בשלח
569,01/24/2016,Su,שבט 14 5776,סוכה יט,יתרו
570,01/31/2016,Su,שבט 21 5776,סוכה כ,משפטים
571,02/07/2016,Su,שבט 28 5776,סוכה כא,תרומה
572,02/14/2016,Su,אדר א 5 5776,סוכה כב,תצוה
573,02/21/2016,Su,אדר א 12 5776,סוכה כג,כי תשא
574,02/28/2016,Su,אדר א 19 5776,סוכה כד,ויקהל
575,03/06/2016,Su,אדר א 26 5776,סוכה כה,פקודי
576,03/13/2016,Su,אדר ב 3 5776,סוכה כו,ויקרא
577,03/20/2016,Su,אדר ב 10 5776,סוכה כז,צו
578,03/27/2016,Su,אדר ב 17 5776,סוכה כח,שמיני
579,04/03/2016,Su,אדר ב 24 5776,סוכה כט,תזריע
580,04/10/2016,Su,ניסן 2 5776,סוכה ל,מצורע
581,04/17/2016,Su,ניסן 9 5776,סוכה לא,פסח
582,04/24/2016,Su,ניסן 16 5776,סוכה לב,פסח
583,05/01/2016,Su,ניסן 23 5776,סוכה לג,אחרי מות
584,05/08/2016,Su,ניסן 30 5776,סוכה לד,קדשים
585,05/15/2016,Su,אייר 7 5776,סוכה לה,אמור
586,05/22/2016,Su,אייר 14 5776,סוכה לו,בהר
587,05/29/2016,Su,אייר 21 5776,סוכה לז,בחקתי
588,06/05/2016,Su,אייר 28 5776,סוכה לח,במדבר
589,06/12/2016,Su,סיון 6 5776,סוכה לט,נשא
590,06/19/2016,Su,סיון 13 5776,סוכה מ,בהעלתך
591,06/26/2016,Su,סיון 20 5776,סוכה מא,שלח לך
592,07/03/2016,Su,סיון 27 5776,סוכה מב,קרח
593,07/10/2016,Su,תמוז 4 5776,סוכה מג,חקת
594,07/17/2016,Su,תמוז 11 5776,סוכה מד,בלק
595,07/24/2016,Su,תמוז 18 5776,סוכה מה,פינחס
596,07/31/2016,Su,תמוז 25 5776,סוכה מו,מטות-מסעי
597,08/07/2016,Su,אב 3 5776,סוכה מז,דברים
598,08/14/2016,Su,אב 10 5776,סוכה מח,ואתחנן
599,08/21/2016,Su,אב 17 5776,סוכה מט,עקב
600,08/28/2016,Su,אב 24 5776,סוכה נ,ראה
601,09/04/2016,Su,אלול 1 5776,סוכה נא,שופטים
602,09/11/2016,Su,אלול 8 5776,סוכה נב,כי תצא
603,09/18/2016,Su,אלול 15 5776,סוכה נג,כי תבוא
604,09/25/2016,Su,אלול 22 5776,סוכה נד,נצבים
605,10/02/2016,Su,אלול 29 5776,סוכה נה,וילך
606,10/09/2016,Su,תשרי 7 5777,סוכה נו,האזינו
607,10/16/2016,Su,תשרי 14 5777,ביצה ב,"חוה""מ סוכות"
608,10/23/2016,Su,תשרי 21 5777,ביצה ג,בראשית
609,10/30/2016,Su,תשרי 28 5777,ביצה ד,נח
610,11/06/2016,Su,חשון 5 5777,ביצה ה,לך לך
611,11/13/2016,Su,חשון 12 5777,ביצה ו,וירא
612,11/20/2016,Su,חשון 19 5777,ביצה ז,חיי שרה
613,11/27/2016,Su,חשון 26 5777,ביצה ח,תולדת
614,12/04/2016,Su,כסלו 4 5777,ביצה ט,ויצא
615,12/11/2016,Su,כסלו 11 5777,ביצה י,וישלח
616,12/18/2016,Su,כסלו 18 5777,ביצה יא,וישב
617,12/25/2016,Su,כסלו 25 5777,ביצה יב,מקץ
618,01/01/2017,Su,טבת 3 5777,ביצה יג,ויגש
619,01/08/2017,Su,טבת 10 5777,ביצה יד,ויחי
620,01/15/2017,Su,טבת 17 5777,ביצה טו,שמות
621,01/22/2017,Su,טבת 24 5777,ביצה טז,וארא
622,01/29/2017,Su,שבט 2 5777,ביצה יז,בא
623,02/05/2017,Su,שבט 9 5777,ביצה יח,בשלח
624,02/12/2017,Su,שבט 16 5777,ביצה יט,יתרו
625,02/19/2017,Su,שבט 23 5777,ביצה כ,משפטים
626,02/26/2017,Su,שבט 30 5777,ביצה כא,תרומה
627,03/05/2017,Su,אדר 7 5777,ביצה כב,תצוה
628,03/12/2017,Su,אדר 14 5777,ביצה כג,כי תשא
629,03/19/2017,Su,אדר 21 5777,ביצה כד,ויקהל-פקודי
630,03/26/2017,Su,אדר 28 5777,ביצה כה,ויקרא
631,04/02/2017,Su,ניסן 6 5777,ביצה כו,צו
632,04/09/2017,Su,ניסן 13 5777,ביצה כז,"חוה""מ פסח"
633,04/16/2017,Su,ניסן 20 5777,ביצה כח,שמיני
634,04/23/2017,Su,ניסן 27 5777,ביצה כט,תזריע-מצורע
635,04/30/2017,Su,אייר 4 5777,ביצה ל,אחרי מות-קדשים
636,05/07/2017,Su,אייר 11 5777,ביצה לא,אמור
637,05/14/2017,Su,אייר 18 5777,ביצה לב,בהר-בחקתי
638,05/21/2017,Su,אייר 25 5777,ביצה לג,במדבר
639,05/28/2017,Su,סיון 3 5777,ביצה לד,נשא
640,06/04/2017,Su,סיון 10 5777,ביצה לה,בהעלתך
641,06/11/2017,Su,סיון 17 5777,ביצה לו,שלח לך
642,06/18/2017,Su,סיון 24 5777,ביצה לז,קרח
643,06/25/2017,Su,תמוז 1 5777,ביצה לח,חקת
644,07/02/2017,Su,תמוז 8 5777,ביצה לט,בלק
645,07/09/2017,Su,תמוז 15 5777,ביצה מ,פינחס
646,07/16/2017,Su,תמוז 22 5777,ראש השנה ב,מטות-מסעי
647,07/23/2017,Su,תמוז 29 5777,ראש השנה ג,דברים
648,07/30/2017,Su,אב 7 5777,ראש השנה ד,ואתחנן
649,08/06/2017,Su,אב 14 5777,ראש השנה ה,עקב
650,08/13/2017,Su,אב 21 5777,ראש השנה ו,ראה
651,08/20/2017,Su,אב 28 5777,ראש השנה ז,שופטים
652,08/27/2017,Su,אלול 5 5777,ראש השנה ח,כי תצא
653,09/03/2017,Su,אלול 12 5777,ראש השנה ט,כי תבוא
654,09/10/2017,Su,אלול 19 5777,ראש השנה י,נצבים-וילך
655,09/17/2017,Su,אלול 26 5777,ראש השנה יא,האזינו
656,09/24/2017,Su,תשרי 4 5778,ראש השנה יב,יום כיפור
657,10/01/2017,Su,תשרי 11 5778,ראש השנה יג,"חוה""מ סוכות"
658,10/08/2017,Su,תשרי 18 5778,ראש השנה יד,בראשית
659,10/15/2017,Su,תשרי 25 5778,ראש השנה טו,נח
660,10/22/2017,Su,חשון 2 5778,ראש השנה טז,לך לך
661,10/29/2017,Su,חשון 9 5778,ראש השנה יז,וירא
662,11/05/2017,Su,חשון 16 5778,ראש השנה יח,חיי שרה
663,11/12/2017,Su,חשון 23 5778,ראש השנה יט,תולדת
664,11/19/2017,Su,כסלו 1 5778,ראש השנה כ,ויצא
665,11/26/2017,Su,כסלו 8 5778,ראש השנה כא,וישלח
666,12/03/2017,Su,כסלו 15 5778,ראש השנה כב,וישב
667,12/10/2017,Su,כסלו 22 5778,ראש השנה כג,מקץ
668,12/17/2017,Su,כסלו 29 5778,ראש השנה כד,ויגש
669,12/24/2017,Su,טבת 6 5778,ראש השנה כה,ויחי
670,12/31/2017,Su,טבת 13 5778,ראש השנה כו,שמות
671,01/07/2018,Su,טבת 20 5778,ראש השנה כז,וארא
672,01/14/2018,Su,טבת 27 5778,ראש השנה כח,בא
673,01/21/2018,Su,שבט 5 5778,ראש השנה כט,בשלח
674,01/28/2018,Su,שבט 12 5778,ראש השנה ל,יתרו
675,02/04/2018,Su,שבט 19 5778,ראש השנה לא,משפטים
676,02/11/2018,Su,שבט 26 5778,ראש השנה לב,תרומה
677,02/18/2018,Su,אדר 3 5778,ראש השנה לג,תצוה
678,02/25/2018,Su,אדר 10 5778,ראש השנה לד,כי תשא
679,03/04/2018,Su,אדר 17 5778,ראש השנה לה,ויקהל-פקודי
680,03/11/2018,Su,אדר 24 5778,תענית ב,ויקרא
681,03/18/2018,Su,ניסן 2 5778,תענית ג,צו
682,03/25/2018,Su,ניסן 9 5778,תענית ד,פסח
683,04/01/2018,Su,ניסן 16 5778,תענית ה,פסח
684,04/08/2018,Su,ניסן 23 5778,תענית ו,שמיני
685,04/15/2018,Su,ניסן 30 5778,תענית ז,תזריע-מצורע
686,04/22/2018,Su,אייר 7 5778,תענית ח,אחרי מות-קדשים
687,04/29/2018,Su,אייר 14 5778,תענית ט,אמור
688,05/06/2018,Su,אייר 21 5778,תענית י,בהר-בחקתי
689,05/13/2018,Su,אייר 28 5778,תענית יא,במדבר
690,05/20/2018,Su,סיון 6 5778,תענית יב,נשא
691,05/27/2018,Su,סיון 13 5778,תענית יג,בהעלתך
692,06/03/2018,Su,סיון 20 5778,תענית יד,שלח לך
693,06/10/2018,Su,סיון 27 5778,תענית טו,קרח
694,06/17/2018,Su,תמוז 4 5778,תענית טז,חקת
695,06/24/2018,Su,תמוז 11 5778,תענית יז,בלק
696,07/01/2018,Su,תמוז 18 5778,תענית יח,פינחס
697,07/08/2018,Su,תמוז 25 5778,תענית יט,מטות-מסעי
698,07/15/2018,Su,אב 3 5778,תענית כ,דברים
699,07/22/2018,Su,אב 10 5778,תענית כא,ואתחנן
700,07/29/2018,Su,אב 17 5778,תענית כב,עקב
701,08/05/2018,Su,אב 24 5778,תענית כג,ראה
702,08/12/2018,Su,אלול 1 5778,תענית כד,שופטים
703,08/19/2018,Su,אלול 8 5778,תענית כה,כי תצא
704,08/26/2018,Su,אלול 15 5778,תענית כו,כי תבוא
705,09/02/2018,Su,אלול 22 5778,תענית כז,נצבים
706,09/09/2018,Su,אלול 29 5778,תענית כח,וילך
707,09/16/2018,Su,תשרי 7 5779,תענית כט,האזינו
708,09/23/2018,Su,תשרי 14 5779,תענית ל,"חוה""מ סוכות"
709,09/30/2018,Su,תשרי 21 5779,תענית לא,בראשית
710,10/07/2018,Su,תשרי 28 5779,מגילה ב,נח
711,10/14/2018,Su,חשון 5 5779,מגילה ג,לך לך
712,10/21/2018,Su,חשון 12 5779,מגילה ד,וירא
713,10/28/2018,Su,חשון 19 5779,מגילה ה,חיי שרה
714,11/04/2018,Su,חשון 26 5779,מגילה ו,תולדת
715,11/11/2018,Su,כסלו 3 5779,מגילה ז,ויצא
716,11/18/2018,Su,כסלו 10 5779,מגילה ח,וישלח
717,11/25/2018,Su,כסלו 17 5779,מגילה ט,וישב
718,12/02/2018,Su,כסלו 24 5779,מגילה י,מקץ
719,12/09/2018,Su,טבת 1 5779,מגילה יא,ויגש
720,12/16/2018,Su,טבת 8 5779,מגילה יב,ויחי
721,12/23/2018,Su,טבת 15 5779,מגילה יג,שמות
722,12/30/2018,Su,טבת 22 5779,מגילה יד,וארא
723,01/06/2019,Su,טבת 29 5779,מגילה טו,בא
724,01/13/2019,Su,שבט 7 5779,מגילה טז,בשלח
725,01/20/2019,Su,שבט 14 5779,מגילה יז,יתרו
726,01/27/2019,Su,שבט 21 5779,מגילה יח,משפטים
727,02/03/2019,Su,שבט 28 5779,מגילה יט,תרומה
728,02/10/2019,Su,אדר א 5 5779,מגילה כ,תצוה
729,02/17/2019,Su,אדר א 12 5779,מגילה כא,כי תשא
730,02/24/2019,Su,אדר א 19 5779,מגילה כב,ויקהל
731,03/03/2019,Su,אדר א 26 5779,מגילה כג,פקודי
732,03/10/2019,Su,אדר ב 3 5779,מגילה כד,ויקרא
733,03/17/2019,Su,אדר ב 10 5779,מגילה כה,צו
734,03/24/2019,Su,אדר ב 17 5779,מגילה כו,שמיני
735,03/31/2019,Su,אדר ב 24 5779,מגילה כז,תזריע
736,04/07/2019,Su,ניסן 2 5779,מגילה כח,מצורע
737,04/14/2019,Su,ניסן 9 5779,מגילה כט,פסח
738,04/21/2019,Su,ניסן 16 5779,מגילה ל,פסח
739,04/28/2019,Su,ניסן 23 5779,מגילה לא,אחרי מות
740,05/05/2019,Su,ניסן 30 5779,מגילה לב,קדשים
741,05/12/2019,Su,אייר 7 5779,מועד קטן ב,אמור
742,05/19/2019,Su,אייר 14 5779,מועד קטן ג,בהר
743,05/26/2019,Su,אייר 21 5779,מועד קטן ד,בחקתי
744,06/02/2019,Su,אייר 28 5779,מועד קטן ה,במדבר
745,06/09/2019,Su,סיון 6 5779,מועד קטן ו,נשא
746,06/16/2019,Su,סיון 13 5779,מועד קטן ז,בהעלתך
747,06/23/2019,Su,סיון 20 5779,מועד קטן ח,שלח לך
748,06/30/2019,Su,סיון 27 5779,מועד קטן ט,קרח
749,07/07/2019,Su,תמוז 4 5779,מועד קטן י,חקת
750,07/14/2019,Su,תמוז 11 5779,מועד קטן יא,בלק
751,07/21/2019,Su,תמוז 18 5779,מועד קטן יב,פינחס
752,07/28/2019,Su,תמוז 25 5779,מועד קטן יג,מטות-מסעי
753,08/04/2019,Su,אב 3 5779,מועד קטן יד,דברים
754,08/11/2019,Su,אב 10 5779,מועד קטן טו,ואתחנן
755,08/18/2019,Su,אב 17 5779,מועד קטן טז,עקב
756,08/25/2019,Su,אב 24 5779,מועד קטן יז,ראה
757,09/01/2019,Su,אלול 1 5779,מועד קטן יח,שופטים
758,09/08/2019,Su,אלול 8 5779,מועד קטן יט,כי תצא
759,09/15/2019,Su,אלול 15 5779,מועד קטן כ,כי תבוא
760,09/22/2019,Su,אלול 22 5779,מועד קטן כא,נצבים
761,09/29/2019,Su,אלול 29 5779,מועד קטן כב,וילך
762,10/06/2019,Su,תשרי 7 5780,מועד קטן כג,האזינו
763,10/13/2019,Su,תשרי 14 5780,מועד קטן כד,"חוה""מ סוכות"
764,10/20/2019,Su,תשרי 21 5780,מועד קטן כה,בראשית
765,10/27/2019,Su,תשרי 28 5780,מועד קטן כו,נח
766,11/03/2019,Su,חשון 5 5780,מועד קטן כז,לך לך
767,11/10/2019,Su,חשון 12 5780,מועד קטן כח,וירא
768,11/17/2019,Su,חשון 19 5780,מועד קטן כט,חיי שרה
769,11/24/2019,Su,חשון 26 5780,חגיגה ב,תולדת
770,12/01/2019,Su,כסלו 3 5780,חגיגה ג,ויצא
771,12/08/2019,Su,כסלו 10 5780,חגיגה ד,וישלח
772,12/15/2019,Su,כסלו 17 5780,חגיגה ה,וישב
773,12/22/2019,Su,כסלו 24 5780,חגיגה ו,מקץ
774,12/29/2019,Su,טבת 1 5780,חגיגה ז,ויגש
775,01/05/2020,Su,טבת 8 5780,חגיגה ח,ויחי
776,01/12/2020,Su,טבת 15 5780,חגיגה ט,שמות
777,01/19/2020,Su,טבת 22 5780,חגיגה י,וארא
778,01/26/2020,Su,טבת 29 5780,חגיגה יא,בא
779,02/02/2020,Su,שבט 7 5780,חגיגה יב,בשלח
780,02/09/2020,Su,שבט 14 5780,חגיגה יג,יתרו
781,02/16/2020,Su,שבט 21 5780,חגיגה יד,משפטים
782,02/23/2020,Su,שבט 28 5780,חגיגה טו,תרומה
783,03/01/2020,Su,אדר 5 5780,חגיגה טז,תצוה
784,03/08/2020,Su,אדר 12 5780,חגיגה יז,כי תשא
785,03/15/2020,Su,אדר 19 5780,חגיגה יח,ויקהל-פקודי
786,03/22/2020,Su,אדר 26 5780,חגיגה יט,ויקרא
787,03/29/2020,Su,ניסן 4 5780,חגיגה כ,צו
788,04/05/2020,Su,ניסן 11 5780,חגיגה כא,"חוה""מ פסח"
789,04/12/2020,Su,ניסן 18 5780,חגיגה כב,שמיני
790,04/19/2020,Su,ניסן 25 5780,חגיגה כג,תזריע-מצורע
791,04/26/2020,Su,אייר 2 5780,חגיגה כד,אחרי מות-קדשים
792,05/03/2020,Su,אייר 9 5780,חגיגה כה,אמור
793,05/10/2020,Su,אייר 16 5780,חגיגה כו,בהר-בחקתי
794,05/17/2020,Su,אייר 23 5780,חגיגה כז,במדבר
795,05/24/2020,Su,סיון 1 5780,יבמות ב,שבועות
796,05/31/2020,Su,סיון 8 5780,יבמות ג,נשא
797,06/07/2020,Su,סיון 15 5780,יבמות ד,בהעלתך
798,06/14/2020,Su,סיון 22 5780,יבמות ה,שלח לך
799,06/21/2020,Su,סיון 29 5780,יבמות ו,קרח
800,06/28/2020,Su,תמוז 6 5780,יבמות ז,חקת-בלק
801,07/05/2020,Su,תמוז 13 5780,יבמות ח,פינחס
802,07/12/2020,Su,תמוז 20 5780,יבמות ט,מטות-מסעי
803,07/19/2020,Su,תמוז 27 5780,יבמות י,דברים
804,07/26/2020,Su,אב 5 5780,יבמות יא,ואתחנן
805,08/02/2020,Su,אב 12 5780,יבמות יב,עקב
806,08/09/2020,Su,אב 19 5780,יבמות יג,ראה
807,08/16/2020,Su,אב 26 5780,יבמות יד,שופטים
808,08/23/2020,Su,אלול 3 5780,יבמות טו,כי תצא
809,08/30/2020,Su,אלול 10 5780,יבמות טז,כי תבוא
810,09/06/2020,Su,אלול 17 5780,יבמות יז,נצבים-וילך
811,09/13/2020,Su,אלול 24 5780,יבמות יח,ראש השנה
812,09/20/2020,Su,תשרי 2 5781,יבמות יט,האזינו
813,09/27/2020,Su,תשרי 9 5781,יבמות כ,סוכות
814,10/04/2020,Su,תשרי 16 5781,יבמות כא,שמיני עצרת
815,10/11/2020,Su,תשרי 23 5781,יבמות כב,בראשית
816,10/18/2020,Su,תשרי 30 5781,יבמות כג,נח
817,10/25/2020,Su,חשון 7 5781,יבמות כד,לך לך
818,11/01/2020,Su,חשון 14 5781,יבמות כה,וירא
819,11/08/2020,Su,חשון 21 5781,יבמות כו,חיי שרה
820,11/15/2020,Su,חשון 28 5781,יבמות כז,תולדת
821,11/22/2020,Su,כסלו 6 5781,יבמות כח,ויצא
822,11/29/2020,Su,כסלו 13 5781,יבמות כט,וישלח
823,12/06/2020,Su,כסלו 20 5781,יבמות ל,וישב
824,12/13/2020,Su,כסלו 27 5781,יבמות לא,מקץ
