OZ location	Talmud Location	DH Text	OZ Full Text	full talmud line
Ohr Zarua, Volume I 558:2<d>	NULL	תנן בפ' הקומץ רבה ארבע פרשיות של תפלין	<b>תנן </b>בפ' הקומץ רבה ארבע פרשיות של תפלין מעכבין זה את זה. ותניא במכילתא ארבע פרשיות של ראש. הן ד' טוטפות אלו הן קדש. והיה כי יביאך. שמע. והי' אם שמע. ואמ' בהקומץ באיזה צד סוררן. קדש והי' כי יביאך מימין. שמע והי' אם שמע משמאל. והתניא איפכא. אמר אביי ל"ק כאן מימינו של קורא. כאן מימינו של מניח. והקורא קורא כסדרן. פי' רבינו אליקים זצ"ל ל"ק הא דקתני קדש והי' כי יביאך מימין היינו לימינו של קורא. היינו זה שעומד כנגד המניח שרואה התפלין כשהן בראשו של זה ואינו קורא ממש אלא שרואה הקלף כמו שרוצה לקרות וזה שעומד כנגד המניח קיימין לי' קדש והי' כי יביאך מימין שמע והי' אם שמע משמאלו שאלו הי' רוצה לקרות הי' קורא כסדרן של פרשיות כסדר שכתובות בתורה שבתחלה כתוב קדש והי' כי יביאך ואח"כ שמע והי' אם שמע. דהיינו שמאלו של קורא. קדש והי' כי יביאך לשמאלו של מניח דהיינו ימינו של קורא וחד הוא. וכן פרש"י וכן משמע בשימושא רבה של תפלין וזה לשונו (ומשני) [ומשוי] פרשת' דקדש מימינא בבית' קמא ופרש' דסמיך לי' והי' כי יביאך בביתא תניינא ופרש' דשמע בשלישית ופ' והי' אם שמע ברביעית. וכן משמע במכילתא דקתני ארבע פרשיות של ראש אלו הן קדש והי' כי יביאך שמע והי' אם שמע וכותבן כסדרן אם כתבן שלא כסדרן הרי אלו יגנוזו משמע כסדר ששנאן ברישא. ולא מסתבר כלל לדחו' דבכתיבת הסופר קאמר אבל אין קובען בתפלין בסדר זה אין נראה כלל לומר כן. מיהו ר"ת מקשה דאמאי פלגינהו שקורא שתים הראשונות מימין ושתים האחרי' משמאל הל"ל ראשונ' מימין וכל האחרות משמאל או איפכא דג' ראשונות מימין ורביעי' משמאל כמו גבי נר מערבי בפ' שתי הלחם דיליף דמנורה מזרח ומערב מדכתיב בנר מערבי לפני ה' מכלל דכלהו לאו לפני ה' ולא אמר חצי הנרות לפני ה' וחצי האחרון לאו לפני ה' ומפרש ר"ת קדש והי' כי יביאך מימין הקורא ומשמאל הקורא הוי שמע מבחוץ ואחרי' והיה אם שמוע מבפנים וניחא השתא מה שחלקו. וכן פי' ר"ח ס"פ אלו הן הנחנקין כל בית חצון שאינו רואה את האויר פסול כגון קדש ושמע וכן פי' רב חיי גאון זצ"ל והיה מניח סימן הויות להדדי. פי' והי' כי יביאך והי' אם שמוע פנימיות זה אצל זה וכן בתשובות הגאונים שכתב הרב רבינו יוסף טוב עלם זצ"ל. והא דקאמר הקורא קורא כסדרן לא כמו שפירש בקונטרס כסדר שכתובו' בתורה. אלא מפרש ר"ת דהוא סיום הברייתא דכיצד סודרן וקאמ' שקורין כסדר שמונחין בתפלין מימינו לשמאלו דהיינו קדש והי' כי יביאך. והיה אם שמע שמע: 	NULL
Ohr Zarua, Volume I 559:1<d>	NULL	החליף סדר הפרשיות 	החליף סדר הפרשיות 	NULL
Ohr Zarua, Volume I 559:2<d>	Menachot 34b:11	אמר רב חננאל אמר רב החליף סדר פרשיותיה	<b>אמר </b>רב חננאל אמר רב החליף סדר פרשיותיה פסולה ומסקנא לא שנא גווייאתא לבריאתא כגון ששם קדש והי' אם שמע בפנים. והי' כי יביאך ושמע מבחוץ ובריאתא לגווייאתא כגון ששם והי' כי יביאך אצל והי' אם שמע. ושמע אצל קדש בכל ענין פסולה. זהו סדר החילוף לפרש"י ולפר"ת סדר החילוף מתפרש לענין אחר. וברייתא לברייתא נמי כגון ששם קדש במקום והי' אם שמוע והי' אם שמע במקום קדש נמי פסול: 	אמר רב חננאל אמר רב החליף פרשיותיה פסולות אמר אביי לא אמרן
Ohr Zarua, Volume I 560:1<d>	NULL	כורך פרשיות בשער בהמה טהורה 	כורך פרשיות בשער בהמה טהורה 	NULL
Ohr Zarua, Volume I 560:2<d>	NULL	כשמכניס הפרשיות לבתים כורכן בשער בהמה טהורה	<b>כשמכניס </b>הפרשיות לבתים כורכן בשער בהמה טהורה. כההיא דפ' במה מדליקין דתניא תפלין הלכה למשה מסיני היא נכרכות בשערן. ונתפרות בגידין. פרש"י שצריך לקשור אגרות הפרשיות בשער בהמה [טהורה] ולתופרן בגיד בהמה טהורה: 	NULL
Ohr Zarua, Volume I 561:1<d>	Menachot 35b:7	תיתורא של תפילין 	תיתורא של תפילין 	אמר רב יהודה בריה דרב שמואל בר שילת משמיה דרב קשר של תפילין הלכה למשה מסיני אמר ר"נ ונוייהן לבר רב אשי הוה יתיב קמיה דמר זוטרא איתהפכא ליה רצועה דתפילין א"ל לא סבר לה מר ונוייהן לבר א"ל לאו אדעתאי
Ohr Zarua, Volume I 561:2<d>	Menachot 35a:3	אמר רב חננאל אמר רב תיתורתא של תפלין	<b>אמר </b>רב חננאל אמר רב תיתורתא של תפלין הלכה למשה מסיני. כתב רבינו שמשון משנץ זצ"ל הוא העורף (הנכלל) [הנכפל] למטה. שמכסה פי הבתים והוא בית מושבן של תפלין ונראה בעין דף של גשר ומשמע מתוך פי' הקונטרס שהבתים והתיתורא דכל מעור אחד. ואין נוהגין כן עכ"ל. וז"ל רבינו אליקים תיתורא. גשר שלאחר שהניח ד' פרשיות בד' בתים עושה תפירה אחת מתחת על פני כל הבתים כעין של גשר כדי שלא יפלו מן הבתים לחוץ. ע"א תיתורא. היינו שתופר סביב מלמטה בריבוע שעושה שבולט באמצע בעין מושב הבית שבולט באמצע עכ"ל משמע נמי מפי' שפי' בלשון ראשון שהבתים והתיתורא הכל מעור אחד. וזה לשון מורי הרב רבינו שמחה תיתורא של תפלין הלכה למשה מסיני כופלין עור מרובע ועושה נקב בכפל העליון מרובע במדת ד' בתים ומכניס הד' בתים באותו נקב ומכסה בכפל התחתון תחתיהן של בתים הפיות ומחבר הבתים בין אותם כפלים בתפר מרובע כדתניא תפלין מרובעות הלכה למשה מסיני ואמר רבא בתפרן ובאלכסונן שיהי' לוכסון של ריבוע מכוון בתוספת ב' חומשין על הריבוע שארכן כרחבן. אבל מרובע שארכו יתר על רחבו אין האלכסון מכוון ואותו עור כפול שמו תיתורא. שמונח על פיות ד' בתים כגשר ואותה תיתורא מרחבת לכל צד יותר על הבתים ברוחב גודל או פחות ומרובע עכ"ל. ומורי הרב רבינו יהודה חסיד זצוק"ל כתב תיתורא. רצועה העליונה של תפלה של זרוע שלא תהא כטטפתא שאין [לה] אלא רצועה [אחת] אלא צריכה רצועה אחרת מורכבות זו על גב זו: 	ואמר רב חננאל אמר רב תיתורא דתפילין הלכה למשה מסיני אמר אביי מעברתא דתפילין הלכה למשה מסיני ואמר אביי שי"ן של תפילין הלכה למשה מסיני
Ohr Zarua, Volume I 562:1<d>	Menachot 35b:7	מעברתא של תפלין 	מעברתא של תפלין 	אמר רב יהודה בריה דרב שמואל בר שילת משמיה דרב קשר של תפילין הלכה למשה מסיני אמר ר"נ ונוייהן לבר רב אשי הוה יתיב קמיה דמר זוטרא איתהפכא ליה רצועה דתפילין א"ל לא סבר לה מר ונוייהן לבר א"ל לאו אדעתאי
Ohr Zarua, Volume I 562:2<d>	Menachot 35a:3	אמר אביי מעברתא של תפלין הלכה למשה מסיני.	<b>אמר </b>אביי מעברתא של תפלין הלכה למשה מסיני. פי' רבינו אליקים זצ"ל אית דאמרי דהיינו נמי תיתורא דהוי כגשר דמקרי מעברתא. ואית דאמרי דהיינו אותה תפירה שתופר בה השפה לשום שם הרצועה. ורבינו שמשון משנץ זצ"ל כתב מעברתא דתפלין הוא חוד הנעשה מכפילת העור כשכופלו למטה לכסות פי הבתים ומכניסין בו הרצועות. ונקרא מעברתא ע"ש שצריך שלא יהיו הרצועות [קבועו'] אלא מעבירן ומושכן לכל צד שירצה ומאריך ראש זה ומקצר ראש זה. [ובערוך ערך] מעבר. פי' מעברתא היא תיתורא. וכן גשרים נקראים מעברתא ונקראים תיתורא. ובתפלה מקום הוא שמכניסין בו רצועה ונקראת מעברתא דתפלי. ומורי ה"ר שמחה כתב אני סבור שטלאי טלוא על בית של יד ותפור למטה בתיתורא שלו כמין רצועה רחבה כמדת גגו של בית של תפלה של יד ועובר כל גובה של בית משני צדדין ועל פני רוחב הגג שאם לא נפרש כן לא מצינו אותו טלאי רמוז בתלמוד עכ"ל. וסבורני שזהו מה שפירש מורי החסיד תיתורא. ורבינו שמשון משנץ זצ"ל כתב שיש מפרשים כדברי מורי הרב רבינו שמחה. ואין נראה דאביי איירי דומיא דשי"ן שהוא בתפלה של ראש והנותנה לאותה רצועה אם אין דינה להיות פוסלן דנמצא דאין בית רואה את האויר# כדאמ' מאי שנא גוויאתא לבריאתא דהך בעי' למחזי אוירא ולא קא חזיא. ומורי הרב רבינו יהודה החסיד זצוק"ל כתב בשם הגאונים. מעברתא מקום חריץ שבין כל בית ובית של ראש ובעו למעבר (גב) [בין] כל חדא וחדא תרי גידי מלעילא עד לתתא ולהדקינהו שפיר כי היכי דלא ליתפרשו (אינון) [ואינון] מעברתא ואם נפסקו ג' חוטין בתפרן פסולה: 	ואמר רב חננאל אמר רב תיתורא דתפילין הלכה למשה מסיני אמר אביי מעברתא דתפילין הלכה למשה מסיני ואמר אביי שי"ן של תפילין הלכה למשה מסיני
Ohr Zarua, Volume I 563:1<d>	Menachot 35a:3	שי"ן של תפלין 	שי"ן של תפלין 	ואמר רב חננאל אמר רב תיתורא דתפילין הלכה למשה מסיני אמר אביי מעברתא דתפילין הלכה למשה מסיני ואמר אביי שי"ן של תפילין הלכה למשה מסיני
Ohr Zarua, Volume I 563:2<d>	Menachot 35a:3	אמר אביי שין של תפלין הלכה למשה מסיני.	<b>אמר </b>אביי שין של תפלין הלכה למשה מסיני. פי' רבינו אליקים שי"ן של תפלין שדוחק הבתים מלמטה ביחד ומתרווחין מלמעלה ונראין בעין שין בזה  ע"א שבשני הבתים החיצונים מכוין את העור ועושהו כמין שי"ן אחת בבית זה ואחת בבית זה עכ"ל. ובשימושא רבה של תפלין כתוב צורת' דשי"ן דימינא ג' רישין ודשמאלא ד' רישין ואי אפיך לית לן בה. ומורי הרב רבינו יהודה החסיד ב' [לטטפת ב'] לטוטפות ב' לטוטפות ב' הרי שש ולזכרון א' הרי שבע אלו שבע חוליות. ג' בשין אחד. וד' בשי"ן שניה. וזה לשון מורי הרב רבינו שמחה עושה בדופני בתים החיצונים הרואים את האויר. מצד בית שמאל המניח שבו פרשת קדש קומטין העור כמין שין שיש בה שני יודין כזה  ומצד ימין ביו"ד אחד כזה . ויש שקובעין הבית בדפוס ועליו חקוק שי"ן בולטת ודוחקין עוד הבית על הדפוס והיא נעשית כיון ויש לה תואר שי"ן בחוליותיה ובזיונה יותר משי"ן מקומטת בעור והשי"ן בולטת כעין ציץ. דתניא פ"ב דגיטין לא הי' כתבו שוקע אלא בולט ואפי' גואי ורושמו מחרץ חריץ דלא הוה כתב לענין גט משום דכתיב בי' וכתב והאי ממילא. אבל שי"ן של תפלין (דק) [דיו] שתהא עשוי' בכל ענין בין ממילא בין בידים מסתבר דמהני. וכש"כ שדוחק מאבראי ובולט מגואי כמין ציץ דאפי' גבי גט הוי כתב בפ"ב דגיטין ומאן לימא לן שאם היו הבתים לבנים אם כתב השינ"ין דלא הוה מהני אלא כיון דהלכתא גמירי לה אין לנו אלא בקבלת זקנים שהם פירשו וגם תפליהן השי"ן שלהם עשוי מקמטין של עור. ודילמא הכי גמירי לה עכ"ל. אמר אביי שי"ן של תפלין הל"מ וצריך שיגיע החריץ למקום התפר. רב דימי מנהרדעא אמר כיון דמינכר לא צריך. פי' רבינו אליקים וצריך שיגיע חריץ שמבית לבית עד מקום התפר שהיא תיתורא. ר"ל דקאי אדלעיל דתניא גבי בתים ואם אין חריצן ניכר פסולות ואתי אביי לומר דבעי' שיהא מגיע עד מקום התפר של תיתורא. ורב דימי מנהרדעא אמר כיון דמנכר דאיכא חריץ לא צריך טפי. ואין נראה זה למורי ה"ר שמחה דא"כ ה"ל לאפלוגי לעיל אברייתא של בתים והכא בשי"ן מיירי. ונראה לו לפרש דאביי אחריץ של שי"ן קאי דחריץ של שין שהוא מקומט אותו חריץ תחתיתו של שין צריך שיגיע למקום התפר ופי' מורי ה"ר שמחה דלכתחלה עבדינן כאביי ובדיעבד לא פסלינן כרב דימי מנהרדעא: 	ואמר רב חננאל אמר רב תיתורא דתפילין הלכה למשה מסיני אמר אביי מעברתא דתפילין הלכה למשה מסיני ואמר אביי שי"ן של תפילין הלכה למשה מסיני
Ohr Zarua, Volume I 564:1<d>	Menachot 2b:16	רצועות שחורות 	רצועות שחורות 	א"ל מעשיה מוכיחין דקאמר ר"ש סברא היא דר"ש דריש טעמא דקרא
Ohr Zarua, Volume I 564:2<d>	Menachot 35a:6	אמר ר' יצחק רצועות שחורות הל"מ	<b>אמר </b>ר' יצחק רצועות שחורות הל"מ. ומסקנא דה"מ מבחוץ בעי' שיהיו רצועות שחורות אבל מבפנים כלפי הראש יכולות להיות בין שחורות בין ירוקות בין לבנות אבל לא אדומות (אבל) כלפי הראש משום דזמנין דמתהפכי לי' ואיכא גנאי ודבר אחר. איכא גנאי שמא יאמרו חטטין יש לו בראשו ומחמת זה האדימה הרצועה א"נ גנאי שנראה בתכשיטי אשה. ואיכא ד"א שמא נדה בעל א"נ צרעת בראשו. והא דקתני בברייתא תפלין אין קושרין אותו אלא במינו. פי' רבינו אליקים אלא במינם ברצועות של עור. לפי פירושו נוכל לומר דלא קפיד תנא אלא שלא יעשה רצועות כלשונות של ארגמן כהורקנוס בנו של ר' אליעזר בן הורקנוס רק שיהיו של עור אע"פ שאינם צבועים בצבע הבתים. ונוכל לומר שאין לעשות הבתים אלא בעור שחור אבל רצועות יכול לעשות אפי' לבנות אפי' ירוקות ורבינו שמשון ב"ר אברהם משנ"ץ זצ"ל כתב יש שעושין בתים של תפלין מקלף לבן דלא אמרו חכמים שחורות אלא רצועות. ומורי ה"ר שמחה כתב ומסקי' ה"מ מבחוץ אבל מבפנים מצוה לצבען מין צבע שהבתים צבועים בו אם שחורות אם לבנות או ירוקות אדומות לא יעשה מפני גנאי ודבק אחר ושמעי' מינה דעור בתים יצבע כל מין צבע שירצה לבד מאדום ועכשיו שנהגו בבתים שחורים מצוה להשחיר הרצועות בין בפנים בין בחוץ עכ"ל. ואיני מבין דקדוק שלו דלא קפיד תנא אלא אמין עור כדפריש': 	א"ר יצחק רצועות שחורות הלכה למשה מסיני מיתיבי תפילין אין קושרין אותן אלא במינן בין ירוקות בין שחורות בין לבנות אדומות לא יעשה מפני גנאי ודבר אחר
Ohr Zarua, Volume I 565:1<d>	Menachot 35a:11	תפלין מרובעות 	תפלין מרובעות 	תנא תפילין מרובעות הלכה למשה מסיני אמר רב פפא בתפרן ובאלכסונן
Ohr Zarua, Volume I 565:2<d>	Menachot 35a:11	תנא תפלין מרובעות הל"מ אמר רבא בתפרן ובאלכסונן	<b>תנא </b>תפלין מרובעות הל"מ אמר רבא בתפרן ובאלכסונן ופי' רבינו אליקים התפירה שתחת הבתים צריך שיעשה אותן מרובעות שיש להם אלכסון ולא עגולות. כתב רבינו שמשון בר אברהם משנץ. יש שאין מרבעין אלא מקום מושבן ושמא צריך הבתים מרובעים של ראש כשארבעתן דבוקות וכן בית של יד. וקצת הי' נראה דלא קאי מרובעות אלא אתפרן ובאלכסונן. כמו שמפרש רבא עכ"ל. ואם עשה תפילין עגולה אין בה מצוה וסכנה יש שנושא שם הקדוש שלא כהלכתו ואם עשאן מרובעות אלא שבולטין מלמטה כי אמגוזא יש סכנה פן ינקרו את מוחו: 	תנא תפילין מרובעות הלכה למשה מסיני אמר רב פפא בתפרן ובאלכסונן
Ohr Zarua, Volume I 566:1<d>	Menachot 35b:8	דלת של תפלין 	דלת של תפלין 	(דברים כח, י) וראו כל עמי הארץ כי שם ה' נקרא עליך ויראו ממך תניא ר"א הגדול אומר אלו תפילין שבראש (שמות לג, כג) והסרותי את כפי וראית את אחורי אמר רב חנא בר ביזנא אמר ר"ש חסידא מלמד שהראה לו הקב"ה למשה קשר של תפילין
Ohr Zarua, Volume I 566:2<d>	Menachot 35b:7	אמר רב יהודה ברי' דרב שמואל בר שילת	<b>אמר </b>רב יהודה ברי' דרב שמואל בר שילת משמי' דרב קשר של תפלין הלכה למשה מסיני. כתב מורי הרב רבינו שמחה כל הפי' מפרשים דקשר של אחורי עורף היינו דל"ת וליתא חדא דא"כ הל"ל הכי דל"ת של תפלין הל"מ כדא' אביי לעיל שי"ן של תפלין. ותו דאמר בפ' במה מדליקין אלא הא דתני רב יוסף לא הוכשרו למלאכת שמים אלא עור בהמה טהורה בלבד למאי הלכתא לתפלין. בהדיא כתיב בהו למען תהי' תורת ה' בפיך מן המותר בפיך. אלא לעורן והא אמר אביי שי"ן של תפלין הלכה למשה מסיני. ותיפוק לי' דבעי' מן המותר בפיך משום שי"ן עד דמסיק אלא לרצועותיהן. ולא פריך רצועותיהן נמי תיפוק לי' משום דל"ת שבהן דבעינ' מן המותר בפיך וכן בפ' במה אשה פרכי' הרי תפלין דמחופין עור ומשני שאני תפלין משום שי"ן אבל בשום ספר לא תמצא משום דל"ת אלא אין לו תבנית דל"ת. ופי' קשר של תפלין שלאחורי עורף לא תאמר רשות הוא אם רוצה להניח הרצועות בלא קשר או לשנות הקשר שפיר דמי אלא הל"מ שצריך לקושרו ובפ' המוציא תפלין דעניב להו כעין קשר דידהו אלמא דמשונה קשר דידהו משאר קשרים וגם אין לשנותו מקבלה שבידינו עכ"ל. ואיני מבין ההיא דפ' במה אשה אינה דאי' שכשתירץ שאני תפלין משום שי"ן איכא למימר דנקט שי"ן וה"ה לדל"ת ולשון רש"י משמע הכי דל"ד נקט שי"ן אלא ה"ה לדל"ת ויו"ד. שפי' התם משום שי"ן שעשוי' מעור החיצון עצמו קומט בו שלשה קמטין בעין שי"ן משד"י והד' [והיו"ד] עשוי' בקשר שקושר הרצועה [אחת לצפון ואחת למזרח] כמין דל"ת ורצועה קטנה מאוד תלוי' בה ואין בה אלא כדי כפיפה במין יו"ד וכופאה בעוד העור לח עכ"ל. מדפי' נמי דל"ת יו"ד משמע שר"ל הא דנקט שי"ן ל"ד אלא ה"ה משום דל"ת (ושין) [ויוד] וההיא דפ' המוצא תפלין דמסיק דעניב להו כעין קשירה דידהו משם אין לומר שהיו קשורים משונים זה מזה. אלא ה"פ שקשר כמין דל"ת ועשה עניבה שלא הידק לגמרי. מיהו ההיא דפ' במה מדליקין ודאי ראי' הגונה דכי מסיק נהי דגמירי שחורות טהורות מי גמירי (אלא) ודאי משמע דאין בקשר זה תבנית דל"ת ואין בה דין אות גמורה. וכ"כ רבינו שמשון ב"ר אברהם משנ"ץ ונראה דדל"ת ויו"ד שברצועות לאו אותיות גמורות הן ולא חשיבי (משי"ן) [מן השם] של שד"י מדחשיב להו פ' בתרא דמגילה תשמישי קדושה ולא הן עצמן קדושה. דת"ר תשמישי מצוה נזרקין. תשמישי קדושה נגנזין. אלו הן תשמישי מצוה סוכה ולולב ציצית ושופר. ואלו הן תשמישי קדושה דלוסקמי ספרים ומזוזות. ותיק של ספר תורה ונרתק של תפלין ורצועותיהן ובשום דוכתא לא קרי להו אלא קשר של תפלין וה"ט שאין דומות אותיות כלל אלא כמין קשר בעלמא והא דאמר וראו כל עמי הארץ כי שם ה' נקרא עליך ויראו ממך תני ר' אליעזר הגדול אומר אלו תפלין של ראש לא כמו שפרש"י מפני שכתוב עליהן רוב השם שי"ן ודל"ת דדל"ת לאו אות היא כדפי' אלא משום דנראים יותר משל יד דעל ש"י אמר לקמן לך לאות ולא לאחר לאות. ואע"פ שפירשנו דקשר שברצועות אין זה דל"ת אעפ"כ אין לשנות מקשר זה שאם שינה פסל דהכי גמיר הלכ' למשה מסיני: 	אמר רב יהודה בריה דרב שמואל בר שילת משמיה דרב קשר של תפילין הלכה למשה מסיני אמר ר"נ ונוייהן לבר רב אשי הוה יתיב קמיה דמר זוטרא איתהפכא ליה רצועה דתפילין א"ל לא סבר לה מר ונוייהן לבר א"ל לאו אדעתאי
Ohr Zarua, Volume I 567:1<d>	NULL	רצועה של תפלין שנפסקה אם מותר לתופרה 	רצועה של תפלין שנפסקה אם מותר לתופרה 	NULL
Ohr Zarua, Volume I 567:2<d>	Menachot 35b:2	אביי הוה יתיב קמי' דרב יוסף	<b>אביי </b>הוה יתיב קמי' דרב יוסף. אפסיק לי' רצועה דתפלי א"ל מהו למקטרי' א"ל וקשרתם קשירה תמה פי' שלא יהא שום פיסוק ברצועה והאי מכיון דאפסיק תו לא הוה קשירה תמה. א"ל (רבא) [רב אחא] ברי' דרב יוסף לרב אשי מהו למתפרה ועיולי לתפירה לגאו. פי' שלא תראה והוי כקשירה תמה א"ל פוק חזי מה עמא דבר. פי' רבינו אליקים פוק חזי שאין נוהגין לתפור הרצועות כלומר קח אחרות ועשה קשירה תמה. וכן פירש"י לחומרא ור"ת זצ"ל פי' לקולא כי ההיא פ"ק דעירובין גבי הילמי ולחיין וכן בסוף פ' כיצד מברכין. ואמר בירושלמי דמגילה ר' ירמיה אפסקא לי' רצועה דתפלי. שאל לר' אבא בר ממל א"ל וקשרתם אף קשירה תהא תמה. ר' זעירא אפסק' גידא דרצועי שאל לרב הונא ורב קטינא ושרון לי' אפסק זמן תניינות ושרון לי' ולאו מן אולפנא. משמע בהדיא כפי' ר"ת שיכול לתפור הרצועות. ואפי' נפסק הגיד בתרי זימני שרי ור' אבא בר ממל שאסר לר' ירמי' היינו בקשירה כדקא' נמי הכי מהו למקטרי' ואסר משום קשירה תמה. והא דקאמר ולאו מן אולפנא היינו שלא היתה קבלה בידו אלא מסברא התיר. ומורי ה"ר שמחה כמו כן פי' מאי עמא דבר לקולא בההי' דירושלמי דפ"ז דפאה כל הלכה שרופפת בב"ד ואי אתה יודע מה יבה צא וראה האיך הצבור נוהג ונהוג ואנן חמי צבורא דלא מפרשין. פי' אפירות דבעי קאי דלא מפרשין מנייהו מעשר כלו' בין להקל בין להחמיר חזי מה עמא דבר: 	אביי הוה יתיב קמיה דרב יוסף איפסיק ליה רצועה דתפילי א"ל מהו למיקטריה א"ל וקשרתם כתיב שתהא קשירה תמה
Ohr Zarua, Volume I 568:1<d>	NULL	שיעור הרצועות 	שיעור הרצועות 	NULL
Ohr Zarua, Volume I 568:2<d>	NULL	י"א דמצות שיעור רוחב הרצועות יותר מבחטה ופחות	<b>י"א </b>דמצות שיעור רוחב הרצועות יותר מבחטה ופחות מכשעורה ואם יותר כשר. ומורי הרב רבינו יהודה החסיד זצוק"ל כתב רפאות תהי לשריך (לשוררך לא א') [לשון] שרוך של תפלין עד הטבור. שקוי (מלמד שקוי) [לעצמותיך לשון מדה] פי' מדת רוחב השרוך רצועות תפלין לעצמותיך כשעורה שיעור אדם לענין טומאה לפיכך ועצמותיך יחליץ עכ"ל#. ולענין אורך הרצועות אמר וכמה שיעורייהו פי' כמה צריכות להיות עודפות על הקשר. אמר רמי בר חמא אמר רשב"ל עד אצבע צרדה. ומסקנא מדברי' דרבינא בי דידן. פי' רבינו אליקים לא ארוכות הרבה ולא קצרות הרבה אלא עד אצבע צרדה. ופי' נמי דכולה שמעתא מיירי בתפלה של ראש וכן מצוה מן המובחר לעשות רצועות שיהיו מגיעות עד אצבע צרדה. מיהו אם עשה פחות מכאן לא פסל כרב כהנא דמחוי כפוף. שהיה אומר שצריך שיהיו עודפות הרצועות על הקשר כשיעור אויר שבין אצבע לאמה כשפושטן ולהכי קרי לי' כפוף שאי אפשר להפרישו כ"כ זה מזה. ורב אשי מחוי פשוט כשיעור אויר שבין אצבע לאגודל כשפושטן. ולהכי קרי' לי' פשוט שיכול לפושטן הטיב דתרווייהו בין גודל בין אמה צרדה דאצבע נינהו. וי"מ עד אצבע צרדה שצריך לעשות רצועות ארוכות ממקום הנחתן עד אצבע צרדה. וכפוף היינו שכופף אצבעו. ומשער הרצועה עד שם. ופשוט היינו שמשער הרצועה ממקום הנחה עד [ראש אצבע פשוטה ובתפילין של ראש משערין הרצועות שתגיע ראש האחר עד טיבורו וראש שני עד] הלב. ושמא שום מדרש יש. לפי מה שפירשנו דמיירי ברצועות של תפלה של ראש א"כ יש שיעור. רצועות של יד לא אתפרש. ומורי הרב רבינו שמחה פי' דהאי שיעור בין לתפלה של ראש בין לתפלה של יד. ובערוך בערך צרדה פי' כתוב בילמדנו בסוף בא אל פרעה ושיעור רצועה ש"י אמר רשב"ל עד אצבע צרדה. ומאי אצבע צרדה פי' אצבע ארוכה. ועוד הביא בערוך דתניא בתוספתא איזו היא אצבע צרדה זו אצבע גדולה של ימין. ובקונטרס פי' דזו אצבע הסמוכה לאגודל. ור"א הקליר יסד כפי' הערוך בסילוק של פרשת שקלים. גיא וכל עפרה בצרדה הכילו. פי' משום דכתיב וכל בשליש עפר הארץ והיינו אצבע אמצעי שהוא שלישי. ובפ"ק דיומא גבי כה"ג שמכין לפניו באצבע צרדה. הדבר ידוע שא"א להשמיע קול אלא כשמכה באמצעי. לפ"ז מחוי פשוט היינו מאגודל עד אמה. וכפוף היינו מאצבע עד אמה. ובערך כף פי' דכפוף היינו מעיקר גודל עד ראש אצבע כשהן דבוקות זו בזו [ופשוט] מראש גודל עד ראש אצבע כשהן פשוטות. ובשימושא רבה של תפילין כתוב שעושין אותן רחבים כשתי אצבעות ואי עבדינהו טפי שפיר דמי ואי פחות לא מפסלי בהכי. וקיימא לן גירדומי רצועות פסולין: 	NULL
Ohr Zarua, Volume I 569:1<d>	NULL	נפסק עור של בתים 	נפסק עור של בתים 	NULL
Ohr Zarua, Volume I 569:2<d>	Menachot 35a:13	אמר רב הונא תפלין כ"ז שפני טבלא קיימות	<b>אמר </b>רב הונא תפלין כ"ז שפני טבלא קיימות כשירות ומסקנא אם נפסקה אחת מן הטבלאות דהיינו דופן הבתים כשירות ואם נפסקו שנים זה כנגד זה פסולות. י"מ כגון טבלא דפנימית של בית ראשון ואותה טבלא שני' הסמוכה בבית הסמוך לה ורואה אויר שלה. וי"מ אפי' בכה"ג כשירות [רק] שלא יהא הקרע מכוון זה כנגד זה כגון שנקרע בבית ראשון סמוך לגגו ודופן הסמוך לו נקרע למטה שאין הקרעים מכוונים. ורבינו שלמה פי' דכל חשוב זה כנגד זה אם לא שיהא בית שלם מפסיק ביניהן. ופי' זה לא מסתבר דא"כ מאי אצטריך למימר נפסקו שלש פסולות תיפוק לי' היכא דנפסקו שלש לא תמצא בית שלם בין כל קרע וקרע בד' בתים אלא בחמש ומוקמי' בחדתא ונפסקו מחמת קלקול העוד אבל נחלש העור מחמת יושן לית לן בה. ובפ' הקומץ מפרש היכי דמי חדתא וה"ד עתיקתא: 	אמר רב הונא תפילין כל זמן שפני טבלא קיימת כשירות רב חסדא אמר נפסקו שתים כשירות שלש פסולות
