Vocalized Punctuation,William Davidson Edition - Aramaic,Difference in word count
Sanhedrin 97a:2,"תָּנוּ רַבָּנַן: שָׁבוּעַ, שֶׁבֶּן דָּוִד בָּא בּוֹ, שָׁנָה רִאשׁוֹנָה מִתְקַיֵּים מִקְרָא זֶה: ""'וְהִמְטַרְתִּי עַל עִיר אֶחָת וְעַל עִיר אַחַת לֹא אַמְטִיר'"". שְׁנִיָּה — חִיצֵּי רָעָב מִשְׁתַּלְּחִים. שְׁלִישִׁית — רָעָב גָּדוֹל, וּמֵתִים אֲנָשִׁים וְנָשִׁים וָטַף חֲסִידִים וְאַנְשֵׁי מַעֲשֶׂה, וְתוֹרָה מִשְׁתַּכַּחַת מִלּוֹמְדֶיהָ. בִּרְבִיעִית — שׂוֹבַע וְאֵינוֹ שׂוֹבַע. בַּחֲמִישִׁית — שׂוֹבַע גָּדוֹל, וְאוֹכְלִין וְשׁוֹתִין וּשְׂמֵחִין, וְתוֹרָה חוֹזֶרֶת לְלוֹמְדֶיהָ. בְּשִׁשִּׁית — קוֹלוֹת, בִּשְׁבִיעִית — מִלְחָמוֹת. בְּמוֹצָאֵי שְׁבִיעִית — בֶּן דָּוִד בָּא.",תנו רבנן שבוע שבן דוד בא בו שנה ראשונה מתקיים מקרא זה ׳והמטרתי על עיר אחת ועל עיר אחת לא אמטיר׳ שניה חיצי רעב משתלחים שלישית רעב גדול ומתים אנשים ונשים וטף חסידים ואנשי מעשה ותורה משתכחת מלומדיה ברביעית שובע ואינו שובע בחמישית שובע גדול ואוכלין ושותין ושמחין ותורה חוזרת ללומדיה בששית קולות בשביעית מלחמות במוצאי שביעית בן דוד בא,-7
Menachot 76a:7,"מִסְתַּבְּרָא מִלַּחְמֵי תוֹדָה הֲוָה לֵיהּ לְמֵילַף. שֶׁכֵּן: יָחִיד. — הַמִּתְנַדֵּב. — שֶׁמֶן. — נִפְסָל, — שֶׁלֹּא בְּשַׁבָּת, — וְשֶׁלֹּא בְּטוּמְאָה. —",מסתברא מלחמי תודה הוה ליה למילף שכן יחיד המתנדב שמן נפסל שלא בשבת ושלא בטומאה,-6
Menachot 78b:11,"מְנָא הָנֵי מִילֵּי? — דְּתָנוּ ""רַבָּנַן עַל חַלּוֹת לֶחֶם חָמֵץ יַקְרִיב קׇרְבָּנוֹ עַל זֶבַח, — מְלַמֵּד שֶׁאֵין הַלֶּחֶם קָדוֹשׁ אֶלָּא אִם כֵּן קָרְמוּ ""פָּנֶיהָ בַּתַּנּוּר. — יַקְרִיב"" קׇרְבָּנוֹ עַל זֶבַח — מְלַמֵּד שֶׁאֵין הַלֶּחֶם ""קָדוֹשׁ אֶלָּא בִּשְׁחִיטַת הַזֶּבַח. זֶבַח תּוֹדַת — מְלַמֵּד שֶׁאִם שָׁחַט שֶׁלֹּא לִשְׁמָן — לֹא קָדַשׁ הַלֶּחֶם.",מנא הני מילי דתנו רבנן על חלות לחם חמץ יקריב קרבנו על זבח מלמד שאין הלחם קדוש אלא אם כן קרמו פניה בתנור יקריב קרבנו על זבח מלמד שאין הלחם קדוש אלא בשחיטת הזבח זבח תודת מלמד שאם שחט שלא לשמן לא קדש הלחם,-6
Makkot 7b:10,"אֶלָּא לְאֵיתוֹיֵי קַצָּב, הָכָא נָמֵי לְאֵיתוֹיֵי קַצָּב. דְּתַנְיָא: קַצָּב שֶׁהָיָה מְקַצֵּב, תָּנָא חֲדָא: לְפָנָיו — חַיָּיב, לְאַחֲרָיו — פָּטוּר. וְתַנְיָא אִידַּךְ: לְאַחֲרָיו — חַיָּיב, לְפָנָיו — פָּטוּר. וְתַנְיָא אִידַּךְ: בֵּין לְפָנָיו בֵּין לְאַחֲרָיו — חַיָּיב, וְתַנְיָא אִידַּךְ: בֵּין לְפָנָיו בֵּין לְאַחֲרָיו — פָּטוּר. וְלָא קַשְׁיָא.",אלא לאיתויי קצב הכא נמי לאיתויי קצב דתניא קצב שהיה מקצב תנא חדא לפניו חייב לאחריו פטור ותניא אידך לאחריו חייב לפניו פטור ותניא אידך בין לפניו בין לאחריו חייב ותניא אידך בין לפניו בין לאחריו פטור ולא קשיא,-6
Makkot 15b:3,"אֲמַר לֵיהּ: מַאי קָא אָמְרַתְּ? קִיֵּים — פָּטוּר, לֹא קִיֵּים — חַיָּיב, בִּיטֵּל — חַיָּיב, לֹא בִּיטֵּל — פָּטוּר! תְּנִי: בִּיטְּלוֹ, — וְלֹא בִּיטְּלוֹ. — וְרַבִּי שִׁמְעוֹן בֶּן לָקִישׁ אוֹמֵר: קִיְּימוֹ, — וְלֹא קִיְּימוֹ. —",אמר ליה מאי קא אמרת קיים פטור לא קיים חייב ביטל חייב לא ביטל פטור תני ביטלו ולא ביטלו ורבי שמעון בן לקיש אומר קיימו ולא קיימו,-8
Makkot 21a:15,"<strong><big>מַתְנִי'</big></strong> נָזִיר שֶׁהָיָה שׁוֹתֶה יַיִן כׇּל הַיּוֹם — אֵין חַיָּיב אֶלָּא אַחַת. אָמְרוּ ""לוֹ אַל"" תִּשְׁתֶּה, אַל תִּשְׁתֶּה, וְהוּא שׁוֹתֶה — חַיָּיב עַל כׇּל אַחַת וְאַחַת. הָיָה מִטַּמֵּא לְמֵתִים כׇּל הַיּוֹם — אֵינוֹ חַיָּיב אֶלָּא ""אַחַת, אָמְרוּ"" לוֹ אַל תִּטַּמֵּא, אַל תִּטַּמֵּא, וְהוּא מִטַּמֵּא — חַיָּיב עַל כׇּל אַחַת וְאַחַת. הָיָה מְגַלֵּחַ כׇּל הַיּוֹם — אֵינוֹ ""חַיָּיב אֶלָּא"" אַחַת, אָמְרוּ לוֹ אַל תְּגַלֵּחַ, אַל תְּגַלֵּחַ, וְהוּא מְגַלֵּחַ — חַיָּיב עַל כׇּל אַחַת וְאַחַת. ",מתני׳ נזיר שהיה שותה יין כל היום אין חייב אלא אחת אמרו לו אל תשתה אל תשתה והוא שותה חייב על כל אחת ואחת היה מטמא למתים כל היום אינו חייב אלא אחת אמרו לו אל תטמא אל תטמא והוא מטמא חייב על כל אחת ואחת היה מגלח כל היום אינו חייב אלא אחת אמרו לו אל תגלח אל תגלח והוא מגלח חייב על כל אחת ואחת,-7
Tamid 25b:1,,מתני׳ בשלשה מקומות הכהנים שומרים בבית המקדש בית אבטינס בית הניצוץ בית המוקד בבית אבטינס ובבית הניצוץ היו עליות הרובים שומרים שם ,22
Tamid 25b:2,,בית המוקד כיפה ובית הגדול היה מוקף רובדין של אבן זקני בית אב ישנים שם ומפתחות העזרה בידם ,18
Tamid 25b:3,,פרחי כהונה איש כסתו בארץ לא היו ישנים בבגדי קדש אלא היו פושטין ומניחין אותן תחת ראשיהם ומתכסין בכסות עצמן אירע קרי לאחד מהן יוצא והולך לו ,27
Tamid 30a:6,הָרֹאשׁ וְהָרֶגֶל שֶׁל יָמִין — וּשְׁתֵּי הַיָּדַיִם — הָעוֹקֶץ וְהָרֶגֶל שֶׁל שְׂמֹאל — הֶחָזֶה וְהַגֵּרָה: — וּשְׁתֵּי דְפָנוֹת — הַקְּרָבַיִים — וְהַסּוֹלֶת — וְהַחֲבִיתִּין וְהַיַּיִן. —,הראש והרגל של ימין ושתי הידים העוקץ והרגל של שמאל החזה והגרה ושתי דפנות הקרביים והסולת והחביתין והיין,-8
Bava Metzia 40b:15,"<strong><big>מַתְנִי'</big></strong> הַמַּפְקִיד חָבִית אֵצֶל חֲבֵירוֹ וְלֹא יִחֲדוּ לָהּ בְּעָלִים מָקוֹם, וְטִלְטְלָהּ וְנִשְׁתַּבְּרָה, אִם מִתּוֹךְ יָדוֹ נִשְׁבְּרָה: לְצוֹרְכּוֹ — חַיָּיב. לְצוֹרְכָּהּ, — פָּטוּר. אִם מִשֶּׁהִנִּיחָהּ נִשְׁבְּרָה, בֵּין לְצוֹרְכּוֹ בֵּין לְצוֹרְכָּהּ — פָּטוּר. יִחֲדוּ לָהּ הַבְּעָלִים מָקוֹם, וְטִלְטְלָהּ וְנִשְׁבְּרָה, בֵּין מִתּוֹךְ יָדוֹ וּבֵין מִשֶּׁהִנִּיחָהּ, לְצוֹרְכּוֹ — חַיָּיב, לְצוֹרְכָּהּ — פָּטוּר. ",מתני׳ המפקיד חבית אצל חבירו ולא יחדו לה בעלים מקום וטלטלה ונשתברה אם מתוך ידו נשברה לצורכו חייב לצורכה פטור אם משהניחה נשברה בין לצורכו בין לצורכה פטור יחדו לה הבעלים מקום וטלטלה ונשברה בין מתוך ידו ובין משהניחה לצורכו חייב לצורכה פטור,-6
Bava Metzia 43a:2,"<strong><big>מַתְנִי'</big></strong> הַמַּפְקִיד מָעוֹת אֵצֶל שׁוּלְחָנִי, אִם צְרוּרִין — לֹא יִשְׁתַּמֵּשׁ בָּהֶן, לְפִיכָךְ אִם אָבְדוּ — אֵינוֹ חַיָּיב בְּאַחְרָיוּתָן. מוּתָּרִין — יִשְׁתַּמֵּשׁ בָּהֶן, לְפִיכָךְ אִם אָבְדוּ חַיָּיב בְּאַחְרָיוּתָן. אֵצֶל בַּעַל הַבַּיִת, בֵּין צְרוּרִין וּבֵין מוּתָּרִין — לֹא יִשְׁתַּמֵּשׁ בָּהֶן. לְפִיכָךְ אִם אָבְדוּ — אֵינוֹ חַיָּיב בְּאַחְרָיוּתָן. חֶנְוָנִי כְּבַעַל הַבַּיִת, דִּבְרֵי רַבִּי מֵאִיר. רַבִּי יְהוּדָה אוֹמֵר: חֶנְוָנִי כַּשּׁוּלְחָנִי ",מתני׳ המפקיד מעות אצל שולחני אם צרורין לא ישתמש בהן לפיכך אם אבדו אינו חייב באחריותן מותרין ישתמש בהן לפיכך אם אבדו חייב באחריותן אצל בעל הבית בין צרורין ובין מותרין לא ישתמש בהן לפיכך אם אבדו אינו חייב באחריותן חנוני כבעל הבית דברי רבי מאיר רבי יהודה אומר חנוני כשולחני,-6
Bava Metzia 55b:3,"<strong><big>מַתְנִי'</big></strong> חֲמִשָּׁה חוּמְשִׁין, הֵן אֵלּוּ: הֵן הָאוֹכֵל, תְּרוּמָה וּתְרוּמַת, מַעֲשֵׂר וּתְרוּמַת מַעֲשֵׂר שֶׁל, דְּמַאי וְהַחַלָּה וְהַבִּכּוּרִים — מוֹסִיף חוֹמֶשׁ. וְהַפּוֹדֶה נֶטַע רְבָעִי, וּמַעֲשֵׂר שֵׁנִי שֶׁלּוֹ — מוֹסִיף חוֹמֶשׁ. הַפּוֹדֶה אֶת הֶקְדֵּשׁוֹ — מוֹסִיף חוֹמֶשׁ, הַנֶּהֱנֶה שָׁוֶה פְּרוּטָה מִן הַהֶקְדֵּשׁ — מוֹסִיף חוֹמֶשׁ, וְהַגּוֹזֵל אֶת חֲבֵירוֹ שָׁוֶה פְּרוּטָה וְנִשְׁבַּע לוֹ — מוֹסִיף חוֹמֶשׁ. ",מתני׳ חמשה חומשין הן אלו הן האוכל תרומה ותרומת מעשר ותרומת מעשר של דמאי והחלה והבכורים מוסיף חומש והפודה נטע רבעי ומעשר שני שלו מוסיף חומש הפודה את הקדשו מוסיף חומש הנהנה שוה פרוטה מן ההקדש מוסיף חומש והגוזל את חבירו שוה פרוטה ונשבע לו מוסיף חומש,-6
Bava Metzia 77b:7,"רָצָה — אוֹמֵר ""לוֹ תֵּן לִי מְעוֹתַי אוֹ, ""תֵּן לִי קַרְקַע כְּנֶגֶד מְעוֹתַי"". מֵהֵיכָן מַגְבֵּיהוּ — מִן הָעִידִּית. וּבִזְמַן שֶׁלּוֹקֵחַ חוֹזֵר בּוֹ — יַד מוֹכֵר עַל הָעֶלְיוֹנָה, רָצָה — אוֹמֵר לוֹ: הֵילָךְ מְעוֹתֶיךָ, רָצָה — אוֹמֵר הֵילָךְ קַרְקַע כְּנֶגֶד מְעוֹתֶיךָ. מֵהֵיכָן מַגְבֵּיהוּ — מִן הַזִּיבּוּרִית.",רצה אומר לו תן לי מעותי או תן לי קרקע כנגד מעותי מהיכן מגביהו מן העידית ובזמן שלוקח חוזר בו יד מוכר על העליונה רצה אומר לו הילך מעותיך רצה אומר הילך קרקע כנגד מעותיך מהיכן מגביהו מן הזיבורית,-6
Bava Metzia 78a:5,"<strong><big>מַתְנִי'</big></strong> הַשּׂוֹכֵר אֶת הַחֲמוֹר לְהוֹלִיכוֹ בָּהָר וְהוֹלִיכוֹ בַּבִּקְעָה, בַּבִּקְעָה וְהוֹלִיכוֹ בָּהָר, אֲפִילּוּ זוֹ עֶשֶׂר מִילִין וְזוֹ עֶשֶׂר מִילִין, וּמֵתָה — חַיָּיב. הַשּׂוֹכֵר אֶת הַחֲמוֹר לְהוֹלִיכָהּ בָּהָר וְהוֹלִיכָה בַּבִּקְעָה, אִם הֶחְלִיקָה — פָּטוּר, וְאִם הוּחֲמָה, — חַיָּיב. לְהוֹלִיכָהּ בַּבִּקְעָה וְהוֹלִיכָה בָּהָר, אִם הֶחְלִיקָה — חַיָּיב, וְאִם הוּחַמָּה — פָּטוּר, אִם מֵחֲמַת הַמַּעֲלָה — חַיָּיב. ",מתני׳ השוכר את החמור להוליכו בהר והוליכו בבקעה בבקעה והוליכו בהר אפילו זו עשר מילין וזו עשר מילין ומתה חייב השוכר את החמור להוליכה בהר והוליכה בבקעה אם החליקה פטור ואם הוחמה חייב להוליכה בבקעה והוליכה בהר אם החליקה חייב ואם הוחמה פטור אם מחמת המעלה חייב,-7
Bava Metzia 89b:9,"אֶלָּא אָמַר רָבָא: בֵּין בָּאָרֶץ בֵּין בְּחוּצָה לָאָרֶץ, חֲדָא — לָא קִבְעָא סְפֵיתָא, תַּרְתֵּי — קְבַעָא סְפֵיתָא. קָצַץ, בֵּין סָפַת וּבֵין לֹא סָפַת, אַחַת אַחַת — אוֹכֵל, שְׁתַּיִם שְׁתַּיִם — לֹא יֹאכַל. לֹא קָצַץ וְלֹא סָפַת — אוֹכֵל שְׁתַּיִם שְׁתַּיִם, סָפַת, אַחַת אַחַת — אוֹכֵל, שְׁתַּיִם שְׁתַּיִם — לֹא יֹאכַל, וְאַף עַל גַּב דְּנָטַל רְשׁוּת מִבַּעַל הַבַּיִת. דְּאִיטְּבִיל לְהוּ לְמַעֲשֵׂר, וְקָבְעָא סְפִיתָא.",אלא אמר רבא בין בארץ בין בחוצה לארץ חדא לא קבעא ספיתא תרתי קבעא ספיתא קצץ בין ספת ובין לא ספת אחת אחת אוכל שתים שתים לא יאכל לא קצץ ולא ספת אוכל שתים שתים ספת אחת אחת אוכל שתים שתים לא יאכל ואף על גב דנטל רשות מבעל הבית דאיטביל להו למעשר וקבעא ספיתא,-7
Bava Metzia 103a:10,"<strong><big>מַתְנִי'</big></strong> הַמַּשְׂכִּיר בַּיִת לַחֲבֵירוֹ וְנָפַל — חַיָּיב לְהַעֲמִיד לוֹ בַּיִת. הָיָה קָטָן — לֹא יַעֲשֶׂנּוּ גָּדוֹל, גָּדוֹל — לֹא יַעֲשֶׂנּוּ קָטָן. אֶחָד — לֹא יַעֲשֶׂנּוּ שְׁנַיִם, שְׁנַיִם — לֹא יַעֲשֶׂנּוּ אֶחָד. לֹא יִפְחוֹת מִן הַחַלּוֹנוֹת וְלֹא יוֹסִיף עֲלֵיהֶם אֶלָּא מִדַּעַת שְׁנֵיהֶם. ",מתני׳ המשכיר בית לחבירו ונפל חייב להעמיד לו בית היה קטן לא יעשנו גדול גדול לא יעשנו קטן אחד לא יעשנו שנים שנים לא יעשנו אחד לא יפחות מן החלונות ולא יוסיף עליהם אלא מדעת שניהם,-6
Bava Metzia 117b:11,"בִּכְפִיסִין — אֵין שׁוֹמְעִין לוֹ, בִּלְבֵנִים — שׁוֹמְעִין לוֹ. בַּאֲרָזִים — אֵין שׁוֹמְעִין לוֹ, בְּשִׁקְמָה — שׁוֹמְעִין לוֹ. לְרַבּוֹת בְּחַלּוֹנוֹת — שׁוֹמְעִין לוֹ. לְמַעֵט בְּחַלּוֹנוֹת — אֵין שׁוֹמְעִין לוֹ. לְהַגְבִּיהַּ — אֵין שׁוֹמְעִין לוֹ, לְמַעֵט — שׁוֹמְעִין לוֹ.",בכפיסין אין שומעין לו בלבנים שומעין לו בארזים אין שומעין לו בשקמה שומעין לו לרבות בחלונות שומעין לו למעט בחלונות אין שומעין לו להגביה אין שומעין לו למעט שומעין לו,-8
Chullin 19b:12,"<strong><big>מַתְנִי'</big></strong> הַשּׁוֹחֵט מִן הַצְּדָדִין — שְׁחִיטָתוֹ כְּשֵׁרָה, הַמּוֹלֵק מִן הַצְּדָדִין — מְלִיקָתוֹ פְּסוּלָה. הַשּׁוֹחֵט מִן הָעוֹרֶף — שְׁחִיטָתוֹ פְּסוּלָה, הַמּוֹלֵק מִן הָעוֹרֶף — מְלִיקָתוֹ כְּשֵׁירָה. הַשּׁוֹחֵט מִן הַצַּוָּאר — שְׁחִיטָתוֹ כְּשֵׁרָה, הַמּוֹלֵק מִן הַצַּוָּאר — מְלִיקָתוֹ פְּסוּלָה. שֶׁכׇּל הָעוֹרֶף כָּשֵׁר לִמְלִיקָה, וְכׇל הַצַּוָּאר כָּשֵׁר לִשְׁחִיטָה. נִמְצָא, כָּשֵׁר בִּשְׁחִיטָה פָּסוּל בִּמְלִיקָה, כָּשֵׁר בִּמְלִיקָה פָּסוּל בִּשְׁחִיטָה. ",מתני׳ השוחט מן הצדדין שחיטתו כשרה המולק מן הצדדין מליקתו פסולה השוחט מן העורף שחיטתו פסולה המולק מן העורף מליקתו כשירה השוחט מן הצואר שחיטתו כשרה המולק מן הצואר מליקתו פסולה שכל העורף כשר למליקה וכל הצואר כשר לשחיטה נמצא כשר בשחיטה פסול במליקה כשר במליקה פסול בשחיטה,-7
Chullin 22b:4,"אֵימָא: בְּנֵי יוֹנָה דִּכְתַב בְּהוּ רַחֲמָנָא ""בְּנֵי"": קְטַנִּים — אִין, גְּדוֹלִים — לָא, תּוֹרִים, — אִי בָּעֵי גְּדוֹלִים לַיְיתֵי אִי בָּעֵי קְטַנִּים לַיְיתֵי! דֻּומְיָא דִּבְנֵי יוֹנָה: מָה בְּנֵי יוֹנָה, קְטַנִּים — אִין, גְּדוֹלִים — לָא, אַף תּוֹרִים, גְּדוֹלִים — אִין, קְטַנִּים — לָא.",אימא בני יונה דכתב בהו רחמנא בני קטנים אין גדולים לא תורים אי בעי גדולים לייתי אי בעי קטנים לייתי דומיא דבני יונה מה בני יונה קטנים אין גדולים לא אף תורים גדולים אין קטנים לא,-7
Chullin 25a:12,"<strong><big>גְּמָ'</big></strong> תָּנוּ רַבָּנַן: גּוֹלְמֵי כְּלִי עֵץ, — טְמֵאִין. פְּשׁוּטֵיהֶן, — טְהוֹרִין. גּוֹלְמֵי כְּלֵי מַתָּכוֹת, — טְהוֹרִין, פְּשׁוּטֵיהֶן — טְמֵאִין. נִמְצָא טָהוֹר בִּכְלֵי עֵץ — טָמֵא בִּכְלֵי מַתָּכוֹת, טָהוֹר בִּכְלֵי מַתָּכוֹת — טָמֵא בִּכְלֵי עֵץ. ",גמ׳ תנו רבנן גולמי כלי עץ טמאין פשוטיהן טהורין גולמי כלי מתכות טהורין פשוטיהן טמאין נמצא טהור בכלי עץ טמא בכלי מתכות טהור בכלי מתכות טמא בכלי עץ,-7
Chullin 42b:7,"וְהָאִיכָּא שַׁב שְׁמַעְתָּתָא! — דְּאָמַר רַב מַתְנָא: הַאי בּוּקָא דְּאַטְמָא דְּשַׁף מִדּוּכְתֵּיהּ — טְרֵפָה. וְאָמַר — רָכִישׁ בַּר פָּפָּא מִשְּׁמֵיהּ דְּרַב לָקְתָה בְּכוּלְיָא אַחַת — טְרֵפָה. וּתְנַן — נִיטַּל הַטְּחוֹל — כְּשֵׁרָה, וְאָמַר רַב עַוִּירָא מִשְּׁמֵיהּ דְּרָבָא: לֹא שָׁנוּ אֶלָּא נִיטַּל, אֲבָל נִיקַּב — טְרֵפָה. —",והאיכא שב שמעתתא דאמר רב מתנא האי בוקא דאטמא דשף מדוכתיה טרפה ואמר רכיש בר פפא משמיה דרב לקתה בכוליא אחת טרפה ותנן ניטל הטחול כשרה ואמר רב עוירא משמיה דרבא לא שנו אלא ניטל אבל ניקב טרפה ,-7
Chullin 51b:15,"כִּיתָּנָא דַּעֲבִיד בְּטוּנֵי — חָיְישִׁינַן. דְּהַאי גִּיסָא וּדְהַאי גִּיסָא, — לָא חָיְישִׁינַן. אִסּוּרְיָיתָא — חָיְישִׁינַן. כִּיתָּנָא דִּדְיִיק וּנְפִיץ — לָא חָיְישִׁינַן. דְּיִיק וְלָא נְפִיץ — חָיְישִׁינַן. דַּעֲבִיד בִּיזְרֵי, כֵּיוָן דְּאִיכָּא בֵּיהּ קִטְרֵי — חָיְישִׁינַן. דַּקְתָּא, — חָיְישִׁינַן. דַּקְדַּקְתָּא — לָא חָיְישִׁינַן.",כיתנא דעביד בטוני חיישינן דהאי גיסא ודהאי גיסא לא חיישינן אסורייתא חיישינן כיתנא דדייק ונפיץ לא חיישינן דייק ולא נפיץ חיישינן דעביד ביזרי כיון דאיכא ביה קטרי חיישינן דקתא חיישינן דקדקתא לא חיישינן ,-7
Chullin 52a:2,"חִיטֵּי וְכֹל דְּמִינַיְיהוּ, — חָיְישִׁינַן, שְׂעָרֵי וְכֹל דְּמִינַיְיהוּ — חָיְישִׁינַן. כׇּל מִינֵי קִטְנִיּוֹת — אֵין בָּהֶם מִשּׁוּם רִיסּוּקֵי אֵבָרִים, לְבַר מִן רוּבְּיָא. חִימְצֵי — אֵין בּוֹ מִשּׁוּם רִיסּוּק אֵבָרִים, חִפְצֵי — יֵשׁ בּוֹ מִשּׁוּם רִיסּוּק אֵבָרִים. כְּלָלָא דְּמִלְּתָא: כֹּל מִידֵּי דְּמַשְׁרֵיק — אֵין בּוֹ מִשּׁוּם רִיסּוּק אֵבָרִים, לָא מַשְׁרֵיק — יֵשׁ בּוֹ מִשּׁוּם רִיסּוּק אֵבָרִים.",חיטי וכל דמינייהו חיישינן שערי וכל דמינייהו חיישינן כל מיני קטניות אין בהם משום ריסוקי אברים לבר מן רוביא חימצי אין בו משום ריסוק אברים חפצי יש בו משום ריסוק אברים כללא דמלתא כל מידי דמשריק אין בו משום ריסוק אברים לא משריק יש בו משום ריסוק אברים ,-6
Chullin 76a:16,"אַשּׁוּנֵי — הָווּ צוֹמֶת הַגִּידִים, רַכִּיכֵי — לָא הָווּ צוֹמֶת הַגִּידִים אַלִּימֵי — הָווּ צוֹמֶת הַגִּידִים, קַטִּינֵי — לָא הָווּ צוֹמֶת הַגִּידִים חִוּוֹרֵי — הָווּ צוֹמֶת הַגִּידִים, לָא חִוּוֹרֵי — לָא הָווּ צוֹמֶת הַגִּידִים.",אשוני הוו צומת הגידים רכיכי לא הוו צומת הגידים אלימי הוו צומת הגידים קטיני לא הוו צומת הגידים חוורי הוו צומת הגידים לא חוורי לא הוו צומת הגידים,-6
Chullin 93b:4,"אָמַר מָר בַּר רַב אָשֵׁי: הָנֵי בֵּיעֵי דְּגַדְיָא, עַד תְּלָתִין יוֹמִין — שַׁרְיָין בְּלָא קְלִיפָה. מִכָּאן וְאֵילָךְ, אִי אזַרְעָן — אֲסוּרִין, וְאִי לָא אזַרְעָן — שַׁרְיָין. מְנָא יָדְעִינַן? — אִי אִית בְּהוּ שׁוּרְיָיקֵי סוּמָּקֵי — אֲסִירָן, לֵית בְּהוּ שׁוּרְיָיקֵי סוּמָּקֵי — שַׁרְיָין.",אמר מר בר רב אשי הני ביעי דגדיא עד תלתין יומין שריין בלא קליפה מכאן ואילך אי אזרען אסורין ואי לא אזרען שריין מנא ידעינן אי אית בהו שורייקי סומקי אסירן לית בהו שורייקי סומקי שריין,-6
Horayot 5a:2,"הוֹרוּ בֵּית דִּין וְעָשׂוּ שִׁבְעָה שְׁבָטִים אוֹ רוּבָּן עַל פִּיהֶן — מְבִיאִין פַּר, וּבַעֲבוֹדָה זָרָה — מְבִיאִין פַּר וְשָׂעִיר, דִּבְרֵי רַבִּי מֵאִיר. רַבִּי יְהוּדָה אוֹמֵר: שִׁבְעָה שְׁבָטִים שֶׁחָטְאוּ — מְבִיאִין שִׁבְעָה פָּרִים, וּשְׁאָר שְׁבָטִים שֶׁלֹּא חָטְאוּ — מְבִיאִין עַל יְדֵיהֶן פַּר, שֶׁאַף אֵלּוּ שֶׁלֹּא חָטְאוּ מְבִיאִין עַל יְדֵי חוֹטְאִין. רַבִּי שִׁמְעוֹן אוֹמֵר: — שְׁמוֹנָה פָּרִים, וּבַעֲבוֹדָה זָרָה — שְׁמוֹנָה פָּרִים וּשְׁמוֹנָה שְׂעִירִים, פַּר וְשָׂעִיר לְכׇל שֵׁבֶט וְשֵׁבֶט, פַּר וְשָׂעִיר לְבֵית דִּין.",הורו בית דין ועשו שבעה שבטים או רובן על פיהן מביאין פר ובעבודה זרה מביאין פר ושעיר דברי רבי מאיר רבי יהודה אומר שבעה שבטים שחטאו מביאין שבעה פרים ושאר שבטים שלא חטאו מביאין על ידיהן פר שאף אלו שלא חטאו מביאין על ידי חוטאין רבי שמעון אומר שמונה פרים ובעבודה זרה שמונה פרים ושמונה שעירים פר ושעיר לכל שבט ושבט פר ושעיר לבית דין,-6
Horayot 5a:5,"""אֲשֶׁר חָטְאוּ"", חָטְאוּ שְׁנֵי שְׁבָטִים — מְבִיאִין שְׁנֵי פָרִים, חָטְאוּ שְׁלֹשָׁה — מְבִיאִין שְׁלֹשָׁה, אוֹ אֵינוֹ אוֹמֵר אֶלָּא חָטְאוּ שְׁנֵי יְחִידִים — מְבִיאִין שְׁנֵי פָרִים, חָטְאוּ שְׁלֹשָׁה — ""מְבִיאִין"" שְׁלֹשָׁה? תַּלְמוּד לוֹמַר: הַקָּהָל: הַקָּהָל חַיָּיב, וְכׇל קָהָל וְקָהָל חַיָּיב, כֵּיצַד? חָטְאוּ שְׁנֵי שְׁבָטִים — מְבִיאִין שְׁנֵי פָרִים, חָטְאוּ שִׁבְעָה — מְבִיאִין שִׁבְעָה, וּשְׁאָר שְׁבָטִים שֶׁלֹּא חָטְאוּ — מְבִיאִין עַל יְדֵיהֶן פַּר פַּר, שֶׁאֲפִילּוּ אֵלּוּ שֶׁלֹּא ""חָטְאוּ"" מְבִיאִין עַל יְדֵי הַחוֹטְאִין, לְכָךְ נֶאֱמַר קָהָל לְחַיֵּיב עַל כׇּל קָהָל וְקָהָל, דִּבְרֵי רַבִּי יְהוּדָה.",אשר חטאו חטאו שני שבטים מביאין שני פרים חטאו שלשה מביאין שלשה או אינו אומר אלא חטאו שני יחידים מביאין שני פרים חטאו שלשה מביאין שלשה תלמוד לומר הקהל הקהל חייב וכל קהל וקהל חייב כיצד חטאו שני שבטים מביאין שני פרים חטאו שבעה מביאין שבעה ושאר שבטים שלא חטאו מביאין על ידיהן פר פר שאפילו אלו שלא חטאו מביאין על ידי החוטאין לכך נאמר קהל לחייב על כל קהל וקהל דברי רבי יהודה,-7
