"shekalim, Erster Abschnitt.1","<b>M</b><small>OŠE EMPFING DIE</small> T<small>ORA AUF</small>[<small>DEM</small> B<small>ERGE</small>] S<small>INAJ, ÜBERLIEFERTE SIE</small> J<small>EHOŠUA͑</small>, J<small>EHOŠUA͑ DEN</small> Ä<small>LTESTEN, DIE</small> Ä<small>LTESTEN DEN</small> P<small>ROPHETEN UND DIE</small> P<small>ROPHETEN ÜBERLIEFERTEN SIE DEN</small> M<small>ÄNNERN DER</small> G<small>ROSSSYNODE</small>. D<small>IESE SPRACHEN DREI</small> D<small>INGE AUS:</small> S<small>EID BEDÄCHTIG BEIM</small> R<small>ECHTSPRECHEN, BILDET VIELE</small> S<small>CHÜLER AUS, UND ERRICHTET EINEN</small> Z<small>AUN UM DIE</small> T<small>ORA</small><sup>1</sup><i class=""footnote"">fn2668,Durch Verschärfung der Bestimmungen derselben.</i>."
"shekalim, Zweiter Abschnitt.21","XXI. E<small>R SAGTE FERNER:</small> E<small>S IST DEINE</small> O<small>BLIEGENHEIT NICHT, DIE</small> A<small>RBEIT ZU VOLLENDEN, DOCH STEHT ES DIR NICHT FREI, SICH IHRER ZU ENTLEDIGEN</small>. H<small>AST DU VIEL</small> T<small>ORA GELERNT, SO WIRD MAN DIR EINEN GROSSEN</small> L<small>OHN GEBEN</small>. D<small>EIN</small> A<small>RBEITSHERR IST ZUVERLÄSSIG, DASS ER DIR DEN</small> L<small>OHN FÜR DEINE</small> A<small>RBEIT BEZAHLEN WERDE; DOCH WISSE, DASS DIE</small> B<small>ELOHNUNG DER</small> G<small>ERECHTEN ERST IN DER ZUKÜNFTIGEN</small> W<small>ELT ERFOLGT</small>."
"shekalim, Dritter Abschnitt.1","<b>A͑</b><small>QABJA B</small>. M<small>AHALALÉL SAGTE:</small> B<small>ETRACHTE DREI</small> D<small>INGE, UND DU KOMMST NICHT ZU EINER</small> S<small>ÜNDE: WISSE, WOHER DU KOMMST, WOHIN DU GEHST UND VOR WEM DU DEREINST</small> R<small>ECHENSCHAFT UND</small> R<small>ECHNUNG ABLEGEN WIRST</small>. W<small>OHER DU KOMMST: AUS EINEM STINKENDEN</small> T<small>ROPFEN; WOHIN DU GEHST: NACH EINEM</small> O<small>RTE, WO</small> S<small>TAUB</small>, M<small>ODER UND</small> G<small>EWÜRM; VOR WEM DU DEREINST</small> R<small>ECHENSCHAFT UND</small> R<small>ECHNUNG ABLEGEN WIRST: VOR DEM</small> K<small>ÖNIG DER</small> K<small>ÖNIGE, DEM</small> H<small>EILIGEN, GEPRIESEN SEI ER</small>."
"shekalim, Dritter Abschnitt.2","II. R. H<small>ANINA DER</small> P<small>RIESTERPRÄSES SAGTE :</small> B<small>ETE FÜR DAS</small> W<small>OHL DER</small> R<small>EGIERUNG, DENN WENN NICHT DIE</small> F<small>URCHT VOR DIESER, WÜRDE EINER DEN ANDEREN LEBENDIG VERSCHLINGEN</small>."
"shekalim, Dritter Abschnitt.3","III. R. Ḥ<small>ANINA B</small>. T<small>ERADJON SAGTE :</small> W<small>ENN ZWEI BEISAMMEN SITZEN UND SICH NICHT MIT</small> W<small>ORTEN DER</small> T<small>ORA BEFASSEN, SO IST DIES EIN</small> S<small>ITZ VON</small> S<small>PÖTTERN, DENN ES HEISST</small>:<sup>1</sup><i class=""footnote"">fn2688,Ps. 1,1.</i><i>und auf dem Sitze der SpÖtter sitzt er nicht</i><sup>2</sup><i class=""footnote"">fn2689,Unmittelbar darauf folgt: sondern an der Lehre des Herrn Wohlgefallen hat, also als Ggs. zum Vorangehenden.</i>. W<small>ENN ABER ZWEI BEISAMMEN SITZEN UND SICH MIT</small> W<small>ORTEN DER</small> T<small>ORA BEFASSEN, SO WEILT DIE</small> G<small>ÖTTLICHKEIT UNTER IHNEN, DENN ES HEISST</small>:<sup>3</sup><i class=""footnote"">fn2690,Mal. 3,16.</i><i>damals besprachen sich die Gottesfürchtigen mit einander, und der Herr merkte auf und hörte, und es wurde fur sie, die den Herrn fürchten und seinen Namen achten, ein Gedenkbuch aufgezeichnet</i>. I<small>CH WEISS DIES ALSO VON ZWEIEN, WOHER, DASS SELBST WENN EINER DASITZT UND SICH MIT DER</small> T<small>ORA BEFASST, DER</small> H<small>EILIGE, GEPRIESEN SEI ER, IHM EINEN</small> L<small>OHN FESTSETZE?</small> E<small>S HEISST</small>:<sup>4</sup><i class=""footnote"">fn2691,Thr. 3,28.</i><i>er sitzt einsam und schweigt, denn es ist ihm auferlegt</i><sup>5</sup><i class=""footnote"">fn2692,Nach der Auslegung des T. eine Belohnung.</i>."
"shekalim, Dritter Abschnitt.4","IV. R. Š<small>IMO͑N SAGTE:</small> W<small>ENN DREI AN EINEM</small> T<small>ISCHE ESSEN UND SICH AN DIESEM NICHT ÜBER</small> W<small>ORTE DER</small> T<small>ORA UNTERHALTEN, SO IST ES EBENSO, ALS HÄTTEN SIE VON</small> T<small>OTENOPFERN</small><sup>6</sup><i class=""footnote"">fn2693,Bezeichnung der Götzenopfer.</i> <small>GEGESSEN, DENN ES HEISST</small>:<sup>7</sup><i class=""footnote"">fn2694,Jes. 28,8.</i><i>denn alle Tische sind voll von unflôtigem Gespei, daß kein Platz</i><sup>8</sup><i class=""footnote"">fn2695,Viell. <span dir=""rtl"">מקום</span> in der Bedeutung Gott: ohne Gott.</i> <i>mehr da ist</i>. W<small>ENN ABER DREI AN EINEM</small> T<small>ISCHE ESSEN UND SICH AN DIESEM ÜBER</small> W<small>ORTE DER</small> T<small>ORA UNTERHALTEN, SO IST ES EBENSO, ALS HATTEN SIE VOM</small> T<small>ISCHE</small> G<small>OTTES GEGESSEN, DENN ES HEISST</small>:<sup>9</sup><i class=""footnote"">fn2696,Ez. 41,22.</i><i>und er sprach zu mir: Dies ist der Tisch, der vor dem Herrn steht</i>."
"shekalim, Dritter Abschnitt.5","V. R. Ḥ<small>ANINA B</small>. Ḥ<small>AKHINAJ SAGTE:</small> W<small>ER NACHTS WACHT, UND WER ALLEIN AUF DEM</small> W<small>EGE GEHT UND SEIN</small> H<small>ERZ MÜSSIGEN</small> G<small>EDANKEN ZUWENDET, VERWIRKT SEIN</small> L<small>EBEN</small>."
"shekalim, Dritter Abschnitt.6","VI. R. N<small>EḤUNJA B</small>. H<small>AQANA SAGTE:</small> W<small>ER DAS</small> J<small>OCH DER</small> T<small>ORA AUF SICH NIMMT, DEM WIRD DAS JOCH DER</small> S<small>TAATS[LASTEN] UND DAS</small> J<small>OCH DER WELTLICHEN</small> B<small>ESCHÄFTIGUNG ABGENOMMEN, WER ABER DAS</small> J<small>OCH DER</small> T<small>ORA VON SICH</small> A<small>BSCHÜTTELT, DEM WIRD DAS</small> J<small>OCH DER</small> S<small>TAATS[LASTEN] UND DAS</small> J<small>OCH DER WELTLICHEN</small> B<small>ESCHÄFTIGUNG AUFERLEGT</small>."
"shekalim, Dritter Abschnitt.7","VII. R. Ḥ<small>ALAPHTA AUS</small> K<small>EPHAR</small> Ḥ<small>ANANJA SAGTE:</small> W<small>ENN ZEHN BEISAMMEN SITZEN UND SICH MIT DER</small> T<small>ORA BEFASSEN, SO WEILT DIE</small> G<small>ÖTTLICHKEIT UNTER IHNEN, DENN ES HEISST</small>:<sup>10</sup><i class=""footnote"">fn2697,Ps. 82,1.</i><i>Gott steht in der Gottesgemeinde</i>. W<small>OHER, DASS AUCH WENN FÜNF?</small> E<small>S HEISST:</small><sup>11</sup><i class=""footnote"">fn2698,Am. 9,6.</i><i>seinen Bund</i><sup>12</sup><i class=""footnote"">fn2699,Nach den Kommentaren wird die Hand, die 5 Finger hat, mit <span dir=""rtl"">אגודה</span>, Bund, bezeichnet.</i><i>hat er auf der Erde gegründet</i>. W<small>OHER, DASS AUCH WENN DREI?</small> E<small>S HEISST:</small><sup>10</sup><i class=""footnote"">fn2697,Ps. 82,1.</i><i>inmitten von Richtern</i><sup>13</sup><i class=""footnote"">fn2700,Das Gerichtskollegium besteht aus 3 Mitgliedern.</i><i>hôlt er Gericht</i>. W<small>OHER, DASS AUCH WENN ZWEI?</small> E<small>S HEISST</small>: <i>damals besprachen sich die Gottesfürchtigen mit einander, und der Herr merkte auf und hörte &c.</i> U<small>ND WOHER, DASS AUCH WENN EINER?</small> E<small>S HEISST</small>:<sup>14</sup><i class=""footnote"">fn2701,Ex. 20,24.</i><i>an jeder Stôtte, da ich meines Namens gedenken lasse, werde ich zu dir kommen und dich segnen</i>."
"shekalim, Dritter Abschnitt.8","VIII. R. E<small>LEA͑ZAR AUS</small> B<small>ARTOTHA SAGTE :</small> G<small>IB IHM<sup>15</sup><i class=""footnote"">fn2702,Gott, dh. Almosen.</i>VON SEINEM, DENN DU SAMT DEINEM BIST JA SEIN; UND EBENSO HEISST ES BEI</small> D<small>AVID</small>:<sup>16</sup><i class=""footnote"">fn2703,iChr. 29,14.</i><i>denn von dir ist alles, und aus deiner Hand haben wir es dir gegeben</i>."
"shekalim, Dritter Abschnitt.9","IX. R. Š<small>IMO͑N SAGTE :</small> W<small>ER AUF DEM</small> W<small>EGE GEHT UND DAS</small> G<small>ESETZ STUDIERT, SEIN</small> S<small>TUDIUM ABER UNTERBRICHT UND SPRICHT:</small> W<small>IE SCHÖN IST DIESER</small> B<small>AUM, WIE SCHÖN IST DIESES</small> A<small>CKERFELD, DEM RECHNET DIE</small> S<small>CHRIFT ES AN, ALS HÄTTE ER SEIN</small> L<small>EBEN VERWIRKT</small>."
"shekalim, Dritter Abschnitt.10","X. R. D<small>OSTAJ B</small>. J<small>ANNAJ SAGTE IM</small> N<small>AMEN</small> R. M<small>EÎRS</small>: W<small>ER AUCH NUR EIN</small> W<small>ORT VON SEINEM</small> G<small>ESETZESSTUDIUM VERGISST, DEM RECHNET DIE</small> S<small>CHRIFT ES AN, ALS</small> H<small>ÄTTE ER SEIN</small> L<small>EBEN VERWIRKT, DENN ES HEISST</small><sup>17</sup><i class=""footnote"">fn2704,Dt. 4,9.</i><i>nur hüte dich und nimm dich wohl in acht, daß du die Dinge, die du mit deinen Augen gesehen hast, nicht vergessest.</i> M<small>AN KÖNNTE GLAUBEN, SELBST WENN SEIN</small> S<small>TUDIUM IHM ZU SCHWER WAR, SO HEISST ES</small>:<sup>17</sup><i class=""footnote"">fn2704,Dt. 4,9.</i><i>und daß sie alle Tage deines Lebens nicht aus deinem Herzen weichen,</i> <small>ER HAT ALSO SEIN</small> L<small>EBEN NUR DANN VERWIRKT, WENN ER DASITZT UND SIE AUS SEINEM HERZEN SCHLÄGT</small>."
"shekalim, Dritter Abschnitt.11","XI. R. Ḥ<small>ANINA B</small>. D<small>OSA SAGTE:</small> W<small>ESSEN</small> S<small>ÜNDENSCHEU SEINER</small> W<small>EISHEIT VORANGEHT, DESSEN</small> W<small>EISHEIT HAT</small> B<small>ESTAND, UND WESSEN</small> W<small>EISHEIT SEINER</small> S<small>UNDENSCHEU VORANGEHT, DESSEN</small> W<small>EISHEIT HAT KEINEN</small> B<small>ESTAND</small>."
"shekalim, Dritter Abschnitt.12","XII. E<small>R SAGTE FERNER:</small> W<small>ESSEN [GUTE]</small> W<small>ERKE MEHR SIND ALS SEINE</small> W<small>EISHEIT, DESSEN</small> W<small>EISHEIT HAT</small> B<small>ESTAND, UND WESSEN</small> W<small>EISHEIT MEHR IST ALS SEINE [GUTEN]</small> W<small>ERKE, DESSEN</small> W<small>EISHEIT HAT KEINEN</small> B<small>ESTAND</small>."
"shekalim, Dritter Abschnitt.13","XIII. E<small>R PFLEGTE ZU SAGEN :</small> A<small>N WEM</small> M<small>ENSCHEN</small> W<small>OHLGEFALLEN FINDEN, FINDET AUCH</small> G<small>OTT</small> W<small>OHLGEFALLEN, UND AN WEM</small> M<small>ENSCHEN KEIN</small> W<small>OHLGEFALLEN FINDEN, FINDET AUCH</small> G<small>OTT KEIN</small> W<small>OHLGEFALLEN</small>."
"shekalim, Dritter Abschnitt.14","XIV. R. D<small>OSA B</small>. A<small>RCHINOS SAGTE :</small> D<small>ER</small> M<small>ORGENSCHLAF, DER</small> M<small>ITTAGSWEIN, DAS</small> G<small>EPLAUDER MIT</small> K<small>LNDERN UND DER</small> A<small>UFENTHALT IN</small> Z<small>ÜSAMMENKUNFTSORTEN DER</small> M<small>ENSCHEN AUS DEM GEMEINEN</small> V<small>OLKE BRINGEN DEN</small> M<small>ENSCHEN AUS DER</small> W<small>ELT</small>."
"shekalim, Dritter Abschnitt.15","XV. R. E<small>LEA͑ZAR AUS</small> M<small>ODAI͑M SAGTE:</small> W<small>ER DAS</small> G<small>EHEILIGTE</small><sup>18</sup><i class=""footnote"">fn2705,Die Šabbathe u. die Feste.</i><small>ENTWEIHT, WER DIE</small> F<small>ESTE</small><sup>19</sup><i class=""footnote"">fn2706,<span dir=""rtl"">מועד</span> (gekürzt v. <span dir=""rtl"">חולו של מו׳</span>) bezeichnet die Halbfeste.</i><small>SCHÄNDET, WER DAS</small> G<small>ESICHT SEINES</small> N<small>ÄCHSTEN ÖFFENTLICH ERBLEICHEN MACHT, WER DAS</small> B<small>ÜNDNIS UNSERES</small> V<small>ATERS</small> A<small>BRAHAM</small><sup>20</sup><i class=""footnote"">fn2707,Darunter ist der Epispasmus zu verstehen, eine zur Zeit der Religionsverfolgung unter den Juden verbreitete Operation, um das Judentum zu verleugnen.</i><small>ZER STÖRT, UND WER DAS GESETZ FALSCH</small><sup>21</sup><i class=""footnote"">fn2708,Cf. Syn. Fol. 99a.</i><small>DEUTET, HAT, SELBST WENN TORA UND GUTE</small> H<small>ANDLUNGEN IN SEINEM</small> B<small>ESITZE SIND, KEINEN</small> A<small>NTEIL AN DER ZUKÜNFTIGEN</small> W<small>ELT</small>."
"shekalim, Dritter Abschnitt.16","XVI. R. J<small>IŠMA͑ÉL SAGTE :</small> S<small>EI BEHEND GEGEN</small> O<small>BERE UND WILLIG GEGEN</small> Ä<small>LTERE</small><sup>22</sup><i class=""footnote"">fn2709,So nach Vermutung; der Text ist nicht ganz deutlich.</i>, <small>UND NIMM JEDEN</small> M<small>ENSCHEN FREUNDLICH AUF</small>."
"shekalim, Dritter Abschnitt.17","XVII. R. A͑<small>QIBA SAGTE :</small> S<small>CHERZ UND</small> A<small>USGELASSENHEIT VERLEITEN DEN</small> M<small>ENSCHEN ZUR</small> U<small>NSITTLICHKEIT</small>. D<small>IE ÜBERLIEFERUNG<sup>23</sup><i class=""footnote"">fn2710,Über die Schreibweise der Tora.</i>IST EIN</small> Z<small>AUN FÜR DIE</small> T<small>ORA, DIE</small> Z<small>EHNTABGABEN SIND EIN</small> Z<small>AUN FÜR DEN</small> R<small>EICHTUM</small>, G<small>ELÜBDE SIND EIN</small> Z<small>AUN FÜR DIE</small> E<small>NTHALTSAMKEIT, UND</small> S<small>CHWEIGEN IST EIN</small> Z<small>AUN FÜR DIE</small> W<small>EISHEIT</small>."
"shekalim, Dritter Abschnitt.18","XVIII. E<small>R SAGTE FERNER:</small> G<small>ELIEBT IST DER</small> M<small>ENSCH, DENN ER IST IM</small> E<small>BENBILDE</small><sup>24</sup><i class=""footnote"">fn2711,Gottes; cf. Gen. 1,27.</i><small>ERSCHAFFEN WORDEN; AUS BESONDERER</small> L<small>IEBE IST IHM KUNDGETAN WORDEN, DASS ER IM EBENBILD ERSCHAFFEN WORDEN SEI, DENN ES HEISST</small>:<sup>25</sup><i class=""footnote"">fn2712,Gen. 9,6.</i><i>im Ebenbilde Gottes machte er den Menschen</i>. G<small>ELIEBT SIND DIE</small> J<small>ISRAÉLITEN, DENN SIE HEISSEN</small> K<small>LNDER</small> G<small>OTTES; AUS BESONDERER</small> L<small>LEBE IST IHNEN KUND GETAN WORDEN, DASS SIE</small> K<small>LNDER GOTTES HEISSEN, DENN ES HEISST</small>:<sup>26</sup><i class=""footnote"">fn2713,Dt. 14,1.</i><i>ihr seid Kinder des Herrn, eures Gottes</i>. G<small>ELIEBT SIND DIE JISRAÉLITEN, DENN EIN KOSTBARES</small> G<small>ERÄT IST IHNEN VERLIEHEN WORDEN; AUS BESONDERER</small> L<small>IEBE IST IHNEN KUND GETAN WORDEN, DASS IHNEN EIN KOSTBARES</small> G<small>ERÄT VERLIEHEN WORDEN IST, DURCH DAS DIE</small> W<small>ELT ERSCHAFFEN WURDE, DENN ES HEISST</small>:<sup>27</sup><i class=""footnote"">fn2714,Pr. 4,2.</i><i>denn eine gute Belehrung habe ich euch gegeben, verlaßt meine Lehre nicht</i>."
"shekalim, Dritter Abschnitt.19","XIX. A<small>LLES WIRD BEOBACHTET UND DIE FREIE</small> W<small>AHL IST GEGEBEN</small>. M<small>IT</small> G<small>ÜTE WIRD DIE</small> W<small>ELT GERICHTET, ABER ALLES</small><sup>28</sup><i class=""footnote"">fn2715,Die Vergeltung.</i><small>NACH DEM</small> Q<small>UANTUM DER</small> W<small>ERKE</small>."
"shekalim, Dritter Abschnitt.20","XX. E<small>R SAGTE FERNER:</small> A<small>LLES WIRD GEGEN</small> B<small>ÜRGSCHAFT GEGEBEN UND EIN</small> N<small>ETZ IST ÜBER ALLES</small> L<small>EBENDE GEBREITET</small>. D<small>ER</small> L<small>ADEN IST OFFEN, DER</small> K<small>RÄMER BORGT, DAS</small> B<small>UCH IST AUFGESCHLAGEN UND DIE</small> H<small>AND SCHREIBT ; WER BORGEN WILL, MAG KOMMEN UND BORGEN. DLE SCHULDFORDERER GEHEN BESTÄNDIG, JEGLICHEN</small> T<small>AG, UMHER UND TREIBEN VOM</small> M<small>ENSCHEN</small> Z<small>AHLUNG EIN, MAG ER WOLLEN, MAG ER NICHT WOLLEN, DENN SIE HABEN, WORAUF</small><sup>29</sup><i class=""footnote"">fn2716,Der Mensch ist in ihrer Hand u. gilt ihnen als Bürgschaft. Nach anderer Erklärung: sie haben, worauf sie sich stützen, nämlich die Eintragungen der Bücher.<br>43 Talmud IX</i> <small>SIE SICH STÜTZEN</small>. D<small>ER RECHTSPRUCH BERUHT AUF</small> W<small>AHRHEIT, UND ZUM</small> M<small>AHLE IST ALLES BEREIT</small>."
"shekalim, Dritter Abschnitt.21","XXI. R. E<small>LIE͑ZER B</small>. A͑<small>ZARJA SAGTE:</small> O<small>HNE</small> T<small>ORA KEINE</small> L<small>EBENSART, UND OHNE</small> L<small>EBENSART KEINE</small> T<small>ORA; OHNE</small> W<small>EISHEIT KEINE</small> G<small>OTTESFURCHT, UND OHNE</small> G<small>OTTESFURCHT KEINE</small> W<small>EISHEIT; OHNE</small> E<small>INSICHT KEIN</small> W<small>ISSEN, UND OHNE</small> W<small>ISSEN KEINE</small> E<small>INSICHT; OHNE</small> M<small>EHL</small><sup>30</sup><i class=""footnote"">fn2717,Lebensunterhalt.</i><small>KEINE</small> T<small>ORA UND OHNE</small> T<small>ORA KEIN</small> M<small>EHL</small>."
"shekalim, Dritter Abschnitt.22","XXII. E<small>R SAGTE FERNER:</small> W<small>OMIT IST DER ZU VERGLEICHEN, DESSEN</small> W<small>EISHEIT BEDEUTENDER IST ALS SEINE</small> T<small>ATEN?</small> M<small>LT EINEM</small> B<small>AÜME, DER VIELE</small> Z<small>WEIGE UND WENIG</small> W<small>URZELN HAT; EIN</small> W<small>IND KOMMT, SO ENTWURZELT ER IHN UND SCHLÄGT IHN UM</small> (<small>AUFS</small> G<small>ESICHT</small>), <small>WIE ES HEISST</small><sup>31</sup><i class=""footnote"">fn2718,Jer. 17,6.</i><i>er ist wie ein einsamer Baum in der Steppe und sieht nicht, daß Gutes eintrifft, er wohnt an ausgedöRRTEN Stätten in der Wüste, in salzigem und unbewohntem Lande</i>. W<small>OMIT ABER IST DER ZU VERGLEICHEN, DESSEN</small> T<small>ATEN BEDEUTENDER SIND ALS SEINE</small> W<small>EISHEIT?</small> M<small>IT EINEM</small> B<small>AUME, DER WENIG</small> Z<small>WEIGE UND VIELE</small> W<small>URZELN HAT; MÖGEN AUCH ALLE</small> W<small>INDE DER</small> W<small>ELT KOMMEN UND IHN ANWEHEN, SO RÜHREN SIE IHN DENNOCH NICHT VON SEINER</small> S<small>TELLE, WIE ES HEISST</small>:<sup>32</sup><i class=""footnote"">fn2719,Jer. 17,8.</i><i>er ist wie ein Baum, der am Wasser gepflanzt ist und seine Wurzeln nach dem Bache hinstreckt, der nicht merkt, wenn Hitze kommt, dessen Laub frischgrün bleibt, der auch in dürren Jahren unbesorgt ist und nicht ablôßt, Früchte zu tragen.</i>"
"shekalim, Dritter Abschnitt.23","XXIII. R. E<small>LIE͑ZER B</small>. Ḥ<small>ASMA SAGTE:</small> D<small>IE</small> [V<small>ORSCHRIFTEN ÜBER</small>] V<small>OGELNESTER</small><sup>33</sup><i class=""footnote"">fn2720,Die Vorschriften über das Geflügelopfer.</i><small>UND</small> M<small>ENSTRUATIONSBEGINN</small><sup>34</sup><i class=""footnote"">fn2721,Komplizierte Lehren dieses Gesetz betreffend.</i><small>SIND EIGENTLICHE</small> B<small>ESTANDTEILE DER</small> L<small>EHRE</small>; A<small>STRONOMIE</small><sup>35</sup><i class=""footnote"">fn2722,Wörtl. Die Sonnenwenden od. Jahreszeiten, eigentl. Kalenderkunde.</i><small>UND</small> G<small>EOMETRIE</small><sup>36</sup><i class=""footnote"">fn2723,Der T. gebraucht dieses W. für Mathematik.</i><small>SIND NUR</small> Z<small>UKOST ZUR</small> W<small>EISHEIT</small>."
"shekalim, Vierter Abschnitt.1","<b>B</b><small>EN ZOMA SAGTE:</small> W<small>ER IST WEISE?</small> D<small>ER VON JEDEM</small> M<small>ENSCHEN LERNT, DENN ES HEISST</small>:<sup>1</sup><i class=""footnote"">fn2724,Ps. 119,99.</i><i>von allen, die mich belehrten, bin ich weise geworden</i>. W<small>ER IST EIN</small> H<small>ELD</small>? D<small>ER SEINEN</small> T<small>RIEB ÜBERWINDET, DENN ES HEISST</small>:<sup>2</sup><i class=""footnote"">fn2725,Pr. 16,32.</i><i>besser ist ein Langmütiger als ein Held, und wer sein Gemüt beherrscht, als ein Stôdteeroberer</i>. W<small>ER IST REICH?</small> D<small>ER MIT SEINEM</small> T<small>EILE ZUFRIEDEN IST, DENN ES HEISST:</small> <sup>3</sup><i class=""footnote"">fn2726,Ps. 128,12.</i><i>wenn du deiner Hände Arbeit genießest, Heil dir, du hast es gut. Heil dir</i>, <small>AUF DIESER</small> W<small>ELT</small>; <i>du hast es gut</i>, <small>IN DER ZUKÜNFTIGEN</small> W<small>ELT</small>. W<small>ER IST GEEHRT</small>? D<small>ER DIE</small> M<small>ENSCHEN EHRT, DENN ES HEISST</small>: <sup>4</sup><i class=""footnote"">fn2727,iSam. 2,30,</i><i>wer mich ehrt, den ehre ich, aber wer mich verachtet, soll in Schande geraten</i>."
"shekalim, Vierter Abschnitt.2","II. B<small>EN</small> A͑<small>ZAJ SAGTE :</small> L<small>AUFE ZU EINER GERINGEN GOTTGEFÄLLIGEN</small> H<small>ANDLUNG WIE ZU EINER WICHTIGEN, UND FLIEHE DIE</small> Ü<small>BERTRETUNG; DENN EINE GOTTGEFÄLLIGE</small> H<small>ANDLUNG ZIEHT EINE ANDERE GOTTGEFÄLLIGE</small> H<small>ANDLUNG NACH SICH, UND EINE</small> Ü<small>BERTRETUNG ZIEHT EINE ANDERE</small> Ü<small>BERTRETUNG NACH SICH; DER</small> L<small>OHN EINER GOTTGEFÄLLIGEN</small> H<small>ANDLUNG IST EINE GOTTGEFÄLLIGE</small> H<small>ANDLUNG, UND DER</small> L<small>OHN EINER</small> Ü<small>BERTRETUNG IST EINE</small> Ü<small>BERTRETUNG</small>."
"shekalim, Vierter Abschnitt.3","III. E<small>R SAGTE FERNER:</small> V<small>ERACHTE KEINEN</small> M<small>ENSCHEN UND HALTE KEIN</small> D<small>ING FÜR UNMÖGLICH, DENN ES GIBT KEINEN</small> M<small>ENSCHEN, DER NICHT SEINE</small> S<small>TUNDE HÄTTE, UND ES GIBT KEIN</small> D<small>ING, DAS NICHT HÄTTE SEINEN</small> P<small>LATZ</small>."
"shekalim, Vierter Abschnitt.4","IV. R. L<small>EVITAS AUS</small> J<small>ABNE SAGTE :</small> S<small>EI ÜBERAUS DEMÜTIG, DENN</small> M<small>ODER IST ES, WAS DER</small> M<small>ENSCH ZU ERHOFFEN HAT</small>."
"shekalim, Vierter Abschnitt.5","V. R. J<small>OḤANAN B</small>. B<small>EROQA SAGTE:</small> W<small>ER DEN</small> N<small>AMEN</small> G<small>OTTES HEIMLICH ENTWEIHT, AN DEM WIRD</small> V<small>ERGELTUNGÖFFENTLICH GEÜBT; BEI DER</small> E<small>NTWEIHUNG DES GÖTTLICHEN</small> N<small>AMENS IST ES EINERLEI, OB SIE VERSEHENTLICH ERFOLGT IST ODER VORSÄTZLICH</small>."
"shekalim, Vierter Abschnitt.6","VI. R. J<small>IŠMA͑ÉL SAGTE:</small> W<small>ENN JEMAND LERNT, UM ZU LEHREN, SO LÄSST MAN IHM ZU LERNEN UND ZU LEHREN GELINGEN; UND WENN JEMAND LERNT, UM [DANACH] ZU HANDELN, SO LÄSST MAN IHM GELINGEN ZU LERNEN, ZU LEHREN, ZU BEOBACHTEN UND [DANACH] ZU HANDELN</small>."
"shekalim, Vierter Abschnitt.7","VII. R. Q<small>ADOQ SAGTE :</small> M<small>ACHE SIE</small><sup>5</sup><i class=""footnote"">fn2728,Die Gesetzeskunde.</i> <small>NICHT ZUR</small> K<small>RONE, DAMIT ZU PRANGEN, AUCH NICHT ZUM</small> G<small>RABSCHEITE, DAMIT ZU GRABEN</small>. E<small>BENSO SAGTE AUCH</small> H<small>ILLEL:</small> W<small>ER SICH DER</small> K<small>RONE BEDIENT, SCHWINDET HIN</small>. D<small>U LERNST ALSO: WER AUS DEN</small> W<small>ORTEN DER</small> T<small>ORA</small> N<small>UTZEN ZIEHT, NIMMT SEIN</small> L<small>EBEN AUS DER</small> W<small>ELT</small>."
"shekalim, Vierter Abschnitt.8","VIII. R. J<small>OSE SAGTE :</small> W<small>ER DIE</small> T<small>ORA EHRT, IST SELBER BEI DEN</small> M<small>ENSCHEN GEEHRT, UND WER DIE</small> T<small>ORA ENTWÜRDIGT, IST SELBER BEI DEN</small> M<small>ENSCHEN ENTWÜRDIGT</small>."
"shekalim, Vierter Abschnitt.9","IX. R. J<small>IŠMA͑ÉL SAGTE :</small> W<small>ER</small> P<small>ROZESSE<sup>6</sup><i class=""footnote"">fn2729,Die Übersetzung Rechtsprechen ist weniger einleuchtend.</i> MEIDET, SCHÜTTELT</small> F<small>EINDSCHAFT</small>, R<small>AUB UND</small> M<small>EINEID</small><sup>7</sup><i class=""footnote"">fn2730,Im engeren Sinne heißt <span dir=""rtl"">שבועת שוא</span> unnützer, vergeblicher Schwur; ausführl. Seb. Fol. 2a.</i> <small>VON SICH AB</small>. W<small>ER HOCHFAHREND IST BEI DER</small> R<small>ECHTSENTSCHEIDUNG, IST TÖRICHT, FREVELHAFT UND HOCHMÜTIG</small>."
"shekalim, Vierter Abschnitt.10","X. E<small>R SAGTE FERNER:</small> U<small>RTEILE NICHT ALLEIN, DENN NUR DER</small> E<small>INZIGE VERMAG ALLEIN ZU URTEILEN; DRÄNGE AUCH DEINE</small> M<small>EINUNG NICHT AUF, DENN SIE</small><sup>8</sup><i class=""footnote"">fn2731,Die Mitrichter od. die Prozeßführenden.</i> <small>DÜRFEN ES, DU ABER NICHT</small>."
"shekalim, Vierter Abschnitt.11","XI. R. J<small>ONATHAN SAGTE :</small> W<small>ER DIE</small> T<small>ORA HÄLT AUS</small> A<small>RMUT, WIRD SIE SPÄTER HALTEN AUS</small> R<small>EICHTUM, UND WER DIE</small> T<small>ORA UNTERLÄSST AUS</small> R<small>EICHTUM, WIRD SIE SPÄTER UNTERLASSEN AUS ARMUT</small>."
