Index Title,Beitzah
Beitzah 7b:13,"Ebenso wurde gelehrt: R. Jose b.Ḥanina sagte: Der Streit besteht nur über die Fortschaffung, über das Essen aber stimmen alle überein, daß es bei beiden in Olivengröße erfolgt. 
"
Beitzah 7b:14,"Ebenso wird auch gelehrt:Ex. 13,7.<i>Es darf bei dir kein Sauerteig und es darf hei dir kein Gesäuertes zu sehen</i> <i>sein</i>; hierüber besteht der Streit zwischen der Schule Šammajs und der Schule Hillels; die Schule Šammajs sagt, Sauerteig in Olivengröße, Gesäuertes in Dattelgröße, und die Schule Hillels sagt, beides in Olivengröße.
"
Beitzah 7b:15,"W<small>ER AM</small> F<small>ESTTAGE</small> W<small>ILD ODER</small> G<small>EFLÜGEL SCHLACHTET &amp;C</small>. 
"
Beitzah 7b:16,"‘Schlachtet’, nur wenn bereits erfolgt, nicht aber von vornherein, dagegen heißt es im Schlußsatze: die Schule Hillels sagt, man dürfe nur dann schlachten, wonach der erste Tanna der Ansicht ist, man dürfe [von vornherein] schlachten!? – 
"
Beitzah 7b:17,"Das ist kein Einwand; man darf nicht schlachten und [das Blut] bedecken. – 
"
Beitzah 7b:18,"Wenn es aber im Schlußsatze heißt: jedoch pflichtet sie bei, daß, wenn man bereits geschlachtet hat, man [Erde] mit einer Schaufel aufgrabe und das Blut bedecke, so spricht ja der Anfangssatz nicht vom bereits erfolgten!? 
"
Beitzah 7b:19,"Rabba erwiderte: Er meint es wie folgt: was antworte man dem, der schlachten will und um Rat fragen kommt? Die Schule Šammajs sagt, man antworte ihm: [geh] schlachte, grabe [Erde] auf und bedecke [das Blut]; die Schule Hillels sagt, er dürfe nur dann schlachten, wenn er Erde vom Tage [vorher] vorrätig hat. 
"
Beitzah 7b:20,"R. Joseph erklärte: Er meint es wie folgt: was antworte man dem, der schlachten will und um Rat fragen kommt? Die Schule Šammajs sagt, man antworte ihm; geh, grabe [Erde] auf, schlachte und bedecke [das Blut]; die Schule Hillels sagt, er dürfe nur dann schlachten, wenn er Erde vom Tage [vorher] vorrätig hat. 
"
Beitzah 7b:21,"Abajje sprach zu R. Joseph: Der Meister und Rabba streiten also über die Lehre des R. Zera im Namen Rabhs, denn R. Zera sagte im Namen Rabhs: Wer [ein Wild] schlachtet, muß unten und oben Erde streuen, denn es heißt: Gf. Lev. 17,13.<i>er schütte das Blut fort und bedecke es in</i>Die Präposition <span dir=""rtl"">ב</span> in der Bedeutung mit ist überflüssig u. bedeutet in; das Blut muß sich zwischen 2 Erdschichten befinden.<i>Erde</i>; es heißt nicht ‘mit Erde’ sondern ‘in Erde’, das lehrt, daß der Schlachtende Erde oben und Erde unten streuen muß. 
"
Beitzah 7b:22,"Der Meister hält also von der Lehre R. Zeras und Rabba hält nichts von der Lehre R. Zeras. 
"
Beitzah 7b:23,"Dieser erwiderte: Sowohl ich als auch Rabba halten beide von der Lehre R. Zeras, und unser Streit besteht vielmehr in folgendem: Rabba ist der Ansicht, nur wenn unten bereits Erde vorhanden ist, sonst aber nicht, denn es ist zu berücksichtigen, er könnte es sich überlegen und nicht schlachtenEr würde dann unnötig Erde gegraben haben., nach meiner Ansicht aber erst recht, denn wenn man ihm dies nicht erlaubt, könnte er um die Festfreude kommen.
"
Beitzah 7b:24,"J<small>EDOCH PFLICHTET SIE BEI, DASS, WENN MAN BEREITS GESCHLACHTET HAT, MAN</small> [E<small>RDE</small>] <small>MIT EINER</small> S<small>CHAUFEL AUFGRABE UND ES BEDECKE</small>. R. Zeriqa sagte im Namen R. Jehudas: Dies nur, wenn die Schaufel vom Tage [vorher in der Erde] steckt. – Man zerreibt ja [die Erde]!? – R. Ḥija b. Aši erwiderte im Namen Rabhs: 
"
Beitzah 8a:1,"Wenn die Erde locker ist. – 
"
Beitzah 8a:2,"Man macht ja eine Grube!? – Dies nach R. Abba, denn R. Abba sagte: Wer am Šabbath eine Grube macht und nur die Erde braucht, ist freiDa die Grube nicht bezweckt wird, so gilt dies nur als Zerstörung, weswegen man nicht schuldig ist..
"
Beitzah 8a:3,"D<small>ENN</small> H<small>ERDASCHE GILT ALS</small> V<small>ORRÄTIGES</small>. R. Jehuda sprach: Wer spricht hier von Herd[asche]!? Raba erwiderte: Er meint es wie folgt: Herdasche aber gilt als Vorrätiges. 
"
Beitzah 8a:4,"R. Jehuda sagte im Namen Rabhs: Dies nur, wenn er bereits am Vorabende des Festes geheizt worden ist, wenn er aber am Festtage selbst geheizt worden ist, ist es verboten; kann man darin noch ein EiDafür war das Holz bereits am vorangehenden Tage bestimmt, u. da die Asche verwendet werden darf, darf man damit auch das Blut bedecken.backen, so ist es erlaubt. 
"
Beitzah 8a:5,"Ebenso wird gelehrt: Wenn sie gesagt haben, Herdasche gelte als Vorrätiges, so gilt dies nur von dem Falle, wenn er bereits am Vorabend des Festes geheizt worden ist, wenn er aber am Festtage selbst geheizt worden ist, so ist es verboten; kann man darin noch ein Ei backen, so ist es erlaubt. 
"
Beitzah 8a:6,"Hat man Erde in seinen Garten oder in seine Ruine gebracht, so darf man damitDa sie für jeden Gebrauch bestimmt ist.bedecken. Ferner sagte R. Jehuda: Man darf einen Korb voll Erde bringen und ihn zu jedem Gebrauche verwenden.
"
Beitzah 8a:7,"Mar Zutra trug im Namen Mar Zutra des Großen vor: Dies nur, wenn man dafür eine besondere Ecke bestimmt hat. 
"
Beitzah 8a:8,"Man wandte ein: Man darf am Festtage keinen KojBezüglich dessen ein Zweifel obwaltet, ob es sein Vieh ist, dessen Blut nicht zu bedecken ist, od. ein Wild, dessen Blut zu badecken ist. schlachten; hat man ihn bereits geschlachtet, so darf man das Blut nicht bedecken. Wenn dem nun soDaß man auf diese Weise die Erde verwenden darf.wäre, so sollte man es nach R. Jehuda bedecken!? – 
"
Beitzah 8a:9,"Und auch nach deiner Auffassung kann man es ja mit Herdasche oder mit [Erde], in der eine Schaufel steckt, bedecken!? Vielmehr, wenn man solche nicht hat, ebenso, wenn man auch jene nicht hat. – 
"
Beitzah 8a:10,"Wieso gilt dies demnach nur von Zweifelhaftem, dies sollte ja auch von Zweif ellosemDa die Halakha nach der Schule H.s entschieden wird, nach der es auch bei einem Wild verboten ist.gelten!? – 
"
Beitzah 8a:11,"Von diesem ist es selbstverständlich; selbstverständlich darf man das zweifellose [Wild] nicht schlachten, man könnte aber glauben, wegen der Festfreude dürfe man das Zweifelhafte schlachten, ohne [das Blut] zu bedecken, so lehrt er uns. – 
"
Beitzah 8b:1,"Wenn er aber im Schlußsatze lehrt, daß man, wenn man ihn bereits geschlachtet hat, das Blut nicht bedecken dürfe, so spricht ja der Anfangssatz von dem Falle, wenn man [vorrätige Erde] hat!? 
"
Beitzah 8b:2,"Vielmehr, erklärte Rabba, Herdasche gilt für das zweifellose [Wild] als Vorrätiges, nicht aber für das zweifelhafte. – 
"
Beitzah 8b:3,"Für das zweifelhafte wohl deshalb nicht, weil man eine Grube macht, und auch beim zweifellosen macht man ja eine Grube!? – Vielmehr wegen der Begründung R. AbbasWeil man wegen der zerstörenden Tätigkeit am Šabbath nicht schuldig ist.. Ebenso sollte ja auch bei jenem die Begründung R. Abbas gelten!? – 
"
Beitzah 8b:4,"Vielmehr beim zweifelhaften ist es verboten, weil man [die Erde] zerreiben könnte. – Sollte man doch das Zerreiben auch beim zweifellosen berücksichtigen!? – Wenn beim zweifellosen auch ein Zerreiben erfolgt. kommt das Gebot und verdrängt das Verbot. –
"
Beitzah 8b:5,"Allerdings sagen wir, ein Gebot verdränge ein Verbot, jedoch nur in einem Falle wie bei Aussatz und BeschneidungEs ist verboten, den Aussatz operativ zu entfernen (cf. Dt. 24,8); die Beschneidung hat jedoch zu erfolgen, selbst wenn an dieser Stelle ein Aussatz sich befindet.oder [wollenen] ÇiçithDie trotz des Verbotes des Mischgewebes einzuknüpfen sind.an einem Linnengewande, 
"
Beitzah 8b:6,"wobei man mit der Übertretung des Verbotes das Gebot ausübt, während man hierbei mit der Übertretung des Verbotes das Gebot nicht ausübt!? – Das ist kein EinΛvand; man kann es beim Zerreiben bedecken. – 
"
Beitzah 8b:7,"Aber bezüglich des Festtages besteht ja ein Gebot und ein Verbot, und das GebotDes Bedeckens des Blutes.kann ja nicht ein Verbot und ein Gebot verdrängen!? 
"
Beitzah 8b:8,"Vielmehr, erklärte Raba, bei der Herdasche denkt man wohl an das zweifellose, nicht aber an das zweifelhafte. 
"
Beitzah 8b:9,"Raba vertritt hiermit seine Ansicht, denn Raba sagte: Hat man Erde geholt, um damit [nötigenfalls] Kot zu bedecken, so darf man damit das Blut eines GeflügelsBeim 1. Falle liegt eine Möglichkeit vor, während man über den 2. vorher bestimmen kann.bedecken, um damit das Blut eines Geflügels zu bedecken, so darf man damit keinen Kot bedecken. 
"
Beitzah 8b:10,"Die Nehardee͑nser sagen, auch wenn man Erde geholt hat, um damit das Blut eines Geflügels zu bedecken, dürfe man damit Kot bedecken. 
"
Beitzah 8b:11,"Im Westen sagten sie: Hierüber streiten R. Jose b. Ḥama und R. Zera, und wie manche sagen, Raba, Sohn des R. Joseph b. Ḥama, und R. Zera; einer sagt, der Koj gleiche diesbezüglich dem Kote, und einer sagt, der Koj gleiche diesbezüglich nicht dem Kote. 
"
Beitzah 8b:12,"Es ist zu beweisen, daß Raba es ist, welcher sagt, der Koj gleiche diesbezüglich dem Kote. Raba sagte nämlich: Hat man Erde geholt, um damit KotAuch diesbezüglich besteht ein Zweifel, ob es nämlich zur Verwendung kommt.zu bedecken, so darf man damit das Blut eines Geflügels bedecken, um damit das Blut eines Geflügels zu bedecken, so darf man damit keinen Kot bedecken. 
"
Beitzah 8b:13,"Schließe hieraus. Rami, Sohn des R. Jeba, erklärte: Das Blut des Koj darf man deshalb nicht bedecken, weil zu berücksichtigen ist, man könnte seinen Talg erlaubenMan würde annehmen, er sei ein Wild.. – 
"
Beitzah 8b:14,"Demnach sollte dies auch am Wochentage gelten!? – Am Wochentage nimmt man an, er wolle im Hofe graben. – 
"
Beitzah 8b:15,"Was ist anzunehmen, wenn man ihn auf dem Müllhaufen schlachtet!? Was ist anzunehmen, wenn man um Rat frägt!? – 
"
Beitzah 8b:16,"Vielmehr, am Wochentage heißen ihn die Rabbanan, wenn es auch zweifelhaft ist, sich bemühen und [das Blut] bedecken gehen, aber würden sie am Festtage, wenn es zweifelhaft ist, ihn sich bemühen und es bedeckenDer Fragende schließt daraus, daß es entschieden ein Wild ist.eißen!?
"
Beitzah 8b:17,"R. Zera lehrte: Sie sagten es nicht nur von einem Koj, vielmehr darf man auch, wenn man ein Vieh und ein Wild oder ein Geflügel geschlachtet hat und das Blut desselben vermischt worden ist, es am Festtage nicht bedecken. 
"
Beitzah 8b:18,"R.Jose b.Jasjan sagte: Dies nur, wenn man es nicht mit einem Schaufelstich bedecken kann, wenn man es aber mit einem Schaufelstich bedecken kann, ist es erlaubt. – 
"
Beitzah 8b:19,"SelbstverständlichDer eine Schaufelstich erfolgt für das Wild, sodaß wegen des Viehs nichts erfolgt ist.!? – Man kömite glauben, bei einem Schaufelstich seien zwei Schaufelstiche zu berücksichtigen, so lehrt er uns.
"
Beitzah 8b:20,"Raba sagte: Hat man Geflügel am Vorabend des Festes geschlachtet, so darf man [das Blut] nicht am Festtage bedecken. 
"
Beitzah 9a:1,"Hat man Teig am Vorabende des Festes bereitet, so darf man die Teighebe am Festtage absondern. Der Vater Šemuéls sagte: Wenn man Teig am Vorabend des Festes bereitet hat, darf man die Teighebe am Festtage nicht absondern. – 
"
Beitzah 9a:2,"Šemuél streitet demnach gegen seinen Vater, denn Šemuél sagte, man dürfe von, ausländischem TeigeVon dem die Teighebe nur rabbanitisch abzusondern ist; die Genießbarkeit hängt nicht von der Absonderung ab u. müßte auch am Festtage erlaubt sein.zunächst essen und die Teighebe zurücklassen!? 
"
Beitzah 9a:3,"Raba erwiderte: Pflichtet etwa Šemuél nicht bei, daß sie, sobald man sie als solche bestimmt hat. Gemeinen verboten ist!?
"
Beitzah 9a:4,"<sup>iii,1</sup> <b>D</b><small>IE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, MAN DÜRFE DIE</small> L<small>EITER NICHT VON EINEM</small> T<small>AUBENSCHLAGE ZUM ANDEREN TRAGEN, WOHL ABER VON EINEM</small> F<small>LUGLOCHE NACH DEM ANDEREN NEIGEN; DIE</small> S<small>CHULE</small> H<small>ILLELS ERLAUBT DIES</small>.
"
Beitzah 9a:5,"GEMARA. R. Ḥanan b.Ami sagte: Der Streit besteht nur, wenn auf öffentlichem Gebiete, denn die Schule Šammajs ist der Ansicht, wer dies sieht, könnte glauben, er wolle das Dach verschmieren, und die Schule Hillels ist der Ansicht, der Taubenschlag beweise es, wenn, aber in Privatgebiet, so stimmen alle über ein, daß es erlaubt sei. – 
"
Beitzah 9a:6,"Dem ist ja aber nicht so, R. Jehuda sagte ja im Namen Rabhs, was die Weisen des Anscheins wegen verboten haben, sei auch in der verborgensten Kammer verboten!? – Hierüber streiten Tannaím, denn es wird gelehrt: Man breite sieNaßgevvordene Kleider am Sabbath.vor der Sonne aus, jedoch nicht vor dem Volke; R. Elea͑zar und R. Šimo͑n verbieten dies.
"
Beitzah 9a:7,"Manche lesen: R. Ḥanan b.Ami sagte: Der Streit besteht nur, wenn in Privatgebiet, denn die Schule Šammajs hält nämlich von [der Lehre] R. Jehudas im Namen Rabhs und die Schule Hillels hält nichts von [der Lehre] R. Jehudas im Namen Rabhs, aber wenn auf öffentlichem Gebiete, stimmen alle überein, daß es verboten sei. – 
"
Beitzah 9a:8,"Rabh ist demnach der Ansicht der Schule ŠammajsWährend die Halakha nach der Schule Hillels entschieden wird.!? – 
"
Beitzah 9a:9,"Hierüber [streiten] Tannaím, denn es wird gelehrt: Man breite sie vor der Sonne aus, jedoch nicht vor dem Volke; R. Elea͑zar und R. Šimo͑n Anerbieten dies. – 
"
Beitzah 9b:1,"Unsere Mišna vertritt also nicht die Ansicht des Autors der folgenden Lehre: R.Šimo͑n b.Elea͑zar sagte: Die Schule Šammajs und die Schule Hillels stimmen überein, daß man die Leiter von einem Taubenschlage zum andern bringen dürfe, sie streiten nur über das Zurückbringen; die Schule Šammajs sagt, man dürfe sie nicht zurückbringen, und die Schule Hillels sagt, man dürfe sie auch zurückbringen. 
"
Beitzah 9b:2,"R. Jehuda sprach: Diese Worte gelten nur von einer Taubenschlagleiter, über eine Söllerleiter aber stimmen alle überein, daß es verboten sei. R. Dosa sagt, man dürfe sie von einem Flugloche nach dem anderen neigen. Manche sagen im Namen R. Dosas, man dürfe sie auch herantänzeln.
"
Beitzah 9b:3,"Die Söhne R. Ḥijas gingen auf die Dörfer hinaus, und als sie zurückkamen, fragte sie ihr Vater: Ist euch irgend eine [Rechtsfrage] vorgelegt worden? Diese erwiderten: Ein Fall von einer Leiter ist uns vorgelegt worden, und wir erlaubten es. Da sprach er zu ihnen: Gehet hinaus und verbietet, was ihr erlaubt habt. 
"
Beitzah 9b:4,"Sie hatten nämlich gefolgert: wenn R. Jehuda sagt, sie streiten nicht über eine Söllerleiter, so ist wohl der erste Tanna der Ansicht, sie streiten wohl. Das ist aber nichts; R. Jehuda erklärt nur den Grund des ersten Tanna. – 
"
Beitzah 9b:5,"Woher dies? – Weil er lehrt, man dürfe die Leiter von einem Taubenschlage zum andern bringen. Wieso heißt es, wenn du sagen wolltest, sie streiten über eine Söllerleiter, man dürfe die Leiter von einem Taubenschlage zum andern bringen, es müßte ja heißen, man dürfe die Leiter an einen Taubenschlag bringen!? Wahrscheinlich ist dies wie folgt zu verstehen: nur die Taubenschlagleiter, nicht aber eine Söllerleiter. – 
"
Beitzah 9b:6,"Und jene!? – Es heißt ja nicht Taubenschlagleiter, vielmehr heißt es von einem Taubenschlage zum andern, auch zu mehreren Taubenschlägen. 
"
Beitzah 9b:7,"Manche lesen: Diese erwiderten: Ein Fall vom Neigen der Söllerleiter ist uns vorgelegt worden, und wir erlaubten es. Da sprach er zu ihnen: Gehet hinaus und verbietet, was ihr erlaubt habt. Sie hatten nämlich gefolgert: was der erste Tanna verbietet, erlaubt R. Dosa. Das ist aber nichts; vielmehr verbietet R. Dosa, was der erste Tanna erlaubt.
"
Beitzah 9b:8,"W<small>OHL ABER VON EINEM</small> F<small>LUGLOGHE NACH DEM ANDEREN NEIGEN &amp;C</small>. Demnach ist bei der Festfreude die Schule Šammajs erschwerend und die Schule Hillels erleichternd.
"
Beitzah 9b:9,"Ich will auf einen Widerspruch hinweisen: Wer am Festtage Wild oder Geflügel schlachtet, grabe, wie die Schule Šammajs sagt, mit einer Schaufel [Erde auf] und bedecke [das Blut]; die Schule Hillels sagt, man dürfe nur dann schlachten, wenn man Erde vom Tage [vorher] vorrätig hat. 
"
Beitzah 9b:10,"R. Joḥanan erwiderte: Man wende die Lehre um. – Wozu dies: vielleicht ist die Schule Šammajs dieser Ansicht nur da, wo eine [in der Erde] steckende Schaufel bereits vorhanden ist, nicht aber, wo eine bereits [in der Erde] steckende Schaufel nicht vorhandenVielmehr könnte der Zuschauende glauben, er wolle am Feste das Dach ausbessern.ist. 
"
Beitzah 9b:11,"Oder vielleicht ist die Schule Hillels dieser Ansicht nur hierbei, wo der Taubenschlag daraufDaß keine andere verbotene Arbeit verrichtet werden soll.hinweist, da aber nicht!? 
"
Beitzah 9b:12,"Wenn man aber auf einen Widerspruch hinweisen will, so ist es folgender: Die Schule Šammajs sagt, man dürfe [von den Tauben] nur dann nehmen, wenn man sie am Tage [vorher] befühlt hat; die Schule Hillels sagt, man brauche nur sich [vorher] hinzustellen, und zu sagen: diese oder jene werde ich nehmen. 
"
Beitzah 9b:13,"Demnach ist bei der Festfreude die Schule Šammajs erschwerend und die Schule Hillels erleichternd. Ich will auf einen Widerspruch hinweisen: Wer am Festtage Wild oder Geflügel schlachtet [&amp;c.] R. Joḥanan erwiderte: Man wende die Lehre um. – 
"
Beitzah 9b:14,"Wozu dies: vielleicht ist die Schule Šammajs dieser Ansicht nur da, wo eine [in der Erde] steckende Schaufel bereits vorhanden ist, 
"
Beitzah 10a:1,"nicht aber, wo eine bereits [in der Erde] steckende Schaufel nicht vorhandenVielmehr könnte der Zuschauende glauben, er wolle am Feste das Dach ausbessern. ist. Oder vielleicht ist die Schule Hillels dieser Ansicht nur hierbei, wo es sich ja um das [rabbanitische Verbot des] Abgesonderten handelt, daher genügt es, wenn man sich [vorher] hingestellt und gesagt hat: diese oder jene werde ich nehmen, da aber nicht!? 
"
Beitzah 10a:2,"Wenn man aber auf einen Widerspruch hinweisen will, so ist es folgender: Die Schule Šammajs sagt, man dürfe [am Feste] keine StampfeDie zum Zerstampfen von Graupen, also für eine verbotene Arbeit bestimmt ist.nehmen, um darauf Fleisch zu zerhacken; die Schule Hillels erlaubt dies. Demnach ist bei der Festfreude die Schule Šammajs erschwerend und die Schule Hillels erleichternd. Ich will auf einen Widerspruch hinweisen: Wer am Festtage Wild oder Geflügel schlachtet &amp;c. R. Joḥanan erwiderte: Man wende die Lehre um. – 
"
Beitzah 10a:3,"Wozu dies: vielleicht ist die Schule Šammajs dieser Ansicht nur da, wo eine [in der Erde] steckende Schaufel bereits vorhanden ist, nicht aber, wo eine bereits [in der Erde] stekkende Schaufel nicht vorbandenVielmehr könnte der Zuschauende glauben, er wolle am Feste das Dach ausbessern.ist. Oder vielleicht ist die Schule Hillels dieser Ansicht nur hierbei, wo es immerhin ein GerätDas man immerhin fortbewegen darf.st, da aber nicht!? 
"
Beitzah 10a:4,"Wenn man aber auf einen Widerspruch hinweisen will, so ist es folgender: Die Schule Šammajs sagt, man dürfe die [am Feste abgezogene] Haut nicht zum DarauftretenWodurch es gegerbt wird.hinlegen, auch nur dann aufheben, wenn ein olivengroßes Stück FleischWodurch es am Feste verwendbar ist.Maran haftet; die Schule Hillels erlaubt dies. 
"
Beitzah 10a:5,"Demnach ist bei der Festfreude die Schule Šammajs erschwerend und die Schule Hillels erleichternd. Ich will auf einen Widerspruch hinweisen: Wer am Festtage Wild oder Geflügel schlachtet &amp;c. R. Joḥanan erwiderte: Man wende die Lehre um. – 
"
Beitzah 10a:6,"Wozu dies: vielleicht ist die Schule Šammajs dieser Ansicht nur da, wo ine bereits [in der Erde] steckende Schaufel vorhanden ist, nicht aber, wo eine bereits [in der Erde] steckende Schaufel nicht vorhandenVielmehr könnte der Zuschauende glauben, er wolle am Feste das Dach ausbessern.ist. Oder vielleicht ist die Schule Hillels dieser Ansicht nur hierbei, weil man darauf sitzen kann, da aber nicht!? 
"
Beitzah 10a:7,"Wenn man aber auf einen Widerspruch hinweisen will, so ist es folgender: Die Schule Šammajs sagt, man dürfe am Festtage die Schalter [der Krämerbuden] nicht abnehmendUnd als Ladentisch aufschlagen.; die Schule Hillels erlaubt sogar sie wieder einzuhängen. Demnach ist bei. der Festfreude die Schule Šammajs erschwerend und die Schule Hillels erleichternd. Ich will auf einen Widerspruch hinweisen: Wer am Festtage Wild oder Geflügel schlachtet [&amp;c.]. 
"
Beitzah 10a:8,"Allerdings befindet sich die Schule Šammajs nicht mit sich selbst in Widerspruch, denn da ist ja eine bereits [in der Erde] steckende Schaufel vorhanden, hierbei aber ist keine [in der Erde] steckende SchaufelDh. hierbei gibt es keine solche Begründung.vorhanden, aber die Schule Hillels befindet sich ja in Widerspruch mit sich selbst!? 
"
Beitzah 10a:9,"R. Joḥanan erwiderte: Man wende die Lehre um. Oder aber die Schule Hillels ist dieser Ansicht nur hierbei, weil es bei Geräten kein Bauen und kein NiederreißenNach der Schule S.s wird das Aufschlagen und Einheben des Schalters als Niederreißen bezw. Bauen betrachtet u. ist daher verboten.gibt, da aber nicht.
"
Beitzah 10a:10,"<sup>iii,2</sup> <b>D</b><small>IE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, MAN DÜRFE</small> [<small>VON DEN</small> T<small>AUBEN</small>] <small>NUR DANN NEHMEN, WENN MAN SIE AM</small> T<small>AGE</small> [<small>VORHER</small>] <small>BEFÜHLT HAT; DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, MAN BRAUCHE NUR SICH VORHER HINZUSTELLEN UND ZU SAGEN: DIESE ODER JENE WERDE ICH NEHMEN</small>.
"
Beitzah 10a:11,"GEMARA. R. Ḥanan b. Ami sagte: Der Streit besteht nur über die erste Brut; die Schule Šammajs ist der Ansicht, es sei zu berücksichtigen, er könnte [vom Schlachten] abkommenMan hat sie dann unnötig befühlt u. bewegt; hat man dies aber am Tage vorher getan, so ist man dazu entschlossen., 
"
Beitzah 10a:12,"und die Schule Hillels ist der Ansicht, dies sei nicht zu berücksichtigen; über die zweite BrutMan pflegt nur die 1. Brut bei den Alten zu lassen.aber stimmen alle über ein, man brauche nur sich vorher hinzustellen und zu sprechen: diese oder jene werdeich nehmen. – 
"
Beitzah 10a:13,"Wozu braucht man nach der Schule Hillels zu sagen: diese oder jene werde ich nehmen, sollte man sagen: von diesen werde ich morgen nehmen!? 
"
Beitzah 10a:14,"Wolltest du erwidern, die Schule Hilleis halte nichts von der fiktivenEr habe bei seiner Bestimmung am vorangehenden Tage tatsächlich diejenigen Tauben gemeint, die er am folgenden Tage herausnimmt.Feststellung, so haben wir ja gelernt: Befindet sich der LeichnamCf. Num. 19,14ff.in einem Hause, das mehrere Türen hat, so ist [der Holilraum] aller Türen unrein; 
"
Beitzah 10a:15,"wird eine derselben geöffnet, so ist diese unrein, und alle übrigen sind rein; hat man beschlossen, ihn durch eine derselben oder durch ein vier zu vier [Handbreiten] großes Fenster hinauszubringen, so schützen diese alle übrigen Türen. 
"
Beitzah 10a:16,"Die Schule Šammajs sagt, dies nur, wenn man es noch vor seinem Tode beschlossen hatte; die Schule Hillels sagt, auch wenn nach seinem TodeNach der letzten hat man vorher fiktiv die Tür bestimmt, die man später benutzt.!? – 
"
Beitzah 10a:17,"Hierzu wurde ja gelehrt: Rabba sagte, daß nämlich Geräte, die nachherAuch nach der Schule H.s; hierbei gibt es überhaupt keine fiktive Feststellung.hineinkommen, rein sind. Ebenso sagte R. Ošaja, daß nämlich Geräte, die nachher hineinkommen, rein sind. Also nur nachher, rückwirkend aber nicht. 
"
Beitzah 10a:18,"Raba erklärte: Tatsächlich auch rückwirkendDie Schule H.s hält also von der fiktiven Feststellung., hier aber aus dem Grunde, man könnte eine herumbewegen und sie wieder loslassen, eine herumbewegen und sie wieder loslassen, und man würde nicht zur Verwendung gelangende Dinge herumbewegt haben. – 
"
Beitzah 10a:19,"Du sagtest ja aber, es genüge, wenn man nur sagt: diese oder jene werde ich nehmen!? – Dies nur am Vorabend des FesttagesWenn man sie dann untersucht hat u. weiß, welche man morgen nehmen will., 
"
Beitzah 10b:1,"am Festtage selbst aber ist es verboten, weil es vorkommen kann, daß man die fett [aussehenden] mager oder die mager [aussehenden] fett findet, und man würde nicht zur Verwendung gelangende Dinge herumbewegt haben. Auch kann man sie alle mager finden und loslassen, und man würde um seine Festfreude kommen.
"
Beitzah 10b:2,"<sup>iv</sup> <b>W</b><small>ENN MAN SCHWARZE</small> [T<small>AUBEN</small>] <small>BESTIMMT HAT UND WEISSE FINDET, WEISSE</small> [<small>BESTIMMT HAT</small>] <small>UND SCHWARZE FINDET, ODER ZWEI</small> [<small>BESTIMMT HAT</small>] <small>UND DREI FINDET, SO SIND SIE VERBOTEN; WENN MAN ABER DREI BESTIMMT HAT UND ZWEI FINDET, SO SIND SIE ERLAUBT</small>. 
"
Beitzah 10b:3,"W<small>ENN MAN DIE IM</small> N<small>ESTE</small> [<small>BESTIMMT HAT</small>] <small>UND WELCHE VOR DEM</small> N<small>ESTE FINDET, SO SIND SIE VERBOTEN; SIND ABER AUSSER DIESEN KEINE ANDEREN VORHANDEN, SO SIND SIE ERLAUBT</small>.
"
Beitzah 10b:4,"GEMARA. Selbstverständlich!? Rabba erwiderte: Hier handelt es sich um den Fall, wenn man schwarze und weißeIn 2 von einander getrennten Nestern.bestimmt hat, mid am folgenden Morgen die schwarzen auf dem Platze der weißen und die weißen auf dem Platze der schwarzen gefunden hat; man könnte glauben, sie seien dieselben und hätten nur [das Nest] gewechselt, so lehrt er uns, [daß man annehme,] jene seien fort und diese seien andere. – 
"
Beitzah 10b:5,"Dies wäre somit eine Stütze für R. Ḥanina, denn R. Ḥanina sagte, bei Mehrheit und WahrscheinlichkeitWahrscheinlich ist es, daß die Tauben dieselben sind u. nur ihre Nester gewechselt haben, dagegen bilden die fremden Tauben, dh. die nicht bestimmten, die Mehrheit, und der talm. Grundsatz lautet: was sich absondert, kommt von der Mehrheit.richte man sich nach der Mehrheit. – 
"
Beitzah 10b:6,"Wie Abajje erklärtCf. infra Fol. 11a.hat, wenn sich ein Brett vor dem TaubenschlageAuf dem fremde Tauben sich niederlassen; somit ist es auch wahrscheinlich, daß sobald die im Schlage befindlichen ihr Nest verlassen, diese ihren Platz einnehmen. befindet, ebenso auch hierbei, wenn sich da ein Brett befindet.
"
Beitzah 10b:7,"O<small>DER ZWEI BESTIMMT HAT UND DREI FINDET, SO SIND SIE VERBOTEN</small>. Wie du es nimmst: sind es andere, so sind es ja andere, sind es dieselben, so ist ja eine andere unter ihnen.
"
Beitzah 10b:8,"D<small>REI BESTIMMT HAT UND ZWEI FINDET, SO SIND SIE ERLAUBT</small>. Aus welchem Grunde? – Es sind dieselben, nur ist eine fortgeflogen. 
"
Beitzah 10b:9,"Unsere Mišna lehrt somit nach Rabbi und nicht nach den Rabbanan, denn es wird gelehrt: Wenn man eine MineVom 2. Zehnten.hingelegt hat und zweihundert [Denare] findet, so besteht [dieses Geld] aus Profanem und zweitem Zehnten – so Rabbi; die Weisen sagen, alles sei profan. 
"
Beitzah 10b:10,"Wenn man zweihundert [Denare] hingelegt hat und eine [Mine] findet, so ist eine Mine geblieben und eine Mine fortgenommen worden – so Rabbi; die Weisen sagen, alles sei profan. – 
"
