Index Title,Makkot
Makkot 7b:6,"Die Rabbanan lehrten. Num. 35,22.<i>Wenn von ungefähr</i>, ausgenommen, wenn von einer EckeWenn der Getötete um die Ecke bog, sodaß er ihn überhaupt nicht wahrgenommen hatte. aus; <i>ohne daß Feindschaft vorlag</i>, ausgenommen der Feind; <i>hat er ihn gestoßen</i>, wenn er ihn mit seinem Körper gestoßen hat; <i>oder [ein Gerät] auf ihn geworfen</i>, dies schließt das Niederlassen zum Zwecke des HochhebensZum Ausholen; cf. Anm. 3.ein; <i>unabsichtlich</i>, ausgenommen der Fall, wenn man [den Gegenstand] nach dieser Seite werfen wollte und er nach jener Seite gefallen ist.
"
Makkot 7b:7,"Ex. 21,13.<i>Wenn er es nicht beabsichtigt hat</i>, ausgenommen der Fall, wenn er zwei [Ellen] werfen wollte und vier geworfen hat.Dt. 19,5.<i>Wenn einer mit seinem Nächsten in den Wald geht</i>; wie in den Wald sowohl der Beschädigte als auch der Beschädigende hineinzugehen befugt ist, ebenso auch in jedem anderen Falle, wenn da sowohl der Beschädigte als auch der Beschädigende hineinzugehen befugt ist.
"
Makkot 7b:8,"R. Abahu fragte R. Joḥanan: Wie ist es, wenn jemand auf eine Leiter steigt und unter ihm eine Sprosse sich löst und auf einen fällt und ihn tötet; heißt es in diesem Falle hochhebend oder niederlassend!? Dieser erwiderte: Du hast also den Fall berührt, wenn das Niederlassen zum Zwecke des Hochhebens erfolgt. 
"
Makkot 7b:9,"Er wandte gegen ihn ein: Die Regel hierbei ist: wenn beim Niederlassen, so muß er in die Verbannung, wenn nicht beim Niederlassen, so muß er nicht in die Verbannung. [Die Worte] nicht beim Niederlassen’ schließen doch wohl einen solchen Fall ein!? – Auch nach deiner Auffassung schließen ja [die Worte] ‘wenn beim Niederlassen’ den Fall vom Schlächter ein, 
"
Makkot 7b:10,"ebenso schließen auch jene den Fall vom Schlächter ein. Es wird nämlich gelehrt: Wenn ein Schlächter beim Fleischhauen [jemand getötet hat], so ist er, wie das Eine lehrt, wenn [beim Ausholen] nach vorn, schuldig, und wenn nach hinten, frei, wie ein Anderes lehrt, wenn nach hinten, schuldig, und wenn nach vorn, frei, wie ein Anderes lehrt, ob nach vorn oder nach hinten schuldig, und wie ein Anderes lehrt, ob nach vorn oder nach hinten frei. Jedoch widersprechen [diese Lehren] einander nicht; 
"
Makkot 7b:11,"eine spricht von dem Falle, wenn es vorn beim Niederlassen und hinten beim Hochheben erfogt ist, eine von dem Falle, wenn vorn beim Hochheben und hinten beim Niederlassen, 
"
Makkot 7b:12,"eine von dem Falle, wenn vorn und hinten beim Niederlassen, und eine von dem Fälle, wenn vorn und hinten beim Hochheben. 
"
Makkot 7b:13,"Es ist anzunehmen, daß hierüberÜber den Fall, bezüglich dessen R. Abahu fragte.folgende Tannaím streiten: Wenn jemand auf eine Leiter steigt und unter ihm eine Sprosse sich löst [und einen tötet], so ist es, wie das Eine lehrt, schuldig, und wie ein Anderes lehrt, frei. Ihr Streit besteht wahrscheinlich in folgendem: einer ist der Ansicht, dies heiße ‘beim Niederlassen’, und einer ist der Ansicht, dies heiße ‘beim Hochheben’. – 
"
Makkot 7b:14,"Nein, alle sind der Ansicht, dies heiße ‘beim Hochheben’, dennoch besteht hier kein Widerspruch; einer spricht von der EntschädigungWenn er ihn nicht getötet, sondern nur beschädigt hat; bei einer Beschädigung ist man auf jeden Fall zur Entschädigung verpflichtet.und einer spricht von der Verbannung. 
"
Makkot 7b:15,"Wenn du willst, sage ich: beide sprechen von der Verbannung, dennoch besteht hier kein Widerspruch; einer spricht von dem Falle, wenn sie wurmstichig war, und einer von dem Falle, wenn sie nicht wurmstichig war. 
"
Makkot 7b:16,"Wenn du aber willst, sage ich: beide sprechen von dem Falle, wenn sie nicht wurmstichig war, dennoch besteht hier kein Widerspruch; einer spricht von dem Falle, wenn sie fest saß, und einer von dem Falle, wenn sie nicht fest saß.
"
Makkot 7b:17,"<b>W</b><small>ENN DAS</small> E<small>ISEN VOM</small> S<small>TIELE ABGLEITET UND JEMAND TÖTET, SO MUSS ER, WIE</small> R<small>ABBI SAGT, NICHT IN DIE</small> V<small>ERBANNUNG, UND WIE DIE</small> W<small>EISEN SAGEN, IN DIE</small> V<small>ERBANNUNG; WENN ES</small>Das Eisen (die Axt); nach Raschi ein abspringender Span.<small>ABER VOM ZU SPALTENDEN</small> H<small>OLZE</small> [<small>ZURÜCKPRALLT</small>], <small>SO MUSS ER, WIE</small> R<small>ABBI SAGT, IN DIE</small> V<small>ERBANNUNG, UND WIE DIE</small> W<small>EISEN SAGEN, NICHT IN DIE</small> V<small>ERBANNUNG</small>. <sup>i,2</sup>
"
Makkot 7b:18,"GEMARA. Es wird gelehrt: Rabbi sprach zu den Weisen: Heißt es denn:Dt. 19,5.<i>und das Eisen gleitet ab von seinem Holze</i>, es beißt ja nur: <i>vom Holze</i>. Ferner wird obenIm vorangehenden Satze: um Holz zu fällen.von Holz gesprochen und unten wird ebenfalls von Holz gesprochen, wie nun oben das zu spaltende Holz, ebenso auch unten das zu spaltende Holz. 
"
Makkot 7b:19,"R. Ḥija b. Aši sagte im Namen Rabhs: Beide folgerten sie ihre Ansichten aus einem Schriftverse. <i>Und das Eisen gleitet ab vom Holze</i>; Rabbi ist der Ansicht, die überlieferte [Schreibart] sei maßgebend, und diese lautet: <i>nišal</i>Passive Form, dh. wenn das Eisen vom Holze zurückgestoßen wird (zurückprallt). Die Qalform hört sich so an, als hieße es <span dir=""rtl"">נאשל</span> oder <span dir=""rtl"">נהשל</span>; so Raschi; besser die Erklärung Luzzattos (Briefe, S. 567): <span dir=""rtl"">נשל</span> hat transitive und intransitive Bedeutung; nach Rabbi wird es hier transitiv gebraucht, nach den Rabbanan dagegen intransitiv. Demnach ist der Einwurf des T. u. die folgende Antwort ohne Bedeutung. [abgegleitet wird], und die Rabbanan sind der Ansicht, die Lesart sei maßgebend, und diese lautet: <i>našal</i> [selbst abgleitetVom Stiele.]. – 
"
Makkot 7b:20,"Ist denn Rabbi der Ansicht, die überlieferte [Schreibart] sei maßgebend, 
"
Makkot 8a:1,"R. Jiçḥaq b. R. Joseph sagte ja im Namen R. Joḥanans, daß Rabbi, R. Jehuda b. Roe͑ç, die Schule Šammajs, R. Šimo͑n und R. A͑qiba alle der Ansicht sind, die Lesart sei maßgebend!? – Deshalb sagte er auch ‘ferner’Mit der 2. Begründung ist er von der 1. zurückgetreten..
"
Makkot 8a:2,"R. Papa sagte: Wenn jemand eine Erdscholle gegen eine Dattelpalme wirft und Datteln herabfallen und einen töten, so haben wir den Streit zwischen Rabbi und den Rabbanan. – Selbstverständlich!? – Man könnte glauben, dies gelte [nach Rabbi] als indirekte Wirkung, so lehrt er uns. – 
"
Makkot 8a:3,"Was gilt nun nach Rabbi als indirekte Wirkung? – Wenn jemand eine Erdscholle gegen eine Stange wirft und diese umfällt und einen Dattelkamm trifft, und Datteln herabfallen und einen töten.
"
Makkot 8a:4,"<sup>ii</sup> <b>W</b><small>ENN JEMAND EINEN</small> S<small>TEIN AUF ÖFFENTLICHES</small> G<small>EBIET GEWORFEN UND DIESER EINEN GETÖTET HAT, SO MUSS ER IN DIE</small> V<small>ERBANNUNG</small>. R. E<small>LIE͑ZER B.JA͑QOB SAGTE</small>: W<small>ENN NACHDEM DER</small> S<small>TERN AUS SEINER</small> H<small>AND GEKOMMEN WAR, JENER SEINEN</small> K<small>OPF HERVORGESTRECKT HAT UND GETROFFEN WURDE, SO IST ER FREI</small>. 
"
Makkot 8a:5,"W<small>ENN JEMAND EINEN</small> S<small>TEIN IN SEINEN EIGENEN</small> H<small>OF GEWORFEN UND DIESER EINEN GETÖTET HAT, SO MUSS ER, WENN DER</small> B<small>ESCHÄDIGTE DA HINEINZUGEHEN BEFUGT WAR, IN DIE</small> V<small>ERBANNUNG, WENN ABER NICHT, SO MUSS ER NICHT IN DIE</small> V<small>ERBANNUNG, DENN ES HEISST</small>:Dt. 19,5.<i>wenn einer mit seinem Nächsten in den Wald geht</i>; <small>WIE IN DEN</small> W<small>ALD SOWOHL DER</small> B<small>ESCHÄDIGTE ALS AUCH DER BESCHÄDIGENDE HINEINZUGEHEN BEFUGT IST</small>, [<small>EBENSO AUCH SONST, WENN SOWOHL DER</small> B<small>ESCHÄDIGTE ALS AUCH DER</small> B<small>ESCHÄDIGENDE DA HINEINZUGEHEN BEFUGT IST</small>]; a<small>USGENOMMEN IST DER PRIVATE</small> H<small>OF, IN DEN HINEINZUGEHEN NTCHT</small> [<small>JEDER</small>] <small>BEFUGT IST</small>. 
"
Makkot 8a:6,"A<small>BBA</small> Š<small>AÚL SAGTE:</small> N<small>UR WENN</small> [<small>DIE</small> H<small>ANDLUNG</small>] <small>GLEICH DEM</small> H<small>OLZHAUEN EINE FREIGESTELLTE IST, AUSGENOMMEN IST EIN</small> V<small>ATER, DER SEINEN</small> S<small>OHN PRÜGELT, EIN</small> L<small>EHRER, DER SEINEN</small> S<small>CHÜLER ZÜCHTIGT, UND EIN GERICHTSDIENER</small>Der im Auftrag des Gerichtes handelt..
"
Makkot 8a:7,"GEMARA. Wenn nach öffentlichem Gebiete, so ist dies ja vorsätzlich!? R. Šemuél b. Jiçḥaq erwiderte: Wenn einer seine Wand niederreißt. – So sollte er doch aufpassen!? – Wenn er seine Wand nachts niederreißt. – Nachts sollte er ja ebenfalls aufpassen!? – 
"
Makkot 8a:8,"Wenn er die Wand auf einen Schuttplatz wirft. – Was für ein Schuttplatz: verkehrt da das Publikum, so ist dies ja sein Verschulden, und verkehrt da das Publikum nicht, so ist dies ja ein Mißgeschick!? 
"
Makkot 8a:9,"R. Papa erwiderte: Hier handelt es sich um einen Schuttplatz, auf den [Menschen] nachts abzutreten pflegen, nicht aber am Tage, es aber vorkommt, daß miancheir da auch am Tage abtritt; sein Verschulden ist dies nicht, da am Tage niemand da abzutreten pflegt, ein Mißgeschick ebenfalls nicht, da es vorkommt, daß mancher da [auch am Tage] abtritt.
"
Makkot 8a:10,"R. E<small>LIE͑ZER B</small>. J<small>A͑QOB SAGT</small> &amp;<small>C</small>. Die Rabbanan lehrten :Dt. 19,5.<i>Und treffen wird</i>, ausgenommen der Fall, wenn jener sich treffen läßt. Hieraus folgerte R. Elie͑zer b. Ja͑qob, daß, wenn nachdem der Stein aus seiner Hand gekommen war, jener seinen Kopf hervorgestreckt hat und getroffen wurde, er frei sei. – 
"
Makkot 8a:11,"Demnach ist unter <i>maça</i> [treffen] zu verstehen, wenn er da bereits vorher war; ich will auf einen Widerspruch hinweisen :Lev. 25,26.<i>Und findet [maça]</i>, ausgenommen der Fall, wenn er es bereitsWer sein Grundstück aus Not verkauft hat, ist berechtigt, sobald er Geld erwirbt, dasselbe auszulösen (cf. Ley. 25,25ff.); dies jedoch nur dann, wenn er dies aus wirklicher Not getan hat, nicht aber, wenn er beim Verkaufe Besitz hatte; er kann es nicht mit dem Erlöse eines anderen Grundstückes einlösen.hatte; er kann nicht ein fernliegendes [Feld] verkaufen und ein nahes einlösen, ein schlechtes [verkaufen] und ein gutes einlösen!? 
"
Makkot 8a:12,"Raba erwiderte: Hier berücksichtige man den Zusammenhang des Schriftverses und dort berücksichtige man den Zusammenhang des Schriftverses. Dort berücksichtige man den Zusammenhang des Schriftverses: man vergleiche das ‘finden’ mit dem ‘erreichen seiner Hand’; wie unter ‘erreichen’ zu verstehen ist, erst jetzt, ebenso ist auch unter ‘finden’ zu verstehen, erst jetzt. Hier berücksichtige man ebenfalls den Zusammenhang des Schriftverses: man vergleiche das ‘treffen’ mit ‘Wald’; wie der Wald schon vorher vorhanden war, ebenso ‘treffen’, den, der da schon vorher anwesend war.
"
Makkot 8a:13,"<b>W</b><small>ENN JEMAND EINEN STEIN GEWORFEN</small> &amp;<small>C</small>. Einer von den Jüngern sprach zu Raba: Woher, daß [die Schrift] vom Holzhauen zu freigestelltem Zwecke spricht, vielleicht spricht sie vom Holzhauen [zum Bau] einer Festhütte oder für den AltarWörtlich: für den Holzstoß, zum Verbrennen der Opfer., dennoch sagt der Allbarmherzige, er müsse in die Verbannung!? Dieser erwiderte: Da man, wenn man gehauenes Holz vorfindet, es nicht zu hauen braucht, so ist [das Hauen] kein GebotNur die Errichtung der Festhütte ist ein Gebot und nicht das Fällen des hierzu erforderlichen Holzes.. 
"
Makkot 8a:14,"Rabina wandte gegen Raba ein: Ausgenommen ist ein Vater, der seinen Sohn prügelt, ein Lehrer, der seinen Schüler züchtigt, und ein Gerichtsdiener. Hierbei ist ja ebenfalls einzuwenden: wenn er gelehrig ist, ist dies ja kein Gebot, somit ist es auch anderenfalls kein Gebot? – Hierbei ist es ein Gebot, auch wenn er gelehrig ist, denn es heißt :Pr. 29,17.<i>züchtige deinen Sohn, so wird er dir Behagen gewähren und deiner Seele Leckerbissen reichen</i>. 
"
Makkot 8a:15,"Später sagte Raba: Das, was ich gesagt habe, ist nichtsDh. diese Erklärung ist nicht nötig, da aus dem Schriftverse selber zu entnehmen ist, daß hier von einer freigestellten Handlung die Rede ist.. [Es heißt:] <i>wenn einer mit seinem Nächsten in den Wald geht</i>, also wenn es ihm hineinzugehen oder nicht hineinzugehen freisteht; wenn man nun sagen wollte, zum Zwecke einer gottgefälligen Handlung, so müßte er ja hineingehen. 
"
Makkot 8a:16,"R. Ada b. Ahaba sprach zu Raba: Ist denn überall, wo es <i>wenn</i> heißt, nur eine freigestellte Handlung zu verstehen, es heißt ja :Num. 19,20.<i>wenn jemand unrein wird und sich nicht entsändigt;</i> also nur dann, wenn die Verunreinigung freigestellt ist, somit wäre derDer unrein in den Tempel eintritt.frei, der sich an einem Pflichttoten verunreinigt hat, an dem man sich verunreinigen muß!? – 
"
Makkot 8a:17,"Anders ist es hierbei; die Schrift sagt:
"
Makkot 8b:1,"Num;. 19,13.<i>Er ist unrein</i>, in jedem Falle. – 
"
Makkot 8b:2,"Dies ist ja aber für folgende Lehre nötig: <i>Er ist unrein</i>, dies schließt den ein, der am selben Tage untergetauchtDer Untertauchende erlangt völlige Reinheit erst nach Sonnenuntergang und eventuell nach der Darbringung seines Opfers, wodurch er Sühne erlangt.ist;Num;. 19,13.<i>seine Unreinheit haftet ihm an</i>, dies schließt den ein, dem noch die SühneDer Untertauchende erlangt völlige Reinheit erst nach Sonnenuntergang und eventuell nach der Darbringung seines Opfers, wodurch er Sühne erlangt.fehlt! ? Dieser erwiderte: Ich folgere dies aus [dem WorteNum;. 19,13.<i>noch</i>. 
"
Makkot 8b:3,"Manche beziehen dies auf das folgende :Ex. 34,21.<i>Beim Pflügen und beim Mähen sollst du ruhen</i>. R. A͑qiba sagte: Da dies vom Pflügen und Ernten im Siebentjahre nicht nötig ist, denn es heißt bereits:Lev. 25,4.<i>du darfst dein Feld nicht besäen und deinen Weinberg nicht beschneiden</i>, so beziehe man es auf das Pflügen im Vorsiebentjahre für das Siebentjahr und auf die Ernte des Siebentjahres im Nachsiebentjahre. 
"
Makkot 8b:4,"R. Jišma͑él erklärte: Wie das Pflügen Freigestelltes ist, so auch das Mähen, wenn es Freigestelltes ist, ausgenommen das Mähen der Schwingegarbe, das Gebot ist. 
"
Makkot 8b:5,"Hierzu sprach einer von den Jüngern zu Raba: Woher, daß hier vom freigestellten Pflügen gesprochen wird, vielleicht vom Pflügen, für die Schwingegarbe, das ein Gebot ist, dennoch sagt der Allbarmherzige, daß man ruhe!? Dieser erwiderte ihm: Da man, wenn man [das Feld] gepflügt vorfindet, es nicht zu pflügen braucht, so ist dies kein GebotCf. Anm. 26 mut. mut.. 
"
Makkot 8b:6,"Rabina wandte gegen Raba ein: Ausgenommen ist ein Vater, der seinen Sohn prügelt, ein Lehrer, der seinen Schüler züchtigt, und ein Gerichtsdiener. Weshalb denn, man sollte doch sagen: wenn er gelehrig ist, ist dies ja kein Gebot, somit ist dies auch andernfalls kein Gebot!? – Hierbei ist es ein Gebot, auch wenn er gelehrig ist, denn es heißt: <i>züchtige deinen Sohn, so wird er dir Behagen gewähren</i>.
"
Makkot 8b:7,"Später sagte Raba: Das, was ich gesagt habe, ist nichtsCf. Anm. 28 mut. mut.; man vergleiche vielmehr das Mähen mit dem Pflügen, wie man nicht zu pflügen braucht, wenn man [das Feld] gepflügt vorfindet, ebenso wenn man es nicht zu mähen braucht, falls man es gemäht vorfindet; [bei der Schwingegarbe aber] ist es ja Gebot, sie zu mähen und darzubringen.
"
Makkot 8b:8,"<sup>iii,1</sup><b>D</b><small>ER</small> V<small>ATER MUSS WEGEN SEINES</small> S<small>OHNES</small>Wenn er ihn unvorsätzlich erschlägt.<small>UND DER</small> S<small>OHN MUSS WEGEN SEINES</small> V<small>ATERS IN DIE</small> V<small>ERBANNUNG</small>. J<small>EDERMANN MUSS WEGEN EINES</small> J<small>ISRAÉLITEN IN DIE</small> V<small>ERBANNUNG, UND EIN</small> J<small>ISRAÉLIT WEGEN EINES SOLCHEN, ABER NICHT WEGEN EINES</small> B<small>EISASSPROSELYTEN ; EIN</small> B<small>EISASSPROSELYT MUSS</small> (<small>NUR</small>) <small>WEGEN EINES</small> B<small>EISASSPROSELYTEN IN DIE</small> V<small>ERBANNUNG</small>.
"
Makkot 8b:9,"GEMARA. D<small>ER</small> V<small>ATER MUSS WEGEN SEINES</small> S<small>OHNES IN DIE</small> V<small>ERBANNUNG</small>. Du sagtest ja aber, ausgenommen sei ein Vater, der seinen Sohn prügelt!? – Wenn er gelehrig war. – Du sagtest ja aber, dies sei Gebot, auch wenn er gelehrig ist!? – Bei einem Handwerks-LehrlingWenn der Vater ihn beim Lehren eines Handwerks geschlagen hat; beim Lehren der Tora ist dies jedoch Gebot.. – 
"
Makkot 8b:10,"Mit einem Handwerke lehrt er ihn ja seinen LebensunterhaltEs ist Gebot, seinen Sohn ein Handwerk zu lehren; cf. Qid. Fol. 30b.!? – Wenn er bereits ein anderes gelernt hat.
"
Makkot 8b:11,"D<small>ER</small> S<small>OHN MUSS WEGEN DES</small> V<small>ATERS IN DIE</small> V<small>ERBANNUNG</small> &amp;<small>C</small>. Ich will auf einen Widerspruch hinweisen: <i>Der einen Menschen erschlagen</i>, ausgenommen, der seinen Vater erschlagen hat!? R. Kahana erwiderte: Dies ist kein Widerspruch; eines nach R. Šimo͑n und eines nach den Rabbanan. 
"
Makkot 8b:12,"Nach R. Šimo͑n, welcher sagt, die Erdrosselung sei eine schwerere [Todesart] als die Enthauptung, ist nur für die unvorsätzliche mit der Enthauptung belegte Handlung eine Sühne bestimmt worden, nicht aber für die unvorsätzliche mit der ErdrosselungAuf den vorsätzlichen Mord ist die Todesstrafe durch Enthauptung und auf die Verletzung eines Vaters die Todesstrafe durch Erdrosselung gesetzt; da nun der zu zwei Strafarten Verurteilte nur mit der strengeren bestraft wird, so wird der Mörder seines Vaters, der ihm gleichzeitig eine Verletzung beigebracht hat, nach RS., nach dem die Erdrosselung eine schwerere Todesart als die Enthauptung ist, durch die erstere hingerichtet. Die Verbannung, die dem Mörder Sühne verschafft, ist nur an Stelle der leichtesten Todesart gesetzt, somit muß der Mörder seines Vaters nach RŠ. nicht in die Verbannung.belegte Handlung, 
"
Makkot 8b:13,"nach den Rabbanan aber, welche sagen, die Enthauptung sei eine schwerere [Todesart] als die Erdrosselung, ist auf die Tötung eines Vaters die Enthauptung gesetzt, und für die unvorsätzliche mit der Enthauptung belegte Handlung ist eine Sühne bestimmt worden. 
"
Makkot 8b:14,"Raba erklärte: Ausgenommen der Fall, wenn jemand unvorsätzlich seinem Vater eine VerletzungDie oben angezogene Lehre spricht nicht von der Tötung, sondern von der Verletzung eines Vaters; das hebr. <span dir=""rtl"">מבה</span> umfaßt beide Begriffe.beibringt; man könnte glauben, da darauf bei Vorsatz: die Todesstrafe gesetzt ist, müsse er bei Unvorsätzlichkeit in die Verbannung, so lehrt er uns.
"
Makkot 8b:15,"J<small>EDERMANN MUSS WEGEN EINES</small> J<small>ISRAÉLITEN IN DIE</small> V<small>ERBANNUNG</small> &amp;<small>C</small>. Was schließen [die Worte] ‘jedermann muß wegen eines Jisraéliten in die Verbannung’ ein? – Dies schließt einen Sklaven und einen Samaritaner ein. Wir lernen also das, was die Rabbanan gelehrt haben: Ein Sklave und ein Samaritaner müssen wegen eines Jisraéliten in die Verbannung und werden gegeißelt, und ein Jisraélit muß wegen eines Samaritaners [und eines Sklaven] in die Verbannung und wird gegeißelt. 
"
Makkot 8b:16,"Allerdings muß ein Sklave oder ein Samaritaner wegen eines Jisraéliten in die Verbannung und wird gegeißelt; in die Verbannung, wenn er ihn getötet hat, gegeißelt, wenn er ihm geflucht hat; wieso aber muß ein Jisraélit wegen eines Samaritaners in die Verbannung und wird gegeißelt? Wohl verbannt, wenn er ihn getötet hat, wieso aber gegeißelt, wenn er ihm geflucht hat, [es heißt ja:]Ex.22,27.<i>einem Fürsten in deinem Volke sollst du nicht fluchen</i>, nur wenn er nach den Bräuchen deines Volkes handelt!? 
"
Makkot 8b:17,"Vielmehr, erklärte R. Aḥa b. Ja͑qob, wenn er gegen ihn falsches Zeugnis abgelegt hat und als Falschzeuge überführt worden ist. – Ebenso beim Sklaven, wenn er gegen ihn falsches Zeugnis abgelegt hat und als Falschzeuge überführt worden ist; ist denn ein Sklave als Zeuge zulässig!? Vielmehr, erklärte R. Aḥa, Sohn des R. Iqa, handelt es sich hier um den Fall, wenn er ihm einen Schlag versetzt hat, 
"
Makkot 9a:1,"der keine Peruṭa wertWer seinen Nächsten schlägt, muß eine Geldbuße zahlen; würde sie keine Peruta (kleinste Scheidemünze) betragen, so ist er zu geißeln.ist. R. Ami sagte nämlich im Namen R. Joḥanans: Wer einem einen Schlag versetzt hat, der keine Peruṭa wert ist, ist zu geißeln. Und man vergleiche nicht das Schlagen mit dem FluchenDies gilt auch bei einem Samaritaner, obgleich dieser nach der obigen Auslegung passiv vom Verbote des Fluchens ausgeschlossen ist..
"
Makkot 9a:2,"A<small>BER NICHT WEGEN EINES</small> B<small>EISASSPROSELYTEN</small> &amp;<small>C</small>. Demnach gilt der Beisaßproselyt als Nichtjude; wie ist nun der Schlußsatz zu erklären: ein Beisaßproselyt muß wegen eines Beisaßproselyten in die Verbannung!? R. Kahana erwiderte: Das ist kein Widerspruch; eines, wenn ein Beisaßproselyt einen Beisaßproselyten getötet hat, und eines, wenn ein Beisaßproselyt einen Jisraéliten getötetIn diesem Falle muß er nicht in die Verbannung, da er einer strengeren Strafe verfällt.hat. 
"
Makkot 9a:3,"Manche weisen auf einen Widerspruch zwischen zwei Schriftversen hin; es heißt: <i>den Jisraéliten, sowie dem Fremden und dem Beisassen sollen diese sechs Städte dienen</i>; dagegen heißt es: <i>und es sollen euch diese Städte als Zuflucht dienen</i>, euch, nicht aber Fremden!? R. Kahana erwiderte: Das ist kein Widerspruch; eines, wenn ein Beisaßproselyt einen Jisraéliten getötet hat, und eines, wenn ein Beisaßproselyt einen Beisaßproselyten getötet hat. – 
"
Makkot 9a:4,"Ich will auf einen Widerspruch hinweisen: DaherDa bei ihnen keine vorherige Warnung erforderlich ist.sind ein Proselyt und ein Nichtjude, die jemand getötetSelbst wenn unvorsätzlich.haben, hinzurichten. Er lehrt vom Proselyten ebenso wie vom Nichtjuden, wie nun ein Nichtjude hinzurichten ist, einerlei ob er einen seinesgleichen oder einen nicht seinesgleichen getötet hat, ebenso ist auch ein Proselyt hinzurichten, einerlei, ob er einen seinesgleichen oder einen nicht seinesgleichen getötet hat!? 
"
Makkot 9a:5,"R. Ḥisda erwiderte: Das ist kein Widerspruch; dies, wenn er jemand im Niederlassen getötet hat, jenes, wenn er jemand im Hochheben getötet hat; im Niederlassen, in welchem Falle ein Jisraélit in die Verbannung muß, ist auch für ihn die Verbannung ausreichend, im Hochheben, in welchem Falle ein Jisraélit frei ist, ist er hinzurichten. 
"
Makkot 9a:6,"Raba sprach zu ihm: Dies ist ja ein Absurdum: im Niederlassen, in welchem Falle ein Jisraélit in die Verbannung muß, ist auch für ihn die Verbannung ausreichend, und im Hochheben, in welchem Falle ein Jisraélit frei ist, sollte er hinzurichten sein!? 
"
Makkot 9a:7,"Vielmehr, erklärte Raba, wenn er glaubte, dies sei erlaubtDann wird er hingerichtet.. Abajje sprach zu ihm: Wenn er glaubte, dies sei erlaubt, ist dies ja ein Zwangsfall!? Dieser erwiderte: Ich bin der Ansicht, die Annahme, es sei erlaubt, sei der Vorsätzlichkeit nahe. 
"
Makkot 9a:8,"Sie richteten sich hierbei nach den von ihnen vertretenen Ansichten, denn es wurde gelehrt: Wenn er geglaubt hat, es sei ein Vieh, und es sich herausstellt, daß es ein Mensch ist, es sei ein Nichtjude, und es sich herausstellt, daß es ein Beisaßproselyt ist, so ist er, wie Raba sagt, schuldig, denn die Annahme, es sei erlaubt, ist der Vorsätzlichkeit nahe, und wie R. Ḥisda sagt, frei, denn die Annahme, es sei erlaubt, ist ein Zwangsfall. 
"
Makkot 9a:9,"Raba wandte gegen R. Ḥisda ein:Gen. 20,3.<i>Du mußt sterben wegen der Frau, die du weggenommen hast;</i> doch wohl durch MenschenhändeDh. durch das Gericht, obgleich Abimelekh geglaubt hatte, Sara sei eine Schwester Abrahams und ihm somit erlaubt.!? – 
"
Makkot 9a:10,"Nein, durch den Himmel. Dies ist auch zu beweisen, denn es heißt:Gen. 20,6.<i>daß du dich gegen mich versündigtest</i>. – Es heißt ja auch:Ib. 39,9.<i>und mich wider Gott versündigen</i>; 
"
Makkot 9a:11,"nach deiner Auffassung wäre zu erklären: gegen Gott und nicht gegen MenschenIn diesem Falle handelte es sich um Ehebruch, und auf dieses Delikt ist die Todesstrafe durch das Gericht gesetzt.!? Du mußt also sagen, die Bestrafung sei trotzdem den Menschen übertragen worden, ebenso ist auch hierbei die Bestrafung den Menschen übertragen worden. 
"
Makkot 9a:12,"Abajje wandte gegen Raba ein :Gen. 20,4.<i>Wirst du denn Unschuldige umbringen</i>Demnach war Abimelekh nicht strafbar.!? – Dagegen erwiderteDh. er hielt sich wohl für unschuldig, das war er aber nicht. man ihm auch: <i>So gib nun dem Manne seine Frau zurück</i>, denn er <i>ist</i> <i>ein Prophet</i>. 
"
Makkot 9b:1,"Sollte denn nur einem Propheten seine Frau zurückgegeben werden, nicht aber einem, der kein Prophet ist? 
"
Makkot 9b:2,"Dies erkläre man vielmehr nach R. Šemuél b. Naḥmani im Namen R. Jonathans, er habe zu ihm wie folgt gesprochen: <i>So gib nun dem Manne seine Frau zurück</i>, auf jeden Fall; und auch deine Einwendung: <i>wirst du denn Unschuldige umbringen; er selber hat doch zu mir gesagt: sie ist meine Schwester</i>, [ist nichts,] denn er ist ein Prophet und lernte diesDir die Unwahrheit zu sagen.aus deinem Verhalten. Wenn ein Fremder in eine Stadt kommt, so frägt man ihn, ob er zu essen und zu trinken wünsche, nicht aber, ob [das Weib] seine Frau oder seine Schwester sei. 
"
Makkot 9b:3,"Hieraus, daß eine Noaḥide hingerichtet werde, wenn er etwas lernen sollte, und nicht gelernt hatAbimelekh sollte lernen, wie man sich gegen Fremde zu benehmen habe..
"
