Index Title,Berachot
Berakhot 4a:12,"R. Joḥanan sagte: Nicht Kiláb, sondern Daniél war sein Name; und nur deshalb wird er Kiláb genannt, weil er das Gesicht des Mephibošeth bei der Halakha zu beschämen<span dir=""rtl"">כלאב</span>, Compositum v. <span dir=""rtl"">מכלים אב</span> <i>beschämt den Vaterpflegte.
"
Berakhot 4a:13,"Über ihn spricht Selomo in seiner Weisheit:Prov. 23,15.<i>mein Sohn, wenn dein Herz weise ist, wird sich auch mein Herz freuen</i>. Ferner:Prov. 27,11.<i>Sei weise, mein Sohn, und erfreue mein Herz, auf daß ich meinen Lästerern Antwort gebe</i>. – 
"
Berakhot 4a:14,"Wieso nannte sich David ‘fromm’, es heißt ja:Ps. 27,13.<i>wenn ich nicht glaubte, im Lande des Lebens die Güte des Herrn zu schauen</i>, und im Namen des R. Jose wird gelehrt, auf [den Worten] <i>wenn nicht</i> stehen Punkte, denn David sprach vor dem Heiligen, gepriesen sei er: Herr der Welt, ich vertraue auf dich, daß du dereinst den Gerechten eine gute Belohnung geben wirst, ich weiß jedoch nicht, ob ich unter ihnen einen Anteil habe oder nicht!? – 
"
Berakhot 4a:15,"Die Sünde könnte es verursachen. 
"
Berakhot 4a:16,"Dies nach R. Ja͑qob b. Idi, denn R. Ja͑qob b. Idi wies auf einen Widerspruch hin: Es heißt:Gen. 28,15.<i>siehe, ich bin mit dir und werde dich überall behüten, wo du hingehst</i>, dagegen aber heißt es:Gen. 32,8.<i>und Ja͑qob fürchtete sehr</i>. Er dachte, die Sünde könnte es verursachen. 
"
Berakhot 4a:17,"Wie gelehrt wird:Ex. 15,16.<i>Bis hinübergezogen dein Volk, o Herr, bis hinübergezogen das Volk, das du erworben. 
"
Berakhot 4a:18,"Bis hinübergezogen dein Volk, o Herr</i>, dies ist der erste EinzugIn Palästina durch Jehošua͑., <i>bis hinübergezogen das Volk, das du erworben</i>, dies ist der zweite EinzugDurch E͑zra.. Hieraus folgern die Weisen, die Jisraéliten waren würdig, daß ihnen in den Tagen E͑zras Wunder geschähen, wie in den Tagen Jehošua͑s, des Sohnes Nuns, die Sünde aber hat es verursacht.
"
Berakhot 4a:19,"D<small>IE</small> W<small>EISEN SAGEN, BIS</small> M<small>ITTERNACHT</small>. Wessen Ansicht vertreten die Weisen: sind sie der Ansicht R. Elie͑zers, so sollten sie wie R. Elie͑zer lehren, 
"
Berakhot 4b:1,"und sind sie der Ansicht R. Gamliéls, so sollten sie doch wie R. Gamliél lehren!? – 
"
Berakhot 4b:2,"Tatsächlich sind sie der Ansicht R. Gamliéls, nur deshalb sagen sie: bis Mitternacht, um den Menschen von einer Übertretung fern zu halten. Es wird nämlich gelehrt: Die Weisen machten eine Umzäunung für ihre Worte, damit nicht der Mensch, wenn er abends von der Arbeit kommt, sage: ich gehe nach Hause, esse ein wenig, trinke ein wenig und schlafe ein wenig, nachher erst werde ich das Šema͑ lesen und beten; der Schlaf könnte ihn überwältigen, und er die ganze Nacht hindurch schlafen. Vielmehr gehe der Mensch, wenn er von der Arbeit kommt, ins Bethaus; ist er im Lesen [der Schrift] bewandert, so lese er, ist er im Studium [der Mišna] bewandert, so studiere er, dann lese er das Šema͑ und bete; nachher erst esse er sein Brot und spreche den Segen. 
"
Berakhot 4b:3,"Wer aber die Worte der Weisen übertritt, verdient den Tod. – 
"
Berakhot 4b:4,"Weshalb heißt es sonstVon derartigen Übertretungen.nicht, er verdiene den Tod, hier aber heißt es, er verdiene den Tod? –
"
Berakhot 4b:5,"Wenn du willst, sage ich: weil [hier] die Gewalt des Schlafes [zu befürchten] ist, und wenn du willst, sage ich: um die Ansicht desjenigen auszuschließen, welcher sagt, das Abendgebet sei Freigestelltes; er lehrt uns, daß es Pflicht sei.
"
Berakhot 4b:6,"Der Meister sagte: Dann lese er das Šema͑ und bete. Dies ist eine Stütze für R. Joḥanan, denn R. Joḥanan sagte: Wer ist ein Kind der zukünftigen Welt? – der den ErlösungssegenDie Eulogie zwischen dem Šema͑ und dem Achtzehngebet.an das Abendgebet anschließt. R. Jehošua͑ b. Levi sagt, die Gebete seien in die Mitte eingereiht.
"
Berakhot 4b:7,"Worin besteht ihr Streit? – 
"
Berakhot 4b:8,"Wenn du willst, sage ich: es ist ein Schriftvers,
"
Berakhot 4b:9,"und wenn du willst, sage ich: ein Vernunftgrund. Wenn du willst, sage ich: ein Vernunftgrund; 
"
Berakhot 4b:10,"R. Joḥanan ist der Ansicht, die ErlösungDer Auszug aus Ägypten.habe schon am Abend begonnen, nur die vollständige Erlösung geschah erst am Morgen; R. Jehošua͑ b. Levi aber ist der Ansicht, da sieDie vollständige Erlösung.erst am Morgen geschah, so ist die vorherige Erlösung keine wirkliche. 
"
Berakhot 4b:11,"Wenn du willst, sage ich: es ist ein Schriftvers, und zwar folgern beide aus einem Vers. Es heißt:Dt. 6,7.<i>bei deinem Schlafengehen und deinem Aufstehen</i>. 
"
Berakhot 4b:12,"R. Joḥanan ist der Ansicht, man vergleiche das Schlafengehen mit dem Aufstehen hierin: wie man beim Aufstehen zuerst das Šema͑ liest und dann das Gebet verrichtet, ebenso lese man beim Schlafengehen zuerst das Šema͑ und verrichte dann das Gebet. R. Jehošua͑ b. Levi ist der Ansicht, man vergleiche das Schlafengehen mit dem Aufstehen hierin: wie man beim Aufstehen das Šema͑ nahe am BetteSofort nach dem Aufstehen, ohne vorher zu beten.liest, ebenso lese man das Šema͑ beim Schlafengehen nahe am BetteVor dem Schlafengehen, ohne nachher zu beten.. 
"
Berakhot 4b:13,"Mar b. Rabina wandte ein: Am Abend spreche man zwei Segenssprüche vorher und zwei nachher. Wie kann man, wenn du sagst, man müsse den Erlösungssegen an das Gebet anschließen, ihn anschließen, wo man doch [das Gebet] ‘Laß uns niederlegen’Anfang des in Rede stehenden Gebetes. hersagen muß!?
"
Berakhot 4b:14,"Ich will dir sagen: Da die Rabbanan [das Gebet] ‘Laß uns niederlegen’ angeordnet haben, so ist es als verlängerter Erlösungssegen zu betrachten. Wie könnte man, wolltest du nicht soDaß die von den Rabb. angeordneten Gebete zum Hauptgebete gehören.sagen, es morgens anschließen, R. Joḥanan sagte ja, daß man zu BeginnDes Morgengebetes.sage:Ps. 51,17.<i>Herr, öffne meine Lippen</i>, und zum Schluß:Ps. 19,15.<i>Es mögen die Worte meines Mundes zum Wohlgefallen sein</i>!? 
"
Berakhot 4b:15,"Vielmehr, wie [die Formel:] <i>Herr, öffne meine Lippen</i>, die als verlängertes Gebet betrachtet wird, weil die Rabbanan sie angeordnet haben, ebenso ist hier [das Gebet:] ‘Laß uns niederlegen’, als verlängerter Erlösungssegen zu betrachten, weil die Rabbanan es angeordnet haben.
"
Berakhot 4b:16,"R. Elea͑zar sagte im Namen R. Abinas: Wer dreimal täglich [den Psalm] <i>Loblied Davids</i>Ps. Kap. 145.liest, sei dessen sicher, daß er ein Kind der zukünftigen Welt ist. 
"
Berakhot 4b:17,"Aus welchem Grund: 
"
Berakhot 4b:18,"wollte man sagen, weil dieser [Psalm] alphabetisch ist, so lese man doch lieber [den Psalm]Ps. Kap. 119.<i>Heil den Vollkommenen im Wandel</i>, der achtfach alphabetisch ist!? 
"
Berakhot 4b:19,"Vielmehr, weil es darin heißt: <i>er öffnet seine (deine) Hand</i>. – So lese man doch lieber den großen LobpsalmDer 136. Psalm., in welchem es heißt: <i>allem Fleische gibt er Nahrung</i>!? – 
"
Berakhot 4b:20,"Vielmehr, weil bei diesem beides ist.
"
Berakhot 4b:21,"R. Joḥanan sagte: Weshalb fehlt des NunEin mit dem Buchstaben Nun beginnender Vers.im [Psalm] <i>Heil</i>? – weil mit diesem die Niederlage der FeindeEuphemistisch für Jisraél selbst. Jisraéls beginnt; denn es heißt: Am. 5,2; dieser Vers beginnt mit dem Buchstaben Nun.<i>Gefallen ist sie, nicht wird sie mehr aufstehen, die Jungfrau Jisraél</i>.
"
Berakhot 4b:22,"Im Westen erklären sie diesen Vers wie folgt: <i>Gefallen ist sie</i>, aber <i>nicht wird sie mehr</i> fallen; <i>aufstehen</i> sollst du, <i>Jungfrau Jisraél</i>. R. Naḥman b. Jiçḥaq sagte: Dennoch deutete David daraufAuf die Niederlage Jisraéls.hin, indem er sie im heiligen GeistIn der jüd. Lit. gleich Prophetie.stützte; denn es heißt:Ps. 145,14.<i>der Herr stützt alle Fallende</i>.
"
Berakhot 4b:23,"R. Elea͑zar b. Abina sagte: Größer ist das, was von Mikhaél gesagt wird, als das, was von Gabriél gesagt wird. Von Mikhaél heißt es:Jes. 6,6.<i>da flog zu mir einer der Seraphim</i>, während es von Gabriél heißt:Dan.9,21.<i>der Mann Gabriél, den ich im Traum,gesicht gesehen, flog in Flügen</i>Währ end der Engel M. in eine m Fluge flog.<i>&amp;c</i>. – 
"
Berakhot 4b:24,"Woher daß jener eine Mikhaél war? 
"
Berakhot 4b:25,"R. Joḥanan erwiderte: Dies ist aus [dem Wort] einer zu entnehmen. Hier heißt es: <i>da flog zu mir einer der Seraphim</i>, und dort heißt es:Dan. 10,13.<i>da kam Mikhaél, einer der ersten Fürsten, mir beizustehen</i>.
"
Berakhot 4b:26,"Es wird gelehrt: Mikhaél [fliegt] in einem [Fluge], Gabriél in zwei, Elijahu in vier und der Todesengel in acht; zur Zeit der Seuche aber in einem.
"
Berakhot 4b:27,"R. Jehošua͑ b. Levi sagte: Obgleich man das Šema͑ im Bethause gelesen, so ist es dennoch Gebot, es auch im Bette zu lesen. R. Jose sprach: Hierauf deutet folgender Schriftvers:Ps. 4,5.<i>zürnet und fehlet nicht, sprechet in euerem Herzen, auf euerem Lager, und schweiget, Selah</i>. 
"
Berakhot 4b:28,"R. Naḥman sagte: 
"
Berakhot 5a:1,"Ist er Schriftgelehrter, so braucht er es nicht. Abajje sagte: Auch ein Schriftgelehrter hat einen Vers des Gebetes zu lesen, beispielsweise:Ps. 31,6.<i>In deine Hand befehle ich meine Seele; du, o Herr, Gott der Wahrheit, hast mich erlöst</i>.
"
Berakhot 5a:2,"R. Levi b. Ḥama sagte im Namen des R. Šimo͑n b. Laqiš: Stets erzürne der Mensch den guten Trieb gegen den bösen Trieb, denn so heißt es: <i>zürnet und fehlet nicht</i>. Hat er ihn besiegt, gut, wenn nicht, so befasse er sich mit der Tora, denn es heißt: <i>sprechet in euerem Herzen</i>. Hat er ihn besiegt, gut, wenn nicht, so lese er das Šema͑, denn es heißt: <i>auf euerem Lager</i>. Hat er ihn dann besiegt, gut, wenn nicht, so denke er an den Tod, denn es heißt: <i>und schweiget, Selah</i>.
"
Berakhot 5a:3,"Ferner sagte R. Levi b. Ḥama im Namen des R. Simo͑n b. Laqiš: Es heißt:Ex. 24,12.<i>Ich will dir gehen die Steintafeln, die Lehre und das Gebot, das ich geschrieben, um sie zu lehren. Die Tafeln</i>, das sind die zehn Gebote; <i>die Lehre</i>, das ist die Schrift; <i>das Gebot</i>, das ist die Mišna; <i>das ich geschrieben</i>, das sind die Prophetenbücher und die Hagiographen; <i>um sie zu belehren</i>, das ist der Talmud. Dies lehrt, daß sie sämtlich dem Moše am Sinaj überliefert wurden.
"
Berakhot 5a:4,"R. Jiçḥaq sagte: Wenn man im Bett das Šema͑ liest, so ist es ebenso, als hielte man ein zweiscimeidiges Schwert in der HandAls Schutz gegen die Gespenster., denn es heißt:Ps. 149,6.<i>die Erhabenheit Gottes in ihrer Kehle und ein zweischneidiges Schwert in ihrer Hand</i>. – Wieso geht diesDaß man das Šema͑ im Bette lese.hieraus hervor? Mar Zuṭra, manche sagen, R. Aši erwiderte: Aus dem Anfang des Satzes, denn es heißt:Ps. 149,5.<i>jauchzen werden die Frommen in Ehren, jubeln werden sie auf ihren Lagern;</i> hierauf folgt: <i>die Erhabenheit Gottes in ihrer Kehle, und ein zweischneidiges Schwert in ihrer Hand</i>.
"
Berakhot 5a:5,"Ferner sagte R. Jiçḥaq: Von jedem, der auf seinem Bette das Šema͑ liest, weichen die Gespenster; denn es heißt:Ij. 5,7.<i>die Schwirrenden</i>Das im Text gebrauchte Wort heißt <i>Vögel<i>erheben sich zum Fliegen</i>. ‘Fliegen’ deutet auf die Tora, denn es heißt:Pr. 23,5.<i>lassest du deine Blicke darüber fliegen, so ist es nicht mehr</i>, und ‘Schwirrende’ bedeutet Gespenster, denn es heißt:Dt. 32,24.<i>verschmachtet vor Hunger und aufgezehrt von den Schwirrenden</i>Gew. mit <i>Glut.
"
Berakhot 5a:6,"R. Šimo͑n b. Laqiš sagte: Wer sich mit der Tora bef aßt, dem bleiben die Züchtigungen fern, denn es heißt: <i>die Schwirrenden erheben sich zum Fliegen;</i> ‘Fliegen’ deutet auf die Tora, denn es heißt: <i>lassest du deine Blicke darüber fliegen, so ist es nicht mehr</i>, und ‘Schwirrende’ bedeutet Züchtigungen, denn es heißt: <i>verschmachtet vor Hunger und aufgezehrt von den Schwirrenden</i>Unter <i>Schwirrende. 
"
Berakhot 5a:7,"R. Joḥanan sprach zu ihm: Dies wissen ja selbst Schulkinder, denn es heißti:Ex. 15,26.<i>Er sprach: Wenn du hörest auf die Stimme des Herrn, deines Gottes, tust, was recht in seinen Augen, horchest auf seine Gebote und beobachtest all seine Gesetze, so werde ich all die Krankheiten, die ich auf Miçrajim gebracht, auf dich nicht bringen, denn ich, der Herr, bin dein Arzt</i>. Vielmehr über den, der die Möglichkeit hat, sich mit der Tora zu befassen, sich aber damit nicht befaßt, bringt der Heilige, gepriesen sei er, ekelhafte Züchtigungen, die ihn betrüben, denn so heißt es:Ps. 39,3.<i>ich wurde zum Schweigen verstummt, schwieg vom Guten, und mein Schmerz war betrübend</i>, ‘Gut’ bedeutet nichts anderes als die Tora, denn es heißt:Pr. 4,2.<i>eine gute Belehrung habe ich euch gegeben, meine Lehre sollt ihr nicht verlassen</i>.
"
Berakhot 5a:8,"R. Zera, manche sagen, R. Ḥanina b. Papa, sagte: Komm und siehe, das Verfahren des Menschen gleicht nicht dem Verfahren des Heiligen, gepriesen sei er. Das Verfahren des Menschen: wenn ein Mensch seinem Nächsten eine Sache verkauft, so ist der Verkäufer traurig, und der Käufer freut sich; nicht so der Heilige, gepriesen sei er: er gab Jisraél die Tora und freute sich dabei, denn es heißt: <i>eine gute Belehrung habe ich euch gegeben, meine Lehre sollt ihr nicht verlassen</i>.
"
Berakhot 5a:9,"Raba, nach anderen, R. Ḥisda sagte: Sieht jemand, daß Züchtigungen über ihn kommen, so untersuche er seine Handlungen, denn es heißt: Thr. 3,40.<i>wir wollen unseren Wandel untersuchen und prüfen, wir wollen uns dem Herrn zuwenden</i>. 
"
Berakhot 5a:10,"Hat er untersucht und nichts gefunden, so schreibe er sie der Vernachlässigung der Tora zu, denn es heißt:Ps. 94,12.<i>heil dem Manne, den du züchtigst, o Herr, und ihn aus deiner Tora belehrst</i>. Hat er auch dazu keinen Grund gefunden, so sind es sicherlich Züchtigungen der Liebe, denn es heißt:Pr. 3,12.<i>wenn der Herr liebt, den züchtigt er</i>.
"
Berakhot 5a:11,"Raba sagte im Namen R. Seḥoras im Namen R. Honas: An wem der Heilige, gepriesen sei er, Wohlgefallen hat, den drückt er durch Züchtigungen nieder, wie es heißt:Jes. 53,10.<i>und der Herr hatte Wohlgefallen [an ihm], er drückte ihn durch Krankheit nieder</i>. 
"
Berakhot 5a:12,"Man könnte glauben, auch wenn er sie nicht aus LiebeZu Gott; dh. mit Zufriedenheit.aufnimmt, so heißt es:Jes. 53,10.<i>wenn seine Seele sich als Schuldopfer hingibt</i>; wie das Schuldopfer gutwillig [dargebracht wird], so auch die Züchtigungen, wenn gutwillig. 
"
Berakhot 5a:13,"Was ist, wenn er sie [in Liebe] aufgenommen, seine Belohnung? – Jes. 53,10.<i>er wird Nachkommenschaft sehen und lange leben</i>. Und noch mehr, auch sein Studium bleibt ihm erhalten, wie es heißt:Jes. 53,10.<i>und der Wille Gottes wird ihm gelingen</i>. 
"
Berakhot 5a:14,"R. Ja͑qob b. Idi und R. Aḥa b. Ḥanina streiten hierüber. Einer sagt, Züchtigungen der Liebe seien solche, durch die [das Studium] der Tora nicht vernachlässigt wird, denn es heißt:Ps. 94,12.<i>Heil dem Manne, den du züchtigst, o Herr, und ihn aus deiner Lehre belehrst</i>. 
"
Berakhot 5a:15,"Der andere aber sagt, Züchtigungen der Liebe seien solche, durch welche das Gebet nicht vernachlässigt wird, denn es heißt:Ps. 66,20.<i>gepriesen sei der Herr, der mein Gebet und seine Gnade von mir nicht weichen ließ</i>. 
"
Berakhot 5a:16,"R. Abba, Sohn des R. Ḥija b. Abba, sprach zu ihnen: So sagte R. Ḥija b. Abba im Namen des R. Joḥanan: Sowohl diese, als auch jene sind Züchtigungen der Liebe, denn es heißt: <i>wen der Herr liebt, den züchtigt er</i>. 
"
Berakhot 5a:17,"Wieso aber heißt es: <i>und aus deiner Tora belehrst du ihn</i>? – lies nicht: <i>belehrst du ihn</i>, sondern: <i>belehrst du uns</i>Im unvokalisierten Text kann das Verbum auch 1. Pers. Plur. gelesen werden.. 
"
Berakhot 5a:18,"Du lehrst uns dies aus deiner Tora durch [einen SchlußWörtl. <i>leicht vom] Leichteren auf das Schwerere, von Zahn und AugeCf. Ex. 21,26.: Zahn und Auge sind ja nur einzelne Glieder des Menschen, dennoch geht ein Sklave ihrethalben in Freiheit ausWenn ihm sein Herr ein Auge oder einen Zahn ausschlägt., um wie viel mehr bewirken dies Züchtigungen, die den ganzen Körper des Menschen aufreiben. 
"
Berakhot 5a:19,"Dies ist es, wasR. Šimo͑n b. Laqiš sagte, denn R. Šimo͑n b. Laqiš sagte: Beim Salz heißt es <i>Bündnis</i> und bei den Züchtigungen heißt es <i>Bündnis</i>. Beim Salz heißt <i>es Bündnis</i>, denn es heißt:Lev. 2,13.<i>du sollst nicht fehlen lassen das Bündnis des Salzes</i>, und bei den Züchtigungen heißt es <i>Bündnis</i>, denn es heißt:Dt. 28,69. Schluß des Kapitels, in welchem die Züchtigungen aufgezählt werden, die bei Vernachlässigung des Gesetzes über Jisraél hereinbrechen werden.<i>dies sind die Worte des Bündnisses</i>. Wie das Salz, wobei es <i>Bündnis</i> heißt, das Fleisch schmackhaft macht, ebenso läutern die Züchtigungen, wobei es <i>Bündnis</i> heißt, alle Sünden des Menschen.
"
Berakhot 5a:20,"Es wird gelehrt: R.Šimo͑n b. Joḥaj sagte: Drei gute Gaben schenkte der Heilige, gepriesen sei er, Jisraél; alle aber wurden nur durch Züchtigungen erworben. Und zwar: die Tora, das Jisraélland und die zukünftige Welt.
"
Berakhot 5a:21,"Woher dies von der Tora? – es heißt: <i>Heil dem Manne, den du züchtigst, o Herr, und ihn aus deiner Lehre belehrst</i>. 
"
Berakhot 5a:22,"Vom Jisraélland? – denn es heißt:Dt. 8,5.<i>wie ein Mensch seinen Sohn züchtigt, so züchtigt dich der Herr, dein Gott</i>, und hierauf folgt: <i>denn der Herr, dein Gott, bringt dich in ein gutes Land</i>.
"
Berakhot 5a:23,"Von der zukünftigen Welt? – denn es heißt:Pr. 6,23.<i>denn eine Leuchte ist das Gebot und ein Licht die Lehre; ein Weg zum Leben sind die Züchtigungen</i>.
"
Berakhot 5a:24,"Ein Schüler rezitierte vor R. Joḥanan: Wer sich mit der Tora und mit Liebeshandlungen befaßt, 
"
Berakhot 5b:1,"und wer seine Kinder begräbt, dem vergibt man all seine Sünden.
"
Berakhot 5b:2,"R. Joḥanan sprach zu ihm: Zugegeben sei dies von der Tora und den Liebeshandlungen, denn es heißt:Pr. 16,6.<i>durch Gnade und Wahrheit wird die Sünde verziehen</i>; ‘Gnade’, das sind Liebeshandlungen, denn es heißt:Pr. 21,21.<i>wer nach Freigiebigkeit und Gnadenerweisung strebt, findet Leben, Recht und Ehre</i>. ‘Wahrheit’, das ist die Tora, denn es heißt:Pr. 23,23.<i>Wahrheit erwirb und verkaufe nicht;</i> woher dies aber von dem, der seine Kinder begräbt?
"
Berakhot 5b:3,"Da lehrte es ein Greis im Namen des R. Šimo͑n b. Joḥaj: Dies folgt aus [dem Worte] <i>Sünde</i>; hier heißt es: <i>durch Liebe und Wahrheit wird die Sünde verziehen</i>, und dortJer. 32,18.heißt es: <i>er zahlt heim die Sünde der Väter in den Schoß ihrer Kinder</i>.
"
Berakhot 5b:4,"R. Joḥanan sagte: Aussatz und Kinderlosigkeit sind keine Züchtigungen der Liebe. –
"
Berakhot 5b:5,"Ist es denn der Aussatz nicht, es wird ja gelehrt, daß wenn einem eine der vier AussatzerscheinungenIn Palästina wurden die Aussätzigen streng behandelt; sie durften innerhalb der Stadtmauer nicht weilen (cf. Lev. Kap. 14), daher wird der Aussatz von R. Joḥanan, der Palästinenser war, nicht als Züchtigung aus Liebe betrachtet; in Babylonien aber, wo die Aussätzigen vom gesellschaftlichen Verkehr nicht ausgeschlossen waren, kann der Aussatz als Züchtigung aus Liebe betrachtet werden. Unter ‘uns’ sind überall die Babylonier zu verstehen.anhaftet, dies ein Altar der Sühne sei!?
"
Berakhot 5b:6,"Es ist wohl ein Altar der Sühne, Züchtigungen der Liebe aber nicht. 
"
Berakhot 5b:7,"Wenn du willst, sage ich: dies für uns, jenes für sieIn Palästina wurden die Aussätzigen streng behandelt; sie durften innerhalb der Stadtmauer nicht weilen (cf. Lev. Kap. 14), daher wird der Aussatz von R. Joḥanan, der Palästinenser war, nicht als Züchtigung aus Liebe betrachtet; in Babylonien aber, wo die Aussätzigen vom gesellschaftlichen Verkehr nicht ausgeschlossen waren, kann der Aussatz als Züchtigung aus Liebe betrachtet werden. Unter ‘uns’ sind überall die Babylonier zu verstehen.. W
"
Berakhot 5b:8,"enn du aber willst, sage ich auch: dies bei unsichtbarenWenn der Aussatz sich auf bekleid. Körperstellen befindet.und jenes bei sichtbarenAn unbekl. Körperstellen.. 
"
Berakhot 5b:9,"Kinderlosigkeit ist es nicht: in welchem Falle, wollte man sagen, wenn er welche hatte und sie gestorben sind, so sagte ja R. Joḥanan: das ist ein KnochenWahrsch. ein Zahn, den er zum Andenken aufbewahrt hatte.von [meinem] zehnten Sohn!? – Vielmehr, dies, wenn er keine hatte, jenes, wenn er weiche hatte, und sie gestorben sind.
"
Berakhot 5b:10,"R. Ḥija b. Abba erkrankte, und R. Joḥanan besuchte ihn. Da sprach er zu ihm: Sind dir die Züchtigungen lieb? Dieser erwiderte: Weder sie noch ihre Belohnung. Da sprach er zu ihm: Reiche mir deine Hand. Er reichte sie ihm, und jener richtete ihn auf. 
"
Berakhot 5b:11,"R. Joḥanan erkrankte, und R. Ḥanina besuchte ihn. Da sprach er zu ihm: Sind dir die Züchtigungen lieb? Dieser erwiderte: Weder sie noch ihre Belohnung. Da sprach er zu ihm: Reiche mir deine Hand. Er reichte sie ihm, und jener richtete ihn auf. 
"
Berakhot 5b:12,"Wozu dies, sollte R. Joḥanan selber sich aufrichten!?
"
Berakhot 5b:13,"Ich will dir sagen, der Gefangene kann sich nicht selber aus dem Gefängnis befreien.
"
Berakhot 5b:14,"R. Elie͑zer erkrankte, und R. Joḥanan besuchte ihn. Da fand er ihn in einem dunklen Zimmer liegen und entblößte seinen Arm, aus welchem LichtRJ. war von seltener Schönheit (cf. Bm. 84a), so daß durch die Entblößung seines Körpers das Zimmer beleuchtet wurde.hervorstrahlte. Als er R. Elie͑zer weinen sah, sprach er zu ihm: Warum weinst du: wenn etwa, weil du dich nicht viel mit der Tora befaßt hast, so haben wir ja gelernt: ob viel oder wenig, wenn man nur seine Gedanken auf den Himmel richtet; wenn etwa wegen Nahrungssorgen, so sind nicht jedem beide TischeReichtum hienieden und Seligkeit droben.beschieden; und wenn wegen der Kinderlosigkeit, so ist hier ein Knochen von meinem zehnten Sohn. 
"
Berakhot 5b:15,"Dieser erwiderte: Ich weine über diese Schönheit, die einst in der Erde modern soll. Da sprach jener: Darüber weinst du mit Recht. Sie weinten dann beide. 
"
Berakhot 5b:16,"Währenddessen fragte er ihn: Sind dir die Züchtigungen lieb? Dieser erwiderte: Weder sie noch ihre Belohnung. Da sprach er zu ihm: Reiche mir deine Hand. Er reichte sie ihm, und jener richtete ihn auf.
"
Berakhot 5b:17,"R. Hona wurden vierhundert Fässer Wein sauer. Da besuchte ihn R. Jehuda, Bruder R. Sala des Frommen, und die Rabbanan, manche sagen, R. Ada b. Ahaba und die Rabbanan, und sie sprachen zu ihm: Möge der Meister seine Taten prüfen. 
"
Berakhot 5b:18,"Er erwiderte ihnen: Bin ich in eueren Augen verdächtig? Sie entgegneten: Ist denn etwa der Heilige, gepriesen sei er, verdächtig, eine Strafe ohne Recht zu verhängen? 
"
Berakhot 5b:19,"Da erwiderte er ihnen: Wenn jemand etwas über mich gehört, so möge er es sagen. 
"
Berakhot 5b:20,"Da sprachen sie zu ihm: Dies haben wir gehört, der Meister gäbe seinem Gärtner keine WeinrankenVon welchen der Gärtner (oder Gartenpächter) laut Vorschrift (Bm. Fol. 103b) einen Teil zu erhalten hat.. Er erwiderte ihnen: Läßt er mir etwa davon etwas übrig, er stiehlt sie mir ja ganz. Da sprachen sie zu ihm: Das ist es, was die Leute sagen: Stiehl vom Diebe, und du empfindest den GeschmackAuch wer von einem Diebe stiehlt, hat einen Diebstahl begangen.. Hierauf sprach er zu ihnen: Ich nehme auf mich [die Verpflichtung], sie ihm zu geben. Manche sagen, der EssigDer sauer gewordene Wein des RH.wurde wieder Wein, und manche sagen, der Essig wurde so teuer, daß er zum Weinpreise verkauft wurde.
"
Berakhot 5b:21,"Es wird gelehrt: Abba Binjamin sagte: Um zwei Dinge war ich in meinem ganzen Leben besorgt: daß mein Gebet vor meinem Bette verrichtet werde, und daß mein Bett in der Richtung von Norden nach Süden gesetzt werdeDamit nicht die Füße nach dem Osten oder Westen, in welchen Richtungen sich die Manifestation Gottes befindet, gerichtet seien.. «Daß mein Gebet vor meinem Bette verrichtet werde.» Was heißt vor meinem Bette, wollte man sagen, wirklich vor meinem Bette, so sagte ja R. Jehuda im Namen Rabhs, nach anderen, R. Jehošua͑ b. Levi: Woher, daß nichts den Betenden von der Wand trennen darf? – denn es heißt:Jes. 38,2.<i>Ḥizqijahu kehrte sein Gesicht zur Wand und betete</i>!? – Sage nicht: vor meinem Bette, sondern: nahe meinem BetteSofort nach dem Aufstehen.. 
"
Berakhot 5b:22,"«Und daß mein Bett in der Richtung von Norden nach Süden gesetzt werde.» 
"
Berakhot 5b:23,"R. Ḥama b. R. Ḥanina sagte nämlich im Namen R. Jiçḥaqs: Wer sein Bett in der Richtung von Norden nach Süden setzt, bekommt männliche KinderWas im Orient als besonderer Segen botraclitet wird., denn es heißt:Ps. 17,14.<i>durch deinen Norden</i>So nach seiner Auslegung; die eigentliche Übersetzung dieses Verses ist: <i>mit deinem Schatze füllst du ihren Leib &amp;c<i>machst du voll ihren Leib, sie werden Söhne in Fülle haben</i>. 
"
Berakhot 5b:24,"R. Naḥman b. Jiçḥaq sagte: Auch gebärt dessen Frau keine Fehlgeburt; hier heißt es: <i>durch deinen Norden machst du voll ihren Leib</i>, und dortGen. 25,24.heißt es: <i>und ihre Tage voll zum Gebüren, siehe da, Zwillinge in ihrem Leibe</i>.
"
Berakhot 5b:25,"Es wird gelehrt: Abba Binjamin sagte: Wenn zweiIn das Bethaus.zum Beten eintreten, und einer von ihnen zuerst mit dem Gebete fertig wird und hinausgeht, ohne auf den anderen zu warten, so fetzt man ihm sein Gebet vor seinem Gesicht, denn es heißt:Ij. 18,4.<i>er fetzt seine Seele</i>Unter Seele wird das Geliel verstanden: auch hier ist dies nur eine Auslegung des Verses; die richtige Übersetzung ist: <i>er vernichtet seine Seele in seinem Zorne &amp;c<i>vor seinem Gesicht; soll um deinetwillen die Erde verlassen werden?</i>
"
