Index Title,Sanhedrin
Sanhedrin 21b:25,"Bei Moše heißt es:<sup>144</sup><i class=""footnote"">Dt. 4,14.</i><i>mir aber befahl damals der Herr, euch Satzungen und Rechte zu lehren</i>, und bei E͑zra heißt es:<sup>145</sup><i class=""footnote"">Ezr. 7,10.</i><i>denn E͑zra hatte seinen Sinn darauf gerichtet, im Gesetze des Herrn zu forschen und es zu erfüllen und Jisraél Satzung und Recht zu lehren</i>. Und obgleich die Tora nicht durch ihn verliehen worden ist, so wurde durch ihn die Schrift geändert, denn es heißt:
"
Sanhedrin 22a:1,"<sup>146</sup><i class=""footnote"">Ib. 4,7.</i><i>und jener Brief</i><sup>147</sup><i class=""footnote"">Die W.e <span dir=""rtl"">הנשתון</span> u. <span dir=""rtl"">משנה</span> werden beide von der Wurzel <span dir=""rtl"">שנה</span> <i>ändern</i> abgeleitet.</i><i>war</i> <i> aramäisch geschrieben und aramäisch übersetzt</i>. Ferner heißt es:<sup>148</sup><i class=""footnote"">Dan. 5,8.</i><i>aber keiner konnte die Schrift lesen und dem König sagen, was sie bedeute</i><sup>149</sup><i class=""footnote"">Weil die Schrift geändert wurde.</i>. Ferner heißt es:<sup>150</sup><i class=""footnote"">Dt. 17,18.</i><i>er soll eine Abschrift dieses Gesetzes schreiben</i>, eine Schrift, die dereinst geändert<sup>147</sup><i class=""footnote"">Die W.e <span dir=""rtl"">הנשתון</span> u. <span dir=""rtl"">משנה</span> werden beide von der Wurzel <span dir=""rtl"">שנה</span> <i>ändern</i> abgeleitet.</i>werden sollte. – 
"
Sanhedrin 22a:2,"Weshalb heißt sie assyrische Schrift? – Weil sie sie aus Assyrien mitgebracht haben.
"
Sanhedrin 22a:3,"Es wird gelehrt: Ursprünglich wurde den Jisraéliten die Tora in dieser Schrift verliehen, als sie aber sündigten, wurde sie ihnen in die Frakturschrift<sup>151</sup><i class=""footnote"">Von <span dir=""rtl"">רעץ</span> <i>zerbrechen, zerschlagen</i>, Benennung der samaritanischen Schrift. Die Widerlegung Luzzattos (bei Kirchheim, <i>Karme Šomron</i> p. 110), das W. <span dir=""rtl"">רעץ</span> sei im T. nicht gebräuchlich, ist belanglos, da es sich nicht um eine talmudische, sondern um eine althergebrachte, im T. erwähnte Bezeichnung handelt; die Erklärung Landaus (<i>Geist u. Sprache der Hebräer</i> p. 104), <span dir=""rtl"">רעץ</span> sei mit <span dir=""rtl"">לעז</span> <i>Fremdsprache</i> identisch, ist gesucht; u. nichts weiter als eine Spitzfindigkeit ist die Erklärung Luzzattos (<i>lc</i>. p. 111), <span dir=""rtl"">כתב רעץ</span> sei eine kakophonische Transmutation (Unglücksschrift) von <span dir=""rtl"">כתב עזרא</span>, wie die Quadratschrift von den Samaritanern benannt wurde. Manche lesen <span dir=""rtl"">כתב דועץ</span>, vom syr. <span dir=""rtl"">דעץ</span> <i>stechen, stoßen</i>, dh. eckige, stechende Schrift.</i>geändert, und als sie darauf Buße taten, gab man ihnen jene zurück, denn es heißt:<sup>152</sup><i class=""footnote"">Zach. 9,12.</i><i>kehrt zurück nach der festen Burg, ihr Gefangenen auf Hoffnung; auch heute wird es verkündet: das Wiederholte</i><sup>147</sup><i class=""footnote"">Die W.e <span dir=""rtl"">הנשתון</span> u. <span dir=""rtl"">משנה</span> werden beide von der Wurzel <span dir=""rtl"">שנה</span> <i>ändern</i> abgeleitet.</i><i>will ich dir zurückgehen</i>. – 
"
Sanhedrin 22a:4,"Weshalb heißt sie demnach assyrische [Schrift]? – Weil diese Schrift gerade [meúšereth] steht. 
"
Sanhedrin 22a:5,"R. Šimo͑n b. Elea͑zar sagte im Namen des R. Elie͑zer b. Proṭo, der es im Namen R. Elea͑zars aus Modai͑m sagte: Diese Schrift wurde überhaupt nicht geändert, denn es heißt:<sup>153</sup><i class=""footnote"">Ex. 27,10.</i><i>die Haken</i><sup>154</sup><i class=""footnote"">Haken heißt hehr. Vav, weil dieser Buchstabe in der Quadratschrift die Form eines Hakens hat; demnach war zur Zeit Mošes diese Schrift im Gebrauche.</i><i>der Säulen</i>. Ferner heißt es:<sup>155</sup><i class=""footnote"">Est. 8,9.</i><i>und so auch an die Juden, gemäß ihrer Schrift und Sprache;</i> wie sich ihre Sprache nicht geändert hat, ebenso hat sich auch ihre Schrift nicht geändert. 
"
Sanhedrin 22a:6,"Worauf aber beziehe ich [die Worte] <i>die Abschrift dieses Gesetzes</i><sup>147</sup><i class=""footnote"">Die W.e <span dir=""rtl"">הנשתון</span> u. <span dir=""rtl"">משנה</span> werden beide von der Wurzel <span dir=""rtl"">שנה</span> <i>ändern</i> abgeleitet.</i>? Auf die zwei Torarollen<sup>156</sup><i class=""footnote"">Die der König zu schreiben hat.</i>, eine, die er beim Gehen und Kommen bei sich führt, und eine, die er in seiner Schatzkammer aufbewahrt. Die er beim Gehen und Kommen bei sich führt, fertige er nach der Art eines Amulettes und trage sie am Arme, denn es heißt:<sup>139</sup><i class=""footnote"">Ps. 16,8.</i><i>ich habe den Herrn beständig vor mir</i>. – 
"
Sanhedrin 22a:7,"Wofür verwendet der andere diesen Vers? – Diesen verwendet er für eine Lehre des R. Ḥana b. Bizna, denn R. Ḥana b. Bizna sagte im Namen R. Šimo͑n des Frommen: Wer das Gebet verrichtet, dem komme es vor, als befände sich die Göttlichkeit vor ihm, denn es heißt: <i>ich habe den Herrn beständig vor mir</i>. – 
"
Sanhedrin 22a:8,"Wie erklärt R. Šimo͑n, welcher sagt, diese Schrift wurde überhaupt nicht geändert, [den Vers]: <i>aber keiner konnte die Schrift lesen</i>!? Rabh erwiderte: Es war chiffriert geschrieben: <i>jṭt jṭt ajdk pvgḥmṭ</i><sup>157</sup><i class=""footnote"">Chiffrierte Kombination der W.e <span dir=""rtl"">מנא מנא תקל ופרסין</span>, nach dem sogen, <span dir=""rtl"">א״ת ב״ש</span>-System, indem der erste Buchstabe des Alphabets mit dem letzten, der zweite mit dem vorletzten usw. vertauscht wird.</i>. 
"
Sanhedrin 22a:9,"Wie erklärte er es ihnen? –<sup>158</sup><i class=""footnote"">Dan. 5,25,26,27,28.</i><i>Mna mna tql vprsjn. Mna</i>: Gott hat [die Tage] deines Königtums gezählt und ihm ein Ende bereitet; <i>tql</i>: du bist auf der Wage gewogen und zu leicht befunden worden; <i>vprsjn</i>: dein Reich ist zerteilt und den Medern und Persern gegeben worden, 
"
Sanhedrin 22a:10,"Šemuél sagte; [Die Inschrift lautete:] <i>Mmtvs nnqpj aalrn</i><sup>159</sup><i class=""footnote"">Die W.e waren nicht wagerecht, sondern (wie nebenstehend) senkrecht geschrieben (das letzte W. geteilt), die anderen lasen es wie gewöhnlich u. fanden nur sinnlose Worte. <img/></i>. R. Johanan sagte: <i>Anm anm. Iqt njsrpv</i><sup>160</sup><i class=""footnote"">Die W.e waren rückwärts, von links nach rechts geschrieben.</i>. R. Aši sagte: <i>Nma nma qtl pvrsjn</i><sup>161</sup><i class=""footnote"">Bei jedem Worte wurde der 1. Buchstabe nach dem 2. gesetzt.</i>.
"
Sanhedrin 22a:11,"<sup>v</sup> <b>M</b><small>AN DARF NICHT AUF SEINEM</small> P<small>FERDE REITEN, NOCH AUF SEINEM</small> T<small>HRONE SITZEN, NOCH SICH SEINES</small> S<small>TABES BEDIENEN</small>. M<small>AN DARF NICHT ZUSEHEN, WENN ER SICH DAS</small> H<small>AAR SCHNEIDEN LÄSST, AUCH NICHT WENN ER NACKT IST, AUCH NICHT WENN ER SICH IM</small> B<small>ADE BEFINDET, DENN ES HEISST</small>:<sup>162</sup><i class=""footnote"">Dt. 17,15.</i>(<i>du sollst einen König über dich setzen</i>, <small>DASS DU</small> E<small>HRFURCHT VOR IHM HAST</small>.
"
Sanhedrin 22a:12,"GEMARA. R. Ja͑qob sagte im Namen R. Joḥanans: Abišag war Šelomo erlaubt und Adonija verboten; Šelomo erlaubt, da er ein König war, und der König sich des Stabes<sup>163</sup><i class=""footnote"">Dh. alles, was dem Könige gehört.</i>des Königs bedienen darf, Adonija aber verboten, da er Gemeiner war. – 
"
Sanhedrin 22a:13,"Was für eine Bewandtnis hat es mit der Abišag? – Es heißt:<sup>164</sup><i class=""footnote"">iReg. 1,1ff.</i><i>als der König David alt geworden war und hochbetagt &amp;c. Da sprachen seine Diener zu ihm: Man suche &amp;c</i>. Ferner: <i>und sie suchten nach einem schönen Mädchen &amp;c</i>. Ferner: <i>das Mädchen war überaus schön, und sie wurde des Königs Pflegerin und bediente ihn</i>. Sie sprach zu ihm: Heirate mich. Er antwortete ihr: Du bist mir<sup>165</sup><i class=""footnote"">Da er schon 18 Frauen hatte.</i>verboten. 
"
Sanhedrin 22a:14,"Da erwiderte sie ihm: Fehlt dem Diebe der Mut<sup>166</sup><i class=""footnote""><span dir=""rtl"">נפשא</span> syr. Reiz, Lust.</i>, so wird er tugendhaft. Darauf sprach er: Ruft mir Bath Šeba͑. Und es heißt:<sup>167</sup><i class=""footnote"">iReg. 1,15.</i><i>da kam Bath Šeba͑ zum König in das Zimmer</i>. R. Jehuda sagte im Namen Rabhs: In jener Stunde reinigte sich Bath Šeba͑ mit dreizehn Tüchern<sup>168</sup><i class=""footnote"">Er wohnte ihr 13mal bei, weil ihn die Abišag seiner vermeintlichen Impotenz wegen verhöhnte.</i>.
"
Sanhedrin 22a:15,"R. Šamen b. Abba sagte: Komm und sieh, wie schwer die Scheidung ist; sie erlaubten dem König David das Beisammensein<sup>169</sup><i class=""footnote"">Mit einer ihm nicht angetrauten Frau; cf. supra Fol. 21a.</i>, nicht aber die Scheidung<sup>170</sup><i class=""footnote"">Von einer seiner 18 Frauen, um die Abišag ehelichen zu können.</i>.
"
Sanhedrin 22a:16,"R. Elie͑zer sagte: Wenn jemand sich von seiner ersten Frau scheiden läßt, so vergießt sogar der Altar Tränen über ihn, denn es heißt:<sup>171</sup><i class=""footnote"">Mal. 2,13.</i><i>Zum zweiten aber tut ihr folgendes: daß der Altar des Herrn mit Tränen, m,it Weinen und Schluchzen bedeckt wird, sodaß er sich nicht mehr wenden mag zur Opfergabe und zur Entgegennahme von Wohlgefälligem aus eurer Hand</i>. Und darauf folgt:<sup>172</sup><i class=""footnote"">Ib. V. 14.</i><i>ihr fragt: warum? Weil der Herr Zeuge war [des Bündnisses] zwischen dir und dem Weihe deiner Jugend, dem du untreu geworden bist, während sie doch deine Gefährtin und deine Jugendfrau war</i>.
"
Sanhedrin 22a:17,"R. Joḥanan, nach anderen R. Elea͑zar, sagte: Die Frau stirbt einem nur deshalb, weil man von ihm Geld fordert und er keines hat, denn es heißt: <sup>173</sup><i class=""footnote"">Pr. 22,27.</i><i>warum soll man dir das Lager unter dir wegnehmen, wenn du nicht bezahlen kannst</i>. 
"
Sanhedrin 22a:18,"Ferner sagte R. Joḥanan: Wenn einem seine erste Frau stirbt, so ist es ebenso, als würde der Tempel in seinen Tagen zerstört worden sein, denn es heißt:<sup>174</sup><i class=""footnote"">Ez. 24,16.</i><i>Menschensohn, ich werde dir deiner Augen Lust durch die Seuche wegnehmen, du aber sollst nicht klagen noch weinen, noch sollen dir Tränen kommen</i>. Darauf folgt:<sup>175</sup><i class=""footnote"">Ib. V. 18.</i><i>Und ich redete am Morgen zum Volke, und am Abend starb meine Frau</i>. Und ebenso heißt es:<sup>176</sup><i class=""footnote"">Ib. V. 21.</i><i>Ich werde mein Heiligtum entweihen, der Gegenstand eures Stolzes, die Lust eurer Augen</i>.
"
Sanhedrin 22a:19,"R. Alexandri sagte: Wenn einem seine Frau stirbt, so verfinstert sich ihm die Welt, denn es heißt:<sup>177</sup><i class=""footnote"">Ij. 18,6.</i><i>das Licht verfinstert sich in seinem Zelte, und seine Leuchte über ihm erlischt</i>. R. Jose b. Ḥanina sagte: Seine Schritte werden verkürzt, denn es heißt:<sup>178</sup><i class=""footnote"">Ib. V. 7.</i><i>seine rüstigen Schritte werden kurz</i>. R. Abahu sagt: Sein Rückgrat<sup>179</sup><i class=""footnote"">Er geht gebückt. Die Kommentare erklären <span dir=""rtl"">עצה</span> mit Ratschlag, Vorhaben, dh. sein Vorhaben wird ihm nicht gelingen, jed. unrichtig, da <span dir=""rtl"">נפל</span> unmöglich den Sinn <i>nicht gelingen, zu nickte werden</i>, haben kann. Unter <span dir=""rtl"">עצתו</span> im weiter angezogenen Schrift verse versteht der T. ebenfalls das Rückgrat.</i>fällt zusammen, denn es heißt:<sup>178</sup><i class=""footnote"">Ib. V. 7.</i><i>und sein Anschlag läßt ihn fallen</i>.
"
Sanhedrin 22a:20,"Raba b. Bar Ḥana sagte im Namen R. Joḥanans: Die Verbindung [zwischen Mann und Frau] ist ebenso schwer, wie die Spaltung des Schilfmeeres, denn es heißt:<sup>180</sup><i class=""footnote"">Ps. 68,7.</i><i>Gott, der die Einzelnen in die Familie bringt, der die Gefangenen in Wohlergehen befreit</i>. – 
"
Sanhedrin 22a:21,"Dem ist ja aber nicht so, R. Jehuda sagte ja im Namen Rabhs, daß vierzig Tage vor der Geburt des Kindes eine Hallstimme ausrufe: Die Tochter von diesem für jenen!? – Das ist kein Einwand; eines gilt von der ersten Ehe und eines von der zweiten Ehe.
"
Sanhedrin 22a:22,"R. Šemuél b. Naḥman sagte: Für alles gibt es einen Ersatz, nur nicht für die Jugendfrau, denn es heißt:<sup>181</sup><i class=""footnote"">Jes 54,6.</i><i>und eine Jugendfrau, kann sie verschmäht werden?</i> R. Jehuda lehrte seinen Sohn R. Jiçḥaq: Ein Mensch findet Befriedigung nur bei seiner ersten Frau, denn es heißt:<sup>182</sup><i class=""footnote"">Pr. 5,18.</i><i>dein Born sei gesegnet, daß du Freude hast vom Weibe deiner Jugend</i>. 
"
Sanhedrin 22b:1,"Dieser fragte: Wer zum Beispiel? Jener erwiderte: Zum Beispiel deine Mutter. – 
"
Sanhedrin 22b:2,"Dem ist ja aber nicht so, R. Jehuda lehrte seinen Sohn R. Jiçḥaq:<sup>183</sup><i class=""footnote"">Ecc. 7,26.</i><i>Und bitterer als den Tod finde ich die Frau, denn sie gleicht einem Netze und einem Fanggarne</i>, und als dieser fragte: wer zum Beispiel? erwiderte er ihm: zum Beispiel deine Mutter!? – Sie war jähzornig, jedoch durch ein Wort zu besänftigen.
"
Sanhedrin 22b:3,"R. Šemuél b. Inja sagte im Namen Rabhs: Das Weib ist ein formloser Klumpen und schließt ein Bündnis nur mit dem, der es zum fertigen Geräte macht, denn es heißt:<sup>184</sup><i class=""footnote"">Jes. 54,5.</i><i>denn dein Gemahl ist dein Schöpfer; der Herr der Heerscharen ist sein Name</i>. 
"
Sanhedrin 22b:4,"Es wird gelehrt: Der Mann stirbt nur seiner Frau, und die Frau stirbt nur ihrem Manne. Der Mann stirbt nur seiner Frau, wie es heißt:<sup>185</sup><i class=""footnote"">Rut. 1,3.</i><i>da starb Elimelekh, der Mann der Nao͑mi</i>; die Frau stirbt nur ihrem Manne, wie es heißt:<sup>186</sup><i class=""footnote"">Gen. 48,7.</i><i>als ich aus Paddan zurückkam, starb mir Raḥel</i>.
"
Sanhedrin 22b:5,"M<small>AN DARF IHM NICHT ZUSEHEN &amp;C</small>. Die Rabbanan lehrten: Der König schneide sich das Haar täglich, der Hochpriester an jedem Vorabend des Šabbaths und ein gemeiner Priester einmal in dreißig Tagen. 
"
Sanhedrin 22b:6,"Der König schneide sich das Haar täglich, denn es heißt:<sup>187</sup><i class=""footnote"">Jes. 33,17.</i><i>den König in seiner Pracht sollen deine Augen schauen</i>. Der Hochpriester an jedem Vorabend des Šabbaths; R. Šemuél b. Naḥman erklärte im Namen R. Joḥanans: Weil dann die Priesterwachen wechseln. 
"
Sanhedrin 22b:7,"Ein gemeiner Priester einmal in dreißig Tagen, denn es heißt:<sup>188</sup><i class=""footnote"">Ez. 44,20.</i><i>sie sollen ihr Haupt nicht scheren, aber auch ihren Haarwuchs nicht herabhängen lassen, sondern ihr Haupthaar verstutzt tragen</i>, und er folgert durch [das Wort] <i>Haarwuchs</i> vom Naziräer; hier heißt es: <i>ihren Haarwuchs nicht herabhängen lassen</i>, und dort<sup>189</sup><i class=""footnote"">Num. 6,5.</i>heißt es: <i>seinen Haarwuchs soll er herabhängen lassen</i>; wie dort dreißig [Tage], ebenso auch hier dreißig Tage. Wir haben nämlich gelernt: Das unbefristete Nazirat währt<sup>190</sup><i class=""footnote"">Wenn man beim Geloben keine bestimmte Dauer angegeben hat.</i>dreißig Tage. – 
"
Sanhedrin 22b:8,"Woher dies von diesem selbst? R. Mathna erwiderte: Die Schrift sagt:<sup>189</sup><i class=""footnote"">Num. 6,5.</i><i>heilig soll er sein [jihjeh]</i>, und der Zahlenwert [des Wortes <i>jihjeh</i>] beträgt dreißig. 
"
Sanhedrin 22b:9,"R. Papa sprach zu Abajje: Vielleicht dürfen [die Priester das Haar] überhaupt nicht wachsen lassen!? Dieser erwiderte: Würde es geheißen haben: ‘sie sollen keinen Haarwuchs herabhängen lassen’, so könntest du Recht haben, es heißt aber: ‘ihren Haarwuchs’, sie dürfen einen Haarwuchs tragen, nur nicht herabhängen lassen. – 
"
Sanhedrin 22b:10,"Demnach sollte dies auch noch jetzt gelten!? – Gleich dem Weintrinken: wie das Weintrinken nur zur Zeit des Eintretens<sup>191</sup><i class=""footnote"">In den Tempelhof (cf. Ez. 44,21), dh. nur dann, wenn der Tempel besteht.</i>verboten ist, außerhalb der Zeit des Eintretens aber erlaubt ist, ebenso ist ihnen das Herabhängenlassen des Kopfhaares nur zur Zeit des Eintretens verboten, außerhalb der Zeit des Eintretens aber erlaubt. – 
"
Sanhedrin 22b:11,"Ist ihnen denn der Wein außerhalb der Zeit des Eintretens erlaubt, es wird ja gelehrt: Rabbi sagte: Ich sage, Priester sollten niemals Wein trinken dürfen, was aber ist zu machen, wenn ihnen der Verderb zum Nutzen<sup>192</sup><i class=""footnote"">Die Tatsache, daß ein Priester nicht wissen kann, welcher Priesterwache er angehören würde (da nur den Diensttuenden das Weintrinken verboten war), geschieht zu seinem Nutzen, u. das Weintrinken ist ihm ganz erlaubt.</i>gereicht!? Hierzu sagte Abajje: Nach wessen Ansicht trinken die Priester jetzt Wein? Nach Rabbi. Demnach verbieten es die Rabbanan!? – 
"
Sanhedrin 22b:12,"Dies aus dem Grunde, weil gar schnell der Tempel erbaut werden, und man einen dienstfähigen Priester suchen könnte, ohne einen zu finden. – Auch hierbei könnte man ja einen dienstfähigen Priester suchen, ohne einen zu finden!? – 
"
Sanhedrin 22b:13,"Er kann sich das Haar schneiden und [zum Dienste] eintreten. – Ebenso kann ja auch [der Trunkene] ein wenig schlafen und [zum Dienste] eintreten, denn R. Aḥa sagte, ein Mil des Weges oder ein wenig Schlaf treiben den Wein aus!? – Hierüber ist ja gelehrt worden: R. Naḥman sagte im Namen des Rabba b. Abuha: Dies lehrten sie nur von dem Falle, wenn man ein Viertellog getrunken hat, wenn aber mehr als ein Viertellog, so steigert der Weg um so mehr die Müdigkeit und der Schlaf den Rausch. 
"
Sanhedrin 22b:14,"R. Aši erwiderte: Die Weintrunkenheit entweiht den Dienst, daher haben die Rabbanan dabei eine Maßregel getroffen, der Haarwuchs entweiht den Dienst nicht, daher haben die Rabbanan dabei keine Maßregel getroffen. 
"
Sanhedrin 22b:15,"Man wandte ein: Folgende [Priester] verfallen dem Tode: die den Haarwuchs herabhängen<sup>193</sup><i class=""footnote"">Und so den Dienst verrichtet haben</i>lassen und die Wein getrunken<sup>193</sup><i class=""footnote"">Und so den Dienst verrichtet haben</i>haben. 
"
Sanhedrin 22b:16,"Allerdings die Wein getrunken haben, denn es heißt:<sup>194</sup><i class=""footnote"">Lev. 10,9.</i><i>Wein und Rauschtrank sollt ihr, du und deine Söhne, nicht trinken &amp;c. damit ihr nicht sterbet</i>, woher dies aber von denen, die den Haarwuchs herabhängen lassen? 
"
Sanhedrin 22b:17,"Man vergleiche die Weintrunkenheit mit dem Haarwuchs. Es heißt:<sup>195</sup><i class=""footnote"">Ez. 44,20.</i><i>ihr Haupt sollen sie nicht scheren, aber auch ihren Haarwuchs nicht herabhängen lassen</i>, und darauf folgt:<sup>196</sup><i class=""footnote"">Ib. V. 21.</i><i>und Wein sollen sie nicht trinken &amp;c</i>.; wie nun der Weintrunkene dem Tode verfällt, ebenso verfällt auch der dem Tode, der den Haarwuchs herabhängen läßt. – 
"
Sanhedrin 22b:18,"Hieraus ist zu entnehmen: wie der Weintrunkene, weil er den Dienst entweiht, ebenso der den Haarwuchs herabhängen läßt, weil er den Dienst entweiht!? – Ein Einwand. 
"
Sanhedrin 22b:19,"Rabina sprach zu R. Aši: Wer sagte dies bevor Jeḥezqel kam? – Wie willst du nach deiner Auffassung das erklären, was R. Ḥisda gesagt hat, daß wir dies<sup>197</sup><i class=""footnote"">Daß ein unbeschnittener Priester den Tempeldienst nicht verrichten dürfe.</i>nämlich nicht aus der Tora Mošes lernen, sondern aus [den Worten] Jeḥezqels:<sup>198</sup><i class=""footnote"">Ez. 44,9.</i><i>kein Fremdling, der unbeschnittenen Herzens und unbeschnittenen Fleisches ist, soll in mein Heiligtum eintreten, um mich zu bedienen</i>; wer sagte dies nun bevor Jeḥezqel kam!? Vielmehr war es eine überlieferte Lehre, und Jeḥezqel kam und brachte sie zu Schrift, ebenso war auch dies eine überlieferte Lehre, und Jeḥezqel kam und brachte sie zu Schrift. – 
"
Sanhedrin 22b:20,"Die überlieferte Lehre bezog sich nur auf den Tod, nicht aber bezog sie sich auf die Dienstentweihung. – 
"
Sanhedrin 22b:21,"Was heißt: das Kopfhaar stutzen? – Es wird gelehrt: eine Art julianischer Frisur, – Welche heißt eine julianische Frisur? R. Jehuda erwiderte im Namen Šemuéls: Die Einzelfrisur. – Wie ist dies? R. Aši erwiderte: Die Spitze des einen [Haares] an der Wurzel des anderen. 
"
Sanhedrin 22b:22,"Man fragte Rabbi: Welche Frisur trug der Hochpriester? Er erwiderte: Geht, seht euch die Frisur des Ben Elea͑sa an. Es wird gelehrt: Rabbi sagte: Nicht nutzlos verschwendete<sup>199</sup><i class=""footnote"">Für seine kostspielige Frisur.</i>Ben Elea͑sa sein Geld, sondern um damit die Frisur des Hochpriesters zu zeigen.
"
Sanhedrin 23a:1,"<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN <small>WERDEN VOR DREI</small> [R<small>ICHTERN</small>] <small>VERHANDELT</small>: <small>DIESER</small><sup>1</sup><i class=""footnote"">Einer der beiden Prozeßführenden.</i> <small>WÄHLT EINEN, JENER WÄHLT EINEN ANDEREN UND BEIDE ZUSAMMEN WÄHLEN NOCH EINEN – SO</small> R. M<small>EÍR; DIE WEISEN SAGEN, DIE BEIDEN</small> R<small>ICHTER WÄHLEN DEN</small> D<small>RITTEN</small>. 
"
Sanhedrin 23a:2,"D<small>IESER KANN DEN VON JENEM GEWÄHLTEN</small> R<small>IGHTER ALS UNZULÄSSIG ABLEHNEN, UND JENER KANN DEN VON DIESEM GEWÄHLTEN</small> R<small>ICHTER ALS UNZULÄSSIG ABLEHNEN – SO</small> R. M<small>EÍR</small>. D<small>IE</small> W<small>EISEN SAGEN, NUR DANN, WENN ER DEN</small> B<small>EWEIS ERBRINGT, DASS ER VERWANDT ODER UNZULÄSSIG IST, WENN ER ABER ZULÄSSIG ODER AUTORISIERT IST, SO KANN ER IHN NICHT ABLEHNEN</small>. 
"
Sanhedrin 23a:3,"D<small>IESER KANN DIE</small> Z<small>EUGEN VON JENEM ALS UNZULÄSSIG ABLEHNEN, UND JENER KANN DIE</small> Z<small>EUGEN VON DIESEM ALS UNZULÄSSIG ABLEHNEN – SO</small> R. M<small>EÍR</small>. D<small>IE</small> W<small>EISEN SAGEN, NUR DANN, WENN ER DEN</small> B<small>EWEIS ERBRINGT, DASS SIE VERWANDT ODER UNZULÄSSIG SIND, WENN SIE ABER ZULÄSSIG SIND, SO KANN ER SIE NICHT ABLEHNEN</small>.
"
Sanhedrin 23a:4,"GEMARA. Wozu wählt dieser einen und jener einen<sup>2</sup><i class=""footnote"">Unter ‘einen’ in der Mišna versteht der T. einen Gerichtshof, demnach wären also zusammen 9 Richter erforderlich.</i>, drei [Richter] genügen ja!? – 
"
Sanhedrin 23a:5,"Er meint es wie folgt: wenn einer dieses Gerichtskollegium wählt, der andere aber ein anderes Gerichtskollegium, so wählen beide zusammen ein anderes. – 
"
Sanhedrin 23a:6,"Demnach ist auch der Schuldner abzulehnen berechtigt, dagegen sagt ja R. Elea͑zar, daß dies nur vom Gläubiger gelte, während man den Schuldner zwingen könne, vor dem Gerichte seiner Stadt<sup>3</sup><i class=""footnote"">Cf. infra Fol. 31b.</i> zu erscheinen!? – 
"
Sanhedrin 23a:7,"Wie R. Joḥanan erklärt hat, sie lehren es von den Gerichtsämtern in Syrien<sup>4</sup><i class=""footnote"">Die im biblischen Gesetze nicht kundig waren.</i>, ebenso lehrten sie es auch hier von den Gerichtsämtern in Syrien; dies gilt aber nicht von autorisierten Richtern. 
"
Sanhedrin 23a:8,"R. Papa erklärte: Du kannst auch sagen, von autorisierten Richtern, jedoch von solchen, wie R. Hona und R. Ḥisda<sup>5</sup><i class=""footnote"">Beide waren sie Richter in derselben Ortschaft; der Beklagte kann also nur in dem Falle ein Gericht zurückweisen, wenn in derselben Stadt ein anderes vorhanden ist; ein Gericht in einer anderen Stadt kann nur der Kläger ablehnen.</i>; er kann nämlich sagen, dies mache ihm keine Mühe. – 
"
Sanhedrin 23a:9,"Wir haben gelernt: Die Weisen sagen, die beiden Richter wählen noch einen dritten. Wieso kann nun, wenn du sagst, [das Wählen beziehe sich auf] das Gerichtskollegium, das Gerichtskollegium, nachdem es abgelehnt wurde, ein anderes Gerichtskollegium wählen!? 
"
Sanhedrin 23a:10,"Und wieso heißt es ferner, dieser wähle einen und jener wähle einen anderen<sup>6</sup><i class=""footnote"">Also von vornherein, auch wenn keines abgelehnt wird.</i>!? – 
"
Sanhedrin 23a:11,"Vielmehr meint er es wie folgt: dieser wähle einen Richter, jener wähle einen anderen Richter und beide zusammen wählen noch einen. – Weshalb verfahren sie so? – 
"
Sanhedrin 23a:12,"Im Westen erklärten sie im Namen R. Zeras: dadurch, daß dieser einen wählt, jener einen anderen und beide zusammen einen dritten, geht ein gerechtes Urteil hervor.
"
Sanhedrin 23a:13,"D<small>IE</small> W<small>EISEN SAGEN &amp;C</small>. Es ist anzunehmen, daß sie über die Lehre des R. Jehuda im Namen Rabhs streiten. 
"
Sanhedrin 23a:14,"R. Jehuda sagte nämlich im Namen Rabhs, Zeugen unterschreiben einen Schein nur dann, wenn sie wissen, wer mit ihnen unterschreibt. R. Meír hält nichts von der Lehre des R. Jehuda im Namen Rabhs, und die Rabbanan halten wohl von der Lehre des R. Jehuda im Namen Rabhs. – 
"
Sanhedrin 23a:15,"Nein, alle halten sie von der Lehre des R. Jehuda im Namen Rabhs, und alle sind der Ansicht, die Übereinstimmung der Richter sei erforderlich, sie streiten vielmehr, ob auch die Übereinstimmung der Prozeßführenden erforderlich sei; R. Meír ist der Ansicht, auch die Übereinstimmung der Prozeßführenden sei erforderlich, und die Rabbanan sind der Ansicht, nur die Übereinstimmung der Richter sei erforderlich, nicht aber die Übereinstimmung der Prozeßführenden.
"
Sanhedrin 23a:16,"Der Text. R. Jehuda sagte im Namen Rabhs: Zeugen unterschreiben einen Schein nur dann &amp;c. Ebenso wird auch gelehrt: Folgendes war die Gepflogenheit der Sittenreinen in Jerušalem: sie unterschrieben einen Schein nur dann, wenn sie wußten, wer mit ihnen unterschreibt, sie setzten sich zu Gericht nur dann, wenn sie wußten, wer mit ihnen sitzt, und sie setzten sich zur Tafel nur dann, wenn sie wußten, wer mit ihnen speist.
"
Sanhedrin 23a:17,"D<small>IESER KANN &amp;C</small>. R<small>ICHTER ALS UNZULÄSSIG ABLEHNEN</small>. Sollte jeder ohne weiteres Richter ahlehnen körmen!? 
"
