Index Title,Gittin
Gittin 8b:10,"Vielmehr, sagte Rabba, ob so oder soOb Sklave u. Güter besonders od. gemeinsam genannt werden.erwirbt er sich selbst, nicht aber die Güter. R. Ada b. Mathna sprach zu Raba: Wohl nach R. Šimo͑n, welcher sagt, man teile das Wort. 
"
Gittin 8b:11,"Wir haben nämlich gelernt: Wenn jemand all seine Güter seinem Sklaven verschrieben hat, so wird er frei; hat er etwas GrundbesitzOhne es bezeichnet zu haben.zurückbehalten, so wird or nichtSklaven gelten als Grundbesitz, u. da er das Zurückbehaltene nicht bezeichnet hat, so kann er damit den Sklaven selbst gemeint haben.frei. R. Šimo͑n sagt,
"
Gittin 9a:1,"er werdeDa er ausdrücklich Grimdbesitz genannt hat, so hat er damit den Sklaven nicht gemeint.in jedem Falle frei, es sei denn, daß er gesagt hat; all meine Güter mit Ausnahme von einem ZehntausendstelDamit kann er den Sklaven gemeint haben.sollen diesem meinem Sklaven geschenktIm 1. Falle wird er frei u. erwirbt den Grundbesitz nicht, wonach das Wort geteilt wird. sein. 
"
Gittin 9a:2,"Aber R. Joseph b. Minjomi sagte ja im Namen R. Naḥmans, daß, obgleich R. Jose R. Šimo͑n gelobt hat, die Halakha wie R. MeírDer ungenannte Gegner RŠ.s; der Sklave werde nicht frei, wonach das Wort nicht zu teilen ist.sei!? Es wird nämlich gelehrt: Als man dies R. Jose berichtete, las er über ihn folgenden Schriftvers:Pr. 24,26.<i>Die Lippen küßt man dem, der treffende Worte antwortet</i>. – 
"
Gittin 9a:3,"Kann R. Naḥman dies denn gesagt haben, R. Joseph b. Minjomi sagte ja im Namen R. Naḥmans, daß, wenn ein Sterbenskranker all seine Güter seinem Sklaven verschrieben hat mid genesen ist, er hinsichtlich der Güter zurücktreten könne, nicht aber hinsichtlich des Sklaven.
"
Gittin 9a:4,"Er kann hinsichtlich der Güter zurücktreten, weil es das Geschenk eines SterbenskrankenEin solcher kann, wenn er genesen ist, seine Schenkungen zurückziehen; cf. Bb. Fol. 146b.ist, und er kann nicht hinsichtlich des Sklaven zurücktreten, weil dieser bereits in den Ruf eines Freien gelangtDemnach ist das Wort wohl zu teilen.ist. 
"
Gittin 9a:5,"R. Aši erwiderte: DaIn dem Falle, worüber RM. u. RŠ. streiten.erfolgt dies aus dem Grunde, weil die Urkunde nicht durchschneidendDer Freibrief von Sklaven gleicht dem Ehescheidebriefe, bei dem (cf. Dt. 24,3) der Ausdruck ‘durchschneiden’ gebraucht wird, dh. die Trennung muß eine vollständige sein. Im strittigen Falle hat der Herr den Sklaven nicht besonders genannt, sondern ihn in der Bezeichnung ‘Güter’ einbegriffen u. einen Teil zurückbehalten, sodaß ein vollständiges Durchschneiden nicht erfolgt ist; nur aus diesem Grunde wird der Sklave nicht frei, nicht aber aus dem Grunde, weil man das Wort nicht teile.ist.
"
Gittin 9a:6,"L<small>IEGT EINE</small> A<small>NFECHTUNG VOR, SO IST ER DURCH DIE</small> U<small>NTERSCHRIFTEN ZU BESTÄTIGEN</small>. Welche Anfechtung: wenn durch einen, so sagte ja R. Joḥanan, alle stimmen überein, daß eine Anfechtung durch mindestens zwei erfolgen müsse, und wenn durch zwei, 
"
Gittin 9a:7,"so sind es ja zwei gegenüber zwei, und was veranlaßt dich, sich auf jene zu verlassen, verlaß dich auf diese!? – Vielmehr, eine Anfechtung des Ehemannes.
"
Gittin 9a:8,"<sup>iii,2</sup> <b>W</b><small>ENN JEMAND EINEN</small> S<small>CHEIDEBRIEF AUS DEM</small> Ü<small>BERSEELANDE BRINGT UND NICHT SAGEN KANN: ER IST VOR MIR GESCHRIEBEN UND VOR MIR UNTERZEICHNET WORDEN, SO IST ER, WENN</small> Z<small>EUGEN AUF DIESEM UNTERZEICHNET SIND, DURCH DIE</small> Z<small>EUGEN ZU BESTÄTIGEN</small>. <sup>iv</sup>
"
Gittin 9a:9,"S<small>OWOHL</small> S<small>CHEIDEBRIEFE ALS AUCH</small> F<small>REILASSUNGSBRIEFE, SIE GLEICHEN EINANDER BEIM HINBRINGEN UND BEIM</small> H<small>ERBRIWGEN</small>Der Überbringer muß seine Gegenwart beim Schreiben bekunden.. D<small>IES IST EINER VON DEN</small> P<small>UNKTEN, WORIN</small> S<small>CHEIDEBRIEFE UND</small> F<small>REILASSUNGSBRIEFE EINANDER GLEICHEN</small>.
"
Gittin 9a:10,"GEMARA. Was heißt ‘nicht sagen kann’: wollte man sagen, wenn er taubstumm ist, so kann ja ein Taubstummer keinen Scheidebrief überbringen, denn wir haben gelernt, jeder sei zulässig, einen Scheidebrief zu überbringen, ausgenommen ein Tauber, ein Blöder und ein Minderjahriger!? 
"
Gittin 9a:11,"R. Joseph erwiderte: Hier wird von dem Falle gesprochen, wenn er ihn ihr gegeben hat, als er noch hörend war, und bevor er sagen konnte: er ist vor mir geschrieben und vor mir unterzeichnet worden, taubstumm geworden ist.
"
Gittin 9a:12,"S<small>CHEIDEBRIEFE UND</small> F<small>REILASSUNGSBRIEFE</small>. Die Rabbanan lehrten: In drei Punkten gleichen Scheidebriefe und Freilassungsbriefe einander: sie gleichen einander hinsichtlich des Hinbringens und Herbringens; jede Urkunde, auf der ein samaritanischer Zeuge unterzeichnet ist, ist ungültig, ausgenommen Scheidebriefe und Freilassungsbriefe; und alle Urkunden, 
"
Gittin 9b:1,"die von nichtjüdischen Ämtern ausgefertigt sind, sind, selbst wenn Nichtjuden [als Zeugen] unterzeichnet sind, gültig, ausgenommen Scheidebriefe imd Freilassungsbriefe. Nach R. Meír in vier [Punkten], denn wenn jemand gesagt hat, daß man diesen Scheidebrief seiner Frau oder diesen Freiiassungsbrief seinem Sklaven gebe, so kannVor Aushändigung der Urkunde.er, wie R. Meír sagt, in beiden Fällen zurücktreten.
"
Gittin 9b:2,"Allerdings schließt nach den Rabbanan die Angabe der Anzahl die Ansicht R. Meírs aus, was aber schließt die Angabe der Anzahl nach R. Meír aus? – 
"
Gittin 9b:3,"Sie schließt den Fall der folgenden Lehre aus. Wenn die Zeugen nicht zu unterschreiben verstehen, so schramme man auf das glatte PapierDie Namen der Zeugen.und sie füllen die Schrammen mit Tinte aus. 
"
Gittin 9b:4,"R. Šimo͑n b. Gamliél sagte: Dies gilt nur von ScheidebriefenDamit die Frau der Möglichkeit der Wiederverheiratung nicht beraubt werde., bei Freilassungsbriefen und allen anderen Urkunden aber dürfen sie, wenn sie zu lesen und zu unterschreiben verstehen, unterschreiben, wenn aber nicht, so dürfen sie nicht unterschreiben. – 
"
Gittin 9b:5,"Wer spricht hier vom Lesen!? – [Diese Lehre] ist lückenhaft und muß wie folgt lauten: wenn die Zeugen nicht zu lesen verstehen, so dese man ihnen vor und sie unterschreiben, und wenn sie nicht zu unterschreiben verstehen, so schramme man [auf das Papier]. – 
"
Gittin 9b:6,"Gibt es denn weiter nichtsWorin Scheidebriefe u. Freilassungsbriefe einander gleichen.mehr, es gibt ja noch folgendes. Wenn jemand gesagt hat, daß man diesen Scheidebrief seiner Frau oder diesen Freilassungsbrief seinem Sklaven gebe, und gestorben ist, so gebe man sie nicht nach seinem Tode; wenn aber, daß man jemand eine Mine gebe, und gestorben ist, so gebe man sie ihm nach seinem Tode!? – 
"
Gittin 9b:7,"Er lehrt nur das, was bei anderen UrkundenAußer Scheidebriefen u. Freilassungsbriefen.nicht vorkommt, das aber, was auch bei anderen Urkunden vorkommt, lehrt er nicht. 
"
Gittin 9b:8,"Rabin ließ nämlich im Namen R. Abahus mitteilen: Wisset, daß R. Elea͑zar im Namen unseres Meisters der Diaspora mitteilen ließ, daß, wenn ein Sterbenskranker gesagt hat, man schreibe und gebe jemand eine Mine, und gestorben ist, man nicht schreibe und sie ihm gebe, 
"
Gittin 9b:9,"weil er sie ihm vielleicht nur durch die Urkunde zueignen wollte, und es nach dem Tode keine UrkundeBei der Übergabe der Urkunde ist er nicht mehr am Leben. Hinsichtlich der Übergabe nach dem Tode gilt dies somit auch von der Schenkungsurkunde.gibt. – 
"
Gittin 9b:10,"Es gibt ja noch [das Schreiben] auf den NamenBeide Urkunden müssen auf den Namen der betreffenden Person geschrieben sein, was aber bei anderen Urkunden nicht der Fall ist.!? 
"
Gittin 9b:11,"Allerdings ist dies nach RabbaNach dem die Bekundung der Gegenwart aus dem Grunde zu erfolgen hat, weil die Aussteller nicht wissen, daß es auf den richtigen Namen erfolgen müsse.identisch mit dem Hinbringen und HerbringenDh. daß der Überbringer seine Gegenwart beim Schreiben zu bekunden habe, u. zwar aus dem Grunde, weil das Schreiben auf den richtigen Namen erfolgen muß., nach RabaNach dem die Bekundung aus einem ganz anderen Grunde zu erfolgen hat.aber ist dies ja ein Einwand!? 
"
Gittin 9b:12,"Und ferner gibt es ja sowohl nach Rabba als auch nach Raba noch das HaftendeBeide Urkunden sind ungültig, wenn sie auf eine am Boden haftende Sache geschrieben worden sind.!? – Er spricht nur von einer rabbanitischen Ungültigkeit, nicht aber von einer solchen nach der Tora. – 
"
Gittin 9b:13,"Bei solchen von nichtjüdischen Ämtern sind sie ja nach der Tora ungiiltig, und er lehrt dies!? – Wenn Zeugen der Übergabe vorhanden sind, und zwar nach R. Elea͑zar, denn R. Elea͑zar sagt, die Trennung erfolge durch die Zeugen der ÜbergabeDer Scheidebrief ist dann nach der Tora gültig u. nur rabbanitisch ungültig.. – 
"
Gittin 9b:14,"Wenn aber der Schlußsatz lehrt, R. Šimo͑n sagt, auch dieseScheidebriefe u. Freilassungsbriefe, die von nichtjüdischen Zeugen unterschrieben sind. seien gültig, und R. Zera hierzu sagt, R. Šimo͑n habe sich zur Ansicht R. Elea͑zars bekannt, welcher sagt, die Trennung erfolge durch die Zeugen der Übergabe, so ist ja der erste Autor nicht dieser Ansicht!? – 
"
Gittin 10a:1,"Ein Unterschied besteht zwischen ihnenRŠ. u. dem 1. Autor, der ebenfalls der Ansicht RE.s ist.bei kenntlichen NamenWenn die Zeugen Namen führen, die bei Jisraéliten nicht vorkommen, so ist nach RŠ. der Scheidebrief gültig, da man sich in diesem Falle nur auf die Zeugen der Übergabe stützt u. die unterschriebenen Zeugen als nicht vorhanden gelten.. – 
"
Gittin 10a:2,"Beim ZurücktretenDer 4. Punkt nach RM.erfolgt es ja nach der ToraDurch das Zurücktreten ist der Auftrag aufgehoben u. der Scheidebrief nach der Tora ungültig., und er lehrt dies!? – 
"
Gittin 10a:3,"Vielmehr, er nennt nur das, was bei der Antrauung nicht vorkommt, was aber auch bei der Antrauung vorkommt, nennt er nichtDie letztgenannten Bestimmungen gelten auch beim Antrauungsscheine.. –
"
Gittin 10a:4,"Aber das Zurücktreten kommt ja auch bei der AntrauungSolange der Überbnnger den Antrauungsschein nicht übergeben hat, kann der Auftraggeber von der Antrauung zurücktreten.vor!? – Bei einem Auftrage gegen ihren Willen kommt dies nur bei der Scheidung vor, nicht aber bei der AntrauungDer Überbringer des Antrauungsscheines kann seinen Auftrag gegen ihren Willen nicht ausrichten..
"
Gittin 10a:5,"<sup>v,1</sup> <b>J</b><small>EDE</small> U<small>RKUNDE, AUF DER EIN SAMARITANISCHER</small> Z<small>EUGE UNTERSCHRIEBEN IST, IST</small>Da die Samaritaner im Verdacht des Falschzeugnisses stehen.<small>UNGÜLTIG, AUSGENOMMEN</small> S<small>CHEIDEBRIEFE UND</small> F<small>REILASSUNGSBRIEFE</small>. E<small>INST BRACHTE MAN</small> R. G<small>AMLIÉL IN</small> K<small>EPHAR</small> U͑<small>THNAJ EINEN VON SAMARITANISCHEN</small> Z<small>EUGEN UNTERZEICHNETEN</small> S<small>CHEIOEBRIEF, UND ER ERKLÄRTE IHN ALS GÜLTIG</small>.
"
Gittin 10a:6,"GEMARA. Wer ist der Autor unserer Mišna: weder der erste AutorDer folgenden Lehre. noch R. Elea͑zar noch R. Šimo͑n b, Gamliél!? 
"
Gittin 10a:7,"Es wird nämlich gelehrt: Das Ungesäuerte eines Samaritaners ist erlaubt und man entledigt sich damit seiner PflichtUngesäuertes zu essen; cf. Ex. 12,18.am Pesaḥfeste. R. Elea͑zar verbietet es, weil sie in den Genauigkeiten der Gebote nicht bewandert sind. R. Šimo͑n b. Gamliél sagte: Jedes Grebot, das die Samaritaner halten, beachten sie genauer als Jisraéliten. 
"
Gittin 10a:8,"Wer ist es nun: wenn der erste Autor, so sollte diesDaß ihre Zeugenunterschriften gültig sind.auch von anderen Urkunden gelten, wenn R. Elea͑zar, so sollte es auch von einem Scheidebriefe nicht gelten, 
"
Gittin 10a:9,"und wenn R. Šimo͑n b. Gamliél, so sollte es, wenn sie davonVon den Vorschriften über die Ausstellung von Urkunden.halten, auch von anderen Urkunden gelten, und wenn sie davon nicht halten, auch von Scheidebriefen nicht gelten.
"
Gittin 10a:10,"Wolltest du erwidern, es sei R. Šimo͑n b. Gamliél, nur halten sie von diesenVon den Urkunden über Ehescheidung u. Freilassung von Sklaven.und nicht von anderen, so sollte dies nicht nur von einem [Zeugen], sondern auch von zwei gelten, während R. Elea͑zar sagte, er sei nur dann gültig, wenn ein Zeuge SamaritanerDer andere aber Jisraélit.ist!? – 
"
Gittin 10a:11,"Tatsächlich ist es R. Elea͑zar, und zwar in dem Falle, wenn ein Jisraélit am EndeUnter der Unterschrift des Samaritaners. unterzeichnet ist, 
"
Gittin 10b:1,"denn wenn der Samaritaner nicht GenosseDh. ein ehrlicher Mann, der nichts Falsches unterschreiben würde.wäre, so ließe dieser ihn nicht zuerst unterzeichnen. – Demnach sollte es auch von anderen Urkunden gelten!? 
"
Gittin 10b:2,"Vielmehr nehmen wir an, er habe Raum für einen ÄlterenObgleich die Unterschrift des Jisraéliten sich unter der des Samaritaners befindet, so beweist dies nicht, daß er tatsächlich später unterschriében hat.gelassen, ebenso ist auch bei diesen anzunehmen, er habe Raum für einen Älteren gelassen. 
"
Gittin 10b:3,"R. Papa erwiderte: Dies besagt, daß die Zeugen des Scheidebriefes einer ohne den anderen nicht unterschreiben dürfen. – Aus welchem Grunde?
"
Gittin 10b:4," R. Aši erwiderte: Mit Rücksicht auf eine GesamtheitWenn jemand zu einer Gesamtheit Von Personen sagt, daß sie alle für seine Frau einen Scheidebrief schreiben sollen, so ist dieser nur dann gültig, wenn alle ihn unterschrieben haben, u. mit Rücksicht darauf müssen, auch wenn er nicht ‘ihr alle’ gesagt hat, die anwesenden Zeugen gleichzeitig unterschreiben..
"
Gittin 10b:5,"Der Text. R. Elea͑zar sagte: Man hat ihn nur dann als gültig erklärt, wenn nur ein Zeuge Samaritaner ist. Was lehrt er uns damit, wir haben ja bereits gelernt, daß eine Urkunde, auf der ein Samaritaner als Zeuge unterzeichnet ist, ungültigUnd nur auf diesen Fall bezieht sich die Ausnahme bezüglich der Scheidebriefe.sei!? – 
"
Gittin 10b:6,"Wenn nur die Lehre unserer Mišna vorhanden wäre, könnte man glauben, dies gelte auch von zweien, nur lehre sie es deshalb von einem, weil bei anderen Urkunden auch einer unzulässig ist, so lehrt er uns. – 
"
Gittin 10b:7,"Gilt dies denn nicht auch von zweien, er lehrt ja ein Ereignis, daß man vor R. Gamliél in Kephar U͑thnaj einen von samaritanischen Zeugen unterzeichneten Scheidebrief brachte und er ihn als gültig erklärte!? Abajje erwiderte: Lies: von einem Zeugen. 
"
Gittin 10b:8,"Raba erwiderte: Tatsächlich von zwei, nur streitet R. Gamliél dagegen, denn [die Mišna] ist lückenhaft und muß wie folgt lauten: nach R. Gamliél sind sie gültig, auch wenn es beide sind; einst brachte man R. Gamliél in Kephar U͑thnaj einen von zwei samaritanischen Zeugen unterzeichneten Scheidebrief, und er erklärte ihn als gültig.
"
Gittin 10b:9,"<sup>v,2</sup> <b>A</b><small>LLE AUF NICHTJÜDISCHEN</small> Ä<small>MTERN AUSGEFERTIGTEN</small> U<small>RKUNDEN SIND, OBGLEICH SIE VON</small> N<small>ICHTJUDEN UNTERZEICHNET SIND, GÜLTIG, AUSGENOMMEN</small> S<small>CHEIDEBRIEFE UND</small> F<small>REILASSUNGSBRIEFE</small>. R. Š<small>IMO͑N SAGT, AUCH DIESE SEIEN GÜLTIG; ES</small>Daß sie von Nichtjuden ausgestellt ungültig sind.<small>GILT NUR VON DEM</small> F<small>ALLE, WENN SIE VON</small> L<small>AIEN AUSGEFERTIGT SIND</small>.
"
Gittin 10b:10,"GEMARA. Er lehrt es allgemein, einerlei ob Verkaufs- oder Schenkungsurkunden; 
"
Gittin 10b:11,"erklärlich ist dies von Verkaufsurkunden, denn sobald er vor ihnenDen Amtsmitgliedern.das Greld zahlt, erwirbt er [die Sache], und die Urkunde ist nichts weiter als ein Beweisstück, denn sie würden sich nicht suspekt gemacht und ihm die Urkunde geschrieben haben, wenn er nicht das Geld vor ihnen gezahlt hätte, 
"
Gittin 10b:12,"die Schenkung aber erwirbt er ja durch die Urkunde, und eine solche Urkunde ist ja nichts mehr als ein Fetzen!? Šemuél erwiderte: Das Staatsgesetz ist Gesetz. 
"
Gittin 10b:13,"Wenn du aber willst, sage ich, man lese: ausgenommen solche, die Scheidebriefen gleichenWenn die Urkunde nicht Beweisstück ist, sondern die Handlung vollzieht..
"
Gittin 10b:14,"R. Š<small>IMO͑N SAGT, AUCH DIESE SEIEN GÜLTIG &amp;C</small>. Sie sind ja nicht zur Scheidung geeignet!? 
"
Gittin 10b:15,"R. Zera erwiderte: R. Šimo͑n vertritt die Ansicht R. Elea͑zars, welcher sagt, die Trennung erfolge durch die Zeugen der ÜbergabeDie auf dem Scheidebrief unterschriebenen Zeugen sind irrelevant.. – 
"
Gittin 10b:16,"R. Abba sagte ja aber, R. Elea͑zar pflichte bei einem an sich falschenWohl ist ein Scheidebrief ohne Zeugenunterschriften gültig, nicht aber, wenn unzulässige Zeugen unterschrieben sind.bei, daß er ungültig sei!? – Hier wird von kenntlichen NamenWenn die Zeugen Namen führen, die bei Jisraéliten nicht vorkommen, so ist nach RŠ. der Scheidebrief gültig, da man sich in diesem Falle nur auf die Zeugen der Übergabe stützt u. die unterschriebenen Zeugen als nicht vorhanden gelten.gesprochen. – 
"
Gittin 11a:1,"Welche sind kenntliche Namen? 
"
Gittin 11a:2,"R. Papa erwiderte: Zum Beispiel Hormez, Abudina, Bar Sibtaj, Bar Qidri, Baṭi, Naqim und Ona. –
"
Gittin 11a:3," Weshalb lehrt er, wenn dies demnach von unkenntlichen Namen nicht gilt, im Schlußsatze, daß es nur von dem Falle gelte, wenn sie von Laien ausgefertigt sind, sollte er doch bei diesen selbst einen Unterschied machen: dies gilt nur von kenntlichen Namen, nicht aber von unkenntlichen Namen!? – 
"
Gittin 11a:4,"Das sagt er auch: dies gilt nur von kenntlichen Namen, bei unkenntlichen Namen aber ist es ebenso, als würden sie von Laien ausgefertigt worden sein, und sie sind ungültig. 
"
Gittin 11a:5,"Wenn du aber willst, sage ich: der Schlußsatz spricht von VerkphrsurkundenEr bezieht sich auf den ersten Passus der Mišna, auf die Ansicht des 1. Autors., und er meint es wie folgt: von Verkehrsurkunden gilt es nur dann, daß sie ungültigDh. in Fällen, wo sie ungültig sind, zBs. bei Schenkungsurkunden.sind, wenn sie von Laien ausgefertigt sind.
"
Gittin 11a:6,"Es wird gelehrt: R. Elea͑zar b. R. Jose sagte: R. Šimo͑n sprach zu den Weisen in Çajdan: R. A͑qiba und die Weisen stimmen überein, daß alle auf nichtjüdischen Ämtern ausgefertigten Urkunderf gültig seien, obgleich sie von Nichtjuden unterzeichnet sind, sogar Scheidebriefe und Freilassungsbriefe, sie streiten nur über den Fall, wenn sie von Laien ausgefertigt sind: nach R. A͑qiba sind sie gültig und nach den Weisen ungültig, ausgenommen ScheidebriefeDie Scheidung bezw. die Freilassung erfolgt durch die Zeugen der Übergabe.und Freilassungsbriefe; 
"
Gittin 11a:7,"R. Šimo͑n b. Gamliél sagt, auch diese seien gültig, nur in Orten, wo Jisraéliten nichtWenn sie hierzu nicht zugelassen werden. unterzeichnen, nicht aber in Orten, wo Jisraéliten unterzeichnen. – 
"
Gittin 11a:8,"Sollte dies auch in Orten gelten, wo Jisraéliten nicht unterzeichnen, mit Rücksicht auf Orte, wo JisraélitenEbenso wie auch bei kenntlichen Namen unkenntliche berücksichtigt werden.unterzeichnen!? – Namen werden mit einander verwechselt. Orte aber werden mit einander nicht verwechselt. 
"
Gittin 11a:9,"Rabina wollte [Urkunden], die von einer [nichtamtlichen] Gemeinschaft von Aramäern angefertigt sind, als gültig erklären, da sprach Raphrani zu ihm: Dies haben wir nur von Ämtern gelernt.
"
Gittin 11a:10,"Raba sagte: Wenn einem eine persische UrkundePersisch geschrieben u. von Persern unterzeichnet.vor jisraélitischen Zeugen übergeben worden ist, so kann man damit von freien [Gütern]Die der Schuldner noch besitzt. einziehen. – 
"
Gittin 11a:11,"Sie können sie ja nicht lesenUnd können somit über den Inhalt der Urkunde nichts bekunden.!? – 
"
Gittin 11a:12,"Wenn sie es können, – Es ist ja aber eine unverfälschbare Schrift erforderlich, was hierbei nicht der FallUm Fälschungen vorzubeugen, muß das für die Urkunde bestimmte Pergament mit Galläpfelsaft präpariert werden, was aber die Perser nicht berücksichtigen.ist!? – Wenn sie mit Galläpfelsaft präpariert ist. – Es ist ja aber erforderlich, daß in der letzten Zeile der Tenor der Urkunde wiederholt wird, was bei dieser nicht der Fall ist!? – Wenn er wiederholt ist. – DemnachWenn die Urkunde nach den Vorschriften des jüd. Rechtes ausgefertigt worden ist.sollte es auch von verkauften [Gütern] gelten!? – 
"
Gittin 11a:13,"Eine solche ist nicht bekanntDa keine Jisraéliten unterschrieben sind, so konnte der Käufer es nicht wissen u. darf keinen Schaden erleiden..
"
Gittin 11a:14,"Reš Laqiš fragte R. Joḥanan: 
"
Gittin 11b:1,"Wie ist es, wenn die Namen der auf dem Scheidebriefe unterzeichneten Zeugen solchen von NichtjudenMan weiß somit nicht, ob es Jisraéliten od. Nichtjuden sind.gleichen? Dieser erwiderte: 
"
Gittin 11b:2,"Uns sind nur [die Namen] Luqus und Lus vorgekommen, und wir erklärten [den Scheidebrief] als gültig. Dies gilt jedoch nur von den Namen Luqus und Lus, die Jisraéliten nichtIn diesem Falle stützt man sich auf die Zeugen der Übergabe.führen, nicht aber von anderen Namen, die auch Jisraéliten führen.
"
Gittin 11b:3,"Er wandte gegen ihn ein: Scheidebriefe aus dem Überseelande sind, selbst wenn die Namen der unterzeichneten Zeugen nichtjüdischen gleichen, gültig, weil die meisten Namen der Jisraéliten außerhalb des [Jisraél]landes nichtjüdischen gleichen!? – 
"
Gittin 11b:4,"Da wird auch der Grund angegeben: weil die meisten Namen der Jisraéliten außerhalb des [Jisraél]landes nichtjüdischenWährend RJ. von Scheidebriefen aus dem Jisraéllande spricht.gleichen.
"
Gittin 11b:5,"Manche sagen, jener hatte ihn hinsichtlich des in der Barajtha gelehrten Falles gefragt, und dieser entschied es aus dieser Barajtha.
"
Gittin 11b:6,"<sup>vi,1</sup> <b>W</b><small>ENN JEMAND ZU EINEM GESAGT HAT, DASS ER DIESEN</small> S<small>CHEIDEBRIEF SEINER</small> F<small>RAU ODER DIESEN</small> F<small>REILASSUNGSBRIEF SEINEM</small> S<small>KLAVEN GEBE, SO KANN ER, WENN ER WILL, IN BEIDEN</small> F<small>ÄLLEN ZURÜCKTRETEN – SO</small> R. M<small>EÍR;
"
Gittin 11b:7,"DIE</small> W<small>EISEN SAGEN, NUR BEI EINEM</small> S<small>CHEIDEBRIEFE, NICHT ABER BEI EINEM</small> F<small>REILASSUNGSBRIEFE, WEIL MAN EINEN IN SEINER</small> A<small>BWESENHEIT BEVORTEILEN KANN, BENACHTEILIGEN ABER KANN MAN EINEN NUR IN SEINER</small> G<small>EGENWART</small>.
"
Gittin 11b:8,"W<small>ENN ER NÄMLICH SEINEM</small> S<small>KLAVEN DIE</small> E<small>RNÄHRUNG VERWEIGERN WILL, SO DARF</small>Die Scheidung erfolgt zum Nachteile der Frau, dagegen aber die Freilassung des Sklaven zu seinem Vorteile. Durch die Zurückziehung des bereits erteilten Auftrages erfolgt eine Benachteiligung bezw. Bevorteilung der betreffenden abwesenden Person.<small>ER DIES, UND WENN ER SEINER</small> F<small>RAU DIE</small> E<small>RNÄHRUNG VERWEIGERN WILL, SO DARF ER DIES</small>Die Scheidung erfolgt zum Nachteile der Frau, dagegen aber die Freilassung des Sklaven zu seinem Vorteile. Durch die Zurückziehung des bereits erteilten Auftrages erfolgt eine Benachteiligung bezw. Bevorteilung der betreffenden abwesenden Person.<small>NICHT</small>.
"
Gittin 11b:9," E<small>R SPRACH ZU IHNEN</small>: E<small>R MACHT JA SEINEN</small> S<small>KLAVEN FÜR DIE</small> H<small>EBE</small>Wenn der Herr ein Priester ist, so darf auch sein Sklave Hebe essen, somit erfolgt die Freilassung, wodurch ihm der Genuß derselben verboten wird, zu seinem Nachteil.<small>UNTAUGLICH, WIE ER SEINE</small> F<small>RAU UNTAUGLICH MACHT</small>!? S<small>IE ERWIDERTEN IHM</small>: W<small>EIL ER SEIN</small> E<small>IGENTUM IST</small>Darf er Hebe essen, u. durch die Freilassung ist er es nicht mehr..
"
Gittin 11b:10,"GEMARA. R. Hona und R. Jiçḥaq b. Joseph saßen vor R. Jirmeja, und R. Jirmeja saß und schlummerte. Da sprach R. Hona: Aus der Ansicht der Rabbanan ist zu entnehmen, daß, wenn jemand für einen Gläubiger etwas einhascht, er es erworbenFür den Gläubiger. In diesem Falle gilt der Sklave seinem Herrn gegenüber als Gläubiger, da dieser ihm durch die bereits ausgehändigte Freilassungsurkunde den Besitz seiner Person schuldet, u. der Beauftragte erwirbt die in seinem Besitze befindliche Urkunde für den Sklaven.habe. 
"
Gittin 11b:11,"R. Jiçḥaq b. Joseph sprach zu ihm: Auch wenn [der Schuldner] noch anderen schuldet? Dieser erwiderte: Jawohl. 
"
Gittin 11b:12,"Währenddessen erwachte R. Jirmeja und sprach zu ihnen: Kinder, folgendes sagte R. Joḥanan: wenn jemand für einen Gläubiger etwas einhascht und dadurch andere benachteiligt, so hat er es nicht erworben. Wenn du aber aus unserer Mišna einen Einwand erhebst, [so ist zu erwidern,] 
"
Gittin 11b:13,"wenn jemand ‘gebet’ sagt, so ist es ebenso als würde er ‘erwerbet’ sagenEr selbst hat den Auftrag zum Einhaschen erteilt..
"
Gittin 11b:14,"R. Ḥisda sagte: Wenn jemand etwas für einen Gläubiger einhascht und dadurch andere benachteiligt, so gelangen wir zum Streite zwischen R. Elie͑zer und den Rabbanan. Wir haben nämlich gelernt: Wenn jemand den Eckenlaß aufliest und spricht: dies sei für jenen Armen, so hat er ihn, wie R. Elie͑zer sagt, für diesen erworben, und die Weisen sagen, er gebe ihn dem Armen, der sich zuerst einfindet. 
"
Gittin 11b:15,"Amemar, nach anderen R. Papa, sprach: 
"
Gittin 12a:1,"Vielleicht ist dem nicht so; R. Elie͑zer sagt dies nur da, weil er, wenn er sein Vermögen freigeben will, Armer sein und ihn für sich selber erwerben kann, und da er ihn für sich selber erwerben kann, kann er es auch für einen anderen, hierbei aber nicht. 
"
Gittin 12a:2,"Ferner vertreten die Rabbanan ihre Ansicht nur da, weil es heißt:Lev. 23,22.<i>du sollst nicht aufklauben, für den Armen</i>, du sollst für den Armen nicht aufklauben, nicht aber hierbei. – 
"
Gittin 12a:3,"Wofür verwendet R. Elie͑zer [den Vers:] <i>da sollst nicht aufklauben</i>? – Dies ist ein Verbot für den Armen bezüglich des eigenenWenn der Besitzer des Feldes selbst Armer ist (cf. Pea VIII.8), so muß er den Eckenlaß für andere Arme zurücklassen..
"
Gittin 12a:4,"W<small>ENN ER &amp;C. DIE</small> E<small>RNÄHRUNG VERWEIGERN WILL</small>. Hieraus wäre also zu entnehmen, daß der Herr zum Sklaven sagen darf: arbeite für mich und ich ernähre dich nichtWährend weiter hierüber ein Streit besteht.? – 
"
