"Moreh Nevukhim, Part 1, Additions Et Rectifications.1",_____
"Moreh Nevukhim, Part 1.54.4","Il est donc clair que les <i>derakhîm</i> (voies) et les <i>middôth</i> (qualités) sont la même chose: ce sont les actions qui émanent de Dieu (et se manifestent) dans l'univers. A mesure donc qu'on percevait une de ses actions, on lui attribuait la qualité dont cette action émane et on lui prêtait le nom dérivé de cette action. En percevant, p. ex., les tendres soins qu'il met à former l'embryon <sup>(2)</sup><i class=""footnote"">(2) Tous les mss. portent <span dir=""rtl"">אגׄנה̈</span> (<img src=""images/Art_P188.jpg"" alt=""art""/>, pl. de <img src=""images/Art_P189.jpg"" alt=""art""/>), <i>les embryons</i>, bien que tous les suffixes qui s'y rapportent, dans les mots suivants, soient au singulier.</i> des animaux et à produire, dans lui et dans (l'animal) qui doit l'élever après sa naissance, des forces qui puissent l'empêcher de périr et de se perdre, le préserver du mal et l'aider dans ses fonctions nécessaires, — manière d'agir qui, chez nous, ne proviendrait que d'une <i>passion</i> <sup>(3)</sup><i class=""footnote"">(3) Il faut se rappeler que nous employons ici, comme ailleurs, le mot <i>passion</i> dans le sens du mot grec <i>πάθος</i>, rendu en arabe par <img src=""images/Art_P190.jpg"" alt=""art""/>, et qui désigne la <i>passivité</i> en général, ou l'affection par une impression venant du dehors.</i> et d'un sentiment de tendresse qu'on désigne par (le mot) <i>miséricorde</i>, — on a appelé Dieu <span dir=""rtl"">רחום</span>, <i>miséricordieux</i>, conformément à ce qui a été dit: <i>Comme un père a compassion de ses enfants, etc</i>. (Ps. CIII, 13); <i>Et j'aurai pitié d'eux, comme un homme a pitié de son fils</i> (Malachi, III, 17); non pas que Dieu soit passivement affecté et attendri, mais une manière d'agir semblable à celle qui a lieu de la part du père envers son enfant, et qui est le résultat de la tendresse, de la commisération et d'une pure passion, a lieu aussi de la part de Dieu à l'égard de ses favoris, sans que ce soit par une passion ni par (un sentiment qui implique) un changement <sup>(1)</sup><i class=""footnote"">(1) La passion, ou la passivité, implique un changement dans celui qui est l'objet de l'impression, et, par conséquent, aucune passivité ou qualité affective ne saurait être attribuée à Dieu. Voyez vers la fin du chap. XXXV (pag. 133), et ci-après, au commencement du chap. LV (pag. 225).</i>. De même, puisque chez nous autres, quand nous donnons quelque chose à celui qui n'a pas de droit sur nous, cela s'appelle, dans notre langue, <span dir=""rtl"">חנינה</span>, <i>grâce</i>, — p. ex., <i>Gratifiez-nous</i> (<span dir=""rtl"">חנונו</span>) <i>d'elles</i> (Juges, XXI, 22) <sup>(2)</sup><i class=""footnote"">(2) C'est-à-dire, <i>accordez-nous les femmes que nous avons enlevées;</i> <span dir=""rtl"">אותם</span> se rapporte aux femmes, et le suffixe masculin est irrégulier, comme dans <span dir=""rtl"">אבותם</span> et <span dir=""rtl"">אחיהם</span>. Dans plusieurs éditions de la version d'Ibn-Tibbon on a substitué un autre exemple, tiré de Job (XIX, 21); mais l'édition <i>princeps</i> est conforme à notre texte.</i>; … <i>dont Dieu a gratifié</i> (Genèse, XXXIII, 5); <i>car Dieu m'a gratifié</i> (<i>Ibid.</i>, <small>V</small>. 11), et beaucoup d'autres passages, — et que Dieu fait exister et gouverne ceux qu'il n'a point le devoir de faire exister et de gouverner, il a été appelé pour cela <span dir=""rtl"">חנון</span>, <i>gracieux</i> (clément). De même, nous trouvons, au nombre de ses actions qui se manifestent sur les hommes, de grandes calamités qui fondent sur certains individus pour les anéantir, ou qui enveloppent dans leur destruction <sup>(3)</sup><i class=""footnote"">(3) Littéralement: <i>ou une chose générale qui fait périr</i>, ou <i>qui détruit</i>.</i> des familles, et même une contrée entière, font périr plusieurs générations à la fois <sup>(4)</sup><i class=""footnote"">(4) Littéralement: <i>les enfants, et les enfants des enfants</i>.</i> et ne laissent ni culture ni progéniture, comme, p. ex., les inondations, les tremblements de terre, les orages destructeurs, l'expédition faite par un peuple contre un autre pour le détruire par le glaive et pour effacer sa trace, et beaucoup d'autres actions semblables, qui, chez nous, ne sont entreprises, par les uns contre les autres <sup>(1)</sup><i class=""footnote"">(1) Littéralement: <i>qui n'émanent d'aucun de nous contre un autre</i>.</i>, que par suite d'une forte colère, ou d'une grande haine, ou dans le but de se venger; on l'a donc appelé, par rapport à ces actions: <i>jaloux, vengeur, gardant rancune, irascible</i> (Nahum, I, 2), ce qui veut dire que des actions comme celles qui, chez nous, émanent d'une disposition de l'âme, savoir, de la jalousie, de la vengeance, de la haine, ou de la colère, se manifestent aussi, de la part de Dieu, en raison du démérite de ceux qui sont punis, mais (n'émanent) nullement d'une passion [qu'il soit exalté au dessus de toute imperfection!]. C'est ainsi que toutes les actions (attribuées à Dieu) sont des actions semblables à celles qui, chez les hommes, émanent de passions et de dispositions de l'âme; mais, de la part de Dieu, elles n'émanent nullement de quelque chose d'accessoire à son essence."
"Moreh Nevukhim, Part 1.54.5","Il faut que celui qui gouverne l'état, s'il est prophète <sup>(2)</sup><i class=""footnote"">(2) C'est-à-dire, s'il veut, comme Moïse, <i>connaître les voies de Dieu</i>, et conformer ses actions à celles qui émanent de Dieu.</i>, prenne pour modèle ces attributs (divins), et que lesdites actions émanent de lui par (une juste) appréciation et selon ce qui est mérité, mais non par le seul entraînement de la passion. Il ne doit pas lâcher la bride à la colère, ni se laisser dominer par les passions; car toute passion est un mal. Il doit, au contraire, s'en préserver, autant qu'un homme le peut, de manière à être tantôt, à l'égard des uns, <i>clément</i> et <i>gracieux</i>, non par simple attendrissement et commisération, mais selon ce qui est dû; tantôt, à l'égard des autres, <i>vengeur, gardant rancune</i> et <i>irascible</i>, en raison de ce qu'ils ont mérité, et non par simple colère, à tel point qu'il doit ordonner de brûler un individu, sans éprouver contre lui ni indignation, ni colère, ni haine, n'ayant égard, au contraire, qu'à ce qu'il lui paraîtra avoir mérité, et considérant ce que l'accomplissement de cet acte a de souverainement utile pour la grande multitude. Ne vois-tu pas que, dans les textes de la loi, après avoir ordonné la destruction des <i>sept peuplades</i> et avoir dit: <i>Tu ne laisseras pas vivre une âme</i> (Deutéron., XX, 16), on fait suivre immédiatement ces paroles: <i>Afin qu'ils ne vous apprennent point à faire selon toutes les abominations qu'ils ont faites à leur Dieu et que vous ne péchiez point contre l'Éternel votre Dieu</i> (<i>Ibid.</i>, <small>V</small>. 18)? ce qui veut dire: Ne crois pas que ce soit là de la dureté ou un désir de vengeance; c'est, au contraire, un acte qu'exige la raison humaine, savoir, de faire disparaître tous ceux qui se détournent des voies de la vérité, et d'écarter tous les obstacles qui empêchent d'arriver à la perfection, c'est-à-dire à la perception de Dieu. Malgré tout cela, il faut que les actes de miséricorde, de pardon, de commisération et de bienveillance, émanent de celui qui gouverne l'état, bien plus fréquemment que les actes de punition, les treize <i>middôth</i> étant toutes des <i>qualités de miséricorde</i>, à l'exception d'une seule, savoir: <i>Punissant l'iniquité des pères sur les enfants</i> (Exode, XXXIV, 7); car les mots <span dir=""rtl"">ונקה לא ינקה</span> (<i>Ibid.</i>) signifient: <i>et il ne déracine</i> (détruit) <i>pas entièrement</i> <sup>(1)</sup><i class=""footnote"">(1) L'auteur s'écarte ici de l'interprétation d'Onkelos et du Talmud (<i>Yômâ</i>, fol. 86 <i>a</i>) et de celle de tous les commentateurs, qui s'accordent à donner au verbe <span dir=""rtl"">נַקֵּה</span> le sens de <i>déclarer pur</i> ou <i>innocent, absoudre</i>. Dans le passage d'Isaïe, le mot <span dir=""rtl"">וְנׅקׇּתׇה</span> signifie littéralement: <i>elle sera rendue vide</i>, ce qui veut dire: <i>elle sera dépouillée de ses habitants, dévastée;</i> c'est donc mal à propos que l'auteur cite ce passage à l'appui du sens de <i>déraciner, détruire</i>, qu'il donne ici au verbe <span dir=""rtl"">נַקֵּה</span>.</i>, (sens dérivé) du mot <span dir=""rtl"">ונקתה</span> (Isaïe, III, 26), <i>et elle sera détruite</i>. Il faut savoir que les mots <i>punissant l'iniquité des pères sur les enfants</i> ne se rapportent qu'au péché d'idolâtrie en particulier, et non pas à d'autres péchés; ce qui le prouve, ce sont ces paroles du décalogue: … <i>sur la troisième et la quatrième génération de ceux qui me haïssent</i> (Exode, XX, 5), car, par <i>celui qui hait</i> (<i>Dieu</i>), on ne désigne que l'idolâtre <sup>(2)</sup><i class=""footnote"">(2) Littéralement: <i>et on n'appelle</i> <span dir=""rtl"">שׂונא</span> (<i>haïssant, ennemi</i>) <i>que l'idolâtre</i>. Ibn-Tibbon ajoute le mot <i>seul</i> (<span dir=""rtl"">לבד</span>), qui ne se trouve pas dans notre texte arabe, lequel n'exprime pas non plus les mots <span dir=""rtl"">כאשר אמר</span>, qu'on trouve dans les deux versions hébraïques. Nous avons cru devoir ajouter les mots: <i>qui est présenté aussi comme objet de la haine de Dieu;</i> car, dans le passage cité, la haine n'est pas attribuée à l'idolâtre, mais à Dieu, et ce passage ne s'adapte pas bien à ce qui précède.</i>, (qui est présenté aussi comme objet de la <i>haine</i> de Dieu): <i>Car tout ce qui est en abomination à Dieu</i> (<i>et tout</i>) <i>ce qu'il hait, etc</i>. (Deutéron., XII, 31). On s'est borné à <i>quatre générations</i>, parce que l'homme ne peut voir de sa postérité que tout au plus la <i>quatrième génération</i>. Ainsi, lorsqu'on tue la population d'une ville livrée à l'idolâtrie <sup>(1)</sup><i class=""footnote"">(1) Voy. Deutéronome, chap. XIII, vers. 13-19.</i>, on tue le vieillard idolâtre et sa race jusqu'à l'arrière petit-fils, qui est l'enfant de quatrième génération. On a donc, en quelque sorte, indiqué <sup>(2)</sup><i class=""footnote"">(2) C'est-à-dire, dans l'énumération des treize <i>middôth</i> et dans le Décalogue, mis en rapport avec le passage du Deutéronome relatif à la ville idolâtre.</i> qu'au nombre des commandements de Dieu, qui indubitablement font partie de ses actions, est celui de tuer les descendants des idolâtres, quoique jeunes enfants, pêle-mêle <sup>(3)</sup><i class=""footnote"">(3) La leçon varie un peu dans les mss.: la plupart portent <span dir=""rtl"">גמאר</span> <img src=""images/Art_P191.jpg"" alt=""art""/>, quelques uns <span dir=""rtl"">גמר</span> (<img src=""images/Art_P192.jpg"" alt=""art""/> ou <img src=""images/Art_P193.jpg"" alt=""art""/>), et l'un des mss. de Leyde, <span dir=""rtl"">אגמאר</span> <img src=""images/Art_P194.jpg"" alt=""art""/>; tous ces mots, les uns des singuliers, les autres des pluriels, signifient <i>troupe mélangée, foule</i> (<i>miscella hominum turba</i>). La version d'Ibn-Tibbon (mss. et édition <i>princeps</i>) porte <span dir=""rtl"">בתוך</span>, <i>au milieu</i>, ce qui, dans plusieurs éditions, a été arbitrairement changé en <span dir=""rtl"">בחטא</span>, <i>pour le péché</i>. Le ms. unique de la version d'Al-'Harizi porte <span dir=""rtl"">בחײ</span>, <i>du vivant;</i> l'éditeur de Londres a, nous ne savons pourquoi, substitué <span dir=""rtl"">בחטא</span>, en suivant la leçon fautive des éditions de la version d'Ibn-Tibbon.</i> avec leurs pères et leurs grand-pères. Cet ordre, nous le trouvons partout répété dans le Pentateuque, comme, p. ex., il a été ordonné à l'égard de la <i>ville séduite:</i> de la <i>vouer à la destruction, elle et tout ce qui s'y trouve</i> (Deut., XIII, 16); tout cela pour effacer jusqu'à la trace de ce qui produit une si grande perdition, ainsi que nous l'avons exposé."
"Moreh Nevukhim, Part 1.54.6","Nous nous sommes écarté du sujet du chapitre; mais nous devions expliquer pourquoi, en parlant ici des actions de Dieu, on s'est borné à celles-là <sup>(1)</sup><i class=""footnote"">(1) C'est-à-dire, à celles désignées par les treize <i>middôth</i>.</i>. C'est qu'elles sont nécessaires pour gouverner les états; car la suprême vertu de l'homme est de se rendre semblable à Dieu autant qu'il le peut, c'est-à-dire que nous devons rendre semblables nos actions aux siennes, comme l'ont exposé (les docteurs), en commentant les mots <i>soyez saints, etc</i>. (Lévit., XIX, 2): « De même, disent-ils, qu'il est, lui, gracieux, toi aussi tu dois être gracieux; de même qu'il est, lui, miséricordieux, toi aussi tu dois être miséricordieux <sup>(2)</sup><i class=""footnote"">(2) L'auteur paraît avoir fait ici une erreur de mémoire en disant que ces paroles des rabbins servent de commentaire à ce passage du Lévitique: <i>Soyez saints; car moi, l'Éternel votre Dieu, je suis saint</i>. Ailleurs l'auteur dit lui-même que les paroles en question s'appliquent à ce passage du Deutéronome (XXVIII, 9): <i>et tu marcheras dans ses voies;</i> voy. <i>Mischné Tôrâ</i>, ou <i>Abrégé du Talmud</i>, traité <i>Dé'ôth</i>, chap. I, § 6. En effet, lesdites paroles se trouvent dans le commentaire sur le Deutéronome connu sous le nom de <i>Siphrî</i>, non pas au passage indiqué par Maïmonide, mais à un autre passage analogue: <i>de marcher dans toutes ses voies, etc</i>. (Deut., X, 12); voy. aussi le <i>Yalkout</i>, à ce dernier passage, et cf. <i>Talmud de Babylone</i>, traité <i>Sôtâ</i>, fol. 14 <i>a</i>, où on explique, d'une manière semblable, les mots: <i>Vous marcherez après l'Éternel, votre Dieu</i> (Deut, XIII, 5). L'auteur, en disant ici que lesdites paroles des docteurs servent d'explication aux mots <i>soyez saints etc.</i>, a peut-être confondu dans sa mémoire le passage du <i>Siphrî</i> avec un passage du <i>Midrasch, Wayyikrâ rabbâ</i> (sect. 24), où on lit: <span dir=""rtl"">כשם שאני פרוש כך תהיו פרושים כשם שאני קדוש כך תהיו קדושים הה""ד קדושים תהיו</span>.</i>. Notre but, en somme, est (de montrer) que les attributs qu'on lui prête sont des attributs (dérivés) de ses actions, et (ne veulent dire) nullement qu'il possède une qualité."
"Moreh Nevukhim, Part 1.55.1","Nous avons déjà dit, dans plusieurs endroits de ce traité, que tout ce qui implique corporéité, il faut nécessairement l'écarter de Dieu. Et de même il faut écarter de lui toute passion; car toutes les passions impliquent le changement, et l'agent de ces passions est indubitablement autre chose que ce qui est passivement affecté. Or, si Dieu était, d'une manière quelconque, passivement affecté, il y aurait quelque autre chose que lui qui agirait sur lui et qui le changerait. De même, il faut nécessairement écarter de lui toute <i>privation</i> <sup>(1)</sup><i class=""footnote"">(1) Il va sans dire que le mot <i>privation</i> est pris ici dans le sens aristotélique du mot <i>στέρησις.</i> Cf. ci-dessus, chap. XVII, pag. 69.</i> et (ne pas admettre) qu'une perfection quelconque puisse tantôt lui manquer, tantôt exister (en lui); car si l'on admettait cela, il serait parfait (seulement) <i>en puissance</i>, mais toute <i>puissance</i> est nécessairement accompagnée d'une <i>privation</i>, et tout ce qui passe de la <i>puissance</i> à l'<i>acte</i> a absolument besoin de quelque autre chose existant <i>en acte</i>, qui l'y fasse passer. C'est pourquoi il faut que toutes ses perfections existent <i>en acte</i> et qu'il n'ait absolument rien <i>en puissance</i>. Ce qu'en outre il faut nécessairement écarter de lui, c'est la ressemblance avec quoi que ce soit d'entre les êtres; c'est là une chose que tout le monde sait, et déjà dans les livres des prophètes on a expressément écarté l'assimilation, en disant: <i>Et à qui me ferez-vous ressembler, et</i> (<i>à qui</i>) <i>serai-je égal!</i> (Isaïe, XL, 25.) <i>Et à qui ferez-vous ressembler Dieu, et quelle ressemblance lui attribuerez-vous?</i> (<i>Ibid</i>., <small>V</small>. 18.) <i>Il n' y en a pas comme toi, ô Éternel!</i> (Jérémie, X, 6.) — Il y en a de nombreux exemples."
"Moreh Nevukhim, Part 1.55.2","En somme donc, toute chose qui aboutit à l'une de ces quatre espèces, il faut nécessairement l'écarter de lui au moyen d'une démonstration claire; savoir, tout ce qui aboutit à la corporéité, ou ce qui aboutit à une <i>passion</i> et à un changement, ou ce qui aboutit à une <i>privation</i>, comme, p. ex., (d'admettre) qu'une chose pourrait ne pas exister dans lui <i>en acte</i> <sup>(1)</sup><i class=""footnote"">(1) L'un des manuscrits de Leyde porte: <span dir=""rtl"">,מתׄל אן יכון לה שי באל קוח̈</span> <i>comme, p. ex.</i>, (<i>d'admettre</i>) <i>qu'il a une chose</i> <small>EN PUISSANCE</small>. Al-'Harizi traduit: <span dir=""rtl"">כדי שלא יהיה לו שום דבר בכח</span>. On voit qu'Al-'Harizi a préféré lire <span dir=""rtl"">באלקוה̈</span>, mais il a fait un contre-sens en conservant la négation <span dir=""rtl"">שלא</span>; le mot <span dir=""rtl"">כדי</span> est sans doute une faute de copiste, pour <span dir=""rtl"">כמו</span>.</i> et ensuite être <i>en acte</i>, ou enfin ce qui aboutit à l'assimiler à une chose d'entre ses créatures Ces choses sont du nombre de celles où la science physique est utile pour la connaissance de Dieu; car, quiconque ne possède pas ces sciences (physiques) ne sait pas ce qu'il y a de défectueux dans les <i>passions</i>, ne comprend pas ce qu'on entend par <i>être en puissance</i> et <i>être en acte</i> et ignore que la <i>privation</i> est inhérente à tout ce qui est <i>en puissance</i> <sup>(2)</sup><i class=""footnote"">(2) Cf. ci-dessus, pag. 69.</i>, que ce qui est <i>en puissance</i> est plus imparfait que ce qui se meut pour que cette <i>puissanee</i> passe à l'<i>acte</i>, et que ce qui se meut est également imparfait en comparaison de la chose en vue de laquelle il se meut afin d'arriver à l'<i>acte</i> <sup>(3)</sup><i class=""footnote"">(3) Ceci ressort de tout l'ensemble des doctrines aristotéliques sur le mouvement. Voy., entre autres, <i>Physique</i>, liv. III, ch. 2: Ἥ <i>τε ϰίνησις ἐνέργεια μέν τις εἶναι δοϰεῖ, ἀτελὴς δέ · αἴτιον δ'οτι ἀτελὲς τὸ δυνατόν, οὗ ἐστίν ἡ ἐνέργεια ϰίνησις.</i></i>. Mais, si quelqu'un sait ces choses sans en savoir aussi les démonstrations, il ne sait pas les particularités qui résultent nécessairement de ces propositions générales; c'est pourquoi il n'a pas de démonstration pour l'existence de Dieu, ni pour la nécessité d'écarter de lui ces (quatre) espèces (de choses)."
"Moreh Nevukhim, Part 1.55.3","Après avoir fait ces observations préliminaires, j'aborde un autre chapitre, où je montrerai la fausseté de ce que croient ceux qui admettent dans lui (Dieu) les attributs <i>essentiels.</i> Mais cela ne peut être compris que par celui qui a d'abord acquis la connaissance de la logique et de la nature de l'être."
"Moreh Nevukhim, Part 1.56.1","Sache que la similitude est un certain rapport entre deux choses; et toutes les fois qu'entre deux choses on ne peut point admettre de rapport, on ne peut pas non plus se figurer une similitude entre elles. De même, toutes les fois qu'il n'y a pas de similitude entre deux choses, il n'y a pas non plus de rapport entre elles. Ainsi, p. ex., on ne dit pas: « Telle chaleur est semblable à telle couleur », ni: « tel son est semblable à telle douceur »; et c'est là une chose claire en elle-même <sup>(1)</sup><i class=""footnote"">(1) Cf. ci-dessus, chap. LII, pag. 200 et 201.</i>. Or, comme le rapport entre nous et Dieu, je veux'dire, entre lui et ce qui est en dehors de lui, est (une chose) inadmissible, il s'ensuit que la similitude est également inadmissible. Il faut savoir que, toutes les fois que deux choses sont sous une même espèce, je veux dire, que leur <i>quiddité</i> est une, et qu'elles diffèrent seulement par la grandeur et la petitesse, ou par la force et la faiblesse, ou par d'autres choses de ce genre, elles sont nécessairement semblables entre elles, quoiqu'elles diffèrent par ledit genre de différence. Ainsi, p. ex., le grain de moutarde et la sphère des étoiles fixes sont semblables pour avoir les trois dimensions; et, quoique cette dernière soit extrêmement grande <sup>(2)</sup><i class=""footnote"">(2) La sphère des étoiles fixes, qui environne les sphères des planètes et qui forme en quelque sorte la limite de l'univers, est (après la sphère supérieure ou <i>environnante</i>) le corps le plus étendu qu'on puisse imaginer. Voy., sur les sphères célestes et leur nombre, la deuxième partie de cet ouvrage, chap. IV; <i>cf.</i> III<sup>e</sup> partie, chap. XIV.</i> et l'autre extrêmement petit, l'idée de l'existence des dimensions est la même dans les deux. De même, la cire qui fond au soleil et l'élément du feu sont semblables pour avoir de la chaleur; et, quoique la chaleur de ce dernier soit extrêmement forte et celle de l'autre extrêmement faible, l'idée de la manifestation de cette qualité est pourtant la même dans les deux."
"Moreh Nevukhim, Part 1.56.2","Ainsi donc, ceux qui croient qu'il y a des attributs <i>essentiels</i> qui s'appliquent au Créateur, savoir, qu'il a l'<i>existence</i>, la <i>vie</i>, la <i>puissance</i>, la <i>science</i> <sup>(1)</sup><i class=""footnote"">(1) Les éditions de la version d'Ibn-Tibbon portent <span dir=""rtl"">ויודע וחכם</span>; il faut effacer le mot <span dir=""rtl"">ויודע</span>, qui ne se trouve pas dans les manuscrits.</i>, et la <i>volonté</i>, devraient comprendre que ces choses ne sauraient être attribuées, dans le même sens, à lui et à nous, avec la seule différence que ces attributs (de Dieu) seraient plus grands, ou plus parfaits, ou plus durables, ou plus stables que les nôtres <sup>(2)</sup><i class=""footnote"">(2) Littéralement: (<i>en sorte</i>) <i>que la différence entre ces attributs et nos attributs consisterait</i> (<i>seulement</i>) <i>dans le plus grand, etc.</i></i>, de manière que son existence serait plus stable que la nôtre, sa vie plus durable que la nôtre, sa puissance plus grande que la nôtre, sa science plus parfaite que la nôtre, et sa volonté plus étendue que la nôtre, et qu'une même définition embrasserait les deux choses <sup>(3)</sup><i class=""footnote"">(3) C'est-à-dire, que les attributs de Dieu et les nôtres rentreraient sous le même genre, et que la même définition s'appliquerait aux uns et aux autres; car leur <i>quiddité</i> serait la même, et ils ne se distingueraient que par le plus et le moins. Cf. ci-dessus, chap. XXXV, pag. 131.</i>, comme le prétendent (en effet) ceux-là. Il n'en est nullement ainsi: car le comparatif s'emploie seulement (lorsqu'on fait une comparaison) entre les choses auxquelles l'adjectif en question s'applique comme <i>nom commun</i> <sup>(4)</sup><i class=""footnote"">(4) Littéralement: <i>car on ne s'exprime par la forme</i> <small>AF'ALOU</small> <img src=""images/Art_P195.jpg"" alt=""art""/> <i>qu'entre les choses dont ce qui est en question</i> (l'adjectif) <i>se dit</i> <small>CONVENTIONNELLEMENT</small>, c'est-à-dire, auxquelles l'adjectif dont il s'agit s'applique en quelque sorte comme un nom <i>commun</i> ou <i>appellatif;</i> ainsi, par exemple, <i>vivant</i> est un nom commun pour tout ce qui a la vie; <i>puissant</i>, pour tout ce qui a la puissance. Sur le sens du mot <img src=""images/Art_P196.jpg"" alt=""art""/>, voy. ci-dessus, page 6, note 2.</i>, et, cela étant ainsi, il faut qu'il y ait similitude (entre ces choses); mais, selon l'opinion de ceux qui croient qu'il y a des <i>attributs essentiels</i>, il faudrait admettre que, de même que l'essence de Dieu ne saurait ressembler aux (autres) essences, de même les attributs essentiels qu'ils lui supposent ne ressemblent pas aux attributs (des autres êtres), et que (par conséquent) la même définition ne peut s'appliquer aux uns et aux autres. Cependant ils ne font pas ainsi, croyant, au contraire, qu'une même définition les embrasse les uns et les autres, quoiqu'il n'y ait pas de similitude entre eux <sup>(1)</sup><i class=""footnote"">(1) Voici, en résumé, le sens de tout ce passage: Les partisans des <i>attributs essentiels</i>, dit l'auteur, devraient comprendre que la différence entre les attributs de Dieu et les nôtres ne saurait consister uniquement dans le plus et le moins; car, dans ce cas, il y aurait entre eux un rapport proportionnel et, par conséquent, une similitude, qu'ils ne sauraient pas plus admetire que la similitude entre l'essence divine et la nôtre. Mais là oû il n'y a pas de similitude, il n'y a pas non plus de définition commune; par conséquent, les partisans des attributs, qui, tout en rejetant la similitude, admettent pourtant que la même définition embrasse les attributs de Dieu et les nôtres, sont en contradiction avec eux-mêmes.</i>."
"Moreh Nevukhim, Part 1.56.3","Il est dono clair, pour celui qui comprend le sens de la <i>similitude</i>, que, si l'on applique en même temps à Dieu et à tout ce qui est en dehors de lui le mot <i>existant</i>, ce n'est que par simple homonymie; et de même, si la <i>science</i>, la <i>puissance</i>, la <i>volonté</i> et la <i>vie</i> sont attribuées en même temps à Dieu et à tout ce qui est doué de science, de puissance, de volonté et de vie, ce n'est que par simple homonymie, de manière qu'il n'y a aucune ressemblance de sens entre les deux (sortes d'attributs). Il ne faut pas croire qu'on les emploie par <i>amphibologie</i>; car les noms qui se disent par amphibologie sont ceux qui s'appliquent à deux choses entre lesquelles il y a ressemblance dans un sens quelconque <sup>(2)</sup><i class=""footnote"">(2) Cf. ci-dessus, page 6, note 3.</i>. Ce sens est un <i>accident</i> dans elles et ne constitue point <i>l'essence</i> de chacune d'elles; mais ces choses attribuées à Dieu ne sauraient être des accidents, selon aucun des penseurs <sup>(3)</sup><i class=""footnote"">(3) Cf. ci-dessus, page 184, note 3.</i>, tandis que les attributs qui nous appartiennent à nous, sont tous des accidents, selon l'opinion de <i>motécallemîn</i> <sup>(1)</sup><i class=""footnote"">(1) Cf. ci-après, chap. LXXIII, 4<sup>e</sup> proposition.</i>. Je voudrais donc savoir d'où viendrait la similitude, pour qu'une seule définition pût embrasser les deux (sortes d'attributs) et qu'on pût les désigner par un <i>nom commun</i> <sup>(2)</sup><i class=""footnote"">(2) Voy. ci-dessus, pag. 228, note 4.</i>, comme ils le prétendent!—Ainsi, il est démontré d'une manière décisive qu'entre ces attributs qu'on prête à Dieu et ceux qu'on nous connaît à nous il n'y a absolument aucune espèce de communauté de sens, et que la communauté n'existe que dans le nom, et pas autrement."
"Moreh Nevukhim, Part 1.56.4","Cela étant ainsi, il ne faut pas que tu admettes des idées ajoutées à l'essence (divine) et semblables à ces attributs qui s'ajoutent à notre essence, parce qu'il y a entre les deux (sortes d'attributs) communauté de nom. Ce sujet est d'une grande importance chez ceux qui connaissent (la matière); il faut donc t'en pénétrer et t'en rendre compte le mieux possible, pour qu'il serve de préparation à ce qu'on veut te faire comprendre."
"Moreh Nevukhim, Part 1.57.1",SUR LES ATTRIBUTS.
"Moreh Nevukhim, Part 1.57.2","<small>PLUS PROFOND QUE CE QUI PRÉCÈDE</small> <sup>(3)</sup><i class=""footnote"">(3) Dans les chapitres précédents, l'auteur a combattu ceux qui croient pouvoir admettre comme <i>attributs essentiels</i> de Dieu la vie, la science, la puissance et la volonté. Ici il va montrer qu'on ne saurait même pas admettre comme <i>attributs</i> de Dieu l'<i>existence</i>, l'<i>unité</i> et l'<i>éternité</i>, plus généralement considérées comme attributs inhérents à l'es sence divine. Cf. Ba'hya, <i>Devoirs des cœurs</i>, liv. I, chap. 10.</i>."
