1:1	אמרו רז״ל. אבות פ״ד מי״ג, ועי׳ חזית פ׳ טוב שם משמן טוב,
10:26	תבן אתה מכניס לעפרים. מנחות פ״ה רע״ב.
10:27	כלומר עפרים מקום כולו תבן. ז״ל רש״י שם עפריים שהוא מקום הרבה תבואה אתה מביא לשם תבואה למכור בתמיה כך ארץ מצרים שהיא מלאה כשפים אתה בא לשם לעסוק בכשפים.
10:28	למתא ירקא ירקא שקול. בגמרא שם אמר להו אמרי אינשי למתא ירקא ירקא שקול.
10:29	כלומר לעיר שהיא מלאה ירק כו׳. ז״ל רש״י שם לעיר שגדל שם ירק הרבה הביא ירק שלך למכור לפי שמתקבצין שם הכל לקנותן.
10:30	אמרו שלשה ימים. הכוונה ג׳ ימים האחרונים הי׳ חשך ואפלה, וג׳ ימים אחרים היינו הראשונים. וז״ל התנחומא ריש בא עה״כ ויט משה את ידו ושמ״ר פי״ד ז׳ ימים היה כיצד שלשה ימים הראשונים מי שהי׳ יושב ובקש לעמוד עומד והעומד שבקש לישב יושב, שלשה ימים האחרונים כל מי שהי׳ יושב לא הי׳ יכול לעמוד כו׳, מנין שכן כתיב לא ראו איש את אחיו הרי שלשה ולא קמו איש מתחתיו שלשת ימים הרי ששה כו׳ וכן הביא רש״י עה״ת ומובא גם בס׳ והזהיר (ג׳ ע״ב).
10:31	עוביו כדינר זהב. עיין לעיל הערה כ״ג.
10:32	יש אומרים. הביא רבינו לעיל ח י וע״ש בהערה.
10:33	לפיכך נקראו שבט שבט למצרים, לעיל הביא רבינו לכך נקרא שבט שבו נשבטו המצריים.
10:34	אמרו רז״ל גם לרבות אשת פרעה שהיא התחילה לקרוא למכשפים. לא מצאתי לפנינו בתנחומא רק ראיתי בילקוט רמז קפ״א וחסר הציון. ויקרא פרעה אין כתיב כאן אלא ויקרא גם פרעה וא״ר לוי שקרא לאשתו וא״ל ראי היאך באו היהודים לשחק בי כו׳. ובשמ״ר פ״ט ויקרא גם פרעה מהו גם שאף לאשתו קרא ועשתה כן.
10:35	באותיות יש מהם כמו עתידות והם עברות י ר״ל באותיות נמצא שהם לעתיד והם מורה לעבר. ובכ״י
11:1	אין נא אלא לשון בקשה. ברכות ט׳ ע״א.
11:2	ואם תאמר עד והלא דברים ק״ו, נשמט בכ״י פלארענץ.
11:3	בשלשה ימי אפלה לקחו המטמוניות. עיין תנחומא בא עה״כ ולכל בני ישראל היה אור.
11:4	בתולת בת ציון. בקרא בתולת ישראל.
11:5	זה הדבר אומרו משה בעודו לפני פרעה. עיין רש״י עה״ת שכתב: בעמדו לפני פרעה נאמרה לו נבואה זו שהרי משיצא מלפניו לא הוסיף ראות פניו.
11:6	לפיכך אמר משה רבינו. המלות שהסגרתי חסרים לפנינו ונמצא לנכון בכ״י פלארענץ, ובכ״י פ״ב, והמעתיק השמיט מן כה אמר עד כה אמר.
11:7	ד״א כחצות הלילה לפי שידע משה. ברכות ד׳ ע״א וילקוט בא רמז קמ״ו, ורש״י עה״ת, ועיין פסיקתא פסקא ויהי בחצי הלילה ובהערה כ״ט.
11:8	הוא הראוי להיות יושב על כסאו. וכן ת״א דעתיד למתב וכן כתב הראב״ע היושב על כסאו הראוי לשבת על כסאו אחריו.
11:9	הוא בכור השבי. וכן הביא הראב״ע והרשב״ם ע״ש. ועי׳ מכילתא בא פי״ג.
11:10	לשון זכר כלומר כמוהו כאותו הלילה לא נהיית צעקה. עיין הראב״ע. והרשב״ם כתב הרבה מצינו לשון זכר ולשון נקבה בדבר אחד והספורנו מפרש כרבינו אשר בלילה כמוהו לא נהיתה צעקה כזאת.
11:11	כמו לא יצרח כלב. ויהי׳ מאותיות המתהפכות כמו כשב כבש. מלשון יריע אף יצריח (ישעיה מב יג).
11:12	לשנו חסר וי״ו. מובא בשמו במנחת שי וז״ל במדרש לקח טוב לשנו כתיב חסר וא״ו כלומר לא יזיקם בשנו ולא בלשונו ע״כ.
11:13	שהביא המכות על פרעה ועמו כטכסיס מלכים. תנחומא בא ארז״ל כטכסין של מלכים הביא הקב״ה עליהן המכות, ומקורהביאמר הוא בפסיקתא ויהי בחצי הלילה דף ס״ו ע״ב ר׳ לוי בר ברכי׳ אמר בטכסיסי של מלכים בא עליהם הקב״ה וע״ש בהערה פ״ד שכלהביאמר נמצא בשאילתות דרב אחאי גאון ס״פ צו סי׳ פ׳ וציין שם הגאון הרי״ב מעין זה תמצא בילקוט וארא רמז קפ״ב בשם התנחומא עכ״ל ובאמת השאילתות שאב דבריו מהפסיקתא וכן נמצא בס׳ והזהיר דף ג׳ ע״ב.
11:14	כטכסיס. טכסיס, טקסיס. פי׳ ביוני....... סדר (ארדנונג) ור״ל לפי סדר ומשטר המלכים כן הביא עליהם המכות ועיין בפסיקתא שם הערה פ״ה.
11:15	קלנים. פי׳ משמיע קול, והעירותי בפסיקתא שם הערה פ״ז, שהיא מלה רגילה במדרשים, כמו וי״ר פט״ז אר״י בר״ס אליו צפריא קולנין אמר הקב״ה יבא הקול ויכפר על הקול. ובתנחומא תצוה פ׳ וזה הדבר קלאנין של תולעים יוצאים מתוך אהליהם. והמאמר מהפסיקתא מובא בערוך בערך קל ה׳.
11:16	שהיתה נכנסת בתוך גופו של מצרי כחץ. עיין בפסיקתא שם הערה פ״ח.
11:17	הלגיונים. בפסיקתא שם בהערה פ״ט כתבתי היא מלה שגורה במדרשים והיא יונית......... וכן רומית legio וענינה חיילות, ובתנחומא נאמר במקומה ברברים, ובילקוט וארא נשמטה שלשה מכות ערוב דבר שחין, כי קפץ המעתיק מן לא חזרו עד לא חזרו.
11:18	דורמייסות. עיין פסיקתא שם בהערה צ׳ ופי׳ דבר כבד מאד והיא כמו אנדרלומוסיא ע״ש.
11:19	נפט. ידוע שמן הרים הנוטף מבין הסלעים naphtha ועיין מה שהעירותי בפסיקתא שם הערה צ״א.
11:20	אבני בליסטרא. בפסיקתא שם הערה צ״ג הבאתי הרבה מקומות אשר המלה הזאת נמצאת, וכתבתי שהיא מיוני ורומי ballista.......... ופי׳ כלי מלחמה אשר בו מורים אבנים וחניתות לרדות החומה ולהרוג האויבים ע״ש.
11:21	גירה בהם אוכלסין. כ״ה בתנחומא ובילקוט רמז קפ״ב בשם התנתומא וגם מובא כן בס׳ והזהיר דף ג׳ ע״ב, אולם בפסיקתא דף ס״ז ע״א, גם בפסיקתא רבתי פסקא ויהי בחצי הלילה הנוסחא העמיד עליהם כובשים, המפרש לפסיקתא רבתי דפוס ברעסלויא כתב צריך עיון פירושה, ואנכי בהערה צ״ד בפסיקתא שם העירותי שאין ספק שמעתיק התנחומא הציג מלת אוכלוסין במקום כובשין יען כי חשב שפי׳ כובשין הוא חיילות שיכבשו אותם, וכן מפרש הגאון בעל זרע אפרים המלה הזאת בפסיקתא רבתי שם, אולם מלבד אשר מנה כבר הלגיונות למכת ערוב וראוי א״כ למכה זאת דבר אחר, גם איננו עולה יפה לפי הענין, וראיתי בבייטרעגע להרב הגדול מהרימ״ז ז״ל ח״ב צד קמ״ז בהערה שרצה לגרוס כבשים מן כבש שפי׳ מדרגות וסולמות ע״ש ודבריו דחוקים, אולם האמת הוא כאשר מצאתי בערוך ערך כבש ז׳ וז״ל בפסיקתא ויהי בחצי הלילה, הביא עליהם כבשין הרבה בריש מגילת איכה [בפתיחתא וזכור את בוראך] ולבנות דייק כבשין ע״כ. וכתב המוספי מין כלי מלחמה עשוי לרדות חומות ולו ראש כמו איל וכבש מנגח, וכן קוראים לו היונים ורומים בלשונם עכ״ל והוא הנקרא aries (ווידדער, באק) עיין ערוך ערך אילה דספינתא ובהערה להרמ״ל שם. וראיתי בשאילתות שם הביא ג״כ הלשון העמיד עליהם כבשים, והוסיף הגאון ר׳ אחאי ז״ל באמצעהביאמר, ר״ל כובשים ומחזיקים בהם ובמח״כ לא ירד לעומק הוראת המלה שהוראתה מין כלי מלחמה, ואולי היא הוספה חיצונית בדברי הגאון מאיזה מעתיק.
11:22	בבית האסורים. כ״ה בתנחומא וילקוט וארא, אולם בפסיקתא דף ס״ז ע״ב ובפסיקתא רבתי ובשאילתות הגי׳ הביאם בפלקיות, והמלה יונית ופי׳........ בית הסהר. ובערוך ערך פלק א׳ הביא ב׳ נוסחאות וז״ל בפסיקתא ויהי בחצי הלילה, ובילמדנו ויהי חשך, אח״כ חבשן בפלקיות זה החשך ס״א לא חזרו חבשן בבית האסורין, פי׳ בית הסהר בל״י ובלשון ישמעאל נקרא הסדין שכובשין בו רגלי האדם פלקה עכ״ל. ועיין בהערה צ״ה לפסיקתא שם.
11:23	כתוב במדרש שיר השירים. חפשתי ולא מצאתי לפנינו במדרש חזית. ובכ״י פלארענץ חסר זה מן כתוב במדרש עד כמו פורענות מצרים.
11:24	כמו פורענות מצרים. עיין פסיקתא פסקא ויהי בחצי הלילה דף ס״ז ע״ב ומובא בשאילתות ובפסיקתא רבתי ובתנתומא בא ובילקוט רמז קפ״ב בשם התנחומא וכן בס׳ והזהיר דף ח׳ ע״ב. מי שפרע מן הראשונים הוא יפרע מן האחרונים. מה מצרים בדם אף אדום כן. ועיין בפסיקתא שם הערה צ״ח.
11:25	במצרים ערוב. המלות שהסגרתי חסרים בכ״י גם בכ״י פלארענץ ופ״ב ונאמר לנכון בפסיקתא ותנחומא והמעתיק קפץ מן מצרים עד מצרים.
11:26	במצרים לקו. המלות שהסגרתי חסרים בכ״י ובכ״י פלארענץ ופ״ב ונאמר לנכון בתנחומא ועיין בפסיקתא פסקא ויהי בחצי הלילה הערה ק״ב.
11:27	כך דרש ר׳ תנתומא במדרשו. כ״ה בתנחומא בא:
12:1	שומע אני. מכילתא ריש בא. ומכאן מתחיל המכילתא. ומובא בתנחומא בא ונרשם שם ״ממכילתית דר׳ ישמעאל״ והיא הוספה שהוסיף המעתיק אלו הדברים מהמכילתא. ומובא בילקוט רמז קע״ט וקפ״ז בשם המכילתא.
12:2	הדבור. כ״ה גם בילקוט. ובמכילתא לפנינו הגי׳ הדבר והוא מלשון מקרא והדבר אין בהם (ירמיה ה יג) וכ״ה במ״ס אות א׳ ועיין במאיר עין הערה א׳.
12:3	למשה ולאהרן. במכילתא לאהרן ולמשה.
12:4	ת״ל ויהי ביום דבר ה׳. כאשר היא במכילתא כן יש לתקן לפנינו כשהוא אומר ויהי ביום דבר ה׳ אל משה בארץ מצרים, למשה היה הדבור ולא לאהרן, א״כ מה ת״ל אל משה ואל אהרן אלא מלמד שהי׳ כו׳ ועיין ספרא ויקרא פ״ב ובמדות סופרים להרה״ג מהרא״ה ווייס אות ב׳.<br>ד. כלל לדברות. בתנחומא וילקוט הגי׳ כלול לדברות ופי׳ ראוי וכן הגיה הרב החכם מהר״ם א״ש במכילתא, ע״ש במאיר עין אות ג׳.
12:5	ולמאמרות. ליתא במכילתא.
12:6	הקיש הכתוב. מכילתא שם.
12:7	חוץ לכרך. מכילתא, ורש״י עה״ת ועיין תנחומא ושמ״ר פי״ב בפ׳ כצאתי.
12:8	עד שלא נבחרה א״י. הוא מאמר בפני עצמו, ובמכילתא הגי׳ ועד והגיה הרב בעל מאיר עין שצ״ל עד.
12:9	לא הוכשרו לדבור. עיין מכילתא ושם נמצא אריכות דברים.
12:10	שכן מצינו ביונה. מכילתא. וע״ש.
12:11	והכתיב אנה אלך. במכילתא יש הוספת דברים.
12:12	משל לעבד של כהן. במכילתא לעבד כהן פי׳ עבד של כהן, ובילקוט יונה רמז תקמ״ט בשם המכילתא משל לעבד שברח מרבו כהן.
12:13	אשלח אחריך עבדים כיוצא בך. במכילתא גי׳ אחרת אמר לו רבו יש לי עבדים כיוצא בך.
12:14	כך ברח יונה וה׳ הטיל רוח וגו׳. במכילתא הגי׳ כך אמר יונה אלך לי בחו״ל מקום שאין השכינה נגלית וכו׳ אמר לו הקב״ה יש לי שלוחין כיוצא בך שנאמר וה׳ הטיל וגו׳.
12:15	רוח סערה. וכן מובא בכ״י פלארענץ, ובקרא כתיב רוח גדולה.
12:16	שנית נדבר. מכילתא שם ושם בטעות ודבר והגיהו לנכון הרב בעל מ״ס והרב בעל מ״ע שצ״ל נדבר, וכ״ה לנכון בילקוט ירמי׳ רמז שכ״ה ועיין יבמות צ״ח ע״א.
12:17	ר׳ נתן אומר. כ״ה גם בילקוט יונה רמז תק״ן, ובמכילתא הגי׳ רבי יונתן אומר, יש להגיה ר׳ נתן, ולמחוק אותיות ״יו״.
12:18	שכן הנביאים. במכילתא האבות והנביאים. ועיין בהערת בעל מ״ס, ובעל מ״ע.
12:19	צא אמור להם מיד. מכילתא שם.
12:20	ד״א לך אמור להם. הוא דברי ר״א במכילתא שם.
12:21	מיכן לאומר. יומא ד׳ ע״ב.
12:22	א״ר ישמעאל. מכילתא פרשה א׳, ומובא בילקוט רמז קפ״ח.
12:23	ר׳ אלעזר. מכילתא שם. ובמכילתאהביאמר והלא כל הדברות מובא בשם רשב״י.
12:24	זה ניסן. מכילתא שם.
12:25	שיש בו חג ואסיף ותקופה ושנה. וכ״ה במכילתא ובילקוט הגי׳ שיש בו חג האסיף ותקופת השנה וכן תיקן הרב בעל מאיר עין במכילתא שם. ועיקר כגי׳ רבינו שלא יצדק לשון תקופת שנה יוצאת בו.
12:26	וכן כתבו אנשי כנסת הגדולה. הוא עפ״י מאמרם (ב״ב ה׳) אנשי כנסת הגדולה כתבו מגילת אסתר, ובמכילתא שם ליתא המלות וכן כתבו אנשי כנה״ג ושם הגי׳ אע״פ שאין ראיה לדבר זכר לדבר בחדש הראשון הוא חדש ניסן.
12:27	ניסן שבו נעשה נסים. הוספת רבינו.
12:28	תנן התם. ר״ה ב׳ ע״א במשנה.
12:29	דתנן בשלהי מס׳ שביעית. פ״י מ״ה.
12:30	מאי פרוזבול. גיטין ל״ו סע״ב.
12:31	פרוסבולי ובוטי. עיין במוספי שכתב בערך בט נראה שמלת פרוזבולי ובוטי מלה אחת היא פרוסבוליבטי פירושה בל״י לפני יועצים ובית דין והבאים אחר רב חסדא (כי רב חסדא אמר פרס בולי ובוטי) חשבו שהן שתי מלות כו׳. אולם מה יענה המוספי שרב חסדא בעצמו אמר (מגילה ט״ו סע״ב) זה בא בפרוזבולי וזה בא בפרוזבוטי. ועיין בדברי הרמ״ל בהערה שם.
12:32	בולי אלו עשירים בוטי אלו עניים. בגמרא גיטין סיים שם בולי אלו עשירים דכתיב ושברתי את גאון עוזכם ותני רב יוסף אלו בולאות שביהודה, בוטי אלו עניים דכתיב העבט תעביטנו.
12:33	וזה תקון של פרוזבול. שביעית פ״י מ״ד.
12:34	כדי שיהא האדם סומך על שטרו כו׳. עיין רש״י ר״ה ב׳ ע״א ותוס׳ שם ד״ה לשטרות, ובפי׳ הרמב״ם שביעית פ״י מ״ה ובהר״ש שם.
12:35	בידוע שהשטר מוקדם הוא ופסול. בכ״י פלארענץ בידוע שהשטר מאוחר הוא וכשר.
12:36	והשטר מאוחר וכשר. בכ״י פלארענץ והשטר מוקדם ופסול.
12:37	והמוקדם פסול. זה ליתא בכ״י פלארענץ רק הגי׳ שם והשטר מוקדם ופסול ואינו גובה אפילו בזמנו לפי ששטר שנפסל מקצתו נפסל כולו.
12:38	אבל מן המשוחררים גובה. ליתא בכ״י פלארענץ.
12:39	ומנלן דלמלכים מונין מניסן. מכילתא בא פ״א, ר״ה ב׳ ע״ב.
12:40	זיו זה אייר. עיין בתוס׳ שם ד״ה בחודש זיו.
12:41	ולרגלים. מכילתא שם, ור״ה ד׳ ע״א.
12:42	לכם ולא לגוים. מכילתא שם.
12:43	סימן הוא לכם. מכילתא שם עיין פסיקתא פרשת החודש דף נ״ג ע״א, ונ״ד ע״א.
12:44	הקטן מונה לקטן. פסיקתא פ׳ החודש נ״ד ע״א וב״ר פ״ו, דרך ארץ הוא הגדול מונה לגדול כו׳ ועיין בפסיקתא שם בהערות שלי.
12:45	וכשם שהחודש מתחדש. עיין בפסיקתא שם במאמר של ר׳ נחמן.
12:46	וכשם שהלבנה מושלת. ב״ר ופסיקתא שם וע״ש בהערה ר״ד.
12:47	חידוש הוא לכם. עיין פסיקתא שם דף נ״ב ע״א.
12:48	סבור אתה מיעוט חדשים שנים. מכילתא בא פ״ב.<br>מח. זה ניסן. ברכות י׳ ע״ב וש״נ מכילתא פ״ב.
12:49	ומנין שמעברין. עיין מכילתא שם.
12:50	במס׳ סנהדרין פ״א. דף י״א ע״ב. ובכ״י פלארענץ חסר הציון הזה.
12:51	וכה״א במלכים. עיין סנהדרין י״ב ע״א.
12:52	נציבים. וכן מובא בגמרא שם ובקרא כתיב נצבים.
12:53	ונציב אחד בארץ. בקרא ונציב אחד אשר בארץ.
12:54	וכמה עבור. מכילתא בא פ״ב.
12:55	מה אתם ב״ד אף לדורות בב״ד. עיין פסיקתא החודש דף נ״ה ע״א. ובהערות שלי. ובמכילתא סוף פ״ב ר׳ יאשיה אומר מנין שאין מעברין את השנה אלא בב״ד הגדול שבירושלים ת״ל ראשון הוא לכם. ועי׳ ר״ה כ״ב ע״א ובפירש״י ותוס׳.
12:56	כך עושין בארץ ישראל לפני ראש הישיבה. זה ליתא בכ״י פלארענץ.
12:57	מדרש. היא בחזית על הכתוב הזה וכן נשנה בפסיקתא החודש דף נ׳ ע״א.
12:58	שריעה ואיחה אותו. מענין ריעות ואחוה עיין בפסיקתא שם בהערה פ״ה.
12:59	ד״א עת הזמיר. פסיקתא וחזית שם.<br>נט. אלו בחורי ישראל. ברכות מ״ג ע״ב.
12:60	לכם הוא מסור. פסיקתא החודש נ״ג ע״א, ומובא בילקוט רמז קצ״א.
12:61	שמואל בר אבא אמר. בפסיקתא החודש נ״ד ע״ב הגי׳ ר׳ שמלאי תני בשם שמואל והבאתי שם בהערה ר״ז בילקוט בא רמז קצ״א הנוסחא ר׳ שמואל בר אבא.
12:62	כל חודש שהוא נולד. היא ג״כ כגירסת הילקוט עיין שם בהערה ר״ח.
12:63	קודם לשש שעות. ר״ל אם יהי׳ מולד הלבנה ביום כ״ט קודם שש שעות אז תגדל בלילה שאחריו עד שתראה לעין, אבל אם הוא לאחר ו׳ שעות ביום, היא קטנה מאד ואין כח בעין אנוש לראותה. עיין ר״ה כ׳ ע״ב וברש״י שם. ובפסיקתא שם בהערה ר״ט העירותי שעפ״י הפסיקתא יסד הקליר בפיוט אבי כל חוזה לפרשת החודש זהר לשעות שש, תארו להתאשש פחות משש כל עין יעשש.
12:64	תני דבי ר׳ ישמעאל. סנהדרין מ״ב ע״א.
12:65	מאי מברך. שם, וכן הוא הנוסח ברמב״ם הל׳ ברכות פ״י הט״ז.
12:66	ובזמן שהיו ישראל. כלהביאמר עד הכתוב דברו אל כל עדת ישראל, הם דברי רבינו מדנפשי׳.<br>סו. הוא שאמרו רז״ל. ר״ה כ״ה ע״א.
12:67	ועליהם אמר ישעיה הנביא. וכ״ה בכ״י פלארענץ, ויש לתקן שצ״ל ירמיה הנביא.
12:68	דברו אל כל עדת בני ישראל. וכן מובא במכילתא בא פ״ג, אולם במקרא כתוב דברו אל כל עדת ישראל ומובא לנכון בכ״י פלארענץ.
12:69	ואתה תדבר אל בני ישראל. וכ״ה במכילתא פ״ג. מקרא זה לא מצינו בכל התורה, ועיין במפרשי המכילתא זה ינחמנו וברורי המדות, ומדות סופרים ומאיר עין, כלם האריכו בזה והנכון כגי׳ רש״י עה״ת והלא כבר נאמר אתה תדבר (שמות ז ב) או צ״ל ואתה דבר אל בני ישראל (שמות לא יג).
12:70	אלא כיון שהיה משה רבינו מדבר היה אהרן מימינו, עיין במכילתא ומובא בילקוט רמז קצ״א ותראה שחסר פה מאמר שלם מן וכי שניהם היו מדברים במאמר ר׳ ישמעאל עד וכי שניהם היו מדברים במאמר ר׳ אחי ב״ר יאשיה, וכן חסר בכ״י פלארענץ ובכ״י פ״ב.
12:71	והדבור יוצא מביניהן כאילו יוצא מבין שניהן. במכילתא הגי׳ כאלו השלשה מדברים. וגם רש״י עה״ת הביא כמו שהביא רבינו והדבור יוצא מבין שניהם כאלו שניהם מדברים, ועיין במפרשי המכילתא.
12:72	להוציא פסח דורות. מכילתא בא פ״ג, ורש״י עה״ת.
12:73	וכי כולן. שם.
12:74	מיכן. מכילתא, וקידושין מ״א ע״ב.
12:75	טלה. שם.
12:76	בא הכתוב. מכילתא שם, ועיין רש״י עה״ת ועוד יש בו מדרש כו׳.
12:77	ובלבד שלא יהא שם אחד. גירסת הילקוט ברמז קצ״ב ובלבד שיהא, וכן הגיה הרב בעל מאיר עין במכילתא ע״ש באות י״ח.
12:78	לעשות טפילה עיקר. ועיקר טפילה. במכילתא שם הגי׳ שלא לעשות.
12:79	ר׳ ישמעאל. במכילתא מובא לפני זה דברי ר׳ עקיבא.
12:80	שכינו מכל מקום. שם.
12:81	ד״א. שם.
12:82	ר׳ יאשיה. מכילתא שם ועיין פסחים ס״א ע״א.
12:83	לשון סורסי הוא. המלה סורית עיין מה שהעיר הרב החכם ר׳ אלחנן בריל בספרו פרעמדשפראכליכע רעדענסארטען צד 37.
12:84	כל זמן שהוא חי. מכילתא.
12:85	להוציא בעל מום. כלהביאמר הוא מהמכילתא.
12:86	פסח מצרים. מכילתא ע״ש.
12:87	וכי כל הקהל שוחטין. מכילתא. ועיין קידושין מ״ב. ומובא ברש״י עה״ת.
12:88	בעשור לחודש הזה. בקרא כתיב בעשור לחודש הראשון.
12:89	ד״א למה הקדים לקיחת הפסח מבעשור. במכילתא שם ומובא בילקוט רמז קצ״ה מפני מה הקדים לקיחתו של פסת לשחיטתו ד׳ ימים. וכן מובא ברש״י עה״ת לסיים מה שלא צוה כן בפסח דורות.
12:90	ר׳ מתיא בן חרש אומר. מכילתא וילקוט שם ורש״י עה״ת.
12:91	לפי שהגיע זמן השבועה. עיין במכילתא ושם הגי׳ נשתנית.
12:92	ארבע מצות היה להם לישראל כו׳. מכילתא שם. ועיין בפסיקתא ויהי בשלח דף פ״ג ע״ב בזכות ד׳ דברים נגאלו ישראל ממצרים. וע״ש בהערה ס״ו. ויש להוסיף על דברי שם שנשנה גם במדרש שו״ט מזמור קי״ד ופדר״א פמ״ח ותנחומא בלק.
12:93	לא גילו את סודם. בפסיקתא שם ושלא היה בהן לשון הרע דבר נא באזני העם וישאלו וגו׳ את מוצא זה הדבר היה מופקד אצלן כל שנים עשר חודש ולא נמצא אחד מהם שהלשין על חבירו. ובמדרש שו״ט כתוב ולא גילו מסתורין. והמלה יונית ורומית ופי׳ סוד ורבינו הציג תמורתו ״את סודם״.
12:94	אחת היתה ופירסמה הכתוב. ושם אי׳ שלומית בת דברי למטה דן (ויקרא כד יא).
12:95	דכתיב אלהי העבריים. עיין בפסיקתא שם הערה ס״ח.
12:96	אמרו לו למשה. עיין מכילתא שם.
12:97	נאמר שמירה בפסח. מכילתא ועיין פסחים צ״ו ע״א.
12:98	מכאן אמרו אין פוחתין. ערכין י״ג ע״א במשנה ומובא במכילתא שם.
12:99	הא ארבעה ימים. עד ד׳ ימים. הם דברי רבינו מדנפשי׳.
12:100	בין בחול בין בשבת. מכילתא.
12:101	מיכן אמרו. פסחים ס״ד ע״א במשנה, ומכילתא שם.
12:102	כתים. במשנה ובמכילתא כתות.
12:103	משש שעות. עיין במכילתא שם.
12:104	ר׳ נתן אומר. מכילתא שם והוא הביא רק זכר לדבר.
12:105	רשב״י אומר. מכילתא ועיין שם בפירוש הרב בעל מאיר עין אות ל׳. וע׳ בנוספות בסוף המכילתא דף ק״ו ע״ב שנראה שחזר מפירושו.
12:106	בן בתירא אומר. מכילתא שם ועיין בפי׳ מאיר עין אות ל״א.
12:107	לפי שהיו ישראל במצרים מניחין את המילה. עיין ספרי ח״א פסקא ס״ז וח״ב פסקא ש״נ. ועיין שמ״ר פי״ט ורבותינו אמרו לא בקשו ישראל למול במצרים אלא כלם בטלו המילה במצרים כו׳ היה אומר הקב״ה אם אין אתם נימולין אין אתם אוכלים הפסח מיד נתנו עצמן ומלו ונתערב דם הפסח בדם המילה שנאמר ואעבור עליך ואראך מתבוססת בדמיך וגו׳. חיי בדם הפסח חיי בדם המילה ע״כ ועיין ג״כ שמ״ר פ״א שישראל בעצמם הפרו ברית מילה וכ״ה בתנחומא בהעלותך ועיין פדר״א פכ״ט שפרעה מנע מהם ברית מילה וסיים שם ואומר לך בדמיך חיי ואומר לך בדמיך חיי א״ר אליעזר מה ראה הכתוב לומר שתי פעמים בדמיך חיי אלא אמר הקב״ה בזכות דם ברית מילה ודם פסח גאלתי אתכם ממצרים. וע׳ מכילתא בא רפ״ה.
12:108	שומע אני בין ביד בין בכלי. מכילתא בא פ״ו ומובא בילקוט רמז קצ״ז בשם המכילתא.
12:109	שעוקף היה עושה בתוך האסקופה. בכ״י פ״ב ששקף הי׳ עושה. ובכ״י פלארענץ שעוקה הי׳ עושה, ובילקוט רמז קצ״ז בשם המכילתא שעיקה חוקק בצד האסקופה ונרשם בצדו פי׳ חפירה, ולפנינו במכילתא שעוקר וחוקק בצד האסקופה. יש לתקן שעוקה חוקק ופי׳ שחוקק גומא. ומובא בערוך ערך סף בשם המכילתא והביא הגי׳ הנכונה שעוקה חוקק. ולהלן פרשה י״א על הכתוב אשר בסף הגי׳ במכילתא שעוקה חוצץ בצד האסקופה והגיה בעל איפת צדק שצ״ל שחוקק עוקה בתוך האסקופה. ועיין להלן הערה רמ״ב.
12:110	דברי ר׳ שמעון, הוספתי כמו שהוא במכילתא, ובכ״י פלארענץ הגי׳ דברי ר׳ ישמעאל ר׳ יונתן אומר וכן הי׳ הגי׳ לפני בעל הילקוט במכילתא, וכן יש לתקן במכילתא וכן הוא הגי׳ במכילתא פ״ז בפ׳ וראיתי את הדם.
12:111	רואים דם השיים. כ״ה גם בכ״י פלארענץ ופי׳ דם השה. ובמכילתא וילקוט ליתא.
12:112	שומע אני. מכילתא.
12:113	הא אם הקדים. הוספתי כמו שהוא במכילתא.
12:114	כדברי ר׳ ישמעאל. כ״ה גם בכ״י פלארענץ וכ״י פ״ב. ולפנינו במכילתא הגי׳ נמצינו למדין שלש מזבחות הי׳ להם במצרים המשקוף ושתי המזוזות, ר׳ שמעון אומר ארבעה היו, הסף והמשקוף ושתי המזוזות. ולפני רבינו היתה הגי׳ ר׳ ישמעאל אומר ארבעה. ובאיפת צדק מחק במכילתא ר׳ שמעון אומר וגורס ר׳ ישמעאל אומר כי ר׳ ישמעאל הוא בעלהביאמר במכילתא שם אין סף אלא אסקופה.
12:115	אין לי. מכילתא.
12:116	יושבין בהם מנין. במכילתא ובילקוט הגי׳ ישנים בהם מנין. וכן בתיב״ע על בתיא דייכלון יתיה ודדמכין בהון. הי׳ גם לפניו הגי׳ ישנים בהם. אולם במכילתא פ״ז על הכתוב על הבתים. כתוב למה נאמר והלא כבר נאמר על הבתים אשר יאכלו אותו בהם, אין לי אלא בתים שיאכלו בהם, בתים שהיו יושבים בהם מנין ת״ל על הבתים אשר אתם שם מכל מקום. והילקוט הביא גם כאן בשם המכילתא שהיו ישנים בהם.
12:117	ת״ל על הבתים אשר יאכלו אותו בהם. היא גי׳ ישרה ובמכילתא ובילקוט הגי׳ ת״ל על הבתים אשר אתם שם. והוא פסוק להלן י״ג. ועיין בהערה שלפניה.
12:118	לא טלפים. מכילתא ומובא ברש״י עה״ת.
12:119	שומע אני כל הלילה. מכילתא וע״ש.
12:120	מיכן אמרו. ברכות ב׳ ע״א במשנה. ומובא במכילתא.
