Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Exodus 15 16,There fell upon them <br>dread and anguish; <br>before your arm’s great [power] <br>they grew dumb like stone.
Exodus 15 17,"Until they crossed—your people, O <small>YHWH</small>, <br>until they crossed—the people you fashioned. <br>You brought them, you planted them <br>on the mount of your heritage, <br>foundation of your [royal] seat <br>which you prepared, O <small>YHWH</small>, <br>the Holy-Shrine, O Lord, <br>founded by your hands."
Exodus 15 18,"May <small>YHWH</small> be king for the ages, eternity!"
Exodus 15 19,"For Pharaoh’s horses came with [their] chariots and riders into the sea,<br>but <small>YHWH</small> turned back the sea’s waters upon them,<br>and the Children of Israel went upon the dry-land<br>through the midst of the sea."
Exodus 15 20,"Miryam the prophetess, Aharon’s sister, took a timbrel in her hand,<br>and all the women went out after her, with timbrels and with dancing."
Exodus 15 21,"Miryam chanted to them: <br>Sing to <small>YHWH</small>, for he has triumphed, yes, triumphed, <br>the horse and its charioteer he flung into the sea!"
Exodus 15 22,"Moshe had Israel march on from the Sea of Reeds,<br>and they went out to the Wilderness of Shur.<br>They traveled through the wilderness for three days, and found no water."
Exodus 15 23,"They came to Mara,<br>but they could not drink water from Mara, because it was <i>mar</i>/bitter.<br>Therefore they called its name Mara."
Exodus 15 24,"And the people grumbled against Moshe, saying:<br>What are we to drink?"
Exodus 15 25,"He cried out to <small>YHWH</small>,<br>and <small>YHWH</small> directed him [to some] wood;<br>he threw [it] into the water, and the water became sweet.—<br>There he imposed law and judgment for them, and there he tested them:"
Exodus 15 26,"he said:<br>If you will hearken, yes, hearken to the voice of <small>YHWH</small> your God,<br>and what is right in his eyes will do,<br>and will give-ear to his commandments<br>and keep all his laws,<br>all the sicknesses which I have imposed upon Egypt, I will not impose upon you,<br>for I am <small>YHWH</small>, your healer!"
Exodus 15 27,"They came to Elim;<br>there were twelve springs of water<br>and seventy palms,<br>and they camped there by the water."
Exodus 16 1,"They marched on from Elim, and they came, the entire community of the Children of Israel, to the Wilderness of Syn, which is between Elim and Sinai,<br>on the fifteenth day of the second month after their going-out from the land of Egypt."
Exodus 16 2,"And they grumbled, the entire community of the Children of Israel, against Moshe and against Aharon in the wilderness."
Exodus 16 3,"The Children of Israel said to them:<br>Would that we had died by the hand of <small>YHWH</small> in the land of Egypt,<br>when we sat by the meat pots,<br>when we ate bread till [we were] satisfied!<br>For you have brought us into this wilderness<br>to bring death to this whole assembly by starvation!"
Exodus 16 4,"<small>YHWH</small> said to Moshe:<br>Here, I will make rain down upon you bread from the heavens;<br>the people shall go out and glean, each day’s amount in its day,<br>in order that I may test them, whether they will walk according to my Instruction or not."
Exodus 16 5,"But it shall be on the sixth day:<br>[when] they prepare what they have brought in,<br>it shall be a double-portion compared to what they glean day [after] day."
Exodus 16 6,Moshe and Aharon said to all the Children of Israel:<br>At sunset<br>you will know that it is <small>YHWH</small> who brought you out of the land of Egypt;
Exodus 16 7,"at daybreak<br>you will see the Glory of <small>YHWH</small>,<br>when he hearkens to your grumblings against <small>YHWH</small>—<br>and what are we, that you grumble against us?"
Exodus 16 8,"And Moshe said:<br>When <small>YHWH</small> gives you<br>meat to eat at sunset,<br>and at daybreak, bread to satisfy [yourselves];<br>when <small>YHWH</small> hearkens to your grumblings which you grumble against him&mdash;<br>and what are we?<br>Not against us are your grumblings, but against <small>YHWH</small>!"
Exodus 16 9,"Moshe said to Aharon:<br>Say to the entire community of the Children of Israel:<br>Come near, in the presence of <small>YHWH</small>,<br>for he has hearkened to your grumblings!"
Exodus 16 10,"Now it was, when Aharon spoke to the entire community of the Children of Israel,<br>that they faced the wilderness,<br>and here,<br>the Glory of <small>YHWH</small> could be seen in the cloud."
Exodus 16 11,"And <small>YHWH</small> spoke to Moshe, saying:"
Exodus 16 12,"I have hearkened to the grumblings of the Children of Israel—<br>speak to them, saying:<br>Between the setting-times you shall eat meat,<br>and at daybreak you shall be satisfied with bread,<br>and you shall know<br>that I am <small>YHWH</small> your God."
Exodus 16 13,Now it was at sunset<br>a horde-of-quail came up and covered the camp.<br>And at daybreak<br>there was a layer of dew around the camp;
Exodus 16 14,"and [when] the layer of dew went up,<br>now here, upon the surface of the wilderness,<br>[something] fine, scaly,<br>fine as hoar-frost upon the land."
Exodus 16 15,"The Children of Israel saw it<br>and they said, each one to his brother:<br><i>Mahn hu</i>/What is it?<br>For they did not know what it was.<br>Moshe said to them:<br>It is the bread that <small>YHWH</small> has given you for eating."
Exodus 16 16,"This is the matter that <small>YHWH</small> has commanded:<br>Glean from it, each according to what he can eat,<br>an <i>omer</i> per capita, according to the number of your persons;<br>each one, for those in his tent, you are to take."
Exodus 16 17,"The Children of Israel did thus;<br>they gleaned, the-one-more and the-one-less,"
Exodus 16 18,"but when they measured by the <i>omer,</i><br>no surplus had the-one-more, and the-one-less had no shortage;<br>each had gleaned according to what he could eat."
Exodus 16 19,Moshe said to them:<br>No one shall leave any of it until daybreak!
Exodus 16 20,"But they did not hearken to Moshe,<br>and [several] men left some of it until daybreak;<br>it became wormy with maggots and reeked.<br>And Moshe became furious with them."
Exodus 16 21,"They gleaned it at daybreak, [every] daybreak, each in accordance with what he could eat,<br>but when the sun heated up, it melted."
Exodus 16 22,"Now it was on the sixth day<br>that they gleaned a double-portion of bread, two <i>omers</i> for [each] one.<br>All the exalted-leaders of the community came and told it to Moshe."
Exodus 16 23,"He said to them:<br>It is what <small>YHWH</small> spoke about:<br>tomorrow is a Sabbath/Ceasing, a Sabbath of Holiness for <small>YHWH</small>.<br>Whatever you wish to bake—bake, and whatever you wish to boil—boil,<br>while all the surplus, put aside for yourselves in safekeeping until morning."
Exodus 16 24,"They put it aside until morning, as Moshe had commanded,<br>and it did not reek, neither were there any maggots in it."
Exodus 16 25,"Moshe said:<br>Eat it today,<br>for today is a Sabbath for <small>YHWH</small>,<br>today you will not find it in the field."
Exodus 16 26,"For six days you are to glean,<br>but on the seventh day is Sabbath, there will not be [any] on it."
Exodus 16 27,"But it was on the seventh day<br>that some of the people went out to glean, and they did not find."
Exodus 16 28,<small>YHWH</small> said to Moshe:<br>Until when will you refuse to keep my commandments and my instructions?
Exodus 16 29,"[You] see<br>that <small>YHWH</small> has given you the Sabbath,<br>therefore on the sixth day, he gives you bread for two days.<br>Stay, each one, in his spot;<br>no one is to go out from his place on the seventh day!"
Exodus 16 30,So the people ceased on the seventh day.
Exodus 16 31,"And the House of Israel called its name: <i>Mahn.</i><br>—It is like coriander seed, whitish,<br>and its taste is like [that of] a wafer with honey.—"
Exodus 16 32,"Moshe said:<br>This is the matter that <small>YHWH</small> has commanded:<br>an <i>omer</i>-ful of it for safekeeping throughout your generations,<br>in order that they may see the bread that I had you eat in the wilderness<br>when I brought you out of the land of Egypt."
Exodus 16 33,"And Moshe said to Aharon:<br>Take a vat and put an <i>omer</i>-ful of <i>mahn</i> in it,<br>and put it aside in the presence of <small>YHWH</small>, in safekeeping throughout your generations."
Exodus 16 34,"As <small>YHWH</small> had commanded Moshe, Aharon put it aside before the Testimony, in safekeeping."
Exodus 16 35,"And the Children of Israel ate the <i>mahn</i> for forty years, until they came to settled land;<br>the <i>mahn</i> they ate, until they came to the edge of the land of Canaan."
Exodus 16 36,Now an <i>omer</i>—it is a tenth of an <i>efa</i>.
Exodus 17 1,"They marched on, the whole community of the Children of Israel, from the Wilderness of Syn,<br>by their marching-stages, at <small>YHWH’S</small> bidding.<br>They encamped at Refidim,<br>but there was no water for the people to drink!"
Exodus 17 2,"The people quarreled with Moshe, they said:<br>Give us water, that we may drink!<br>Moshe said to them:<br>Why do you quarrel with me?<br>Why do you test <small>YHWH</small>?"
Exodus 17 3,"The people thirsted for water there,<br>and the people grumbled against Moshe, and said:<br>Why, now, did you bring us up from Egypt,<br>to bring death to me, to my children and to my livestock by thirst?"
Exodus 17 4,"Moshe cried out to <small>YHWH</small>, saying:<br>What shall I do with this people?<br>A little more and they will stone me!"
Exodus 17 5,"<small>YHWH</small> said to Moshe:<br>Proceed before the people;<br>take some of the elders of Israel with you,<br>and your staff with which you struck the Nile, take in your hand,<br>and go!"
Exodus 17 6,"Here, I stand before you there on the rock at Horev;<br>you are to strike the rock, and water shall come out of it, and the people shall drink.<br>Moshe did thus, before the eyes of the elders of Israel."
Exodus 17 7,"And he called the name of the place: <i>Massa</i>/Testing, and <i>Meriva</i>/Quarreling,<br>because of the quarreling of the Children of Israel,<br>and because of their testing of <small>YHWH</small>, saying:<br>Is <small>YHWH</small> in our midst, or not?"
Exodus 17 8,Now Amalek came and did battle with Israel in Refidim.
Exodus 17 9,"Moshe said to Yehoshua:<br>Choose us men,<br>and go out, wage battle against Amalek!<br>On the morrow I will station myself on top of the hill, with the staff of God in my hand."
Exodus 17 10,"Yehoshua did as Moshe had said to him,<br>to wage battle against Amalek.<br>Now Moshe, Aharon and Hur went up to the top of the hill,"
Exodus 17 11,"and it would be, whenever Moshe raised his hand, Israel prevailed, and whenever he set down his hand, Amalek prevailed."
Exodus 17 12,"Now Moshe’s hands were heavy,<br>so they took a stone and placed it under him, and he sat down on it,<br>while Aharon and Hur supported his hands, one on this-side and one on this-side.<br>So his hands remained steadfast, until the sun came in."
Exodus 17 13,"And Yehoshua weakened Amalek and his people, with the edge of the sword."
Exodus 17 14,"<small>YHWH</small> said to Moshe:<br>Write this as a memorial in a record<br>and put it in Yehoshua’s hearing:<br>Yes, I will wipe out, wipe out the memory of Amalek from under the heavens!"
Exodus 17 15,Moshe built an altar<br>and called its name: <small>YHWH</small> My Banner.
Exodus 17 16,"He said:<br>Yes,<br>hand on <small>YAH’S</small> throne!<br>Battle for <small>YHWH</small> against Amalek<br>generation after generation!"
Exodus 18 1,"Now Yitro, the priest of Midyan, Moshe’s father-in-law, heard<br>about all that God had done for Moshe and for Israel his people,<br>that <small>YHWH</small> had brought Israel out of Egypt."
Exodus 18 2,"Yitro, Moshe’s father-in-law,<br>took Tzippora, Moshe’s wife—after she had been sent home—"
Exodus 18 3,"and her two sons,<br>of whom the first one’s name was Gershom/Sojourner There,<br>for he had said: I have become a sojourner in a foreign land,"
Exodus 18 4,"and the other’s name was Eliezer/God’s-Help, for: the God of my father is my help, he rescued me from Pharaoh’s sword;"
Exodus 18 5,"and Yitro, Moshe’s father-in-law, came with his sons and his wife to Moshe, to the wilderness, where he was encamped,<br>at the mountain of God."
Exodus 18 6,"He [had it] said to Moshe:<br>I, your father-in-law Yitro, am coming to you, and your wife and her two sons with her."
Exodus 18 7,"Moshe went out to meet his father-in-law,<br>he bowed low and kissed him, and each asked after the other’s welfare;<br>then they came into the tent."
Exodus 18 8,"And Moshe related to his father-in-law<br>all that <small>YHWH</small> had done to Pharaoh and to Egypt on Israel’s account,<br>all the hardships that had befallen them on the journey,<br>and [how] <small>YHWH</small> had rescued them."
Exodus 18 9,"And Yitro was jubilant because of all the good that <small>YHWH</small> had done for Israel, that he had rescued him from the land of Egypt."
Exodus 18 10,"Yitro said:<br>Blessed be <small>YHWH</small>,<br>who has rescued you from the hand of Egypt and from the hand of Pharaoh,<br>who has rescued the people from under the hand of Egypt!"
Exodus 18 11,"[So] now I know:<br>yes, <small>YHWH</small> is greater than all gods—<br>yes, in just that matter in which they were presumptuous against them!"
Exodus 18 12,"And Yitro, Moshe’s father-in-law, took an offering-up and sacrifices for God,<br>and Aharon and all the elders of Israel came to eat bread with Moshe’s father-in-law, before the presence of God."
Exodus 18 13,"Now it was on the morrow<br>that Moshe sat to judge the people,<br>and the people stood before Moshe from daybreak until sunset."
Exodus 18 14,"Moshe’s father-in-law saw all that he had to do for the people;<br>he said:<br>What kind of matter is this that you do for the people—<br>why do you sit alone, while the entire people stations itself around you<br>from daybreak until sunset?"
Exodus 18 15,"Moshe said to his father-in-law:<br>When the people comes to me to inquire of God,"
Exodus 18 16,"—when it has some legal-matter, it comes to me—<br>I judge between a man and his neighbor<br>and make known God’s laws and his instructions."
Exodus 18 17,"Then Moshe’s father-in-law said to him:<br>Not good is this matter, as you do it!"
Exodus 18 18,"You will become worn out, yes, worn out, so you, so this people that are with you,<br>for this matter is too heavy for you;<br>you cannot do it alone."
Exodus 18 19,"So now, hearken to my voice:<br>I will advise you, so that God may be with you:<br>Be, yourself, for the people in relation to God.<br>You yourself should have the matters come to God;"
Exodus 18 20,"You should make clear to them the laws and the instructions,<br>you should make known to them the way they should go, and the deeds that they should do;"
Exodus 18 21,"but you—you are to have the vision [to select] from all the people men of value, holding God in awe,<br>men of truth, hating gain;<br>you should set [them] over them<br>as chiefs of thousands, chiefs of hundreds, chiefs of fifties, and chiefs of tens,"
Exodus 18 22,"so that they may render judgment for the people at all times.<br>So shall it be:<br>every great matter they shall bring before you,<br>but every small matter they shall judge by themselves.<br>Make [it] light upon you, and let them bear [it] with you."
Exodus 18 23,"If you do this matter,<br>[when] God commands you [further], you will be able to stand,<br>and also this people will come to its place in peace."
Exodus 18 24,Moshe hearkened to the voice of his father-in-law;<br>he did it all as he had said:
Exodus 18 25,"Moshe chose men of value from all Israel;<br>he placed them as heads over the people,<br>as chiefs of thousands, chiefs of hundreds, chiefs of fifties, and chiefs of tens."
Exodus 18 26,"They would render judgment for the people at all times:<br>the difficult matters they would bring before Moshe,<br>but every small matter they would judge by themselves."
Exodus 18 27,"Moshe sent his father-in-law off,<br>and he went home to his land."
Exodus 19 1,"In the third month after the going-out of the Children of Israel from the land of Egypt,<br>on that day<br>they came to the Wilderness of Sinai."
Exodus 19 2,"They moved on from Refidim and came to the Wilderness of Sinai,<br>and encamped in the wilderness.<br>There Israel encamped, opposite the mountain."
Exodus 19 3,"Now Moshe went up to God,<br>and <small>YHWH</small> called out to him from the mountain,<br>saying:<br>Say thus to the House of Yaakov,<br>[yes,] tell the Children of Israel:"
Exodus 19 4,"You yourselves have seen<br>what I did to Egypt,<br>how I bore you on eagles’ wings and brought you to me."
Exodus 19 5,"So now,<br>if you will hearken, yes, hearken to my voice<br>and keep my covenant,<br>you shall be to me a special-treasure from among all peoples.<br>Indeed, all the earth is mine,"
Exodus 19 6,"but you, you shall be to me<br>a kingdom of priests,<br>a holy nation.<br>These are the words that you are to speak to the Children of Israel."
Exodus 19 7,"Moshe came, and had the elders of the people called,<br>and he set before them these words, with which <small>YHWH</small> had commanded him."
Exodus 19 8,"And all the people answered together, they said:<br>All that <small>YHWH</small> has spoken, we will do.<br>And Moshe reported the words of the people to <small>YHWH</small>."
Exodus 19 9,"<small>YHWH</small> said to Moshe:<br>Here, I am coming to you in a thick cloud,<br>so that the people may hear when I speak with you,<br>and also that they may have trust in you for ever.<br>And Moshe told the words of the people to <small>YHWH</small>."
Exodus 19 10,"<small>YHWH</small> said to Moshe:<br>Go to the people,<br>make them holy, today and tomorrow,<br>let them scrub their clothes,"
Exodus 19 11,"that they may be ready for the third day,<br>for on the third day<br><small>YHWH</small> will come down before the eyes of all the people, upon Mount Sinai."
Exodus 19 12,"Fix-boundaries for the people all around, saying:<br>Take you care against going up the mountain or against touching its border!<br>Whoever touches the mountain is to be put to death, yes, death;"
Exodus 19 13,"no hand is to touch him,<br>but he is to be stoned, yes, stoned, or shot, yes, shot&mdash;<br>whether beast or man, he is not to live!<br>When the [sound of the] ram’s-horn is drawn out, they may go up on the mountain."
Exodus 19 14,"Moshe went down from the mountain to the people;<br>he made the people holy, and they scrubbed their clothes."
Exodus 19 15,Then he said to the people:<br>Be ready for three days; do not approach a woman!
Exodus 19 16,"Now it was on the third day, when it was daybreak:<br>There were thunder-sounds, and lightning,<br>a heavy cloud on the mountain<br>and an exceedingly strong <i>shofar</i> sound.<br>And all of the people that were in the camp trembled."
Exodus 19 17,"Moshe brought the people out toward God, from the camp,<br>and they stationed themselves beneath the mountain."
Exodus 19 18,"Now Mount Sinai emitted-smoke all over,<br>since <small>YHWH</small> had come down upon it in fire;<br>its smoke went up like the smoke of a furnace,<br>and all of the mountain trembled exceedingly."
Exodus 19 19,"Now the <i>shofar</i> sound was growing exceedingly stronger<br>—Moshe kept speaking,<br>and God kept answering him in the sound [of a voice]—"
Exodus 19 20,"and <small>YHWH</small> came down upon Mount Sinai, to the top of the mountain.<br><small>YHWH</small> called Moshe to the top of the mountain,<br>and Moshe went up."
Exodus 19 21,"And <small>YHWH</small> said to Moshe:<br>Go down, warn the people,<br>lest they break through to <small>YHWH</small> to see, and many of them fall;"
Exodus 19 22,"even the priests who approach <small>YHWH</small> must make themselves holy,<br>lest <small>YHWH</small> burst out against them!"
Exodus 19 23,"But Moshe said to <small>YHWH</small>:<br>The people are not able to go up to Mount Sinai,<br>for you yourself warned us, saying: Fix boundaries for the mountain and make it holy."
Exodus 19 24,"<small>YHWH</small> said to him:<br>Go, get down,<br>and then come up, you and Aharon with you,<br>but the priests and the people must not break through to go up to <small>YHWH</small>, lest he burst out against them!"
Exodus 19 25,Moshe went down to the people and said to them
Exodus 20 1,"God spoke all these words,<br>saying:"
Exodus 20 2,"I am <small>YHWH</small> your God,<br>who brought you out<br>from the land of Egypt, from a house of serfs."
Exodus 20 3,You are not to have<br>any other gods<br>before my presence.
Exodus 20 4,"You are not to make yourself a carved-image<br>or any figure<br>that is in the heavens above, that is on the earth beneath, that is in the waters beneath the earth;"
Exodus 20 5,"you are not to bow down to them<br>and you are not to serve them,<br>for I, <small>YHWH</small> your God,<br>am a zealous God,<br>calling-to-account the iniquity of the fathers upon the sons, to the third and the fourth [generation]<br>of those hating me,"
Exodus 20 6,"but showing loyalty to the thousandth<br>of those loving me,<br>of those keeping my commandments."
Exodus 20 7,"You are not to take up<br>the name of <small>YHWH</small> your God for emptiness,<br>for <small>YHWH</small> will not clear anyone<br>who takes up his name for emptiness."
Exodus 20 8,"Be mindful<br>of the Sabbath day, to hallow it."
Exodus 20 9,"For six days, you are to serve, and are to make all your work,"
Exodus 20 10,"but the seventh day<br>is Sabbath for <small>YHWH</small> your God:<br>you are not to make any work,<br>you, and your son, and your daughter,<br>your servant, and your maid, and your beast,<br>and your sojourner who is within your gates."
Exodus 20 11,"For in six days<br><small>YHWH</small> made<br>the heavens and the earth,<br>the sea and all that is in it,<br>and he rested on the seventh day;<br>therefore <small>YHWH</small> gave the Sabbath day his blessing, and he hallowed it."
Exodus 20 12,"Honor<br>your father and your mother,<br>in order that your days may be prolonged<br>on the land that <small>YHWH</small> your God is giving you."
Exodus 20 13,You are not to murder!<br>You are not to adulter!<br>You are not to steal!<br>You are not to testify<br>against your neighbor as a false witness!
Exodus 20 14,"You are not to desire<br>the house of your neighbor,<br>you are not to desire the wife of your neighbor,<br>or his servant, or his maid, or his ox, or his donkey,<br>or anything that is your neighbor’s!"
Exodus 20 15,"Now all of the people were seeing<br>the thunder-sounds,<br>the flashing-torches,<br>the <i>shofar</i> sound,<br>and the mountain emitting-smoke;<br>the people saw,<br>and they faltered<br>and stood far off."
Exodus 20 16,"They said to Moshe:<br><i>You</i> speak with us, and we will hearken,<br>but let not God speak with us, lest we die!"
Exodus 20 17,"Moshe said to the people:<br>Do not be afraid!<br>For it is to test you that God has come,<br>to have awe of him be upon you,<br>so that you do not sin."
Exodus 20 18,"The people stood far off,<br>while Moshe approached the fog where God was."
Exodus 20 19,<small>YHWH</small> said to Moshe:<br>Say thus to the Children of Israel:<br>You yourselves have seen<br>that it was from the heavens that I spoke with you.
Exodus 20 20,"You are not to make beside me<br>gods of silver, gods of gold you are not to make for yourselves!"
Exodus 20 21,"An altar of earth you are to make for me;<br>you are to sacrifice upon it<br>your offerings-up, your <i>shalom</i>-offerings,<br>your sheep and your oxen!<br>At every place<br>where I cause my name to be recalled<br>I will come to you<br>and bless you."
Exodus 20 22,"And if an altar of stones you make for me,<br>you are not to build it smooth-hewn,<br>for if you hold-high your iron-tool over it, you will have profaned it."
Exodus 20 23,"And you are not to ascend my altar by ascending-steps,<br>that your nakedness not be laid-bare upon it."
Exodus 21 1,Now these are the regulations that you are to set before them:
Exodus 21 2,"When you acquire a Hebrew serf,<br>for six years he is to serve,<br>but in the seventh he is to go out at liberty, for nothing."
Exodus 21 3,"If he came by himself, he is to go out by himself;<br>if he was the spouse of a wife, his wife is to go out with him."
Exodus 21 4,"If his lord gives him a wife, and she bore him sons or daughters,<br>the wife and those she bore are to remain her lord’s, and he is to go out by himself."
Exodus 21 5,"But if the serf should say, yes, say:<br>I love my lord, my wife and my children&mdash;I will not go out at liberty!,"
Exodus 21 6,"his lord is to have him approach God’s-oracle,<br>and he is to have him approach the door or the post;<br>then his lord is to pierce his ear with a piercer,<br>and he is to serve him forever."
Exodus 21 7,"When a man sells his daughter as a handmaid,<br>she is not to go out as serfs go out."
Exodus 21 8,"If she is displeasing in the eyes of her lord, who designated her for himself,<br>he is to have her redeemed;<br>to a foreign people he has not the power to sell her,<br>since he has betrayed her."
Exodus 21 9,"But if it is for his son that he designates her,<br>according to the just-rights of women he is to deal with her."
Exodus 21 10,"If another he takes for himself,<br>[then] her board, her clothing, or her oil he is not to diminish."
Exodus 21 11,"If these three he does not do for her,<br>she is to go out for nothing, with no silver."
Exodus 21 12,"He that strikes a man, so that he dies,<br>is to be put to death, yes, death."
Exodus 21 13,"Now should he not have lain in wait [for him], but should God have brought him opportunely into his hand,<br>I will set aside for you a place where he may flee."
Exodus 21 14,"But when a man schemes against his neighbor, to kill him with cunning,<br>from my [very] altar you are to take him away, to die!"
Exodus 21 15,"And he that strikes his father or his mother,<br>is to be put to death, yes, death."
Exodus 21 16,"And he that steals a man,<br>whether he sells him or whether he is found in his hand,<br>is to be put to death, yes, death."
Exodus 21 17,"And he that insults his father or his mother,<br>is to be put to death, yes, death."
Exodus 21 18,"When men quarrel, and a man strikes his neighbor with a stone or with a fist, yet he does not die, but rather takes to his bed:"
Exodus 21 19,"if he can rise and walk about outside upon his crutch,<br>he that struck [him] is to go clear;<br>only: he is to make good for his resting-time, and provide-that-he-be-healed, yes, healed."
Exodus 21 20,"When a man strikes his serf or his handmaid with a rod, so that he dies under his hand,<br>it is to be avenged, yes, avenged;"
Exodus 21 21,"nonetheless, if for a day or two-days he endures,<br>it is not to be avenged, for he is his own “silver.”"
Exodus 21 22,"When men scuffle and deal a blow to a pregnant woman, so that her children abort-forth, but [other] harm does not occur,<br>he is to be fined, yes, fined, as the woman’s spouse imposes for him,<br>but he is to give it [only] according to assessment."
Exodus 21 23,"But if harm should occur,<br>then you are to give life in place of life—"
Exodus 21 24,"eye in place of eye, tooth in place of tooth, hand in place of hand, foot in place of foot,"
Exodus 21 25,"burnt-scar in place of burnt-scar, wound in place of wound, bruise in place of bruise."
Exodus 21 26,"When a man strikes the eye of his serf or the eye of his handmaid, and ruins it,<br>he is to send him free at liberty [on account of] his eye;"
Exodus 21 27,"if the tooth of his serf or the tooth of his handmaid he breaks off,<br>he is to send him free at liberty [on account of] his tooth."
Exodus 21 28,"When an ox gores a man or a woman, so that one dies,<br>the ox is to be stoned, yes, stoned, and its flesh is not to be eaten,<br>and the owner of the ox is to be clear."
Exodus 21 29,"But if the ox was a gorer from yesterday [and the] day-before, and it was so designated to its owner,<br>and he did not guard it,<br>and it causes the death of a man or of a woman,<br>the ox is to be stoned, and its owner as well is to be put to death."
Exodus 21 30,"If a ransom is established for him,<br>he is to give it as a redemption for his life, all that is imposed for him."
Exodus 21 31,"Whether it is a son it gores or a daughter it gores,<br>according to this [same] judgment it is to be done to him."
Exodus 21 32,"If [it is] a serf the ox gores, or a handmaid,<br>silver—thirty <i>shekels</i>—he is to give to his lord, and the ox is to be stoned."
Exodus 21 33,"When a man opens up a pit, or when a man digs a pit, and does not cover it up, and an ox or a donkey falls into it,"
Exodus 21 34,"the owner of the pit is to pay, the worth-in-silver he is to restore to its owner, and the dead-animal is to remain his."
Exodus 21 35,"When a man’s ox deals-a-blow to his neighbor’s ox, so that it dies,<br>they are to sell the live ox and split its worth-in-silver, [and the] dead-animal they are also to split."
Exodus 21 36,"Yet if it was known that it was a goring ox from yesterday [and the] day-before, and its owner did not guard it,<br>he is to pay, yes, pay, an ox in place of the ox, and the dead-animal is to remain his."
Exodus 21 37,"When a man steals an ox or a lamb, and slaughters it or sells it,<br>five cattle he is to pay in place of the ox, and four sheep in place of the lamb."
Exodus 22 1,"If in [the act of] digging through, the stealer is caught and is struck down, so that he dies,<br>there is to be on his account no bloodguilt;"
Exodus 22 2,"[but] if the sun rose upon him,<br>bloodguilt there is on his account;<br>he is to pay, yes, pay—if he has nothing, he is to be sold because of his stealing."
Exodus 22 3,"If what was stolen is found, yes, found in his hand, whether ox, or donkey, or lamb, alive,<br>twofold he is to pay."
Exodus 22 4,"When a man has a field or a vineyard grazed in,<br>and sends his grazing-flock free, so that it grazes in another’s field,<br>the best-part of his field, the best-part of his vineyard he is to pay."
Exodus 22 5,"When fire breaks out and reaches thorn-hedges, and a sheaf-stack or the standing-grain or the [entire] field is consumed,<br>he is to pay, yes, pay, he that caused the blaze to blaze up."
Exodus 22 6,"When a man gives silver or goods to his fellow for safekeeping, and it is stolen from the man’s house:<br>if the stealer is caught, he is to pay twofold;"
Exodus 22 7,"if the stealer is not caught, the owner of the house is to come near God’s-oracle,<br>[to inquire] if he did not stretch out his hand against his neighbor’s property."
Exodus 22 8,"Regarding every matter of transgression,<br>regarding oxen, regarding donkeys, regarding sheep, regarding garments, regarding any kind of loss about which one can say: That is it!—<br>before God’s-oracle is the matter of the two of them to come;<br>whomever God’s-oracle declares guilty is to pay twofold to his neighbor."
Exodus 22 9,"When a man gives his neighbor a donkey or an ox or a lamb, or any kind of beast, for safekeeping,<br>and it dies, or is crippled or captured, no one seeing [it happen],"
Exodus 22 10,"the oath of <small>YHWH</small> is to be between the two of them,<br>[to inquire] if he did not send out his hand against his neighbor’s property;<br>the owner is to accept it, and he does not have to pay."
Exodus 22 11,"But if it was stolen, yes, stolen away from him,<br>he is to pay it back to its owner."
Exodus 22 12,"If it was torn, torn-to-pieces,<br>he is to bring it as evidence; what was torn, he does not have to pay back."
Exodus 22 13,"And when a man borrows it from his neighbor, and it is crippled or it dies:<br>[if] its owner was not with it, he is to pay, yes, pay;"
Exodus 22 14,"[if] its owner was with it, he does not have to pay.<br>If it was hired, its hiring-price is [considered] received."
Exodus 22 15,"Now when a man seduces a virgin who has not been spoken for and lies with her,<br>[for] the marrying-price he is to marry her, as his wife."
Exodus 22 16,"If her father refuses, yes, refuses to give her to him,<br>silver he is to weigh out, according to the marriage-price of virgins."
Exodus 22 17,A sorceress you are not to let live!
Exodus 22 18,"Anyone who lies with a beast<br>is to be put to death, yes, death!"
Exodus 22 19,One who sacrifices to [other] gods is to be devoted-to-destruction.<br>Only to <small>YHWH</small> alone!
Exodus 22 20,"Now a sojourner you are not to maltreat, you are not to oppress him,<br>for sojourners were you in the land of Egypt."
Exodus 22 21,Any widow or orphan you are not to afflict.
Exodus 22 22,"Oh, if you afflict, afflict them . . . !<br>For [then] they will cry, cry out to me,<br>and I will hearken, hearken to their cry,"
Exodus 22 23,"my anger will flare up<br>and I will kill you with the sword,<br>so that your wives become widows, and your children, orphans!"
Exodus 22 24,"If you lend money to my people, to the afflicted one [who lives] beside you,<br>you are not to be to him like a creditor;<br>you are not to place on him excessive-interest."
Exodus 22 25,"If you take-in-pledge, yes, pledge, the cloak of your neighbor,<br>before the sun comes in, return it to him,"
Exodus 22 26,"for it is his only clothing,<br>it is the cloak for his skin;<br>in what [else] shall he lie down?<br>Now it will be that when he cries out to me,<br>I will hearken,<br>for a Compassionate One am I!"
Exodus 22 27,"God you are not to insult,<br>and a leader among your people you are not to curse."
Exodus 22 28,"Your full fruit of your trickling-grapes, you are not to delay.<br>The firstborn of your sons, give to me."
Exodus 22 29,"Do thus with your ox, with your sheep:<br>for seven days let it be with its mother; on the eighth day, give it to me!"
Exodus 22 30,"Men of holiness are you to be to me!<br>Flesh that is torn-to-pieces in the field, you are not to eat;<br>to the dogs you are to throw it."
