Index Title,"Maskil LeDavid, Genesis",Found Rashi Ref,Text
"Maskil LeDavid, Genesis 17:18:1",יחיה לפניך יחיה ביראתך וכו׳ ועל זה השיבו הקב״ה ולישמעאל שמעתיך כלו׳ כבר שמעתיך קודם. דבשרתיך תקבר בשיבה טובה שיעשה תשובה בימיך כלו׳ שאף אם יחטא שזה אינו תלוי ביה דהכל בידי שמים חוץ מיראת שמים ואפי׳ יחטא כ״כ שיהיה כדי לסגור שערי תשובה בפניו אפ״ה בזכותך לא אעשה כן אלא אפתח לו פתח לשוב בתשובה:,,
"Maskil LeDavid, Genesis 17:19:1",וקראת וכו׳ ע״ש הצחוק וע״ש וכו׳ ע״כ הא והא גרמא ומש״ה לא קאמר רבינו ד״א דאלמלא טעם הצחוק אין סדר לתיבה זו דאמאי רמז בתחלה הנסיונות ואח״כ הקדים שנותיה של שרה לשנותיו של אברהם ולא עוד אלא דהפסיק בין שנותיה לשנות אברהם כח׳ ימי המילה וטפי הו״ל לקרותו יקצה א״ו שנתכוון ע״ש הצחוק אלא דמוכרח שנתכוון ג״כ לאידך טעמא דאל״כ לא הול״ל יצחק ביו״ד ברישא דמשמע ל׳ עתיד:,,
"Maskil LeDavid, Genesis 17:22:1",מעל אברהם וכו׳ ולמדנו שהצדיקים וכו׳ אף על גב דבב״ר לא אמרו אלא האבות הן הן המרכבה הרי ידוע שכל נשמותיהם של ישראל כלולים בשלשה אבות וכל השאר הם תולדות וענפים כי אברהם קו ימין ויצחק קו שמאל ויעקב קו האמצעי ומאחר שהן הן המרכבה כל תולדותיהם הצדיקים היוצאים מהם הרי ממילא גם הם מרכבה לקדושה. ומתורץ מה שטען הרמב״ן הביאו הרא״ם ז״ל ע״ש:,,
"Maskil LeDavid, Genesis 18:1:1",וירא אליו פרש״י ז״ל לבקר את החולה א״ר חמא וכו׳ דלא חזינן דא״ל ולא מידי עד אח״כ וא״כ אמאי כתי׳ הכא מרא׳ זו בלי שום דיבור ולכך פי׳ לבקר וכו׳ ומה שלא כתב לבקרו. כוונתו לומר דבאמת גבי ב״ו שייך ביקור שכל זמן שאינו מבקרו אינו רואה צערו ולא חש לבקש עליו רחמים. אבל לגבי הקדוש ברוך הוא לא שייך זה ולכך קאמר דאה״נ דלא היה צריך אלא ללמד לעולם לבקר את החולה והיינו דקאמר החולה כלו׳ חולה דעלמא דמהכא שמעינן מה הקב״ה מבקר חולים וכו׳. ומה שהביא רש״י אח״כ מימרא דר״ח היינו לפי שהוא ז״ל כתב לבקר את החולה כלו׳ דמהכא שמעי׳ שיש חיוב לבקר אפי׳ גדול אצל קטן שהרי גם הקב״ה הלך אצל אברהם. דהכי איכא מאן דמפרש בפ׳ אין בין המודר דהיינו דתנן כגון ביקור חולים אין לו שיעור. מאי אין לו שיעור אפי׳ קטן אצל גדול מיהו איכא התם מאן דמפרש אין לו שיעור באנסא אחרינא דר״ל אפי׳ כמה פעמים בכל יום. והשתא איכא למימר דהנך אמוראי פליגי ומאן דמפר׳ כמה פעמים ביום לימא דלעולם דוקא גדול אצל גדול וקטן אצל קטן. ואנן בעינן למילף איפכא דאפילו גדול אצל קטן מש״ה מייתי רש״י הא דאר״ח יום ג׳ למילתו היה וכו׳ הרי דליכא חובה אפילו כמה פעמים ביום. אלא ע״כ לפרש אפי׳ גדול אצל קטן. ואין להק׳ דלעולם אימא שהעיקר כמאן דאמר אפי׳ כמה פעמים ביום ומיהו היינו דוקא מיום ג׳ ואילך דעד יום ג׳ אין נכנס לבקר וכדפ׳ בש״ע י״ד סי׳ של״ה. אין זה כלום דהא נתבאר שם דהקרובים נכנסים מיד והקב״ה קרא לו לאברהם. אברהם אוהבי וכתיב כי ידעתיו וכולי ואין לך קרוב גדול מזה אם כן הרי היה יכול ליכנס מיד אלא ע״כ לכך לא נכנס עד יום ג׳ ללמד דדינא הכי׳ אפילו גדול אצל קטן וזהו אין לו שיעור דתנינן. ומה שהזכיר רש״י המימרא בשם אומרו ואין כך דרכו בפירושו שמביא דברי המאמרים בסתם היינו משום דלא תקשי מנ״ל שהיה זה ביום ג׳ דלמא יומא קמא הוה שיש סכנה טפי מיום ג׳ ולכך קאמר אה״נ דליכא שום ראיה לזה אלא מיהא הכי א״ר חמא ב״ח וצ״ל דהכי קים ליה וקבלה היתה בידו:,,
"Maskil LeDavid, Genesis 18:1:2",באלוני ממרא הוא שנתן לו עצה וכו׳ דק״ל וכי עדין לא שמענו שבאלוני ממרא היה יושב והא כבר כתיב פסוק דלעיל ויבא וישב באלוני ממרא אלא קמ״ל שהקב״ה נתן בלבו של אברהם לדור באלוני ממרא כדי שיזכ׳ ממרא שהקב״ה יגלה בחלקו. ואפ׳ עוד שדרשו כן מדסמך קרא ה׳ לאלוני ממרא דהול״ל וירא ה׳ אליו באלוני ממרא והא דהלך אברהם ליטול עצה על המילה דזה דבר זר כמו שהק׳ כל המפרשים נלע״ד לפי שידוע שכל עוד שהאדם כופה יצרו לעשות איזו מצוה יגדל יותר שכרו ואאע״ה היה לבו חלל שביטל ממנו היצה״ר לכך שאל להם כדי שיעשו הם אומנותו של יצה״ר להסיתו שלא יעשה כדי שיגדל שכרו והקרוב אלי שהם הבינו כוונתו ולכך היו מיעצין אותו שלא ימול דמסתמא גם הם כיון שהיו בעלי ברית אברהם לא היו רשעים ח״ו אבל ממרא לא רצה לתפוס אומנתו של יצה״ר אע״ג שכוונתם היתה לטובה הוא לא רצה דאטו אומרים לאדם חטא כדי שיזכה חברך ולכך זכה וכו׳ ובדרושים שלי ביארתי כל זה המאמר בדרך אחר ע״פ דרש:,,
"Maskil LeDavid, Genesis 18:1:3",יושב ישב כתיב פי׳ דק״ל וכי אורח הכי דליכא למימר שלא היה יכול לעמוד דהא חזינן בסמוך דמיד שראה האורחים רץ לקראתם וכ״ש שהו״ל לעשות לכבוד שכינה ולכך מתרץ שהוא ביקש לעמוד ואלא א״ל הקדוש ברוך הוא שב וכו׳ ונלמד זה מדכתיב ישב חסר דקרי ביה ישב בצירי כלו׳ שנתן לו רשות לישב (כן נראה לע״ד אע״ג שהמפרשי׳ לא פרשו כן) ומה שהאריך באומרו שב ואני אעמו׳ והוה סגי דלימא שב לבד אלא נ״ל משום דקי״ל לכל אומרים שב חוץ מאבל וחולה דמשמע שב בחולי שלך וכ״פ בי״ד ה׳ אבלות ואם כן היכי קאמר לאברהם שב שהיה חולה אלא לכך האריך באומרו שב ואני אעמוד להורות שלא אמר ליה שב אלא כלפי העמידה כלו׳ שב ממש שהוא יעמוד לאפוקי דלא לשתמע שב בחולי שלך:,,
"Maskil LeDavid, Genesis 18:1:4",כחום היום הוצי׳ וכו׳ דאל״כ מאי קמ״ל שהיה כחום היום דר״ל בקרוב כשיעור חום היום קרוב סמוך לו או מלפניו או מלאחריו שזו משמעות כף השיעור כמו כחצות הלילה. ומאי נ״מ להודיע מזה שלא היה בזמן חום היום בכיוון דמש״ה קפיד קרא למכתב כחום בכף ולא בחום מש״ה פירשו דלאו היינו דקמ״ל קרא ואין זו כף השיעור המורה על קירוב הזמן אלא כף הדמיון ורצה לומר כדמיון חום היום דכתיב כי הנה היום בא בוער וכו׳ ואין לומר דהכריחו ז״ל מדכתי׳ היום ולא השמש. דהא כבר פירשוהו בברכות פ״ד דהיינו בשעה ו׳ שהשמש חם והצל חם:,,
"Maskil LeDavid, Genesis 18:2:1",והנה וכו׳ ורפאל שריפא וכולי אע״ג דבפ׳ הפועלים אמרי׳ דמיכאל שבישר את שרה אזל לשזביה ללוט נקט רש״י הסברא דבב״ר שיותר קרובה לפשטות הדבר דאילו לפי הש״ס צריך לדחות כמ״ש התו׳ שם:,,
"Maskil LeDavid, Genesis 18:2:2",נצבים וכו׳ ל׳ נקיה וכו׳ כלו׳ דלא תקשי דהא לשנא דעליו לא שייך אלא היכא דסמוך לו ממש כמו ועליו מטה מנשה דר״ל דסמיכין עלוהי כדמתרגם אנקלוס התם אבל הכא לפי הפשט לא היו סמוכין אצלו שהרי כתיב אח״כ וירץ לקראתם לכך קאמר אבל ל׳ נקיה הוא וכו׳ והיינו דהכא לא תרגם אונקלוס סמיכין כמו התם אלא עלוהי. ומיהו ק׳ דמאי קאמר ל׳ נקייה הוא כלפי המלאכים דמשמע דר״ל משום חשיבותם כלו׳ שהם חשובים ממנו והא אדרבא קי״ל גדולים צדיקים יותר ממלאכי השרת ואע״ג די״ל שזהו דוקא לעה״ב אבל כל זמן שהם בחומר הגוף מלאכים עדיפי טפי מכל מקום תקשי דהא רש״י גופיה פירש לקמן דגבי אברהם שהיה כחו גדול קרי להו אנשים ולגבי לוט מלאכים א״כ מאי ל׳ נקיה ונ״ל דהיא גופיה תרוצא דמשום שהוצרך הכתוב לקרותם אנשים משום כבודו של אברהם הודיע בל׳ נקייה דעליו שאנשים הללו מלאכים היו:,,
"Maskil LeDavid, Genesis 18:2:3",וירא מהו וירא וכו׳ ההרגש שמבחוץ הוא דק׳ בלישנא דקרא דלא כתיב מהו ראייה זו דבשלמא בוירא ראשון ל״ק דה״ק וירא והנה ג׳ אנשים אבל וירא תניינא ק׳ מה ראה הול״ל ויראם מש״ה קאמר רש״י אדרב׳ אם הכוונה כפשוטה טפי תקשי מהו וירא וירא ב׳ פעמי׳ א״ו דוירא תניינ׳ אינו כפשוטו אלא ר״ל שנסתכל והבין דבר אחר ומ״ש רש״י ואף על פי שיודעין היו וכולי כלומר דמסתמא היו אומדים דעתו דוודאי יצא לקראתם שהרי כל עצמו לזה היה מבקש ולא על חנם היה יושב בפתח האוהל אלא להכניס האורחים דאל״כ מנא ידעי הרי המלאכים אינם יודעים מה שבלבו של אדם דכתיב בוחן לבות ה׳ ואין עוד מלבדו ושוב ראיתי לרבותינו בעלי התו׳ בפ״ק דשבת דכתבו בפשיטות דמלאכי השרת יודעים מחשבה שבלב האדם ע״ש ואברא דקשה מכמה קראי דמוכח דלאו הכי כדאמרן מיהא מצאתי בס׳ משנת חכמים למהר״מ חאגיז ז״ל שחילק שם שבעוד שהמחשבה בכליות אין יודע בה אלא הקב״ה אבל כשהיא נתונה בלב הרי היא כאילו יצאה לחוץ ויודעים אותה מלה״ש ע״ש ולפי׳ זה א״צ למה שכתבנו הן אמת שק׳ הדבר דקרא כתיב בוחן לבות וכליות אלהים צדיק ומקרא אחד אומר בוחן לבות ה׳ הרי בהדיא דאפילו המחשבה בלב אין יודעה אלא השי״ת וצ״ע:,,
"Maskil LeDavid, Genesis 18:3:1",ויאמר וכו׳ ד״א וכו׳ דלפי׳ ראשון קשה דמהיכא ידע דאיהו הגדול שדיבר לו בלבד ואע״ג דכתבו המפרשי׳ לפי שראהו באמצע ק׳ דהא קי״ל אין מכבדין בדרכים אלא בפתח הראוי למזוזה ואעפ״י שהתוס׳ בשבת פרק במה בהמה ובברכות חילקו דהיכא שיצאו לדרך ביחד מכבדין גם בדרבין ומה שאין מכבדין היינו כשפגעו זה בזה והולכים אח״כ ביחד מ״מ מנ״ל לאברהם שהללו יצאו ביחד ודלמא לא היא אלא פגעו זה בזה ולעולם אותו שבאמצע אינו הגדול אלא אחרינא דהא אין מכבדין וג״כ משום הך ספקא ה״ל לדבר עם כלם כיון דליכא לברורי מי היה הגדול לכך פירש ד״א ולר״א קשה שהפסוק מהופך ואע״פ שמביא רש״י ראייה מההיא דויולד נח התם הם שני ענינים נפרדים וכה״ג ודאי אמרינן אין מוקדם ומאוחר בתורה אבל הכא שמספר ענין א׳ עובדא היכי הוה א״א לומר שהפ׳ מהופך וכן מבואר בגמ׳ פ׳ ק׳ דפסחים ר״ו דכי אמרינן אין מוקדם ומאוחר בתורה ה״מ בתרי עניני אבל בחדא ענינא מה דמוקדם מוקדם ומה דמאוחר מאוחר דאילת״ה בכלל ופרט דילמא פרט וכלל הוא ע״ש:,,
"Maskil LeDavid, Genesis 18:4:1",יוקח וכו׳ על ידי שליח וכו׳ כלו׳ דמש״ה קפיד קרא לכתוב שאמר אברהם יוקח ע״י אחרים לפי שהיה לרחוץ רגליהם ולא רצה לזלזל כ״כ בכבודו ולכך פרע נמי הקב״ה ע״י שליח ולא מייתי רש״י קרא דבפ׳ בשלח והכית בצור דקדים משום דמהתם אין ראייה דאיכא למימר דמש״ה לא נתן להם המים הקב״ה בעצמו רק ע״י משה שהכה בצור במטה לפי שהוצרך לזה להסיר עקשות פה ממה שהיו מלינים על המטה שאינו מוכן אלא לפורענות כדפירש״י התם על פ׳ ומטך אשר הכית בו את היאור וכולי אבל מהך דבפר׳ חקת איכא ראייה גמורה דהתם לא היה צורך כלל אדרבא הוה עדיף טפי שיתן הקדוש ברוך הוא בעצמו ובזה לא היה נמשך הקלקול שנענש משה על ידו ולכך מוכרח לומר שהוצרך להיות המים על ידי שליח כלפי מה שעשה אברהם ובמה שכתבתי אזדי להו תרי קושיי שכת׳ הנח״י ע״ש:,,
"Maskil LeDavid, Genesis 18:4:2",ורחצו וכולי אבל לוט וכו׳ הקשו המפ׳ דלמא לעולם לוט נמי היה מקפיד ומיהו לא נדמו לו כערביים ונלע״ד דא״כ אמאי כתיב התם שאמר להם לוט ולינו ורחצו רגליכם ל״ל שהזכיר הכתוב שאמר להם הרחיצה טפי מהאכילה כשם שלא הזכיר האכילה כך לא הו״ל להזכיר ג״כ הרחיצה אלא הול״ל ולינו והשכמתם וכו׳ אלא עכ״ל דללוט נמי נדמו לו כערבים ואה״נ שגם הוא למד מאברהם לעקור ע״א ולכך אמר להם שעכ״פ צריכים לרחוץ רגליהם להעביר הע״ז ואלא מיהא לפי שלא היה מקפיד כ״כ כמו אברהם לא הצריכם לרחוץ מיד קודם כניסתם לבית שלא היה מקפיד על הכנסת ע״ז בביתו:,,
"Maskil LeDavid, Genesis 18:4:3",תחת העץ תחת האילן אפ׳ דרש״י הכא כונס ברמיז׳ מאי דאיתא בזהר שהי״ל לאברהם אילן שבו היה מנסה לאורחים שאם היו צדיקי׳ ענפי האילן עושים צל עליו ע״ש והיינו דק״ל אמאי כתיב העץ דמשמע הידוע דמסתמא לאו עץ אחד לחוד הוה ליה ולהכי קאמר דאה״נ דרצה לומר האילן הידוע ולא חש לבאר לפי שהוא מרזי התורה ולא רמזה אלא ליישב ה״א הידיעה וכן נרא׳ דאל״כ הרי ידוע שעץ הוא אילן ובפרשת בראשית כתב עץ ולא פירש שם רש״י כלום:,,
"Maskil LeDavid, Genesis 18:5:1",וסעדו וכו׳ א׳ ר׳ חמא לבבכם וכו׳ לא ידעתי מי הכריחו לזה שהרי דבר ידוע דהיינו לבבכם היינו לבכם דלבב הוא מבעלי הכפל שפעמי׳ חסרי למד ובא הדגש במקום האות הכפולה וכן מצינו כתוב א׳ אומר תוכן לבות ה׳ וכתי׳ אחד אומר כי כל לבבות דורש ה׳ הרי דהיא היא ועל רז״ל שדרשו כן לא ק״ל דקי״ל כל היכא דאיכא למדרש דרשינן אבל רש״י לא ידעתי מי הכריחו להביא אגדה זו כ״ש שא׳ מן הכתובים שהביא בסמוך סעד לבך פת לחם וכתו׳ אצל בעלה של פלגש בגבעה ולא כתי׳ לבבך מה ידרוש רבנו התם היתכן שלא היה לו יצה״ר ושוב ראיתי להר׳ הנח״י שרצה לחלק דביחיד שייך לומר לב אבל לא ברבים לפי שאין דעותיהן שוות ע״ש וגם זה אחר המחילה אין לו יסוד וקרא דכתיבנא תוכן לבות הוי תיובתיה וכשנתישבתי עוד בדבר נ״ל לומר מעין דרשו של הרב והיינו דביחיד שאין לו אלא לב אחד סברי רבנן דשייך לומר דוקא לב וכל היכא דכתיב לבב הוי לדרשא והשתא קרא דסעד לבך וכו׳ א״צ וקרא דכתובים ולחם לבב אנוש וכו׳ י״ל דאתי לדרשא והיינו דאיכא למידק למה לא כתי׳ ולחם יסעד לבב אנוש כמו סעד לבך פת לחם ומ״ש הכא דכתב להיפך אלא נראה במאי דאי׳ בגמ׳ דב״ב עד שלא אוכל יש לו ב׳ לבבות שנ׳ ואיש נבוב ילבב אחר שאכל אין לו אלא לב אחד וז״ש וכו׳. ולחם לבב אנוש כלו׳ מה שהיה תחילה לבב שמורה הרבוי עתה יסעד ונעשה לב וכל זה ביחיד אבל ברבים שייך לומר בין לבות בין לבבות דתרוויהו רבים משמע אבל הכא ודאי ק׳ דכיון דרבים הם וכל אחד יש לו לב בפני עצמו לא שייך לומר לבכם דהיינו שם יחיד בכינוי רבים והול״ל לבותיכם כמו ולישרים בלבותם וכי תימא דלא קאמר לבותיכם משום שמורה על פירוד הלבבות והוא רצה לומר שישבו באהבה ואחוה מכל מקום הול״ל לבבכם דמורה קצת על הרבוי וממילא הוה משמע נמי האחוה מדלא קאמר לבותיכם אבל לבכם אין לו משמעות כלל שהרי לבו של זה לאו היינו לבו של זה מש״ה הוצרכו לדרוש דקאמר הכי לרמוז שאין יצה״ר במלאכים ומה״ט נמי דרשו שיתו לבכם לחילה שאין יצה״ר שולט למ״ה נמצינו למדין דשפיר אצטריך רש״י לאתויי הך דרשה משום דמלת לבכם אין לו הבנה ע״ד שאמרנו:,,
"Maskil LeDavid, Genesis 18:6:1",קמח וכולי לעמילן ואי הוה כתוב קמח וסולת הוה משמע ששניהם לדבר א׳ לעוגות דהא ואו מחבר׳ מש״ה אמר קמח סולת להפריד׳ שזה לענין א׳ וזה לדבר אחר:,,
"Maskil LeDavid, Genesis 18:7:1",בן בקר וכו׳ אפ׳ דהכרחו של רש״י מדלא כתיב בקיצור עגל טוב דהכי הוה משמע בן בקר ומשמע שהיא רך והוה מקצר או הול״ל רך וטוב בויו שבא ומדכתיב וטוב בקמץ משמע דמלתא באפי נפשה היא שר״ל ועוד אחר טוב ורך ג״כ אפ׳ שהוא מיותר דמדכתיב בן בקר סתם ולא כתיב פר בן בקר משמע ממילא שר״ל קטן היינו רך מכח זה מפרש ע״פ הפשט שג׳ היו:,,
"Maskil LeDavid, Genesis 18:7:2",אל הנער וכו׳ דמדכתיב הנער בהא הידיעה משמע שנער א׳ בלבד היה לו כי היכי דדייק גבי פרתו של ראב״ע וכ״ש דאיכא למידק הכי בקרא והרי כמה עבדים הו״ל לכך פי׳ דקאי על בנו שהיה יחידו:,,
"Maskil LeDavid, Genesis 18:8:1",ויקח חמאה וכו׳ ולחם וכו׳ דבשלמא אי לא הוה כתיב הכא בהך קרא גם הבן בקר הוה אמינא הכא לא קפיד לכתו׳ אלא הנוסף אבל הדר וכתב בן בקר הול״ל נמי הלחם לכך פי׳ דלא הביא:,,
"Maskil LeDavid, Genesis 18:8:2",ובן הבקר וכו׳ אשר תקן רצה בזה דהא לעיל כתיב שהנער עשאו והיכי קאמר הכא אשר עשה דקאי על אברהם לכך מתרץ דר״ל תיקן שאברהם תיקנו בקערה ותדע שזו כוונת הרב דאל״כ הו״ל לפרש בקרא דלעיל וימהר לעשות אותו לתקנו. ומ״ש קמא קמא וכו׳ נר׳ דר״ל שבתחילה נתן להם החמאה וחלב ואח״כ הבשר דמסתמ׳ כיון דקפיד שלא ליתן להם לחם שנעשה בטומא׳ כ״ש דהוה קפיד שלא ליתן להם בשר בחלב ודייק זה מדכתי׳ ויתן לפניהם ולא כתי׳ ויתן אותם או ויתנם לפניהם:,,
"Maskil LeDavid, Genesis 18:8:3",ויאכלו נראו וכו׳ מכאן וכו׳ כלו׳ בדרך המבואר במ״ש בפ׳ מקום שנהגו דאל ישנה אדם מפני המחלוקת. ולכך היכא דלא שייך מחלוקת בודאי נותנים עליו חומרי מקום שיצא משם וחומרי שהלך לשם כמבואר שם ברישא והיינו לחלק בין צנעה לפרהסיא וכל זה כשדעתו לחזור למקומו אבל אם אין דעתו לחזור נוהג כמנהג המקום שהלך לשם בין לקולא בין לחומרא והיינו כרב אשי בגמר׳ ולכך הכא המלאכים דודאי דעתם לחזור היו צריכים לנהוג כחומרי מקום שיצאו שלא לאכול אלא מיהא משום אותו ששנינו אל ישנה אדם מפני המחלוקת נראו כמו שאכלו ובזה מובן שפיר לשנא דסוגייא דבפ׳ הפועלים ומקש׳ אכלו ס״ד ומתרץ אלא אימא נראו וכולי ומאי פריך אכלו ס״ד אימא ה״נ והכי התוס׳ מייתו התם לישנא דמתני׳ דבסדר אליהו רבא דקתני לא כאותן שאומרי׳ נראים כמי שאוכלים ושותים אלא אוכלים ושותים ממש מפני כבודו של אברהם ע״ש א״כ מה כל החרדה הזאת אשר חרד הש״ס דמשמע דבר בלתי אפשר אבל ע״פ דרכנו נרא׳ דפריך שפיר הש״ס דא״א לומר כן דהא מדינא אסירי כיון דדעתם לחזור דנותנים עליהם חומרי מקום שיצא משם אבל ההיא דסדר אליהו רבא פליג וסבר דלעולם אכלו ממש וטעמו מההיא דאי׳ בחולין פ׳ כל הבשר דף קי״א רב בר שבא איקלע לבי רב נחמן אייתי להם כבדא שלקא ולא אכל א״ל לר״נ בר בי רב דלגו לא אכל ומנו רב בר שבא א״ל ר״נ נאמו ליה לשבא ומסיק שם כתנאי וכו׳ ע״ש הרי דאע״ג דרב בר שבא נהג איסור והיה רוצה לנהוג כסברתו וכמנהג מקומו דמשמע שהיה דעתו לחזור. ובדינא דמתנית׳ נותנין עליו וכו׳ אפ״ה הכריחו ר״נ לאכול לפי שאין לו לנהוג חומרא בפני רבו בדבר שרבו מיקל וה״נ ס״ל לתנא דסדר אליהו רבא דכיון שאברהם היה צדיק גמור שבזכותו נתקיים העולם נמצאו המלאכי׳ אצלו כמו תלמידי׳ אצל רבם ולכך היו רשאים לאכול ממש משום כבודו ולא שייך בכה״ג נותנים עליו חומרי מקום שיצא משם. ובהא פליג אסוגיין דהכא והיינו דקאמרי התו׳ שם אחר שהביאו דברי התנא דסד׳ אליהו ופליג אדהכא וכל הרואה יתפלא מאי קמ״ל אטו לא חזינ׳ דפליגא והכי אמר בהדיא לא כאותן וכו׳ אלא ר״ל פליגא לענין דינא והיינו כדאמרן:,,
"Maskil LeDavid, Genesis 18:9:1",ויאמרו וכו׳ שאף לשרה וכו׳ לאו למימרא שהם שאלו ממש לשרה איו אברהם שזה א״א מכמה טעמי חדא דנר׳ בהדיא מן הכתובים שהם לא דברו עם שרה כלל ולא ראוה שהיא היתה באהל והם לא נכנסו תוך האהל כלל אלא תחת העץ ועוד שהרי קי״ל קול באשה ערוה וכדמקשי נמי הרא״ם ז״ל (כלומ׳ לדבר עמה בשלום בעלה דרך חבוב ולחבבו בעיניה דומי׳ דאיש על אשתו דהוי נמי לחבבה בעיניו וכדמסיים רש״י לחבבה על בעלה זהו הדבר דחוי ודאי בכלל קול אשה ערוה דמאחר שהוא שואלה מבעלה שמא היא תאמר לו איזה דבר של חבוב מבעלה ולפי׳ אסור ואזדא לה קושית הנח״י על הרא״ם שהרי לא אמר אלא אל תרבה שיחה עם האשה ומצינו בכל הנביאים ובכל התלמוד שסיפרו עם נשים ע״ש) ועוד דמאי שייך השאלה איה אברהם מאחר שהוא היה שם עומד ומשמש בפניהם אלא כלו׳ שבלשון הנכתב בשאלתם לאברהם על שרה איה שרה רמוז ג״כ כאילו שאלו לשרה איו אברהם רצה ללמד בזה הכתוב דרך ארץ שצריך לשאול באכסניא לאיש על האשה ולאשה על האיש כלו׳ אם הוא איש ומדבר עם האיש בעל הבית צריך לשאול לו בשלום אשתו ואם היא אשה ומדברת עם בעלת הבית דרך ארץ שתשאל לו בשלום בעלה והשתא א״צ למ״ש הרא״ם ז״ל דהך לישנא דלאשה על האיש הוא שבוש ול״ג ליה ורצה לחלק בין מלאכים לאנשים עיין שם דלדידי דבריו ז״ל צ״ע דהיכי אפש׳ לחלק אלא אע״ג דמלאכים היו כיון שלא נתראו אלא בדמות אנשים לא הו״ל למעבד אלא כי היכי דעבדי אנשי ואי לאנשי אסור לדבר עם האש׳ ולשאול לה על בעלה לדידהו נמי הוה אסור ומאי קמ״ל קרא עם הניקוד במלתא דאתו בה לידי תקלה להתיר את האסור הא ודאי קשיא וע״פ דרכנו ניחא נמי אמאי לא ננקד הכ׳ למד דאליו לבד ואפ״ה נדרוש שפיר אין לפום כלל דרשב״א דכ״מ שהכתב רבה דרשי׳ הכתב אלא העיקר דכ״מ דאיכא ניקוד בא הניקוד לעקור אותן האותיות כאילו לא הוו. והשתא אלו לא ננקד איו הוה דרשינן איו ממש שהמלאכים שאלו ממש לשרה איו אברהם והוה נפק׳ מינה חורבא להיפך מן המכוון והשתא דננקד נימא דדרשינ׳ איו דל מהכא כלו׳ אינו ענין למלאכים אלא רמוז הוא שאם היא אשה צריכה לשאול איו בעלה והשתא ל״ק לרש״י מניה וביה דהכא כתב שצריך לשאול לאיש על האשה ולאשה על האיש ובפ׳ הפועלים כשאמרו לומדי תורה ד״א שישאל אדם באכסניא שלו פיר׳ רש״י גופיה באכסניא אשת אושפיזא ע״כ הרי דלאיש על אשתו לבד קאמר והיכי קאמר הכא דלאש׳ על בעלה אלא כדאמרן:,,
"Maskil LeDavid, Genesis 18:10:1",שוב אשוב לא בשרו וכו׳ קשיא ליה שהרי לא מצינו שחזר ולכך משני לא בשרו וכו׳ וההכרח לזה ממאי דקאמ׳ כעת חי׳ דע״כ הוי פירושו כדפירש״י בסמוך חיה לכם שתהיו כלכם חיים ואי המלאך מדבר בדידיה והוא בדרך ברכה מנא ליה הא שיהיו כולם קיימים הרי הם אינם יודעים רק השליחות שנשלחו עליו אלא מוכרח שבשם הקב״ה מדבר וה״ט שהפך ושינה רש״י הסדר דפי׳ תחילה כעת חיה ואח״כ שוב אשוב לפי שמה שפי׳ על כעת חיה הוא ההכרח למה שפי׳ על שוב אשוב:,,
"Maskil LeDavid, Genesis 18:12:1",בקרבה מסתכלת וכו׳ דאם ר״ל בקרב׳ ממש כפשוטו שלא דברה כלו׳ רק בקרבה חשבה היכי כתיב לאמר:,,
"Maskil LeDavid, Genesis 18:12:2",עדנה צחצוח וכו׳ ד״א וכו׳ דאילו לפ׳ קמא ק׳ שאין הלידה תלויה בצחצוח הבשר ותו דא״כ הול״ל תהיה לי עדנה בל׳ עתיד דאילו לפי׳ בתרא ניחא דנקט בל׳ עבר דהא באותו יום כבר חזר לה האורח כמ״ש רש״י לעיל שנטמאה העיסה אלא שהיא היתה תולה שאין זה וסת אלא דרך מקרה ולכך אמרה היתכן למיסק אדעתין שאחר בלותי היתה לי עדנה וסת לאו הכי אלא מקרה הוא ולד״א נמי ק׳ שאין עדנה לשון עידן ועוד דעידן נמי אינו ל׳ הקדש:,,
"Maskil LeDavid, Genesis 18:14:1",למועד וכו׳ לא ניחא ליה לפרש למועד שאמר המלאך שהמלאך לא הזכיר תיבת מועד:,,
