Index Title,Guide for the Perplexed,le français d'origine,
"Guide for the Perplexed, Part 1 2:8",ישתבח בעל הרצון אשר לא תושג תכלית כונתו וחכמתו!,—Louange au maître de cette volonté dont on ne saurait comprendre le dernier terme et la sagesse.,
"Guide for the Perplexed, Part 1 3:1","יחשב שענין ׳תמונה׳ ותבנית׳ בלשון העברי – אחד ואינו כן. וזה כי ׳תבנית׳ – שם נגזר מן ׳בנה׳ וענינו – בנין הדבר ותכונתו – רצוני לומר: תארו כריבוע והעיגול והשלוש וזולתם מן התארים. אמר ״את תבנית המשכן ואת תבנית כל כליו״ ואמר בתבניתם אשר אתה מראה בהר״, ״תבנית כל צפור״, ״תבנית יד״, ״תבנית האולם״ – כל זה תואר. ולזה לא הפיל לשון העברים אלו המילות בתארים נתלים באלוה בשום פנים.","On s’imagine que le sens de <i>temounâ</i> (<span dir=""rtl"">תמונה</span>) et de <i>tabnîth</i> (<span dir=""rtl"">תבנית</span>) dans la langue hébraïque est le même; mais il n’en est pas ainsi. <i>Tabnîth</i> est un nom dérivé de <span dir=""rtl"">בנה</span> (bâtir) et signifie la <i>bâtisse</i> d’une chose et sa structure, je veux dire sa figure, comme p. ex. la figure carrée, circulaire, triangulaire, etc. On dit, p. ex.: <i>La figure</i> (<span dir=""rtl"">תבנית</span>) <i>du tabernacle et la figure</i> (<span dir=""rtl"">תבנית</span>) <i>de tous ses ustensiles</i> (Exod., XXV, 9), et on dit encore: <i>Selon leur figure</i> (<span dir=""rtl"">כתבניתם</span>) <i>qui t’a été montrée sur la montagne</i> (<i>Ibid.</i>, <small>V</small>. 40); <i>La figure</i> (<span dir=""rtl"">תבנית</span>) <i>de tout oiseau</i> (Deutéron., IV, 17); <i>La figure</i> (<span dir=""rtl"">תבנית</span>) <i>d’une main</i> (Ézéch., VIII, 3); <i>La figure</i> (<span dir=""rtl"">תבנית</span>) <i>du portique</i> (I Chron., XXVIII, 11). Tout cela est une <i>figure</i> (<i>visible</i>); c’est pourquoi la langue hébraïque n’emploie aucunement cette sorte d’expressions dans des descriptions qui se rapportent à Dieu.",
"Guide for the Perplexed, Part 1 3:2","אמנם ׳תמונה׳ הוא שם נופל על שלושה ענינים בסיפוק. וזה שהוא יאמר על צורת הדבר המושגת בחושים חוץ לשכל – רצוני לומר: תארו – והוא אמרו: ״ועשיתם פסל תמונת כל״, ״כי לא ראיתם כל תמונה״; ויאמר על הצורה הדמיונית הנמצאת בדמיון מן האיש אחר העלמו מן החושים – והוא אמרו: ״בשעפים מחזיונות לילה וכו׳״ וסוף הדבר, ״יעמוד ולא אכיר מראהו תמונה לנגד עיני״ – רצונו לומר: דמיון לנגד עיני בשנה; ויאמר על הענין האמיתי המושג בשכל. ולפי זה הענין השלישי יאמר בו ית׳ ׳תמונה׳ – אמר ״ותמונת יי יביט״ – ענינו ופרושו: ואמיתת האלוה ישיג.","Quant à <i>temounâ</i> (<span dir=""rtl"">תמונה</span>), c’est un nom qui se dit par amphibologie  fn83 dans trois sens divers. Il se dit 1° de la forme d’un objet perçue par les sens indépendamment de l’esprit, je veux dire de sa figure et de ses linéaments, et c’est là le sens des mots: <i>….. et que vous ferez une image taillée de la figure</i> (<span dir=""rtl"">תמונת</span>) <i>de quoi que ce soit, etc.</i> (Deutéron., IV, 25); <i>Car vous n’avez vu aucune figure</i> (<span dir=""rtl"">תמונה</span>) (<i>Ibid.</i>, <small>V</small>. 15). On le dit 2° de la figure imaginaire qu’un objet, après s’être dérobé aux sens, laisse dans l’imagination, comme dans ce passage: <i>Dans les pensées</i> (<i>nées</i>) <i>de visions noctures, etc.</i> (Job, IV, 13 et suiv.), qui finit par ces mots: <i>Il s’arrêta et je ne reconnaissais pas son visage; il y avait une figure</i> (<span dir=""rtl"">תמונה</span>) <i>devant mes yeux</i>, c’est-à-dire il y avait un fantôme devant mes yeux dans le sommeil. On le dit enfin 3° de l’idée véritable (d’une chose) perçue par l’intelligence, et c’est dans ce troisième sens qu’on dit <i>temounâ</i> en parlant de Dieu; p. ex.: <i>Et il contemple la figure</i> (<span dir=""rtl"">תמונת</span>) <i>de l’Éternel</i> (Nombres, XII, 8), ce qui doit être expliqué dans ce sens: <i>Et il comprend Dieu dans sa réalité</i>.",
"Guide for the Perplexed, Part 1 4:1",דע כי ׳ראה׳ ו׳הביט׳ ו׳חזה׳ – שלש המלות האלה נופלות על ראות העין והושאלו שלשתם להשגת השכל.,"Sache que les trois verbes <i>raâ</i> (<span dir=""rtl"">ראה</span>), <i>hibbît</i> (<span dir=""rtl"">הביט</span>) et ’<i>hazâ</i> (<span dir=""rtl"">הזה</span>) s’appliquent à la <i>vue</i> de l’œil; mais on les emploie métaphoriquement, tous les trois, pour la perception de l’intelligence. ",
"Guide for the Perplexed, Part 1 4:2",אמנם זה ב׳ראה׳ מפורסם אצל ההמון – ואמר: ״וירא והנה באר בשדה״ וזה – ראות עין; ואמר: ״ולבי ראה הרבה חכמה ודעת״ וזה השגה שכלית.,"Pour <i>raâ</i> (<span dir=""rtl"">ראה</span>), cela est connu à tout le monde. Il est dit, p. ex.: <i>Et il vit</i> (<span dir=""rtl"">וירא</span>), <i>et voici, il y avait un puits dans le champ</i> (Genèse, XXIX, 2), où il s’agit de la <i>vue</i> de l’œil; mais dans ces mots: <i>Et mon cœur voyait</i> (<span dir=""rtl"">ראה</span>) <i>beaucoup de sagesse et de science</i> (Ecclésiaste, I, 16), il s’agit d’une perception intellectuelle. ",
"Guide for the Perplexed, Part 1 4:3","ולפי זאת ההשאלה הוא כל ׳לשון ראיה׳ שבאה באלוה ית׳ כאמרו: ״ראיתי את יי״, ״וירא אליו יי״, ״וירא אלהים כי טוב״, ״הראני נא את כבודך״, ״ויראו את אלהי ישראל״ – כל זה השגה שכלית לא ראות עין ממש בשום פנים. כי לא ישיגו העינים רק גוף, ובצד וקצת מקריו גם כן – כלומר: מראה הגוף ותארו וכיוצא בהם. וכן הוא ית׳ לא ישיג בכלי כמו שיתבאר.","C’est dans ce sens métaphorique qu’il faut prendre le verbe <i>raâ</i> (<span dir=""rtl"">ראה</span>) toutes les fois qu’il s’applique à Dieu, comme p. ex. dans ces passages: <i>Je</i> <small>VIS</small> (<span dir=""rtl"">ראיתי</span>) <i>l’Éternel</i> (I Rois, XXII, 19); <i>Et l’Éternel se fit</i> <small>VOIR</small> (apparut) <i>à lui</i> (Genèse, XVIII, 1); <i>Et Dieu</i> <small>VIT</small> <i>que c’était bien</i> (Genèse, I, <i>passim</i>); <i>Fais-moi</i> <small>VOIR</small> <i>ta gloire</i> Exod., XXXIII, 18); <i>Et ils</i> <small>VIRENT</small> <i>le Dieu d’Israël</i> (<i>Ibid.</i>, XXIV, 10). Il s’agit ici partout d’une perception intellectuelle, et nullement de la <i>vue</i> de l’œil; car les yeux ne perçoivent que (ce qui est) corps et (seulement) d’un certain côté fn84, et avec cela quelques accidents du corps, tels que ses couleurs, sa figure (géométrique), etc., et Dieu, de son côté, ne perçoit pas au moyen d’un instrument, comme on l’expliquera (plus loin).",
"Guide for the Perplexed, Part 1 4:4","וכן ׳הביט׳ נופל על ההבטה בעין לדבר ״אל תביט אחריך״, ״ותבט אשתו מאחריו״, ״ונבט לארץ״. והושאל אל הבטת השכל והשקפתו על התבוננות הדבר עד שישיגהו; והוא אמרו: ״לא הביט און ביעקב״ כי ה׳און׳ לא יראה בעין; וכן אמרו: ״והביטו אחרי משה״ – אמרו ה׳חכמים ז״ל׳ שבו עוד זה הענין ושהוא הגדה על היותם מדקדקים אחר פעולותיו ומאמריו ומסתכלים בהם; ומזה הענין אמרו, ״הבט נא השמימה״ כי זה היה ב׳מראה הנבואה׳. ועל זאת ההשאלה הוא כל ׳לשון הבטה׳ שבאה באלוה ית׳: ״מהביט אל האלקים״ ותמונת יי יביט״, ״והביט אל עמל לא תוכל״.","De même <i>hibbît</i> (<span dir=""rtl"">הביט</span>) s’emploie dans le sens de: <i>regarder</i> une chose avec l’œil; p. ex.: <i>Ne regarde pas</i> (<span dir=""rtl"">אל תבט</span>) <i>derrière toi</i> (Genèse, XIX, 17): <i>Et sa femme regarda</i> (<span dir=""rtl"">ותבט</span>), <i>étant derrière lui</i> (<i>Ibid.</i>, <small>V</small>. 26); <i>Et il regardera</i> (<span dir=""rtl"">ונבט</span>) <i>vers la terre</i> (Isaïe, V, 30). Mais on l’emploie métaphoriquement pour le <i>regard</i> de l’esprit abordant la considération d’une chose pour la comprendre, comme dans ce passage: <i>On ne voit pas</i> (<span dir=""rtl"">לא הביט</span>) <i>d’iniquité dans Jacob</i> (Nombres, XXIII, 21); car l’iniquité ne se voit pas avec l’œil. Il en est de même de ces paroles: <i>Et ils regardèrent</i> (<span dir=""rtl"">והביטו</span>) <i>après Moïse</i> (Exod., XXXIII, 8); car, selon ce que disent les docteurs, elles exprimeraient la même idée, et elles énonceraient qu’ils (les Israélites) épiaient ses actes et ses paroles et les examinaient fn85. Les mots: <i>Regarde</i> (<span dir=""rtl"">הבט</span>) <i>donc vers le ciel</i> (Genèse, XV, 5), ont encore le même sens; car cela se passait dans une vision prophétique. Et (en général) le verbe <span dir=""rtl"">הביט</span> (regarder) a ce sens métaphorique toutes les fois qu’il s’applique à Dieu; p. ex.: ….. <i>de regarder</i> (<span dir=""rtl"">מהביט</span>) <i>vers Dieu</i> (Exod., III, 6); <i>Et il contemple</i> (<span dir=""rtl"">יביט</span>) <i>la figure de Dieu</i> (Nombres, XII, 8); <i>Et tu ne peux regarder</i> (<span dir=""rtl"">והביט</span>) <i>l’iniquité</i> (Habac., I, 13).",
"Guide for the Perplexed, Part 1 4:5","וכן ׳חזה׳ נופל על ראות העין ״ותחז בציון עינינו״. והושאל להשגת הלב ״אשר חזה על יהודה וירושלם״, ״היה דבר יי אל אברם במחזה״. ועל זאת ההשאלה נאמר: ״ויחזו את האלהים״. ודעהו!","De même ’<i>hazâ</i> (<span dir=""rtl"">חזה</span>) s’applique à la <i>vue</i> de l’œil; p. ex.: <i>Et que nos yeux voient</i> (<span dir=""rtl"">ותחז</span>) <i>la chute de Sion</i> (Micha, IV, 11); et on l’emploie métaphoriquement pour la perception du cœur, p. ex.: … <i>qu’il vit</i> (<span dir=""rtl"">חזה</span>) <i>sur Juda et Jérusalem</i> (Isaïe, I, 1); … <i>la parole de l’Éternel à Abrâm</i> (<span dir=""rtl"">במחזה</span>) <i>dans une vision</i> (Genèse, XV, 1); et selon cette métaphore il a été dit: <i>Et ils virent</i> (<span dir=""rtl"">ויחזו</span>) <i>Dieu</i> (Exod., XXIV, 11). Il faut bien te pénétrer de cela.",
"Guide for the Perplexed, Part 1 5:1","כאשר החל ראש הפילוסופים לחקור ולעשות מופתים בענינים עמוקים מאד אמר מתנצל, דבר זה ענינו: שאין ראוי למעין בספריו שייחסהו במה שיחקר עליו לעזות או היותו משתבח ומתפאר והורס לדבר במה שאין ידיעה לו בו, אבל ראוי לו שייחסהו לזריזות והשתדלות בהמציא והעמיד אמונות אמתיות כפי יכולת האדם.","Le prince des philosophes fn86, en abordant la recherche et la démonstration de certaine chose très profonde, s’exprime, pour s’excuser, dans des termes dont le sens est: que le lecteur de ses écrits ne doit pas au sujet de ses recherches le taxer d’impudence ou (l’accuser) de parler témérairement et précipitamment sur des choses dont il ne sait rien; mais qu’il doit, au contraire, n’y voir que la passion et le zèle (dont il est animé) pour produire et faire acquérir des opinions vraies autant que cela est dans le pouvoir de l’homme. ",
"Guide for the Perplexed, Part 1 5:2","וכן נאמר אנחנו: כי צריך לאדם שלא יהרס לזה הענין העצום הנכבד מתחלת המחשבה בלתי שירגיל עצמו בחכמות ובדעות, ויזקק מדותיו זקוק רב וימית תאוותיו ותשוקותיו הדמיוניות; וכאשר יבין הקדמות אמתיות וידעם וידע דרכי ההקש ועשות המופת וידע אפני השמירה מהטעאות השכל אז יקדים לחקירה בזה הענין; ולא יגזור בתחילת דעת שיעלה בליבו ולא ישלח מחשבותיו תחילה וישליטם להשגת האלוה אבל יבוש וימנע ויעמוד עד שיעלה ראשון ראשון.","Nous disons de même que l’homme ne doit pas se porter sur ce sujet grave et important avec précipitation, sans s’être exercé dans les sciences et les connaissances, et sans avoir corrigé ses mœurs avec le plus grand soin et tué ses désirs et ses passions dépendant de l’imaginative. Ce n’est qu’après avoir acquis la connaissance d’axiomes vrais et certains fn87, après avoir appris les règles du syllogisme et de la démonstration, ainsi que la manière de se préserver des erreurs de l’esprit, qu’il pourra aborder les recherches sur ce sujet. Il ne devra rien trancher selon une première opinion qui lui viendrait, ni laisser aller ses pensées tout d’abord en les dirigeant résolument vers la connaissance de Dieu; mais il devra y mettre de la pudeur et de la réserve, et s’arrêter parfois, afin de s’avancer peu à peu. ",
"Guide for the Perplexed, Part 1 5:3",ועל זה נאמר: ״ויסתר משה פניו כי ירא מהביט אל האלהים״ (מחובר למה שיורה עליו הנראה מפחדו להסתכל באור הנראה) – לא שהאלוה ישיגוהו העינים – יתעלה מכל חסרון עילוי רב; ושובח לו ע״ה הדבר הזה והשפיע עליו האלוה ית׳ מטובו – מה שחיב לו שנאמר בו ״ותמונת יי יביט״; וזכרו ה׳חכמים ז״ל׳ כי זה גמול ל׳הסתירו פניו׳ תחילה ׳מהביט אל האלהים׳.,"C’est dans ce sens qu’il a été dit: <i>Et Moïse cacha son visage, car il craignait de regarder vers Dieu</i> (Exode, III, 6),—où il faut aussi avoir égard fn88 à ce qu’indique le sens littéral; savoir, qu’il avait peur de regarder la lumière resplendissante (du buisson ardent), — non pas que les yeux puissent percevoir la divinité [qu’elle soit exaltée et élevée bien au dessus de toute imperfection!]. Moïse mérita pour cela des éloges, et le Très-Haut répandit sur lui sa bonté et sa faveur tellement, que dans la suite il a pu être dit de lui: <i>Et il contemple la figure de Dieu</i> (Nombres, XII, 8); car les docteurs disent que c’était là une récompense pour avoir d’abord <i>caché son visage afin de ne pas regarder vers Dieu</i> fn89. ",
"Guide for the Perplexed, Part 1 5:4","אמנם ׳אצילי בני ישראל׳ הם הרסו ושלחו מחשבותם והשיגו אבל השגה בלתי שלמה; ולזה אמר עליהם ״ויראו את אלהי ישראל ותחת רגליו וכו׳״ – ולא אמר: ׳ויראו את אלהי ישראל׳ לבד כי כלל המאמר אינו רק לדקדק עליהם ראיתם לא לתאר איך ראו. ואמנם, דקדק עליהם תוכן השגתם אשר כללה מן הגשמות מה שכללה – חייב זה הרסם קודם שלמותם. והתחיבו ׳כליה׳ ויעתר להם ע״ה והאריך האלוה להם עד שנשרפו ב׳תבערה׳ ונשרף נדב ואביהוא ב׳אוהל מועד׳ לפי מה שבאה בו הקבלה האמיתית.","Mais pour ce qui concerne <i>les élus d’entre les fils d’Israël</i> (Exode, XXIV, 11), ils agirent avec précipitation, laissant un libre cours à leurs pensées; ils perçurent (la divinité), mais d’une manière imparfaite. C’est pourquoi on dit d’eux: <i>Et ils virent le Dieu d’Israël, et sous ses pieds, etc.</i> (<i>Ibid.</i>, <small>V</small>. 10), et on ne se borne pas à dire simplement: <i>Et ils virent le Dieu d’Israël;</i> car l’ensemble de la phrase n’a d’autre but que de critiquer leur <i>vision</i>, et non pas de décrire comment ils avaient vu. Ainsi donc, on n’a fait que critiquer la forme sous laquelle ils avaient perçu (Dieu) et qui était entachée de corporéité, ce qui était le résultat nécessaire de la précipitation qu’ils y avaient mise avant de s’être perfectionnés. Ils avaient mérité la destruction fn90; mais Moïse ayant intercédé pour eux, il leur fut accordé un délai jusqu’à ce qu’ils furent brûlés à Tab’érâ et que Nadab et Abihou furent brûlés dans la <i>tente de rendez-vous</i>, comme le rapporte la tradition vraie fn91. ",
"Guide for the Perplexed, Part 1 5:5",ואם היה זה בדינם כל שכן בדיננו אנחנו הפחותים ואשר למטה ממנו שצריך לכל אחד ממנו שיכון ויתעסק בהשלמת ההצעות והבנת ההקדמות המטהרות להשגה מטומאתה שהיא – הטעויות; ואז יבוא להביט אל המחנה הקדוש האלהי כאשר אמר ״וגם הכהנים הנגשים אל יי יתקדשו פן יפרוץ בהם יי״. וכבר ציוה שלמה ע״ה בשמירה הרבה כשישתדל האדם להגיע לזאת המדרגה ואמר ממשל ומזהיר ״שמור רגליך כאשר תלך אל בית האלהים״.,"S’il en a été ainsi à l’égard de ceux-là, à plus forte raison faut-il que des hommes inférieurs comme nous et ceux qui sont au dessous de nous visent d’abord à s’occuper du perfectionnement de leurs connaissances préparatoires et à acquérir des principes préliminaires qui puissent purifier l’entendement de sa souillure, laquelle consiste dans les erreurs, et alors ils pourront s’avancer fn92 pour contempler la sainte majesté divine; car: <i>Les prêtres aussi qui s’approchent de l’Éternel devront se sanctifier de peur que l’Éternel ne fasse irruption parmi eux</i> (Exode, XIX, 22). Déjà Salomon a recommandé la plus grande précaution à l’homme qui désire parvenir au degré en question; et, se servant d’une image, il a donné cet avertissement: <i>Observe ton pied lorsque tu vas vers la maison de Dieu</i> (Ecclésiaste, IV, 17).",
"Guide for the Perplexed, Part 1 5:6",ואשוב להשלים מה שנכנסנו לבארו ואומר ש׳אצילי בני ישראל׳ עם המכשולים שארעו להם בהשגתם נתבלבלו גם כן בעבורה פעולותיהם ונטו לענינים הגופיים להשתבש ההשגה. ולזה אמר ״ויחזו את האלהים ויאכלו וישתו״. אמנם סוף המאמר והוא – אמרו: ״ותחת רגליו כמעשה לבנת הספיר וכו׳״ הנה יתבאר בקצת פרקי זה המאמר.,"Je reviens maintenant achever ce que j’avais commencé à expliquer, et je dis que, <i>les élus d’entre les fils d’Israël</i> ayant fait des faux pas dans leur perception, leurs actions aussi furent troublées par là, et ils penchèrent vers les choses corporelles, par le vice de leur perception; c’est pourquoi (l’Écriture) dit: <i>Et ils virent Dieu, et ils mangèrent et burent</i> (Exode, XXIV, 11) fn93.— Quant à la fin du verset (cité plus haut) fn94, je veux parler des mots: <i>Et sous ses pieds il y avait comme un ouvrage de l’éclat du saphir, etc.</i>, on l’expliquera dans quelques chapitres de ce traité fn95.",
"Guide for the Perplexed, Part 1 5:7",והכונה כולה אשר כוננוה היא – שכל ׳ראיה׳ או ׳חזיה׳ או ׳הבטה׳ שבאה בזה הענין היא השגה שכלית לא ראות עין – שאיננו ית׳ נמצא שישיגוהו העינים.,"En somme, nous avons pour but d’établir que chaque fois que le verbe <span dir=""rtl"">ראה</span>, ou <span dir=""rtl"">חזה</span>, ou <span dir=""rtl"">הביט</span>, est employé dans le sens en question, il s’agit d’une perception intellectuelle, et non pas de la <i>vue</i> de l’œil; car le Très-Haut n’est pas un être que les yeux puissent percevoir. ",
"Guide for the Perplexed, Part 1 5:8",ואם לא ירצה אחד מן המקצרים להגיע לזאת המדרגה אשר נשתדל עמו לעלותה וישים אלו המלות כולם אשר באו בזה הענין מורות על השגות חושיות לאורים ברואים אם מלאכים או זולתם – אין הזק בזה.,"Si cependant il y a tel homme borné qui ne veut pas parvenir à ce degré auquel nous désirons monter, et qui admet que tous ces mots, employés dans le sens en question, indiquent la perception sensible de certaines lumières <i>créées</i>, soit anges ou autre chose, il n’y a pas de mal à cela.",
"Guide for the Perplexed, Part 1 6:1","׳איש ואשה׳ – שני שמות, הונחו תחלה לזכר ולנקבה מבני אדם. ואחרי כן הושאלו לכל זכר ונקבה משאר מיני בעלי החיים – אמר ״מכל הבהמה הטהורה תקח לך שבעה שבעה איש ואשתו״ – כאלו אמר: ׳זכר ונקבה׳. ואחר כך הושאל שם ׳אשה׳ לכל ענין מוכן ומזומן להתחבר לענין אחר – אמר ״חמש היריעות תהיין חוברות אשה אל אחותה״;","<i>Isch</i> (<span dir=""rtl"">איש</span>) et <i>ischâ</i> (<span dir=""rtl"">אשה</span>) sont des noms employés primitivement pour (dire) <i>homme</i> et <i>femme</i>, ensuite on les a empruntés pour (désigner) le mâle et la femelle de toutes les autres espèces d’animaux. On a dit, p. ex.: <i>De tous les quadrupèdes purs tu prendras sept couples</i>, <span dir=""rtl"">איש ואשתו</span>, <i>l’homme et sa femme</i> (Genèse, VII, 2); c’est comme s’il avait dit le <i>mâle</i> et la <i>femelle</i>. Ensuite le nom de <i>ischâ</i> a été employé métaphoriquement pour toute chose destinée et prête à se joindre à une autre chose; p. ex.: <i>Les cinq rideaux seront joints</i> <span dir=""rtl"">אשה אל אחותה</span> <i>les uns aux autres</i> (Exode, XXVI, 3) fn96. ",
"Guide for the Perplexed, Part 1 6:2",כבר התבאר לך כי ׳אחות׳ ו׳אח׳ יאמרו גם כן בשתוף מצד ההשאלה כ׳איש ואשה׳.,"Il est clair par là que <span dir=""rtl"">אחות</span> (sœur) et <span dir=""rtl"">אח</span> (frère) aussi, eu égard au sens figuré fn97, s’emploient comme homonymes, semblables à <span dir=""rtl"">איש</span> et <span dir=""rtl"">אשה</span>.",
"Guide for the Perplexed, Part 1 7:1",׳ילד׳. הענין המובן מזאת המלה ידוע והוא – הלידה ״וילדו לו בנים״. ואחר הושאלה זאת המילה להמצאת הדברים הטבעיים ״בטרם הרים יולדו״. והושאלה גם כן לענין הצמחת הארץ מה שתצמיח – דמות בלדה – אמר ״והולידה והצמיחה״. והושאלה עוד לחידושי הזמן כאילו הם ענינים יולדו ״כי לא תדע מה ילד יום״. והושאלה עוד לחידושי המחשבות ומה שיחיבוהו מן הדעות והסברות כמו שאמר ״וילד שקר״; וממנו נאמר: ״ובילדי נכרים ישפיקו״ – יספיק להם בדעותם כמו שאמר יונתן בן עוזיאל ע״ה בפרוש זה ׳ובנימוסי עממיא אזלין׳.,"<i>Yalad</i> (<span dir=""rtl"">ילד</span>). — Ce qu’on entend par ce mot est connu; il signifie <i>enfanter;</i> p. ex.: <i>Et qu’elles lui auront enfanté</i> (<span dir=""rtl"">וילדו</span>) <i>des fils</i> (Deutéron., XXI, 15). Ensuite ce mot a été employé au figuré pour la production des choses naturelles; p. ex.: <i>Avant que les montagnes fussent nées</i> (<span dir=""rtl"">ילדו</span>) (Ps. XC, 2), et on s’en est servi aussi dans le sens de <i>faire germer</i>, (en parlant de) ce que la terre fait germer, par comparaison avec l’enfantement; p. ex.: … <i>qu’elle l’ait fécondée</i> (<span dir=""rtl"">והולידה</span>) <i>et l’ait fait germer</i> (Isaïe, LV, 10). On l’a aussi appliqué aux événements du temps, comme si c’étaient des choses qui naissent; p. ex.: <i>Car tu ne sais pas ce qu’enfantera</i> (<span dir=""rtl"">ילד</span>) <i>le jour</i> (Prov., XVII, 1). Enfin on l’a appliqué à ce qui survient dans les pensées et à ce qu’elles produisent en fait d’idées et d’opinions, comme on a dit: <i>Et il enfantera</i> (<span dir=""rtl"">וילד</span>) <i>le mensonge</i> (Ps. VII, 15), et c’est dans ce sens qu’il a été dit: <i>Et ils se contentent des enfants</i> (<span dir=""rtl"">בילדי</span>) <i>des étrangers</i> (Isaïe, II, 6), c’est-à-dire ils se contentent fn98 de leurs opinions, comme a dit Jonathan ben-Usiel dans la version de ce passage: <i>Et ils suivent les lois des nations.</i> ",
"Guide for the Perplexed, Part 1 7:2",ועל זה הענין מי שלימד איש ענין אחד והועילהו דעת – כאילו הוליד האיש ההוא באשר הוא בעל הדעת ההוא; ובזה הענין נקראו תלמידי הנביאים – ׳בני הנביאים׳ כמו שאבאר בשתוף שם ׳בן׳.,"C’est dans ce même sens que celui qui a enseigné quelque chose à une personne et lui a donné une idée peut être considéré comme ayant fait naître cette personne, étant lui-même l’auteur de cette idée; et c’est dans ce sens aussi que les disciples des prophètes ont été appelés <span dir=""rtl"">בני הנביאים</span>, <i>fils des prophètes</i>, comme nous l’expliquerons en parlant de l’homonymie du substantif <span dir=""rtl"">בן</span>, <i>fils</i> fn99.",
"Guide for the Perplexed, Part 1 7:3","ובזאת ההשאלה נאמר ב׳אדם׳: ״ויחי אדם שלושים ומאת שנה ויולד בדמותו כצלמו״; וכבר קדם לך ענין ׳צלם אדם ודמותו׳ מה הוא; וכל מי שקדמו לו מן הבנים לא הגיעה אליהם הצורה האנושית באמת אשר היא ׳צלם אדם ודמותו׳ הנאמר עליה ׳בצלם אלהים ובדמותו׳ אמנם ׳שת׳ כאשר לימדהו והבינהו ונמצא שלם השלמות האנושי נאמר בו ׳ויולד בדמותו כצלמו׳. וכבר ידעת, כי כל מי שלא הגיעה לו זאת הצורה אשר בארנו ענינה הוא אינו איש אבל בהמה על צורת איש ותבניתו אבל יש לו יכולת על מיני ההזק וחידוש הרעות מה שאין כן לשאר בעלי החיים; כי השכל והמחשבה שהיו מוכנים להגעת השלמות אשר לא הגיע ישתמש בהם במיני התחבולות המביאות לרע והולד הנזקים כאילו הוא דבר ידמה לאדם או יחקהו. וכן היו בני אדם הקודמים ל׳שת׳; ואמרו ב׳מדרש׳: ״כל אותן מאה ושלושים שנה שהיה אדם נזוף בהן היה מוליד רוחות״ – רצונם לומר ׳שדים׳; וכאשר רצהו האלוה הוליד ׳בדמותו כצלמו׳ – והוא אמרו: ׳ויחי אדם שלושים ומאת שנה ויולד בדמותו כצלמו׳.","C’est selon cette métaphore qu’il a été dit d’Adam: <i>Et Adam ayant vécu cent trente ans, engendra à sa ressemblance, selon son image</i> (Genèse, V, 3); car on a déjà dit précédemment fn100 ce que signifie <i>l’image</i> d’Adam et <i>sa ressemblance</i>. C’est que tous les enfants qu’il avait eus auparavant ne possédaient pas (ce qui constitue) la forme humaine en réalité, qui est appelée <i>l’image</i> d’Adam et <i>sa ressemblance</i>, et à l’égard de laquelle il est dit (qu’il était créé) <i>à l’image de Dieu et à sa ressemblance</i>. Mais pour ce qui concerne <i>Seth</i>, (Adam) l’ayant instruit et lui ayant donné l’intelligence, de sorte qu’il arriva à la perfection humaine, il a été dit à son égard: <i>Et il</i> (Adam) <i>engendra à sa ressemblance, selon son image</i>. Tu sais que quiconque n’a pas obtenu cette <i>forme</i> dont nous avons expliqué le sens n’est pas un homme, mais un animal ayant la figure de l’homme et ses linéaments; mais il a la faculté que ne possèdent pas les autres animaux, de faire toute sorte de dommages et de produire les maux. Car la réflexion et la pensée qui, en lui, étaient destinées à lui faire obtenir une perfection qu’il n’a pas obtenue, il les emploie à toute sorte de ruses produisant les maux et à faire naître des dommages; il est donc, pour ainsi dire, quelque chose qui ressemble à l’homme ou qui le contrefait. Tels étaient les fils d’Adam antérieurs à <i>Seth;</i> c’est pourquoi on a dit dans le <i>Midrasch</i> fn101: « Adam, pendant les cent trente ans qu’il était réprouvé, engendrait des <i>esprits</i> », c’est-à-dire des <i>démons;</i> mais lorsqu’il eut obtenu sa grâce, il engendra ses semblables, je veux dire <i>à sa ressemblance, selon son image</i>. C’est là ce qui est exprimé par ces mots: <i>Et Adam, ayant vécu cent trente ans, engendra à sa ressemblance, selon son image</i>.",
