"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, Ii Yoreh Deah.103.3","S<small>OURCES</small>: L. 121. Cf. Mord., <i>Hulin</i>, 679; P. 515; Hag. Maim., <i>Maakalot Asurot</i> 9, 3; Asher, <i>Responsa</i> 20, 26; <i>Sefer Haparnes</i> 19."
"Meir, Ii Yoreh Deah.104.1",<i>Q</i>. A drop of milk fell on the outside of a (meat) pot covering the greater part of it. Are the pot and its contents fit for use?
"Meir, Ii Yoreh Deah.104.2","<i>A</i>. Rabbenu Samson permits its use while Ri forbids it. Ri bases his opinion on the fact that a drop of milk does not spread over the whole pot, and since the part of the pot affected is not sixty times the volume of the milk, the milk is not neutralized. Therefore, even according to Ri if one could gage the volume of the milk and find a ratio of one to sixty to the volume of the part of the pot affected, the milk would be neutralized. In any event, if the loss be an appreciable one, or the enjoyment of the Sabbath or a holiday be involved, one may be lenient, in view of R. Samson's opinion."
"Meir, Ii Yoreh Deah.104.3","S<small>OURCES</small>: P. 515; Mord., <i>Hulin</i>, 679; cf. L. 121; Asher, <i>Responsa</i> 20, 26; <i>Sefer Haparnes</i> 19."
"Meir, Ii Yoreh Deah.105.1","<i>Q</i>. A fly was found in a bowl of soup from which some of the soup was poured into plates. Did the fly contaminate the soup, the bowl and the plates?"
"Meir, Ii Yoreh Deah.105.2","<i>A</i>. The fly contaminated neither the soup, nor the bowl nor the plates. For the fly probably fell into the bowl when the soup was no longer boiling. Moreover, the law stating that a creature is never neutralized in a mixture, is applicable only to cases where the creature is not removed from the mixture. In this case, however, after the fly is removed from the soup, its taste is neutralized and the soup is fit to be eaten."
"Meir, Ii Yoreh Deah.105.3","S<small>OURCES</small>: L. 143; <i>Tashbetz</i>, 350; <i>Orhot Hayyim</i> II, p. 309."
"Meir, Ii Yoreh Deah.106.1","Rabbi Samuel of Eisenach, a relative of R. Meir, permitted the eating of ritually slaughtered chickens with which a <i>trefah</i> chicken was mixed up. He based his decision on an opinion he said he had received from R. Jacob, that the law stated in Mishna Ab. Z. 5, 9, and interpreted in the Talmud Ab. Z. 74a, is the accepted law governing mixtures. This talmudic interpretation implies, that only objects possessing both characteristics: a) items usually sold by the piece, and b) forbidden objects, the profitable use of which is prohibited (<i>issurei hanaah</i>), are never neutralized in a mixture. However, objects lacking one of these characteristics do become neutralized in the proper mixture."
"Meir, Ii Yoreh Deah.106.2","R. Meir took issue with R. Samuel, pointing out, that the accepted authorities never mention the foregoing view as the final law. On the contrary, these authorities decide that items usually sold by the piece, even though they be not forbidden objects the profitable use of which is prohibited, are never neutralized. Moreover, R. Samuel contradicted himself and ruled that a ""piece fit to be offered a guest"", even though it be not <i>issurei hanaah</i>, is not neutralized; but a whole chicken is also considered ""a piece fit to be offered a guest"". R. Meir, therefore, pleads with R. Samuel to acknowledge his mistake, and change his decision, lest it become a misleading precedent which may be followed by future generations."
"Meir, Ii Yoreh Deah.106.3","S<small>OURCES</small>: Cr. 14; Am I, 75."
"Meir, Ii Yoreh Deah.107.1","Since vinegar is used in flavoring food, it does not lose its identity even when mixed with a substance more than 60 times its volume."
"Meir, Ii Yoreh Deah.107.2",S<small>OURCES</small>: Pr. 100; Cr. 46 end; L. 368 end. Cf. <i>Sefer Haparnes</i> 22.
"Meir, Ii Yoreh Deah.108.1","<i>Q</i>. An oven was greased with fat-tail, and before it was reheated, bread was baked therein. Is it permissible to eat this bread?"
"Meir, Ii Yoreh Deah.108.2","<i>A</i>. This bread may not be eaten, lest perchance one eat it with milk. However, it may be sold to a Gentile, since in a Rabbinical prohibition we do not take into consideration the remote possibility that the Gentile will resell the bread to a Jew."
"Meir, Ii Yoreh Deah.108.3",This Responsum is addressed to R. Tobiah.
"Meir, Ii Yoreh Deah.108.4","S<small>OURCES</small>: Am I, 77."
"Meir, Ii Yoreh Deah.109.1","<i>Q</i>. Is it permissible to eat with meat, bread which was baked in an oven at the same time with cheese pie?"
"Meir, Ii Yoreh Deah.109.2","<i>A</i>. This question involves the controversial subject of <i>reha milta hi</i> (whether the odor of an object is considered to have substance). In practice, we do not permit the baking of bread together with cheese or meat-pies; but if it had been done so, we do not prohibit the eating of such bread with meat or cheese. Onion baked in the same oven with forbidden meat, may not be eaten, since the odor of onion definitely has substance and absorbs from the forbidden meat. We, however, are permitted to eat (on Passover) unleavened bread that was baked in the same oven with leavened bread, since we find no mention (in the Talmud) of a problem regarding the odor of two types of bread."
"Meir, Ii Yoreh Deah.109.3","S<small>OURCES</small>: Am I, 68; Pr. 25, 26, 27; Hag. Maim., <i>Makalot Asurot</i> 15, 70; Rashba I, 849; cf. <i>Tashbetz</i>, 332; Mord. <i>Hulin</i>, 665."
"Meir, Ii Yoreh Deah.110.1",<i>Q</i>. A court is not enjoined to restrain a child from eating forbidden food (Yeb. 114a; Git. 55a; Shabb. 121a). Is a father obliged to restrain his child?
"Meir, Ii Yoreh Deah.110.2","<i>A</i>. A father is enjoined to train his son in the performance of the <i>Mitzvoth</i>. Lack of disapproval on the part of the father means approval. Therefore, a father must restrain his child from eating forbidden food, if eaten in his presence. This law, however, applies to the father, but not to the mother."
"Meir, Ii Yoreh Deah.110.3","S<small>OURCES</small>: Cr. 200; Am I, 88."
"Meir, Ii Yoreh Deah.111.1","Children are permitted to wear around their necks a medicinal collar designed by a recognized (medical) expert to ward off an evil eye. But, if such collar was not designed by an expert, they may not wear it. For, we are not permitted to urge young children to do things forbidden to us (Yeb. 114a)."
"Meir, Ii Yoreh Deah.111.2",S<small>OURCES</small>: L. 140.
"Meir, Ii Yoreh Deah.112.1",<i>Q</i>. Is a Jew permitted to eat fish smoked by a Gentile?
"Meir, Ii Yoreh Deah.112.2","<i>A</i>. Smoking and salting are methods of preserving fish (and not of cooking them). Therefore, a Jew is permitted to eat fish smoked or salted by a Gentile, although he is not permitted to eat fish cooked by a Gentile."
"Meir, Ii Yoreh Deah.112.3",S<small>OURCES</small>: Pr. 58.
"Meir, Ii Yoreh Deah.113.1","<i>Q</i>. Is a Jew permitted to eat bread from flour belonging to a Jew, baked solely by a Gentile, without the Jew's having even stirred the embers of the fire?"
"Meir, Ii Yoreh Deah.113.2","<i>A</i>. In France such bread is not eaten by Jews; even the sale of such bread to a Gentile is prohibited, lest the latter resell it to a Jew. The reason for this is that a Jew is permitted to eat bread baked by Gentiles from flour belonging to Gentiles, but he is not permitted to eat bread baked by a Gentile from flour belonging to a Jew."
"Meir, Ii Yoreh Deah.113.3","S<small>OURCES</small>: Pr. 33; L. 342. Cf. Mord. A. Z. 830; Hag. Maim., <i>Maakalot Asurot</i> 17, 90; <i>Agudah</i> A. Z. 29; <i>Sefer Haparnes</i> 93."
"Meir, Ii Yoreh Deah.114.1",<i>Q</i>. Are we permitted to eat butter bought from Gentiles?
"Meir, Ii Yoreh Deah.114.2","<i>A</i>. R. Tam, Ri, and some of the Geonim (in their Responsa), permit the use of such butter. However, R. Nathan of Africa writes in a Responsum, (found among my Geonic Responsa), that until now the use of such butter was permitted, but since the Gentiles began to mix forbidden fat with their butter, we anathematize all persons who eat it. Moreover, throughout Germany, excepting the towns bordering on France, the custom is well established not to eat such butter. But, since the former great authorities have permitted its use, we do not declare unfit the vessels wherein the butter of Gentiles was fried, even if it was so used by persons who usually do not eat it."
"Meir, Ii Yoreh Deah.114.3",S<small>OURCES</small>: L. 193.
"Meir, Ii Yoreh Deah.115.1","<i>Q</i>. Is it permissible to scald in the same tub vessels needed for Passover use and vessels bought from a Gentile, when such vessels were not used for some time (more than one day) and, therefore, would impart an unpleasant taste to each other?"
"Meir, Ii Yoreh Deah.115.2","<i>A</i>. Yes, for during the scalding process vessels actively exude all the substances they have absorbed before, and do not absorb any new substances. After the period of exuding is over the vessels may begin to absorb again, but whatever they will absorb will impart an unpleasant taste to them, and therefore, will not render them unusable."
"Meir, Ii Yoreh Deah.115.3",S<small>OURCES</small>: Pr. 429.
"Meir, Ii Yoreh Deah.116.1",<i>Q</i>. One repaired a pan which contained a hole. Must he immerse the pan in a ritual bath before he is permitted to use it?
"Meir, Ii Yoreh Deah.116.2","<i>A</i>. Whether the hole was formed on the bottom or on the side of the pan, the pan needs immersion, since, when repaired, it is considered as a new vessel."
"Meir, Ii Yoreh Deah.116.3",S<small>OURCES</small>: Pr. 620; Mord. A. Z. 859.
"Meir, Ii Yoreh Deah.117.1","<i>Q</i>. Has a wooden pail which is fastened with iron hoops, the status of an iron vessel in regard to the laws of immersion in a ritual bath?"
"Meir, Ii Yoreh Deah.117.2","<i>A</i>. A vessel has the status of its supports (in this case, the iron hoops) in the laws of immersion as well as in the laws of <i>Tumah</i> (uncleanliness)."
"Meir, Ii Yoreh Deah.117.3",S<small>OURCES</small>: Pr. 621; Mord. A. Z. 859; <i>Agudah</i> A. Z. 73.
"Meir, Ii Yoreh Deah.118.1","<i>Q</i>. Is it permissible to scald large kneading-basins, which cannot be submerged in boiling water because of their size, by pouring boiling water over them [thus preparing them for use on Passover]?"
"Meir, Ii Yoreh Deah.118.2","<i>A</i>. No, but they may be filled with water and the water heated to the boiling point to render them fit for Passover use."
"Meir, Ii Yoreh Deah.118.3",S<small>OURCES</small>: Pr. 439.
"Meir, Ii Yoreh Deah.119.1",<i>Q</i>. Is it permissible to scald the handle of a frying pan by pouring boiling water over it?
"Meir, Ii Yoreh Deah.119.2","<i>A</i>. Yes, since the leaven the handle absorbed was poured over it, it will exude in the same manner as it absorbed."
"Meir, Ii Yoreh Deah.119.3",S<small>OURCES</small>: Pr. 440.
"Meir, Ii Yoreh Deah.120.1","<i>Q</i>. Is the wooden handle of a leather bag<xref rid=""fn5"">*</xref> considered an interposition when the bag is to be immersed in a ritual bath?"
"Meir, Ii Yoreh Deah.120.2","<i>A</i>. Handles, that are permanently attached to vessels, are not considered interpositions."
"Meir, Ii Yoreh Deah.120.3",S<small>OURCES</small>: L. 194; <i>Tashbetz</i> 363.
"Meir, Ii Yoreh Deah.121.1","<i>Q</i>. What is the meaning of the term ""wine touches wine"" as distinguished from the term <i>nitzok</i> (uninterrupted flow)?"
"Meir, Ii Yoreh Deah.121.2","<i>A</i>. When a Gentile pours wine from a vessel, that part of the wine which is already outside of the vessel is considered ""forbidden wine"" because the Gentile exerted energy in pouring it from the vessel. When the Gentile stops pouring the wine, the last drop dribbling from the vessel is still considered ""forbidden wine"" because of the energy exerted, while the drop with which it was in contact and which separated from it and remained in the vessel not only itself should become ""forbidden wine"", because of its actual contact with the last drop that dribbled from the vessel, but should render the rest of the wine in the vessel ""forbidden"". This actual contact of the wine remaining in the vessel with that poured out of it, is termed ""wine touches wine"". When a Gentile, however, had actually touched the wine contained in a certain vessel, thus rendering it <i>yayin nesek</i> (forbidden wine), and subsequently a Jew poured wine from a cask into the vessel containing the <i>yayin nesek</i>, a contact was thus made by the uninterrupted flow of the wine from the cask into the vessel. This contact is termed <i>nitzok</i>. Some authorities rule that this contact renders the wine in the cask <i>yayin nesek</i>, while other authorities hold that it does not. However, even according to the former authorities, when a Gentile pours wine from a vessel he does not render the wine remaining in it ""forbidden wine"", for the reason that the wine he did pour out of the vessel, though ""forbidden wine"", is not considered <i>yayin nesek</i> in the full sense of the term. The mere exerting of energy by a Gentile in connection with the wine, without his actually touching it, renders it ""forbidden"" in a limited sense."
"Meir, Ii Yoreh Deah.121.3",S<small>OURCES</small>: Sinai V (1941) pp. 298–300; <i>Mordecai Hagadol</i> p. 119a; cf. Tesh. Maim. to <i>Maakalot Asurot</i> 12.
"Meir, Ii Yoreh Deah.122.1","<i>Q</i>. A Gentile maid went down to the cellar to bring up beer. She made a mistake, however, and instead of drawing the liquor from the beer-cask, she drew it from the cask containing wine-vinegar. She did not learn of her mistake, however, till she had replaced the bung."
"Meir, Ii Yoreh Deah.122.2","<i>A</i>. Since the maid must have touched the flowing liquid, even though she was ignorant of its true nature, the wine-vinegar in the cask became forbidden liquor. However, if the oxidation of the wine in the cask was so far advanced that when poured on the floor it bubbled, it was no longer in the category of wine, and was not rendered forbidden liquor by the touch of the Gentile."
"Meir, Ii Yoreh Deah.122.3","S<small>OURCES</small>: Cr. 233; Mord. Ab. Z. 847; Hag. Maim. <i>Maakalot Asurot</i> 11, 8."
"Meir, Ii Yoreh Deah.123.1","<i>Q</i>. A Gentile woman poured wine without touching it into a bottle or glass, thinking it was whiskey."
"Meir, Ii Yoreh Deah.123.2","<i>A</i>. Since she did not touch the wine and did not know that it was wine, we assume that she did not discover its true nature by its odor. For our wines are clear and weak in comparison with the wines of the talmudic period. Therefore, the use of the wine, even the wine she poured into the bottle, is permitted."
"Meir, Ii Yoreh Deah.123.3",S<small>OURCES</small>: B. p. 296 no. 390; <i>Mordecai Hagadol</i> p. 118b.
"Meir, Ii Yoreh Deah.124.1","<i>Q</i>. After a Gentile drank wine from a cup, a Jew forcefully emptied the cup and then drew wine from a cask into the cup. It is not known, however, whether or not the cup was still ""moist enough to moisten other objects"" (A. Z. 60a) when the Jew drew the wine from the cask. Was the wine in the cask rendered ""forbidden wine""?"
"Meir, Ii Yoreh Deah.124.2","<i>A</i>. Since there are many reasons for being lenient in this matter, we may try again forcefully to empty the cup to see whether or not the cup remains ""moist enough to moisten other objects"". Moreover, the wine in the cask ought to be declared fit for use, even if the cup does remain ""moist enough to moisten other objects"", in accordance with the view of R. Simeon (A. Z. 60b), because otherwise the result would be a great financial loss."
"Meir, Ii Yoreh Deah.124.3","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 126b; cf. <i>Tur Yoreh Deah</i>, 126; <i>Terumat Hadeshen</i> 204."
"Meir, Ii Yoreh Deah.125.1","<i>Q</i>. Thieves broke into A's cellar and inserted a tap into a cask of wine. Subsequently it was discovered that a great deal of wine was missing from the cask. Rabbi Jedidyah, however, permitted the use of the wine that was left in the cask."
"Meir, Ii Yoreh Deah.125.2","<i>A</i>. Though the majority of thieves are Gentiles, and the talmudic dictum regarding Pumbeditha (A.Z. 70a) does not apply to other places, the use of this wine is permitted nevertheless, for there is no evidence that thieves broke into the cellar. Thus the cellar was found locked, while thieves do not trouble themselves to lock a door after their work is done. Therefore we assume that a member of the household inserted the tap, a common enough occurrence. Each member of the household, though he knows that he himself did not tamper with the cask, is nevertheless permitted to drink the wine, for he may assume that one of the other members of the household inserted the tap."
"Meir, Ii Yoreh Deah.125.3","S<small>OURCES</small>: B. p. 295, no. 389. Cf. Asher, <i>Responsa</i> 19, 1."
"Meir, Ii Yoreh Deah.126.1","<i>Q</i>. Thieves entered a place where many casks of wine were stored. Some of the casks were provided with faucets, while others were entirely sealed. The thieves inserted a faucet in one of the sealed casks and drew part of its wine. I believe that the wine in the casks which have faucets should be considered ""forbidden wine"" since we suspect that the thieves drew wine from these casks also."
"Meir, Ii Yoreh Deah.126.2","<i>A</i>. We must not be too strict in our ruling when it is uncertain whether wine has been dedicated to an idol. Since there is no indication that the casks which had faucets were tampered with by the thieves, we do not assume that the thieves drew wine from them. Faucets are usually inserted in casks which contain ordinary wine, while sealed casks are used for wine of superior quality. The thieves preferred to insert a faucet in a sealed cask probably in order to draw the superior wine rather than obtain inferior wine from the open casks. Moreover, they did not draw out all the wine even from the sealed cask. There is no reason to suspect, therefore, that they also drew wine from the open casks."
"Meir, Ii Yoreh Deah.126.3","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 119b; cf. B. p. 295, no. 389."
"Meir, Ii Yoreh Deah.127.1","A Jew is not permitted to offer a Gentile forbidden wine (<i>yayin nesek</i> — wine touched by a Gentile). I often wondered how this custom, to offer forbidden wine to Gentiles, became so widely accepted. If the perpetrators had been duly warned against this practice and did not heed the warning, they need no longer be disturbed; for it is better that they transgress innocently than rebelliously. Our own wine, of course, we are permitted to offer to a Gentile (although this wine becomes <i>yayin nesek</i> as soon as the Gentile touches it)."
"Meir, Ii Yoreh Deah.127.2",S<small>OURCES</small>: L. 145.
"Meir, Ii Yoreh Deah.128.1",<i>Q</i>. May a Jew rent his cellar to a Gentile for the purpose of having the Gentile store his <i>yayin nesek</i> (forbidden wine) therein?
"Meir, Ii Yoreh Deah.128.2","<i>A</i>. No, he may not, for a person may derive no such benefit from forbidden wine. The only difference between the <i>yayin nesek</i> of the talmudic period and that of our own day is that the <i>yayin nesek</i> of today may be taken from a Gentile in payment of his debt, as we thus recover our money from him."
"Meir, Ii Yoreh Deah.128.3","S<small>OURCES</small>: <i>Tashbetz</i>, 376; <i>Orhot Hayyim</i> II, p. 264; cf. ibid. p. 244; <i>Kol Bo</i> 96."
"Meir, Ii Yoreh Deah.129.1","<i>Q</i>. Does the touch of a Jew ""who has his prepuce drawn forward"" render wine <i>yayin nesek</i> (forbidden wine)?"
"Meir, Ii Yoreh Deah.129.2","<i>A</i>. No, it does not."
"Meir, Ii Yoreh Deah.129.3","S<small>OURCES</small>: <i>Tashbetz</i>, 380; <i>Mordecai Hagadol</i> p. 121 d; <i>Orhot Hayyim</i> II, p. 245; <i>Kol Bo</i> 96."
"Meir, Ii Yoreh Deah.130.1","The wine of a (Jewish) infidel or of a Karaite, who does not trust the teachings of the Rabbis, is <i>yayin nesek</i> (forbidden wine), for, although they are not idolators themselves, they do not guard their wine from being handled by Gentiles."
"Meir, Ii Yoreh Deah.130.2",S<small>OURCES</small>: L. 231.
"Meir, Ii Yoreh Deah.131.1","<i>Q</i>. A claims that he lent two pounds to B for investment purposes for one year, on condition that B pay him one pound if B's profit from this investment should exceed one pound, or the whole profit in case B's profit be less than one pound. B, however, claims that he was to pay A a uniform interest at the rate of one pound a year, and that it was a usurious transaction, and, therefore, not binding."
"Meir, Ii Yoreh Deah.131.2","<i>A</i>. A's claim is sustained. Since A could have received a pound a year legally, had he lent the money to B through a Gentile, we must believe the truth of his (A's) present claim."
"Meir, Ii Yoreh Deah.131.3","S<small>OURCES</small>: Cr. 57; Pr. 146; Rashba I, 871."
"Meir, Ii Yoreh Deah.132.1","<i>Q</i>. A gave a pledge to B telling him that it was a Gentile's pledge, and that he would allow B to collect the interest on the loan he had extended to the Gentile if B would refund him the principal of that loan. B gave him the money and took the pledge as security. Subsequently, A told B that he was not entitled to any interest since the pledge belonged to a Jew, and that he had previously lied to him concerning the original owner of the pledge."
"Meir, Ii Yoreh Deah.132.2","<i>A</i>. B may insist that he believes A's first statement only, even if A is ready to take an oath as to the truth of his second statement. Therefore, if A gave the pledge to B at the time B gave him the money, B may keep the pledge until A pays him the promised interest."
"Meir, Ii Yoreh Deah.132.3","S<small>OURCES</small>: Pr. 142; Rashba I, 858; Mord. B.M. 338, Cf. L. 448."
"Meir, Ii Yoreh Deah.133.1","<i>Q</i>. A claims that B lent him money on a pledge, and that when he came to redeem the pledge B exacted interest from him. Since he had contracted the loan directly from B, the latter was not allowed to take any interest on this loan. A, therefore, demands that B pay him back the interest. B, on the other hand, claims that the loan was originally contracted through a Gentile intermediary and that he was entitled, therefore, to the interest."
"Meir, Ii Yoreh Deah.133.2","<i>A</i>. It is assumed that a person who might have gained an advantage by following a certain legal procedure, did not fail to follow such procedure. Since B could legally have been entitled to interest on his money had he granted the loan through a Gentile intermediary, we assume that he did grant the loan through such intermediary. Therefore, B is entitled to his interest and is not required to take an oath."
"Meir, Ii Yoreh Deah.133.3",S<small>OURCES</small>: L. 197.
"Meir, Ii Yoreh Deah.134.1","<i>Q</i>. A borrowed ten pounds of charity-money on the following conditions: a) that he pay three pounds per year out of his profits; b) that should his profit be less than three pounds, he would have to pay only half of that profit; and c) in case there be a loss, A would suffer the entire loss himself. For ten years A paid the three pounds per year regularly and thus has paid thirty pounds to the charity-chest. Now, however, being somewhat depleted in finances he is in no position to return the ten pounds. Since it is forbidden to lend charity-money on condition that the lender share in the profits but not in the losses, the thirty pounds paid by A is considered <i>abak ribbit</i> (shade of usury). Although A can not collect, by judicial process, the <i>abak ribbit</i> he has paid, he ought to be able to retain the ten pounds in exchange for the unlawful interest he has paid. Signed: Hayyim b. Machir."
"Meir, Ii Yoreh Deah.134.2","<i>A</i>. If one lends money on condition that he share in the profits but not in the losses, the terms of this transaction, being unlawful, are void. We must, therefore, substitute other terms in their place. We must choose one of the following alternatives: a) the transaction is a pure loan bearing no profit; b) the lender is liable for his share of the losses and is entitled to his share of the profits. Since a person lends money with the intention of earning a profit, and such profit constitutes the main purpose of the transaction, we prefer the second alternative. Therefore, we must calculate what percentage of the entire profit (earned by A through the use of the ten pounds) the three pounds per year was expected to form, and, then, charge the charity-chest with the responsibility for the same percentage of the losses. If, during the ten year period, the thirty pounds paid by A exceeded the percentage of the total profit, A is entitled to deduct such excess from the principal; otherwise, he must repay the entire principal."
"Meir, Ii Yoreh Deah.134.3","R. Hayyim b. Machir raised objections to R. Meir's decision. He brought proof to the effect that the transaction ought to be changed into a pure loan bearing no profit, and that A be entitled to retain the ten pounds of the principal against the illegal profit he has paid. He even cited (by number) another Responsum of R. Meir wherein the latter decided that a transaction such as the above be considered a pure loan bearing no profit. (Cf. Cr. 62, Pr. 151; Am. II, 169.) He assured Rabbi Meir, however, that he would follow his decision."
"Meir, Ii Yoreh Deah.134.4","R. Meir replied: I was always of the opinion that the aforesaid transaction ought to be considered a pure loan bearing no profit. But, when your query reached me I had just received the book (Code) of Maimomides, and I decided to ""ask the Oracle"" (see what Maimonides says on the subject). When I discovered that Maimonides requires the lender to share in the losses as well as in the profits, I adopted his view. For all his words are based on tradition. Even if this decision be based on reason, I have to bow to his opinion since my inferior reasoning ability could never compare with that of Maimonides who is a profound master in that art. Moreover, I see the wisdom of his view. For a person who lends money to another does so because he hopes to profit thereby. Were he mainly interested in the safety of the principal (as you seem to infer) he would keep the money in a safe place and never lend it to anybody. Were we to ask a lender who had stipulated that he do not share in the losses, whether he would prefer to change his voided agreement into a pure loan transaction bearing no profit, or choose to share in the profits and the losses, he would certainly prefer the latter. Furthermore, when the active partner lends the money against adequate security, the chances of earning a profit are much greater than the chances of losing part of the principal."
"Meir, Ii Yoreh Deah.134.5",S<small>OURCES</small>: L. 426; P. 477.
"Meir, Ii Yoreh Deah.135.1","<i>Q</i>. A borrowed money against pledges from the charity-trustees, at a stipulated rate of interest. After A had held the money for over half a year, B asked A to lend it to him. B undertook to release A from his obligations to the charity-trustees as to both principal and interest, and was ready to substitute his pledges for those of A. A agreed to this arrangement and gave the money to B."
"Meir, Ii Yoreh Deah.135.2","<i>A</i>. If B cannot extricate himself from the charity-trustees without paying interest on A's loan, as in case the trustees claim to have lent the money to A through a Gentile, A must pay the required interest to B, since his loan to B constituted a usurious transaction and the court enforces the reimbursement of money collected as usury. On the other hand, if B could extricate himself from the charity-trustees without paying interest on the loan, but in order to do so, he would have to sue the charity-trustees, A should pay B for his efforts on his behalf; otherwise these efforts would constitute <i>abak ribbit</i> (a shade of usury). However, a court does not enforce the reimbursement of <i>abak ribbit</i>."
"Meir, Ii Yoreh Deah.135.3",S<small>OURCES</small>: Mord. B.M. 327.
"Meir, Ii Yoreh Deah.136.1","<i>Q</i>. A claims that B owed him three and three-eighths <i>marks</i>, that B gave him valuables to pledge with the charity treasurers for a loan of the same amount (the money of which A was to take in payment of the above debt), that B asked him to pledge with the charity treasurers additional valuables of his own, which he (A) was to lend to B, should B's valuables prove insufficient security for the loan, and that B promised to redeem these valuables. A, therefore, demands that B redeem his pledges. B, while conceding the above, claims that originally A lent him only three <i>marks</i>; that the additional three-eighths of a <i>mark</i> A is demanding, constitutes the interest on this loan; and that such interest is unlawful usury from Jew to Jew since the loan was made by A directly to him [without a Gentile intermediary]."
"Meir, Ii Yoreh Deah.136.2","<i>A</i>. B must take an oath that the three-eighths of a <i>mark</i> constitutes interest on a loan made directly to him, and thus be free from obligation for this sum. Although by taking this oath B will incriminate himself [since borrowing money on interest is also a sin] such oath will have full legal effect when applied against A. For the testimony of a witness that incriminates the witness himself, is nevertheless acceptable as valid testimony against, or in support of, the litigants (Sanh. 25 a)."
"Meir, Ii Yoreh Deah.136.3",S<small>OURCES</small>: L. 208.
"Meir, Ii Yoreh Deah.137.1","<i>Q</i>. A trustee loaned money belonging to orphans to A on interest, at the rate of one quarter per <i>mark</i>. A refused to pay the interest. Moreover, A claimed to have repaid part of the loan, which claim the trustee denied. The inquiring judges decided that even money belonging to orphans can not be loaned to a Jew at a definite rate of interest."
"Meir, Ii Yoreh Deah.137.2","<i>A</i>. Your decision was correct and the trustee's stipulation of a definite interest was illegal and, therefore, void. However, under the circumstances, the loan is as if made by the Jewish court — the natural trustee and protector of all orphans — on the usual terms [made when orphans' money is loaned]: ""to share in the profits but not in the losses."" Therefore, if A earned profits with the money, he must pay to the trustee, the stipulated quarter per <i>mark</i>. If A admits that the money he borrowed belonged to the orphans, but claims to have repaid part of it, the trustee is believed as to the amount he received from A, (in repayment of the loan), and is not required to take an oath since the trustee is a disinterested third party. But if A states his belief that the trustee loaned him his own money, and not the orphans' money, the trustee must take an oath as to the amount he received from A in repayment of the loan, though he is not required to take an oath to the effect that the money he loaned belonged to the orphans."
"Meir, Ii Yoreh Deah.137.3",S<small>OURCES</small>: Pr. 969; Mord. B.M. 332; <i>Agudah</i> B.M. 98.
"Meir, Ii Yoreh Deah.138.1",<i>Q</i>. How are we to invest money belonging to orphans; are we permitted to lend such money on interest?
"Meir, Ii Yoreh Deah.138.2","<i>A</i>. The Talmud provides that such money be invested with a rich and trustworthy person, one who obeys the laws of the Torah and is careful not to bring upon himself a ban of the Rabbis. It should be invested on condition that the orphans share in the profits but not in the losses (B. M. 70 a). To invest such money in mortgages on houses, fields, or vineyards, is preferable, since money may be lost but land lasts forever. The written contract attesting the transaction, should be deposited with a trustworthy person or with the trustee of the orphans. But, we are not permitted to lend such money on a definite rate of interest."
"Meir, Ii Yoreh Deah.138.3",S<small>OURCES</small>: L. 235.
"Meir, Ii Yoreh Deah.139.1","<i>Q</i>. A young man lent money to A stipulating that the latter be responsible for the loss of it through theft, but not through unavoidable accident. The former also tutored A's son. In return for both services A paid the young man's living expenses. Is the lending of the aforesaid money considered a legitimate transaction?"
"Meir, Ii Yoreh Deah.139.2","<i>A</i>. If while the arrangement was made with the young man to rehearse the lessons with A's son in return for receiving his sustenance, the stipulation was made that the young man lend money to A, the transaction is considered usurious, even though A would have been content to pay the young man's living expenses in return for his tutoring alone. The fact that the money was not given as an actual loan, since A was not to be responsible for its loss through unavoidable accident, does not materially change the situation, since the Talmud considers the renting of money a usurious transaction (B. M. 69b). But, if it is true, what you write at the end of your letter, that the young man gave A his money as an outright gift so that he is at liberty, should he so desire, never to return the money to the young man, the transaction is a legitimate one."
"Meir, Ii Yoreh Deah.139.3","S<small>OURCES</small>: Cr. 257; Am II, 151; Mord. B.M. 316; Tesh. Maim. to <i>Mishpatim</i>, 45; <i>Agudah</i> B.M. 88. Cf. Maharil, <i>Responsa</i> 37; Moses Minz, <i>Responsa</i> 72; <i>Terumat Hadeshen</i> 302."
"Meir, Ii Yoreh Deah.140.1","<i>Q</i>. When a person sells to another a debt due him from a Gentile, how does the buyer gain title to the debt, since the principle that a debt may be assigned ""in the presence of the three parties involved (B. B. 148a)"" does not apply when one of the parties is a Gentile?"
"Meir, Ii Yoreh Deah.140.2","<i>A</i>. A person's admission against his own interests is equivalent to the testimony of a hundred witnesses (Git. 40b). Since the seller admits that the money due from the Gentile really belongs, and has always belonged, to the buyer assignee, the latter is entitled to collect the debt from the Gentile. This procedure, however, does not remove the prohibition against usury, since the interest accruing after the sale still belongs to the seller."
"Meir, Ii Yoreh Deah.140.3","S<small>OURCES</small>: Sinai VI (1943) 13, no. 461. Cf. Israel Bruno, <i>Responsa</i> 160; ibid. 209."
