Index Title,"Shulchan Arukh, Yoreh De'ah"
"Shulchan Arukh, Yoreh De'ah 187:11","<i data-commentator=""Beur HaGra"" data-order=""25""></i><i data-commentator=""Be'er HaGolah"" data-order=""17""></i>אשה שראתה מחמת תשמיש ולאחר חצי שנה חזרה וראתה מחמת תשמיש <i data-commentator=""Siftei Kohen"" data-order=""34""></i><i data-commentator=""Torat HaShlamim"" data-order=""35""></i>מותרת לבעלה שהרי לא קבעה בג' וסתות שוים ולא בדילוג <i data-commentator=""Turei Zahav"" data-order=""16""></i><i data-commentator=""Siftei Kohen"" data-order=""35""></i><i data-commentator=""Torat HaShlamim"" data-order=""36""></i>מיהו <i data-commentator=""Ba'er Hetev"" data-order=""26""></i><i data-commentator=""Pithei Teshuva"" data-order=""48""></i>חוששת <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""13""></i>לאחרון פעם א' וכשיגיע חצי שנה מיום ראיית דם האחרון אסורה עונה אחת ואם קבעה וסת לראיית דם מחמ' תשמיש שלשה זימני וסת שוה <i data-commentator=""Torat HaShlamim"" data-order=""37""></i>מותרת <i data-commentator=""Pithei Teshuva"" data-order=""49""></i>לשמש בין וסת לוסת אך ימי הוסת פורשת <i data-commentator=""Torat HaShlamim"" data-order=""38""></i>עד <i data-commentator=""Pithei Teshuva"" data-order=""50""></i>שיעקר שלש פעמים:"
"Shulchan Arukh, Yoreh De'ah 187:12","<i data-commentator=""Beur HaGra"" data-order=""26""></i><i data-commentator=""Be'er HaGolah"" data-order=""18""></i>הרואה מחמת תשמיש ג""פ <i data-commentator=""Pithei Teshuva"" data-order=""51""></i>אסור <i data-commentator=""Ba'er Hetev"" data-order=""27""></i><i data-commentator=""Pithei Teshuva"" data-order=""52""></i>להשהותה <i data-commentator=""Be'er HaGolah"" data-label=""(°)"" data-order=""18""></i>אף אם אינו רוצה לבא עליה <i data-commentator=""Torat HaShlamim"" data-order=""39""></i><i data-commentator=""Be'er HaGolah"" data-order=""19""></i>אלא א""כ רוצה להשהותה ע""י שליש <i data-commentator=""Siftei Kohen"" data-order=""36""></i>ולא ילך אצלה אלא בעדים:"
"Shulchan Arukh, Yoreh De'ah 187:13","<i data-commentator=""Turei Zahav"" data-order=""17""></i><i data-commentator=""Be'er HaGolah"" data-order=""20""></i>הבועל את הבתולה כמה פעמים וראתה דם מחמת תשמיש <i data-commentator=""Pithei Teshuva"" data-order=""53""></i>לעולם מחזקינן שהם <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""14""></i>דם בתולים <i data-commentator=""Be'er HaGolah"" data-order=""21""></i>עד <i data-commentator=""Pithei Teshuva"" data-order=""54""></i>שתשמש פעם אחת ולא תראה דם מחמת תשמיש ואם אח""כ תראה שלש פעמים מחמת תשמיש הוחזקה להיות רואה דם מחמת תשמיש: <small>הגה <i data-commentator=""Siftei Kohen"" data-order=""37""></i>ואפילו אם לא פסקה לראות פעם א' <i data-commentator=""Torat HaShlamim"" data-order=""40""></i>אם <i data-commentator=""Pithei Teshuva"" data-order=""55""></i>אין לה <i data-commentator=""Ba'er Hetev"" data-order=""28""></i>צער כלל בשעת תשמיש <i data-commentator=""Torat HaShlamim"" data-order=""41""></i>הרי היא ככל הנשים ולא תלינן בדם בתולים (תשו' מהר""ם פדואה סימן י') <i data-commentator=""Beur HaGra"" data-order=""27""></i>מי שיוצא דם ממנו דרך פי האמה ושמש האשה תולה בו (ב""י בשם תשובת הרשב""א) וע""ל סימן ק""ץ (סעיף כ'):</small>"
"Shulchan Arukh, Yoreh De'ah 187:14","<i data-commentator=""Be'er HaGolah"" data-order=""22""></i>אשה שיש לה מכות ופצעים שאינה יכולה לטבול תצא מתחת בעלה כדי שלא יבטל מפריה ורביה:"
"Shulchan Arukh, Yoreh De'ah 188:1","<b>דיני מראות הדם. ובו ו' סעיפים:</b><br> <i data-commentator=""Siftei Kohen"" data-order=""1""></i><i data-commentator=""Beur HaGra"" data-order=""1""></i><i data-commentator=""Torat HaShlamim"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""1""></i>כל <i data-commentator=""Pithei Teshuva"" data-order=""1""></i>מראה אדום בין אם היא כהה הרבה או עמוק טמאים <i data-commentator=""Beur HaGra"" data-order=""2""></i>וכן כל מראה שחור ואין טהור <i data-commentator=""Torat HaShlamim"" data-order=""2""></i>אלא <i data-commentator=""Beur HaGra"" data-order=""3""></i>מראה <i data-commentator=""Siftei Kohen"" data-order=""2""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""1""></i>לבן <i data-commentator=""Beur HaGra"" data-order=""4""></i><i data-commentator=""Pithei Teshuva"" data-order=""2""></i><i data-commentator=""Torat HaShlamim"" data-order=""3""></i>וכן מראה <i data-commentator=""Siftei Kohen"" data-order=""3""></i><i data-commentator=""Be'er HaGolah"" data-order=""2""></i>ירוק <i data-commentator=""Beur HaGra"" data-order=""5""></i>אפי' כמראה <i data-commentator=""Siftei Kohen"" data-order=""4""></i><i data-commentator=""Ba'er Hetev"" data-order=""1""></i><i data-commentator=""Pithei Teshuva"" data-order=""3""></i><i data-commentator=""Torat HaShlamim"" data-order=""4""></i>השעוה או הזהב <i data-commentator=""Turei Zahav"" data-order=""1""></i>וכ""ש הירוק ככרתי או כעשבים <small>(מרדכי) </small><small>(וכן <i data-commentator=""Beur HaGra"" data-order=""6""></i>מראה שקורין <i data-commentator=""Siftei Kohen"" data-order=""5""></i>בל""א בלו""א בכלל ירוק הוא) </small>ואפי' <i data-commentator=""Be'er HaGolah"" data-label=""(°)"" data-order=""2""></i><i data-commentator=""Beur HaGra"" data-order=""7""></i><i data-commentator=""Be'er HaGolah"" data-order=""3""></i>יש בו סמיכות דם והוא עב הרבה <i data-commentator=""Beur HaGra"" data-order=""8""></i>ואפילו הרגישה שנפתח מקורה ובדקה <i data-commentator=""Pithei Teshuva"" data-order=""4""></i>מיד ומצאה <i data-commentator=""Pithei Teshuva"" data-order=""5""></i>מראות הללו טהורה. <small>(ד""ע דלא כת""ה סימן רמ""ו דמגמגם בזה): </small><small>הגה וכן עיקר (ב""י וטור) דלא כיש מחמירין לטמאה אם יש בו <i data-commentator=""Turei Zahav"" data-order=""2""></i>סמיכות והוא עב (ת""ה סימן רמ""ו) (ואם הרגישה שנפתח מקורה ובדקה מיד ולא מצאה כלום <i data-commentator=""Siftei Kohen"" data-order=""6""></i>ע""ל סימן ק""ץ):</small>"
"Shulchan Arukh, Yoreh De'ah 188:2","<i data-commentator=""Be'er HaGolah"" data-order=""4""></i>נאמנת אשה לומר כזה ראיתי ואבדתיו ואם הוא מראה לבן <i data-commentator=""Turei Zahav"" data-order=""3""></i>או ירוק טהור <i data-commentator=""Beur HaGra"" data-order=""9""></i><i data-commentator=""Be'er HaGolah"" data-order=""5""></i>אבל אם הביאה לפנינו דם והחזקנוהו בטמא או <i data-commentator=""Be'er HaGolah"" data-order=""6""></i>אפילו נסתפקנו אם הוא טמא או טהור והיא אומרת חכם פלוני טיהר לי כיוצא בזה <i data-commentator=""Turei Zahav"" data-order=""4""></i><i data-commentator=""Siftei Kohen"" data-order=""7""></i><i data-commentator=""Torat HaShlamim"" data-order=""5""></i>אין <i data-commentator=""Ba'er Hetev"" data-order=""2""></i><i data-commentator=""Pithei Teshuva"" data-order=""6""></i>סומכין עליה:"
"Shulchan Arukh, Yoreh De'ah 188:3","<i data-commentator=""Be'er HaGolah"" data-order=""7""></i>הכניסה שפופרת והוציאה בה דם טהורה <i data-commentator=""Be'er HaGolah"" data-order=""8""></i>וכן אם ראתה דם בחתיכה אפי' היא מבוקעת והדם בבקעים בענין שנוגע בבשרה טהורה <i data-commentator=""Beur HaGra"" data-order=""10""></i>כיון שאין דרך לראות כן <i data-commentator=""Siftei Kohen"" data-order=""8""></i><i data-commentator=""Torat HaShlamim"" data-order=""6""></i><i data-commentator=""Be'er HaGolah"" data-order=""9""></i>וכן <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""2""></i>אשה <i data-commentator=""Ba'er Hetev"" data-order=""3""></i>שנעקר <i data-commentator=""Pithei Teshuva"" data-order=""7""></i>מקור שלה וכמין חתיכות בשר נופלים בבית החיצון טהורה: <small>הגה <i data-commentator=""Turei Zahav"" data-order=""5""></i><i data-commentator=""Siftei Kohen"" data-order=""9""></i><i data-commentator=""Beur HaGra"" data-order=""11""></i>אפילו <i data-commentator=""Ba'er Hetev"" data-order=""4""></i><i data-commentator=""Pithei Teshuva"" data-order=""8""></i>ראתה דם כל זמן שהחתיכות בבית החיצון שלה טהורה <i data-commentator=""Siftei Kohen"" data-order=""10""></i>דתלינן הדם בחתיכה זו הואיל וידעינן ודאי שנעקר מקורה <i data-commentator=""Torat HaShlamim"" data-order=""7""></i>ומחמת מכה היא (כן משמע בטור ורבינו ירוחם והרא""ש): </small>והוא <i data-commentator=""Siftei Kohen"" data-order=""11""></i><i data-commentator=""Beur HaGra"" data-order=""12""></i><i data-commentator=""Be'er HaGolah"" data-order=""10""></i>שהטילה החתיכות במים פושרין ולא נמוחו ודוקא חתיכות קטנות <i data-commentator=""Turei Zahav"" data-order=""6""></i><i data-commentator=""Siftei Kohen"" data-order=""12""></i><i data-commentator=""Torat HaShlamim"" data-order=""8""></i>דומיא <i data-commentator=""Be'er HaGolah"" data-order=""11""></i>דשפופרת <i data-commentator=""Beur HaGra"" data-order=""13""></i><i data-commentator=""Be'er HaGolah"" data-order=""12""></i>אבל <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""3""></i>חתיכה גדולה טמאה אפילו לא ראתה כלום לפי שאי אפשר לפתיחת הקבר בלא דם אפילו בנפל שלא נגמרה צורתו:"
"Shulchan Arukh, Yoreh De'ah 188:4","<i data-commentator=""Be'er HaGolah"" data-order=""13""></i>כל <i data-commentator=""Pithei Teshuva"" data-order=""9""></i>דם היוצא מן האשה <i data-commentator=""Torat HaShlamim"" data-order=""9""></i>בין לח בין יבש טמאה <i data-commentator=""Be'er HaGolah"" data-order=""14""></i>ולא עוד אלא אפי' יצא ממנה <i data-commentator=""Siftei Kohen"" data-order=""13""></i>צורת בריה כמין קליפות או כמין שערות או כמין יבחושים אדומים <i data-commentator=""Ba'er Hetev"" data-order=""5""></i><i data-commentator=""Pithei Teshuva"" data-order=""10""></i>טמאה והוא שיהיו נמוחים <i data-commentator=""Beur HaGra"" data-order=""14""></i>בתוך מעת לעת על ידי ששורים אותם במים <i data-commentator=""Be'er HaGolah"" data-order=""15""></i>פושרים <i data-commentator=""Beur HaGra"" data-order=""15""></i>ויהיו המים פושרים <i data-commentator=""Be'er HaGolah"" data-order=""16""></i>כל משך מעת לעת שהם בתוכו <i data-commentator=""Beur HaGra"" data-order=""16""></i><i data-commentator=""Be'er HaGolah"" data-order=""17""></i>ושיעור החימום כמו מים שנשאבו בקיץ מהנהר <i data-commentator=""Beur HaGra"" data-order=""17""></i>או מהמעין <i data-commentator=""Torat HaShlamim"" data-order=""10""></i>ועמדו בבית שחום הבית מחממתן וכחימום של אלו כך הוא שיעור פושרים בימות החורף <i data-commentator=""Siftei Kohen"" data-order=""14""></i><i data-commentator=""Beur HaGra"" data-order=""18""></i><small>(וסתם פושרים אינן חמין יותר מחמימות הרוק (ב""י בשם ריטב""א פ' המפלת) </small>ואם הם קשים כל כך שאינם נמוחים בתוך מעת לעת טהורה <i data-commentator=""Be'er HaGolah"" data-order=""18""></i>אפילו הם נמוחים על ידי מיעוך שממעכן בצפרניו <i data-commentator=""Beur HaGra"" data-order=""19""></i><small>(ואם מעכבן בצפרניו ולא נימוחו טהורה ואין צריך לבדוק ע""י שריה) . (המ""מ פ""ה וכ""כ הב""י בשם הרשב""א):</small>"
"Shulchan Arukh, Yoreh De'ah 188:5","<i data-commentator=""Beur HaGra"" data-order=""20""></i><i data-commentator=""Be'er HaGolah"" data-order=""19""></i>במה דברים אמורים שאם לא נמוחו טהורה בזמן שהם יבשים גמורים שאין עמהם דם כלל <i data-commentator=""Siftei Kohen"" data-order=""15""></i><i data-commentator=""Torat HaShlamim"" data-order=""11""></i>אבל אם יש עליהם <i data-commentator=""Turei Zahav"" data-order=""7""></i>שום לחלוח דם טמאה: <small>הגה והוא הדין אם נתמעכו או נימוחו קצתן וקצתן לא נימוחו דטמאה (פסקי מהרא""י סימן מ""ז) <i data-commentator=""Pithei Teshuva"" data-order=""11""></i>מיהו נראה לי דאם בדקה ג""פ כל מה שראתה ולא נימוחו כלל שוב אינה צריכה לבדוק מה שהיא רואה אח""כ כדרך זה שהרי הוחזקה שדברים אלו אינן דם רק באים ממכה שבגופה <i data-commentator=""Siftei Kohen"" data-order=""16""></i><i data-commentator=""Torat HaShlamim"" data-order=""12""></i>ודוקא באשה שיש לה <i data-commentator=""Ba'er Hetev"" data-order=""6""></i>וסת <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""4""></i>ושלא בשעת וסתה כמו שנתבאר גבי מכה לעיל סימן קפ""ז:</small>"
"Shulchan Arukh, Yoreh De'ah 188:6","<i data-commentator=""Beur HaGra"" data-order=""21""></i><i data-commentator=""Be'er HaGolah"" data-order=""20""></i>בד""א שצריך בדיקה בשריה במפלת כמין קליפות ושערות אבל חתיכת דם אע""פ שקשה ואינו נימוח טמאה <i data-commentator=""Siftei Kohen"" data-order=""17""></i><i data-commentator=""Beur HaGra"" data-order=""22""></i><i data-commentator=""Ba'er Hetev"" data-order=""7""></i><i data-commentator=""Torat HaShlamim"" data-order=""13""></i><i data-commentator=""Be'er HaGolah"" data-order=""21""></i>וי""א <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""5""></i>שגם לזה צריך בדיקה בשריה <i data-commentator=""Beur HaGra"" data-order=""23""></i><i data-commentator=""Be'er HaGolah"" data-order=""22""></i>אם היא חתיכה קטנה כשיעור שפופרת קנה דק שבדקים <small>(ד""ע):</small>"
"Shulchan Arukh, Yoreh De'ah 189:1","<b>דיני אשה שיש לה וסת קבוע ושאין לה וסת קבוע. ובו ל""ד סעיפים:</b><br>כל אשה שאין לה וסת קבוע <i data-commentator=""Siftei Kohen"" data-order=""1""></i><i data-commentator=""Torat HaShlamim"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""1""></i>חוששת <i data-commentator=""Ba'er Hetev"" data-order=""1""></i>ליום ל' לראייתה שהיא עונה בינונית לסתם נשים ואם יש לה וסת קבוע לזמן ידוע מכ' לכ' או מכ""ה לכ""ה <i data-commentator=""Turei Zahav"" data-order=""1""></i><i data-commentator=""Siftei Kohen"" data-order=""2""></i><i data-commentator=""Torat HaShlamim"" data-order=""2""></i>חוששת לזמן <i data-commentator=""Ba'er Hetev"" data-order=""2""></i>הידוע:"
"Shulchan Arukh, Yoreh De'ah 189:2","<i data-commentator=""Beur HaGra"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""2""></i>כיצד קובעתו כגון שתראה ד' פעמים וביניהם ג' זמנים שוין כגון שראתה היום ולסוף כ' יום פעם אחרת ועוד <i data-commentator=""Torat HaShlamim"" data-order=""3""></i>לסוף כ' יום ועוד לסוף כ' יום וזה נקרא וסת ההפלגות ולכך <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""1""></i>צריכה ד' ראיות שראיה ראשונה אינה מן המנין לפי שאינה בהפלגה <i data-commentator=""Beur HaGra"" data-order=""2""></i><i data-commentator=""Be'er HaGolah"" data-order=""3""></i>ואפי' קודם שקבעתו שלש פעמים חוששת <i data-commentator=""Siftei Kohen"" data-order=""3""></i>שמיד אחר <i data-commentator=""Ba'er Hetev"" data-order=""3""></i>שראתה פעם אחת לסוף כ' חוששת מכאן ואילך כשיגיע כ' <i data-commentator=""Siftei Kohen"" data-order=""4""></i>וכן בראיית הימי' שהיא לימי' ידועים לחדש מיד אחר שראתה פעם אחת ליום ידוע לחדש <i data-commentator=""Turei Zahav"" data-order=""2""></i>כגון כ""א או כ""ה בו חוששת לפעם אחרת לזה היום ואסורה לשמש כל אותה העונה והוא הדין לשאר מיני וסת שצריכה לחוש להם כן חוץ מוסת הדילוג וכמו שיתבאר בסימן זה <small>(ד""ע ופשוט) </small>ולא <i data-commentator=""Beur HaGra"" data-order=""3""></i>אמרו שצריך לקובעם ג""פ <i data-commentator=""Siftei Kohen"" data-order=""5""></i>אלא לענין עקירה שכיון שקבעתו בג""פ <i data-commentator=""Siftei Kohen"" data-order=""6""></i>אינו נעקר בפחות מג' פעמים שכל זמן שלא עקרתו ג""פ צריכה לחוש לו אבל ליאסר <i data-commentator=""Turei Zahav"" data-order=""3""></i>אפילו <i data-commentator=""Torat HaShlamim"" data-order=""4""></i>בפעם אחת חוששת לו פעם שניה ומיהו אע""פ שחוששת לו נעקר בפעם אחת <i data-commentator=""Beur HaGra"" data-order=""4""></i>אפילו קבעתו ב' פעמים שאם ראתה ב' פעמים ליום ידוע ובשלישית לא ראתה אינה חוששת לו עוד:"
"Shulchan Arukh, Yoreh De'ah 189:3","<i data-commentator=""Beur HaGra"" data-order=""5""></i><i data-commentator=""Be'er HaGolah"" data-order=""4""></i>אם קבעה <i data-commentator=""Turei Zahav"" data-order=""4""></i>וסת <i data-commentator=""Ba'er Hetev"" data-order=""4""></i><i data-commentator=""Pithei Teshuva"" data-order=""1""></i><i data-commentator=""Torat HaShlamim"" data-order=""5""></i>לשעות ולא לימים אינה חוששת אלא <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""2""></i>שעתה בלבד והוסת הזה הוא נעקר בשעה אחת <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""3""></i>ואפי' בלא בדיקה:"
"Shulchan Arukh, Yoreh De'ah 189:4","עוד יש חילוק בין קבעתו ג' פעמים ללא קבעתו ג' פעמים שהקבוע <i data-commentator=""Be'er HaGolah"" data-order=""5""></i>' אף על פי שעברה עונתה ולא הרגישה אסורה לשמש עד שתבדוק ותמצא טהורה ושלא קבעתו ג""פ אם הגיע זמן הוסת ולא בדקה ולא ראתה <i data-commentator=""Turei Zahav"" data-order=""5""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""4""></i>כיון <i data-commentator=""Ba'er Hetev"" data-order=""5""></i>שעברה עונתה מותרת <i data-commentator=""Siftei Kohen"" data-order=""7""></i><i data-commentator=""Beur HaGra"" data-order=""6""></i>ועונה בינונית שהיא לל' יום <i data-commentator=""Torat HaShlamim"" data-order=""6""></i>דינה <i data-commentator=""Pithei Teshuva"" data-order=""2""></i>כוסת קבוע <small>(הרשב""א):</small>"
"Shulchan Arukh, Yoreh De'ah 189:5","<i data-commentator=""Beur HaGra"" data-order=""7""></i><i data-commentator=""Torat HaShlamim"" data-order=""7""></i>פעמים שתהיה ההפלגה שקובעת בהם הוסת בדילוג <i data-commentator=""Siftei Kohen"" data-order=""8""></i><i data-commentator=""Be'er HaGolah"" data-order=""6""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""5""></i>כגון שראתה היום <i data-commentator=""Siftei Kohen"" data-order=""9""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""6""></i>וראתה שנית לסוף ל' ושלישית לל""א <i data-commentator=""Turei Zahav"" data-order=""6""></i>ורביעית לל""ב <i data-commentator=""Siftei Kohen"" data-order=""10""></i><i data-commentator=""Ba'er Hetev"" data-order=""6""></i><i data-commentator=""Torat HaShlamim"" data-order=""8""></i><i data-commentator=""Pithei Teshuva"" data-order=""3""></i>קבעה וסת לדילוג שלהפלגות <i data-commentator=""Siftei Kohen"" data-order=""11""></i><i data-commentator=""Be'er HaGolah"" data-order=""7""></i>בין שהרחיקה דילוגה הרבה בין שלא הרחיקה אלא יום אחד קבעה וסת לדילוג השוה <i data-commentator=""Siftei Kohen"" data-order=""12""></i>שבכל ענין שתהא משוה ראייתה קבעה לה וסת:"
"Shulchan Arukh, Yoreh De'ah 189:6","<i data-commentator=""Beur HaGra"" data-order=""8""></i>כשם שקובעת וסת בהפלגה מימים שוים ושאינם שוים <i data-commentator=""Siftei Kohen"" data-order=""13""></i>כך קובעת <i data-commentator=""Be'er HaGolah"" data-order=""8""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""7""></i>בימי <i data-commentator=""Ba'er Hetev"" data-order=""7""></i>החדש <i data-commentator=""Pithei Teshuva"" data-order=""4""></i><i data-commentator=""Be'er HaGolah"" data-order=""9""></i>ובימי השבוע שוים ושאינם שוים <i data-commentator=""Siftei Kohen"" data-order=""14""></i>כיצד <i data-commentator=""Torat HaShlamim"" data-order=""9""></i>ראתה ג""פ <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""8""></i>באחד בשבת <i data-commentator=""Torat HaShlamim"" data-order=""10""></i>או בה' בשבת או באחד בניסן ובאחד באייר ובאחד בסיון או בה' בניסן ובה' באייר ובה' בסיון <i data-commentator=""Siftei Kohen"" data-order=""15""></i>קבעה לה וסת באחד בשבת או בה' בו ובאחד בחודש או בה' בו <i data-commentator=""Beur HaGra"" data-order=""9""></i><i data-commentator=""Torat HaShlamim"" data-order=""11""></i><i data-commentator=""Be'er HaGolah"" data-order=""10""></i>אף על פי שאחד מלא ואחד חסר אין מדקדקין בכך:"
"Shulchan Arukh, Yoreh De'ah 189:7","<i data-commentator=""Beur HaGra"" data-order=""10""></i><i data-commentator=""Be'er HaGolah"" data-order=""11""></i>כיצד קובעת בימי החדש בדילוג כגון שראתה בט""ו בניסן וט""ז באייר וי""ז בסיון לא קבעה וסת <i data-commentator=""Siftei Kohen"" data-order=""16""></i><i data-commentator=""Torat HaShlamim"" data-order=""12""></i>עד שתראה בי""ח <i data-commentator=""Ba'er Hetev"" data-order=""8""></i><i data-commentator=""Pithei Teshuva"" data-order=""5""></i>בתמוז שאין ראיה ראשונה מצטרפת <i data-commentator=""Siftei Kohen"" data-order=""17""></i>כיון שאין ההפלגות שוות <i data-commentator=""Turei Zahav"" data-order=""7""></i><i data-commentator=""Siftei Kohen"" data-order=""18""></i><i data-commentator=""Beur HaGra"" data-order=""11""></i><i data-commentator=""Torat HaShlamim"" data-order=""13""></i><i data-commentator=""Be'er HaGolah"" data-order=""12""></i>ומיהו אם היה לה וסת קודם שהתחילה ואח""כ שינתה וראתה בדילוג ג' פעמים קבעה וסת בדילוג לפי שאף <i data-commentator=""Ba'er Hetev"" data-order=""9""></i>הראשונה בדילוג ראתה אותה שדילגה <i data-commentator=""Turei Zahav"" data-order=""8""></i>מוסת הקבוע לה <small>(רמב""ם ורמב""ן כשמואל וטור לדעת רא""ש אבל בפרק שור שנגח ד' וה' פסק רא""ש כרב וכן הוא ברמזים שם) </small>וי""א <i data-commentator=""Beur HaGra"" data-order=""12""></i><i data-commentator=""Be'er HaGolah"" data-order=""13""></i>שאע""פ שלא ראתה אלא בט""ו בניסן וט""ז באייר וי""ז בסיון קבעה וסת <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""9""></i>וחוששת לי""ח בתמוז וי""ט באב וכן לעולם <i data-commentator=""Turei Zahav"" data-order=""9""></i><i data-commentator=""Siftei Kohen"" data-order=""19""></i><i data-commentator=""Torat HaShlamim"" data-order=""14""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""10""></i>ויש לחוש לדבריהם <i data-commentator=""Ba'er Hetev"" data-order=""10""></i>ולהחמיר:"
"Shulchan Arukh, Yoreh De'ah 189:8","<i data-commentator=""Siftei Kohen"" data-order=""20""></i><i data-commentator=""Turei Zahav"" data-order=""10""></i><i data-commentator=""Beur HaGra"" data-order=""13""></i><i data-commentator=""Be'er HaGolah"" data-order=""14""></i>ראתה ג""פ בג' חדשים <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""11""></i>בדילוג וחזרה וראתה באותם דילוגים עצמם אם נהגה כן ג""פ הרי זה וסת קבוע לדילוג חלילה כיצד ראתה ט""ו בניסן וט""ז באייר <i data-commentator=""Torat HaShlamim"" data-order=""15""></i>וי""ז בסיון וחזרה חלילה וראתה ט""ו בתמוז וט""ז באב וי""ז באלול ועוד חזרה וראתה ט""ו בתשרי וט""ז בחשוון וי""ז בכסלו קבעה לה וסת לדילוג חלילה <i data-commentator=""Siftei Kohen"" data-order=""21""></i><i data-commentator=""Ba'er Hetev"" data-order=""11""></i><i data-commentator=""Pithei Teshuva"" data-order=""6""></i><i data-commentator=""Torat HaShlamim"" data-order=""16""></i>וחוששת לעולם ט""ו לחודש זה וט""ז לחודש זה וי""ז לחודש זה:"
"Shulchan Arukh, Yoreh De'ah 189:9","<i data-commentator=""Beur HaGra"" data-order=""14""></i><i data-commentator=""Be'er HaGolah"" data-order=""15""></i>ראתה באחד בניסן ובא' בסיון <i data-commentator=""Turei Zahav"" data-order=""11""></i>ובא' באב <i data-commentator=""Siftei Kohen"" data-order=""22""></i><i data-commentator=""Ba'er Hetev"" data-order=""12""></i><i data-commentator=""Torat HaShlamim"" data-order=""17""></i>קבעה לה וסת <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""12""></i>לר""ח לדילוגים אבל ראתה באחד בניסן ובאחד באייר ובאחד בתמוז ובאחד בסיון לא ראתה <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""13""></i>לא קבעה לה וסת:"
"Shulchan Arukh, Yoreh De'ah 189:10","<i data-commentator=""Beur HaGra"" data-order=""15""></i><i data-commentator=""Be'er HaGolah"" data-order=""16""></i>ראתה ט""ו בניסן וט""ז באייר וי""ח בסיון <i data-commentator=""Siftei Kohen"" data-order=""23""></i><i data-commentator=""Torat HaShlamim"" data-order=""18""></i>לא קבעה וסת <i data-commentator=""Siftei Kohen"" data-order=""24""></i>כיון <i data-commentator=""Ba'er Hetev"" data-order=""13""></i>שסירגה בחדש השלישי ולא ראתה עד י""ח בו:"
"Shulchan Arukh, Yoreh De'ah 189:11","<i data-commentator=""Beur HaGra"" data-order=""16""></i><i data-commentator=""Be'er HaGolah"" data-order=""17""></i>דילגה <i data-commentator=""Siftei Kohen"" data-order=""25""></i><i data-commentator=""Ba'er Hetev"" data-order=""14""></i>פעם אחת <i data-commentator=""Beur HaGra"" data-order=""17""></i><i data-commentator=""Torat HaShlamim"" data-order=""19""></i>או שתים אינה חוששת לדילוג אע""פ שחוששת לשאר וסתות בפעם אחת אינה חוששת לוסת הדילוג עד שתקבענו:"
"Shulchan Arukh, Yoreh De'ah 189:12","<i data-commentator=""Turei Zahav"" data-order=""12""></i><i data-commentator=""Siftei Kohen"" data-order=""26""></i><i data-commentator=""Beur HaGra"" data-order=""18""></i><i data-commentator=""Be'er HaGolah"" data-order=""18""></i><i data-commentator=""Torat HaShlamim"" data-order=""20""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""14""></i>וסת הסירוג ראיה ראשונה <i data-commentator=""Pithei Teshuva"" data-order=""7""></i>מן <i data-commentator=""Ba'er Hetev"" data-order=""15""></i>המנין לדברי הכל ואע""פ שהרחיקה ראיותיה אלא שלענין חשש וסתה בתחלה הוא <i data-commentator=""Turei Zahav"" data-order=""13""></i>שוה לדילוג <i data-commentator=""Siftei Kohen"" data-order=""27""></i>שאינה חושש' אלא מר""ח לר""ח הסמוך לו כגון שראתה בר""ח ניסן <i data-commentator=""Turei Zahav"" data-order=""14""></i>חוששת לר""ח <i data-commentator=""Ba'er Hetev"" data-order=""16""></i>אייר ואם לא ראתה עד ר""ח סיון חוששת לר""ח תמוז הסמוך לו ואם לא ראתה בר""ח תמוז אינה חוששת <i data-commentator=""Pithei Teshuva"" data-order=""8""></i>לר""ח אב אע""פ שהם הפלגת ב' חדשים כעין ההפלגה הראשונה מפני שהפסקת החדש השני ביטלה ראית החודש הראשון וראית החודש השלישי היא התחלת וסת וחוששת לר""ח הסמוך ולא יותר:"
